'ai'dang'shi'xi'mo'zhi 哀当世兮莫知
'ning'you'yin'yi'yuan'huo'xi 宁幽隐以远祸兮
'ning'yu'huang'hu'bi'yi'hu 宁与黄鹄比翼乎
'ning'yu'qi'ji'kang'e'hu 宁与骐骥亢轭乎
'ning'zheng'yan'bu'hui 宁正言不讳
'ning'zhu'chu'cao'mao 宁诛锄草茅
'nong'fu'chuo'geng'er'rong'yu'xi 农夫辍耕而容与兮
'nu'jun'za'er'bu'fen'xi 驽骏杂而不分兮
'nv'chan'yuan'xi'wei'yu'tai'xi 女婵媛兮为余太息
'nv'qi'feng'shang 女歧缝裳
'nv'qi'wu'he 女歧无合
'nv'wa'you'ti 女娲有体
'nv'xu'zhi'chan'yuan'xi 女嬃之婵媛兮
'nv'yue'luo'xie 女乐罗些
'ou'he'yang'a 讴和扬阿
'pai'chang'he'er'wang'yu 排阊阖而望予
'pai'di'gong'yu'luo'you'xi 排帝宫与罗囿兮
'pan'bei'ji'er'yi'xi'xi 攀北极而一息兮
'pan'du'chu'ci'yi'yu 牉独处此异域
'pan'du'li'er'bu'fu 判独离而不服
'pan'lu'li'qi'shang'xia'xi 叛陆离其上下兮
'pan'tian'jie'xi'xia'shi 攀天阶兮下视
'pan'yuan'gui'zhi'xi'liao'yan'liu 攀援桂枝兮聊淹留
'pang'huang'xi'lan'gong 彷徨兮兰宫
'pang'xin'chuo'tai 滂心绰态
'pang'yang'wu'suo'yi 彷徉无所倚
'pang'yin'zhi'yu'si'shi 旁引之於四时
'pei'bin'fen'qi'fan'shi'xi 佩缤纷其繁饰兮
'pei'bin'fen'yi'liao'zhuan'xi 佩缤纷以缭转兮
'pei'cang'long'zhi'you'qiu'xi 佩苍龙之蚴虬兮
'pei'ji'qi'xi'hui'tang'gong 配稷契兮恢唐功
'pei'jiang'li'zhi'fei'fei 佩江蓠之菲菲
'pei'wang'yang'er'zi'fu 沛罔瀁而自浮
'pei'wu'cheng'xi'gui'zhou 沛吾乘兮桂舟
'peng'ai'qin'ru'yu'yu'chuang'zi'xi 蓬艾亲入御於床笫兮
'peng'cao'bi'er'dang'yu 朋曹比而党誉
'peng'keng'zhen'zhi 彭铿斟雉
'pi'bi'jiao'long'cheng'yun'fu'xi 譬彼蛟龙乘云浮兮
'pi'bi'liu'shui'fen'yang'ke'xi 譬彼流水纷扬磕兮
'pi'hua'shang'xi'fang'fen 披华裳兮芳芬
'pi'hui'mian'xi'ji'zhang 擗蕙櫋兮既张
'pi'ruo'wang'qiao'zhi'cheng'yun'xi 譬若王侨之乘云兮
'pi'sui'yi'yu'mi'ying 仳倠倚於弥楹
'pi'yu'ci'qi'wu'yi 辟与此其无异
'pian'luo'xi'lie'chen 骈罗兮列陈
'pian'ming'ming'zhi'bu'ke'yu 翩冥冥之不可娱
'pian'ou'deng'yu'ming'tang'xi 甂瓯登於明堂兮
'pian'xuan'xi'zhong'yuan 便旋兮中原
'pian'yu'hu'xuan'ying'yi'se 偏与乎玄英异色
'piao'fan'fan'qi'shang'xia'xi 漂翻翻其上下兮
'piao'feng'lai'zhi'xiong'xiong 飘风来之汹汹
'piao'feng'peng'long'ai'fo'fo'xi 飘风蓬龙埃坲坲兮
'piao'feng'qi'xi'yang'chen'ai 飘风起兮扬尘埃
'piao'feng'tun'qi'xiang'li'xi 飘风屯其相离兮
'piao'mian'mian'zhi'bu'ke'yu 缥绵绵之不可纡
'pin'shi'shi'zhi'er'zhi'bu'ping 贫士失职而志不平
'ping'bu'yan'hu'qiu'suo 凭不厌乎求索
'ping'hao'qi'yu 蓱号起雨
'ping'ming'fa'xi'cang'wu 平明发兮苍梧
'ping'xie'man'fu 平胁曼肤
'ping'yuan'hu'xi'lu'chao'yuan 平原忽兮路超远
'po'bo'ya'zhi'hao'zhong'xi 破伯牙之号锺兮
'po'jing'he'yi'ji'zhu 破荆和以继筑
'po'ri'xi'huang'hun 迫日兮黄昏
'po'zhong'guo'xi'zhai'xia 迫中国兮窄狭
'pu'fu'bei'yu'ma'huai'xi 仆夫悲余马怀兮
'pu'fu'huai'yu'xin'bei'xi 仆夫怀余心悲兮
'pu'fu'huang'cui'san'ruo'liu'xi 仆夫慌悴散若流兮
'pu'fu'xi'cong'cuan 匍匐兮丛攒
'pu'fu'xi'yan'shi 匍匐兮岩石
'pu'huan'shi'ying 莆雚是营
'pu'yi'zhong'hu 朴以忠乎
'qi'bai'lu'er'rong'yu 骑白鹿而容与
'qi'bu'ke'xi'xi 岂不可喜兮
'qi'bu'xin'xi'gao'yu'yi'bu'jian 期不信兮告余以不间
'qi'bu'yu'tao'er'si'jun'xi 岂不郁陶而思君兮
'qi'bu'zhi'jin'qi'yong'zhi 岂不至今其庸止
'qi'cheng'mei'zhi'neng'dang 岂珵美之能当
'qi'da'wu'yin 其大无垠
'qi'dai'yi'zuo'hou 启代益作后
'qi'dui'yan'chu 鬿堆焉处
'qi'fen'xun'xi'ben'zou 起奋迅兮奔走
'qi'fu'shuo'zhi'tuo'chen'xing'xi 奇傅说之讬辰星兮
'qi'gao'ji'li 其高几里
'qi'guan'fei'pei'qi'ruo'bo 气涫沸沛其若波
'qi'hu'jin'xi'bu'yi 迄乎今兮不易
'qi'huan'jiu'hui 齐桓九会
'qi'huan'shi'yu'zhuan'ren'xi 齐桓失於专任兮
'qi'huan'wen'yi'gai'fu 齐桓闻以该辅
'qi'ji'bin'shang 启棘宾商
'qi'ji'fu'ni'er'bu'jian'xi 骐骥伏匿而不见兮
'qi'ji'hai'yu'kuang'lu 弃鸡骇於筐簏
'qi'jian 七谏
'qi'jiao'ge'yi'za'luan'xi 骑胶葛以杂乱兮
'qi'jiao'yi'yi'xie 其角觺觺些
'qi'jin'zhong'er'you'gong 岂尽忠而有功
'qi'jiu'bian'yu'jiu'ge'xi 启九辨与九歌兮
'qi'juan'yao'zhi'yu'du'heng'xi 弃捐药芷与杜衡兮
'qi'kao'an'zai 其尻安在
'qi'kui'xi'tan'jia 启匮兮探筴
'qi'liao'zhuan'er'zi'di 气缭转而自缔
'qi'lin'ben'yu'jiu'gao'xi 麒麟奔於九皋兮
'qi'liu'yi'yu'jie'che'xi 畦留夷与揭车兮
'qi'ming'he'cong 其命何从
'qi'ming'zi'yu'tian'di'xi 齐名字於天地兮
'qi'ni'xi'nan'shang 骑霓兮南上
'qi'peng'xian'zhi'yu'le'xi 弃彭咸之娱乐兮
'qi'qi'xi'xi'xi 凄凄兮漇漇
'qi'qi'you'ta'gu'xi 岂其有他故兮
'qi'qian'sheng 齐千乘
'qi'shen'ruo'niu'xie 其身若牛些
'qi'shui'cong'yan 其谁从焉
'qi'song'wan'yu'liang'ying'xi 戚宋万於两楹兮
'qi'tu'lan'ren 其土烂人
'qi'wai'kuang'yu'xie 其外旷宇些
'qi'wei'an'shi 其位安施
'qi'wei'ren'fu'hui'chai 岂维纫夫蕙茝
'qi'wei'shi'qi'you'nv 岂惟是其有女
'qi'wu'bang'yi'ji'tai 齐吴榜以击汰
'qi'xia'lian'lian 泣下涟涟
'qi'xiao'wu'nei'xi 其小无内兮
'qi'xiu'shu'duo 其修孰多
'qi'xu'xi'er'zhan'jin 泣歔欷而霑衿
'qi'yan'ji'he 其衍几何
'qi'yu'dai'er'bing'chi 齐玉轪而并驰
'qi'yu'shen'zhi'chan'yang'xi 岂余身之僤殃兮
'qi'yu'xin'zhi'ke'cheng 岂余心之可惩
'qi'yu'yi'er'bu'ke'zhi 气於邑而不可止
'qi'zhan'jin'er'ru'mei 泣霑襟而濡袂
'qi'zheng'wu'xie 起郑舞些
'qi'zhi'he'qi'gu 岂知何其故
'qi'zhi'xi'he'gai 葺之兮荷盖
'qi'zhong'xin'zhi'ke'hua 岂忠信之可化
'qi'zui'yi'he 其罪伊何
'qian'bi'li'yu'shan'ye'xi 搴薜荔於山野兮
'qian'cang'jiu'qi 迁藏就岐
'qian'cang'xi'shan'ze 潜藏兮山泽
'qian'chang'zhou'zhi'su'mang 搴长洲之宿莽
'qian'chun'zhen'zhi 煔鹑敶只
'qian'dao'jin'yu'xi 铅刀进御兮
'qian'dao'li'yu'xi 铅刀历御兮
'qian'fei'lian'yi'qi'lu 前飞廉以启路
'qian'fu'rong'xi'mu'mo 搴芙蓉兮木末
'qian'hong'qi'yu'yu'men 褰虹旗於玉门
'qian'jiang'dan'xi'shou'gong 搴将憺兮寿宫
'qian'jun'wei'qing 千钧为轻
'qian'mu'gen'yi'jie'chai'xi 掔木根以结茝兮
'qian'qing'liang'zhi'qiang'qiang'xi 前轻辌之锵锵兮
'qian'qun'ci'er'wu'qu'xi 迁逡次而勿驱兮
'qian'ting'zhou'xi'du'ruo 搴汀洲兮杜若
'qian'tu'wei'gai 前图未改
'qian'wang'shu'shi'xian'qu'xi 前望舒使先驱兮
'qian'yu'su'er'wu'hui 牵於俗而芜秽
'qian'yu'ying'xi'zi'xiu 搴玉英兮自脩
'qian'yue 佥曰
'qian'zhi'bian'neng'xi 浅智褊能兮
'qian'zhou'ding'yu'jiang'huai'xi 潜周鼎於江淮兮
'qiang'bu'ke'bao'ye 羌不可保也
'qiang'bu'zhi'yu'zhi'suo'zang 羌不知余之所臧
'qiang'fang'hua'zi'zhong'chu 羌芳华自中出
'qiang'feng'xin'you'wei'hua 羌冯心犹未化
'qiang'ju'bi'er'wen'zhang 羌居蔽而闻章
'qiang'liang'zu'yi'bi'cuo 羌两足以毕斮
'qiang'ling'hun'zhi'yu'gui'xi 羌灵魂之欲归兮
'qiang'nei'shu'ji'yi'liang'ren'xi 羌内恕己以量人兮
'qiang'sheng'se'xi'yu'ren 羌声色兮娱人
'qiang'tiao'hu'er'nan'dang 羌儵忽而难当
'qiang'wu'shi'er'rong'chang 羌无实而容长
'qiang'wu'yi'yi'yu'zhong'fang 羌无以异於众芳
'qiang'xun'gao'er'nan'dang 羌迅高而难当
'qiang'yu'si'xi'chou'ren 羌愈思兮愁人
'qiang'zhong'dao'er'gai'lu 羌中道而改路
'qiang'zhong'dao'er'hui'pan'xi 羌中道而回畔兮
'qiang'zhong'ren'zhi'suo'chou'ye 羌众人之所仇也
'qiao'chui'bu'zhuo'xi 巧陲不斫兮
'qiao'ning'zai'qian'xi 巧佞在前兮
'qie'ai'xi'fu'ping 窃哀兮浮萍
'qie'bei'fu'hui'hua'zhi'ceng'fu'xi 窃悲夫蕙华之曾敷兮
'qie'bu'gan'wang'chu'zhi'hou'de 窃不敢忘初之厚德
'qie'bu'zi'liao'er'yuan'zhong'xi 窃不自料而原忠兮
'qie'cong'rong'xi'zi'wei 且从容兮自慰
'qie'dao'hou'zhi'wei'bai 窃悼後之危败
'qie'du'bei'ci'lin'qiu 窃独悲此廪秋
'qie'fu'shi'zhi'suo'ming 窃赋诗之所明
'qie'kuai'zai'qi'zhong'xin'xi 窃快在其中心兮
'qie'mei'shen'bao'xu'zhi'qi'sheng'xi 窃美申包胥之气晟兮
'qie'mu'shi'ren'zhi'yi'feng'xi 窃慕诗人之遗风兮
'qie'ren'xin'zhi'chi'jiu'xi 且人心之持旧兮
'qie'tang'yang'er'fan'guan 且倘佯而氾观
'qie'tian'ren'zhi'liu'su 切淟涊之流俗
'qie'yin'fu'er'yuan'shen 且隐伏而远身
'qie'yuan'jun'zhi'bu'wu'xi 窃怨君之不寤兮
'qin'cen'qi'yi'xi'jun'zeng'kui'gui 嵚岑碕礒兮碅磳磈硊
'qin'chan'yu'er'shu'xian'sheng'xi 亲谗谀而疏贤圣兮
'qin'gou'qi'lv 秦篝齐缕
'qin'shou'hai'xi'wang'qi'cao 禽兽骇兮亡其曹
'qin'zhong'zheng'zhi'kun'cheng'xi 亲忠正之悃诚兮
'qing'chen'yi'er'bu'da'xi 情沉抑而不达兮
'qing'chen'yi'er'bu'yang 情沉抑而不扬
'qing'chuan'cuo'yi'man'you 情舛错以曼忧
'qing'chun'jie'er'wang'hui'xi 情纯洁而罔薉兮
'qing'dan'dan'qi'ruo'yuan 情澹澹其若渊
'qing'huang'hu'yi'wang'gui'xi 情慌忽以忘归兮
'qing'huang'za'rou 青黄杂糅
'qing'ji'qiu'yu'jing'shi'xi 庆忌囚於阱室兮
'qing'kai'kai'er'chang'huai'xi 情慨慨而长怀兮
'qing'li'jie'si'xi 青骊结驷兮
'qing'ling'ling'er'jian'mie'xi 清泠泠而歼灭兮
'qing'rong'xing'er'shi'ce 倾容幸而侍侧
'qing'se'zhi'mei 青色直眉
'qing'sha'za'shu'xi'fan'cao'huo'mi 青莎杂树兮薠草靃靡
'qing'su'jie'yu'niu'bo 情素洁於纽帛
'qing'xin'dong'yin 清馨冻饮
'qing'yu'mao'qi'bu'bian 情与貌其不变
'qing'yu'zhi'xin'ke'bao'xi 情与质信可保兮
'qing'yuan'jian'zhi'ri'ming'xi 情冤见之日明兮
'qing'yun'yi'xi'bai'ni'chang 青云衣兮白霓裳
'qiong'bu'zhi'suo'shi 穷不知所示
'qiong'gu'cuo'heng 琼毂错衡
'qiong'mu'li'xie 琼木篱些
'qiong'shen'yong'le 穷身永乐
'qiu'cao'rong'qi'jiang'shi'xi 秋草荣其将实兮
'qiu'feng'liu'yi'xiao'xiao 秋风浏以萧萧
'qiu'hao'wei'zai'er'bian'rong 秋毫微哉而变容
'qiu'ji'xian'jie'yi'bai'lu'xi 秋既先戒以白露兮
'qiu'jie'zi'zhi'suo'cun'xi 求介子之所存兮
'qiu'ju'yue'zhi'suo'tong 求矩矱之所同
'qiu'lan'xi'qing'qing 秋兰兮青青
'qiu'ling'xiang'wu'xi 丘陵翔舞兮
'qiu'ling'xuan'yu'yu'yuan 囚灵玄於虞渊
'qiu'mi'fei'zhi'suo'zai 求宓妃之所在
'qiu'qiang'ming'xi'lin'lang 璆锵鸣兮琳琅
'qiu'shui'shen'xi'ling'nv 求水神兮灵女
'qiu'shui'wu'suo'de'xie 求水无所得些
'qiu'xiang'po'xie 遒相迫些
'qiu'xuan'yuan'xi'suo'chong'hua 求轩辕兮索重华
'qiu'zheng'qi'zhi'suo'you 求正气之所由
'qiu'zhi'wei'qi'ye 秋之为气也
'qu'bai'ri'zhi'zhao'zhao'xi 去白日之昭昭兮
'qu'gu'er'jiu'xin 去故而就新
'qu'gu'xiang'er'jiu'yuan'xi 去故乡而就远兮
'qu'jun'zhi'heng'gan 去君之恆幹
'qu'mei'gui'zhi 曲眉规只
'qu'min'you'hu'hua'chi 鼁黾游乎华池
'qu'piao'ji'er'bu'ke'de 去飘疾而不可得
'qu'qing'su'yi'cong'shi 屈情素以从事
'qu'wu'bu'yan 曲屋步壛
'qu'xiang'li'jia'xi'lai'yuan'ke 去乡离家兮徠远客
'qu'xiao'tiao'xi'mi'du 阒睄窕兮靡睹
'qu'xin'er'yi'zhi'xi 屈心而抑志兮
'qu'ying'dong'qian'yu'shui'mu'xi 去郢东迁余谁慕兮
'qu'yu'bang'zhi'mi'jiu 去余邦之弥久
'qu'yu'ming'xi'guo'yu 鸲鹆鸣兮聒余
'qu'yuan 屈原
'qu'yuan'chen'yu'mi'luo 屈原沉於汨罗
'qu'yuan'yue 屈原曰
'qu'zhong'gu'zhi'suo'ju'xi 去终古之所居兮
'qu'zi'qiao'zhi'ben'zou'xi 驱子侨之奔走兮
'qu'zi'xi'chen'xiang 屈子兮沉湘
'quan'bu'cha'yu'zhi'zhong'qing'xi 荃不察余之中情兮
'quan'hui'hua'er'wei'mao 荃蕙化而为茅
'quan'ju'gu'er'bu'xing 蜷局顾而不行
'quan'ju'xi'han'ju'shu 蜷跼兮寒局数
'qun'a'rong'yi'hui'guang'xi 群阿容以晦光兮
'qun'si'xi'nou'nou 群司兮譨譨
'qun'xing'xi'shang'xia 群行兮上下
'qun'xun'xi'pu'sou 逡巡兮圃薮
'qun'zhong'cheng'peng'xi 群众成朋兮
'ran'chao'chang'er'wu'ji 然怊怅而无冀
'ran'chao'chang'er'zi'bei 然怊怅而自悲
'ran'chou'chang'er'zi'bei 然惆怅而自悲
'ran'hou'de'ming'xie 然後得瞑些
'ran'huang'yang'er'bu'ke'dai 然潢洋而不可带
'ran'huang'yang'er'bu'yu'xi 然潢洋而不遇兮
'ran'kan'chi'er'chen'cang 然欿傺而沉藏
'ran'kan'ke'er'liu'zhi 然埳轲而留滞
'ran'kan'qie'er'yong'tan 然欿切而永叹
'ran'rong'yu'er'hu'yi 然容与而狐疑
'ran'wu'hui'er'xian'xi 然芜秽而险戏
'ran'yin'min'er'bu'da'xi 然隐悯而不达兮
'ran'yin'yi'er'mo'da 然霠曀而莫达
'ran'zhong'lu'er'mi'huo'xi 然中路而迷惑兮
'rao'qu'a'xi'bei'ci 绕曲阿兮北次
'ren'chong'zai'sheng'xi 任重载盛兮
'ren'er'bu'neng'she'ye 忍而不能舍也
'ren'fu'chang'zhi 人阜昌只
'ren'hui'xi'yong'ci 纫蕙兮永辞
'ren'qiu'lan'yi'wei'pei 纫秋兰以为佩
'ren'quan'hui'yu'xin'yi 纫荃蕙与辛夷
'ren'ruo'jiao'gan 衽若交竿
'ren'shang'li 人上栗
'ren'xin'bu'ke'wei'xi 人心不可谓兮
'ren'you'er'rang'gou 忍尤而攘诟
'ren'you'suo'ji 人有所极
'ren'zhi'xin'bu'yu'wu'xin'tong 人之心不与吾心同
'reng'yu'ren'yu'dan'qiu'xi 仍羽人於丹丘兮
'ri'an'bu'dao 日安不到
'ri'hu'hu'qi'jiang'mu 日忽忽其将暮
'ri'huang'hun'er'chang'bei 日黄昏而长悲
'ri'ji'jin'er'jue'liang 日饥馑而绝粮
'ri'jian'ran'er'bu'zi'zhi'xi 日渐染而不自知兮
'ri'jiang'mu'xi'chang'wang'gui 日将暮兮怅忘归
'ri'jin'yin'er'he'tong 日浸淫而合同
'ri'kang'yu'er'zi'wang'xi 日康娱而自忘兮
'ri'kang'yu'yi'yin'you 日康娱以淫游
'ri'mei'mei'qi'jiang'mu 日昧昧其将暮
'ri'miao'miao'er'ji'yuan 日眇眇而既远
'ri'mu'huang'hun'qiang'you'bei'xi 日暮黄昏羌幽悲兮
'ri'tun'tun'qi'xi'she'xi 日暾暾其西舍兮
'ri'yan'yan'er'xia'tui 日晻晻而下颓
'ri'yao'yao'yi'xi'tui'xi 日杳杳以西颓兮
'ri'yi'yuan'xi 日以远兮
'ri'yin'yi'qi'jiang'mu 日阴曀其将暮
'ri'yin'yi'xi'wei'guang 日阴曀兮未光
'ri'yu'mu'xi'xin'bei 日欲暮兮心悲
'ri'yue'an'shu 日月安属
'ri'yue'hu'qi'bu'yan'xi 日月忽其不淹兮
'rong'fu'ru'er'cai'xiu'fu 戎妇入而綵绣服
'rong'tai'hao'bi 容态好比
'rong'yu'han'zhu'ti'yin'yin'xi 容与汉渚涕淫淫兮
'rong'ze'xiu'ya 容则秀雅
'ru'bu'yan'xi'chu'bu'ci 入不言兮出不辞
'ru'he'bo'jian'er'hao'xiu'xi 汝何博謇而好修兮
'ru'huang'liang'xie 挐黄梁些
'ru'jing'xiang'zhi'wu'ying'xi 入景响之无应兮
'ru'lie'su'zhi'cuo'zhi 如列宿之错置
'ru'shi'yu'zhi 汝筮予之
'ru'xia'wu'bu'neng 入下吾不能
'ru'xiu'men'xie 入修门些
'ru'xu'pu'yu'shan'huai'xi 入溆浦余儃佪兮
'ru'zhi'ru'wei 如脂如韦
'ruo'a'fu'bi 蒻阿拂壁
'ruo'bi'shi'yu'zhi 若必筮予之
'ruo'hua'he'guang 若华何光
'ruo'long'feng'zhi'chen'shou'xi 若龙逢之沉首兮
'ruo'qing'ying'zhi'wei'zhi'xi 若青蝇之伪质兮
'ruo'shui'mi'qi'wei'nan'xi 弱水汨其为难兮
'ruo'xian'bei'zhi 若鲜卑只
'ruo'yan'gu'zhi 弱颜固植
'ruo'you'yi'zhi'chun'mei'xi 若由夷之纯美兮
'ruo'zai'yuan'xing 若在远行
'ruo'zhu'bai'zhi'yi'xin 若竹柏之异心
'ruo'zong'huo'yu'qiu'peng 若纵火於秋蓬
'san'gong'mu'mu 三公穆穆
'san'guang'lang'xi'jing'wan'fang 三光朗兮镜万方
'san'gui'zhong'hou 三圭重侯
'san'miao'zhi'tu'yi'fang'zhu'xi 三苗之徒以放逐兮
'san'nian'bu'de'fu'jian 三年不得复见
'san'niao'fei'yi'zi'nan'xi 三鸟飞以自南兮
'san'wei'an'zai 三危安在
'sang'hu'luo'xing 桑扈臝行
'sha'tang'xiu'zhi 沙堂秀只
'sha'you'yu'chong'fu'pei'wei 榝又欲充夫佩帏
'shan'bu'you'wai'lai'xi 善不由外来兮
'shan'fu'xi'e'e 山阜兮峉峉
'shan'gui'ruo'you'ren'xi'shan'zhi'a 山鬼若有人兮山之阿
'shan'jun'gao'yi'bi'ri'xi 山峻高以蔽日兮
'shan'jun'gao'yi'wu'yin'xi 山峻高以无垠兮
'shan'lin'xian'ai 山林险隘
'shan'liu'ke'zhi 善留客只
'shan'mei'ming'zhi 善美明只
'shan'qi'long'zong'xi'shi'cuo'e 山气巃嵸兮石嵯峨
'shan'qu'fu 山曲岪
'shan'que'xi'ying'ying 山鹊兮嘤嘤
'shan'shen'cha'yi'zhan'yan'xi 山参差以崭岩兮
'shan'xiao'tiao'er'wu'shou'xi 山萧条而无兽兮
'shan'xiu'yuan'qi'liao'liao'xi 山修远其辽辽兮
'shan'zhong'kan'kan'yu'shang'huai'xi 山中槛槛余伤怀兮
'shan'zhong'ren'xi'fang'du'ruo 山中人兮芳杜若
'shan'zhong'xi'bu'ke'yi'jiu'liu 山中兮不可以久留
'shan'zhong'you'xian'ying'lu'yuan'xi 山中幽险郢路远兮
'shang'an'shen'er'you'xia 尚黯黮而有瑕
'shang'bu'zhi'yu'zhi'cong'rong 尚不知余之从容
'shang'cha'xi'xuan'ji 上察兮璇玑
'shang'chan'chan'er'han'feng'xi 裳襜襜而含风兮
'shang'cheng'shi'zhi'bu'cha'xi 伤诚是之不察兮
'shang'chu'guo'zhi'duo'you 伤楚国之多忧
'shang'dong'ting'er'xia'jiang 上洞庭而下江
'shang'fa'dang'zhi 赏罚当只
'shang'feng'su'er'hai'sheng'xi 商风肃而害生兮
'shang'gao'yan'zhi'qiao'an'xi 上高岩之峭岸兮
'shang'he'lun'hu'huo'xiong 尚何论乎祸凶
'shang'huai'yong'ai'xi 伤怀永哀兮
'shang'jin'yi'huo 上浸以惑
'shang'jing'shen'er'shou'yao 伤精神而寿夭
'shang'li'san'zhi'jiao'luan'xi 伤离散之交乱兮
'shang'liao'kuo'er'wu'tian 上寥廓而无天
'shang'ling'xiu'zhi'shu'hua 伤灵修之数化
'shang'ming'zhu'zhi'fu'ni'xi 伤明珠之赴泥兮
'shang'qian'lian'yu'zeng'yi 上牵联於矰隿
'shang'san'wang'zhi 尚三王只
'shang'shi'su'xi'hun'luan 伤时俗兮溷乱
'shang'shi'wei'hao'tian'xi'zhao'ling 伤时惟昊天兮昭灵
'shang'su'xi'ni'zhuo 伤俗兮泥浊
'shang'tai'xi'zhi'min'lian'xi 伤太息之愍怜兮
'shang'tong'zao'rui'yu'fu'xi'xi 上同凿枘於伏戏兮
'shang'wei'rui'er'fang'lu'xi 上葳蕤而防露兮
'shang'wu'suo'kao'ci'sheng'de'xi 上无所考此盛德兮
'shang'xia'wei'xing 上下未形
'shang'xia'xi'tong'liu 上下兮同流
'shang'xia'you'you'zhi 上下悠悠只
'shang'xian'shi'zhi 尚贤士只
'shang'xin'bei 伤心悲
'shang'ya'ci'er'bu'fa'xi 伤压次而不发兮
'shang'yao'qiu'yu'xian'zhe 上要求於仙者
'shang'you'feng 上有枫
'shang'you'xi'hou'yuan 上有兮猴猿
'shang'you'you'er'jin'zhi 尚由由而进之
'shang'yu'bu'ming'hu'tian'xia 尚欲布名乎天下
'shang'yu'xin'zhi'bu'neng'yi 伤余心之不能已
'shang'yu'xin'zhi'you'you 伤余心之忧忧
'shang'yuan'xiang'er'fen'li 上沅湘而分离
'shang'zhi'lie'que'xi 上至列缺兮
'shao'ge'yue 少歌曰
'shao'li'san'wang 少离散亡
'shao'si'ming'qiu'lan'xi'mi'wu 少司命秋兰兮麋芜
'shao'xu'yu'er'shi'si 少须臾而释思
'she'dan'shui'er'tuo'cheng'xi 涉丹水而驼骋兮
'she'di'dai'xie 射递代些
'she'gu'liang'zhi 设菰粱只
'she'jiang'cai'ling 涉江采菱
'she'jiang'yu'you'hao'ci'qi'fu'xi 涉江余幼好此奇服兮
'she'jun'zhi'le'chu 舍君之乐处
'she'qing'yun'yi'fan'lan'you'xi 涉青云以汎滥游兮
'she'ti'xi'yun'di 摄提兮运低
'she'ti'zhen'yu'meng'zou'xi 摄提贞于孟陬兮
'she'yi'xi'huan'dai 摄衣兮缓带
'she'zhang'pi'yi'yu'jun'xi 设张辟以娱君兮
'shen'bei'ji'er'bu'xian'xi 身被疾而不閒兮
'shen'bu'gua'yu'wang'luo 身不挂於罔罗
'shen'bu'ke'ce'zhi 深不可测只
'shen'cha'chi'zhi'fan'huo'xi 申侘傺之烦惑兮
'shen'cheng'xin'er'wang'wei'xi 申诚信而罔违兮
'shen'dan'yi'shu'zhong'qing'xi 申旦以舒中情兮
'shen'fu'yi'er'wei'hui 身服义而未沬
'shen'fu'you'yi'gao'li 神浮游以高历
'shen'gao'chi'zhi'miao'miao 神高驰之邈邈
'shen'gu'nan'xi 深固难徙
'shen'guang'xi'jiong'jiong 神光兮颎颎
'shen'heng'xian'er'xia'chen'xi 身衡陷而下沉兮
'shen'ji'bu'rong'yu'zhuo'shi'xi 身既不容於浊世兮
'shen'ji'si'xi'shen'yi'ling 身既死兮神以灵
'shen'lin'yao'yi'ming'ming'xi 深林杳以冥冥兮
'shen'long'shi'shui'er'lu'ju'xi 神龙失水而陆居兮
'shen'qiao'cui'er'kao'dan'xi 身憔悴而考旦兮
'shen'qin'ji'er'ri'chou'xi 身寝疾而日愁兮
'shen'qu'xi'yi'cun 身去兮意存
'shen'ren'ruo'er'nan'chi 谌荏弱而难持
'shen'rong'yu'er'ri'yuan 身容与而日远
'shen'shen'qi'li'yu 申申其詈予
'shen'sheng'xiao'er'bei'yang 申生孝而被殃
'shen'tiao'hu'er'bu'fan'xi 神儵忽而不反兮
'shen'tu'di'zhi'fu'yuan 申徒狄之赴渊
'shen'wang'liang'er'wu'she 神罔两而无舍
'shen'yao'miao'yi'yin'fang 神要眇以淫放
'shen'yi'qi'zhi'he'de 审壹气之和德
'shen'yong'liu'er'bu'hai'xi 身永流而不还兮
'shen'you'suo'bu'tong 神有所不通
'shen'you'yin'er'bei'zhi 身幽隐而备之
'shen'zhang'ling'pian'xi 神章灵篇兮
'shen'zhi'si'er'bu'de'cheng 身至死而不得逞
'sheng'ai'ai'er'huai'gao'qiu'xi 声哀哀而怀高丘兮
'sheng'ao'ao'yi'ji'liao'xi 声嗷嗷以寂寥兮
'sheng'che'xi'ming'pu 昇车兮命仆
'sheng'chi'diao'xi'qing'he 声噭誂兮清和
'sheng'jian'bu'tong'zhi 盛鬋不同制
'sheng'nan'guo'xi 生南国兮
'sheng'qi'zhi'er'guo'zhi 晟气志而过之
'sheng'ren'bu'ning'zhi'yu'wu 圣人不凝滞於物
'sheng'shun'she'xi'zhao'yao'xu 圣舜摄兮昭尧绪
'sheng'tian'di'zhi'ruo'guo'xi 生天地之若过兮
'sheng'tian'zhui'zhi'ruo'guo'xi 生天坠之若过兮
'sheng'xian'pu'yi'xuan'mie 升县圃以眩灭
'sheng'xu'ling'ming'pei'zhuo'fu'qing'ru'di'gong'xi 升虚凌冥沛浊浮清入帝宫兮
'sheng'you'yin'er'xian'chang 声有隐而先倡
'sheng'you'yin'er'xiang'gan'xi 声有隐而相感兮
'shi'ai'ai'qi'jiang'ba'xi 时暧暧其将罢兮
'shi'ai'dai'qi'tang'mang'xi 时暧曃其曭莽兮
'shi'bei'bi'xie 侍陂陛些
