'an'dong 暗动
'zi'sun'xu'tu 子孙戌土
'zi'sun'xu'tu'chi'shi 子孙戌土持世
'zi'sun'yin'mu 子孙寅木
'zi'sun'yin'mu'chi'shi 子孙寅木持世
'zi'sun'you'jin 子孙酉金
'zi'sun'you'jin'chi'shi 子孙酉金持世
'zi'sun'zi'shui 子孙子水
'zi'sun'zi'shui'chi'shi 子孙子水持世
'zi'wei 子未
'zi'wei 紫微
'zi'wei'dou'shu 紫微斗数
'zi'wei'hai 子未害
'zi'wu 子午
'zi'wu'chong 子午冲
'zi'xin 自信
'zi'xing 自刑
'zi'yue 子月
'zi'zhan 自占
'zuo'fu 左辅
'zuo'san'you'qi 左三右七
'zuo'shui'dao'you 左水倒右
