'a'er'tai'xue'ji 阿尔泰雪鸡
'xiu'xiong'lan'ji'weng 锈胸蓝姬鹟
'xu'wei'ying 须苇莺
'xuan'yan'ou 玄燕鸥
'xue'chun 雪鹑
'xue'ge 雪鸽
'xue'li'ying 靴篱莺
'xue'que 血雀
'xue'sun'diao 靴隼雕
'xue'wu 雪鹀
'xue'xiao 雪鸮
'xue'yan 雪雁
'xue'zhi 血雉
'ya'hai'ya 崖海鸦
'ya'li'shan'da'ying'wu 亚历山大鹦鹉
'ya'sha'yan 崖沙燕
'ya'zhou'hui'liang'niao 亚洲辉椋鸟
'ya'zui'juan'wei 鸦嘴卷尾
'yan'bin'yu 岩滨鹬
'yan'fu'mao'jiao'yan 烟腹毛脚燕
'yan'ge 岩鸽
'yan'lei'niao 岩雷鸟
'yan'liu'ying 烟柳莺
'yan'lu 岩鹭
'yan'que 燕雀
'yan'sun 燕隼
'yan'wen'huang'shan'que 眼纹黄山雀
'yan'wen'zao'mei 眼纹噪鹛
'yan'yan 岩燕
'yang'yan 洋燕
'ye'lu 夜鹭
'yi'ou 遗鸥
'yi'se'shu'ying 异色树莺
'yin'du'ba'se'dong 印度八色鸫
'yin'du'chi'lu 印度池鹭
'yin'du'jin'huang'li 印度金黄鹂
'yin'du'shou'dai 印度寿带
'yin'er'xiang'si'niao 银耳相思鸟
'yin'er'zao'mei 银耳噪鹛
'yin'hou'chang'wei'shan'que 银喉长尾山雀
'yin'lian'chang'wei'shan'que 银脸长尾山雀
'yin'xiong'si'guan'niao 银胸丝冠鸟
'ying'diao 鹰雕
'ying'xiao 鹰鸮
'you'bi'tian'e 疣鼻天鹅
'you'sun 游隼
'you'ya'jiao'xiao 优雅角鸮
'yu'dai'hai'diao 玉带海雕
'yu'diao 渔雕
'yu'ou 渔鸥
'yu'shan'que'mei 玉山雀鹛
'yu'tou'ji'weng 玉头姬鹟
'yuan'dong'shu'ying 远东树莺
'yuan'dong'wei'ying 远东苇莺
'yuan'ge 原鸽
'yuan'yang 鸳鸯
'yun'nan'bai'ban'wei'liu'ying 云南白斑尾柳莺
'yun'nan'liu'ying 云南柳莺
'yun'nan'que'mei 云南雀鹛
'yun'que 云雀
'yun'shi'ban'ya 云石斑鸭
'za'se'shan'que 杂色山雀
'za'se'zao'mei 杂色噪鹛
'zang'huang'que 藏黄雀
'zang'ma'ji 藏马鸡
'zang'que 藏雀
'zang'wu 藏鹀
'zang'wu'dong 藏乌鸫
'zang'xue'ji 藏雪鸡
'zang'xue'que 藏雪雀
'zao'juan 噪鹃
'zao'wei'ying 噪苇莺
'ze'yu 泽鹬
'zhao'wa'ba'ge 爪哇八哥
'zhao'wa'chi'lu 爪哇池鹭
'zhao'wa'jin'si'yan 爪哇金丝燕
'zhao'ze'da'wei'ying 沼泽大尾莺
'zhao'ze'shan'que 沼泽山雀
'zhe'hong'wei'qu 赭红尾鸲
'zhen'dan'ya'que 震旦鸦雀
'zhen'wei'lv'jiu 针尾绿鸠
'zhen'wei'sha'zhui 针尾沙锥
'zhen'wei'ya 针尾鸭
'zhong'bai'lu 中白鹭
'zhong'biao'yu 中杓鹬
'zhong'du'juan 中杜鹃
'zhong'hua'cao'mei 中华草鹛
'zhong'hua'chang'wei'que 中华长尾雀
'zhong'hua'duan'chi'huang'ying 中华短翅蝗莺
'zhong'hua'duan'zhi'bai'ling 中华短趾百灵
'zhong'hua'feng'tou'yan'ou 中华凤头燕鸥
'zhong'hua'pan'que 中华攀雀
'zhong'hua'qiu'sha'ya 中华秋沙鸭
'zhong'hua'que'mei 中华雀鹛
'zhong'hua'xian'weng 中华仙鹟
'zhong'hua'zhe'gu 中华鹧鸪
'zhong'hua'zhu'que 中华朱雀
'zhong'ya'duan'zhi'bai'ling 中亚短趾百灵
'zhong'ya'ge 中亚鸽
'zhong'ya'ji'zha'liu'ying 中亚叽喳柳莺
'zhong'zei'ou 中贼鸥
'zhu'bei'zhuo'hua'niao 朱背啄花鸟
'zhu'huan 朱鹮
'zhu'jing'ban'jiu 珠颈斑鸠
'zhu'lan'ji'weng 侏蓝姬鹟
'zhu'li 朱鹂
'zhu'lu'ci 侏鸬鹚
'zhu'wu 朱鹀
'zhu'zhuo'mu'niao 竹啄木鸟
'zi'bei'liang'niao 紫背椋鸟
'zi'bei'wei'zhan 紫背苇鳽
'zi'chi'liang'niao 紫翅椋鸟
'zi'hua'mi'niao 紫花蜜鸟
'zi'jia'tai'yang'niao 紫颊太阳鸟
'zi'jin'juan 紫金鹃
'zi'kuan'zui'dong 紫宽嘴鸫
'zi'lin'ge 紫林鸽
'zi'shou'dai 紫寿带
'zi'shui'ji 紫水鸡
'zi'xiao'dong 紫啸鸫
'zi'zhen'wei'yu'yan 紫针尾雨燕
'zong'ban'jiu 棕斑鸠
'zong'bei'bo'lao 棕背伯劳
'zong'bei'hei'tou'dong 棕背黑头鸫
'zong'bei'tian'ji 棕背田鸡
'zong'bei'xue'que 棕背雪雀
'zong'cao'mei 棕草鹛
'zong'chi'kuang'ying 棕翅鵟鹰
'zong'ding'shu'ying 棕顶树莺
'zong'e'chang'wei'shan'que 棕额长尾山雀
'zong'fu'da'xian'weng 棕腹大仙鹟
'zong'fu'ju'mei 棕腹鵙鹛
'zong'fu'lan'xian'weng 棕腹蓝仙鹟
'zong'fu'lin'qu 棕腹林鸲
'zong'fu'liu'ying 棕腹柳莺
'zong'fu'shu'que 棕腹树鹊
'zong'fu'sun'diao 棕腹隼雕
'zong'fu'xian'weng 棕腹仙鹟
'zong'fu'ying'juan 棕腹鹰鹃
'zong'fu'zhuo'mu'niao 棕腹啄木鸟
'zong'he'duan'chi'huang'ying 棕褐短翅蝗莺
'zong'hou'liao'mei 棕喉鹩鹛
'zong'hou'que'mei 棕喉雀鹛
'zong'jing'gou'zui'mei 棕颈钩嘴鹛
'zong'jing'xi'niao 棕颈犀鸟
'zong'jing'xue'que 棕颈雪雀
'zong'jing'ya 棕颈鸭
'zong'ke'zao'mei 棕颏噪鹛
'zong'lian'weng'ying 棕脸鹟莺
'zong'mei'liu'ying 棕眉柳莺
'zong'mei'shan'yan'liu 棕眉山岩鹨
'zong'san'zhi'chun 棕三趾鹑
'zong'shan'wei'ying 棕扇尾莺
'zong'sou'qu 棕薮鸲
'zong'tou'ge'qu 棕头歌鸲
'zong'tou'gou'zui'mei 棕头钩嘴鹛
'zong'tou'ou 棕头鸥
'zong'tou'que'mei 棕头雀鹛
'zong'tou'ya'que 棕头鸦雀
'zong'tou'you'mei 棕头幽鹛
'zong'tou'yuan'wei'hu 棕头圆尾鹱
'zong'tun'feng'mei 棕臀凤鹛
'zong'wei'bo'lao 棕尾伯劳
'zong'wei'he'weng 棕尾褐鹟
'zong'wei'hong'zhi 棕尾虹雉
'zong'wei'kuang 棕尾鵟
'zong'wen'fu'xiao'xiao 纵纹腹小鸮
'zong'wen'jiao'xiao 纵纹角鸮
'zong'wen'lv'bei 纵纹绿鹎
'zong'xiong'fo'fa'seng 棕胸佛法僧
'zong'xiong'lan'ji'weng 棕胸蓝姬鹟
'zong'xiong'ya'mei 棕胸雅鹛
'zong'xiong'yan'liu 棕胸岩鹨
'zong'xiong'zhu'ji 棕胸竹鸡
'zong'ye'lu 棕夜鹭
'zong'yu'yan 棕雨燕
'zong'zao'mei 棕噪鹛
'zong'zhen'shan'que 棕枕山雀
'zong'zhu'que 棕朱雀
