'a'fu'ta'kui'yang 阿弗他溃疡
'ya'lv'pao 牙滤泡
'ya'meng'chu 牙萌出
'ya'mian 牙面
'ya'mo'xing 牙模型
'ya'nang 牙囊
'ya'nei'ding 牙内钉
'ya'nei'xi'shou 牙内吸收
'ya'nei'xian 牙内陷
'ya'pai'lie 牙排列
'ya'pang'nang'zhong 牙旁囊肿
'ya'pei 牙胚
'ya'pian 牙片
'ya'qin'shi'zheng 牙侵蚀症
'ya'ru'tou 牙乳头
'ya'shen'suan'ya'sui'shi'huo'ji 亚砷酸牙髓失活剂
'ya'shi 牙式
'ya'shi 牙石
'ya'shi'ji 牙始基
'ya'shi'zhi'shu 牙石指数
'ya'sui 牙髓
'ya'sui'bian'xing 牙髓变性
'ya'sui'bing'xue 牙髓病学
'ya'sui'chong'xue 牙髓充血
'ya'sui'gai'hua 牙髓钙化
'ya'sui'hua'sheng 牙髓化生
'ya'sui'huai'ju 牙髓坏疽
'ya'sui'huai'si 牙髓坏死
'ya'sui'huo'li'ce'yan'qi 牙髓活力测验器
'ya'sui'huo'li'dian'ce'yan'qi 牙髓活力电测验器
'ya'sui'jian'jin'xing'huai'si 牙髓渐进性坏死
'ya'sui'nong'zhong 牙髓脓肿
'ya'sui'qie'duan'shu 牙髓切断术
'ya'sui'shi'huo 牙髓失活
'ya'sui'shi'huo'ji 牙髓失活剂
'ya'sui'su'hua'ji 牙髓塑化剂
'ya'sui'su'hua'zhi'liao 牙髓塑化治疗
'ya'sui'tan'zhen 牙髓探针
'ya'sui'wang'zhuang'wei'suo 牙髓网状萎缩
'ya'sui'xi'rou 牙髓息肉
'ya'sui'xian'wei'xing'bian 牙髓纤维性变
'ya'sui'ya'ben'zhi'fu'he'ti 牙髓牙本质复合体
'ya'sui'ya'zhou'lian'he'bing'bian 牙髓牙周联合病变
'ya'sui'yan 牙髓炎
'ya'sui'zhai'chu'shu 牙髓摘除术
'ya'ti'fa'yu'yi'chang'zheng 牙体发育异常症
'ya'ti'jie'pou'xue 牙体解剖学
'ya'ti'wai'ke'xue 牙体外科学
'ya'ting 牙挺
'ya'tong 牙痛
'ya'xia'chen 牙下沉
'ya'xian 牙线
'ya'xian'jia 牙线夹
'ya'xiao'pi 牙小皮
'ya'yin 牙龈
'ya'yin'an'mo 牙龈按摩
'ya'yin'dao 牙龈刀
'ya'yin'dian'cai 牙龈点彩
'ya'yin'lie 牙隐裂
'ya'yin'lie 牙龈裂
'ya'yin'liu 牙龈瘤
'ya'yin'nang'zhong 牙龈囊肿
'ya'yin'shang'pi 牙龈上皮
'ya'yin'tui'suo 牙龈退缩
'ya'yin'xian'wei'liu'bing 牙龈纤维瘤病
'ya'yin'zeng'sheng 牙龈增生
'ya'yuan'xing'gai'hua'nang'zhong 牙源性钙化囊肿
'ya'yuan'xing'gai'hua'shang'pi'liu 牙源性钙化上皮瘤
'ya'yuan'xing'jiao'hua'nang'zhong 牙源性角化囊肿
'ya'yuan'xing'lin'zhuang'xi'bao'liu 牙源性鳞状细胞瘤
'ya'yuan'xing'nang'zhong 牙源性囊肿
'ya'yuan'xing'nian'ye'liu 牙源性粘液瘤
'ya'yuan'xing'shang'pi'xing'zhong'liu 牙源性上皮性肿瘤
'ya'yuan'xing'tou'ming'xi'bao'liu 牙源性透明细胞瘤
'ya'yuan'xing'xian'liu'yang'liu 牙源性腺瘤样瘤
'ya'yuan'xing'xian'wei'liu 牙源性纤维瘤
'ya'yuan'xing'xian'wei'rou'liu 牙源性纤维肉瘤
'ya'yuan'xing'zhong'liu 牙源性肿瘤
'ya'zhi'chi 牙支持
'ya'zhi'chi'shi 牙支持式
'ya'zhong'ya 牙中牙
'ya'zhong'zhi'shu 牙种植术
'ya'zhou'bian'xing 牙周变性
'ya'zhou'bing 牙周病
'ya'zhou'bing'xue 牙周病学
'ya'zhou'bing'zhi'shu 牙周病指数
'ya'zhou'chuang'shang 牙周创伤
'ya'zhou'cuo 牙周锉
'ya'zhou'dai 牙周袋
'ya'zhou'dai'biao'ji'nie 牙周袋标记镊
'ya'zhou'dai'tan'zhen 牙周袋探针
'ya'zhou'fan'ban'shu 牙周翻瓣术
'ya'zhou'ji'lu'biao 牙周记录表
'ya'zhou'mo 牙周膜
'ya'zhou'mo'jin'run'ma'zui 牙周膜浸润麻醉
'ya'zhou'nong'zhong 牙周脓肿
'ya'zhou'sai'zhi'ji 牙周塞治剂
'ya'zhou'sai'zhi'shu 牙周塞治术
'ya'zhou'shang'pi'sheng'yu 牙周上皮剩余
'ya'zhou'wei'suo 牙周萎缩
'ya'zhou'xie'tong'po'huai'qu 牙周协同破坏区
'ya'zhou'xin'fu'zhuo 牙周新附着
'ya'zhou'ya'sui'lian'he'zhi'liao 牙周牙髓联合治疗
'ya'zhou'zai'fu'zhuo 牙周再附着
'ya'zhou'zhi'shu 牙周指数
'ya'zhou'zu'zhi 牙周组织
'ya'zhou'zu'zhi'ji're'qu 牙周组织激惹区
'ya'zi'dong'meng'chu 牙自动萌出
'ya'zuan 牙钻
'yan'ban 烟斑
'yan'hou'bi'ban 咽后壁瓣
'yan'jian'xing'kou'yan 烟碱性口炎
'yan'mo 研磨
'yan'pang'jian'xi 咽旁间隙
'yan'shen'ka'huan 延伸卡环
'yan'xing'gen'pang'nang'zhong 炎性根旁囊肿
'yang'hua'lv'zhong'zhi'ti 氧化铝种植体
'yang'hua'xin'ding'xiang'you'fen 氧化锌丁香油酚
'yang'hua'xin'ding'xiang'you'fen'yin'mo'hu'ji 氧化锌丁香油酚印模糊剂
'yao'chun'zheng 咬唇症
'yao'he 咬合
'yao'he'zhi 咬合纸
'yao'jia'zheng 咬颊症
'yao'jin'ya 咬紧牙
'ye'mo'ya'zheng 夜磨牙症
'ye'yong'hu'ban 夜用护板
'ye'zhuang'ru'tou'yan 叶状乳头炎
'yi'chi'bian'yuan 义齿边缘
'yi'chi'cheng'tuo'qu 义齿承托区
'yi'chi'nian'fu'ji 义齿粘附剂
'yi'chi're'chu'li 义齿热处理
'yi'chi'tian'sai 义齿填塞
'yi'chi'xi'fu'zuo'yong 义齿吸附作用
'yi'chi'xing'he 义齿型盒
'yi'chi'xing'kou'qiang'tong 义齿性口腔痛
'yi'chi'xing'kou'yan 义齿性口炎
'yi'chuan'xing'ru'guang'ya'ben'zhi 遗传性乳光牙本质
'yi'chuan'xing'you'zhi'fa'yu'yi'chang'zheng 遗传性釉质发育异常症
'yi'e'guan'zhu'she'fa 翼腭管注射法
'yi'e'wo'zong'he'zheng 翼腭窝综合征
'yi'he 义颌
'yi'shang'he'lie'dian 翼上颌裂点
'yi'shang'he'yan'shen'zhong'zhi'ti 翼上颌延伸种植体
'yi'wei'pi'zhi'xian 异位皮脂腺
'yi'wei'xian'xian 异位涎腺
'yi'wei'ya 易位牙
'yi'xia'he'jian'xi 翼下颌间隙
'yi'xia'he'zhu'she'fa 翼下颌注射法
'yi'xue'zhuan'ye'ci'hui 医学专业词汇
'yi'yuan'qu 翼缘区
'yi'zhong'ya'yi'zhi'shu 异种牙移植术
'yin'ban 龈瓣
'yin'bian'xing 龈变性
'yin'cheng'xing'shu 龈成形术
'yin'dai 龈袋
'yin'gong'chen'zhuo'zheng 银汞沉着症
'yin'gong'he'jin 银汞合金
'yin'gou 龈沟
'yin'gou'ye'ce'liang'yi 龈沟液测量仪
'yin'gou'ye'qu'yang'zhi'tiao 龈沟液取样纸条
'yin'gu 龈谷
'yin'kou'yan 龈口炎
'yin'liu'xue'zhi'shu 龈流血指数
'yin'mo 印模
'yin'mo'cai'liao 印模材料
'yin'mo'gao 印模膏
'yin'mo'hu'ji 印模糊剂
'yin'mo'mian 印模面
'yin'mo'shi'gao 印模石膏
'yin'mo'tuo'pan 印模托盘
'yin'qie'chu'shu 龈切除术
'yin'ru'tou 龈乳头
'yin'ru'tou'yan 龈乳头炎
'yin'shang'ya'shi 龈上牙石
'yin'xia'gua'zhi'qi 龈下刮治器
'yin'xia'gua'zhi'shu 龈下刮治术
'yin'xia'ya'shi 龈下牙石
'yin'xian'wei'liu'bing'duo'mao'zong'he'zheng 龈纤维瘤病多毛综合征
'yin'ya'jie'he'bu 龈牙结合部
'yin'ya'xian'wei 龈牙纤维
'yin'yan 龈炎
'yin'yan'zhi'shu 龈炎指数
'ying'gu'ban 硬骨板
'ying'li'fu'cheng'tuo'qu 应力副承托区
'ying'li'huan'chong'qi 应力缓冲器
'ying'li'huan'chong'shi'qiao 应力缓冲式桥
'ying'li'zhu'cheng'tuo'qu 应力主承托区
'yong'jiu'chong'tian 永久充填
'yong'jiu'xing'zhong'zhi'ti 永久性种植体
'you'ban 釉板
'you'cong 釉丛
'you'ji'zhi 釉基质
'you'jie 釉结
'you'kong'yin'mu'tuo'pan 有孔印模托盘
'you'li'duan'gu'ding'qiao 游离端固定桥
'you'li'yin 游离龈
'you'li'yin'gou 游离龈沟
'you'mian'heng'wen 釉面横纹
'you'shang'pi 釉上皮
'you'suo 釉梭
'you'suo 釉索
'you'xiao'pi 釉小皮
'you'zhi 釉质
'you'zhi'bai'e'ban 釉质白垩斑
'you'zhi'fa'sheng 釉质发生
'you'zhi'fa'yu'bu'quan'zheng 釉质发育不全症
'you'zhi'gai'hua'bu'quan'zheng 釉质钙化不全症
'you'zhi'sheng'zhang'xian 釉质生长线
'you'zhi'ya'ben'zhi'jie 釉质牙本质界
'you'zhi'ya'gu'zhi'jie 釉质牙骨质界
'you'zhi'zhu 釉质珠
'you'zhu 釉柱
'you'zhu'qiao 釉柱鞘
'you'zhuang'bai'ban 疣状白斑
'you'zhuang'huang'liu 疣状黄瘤
'you'zhuang'zeng'sheng 疣状增生
'you'zou'xing'she'yan 游走性舌炎
'yu'fang'kou'qiang'yi'xue 预防口腔医学
'yu'fang'kou'qiang'zheng'ji'xue 预防口腔正畸学
'yu'fang'xing'kuo'zhan 预防性扩展
'yu'yin'jiao'zheng'qi 语音矫正器
'yu'yin'zhi'liao 语音治疗
'yuan'fa'xing'ya'ben'zhi 原发性牙本质
'yuan'guan 圆管
'yuan'zhong'cuo'wei 远中错位
'yuan'zhong'mian 远中面
'yuan'zhong'xiang'zu'sheng 远中向阻生
'yuan'zhong'xie'xing'ban 远中楔形瓣
'yue'ge'xian'wei 越隔纤维
'zan'feng'cai'liao 暂封材料
'zan'ji'tuo 暂基托
'zan'shi'chong'tian 暂时充填
'zan'shi'xing'yi'chi 暂时性义齿
'zao'jie'chu 早接触
'zao'meng 早萌
'zao'suan'yan'yin'mu'cai'liao 藻酸盐印模材料
'zao'zhuang'qie'ya 凿状切牙
'ze'si'te'mao'ao'fu'zhuo'ti 泽斯特锚凹附着体
'zeng'li'qiao'ji 增力桥基
'zeng'qiang'zhi'kang 增强支抗
'zeng'sheng'xing'yin'yan 增生性龈炎
'zeng'zhi'xing'nong'xing'kou'yan 增殖性脓性口炎
'zhan'gu 粘固
'zhan'gu'ji 粘固剂
'zhan'la 粘蜡
'zhang'mu'zhi'wo'fa 掌拇指握法
'zhang'zhi'jiao'hua'ya'zhou'bing'zong'he'zheng 掌跖角化牙周病综合征
'zhao'ya'ben'zhi 罩牙本质
'zhen'duan'mo'xing 诊断模型
'zhen'kong'xi'yin'qi 真空吸引器
'zhen'kong'zhu'zao'ji 真空铸造机
'zhen'zhi'kang 枕支抗
'zheng'he'wai'ke'xue 正颌外科学
'zheng'he'xue 正颌学
'zheng'ji'bao'chi'qi 正畸保持器
'zheng'ji'jiao'zhi'qi 正畸矫治器
'zheng'ji'li 正畸力
'zheng'ti'zhu'zao 整体铸造
'zheng'zhong'dang 正中挡
'zheng'zhong'e'wai'ya 正中额外牙
'zheng'zhong'guan'xi 正中关系
'zheng'zhong'guan'xi'hu 正中关系弧
'zheng'zhong'guan'xi'wei 正中关系位
'zheng'zhong'ling'xing'she'yan 正中菱形舌炎
'zheng'zhong'ping'heng 正中平衡
'zheng'zhong'suo 正中锁
'zheng'zhong'zi'you'qu 正中自由区
'zhi'dian'xian 支点线
'zhi'dong'shou'ji 直动手机
'zhi'huang 指簧
'zhi'jie'gu'wei 直接固位
'zhi'jie'gu'wei'ti 直接固位体
'zhi'jie'gu'yin'mo 直接骨印模
'zhi'kang 支抗
'zhi'shou'ji 直手机
'zhi'tuo 支托
'zhi'tuo'qu 支托区
'zhong'jian'qiao'ji 中间桥基
'zhong'jian'ya'gu'zhi 中间牙骨质
'zhong'jian'zhong'zhi'ti 中间种植体
'zhong'mo'xing 终模型
'zhong'xing'qu 中性区
'zhong'yang'jian 中央尖
'zhong'yang'wo 中央窝
'zhong'yin'mo 终印模
'zhong'zhi'qiao'ji'gu'ding'qiao 种植桥基固定桥
'zhong'zhi'ti'gu'wei 种植体固位
'zhong'zhi'ya'zhou'mo 种植牙周膜
'zhong'zhi'yi'chi 种植义齿
'zhong'zhi'yi'chi'zu'zhi'nei'bu'jie'gou 种植义齿组织内部结构
'zhong'zhi'yi'chi'zu'zhi'wai'bu'jie'gou 种植义齿组织外部结构
'zhong'zhi'zhuang 种植桩
'zhong'zhuang'qi 钟状期
'zhou'mian 轴面
'zhu'dao 铸道
'zhu'dao'zhen 铸道针
'zhu'jian 铸件
'zhu'jian'qu 柱间区
'zhu'mo'xing 主模型
'zhu'qiao'ji 主桥基
'zhu'xian'wei 主纤维
'zhu'zao 铸造
'zhu'zao'chun'gan 铸造唇杆
'zhu'zao'ding'gai 铸造顶盖
'zhu'zao'guan 铸造冠
'zhu'zao'guan'jia'ban 铸造冠夹板
'zhu'zao'ka'huan 铸造卡环
'zhu'zao'la 铸造蜡
'zhu'zao'quan 铸造圈
'zhu'zao'xing'he 铸造型盒
'zhuan'ju'cheng'xing'qian 转矩成形钳
'zhuan'ju'fu'gong 转矩辅弓
'zhuan'ju'tuo'cao 转矩托槽
'zhuan'yi'gai 转移盖
'zhuang'guan 桩冠
'zhuang'he 装盒
'zhui'xing'ya 锥形牙
'zi'jie'qu 自洁区
'zi'ning'shu'zhi 自凝树脂
'zi'shen'ya'gen'zhong'zhi'ti 自身牙根种植体
'zi'shen'ya'yi'zhi'shu 自身牙移植术
'zu'duan'kou'qiang'zheng'ji'xue 阻断口腔正畸学
'zu'he'xing'ya'liu 组合性牙瘤
'zu'se'qi 阻塞器
'zu'sheng'ya 阻生牙
'zu'zhi'mian 组织面
'zui'guang'fan'jie'chu'ya'jian'jiao'cuo'wei 最广泛接触牙尖交错位
