'a'bu'shi 阿布石
'lv'lv'ni'shi 铝绿泥石
'lv'lv'shi'gao 铝氯石膏
'lv'mei'shi 氯镁石
'lv'mei'tie'fan 绿镁铁矾
'lv'meng'kuang 氯锰矿
'lv'meng'tuo'shi 绿蒙脱石
'lv'ni 绿泥
'lv'ni'hua'gang'yan 绿泥花岗岩
'lv'ni'mei'lv'liu'shi 绿泥镁铝榴石
'lv'ni'na'zhang'jiao'ban'yan 绿泥钠长角斑岩
'lv'ni'pian'yan 绿泥片岩
'lv'ni'shan'lian'pian'yan 绿泥闪帘片岩
'lv'ni'shi 绿泥石
'lv'ni'shi'hua 绿泥石化
'lv'nie'gu'he'jin 铝镍钴合金
'lv'nie'kuang 绿镍矿
'lv'pan'yan 绿磐岩
'lv'pan'yan'hua 绿磐岩化
'lv'peng'na'shi 氯硼钠石
'lv'peng'tong'shi 氯硼铜石
'lv'pian'yan 绿片岩
'lv'qian'kuang 氯铅矿
'lv'qian'mang'xiao 氯铅芒硝
'lv'qiang'meng'kuang 氯羟锰矿
'lv'qiang'wei'hui'shi 绿蔷薇辉石
'lv'se'ning'hui'yan 绿色凝灰岩
'lv'se'ning'hui'yan'zu 绿色凝灰岩组
'lv'se'pian'yan'xiang 绿色片岩相
'lv'shan'shi 绿闪石
'lv'shen'bei'tie'kuang 绿砷钡铁矿
'lv'shen'tie'tong'kuang 绿砷铁铜矿
'lv'shi'mian 绿石棉
'lv'shui'jin'yun'mu 绿水金云母
'lv'shui'shen'gai'tong'kuang 绿水砷钙铜矿
'lv'shui'yun'mu 绿水云母
'lv'song'shi 绿松石
'lv'suan 氯酸
'lv'suan'yan 铝酸盐
'lv'tai'pian'jing'shi 铝钛片晶石
'lv'ti'qian'kuang 氯锑铅矿
'lv'ti'qian'kuang 绿锑铅矿
'lv'tie'di'kuang 绿铁碲矿
'lv'tie'shan'shi 铝铁闪石
'lv'tie'shan'shi 绿铁闪石
'lv'tie'tu 铝铁土
'lv'tong'fan 氯铜矾
'lv'tong'kuang 氯铜矿
'lv'tong'qian'kuang 氯铜铅矿
'lv'tong'xiao'shi 氯铜硝石
'lv'tong'xin'kuang 绿铜锌矿
'lv'tu'kuang 铝土矿
'lv'tu'kuang'chuang 铝土矿床
'lv'tuo'shi 绿脱石
'lv'xian'shi 绿纤石
'lv'xiu'yin'kuang 氯溴银矿
'lv'yan 绿岩
'lv'yan'tong'kuang 绿盐铜矿
'lv'ye 滤液
'lv'ying'shi 绿萤石
'lv'ying'yun'mu 绿硬云母
'lv'you'kuang 绿铀矿
'lv'you'yun'mu 铝铀云母
'lv'yu'sui 绿玉髓
'lv'zao'lei 绿藻类
'lv'zhi 滤纸
'lv'zhi'shan'shi 铝直闪石
'lv'zhou 绿州
'lv'zhu'shi 绿柱石
'ma'an'shi 马鞍石
'ma'er'ke'fu'guo'cheng 马尔柯夫过程
'ma'er'ke'fu'lian 马尔柯夫链
'ma'li'yan'xiang 麻粒岩相
'ma'mu'tong 麻姆统
'ma'nao 玛瑙
'ma'shan'ban'yan 马山斑岩
'ma'shan'yan 马山岩
'ma'wei'qun'luo 马味群落
'ma'wei'si'zhuang'gou'zao 马尾丝状构造
'mai'cang'bian'zhi 埋藏变质
'mai'cang'di'xing 埋藏地形
'mai'cang'kuang'sha 埋藏矿砂
'mai'cang'sha'qiu 埋藏沙丘
'mai'cang'tu 埋藏土
'mai'cang'xing'yan'rong 埋藏型岩溶
'mai'ce'ju'yi 脉测距仪
'mai'cheng'yan'lei 脉成岩类
'mai'chong'chi'xu'shi'jian 脉冲持续时间
'mai'chong'chong'fu'pin'lv 脉冲重复频率
'mai'chong'deng 脉冲灯
'mai'chong'dian'lu 脉冲电路
'mai'chong'feng'zhi'gong'lv 脉冲峰值功率
'mai'chong'ji'li 脉冲激励
'mai'chong'pin'lv'deng 脉冲频率灯
'mai'dong 脉动
'mai'dong'dian'liu 脉动电流
'mai'dong'shuo 脉动说
'mai'gou'zao 脉构造
'mai'hun'he'yan 脉混合岩
'mai'kuan 脉宽
'mai'kuang'chuang 脉矿床
'mai'qiu 埋丘
'mai'shi 脉石
'mai'shi'kuang'wu 脉石矿物
'mai'shi'yan 脉石岩
'mai'zang'xue 埋葬学
'mai'zhuang'de 脉状的
'mai'zhuang'pian'ma'yan 脉状片麻岩
'mai'zuan 埋钻
'mang'bu'zheng'he 盲不整合
'mang'gu 盲谷
'mang'jie'li 盲节理
'mang'jing 盲井
'mang'kuang'chuang 盲矿床
'mang'kuang'ti 盲矿体
'mang'qu 盲区
'mang'xiao 芒硝
'mang'yuan'wan'huo'hui'shi 盲原顽火辉石
'mao'ban'yan 茂板岩
'mao'chi'tong'kuang 毛赤铜矿
'mao'di'cao 冒地槽
'mao'fa'lie'xi 毛发裂隙
'mao'fan'shi 毛矾石
'mao'fei'shi 毛沸石
'mao'jing 毛晶
'mao'shi 茂石
'mao'shi 毛石
'mao'shi'hua 茂石化
'mao'xi'guan'qian'yi 毛细管迁移
'mao'xi'guan'shui 毛细管水
'mao'xi'guan'xian'xiang 毛细管现象
'mao'xi'guan'zhuo'dai 毛细管酌带
'mao'yan'shi 猫眼石
'mao'ye'yan 茂页岩
'mao'zhuang'de 毛状的
'mei'bai'yun'shi 镁白云石
'mei'bian'zhi'zhuo 煤变质酌
'mei'bing'jing'shi 镁冰晶石
'mei'ceng 煤层
'mei'ceng'chong'shua 煤层冲刷
'mei'ceng'de'tong'sheng'chong'shua 煤层的同生冲刷
'mei'ceng'di'ban 煤层底板
'mei'ceng'ding'ban 煤层顶板
'mei'ceng'dui'bi 煤层对比
'mei'ceng'jian'mie 煤层尖灭
'mei'ceng'shi'qiu 煤层石球
'mei'chan'di 煤产地
'mei'chen'ji'mo'shi 煤沉积模式
'mei'cheng'yan'zhuo 煤成岩酌
'mei'cheng'yin'lei'xing 煤成因类型
'mei'chu'liang 煤储量
'mei'de'rou'zhou'gou'zao 煤的揉皱构造
'mei'dian'qi'shi 镁电气石
'mei'du'shi 镁毒石
'mei'fan'ying 酶反应
'mei'fen 煤粉
'mei'fen'xi 煤分析
'mei'gan'lan'shi 镁橄榄石
'mei'ge'kuang 镁铬矿
'mei'ge'tie'kuang 镁铬铁矿
'mei'gong'ye'fen'lei 煤工业分类
'mei'gong'ye'fen'xi 煤工业分析
'mei'gong'yi'xing 煤工艺性
'mei'gui'gai'shi 镁硅钙石
'mei'gui'tu 玫瑰图
'mei'he'lian'shi 镁褐帘石
'mei'hong'jian'jing'shi 玫红尖晶石
'mei'hua'zhuo 煤化酌
'mei'hua'zhuo'yue'bian 煤化酌跃变
'mei'huang'chang'shi 镁黄长石
'mei'hui'fen 煤灰分
'mei'hui'rong'dian 煤灰熔点
'mei'ji 煤级
'mei'jian'fei'shi 镁碱沸石
'mei'jiao'you'hun'he'wu 煤焦油混合物
'mei'jing 煤精
'mei'kuang 煤矿
'mei'kuang'chuang 煤矿床
'mei'kuang'gong 煤矿工
'mei'lin'shi 镁磷石
'mei'lin'you'yun'mu 镁磷铀云母
'mei'ling'tie'kuang 镁菱铁矿
'mei'lv'liu'shi 镁铝榴石
'mei'lv'ni'shi 镁绿泥石
'mei'mao 镁茂
'mei'meng'shan'shi 镁锰闪石
'mei'na'shan'shi 镁钠闪石
'mei'nie'hua 镁镍华
'mei'pen'di 煤盆地
'mei'peng'meng'shi 镁硼锰石
'mei'qi 煤气
'mei'qi'hua 煤气化
'mei'she'wen'shi 镁蛇纹石
'mei'shui'fen 煤水分
'mei'tai'kuang 镁钛矿
'mei'tan'di'xia'qi'hua 煤炭地下气化
'mei'tan'di'zhi'xue 煤炭地质学
'mei'tan'yuan'su'fen'xi 煤炭元素分析
'mei'tian 煤田
'mei'tian'qi 煤田气
'mei'tie'gan'lan'shi 镁铁橄榄石
'mei'tie'hui'shi 镁铁辉石
'mei'tie'jian'jing'shi 镁铁尖晶石
'mei'tie'kuang 镁铁矿
'mei'tie'qian'yuan 镁铁前缘
'mei'tie'shan'shi 镁铁闪石
'mei'tie'zhi'yan'shi 镁铁质岩石
'mei'xi 煤系
'mei'xi'gai'ceng 煤系盖层
'mei'xian'wei'zu'fen 煤显微组分
'mei'xiao'shi 镁硝石
'mei'yan'lei'xing 煤岩类型
'mei'yan'xian'wei'lei'xing 煤岩显微类型
'mei'yan'xue 煤岩学
'mei'ying'lv'ni'pian'yan 镁硬绿泥片岩
'mei'zheng'chang'bian'zhi 煤正常变质
'mei'zhi 煤质
'mei'zhi'shan'shi 镁直闪石
'mei'zhi'tan'hua 煤之碳化
'mei'zhong'dan 煤中氮
'mei'zhong'liu'liang 煤中硫量
'mei'zhong'qing 煤中氢
'mei'zhong'tan 煤中碳
'mei'zhong'yang 煤中氧
'mei'zhu'shi 镁柱石
'mei'zi'ran'fa'huo 煤自燃发火
'men'dian'lu 门电路
'men'mai'chong 门脉冲
'meng'bai'yun'shi 锰白云石
'meng'bei'kuang 锰钡矿
'meng'ci'tie'kuang 锰磁铁矿
'meng'di'cao 萌地槽
'meng'di'tai 萌地台
'meng'fan 锰矾
'meng'fang'jie'shi 锰方解石
'meng'gai'gan'lan'shi 锰钙橄榄石
'meng'gai'hui'shi 锰钙辉石
'meng'gai'tie'hui'shi 锰钙铁辉石
'meng'gai'tie'liu'shi 锰钙铁榴石
'meng'gan'lan'shi 锰橄榄石
'meng'gui'lv'kuang 锰硅铝矿
'meng'gui'xin'kuang 锰硅锌矿
'meng'hei'yun'mu 锰黑云母
'meng'hong'lian'shi 锰红帘石
'meng'hong'zhu'shi 锰红柱石
'meng'jie'he 锰结核
'meng'kuang 锰矿
'meng'lan'bao'shi 锰蓝宝石
'meng'lian'shi 锰帘石
'meng'lin'hui'shi 锰磷灰石
'meng'lin'kuang 锰磷矿
'meng'lin'li'kuang 锰磷锂矿
'meng'lv'liu'shi 锰铝榴石
'meng'lv'liu'shi'shan'xie'huang'ban'yan 锰铝榴石闪斜煌斑岩
'meng'lv'ni'shi 锰绿泥石
'meng'lv'tie'kuang 锰绿铁矿
'meng'mao 锰茂
'meng'mao 锰帽
'meng'mei'xin'fan 锰镁锌矾
'meng'nai'er'he'jin 蒙乃尔合金
'meng'san'xie'hui'shi 锰三斜辉石
'meng'shan'shi 锰闪石
'meng'shen'ti'kuang 锰砷锑矿
'meng'shi'liu'shi 锰石榴石
'meng'shui'mei'shi 锰水镁石
'meng'suan'yan 锰酸盐
'meng'tan'suan'tie'kuang 锰钽酸铁矿
'meng'te'jie 蒙特阶
'meng'tie'fan'qian'kuang 锰铁钒铅矿
'meng'tie'gan'lan'shi 锰铁橄榄石
'meng'tie'ling'shi 锰铁菱石
'meng'tie'liu'shi 锰铁榴石
'meng'tie'shan'shi 锰铁闪石
'meng'tie'xin'fan 锰铁锌矾
'meng'tong'kuang 锰铜矿
'meng'tu 锰土
'meng'tuo'shi 蒙脱石
'meng'tuo'shi'hua'zhuo 蒙脱石化酌
'meng'xi'jun 锰细菌
'meng'xian'xin'kuang 锰纤锌矿
'meng'xie'shi 锰榍石
'meng'xin'hui'shi 锰锌辉石
'meng'ye'ni'shi 锰叶泥石
'meng'yun'mu 锰云母
'meng'zhen'lin'tie'kuang 锰针磷铁矿
'meng'zhu'shi 锰柱石
'mi'du 密度
'mi'du'ce'jing 密度测井
'mi'du'ji 密度计
'mi'feng'quan'bi 密封圈闭
'mi'gao'ling'tu 密高岭土
'mi'huang'chang'shi 蜜黄长石
'mi'ji'jie'gou 密集结构
'mi'la'shi 蜜蜡石
'mi'leng'hua 糜棱化
'mi'leng'pian'ma'yan 糜棱片麻岩
'mi'leng'yan 糜棱岩
'mi'leng'zhi'de 糜棱质的
'mi'wen'ji 密稳纪
'mi'ye'de 密叶的
'mian'bao'pi'huo'shan'dan 面包皮火山弹
'mian'gong'zu 面工祖
'mian'mao 绵毛
'mian'pan 面盘
'mian'xian 面线
'mian'xin'dian'zhen 面心点阵
'mian'zhuang'gou'zao 面状构造
'miao'mu'shi 苗木石
'miao'shu 描述
'miao'shu'kuang'wu'xue 描述矿物学
'min'de'bing'qi 民德冰期
'ming'ming'de 命名的
'ming'ming'fa 命名法
'ming'ming'fa'gui 命名法规
'ming'zhen 鸣震
'ming'zhen'dian 鸣震点
'mo'ca 摩擦
'mo'ca'ceng 摩擦层
'mo'ca'dian 摩擦电
'mo'ca'fa'guang 摩擦发光
'mo'ca'shui'tou 摩擦水头
'mo'ca'xi'shu 摩擦系数
'mo'dian'wei 膜电位
'mo'duan'xiao'ying 末端效应
'mo'er'dao'rong'rong'shi 莫尔道熔融石
'mo'er'wei'de'tou'ying 摩尔魏德投影
'mo'fang'de 模仿的
'mo'gu'zhuang'de 蘑菇状的
'mo'gu'zhuang'yan 蘑菇状岩
'mo'guang 磨光
'mo'guang'ke'hua'fa 磨光刻花法
'mo'guang'pian 磨光片
'mo'hao'shi'yan 磨耗试验
'mo'huang'jing 寞黄晶
'mo'huo'bu'lian'xu'mian 莫霍不连续面
'mo'la'shi'jian'zao 磨拉石建造
'mo'lai'shi 莫来石
'mo'li'ceng 磨砾层
'mo'li'yan'xiang 磨砾岩相
'mo'liao'hai'shi'de 磨料海蚀的
'mo'ni 模拟
'mo'ni'bao'shi 模拟宝石
'mo'ni'gou'zao'yan 模拟构造岩
'mo'ni'zhuang'zhi 模拟装置
'mo'shi 磨蚀
'mo'shi'biao'ben'chan'di 模式标本产地
'mo'shi'jie'di 磨蚀阶地
'mo'shi'nian'ling 模式年龄
'mo'shi'shi'bie 模式识别
'mo'shi'tai'di 磨蚀台地
'mo'shi'ying'du'biao 莫氏硬度表
'mo'si'ke'tong 莫斯科统
'mo'sui'nong'cheng'sui'xie 磨碎弄成碎屑
'mo'sun 磨损
'mo'tai'fen'xi 模态分析
'mo'tai'xuan'hui 模态旋回
'mo'tong'kuang 墨铜矿
'mo'xia'tuo'tou'ying'mo'ka'tuo'tou'ying 墨下托投影墨卡托投影
'mo'xing 模型
'mo'xing'ji'shu 模型技术
'mo'xing'shi'yan 模型试验
'mo'yan'ji 磨岩机
'mu'cao 牧草
'mu'ce 目测
'mu'ce'pin'wei 目测品位
'mu'cun 木村
'mu'hua 钼华
'mu'jing 目镜
'mu'mai 母脉
'mu'mei 木煤
'mu'nai'yi 木乃伊
'mu'qian'kuang 钼铅矿
'mu'shi'ping'jia 目视评价
'mu'tai'you'kuang 钼钛铀矿
'mu'tan 木炭
'mu'ti 母体
'mu'tong'kuang 钼铜矿
'mu'tong'kuang 木铜矿
'mu'wu'gai'kuang 钼钨钙矿
'mu'xi'bao 母细胞
'mu'yan 母岩
'mu'yan'jiang 母岩浆
'mu'ye 母液
'mu'yuan'su 母元素
'mu'zei'lei 木贼类
'mu'zhi 母质
'mu'zhi'bu 木质部
'mu'zhi'de 木质的
'mu'zhi'jing'mei 木质镜煤
'mu'zhi'ni'tan 木质泥炭
'na'an'fan 钠铵矾
'na'chang'gan'ban'yan 钠长橄斑岩
'na'chang'hui'lv'yan 钠长辉绿岩
'na'chang'na'shan'wei'gang'yan 钠长钠闪微岗岩
'na'chang'shi 钠长石
'na'chang'shi'fen'yan 钠长石玢岩
'na'chang'shi'hua 钠长石化
'na'chang'shi'shuang'jing 钠长石双晶
'na'chang'su'an'yan 钠长苏安岩
'na'chang'ying'ban'yan 钠长英板岩
'na'fei'shi 钠沸石
'na'gai'shan'shi 钠钙闪石
'na'gan'hui'chang'yan 钠橄辉长岩
'na'gao'shi 钠锆石
'na'hua'shi 钠滑石
'na'hui'xi'gang'yan 钠辉细岗岩
'na'jia'yun'mu 钠钾云母
'na'lian'hua'zhuo 钠帘化酌
'na'lian'shi'hua 钠帘石化
'na'liao'yan 钠疗岩
'na'ling'fei'shi 钠菱沸石
'na'mao 钠茂
'na'mei'fan 钠镁矾
'na'meng'dian'qi'shi 钠锰电气石
'na'peng'gai'shi 钠硼钙石
'na'shan'cu'mian'yan 钠闪粗面岩
'na'shan'hua'gang'yan 钠闪花岗岩
'na'shan'shi 钠闪石
'na'shan'wei'gang'yan 钠闪微岗岩
'na'shan'zheng'chang'xi'jing'yan 钠闪正长细晶岩
'na'shan'zheng'chang'yan 钠闪正长岩
'na'shen'gai'you'kuang 钠砷钙铀矿
'na'tong'fan 钠铜矾
'na'tou'chang'shi 钠透长石
'na'xia'zheng'chang'yan 钠霞正长岩
'na'xiao'shi 钠硝石
'na'ying'gui'gai'shi 钠硬硅钙石
'na'yun'mu 钠云母
'na'zhang'ban'yan 钠长斑岩
'na'zhang'jiao'shan'hui'lv'yan 钠长角闪辉绿岩
'na'zheng'chang'shi 钠正长石
'na'zhi'huo'cheng'yan 钠质火成岩
'na'zhi'jiao'dai'zhuo 钠质交代酌
'na'zhu'shi 钠柱石
'nai'huo'cai'liao 耐火材料
'nai'huo'du 耐火度
'nai'huo'nian'tu 耐火粘土
'nai'huo'sha 耐火砂
'nai'huo'xing 耐火性
'nai'huo'zhuan 耐火砖
'nai'mo'xing 耐磨性
'nai're'xing 耐热性
'nai'ya'xing 耐压性
'nai'yan'xing 耐盐性
'nan'ji 南极
'nan'ji'da'lu 南极大陆
'nang'bao'ti 囊胞体
'nang'qun'gai 囊群盖
'nang'zhuang'de 囊状的
'nang'zhuang'kuang'mai 囊状矿脉
'nao'qu'duan'ceng 挠曲断层
'nao'yun'mu 瑙云母
'nei'bi 内壁
'nei'bian'zhi'zhuo 内变质酌
'nei'bu'jiao'huan 内部交换
'nei'bu'kuang'wu'deng'shi'xian'nian'ling 内部矿物等时线年龄
'nei'bu'pai'shui 内部排水
'nei'bu'zhi'jing 内部直径
'nei'cha'fa 内插法
'nei'cheng'de 内成的
'nei'cheng'kuang'chuang 内成矿床
'nei'cheng'yan 内成岩
'nei'cheng'zhuo 内成酌
'nei'chuang'ceng 内窗层
'nei'di 内地
'nei'di'bing 内地冰
'nei'dian'ya 内电压
'nei'gu'ge 内骨胳
'nei'guang'dian'xiao'ying 内光电效应
'nei'hai 内海
'nei'he 内核
'nei'ju 内聚
'nei'ju'li 内聚力
'nei'ju'li'pao'wu'xian 内聚力抛物线
'nei'ju'neng 内聚能
'nei'ke'gou'zao 内壳构造
'nei'li 内力
'nei'li'de 内力的
'nei'long 内窿
'nei'lu'di'zhen 内陆地震
'nei'lu'hai 内陆海
'nei'lu'hu 内陆湖
'nei'lu'pen'di 内陆盆地
'nei'mo 内模
'nei'mo'ca'jiao 内摩擦角
'nei'neng 内能
'nei'pei'ceng 内胚层
'nei'qi 内碛
'nei'qiao'ceng'dian'zi 内壳层电子
'nei'sheng'bao'ti 内生包体
'nei'sheng'bao'zi 内生孢子
'nei'sheng're'shui'kuang'chuang 内生热水矿床
'nei'sheng'yan 内生岩
'nei'sheng'you'kuang 内生铀矿
'nei'sui'xie'wei'jing'hui'yan 内碎屑微晶灰岩
'nei'xian 内陷
'nei'ya'li 内压力
'nei'yin'jie'li 内因节理
'nei'ying'li 内营力
'nei'zai'chao'shi 内在潮湿
'nei'zai'shen'tou'xing 内在渗透性
'nei'zhi 内肢
'nei'zhuan'dong 内转动
'neng'dai 能带
'neng'ji 能级
'neng'ji'jian'ju 能级间距
'neng'ji'pu 能级谱
'neng'ji'tu 能级图
'neng'jian'ju'li 能见距离
'neng'liang'chuan'shu 能量传输
'neng'liang'dai'xie 能量代谢
'neng'liang'fen'bu 能量分布
'neng'liang'jiao'huan 能量交换
'neng'liang'jun'heng'xian 能量均衡线
'neng'liang'mi'du 能量密度
'neng'liang'ping'heng 能量平衡
'neng'liang'san'bu 能量散布
'neng'liang'shou'heng 能量守恒
'neng'liang'xi'shou 能量吸收
'neng'liang'xian 能量线
'neng'pu'yi 能谱仪
'neng'tai 能态
'neng'zhang 能障
'ni'an 溺岸
'ni'an'de'te'ren 尼安德特人
'ni'bian'zhi 逆变质
'ni'bing 泥饼
'ni'chong'duan'ceng 逆冲断层
'ni'dai'xian'xiang 逆带现象
'ni'duan'ceng 逆断层
'ni'duan'ceng'mian 逆断层面
'ni'duan'xian'ya 逆断线崖
'ni'fan'she'zhao'xiang'ji 逆反射照相机
'ni'fan'ying 逆反应
'ni'feng 逆风
'ni'fu'she 逆辐射
'ni'gai'kuang 铌钙矿
'ni'gan'cu'mian'yan 霓橄粗面岩
'ni'ge'li'zhi 尼格理值
'ni'gu 溺谷
'ni'he 溺河
'ni'hu 泥糊
'ni'hua 泥化
'ni'hui'shi 霓辉石
'ni'hui'yan 泥灰岩
'ni'hui'yan'de 泥灰岩的
'ni'hui'yan'xiang 泥灰岩相
'ni'hui'zheng'chang'hun'ran'yan 霓辉正长混染岩
'ni'huo'shan 泥火山
'ni'huo'shan'qi 泥火山气
'ni'jiang'beng 泥浆泵
'ni'jiang'cao 泥浆槽
'ni'jiang'de'hua'xue'chu'li 泥浆的化学处理
'ni'jiang'fu'jia'wu 泥浆附加物
'ni'jiang'jiao'ban'ji 泥浆搅拌机
'ni'jiang'keng 泥浆坑
'ni'jiang'lou'shi 泥浆漏失
'ni'jiang'lu'jing 泥浆录井
'ni'jiang'qin'ru'dai'qin'ru'dai 泥浆侵入带侵入带
'ni'jiang'shui 泥浆水
'ni'jiang'zheng'xiang'xun'huan'zuan'jin 泥浆正向循环钻进
'ni'jiang'zhu 泥浆柱
'ni'jing 拟晶
'ni'jing'jie'jing 拟晶结晶
'ni'ke'dian 尼克点
'ni'ke'er'leng'jing 尼科耳棱镜
'ni'li'ji 逆粒级
'ni'li'tu 泥砾土
'ni'lian'tie'you'kuang 铌链铁铀矿
'ni'liao'yan 霓疗岩
'ni'liu 逆流
'ni'liu 泥流
'ni'lv'chu'ye 泥滤出液
'ni'ou'ke'mu'jie 尼欧克姆阶
'ni'pen'chu 泥喷出
'ni'pen'ji 泥盆纪
'ni'rong'yan 泥熔岩
'ni'shan'zheng'chang'yan 霓闪正长岩
'ni'shi 霓石
'ni'shi'yi'kuang 铌铈钇矿
'ni'tai 拟态
'ni'tai'you'qian'kuang 铌钛铀铅矿
'ni'tan 泥炭
'ni'tan'an 泥滩岸
'ni'tan'de 泥炭的
'ni'tan'di 泥炭地
'ni'tan'hua'zhuo 泥炭化酌
'ni'tan'nian'tu 泥炭粘土
'ni'tan'tie'you'kuang 铌钽铁铀矿
'ni'tan'tu 泥炭土
'ni'tan'xing'cheng 泥炭形成
'ni'tan'zhao'ze 泥炭沼泽
'ni'tie'kuang 铌铁矿
'ni'tie'meng'kuang 铌铁锰矿
'ni'tie'yan 泥铁岩
'ni'tou'hui'shi 霓透辉石
'ni'xia'mai'yan 霓霞脉岩
'ni'xiang'de 逆向的
'ni'xiang'he 逆向河
'ni'xing'yan'ti 逆行演替
'ni'xun'huan 泥循环
'ni'yan 泥岩
'ni'yan'ceng 逆掩层
'ni'yan'duan'ceng 逆掩断层
'ni'yan'duan'ceng'mian 逆掩断层面
'ni'yan'ji'xian 泥岩基线
'ni'yan'zhuang'de 泥岩状的
'ni'yi'kuang 铌钇矿
'ni'yi'you'kuang 铌钇铀矿
'ni'zhi'de 泥质的
'ni'zhi'hui'yan 泥质灰岩
'ni'zhi'yan 泥质岩
'ni'zhuan'dian 逆转点
'nian'dai'ce'ding 年代测定
'nian'dai'di'ceng'dan'wei 年代地层单位
'nian'dai'di'ceng'xue 年代地层学
'nian'dai'xue 年代学
'nian'dai'yi'zhi'qu'xian 年代一致曲线
'nian'du 粘度
'nian'fu 粘附
'nian'fu'xing'de'fu'zhuo 粘附性的附着
'nian'he'ji'kuai'yan 粘合集块岩
'nian'he'qiang'du 粘合强度
'nian'he'zhi 粘合质
'nian'jiang'shui'liang 年降水量
'nian'jie'du 粘结度
'nian'jie'ji 粘结剂
'nian'jie'mei 粘结煤
'nian'jie'xing 粘结性
'nian'jie'xing'mei 粘结性煤
'nian'jie'xing'tu'rang 粘结性土壤
'nian'jie'zhi'shu 粘结指数
'nian'jun'lei 粘菌类
'nian'kan 年刊
'nian'ling'pu 年龄谱
'nian'lun 年轮
'nian'lun'nian'dai'xue 年轮年代学
'nian'ping'jun'wen'du 年平均温度
'nian'tu 粘土
'nian'tu'de'shou'suo'zhuo 粘土的收缩酌
'nian'tu'hua 粘土化
'nian'tu'huang'mo 粘土荒漠
'nian'tu'kuang'chuang 粘土矿床
'nian'tu'kuang'wu 粘土矿物
'nian'tu'kuang'wu'hua 粘土矿物化
'nian'tu'mai 粘土脉
'nian'tu'pian 粘土片
'nian'tu'sai'zi 粘土塞子
'nian'tu'xuan'fu'ye 粘土悬浮液
'nian'tu'yan 粘土岩
'nian'tu'zhi'sha 粘土质砂
'nian'tu'zhi'tu'rang 粘土质土壤
'nian'tu'zhuan 粘土砖
'nian'xing'li 粘性力
'nian'ye'ceng 粘液层
'nian'zhe'hua'dong 粘着滑动
'nian'zhi'ji 粘滞计
'nian'zhi'xi'shu 粘滞系数
'niao'fen 鸟粪
'niao'fen'shi 鸟粪石
'niao'lei 鸟类
'niao'lei'xue 鸟类学
'niao'yan'mei 鸟眼煤
'niao'zu'zhuang'san'jiao'zhou 鸟足状三角洲
'nie'bi'shen'gu'kuang 镍铋砷钴矿
'nie'fan 镍矾
'nie'hua 镍华
'nie'huang'tie'kuang 镍黄铁矿
'nie'kuang 镍矿
'nie'lv'ni'shi 镍绿泥石
'nie'shui'she'wen'shi 镍水蛇纹石
'nie'tan'tie'shi 镍碳铁石
'nie'tie'dai 镍铁带
'nie'tie'lv'ni'shi 镍铁绿泥石
'ning'gu 凝固
'ning'gu'dian 凝固点
'ning'gu'he 凝固核
'ning'hui'jiao'li'yan 凝灰角砾岩
'ning'hui'yan 凝灰岩
'ning'hui'yan'xiang 凝灰岩相
'ning'hui'zhi'de 凝灰质的
'ning'ji'su 凝集素
'ning'jiao 凝胶
'ning'jiao'gou'zao 凝胶构造
'ning'jiao'hua'zu'fen 凝胶化组分
'ning'jie'ji 凝结剂
'ning'jie'li 凝结力
'ning'jie're 凝结热
'ning'jie'rong'yan'ke 凝结熔岩壳
'ning'jie'zhuo 凝结酌
'ning'ju 凝聚
'ning'ju'xiang 凝聚相
'ning'meng'suan 柠檬酸
'ning'meng'suan'yan 柠檬酸盐
'niu'cheng 扭秤
'niu'di'zhen'ji 扭地震计
'niu'dong'gou'zao'ti'xi 扭动构造体系
'niu'e'hu 牛轭湖
'niu'fen'zhuang'huo'shan'dan 牛粪状火山弹
'niu'jiao'hu 牛角湖
'niu'jie'li 扭节理
'niu'jin'jie 牛津阶
'niu'qu'ceng 扭曲层
'niu'xing'dong'wu'lei 纽形动物类
'niu'xing'gou'zao'yan 扭性构造岩
'niu'xing'jie'gou'mian 扭性结构面
'niu'ya'mian 扭压面
'niu'ying'li 扭应力
'niu'zhuan'tan'xing'mo'shu 扭转弹性模数
'nong'du 浓度
'nong'du'ti'du 浓度梯度
'nong'lin'di'zhi'xue 农林地质学
'nong'luan 弄乱
'nong'lv'yu'yan 浓绿玉岩
'nong'rong'ye 浓溶液
'nong'suo 浓缩
'nong'suo'ji 浓缩机
'nong'ye'di'mao'xue 农业地貌学
'nong'ye'di'zhi'xue 农业地质学
'nong'ye'shui'wen'xue 农业水文学
'nuo'li'ke'jie 诺利克阶
'nv'a'wa'lu'dou'de'fan'she'qiu 女阿瓦芦都的反射球
'ou'ji'li'zi'luo'he'wu 偶极离子络合物
'ou'ji'zi 偶极子
'ou'ji'zi'fu'she 偶极子辐射
'ou'jian'zhong 偶见种
'ou'mu'zu'kang 欧姆阻抗
'ou'qi'he 偶奇核
'ou'ran'fen'bu 偶然分布
'ou'sheng'cheng 偶生成
'ou'shu'ji'shu'de 偶数奇数的
'ou'te'li'fu'jie 欧特里夫阶
'ou'xue 瓯穴
'ou'ya'ban'kuai 欧亚板块
'pa'chong'lei 爬虫类
'pa'chong'xue 爬虫学
'pai'an'lang 拍岸浪
'pai'chu 排出
'pai'chu'guan'xian 排出管线
'pai'chu'ya'li 排出压力
