'an'fa'zhi'zhi'er'zeng'ju 按法治之而增剧
'nei'yao 内药
'nei'yao'bi'zhong 内药鼻中
'nei'yao'mo 内药末
'nei'zhi'shi'zhi'zi 内枳实栀子
'nei'zhu'yao 内诸药
'neng'shi 能食
'neng'shi'zhe'ze'nv 能食者则衄
'neng'wei'zhu'mai'zuo'bing'ye 能为诸脉作病也
'ni'fang'shi'ji'ye 拟防世急也
'ni'leng 逆冷
'ni'yu'gong'zhi 拟欲攻之
'nian'yi'mo'chuang 捻衣摸床
'niao'ru'zao'jiao'zhi'zhuang 尿如皂角汁状
'nv'bu'ke'zhi 衄不可制
'nv'jia'bu'ke'fa'han 衄家不可发汗
'nv'nai'jie 衄乃解
'ou'bian'fan'chang'chu 呕变反肠出
'ou'bu'neng'shi 呕不能食
'ou'bu'zhi 呕不止
'ou'duo 呕多
'ou'er'fa're'zhe 呕而发热者
'ou'er'han'chu 呕而汗出
'ou'er'ke 呕而咳
'ou'er'mai'ruo 呕而脉弱
'ou'jia'bu'ke'yong'jian'zhong'tang 呕家不可用建中汤
'ou'jia'you'yong'nong'zhe 呕家有痈脓者
'ou'ni 呕逆
'ou'nong'jin'zi'yu 呕脓尽自愈
'ou'tu'er'li 呕吐而利
'ou'tu'er'xia'li'zhe 呕吐而下利者
'ou'zhe 呕者
'pao'ling'che 炮令坼
'pi'bu'jie 痞不解
'pi'bu'shang'xia 脾不上下
'pi'qi'bu'zhuan 脾气不转
'pi'qi'hu'ruo 脾气弧弱
'pi'qi'ye 脾气也
'pi'se'bu'tong 脾涩不通
'pi'su'bu'jie 皮粟不解
'pi'wei'qi'shang'ruo 脾胃气尚弱
'pi'yue'yi'yun'luo'shi'ye 脾约一云络是也
'ping'da'huang'san'liang'jiu'jin 平大黄三两酒浸
'ping'dan'fu 平旦服
'ping'mai'fa'di'er 平脉法第二
'ping'ren'liu'xi 平人六息
'ping'ren'si'xi 平人四息
'ping'ren'wu'xi 平人五息
'ping'wen 平温
'po'ba'pian 破八片
'po'neng'shi 颇能食
'po'yu'tu 颇欲吐
'qi'ba'ri 七八日
'qi'ba'ri'bu'jie 七八日不解
'qi'bei'e'han'zhe 其背恶寒者
'qi'biao'bu'jie'zhe 其表不解者
'qi'bing'dang'yu 其病当愈
'qi'bing'wei'jin 其病为进
'qi'bing'wei'yu 其病为愈
'qi'bing'yu'jie 其病欲解
'qi'bing'yu'wen'ji'shu'bing'xiang'si 其病与温及暑病相似
'qi'bing'zai'pi 其病在脾
'qi'bo'ju'si'zhi'zhi'neng 岐伯举四治之能
'qi'bu'liang'gan'yu'han 其不两感于寒
'qi'bu'tong'yu 岂不痛欤
'qi'bu'xiao'bing'zhe 其不晓病者
'qi'cha'shou'zi'mao'xin 其叉手自冒心
'qi'cong'shao'fu'shang'chong'xin'zhe 气从少腹上冲心者
'qi'dong'you'fei'jie'zhi'nuan'zhe 其冬有非节之暖者
'qi'fang'sui'yan'ri'san'fu 其方虽言日三服
'qi'fu'bi'man 其腹必满
'qi'hou'bi'bian'nong'xue 其后必便脓血
'qi'hou'bi'bian'xie 其后必便血
'qi'hou'bi'tu'nong'xue'ye 其后必吐脓血也
'qi'hou'bu'bi 其喉不痹
'qi'hou'fa're'zhe 其后发热者
'qi'hou'wei'bi 其喉为痹
'qi'hou'zhi'wei 其候至微
'qi'huo'zhi'su 其祸至速
'qi'jian'he'nuan 气渐和暖
'qi'jiao'ji'shen 其脚即伸
'qi'ke'gui'zai'shi'shang'zhi'shi 岂可诡哉世上之士
'qi'li'shi'wei 其理实违
'qi'mai'bu'fu'zhe 其脉不负者
'qi'mai'bu'xian'jin'er'ruo 其脉不弦紧而弱
'qi'mai'chen'er'chi 其脉沉而迟
'qi'mai'chen'zhe 其脉沉者
'qi'mai'cu 其脉促
'qi'mai'da 其脉大
'qi'mai'du'bu'jie 其脉独不解
'qi'mai'fan'chi 其脉反迟
'qi'mai'fu 其脉浮
'qi'mai'fu'da'zhe 其脉浮大者
'qi'mai'fu'er'shu 其脉浮而数
'qi'mai'guan'shang'fu'zhe 其脉关上浮者
'qi'mai'he'lei 其脉何类
'qi'mai'he'zhuang 其脉何状
'qi'mai'hong'da'er'chang 其脉洪大而长
'qi'mai'ji'chu'zhe'yu 其脉即出者愈
'qi'mai'mao'fu'ye 其脉毛浮也
'qi'mai'san'zhe'si 其脉散者死
'qi'mai'shu'ji 其脉数疾
'qi'mai'wei'se'zhe 其脉微涩者
'qi'mai'wei'xian'ru'ruo'er'chang 其脉微弦濡弱而长
'qi'mai'xian'xi'kou'chi 其脉弦细芤迟
'qi'mai'zi'se 其脉自涩
'qi'mai'zi'wei 其脉自微
'qi'mian'bai'tuo'se'ye 其面白脱色也
'qi'mian'dai'yang 其面戴阳
'qi'ni'yu'tu'zhe 气逆欲吐者
'qi'pi'wei'yue 其脾为约
'qi'pi'yi'shen 其痞益甚
'qi'qi'shang'chong'zhe 其气上冲者
'qi're'bei'jie'bu'de'qu 其热被劫不得去
'qi're'bu'ba'zhe 其热不罢者
'qi're'bu'chao 其热不潮
'qi're'xu'zai'zhe 其热续在者
'qi'ren'ben'xu 其人本虚
'qi'ren'bi'da'bian'ying 其人必大便硬
'qi'ren'bi'gu'nei'han'chu 其人必股内汗出
'qi'ren'bi'yan'tong 其人必咽痛
'qi'ren'bi'zao 其人必躁
'qi'ren'bing'shen'ti'ku'teng'zhong'zhe 其人病身体苦疼重者
'qi'ren'bu'ou 其人不呕
'qi'ren'da'fan 其人大烦
'qi'ren'dan'tou'han'chu 其人但头汗出
'qi'ren'dang'zi'tu'hui 其人当自吐蛔
'qi'ren'duan'qi 其人短气
'qi'ren'duo'han 其人多汗
'qi'ren'e'feng 其人恶风
'qi'ren'fa'fan'mu'ming 其人发烦目瞑
'qi'ren'fa'kuang'zhe 其人发狂者
'qi'ren'fa're'han'chu 其人发热汗出
'qi'ren'fan'jing 其人反静
'qi'ren'fan'neng'shi'er'bu'ou 其人反能食而不呕
'qi'ren'gu'jie'teng 其人骨节疼
'qi'ren'han'chu 其人汗出
'qi'ren'han'chu'bu'zhi'zhe 其人汗出不止者
'qi'ren'han'chu'e'han 其人汗出恶寒
'qi'ren'huo'ke 其人或咳
'qi'ren'ji 其人即
'qi'ren'ke'er'kou'zao'fan 其人渴而口燥烦
'qi'ren'ke'zhi 其人可治
'qi'ren'mian'chi'se 其人面赤色
'qi'ren'mian'shao'chi 其人面少赤
'qi'ren'qi'xia'ji'zhe 其人脐下悸者
'qi'ren'reng'fa're 其人仍发热
'qi'ren'ru'kuang 其人如狂
'qi'ren'ru'kuang'zhe 其人如狂者
'qi'ren'sha'ran'wei'han'chu'ye 其人濈然微汗出也
'qi'ren'shen'ti'zhong 其人身体重
'qi'ren'si 其人死
'qi'ren'wang'xue 其人亡血
'qi'ren'wei'fa're 其人微发热
'qi'ren'xi'wang'zhe 其人喜忘者
'qi'ren'xia'li 其人下利
'qi'ren'xiao'bian'bu'li 其人小便不利
'qi'ren'xin'fan 其人心烦
'qi'ren'xu'sun'duo'han 其人虚损多汗
'qi'ren'xu'zi'bian'li 其人续自便利
'qi'ren'yin'zhi'mao 其人因致冒
'qi'ren'zao 其人躁
'qi'ren'zao'fan 其人躁烦
'qi'ren'zao'fan'zhe 其人躁烦者
'qi'ren'zu'xin'bi're 其人足心必热
'qi'ri 七日
'qi'ri'si 其日死
'qi'rong'yi'zai 岂容易哉
'qi'san'shi'jiu'xue 其三十九穴
'qi'se'bi'hei 其色必黑
'qi'se'xian 其色鲜
'qi'shang'chong'xiong 气上冲胸
'qi'shang'chong'yan'hou 气上冲咽喉
'qi'shang'yu'si'shi'zhi'qi 其伤于四时之气
'qi'shang'zhuang'xin 气上撞心
'qi'shen'bi'yang'ye 其身必痒也
'qi'shen'bi'zhong 其身必重
'qi'shen'fa'huang 其身发黄
'qi'shen'ru'chong'xing'pi'zhong'zhuang'zhe 其身如虫行皮中状者
'qi'shen'ti'shou 其身体瘦
'qi'sheng'shang 其声商
'qi'sheng'ying 其声嘤
'qi'shi'jiu'xue 七十九穴
'qi'shi'liu'ri'dang'ju 期十六日当剧
'qi'shi'si'ri'dang'ju 期十四日当剧
'qi'shi'xue'xu'ye 气实血虚也
'qi'shi'yang'qi'shang'ruo 其时阳气尚弱
'qi'shu'gai'wei 其数改微
'qi'shu'xian'wei 其数先微
'qi'tian'yu'ge'shang'ye 气填于膈上也
'qi'tong'bi'xia 其痛必下
'qi'wai'bu'jie'zhe 其外不解者
'qi'wai'you're 其外有热
'qi'wei'zhe'xin'nei'ji 气微者心内饥
'qi'wo'bu'an'zhe 起卧不安者
'qi'xia'xin'xia'ying 脐下心下硬
'qi'xiao'bian'qing'zhe 其小便清者
'qi'xing'si'nue 其形似疟
'qi'xing'xiang'xiang 其形相象
'qi'xue'bi'jie 其血必结
'qi'xue'nai'cheng 其血乃成
'qi'yan'guang 其颜光
'qi'yang'ze'jue 其阳则绝
'qi'yi'er'chu 气噫而除
'qi'yi'yue'jie'ke'zhi'ye 期以月节克之也
'qi'yin'zhong'da'er'xu'ye 其阴肿大而虚也
'qi'yu'jue 气欲绝
'qi'yue'ba'yue 七月八月
'qi'zao'rao'zhe 其躁扰者
'qi'ze'tou'xuan 起则头眩
'qi'zhi'dan'ri'ye'ban'yu 期之旦日夜半愈
'qi'zhong'wu'bao'da'han 其中无暴大寒
'qi'zhu'qiu'tong 脐筑湫痛
'qian'ban'chi'zao 前板齿燥
'qian'dan'yi'liang 铅丹一两
'qian're'zhe 前热者
'qian'san'yin'san'yang'pian'zhong 前三阴三阳篇中
'qian'you'xiang'shuo 前有详说
'qiang'ren'ban'qian 强人半钱
'qiang'ren'fu'yi'qian'bi 强人服一钱匕
'qiang'ren'ke'da'fu'zi'yi'mei 强人可大附子一枚
'qiang'ren'ke'si'liang 强人可四两
'qie'jie'qi'biao 且解其表
'qie'san'wei 切三味
'qing'bian'xia'zhong 清便下重
'qing'bian'yu'zi'ke 清便欲自可
'qing'bian'zi'tiao'zhe 清便自调者
'qing'gu'bu'rong'jian 清谷不容间
'qing'gu'bu'zhi 清谷不止
'qing'jiu'jin 清酒浸
'qing'jiu'liu'sheng 清酒六升
'qing'xie'zhong'shang 清邪中上
'qing'zhe'kun'du 轻者困笃
'qiu'bi'bing'nue 秋必病疟
'qiu'dong'yang'yin 秋冬养阴
'qiu'mai'ai'ai 秋脉蔼蔼
'qiu'qi'qing'liang 秋气清凉
'qiu'shang'yu'shi 秋伤于湿
'qiu'shi'ying'liang 秋时应凉
'qiu'shui'zhe'yi'yu 求水者易愈
'qiu'xia 秋下
'qu'ba'he 取八合
'qu'bai'mo 去白沫
'qu'ban'xia 去半夏
'qu'ban'xia'ren'shen 去半夏人参
'qu'chi'zu 去翅足
'qu'cong 去葱
'qu'da'zao 去大枣
'qu'er'sheng 取二升
'qu'fu'ling 去茯苓
'qu'fu'zi 去附子
'qu'gui'zhi 去桂枝
'qu'gui'zhi'jia'bai'zhu'tang'zhu'zhi 去桂枝加白术汤主之
'qu'he 去核
'qu'huang'qin 去黄芩
'qu'jie'geng 去桔梗
'qu'mi 去米
'qu'mo 去沫
'qu'nan'zi'kun'dang'shao'hui 取男子裩当烧灰
'qu'pi 去皮
'qu'pi'jian 去皮尖
'qu'pi'jian'ji'liang'ren'zhe 去皮尖及两仁者
'qu'pi'po 去皮破
'qu'pi'xin 去皮心
'qu'qi'he'fu'zhi 取七合服之
'qu'rang 去穰
'qu'ren'shen 去人参
'qu'ren'shen'da'zao'sheng'jiang 去人参大枣生姜
'qu'ru'dan'wan'yi'mei 取如弹丸一枚
'qu'san'sheng 取三升
'qu'shang'mo 去上沫
'qu'shao'yao 去芍药
'qu'shao'yao'fang'zhong 去芍药方中
'qu'shu 去术
'qu'shu'jia'gui'si'liang 去术加桂四两
'qu'shui'er'dou 取水二斗
'qu'wei'si'han 取微似汗
'qu'wu'sheng 取五升
'qu'xia'wei'xiao 取下为效
'qu'xing 去腥
'qu'xing'ting'li 去腥葶苈
'qu'yi'qian'bi 取一钱匕
'qu'yong'zhi 取用之
'qu'zhi'he'san 取汁和散
'qu'zi 去滓
'quan'er'ku'man 蜷而苦满
'quan'wo'zu'leng 蜷卧足冷
'que'fa're'han'chu'er'jie 却发热汗出而解
'que'si'wu'ri 却四五日
'que'yu'gui'zhi'tang'ze'yu 却与桂枝汤则愈
'que'zhi'qi'jue 却治其厥
'ran'bu'ji'tang 然不及汤
'ran'bu'ru'tang 然不如汤
'ran'chi'zhong'shi'yi'xiao'jian 然尺中时一小见
'ran'hou'fu'xia'zhi 然后复下之
'ran'qi'hou'yi'you'ying'zhi'er'bu'zhi 然气候亦有应至而不至
'rao'qi'tong 绕脐痛
're'bu'chu'zhe 热不除者
're'bu'qu 热不去
're'bu'zhi'zhe 热不止者
're'chu'er'mai'chi'shen'liang 热除而脉迟身凉
're'duo 热多
're'duo'han'shao 热多寒少
're'duo'zhe 热多者
're'duo'zhe'bian'nong'xue 热多者便脓血
're'fan'san'ri 热反三日
're'gui'yin'gu 热归阴股
're'han'zi'xie 热汗自泄
're'ji'zhong'yu'wen'ye 热极重于温也
're'jie'pang'guang 热结膀胱
're'jie'zai'li 热结在里
're'li'xia'zhong'zhe 热利下重者
're'qi'suo'guo 热气所过
're'ru 热入
're'shang'chong'xiong 热上冲胸
're'shao'jue'wei 热少厥微
're'sui'shen 热虽甚
're'yi'shen 热亦深
're'yi'wei 热亦微
're'yi'wu'ri 热亦五日
're'zai'gu'sui'ye 热在骨髓也
're'zai'pi'fu 热在皮肤
're'zi'fa 热自发
'ren'bian'bing'yan 人变病焉
'ren'bing'kong'bu'zhe 人病恐怖者
'ren'bing'mai'bu'bing 人病脉不病
'ren'bing'you'su'shi 人病有宿食
'ren'bu'yin 人不饮
'ren'kui'zhe 人愧者
'ren'niao'wu'he 人尿五合
'ren'qiang'yu'gu 人强与谷
'ren'shen'er'liang 人参二两
'ren'shen'gan'cao'zhi 人参甘草炙
'ren'shen'liu'liang 人参六两
'ren'shen'san'liang 人参三两
'ren'shen'yi'liang 人参一两
'ren'shen'yi'liang'ban 人参一两半
'ren'yi'zhi'an'zhi 人以指按之
'ren'zhe'jian'ci 仁者鉴此
'reng'bu'jie'zhe 仍不解者
'reng'bu'li'zhe 仍不利者
'reng'tou'xiang'qiang'tong 仍头项强痛
'reng'zai'biao'ye 仍在表也
'ri'bu'suo'fa'chao're 日晡所发潮热
'ri'bu'suo'fa're'zhe 日晡所发热者
'ri'bu'suo'fa'xin'xiong'da'fan 日晡所发心胸大烦
'ri'bu'suo'ju'zhe 日晡所剧者
'ri'bu'suo'xiao'you'chao're 日晡所小有潮热
'ri'er'fu 日二服
'ri'ji'hang 日几行
'ri'san'fu 日三服
'ri'shi'yu'xing 日十余行
'ri'shu'shi'hang 日数十行
'ri'zai 日再
'ri'zai'fa'zhe 日再发者
'ri'zai'ye'yi'fu 日再夜一服
'ri'zhong'de'bing 日中得病
'ri'zu'shi 日卒时
'ri'zu'shi'er'fa 日卒时而发
'ri'zu'shi'mai'hai 日卒时脉还
'rong'jie'xue'jin 荣竭血尽
'rong'jin'wei'qi'leng 荣紧胃气冷
'rong'qi'bu'zu 荣气不足
'rong'qi'he 荣气和
'rong'qi'he'zhe 荣气和者
'rong'qi'ruo 荣气弱
'rong'qi'sheng 荣气盛
'rong'qi'wei'ye 荣气微也
'rong'qi'wei'zhe 荣气微者
'rong'sheng 荣盛
'rong'wei'bu'neng'xiang'jiang 荣卫不能相将
'rong'wei'bu'tong 荣卫不通
'rong'wei'gen 荣为根
'rong'wei'he'ze'yu 荣卫和则愈
'rong'wei'ju'bing 荣卫俱病
'rong'wei'ju'wei 荣卫俱微
'rong'wei'ju'xing 荣卫俱行
'rong'wei'liu'xing 荣卫流行
'rong'wei'nei'xian 荣卫内陷
'rong'wei'xue 荣为血
'rong'wei'xue'qi 荣卫血气
'rou'han'fa'huang'zhe 柔汗发黄者
'rou'shang'su'qi 肉上粟起
'ru'bu'xia'geng'fu 如不下更服
'ru'che'gai'zhe 如车盖者
'ru'ci'ke'xiao'fa'han 如此可小发汗
'ru'ci'zhe'e'han 如此者恶寒
'ru'dou'da 如豆大
'ru'fan'zai'dian 濡反在巅
'ru'fu'yi'ji 如服一剂
'ru'geng'shang'fei'zhe 如羹上肥者
'ru'huai'luan'wu'zhe 如怀卵物者
'ru'ji'huang'da 如鸡黄大
'ru'jian'gui'zhuang'zhe 如见鬼状者
'ru'jie'xiong'zhuang 如结胸状
'ru'jiu'shu'zhi'zhong'zhe 如九菽之重者
'ru'li'ze'bu'xiao'yi 入里则不消矣
'ru'liu'shu'zhi'zhong'zhe 如六菽之重者
'ru'nue'zhuang 如疟状
'ru'qi'bu'xia'zhe 如其不下者
'ru'rou'jing'zhuang 如柔痉状
'ru'ruo'he'yi'fan'shi'shi'yi'tou 濡弱何以反适十一头
'ru'san'shu'zhi'zhong'zhe 如三菽之重者
'ru'shi'er'shu'zhi'zhong'zhe 如十二菽之重者
'ru'shi'qing 如食顷
'ru'wu'zhu'dan 如无猪胆
'ru'xie'qi'zhi'jue'zhe 如泻漆之绝者
'ru'xun'chang'gan'zhe 如循长竿者
'ru'yi'shi'qing 如一食顷
'ru'yin'jin'zhe 入阴筋者
'ru'ze'wei'qi'wei 濡则卫气微
'ru'zhi'zhu'si'zhe 如蜘蛛丝者
'ru'zhuan'suo'wu'chang'ye 如转索无常也
'ruo'bei'huo'zhe 若被火者
'ruo'bei'xia'zhe 若被下者
'ruo'ben'xiao'bian'ri'san'si'xing 若本小便日三四行
'ruo'biao'yi'jie 若表已解
'ruo'bing'bu'jie 若病不解
'ruo'bing'ju'bu'jie 若病剧不解
'ruo'bing'zhong'zhe 若病重者
'ruo'bu'cha 若不差
'ruo'bu'cha'zhe 若不差者
'ruo'bu'da'bian'liu'qi'ri 若不大便六七日
'ruo'bu'er'zhe 若不尔者
'ruo'bu'han 若不汗
'ruo'bu'jia'da'huang 若不加大黄
'ruo'bu'jie'xiong 若不结胸
'ruo'bu'ke 若不渴
'ruo'bu'ke'bu'ou 若不咳不呕
'ruo'bu'ke'zhe 若不咳者
'ruo'bu'neng'san'fu'zhe 若不能散服者
'ruo'bu'niao 若不尿
'ruo'bu'shang'chong'zhe 若不上冲者
'ruo'bu'xia 若不下
'ruo'bu'xia'zhe 若不下者
'ruo'bu'zhi 若不止
'ruo'bu'zhuan'shi'qi 若不转矢气
'ruo'bu'zhuan'shi'qi'zhe 若不转矢气者
'ruo'chai'hu'zheng'bu'ba'zhe 若柴胡证不罢者
'ruo'chuan'ruo'hui 若喘若哕
'ruo'da'xia'li'er'jue'leng'zhe 若大下利而厥冷者
'ruo'de'huan'chi'zhe 若得缓迟者
'ruo'de'shu'zhe 若得数者
'ruo'fa'han 若发汗
'ruo'fa'han'bu'che 若发汗不彻
'ruo'fa'han'yi 若发汗已
'ruo'fa'han'ze'zao 若发汗则躁
'ruo'fan'hua'er'shu'zhe 若反滑而数者
'ruo'fan'zai'guan 弱反在关
'ruo'fu'da'man'bu'tong'zhe 若腹大满不通者
'ruo'fu'xia'zhi 若复下之
'ruo'fu'zhong'tong'zhe 若腹中痛者
'ruo'ge'shang'you'han'yin 若膈上有寒饮
'ruo'geng'fa'han 若更发汗
'ruo'geng'gan'yi'qi 若更感异气
'ruo'geng'yi'zhe 若更衣者
'ruo'guan'zhi 若灌之
'ruo'guo'shi'san'ri'yi'shang'bu'jian 若过十三日以上不间
'ruo'han'bu'chu'zhe 若汗不出者
'ruo'han'chu'er'chuan 若汗出而喘
'ruo'han'chu'fa'mu'run 若汗出发目闰
'ruo'han'duo'wei'fa're'e'han'zhe 若汗多微发热恶寒者
'ruo'han'sha'zi'chu'zhe 若汗濈自出者
'ruo'huo'cha'chi 若或差迟
'ruo'huo'xun'zhi 若火熏之
'ruo'ji'qi'yu'ming'si'sheng'zhi'qi 若计其余命死生之期
'ruo'jia'shao'zhen 若加烧针
'ruo'jian'sun'mai'lai'zhi 若见损脉来至
'ruo'jiu'ke'bing 若酒客病
'ruo'ju'zhe 若剧者
'ruo'jue'er'ou 若厥而呕
'ruo'jue'yu'zu'wen'zhe 若厥愈足温者
'ruo'ke'yu'yin'shui 若渴欲饮水
'ruo'ke'zhe 若咳者
'ruo'ke'zhe 若渴者
'ruo'li'you'bing'zhe 若里有病者
'ruo'li'zhi 若利止
'ruo'li'zi'zhi 若利自止
'ruo'liang'gan'yu'han'er'bing'zhe 若两感于寒而病者
'ruo'liang'gan'yu'han'zhe 若两感于寒者
'ruo'mai'bu'hai 若脉不还
'ruo'mai'chi'zhi'liu'qi'ri 若脉迟至六七日
'ruo'mai'fu 若脉浮
'ruo'mai'fu'da'zhe 若脉浮大者
'ruo'mai'fu'er'shu 若脉浮而数
'ruo'mai'fu'fa're 若脉浮发热
'ruo'mai'he 若脉和
'ruo'mai'shu'bu'jie 若脉数不解
'ruo'mai'wei'ruo 若脉微弱
'ruo'mai'wei'ruo'zhe 若脉微弱者
'ruo'mai'yin'yang'ju'sheng 若脉阴阳俱盛
'ruo'ming'ri'shen'bu'teng'bu'zhong'zhe 若明日身不疼不重者
'ruo'neng'shi 若能食
'ruo'neng'shi'zhe 若能食者
'ruo'ou'zhe 若呕者
'ruo'qi'ren'da'bian'ying'yi'yun 若其人大便硬一云
'ruo'qi'ren'mai'fu'jin 若其人脉浮紧
'ruo'qi'ren'nei'you'jiu'han'zhe 若其人内有久寒者
'ruo'qi'shang'zhu'zhe 若脐上筑者
'ruo'san'yan'san'zhi 若三言三止
'ruo'san'yin'san'yang'wu'cang'liu'fu'jie'shou'bing 若三阴三阳五藏六府皆受病
'ruo'shao'qi'zhe 若少气者
'ruo'shi'ru'kou'ji'tu 若食入口即吐
'ruo'shi'xiao'bian'zhe 若失小便者
'ruo'shu'mai'jian'yu'guan'shang 若数脉见于关上
'ruo'shui'yi'xun'zhi'xi'zhi 若水以潠之洗之
'ruo'tai'yang'bing'zheng'bu'ba'zhe 若太阳病证不罢者
'ruo'tou'tong'zhe'bi'nv 若头痛者必衄
'ruo'tu 若吐
'ruo'tu'gua'gen'ji'yu'da'zhu'dan'zhi 若土瓜根及与大猪胆汁
'ruo'tu'ruo'xia 若吐若下
'ruo'tu'ruo'xia'hou 若吐若下后
'ruo'tu'ruo'xia'ruo'fa'han 若吐若下若发汗
'ruo'wei'e'han'zhe 若微恶寒者
'ruo'wei'qi'bu'he 若胃气不和
'ruo'wei'qi'qian'tong'wei'qi'xu'jie'ye 若卫气前通胃气虚竭也
'ruo'wei'qi'qian'tong'zhe 若卫气前通者
'ruo'wei'zhong'xu'leng 若胃中虚冷
'ruo'wen'zhen 若温针
'ruo'wu'dan'yi'ke'yong 若无胆亦可用
'ruo'xia 若下
'ruo'xia'li 若下利
'ruo'xia'li'bu'zhi'zhe 若下利不止者
'ruo'xia'li'zhe 若下利者
'ruo'xia'ruo'li'xiao'bian 若下若利小便
'ruo'xia'shao'bing'bu'chu'zhe 若下少病不除者
'ruo'xia'zhi 若下之
'ruo'xia'zhi'zao 若下之早
'ruo'xian'fa'han 若先发汗
'ruo'xian'xia'zhi 若先下之
'ruo'xiao'bian'li'zhe 若小便利者
'ruo'xiao'bian'se'bai'zhe 若小便色白者
'ruo'xiao'bian'zi'li'zhe 若小便自利者
'ruo'xie'xia'pi'ying 若胁下痞硬
'ruo'xin'xia'ji 若心下悸
'ruo'xin'xia'man 若心下满
'ruo'xing'ru'nue 若形如疟
'ruo'xiong'zhong'fan'er'bu'ou 若胸中烦而不呕
'ruo'xun'zhi 若熏之
'ruo'yang'qi'qian'jue 若阳气前绝
'ruo'yi'fu'han'chu'bing'cha 若一服汗出病差
'ruo'yi'fu'li 若一服利
'ruo'yi'fu'yu 若一服愈
'ruo'yi'fu'zhan'yu'zhi 若一服谵语止
'ruo'yi'tu'xia'fa'han'wen'zhen 若已吐下发汗温针
'ruo'yin'er'fu'man 若饮而腹满
'ruo'yin'qi'qian'tong'zhe 若阴气前通者
'ruo'you'su'shi'zhe 若有宿食者
'ruo'you'tong'chu 若有痛处
'ruo'you'zao'shi'zhe 若有燥屎者
'ruo'yu'bing'xiang'zu 若与病相阻
'ruo'yu'xia'zhi 若欲下之
'ruo'yu'zi'jie 若欲自解
'ruo'yu'zuo'zai'jing'zhe 若欲作再经者
'ruo'yun'zhi 若熨之
'ruo'zao'fan 若躁烦
'ruo'zhe'bi'ke 弱者必渴
'ruo'zhe'fa're'mai'fu 弱者发热脉浮
'ruo'zhe'wei'fan 弱者微烦
'ruo'zhe'wei'qi'wei 弱者卫气微
'ruo'zhe'yang'qi'bu'zu 弱者阳气不足
'ruo'zhi'feng'shi'zhe 若治风湿者
'ruo'zhong'fa'han 若重发汗
'ruo'zhong'fa'han'zhe 若重发汗者
'ruo'zhong'han 若中寒
'ruo'zhuan'qi'xia'qu'shao'fu'zhe 若转气下趣少腹者
'ruo'zi'han'chu'zhe 若自汗出者
'ruo'zi'xia'li'zhe 若自下利者
'sa'sa'ran'mao'song 洒洒然毛耸
'san'bai'liu'shi'you'wu 三百六十有五
'san'bu'bu'tong 三部不同
'san'bu'mai'jie'ping 三部脉皆平
'san'fu 三服
'san'jiao'bie'yan 三焦别焉
'san'jiao'bu'gui'qi'bu 三焦不归其部
'san'jiao'jue'jing 三焦绝经
'san'jiao'wu'suo'yang 三焦无所仰
'san'jiao'xiang'hun 三焦相混
'san'ri'shao'yang'shou'zhi 三日少阳受之
'san'ri'si 三日死
'san'si'ri'tu'zhi'zhe 三四日吐之者
'san'yang'he'bing 三阳合病
'san'yang'wei'jin 三阳为尽
'san'yin'dang'shou'xie 三阴当受邪
'san'yue'si'yue 三月四月
'se'bai'zhe 色白者
'se'chun'qing 色纯青
'se'fan'zai'xia 涩反在下
'se'se'e'han 啬啬恶寒
'se'ze'shi'bu'de'ru 涩则食不得入
'se'ze'wu'xue 涩则无血
'se'ze'xiao'bian'shu 涩则小便数
'se'zhe'jue'ni 涩者厥逆
'se'zhe'rong'qi'bu'dai 涩者荣气不逮
'se'zhe'rong'qi'bu'zu 涩者荣气不足
'se'zhe'si 涩者死
'se'zheng'chi 色正赤
'sha'ran'han'chu'er'jie'zhe 濈然汗出而解者
'sha'ran'han'chu'ye 濈然汗出也
'sha'ran'han'chu'ze'yu 濈然汗出则愈
'shang'gong'wang'er'zhi'zhi 上工望而知之
'shang'guan'shang 上关上
'shang'han 伤寒
'shang'han'ba'jiu'ri 伤寒八九日
'shang'han'ben'zi'han'xia 伤寒本自寒下
'shang'han'biao'bu'jie 伤寒表不解
'shang'han'bing 伤寒病
'shang'han'bu'da'bian'liu'qi'ri 伤寒不大便六七日
'shang'han'cha'yi'hou 伤寒差已后
'shang'han'da'tu'da'xia'zhi 伤寒大吐大下之
'shang'han'da'xia'hou 伤寒大下后
'shang'han'er'san'ri 伤寒二三日
'shang'han'fa'han 伤寒发汗
'shang'han'fa're 伤寒发热
'shang'han'fa're'si'ri 伤寒发热四日
'shang'han'fa're'wu'han 伤寒发热无汗
'shang'han'fu'man'zhan'yu 伤寒腹满谵语
'shang'han'fu'tang'yao 伤寒服汤药
'shang'han'han'chu 伤寒汗出
'shang'han'han'chu'er'ke'zhe 伤寒汗出而渴者
'shang'han'hou 伤寒后
'shang'han'jie'hou 伤寒解后
'shang'han'jue'er'xin'xia'ji'zhe 伤寒厥而心下悸者
'shang'han'jue'si'ri 伤寒厥四日
'shang'han'ke'ni'shang'qi 伤寒咳逆上气
'shang'han'liu'qi'ri 伤寒六七日
'shang'han'mai'chi 伤寒脉迟
'shang'han'mai'cu 伤寒脉促
'shang'han'mai'fu 伤寒脉浮
'shang'han'mai'fu'er'huan 伤寒脉浮而缓
'shang'han'mai'fu'hua 伤寒脉浮滑
