'a'ba'la'qi'ya'ji'you'jun 阿巴拉契亚鸡油菌
'mao'se'er'bao'shu 毛色二孢属
'mao'she'jun 毛舌菌
'mao'she'jun'shu 毛舌菌属
'mao'shi'pan'jun 毛氏盘菌
'mao'shi'pan'jun'shu 毛氏盘菌属
'mao'shu'mei'shu 毛束霉属
'mao'shuan'jun 毛栓菌
'mao'si'dun'nang'pan'jun 毛丝钝囊盘菌
'mao'si'gai'san 毛丝盖伞
'mao'ti'gan'lao'jun 毛蹄干酪菌
'mao'tong'ke'ke 毛筒壳科
'mao'tong'ke'mu 毛筒壳目
'mao'tong'ke'shu 毛筒壳属
'mao'tou'gui'san 毛头鬼伞
'mao'tou'ru'gu 毛头乳菇
'mao'tuo'xiao'bao'jiao'gu 毛托小包脚菇
'mao'wei'pi'san 毛微皮伞
'mao'wen'ge'gai'jun 毛纹革盖菌
'mao'wu'ge'dan'er 茂物隔担耳
'mao'xiang'tiao'hei'fen'jun 茅香条黑粉菌
'mao'xie'duo'bing'yi 毛屑多柄衣
'mao'xie'yi 毛屑衣
'mao'xing'dun'ke'shu 毛星盾壳属
'mao'xing'san'shu 帽形伞属
'mao'xue'er 毛靴耳
'mao'ya'san 毛亚伞
'mao'yan'cao'dan'bao'xiu'jun 猫眼草单胞锈菌
'mao'ying'kong'ge'jun 毛硬孔革菌
'mao'yuan'ci'pan'jun 毛缘刺盘菌
'mao'yuan'gu'shu 毛缘菇属
'mao'yuan'jiao'qiao'pan'jun 毛缘胶鞘盘菌
'mao'yuan'mao'bei'jun 毛缘毛杯菌
'mao'yuan'ren'san 毛缘韧伞
'mao'yuan'si'chi'jun 毛缘丝齿菌
'mao'yuan'si'gai'jun 毛缘丝盖菌
'mao'zhe'xiao'pi'san 毛褶小皮伞
'mao'zhen'ceng'kong'jun 毛针层孔菌
'mao'zhuang'song'luo 毛状松萝
'mao'zhuang'xiao'he'yi 帽状小核衣
'mao'zhuang'xiao'pi'san 毛状小皮伞
'mao'zui'di'xing 毛嘴地星
'mei'bao'jiao'mo'jun 美孢胶膜菌
'mei'bao'xiu'gai'gu 美孢锈盖菇
'mei'bing'si'mo'jun 美柄丝膜菌
'mei'chen'yi'shu 煤尘衣属
'mei'cheng'yi 美橙衣
'mei'dun'ke'shu 美盾壳属
'mei'er'shu 玫耳属
'mei'er'xiang'gu 梅尔香菇
'mei'feng'li'mao'pan'jun 梅峰粒毛盘菌
'mei'gong'yi'shu 梅蚣衣属
'mei'guan'he'kong'xiao'niu'gan'jun 美观褐孔小牛肝菌
'mei'guan'xiao'niu'gan'jun 美观小牛肝菌
'mei'gui'bing'hong'gu 玫瑰柄红菇
'mei'gui'duo'bao'xiu'jun 玫瑰多胞锈菌
'mei'gui'hong'e'gao 玫瑰红鹅膏
'mei'gui'hong'gu 玫瑰红菇
'mei'gui'hong'ju'bao'nang'mei 玫瑰红巨孢囊霉
'mei'gui'se'hong'ceng'kong'jun 玫瑰色红层孔菌
'mei'guo'jiao'nang'yi 美果胶囊衣
'mei'hei'si'mo'jun 煤黑丝膜菌
'mei'hong'gu 美红菇
'mei'hong'zhe'kong'jun 玫红褶孔菌
'mei'ju'bao'nang'mei 美巨孢囊霉
'mei'kui'cha'zi 美盔茶渍
'mei'la'san 美蜡伞
'mei'li'bei'san 美丽杯伞
'mei'li'bing'hui'bao 美丽柄灰包
'mei'li'bing'xiu 美丽柄锈
'mei'li'bing'xiu'jun 美丽柄锈菌
'mei'li'cao'gu 美丽草菇
'mei'li'dan'bao'xiu'jun 美丽单胞锈菌
'mei'li'duo'kong'jun 美丽多孔菌
'mei'li'er'zhen'ceng'kong'jun 梅里尔针层孔菌
'mei'li'hei'liu'yi 美丽黑瘤衣
'mei'li'hei'wu'gong'yi 美丽黑蜈蚣衣
'mei'li'hong'gu 梅利红菇
'mei'li'huan'bing'gu 美丽环柄菇
'mei'li'la'san 美丽蜡伞
'mei'li'luo'san 美丽裸伞
'mei'li'mao'pan'jun 美粒毛盘菌
'mei'li'mu'er 美丽木耳
'mei'li'niu'gan'jun 美丽牛肝菌
'mei'li'xiao'bei'jun 美丽小杯菌
'mei'li'xiao'pi'san 美丽小皮伞
'mei'li'yang'du'jun 梅里羊肚菌
'mei'li'zhe'kong'jun 美丽褶孔菌
'mei'lin'wen'zi'yi 美林文字衣
'mei'nang'ti'niu'gan'jun 美囊体牛肝菌
'mei'ni'ya'guang'ti'yi 美尼亚光体衣
'mei'niu'gan'jun 美牛肝菌
'mei'peng'hua'ji'zong 梅朋华鸡枞
'mei'peng'hua'niu'gan'jun 梅朋华牛肝菌
'mei'pi'pan'jun 梅皮盘菌
'mei'qi'jiao'mu'shu 梅奇酵母属
'mei'ren'jiao'bing'xiu'jun 美人蕉柄锈菌
'mei'se'ni'duo'bao'xiu'jun 煤色拟多胞锈菌
'mei'se'nian'gai'niu'gan'jun 美色黏盖牛肝菌
'mei'se'shuan'jun 玫色栓菌
'mei'shi'mao'yuan'gu 梅氏毛缘菇
'mei'tai'ke 煤炱科
'mei'tai'mu 煤炱目
'mei'tai'shu 煤炱属
'mei'tou'tan'jiao'jun 美头炭角菌
'mei'wang'yi 煤网衣
'mei'wei'hong'gu 美味红菇
'mei'wei'la'san 美味蜡伞
'mei'wei'mo'gu 美味蘑菇
'mei'wei'niu'gan'jun 美味牛肝菌
'mei'wei'shan'gu 美味扇菇
'mei'yi 梅衣
'mei'yi'ke 梅衣科
'mei'yi'shu 梅衣属
'mei'zhou'bai'mo'gu 美洲白蘑菇
'mei'zhou'bei'pan'jun 美洲杯盘菌
'mei'zhou'chong'dan'mei 美洲虫瘅霉
'mei'zhou'cong'er 美洲丛耳
'mei'zhou'da'bao'yi 美洲大孢衣
'mei'zhou'fen'pan'jun 美洲粉盘菌
'mei'zhou'hei'liu'yi 美洲黑瘤衣
'mei'zhou'huan'bing'gu 美洲环柄菇
'mei'zhou'kou'mo 美洲口蘑
'mei'zhou'mi'huan'jun 美洲蜜环菌
'mei'zhou'ru'niu'gan'jun 美洲乳牛肝菌
'mei'zhou'shu'hua 美洲树花
'mei'zhou'shu'ling 美洲树菱
'mei'zhou'song'rong 美洲松茸
'mei'zhou'tiao'yi 美洲条衣
'mei'zhou'tu'ke'man'yi 美洲土可曼衣
'mei'zhou'xiu'bing'jun 美洲锈病菌
'mei'zhu'sun 美竹荪
'mei'zhuang'ni'la'kong'jun 霉状拟蜡孔菌
'men'zuo'bao'shu 门座孢属
'meng'da'na'bao'dui'hei'fen'jun 蒙大纳孢堆黑粉菌
'meng'gu'ce'er 蒙古侧耳
'meng'gu'duo'kong'jun 蒙古多孔菌
'meng'gu'huang'mei 蒙古黄梅
'meng'gu'lin'bi'yi 蒙古鳞壁衣
'meng'gu'ping'kou'yi 蒙古瓶口衣
'meng'gu'ping'pan'jun 蒙古平盘菌
'meng'gu'shi'rui 蒙古石蕊
'meng'jia'la'ya'zhi'cao'bing'xiu'jun 孟加拉鸭跖草柄锈菌
'meng'lun'yin'er 勐仑银耳
'meng'sheng'si'gai'san 萌生丝盖伞
'meng'shi'ru'gu 蒙氏乳菇
'meng'shi'xiao'pi'san 蒙氏小皮伞
'meng'ta'jia'gu'shu 蒙塔假菇属
'meng'yang'song'luo 勐养松萝
'mi'bai'song'guo'gu 密白松果菇
'mi'ci'niu'gan'jun 密刺牛肝菌
'mi'cong'mao'mei 密丛毛霉
'mi'cu'fen'mo'niu'gan'jun 密簇粉末牛肝菌
'mi'cu'niu'gan'jun 密簇牛肝菌
'mi'er'tang'si'bao'jiao'mu 蜜二糖丝孢酵母
'mi'ge'bao'shu 密格孢属
'mi'gen'mei 米根酶
'mi'guo'bing'gan'yi 密果饼干衣
'mi'guo'chen'yi 密果沉衣
'mi'hei'gen'mao'mei 米黑根毛霉
'mi'hou'tao'wei'bao 猕猴桃尾孢
'mi'hu'jun'shu 密瑚菌属
'mi'huan'jun 蜜环菌
'mi'huan'jun'shu 蜜环菌属
'mi'huan'kou'mo 密环口蘑
'mi'huang'cong'zhi 米黄丛枝
'mi'huang'lie'chi'jun 蜜黄裂齿菌
'mi'huang'si'mo'jun 米黄丝膜菌
'mi'huang'xiao'pi'san 蜜黄小皮伞
'mi'huo'ji'hu'jun 迷惑集壶菌
'mi'ji'bing'xiu'jun 密集柄锈菌
'mi'ji'hei'wu'gong'yi 密集黑蜈蚣衣
'mi'ji'tu'pan'jun 密集土盘菌
'mi'ji'wen'zi'yi 密集文字衣
'mi'kong'jun'shu 密孔菌属
'mi'kong'jun'shu 迷孔菌属
'mi'kong'yun'zhi'xuan'chui'he'ceng'kong'jun 密孔云芝悬垂褐层孔菌
'mi'ku'er'cha'zi 米库尔茶渍
'mi'la'an'jin'qian'jun 米拉暗金钱菌
'mi'le'shi'jun'shu 米勒氏菌属
'mi'le'shuan'jun 米勒栓菌
'mi'le'tu'chun'yi 米勒凸唇衣
'mi'lie'chi'jun 密裂齿菌
'mi'lie'da'ye'mei 密裂大叶梅
'mi'lin'he'yi 密鳞核衣
'mi'lin'yuan'pan'jun 米林圆盘菌
'mi'lu'zhuang'fen'bao'jun 迷路状粉孢菌
'mi'mai'mu'bang'bao 密脉木棒孢
'mi'mei'shuan'jun 米梅栓菌
'mi'ni'bao'yi 蜜昵孢衣
'mi'nu'xin'bing'xiu'jun 米努辛柄锈菌
'mi'qie'na'luo'ke'jun 米切纳螺壳菌
'mi'rong'di'juan 密茸地卷
'mi'rong'gai'san 密绒盖伞
'mi'rong'qu'mu'jun 密绒趋木菌
'mi'rong'ren'ge'jun 密绒韧革菌
'mi'rong'sun'ge'jun 密绒笋革菌
'mi'sa'tai'tan'hei'fen'jun 米萨苔炭黑粉菌
'mi'se'ru'jin'san 米色乳金伞
'mi'se'wu'geng'nang'mei 蜜色无梗囊霉
'mi'shai'zhu'hei'zhi'jun 米筛竹黑痣菌
'mi'shan'hu'zhi 密珊瑚枝
'mi'sheng'ji'pi'yi 密生鸡皮衣
'mi'sheng'lin'san 密生鳞伞
'mi'shi'fen'pan'jun 米氏粪盘菌
'mi'shi'pan'jun 米氏盘菌
'mi'shi'qiang'kuai'jun 米氏腔块菌
'mi'shi'tan'hei'fen'jun 米氏炭黑粉菌
'mi'shi'xiao'cui'bing'gu 米氏小脆柄菇
'mi'si'pi'jun 密丝皮菌
'mi'si'xiao'gu 密丝小菇
'mi'wei'hong'gu 蜜味红菇
'mi'wen'ling'zhi 密纹灵芝
'mi'wen'shu'she 密纹树舌
'mi'ye'dai'yi 密叶袋衣
'mi'zhe'hong'gu 密褶红菇
'mi'zhe'jin'qian'jun 密褶金钱菌
'mi'zhe'ru'gu 密褶乳菇
'mi'zhe'wei'pi'san 密褶微皮伞
'mi'zhe'ya'ce'er 密褶亚侧耳
'mi'zhen'ying'xiu'ge'jun 密针硬锈革菌
'mi'zhi'an'ji'bao'fen'pan'jun 密执安集孢粪盘菌
'mi'zhi'hu'jun 密枝瑚菌
'mi'zhi'song'luo 密枝松萝
'mi'zhu'yu'jiao'tu'bao 蜜茱萸角凸孢
'mi'zhu'yu'yi'bang'bao 蜜茱萸异棒孢
'mian'ceng'xiu'jun 棉层锈菌
'mian'fu'wo'kong'jun 绵腐卧孔菌
'mian'fu'yi'shu 绵腹衣属
'mian'guan'bing'xiu'jun 绵管柄锈菌
'mian'hu'jun'shu 冕瑚菌属
'mian'li'hong'gu 绵粒红菇
'mian'mao'ji'zong'jun 绵毛鸡枞菌
'mian'mao'lin'he'yi 绵毛鳞核衣
'mian'mao'lin'ye'yi 绵毛鳞叶衣
'mian'mao'ren'ge'jun 绵毛韧革菌
'mian'mao'si'gai'san 绵毛丝盖伞
'mian'mao'si'mo'jun 绵毛丝膜菌
'mian'mao'xiao'cui'bing'gu 绵毛小脆柄菇
'mian'mao'yi'shu 绵毛衣属
'mian'ping'qi'ru'bao 棉平脐蠕孢
'mian'san'pan'yi 绵散盘衣
'mian'wei'cao'xing'hei'fen'jun 免尾草腥黑粉菌
'mian'xu'bo'kong'jun 棉絮薄孔菌
'mian'xu'yi 棉絮衣
'mian'xu'yi'shu 棉絮衣属
'mian'xu'zhuang'fen'zhe'jun 棉絮状粉褶菌
'mian'yang'zhuang'di'hua'jun 绵羊状地花菌
'mian'yang'zhuang'duo'kong'jun 绵羊状多孔菌
'mian'yu'wei'pi'san 棉羽微皮伞
'mian'zao'er'hei'fen'jun 绵枣儿黑粉菌
'min'gan'niu'gan'jun 敏感牛肝菌
'min'nan'ling'zhi 闽南灵芝
'min'shan'bing'xiu'jun 岷山柄锈菌
'ming'ban'ke'shu 明斑壳属
'ming'bao'pan'jun'shu 明孢盘菌属
'ming'bao'tai'shu 明孢炱属
'ming'bao'wang'bao'xiu'jun 明孢网孢锈菌
'ming'er'bao'shu 明二孢属
'ming'jia'xiu'jun'shu 明痂锈菌属
'ming'qiu'nang'mei 明球囊霉
'mo'bei'xiao'ao'de'mo 膜被小奥德蘑
'mo'di'juan 膜地卷
'mo'dun'qiu'nang'mei 莫顿球囊霉
'mo'er'la'fu'ge'jun 莫尔蜡伏革菌
'mo'er'ma'bo 莫尔马勃
'mo'gai'huan'bing'gu 膜盖环柄菇
'mo'gai'xiao'cui'bing'gu 膜盖小脆柄菇
'mo'gai'zhi 膜盖芝
'mo'gan'shan'bang'shu'bao 莫干山棒束孢
'mo'gen'di'xing 摩根地星
'mo'gu 蘑菇
'mo'gu'gang 蘑菇纲
'mo'gu'ke 蘑菇科
'mo'gu'mu 蘑菇目
'mo'gu'shu 蘑菇属
'mo'hu'si'gai'san 模糊丝盖伞
'mo'jiang'shu'she 墨江树舌
'mo'lai'xie'yi 膜癞屑衣
'mo'lai'yuan'yi 膜癞缘衣
'mo'li'lan'bo'pan'jun 茉莉兰伯盘菌
'mo'li'si'rong'gai'niu'gan'jun 莫利斯绒盖牛肝菌
'mo'lie'xi'yi 磨裂隙衣
'mo'luo'bei'bing'xiu'jun 莫罗贝柄锈菌
'mo'luo'hei'fen'jun'shu 莫罗黑粉菌属
'mo'ni'jia'zhi 模拟假芝
'mo'pan'jun'shu 膜盘菌属
'mo'ran'li'zhe'san 墨染离褶伞
'mo'sen'mao'mei 莫森毛霉
'mo'shi'hei'fen'jun'shu 莫氏黑粉菌属
'mo'shi'hei'pan'yi 墨氏黑盘衣
'mo'shi'jie'he'mei 莫氏接合霉
'mo'shi'lin'san 莫氏鳞伞
'mo'shi'niu'gan'jun 莫氏牛肝菌
'mo'si'yi'shu 莫斯衣属
'mo'suo'ni'ci'pi'er 莫索尼刺皮耳
'mo'tuo'bing'xiu 墨脱柄锈
'mo'tuo'wang'bao'pan'jun 墨脱网孢盘菌
'mo'xi'ge'fen'zhe'xun 墨西哥粉褶蕈
'mo'xi'ge'rou'you'yi 墨西哥肉疣衣
'mo'xi'ge'shu'hua 墨西哥树花
'mo'xi'ge'tiao'yi 墨西哥条衣
'mo'xi'qiu'nang'mei 摩西球囊霉
'mo'yi'ke 膜衣科
'mo'yi'mu 膜衣目
'mo'yi'shu 膜衣属
'mo'ze'li'fu'pian'bao 摩泽里辐片包
'mo'zhi'gui'san 墨汁鬼伞
'mo'zhi'si'chi'jun 膜质丝齿菌
'mo'zhou'kuai'jun 膜皱块菌
'mou'shi'shen'pan'yi 牟氏肾盘衣
'mu'cao'ji'hu'jun 母草集壶菌
'mu'ceng'kong'jun'shu 木层孔菌属
'mu'chi'jun'ke 木齿菌科
'mu'chi'jun'shu 木齿菌属
'mu'dao'lin'mo'gu 母岛林蘑菇
'mu'er 木耳
'mu'er'ke 木耳科
'mu'er'mu 木耳目
'mu'er'shu 木耳属
'mu'er'zhuang'di'er 木耳状地耳
'mu'fu'bing 木腐病
'mu'gai'gu'shu 幕盖菇属
'mu'gu'shu 木菇属
'mu'hu'jun'ke 木瑚菌科
'mu'hu'jun'shu 木瑚菌属
'mu'jiang'zi'bing'xiu'jun 木姜子柄锈菌
'mu'jiang'zi'duan'zhu'xiu'jun 木姜子短柱锈菌
'mu'jiang'zi'qi'bao'ceng'xiu'jun 木姜子砌孢层锈菌
'mu'jin'tan'tuan'jun 木槿炭团菌
'mu'ke'yi'ke 木刻衣科
'mu'ke'yi'shu 木刻衣属
'mu'kong'jun'shu 木孔菌属
'mu'la'chang'yi 木腊肠衣
'mu'lai'mu'peng'jia'xiu 木来木膨痂锈
'mu'lan'dan'bao'xiu'jun 木蓝单胞锈菌
'mu'lan'san'xiu'jun 木蓝伞锈菌
'mu'li'fen'zhe'xun 木力粉褶蕈
'mu'ma'huang'lai'te'kong'jun 木麻黄赖特孔菌
'mu'mei'shu 木霉属
'mu'se'e'gao 木色鹅膏
'mu'sheng'bei'san 木生杯伞
'mu'sheng'di'xing 木生地星
'mu'sheng'fen'pan'jun 木生粪盘菌
'mu'sheng'nang'huan'gu 木生囊环菇
'mu'sheng'ru'gu 木生乳菇
'mu'sheng'tan'jiao'jun 木生炭角菌
'mu'sheng'tiao'bao'niu'gan'jun 木生条孢牛肝菌
'mu'sheng'xiao'fu'sheng'niu'gan'jun 木生小腐生牛肝菌
'mu'sheng'xiao'niu'gan'jun 木生小牛肝菌
'mu'sheng'xiao'wang'yi 木生小网衣
'mu'sheng'xie'gai'san 木生斜盖伞
'mu'shu'qiu'nang'mei 木薯球囊霉
'mu'ti'ceng'kong'jun 木蹄层孔菌
'mu'tong'shuang'bao'xiu 木通双胞锈
'mu'xu'jia'pan'jun 苜蓿假盘菌
'mu'xu'mai'he'pan'jun 苜蓿埋核盘菌
'mu'xu'xi'pi'lie'pan'jun 苜蓿细皮裂盘菌
'mu'ya'wang'yi 木亚网衣
'mu'yu'nang'jun 木羽囊菌
'mu'zhi'ni'ceng'kong'jun 木质拟层孔菌
'na'bu'duo'bao'xiu'jun 纳布多胞锈菌
'na'xun'jiao'mu'shu 拿逊酵母属
'nai'leng'bai'chi'jun 耐冷白齿菌
'nai'you'kong'jun 奶油孔菌
'nai'you'se'pan'ge'jun 奶油色盘革菌
'nai'you'si'pi'jun 奶油丝皮菌
'nai'zhen'se'hong'gu 奶榛色红菇
'nan'bian'mo'pan'jun 难变膜盘菌
'nan'bian'rou'mo'jun 难变柔膜菌
'nan'bu'bing'xiu'jun 南布柄锈菌
'nan'chang'gui'bi 南昌鬼笔
'nan'fang'bing'xiu'jun 南方柄锈菌
'nan'fang'di'juan 南方地卷
'nan'fang'san'ban'ke 南方散斑壳
'nan'fang'song'luo 南方松萝
'nan'fang'xue'er 南方靴耳
'nan'fang'yi'dan'zi'jun 南方异担子菌
'nan'fang'yuan'mao'ping'ge'jun 南方原毛平革菌
'nan'fei'an'pan'jun 南费暗盘菌
'nan'fei'pan'jun'shu 南费盘菌属
'nan'guang'bing'gu 南光柄菇
'nan'ji'shi'luo 南极石萝
'nan'jia'ba'wa'bing'xiu'jun 南迦巴瓦柄锈菌
'nan'jing'shan'dun'nang'pan'jun 南靖山钝囊盘菌
'nan'jing'wu'suo'fu'jun 南京无索腹菌
'nan'mei'mao'er'yi 南美猫耳衣
'nan'mei'shan'ni'bai'mo 南美杉拟白蘑
'nan'niu'gan'jun 南牛肝菌
'nan'niu'gan'jun'shu 南牛肝菌属
'nan'wu'tai'shan'jiao'chun'bao'xiu 南五台山角春孢锈
'nan'wu'tai'shan'jiao'xiu'bao'xiu 南五台山角锈孢锈
'nan'ya'niu'gan'jun 南亚牛肝菌
'nan'ya'rong'hu'jun 南亚茸瑚菌
'nan'yang'niu'pi'ye 南洋牛皮叶
'nan'zhu'wai'dan'zi'jun 南烛外担子菌
'nang'ban'da'ye'mei 囊瓣大叶梅
'nang'ban'qin'bing'xiu'jun 囊瓣芹柄锈菌
'nang'bao'ke'shu 囊孢壳属
'nang'bao'xiu'jun'shu 囊孢锈菌属
'nang'bei'kuai'jun'shu 囊被块菌属
'nang'chi'ge'jun'shu 囊齿革菌属
'nang'dan'jun'gang 囊担菌纲
'nang'dan'jun'ke 囊担菌科
'nang'dan'jun'mu 囊担菌目
'nang'dan'jun'shu 囊担菌属
'nang'dun'jun'shu 囊盾菌属
'nang'duo'nian'wo'kong'jun 囊多年卧孔菌
'nang'geng'bao'shu 囊梗孢属
'nang'kou'mo 囊口蘑
'nang'pi'gu 囊皮菇
'nang'pi'gu'shu 囊皮菇属
'nang'pi'san 囊皮伞
'nang'pi'san'shu 囊皮伞属
'nang'ren'ge'jun'ke 囊韧革菌科
'nang'ren'ge'jun'shu 囊韧革菌属
'nang'si'dan'jun'mu 囊丝担菌目
'nang'xiao'san'shu 囊小伞属
'nang'zhuang'gui'bi'fu'jun 囊状鬼笔腹菌
'nang'zhuang'ti'xiu'qiu'jun 囊状体绣球菌
'nao'wen'bao'rou'bei'jun 脑纹孢肉杯菌
'nao'wen'wang'pan'yi 脑纹网盘衣
'nao'zhuang'ceng'fu'jun 脑状层腹菌
'nao'zhuang'qiang'kuai'jun 脑状腔块菌
'nao'zhuang'yin'er 脑状银耳
'nei'bi'jun'shu 内笔菌属
'nei'duo'ge'bao'shu 内多隔孢属
'nei'han'mao'er'yi 内含猫耳衣
'nei'he'cha'zi 内褐茶渍
'nei'huang'dao'yi 内黄岛衣
'nei'huang'wen'zi'yi 内黄文字衣
'nei'juan'bing'bei'jun 内卷柄杯菌
'nei'juan'he'bian'yi 内卷褐边衣
'nei'long'tou'jun'shu 内笼头菌属
'nei'meng'hei'dan'chao'jun 内蒙黑蛋巢菌
'nei'meng'hui'chui 内蒙灰锤
'nei'meng'ling'zhi 内蒙灵芝
'nei'na'ke'san'ban'ke 内纳克散斑壳
'nei'nang'mei'ke 内囊霉科
'nei'nang'mei'mu 内囊霉目
'nei'qi'ru'bao'shu 内脐蠕孢属
'nei'qin'cao'bao'xiu'jun 内侵糙孢锈菌
'nei'sheng'ji'hu'jun 内生集壶菌
'nei'sheng'jun'shu 内生菌属
'nei'sheng'you'hu'jun 内生油壶菌
'nei'si'bai'fen'jun'shu 内丝白粉菌属
'nei'xiu'jun'shu 内锈菌属
'neng'gao'shan'bing'xiu'jun 能高山柄锈菌
'ni'a'shi'dun'pan'jun 拟阿氏盾盘菌
'ni'ao'xian'kuai'jun 拟凹陷块菌
'ni'bai'fu'ya'ling'bao 拟白腹哑铃孢
'ni'bai'shi'mo'gu 拟柏氏蘑菇
'ni'ban'qiu'chang'mao'pan'jun 拟半球长毛盘菌
'ni'bang'bao'shu 拟棒孢属
'ni'bang'hu'jun 拟棒瑚菌
'ni'bao'ban'du'e'gao'jun 拟豹斑毒鹅膏菌
'ni'bao'yi'shu 拟孢衣属
'ni'bao'yi'shu 昵孢衣属
'ni'bei'er'te'bao'shu 拟贝尔特孢属
'ni'bi'xing'hong'gu 拟蓖形红菇
'ni'bian'kong'jun'shu 拟变孔菌属
'ni'bian'lan'luo'gai'gu 拟变蓝裸盖菇
'ni'bian'zhi'yi 拟扁枝衣
'ni'bian'zhi'yi'shu 拟扁枝衣属
'ni'bo'er'bing'xiu 尼泊尔柄锈
'ni'bo'er'du'huo'bing'xiu'jun 尼泊尔独活柄锈菌
'ni'bo'er'huang'cha'zi 尼泊尔黄茶渍
'ni'bo'er'ji'bao'xiu 尼泊尔戟孢锈
'ni'bo'er'jiao'xiu 尼泊尔胶锈
'ni'bo'er'jiao'yi 尼泊尔胶衣
'ni'bo'er'liao'hei'fen'jun 尼泊尔蓼黑粉菌
'ni'bo'er'quan'yuan'kong'jun 尼泊尔全缘孔菌
'ni'bo'er'shi'er 尼泊尔石耳
'ni'bo'er'xiao'bao'fa 尼泊尔小孢发
'ni'bo'yuan'wai'pan'jun 拟波缘歪盘菌
'ni'can'dou'pu'tao'bao 拟蚕豆葡萄孢
'ni'cang'bai'rou'you'yi 拟苍白肉疣衣
'ni'ce'er'shu 拟侧耳属
'ni'ceng'kong'jun'ke 拟层孔菌科
'ni'ceng'kong'jun'shu 拟层孔菌属
'ni'ceng'zhuang'ling'zhi 拟层状灵芝
'ni'cha'si'ke'shu 拟叉丝壳属
'ni'chang'hui'bing'xiu'jun 拟长喙柄锈菌
'ni'chang'jian'gan'pi'kong'jun 拟常见干皮孔菌
'ni'chang'mao'pan'jun 拟长毛盘菌
'ni'chang'mao'pan'jun'shu 拟长毛盘菌属
'ni'cheng'yi 拟橙衣
'ni'cheng'yi'shu 拟橙衣属
'ni'chong'nang'bao'shu 拟虫囊孢属
'ni'chou'huang'gu 拟臭黄菇
'ni'cu'pi'song'luo 拟粗皮松萝
'ni'cu'zhuang'wan'bao 拟粗壮弯孢
'ni'dai'yi 拟袋衣
'ni'dao'bao'san'si'mo'jun 拟盜孢伞丝膜菌
'ni'di'chi'jun'shu 拟地匙菌属
'ni'di'hua'jun'shu 拟地花菌属
'ni'di'tu'yi 拟地图衣
'ni'dian'pan'jun'shu 拟垫盘菌属
'ni'ding'san'shu 拟钉伞属
'ni'duo'bao'xiu'jun'shu 拟多胞锈菌属
'ni'duo'kong'jun'shu 拟多孔菌属
'ni'e'gao'shu 拟鹅膏属
'ni'er'shan'da'ye'mei 尼尔山大叶梅
'ni'er'shan'mei'yi 尼尔山梅衣
'ni'fei'yi 拟肺衣
'ni'fen'bao'shu 拟粉孢属
'ni'fen'dai'yi 拟粉袋衣
'ni'fu'ban'xiu'ge'jun 拟复瓣锈革菌
'ni'gan'lan'ban'ye 拟橄榄斑叶
'ni'gan'lan'hei'er'yi 拟橄榄黑尔衣
'ni'ge'gai'jun'shu 拟革盖菌属
'ni'ge'jian'jun'shu 拟革裥菌属
'ni'gua'zhong'jun'shu 拟挂钟菌属
'ni'guang'la'san 拟光蜡伞
'ni'guang'xian'kong'jun 拟光纤孔菌
'ni'gui'san'shu 拟鬼伞属
'ni'hai'ke'shu 拟海壳属
'ni'he'guo'cha'bang'bao 拟核果茶棒孢
'ni'he'huang'niu'gan'jun 拟褐黄牛肝菌
'ni'he'yi'shu 拟核衣属
'ni'hei'er 拟黑耳
'ni'hei'er'shu 拟黑耳属
'ni'hei'liu'yi 拟黑瘤衣
'ni'hua'wei'xiao'pi'san 拟花味小皮伞
'ni'huang'bei'jun 拟黄杯菌
'ni'huang'bei'jun'shu 拟黄杯菌属
'ni'huang'bing'ru'gu 拟黄柄乳菇
'ni'hui'bai'fen'zhe'qin 拟灰白粉褶覃
'ni'hui'shi'er 拟灰石耳
'ni'ji'jiao'bao'shu 拟荠角孢属
'ni'jiao'nang'fu'ge'jun'shu 拟胶囊伏革菌属
'ni'jiao'pan'jun 拟胶盘菌
'ni'jiao'pan'jun'shu 拟胶盘菌属
'ni'jiao'zhan'xiao'gu 拟胶粘小菇
'ni'jing'dian'mei'shu 拟茎点霉属
'ni'ju'ye'huang'mei 拟菊叶黄梅
'ni'juan'qu'long'tou'jun 拟卷曲笼头菌
'ni'ke'duo'bao'jun'shu 拟壳多胞菌属
'ni'ke'li'huan'bing'gu 拟颗粒环柄菇
'ni'kong'yi'shu 拟孔衣属
'ni'kou'mei'shu 拟口霉属
'ni'kou'mo'shu 拟口蘑属
'ni'la'kong'jun'shu 拟蜡孔菌属
'ni'la'san'ke 拟蜡伞科
'ni'la'san'shu 拟蜡伞属
'ni'li'bao'shu 拟梨孢属
'ni'li'he'xian'kong'jun 拟栎核纤孔菌
'ni'lin'cha'zi 拟鳞茶渍
'ni'lin'di'mo'gu 拟林地蘑菇
'ni'lin'fen'mao'er'yi 拟鳞粉猫耳衣
'ni'ling'hong'gu 拟菱红菇
'ni'lun'wen'ru'gu 拟轮纹乳菇
'ni'luo'bing'shi'rui 拟裸柄石蕊
'ni'ma'bei'san 尼马杯伞
'ni'mao'dun'pan'jun 拟毛盾盘菌
'ni'mao'e'gao'jun 拟帽鹅膏菌
'ni'mao'lan'chong'cao 拟茂兰虫草
'ni'mao'san'shu 拟帽伞属
'ni'mei'li'zhi'hu'jun 拟美丽枝瑚菌
'ni'mi'kong'jun'shu 拟迷孔菌属
