'ai'jing'zhi'bi'gu 爱敬治彼故
'xian'yi'you'ding'xing 先已有定性
'xian'ying'guan'bi'fa 先应观彼法
'xian'ying'zi'neng'jian 先应自能见
'xian'you'er'sheng'zhe 先有而生者
'xian'you'fu'he'wu 现有复何无
'xian'you'wei'lai'xiang 现有未来相
'xian'you'yi'bu'cheng 先有亦不成
'xian'zai'yi'xing'xing 现在亦行性
'xian'zhe'qian'fei'fu 先遮遣非福
'xiang'wei'shuo'wei'le 相违说为乐
'xiang'wei'ze'sheng'chen 相违则生嗔
'xie'jian'suo'gong'xu 邪见所共许
'xie'zhi'yan'shi'you 邪执言实有
'xin'ruo'li'zhu'gen 心若离诸根
'xing'zhe'ying'fei'you 行者应非有
'xiu'bi'fu'he'wei 修彼复何为
'xiu'jie'deng'tang'juan 修戒等唐捐
'xu'ping'wei'xian'jian 许瓶为现见
'xu'tong'wu'dong'zuo 虚通无动作
'xu'wang'fen'bie'fu 虚妄分别缚
'xu'yin'guo'deng'liang 许因果等量
'yan'deng'jie'da'zao 眼等皆大造
'yan'ding'ze'cheng'wang 言定则成妄
'yan'ji'wu'xing'dong 眼既无行动
'yan'ruo'xing'zhi'jing 眼若行至境
'yan'se'deng'wei'yuan 眼色等为缘
'yan'zhang'bu'ying'li 言障不应理
'yan'zhong'wu'you'shi 眼中无有识
'yang'yan'ji'fu'yun 阳焰及浮云
'yao'dai'ta'shou'gei 要待他授给
'yao'qiu'de'jing'jie 要求得境界
'yao'qu'qian'she'hou 要取前舍后
'yao'you'wo'bao'hu 要由我保护
'ye'you'gong'suo'zao 业由功所造
'yi'ai'ta'zhen'li 亦爱他真理
'yi'bi'you'bi'fen 以彼有彼分
'yi'bi'zhu'xian'zhong 以彼诸仙中
'yi'bu'cheng'sheng'shi 亦不成生时
'yi'bu'jian'ci'yi 亦不见此义
'yi'de'an'le'shen 已得安乐身
'yi'de'yu'fei'yi 易得余非易
'yi'deng'tong'di'yu 亦等同地狱
'yi'fa'cong'yuan'mie 以法从缘灭
'yi'fa'cong'yuan'sheng 以法从缘生
'yi'fei'cong'guo'qu 亦非从过去
'yi'fei'xian'jian'xing 亦非现见性
'yi'fei'yi'shuang'min 一非一双泯
'yi'fei'yu'wen'zhe 亦非于闻者
'yi'fen'ru'he'you 一分如何有
'yi'guo'jian'duo'yin 一果见多因
'yi'he'you'nie'pan 依何有涅槃
'yi'jian'fa'bu'xian 已见法不现
'yi'jie'fei'zong'yi 亦皆非宗义
'yi'jiu'zhi'fei'yu 易纠治非余
'yi'kong'wei'bu'kong 疑空为不空
'yi'neng'huai'san'you 亦能坏三有
'yi'qian'zhu'pin'zhong 依前诸品中
'yi'qie'cheng'fen'se 一切成分色
'yi'qie'cheng'miao'shan 一切成妙善
'yi'qie'fa'ben'xing 一切法本性
'yi'qie'jie'shi'ku 一切皆是苦
'yi'qie'lei'ying'zhe 一切类应遮
'yi'qie'li'shan'miao 一切离善妙
'yi'qie'se'deng'xing 一切色等性
'yi'qie'sheng'si'ku 一切生死苦
'yi'qie'shi'jian'zhu 一切世间主
'yi'qie'wei'guo'sheng 一切为果生
'yi'qie'zhong'sheng'lei 一切众生类
'yi'qie'zhu'fu'nv 一切诸妇女
'yi'sheng'bu'jian'ku 异生不见苦
'yi'sheng'you'sheng'shi 已生有生时
'yi'shi'he'yin'shuo 以是何因说
'yi'shi'ji'zhu'chu 衣食及住处
'yi'shi'jian'shao'you 以世间少有
'yi'shi'ju'hui'zhe 以是具慧者
'yi'shi'shuo'sheng'si 以是说生死
'yi'shi'wei'chu'zhong 以是唯触中
'yi'shi'zhu'yi'sheng 以是诸异生
'yi'shuo'er'ju'fei 亦说二俱非
'yi'ta'shi'cun'huo 以他事存活
'yi'tan'ru'nu'pu 役贪如奴仆
'yi'tong'lei'zhong'sheng 噫同类众生
'yi'wei'li'you'qing 亦为利有情
'yi'wei'shi'suo'hu 亦为世所护
'yi'xian'jian'ru'yan 依先见如焰
'yi'yi'bu'neng'yuan 意亦不能缘
'yi'yi'fa'kong'xing 以一法空性
'yi'yi'fei'ping'gu 一一非瓶故
'yi'yi'qie'you'qing 以一切有情
'yi'yi'ru'he'you 一一如何有
'yi'yi'zi'zai'gu 以意自在故
'yi'yong'lao'shuai'biao 已用老衰表
'yi'you'cong'yuan'qi 亦有从缘起
'yi'yu'wei'sheng'wei 异于未生位
'yi'zhe'bu'sheng'nao 医者不生恼
'yi'zhe'xiang'e'qu 一者向恶趣
'yi'zhong'bu'ke'cheng 义终不可成
'yi'zhong'zhong'fang'bian 以种种方便
'yin'bi'bu'zhi'li 因彼不知利
'yin'bu'cheng'wei'zheng 引不成为证
'yin'fu'cong'ta'cheng 因复从他成
'yin'guo'xiang'bu'tong 因果相不同
'yin'ming'zhi'fa'wu 因名知法无
'yin'ti'shi'wei'wu 因体实为无
'yin'ze'wei'wang'li 因则为妄立
'ying'bu'shuo'wei'yuan 应不说为远
'ying'chang'wu'you'xin 应常无有心
'ying'cheng'shi'di'zi 应承事弟子
'ying'dou'wu'you'zhu 应都无有住
'ying'fei'qin'jie'tuo 应非勤解脱
'ying'fei'shi'sheng'xing 应非是声性
'ying'fei'shi'xie'zhi 应非是邪执
'ying'ji'wei'xian'zai 应即为现在
'ying'jian'yi'qie'se 应见一切色
'ying'jie'wu'yu'chi 应皆无愚痴
'ying'li'xin'you'huo 应离薪有火
'ying'quan'wu'cha'bie 应全无差别
'ying'ru'ping'deng'wu 应如瓶等无
'ying'shen'di'si'cha 应审谛思察
'ying'shen'zi'zong'yi 应申自宗义
'ying'shuo'bu'ying'shuo 应说不应说
'ying'xin'fa'fei'you 应信法非有
'ying'yan'chang'xing'wu 应言常性无
'ying'yi'qi'tan'huo 应亦起贪惑
'ying'zhi'yi'ding'you 应知亦定有
'yong'jin'yi'qie'huo 永尽一切惑
'you'bi'bu'da'bi 由彼不达彼
'you'bing'zeng'shang'gu 由病增上故
'you'bu'cheng'wu'fa 有不成无法
'you'bu'cheng'you'fa 有不成有法
'you'bu'jian'yu'gu 由不见余故
'you'bu'sheng'wu'fa 有不生无法
'you'bu'sheng'you'fa 有不生有法
'you'chi'duan'sui'duan 由痴断随断
'you'ci'yi'fei'yi 由此亦非一
'you'ci'zhi'hui'zhe 有此智慧者
'you'dong'zuo'wu'chang 有动作无常
'you'e'qu'yun'le 有恶趣云乐
'you'er'xu'le'yin 有尔许乐因
'you'fei'you'ju'fei 有非有俱非
'you'fen'ji'wei'wu 有分既为无
'you'he'zhe'neng'jian 由何者能见
'you'hui'ru'lai'zhe 有秽如癞者
'you'ji'shi'sheng'ku 由嫉使生苦
'you'jian'wei'lai'guo 由见未来果
'you'jiao'deng'wei'yin 由教等为因
'you'ku'zeng'zhang'chen 由苦增长嗔
'you'le'zeng'zhang'tan 由乐增长贪
'you'li'suo'sheng'ku 由离所生苦
'you'lie'zhong'sheng'gu 有劣中胜故
'you'man'ze'wu'bei 有慢则无悲
'you'ming'jie'fa'you 由名解法有
'you'ming'quan'fa'you 有名诠法有
'you'mu'jie'gong'du 有目皆共睹
'you'nan'deng'xiang'sheng 有男等相生
'you'neng'yi'wu'bei 有能亦无悲
'you'qing'wu'man'shao 有情无慢少
'you'ru'shi'deng'xiang 有如是等相
'you'ru'shi'hui'zhuan 有如是回转
'you'ru'si'zhu'sheng 犹如死主声
'you'shao'yin'yuan'gu 由少因缘故
'you'shi'wu'ding'gu 由时无定故
'you'shui'bao'yu'bi 有谁暴于彼
'you'shui'yu'tong'bi 有谁愚同彼
'you'si'gong'ta'gu 由死共他故
'you'si'you'he'de 有思有何德
'you'sun'ze'fei'le 有损则非乐
'you'suo'jian'sheng'gu 由所见生故
'you'suo'qu'suo'she 有所取所舍
'you'wang'si'wei'le 有妄思为乐
'you'wei'ku'suo'bi 有为苦所逼
'you'wei'zhu'hui'shi 有唯住秽室
'you'wu'ji'er'ju 有无及二俱
'you'wu'you'xing'gu 由无有性故
'you'xing'er'chang'zhu 有性而常住
'you'xing'fei'yuan'sheng 有性非缘生
'you'xing'ji'fei'you 有性既非有
'you'yi'cheng'fei'you 有亦成非有
'you'yi'er'sheng'jiao 由一而生骄
'you'yi'wu'suo'xin 有亦无所欣
'you'yin'ji'fei'chang 有因即非常
'you'yin'zheng'fa'kong 有因证法空
'you'you'jiao'ao'gu 有由骄傲故
'you'you'wei'ce'li 有由未策励
'you'yu'sheng'shi'mie 由于生时灭
'you'yu'sheng'shi'ti 有余生时体
'you'yu'zhu'ren'lei 由于诸人类
'you'ze'ben'lai'sheng 有则本来生
'you'zhe'tan'qi'fu 有者贪其妇
'you'zhe'yu'bi'chen 有者于彼嗔
'you'zhe'yu'bi'tan 有者于彼贪
'you'zhe'yu'bi'yu 有者于彼愚
'you'zhi'qiu'sheng'de 有智求胜德
'you'zi'fu'de'zhao 由自福德招
'you'zong'ying'bu'cheng 有宗应不成
'you'zuo'zhao'hou'you 有作招后有
'yu'bi'bu'jing'chong 于彼不净虫
'yu'bi'bu'you'nao 于彼不忧恼
'yu'bi'qi'tan'ai 于彼起贪爱
'yu'bu'jing'qi'chi 于不净起痴
'yu'ce'yi'sheng'zhu 于厕亦生著
'yu'chi'ze'bu'sheng 愚痴则不生
'yu'ci'da'ku'hai 于此大苦海
'yu'de'chu'yun'wei 于德处云畏
'yu'ding'wu'nie'pan 余定无涅槃
'yu'fang'qi'si'jie 余方起思界
'yu'fei'you'he'li 余非有何理
'yu'fen'fei'yin'zhe 余分非因者
'yu'fu'chang'xi'xing 愚夫常习行
'yu'fu'chen'ci'zhong 愚夫沉此中
'yu'fu'feng'shan'dao 愚夫逢善导
'yu'fu'qi'tan'yu 愚夫起贪欲
'yu'fu'sheng'kong'ju 愚夫生恐惧
'yu'fu'wang'fen'bie 愚夫妄分别
'yu'gu'sheng'jiao'ao 愚故生骄傲
'yu'guo'ze'fei'you 于果则非有
'yu'he'bu'li'jiao 余何不离骄
'yu'lie'xian'lie'shen 于劣现劣身
'yu'meng'bu'shan'shi 愚蒙不善士
'yu'neng'mie'bi'yin 于能灭彼因
'yu'ning'qi'wo'zhi 愚宁起我执
'yu'nuan'za'cheng'gu 余暖杂成故
'yu'qi'zi'zuo'e 与其自作恶
'yu'ren'wu'bei'min 愚人无悲愍
'yu'shan'he'you'ai 喻善诃有爱
'yu'sheng'yi'dou'wu 于胜义都无
'yu'shi'wei'ku'chu 余视为苦处
'yu'si'geng'he'wei 于死更何畏
'yu'ta'qi'ji'xin 于他起嫉心
'yu'ta'xing'yi'ran 于他性亦然
'yu'tan'bu'ju'qi 与贪不俱起
'yu'wang'zeng'yi'er 欲望增亦尔
'yu'wen'kong'fa'ming 愚闻空法名
'yu'xiang'wei'ji'chu 于香味及触
'yu'xiang'xu'jia'fa 于相续假法
'yu'yan'bu'neng'she 余言不能摄
'yu'ye'bu'li'ran 于业不离染
'yu'yi'geng'bu'zhi 余义更不知
'yu'yi'ji'wei'chu 于一极微处
'yu'yi'ku'zhong'sheng 于已苦众生
'yu'you'chu'ti'he 与有触体合
'yu'zhong'yu'xing'nan 于中欲兴难
'yu'zi'wu'shao'de 于自无少德
'yu'zong'suo'shuo'yin 余宗所说因
'yuan'cheng'zhong'deng'sheng 缘成种等生
'yuan'wei'zhong'ren'gong 原为众人共
'yuan'xu'wang'jing'sheng 缘虚妄境生
'yuan'zhu'cheng'xie'zhi 缘助成邪执
'yue'zheng'fa'you'qing 乐正法有情
'yun'bei'le'suo'fu 云被乐所覆
'yun'he'bu'sheng'wei 云何不生畏
'yun'he'cheng'guo'qu 云何成过去
'yun'he'cong'bi'qi 云何从彼起
'yun'he'qu'xing'se 云何取形色
'yun'he'yi'chang'xing 云何依常性
'yun'he'zhu'da'zhong 云何诸大种
'zai'yin'wei'yuan'xiang 在因微圆相
'zao'gong'she'yan'ju 造宫舍严具
'zao'she'deng'zhu'wu 造舍等诸物
'zao'zuo'zhu'e'ye 造作诸恶业
'ze'bi'yu'ci'jian 则彼于此间
'ze'bi'yu'kuang'luan 则彼与狂乱
'ze'bu'cheng'sheng'shi 则不成生时
'ze'bu'jian'yu'sai 则不见于思
'ze'bu'yuan'xin'deng 则不缘薪等
'ze'dou'wu'suo'ai 则都无所爱
'ze'rong'you'si'zhong 则容有思种
'ze'shuo'ying'zhi'fa 则说应治罚
'ze'wei'zhong'suo'qi 则为众所弃
'ze'wu'yi'ji'wei 则无一极微
'ze'wu'you'dong'yao 则无有动摇
'ze'wu'you'sheng'shi 则无有生时
'ze'wu'you'tan'deng 则无有贪等
'ze'yi'xing'deng'san 则一性等三
'ze'yu'bi'cha'na 则于彼刹那
'ze'yu'fu'yi'sheng 则愚夫异生
'ze'zhong'you'yi'ri 则终有一日
'ze'zhu'san'you'zhe 则住三有者
'zeng'zhang'zhi'jie'tuo 增长至解脱
'zhang'ta'zhen'shi'jian 障他真实见
'zhao'ji'yuan'jin'se 照极远近色
'zhe'bi'shuo'wei'kong 遮彼说为空
'zhe'po'zhen'kong'yi 遮破真空义
'zhen'jian'de'sheng'wei 真见得胜位
'zhen'jian'shuo'fei'you 真见说非有
'zhen'kong'po'yi'qie 真空破一切
'zhen'kong'wu'wo'li 真空无我理
'zhen'yi'wei'fen'bie 真义谓分别
'zhen'zhong'she'zi'shen 阵中舍自身
'zheng'huai'shuo'wei'le 正坏说为乐
'zheng'jian'de'nie'pan 正见得涅槃
'zheng'jie'tuo'fei'li 证解脱非理
'zheng'kong'jian'neng'chu 证空见能除
'zheng'si'shuo'wei'le 正死说为乐
'zhi'ci'wei'zhi'zhe 知此为智者
'zhi'fei'zai'jian'xian 智非在见先
'zhi'gu'wei'lai'li 只顾未来利
'zhi'mie'er'you'dong 至灭而有动
'zhi'nan'fu'he'wei 致难复何为
'zhi'ren'shui'neng'shuo 智人谁能说
'zhi'ru'shi'cha'bie 知如是差别
'zhi'shui'shuo'fei'kuang 智谁说非狂
'zhi'yuan'wei'you'gu 智缘未有故
'zhi'zhang'fang'zhong'du 执仗防众蠹
'zhi'zhe'bu'quan'wei 智者不全为
'zhi'zhe'chang'fa'xin 智者常发心
'zhi'zhe'da'fei'you 智者达非有
'zhi'zhe'da'fei'zhen 智者达非真
'zhi'zhe'ding'ying'zuo 智者定应作
'zhi'zhe'he'jing'yi 智者何惊异
'zhi'zhe'shui'wei'ta 智者谁为他
'zhi'zhe'shui'zhi'zhuo 智者谁执著
'zhi'zhe'wei'tian'qu 智者畏天趣
'zhi'zhe'yi'shi'jian 智者依世间
'zhi'zhe'zi'nie'pan 智者自涅槃
'zhi'zhi'hui'qiu'yi 质直慧求义
'zhong'bing'ji'wai'shi 众病及外事
'zhong'bu'cheng'xiang'deng 终不成香等
'zhong'jian'qi'chen'hui 中间起嗔恚
'zhong'ku'ju'yin'yuan 众苦俱因缘
'zhong'ku'ru'sui'zhu 众苦如随逐
'zhong'shen'yu'zhong'yuan 重身与重怨
'zhong'sheng'bu'liao'bi 众生不了彼
'zhong'wu'hui'zhuan'zhe 终无回转者
'zhong'ying'qian'chu'wo 中应遣除我
'zhong'zhong'gu'fei'chang 种种故非常
'zhong'zhong'ru'le'deng 种种如乐等
'zhong'zhong'xi'zi'ye 种中喜自业
'zhu'deng'ze'tang'juan 柱等则唐捐
'zhu'fa'bi'bian'yi 诸法必变异
'zhu'fa'jia'yuan'cheng 诸法假缘成
'zhu'fa'jie'san'xing 诸法皆三性
'zhu'fa'ru'huo'lun 诸法如火轮
'zhu'fa'ruo'wu'guo 诸法若无果
'zhu'fa'wu'ti'xing 诸法无体性
'zhu'fa'you'zhuan'bian 诸法有转变
'zhu'fa'you'zi'xing 诸法有自性
'zhu'fo'sui'wu'xin 诸佛虽无心
'zhu'fo'suo'dong'zuo 诸佛所动作
'zhu'fo'wei'ceng'shuo 诸佛未曾说
'zhu'fo'zhen'jing'jie 诸佛真境界
'zhu'gei'suo'ying'gei 主给所应给
'zhu'jing'jie'bu'xi 诸境皆不喜
'zhu'jing'jie'gong'gu 诸境皆共故
'zhu'li'ruo'qiang'da 住力若强大
'zhu'ren'yu'cheng'deng 诸人于乘等
'zhu'sheng'huo'fang'bian 诸生活方便
'zhu'tuo'li'ku'ren 诸脱离苦人
'zhu'wu'shang'gong'jian 诸物上共见
'zhu'wu'you'he'ti 住无有何体
'zhu'xian'yi'qie'xing 诸仙一切行
'zhu'xiang'ying'chang'wu 住相应常无
'zhu'xing'ji'wu'chang 诸行既无常
'zhu'xing'jie'tuo'de 诸行解脱得
'zhu'yi'bi'fa'xing 诸依彼法行
'zhu'yi'ying'ru'mie 住亦应如灭
'zhu'yi'zheng'shi'fa 诸依诤世法
'zhu'you'qing'chang'you 诸有情常有
'zhu'you'sheng'hui'ren 诸有胜慧人
'zhu'you'wu'zheng'fa 诸有悟正法
'zhu'you'yu'chi'ren 诸有愚痴人
'zhu'you'zhong'jie'mie 诸有种皆灭
'zhu'yu'huai'ta'zong 诸欲坏他宗
'zhu'ze'bu'cheng'shi 住则不成时
'zhu'zong'jie'ji'mie 诸宗皆寂灭
'zhuan'cheng'si'nian'zhe 转成思念者
'zhuan'lun'wang'fu'de 转轮王福德
'zhuang'nian'zi'suo'zuo 壮年自所作
'zi'cui'hui'hou'shi 自摧毁后世
'zi'guo'er'ze'ta 自过而责他
'zi'jin'wei'shi'zhu 自矜为施主
'zi'lai'wei'zi'nv 自来为子女
'zi'ran'chang'wei'yin 自然常为因
'zi'sheng'huan'xi'yin 自生欢喜因
'zi'si'wu'jiao'zhe 自死无教者
'zi'ti'shang'bu'cheng 自体尚不成
'zi'yu'ci'hou'shi 自于此后世
'zi'zai'suo'qi'man 自在所起慢
'zi'zhu'wu'sun'nao 自住无损恼
'zong'yin'wu'yi'gu 宗因无异故
'zong'yu'yi'shi'shang 总于一事上
'zui'chu'yi'fei'you 最初亦非有
'zui'hou'wu'er'sheng 最后无而生
'zuo'bi'you'he'de 作彼有何德
'zuo'wei'sheng'shi'ti 作为生时体
'zuo'yi'wu'gong'mie 作已无功灭
