'a'zi'wu'sheng'zhi'fa'men 阿字无生之法门
'ruo'yi'jiao'li'yu'qiao'jue 若依教理与窍诀
'ruo'yi'si'xu'bu'guan'dian 若依四续部观点
'ruo'yi'zheng'wu'wu'yun'kong 若已证悟五蕴空
'ruo'you'ze'cheng'yi'ti'gu 若有则成异体故
'ruo'yu'kong'xing'xiang'tuo'li 若与空性相脱离
'ruo'yu'si'bian'jie'bu'zhi 若于四边皆不执
'ruo'yu'xian'kong'sheng'ding'jie 若于现空生定解
'ruo'zheng'yi'qie'jie'ping'deng 若证一切皆平等
'ruo'zhi'kong'xing'wei'xian'xian 若知空性为显现
'ruo'zhi'sheng'zi'wu'you'she 若知绳子无有蛇
'ruo'zhi'wu'li'duan'she'zhi 若知无理断蛇执
'ruo'zi'bu'yi'zi'shen'kong 若自不以自身空
'san'shi'wu'shi'ben'lai'jie 三时无时本来界
'san'zhe'wei'he'jun'xiang'wei 三者为何均相违
'shan'miao'ding'jie'bing'fei'shi 善妙定解并非是
'shan'miao'jiao'yan'shi'ji'hou 善妙教言时机后
'shan'miao'shuo'fa'liang'mu'hou 善妙说法良母后
'shan'shuo'ri'guang'tong'xian'yu 善说日光同现于
'shang'shu'zhi'yi'jiao'hui'yan 上述之义教诲言
'shang'wei'xiang'rong'wei'yi'ti 尚未相融为一体
'shang'wei'yuan'man'zheng'wu'ye 尚未圆满证悟也
'shang'wei'zheng'wu'wei'kong'xing 尚未证悟为空性
'shang'xu'wu'shu'jie'xiu'xi 尚需无数劫修习
'shao'de'bian'cai'zhi'ji'yuan 稍得辩才之机缘
'shao'xu'yi'bu'ke'cheng'li 少许亦不可成立
'she'bi'qiu'jia'bao'zhen'mi 舍彼求假宝真迷
'she'qi'jie'tuo'zhi'zheng'dao 舍弃解脱之正道
'she'qi'lun'hui'cheng'nie'pan 舍弃轮回成涅槃
'she'qi'shuang'yun'chi'dan'kong 舍弃双运持单空
'she'ruo'zheng'wu'ping'jia'li 设若证悟瓶假立
'she'shi'su'wai'wu'sheng'yi 舍世俗外无胜义
'shei'ren'hai'neng'bu'cheng'xin 谁人还能不诚信
'shei'ren'jie'zhi'he'xu'xiu 谁人皆知何需修
'shei'ren'xi'jie'bi'ding'shuo 谁人悉皆必定说
'shen'fa'shui'zhe'qiu'ming'sheng 深法水者求名声
'shen'guang'shu'sheng'zhi'yao'dian 深广殊胜之要点
'shen'ji'guang'ming'wu'wei'fa 深寂光明无为法
'shen'ji'zhi'hui'zhi'zi'xing 身及智慧之自性
'shen'shen'zhi'yi'ru'yi'bao 甚深之义如意宝
'shen'xin'shi'su'wei'ben'zun 深信世俗为本尊
'shen'zhi'jin'yu'ji'sheng'zhong 甚至仅于即生中
'sheng'cheng'sui'ran'wei'duo'wen 声称虽然未多闻
'sheng'cheng'wo'deng'shi'ben'mian 声称我等识本面
'sheng'chu'zhu'chu'yu'qu'chu 生处住处与去处
'sheng'guan'zhi'xian'ru'ming'deng 胜观之现如明灯
'sheng'qi'ding'jie'yu'bi'zhong 生起定解于彼中
'sheng'qi'wo'zhi'wu'zhang'ai 生起我执无障碍
'sheng'qi'zhen'shi'zhi'ding'jie 生起真实之定解
'sheng'wen'yi'jian'bi'xing'gu 声闻已见彼性故
'sheng'wen'zhui'qiu'zi'ji'le 声闻追求自寂乐
'sheng'yi'ben'shi'yi'ti'gu 胜义本是一体故
'sheng'yi'bu'cheng'kong'xing'gu 胜义不成空性故
'sheng'yi'di'deng'ming'sui'tong 胜义谛等名虽同
'sheng'yi'guan'cha'bu'cheng'li 胜义观察不成立
'sheng'yi'zhi'zhong'mie'yi'wu 胜义之中灭亦无
'sheng'yi'zhu'zi'bu'cun'zai 胜义柱子不存在
'sheng'yuan'di'hui'bang'da'cheng 声缘诋毁谤大乘
'sheng'yuan'wei'zheng'fa'wu'wo 声缘未证法无我
'sheng'yuan'zheng'er'wu'wo'ye 声缘证二无我耶
'sheng'zhe'ru'ding'kong'xing'zhi 圣者入定空性智
'sheng'zhe'ru'ding'zhi'zhi'hui 圣者入定之智慧
'sheng'zhe'zhi'hui'zhi'mian'qian 圣者智慧之面前
'sheng'zhe'zhong'jie'dao'ci'di 圣者终皆到此地
'shi'fou'you'suo'cheng'ren'shi 是否有所承认时
'shi'gu'ben'ren'zhi'guan'dian 是故本人之观点
'shi'gu'bu'jing'he'guan'cha 是故不经何观察
'shi'gu'bu'kong'lun'nie'fa 是故不空轮涅法
'shi'gu'bu'pian'yu'fei'zhe 是故不偏于非遮
'shi'gu'cheng'li'wei'kong'xing 是故成立为空性
'shi'gu'cheng'wei'jing'jian'liang 是故称为净见量
'shi'gu'cheng'xu'er'wu'wo 是故承许二无我
'shi'gu'ci'dian'sui'yi'zheng 是故此点虽已证
'shi'gu'ci'li'ruo'tong'da 是故此理若通达
'shi'gu'da'zhong'guan'zhi'qian 是故大中观之前
'shi'gu'duan'chu'zhu'fan'nao 是故断除诸烦恼
'shi'gu'er'liang'ji'miao'hui 是故二量即妙慧
'shi'gu'er'zhe'bu'xiang'wei 是故二者不相违
'shi'gu'fen'xi'er'le'da 是故分析而了达
'shi'gu'gong'cheng'suo'wei'shui 是故共称所谓水
'shi'gu'gong'tong'zhi'suo'jian 是故共同之所见
'shi'gu'guan'cha'you'he'yong 是故观察有何用
'shi'gu'he'shi'ci'er'di 是故何时此二谛
'shi'gu'jue'dui'yi'chao'li 是故绝对已超离
'shi'gu'jue'ze'er'di'shi 是故抉择二谛时
'shi'gu'nai'wei'da'zhong'guan 是故乃为大中观
'shi'gu'nai'zhi'yi'lun'fan 是故乃至以轮番
'shi'gu'nan'yi'zheng'ta'fa 是故难以证他法
'shi'gu'qian'yi'ci'zi'zong 是故前译此自宗
'shi'gu'ruo'wu'ci'ming'fen 是故若无此明分
'shi'gu'suo'wei'da'zhong'guan 是故所谓大中观
'shi'gu'suo'wei'zhi'zhong'guan 是故所谓之中观
'shi'gu'suo'you'zhong'guan'dao 是故所有中观道
'shi'gu'wei'bei'mi'luan'yin 是故未被迷乱因
'shi'gu'wei'jia'bian'bie'shi 是故未加辨别时
'shi'gu'wu'fa'duan'zhang'ai 是故无法断障碍
'shi'gu'xian'kong'xiang'yuan'rong 是故现空相圆融
'shi'gu'xian'xian'yu'kong'xing 是故显现与空性
'shi'gu'yi'fa'zhi'zi'xing 是故一法之自性
'shi'gu'yi'guan'xian'shi'liang 是故依观现世量
'shi'gu'yi'li'er'fen'xi 是故以理而分析
'shi'gu'yi'li'fen'xi'shi 是故以理分析时
'shi'gu'yi'qie'jing'you'jing 是故一切境有境
'shi'gu'yi'qie'zhu'zong'pai 是故一切诸宗派
'shi'gu'yi'zhao'ru'guan'dian 是故依照汝观点
'shi'gu'yi'zhao'zi'ben'xing 是故依照自本性
'shi'gu'ying'dang'qin'xiu'dao 是故应当勤修道
'shi'gu'you'shi'yu'wu'shi 是故有实与无实
'shi'gu'yu'ci'guo'zhong'guan 是故于此果中观
'shi'gu'zai'san'er'si'wei 是故再三而思维
'shi'gu'zhang'ai'zhi'wai'yuan 是故障碍之外缘
'shi'gu'zhong'guan'zhu'lun'xu 是故中观诸论许
'shi'ji'bi'deng'wei'fen'xi 实际彼等未分析
'shi'ji'er'zhe'jun'bu'xu 实际二者均不许
'shi'ji'shi'zhong'bu'ke'fen 实际始终不可分
'shi'ji'wu'you'cha'bie'gu 实际无有差别故
'shi'jia'fo'fa'zhi'dao'zei 释迦佛法之盗贼
'shi'jian'kong'yu'bu'kong'deng 世间空与不空等
'shi'jian'wu'hai'shi'suo'qu 世间无害识所取
'shi'kong'sheng'jie'yi'sheng'qi 实空胜解已生起
'shi'kong'xing'gu'wu'he'li 是空性故无合离
'shi'su'ben'shen'zhi'jian'jie 世俗本身之见解
'shi'su'di'ze'tui'yu'ta 世俗谛则推予他
'shi'su'guan'cha'yi'bu'cheng 世俗观察亦不成
'shi'su'shuo'zhu'you'ji'ke 世俗说柱有即可
'shi'su'xian'fen'sheng'yi'xing 世俗现分胜义性
'shi'su'xian'xian'xiang'tong'gu 世俗显现相同故
'shi'su'yan'shuo'zhu'zhu'zi 世俗言说柱柱子
'shi'su'zhong'yi'bu'he'li 世俗中亦不合理
'shi'wei'huang'tang'ke'xiao'chu 实为荒唐可笑处
'shi'xiang'ben'xing'zhong'er'di 实相本性中二谛
'shi'xiang'fen'xi'yi'wu'hai 实相分析亦无害
'shi'xiang'jing'jian'liang'zhi'yi 实相净见量之义
'shi'xiang'shuang'yun'wei'yi'di 实相双运唯一谛
'shi'xiang'sui'ran'wei'ru'shi 实相虽然为如是
'shi'xiang'xian'xiang'bu'yi'zhi 实相现相不一致
'shi'xiang'xian'xiang'fei'ta'ti 实相现相非他体
'shi'xiang'xian'xiang'ruo'hu'wei 实相现相若互违
'shi'xing'ruo'yu'shui'yi'ti 湿性若与水一体
'shi'xing'yu'jia'zhi'xu'bu 事行瑜伽之续部
'shi'xiu'tong'zi'wei'gen'shang 实修童子未跟上
'shi'ze'tong'wei'li'xin'zhi 实则同为离心智
'shi'ze'you'wu'ci'er'bian 实则有无此二边
'shu'sheng'ding'jie'zhi'mian'qian 殊胜定解之面前
'shu'sheng'ding'jie'zhong'ru'ding 殊胜定解中入定
'shu'sheng'zheng'fa'shi'zi'ru 殊胜正法狮子乳
'shu'sheng'zi'xing'de'cheng'xin 殊胜自性得诚信
'shuang'yun'fa'jie'ji'zhen'ru 双运法界即真如
'shuang'yun'ji'zhi'you'yu'wu 双运即指有与无
'shuang'yun'xian'kong'xiang'rong'fen 双运现空相融分
'shuang'yun'xiang'fu'jiu'rou'deng 双运降伏酒肉等
'shui'chi'ci'fa'wei'zhi'zhe 谁持此法为智者
'shui'jian'wei'nong'shui'gan'lu 水见为脓水甘露
'shui'jie'qing'yi'zheng'shuang'yun 谁皆轻易证双运
'shui'nong'deng'ji'wei'he'zhe 水脓等基为何者
'shui'yi'wu'fa'jian'se'deng 谁亦无法见色等
'shui'yue'ben'xing'hao'bu'de 水月本性毫不得
'shuo'ci'shuang'yun'zhen'qi'miao 说此双运真奇妙
'shuo'fa'jin'shi'li'zong'yi 说法仅是立宗已
'shuo'qi'lun'bao'shu'nan'ti 说七轮宝数难题
'shuo'shi'wei'xian'tian'zun'xiang 说是唯现天尊相
'shuo'shi'zheng'wu'qi'huai'yi 说是证悟起怀疑
'shuo'wei'zheng'wu'fa'wu'wo 说未证悟法无我
'shuo'you'jin'shi'li'zong'yi 说有仅是立宗已
'shuo'zheng'wei'zheng'xiang'zheng'lun 说证未证相争论
'shuo'zhu'bu'yi'zhu'zi'kong 说柱不以柱子空
'shuo'zhu'fei'shi'you'he'yong 说柱非实有何用
'si'bian'yu'chi'zhi'hei'an 四边愚痴之黑暗
'si'guan'ding'zhi'dao'zhi'hui 四灌顶之道智慧
'si'ruo'kong'xing'jin'shi'su 思若空性仅世俗
'si'wei'ci'fa'yu'bi'fa 思维此法与彼法
'si'wei'shan'shuo'miao'fa'yu 思维善说妙法雨
'si'wei'yuan'li'mo'zhi'jing 思维远离魔之境
'si'xian'neng'po'yu'suo'po 似现能破与所破
'sui'ke'duan'ding'shuo'wu'you 虽可断定说无有
'sui'li'xian'kong'shuang'yun'ming 虽立现空双运名
'sui'ran'chang'wo'yi'duan'chu 虽然常我已断除
'sui'ran'wu'fa'jin'xuan'shuo 虽然无法尽宣说
'sui'ran'ying'dang'zheng'kong'xing 虽然应当证空性
'sui'shi'jiu'jing'zhi'zhi'hui 虽是究竟之智慧
'sui'shi'ru'lai'zhi'zhi'hui 虽是如来之智慧
'sui'shi'wu'zhe'que'ke'xian 虽是无遮却可现
'sui'shuo'shi'su'ruo'zhen'shi 虽说世俗若真实
'sui'si'xiang'wei'yu'xian'jian 虽似相违于现见
'sui'wu'cheng'ren'xian'xiang'zhong 虽无承认现相中
'sui'wu'lun'nie'zhu'xian'fen 虽无轮涅诸现分
'sui'wu'ren'he'zhi'zhuo'xiang 虽无任何执著相
'sui'wu'shi'fa'fan'fu'qian 虽无实法凡夫前
'sui'you'cheng'jiu'ji'zhi'zhe 虽有成就寂止者
'sui'you'ran'er'bu'cheng'li 虽有然而不成立
'sui'you'wang'xi'zhi'su'yuan 虽有往昔之宿缘
'suo'cheng'shi'you'wei'he'fa 所成实有为何法
'suo'heng'liang'zhi'zhu'po'li 所衡量之诸破立
'suo'jian'san'zhe'jie'cheng'wu 所见三者皆成无
'suo'jian'xu'wei'shi'xiang'yi 所见许为实相义
'suo'lian'zhi'jin'ji'chun'jing 所炼之金极纯净
'suo'liang'bing'fei'bu'cheng'li 所量并非不成立
'suo'po'ta'fa'ruo'wu'you 所破他法若无有
'suo'qu'neng'qu'ci'er'zhe 所取能取此二者
'suo'ran'wu'zhi'gen'dui'jing 所染污之根对境
'suo'sheng'bu'kong'hao'wu'you 所剩不空毫无有
'suo'shuo'guo'tong'wu'yin'pai 所说过同无因派
'suo'shuo'yi'qie'zhu'po'li 所说一切诸破立
'suo'shuo'you'wu'zhi'cheng'ren 所说有无之承认
'suo'ti'qi'zhong'yi'nan'ti 所提七种疑难题
'suo'wei'bu'zhi'yi'qie'yi 所谓不执一切义
'suo'wei'mi'xian'zi'yu'ta 所谓迷现自与他
'suo'wei'wo'yi'yi'zhu'yun 所谓我亦依诸蕴
'suo'wei'wu'you'zhi'cheng'ren 所谓无有之承认
'suo'wei'you'zhi'cheng'ren'zhe 所谓有之承认者
'suo'wei'zhong'guan'zhi'zi'zong 所谓中观之自宗
'suo'wei'zhu'zi'yi'cun'zai 所谓柱子已存在
'suo'wen'fa'li'gan'lu'hai 所闻法理甘露海
'suo'xian'ru'ruo'pian'yi'fang 所现如若偏一方
'suo'xu'wu'yu'zhi'nie'pan 所许无余之涅槃
'suo'yin'ge'bie'zhi'zi'zheng 所引各别之自证
'suo'yin'shuang'yun'da'zhi'hui 所引双运大智慧
'suo'you'fo'jing'lun'dian'zhong 所有佛经论典中
'suo'you'hai'shui'wei'jin'fu 所有海水未进腹
'suo'you'kong'xing'ding'xian'xian 所有空性定显现
'suo'you'wu'wo'wei'zheng'wu 所有无我未证悟
'suo'yuan'guan'cha'bu'ke'de 所缘观察不可得
'ta'chu'cun'zai'bu'ke'neng 他处存在不可能
'ta'fa'bu'neng'sheng'da'zhi 他法不能生大智
'ta'fa'cheng'shui'bu'ying'li 他法成水不应理
'ta'fa'wu'wo'wei'zheng'wu 他法无我未证悟
'ta'ti'sui'po'fei'zhu'shi 他体虽破非柱实
'ta'wu'yu'ci'xiang'bi'ni 他无与此相比拟
'ta'zong'dui'yu'ci'guan'dian 他宗对于此观点
'ta'zong'wei'shuo'you'xu'duo 他宗未说有许多
'tan'qiu'ben'lai'qing'jing'yi 探求本来清净义
'tan'zhi'qu'she'zhi'tong'shi 贪执取舍之同时
'tang'ruo'bi'shui'nai'wei'nong 倘若彼水乃为脓
'tang'ruo'cun'zai'bu'kong'fa 倘若存在不空法
'tang'ruo'dan'zhu'yu'kong'xing 倘若耽著于空性
'tang'ruo'er'zhe'ding'shi'you 倘若二者定实有
'tang'ruo'fei'nong'nai'shi'shui 倘若非脓乃是水
'tang'ruo'ge'zi'you'qing'qian 倘若各自有情前
'tang'ruo'ju'zu'ji'zi'ban 倘若具足积资伴
'tang'ruo'le'zhi'jia'li'wo 倘若了知假立我
'tang'ruo'suo'jian'jin'kong'xing 倘若所见仅空性
'tang'ruo'wei'cong'sheng'yi'yan 倘若唯从胜义言
'tang'ruo'wu'wei'suo'cheng'ren 倘若无为所承认
'tang'ruo'wu'wu'ru'shi'xiu 倘若无误如实修
'tang'ruo'wu'you'bi'xian'xian 倘若无有彼显现
'tang'ruo'wu'you'suo'qu'jing 倘若无有所取境
'tang'ruo'xian'liang'er'jue'ze 倘若现量而抉择
'tang'ruo'yi'zhao'ru'guan'dian 倘若依照汝观点
'tang'ruo'zhen'shi'yi'zheng'wu 倘若真实已证悟
'tian'yue'kong'yu'shui'yue'xian 天月空与水月现
'ting'wen'sheng'xin'ci'er'zhe 听闻生信此二者
'tong'chang'yi'ta'zhi'kong'xing 通常依他之空性
'tong'da'jin'gang'zhi'jiao'yi 通达金刚之教义
'tong'da'shi'kong'yi'yi'zhe 通达实空意义者
'tong'da'xian'xian'wu'shi'you 通达显现无实有
'tong'da'xin'yu'xin'wai'fa 通达心与心外法
'tong'jian'yi'ji'bu'tong'jian 同见以及不同见
'tong'shi'ci'ru'shen'wei'ju 同时刺入深畏惧
'tong'shi'guan'wei'jing'tian'zun 同时观为净天尊
'tong'shi'ming'yan'tui'yu'ta 同时名言推与他
'tong'shi'po'chu'si'bian'xi 同时破除四边戏
'wai'dao'song'zhou'zi'guan'ta 外道诵咒自观他
'wai'dao'tai'yang'pai'zhu'zhong 外道太阳派诸众
'wei'bai'ban'yi'fang'bian'li 未百般以方便理
'wei'ceng'shi'qu'zhi'tong'shi 未曾失去之同时
'wei'ceng'zheng'wu'fa'wu'wo 未曾证悟法无我
'wei'cha'zhi'zhi'er'an'zhu 未察直直而安住
'wei'cha'zhi'zhuo'ping'yong'shi 未察执著平庸时
'wei'chen'ben'ying'yi'zheng'wu 微尘本应亦证悟
'wei'ci'bu'pian'zhi'xian'xian 谓此不偏之显现
'wei'duan'fan'nao'yu'sheng'yuan 为断烦恼于声缘
'wei'duan'huo'xiu'ren'wu'wo 为断惑修人无我
'wei'duan'suo'zhi'yu'pu'sa 为断所知于菩萨
'wei'fo'xian'jian'wu'you'ta 唯佛现见无有他
'wei'guan'cha'qi'zhi'hui'li 为观察其智慧力
'wei'he'bu'cheng'wu'suo'jian 为何不成无所见
'wei'he'bu'zheng'neng'qu'xin 为何不证能取心
'wei'he'bu'zheng'wu'zi'xiang 为何不证无自相
'wei'he'xian'jian'nong'deng'fa 为何现见脓等法
'wei'he'yan'bi'bi'bu'kong 为何言彼彼不空
'wei'he'zhu'da'zun'zhe'shuo 为何诸大尊者说
'wei'he'zhu'fa'bu'zheng'wu 为何诸法不证悟
'wei'hui'miao'qi'ke'cheng'na 唯慧妙器可盛纳
'wei'jian'cheng'li'he'sheng'zhi 未见成立何生执
'wei'jian'gao'di'yi'qu'fen 未见高低亦区分
'wei'jian'shu'sheng'jian'zhi'yi 未见殊胜见之义
'wei'jian'ta'zong'shen'fa'hai 未见他宗深法海
'wei'jing'guan'cha'gong'cheng'you 未经观察共称有
'wei'li'suo'hai'bu'ke'bo 为理所害不可驳
'wei'li'xi'qiu'shen'guang'yi 为利希求深广义
'wei'neng'li'wei'wu'gou'zong 未能立为无垢宗
'wei'po'yun'zhi'zhi'wo'qian 未破蕴执之我前
'wei'qian'kong'xing'zhi'dan'zhu 为遣空性之耽著
'wei'shi'ge'bie'zi'zheng'zhi 唯是各别自证智
'wei'shi'mi'luan'zhi'suo'duan 唯是迷乱之所断
'wei'shi'su'nai'mi'luan'xian 谓世俗乃迷乱现
'wei'shi'xian'zhi'zi'xiang'shi 未失现之自相时
'wei'wu'shi'kong'zhi'ding'jie 谓无实空之定解
'wei'yi'biao'shi'fang'bian'fa 唯以表示方便法
'wei'yi'cheng'ren'wu'zhi'gu 唯一承认无之故
'wei'yi'ming'mu'zhi'ding'jie 唯一明目之定解
'wei'yi'sheng'yi'kong'xing'she 未以胜义空性摄
'wei'yi'suo'duan'ji'wu'ming 唯一所断即无明
'wei'yi'ti'yu'yi'ti'gu 为一体与异体故
'wei'yi'you'jing'zhi'yuan'gu 唯一有境之缘故
'wei'you'qian'yi'pai'zi'zong 唯有前译派自宗
'wei'you'xian'fen'zhi'ding'jie 谓有现分之定解
'wei'you'xian'jian'zui'jiu'jing 唯有现见最究竟
'wei'yuan'man'xiu'fa'wu'wo 未圆满修法无我
'wei'zheng'feng'kuang'zhi'xing'wei 未证疯狂之行为
'wei'zheng'jiu'jing'zhi'hui'qian 未证究竟智慧前
'wei'zheng'wu'you'dao'ming'yan 未证无有道名言
'wei'zheng'yu'xu'zheng'xiang'wei 未证与许证相违
'wei'zheng'zhi'shi'ge'zhi'zhuo 未证之时各执著
'wei'zhi'jiu'jing'zhi'yi'yi 未知究竟之意义
'wei'zhi'wu'you'zhi'dao'li 未知无有之道理
'wen'shu'da'yuan'man'jing'jie 文殊大圆满境界
'wen'shu'hua'xian'wei'rong'suo 文殊化现为荣索
'wen'si'duan'chu'zeng'yi'yi 闻思断除增益义
'wo'deng'dui'ci'zuo'fen'xi 我等对此作分析
'wo'wen'zhi'hui'bao'jian'bing 握稳智慧宝剑柄
'wo'zhi'zhi'guo'bu'hui'mie 我执之果不会灭
'wu'bi'zai'san'xiu'wu'wo 务必再三修无我
'wu'bian'hai'shui'yi'kou'yin 无边海水一口饮
'wu'deng'ao'man'yi'ci'cui 吾等傲慢以此摧
'wu'er'shuang'yun'da'zhi'qian 无二双运大智前
'wu'er'xian'jian'shui'yue'shi 无而现见水月时
'wu'fa'qian'chu'zhu'zhang'ai 无法遣除诸障碍
'wu'fa'ren'shi'zhi'yuan'gu 无法认识之缘故
'wu'fa'xiang'xiang'zhi'yuan'gu 无法想象之缘故
'wu'fa'zhi'jie'er'zhi'dian 无法直接而指点
'wu'gou'guan'cha'er'miao'hui 无垢观察二妙慧
'wu'gou'miao'hui'zhi'ci'yin 无垢妙慧之此因
'wu'gou'zhi'hui'sheng'yi'liang 无垢智慧胜义量
'wu'hu'bai'ban'jing'ku'xing 呜呼百般经苦行
'wu'hu'bi'bu'yi'bi'kong 呜呼彼不以彼空
'wu'hu'you'ru'jing'zhong'wa 呜呼犹如井中蛙
'wu'kan'guan'cha'deng'guo'shi 无堪观察等过失
'wu'li'wu'he'er'cun'zai 无离无合而存在
'wu'li'wu'he'zhi'yuan'gu 无离无合之缘故
'wu'lun'ru'he'bu'chao'ci 无论如何不超此
'wu'lun'ru'he'er'cheng'ren 无论如何二承认
'wu'lun'shui'nong'gan'lu'deng 无论水脓甘露等
'wu'pian'shuang'yun'yi'wei'zhong 无偏双运一味中
'wu'pian'yuan'li'you'wu'xu 无偏远离有无许
'wu'qi'huo'xing'sheng'cheng'xin 无欺惑性生诚信
'wu'se'jie'xin'wu'suo'you 无色界信无所有
'wu'shang'ju'yi'guan'ding'dao 无上句义灌顶道
'wu'shi'mi'luan'zhi'xi'qi 无始迷乱之习气
'wu'shi'shi'zhi'jiu'chuan'xi 无始实执久串习
'wu'ta'suo'wei'zhi'lun'hui 无他所谓之轮回
'wu'wo'zhi'xiang'suo'yin'fa 无我执相所引发
'wu'xu'reng'jiu'zai'san'quan 无需仍旧再三劝
'wu'you'bu'jing'zhi'jing'gu 无有不净之境故
'wu'you'cuo'miu'xing'qu'she 无有错谬行取舍
'wu'you'cuo'miu'zhi'ru'men 无有错谬之入门
'wu'you'he'li'zhi'fen'lei 无有合理之分类
'wu'you'ling'wai'suo'jian'ji 无有另外所见基
'wu'you'qi'yu'zhi'shi'xiang 无有其余之实相
'wu'you'ren'he'suo'cheng'ren 无有任何所承认
'wu'you'ru'li'shuo'fa'gu 无有如理说法故
'wu'you'sheng'guan'zhi'ming'fen 无有胜观之明分
'wu'you'shi'kong'zhi'ding'jie 无有实空之定解
'wu'you'si'hao'bu'kong'gu 无有丝毫不空故
'wu'you'suo'yuan'tong'che'xing 无有所缘通彻性
'wu'you'wai'jing'shi'wei'jing 无有外境识为境
'wu'you'yi'zhi'zhi'shi'ji 无有一致之时机
'wu'you'zhi'li'yu'ming'yan 无有之理于名言
'wu'yun'ru'huan'wu'pian'xian 五蕴如幻无偏现
'wu'yun'sui'yi'zheng'kong'xing 五蕴虽已证空性
'wu'zhe'dan'kong'yi'chao'li 无遮单空亦超离
'wu'zhe'yi'ti'xian'kong'deng 无遮异体现空等
'xi'jie'bu'yuan'ping'deng'zhi 悉皆不缘平等智
'xi'jie'ying'cheng'dian'dao'shi 悉皆应成颠倒识
'xi'jie'zhen'shi'yi'er'di 悉皆真实依二谛
'xi'jie'zhuo'zhong'er'xuan'shuo 悉皆着重而宣说
'xi'lun'ji'shi'you'wu'deng 戏论即是有无等
'xi'mie'you'wu'deng'si'bian 息灭有无等四边
'xi'qu'xu'kong'jing'hua'yi 吸取虚空精华义
'xi'you'fa'cheng'yue'cheng'zun 稀有法称月称尊
'xian'duo'bu'tong'suo'jian'jing 现多不同所见境
'xian'fen'ben'wei'jing'tian'zun 现分本为净天尊
'xian'jian'dui'jing'yi'yu'jing 现见对境亦愈净
'xian'jian'kong'shi'ji'xian'xian 现见空时即显现
'xian'jian'kong'xing'gong'de'li 现见空性功德力
'xian'jian'ru'ding'zhen'di'zhong 现见入定真谛中
'xian'jian'shi'xiang'zhi'ding'jie 现见实相之定解
'xian'jian'yi'qie'bu'cun'zai 现见一切不存在
'xian'jing'xi'jie'bu'xiang'tong 现境悉皆不相同
'xian'kong'bu'ke'si'yi'zhi 现空不可思议智
'xian'kong'dan'du'bu'he'li 现空单独不合理
'xian'kong'er'di'zhi'fa'li 现空二谛之法理
'xian'kong'er'zhe'xiang'wei'gu 现空二者相违故
'xian'kong'he'zhe'jie'bu'cheng 现空何者皆不成
'xian'kong'he'zhe'jie'bu'zhi 现空何者皆不执
'xian'kong'shuang'yun'guo'zhong'guan 现空双运果中观
'xian'kong'shuang'yun'yu'you'ji 现空双运与有寂
'xian'kong'tuo'li'fei'zheng'dao 现空脱离非正道
'xian'kong'wu'you'bu'bian'gu 现空无有不遍故
'xian'liang'cheng'li'jiao'li'zheng 现量成立教理证
'xian'liang'cheng'li'xian'xian'gu 现量成立显现故
'xian'liang'mu'du'mao'niu'xian 现量目睹牦牛现
'xian'liang'zheng'wu'he'xu'yao 现量证悟何需要
'xian'ming'jue'xing'ci'san'zhe 现明觉性此三者
'xian'qian'sheng'dao'zheng'wu'shi 现前圣道证悟时
'xian'ren'ze'yu'liu'lang'zhe 仙人则于流浪者
'xian'shi'ji'kong'sheng'ding'jie 现时即空生定解
'xian'xian'bu'tong'wu'zhi'shi 显现不同物质时
'xian'xian'guang'ming'zhi'ri'lun 显现光明之日轮
'xian'xian'jin'shi'jia'li'yi 显现仅是假立已
'xian'xian'kong'xing'ci'er'zhe 显现空性此二者
'xian'xian'kong'xing'jun'deng'xing 显现空性均等性
'xian'xian'kong'xing'mei'yi'fang 显现空性每一方
'xian'xian'kong'xing'shuang'yun'deng 显现空性双运等
'xian'xian'ming'yan'liang'zhi'jing 显现名言量之境
'xian'xian'yuan'qi'er'xian'gu 显现缘起而现故
'xian'xiang'sui'xian'bu'qing'jing 现相虽现不清净
'xian'xu'bu'neng'zuo'xian'ji 现许不能作现基
'xian'you'ben'yuan'tan'cheng'xing 现有本圆坛城性
'xian'you'qing'jing'zhi'fa'shen 现有清净之法身
'xian'zong'fang'bian'yu'zhi'hui 显宗方便与智慧
'xiang'fu'xiang'cheng'hu'yin'chi 相辅相成互印持
'xiang'hu'xian'xian'wei'yin'guo 相互显现为因果
'xiang'si'yu'yi'shuang'yun'zhi 相似喻义双运智
'xiang'xi'fen'xi'zuo'guan'cha 详细分析作观察
'xiang'xu'qing'jing'da'pu'sa 相续清净大菩萨
'xin'ben'bu'shi'se'fa'gu 心本不是色法故
'xin'jian'wu'gou'bao'zhu'zhong 心间无垢宝珠中
'xin'ran'chang'yin'long'wang'hai 欣然畅饮龙王海
'xin'ran'ting'wen'de'da'li 欣然听闻得大利
'xin'sheng'ding'jie'ru'shen'li 心生定解入深理
'xin'shi'yi'bu'cheng'li'gu 心识亦不成立故
'xin'xin'suo'dong'bu'xian'zhi 心心所动不现智
'xin'yu'xin'suo'zhi'xing'jing 心与心所之行境
'xin'zhong'chang'cun'ci'nian'tou 心中常存此念头
'xin'zhong'xian'ru'li'ming'shi 心中现如黎明时
'xing'chi'deng'xing'qu'she'xing 行持等性取舍行
'xiu'chi'deng'xing'jin'gang'cheng 修持等性金刚乘
'xiu'chi'er'di'ji'miao'hui 修持二谛即妙慧
