'a'da'ri'ge 阿达日格
'jie'jie'kuang'xiao 桀桀狂笑
'jie'jin'biao'shi 接近表示
'jie'jin'fa'ma 接近发码
'jie'jin'qu'duan 接近区段
'jie'jin'suo'bi 接近锁闭
'jie'shou'xian'quan 接收线圈
'jie'shui'gou 截水沟
'jie'suo'an'niu'pan 解锁按钮盘
'jie'suo'dian'lu 解锁电路
'jie'suo'jin'lu 解锁进路
'jie'tou'jia'ban 接头夹板
'jie'tou'lian'jie'ling'jian 接头联结零件
'jie'tou'luo'shuan 接头螺栓
'jie'tou'xia'feng 接头瞎缝
'jie'tou'zu'li 接头阻力
'jie'tu'fang 借土方
'jie'xi'xian 介西线
'jin'ba'xian 津霸线
'jin'bao'tun 金宝屯
'jin'chang'bao 金场堡
'jin'chang'cun 浸长村
'jin'cheng'bei 晋城北
'jin'cheng'xian 金城线
'jin'cheng'xian 锦承线
'jin'gang'tuo 金刚沱
'jin'he 锦和
'jin'he 锦河
'jin'hua'nan 金华南
'jin'hua'xi 金华西
'jin'ji'dian'hua'ping'tai 紧急电话平台
'jin'ji'xian 津蓟线
'jin'jia'dian 金家店
'jin'jie 锦界
'jin'ling'biao'zhi 禁令标志
'jin'long 晋龙
'jin'lu'biao 进路表
'jin'lu'biao'shi'qi 进路表示器
'jin'lu'cao'zong'zuo'ye 进路操纵作业
'jin'lu'fen'duan'jie'suo 进路分段解锁
'jin'lu'hao 进路号
'jin'lu'suo'bi 进路锁闭
'jin'lu'suo'bi'biao'shi 进路锁闭表示
'jin'lu'xin'hao'ji 进路信号机
'jin'lu'yi'ci'jie'suo 进路一次解锁
'jin'qian'xian 金千线
'jin'shan'wan 金山湾
'jin'shan'wei'dong 金山卫东
'jin'shan'xian 金山线
'jin'shan'xian 津山线
'jin'tao 劲涛
'jin'tou'shi'xin'hao'ji 尽头式信号机
'jin'wen 金温
'jin'wen'xian 金温线
'jin'xian 锦县
'jin'yin'chuan 金银川
'jin'yin'gou 金银沟
'jin'zhan'xin'hao 进站信号
'jin'zhan'xin'hao'ji 进站信号机
'jin'zhang'zi 金杖子
'jin'zhou'nan 锦州南
'jin'zi'pai 金字牌
'jing'bao'xian 京包线
'jing'cheng'xian 京承线
'jing'chong'biao 警冲标
'jing'dian 井店
'jing'ha'xian 京哈线
'jing'hu'xian 京沪线
'jing'ji'kan'cha 经济勘察
'jing'jin'cheng'ji'xian 京津城际线
'jing'jiu'xian 京九线
'jing'ju'bao'duan 京局保段
'jing'ju'cheng'duan 京局承段
'jing'ju'feng'duan 京局丰段
'jing'ju'jin'duan 京局津段
'jing'ju'jing'xi'duan 京局京西段
'jing'ju'nan'duan 京局南段
'jing'ju'rou'duan 京局柔段
'jing'ju'zhuang'duan 京局庄段
'jing'kua'jing 净跨径
'jing'kun 京昆
'jing'la 京拉
'jing'li'nei'jie 静力内接
'jing'ling 静岭
'jing'nan 井南
'jing'peng 经棚
'jing'tai'bu'ping'shun 静态不平顺
'jing'tie'shan 镜铁山
'jing'tong'xian 京通线
'jing'tou'xu 井头墟
'jing'xia 景峡
'jing'yang'lin 景阳林
'jing'yang'tun 景阳屯
'jing'yin 京银
'jing'yuan'xi 靖远西
'jing'yuan'xian 京原线
'jing'zai 静载
'jing'zhai 京寨
'jing'zhu'gao'su'gong'lu 京珠高速公路
'jing'zi'chang 敬梓场
'jiu'dao'ling 九道岭
'jiu'gang'gui 旧钢轨
'jiu'gui 救规
'jiu'jiang'xi 九江西
'jiu'li'long 九里垄
'jiu'lu 就戮
'jiu'wang'zhuang 九王庄
'jiu'yan'shan 九燕山
'jiu'ying 九营
'jiu'yuan'lie'che 救援列车
'jiu'zhan 九站
'jiu'zhuang'wo 旧庄窝
'ju'bao 巨宝
'ju'bu'dian'yuan 局部电源
'ju'bu'kong'zhi'dian'lu 局部控制电路
'ju'bu'kong'zhi'pan 局部控制盘
'ju'le'bao 聚乐堡
'ju'ting 巨亭
'ju'xian'zhan 莒县站
'ju'xing'han 矩形涵
'ju'zhi 遽止
'jue'yuan'bu'liang 绝缘不良
'jue'yuan'gui'ju'gan 绝缘轨距杆
'jue'yuan'jie 绝缘节
'jue'yuan'jie 绝缘结
'jun'de 峻德
'jun'gong'wen'jian 竣工文件
'jun'heng'feng'gang 均衡风缸
'jun'hu 军户
'jun'yong'lie'che 军用列车
'ka'la'qi 喀喇其
'ka'la'yu'er'gun 喀拉玉尔滚
'ka'lu'tun 卡路屯
'ka'shi 喀什
'ka'zha 咔喳
'kai'an 开安
'kai'bei 凯北
'kai'gan'qi 开干齐
'kai'gou'ping'lu'ji 开沟平路机
'kai'ji'pei 开级配
'kai'tong 开通
'kan'ce'she'ji 勘测设计
'kang'hua'xing'neng 抗滑性能
'kang'hua'zhuang 抗滑桩
'kang'jian'qiang'du'shi'yan 抗剪强度试验
'kang'jin'jing 康金井
'kang'xi'ling 康熙岭
'kang'ya'qiang'du 抗压强度
'kang'yan'xian 康延线
'kang'zhe'qiang'du 抗折强度
'ke'che'dan'ji 客车单机
'ke'dong'xin'gui'zhe'cha 可动心轨辙叉
'ke'dong'yi'gui'zhe'cha 可动翼轨辙叉
'ke'ke 柯柯
'ke'li'fen'xi 颗粒分析
'ke'piao'gai'chuo'ji 客票盖戳机
'ke'ping 柯坪
'ke'tan 柯坦
'ke'tiao'guai'zhou 可调拐肘
'ke'tu'pen'bo 客土喷播
'ke'yi'he 克一河
'ke'yun'lie'che 客运列车
'ke'yun'zhan 客运站
'ke'yun'zhuan'xian 客运专线
'keng'cao 坑槽
'kong'che'zhi'da'lie'che 空车直达列车
'kong'dao'wei'zhi 孔道位置
'kong'dao'ya'jiang 孔道压浆
'kong'dong 孔洞
'kong'jia'gou 孔家沟
'kong'long 孔垄
'kong'tiao'ruan'zuo'pu'kuai 空调软座普快
'kong'tiao'ruan'zuo'te'kuai 空调软座特快
'kong'tiao'ying'zuo'pu'kuai 空调硬座普快
'kong'tiao'ying'zuo'te'kuai 空调硬座特快
'kong'xi'lv 空隙率
'kong'zhi'dui'xiang 控制对象
'kong'zhi'tai 控制台
'kong'zhi'tai'dan'yuan 控制台单元
'kou'ban'shi'kou'jian 扣板式扣件
'kou'gu'li 扣固力
'kou'jian'kou'ya'li 扣件扣压力
'kou'jian'zuo'ye 扣件作业
'kou'qian 口前
'kou'quan 口泉
'kou'quan'xian 口泉线
'ku'che 库车
'ku'dou'er 库都尔
'ku'er'le 库尔勒
'ku'li'jing 苦李井
'kuai'dong'ji'dian'qi 快动继电器
'kuai'dong'te'xing 快动特性
'kuai'su'lv'ke'lie'che 快速旅客列车
'kuai'su'zhuan'zhe'ji 快速转辙机
'kuai'xi'ji'dian'qi 快吸继电器
'kuai'yun'huo'wu'lie'che 快运货物列车
'kuan'gui'xian'lu 宽轨线路
'kuan'gui'zhen 宽轨枕
'kuan'gui'zhen'gui'dao 宽轨枕轨道
'kuan'hun'ning'tu'gui'zhen 宽混凝土轨枕
'kuang'biao'ru'chao 狂飚如潮
'kuang'gou 框构
'kuang'gou'qiao 框构桥
'kuang'jia'han 框架涵
'kuang'liao'ji'pei 矿料级配
'kuang'qu'tie'lu 矿区铁路
'kuang'zha'dao'cha 矿渣道碴
'kui'ge'duo'nian 睽隔多年
'kui'qi 魁岐
'kui'tun'dong 奎屯东
'kui'tun'xi 奎屯西
'kun'du'lun'zhao 昆独仑召
'kun'du'miao 昆都庙
'kun'he'xian 昆河线
'kun'ju'kun'duan 昆局昆段
'kun'ming'bei 昆明北
'kun'ming'dong 昆明东
'kun'ming'nan 昆明南
'kun'ming'tie'lu'ju 昆明铁路局
'kun'ming'xi 昆明西
'kun'yang'xian 昆阳线
'kun'yu'xian 昆玉线
'kuo'da'ji'ceng 扩大基层
'la'bai 拉白
'la'bin'xian 拉滨线
'la'lin 拉林
'la'ma'shan 喇嘛山
'la'shen'shi'yan 拉伸试验
'la'zha 拉鲊
'la'zi'he 砬子河
'lai'tuan 濑湍
'lai'wu'dong 莱芜东
'lai'wu'xi 莱芜西
'lai'zhou 来舟
'lan'ba 滥坝
'lan'gan'tan 栏杆滩
'lan'gang 兰岗
'lan'gui 缆轨
'lan'jia'tun 兰家屯
'lan'ju'lan'duan 兰局兰段
'lan'ling 兰岭
'lan'mo 兰磨
'lan'qing'qing'zang'xian 兰青青藏线
'lan'shui'geng 拦水梗
'lan'suo'tie'lu 缆索铁路
'lan'tan 兰滩
'lan'xin'xian'xi'duan 兰新线西段
'lan'yan'tie'lu 蓝烟铁路
'lan'yan'xian 蓝烟线
'lan'zhou'tie'dao'xue'yuan 兰州铁道学院
'lang'he 浪河
'lang'wei'shan 狼尾山
'lang'wo'pu 狼窝铺
'lang'xiang 朗乡
'lao'bao 老堡
'lao'dong'tun 劳动屯
'lao'fu 老府
'lao'gu'gou 老古沟
'lao'guo'chang 老锅厂
'lao'ha'he 老哈河
'lao'he'kou'dong 老河口东
'lao'lai 老莱
'lao'ling 老岭
'lao'ping'ba 老坪坝
'lao'qiao 醪桥
'lao'song'ling 老松岭
'lao'tou'gou 老头沟
'lao'wang'dong 老王洞
'lao'ya'cheng 老鸦城
'lao'yang'hao 老羊壕
'lao'yi'er'xie 老伊尔灺
'le'bu 乐埠
'le'dun 了墩
'le'ping 乐坪
'le'shan'cun 乐善村
'le'su'he 乐素河
'le'tu'yi 乐土驿
'le'wu 乐武
'le'yue 乐跃
'lei'da'ce'su'qi 雷达测速器
'lei'dian'gan'rao 雷电干扰
'lei'shi 肋式
'leng'ba'di'tan'gang'si 冷拔低碳钢丝
'leng'jing'tou 棱镜头
'leng'la'gang'jin 冷拉钢筋
'leng'shui'jiang'dong 冷水江东
'leng'wan 冷弯
'leng'wan'xing'neng 冷弯性能
'leng'zai'sheng 冷再生
'li'ba'zhuang 里八庄
'li'cha'xian 醴茶线
'li'cheng'bei 里程碑
'li'ci'dian'lu 励磁电路
'li'jia'dian 李家店
'li'jia'tun 李家屯
'li'jia'wan 李家湾
'li'la 里腊
'li'mu'dian 里木店
'li'qing'biao'hao 沥青标号
'li'qing'da'sui'shi 沥青大碎石
'li'qing'dao'chuang 沥青道床
'li'qing'guan'ru'shi 沥青贯入式
'li'qing'hun'he'liao 沥青混合料
'li'qing'ma'ti'zhi 沥青玛蹄脂
'li'qing'qu'yang'fa 沥青取样法
'li'qing'shan'dian 沥青闪点
'li'qing'yan'du 沥青延度
'li'qing'yan'du'shi'yan 沥青延度试验
'li'qu'biao'shi 离去表示
'li'qu'qu'duan 离去区段
'li'shan 厉山
'li'shi'lu'mian 砾石路面
'li'shi'zhai 李石寨
'li'shi'zhen 李市镇
'li'shu'wan 梨树湾
'li'shu'zhen 梨树镇
'li'tang 黎塘
'li'ti'jiao'cha 立体交叉
'li'tun 李屯
'li'xi 离析
'li'xue'xing'neng 力学性能
'li'zhan'xian 黎湛线
'li'zhou 礼州
'lian'dong 莲东
'lian'gui'xian 联轨线
'lian'gui'zhan 联轨站
'lian'he'xiang 联合乡
'lian'huo'gao'su'gong'lu 连霍高速公路
'lian'jiang'kou 莲江口
'lian'jiang'kou 连江口
'lian'jie 连接
'lian'jie'qi 连接器
'lian'jie'yuan 连接员
'lian'kong 联控
'lian'kong'zhi'ban'yuan 联控值班员
'lian'shan'guan 连山关
'lian'suo 联锁
'lian'suo'biao 联锁表
'lian'suo'dao'cha 联锁道岔
'lian'suo'qu 联锁区
'lian'suo'tu'biao 联锁图表
'lian'xi'dian'lu 联系电路
'lian'xu'ji'pei 连续级配
'lian'xu'kai'ji'pei 连续开级配
'lian'yun'gang'dong 连云港东
'lian'yun'ke'piao 联运客票
'lian'zhu'shan 连珠山
'liang'bing'tai 亮兵台
'liang'chang 梁场
'liang'dian'jian'cha 两点检查
'liang'feng'ya 凉风垭
'liang'hong 凉红
'liang'jia'ba 梁家坝
'liang'jia'du 梁家渡
'liang'jie'duan'she'ji 两阶段设计
'liang'meng 梁孟
'liang'shi'qiao 梁式桥
'liang'shu 辆数
'liang'suo'tun 两所屯
'liao'cheng'bei 聊城北
'liao'cheng'dong 聊城东
'liao'cheng'dong'xian 聊城东线
'liao'xi'xian 辽溪线
'lie'che 列车
'lie'che'duan 列车段
'lie'che'guan 列车管
'lie'che'ji'shu'zuo'ye 列车技术作业
'lie'che'yuan 列车员
'lie'che'yun'xing 列车运行
'lie'che'zhang 列车长
'lie'che'zi'dong'tiao'su 列车自动调速
'lie'che'zi'dong'xian'su 列车自动限速
'lie'feng 裂缝
'lie'jian 列检
'lie'jian'suo 列检所
'lie'tiao 列调
'lie'wei'kong'zhi'he 列尾控制盒
'lie'wei'zhuang'zhi 列尾装置
'lin'ba'xi 临巴溪
'lin'bi'xian 林碧线
'lin'dong'xian 林东线
'lin'jia'lou 蔺家楼
'lin'jia'tai 林家台
'lin'jiang'chang 临江场
'lin'jiang'si 临江寺
'lin'ke 临客
'lin'ming'guan 临洺关
'lin'ru'zhen 临汝镇
'lin'sheng'bao 林盛堡
'lin'shi 蔺市
'lin'shi'bian'xian 临时便线
'lin'shi'bu'xiu 临时补修
'lin'shi'dao'lu 临时道路
'lin'shi'fu'zhu'qi'ye 临时辅助企业
'lin'shi'gong'dian'she'shi 临时供电设施
'lin'shi'lv'ke'lie'che 临时旅客列车
'lin'shi'lv'you'lie'che 临时旅游列车
'lin'xian'gan'rao 邻线干扰
'lin'xian'qiang'hu 临险抢护
'lin'yi'bei 临沂北
'lin'yi'bei'xian 临沂北线
'lin'yi'bei'zhan 临沂北站
'lin'yi'nan 临沂南
'lin'yi'nan'xian 临沂南线
'lin'zhang'xian 临张线
'lin'zi'tou 林子头
'ling'ceng'duan'zi 零层端子
'ling'dan'lie'che 零担列车
'ling'gong'qu 领工区
'ling'jia'chang 凌家场
'ling'ke 另克
'ling'kou 零口
'ling'qiu 陵丘
'ling'xian'miao 灵仙庙
'ling'ying'li'gui'wen 零应力轨温
'ling'yuan'dong 凌源东
'liu'dao'he'zi 六道河子
'liu'di'gou 六地沟
'liu'fang 溜放
'liu'ge'ji 六个鸡
'liu'huang'mao'gu 硫磺锚固
'liu'jia'dian 刘家店
'liu'jia'gou 刘家沟
'liu'ju 柳局
'liu'ju'nan'duan 柳局南段
'liu'li'ping 六里坪
'liu'lin'he 柳林河
'liu'mao'gou 柳毛沟
'liu'pan'shui'nan 六盘水南
'liu'shu'he 柳树河
'liu'shu'quan 柳树泉
'liu'tun 刘屯
'liu'wei'hao 刘伟壕
'liu'xi'chang 流溪场
'liu'xian'xing'lie'che 流线型列车
'liu'zhi 六枝
'liu'zhi 流值
'liu'zhou'nan 柳州南
'liu'zhou'tie'lu'ju 柳州铁路局
'long'bo'tun 龙伯屯
'long'chang 龙长
'long'feng'chang 龙凤场
'long'gu'dian 龙骨甸
'long'jia'bao 龙家堡
'long'men'he 龙门河
'long'men'jia'che 龙门架车
'long'tang'ba 龙塘坝
'long'zhua'gou 龙爪沟
'lou'dou'che 漏斗车
'lou'jiang 漏浆
'lou'jie'suo 漏解锁
'lou'suo'bi 漏锁闭
'lu'ban'fa'shi'gong 路拌法施工
'lu'bin 胪滨
'lu'cao 路槽
'lu'ce'jian'zhu'wu 路侧建筑物
'lu'chao'gang'xian 芦潮港线
'lu'cheng'xiang 潞城乡
'lu'dao 鹿道
'lu'di 路堤
'lu'fan 鲁番
'lu'gou 芦沟
'lu'he 鲁河
'lu'he'zhen 六合镇
'lu'hong'shi 芦洪市
'lu'ji 路基
'lu'ji'bing'hai 路基病害
'lu'ji'chong'shua 路基冲刷
'lu'ji'fang'hu 路基防护
'lu'ji'gong'cheng 路基工程
'lu'ji'hua'dong 路基滑动
'lu'ji'ji'chuang 路基基床
'lu'ji'ji'qi 路基挤起
'lu'ji'ji'xie 路基机械
'lu'ji'jia'gu 路基加固
'lu'ji'lin'jie'gao'du 路基临界高度
'lu'ji'lu'mian 路基路面
'lu'ji'shen'liu 路基渗流
'lu'ji'song'ruan 路基松软
'lu'ji'tian'fang 路基填方
'lu'ji'tie'dao'lu'ji 路基铁道路基
'lu'ji'tu'shi'fang 路基土石方
'lu'ji'wa'fang 路基挖方
'lu'ji'xia'chen 路基下沉
'lu'ji'yong'shui 路基壅水
'lu'jia'cun 芦家村
'lu'jia'ya 陆家崖
'lu'jia'zhuang 芦家庄
'lu'jia'zhuang 路家庄
'lu'jian 路肩
'lu'kou'pu 路口铺
'lu'ling 芦岭
'lu'mian 路面
'lu'mian'di'ji'ceng 路面底基层
'lu'mian'dian'ceng 路面垫层
'lu'mian'gong'cheng 路面工程
'lu'mian'ji'ceng 路面基层
'lu'mian'pai'shui 路面排水
'lu'mian'wan'chen'yi 路面弯沉仪
'lu'pai 路牌
'lu'pai'xie'dai'qi 路牌携带器
'lu'piao 路票
'lu'qian 路堑
'lu'qian 路签
'lu'qian'xie'dai'qi 路签携带器
'lu'qiao 炉桥
'lu'shi 禄市
'lu'tong 庐铜
'lu'yang 泸阳
'lu'yong'lie'che 路用列车
'lu'yuan'shi 路缘石
'lu'zhou'lian'jie'xian 泸州连接线
'luan'shi'dao'cha 卵石道碴
'luan'shi'shan 乱石山
'luan'xian'dong 滦县东
'lun'dui 轮对
'lun'gui'dong'li'xue 轮轨动力学
'lun'gui'guan'xi 轮轨关系
'lun'gui'jie'chu 轮轨接触
'lun'gui'jie'chu'ying'li 轮轨接触应力
'lun'gui'you'jian 轮轨游间
'lun'gui'zuo'yong'li 轮轨作用力
'lun'tai 轮台
'lun'tai'ya'lu'ji 轮胎压路机
'lun'tou 抡头
'lun'yuan 轮辕
'lun'yuan'cao 轮缘槽
'luo'bao'xian 漯宝线
'luo'bei'gang 罗陂岗
'luo'chang 罗长
'luo'dao 落道
'luo'di'lei 落地雷
'luo'dong 洛东
'luo'fa 落垡
'luo'fang 罗坊
'luo'fu'xian'luo'zhou'duan 漯阜线漯周段
'luo'guo 倮果
'luo'huang 珞璜
'luo'kong'lie'wen 螺孔裂纹
'luo'man 洛满
'luo'men 洛门
'luo'miao'zhen 罗妙真
'luo'pan'di 罗盘地
'luo'ping 漯平
'luo'shuan'ban'shou 螺栓扳手
'luo'shuan'kong'jia'qiang 螺栓孔加强
'luo'shuan'kong'xue'jiao 螺栓孔削角
'luo'shuan'luo'wen'ding 螺栓螺纹钉
'luo'tuo'cheng 骆驼城
'luo'tuo'ling 骆驼岭
'luo'tuo'xiang 骆驼巷
'luo'wen'dao'ding 螺纹道钉
'luo'wen'gang'jin 螺纹钢筋
'luo'wen'zao 罗文皂
'luo'xuan'jin 螺旋筋
'lv'cheng 吕城
'lv'deng 绿灯
'lv'guang 滤光
'lv'he 吕河
'lv'huang'se'deng'guang 绿黄色灯光
'lv'ke'lie'che 旅客列车
'lv'se'xu'ke'zheng 绿色许可证
'lv'shan 绿闪
'lv'shun'xian 旅顺线
'lv'tan 绿潭
'lv'you'lie'che 旅游列车
'ma'ci'xian 马磁线
'ma'deng'ti 马镫梯
'ma'ga 马嘎
'ma'gai'tu 马盖图
'ma'guo'he 马过河
'ma'he'zhen 马河镇
'ma'hu 麻虎
'ma'huang 马皇
'ma'jia'zi 马架子
'ma'jiao'ba 马角坝
'ma'li 麻栗
'ma'lian'he 马莲河
'ma'liu 马柳
'ma'liu'zhen 麻柳镇
'ma'mian 麻面
'ma'pu'ying 马铺营
'ma'qiao'he 马桥河
'ma'san'jia 马三家
'ma'ti'wan 马蹄湾
'ma'tian'xu 马田墟
'ma'wang 麻旺
'ma'wei'shan 马尾山
'ma'wu 马芜
'ma'xiang'tun 马相屯
'ma'xie'er'wen'ding'du 马歇尔稳定度
'ma'zhi'pu 麻芝铺
'mai'dian'lan 埋电缆
'man'cun 满村
'man'gui 满归
'man'han'ying 满汉营
'man'kong'zhang 漫空杖
'man'qi'hu'po 满砌护坡
'man'shui'wan 漫水湾
'man'xing'pai 慢行牌
'mang'gou 盲沟
'mao'ba 毛坝
'mao'ba'guan 毛坝关
'mao'er'shan 帽儿山
'mao'gan'dang'tu'qiang 锚杆挡土墙
'mao'gao'tu 毛告吐
'mao'gu'gang'jin 锚固钢筋
'mao'jin'xin'hao 冒进信号
'mao'ming'dong 茂名东
'mao'ming'shui'gao'xian 茂名水高线
'mao'she'zu 茂舍祖
'me'huang 么荒
'me'pu 么铺
'mei'gan'shang'huo'che 没赶上火车
'mei'ji'xian 梅集线
'mei'kuang'chen'xian 煤矿沉陷
'mei'tan'zhi'da'lie'che 煤炭直达列车
'mei'yao'gou 煤窑沟
'mei'zi'pu 梅子铺
'men'da 门达
'men'liao 闷料
'men'shi'pu'gui'pai'ji 门式铺轨排机
'meng'du 蒙渡
'meng'gang'zhe'cha 锰钢辙叉
'meng'jia'gang 孟家岗
'meng'jiu'shan 猛鹫山
'meng'miao 孟庙
'meng'ran'wu'jue 懵然无觉
'meng'xi 孟溪
'mi'huo 米火
'mi'ji'pei 密级配
'mi'ma'long 密马龙
'mi'sha'zi 米沙子
'mi'shan'xi 密山西
'mi'tie'jian'gui 密贴尖轨
'mian'du'he 免渡河
'mian'fei'xing'li 免费行李
'mian'leng'xin'hen 面冷心狠
'mian'shan 冕山
'mian'xi 勉西
'miao'ba 庙坝
'miao'gong 庙宫
'miao'tai'zi 庙台子
'miao'tou 庙头
'miao'xia 庙下
'miao'yang 庙阳
'miao'zi'gou 庙子沟
'mie'tu'shuo 乜吐硕
'min'fu'si 民福寺
'min'jia'tun 闵家屯
'ming'an 明安
'ming'di'biao 鸣笛标
'ming'qi 名耆
'ming'shui'he 明水河
'ming'wa'ji'chu 明挖基础
'ming'yuan'gu'cha 名园古刹
'mo'chi'ba 墨池坝
'mo'chong 墨冲
'mo'gu'tan 蘑菇滩
'mo'guang'zhi 磨光值
'mo'gui'che 磨轨车
'mo'gui'ji 磨轨机
'mo'gui'lie'che 磨轨列车
'mo'hao'xing 磨耗性
'mo'mo'ying'zi 莫莫营子
'mo'ni'yan'lian 模拟演练
'mo'xi 磨溪
'mo'xin'po 磨心坡
'mu'ban 模板
'mu'biao'pei'he'bi 目标配合比
'mu'bu'ling 沐埠岭
'mu'gua'ping 木瓜坪
'mu'jia 木戛
'mu'jia'dian 穆家店
'mu'jia'xian 牡佳线
'mu'li'tu 木里图
'mu'lu'ji'rong 目露悸容
'mu'pang 沐滂
'mu'tu'xian 牡图线
'mu'zhen'fang'fu 木枕防腐
'mu'zhen'fang'lie'zhuang'zhi 木枕防裂装置
'mu'zhen'kai'lie 木枕开裂
'mu'zhen'ke'hen 木枕刻痕
'mu'zhen'xue'ping'ji 木枕削平机
'mu'zhen'yu'zuan'kong 木枕预钻孔
'mu'zhen'zuan'kong'ji 木枕钻孔机
'mu'zhu'he 木竹河
'mu'zi'hou'che'shi 母子候车室
'na'lin'tao'hai 那林桃亥
'na'luo 那罗
'na'pu 那铺
'na'yu 那玉
'nai'fu'shi'gui 耐腐蚀轨
'nai'lin 乃林
'nai'mo'gui 耐磨轨
'nai'mu'zhuang 奶姆庄
'nai'zi'jing 奈字井
'nan'an'ba 南岸坝
'nan'bai'zhen 南白镇
'nan'bo'shan 南博山
'nan'chang'tie'lu'ju 南昌铁路局
'nan'cheng'si 南城司
'nan'chong'dong 南充东
'nan'chong'xi 南充西
'nan'chou 南仇
'nan'da'miao 南大庙
'nan'dian 南店
'nan'er'gang 南尔岗
'nan'fang 南防
'nan'fang'xian 南防线
'nan'gong'dong 南宫东
'nan'gong'shan 南宫山
'nan'he'chuan 南河川
'nan'jiang'xian 南疆线
'nan'jing'nan 南京南
'nan'kou'qian 南口前
'nan'kun'xian 南昆线
'nan'piao'xian 南票线
'nan'ping'nan 南平南
'nan'qing'sao'yuan 南清扫员
'nan'shan'wei 南山尾
'nan'tang'zhen 南塘镇
'nan'tao'nan 南洮南
'nan'tong'pu'xian 南同蒲线
'nan'wu'xian 南乌线
'nan'xi'gou 南溪沟
'nan'xing'an 南兴安
'nan'yang'dong 南阳东
'nan'yang'dong'xian 南阳东线
'nan'yang'xi 南阳西
'nan'yang'xi'xian 南阳西线
'nan'you'zhi'xian 南友支线
'nan'za'mu 南杂木
'ne'er'ke'qi 讷尔克气
'nei'jiang'dong 内江东
'nei'jiang'nan 内江南
'nei'kun'xian 内昆线
'nei'liu'xian 内六线
'nei'mo'zu'li 内摩阻力
'nei'ran'ji'che 内燃机车
'nei'ran'ji'che'tou 内燃机车头
'nei'ti'tou'jing 内梯透镜
'nei'ye'zi'liao 内业资料
'ni'bo 尼波
'ni'he'zi 泥河子
'ni'hui'jie'sui'shi 泥灰结碎石
'ni'jiang'bi'zhong 泥浆比重
'ni'ri 尼日
'nian'fu'xing 黏附性
'nian'yu'shan 鲇鱼山
'nian'zhe'tie'lu 粘着铁路
'nie'he 聂河
'nie'zhang 捏掌
'ning'jia 宁家
'ning'ke'xian 宁岢线
'ning'qi'xian'lin'nan'xian 宁启线林南线
'ning'si'xu'yu 凝思须臾
'ning'su 宁宿
'ning'wei'ji'tou 宁为鸡头
'ning'xi'xian'xi'he'duan 宁西线西合段
'ning'yong'zhi'xian 宁甬支线
'ning'zhe 拧折
'niu'er'he 牛耳河
'niu'fen'tai 牛汾台
'niu'jia'liang 牛家梁
'niu'jia'ying'zi 牛家营子
'niu'jing'ping 牛晶坪
'niu'ping'zi 牛坪子
'niu'tuo 牛驼
'niu'wai'gui'dao 扭歪轨道
'niu'xin'tai 牛心台
'nong'cun'gong'lu 农村公路
'nong'nong'ping 弄弄坪
'nong'suo'da'jing 浓缩大井
'nong'yue 农乐
'nuan'quan 暖泉
'nv'er'he 女儿河
'ou'li 欧里
'pai'huai'bei 徘徊北
'pai'shui'gou 排水沟
'pan'an'zhen 磐安镇
'pan'guan 盘关
'pan'jiao'ying 盘脚营
'pan'jin'bei 盘锦北
'pan'long'zhen 蟠龙镇
'pan'wu'xian 盘五线
'pan'xi'xian 盘西线
'pao'shi'ji'yu 抛石挤淤
'pei'cha'zheng'xing'ji 配碴整形机
'pei'de 裴德
'pei'he'bi 配合比
'pen'hun'zhi'sheng 喷混植生
'pen'sa'chu'cao'ji 喷洒除草机
'pen'sha'chu'xiu 喷砂除锈
'pen'shi'zhi'zuo 盆式支座
'peng'dai'lv'ke'lie'che 棚代旅客列车
'peng'zhang'tu'lu'ji 膨胀土路基
'pi'chai'gou 劈柴沟
'pi'kou 皮口
'pi'lao'shang'sun 疲劳伤损
'pi'lie'zhen'mu 劈裂枕木
'pi'xiang'ji 辟相机
'pi'yi'guai'gui 僻异怪诡
'pian'cha'xi'shu 偏差系数
'pian'ling 偏岭
'pian'shi'tong 片石砼
'piao'er'tun 瓢儿屯
'pin'dian 品甸
'ping'an'bao 平安堡
'ping'an'yi 平安驿
'ping'di'gui 平底轨
'ping'di'ji 平地机
'ping'ding'miao 平顶庙
'ping'ding'shan'xi 平顶山西
'ping'feng 平缝
'ping'gang 平岗
'ping'guan 平关
'ping'gui'qi 平轨器
'ping'he'kou 平河口
'ping'hu'nan 平湖南
'ping'jia'zhi'biao 评价指标
'ping'jiao'dao'kou 平交道口
'ping'jun'duan'mian'fa 平均断面法
'ping'kou'xia 平口峡
'ping'liang'nan 平凉南
'ping'lin 苹林
'ping'lin'cun 平林村
'ping'mian'bu'zhi'tu 平面布置图
'ping'mian'diao'che 平面调车
'ping'mian'jiao'cha 平面交叉
'ping'mian'she'ji 平面设计
'ping'mian'xian'xing 平面线形
'ping'nan'xian 平南线
'ping'qi'xian 平齐线
'ping'qu'xian 平曲线
'ping'ru'xian 平汝线
'ping'she 平社
'ping'tou 坪头
'ping'wang 平旺
'ping'xiang'bei 凭祥北
'ping'xing'du'xian 平行渡线
'ping'xing'shuang'tou'jia'ban 平型双头夹板
'ping'yuan'bao 平原堡
'ping'zheng'du'yi 平整度仪
'ping'zhuan'huan 屏转换
'ping'zhuang 平庄
'ping'zhuang'nan 平庄南
'po'di'cun 坡底村
'po'di'xia 坡底下
