'ai'shi'zu 爱士卒
'wu'nai'he'ye 无奈何也
'wu'qing'wu'gong'song'yi 吾请无攻宋矣
'wu'shi'ren'fei'shi'shi'xiu 物是人非事事休
'wu'shi'xian'fan'sai'wai'sheng 五十弦翻塞外声
'wu'shui'yu'gui 吾谁与归
'wu'wen'er'shi'shao'zi'ye 吾闻二世少子也
'wu'wu'ling 吴武陵
'wu'xian'fei'zi'wei'zhi'xiang 无鲜肥滋味之享
'wu'xiang'wang 无相忘
'wu'yi'gu'bu'sha'ren 吾义固不杀人
'wu'yi'ku'zheng'chun 无意苦争春
'wu'yue'ren'bei'mang 五月人倍忙
'wu'zhi'shu'yi'guan 无致书以观
'wu'zhi'suo'yi'ju'zi'yi 吾知所以距子矣
'wu'zhi'zi'zhi'suo'yi'ju'wo 吾知子之所以距我
'xi'bei'wang 西北望
'xi'he'zhu'rong 西和诸戎
'xi'shen'er'yu'fei 溪深而鱼肥
'xi'si'mi'lu'man'zhi 犀兕麋鹿满之
'xi'tong'ba'shu 西通巴蜀
'xi'yi'zi'zhi 悉以咨之
'xia'jian'xiao'tan 下见小潭
'xia'zhe'piao'zhuan'chen'tang'ao 下者飘转沉塘坳
'xian'da'de'long'wang'zun 先达德隆望尊
'xian'di'bu'yi'chen'bei'bi 先帝不以臣卑鄙
'xian'di'cheng'zhi'yue'neng 先帝称之曰能
'xian'di'chuang'ye'wei'ban'er'zhong'dao'beng'cu 先帝创业未半而中道崩殂
'xian'di'zai'shi 先帝在时
'xian'di'zhi'chen'jin'shen 先帝知臣谨慎
'xian'guan'ri'you'bing'xiao'zhi'gong 县官日有禀销之供
'xian'jing'shao'yan 闲静少言
'xian'lai'chui'diao'bi'xi'shang 闲来垂钓碧溪上
'xian'neng'wei'zhi'yong 贤能为之用
'xian'shang'fu'shi 衔觞赋诗
'xian'sheng'bu'zhi'he'xu'ren'ye 先生不知何许人也
'xian'sheng'zuo 先生坐
'xian'tian'xia'zhi'you'er'you 先天下之忧而忧
'xian'yan'ming'mei 鲜妍明媚
'xian'yuan'shan 衔远山
'xian'zhe'neng'wu'sang'er 贤者能勿丧耳
'xian'zhu'jie'zhi'yue 先主解之曰
'xian'zhu'qi'zhi 先主器之
'xian'zhu'yue 先主曰
'xiang'qi'miao'yun'han 相期邈云汉
'xiang'qu'ri'yi'yuan 相去日已远
'xiang'qu'wan'yu'li 相去万余里
'xiang'sui'xiang'tian'qu 相随饷田去
'xiang'wei'shen'si'er'bu'shou 向为身死而不受
'xiang'yan'wei'chu'jiang 项燕为楚将
'xiao'chang'jun'shi 晓畅军事
'xiao'cong'shuang'lian'sheng 笑从双脸生
'xiao'mai'fu'long'huang 小麦覆陇黄
'xiao'shi'tan'ji 小石潭记
'xie'hui'mo'mo'shui'you'you 斜晖脉脉水悠悠
'xie'shu'you'chu'dong'zhi 偕数友出东直
'xie'tian'zi'yi'ling'zhu'hou 挟天子以令诸侯
'xin'ku'zao'feng'qi'yi'jing 辛苦遭逢起一经
'xin'le'zhi 心乐之
'xin'qi'ji 辛弃疾
'xin'yi'zhu'yu'si'hai 信义著于四海
'xin'yuan'di'zi'pian 心远地自偏
'xing'bai'xing'ku 兴百姓苦
'xing'dao'zhi'ren'fu'shou 行道之人弗受
'xing'fu'han'shi 兴复汉室
'xing'fu'luan'qi'suo'wei 行拂乱其所为
'xing'lu'nan 行路难
'xing'neng'shu'qi'wen'zhe 醒能述其文者
'xing'shen'shan'ju'gu'zhong 行深山巨谷中
'xing'shi'jiu 性嗜酒
'xing'shi'ri'shi'ye'er'zhi'yu'ying 行十日十夜而至于郢
'xing'shi'tong'jiao'huan 醒时同交欢
'xing'shou'bing 行收兵
'xing'xing'shu'jun 性行淑均
'xing'zhe'xiu'yu'shu 行者休于树
'xiong'zhang 熊掌
'xiu'jin'jiang'yu'tian 休祲降于天
'xu'shu'jian'xian'zhu 徐庶见先主
'xu'shu'yuan'zhi'yu'liang'you'shan 徐庶元直与亮友善
'xue'shang'kong'liu'ma'hang'chu 雪上空留马行处
'yan'di'han 燕地寒
'yan'han'zhi'le 宴酣之乐
'yan'he'er'se'yi 言和而色夷
'yan'men'tai'shou'xing 雁门太守行
'yan'que'an'zhi'hong'hu'zhi'zhi'zai 燕雀安知鸿鹄之志哉
'yan'ran'wei'le'gui'wu'ji 燕然未勒归无计
'yan'ru'ye 晏如也
'yan'shu 晏殊
'yan'zi'lai'shi'xin'she 燕子来时新社
'yang'cheng'ren'ye 阳城人也
'yang'er'shi'zhi'yue'xia 仰而视之曰吓
'yang'xia'ren'ye 阳夏人也
'yao'bai'yu'zhi'huan 腰白玉之环
'yao'li'zhi'ci'qing'ji'ye 要离之刺庆忌也
'ye'di'huang'li'yi'liang'sheng 叶底黄鹂一两声
'ye'fang'fa'er'you'xiang 野芳发而幽香
'ye'gou'huo 夜篝火
'ye'lai'nan'feng'qi 夜来南风起
'ye'ni'fan'qing'zhou 也拟泛轻舟
'ye'ran'ruo'shen'ren 烨然若神人
'yi'bai'xu'li 一百许里
'yi'bi'wan'qing 一碧万顷
'yi'bu'sha'shao'er'sha'zhong 义不杀少而杀众
'yi'bu'xiang'qi'xing'zi 亦不详其姓字
'yi'chi'chen'shou'yu'zhi'qi'zai'song'cheng'shang'er'dai'chu'kou'yi 已持臣守圉之器在宋城上而待楚寇矣
'yi'chou'chu 意踌躇
'yi'ci'zi'zhong 以此自终
'yi'da'yi'xiao 以大易小
'yi'dai'ri'yi'huan 衣带日已缓
'yi'dan'shi 一箪食
'yi'die'wei'xie 以牒为械
'yi'dou'geng 一豆羹
'yi'duo'ying'zhe 宜多应者
'yi'er'xi'yang'zai'shan 已而夕阳在山
'yi'fu'you'si'lun'qi'xing'shang 宜付有司论其刑赏
'yi'gao'xian'di'zhi'ling 以告先帝之灵
'yi'guai'zuo'xiao'chun'meng'hao 疑怪昨宵春梦好
'yi'guang'xian'di'yi'de 以光先帝遗德
'yi'ji'nu'qi'zhong 以激怒其众
'yi'jun'wei'zhang'zhe 以君为长者
'yi'le'qi'zhi 以乐其志
'yi'li'san'shi 已历三世
'yi'mian'guan'tu'xian 亦免冠徒跣
'yi'mu'sheng'xian'zhi'dao 益慕圣贤之道
'yi'qi'jing'guo'qing 以其境过清
'yi'qin'yong'fu 以衾拥覆
'yi'ran'bu'dong 佁然不动
'yi'ren'qun'fang'du 一任群芳妒
'yi'ruo'wei'qiang'zhe 以弱为强者
'yi'sai'zhong'jian'zhi'lu'ye 以塞忠谏之路也
'yi'shang'xian'di'zhi'ming 以伤先帝之明
'yi'shi'huang'hun'du'zi'chou 已是黄昏独自愁
'yi'shi'huo'jin'su'yi'dan 一食或尽粟一石
'yi'shi'ren'duo'yi'shu'jia'yu 以是人多以书假余
'yi'shi'shi'you 亦时时有
'yi'tao'qin'yi 已逃秦矣
'yi'tian'xia'zhi'suo'shun 以天下之所顺
'yi'tou'qiang'di'er 以头抢地尔
'yi'wai'duan'qiao'bian 驿外断桥边
'yi'wang'kong'kuo 一望空阔
'yi'wei'si'ren 噫微斯人
'yi'wo'suo'yu'ye 亦我所欲也
'yi'yi'ren'mou'ye 抑亦人谋也
'yi'yi'wo'suo'yu'ye 义亦我所欲也
'yi'ying'jiang'jun'zhe'hu 以迎将军者乎
'yi'zhang'qi'jiu 以彰其咎
'yi'zhao'bi'xia'ping'ming'zhi'li 以昭陛下平明之理
'yi'zhe'sheng 弈者胜
'yi'zhi'hao'zhi'bu'bing'yi'wei'gong 医之好治不病以为功
'yi'zhong'you'zu'le'zhe 以中有足乐者
'yi'zhou'pi'bi 益州疲弊
'yi'zhou'xian'sai 益州险塞
'yi'zi'zou'shan'dao 以咨诹善道
'yin'bian'dong'zhi'ji'tian'ya 吟鞭东指即天涯
'yin'feng'nu'hao 阴风怒号
'yin'jiu'qi'wu 饮酒其五
'yin'ping'ren'yue 因屏人曰
'yin'shao'zhe'zui 饮少辄醉
'yin'si'du'ling'meng 因思杜陵梦
'yin'yi'wei'hao'yan 因以为号焉
'yin'yu'shi'yi 引喻失义
'ying'bu'shi'shang 影布石上
'ying'de'sheng'qian'shen'hou'ming 嬴得生前身后名
'ying'ren'chi'tang'wo'guan 媵人持汤沃灌
'ying'tu'sui'wo'shen 影徒随我身
'ying'ying'cheng'yun 嘤嘤成韵
'yong'jie'wu'qing'you 永结无情游
'yong'zhe'xiao'er'ying'yue 佣者笑而应曰
'you'an'xiang'ying'xiu 有暗香盈袖
'you'bei'rong'xiu 右备容臭
'you'chan'wei'ji 忧谗畏讥
'you'gong 有功
'you'he'fang 又何妨
'you'huan'wu'shuo'shi'ming'ren'yu'you 又患无硕师名人与游
'you'jian'ling'wu'guang'zhi'ci'suo'pang'cong'ci'zhong 又间令吴广之次所旁丛祠中
'you'kong'qiong'lou'yu'yu 又恐琼楼玉宇
'you'lie'de'suo 优劣得所
'you'qing'cang 右擎苍
'you'ran'jian'nan'shan 悠然见南山
'you'ran'zi'de 悠然自得
'you'ren'qu'er'qin'niao'le'ye 游人去而禽鸟乐也
'you'ren'sui'wei'sheng 游人虽未盛
'you'shi'gan'ji 由是感激
'you'shi'jian'ri 有时见日
'you'shi'xian'zhu'sui'yi'liang 由是先主遂诣亮
'you'shi'ze'ke'yi'bi'huan'er'you'bu'wei'ye 由是则可以避患而有不为也
'you'shi'ze'sheng'er'you'bu'yong'ye 由是则生而有不用也
'you'shou'bing'yi'sui 右手秉遗穗
'you'si'ye'bo'shi'wei'zhi'shi 有司业博士为之师
'you'suo'guang'yi 有所广益
'you'ting'yi'ran'lin'yu'quan'shang'zhe 有亭翼然临于泉上者
'you'you 悠悠
'you'yu'xi'shi 游鱼细石
'you'yu'you'shui'ye 犹鱼有水也
'you'zi'bu'gu'fan 游子不顾返
'yu 鱼
'yu'bao'qing'cheng'sui'tai'shou 欲报倾城随太守
'yu'bao'zhi'yu'bi'xia'ye 欲报之于陛下也
'yu'bian'yi'wang'yan 欲辨已忘言
'yu'chang'qiu'gu'ren'ren'zhi'xin 予尝求古仁人之心
'yu'chao'jing'shi 余朝京师
'yu'chen'er'jiang'si'yi 与臣而将四矣
'yu'chu'bu'de 欲出不得
'yu'dai'zi'xiang 欲代子相
'yu'di'zong'xuan 余弟宗玄
'yu'du'huang'he'bing'sai'chuan 欲渡黄河冰塞川
'yu'fei'nai'zhi 羽飞乃止
'yu'ge'hu'da 渔歌互答
'yu'gu'dao'wei'xue'zhi'nan'yi'gao'zhi 余故道为学之难以告之
'yu'guan'fu'ba'ling'sheng'zhuang 予观夫巴陵胜状
'yu'han'you'li 余寒犹厉
'yu'jia'ao 渔家傲
'yu'jia'ao'qiu'si 渔家傲秋思
'yu'jiao'ru'ma'wei'duan'jue 雨脚如麻未断绝
'yu'jun'sheng'bie'li 与君生别离
'yu'li'shi'zuo'you 余立侍左右
'yu'lv'ti'xie 伛偻提携
'yu'min'bu'yi'feng'jiang'zhi'jie 域民不以封疆之界
'yu'ni'lv'zhu'ren 寓逆旅主人
'yu'pan'zhen'xiu'zhi'wan'qian 玉盘珍馐直万钱
'yu'shi 于是
'yu'shi'chi'de'fu'shu 于是鸱得腐鼠
'yu'shi'jian'gong'shu'pan 于是见公输盘
'yu'shi'yu'liang'qing'hao'ri'mi 于是与亮情好日密
'yu'wo'suo'yu'ye 鱼我所欲也
'yu'xin'da'yi'yu'tian'xia 欲信大义于天下
'yu'yi'wei'guan'zhong'zhi'shi 愚以为官中之事
'yu'yi'wei'ying'zhong'zhi'shi 愚以为营中之事
'yu'yin'de'bian'guan'qun'shu 余因得遍观群书
'yu'you'shi'ji'shi'xue 余幼时即嗜学
'yu'yu'lei'xian'liu 欲语泪先流
'yu'yu'qing'qing 郁郁青青
'yu'ze'wen'pao'bi'yi'chu'qi'jian 余则緼袍敝衣处其间
'yu'zhen'sha'chu 玉枕纱厨
'yu'zhi'le'quan'yi 鱼之乐全矣
'yu'zhi'lun'bian 与之论辨
'yu'zhu'yuan'si'shu 与朱元思书
'yuan'bi'xia'qin'zhi'xin'zhi 愿陛下亲之信之
'yuan'bi'xia'tuo'chen'yi'tao'zei'xing'fu'zhi'xiao 愿陛下托臣以讨贼兴复之效
'yuan'chu'guo'zhi 鹓雏过之
'yuan'fei'li'tian'zhe 鸢飞戾天者
'yuan'hong'dao 袁宏道
'yuan'ji'zi'sha'zhi 愿藉子杀之
'yuan'shi'jin'zhao'dou'cao'ying 元是今朝斗草赢
'yuan'xian'chen 远贤臣
'yuan'xiao'ren 远小人
'yuan'yi'zhi'li 援疑质理
'yuan'ze'bai'jiao'wu'jue 猿则百叫无绝
'yuan'zhong'shou'zhi 愿终守之
'yuan'zhu'jun'wu'fu'yan 愿诸君勿复言
'yue 曰
'yue'du 阅读
'yue'feng'yi 曰奉壹
'yue'ji'bu'jie'yin 月既不解饮
'yue'ming'nian 越明年
'yue'niao'chao'nan'zhi 越鸟巢南枝
'yue'shu'ji 曰恕己
'yue'xia'du'zhuo 月下独酌
'yue'yang'lou'ji 岳阳楼记
'yue'ye 月夜
'yue'you'yin'qing'yuan'que 月有阴晴圆缺
'yun'gui'er'yan'xue'ming 云归而岩穴暝
'za'ran'er'qian'chen'zhe 杂然而前陈者
'zai'bai'yue 再拜曰
'zai'bu'dong'xu'duo'chou 载不动许多愁
'zai'chang'wei 在肠胃
'zai'dong'ting'yi'hu 在洞庭一湖
'zai'gu'sui 在骨髓
'zai'hu'shan'shui'zhi'jian'ye 在乎山水之间也
'zai'ji'fu 在肌肤
'zai'zhou'you'hun 在昼犹昏
'zan'ping'bei'jiu'chang'jing'shen 暂凭杯酒长精神
'zan'yue 赞曰
'zao'yin'zhe'jin 造饮辄尽
'ze'ba'ye'ke'cheng 则霸业可成
'ze'fan'ke'yi'bi'huan'zhe'he'bu'wei'ye 则凡可以避患者何不为也
'ze'fan'ke'yi'de'sheng'zhe'he'bu'yong'ye 则凡可以得生者何不用也
'ze'han'shi'zhi'long 则汉室之隆
'ze'ming'wei'er'zhong'gua 则名微而众寡
'ze'ming'yi'shang'qiang'qiang'jing'zhou'zhi'jun'yi'xiang'wan'luo 则命一上将将荆州之军以向宛洛
'ze'xin'bu'ruo'yu'zhi'zhuan'er 则心不若余之专耳
'ze'you'qing'yan 则又请焉
'ze'you'qu'guo'huai'xiang 则有去国怀乡
'ze'you'xin'kuang'shen'yi 则有心旷神怡
'ze'you'zhi'wei'yun'zhi'ren'ye 则攸之韦允之任也
'ze'ze'you'zhi'wei'yun'deng'zhi'man 则责攸之韦允等之慢
'zeng'qi'jiu'zhi 增其旧制
'zhai'bian'you'wu'liu'shu 宅边有五柳树
'zhan'bi'sheng'yi 战必胜矣
'zhang'lu'zai'bei 张鲁在北
'zhang'yang'hao 张养浩
'zhao'hui'xi'yin 朝晖夕阴
'zhao'ling'tu'shu'yue 召令徒属曰
'zhao'wu'mian 照无眠
'zhe'ji'chen'sha'tie'wei'xiao 折戟沉沙铁未销
'zhen'shi'zhi'suo'ji'ye 针石之所及也
'zheng'er'bu'de 争而不得
'zheng'gao'zhi'zhi 争高直指
'zheng'tong'ren'he 政通人和
'zheng'yu'se 征于色
'zhi'ce'er'lin'zhi 执策而临之
'zhi'er'bu'zheng 知而不争
'zhi'fa'zang'pi 陟罚臧否
'zhi'gua'yun'fan'ji'cang'hai 直挂云帆济沧海
'zhi'hua'zhao'yi'qiang 枳花照驿墙
'zhi'kong'shuang'xi'ze'meng'zhou 只恐双溪舴艋舟
'zhi'lv'zhong'chun 志虑忠纯
'zhi'man'jing 至满井
'zhi'neng'zhi'shi'si'de'ming'jun 智能之士思得明君
'zhi'ren'suo'zeng'yu'fu'zhong 置人所罾鱼腹中
'zhi'ruo'chun'he'jing'ming 至若春和景明
'zhi'she 至舍
'zhi'shi'wu'ai 直视无碍
'zhi'you'xiang'ru'gu 只有香如故
'zhi'yu'fu'zhe'ge'yu'tu 至于负者歌于途
'zhi'yu'jin'ri 至于今日
'zhi'yu'zhen'zhuo'sun'yi 至于斟酌损益
'zhong'bin'huan'ye 众宾欢也
'zhong'jun'zhi'jiu'yin'gui'ke 中军置酒饮归客
'zhong'zhi'zhi'shi'wang'shen'yu'wai'zhe 忠志之士忘身于外者
'zhu'bao'qin 诛暴秦
'zhu'jun'xian'ku'qin'li'zhe 诸郡县苦秦吏者
'zhu'shang'meng'chen 主上蒙尘
'zhuan'chang'shu'yi'wei'zhi 撰长书以为贽
'zhuan'zhu'ge 转朱阁
'zhuang'zi'gu'shi'liang'ze 庄子故事两则
'zhuang'zi'lai 庄子来
'zhuang'zi'wang'jian'zhi 庄子往见之
'zhuang'zi'yu'hui'zi'you'yu'hao'liang 庄子与惠子游于濠梁
'zhuang'zi'yu'hui'zi'you'yu'hao'liang'zhi'shang 庄子与惠子游于濠梁之上
'zhuang'zi'yue 庄子曰
'zhuo'jiu'yi'bei'jia'wan'li 浊酒一杯家万里
'zhuo'lang'pai'kong 浊浪排空
'zi'bu'zhi 子不知
'zi'chen'yi'dang'shi'zhi'shi 咨臣以当世之事
'zi'dong'zhuo'yi'lai 自董卓已来
'zi'fei'wo 子非我
'zi'fei'yu 子非鱼
'zi'fu'yang'zhi'tong'lu 自富阳至桐庐
'zi'gu'fei'yu'yi 子固非鱼矣
'zi'jiang'mo'xi'ren'qian'chao 自将磨洗认前朝
'zi'jing'sang'luan'shao'shui'mian 自经丧乱少睡眠
'zi'mo'zi'jian'wang 子墨子见王
'zi'mo'zi'jie'dai'wei'cheng 子墨子解带为城
'zi'mo'zi'jiu'ju'zhi 子墨子九距之
'zi'mo'zi'qi 子墨子起
'zi'mo'zi'wen'zhi 子墨子闻之
'zi'mo'zi'yi'yue 子墨子亦曰
'zi'mo'zi'yue 子墨子曰
'zi'mo'zi'zhi'shou'wei'you'yu 子墨子之守围有余
'zi'she 字涉
'zi'shu 字叔
'zi'wei'shao'shi'yong'xin'yu'xue'shen'lao 自谓少时用心于学甚劳
'zi'yue 子曰
'zi'zhi'zhi'hu 子知之乎
'zong'lan'ying'xiong 总揽英雄
'zou'ma'chuan'xing'feng'song'feng'dai'fu'chu'shi'xi'zheng 走马川行奉送封大夫出师西征
'zou'song'le 走送了
'zu'fu'jun'lie'er'bu'zhi 足肤皲裂而不知
'zu'huo'you'suo'wen 卒获有所闻
'zu'jie'ye'jing'kong 卒皆夜惊恐
'zu'mai'yu'peng'shi 卒买鱼烹食
'zu'shu'wan'ren 卒数万人
'zu'xia'shi'jie'cheng 足下事皆成
'zu'zheng'shu'tu'qi 足蒸暑土气
'zui'hou'ge'fen'san 醉后各分散
'zui'hua'yin 醉花阴
'zui'li'tiao'deng'kan'jian 醉里挑灯看剑
'zui'neng'tong'qi'le 醉能同其乐
'zui'weng'ting'ji 醉翁亭记
'zui'weng'ting'ye 醉翁亭也
'zui'weng'zhi'yi'bu'zai'jiu 醉翁之意不在酒
'zuo'bi'xuan'bi'kuang 左臂悬敝筐
'zuo'ci'pian 作此篇
'zuo'da'sha'zhi'xia'er'song'shi'shu 坐大厦之下而诵诗书
'zuo'duan'dong'nan'zhan'wei'xiu 坐断东南战未休
'zuo'pei'dao 左佩刀
'zuo'qi'er'xuan'hua'zhe 坐起而喧哗者
'zuo'qian'huang 左牵黄
'zuo'qian'zhi'lan'guan'shi'zhi'sun'xiang 左迁至蓝关示侄孙湘
'zuo'tan'shang 坐潭上
'zuo'ting'zhe'shui 作亭者谁
'zuo'ze'fei'sha'zou'li 作则飞沙走砾
