'ai'er'bu'chou 哀而不愁
'qi'xiao'gong'fa'wo'bei'bi 齐孝公伐我北鄙
'qi'xiao'qiong'tu'zhi'ku 岂效穷途之哭
'qi'xiao'ren'zhi'you'zhe'yi'bi'neng'ye 期小人之尤者以必能也
'qi'xiao'zhi'ye'ze'yi 其小之也则宜
'qi'xin'hou'yu'ren'zhe'ye 其心厚于仁者耶
'qi'xin'ran'xie 其信然邪
'qi'xin'ran'yi 其信然矣
'qi'xin'zhi'ye 其新之也
'qi'xing'bi'guo 其行必果
'qi'xing'lian 其行廉
'qi'xing'sui'bu'gui'yu'zheng'yi 其行虽不轨于正义
'qi'xing'yu'yuan'ci 其兴于怨刺
'qi'xiong'cai'zhi'qi 其雄才直气
'qi'xiong'zhong'hao'ran 其胸中浩然
'qi'xiong'zhong'you'you'bo'ran'bu'ke'mo 其胸中又有勃然不可磨
'qi'xuan'ang'lei'luo 其轩昂磊落
'qi'xuan'wang'jian'yan'chu 齐宣王见颜斶
'qi'xue'po'ru'han'zhe 其削颇入汉者
'qi'xue'yang'zhu'zhi'dao'zhe'xie 其学杨朱之道者邪
'qi'yan'dao'de'ren'yi'zhe 其言道德仁义者
'qi'yan'neng'zhi'zhi 其焉能知之
'qi'yan'shen'ye 其言深也
'qi'yan'yi'kuai'en'chou'jin'ming'yu'wei 其言以快恩仇矜名誉为
'qi'yan'you'er'bu'shang 其言忧而不伤
'qi'yan'zi'ruo'ren'zhi'chou'hu 其言兹若人之俦乎
'qi'ye'jiang'wang 起也将亡
'qi'yi'bu'si'er'yi'yi 其亦不思而已矣
'qi'yi'bu'xing'er'bu'chu'yu'san'dai 其亦不幸而不出于三代
'qi'yi'chu'wei'bu'neng'shi'zhu'hu 其以歜为不能事主乎
'qi'yi'ci'zai 其以此哉
'qi'yi'de'quan'shou'ling 岂意得全首领
'qi'yi'ling'min 岂以陵民
'qi'yi'nai'shi'shi'jian'yu'ta'shuo 其轶乃时时见于他说
'qi'yi'qi'yi'ye 其意岂异也
'qi'yi'qi'zhi'sheng 其意气之盛
'qi'yi'qi'zhong'ruo'bi 岂以其重若彼
'qi'yi'shang'cun 其一尚存
'qi'yi'shao'bei'er'dong 其一少北而东
'qi'yi'shu'hu'qi'ke'ye 其亦庶乎其可也
'qi'yi'wei'li'zai 岂易为力哉
'qi'yi'wei'zhou'dao'shuai'wei 岂以为周道衰微
'qi'yi'xi'chu 其一西出
'qi'yi'xiao'tiao 其意萧条
'qi'yi'xing'er'chu'yu'san'dai'zhi'hou 其亦幸而出于三代之后
'qi'yi'xing'fu'qiang'er'dong'zhe 其异姓负强而动者
'qi'yi'yu'fu'ci'zai 岂移于浮辞哉
'qi'yi'yu'qiu'wei'di 其意欲求为帝
'qi'yi'yuan'yi 其亦远矣
'qi'yi'ze 起易箦
'qi'yi'zhao'yi'xi'ye'zai 岂一朝一夕也哉
'qi'ying'hu'gan'ye 其应乎感也
'qi'ying'zhe 其应者
'qi'yong'bing'ye 其用兵也
'qi'yong'bu'zu'cheng'ye 其用不足称也
'qi'yong'yue'ren'zi'zang'er'qiang'wei'xuan 齐用越人子臧而强威宣
'qi'yong'ze'yi 其用则异
'qi'yong'zhi'zi 器用之资
'qi'you'bu'you'ran'er'xing'ye 其有不油然而兴耶
'qi'you'chu'shi'yue'zhong'li'zi 齐有处士曰锺离子
'qi'you'er'zai 岂有二哉
'qi'you'he'you 其又何尤
'qi'you'he'zhu'yan 其又何诛焉
'qi'you'hui'zai 岂有悔哉
'qi'you'jin'shi'yong'ge'zhi'bi'zai 岂有近时壅隔之弊哉
'qi'you'ke'wang'ye 其又可忘耶
'qi'you'meng'chang 齐有孟尝
'qi'you'pin'li'bu'neng'zhe 其尤贫力不能者
'qi'you'ren'an'ding'tai'shou'xi'he'sun 其友人安定太守西河孙
'qi'you'shen'si'yuan 其忧深思远
'qi'you'tao'tang'shi'zhi'yi'min'hu 其有陶唐氏之遗民乎
'qi'you'wo'ye 其诱我也
'qi'you'xiang'gong'ci'shi'chu'jian'ke'hu 岂有相公此时出见客乎
'qi'you'yan 其有焉
'qi'you'yi'cheng'ming'de'zhe 其有意称明德者
'qi'you'yi'qin'zhi'ji'shi'hu 岂有异秦之季世乎
'qi'you'yi'shu'zai 岂有异术哉
'qi'you'yi'yu'wo'yi 其有以御我矣
'qi'you'yong'ge'zhi'huan'zai 岂有壅隔之患哉
'qi'you'zhi'yu'si'hu 其有志于斯乎
'qi'yu'cheng'xiang'lie'hou'li'er'qian'shi 其与丞相列侯吏二千石
'qi'yu'chu'cong'qin 齐与楚从亲
'qi'yu'gu'you'you'yu 其于古犹有余
'qi'yu'guo'zhi'wei'ye 其虞虢之谓也
'qi'yu'hai'he'ke'sheng'dao'zai 其遇害何可胜道哉
'qi'yu'lv'xiang 起于闾巷
'qi'yu'neng'ji'he 其与能几何
'qi'yu'nu'bi 其余奴婢
'qi'yu'ren'ye 其于人也
'qi'yu'ren'ye'yi'ran 其于人也亦然
'qi'yu'si'li 期于司里
'qi'yu'suo'wei'qi'ren'zai 岂愈所谓其人哉
'qi'yu'wei'ren'xian'bu'xiao'he'ru'ye 其于为人贤不肖何如也
'qi'yu'wo'hu 其与我乎
'qi'yu'wu'fei'gu'tu 其余无非谷土
'qi'yu'yi'jun'fen'gong'hou'bo'zi'nan 其余以均分公侯伯子男
'qi'yu'yi'ru'bao 其余以汝饱
'qi'yu'yu'shi'he'ru'ye 其遇于世何如也
'qi'yu'yu'zhuang 其语愈壮
'qi'yu'ze'xi'xi'er'le 其余则熙熙而乐
'qi'yu'zhi'luan'cun'wang'zhi'ji 其于治乱存亡之几
'qi'yu'zhi'nan'you'ru'ci 其遇之难又如此
'qi'yu'zhi'qi'cong'men'jian'er'kui'qi 其御之妻从门间而窥其
'qi'yu'zi 妻与子
'qi'yu'zuo'ming'li'gong'zhi'shi 其余佐命立功之士
'qi'yuan'er'xi'da 其远迩细大
'qi'yuan'shen'yu'nv'huo 其源深于女祸
'qi'yue 妻曰
'qi'yue 齐曰
'qi'yue'ji'wang 七月既望
'qi'yue'san'ri 七月三日
'qi'yue'shi 其曰师
'qi'yue'ye'huo'ji'zhi 其跃也或激之
'qi'yun'luo'xing 齐云落星
'qi'zai'bi'zui 期在必醉
'qi'zai'chao 其在朝
'qi'zai'duo'hu 其在多乎
'qi'zai'gan'yu'ji'ge'zhi'hou'hu 其在干羽既格之后乎
'qi'zai'shang'ye 其在上也
'qi'zai'si'ren'yu 其在斯人欤
'qi'zai'tang'yu 其在唐虞
'qi'zai'wai 其在外
'qi'zai'xia'ye 其在下也
'qi'zai'yu'tian'wei'zhi'ming 其在于天谓之命
'qi'zan'wei'peng'zhe 其暂为朋者
'qi'ze'ji'ye'zhong'yi'zhou 其责己也重以周
'qi'ze'ren'ye'xiang 其责人也详
'qi'ze'shang'suo'shang'shou'jin 起则上所上寿金
'qi'ze'wu'liu'yi'shi'chu 起则五六揖始出
'qi'zha'ri'sheng 欺诈日生
'qi'zhan'wei'you'nian 其占为有年
'qi'zhao'zhi'jing'shi'er'fu'wei'ci'shi 其召至京师而复为刺史
'qi'zhao'zhi'yin'yin 祈招之愔愔
'qi'zhen'bu'zhi'ma'ye 其真不知马也
'qi'zhen'wu'ma'xie 其真无马邪
'qi'zhi'chi'yi'si 其志弛以肆
'qi'zhi'jie 其志洁
'qi'zhi'kua'yi'shi'er'rong'yi'xiang'zai 岂止夸一时而荣一乡哉
'qi'zhi'lai'gui 弃之来归
'qi'zhi'li'yi 弃掷逦迤
'qi'zhi'shu'qian 其指数千
'qi'zhi'shui'ye 弃脂水也
'qi'zhi'wu'bai'li'zai 岂直五百里哉
'qi'zhi'ye'ruo'qi 其置也若弃
'qi'zhi'yi'li 齐之以礼
'qi'zhi'yi'xing 齐之以刑
'qi'zhi'yi'ye 其致一也
'qi'zhi'yi'yu'gao 其志意愈高
'qi'zhi'yi'zhe 其执役者
'qi'zhi'you'ling'xu'tai'ye 岂知有凌虚台耶
'qi'zhi'zhi'yi 其知之矣
'qi'zhi'zhui'xu'ye 齐之赘婿也
'qi'zhi'zu 妻之族
'qi'zhong'chen'gua'fu'you'ren'dui'shi'zhi 其忠臣寡妇幽人怼士之
'qi'zhong'wang'lai'zhong'zuo 其中往来种作
'qi'zhou'de'zhi'shuai'hu 其周德之衰乎
'qi'zhou'gong'zhi'dong'hu 其周公之东乎
'qi'zhou'zhi'dong'hu 其周之东乎
'qi'zhou'zhi'jiu'hu 其周之旧乎
'qi'zhu'neng'xia'ren 其主能下人
'qi'zhu'yu'mi 其筑欲密
'qi'zhu'yu'shen'wei'zhi'xin 其主于身谓之心
'qi'zhui'xi'zu'de'er'si'suo'yi'chuan 其追晞祖德而思所以传
'qi'zi'chu'bu'gan'hou'yu'heng'ren 其自处不敢后于恒人
'qi'zi'he'zhi 其子和之
'qi'zi'hou'yu'zhou'xu'you 其子厚与州吁游
'qi'zi'huan'shu'yi'xia'jia'wu'zi'zhi 其自桓叔以下嘉吾子之
'qi'zi'man'yu 妻子满狱
'qi'zi'sun'zhe'huo'zhi'yu'yi'wang'san 其子孙者或至于遗亡散
'qi'zi'wu'gu 妻子无辜
'qi'zi'xiu'shi'ke'biao'yu'qi'qian 其子修始克表于其阡
'qi'zi'yi'fu'li'du 妻子衣服丽都
'qi'zi'yue'hou'tu 其子曰后土
'qi'zi'yue'zhu 其子曰柱
'qi'zi'zi'zheng'shi'gao'yu'qin'yue 杞子自郑使告于秦曰
'qi'zong'mie'yu'jiang 其宗灭于绛
'qi'zu'fu'zai 岂足福哉
'qi'zu'wei'da'wang'dao'zai 岂足为大王道哉
'qi'zu'yi'han'zei'chen'zhi'dan 其足以寒贼臣之胆
'qi'zu'yi'yan'de'shi 岂足以言得士
'qi'zui'gao'zhe 其最高者
'qi'zuo'er'xuan'hua'zhe 起坐而喧哗者
'qian'chi'bi'fu 前赤壁赋
'qian'chu'shi'biao 前出师表
'qian'de'yi 谦得益
'qian'dun'you'yi'zhi'shi 潜遁幽抑之士
'qian'er'bu'yin 迁而不淫
'qian'gong'fu 钱公辅
'qian'jia'lin'er'hou'lan'tai 前夹林而后兰台
'qian'jin 千金
'qian'jin'zhi'zi 千金之子
'qian'jiu'ding'yu'luo'yi 迁九鼎于雒邑
'qian'jun'shi'shu'qi'ming'yu'ban 钱君始书其名于版
'qian'jun'wei'qing 千钧为轻
'qian'ke'sao'ren 迁客骚人
'qian'li'feng'ying 千里逢迎
'qian'li'ma'chang'you 千里马常有
'qian'li'song'yi 千里诵义
'qian'li'yi'se 千里一色
'qian'li'you'ao 千里游敖
'qian'liu'wo'bian'chui 虔刘我边陲
'qian'liu'yin'luan'rang'qie 钱镠因乱攘窃
'qian'lou'you'yan 黔娄有言
'qian'meng'kou'xue'wei'gan 前盟口血未干
'qian'mo'jiao'tong 阡陌交通
'qian'qi'lu 黔其庐
'qian'qi'ming 潜其名
'qian'ren'chan'zhi 遣人觇之
'qian'ren'zhi'shu'bei'yi 前人之述备矣
'qian'shi'jiu'nian 前十九年
'qian'shi'zhe 遣使者
'qian'shu'cang'zu'wei'jin'suo'huai 前书仓卒未尽所怀
'qian'suo'wei'quan'men'zhe 前所谓权门者
'qian'tai'fu'ji'huang'jin'qian'jin 遣太傅赍黄金千斤
'qian'tai'shou'chen'kui 前太守臣逵
'qian'tai'shou'yu'qing'zhu'chao'zuo'xin'miao 前太守欲请诸朝作新庙
'qian'wan'ren'zhi'xin'ye 千万人之心也
'qian'wei'qiang'zhi'zhi 牵帷廧之制
'qian'wu'liu'nian'shi 前五六年时
'qian'xiang'gong'jin'shi'han'yu 前乡贡进士韩愈
'qian'yi'xiang'guo'fu 遣诣相国府
'qian'yin'xian'di'zhi'si 潜隐先帝之私
'qian'you'chan'er'fu'jian 前有谗而弗见
'qian'you'duo'er 前有堕珥
'qian'you'li'shou'zhi'le 前有利兽之乐
'qian'yu'gu'ju'zhi'dong'dong'shan'zhi'lu 迁于故居之东东山之麓
'qian'yu'qi'min'wang'zheng'qiang'wei'di 前与齐闵王争强为帝
'qian'yu'shi 牵于世
'qian'yu'wei'zhi'xu'yun 遣愈为之序云
'qian'yu'xia'shang 迁于夏商
'qian'yue'jie'jian 谦约节俭
'qian'zai'shui'shang 千载谁赏
'qian'zai'zhi'mi 千载之秘
'qian'ze'you'pi 愆则有辟
'qian'zhe'hu 前者呼
'qian'zhi'yu'wen'yi'zhi'mo 牵制于文义之末
'qian'zhi'zi'ren'zhi'lv 牵制梓人之虑
'qiang'bo'zhu'hou 强伯诸侯
'qiang'gong'shi 强公室
'qiang'guo'qing'fu 强国请服
'qiang'ming'jin'shi 锵鸣金石
'qiang'qing'ji'cui 樯倾楫摧
'qiang'ren'er'yu'yan'yue 强忍而与言曰
'qiang'ruo 强弱
'qiang'tai'zhi'le'ye 强台之乐也
'qiang'wu'rang'ruo 强毋攘弱
'qiang'yu'shi'wan 强逾十万
'qiang'zhe'bi'nu'yu'yan 强者必怒于言
'qiang'zhe'bi'shuo'yu'yan 强者必说于言
'qiang'zhe'yao'er'bing'zhe'quan'hu 强者夭而病者全乎
'qiang'zhi'er'fu'cou 繈至而辐凑
'qiao'hu'qi'yan 悄乎其言
'qiao'jiang'yan'yan 侨将厌焉
'qiao'pu'xuan'xiao'fan'qi'lv 敲扑喧嚣犯其虑
'qiao'wen'jun'zi'chang'guo'jia'zhe 侨闻君子长国家者
'qiao'wen'wen'gong'zhi'wei'meng'zhu'ye 侨闻文公之为盟主也
'qiao'wen'xue'er'hou'ru'zheng 侨闻学而后入政
'qiao'xue'wei'sui 窍穴逶邃
'qiao'ye'huo'zhi 侨也惑之
'qie'ai'lian'zhi 窃爱怜之
'qie'bi'fu'yong'bu'qiong 且必复用不穷
'qie'bu'de'xia 且不得暇
'qie'bu'yi'bo 妾不衣帛
'qie'bu'zhi'tian'xia'zhi'shi'ye 且不知天下之势也
'qie'chen'shao'shi'wei'chao 且臣少事伪朝
'qie'cheng'tian'zi'ming'yi'lai'wei'li 且承天子命以来为吏
'qie'chu'yuan'yan 且出怨言
'qie'chui'cao'tang 窃吹草堂
'qie'ci'yan 且辞焉
'qie'er'yu'chu'ye 且贰于楚也
'qie'fu'bu'wang'chou 且夫不忘仇
'qie'fu'fa'qi'guo'zhi'nan'zhe'shui'hu 且夫发七国之难者谁乎
'qie'fu'jian'fang'gui 且夫贱妨贵
'qie'fu'mu'yi 怯夫慕义
'qie'fu'qin'yu'bi 且夫秦欲璧
'qie'fu'qing'dao'er'hou'xing 且夫清道而后行
'qie'fu'ren'zhi'xue'ye 且夫人之学也
'qie'fu'shan'bu'cha'nie 且夫山不槎蘖
'qie'fu'su'qin'te'qiong'xiang'jue'men'sang 且夫苏秦特穷巷掘门桑
'qie'fu'tian'di'zhi'jian 且夫天地之间
'qie'fu'tian'xia'fei'xiao'ruo'ye 且夫天下非小弱也
'qie'fu'wan'hao'zai'er'mu'zhi'qian 且夫玩好在耳目之前
'qie'fu'xia'wei'yi'ju 且负下未易居
'qie'fu'you'bao'ren'zhi'zhi 且夫有报人之志
'qie'fu'zang'huo'bi'qie'you'neng'yin'jue 且夫臧获婢妾犹能引决
'qie'gan'jin'qi'suo'yi'ran 且敢进其所以然
'qie'gao'zhi'hui 且告之悔
'qie'ge'shu'qi'duan 且各疏其短
'qie'gong'chang'wei'wo'yan 且公尝为我言
'qie'gong'yi'bu'yu 且公意不欲
'qie'gou'zhe'zhu 窃钩者诛
'qie'guai'tian'xia'zhi'zhu'hou'yi'wu'bei 窃怪天下之诸侯以五倍
'qie'guan'zhi'bing 且观之兵
'qie'guo'wu'zi'bu'neng'de'shan'ren 且国武子不能得善人
'qie'guo'zhe'hou 窃国者侯
'qie'han'hou'zhu'ling'yi'bu'si 且汉厚诛陵以不死
'qie'huan'ji 且缓急
'qie'jia'ren'fu'zi'shang'bu'neng'yi'ci 且家人父子尚不能以此
'qie'jiao'zhao'fen'chu 且矫诏纷出
'qie'jin'jie'du'guan'cha'shi'ji'fang'yu 且今节度观察使及防御
'qie'jin'zhi'qing'zhe 且今之勍者
'qie'jin'zhi'suo'wei'fu'zhe'he'zai 且今之所谓孚者何哉
'qie'jing'shan'ren 且旌善人
'qie'jun'chang'wei'jin'jun'ci'yi 且君尝为晋君赐矣
'qie'jun'hou'he'bu'si'xi'zhe'ye 且君侯何不思昔者也
'qie'li'ling'ti'bu'zu'bu'man'wu'qian 且李陵提步卒不满五千
'qie'li'shi'yu'qi'mu'zhi'men 且立石于其墓之门
'qie'ming'qi'tai'yue'chao'ran 且名其台曰超然
'qie'mu'ci'er 窃慕此耳
'qie'qi 且起
'qie'qi'qi'zi'yi'ben'cao 挈其妻子以奔曹
'qie'qi'shi'zi'zhi'tu 且七十子之徒
'qie'qi'yi'bu'zai'shu 且其意不在书
'qie'qi'yi'yue 且其议曰
'qie'qin'mie'han'wang'wei 且秦灭韩亡魏
'qie'qin'wu'yi'er'di 且秦无已而帝
'qie'qing'bian'zhi'yu'ling 且请编之于令
'qie'qu'liu'zhi'bai'yi'zhi'shi 窃取六职百役之事
'qie'qu'yu'gong'sun'duan'shi 且娶于公孙段氏
'qie'ren'fei'yao'shun 且人非尧舜
'qie'ren'you'jun'er'shi'zhi 且人有君而弑之
'qie'ren'zhi'cai 窃人之财
'qie'ru'huan'li 且如桓立
'qie'shao'you'duo'ji 且少又多疾
'qie'shi'ben'mo'wei'yi'ming'ye 且事本末未易明也
'qie'shi'xian'neng'er'bu'yong 且士贤能而不用
'qie'shi'yi'bu'xiao'ling'ye 且是以不孝令也
'qie'shi'yi'qiu'qu'ye 妾是以求去也
'qie'shuo'mao 且硕茂
'qie'tian'xia'zhi'zhi'luan 且天下之治乱
'qie'wan'wu'mu'zi'ju'wang'li 且万无母子俱往理
'qie'wei'er'gou'lu 窃位而苟禄
'qie'wei'ren'chen'zhi'na'zhong 窃谓人臣之纳忠
'qie'wei'zhi'fu'yi'shu'wei'zhi'huan 窃魏之符以纾魏之患
'qie'wu'wen'zhi 且吾闻之
'qie'xi'bo 且西伯
'qie'xiang'wei'yun 且相慰云
'qie'xie'zhi'yue 且谢之曰
'qie'xing'qian'li 且行千里
'qie'xiu'hao 且修好
'qie'xu'yan'zhuang 且虚言状
'qie'xue'wei'zheng 且学为政
'qie'yan'xian'sheng'yu'gua'ren'you 且颜先生与寡人游
'qie'yan'yuan'di'ye 且言远地也
'qie'yang'zi'zhi'bu'xian 且阳子之不贤
'qie'yang'zi'zhi'xin'jiang'shi'jun'ren'zhe 且阳子之心将使君人者
'qie'yao'dao'zi'zhuo'jiu 且邀道滋酌酒
'qie'yi'di'zhi'li 且义帝之立
'qie'yi'wei'guo'yi 窃以为过矣
'qie'yi'wei'jun'shi'yi 窃以为君市义
'qie'yi'wei'ren'cheng'you'zhi 窃以为人诚有之
'qie'yi'zhi 且异之
'qie'yong'zhe'bu'bi'si'jie 且勇者不必死节
'qie'you'hou'ming 且有后命
'qie'you'huai'bei'song'di 且又淮北宋地
'qie'you'suo'fa 且有所法
'qie'yu'chang'zhang'qi'guan 且余尝掌其官
'qie'yu'de'qi'dang'er'bao'yu'han 且欲得其当而报于汉
'qie'yu'neng'qin'yu'huan'zhuang'hu 且虞能亲于桓庄乎
'qie'yu'yu'chang'ma'deng'bu'ke'de 且欲与常马等不可得
'qie'yue 且曰
'qie'yue 妾曰
'qie'zhi'mei'wo'zhe 妾之美我者
'qie'zhi'qi'an 且知其安
'qie'zhong'de'zui 且重得罪
'qie'zhou'gong'yi'wang'zhi'yan'bu'ke'gou 且周公以王之言不可苟
'qie'zi'shu 窃自恕
'qie'zi'si'nian 窃自私念
'qie'zu'xia'xi'yi'dan'che'zhi'shi 且足下昔以单车之使
'qin'ai'fen'she 秦爱纷奢
'qin'bei'ling'hu'zhi'meng 秦背令狐之盟
'qin'bi'gui'jun 秦必归君
'qin'bi'xi 秦必喜
'qin'bing'wei'chu 秦兵未出
'qin'bo'shuo 秦伯说
'qin'bo'you'er'sha'zhi 秦伯诱而杀之
'qin'bo'yue 秦伯曰
'qin'bu'an'xi 寝不安席
'qin'bu'mei 寝不寐
'qin'bu'qi'lao 亲不弃劳
'qin'bu'qi'ran 秦不其然
'qin'bu'sheng'yi'yan 秦不生一焉
'qin'cheng'di'zhi'hai'jiang'nai'he 秦称帝之害将奈何
'qin'chu'cheng'er'bi'gui 秦出城而璧归
'qin'chu'wei'zhi'di 侵楚魏之地
'qin'chu'zhi'ji'yue'biao 秦楚之际月表
'qin'dai'fu'bu'xun'yu'wo'gua'jun 秦大夫不询于我寡君
'qin'diao'he'chang 琴调和畅
'qin'er'bu'de 勤而不德
'qin'er'fu'zhi 勤而抚之
'qin'er'si'zhi 寝而思之
'qin'er'wu'suo 勤而无所
'qin'fa'bing'ji'zhi 秦发兵击之
'qin'fu'ai'liu'guo'zhi'ren 秦复爱六国之人
'qin'fu'bing'jue'qi'hou 秦伏兵绝其后
'qin'fu'tao 秦复陶
'qin'ge'han'zhong'di'yu'chu'yi'he 秦割汉中地与楚以和
'qin'ge'ji'duan 琴歌既断
'qin'gong'xin'cheng'yi'yang 秦攻新城宜阳
'qin'han'er'hai 秦汉而还
'qin'ji'cheng'di 秦既称帝
'qin'ji'gong'zhi 秦急攻之
'qin'ji'nei'wai'zhi'suo'ji'ye 覃及内外之所及也
'qin'jiang'wen'zhi 秦将闻之
'qin'jin'wei'zheng 秦晋围郑
'qin'jin'wu'er'bo'zhong'guo 禽劲吴而伯中国
'qin'jiu'zhi'qi'ru'ci 亲旧知其如此
'qin'jun'fan'nan 秦军氾南
'qin'jun'yin'er'qu 秦军引而去
'qin'ke'yi'ba 秦可以霸
'qin'ku'ru'ci 勤苦如此
'qin'lao'wang'jia 勤劳王家
'qin'mei'jian'zhi 寝寐见之
'qin'mou'wan'min 侵牟万民
'qin'mu'gong'shi'ren'diao'gong'zi'chong'er 秦穆公使人吊公子重耳
'qin'qi'bu'cha 亲戚补察
'qin'qi'chang'cheng 秦起长城
'qin'qi'gui'jun 秦岂归君
'qin'qi'jiu'zu 亲其九族
'qin'qi'tan'ning'zhi'lei'xi'wei'lang'miao 亲戚贪佞之类悉为廊庙
'qin'qi'xiang'gong 秦起襄公
'qin'qin'er'ren'min 亲亲而仁民
'qin'qin'xiang'chou 亲亲相仇
'qin'qin'zhi'dao'ye 亲亲之道也
'qin'ren'bu'gan'yu'han'wei'yi'kui'qi 秦人不敢逾韩魏以窥齐
'qin'ren'bu'xia'zi'ai 秦人不暇自哀
'qin'ren'kai'guan'er'yan'di 秦人开关而延敌
'qin'ren'lu'ao'zhi'suo'cong'dun'ye 秦人卢敖之所从遁也
'qin'ren'qie'yu'zheng'meng 秦人窃与郑盟
'qin'ren'shi'zhi 秦人视之
'qin'shen'zeng'qi 秦甚憎齐
'qin'shi'bu'fu 秦师不复
'qin'shi'ke'hai'wu'hai 秦师克还无害
'qin'shi'sui'dong 秦师遂东
'qin'suo'yi'ji'wei'zhao'zhe 秦所以急围赵者
'qin'wang'bu'shuo 秦王不说
'qin'wang'fu'qing 秦王复请
'qin'wang'fu'ran'nu 秦王怫然怒
'qin'wang'gui'er'jin'yue 秦王跪而进曰
'qin'wang'gui'yue 秦王跪曰
'qin'wang'ji'yue 秦王跽曰
'qin'wang'nai'chu'zhu'ke'zhi'ling 秦王乃除逐客之令
'qin'wang'ping'zuo'you 秦王屏左右
'qin'wang'se'nao 秦王色挠
'qin'wang'shi'ren'wei'an'ling'jun'yue 秦王使人谓安陵君曰
'qin'wang'ting'ying'fan'ju 秦王庭迎范雎
'qin'wang'wei'bi'bu'fan'bi'ye 秦王未必不返璧也
'qin'wang'wei'tang'ju'yue 秦王谓唐雎曰
'qin'wang'yi'zai'bai 秦王亦再拜
'qin'wang'yue 秦王曰
'qin'wei'shan'chu 亲魏善楚
'qin'wei'zhao'zhi'han'dan 秦围赵之邯郸
'qin'wei'zhong'zui 亲委重罪
'qin'wu'wang'shi'yi'zu'zhi'fei 秦无亡矢遗镞之费
'qin'xian'chen 亲贤臣
'qin'xiao'gong'ju'yao'han'zhi'gu 秦孝公据殽函之固
'qin'xiao'lao 亲小劳
'qin'xiao'ren 亲小人
'qin'xin'zuo'you'er'wang 秦信左右而亡
'qin'xiong'zhi'zi'xi'xiang'er'ji 亲兄之子西乡而击
'qin'xiong'zi'ye 亲兄子也
'qin'xu'min'yin'er'chu'qi'hai'ye 勤恤民隐而除其害也
'qin'xuan'ling'de 勤宣令德
'qin'ye 秦也
'qin'yi'chong'bi 亲以宠逼
'qin'yi'qiang'fu'hou 秦益强富厚
'qin'yi'shan'xi'ao'liu'guo 秦以山西鏖六国
'qin'yong'rong'ren'you'yu'er'bo'zhong'guo 秦用戎人由余而伯中国
'qin'you'yu'li'er'zhi'qi'bi 秦有余力而制其弊
'qin'yu 秦欤
'qin'yuan'xian'shang'yu'zhi'di'liu'bai'li 秦愿献商於之地六百里
'qin'zhe'bi'luan 亲者必乱
'qin'zhe'huo'wang'fen'di'yi'an'tian'xia 亲者或亡分地以安天下
'qin'zheng'pian 亲政篇
'qin'zhi'shi 秦之时
'qin'zhi'wei'shi'ye 秦之危事也
'qin'zhi'xing 秦之兴
'qin'zhi'yong'bing'yu'yan'zhao 秦之用兵于燕赵
'qin'zhi'you'han'wei 秦之有韩魏
'qin'zhong'guan 侵众官
'qin'zi'he'wei 亲自合围
'qin'zong'shi'da'chen'jie'yan'qin'wang'yue 秦宗室大臣皆言秦王曰
'qing'ai'ci'cu 情隘辞蹙
'qing'bu'wang'huai'nan 黥布王淮南
'qing'bu'yong'huai'nan 黥布用淮南
'qing'chan'ting'ming 请墠听命
'qing'chu'jiao'lao 卿出郊劳
'qing'chui'gao'er'ru 请垂櫜而入
'qing'da'fu'chao'kao'qi'zhi 卿大夫朝考其职
'qing'da'fu'yi'ye 卿大夫意也
'qing'da'fu'you'ran 卿大夫犹然
'qing'di'zhi'ren 勍敌之人
'qing'er'jian'zhi 请而见之
'qing'feng'xu'lai 清风徐来
'qing'feng'zhi'er'xiu'cheng'guo'gong'shi 清风至而修城郭宫室
'qing'fu'wo'guo'jia 倾覆我国家
'qing'fu'wo'she'ji 倾覆我社稷
'qing'gai'ru'gu 倾盖如故
'qing'gei'zhi'bi 请给纸笔
'qing'gong'chu'dao 清宫除道
'qing'gua'ren'yu 轻寡人与
'qing'guan'yu'zhou'le 请观于周乐
'qing'guang'yu'jun 请广于君
'qing'gui'qu'qi'nu 请归取其孥
'qing'he'zhang'jun'meng'de'zhe'ju'qi'an 清河张君梦得谪居齐安
'qing'hui'su'shi'jia 请回俗士驾
'qing'ji'zhi 请击之
'qing'jing 请京
'qing'jing'yi'zhi 请敬易之
'qing'jing'zhen'zheng'yi'zi'yu 清净贞正以自虞
'qing'kan'jin'ri'zhi'yu'zhong 请看今日之域中
'qing'lai'xian'jian'zhe 请来献见者
'qing'lei'shi'yi'zhang'zhi 请羸师以张之
'qing'li'si'nian'chun 庆历四年春
'qing'li'zhong 庆历中
'qing'lu'jun'ju'shang 请鲁君举觞
'qing'lue'chen'gu'lou 请略陈固陋
'qing'qi'shi 请其矢
'qing'qi'zui 请其罪
'qing'qu'jiu 轻去就
'qing'que'huang'long'zhi'zhou 青雀黄龙之轴
'qing'ri'shi'wan'yan 请日试万言
'qing'sheng'er'bian'ti 清声而便体
'qing'shi'nai'jian 清士乃见
'qing'shou'he'yu'jin 请收合余烬
'qing'song'luo'yin 青松落荫
'qing'sui'shi'qian 情随事迁
'qing'sui'yan 请隧焉
'qing'wang 请往
'qing'wei'jun'fu'zao'er'ku 请为君复凿二窟
'qing'wen'qi'shuo 请闻其说
'qing'wu'yu'zi'er'yu'di 请无与子而与弟
'qing'xi'jiao'yi'jue'you 请息交以绝游
'qing'xia'chen'yi 请下臣议
