'an'ji'che'gang 按及车缸
'huang'qin'tang'zhi'gan'ou'xia'li 黄芩汤治干呕下利
'huang'tu'tang'fang 黄土汤方
'huang'tu'tang'zhu'zhi 黄土汤主之
'hui'chong'zhi'wei'bing 蛔虫之为病
'hui'er'fu'man 哕而腹满
'hui'fan 秽饭
'hui'jue'zhe 蛔厥者
'hui'ni'zhe 哕逆者
'hui'shang'ru'ge 蛔上入膈
'hui'wen'shi'chou'chu 蛔闻食臭出
'hui'zhe 哕者
'hun'po'wang'xing 魂魄妄行
'huo'bing'er'shi'ri 或病二十日
'huo'bing'si'wu'ri'er'chu 或病四五日而出
'huo'bu'xia 或不下
'huo'cong'bian'nan 或从便难
'huo'cong'han'chu 或从汗出
'huo'cong'ou'tu 或从呕吐
'huo'cong'xiao'ke 或从消渴
'huo'dan'bi'bu'sui'zhe 或但臂不遂者
'huo'dan'han'bu're 或但寒不热
'huo'dong'xia'fang 或洞下方
'huo'fa'xin'nue 或发心疟
'huo'huang 或黄
'huo'jie're'zhong 或结热中
'huo'jiu'bu'dong 火灸不动
'huo'jiu'shang'qu'leng'suo'zhi'ye 或久伤取冷所致也
'huo'ju'ji 或拘急
'huo'ku'shao'fu'zhong'ji 或苦少腹中急
'huo'liang'xie'teng'tong 或两胁疼痛
'huo'mu'chi 或目赤
'huo'ni'shang'qi 火逆上气
'huo'nong'zhu'chi'zhi'yin'zhi 或浓煮豉汁饮之
'huo'qu'ru'she'xing'zhe 或曲如蛇行者
'huo'shen'wei'zhong'zhe 或身微肿者
'huo'shi'suan 或食蒜
'huo'tu'xia'bai'mo 或吐下白沫
'huo'tu'xie 或吐血
'huo'wu're 或无热
'huo'xie'zhe 火邪者
'huo'xiong'man 或胸满
'huo'yi'wu'mai 或已无脉
'huo'yi'yue'wei'jian'zhe 或一月微见者
'huo'yin'di'jiang 或饮地浆
'huo'yin'yao'ji 或引腰脊
'huo'you'bu'yong'wen'shi'chou'shi 或有不用闻食臭时
'huo'you'yu'can 或有郁惨
'huo'yue'shui'lai'guo'duo 或月水来过多
'huo'zuo'huo'you 或左或右
'ji'bu'ke'gong'hu'suan'shi'zhi 鸡不可共葫蒜食之
'ji'bu'shi'ren 即不识人
'ji'chen'jing'qi 疾疢竞起
'ji'cheng'bing 即成病
'ji'dan'zhu'rou 忌啖猪肉
'ji'dang'jiu'biao'ye 急当救表也
'ji'dang'jiu'li 急当救里
'ji'dao'yin'tu'na'zhen'jiu'gao'mo 即导引吐纳针灸膏摩
'ji'e'han 即恶寒
'ji'e'han'shen 即恶寒甚
'ji'er'bu'yu'shi 饥而不欲食
'ji'fu'bu'ren 肌肤不仁
'ji'fu'jia'cuo 肌肤甲错
'ji'fu'zhong'xue'qi'ci'tong 及腹中血气刺痛
'ji'gan'ji'xue 鸡肝及血
'ji'han'shang'jing 极寒伤经
'ji'huo 即活
'ji'ji'ran 几几然
'ji'jiao'di'fen'qi'zhe 及浇地坟起者
'ji'jiao'li'huang'wan'fang 己椒苈黄丸方
'ji'jing'xia'shi'zhi 及经夏食之
'ji'kou'ru'chang'fa 忌口如常法
'ji're'shang'luo 极热伤络
'ji'ruo'yu'lin 肌若鱼鳞
'ji'shao'zhi 及稍止
'ji'sheng'kui 及生葵
'ji'shi'bai 鸡屎白
'ji'shi'bai'san'fang 鸡屎白散方
'ji'shi'bai'san'zhu'zhi 鸡屎白散主之
'ji'shi'shan 及使扇
'ji'si 即死
'ji'teng'tong'ru'che 即疼痛如掣
'ji'tou'mian'chi'er'xia'zhong 即头面赤而下重
'ji'tu'xia'bian'cha 即吐下便差
'ji'wei'han'shan 即为寒疝
'ji'wei'shui'yi 即为水矣
'ji'wei'xiao'ke 即为消渴
'ji'wu'bu'zhi 即勿补之
'ji'xia'zhi 急下之
'ji'xiao'gu'yin'shi 即消谷引食
'ji'xie'tong'li'ji'zhe 及胁痛里急者
'ji'xie'xia'ju'ji'er'tong 即胁下拘急而痛
'ji'xiong'bi'er'tong 即胸痹而痛
'ji'xu'yi'wei'lao 极虚亦为劳
'ji'ya'xia'you'wang'zi'xing'zhe 及压下有王字形者
'ji'yan'zhi 及盐汁
'ji'yang'sheng'zhe 及仰生者
'ji'yi'ni'shi'bian 即遗溺失便
'ji'yi'zhi'zhi 即医治之
'ji'you'liu'he'si'ju'zhe 鸡有六翮四距者
'ji'yu'bu'ke'he'hou'zhi'rou'shi'zhi 鲫鱼不可合猴雉肉食之
'ji'yu'xue'ye 即瘀血也
'ji'yu'zhi 急与之
'ji'zai'hou'zhong 积在喉中
'ji'zai'qi'chong 积在气冲
'ji'zai'shao'fu 积在少腹
'ji'zai'xin'xia 积在心下
'ji'zai'you 积在右
'ji'zai'zhong'yang 积在中央
'ji'zai'zuo 积在左
'ji'zhe 积者
'ji'zhi'qi'bu'lai 及至期不来
'ji'zhi'zhi 急治之
'ji'zhi'zhi'fang 急治之方
'ji'zhong'bu'sheng 即重不胜
'jia'bei'wei'feng 加被微风
'jia'da'huang'yi'li'zhi 加大黄以利之
'jia'duan'qi 加短气
'jia'gan'jiang'xi'xin 加干姜细辛
'jia'ling'bu'zhe 假令不者
'jia'ling'fa're 假令发热
'jia'ling'gan'wang'se'qing 假令肝旺色青
'jia'ling'mai'fu 假令脉浮
'jia'ling'ren'shen'fu'zhong'tong 假令妊娠腹中痛
'jia'ling'shou'ren'qi'xia'you'ji 假令瘦人脐下有悸
'jia're'wu're 加热无热
'jia'ru'xiao'bian'zi'li 假如小便自利
'jia'shao'yao 加芍药
'jia'tu'xia'zhe 加吐下者
'jia'wen'zhen 加温针
'jia'xi'xin'yi'liang'ban'xia'da'zhe'er'shi'mei 加细辛一两半夏大者二十枚
'jia'xing'ren'zhu'zhi 加杏仁主之
'jia'zi'ye'ban'shao'yang'qi 甲子夜半少阳起
'jian'bu'zu'yan 减不足言
'jian'cheng'tang 煎成汤
'jian'gan'zhi'bing 见肝之病
'jian'jian'neng'yan 渐渐能咽
'jian'jue'zhe 见厥者
'jian'nv 兼衄
'jian'qu'beng'zhong'qu'xue 兼取崩中去血
'jian'shu'xiang'bo 坚数相搏
'jian'shui'zi'dong'zhe 见水自动者
'jian'tang'yu 煎汤浴
'jian'xi 肩息
'jian'yang'gong'yin 见阳攻阴
'jian'yin'gong'yang 见阴攻阳
'jian'ze'wei'han 减则为寒
'jian'zhi'yin'zhi 煎汁饮之
'jian'zhu'wei'feng 兼主微风
'jiao'ai'tang'zhu'zhi 胶艾汤主之
'jiao'jiang'tang'zhu'zhi 胶姜汤主之
'jiao'ku'ru'xin 焦苦入心
'jiao'qi'yi'feng'yin'tang 脚气宜风引汤
'jiao'qu'zhi 绞取汁
'jiao'qu'zhi'yi'guan'zhi 绞取汁以灌之
'jiao'suo 脚缩
'jiao'zhong'ru'tuo 脚肿如脱
'jie'bing'ren 皆病人
'jie'bu'de'yi'chu'mu'sang'mu'zheng'zhi 皆不得以楮木桑木蒸炙
'jie'bu'ke'fa'han 皆不可发汗
'jie'cai'bu'ke'gong'tu'rou'shi'zhi 芥菜不可共兔肉食之
'jie'cong'jing'fa'de'zhi 皆从惊发得之
'jie'cong'jing'kong'de'zhi 皆从惊恐得之
'jie'da'xia'hou'shan'xu 皆大下后善虚
'jie'dang'bing 皆当病
'jie'fa'huang 皆发黄
'jie'geng'bai'san'zhi'ke'er'xiong'man 桔梗白散治咳而胸满
'jie'geng'tang'fang 桔梗汤方
'jie'geng'tang'zhu'zhi 桔梗汤主之
'jie'han'wei'dong 结寒微动
'jie'jie'zhuang'ru'yao'zhe 洁洁状如摇者
'jie'si 皆死
'jie'wei'lao'de'zhi 皆为劳得之
'jie'wei'zheng'bing 结为症病
'jie'yi'si 皆疫死
'jie'zai'bang'tai'ye 结在膀肽也
'jie'zai'guan'yuan 结在关元
'jie'zhi'fang 解之方
'jie'zhu'zhi 皆主之
'jin'bing'zhe'jing'er'fu'shi'fan 今病者静而复时烦
'jin'chuang'chan'fu 金疮产妇
'jin'fan'bu'ke 今反不渴
'jin'fan'bu'ke'zhe 今反不渴者
'jin'fan'bu'li 今反不利
'jin'fan'jin 今反紧
'jin'fan'shu 今反数
'jin'mai'fan'xian 今脉反弦
'jin'qi'bu'xing 金气不行
'jin'qu'ze 紧去则
'jin'ren'bing'lin'li'han're'bing 今人病淋沥寒热病
'jin'shang'ze'huan 筋伤则缓
'jin'sheng'leng'hua'chou'deng'shi 禁生冷滑臭等食
'jin'tang'li'ming'zhong 浸汤沥明中
'jin'wei'han 紧为寒
'jin'yang'xu'zhi'zai'shang'jiao 今阳虚知在上焦
'jin'ye'bu'sheng 津液不生
'jin'yi'qie'yu'rou'da'suan 禁一切鱼肉大蒜
'jin'yi'tun'zhi 尽以吞之
'jin'yin'chuang 浸淫疮
'jin'ze'bu'yu'shi 紧则不欲食
'jin'ze'wei'han 紧则为寒
'jin'ze'wei'tong 紧则为痛
'jin'zhi'ze'tong'ju 近之则痛剧
'jin'zi 今自
'jing'bing'ye 痉病也
'jing'bing'you'jiu'chuang 痉病有灸疮
'jing'duan'wei'ji'san'yue 经断未及三月
'jing'hou'bu'yun 经候不匀
'jing'leng 胫冷
'jing'luo'shou'xie 经络受邪
'jing'qi'qing'leng 精气清冷
'jing'ri'bu'yu'yin'shi 经日不欲饮食
'jing'shi'he'bing'mai'zheng'di'er 痉湿喝病脉证第二
'jing'shui'shi'duan 经水适断
'jing'shui'shi'lai 经水适来
'jing'wei'xue 经为血
'jing'xiang'qiang'ji 颈项强急
'jing'yi'yue'zai'jian'zhe 经一月再见者
'jing'yue'xu'xu'shi'shi 经曰虚虚实实
'jiu'bu 久不
'jiu'bu'shou'tai 久不受胎
'jiu'cheng'fei'yong 久成肺痈
'jiu'cheng'zheng'bing 久成症病
'jiu'ci'zhu'yao'bu'neng'zhi 灸刺诸药不能治
'jiu'dan 酒疸
'jiu'dan'xia'zhi 酒疸下之
'jiu'fu'fang'cun'bi 酒服方寸匕
'jiu'fu'yi'qian'bi 酒服一钱匕
'jiu'he 酒和
'jiu'huang'dan 酒黄疸
'jiu'huang'dan'zhe 酒黄疸者
'jiu'jiu'bi'shen'mu'run 久久必身目闰
'jiu'jiu'de'zhi 久久得之
'jiu'jiu'fa'huang'wei'gu'dan 久久发黄为谷疸
'jiu'jiu'qi'shen'bi'jia'cuo 久久其身必甲错
'jiu'jiu'tu'nong'ru'mi'zhou'zhe 久久吐脓如米粥者
'jiu'jiu'wei'hei'dan 久久为黑疸
'jiu'ke'shu'sui 久咳数岁
'jiu'ni'si'fang 救溺死方
'jiu'qi'he'shang'ge'yi'zhuang 灸其核上各一壮
'jiu'shi'xiao'dou 久食小豆
'jiu'shou'zu'liang'zhao'hou'shi'si'zhuang'le 灸手足两爪后十四壮了
'jiu'tong'wan'zhi'jiu'zhong'xin'tong 九痛丸治九种心痛
'jiu'wei'jia'lai 久为痂癞
'jiu'xiao'er'zu'si'er'tu'li 救小儿卒死而吐利
'jiu'yi'ran 韭亦然
'jiu'ze 久则
'jiu'ze'lei'shou 久则羸瘦
'jiu'zhi'bu'wen 灸之不温
'jiu'zi'yi'si 救自缢死
'jiu'zu'si 救卒死
'jiu'zu'si'er'mu'bi'zhe'fang 救卒死而目闭者方
'jiu'zu'si'er'si'zhi'bu'shou 救卒死而四肢不收
'jiu'zu'si'er'zhang'kou'fan'zhe'zhe'fang 救卒死而张口反折者方
'jiu'zu'si'er'zhuang're'zhe'fang 救卒死而壮热者方
'jiu'zu'si'fang 救卒死方
'ju'ji 拘急
'ju'pi 橘皮
'ju'pi'tang'fang 橘皮汤方
'ju'pi'tang'zhu'zhi 橘皮汤主之
'ju'pi'yi'liang'da'huang'er'liang'po'xiao'er'liang 橘皮一两大黄二两朴硝二两
'ju'pi'zhu'ru'tang'fang 橘皮竹茹汤方
'ju'pi'zhu'ru'tang'zhu'zhi 橘皮竹茹汤主之
'ju'you'duo'shi 橘柚多食
'ju'zhe 聚者
'ju'zhe'bu'neng'shi 剧者不能食
'ju'zhe'xin'tong'che'bei 剧者心痛彻背
'ju'zhe'zai'nei'zhi 剧者再内之
'ju'zhi'jiang'tang'fang 橘枳姜汤方
'ju'zhi'jiang'tang'yi'zhu'zhi 橘枳姜汤亦主之
'jue'di'shen'san'chi 掘地深三尺
'jue'er'bi'mao 厥而必冒
'jue'er'pi'shui'zhe 厥而皮水者
'jue'yang'du'xing 厥阳独行
'jue'yin'zhi'wei'bing 厥阴之为病
'jun'yang'juan'ji'chi'se'zhe'bu'ke'shi 菌仰卷及赤色者不可食
'ke'bu'cha'zhe 渴不差者
'ke'er'bu'e'han'zhe 渴而不恶寒者
'ke'er'chuan 咳而喘
'ke'er'mai'fu'zhe 咳而脉浮者
'ke'er'shang'qi 咳而上气
'ke'er'xia'li 渴而下利
'ke'er'xiong'man 咳而胸满
'ke'fan'xiong'zhong'tong'zhe 咳烦胸中痛者
'ke'ji'xiong'zhong'yin'yin'tong 咳即胸中隐隐痛
'ke'jia'qi'mai'xian 咳家其脉弦
'ke'man'ji'zhi 咳满即止
'ke'ni'shang'qi 咳逆上气
'ke'ni'yi'xi 咳逆倚息
'ke'qi'xie'feng 客气邪风
'ke'shang'qi'chuan'hui'yan'chang'ming'zhang'man'xin'tong'ju'ji 咳上气喘哕咽肠鸣胀满心痛拘急
'ke'shao'yu'gui'zhi'tang'ji'zhou'qing 可少与桂枝汤及粥清
'ke'sou'ze'zhe'yi 咳嗽则辄已
'ke'tuo'nong'xue 咳唾脓血
'ke'tuo'yin'tong 咳唾引痛
'ke'wu'si 客忤死
'ke'xi'zhang'kou 咳息张口
'ke'xia'zhi 可下之
'ke'yin'shui 渴饮水
'ke'yu'de'shui'er'tan'yin'zhe 渴欲得水而贪饮者
'ke'yu'de'yin'er'bu'neng'yin 渴欲得饮而不能饮
'ke'yu'ma'huang'jia'shu'tang 可与麻黄加术汤
'ke'yu'ma'huang'xing'ren'yi'yi'gan'cao'tang 可与麻黄杏仁薏苡甘草汤
'ke'yu'yang'dan'tang 可与阳旦汤
'ke'yu'yin'shui 渴欲饮水
'ke'yu'yin'shui'bu'zhi'zhe 渴欲饮水不止者
'ke'zhe'wei'yu'jie 渴者为欲解
'ke'zhi 可治
'ke'zhi 咳止
'kong'ci'dang'yan'yin'qi'sheng'gu'ye 恐此当言阴气盛故也
'kong'ci'wu'leng 恐此物冷
'kong'shang'hun'ye 恐伤魂也
'kou'bu'bi 口不闭
'kou'bu'neng'yan 口不能言
'kou'gan'chuan'man 口干喘满
'kou'gan'da'ke 口干大渴
'kou'gan'she'zao'zhe 口干舌燥者
'kou'gan'zao'er'ke 口干燥而渴
'kou'jin'bu'de'yu 口噤不得语
'kou'jin'niu'bu'kai 口噤拗不开
'kou'kai 口开
'kou'ku 口苦
'kou'she'gan'zao 口舌干燥
'kou'tu'dan 口吐诞
'kou'zao 口燥
'kou'zao'er'chuan 口燥而喘
'kou'ze'wei'xu 芤则为虚
'ku'ji 苦极
'ku'jiu'yi'sheng 苦酒一升
'ku'leng'zhe'si 苦冷者死
'ku'lian'wu'zi'zhe'sha'ren 苦练无子者杀人
'ku'shen'tang'fang 苦参汤方
'ku'shen'tang'xi'zhi 苦参汤洗之
'ku'xie'xiang'bo 枯泄相搏
'kuai'shi'zhi 鲙食之
'kui'xin'bu'ke'shi 葵心不可食
'kui'zi'fu'ling'san'fang 葵子茯苓散方
'kui'zi'fu'ling'san'zhu'zhi 葵子茯苓散主之
'kun'wei 困萎
'lan'ren'qi 烂人脐
'lang'ya'san'liang 狼牙三两
'lang'ya'tang'fang 狼牙汤方
'lang'ya'tang'xi'zhi 狼牙汤洗之
'lao'ze'rong'qi'jie 劳则荣气竭
'lao'zhi'wei'bing 劳之为病
'lei'ming'qie'tong 雷鸣切痛
'lei'zhe'jian'zhi 羸者减之
'leng'shi'zi'neng'zhu'yao'li 冷食自能助药力
'leng'yin'che'tong 冷阴掣痛
'li'bu'jin 利不禁
'li'bu'ke'duo'shi 李不可多食
'li'bu'ke'duo'shi 梨不可多食
'li'fan'kuai 利反快
'li'han'wai're 里寒外热
'li'ji'yu'shui'chi 利及浴水赤
'li'jie'feng 历节风
'li'jie'huang'han'chu 历节黄汗出
'li'jie'nan'liao 例皆难疗
'li'jie'teng 历节疼
'li'li'you'sheng 沥沥有声
'li'lu'gan'cao'tang'fang 藜芦甘草汤方
'li'lu'gan'cao'tang'zhu'zhi 藜芦甘草汤主之
'li'qi 立起
'li'qu'yu'zhi 利去欲止
'li'rang'zhu'zhi 黎穰煮汁
'li'shui 里水
'li'shui'zhe 里水者
'li'xia'rou'fang 利下肉方
'li'xiao 立效
'li'xu'ye 里虚也
'li'yu'bu'ke'he'quan'rou'shi'zhi 鲤鱼不可合犬肉食之
'li'yu'zha'bu'ke'he'xiao'dou'huo'shi'zhi 鲤鱼鲊不可合小豆藿食之
'li'zhe 理者
'li'zhi'ji 利之即
'lian'mi'he'wan'zao'he'da 炼蜜和丸枣核大
'liang'bi'bu'ju 两臂不举
'liang'duo'shao 量多少
'liang'jing'zi'leng 两胫自冷
'liang'mu'an'hei 两目黯黑
'liang'qu'teng'tong 两胠疼痛
'liang're'suo'de 两热所得
'liang'xie'tong 两胁痛
'liang'zhong'fan'luan 两种烦乱
'liao'duo'shi 蓼多食
'liao'he'sheng'yu'shi'zhi 蓼和生鱼食之
'liao'zhi'fang 疗之方
'lin'jia'bu'ke'fa'han 淋家不可发汗
'lin'qin'bu'ke'duo'shi 林檎不可多食
'lin'zhi'wei'bing 淋之为病
'ling'cong'chi'jian'de'ru 令从齿间得入
'ling'gan'wu'wei'jia'jiang'xin'ban'xia'xing'ren'tang'fang 苓甘五味加姜辛半夏杏仁汤方
'ling'gan'wu'wei'jia'jiang'xin'ban'xing'da'huang'tang'fang 苓甘五味加姜辛半杏大黄汤方
'ling'gan'wu'wei'jiang'xin'tang'fang 苓甘五味姜辛汤方
'ling'gui'shu'gan'tang'fang 苓桂术甘汤方
'ling'gui'shu'gan'tang'zhu'zhi 苓桂术甘汤主之
'ling'mai'he 令脉和
'ling'mei'huai 令没踝
'ling'neng'shi 令能食
'ling'ren'bai'mai'ruo 令人百脉弱
'ling'ren'bing 令人病
'ling'ren'bing'zeng 令人病增
'ling'ren'chang'jie 令人肠结
'ling'ren'dong'tan'yin 令人动痰饮
'ling'ren'duo'qi 令人夺气
'ling'ren'duo'ti'tuo 令人多涕唾
'ling'ren'duo'wang 令人多忘
'ling'ren'fa'chuang 令人发疮
'ling'ren'fa'qi'li 令人乏气力
'ling'ren'fu'zhong'sheng'chong 令人腹中生虫
'ling'ren'han'zhong 令人寒中
'ling'ren'jin'jia'suo 令人筋甲缩
'ling'ren'kou'shuang 令人口爽
'ling'ren'ku'zao 令人枯燥
'ling'ren'kuang'luan 令人狂乱
'ling'ren'lu'zhang 令人胪胀
'ling'ren'mian'fa'huang 令人面发黄
'ling'ren'mian'sheng'you'feng 令人面生游风
'ling'ren'mian'wu'guang 令人面无光
'ling'ren'qi'qiao'jing'nian'liu'xue 令人七窍经年流血
'ling'ren'qi'zhang 令人气胀
'ling'ren'qiang'zhuang'yi 令人强壮宜
'ling'ren're'ke 令人热渴
'ling'ren'shi'gan 令人嗜甘
'ling'ren'shou 令人瘦
'ling'ren'tu'xian 令人吐涎
'ling'ren'xiao'shuo'tuo'rou 令人消铄脱肉
'ling'ren'xin'men 令人心闷
'ling'ren'xin'tong 令人心痛
'ling'ren'xue'jia 令人血瘕
'ling'ren'yi'gui'xie'zhe'she'xia 令人以桂屑着舌下
'ling'ren'yin'shi'bu'hua 令人饮食不化
'ling'ru'hou 令濡喉
'ling'wen 令温
'ling'yang'wei'ge'qi'xu 令阳微膈气虚
'ling'yao'li'xing 令药力行
'ling'zhong'shen'bu 令终身不
'ling'zi'qing'mang 令子青盲
'ling'zi'wu'sheng'yin 令子无声音
'ling'zi'yin'luan'wu'chi 令子淫乱无耻
'ling'zi'yu'zhi 令子余指
'liu'chu'rou 六畜肉
'liu'chu'zi'si 六畜自死
'liu'jia'ri 六甲日
'liu'qi'jie'zai'xiong 留气结在胸
'liu'shi'ri'nai 六十日乃
'liu'yin'zhe 留饮者
'liu'yue'qi'yue'wu'shi'zhu'yu 六月七月勿食茱萸
'liu'zhu'xin'xiong'tong 流主心胸痛
'long'dai'jing'ru'qin'cai'zhong 龙带精入芹菜中
'lou'pu 漏脯
'lou'xia'hei'bu'jie 漏下黑不解
'lu'gen'zhu'zhi 芦根煮汁
'lu'rou'bu'ke'he'pu'bai'zuo'geng 鹿肉不可和蒲白作羹
'lun'yue'bai'he'bing'zhe 论曰百合病者
'luo'di'bu'zhao'chen'tu'zhe 落地不着尘土者
'luo'ma'zhui'che'xue'ji'deng 落马坠车血疾等
'luo'mai'kong'xu 络脉空虚
'lv'ma'rou 驴马肉
'ma'an'xia'rou 马鞍下肉
'ma'bian'cao 马鞭草
'ma'gan'ji'mao'bu'ke'wang'shi 马肝及毛不可妄食
'ma'huang'chun'jiu'tang 麻黄醇酒汤
'ma'huang'fa'qi'yang'gu'ye 麻黄发其阳故也
'ma'huang'fu'zi'tang'fang 麻黄附子汤方
'ma'huang'jia'shu'tang'fang 麻黄加术汤方
'ma'huang'xing'ren'yi'yi'gan'cao'tang'fang 麻黄杏仁薏苡甘草汤方
'ma'jiao'wu'ye'yan'zhe 马脚无夜眼者
'ma'rou'bu'ke're'shi 马肉不可热食
'ma'rou'rou'gong'shi'bao 马肉肉共食饱
'ma'zi'ren'wan'fang 麻子仁丸方
'ma'zi'ren'wan'zhu'zhi 麻子仁丸主之
'mai'bu'hai'zhe'si 脉不还者死
'mai'chen 脉沉
'mai'chen'er'xi'zhe 脉沉而细者
'mai'chen'er'xian'zhe 脉沉而弦者
'mai'chen'xian'zhe'nv 脉沉弦者衄
'mai'chen'xiao'chi 脉沉小迟
'mai'chen'zhe 脉沉者
'mai'chen'zhe'yi'ma'huang'fu'zi'tang 脉沉者宜麻黄附子汤
'mai'chi'er'hua'zhe 脉迟而滑者
'mai'chi'gu'ye 脉迟故也
'mai'chi'zhe 脉迟者
'mai'chu'zuo 脉出左
'mai'da'er'jin'zhe 脉大而紧者
'mai'da'wei'lao 脉大为劳
'mai'da'zhe 脉大者
'mai'de'zhu'chen 脉得诸沉
'mai'de'zhu'kou'dong'wei'jin 脉得诸芤动微紧
'mai'dong'er'wu'qi 脉动而无气
'mai'fan'chen'chi 脉反沉迟
'mai'fan'hua'shu 脉反滑数
'mai'fan'hua'zhe 脉反滑者
'mai'fu 脉伏
'mai'fu 脉浮
'mai'fu'bu'ke 脉浮不渴
'mai'fu'da'zhe 脉浮大者
'mai'fu'er'hong 脉浮而洪
'mai'fu'er'jin 脉浮而紧
'mai'fu'er'shu 脉浮而数
'mai'fu'er'xi'hua 脉浮而细滑
'mai'fu'fa're 脉浮发热
'mai'fu'shen'zhong 脉浮身重
'mai'fu'shen'zhong'han'chu'e'feng'zhe 脉浮身重汗出恶风者
'mai'fu'wei'zai'biao 脉浮为在表
'mai'fu'xu'er'se'zhe 脉浮虚而涩者
'mai'fu'zhe 脉浮者
'mai'ge'yi'yuan 脉各异源
'mai'hong'shu'zhe 脉洪数者
'mai'ji'xu'kou'chi 脉极虚芤迟
'mai'jie'ji 脉结悸
'mai'jin 脉紧
'mai'jin'da'er'chi'zhe 脉紧大而迟者
'mai'jin'er'se 脉紧而涩
'mai'jin'ji 脉紧急
'mai'jin'ru'zhuan'suo'wu'chang'zhe 脉紧如转索无常者
'mai'liang'chu 脉两出
'mai'men'dong'tang'fang 麦门冬汤方
'mai'men'dong'tang'zhu'zhi 麦门冬汤主之
'mai'nai'shu 脉乃数
'mai'pian'xian'zhe'yin'ye 脉偏弦者饮也
'mai'ru'gu 脉如故
'mai'ruo'zhe 脉弱者
'mai'shang'xia'xing 脉上下行
'mai'shu 脉数
'mai'shu'er'hua'zhe'shi'ye 脉数而滑者实也
'mai'shu'wu'chuang 脉数无疮
'mai'shu'xian'zhe 脉数弦者
'mai'shu'xu'zhe'wei'fei'wei 脉数虚者为肺痿
'mai'shuang'xian'zhe'han'ye 脉双弦者寒也
'mai'tuo 脉脱
'mai'wei'da'lai'chi 脉微大来迟
'mai'wei'er'shu 脉微而数
'mai'wei'ruo'shu'zhe 脉微弱数者
'mai'xian'er'da 脉弦而大
'mai'xian'er'jin 脉弦而紧
'mai'xian'fa're 脉弦发热
'mai'xian'shu'zhe 脉弦数者
'mai'xian'zhe'xu'ye 脉弦者虚也
'mai'xu'duo'han 脉虚多寒
'mai'xu'ruo'xi'wei'zhe 脉虚弱细微者
'mai'zhi 脉之
'mai'zhi'bu'yan'shui 脉之不言水
'mai'zi'chen 脉自沉
'man'chuan'ke'tu 满喘咳吐
'mao'er'zhong'zhang 冒而肿胀
'mao'fa'xiang'hou'shun'zhe 毛发向后顺者
'mao'jia'yu'jie 冒家欲解
'mao'mei'bu'zhi'tong'chu 冒昧不知痛处
'mao'wu'lou'xia 茅屋漏下
'mao'zhe'bi'ou 冒者必呕
'mei'duo'shi 梅多食
'mei'fu'ren'ru'zhi'yi'liang 每服人乳汁亦良
'mei'li'guo'shi'zhi 梅李果食之
'mei'ni'shi'tou'tong'zhe 每溺时头痛者
'men'luan'yu'si 闷乱欲死
'meng'shi'jing 梦失精
'meng'yuan'xing'er'jing'shen'li'san 梦远行而精神离散
'mi'bu'ke'shi 弥不可食
'mi'he'wan'yi'jia 蜜和丸亦佳
'mi'qi'gai'zhi 密器盖之
'mi'qi'zhong'zhu'zhi 密器中贮之
'mi'zhi'ji'mei'li'zi 麋脂及梅李子
'mi'zhou'zi'yang 糜粥自养
'mian'chi 面赤
'mian'chi'ban'ban'ru'jin'wen 面赤斑斑如锦文
'mian'fan'shou 面反瘦
'mian'fu'zhong 面浮肿
'mian'guo'nei'zhi 绵裹内之
'mian'huang'er'chuan 面黄而喘
'mian'mu'fu'zhong 面目浮肿
'mian'mu'qing 面目青
'mian'mu'shen'ti'si'zhi'jie'zhong 面目身体四肢皆肿
'mian'mu'shou'zu'fu'zhong 面目手足浮肿
'mian'mu'xian'ze 面目鲜泽
'mian'mu'zhong'da 面目肿大
'mian'se'bai 面色白
'mian'se'li'hei 面色黧黑
'mian'zheng'chi 面正赤
'ming'feng'shi 名风湿
'ming'jiao'long'bing 名蛟龙病
'ming'mu'chen 名目沉
'ming'ren'shen 名妊娠
'ming'ri'geng'jia'ban'qian 明日更加半钱
'ming'tuo'qi 名脱气
'ming'yang'xuan'jin 名羊悬筋
'ming'yue'dan'nue 名曰瘅疟
'ming'yue'duan'xie 名曰断泄
'ming'yue'feng'shui 名曰风水
'ming'yue'fu 名曰伏
'ming'yue'gang'jing 名曰刚痉
'ming'yue'gu'dan 名曰谷疸
'ming'yue'jing 名曰痉
'ming'yue'jiu'dan 名曰酒疸
'ming'yue'ku 名曰枯
'ming'yue'mu'nue 名曰牡疟
'ming'yue'nue'mu 名曰疟母
'ming'yue'nv'lao'dan 名曰女劳疸
'ming'yue'qi'fen 名曰气分
'ming'yue'rou'jing 名曰柔痉
'ming'yue'shui 名曰水
'ming'yue'shui'ni 名曰水逆
'ming'yue'wei'fan 名曰胃反
'ming'yue'xie 名曰泄
'ming'yue'xue'fen 名曰血分
'mo'bing'yin'yao'zhe 摩病引腰者
'mo'chu 沫出
'mo'ling'xie 莫令歇
'mo'mo'yu'mian 默默欲眠
'mo'zhi 末之
'mu'bu'de'bi 目不得闭
'mu'chi 目赤
'mu'er'chi'se 木耳赤色
'mu'fang'ji'qu'shi'gao'jia'fu'ling'mang'xiao'tang'fang 木防己去石膏加茯苓芒硝汤方
'mu'fang'ji'tang'zhu'zhi 木防己汤主之
'mu'fang'yi'tang'fang 木防已汤方
'mu'ji'fa're 暮即发热
'mu'jing'hui'le 目睛慧了
