'an'jian 案件
'xing'zheng'xing'wei 行政行为
'xing'zheng'xu'ke'fa 行政许可法
'xing'zheng'zhi'fa 行政执法
'xing'zheng'zhi'fa'guo'cuo'ze'ren'zhui'jiu'ban'fa 行政执法过错责任追究办法
'xing'zheng'zhi'fa'ping'yi 行政执法评议
'xing'zheng'zhi'fa'ping'yi'kao'he'ban'fa 行政执法评议考核办法
'xing'zheng'zhi'fa'ti'xi 行政执法体系
'xing'zheng'zhi'fa'ze'ren'zhi 行政执法责任制
'xing'zheng'zhi'fa'zhu'ti 行政执法主体
'xing'zhi 性质
'xiu'ding 修订
'xu'jia'chu'zi 虚假出资
'xu'ke 许可
'xu'qiu 需求
'xu'yao 需要
'xu'zhi 须知
'xuan'ba 选拔
'xue'xi 学习
'xue'xiao 学校
'xun'cha 巡查
'xun'lian 训练
'xun'su 迅速
'ya'suo'kai'zhi 压缩开支
'yan'ba 严把
'yan'cao'guang'gao 烟草广告
'yan'ge 严格
'yan'ge'jian'guan 严格监管
'yan'jin 严谨
'yan'jiu 研究
'yan'jiu'kai'fa 研究开发
'yan'li'da'ji 严厉打击
'yan'li'da'ji'wei'fa'guang'gao'xing'wei 严厉打击违法广告行为
'yan'shen 延伸
'yan'shi 演示
'yan'shi'pian 演示片
'yan'su'cha'chu 严肃查处
'yan'zi 验资
'yan'zi'bao'gao 验资报告
'yang'guang 阳光
'yang'guang'gong'shang 阳光工商
'yang'guang'zheng'fu 阳光政府
'yao'pin 药品
'yao'qiu 要求
'ye'hu 业户
'ye'shi 也是
'ye'wan 夜晚
'ye'wu 业务
'ye'wu'guo'ying 业务过硬
'ye'wu'ruan'jian 业务软件
'ye'wu'xi'tong 业务系统
'ye'zai 也在
'yi'ba'shou 一把手
'yi'bing 一并
'yi'bu 一步
'yi'chang 一场
'yi'cheng'wei 已成为
'yi'ci 一次
'yi'ci'chong'hao 以次充好
'yi'di 异地
'yi'dian'dai'mian 以点带面
'yi'ding 一定
'yi'dong 移动
'yi'dong'zhi'fa'che 移动执法车
'yi'fa 依法
'yi'fa'lv'xing'zhi'ze 依法履行职责
'yi'fa'xing'zheng 依法行政
'yi'fen 一份
'yi'ge 一个
'yi'han 遗憾
'yi'hao 一号
'yi'hao'gong'cheng 一号工程
'yi'hao'tong 一号通
'yi'he 一核
'yi'hui'liang'zhan 一会两站
'yi'ji 以及
'yi'ji'du 一季度
'yi'ji'yi'ji 一级一级
'yi'jia'chong'zhen 以假充真
'yi'jian 一键
'yi'jian 意见
'yi'jiao 移交
'yi'jing 已经
'yi'ju 依据
'yi'ke'xue 以科学
'yi'ke'xue'fa'zhan'guan'tong'ling'quan'ju 以科学发展观统领全局
'yi'liao'guang'gao 医疗广告
'yi'min'wei'ben 以民为本
'yi'nian 一年
'yi'pi 一批
'yi'pian 一篇
'yi'qi 一起
'yi'qi 一期
'yi'qian 以前
'yi'qie'fu'wu'ren'min 一切服务人民
'yi'qie'wei'le'ren'min 一切为了人民
'yi'ran 依然
'yi'ren'wei'ben 以人为本
'yi'shang 以上
'yi'shang'de 以上的
'yi'shen 一审
'yi'shi 遗失
'yi'shi 一是
'yi'shi 意识
'yi'shi'liang'fen 一式两份
'yi'tao 一套
'yi'ti 一体
'yi'tuo 依托
'yi'wai 以外
'yi'wei 以为
'yi'xia 一下
'yi'xiang 一项
'yi'yang 一样
'yi'yu 已于
'yi'zhi 一支
'yi'zhi 一直
'yi'zhong 一种
'yin'dao'ge'ti'si'ying'jing'ji 引导个体私营经济
'yin'hang 银行
'yin'huan 隐患
'yin'jian 印鉴
'yin'jin 引进
'yin'pin 音频
'yin'ru 引入
'yin'ru'le 引入了
'yin'su 因素
'yin'wu 印务
'yin'yin 隐隐
'yin'yue 音乐
'yin'zhi 印制
'ying'da 应答
'ying'de 赢得
'ying'dui'chu'zhi 应对处置
'ying'fu 赢富
'ying'ji 应急
'ying'ji'chu'zhi 应急处置
'ying'ji'chu'zhi'tu'fa'wen'ti 应急处置突发问题
'ying'ji'zhi'hui 应急指挥
'ying'jian 硬件
'ying'kou 营口
'ying'kou'shi 营口市
'ying'kou'shi'gong'shang'xing'zheng'guan'li'ju 营口市工商行政管理局
'ying'kou'shi'ju 营口市局
'ying'kou'shi'nei 营口市内
'ying'pan 硬盘
'ying'shi 影视
'ying'xiang 影响
'ying'xiang'li 影响力
'ying'ye 营业
'ying'ye'chang'suo 营业场所
'ying'ye'dan'wei 营业单位
'ying'ye'qi'xian 营业期限
'ying'ye'zhi'zhao 营业执照
'ying'ye'zhi'zhao'fu'ben 营业执照副本
'ying'ye'zhi'zhao'zheng'ben 营业执照正本
'ying'yong 应用
'ying'yong'le 应用了
'ying'yong'shui'ping 应用水平
'ying'yu 英语
'ying'zao 营造
'yong'xin'jin 用心进
'you'guan 有关
'you'hao 有好
'you'hao'you'kuai 又好又快
'you'hao'you'kuai'fa'zhan 又好又快发展
'you'hua 优化
'you'huan'yi'shi 忧患意识
'you'ji 邮寄
'you'ji 有机
'you'kong 有空
'you'kuai 又快
'you'lai 由来
'you'li 有力
'you'li'de 有力地
'you'li'yu 有利于
'you'pan 优盘
'you'qi'shi 尤其是
'you'shi 优势
'you'shi 又是
'you'shi 有事
'you'su 有素
'you'suo 有所
'you'xi 游戏
'you'xian'ze'ren 有限责任
'you'xian'ze'ren'gong'si 有限责任公司
'you'xiao 有效
'you'xiao'de 有效地
'you'xiao'tu'jing 有效途径
'you'xie 有些
'you'xu 有序
'you'xu'kai'zhan 有序开展
'you'yi 又一
'you'yi 有益
'you'yong 有用
'you'zhen'dui'xing 有针对性
'you'zhi 优质
'yu'ce 预测
'yu'he 预核
'yu'jing 预警
'yu'jing'ji'zhi 预警机制
'yu'qi 预期
'yu'qi'xiao'guo 预期效果
'yu'yi 予以
'yu'yin 语音
'yu'zhi 与之
'yuan'cheng 远程
'yuan'jian 原件
'yuan'lai 原来
'yuan'mei 原煤
'yuan'yin 原因
'yue'du'qi 阅读器
'yue'lai'yue'gao 越来越高
'yue'shu 约束
'yun'qi 运气
'yun'xing 运行
'yun'xing'ji'zhi 运行机制
'yun'yong 运用
'yun'zuo 运作
'za'luan 杂乱
'za'luan'wen'dang 杂乱文档
'za'wen 杂文
'za'zhi 杂志
'zai'ci'ji'chu'shang 在此基础上
'zai'du 再度
'zai'jian 再见
'zai'jiu'ye 再就业
'zai'jiu'ye'pei'xun'dian 再就业培训点
'zai'ti 载体
'zan'xing 暂行
'zan'zhu'shang 赞助商
'zao'shang 早上
'zao'zai 早在
'ze'ren 责任
'ze'ren'yi'shi 责任意识
'ze'ren'zhong'da 责任重大
'ze'ye'guan'nian 择业观念
'zeng'fa 增发
'zeng'jia 增加
'zeng'jia'le 增加了
'zeng'qiang 增强
'zeng'qiang'le 增强了
'zhan'kai 展开
'zhan'lue 战略
'zhan'shi 展示
'zhan'wang 展望
'zhan'xian 展现
'zhang'shang 掌上
'zhao'dao'le 找到了
'zhao'pian 照片
'zhao'zhun 找准
'zhe'ci 这次
'zhe'ge 这个
'zhe'jian'shi 这件事
'zhe'pi 这批
'zhe'shi 这是
'zhe'tao 这套
'zhe'xia 这下
'zhe'xiang 这项
'zhe'yang 这样
'zhen'dui 针对
'zhen'dui'xing 针对性
'zhen'han 震撼
'zhen'shi'xing 真实性
'zhen'xing 振兴
'zheng'ben 正本
'zheng'ce'ai'nong 政策爱农
'zheng'ce'cuo'shi 政策措施
'zheng'ce'yin'dao 政策引导
'zheng'ce'zhi'chi 政策支持
'zheng'dun 整顿
'zheng'feng'hang'feng'ping'yi 政风行风评议
'zheng'fu 政府
'zheng'fu'wang'zhan 政府网站
'zheng'fu'xin'xi'gong'kai 政府信息公开
'zheng'ge 整个
'zheng'he 整合
'zheng'jian 证件
'zheng'ming 证明
'zheng'que 正确
'zheng'shi 正式
'zheng'shi 正是
'zheng'ti 整体
'zheng'ti'shui'ping 整体水平
'zheng'wen 正文
'zheng'wu 政务
'zheng'wu'gong'kai 政务公开
'zheng'wu'gong'zuo 政务工作
'zheng'wu'gong'zuo 正务工作
'zheng'zhao 证照
'zheng'zhi'guo'ying 政治过硬
'zheng'zhi'su'zhi 政治素质
'zhi'ban 值班
'zhi'biao'ti'xi 指标体系
'zhi'cheng 支撑
'zhi'cheng'ping'tai 支撑平台
'zhi'cheng'xia 支撑下
'zhi'chi 支持
'zhi'chu 之初
'zhi'chuang 之窗
'zhi'dao 指导
'zhi'dao 知道
'zhi'dao'yi'jian 指导意见
'zhi'ding 制定
'zhi'ding 指定
'zhi'ding'chu'tai 制定出台
'zhi'ding'le 制订了
'zhi'du 制度
'zhi'du'hua 制度化
'zhi'fa 执法
'zhi'fa'an'jian 执法案件
'zhi'fa'ban'an 执法办案
'zhi'fa'ban'an'neng'shou 执法办案能手
'zhi'fa'fu'wu 执法服务
'zhi'fa'jian'cha 执法检查
'zhi'fa'jian'du 执法监督
'zhi'fa'lian'dong 执法联动
'zhi'fa'mo'shi 执法模式
'zhi'fa'neng'li 执法能力
'zhi'fa'ren'yuan 执法人员
'zhi'fa'shou'duan 执法手段
'zhi'fa'wei'quan 执法维权
'zhi'fa'xie'zuo'ji'zhi 执法协作机制
'zhi'fa'xing'wei 执法行为
'zhi'fa'yi'ju 执法依据
'zhi'gong 职工
'zhi'guan 直观
'zhi'hui 只会
'zhi'hui 指挥
'zhi'jian 之间
'zhi'jie 直接
'zhi'li 致力
'zhi'li 之力
'zhi'li 治理
'zhi'li'shang'ye'hui'lu 治理商业贿赂
'zhi'liang 质量
'zhi'lu 之路
'zhi'nan 指南
'zhi'nan'ka 指南卡
'zhi'neng 职能
'zhi'neng'kong'jian 职能空间
'zhi'neng'zhuan'bian 职能转变
'zhi'neng'zuo'yong 职能作用
'zhi'shi 只是
'zhi'shi 知识
'zhi'shi'chan'quan'bao'hu 知识产权保护
'zhi'xia 之下
'zhi'xing 执行
'zhi'xing'li 执行力
'zhi'xu 只需
'zhi'xu 秩序
'zhi'yue 制约
'zhi'ze 职责
'zhi'zhao 执照
'zhi'zheng 指正
'zhi'zheng'neng'li 执政能力
'zhi'zhi 直至
'zhong'da 重大
'zhong'da'yi'qing 重大疫情
'zhong'dian 重点
'zhong'guo'te'se'she'hui'zhu'yi 中国特色社会主义
'zhong'hua'ren'min'gong'he'guo 中华人民共和国
'zhong're'dian 重热点
'zhong'xin 中心
'zhong'yao 重要
'zhong'yao'xing 重要性
'zhong'yu 终于
'zhong'zhong'zhi'zhong 重中之重
'zhou'bo'hua 周伯华
'zhou'mo 周末
'zhu'ban 主办
'zhu'ban 主板
'zhu'bu 逐步
'zhu'bu'tui'jin 逐步推进
'zhu'ce 注册
'zhu'ce'deng'ji 注册登记
'zhu'ce'fei 注册费
'zhu'ce'hao 注册号
'zhu'dong 主动
'zhu'ming'shang'biao 著名商标
'zhu'suo 住所
'zhu'ti 主题
'zhu'ti 主体
'zhu'xiao 注销
'zhu'xiao'deng'ji 注销登记
'zhu'yao 主要
'zhu'yi 主义
'zhua'shou 抓手
'zhuan'bian 转变
'zhuan'le 转了
'zhuan'mai 专卖
'zhuan'men 专门
'zhuan'xiang 专项
'zhuan'xiang'zhi'li 专项治理
'zhuan'xing 转型
'zhuan'ye 专业
'zhuan'ye'ban 专业版
'zhuan'yi 转移
'zhuan'yong'zhang 专用章
'zhuang'bei 装备
'zhuang'da 壮大
'zhuang'kuang 状况
'zhun'bei 准备
'zhun'que 准确
'zhun'que'lv 准确率
'zhun'que'xing 准确性
'zhun'ru 准入
'zhun'ru'guan 准入关
'zhun'ze 准则
'zhuo'you'cheng'xiao 卓有成效
'zi'ben 资本
'zi'dong 自动
'zi'dong'hua 自动化
'zi'gong'si 子公司
'zi'ji 自己
'zi'jin 资金
'zi'jin'shu'e 资金数额
'zi'jue 自觉
'zi'liao 资料
'zi'lv 自律
'zi'ran'xian'xiang 自然现象
'zi'ti 字体
'zi'wo 自我
'zi'xi'tong 子系统
'zi'xun 咨询
'zi'xun'chuang'kou 咨询窗口
'zi'you'cai'liang 自由裁量
'zi'you'cai'liang'quan 自由裁量权
'zi'yuan 资源
'zong'he 总和
'zong'he 综合
'zong'he'jian'guan 综合监管
'zong'he'xing 综合性
'zong'he'zhi'fa 综合执法
'zong'ju 总局
'zong'shu 总数
'zou'ba 走吧
'zou'le 走了
'zou'si'fan'si 走私贩私
'zu'ai 阻碍
'zu'cheng'bu'fen 组成部分
'zu'zhi 组织
'zu'zhi'ji'gou 组织机构
'zu'zhi'ling'dao 组织领导
'zui'duan 最短
'zui'jin 最近
'zui'xin 最新
'zui'zhong 最终
'zuo'chu 作出
'zuo'da'zuo'qiang 做大做强
'zuo'dao 做到
'zuo'fan 做饭
'zuo'feng 作风
'zuo'feng'guo'ying 作风过硬
'zuo'feng'jian'she 作风建设
'zuo'hao 做好
'zuo'hao'gong'shang'xing'zheng'guan'li'gong'zuo 做好工商行政管理工作
'zuo'le 做了
'zuo'qiang'zuo'da 做强做大
'zuo'shi 做事
'zuo'shi 做实
'zuo'wei 作为
'zuo'ye 作业
'zuo'yong 作用
