'an'dian'niu'dian'han 按电钮点焊
'gu'ti'ji'guang'qi 固体激光器
'gu'ti'ran'liao'guo'lu 固体燃料锅炉
'gu'xiang'han'jie 固相焊接
'gu'xiang'ya'han 固相压焊
'gu'you'ying'bian'fa 固有应变法
'gu'you'ying'bian'qu 固有应变区
'gu'you'ying'li 固有应力
'gua'zha 挂渣
'guai'jiao'han 拐角焊
'guai'jiao'jie'tou 拐角接头
'guan'ban 管板
'guan'bi'hou'du 管壁厚度
'guan'chuan'dui'han 贯穿对焊
'guan'duan'jian'han'jie 管段间焊接
'guan'duan'qing'xie'du 管端倾斜度
'guan'han'jie'kuang'jia 管焊接框架
'guan'ji'dian'zha'han 管极电渣焊
'guan'kou'he'tong'ti'jian'han'feng 管口和筒体间焊缝
'guan'lu'han'jie 管路焊接
'guan'ping 管屏
'guan'shen'han'jie'ji 罐身焊接机
'guan'xian'han 管线焊
'guan'xing'han'jie 惯性焊接
'guan'xing'mo'ca'han 惯性摩擦焊
'guan'zhuang'han'jie'kuang'jia'shi'jiao'shou'jia 管状焊接框架式脚手架
'guan'zhuang'han'si'dian'hu'han 管状焊丝电弧焊
'guan'zhuang'han'tiao 管状焊条
'guan'zhuang'jie'gou 管状结构
'guan'zhuang'jie'tou 管状接头
'guan'zhuang'lian'jie 管状连接
'guan'zhuang'qi'kong 管状气孔
'guan'zhuang'qi'kong'dian'zha'han'huo'qi'dian'han 管状气孔电渣焊或气电焊
'guan'zhuang'qi'kong'yi'ban'xing 管状气孔一般性
'guan'zhuang'zhi'pin 管状制品
'guan'zi'yu'guan'ban'de'zhang'jie'huo'han'jie 管子与管板的胀接或焊接
'guan'zi'yu'guan'ban'ya'hu'han'jie 管子与管板氩弧焊接
'guang'dian'gen'zong'qie'ge'ji 光电跟踪切割机
'guang'han'si'dian'hu'han 光焊丝电弧焊
'guang'han'tiao 光焊条
'guang'rong'jie'tiao 光熔接条
'guang'shu'han'ji 光束焊机
'guang'shu'han'jie 光束焊接
'guang'shu'qian'han 光束钎焊
'gui'dao'han'jie 轨道焊接
'gui'duan'bu'han 轨端补焊
'gui'han'jie'zheng'liu'qi 硅焊接整流器
'gui'hu'han'zheng'liu'qi 硅弧焊整流器
'gui'ji'chong'fu'jing'du 轨迹重复精度
'gui'shu'zhi'you'qi 硅树脂油漆
'gun'dian'han 滚点焊
'gun'dong'shui'ping'han 滚动水平焊
'gun'han 滚焊
'gun'han'feng 滚焊缝
'gun'ji 滚极
'gun'lun'dian'ji 滚轮电极
'gun'shi'dian'feng'han'ji 辊式点缝焊机
'gun'shi'feng'han'ji 辊式缝焊机
'gun'ya'dian'zu'feng'han 滚压电阻缝焊
'gun'ya'han 滚压焊
'guo'du'pin'lv 过度频率
'guo'du'qu 过渡区
'guo'du'ye'xiang'kuo'san'han 过渡液相扩散焊
'guo'han 过焊
'guo'ji'han'jie'xue'hui 国际焊接学会
'guo'ke 锅壳
'guo'ke'shi'guo'lu 锅壳式锅炉
'guo'leng'fei'teng 过冷沸腾
'guo'liang'kong'qi'xi'shu 过量空气系数
'guo'lu'ben'ti 锅炉本体
'guo'lu'fan'wei'nei'guan'dao 锅炉范围内管道
'guo'lu'gai'zao 锅炉改造
'guo'lu'gou'jia 锅炉构架
'guo'lu'guan'shu 锅炉管束
'guo'lu'han'feng'jia'qiang 锅炉焊缝加强
'guo'lu'ji'zu 锅炉机组
'guo'lu'lu'qiang 锅炉炉墙
'guo'lu'qi'dong 锅炉启动
'guo'lu'qi'shui'xi'tong 锅炉汽水系统
'guo'lu're'li'ji'suan 锅炉热力计算
'guo'lu're'sun'shi 锅炉热损失
'guo'lu're'xiao'lv 锅炉热效率
'guo'lu'shou'ya'yuan'jian'qiang'du'ji'suan 锅炉受压元件强度计算
'guo'lu'shui'dong'li'ji'suan 锅炉水动力计算
'guo'lu'shui'xun'huan 锅炉水循环
'guo'lu'yan'feng'zu'li'ji'suan 锅炉烟风阻力计算
'guo're'qi 过热器
'guo're'qu 过热区
'guo're'zu'zhi 过热组织
'guo'shui 锅水
'guo'shui'nong'du 锅水浓度
'guo'tong 锅筒
'guo'tong'nei'bu'zhuang'zhi 锅筒内部装置
'guo'tong'qi'diao 锅筒起吊
'ha'han'si 铪焊丝
'hai'dian'hu'han 氦电弧焊
'hai'hu'han 氦弧焊
'hai'hu'han'fa 氦弧焊法
'hai'li'ya'ke'fa'han'jie 海利亚克法焊接
'hai'qi'bao'hu'han'jie 氦气保护焊接
'han'ba 焊把
'han'ba 焊疤
'han'bang 焊棒
'han'bo 焊波
'han'bu 焊补
'han'bu'lie'wen 焊部裂纹
'han'cai 焊材
'han'ceng 焊层
'han'che 焊车
'han'cheng 焊程
'han'chuan 焊穿
'han'dao 焊道
'han'dao'lie'wen 焊道裂纹
'han'dao'xia'lie'wen 焊道下裂纹
'han'dao'zong'xiang'wan'qu'shi'yan 焊道纵向弯曲试验
'han'dian'ju 焊点距
'han'dian'rong'he 焊点熔核
'han'fen 焊粉
'han'feng 焊封
'han'feng'ao'du 焊缝凹度
'han'feng'bei'dian 焊缝背垫
'han'feng'bei'mian 焊缝背面
'han'feng'bian'hao 焊缝编号
'han'feng'bian'jie 焊缝边界
'han'feng'bian'yuan 焊缝边缘
'han'feng'biao'mian 焊缝表面
'han'feng'biao'mian'bian'yuan 焊缝表面边缘
'han'feng'bo'wen 焊缝波纹
'han'feng'bu'qiang 焊缝补强
'han'feng'bu'qiang'jin'shu 焊缝补强金属
'han'feng'chang'du 焊缝长度
'han'feng'chen'dian 焊缝衬垫
'han'feng'cheng'xing 焊缝成形
'han'feng'cheng'xing'xi'shu 焊缝成形系数
'han'feng'chi'cun 焊缝尺寸
'han'feng'chi'cun'bu'dui 焊缝尺寸不对
'han'feng'dai'hao 焊缝代号
'han'feng'de 焊缝的
'han'feng'de'you'xiao'chang'du 焊缝的有效长度
'han'feng'de'yu'gao 焊缝的余高
'han'feng'dui'kou'cuo'bian'liang 焊缝对口错边量
'han'feng'fan'mian'jia'qiang 焊缝反面加强
'han'feng'fan'mian'po'kou 焊缝反面坡口
'han'feng'fu'hao 焊缝符号
'han'feng'fu'shi 焊缝腐蚀
'han'feng'gao'du 焊缝高度
'han'feng'gen'bu 焊缝根部
'han'feng'gen'bu'dun'bian 焊缝根部钝边
'han'feng'gen'bu'jian'xi 焊缝根部间隙
'han'feng'guan 焊缝管
'han'feng'he'ge 焊缝合格
'han'feng'hou'du 焊缝厚度
'han'feng'ji'hao 焊缝记号
'han'feng'ji'suan'hou'du 焊缝计算厚度
'han'feng'jia'hou 焊缝加厚
'han'feng'jia'qiang 焊缝加强
'han'feng'jian'ce'gui 焊缝检测规
'han'feng'jian'cha'gui 焊缝检查规
'han'feng'jian'ju 焊缝间距
'han'feng'jian'ruo'xi'shu 焊缝减弱系数
'han'feng'jiao'bian'xing 焊缝角变形
'han'feng'jie'guan 焊缝接管
'han'feng'jie'jing'xing'tai 焊缝结晶形态
'han'feng'jie'ju 焊缝接距
'han'feng'jie'mian 焊缝界面
'han'feng'jin'shu 焊缝金属
'han'feng'jin'shu'de'gong'cheng'la'shen'qiang'du 焊缝金属的公称拉伸强度
'han'feng'jin'shu'lie'wen 焊缝金属裂纹
'han'feng'jin'shu'lie'wen'shi'yan 焊缝金属裂纹试验
'han'feng'jin'shu'qu 焊缝金属区
'han'feng'jing'jian'fu'shi 焊缝晶间腐蚀
'han'feng'ju 焊缝距
'han'feng'ka'gui 焊缝卡规
'han'feng'kai'lie 焊缝开裂
'han'feng'kong'xi 焊缝孔隙
'han'feng'kuan'du 焊缝宽度
'han'feng'liang'gui 焊缝量规
'han'feng'lie'wen 焊缝裂纹
'han'feng'long'qi 焊缝隆起
'han'feng'mian 焊缝面
'han'feng'po'kou'gen'bu'ban'jing 焊缝坡口根部半径
'han'feng'po'kou'jia'gong 焊缝坡口加工
'han'feng'po'lie 焊缝破裂
'han'feng'qi'kong 焊缝气孔
'han'feng'qiang'du 焊缝强度
'han'feng'qing'jiao 焊缝倾角
'han'feng'qing'li'ji 焊缝清理机
'han'feng'qu 焊缝区
'han'feng'rong'fu 焊缝熔敷
'han'feng'rong'he'xian 焊缝熔合线
'han'feng'rong'shen 焊缝熔深
'han'feng'shen'kuan'bi 焊缝深宽比
'han'feng'shi'ji'hou'du 焊缝实际厚度
'han'feng'tu'du 焊缝凸度
'han'feng'tu'qi 焊缝凸起
'han'feng'wai'guan 焊缝外观
'han'feng'xian 焊缝线
'han'feng'xing'zhuang 焊缝形状
'han'feng'xing'zhuang'bu'dui 焊缝形状不对
'han'feng'xing'zhuang'xi'shu 焊缝形状系数
'han'feng'you'xiao'chang'du 焊缝有效长度
'han'feng'zheng'mian 焊缝正面
'han'feng'zhi'liang'jian'yan 焊缝质量检验
'han'feng'zhong'xin'xian 焊缝中心线
'han'feng'zhou'xian 焊缝轴线
'han'feng'zhuan'jiao 焊缝转角
'han'fu'jin'shu 焊敷金属
'han'gao 焊膏
'han'ge'gong'ju 焊割工具
'han'ge'ju 焊割具
'han'ge'liang'yong'ju 焊割两用炬
'han'ge'liang'yong'qi'han'qiang 焊割两用气焊枪
'han'gen 焊根
'han'gen'lie'wen 焊根裂纹
'han'gen'lie'wen'gen'bu'lie'wen 焊根裂纹根部裂纹
'han'gong'ban 焊工班
'han'gong'bao'hu'yan'jing 焊工保护眼镜
'han'gong'bao'jian 焊工保健
'han'gong'cao'zuo'zi'ge 焊工操作资格
'han'gong'chen'fei 焊工尘肺
'han'gong'de'wei'qun 焊工的围裙
'han'gong'fu'zhong'du 焊工氟中毒
'han'gong'gong'zuo 焊工工作
'han'gong'he'ge'zheng 焊工合格证
'han'gong'hu'mu'jing 焊工护目镜
'han'gong'hu'mu'mao'zhao 焊工护目帽罩
'han'gong'ji'shu'jian'ding'shi'yan 焊工技术鉴定试验
'han'gong'jin'shu'yan're 焊工金属烟热
'han'gong'kao'shi 焊工考试
'han'gong'mao'zhao 焊工帽罩
'han'gong'meng'zhong'du 焊工锰中毒
'han'gong'mo'ni'xun'lian'qi 焊工模拟训练器
'han'gong'pei'xun 焊工培训
'han'gong'pen'ran'qi 焊工喷燃器
'han'gong'sheng'jiang'tai 焊工升降台
'han'gong'shou'chi'hu'mu'jing 焊工手持护目镜
'han'gong'shou'tao 焊工手套
'han'gong'wei'qun 焊工围裙
'han'guan'ji 焊管机
'han'guan'la'mo 焊管拉模
'han'gun 焊滚
'han'han'qiang'zui 焊焊枪嘴
'han'he 焊合
'han'he'ban 焊合板
'han'he'de'lie'feng 焊合的裂缝
'han'he'zhuan'da 焊合转搭
'han'hen 焊痕
'han'hou 焊喉
'han'hou'duan'ya'de 焊后锻压的
'han'hou'duan'ya'de'duan'ya'han'feng 焊后锻压的锻压焊缝
'han'hou're'chu'li 焊后热处理
'han'hou'tui'huo 焊后退火
'han'hou'zhuang'tai 焊后状态
'han'hu 焊弧
'han'hu 焊糊
'han'hu'dian'ya 焊弧电压
'han'hu'guan'cha'qi 焊弧观察器
'han'ji 焊剂
'han'ji'ceng 焊剂层
'han'ji'ceng'xia'han 焊剂层下焊
'han'ji'ceng'xia'han'jie 焊剂层下焊接
'han'ji'ceng'xia'zi'dong'han 焊剂层下自动焊
'han'ji'dian 焊剂垫
'han'ji'dian'han 焊剂垫焊
'han'ji'dian'lan'xian 焊机电缆线
'han'ji'lou'dou 焊剂漏斗
'han'ji'shu'chu'duan 焊机输出端
'han'ji'tou 焊机头
'han'jian 焊件
'han'jian'de'da'xiao 焊件的大小
'han'jian'jian'cha'yuan 焊件检查员
'han'jian'pou'kou 焊件剖口
'han'jian'shi'xiao'fen'xi 焊件失效分析
'han'jian'zhi'jia 焊件支架
'han'jian'zhuang'pei'jian'xi 焊件装配间隙
'han'jiao 焊脚
'han'jiao'bu'deng'de'jiao'han'feng 焊脚不等的角焊缝
'han'jiao'chang'du 焊脚长度
'han'jiao'chi'cun 焊脚尺寸
'han'jiao'chi'cun 焊角尺寸
'han'jie'ao'shi'ti'bu'xiu'gang'gang'guan 焊接奥氏体不锈钢钢管
'han'jie'ban'cai'de'zhun'bei 焊接板材的准备
'han'jie'ban'shi'leng'ning'qi 焊接板式冷凝器
'han'jie'bao'hu'bo'li 焊接保护玻璃
'han'jie'bi'tiao 焊接篦条
'han'jie'bian'liu'ji 焊接变流机
'han'jie'bian'wei'ji 焊接变位机
'han'jie'bian'xing 焊接变形
'han'jie'bian'ya'qi 焊接变压器
'han'jie'bo'wen'guan 焊接波纹管
'han'jie'bu'jian 焊接部件
'han'jie'bu'qiang 焊接补强
'han'jie'bu'wei 焊接部位
'han'jie'cai'liao 焊接材料
'han'jie'cai'liao'de'tan'han'liang 焊接材料的碳含量
'han'jie'cai'liao'xiao'hao'ding'e 焊接材料消耗定额
'han'jie'can'shu'ji'lu'yi 焊接参数记录仪
'han'jie'can'yu'bian'xing 焊接残余变形
'han'jie'can'yu'ying'bian 焊接残余应变
'han'jie'can'yu'ying'li 焊接残余应力
'han'jie'cao'zuo 焊接操作
'han'jie'cao'zuo'ji 焊接操作机
'han'jie'cao'zuo'zhe 焊接操作者
'han'jie'ceng 焊接层
'han'jie'chang 焊接厂
'han'jie'che'jia 焊接车架
'han'jie'che'jian 焊接车间
'han'jie'che'shen 焊接车身
'han'jie'chen'dian 焊接衬垫
'han'jie'chen'ji'de'qing'li 焊接沉积的清理
'han'jie'cheng'xu 焊接程序
'han'jie'cheng'xu'ping'ding 焊接程序评定
'han'jie'chi'cun 焊接尺寸
'han'jie'chu 焊接处
'han'jie'chui'guan 焊接吹管
'han'jie'chui'guan'huo'kou 焊接吹管火口
'han'jie'ci'shu 焊接次数
'han'jie'ci'xu 焊接次序
'han'jie'dai'hao 焊接代号
'han'jie'dan'tou'luo'shuan 焊接单头螺栓
'han'jie'dao'ci 焊接道次
'han'jie'dao'jie'xian 焊接导接线
'han'jie'de 焊接的
'han'jie'de'jie'gou 焊接的结构
'han'jie'de'zhi'cheng'jie'gou 焊接的支撑结构
'han'jie'di'xian 焊接地线
'han'jie'dian 焊接垫
'han'jie'dian 焊接点
'han'jie'dian'hu 焊接电弧
'han'jie'dian'hu'dian'ya 焊接电弧电压
'han'jie'dian'hu'fen'xi'yi 焊接电弧分析仪
'han'jie'dian'ji 焊接电极
'han'jie'dian'lan 焊接电缆
'han'jie'dian'liu 焊接电流
'han'jie'dian'liu'shuai'jian'shi'jian 焊接电流衰减时间
'han'jie'dian'liu'tiao'jie'fan'wei 焊接电流调节范围
'han'jie'dian'liu'tiao'jie'qi 焊接电流调节器
'han'jie'dian'liu'zeng'jia'shi'jian 焊接电流增加时间
'han'jie'dian'lu 焊接电路
'han'jie'dian'ya 焊接电压
'han'jie'dian'yuan 焊接电源
'han'jie'dian'zu'qi 焊接电阻器
'han'jie'ding'shi'qi 焊接定时器
'han'jie'ding'wei'gun'lun 焊接定位滚轮
'han'jie'duan 焊接端
'han'jie'duan'lie'chu 捍接断裂处
'han'jie'duan'mian 焊接断面
'han'jie'fa 焊接法
'han'jie'fa'chen'liang 焊接发尘量
'han'jie'fa'chen'qi 焊接发尘器
'han'jie'fa'chen'su'lv 焊接发尘速率
'han'jie'fa'dian'ji 焊接发电机
'han'jie'fa'gai 焊接阀盖
'han'jie'fa'lan 焊接法兰
'han'jie'fa'lan'lian'jie 焊接法兰连接
'han'jie'fan'zhuan'ji 焊接翻转机
'han'jie'fan'zhuan'tai 焊接翻转台
'han'jie'fang'fa 焊接方法
'han'jie'fang'shi 焊接方式
'han'jie'fang'wei 焊接方位
'han'jie'fang'xiang 焊接方向
'han'jie'fei'jian 焊接飞溅
'han'jie'feng 焊接缝
'han'jie'feng'han'jie'jie'dian 焊接缝焊接节点
'han'jie'feng'zhuang 焊接封装
'han'jie'fu'hao 焊接符号
'han'jie'fu'jian 焊接附件
'han'jie'fu'shi 焊接腐蚀
'han'jie'gang 焊接钢
'han'jie'gang'guan 焊接钢管
'han'jie'gang'guan'zhuang 焊接钢管桩
'han'jie'gang'jin'wang 焊接钢筋网
'han'jie'gang'si'wang 焊接钢丝网
'han'jie'gen 焊接根
'han'jie'gong 焊接工
'han'jie'gong'chang 焊接工场
'han'jie'gong'cheng 焊接工程
'han'jie'gong'cheng'shi 焊接工程师
'han'jie'gong'duan'jian'yan'yuan 焊接工段检验员
'han'jie'gong'ju 焊接工具
'han'jie'gong'shi'ding'e 焊接工时定额
'han'jie'gong'wei 焊接工位
'han'jie'gong'yi 焊接工艺
'han'jie'gong'yi'can'shu 焊接工艺参数
'han'jie'gong'yi'cheng'xu 焊接工艺程序
'han'jie'gong'yi'fang'fa 焊接工艺方法
'han'jie'gong'yi'gui'cheng 焊接工艺规程
'han'jie'gong'yi'guo'cheng 焊接工艺过程
'han'jie'gong'yi'jian'ding'shi'yan'ji'lu 焊接工艺鉴定试验记录
'han'jie'gong'yi'ka 焊接工艺卡
'han'jie'gong'yi'ping'ding 焊接工艺评定
'han'jie'gong'yi'shi'yan 焊接工艺试验
'han'jie'gong'yi'tiao'jian 焊接工艺条件
'han'jie'gong'yi'zhi'dao'shu 焊接工艺指导书
'han'jie'gong'zuo'jian 焊接工作间
'han'jie'gong'zuo'tai 焊接工作台
'han'jie'gou'jian 焊接构件
'han'jie'gu'jia 焊接骨架
'han'jie'guan 焊接管
'han'jie'guan 焊接罐
'han'jie'guan'feng'tou 焊接管封头
'han'jie'guan'tao 焊接管套
'han'jie'gui'cheng 焊接规程
'han'jie'gui'fan 焊接规范
'han'jie'gui'fan'can'shu 焊接规范参数
'han'jie'gui'xi'lian'jie'qi 焊接轨隙连接器
'han'jie'gui'ze 焊接规则
'han'jie'gun 焊接辊
'han'jie'gun'lun 焊接滚轮
'han'jie'gun'lun'jia 焊接滚轮架
'han'jie'guo'cheng 焊接过程
'han'jie'guo'lu'tong 焊接锅炉筒
'han'jie'he 焊接合
'han'jie'he'jin 焊接合金
'han'jie'hen 焊接痕
'han'jie'heng'jia 焊接桁架
'han'jie'huan'jing 焊接环境
'han'jie'hui'lu 焊接回路
'han'jie'hui'zhuan'tai 焊接回转台
'han'jie'huo'yan 焊接火焰
'han'jie'ji 焊接机
'han'jie'ji 焊接级
'han'jie'ji'bao'hu'qi'ti 焊接级保护气体
'han'jie'ji'hua'biao 焊接计划表
'han'jie'ji'qi'ren 焊接机器人
'han'jie'ji'qi'ren'gong'zuo'zhan 焊接机器人工作站
'han'jie'ji'qi'ren'sheng'chan'xian 焊接机器人生产线
'han'jie'ji'qi'ren'shi'shu 焊接机器人示数
'han'jie'ji'qi'ti 焊接级气体
'han'jie'ji'shu 焊接技术
'han'jie'ji'ti'jin'shu'de'chu'li 焊接基体金属的处理
'han'jie'ji'tou 焊接机头
'han'jie'ji'xia 焊接机匣
'han'jie'ji'xie'shou 焊接机械手
'han'jie'ji'xie'zhou 焊接机械肘
'han'jie'ji'ya 焊接极氩
'han'jie'ji'yong'ya 焊接级用氩
'han'jie'ji'zu 焊接机组
'han'jie'jia 焊接架
'han'jie'jia'ban 焊接甲板
'han'jie'jia'chi'jia 焊接夹持架
'han'jie'jia'ju 焊接夹具
'han'jie'jia'qian 焊接夹钳
'han'jie'jia'zhang'jie'fa 焊接加胀接法
'han'jie'jian 焊接件
'han'jie'jian'cha 焊接检查
'han'jie'jian'ge'ji'shi'qi 焊接间隔记时器
'han'jie'jian'ju 焊接间距
'han'jie'jian'yan 焊接检验
'han'jie'jian'yan'chi 焊接检验尺
'han'jie'jian'yan'yuan 焊接检验员
'han'jie'jie'dian 焊接节点
'han'jie'jie'gou 焊接结构
'han'jie'jie'gou'gang 焊接结构钢
'han'jie'jie'gou'xing'gang 焊接结构型钢
'han'jie'jie'gou'yong'zha'zhi'gang'cai 焊接结构用轧制钢材
'han'jie'jie'mian 焊接界面
'han'jie'jie'tou 焊接接头
'han'jie'jie'tou'jing'jian'fu'shi 焊接接头晶间腐蚀
'han'jie'jie'tou'xi'shu 焊接接头系数
'han'jie'jie'tou'zhun'bei 焊接接头准备
'han'jie'jin'shu 焊接金属
'han'jie'jin'shu'rong'hua'qu 焊接金属熔化区
'han'jie'jin'shu'zu'cheng 焊接金属组成
'han'jie'ju 焊接炬
'han'jie'kong'xi 焊接空隙
'han'jie'kuang'jia 焊接框架
'han'jie'li'xue 焊接力学
'han'jie'lian 焊接链
'han'jie'lian'jie 焊接联结
'han'jie'lian'jie 焊接连接
'han'jie'lian'jie'de'qie'pian 焊接连接的切片
'han'jie'lian'jie'duan 焊接连接端
'han'jie'lian'jie'mi'feng 焊接连接密封
'han'jie'lie'feng 焊接裂缝
'han'jie'lie'wen 焊接裂纹
'han'jie'liu'hen 焊接流痕
'han'jie'liu'liang 焊接留量
'han'jie'luo'mu 焊接螺母
'han'jie'mian 焊接面
'han'jie'mian'zhao 焊接面罩
'han'jie'mo'ni'qi 焊接模拟器
'han'jie'pao 焊接泡
'han'jie'pen'deng 焊接喷灯
'han'jie'pen'qiang 焊接喷枪
'han'jie'pen'zui 焊接喷嘴
'han'jie'qi'fen 焊接气氛
'han'jie'qi'lai 焊接起来
'han'jie'qi'ti'jian'ya'qi 焊接气体减压器
'han'jie'qian 焊接铅
'han'jie'qian'de'qing'li 焊接前的清理
'han'jie'qian'de'yu'fang'cuo'shi 焊接前的预防措施
'han'jie'qian'que 焊接欠缺
'han'jie'qiang'du 焊接强度
'han'jie'qiao 焊接桥
'han'jie'qiao'liang 焊接桥梁
'han'jie'qin'shi 焊接侵蚀
'han'jie'qu 焊接区
'han'jie'qu'bao'hu 焊接区保护
'han'jie'qu'jing'jian'fu'shi 焊接区晶间腐蚀
'han'jie'que'xian 焊接缺陷
'han'jie're 焊接热
'han'jie're'ji 焊接热剂
'han'jie're'shu'ru 焊接热输入
'han'jie're'xun'huan 焊接热循环
'han'jie're'xun'huan'mo'ni'zhuang'zhi 焊接热循环模拟装置
'han'jie're'yuan 焊接热源
'han'jie'rong'chi 焊接熔池
'han'jie'rong'chi'bao'hu 焊接熔池保护
'han'jie'rong'fu'jin'shu'qing'li 焊接熔敷金属清理
'han'jie'rong'ji 焊接溶剂
'han'jie'rong'qi 焊接容器
'han'jie'rong'qi'de'xian'zhi 焊接容器的限制
'han'jie'rong'qi'jie'tou'chu'de'kong 焊接容器接头处的孔
'han'jie'rong'qi'shi'yan 焊接容器试验
'han'jie'rong'zha 焊接熔渣
'han'jie'ruan'guan 焊接软管
'han'jie'shai'tiao 焊接筛条
'han'jie'she'bei 焊接设备
'han'jie'shen'du 焊接深度
'han'jie'shi 焊接室
'han'jie'shi'ban 焊接试板
'han'jie'shi'ban'xing'neng 焊接试板性能
'han'jie'shi'gong 焊接施工
'han'jie'shi'gong'tu 焊接施工图
'han'jie'shi'guan'jie'tou 焊接式管接头
'han'jie'shi'jian 焊接时间
'han'jie'shi'jian'de'jin'shu'rong'di'huo'fei'jian 焊接时间的金属熔滴或飞溅
'han'jie'shi'jian'jian'ge 焊接时间间隔
'han'jie'shi'ping'gai 焊接式平盖
'han'jie'shi'yan 焊接试验
'han'jie'shi'yan'shi 焊接试验室
'han'jie'shi'yang 焊接试样
'han'jie'shi'ye'hua'shi'you'qi'ping 焊接式液化石油气瓶
'han'jie'shou'tao 焊接手套
'han'jie'shu'ru're'liang 焊接输入热量
'han'jie'shun'shi'ying'li 焊接瞬时应力
'han'jie'shun'xu 焊接顺序
'han'jie'su'du 焊接速度
'han'jie'tai 焊接台
'han'jie'tai'jia 焊接胎架
'han'jie'tao'guan 焊接套管
'han'jie'te'xing 焊接特性
'han'jie'tiao'jian 焊接条件
'han'jie'tiao'jie'qi 焊接调节器
'han'jie'tong'dian'shi'jian 焊接通电时间
'han'jie'tong'dian'shi'jian'dian'zu'han 焊接通电时间电阻焊
'han'jie'tou 焊接头
'han'jie'tu'liao 焊接涂料
'han'jie'tu'xiang'chu'li 焊接图象处理
'han'jie'tu'xiang'shi'bie 焊接图象识别
'han'jie'wan'tou 焊接弯头
'han'jie'wang 焊接网
'han'jie'wang'ge 焊接网格
'han'jie'wei'sheng'yu'an'quan 焊接卫生与安全
'han'jie'wei'xing'zu'jian 焊接微型组件
'han'jie'wei'zhi 焊接位置
'han'jie'wen 焊接纹
'han'jie'wen'du 焊接温度
'han'jie'wen'du'chang 焊接温度场
'han'jie'wo'ba 焊接握把
'han'jie'xi'shu 焊接系数
'han'jie'xian 焊接线
'han'jie'xian'neng'liang 焊接线能量
'han'jie'xiao'che 焊接小车
'han'jie'xing 焊接性
'han'jie'xing'chuang'kou 焊接性窗口
'han'jie'xing'ji'qi'shi'yan 焊接性及其试验
'han'jie'xing'neng 焊接性能
'han'jie'xing'shi'yan 焊接性试验
'han'jie'xiu'bu 焊接修补
'han'jie'xue'shu'zu'zhi 焊接学术组织
'han'jie'xun'huan 焊接循环
'han'jie'xun'huan'zhou'qi 焊接循环周期
'han'jie'ya'li 焊接压力
'han'jie'ya'li'ji 焊接压力机
'han'jie'yan'chen 焊接烟尘
'han'jie'yan'chen'nong'du 焊接烟尘浓度
'han'jie'yan'chen'rong'xian'nong'du 焊接烟尘容限浓度
'han'jie'yan'chi'shi'jian 焊接延迟时间
'han'jie'yan'jiu'wei'yuan'hui 焊接研究委员会
'han'jie'yao'gao 焊接药膏
'han'jie'yao'qiu 焊接要求
'han'jie'ye'jin 焊接冶金
'han'jie'ye'jin'xue 焊接冶金学
'han'jie'yi'fei'jian'ye 焊接易飞溅液
'han'jie'yi'yuan 焊接翼缘
'han'jie'yin'ji 焊接阴极
'han'jie'yin'xian 焊接引线
'han'jie'ying'bian 焊接应变
'han'jie'ying'hua 焊接硬化
'han'jie'ying'li 焊接应力
'han'jie'yong'cai'liao'zhong'de'tan 焊接用材料中的碳
'han'jie'yong'fa'dian'ji 焊接用发电机
'han'jie'yong'hu'jiao 焊接用护脚
'han'jie'yong'lv're'ji 焊接用铝热剂
'han'jie'yong'shou'tao 焊接用手套
'han'jie'yong'shu'dian'xian 焊接用输电线
'han'jie'yong'tao'xiu 焊接用套袖
'han'jie'yong'ya 焊接用氩
'han'jie'you'hai'qi'ti 焊接有害气体
'han'jie'you'lei'zhu'cao 焊接油类贮槽
'han'jie'yu'fang'cuo'shi 焊接预防措施
'han'jie'yun'xu'de'zui'di'wen'du 焊接允许的最低温度
'han'jie'zhe'cha 焊接辙叉
'han'jie'zheng'liu'qi 焊接整流器
'han'jie'zheng'zhu'guo 焊接蒸煮锅
'han'jie'zhi'jiao'wan'tou 焊接直角弯头
'han'jie'zhi'liang 焊接质量
'han'jie'zhong'liao'wen'du 焊接终了温度
'han'jie'zhou 焊接轴
'han'jie'zhou'qi 焊接周期
'han'jie'zhou'xian 焊接轴线
'han'jie'zhu'you'guan 焊接贮油罐
'han'jie'zhuan'jia'xi'tong 焊接专家系统
'han'jie'zhuang'pei 焊接装配
'han'jie'zhuang'tai 焊接状态
'han'jie'zhuang'zhi 焊接装置
'han'jie'zi'dong'hua 焊接自动化
'han'jie'zu 焊接组
'han'jie'zu'jian 焊接组件
'han'jie'zuo'ye'zhi'dao'shu 焊接作业指导书
'han'jin 焊筋
'han'ju 焊炬
'han'ju 焊矩
'han'ju'pen'zui 焊炬喷嘴
'han'ju'qian'han 焊矩钎焊
'han'kou 焊口
'han'la'dian 焊拉点
'han'liao 焊料
'han'lie'feng 焊裂缝
'han'liu 焊瘤
'han'lun'tiao'jie'qi 焊轮调节器
'han'mao 焊帽
'han'pian'shi'chi'pian'guan 焊片式翅片管
'han'qian 焊钳
'han'qian'qing'li 焊前清理
'han'qian'yu're 焊前预热
'han'qiang'guan 焊枪管
'han'qu'chi'cun 焊区尺寸
'han're 焊热
'han'ru'shi'pen'zui 焊入式喷嘴
'han'shang 焊上
'han'shui'tang'quan'leng'ning'qi 含水糖醛冷凝器
'han'shui'yuan'you 含水原油
