'an'fa'yi'chuan 按法以传
'qi'guang'ru'fei'jing'zhi'luo'zhao'ri 其光如飞景之罗朝日
'qi'guang'ru'hui'ri'zhi'chu'jiang 其光如晖日之初降
'qi'guang'ru'liu'xing'zhi'duo'yu'hong'bo 其光如流星之堕于洪波
'qi'guang'ru'xuan'yu'zhi'ying'yuan 其光如玄玉之瑛渊
'qi'guang'ru'you'ye'zhi'du'yu'ming'zhu 其光如幽夜之覩于明珠
'qi'hui'lai'zhen 弃秽来真
'qi'jing'shi'sheng 其精始生
'qi'li'shen'ming 其理甚明
'qi'liang'mo'ce 其量莫测
'qi'lin'lai'gui 麒麟来归
'qi'liu'xia'ning 气流下凝
'qi'ming'ru'lang'yue'zhi'zhao'you'yu 其明如朗月之照幽域
'qi'nai'shi'tian'zhi'ling'ze 其乃士天之灵泽
'qi'nian'chu'min 七年除民
'qi'nian'da'zai'qu'chu 其年大灾驱除
'qi'nian'er'jie 七年而解
'qi'nian'hong'shui'si'chu 其年洪水四出
'qi'nian'huo'jing'xiao'mie 其年火精消灭
'qi'nian'jie'sheng'bai'jing'bao'hua'qi'chong 七年皆生白精宝华七重
'qi'nian'jin'shi'zi'xiao 其年金石自消
'qi'nian'jin'yu'hua'xiao 其年金玉化消
'qi'nian'shan'gang'qiu'long 其年山冈丘垄
'qi'nian'tian'di'ku'han 其年天地枯旱
'qi'nian'tian'zai'ji 其年天灾激
'qi'nian'tu'xia'chu'wu 其年土下出雾
'qi'nian'tu'zhong'sheng'huo 其年土中生火
'qi'nian'wei'yi'ceng'wan'zu 七念为亿曾万祖
'qi'nian'zhong'guo'da'feng 其年中国大丰
'qi'qi'ru'chun'cao'zhi'shi'meng 其炁如春草之始萌
'qi'qi'ru'jiang'yun'zhi'bao'ri 其气如降云之包日
'qi'qi'ru'ming'yue'zhi'luo'yu'jing'yun 其气如明月之落于景云
'qi'qi'ru'sou'feng'zhi'ji'yu'yan'lin 其气如飕风之激于炎林
'qi'qi'yin'yun 七气氤氲
'qi'qing'gao'cheng 气清高澄
'qi'ri'chi'bei'chen 其日勑北辰
'qi'ri'chi'bei'dou 其日勑北斗
'qi'ri'chi'tai'yi'ba'shen'shi'zhe 其日勑太乙八神使者
'qi'ri'chi'tai'yi'shi'zhe 其日勑太乙使者
'qi'ri'chi'tian'yi 其日勑天一
'qi'ri'fan'e'wei'fei 其日犯恶为非
'qi'ri'jie'bei'dou'si'sha'gui 其日劫北斗司杀鬼
'qi'ri'qian'shang'tai'yi'xia 其日遣上太一下
'qi'ri'qian'zhong'tai'yi 其日遣中太乙
'qi'ri'tai'yi'xia'li 其日太一下历
'qi'ri'tian'di'zi'xia 其日天帝自下
'qi'ri'xiu'zhai'feng'jie 其日修斋奉戒
'qi'ri'you'feng'xiu'zhai'zhi 其日有奉修斋直
'qi'ri'you'xiu'feng'ling'bao'zhen'jing 其日有修奉灵宝真经
'qi'ri'yue'xing'xiu 其日月星宿
'qi'ri'zhu'tian'da'sheng'zun'shen 其日诸天大圣尊神
'qi'ri'zhu'tian'xing'xiu 其日诸天星宿
'qi'shi'dang'you'bai'di'shen'ren 其时当有白帝神人
'qi'shi'dang'you'da'niao'dong'nan'er'fei 其时当有大鸟东南而飞
'qi'shi'dang'you'hei'di'shen'ren 其时当有黑帝神人
'qi'shi'dang'you'huang'di'shen'ren 其时当有黄帝神人
'qi'shi'dang'you'qing'di'shen'ren 其时当有青帝神人
'qi'shi'er'ling'rui 其十二灵瑞
'qi'wei'zhong'guan 七为众官
'qi'wen'jin'feng'nan'huo'shi'gong 其文今封南霍石碽
'qi'wen'jiu'qian'nian'yi'chu 其文九千年一出
'qi'wen'jiu'qian'nian'yi'chu'bei'yue 其文九千年一出北岳
'qi'wen'jiu'qian'nian'yi'chu'dong'yue 其文九千年一出东岳
'qi'wen'jiu'qian'nian'yi'chu'nan'yue 其文九千年一出南岳
'qi'wen'jiu'qian'nian'yi'chu'xi'yue 其文九千年一出西岳
'qi'wen'jiu'qian'nian'yi'chu'zhong'yue 其文九千年一出中岳
'qi'wen'ming'yu'nan'dan'dong'ling'gu'lin'zhi'xia 其文明于南丹洞灵橭林之下
'qi'wen'zai'chi'shu'hou'er'jie 其文在赤书后二劫
'qi'wen'zai'chi'shu'hou'jie 其文在赤书后劫
'qi'xia'er'shi'si'zi 其下二十四字
'qi'xia'san'shi'er'zi 其下三十二字
'qi'xia'shi'liu'zi 其下十六字
'qi'xia'si'shi'ba'zi 其下四十八字
'qi'xia'si'shi'zi 其下四十字
'qi'xia'si'shi'zi'zhe 其下四十字者
'qi'xing'shi'ze'yan'hong'mao'er'gao'xiang 其行时则宴鸿毛而高翔
'qi'yan'ru'yun 其烟如云
'qi'yi'dian'ge'shi 其仪典格式
'qi'yi'shi'er'en 其一十二恩
'qi'yue 七月
'qi'zhe'jian'shi'xing'long 七者见世兴隆
'qi'zhe'luan'xiao'feng'chang 七者鸾啸凤唱
'qi'zhe'men'zu'duan'wei 七者门族端伟
'qi'zhe'qi'de'ru'gao'zhen 七者其德如高真
'qi'zhe'qu'chi'liu'jia 七者驱驰六甲
'qi'zhe'xuan'ji'ting'guan 七者璇玑停关
'qi'zhen'ru'xian 炁真如弦
'qi'zhong'zhu'tian'xing'chen'ri'yue 其中诸天星辰日月
'qi'zu'jie'sheng'fu'tang 七祖皆升福堂
'qian'bai'wan'zhong'yi'shi'tong'zuo 千百万种一时同作
'qian'da'yi'zhong'tai'da'shi'zhe'xia 遣大一中台大使者下
'qian'dao'wan'tong 千道万通
'qian'er'bai'guan'jun 千二百官君
'qian'er'bai'guan'zhang'ren 千二百官丈人
'qian'er'bai'jun 千二百君
'qian'jing'wan'xie 千精万邪
'qian'shang'dao'gong 迁赏道功
'qian'yao'wan'jian 千妖万奸
'qian'zai'bu'gan 千灾不干
'qin'xing'qi'fa 勤行其法
'qing'bi'shu'wen 青笔书文
'qing'di'gui'mo'yuan'she'jiu'wan'li 青帝鬼魔远舍九万里
'qing'di'shou'ci'wen'yi'zhen'dong'yue 青帝受此文以镇东岳
'qing'di'xing'pei'ci'wen 青帝行佩此文
'qing'di'yong'shi 青帝用事
'qing'di'zhen'ren'xia'shi 青帝真人下世
'qing'he'yu'nv 青和玉女
'qing'hua'da'shen 青华大神
'qing'kai'guang'zhi'wei'shen'xian'zhi'du 清开广置为神仙之都
'qing'ling'shang'zhen'tian'di'jun 青灵上真天帝君
'qing'ling'shi'lao'di'jun 青灵始老帝君
'qing'qi'fou 青炁否
'qing'qi'ji 青炁激
'qing'qi'shi 青炁食
'qing'qun'yu 青裙羽
'qing'shou'yuan'shi'ling'bao'chi'shu'yu'pian'zhen'wen 请受元始灵宝赤书玉篇真文
'qing'shu'bai'zeng 青书白缯
'qing'shu'jiang'zeng'pei'shen 青书绛缯佩身
'qing'tai'shang'ling'bao'ba'wei'ce'wen'san'die'wen 请太上灵宝八威策文三牒文
'qing'xiao'si'hui 庆霄四会
'qing'xu'jian'su 清虚简素
'qing'ya'chang'cun 青牙长存
'qing'yao'yu'nv'jiu'ren'shi'wei 青腰玉女九人侍卫
'qing'zai'yong'an 庆载永安
'qing'zhai'bai'ri 清斋百日
'qing'zhai'chi'jie 清斋持戒
'qing'zhong'lie'yan 轻重列言
'qing'zhong'shang'yan 轻重上言
'qu'bei'yue'shen'xian'zhi'cao'bu'si'zhi'yao 取北岳神仙芝草不死之药
'qu'bie'shan'e 区别善恶
'qu'ce'tian'xian 驱策天仙
'qu'chu'zhao'min 驱除兆民
'qu'dong'yue'shen'xian'zhi'cao 取东岳神仙芝草
'qu'fu'yang'yu'shen'wang'ye 取俯仰于神王也
'qu'nan'yue'shen'xian'zhi'cao'bu'si'zhi'yao 取南岳神仙芝草不死之药
'qu'san'za'su'gui'jing 驱散杂俗鬼精
'qu'xi'yue'shen'xian'zhi'cao'bu'si'zhi'yao 取西岳神仙芝草不死之药
'qu'xing'an'ning 躯形安宁
'qu'zhong'yue'shen'xian'zhi'cao'bu'si'zhi'yao 取中岳神仙芝草不死之药
'que'shuai'ku'er'jue'yan 却衰枯而绝烟
'que'shuai'xiu'er'tong'meng 却衰朽而童蒙
'que'su'fa'er'xuan'hei 却素发而玄黑
'que'zai'sao'hui 却灾扫秽
'que'zhu'huo'yang 却诸祸殃
'qun'yao'mie'shuang 群妖灭爽
'ran'hou'dang'shi'de'bei'tian'wen 然后当使得备天文
'ran'hou'yi'pei'shen 然后以佩身
'rang'ci'zai 禳此灾
'rang'qiu'shuang'zhi'luo'ye 禳秋霜之落叶
'rang'xiong'que'hui 禳凶却秽
'ren'gui'you'fan 人鬼有犯
'ren'min'an 人民安
'ren'min'jiao'si 人民燋死
'ren'min'liu'san 人民流散
'ren'min'niao'shou 人民鸟兽
'ren'min'piao'shi 人民飘尸
'ren'min'sheng 人民盛
'ren'min'shui'ju 人民水居
'ren'min'wu'shou 人民乌兽
'ren'min'wu'shou'jiao'si'wu'yi 人民乌兽焦死无遗
'ren'min'xiang'dan 人民相啖
'ren'shen'shou'zhi'er'wu'qiong 人神受之而无穷
'ren'shou'de'guo 人兽得过
'ren'shou'mie'zhong 人兽灭种
'ren'shou'yi'si 人兽疫死
'ren'shu'chun'chi'yi'bu'ling 人漱唇齿以不零
'ren'wu'wu'wen 人无五文
'ren'yang'wu'zang'yu'chun'feng 人养五脏于唇锋
'ren'yi'tong'zhi 人亦同之
'ren'zhe'jian'zhi'wei'zhi'ren 仁者见之谓之仁
'ri'jun 日君
'ri'yue'wei'guang 日月未光
'ri'yue'xing'xiu 日月星宿
'ri'yue'xing'xiu'suo'hui 日月星宿所惠
'ri'yue'xuan'ji 日月璇玑
'ri'yue'zhi'jing 日月之精
'ru'shi'si'ri'jing 入室思日精
'ru'shi'si'yue'jing'han'er'tun'zhi 入室思月精含而吞之
'run'liu'wu'qiong 润流无穷
'ruo'you'bu'xiang 若有不祥
'san'bai'san'shi'du 三百三十度
'san'bu'san'guan'kao'zhao 三部三官考召
'san'chen'tu'fang 三晨吐芳
'san'e'zhi'dao 三恶之道
'san'fen'yi'yi 三分遗一
'san'guan'chu'zui 三官除罪
'san'guan'ji'shi 三官记识
'san'guan'kao'zhao 三官考召
'san'guan'suo'jiu 三官所糺
'san'guan'xue'chu'zui'ming 三官削除罪名
'san'guang'bu'ming 三光不明
'san'guang'cheng'zhi'yi'gao'ming 三光乘之以高明
'san'guang'cong'zhi'yi'kai'ming 三光从之以开明
'san'jie'di'qi 三界地祇
'san'jie'si'ying 三界司迎
'san'jie'tong'jin 三界通津
'san'jing'de'zhi'er'fa'guang 三景得之而发光
'san'jing'he'ming 三景合明
'san'long'zhi'hou 三龙之后
'san'man'dao'lu 散满道路
'san'nian'hui'xie'zhong'zui 三念悔谢众罪
'san'nian'jie'sheng'chi'jing'bao'hua'san'chong 三年皆生赤精宝华三重
'san'qi'bo'guang 三炁勃光
'san'qian'san'bai'du'bai'qi'bo 三千三百度白炁勃
'san'qian'san'bai'du'chi'qi'bo 三千三百度赤炁勃
'san'qian'san'bai'du'hei'qi'bo 三千三百度黑炁勃
'san'qian'san'bai'du'huang'qi'bo 三千三百度黄炁勃
'san'qian'san'bai'du'qing'qi'bo 三千三百度青炁勃
'san'shi'liu'zhen'zhang'ren 三十六真丈人
'san'su'liu'yun'zhu'tian'da'sheng 三素流云诸天大圣
'san'tian'ji'shang'xian'lu 三天记上仙录
'san'tian'tai'xuan'yin'sheng'fu 三天太玄阴生符
'san'tian'zhen'sheng'shen'fu 三天真生神符
'san'wei'ju'shi 三为居世
'san'yuan'kai'zhang 三元开张
'san'yue 三月
'san'zai'jiu'e 三灾九厄
'san'zhe'lai'sheng'que'si 三者来生却死
'san'zhe'qi'de'ru'da'dao 三者其德如大道
'san'zhe'qing'niao 三者青鸟
'san'zhe'shang'sheng'xuan'jian 三者上圣玄监
'san'zhe'shi'shi'san'wan'liu'qian'ri'yue'yi'shi'tong'ming 三者是时三万六千日月一时同明
'san'zhe'wei'zhu'tian'da'sheng'zun'shen 三者为诸天大圣尊神
'sang'lin'qian'zhen 桑林千真
'sao'chu'zai'qun 扫除灾群
'sao'hui'chu'fen 扫秽除氛
'sao'zhu'bu'xiang 扫诸不祥
'shan'e'xi'fen 善恶悉分
'shan'he'de'zhi'er'bu'lun 山河得之而不沦
'shan'nian'ri'sheng 善念日生
'shan'rui'ri'chang 善瑞日昌
'shan'rui'ri'sheng 善瑞日生
'shan'rui'xian'ming 善瑞显明
'shan'rui'zi'zhi 善瑞自至
'shan'xiang'zi'ji 善祥自集
'shang'bu'zhen'ren 上补真人
'shang'chao'xuan'du'shang'gong 上朝玄都上宫
'shang'chu'huang'qi 上出黄气
'shang'dao'hong'jing'yu'shi'tian 上导洪精于士天
'shang'dao'jiu'tian'zhi'he'qi 上导九天之和气
'shang'dao'tai'qing'xuan'yuan'zhi'ling'hua 上导泰清玄元之灵化
'shang'dao'wu'di'zhi'liu'qi 上导五帝之流炁
'shang'deng'fu'tang 上登福堂
'shang'deng'shang'qing'ling'que'tai'wei'zhi'guan 上登上清灵阙太微之馆
'shang'deng'xuan'dong 上登玄洞
'shang'deng'zi'ran'zhi'he 上等自然之和
'shang'di'chi'wen 上帝赤文
'shang'di'ji'chu'wei'jian'tian 上帝即除为监天
'shang'di'suo'gui 上帝所贵
'shang'di'suo'ju 上帝所举
'shang'di'zhi'suo 上帝之所
'shang'dui'di'jun 上对帝君
'shang'er'shi'si'zi 上二十四字
'shang'gong'ji'ming 上宫记名
'shang'gu'tian'shi'jun 上古天师君
'shang'hao'dong'fang'qing'ya'jiu'qi'zhi'tian 上号东方青牙九炁之天
'shang'hao'ming'shi'qi'qi'zhi'tian 上号明石七炁之天
'shang'hao'nan'fang'zhu'dan'san'qi'zhi'tian 上号南方朱丹三炁之天
'shang'hao'xuan'zi'wu'qi'zhi'tian 上号玄滋五炁之天
'shang'hao'zhong'yang'yuan'dong'tai'di'zhi'tian 上号中央元洞太帝之天
'shang'hui'gao'huang'tian 上会高皇天
'shang'hui'ling'bao'tai'xuan'dou 上会灵宝太玄都
'shang'hui'ling'bao'tai'xuan'dou'yu'jing'zhu'gong 上会灵宝太玄都玉京朱宫
'shang'hui'ling'bao'xuan'du 上会灵宝玄都
'shang'hui'xuan'du 上会玄都
'shang'jing'zai'tian'wei'wu'xing 上精在天为五星
'shang'lu'yu'shang'san'tian'xuan'du'zi'wei'shang'gong 赏箓于上三天玄都紫微上宫
'shang'ming'san'tian 上名三天
'shang'qi'shi'er'ling'rui 上启十二灵瑞
'shang'qing'jiu'tian'zhi'ling'ao 上庆九天之灵奥
'shang'qing'shen'zhen 上庆神真
'shang'qing'zi'ran'zhi'ling'shu 上清自然之灵书
'shang'san'shi'er'zi 上三十二字
'shang'shang'tai'yi'jun 上上太乙君
'shang'sheng'dao'tang 上升道堂
'shang'sheng'feng'zhi'yi'zhi'zhen 上圣奉之以致真
'shang'sheng'fu'tang 上升福堂
'shang'sheng'tian'tang 上升天堂
'shang'sheng'wu'lao 上圣五老
'shang'sheng'yun'lu 上升云路
'shang'sheng'zhu'jun'zhang'ren'wei'you 上圣诸君丈人为友
'shang'shi'fu'mu 上世父母
'shang'si'shi'ba'zi 上四十八字
'shang'si'shi'zi 上四十字
'shang'tai'yi'zi'xia 上太一自下
'shang'tian'yan'ren'zhi'zui 上天言人之罪
'shang'tian'you'bie 上天右别
'shang'wei'zhen'ren 上为真人
'shang'wei'zhi'ling 上谓之灵
'shang'xia'tong'zhi 上下通直
'shang'xia'zhong'yang 上下中央
'shang'xiang'si'ma'qing'tong 上相司马青童
'shang'xuan'lao 上玄老
'shang'yan'dong'hua 上言东华
'shang'yan'liu'yan 上炎流烟
'shang'yan'qi'zu 上延七祖
'shang'yi'fang'zhu'shu'hua'qing'gong 上诣方诸束华青宫
'shang'yi'zhong'huang'lao'jun'yu 上诣中黄老君于
'shang'ying'lie'xing 上应列星
'shang'you'chang'sheng'zhi'zhu'gong 上有长生之朱宫
'shang'you'liu'ying'zhi'gong 上有流英之宫
'shang'you'liu'ying'zhi'lou 上有流英之楼
'shang'you'shi'sheng 上有始生
'shang'yuan'da'jie'zhi'jiao 上元大劫之交
'shang'yuan'da'jie'zhi'zai 上元大劫之灾
'shang'yuan'da'jie'zhi'zhou 上元大劫之周
'shang'zan'yuan'shi'zhi'ling'tu 上赞元始之灵图
'shang'zan'yuan'shi'zi'ran'zhi'zhang 上赞元始自然之章
'shang'zhen'zhi'qiong'yu 上真之琼腴
'shang'zhi'tian'ji 上制天机
'shang'zou'di'jun 上奏帝君
'shao'nian'bu'lao 少年不老
'shao'xiang'nian'dao 烧香念道
'shao'xiang'san'hua 烧香散华
'shao'xiang'xing'dao 烧香行道
'she'di'shu'ling 摄地束灵
'she'qi'jian'zhen 摄炁监真
'she'qi'ju'xian 摄气举仙
'she'song'huo'gong 摄送火宫
'she'zhao'jiu'tian 摄召九天
'she'zhao'wan'qi 摄召万气
'shen'bao'jun 神宝君
'shen'bao'zhang'ren 神宝丈人
'shen'biao'wu'fang 神表五方
'shen'de'shen'xian 身得神仙
'shen'du'tai'ping 身覩太平
'shen'feng'ji'gu 神风既鼓
'shen'feng'xia'zhe 神风遐着
'shen'guo'wan'li'zhi'zhong 身过万疠之中
'shen'hu'yang'hao 神虎仰号
'shen'ji'si 身即死
'shen'kang'qi'qiang 身康气强
'shen'ling'you'hu 神灵佑护
'shen'ming'jiao'tong 神明交通
'shen'ming'jiao'you 神明交游
'shen'ming'jun 神明君
'shen'ming'wei'hu 神明卫护
'shen'qi'tang'tang 神奇堂堂
'shen'qing'fu'yu 慎轻服御
'shen'sheng'yu'fu 身生羽服
'shen'wu'heng'huan 身无横患
'shen'wu'ji'bing 身无疾病
'shen'xia'huan'lan 神霞焕烂
'shen'xian'du'shi 神仙度世
'shen'xian'shou'ming 神仙受命
'shen'xian'suo'chu 神仙所出
'shen'xian'suo'ju 神仙所聚
'shen'xiang'ti'jie 身香体洁
'shen'you'zhi'nian 申酉之年
'shen'yun'ling'xu'yu'ji'tai 神运灵虚于寂台
'shen'zhou'liu'xing 神咒流行
'sheng'bai'jing'bao'hua'qi'ye'shen 生白精宝华七叶神
'sheng'cheng'zhao'min 生成兆民
'sheng'dan'jing'bao'hua'san'ye'shen 生丹精宝华三叶神
'sheng'huang'jing'bao'hua'shi'er'ye'shen 生黄精宝华十二叶神
'sheng'jiu'qi'qing'tian 生九炁青天
'sheng'qi'qi'su'tian 生七炁素天
'sheng'qi'zhang'ren 生炁丈人
'sheng'qing'jing'bao'hua'jiu'ye'shen 生青精宝华九叶神
'sheng'ru'wu'xing 升入无形
'sheng'san'qi'dan'tian 生三炁丹天
'sheng'si'wei'xian 生死为仙
'sheng'tian'li'di 生天立地
'sheng'wei'nan'shen 生为男身
'sheng'wu'qi'xuan'tian 生五气玄天
'sheng'xuan'jing'bao'hua'wu'ye'shen 生玄精宝华五叶神
'sheng'yu'kong'dong'zhi'zhong 生于空洞之中
'sheng'yu'yuan'shi'zhi'xian 生于元始之先
'sheng'yuan'yi'huang'qi'zhi'tian 生元一黄炁之天
'sheng'zhe'jian'zhi'wei'zhi'sheng 圣者见之谓之圣
'shi'an'suo'zhu'ru'fa 施安所住如法
'shi'ba'wei'yi'zheng'du 施八威以正度
'shi'ba'zhe'lao'nian'fan'shao 十八者老年反少
'shi'chu'xian'ming 世出贤明
'shi'de'suo'yan 施德所延
'shi'di'gu'an 使地固安
'shi'di'zi'dui'zhai'jiu'ri 师弟子对斋九日
'shi'er'nian'shi'gui'yi'shen 十二念使鬼役神
'shi'er'qi'huang'tian'chi'shu'yu'pian'zhen'wen 十二炁黄天赤书玉篇真文
'shi'er'wei'shen 十二为神
'shi'er'zhe'de'yu 十二者得与
'shi'er'zhe'dong'bu'bing'shuang 十二者冬不冰霜
'shi'er'zhe'gong'cheng'de'man 十二者功成德满
'shi'er'zhe'qi'bao'qi'lin 十二者七宝奇林
'shi'er'zhe'qi'de'ru'si'shi 十二者其德如四时
'shi'er'zhe'yi'qie'pu'fu 十二者一切普福
'shi'er'zhen'zhang'ren 十二真丈人
'shi'fang'zhi'zhen 十方至真
'shi'gu'guan'ji'cheng'zhi'bu'qing 是故关机乘之不倾
'shi'huang'qing'tian 始皇青天
'shi'jian'tian'guan'ting'lun 始见天关停轮
'shi'jiu'tian'zhi'xuan'gen 寔九天之玄根
'shi'jiu'zhe'niao'shou'liu'chu 十九者鸟兽六畜
'shi'jue'yu'gai 十绝羽盖
'shi'ku'ba'nan 十苦八难
'shi'lao'gui'bin 氏老归宾
'shi'ling'wen'zhi'miao'de 寔灵文之妙德
'shi'liu'zhe'shi'zi'meng'shou 十六者狮子猛兽
'shi'nian'xu'mu'yi'xia 十念畜牧已下
'shi'qi'zhe'tian'xia'nan'nv 十七者天下男女
'shi'san'wei'ren 十三为人
'shi'san'zhe'gong'de'zhi'da 十三者功德之大
'shi'san'zhe'lin'mu'he'jia 十三者林木禾稼
'shi'san'zhe'qi'de'ru'tai'shan 十三者其德如泰山
'shi'shang'tian'ba'hui'da'qing'zhi'ri'ye 是上天八会大庆之日也
'shi'sheng'wu'lao 始生五老
'shi'shi'an'ning 世世安宁
'shi'shi'shang'sheng'tai'shang'da'dao'jun 是时上圣太上大道君
'shi'shi'tian'jiang'shi'er'xuan'rui 是时天降十二玄瑞
'shi'shi'xing'long 世世兴隆
'shi'shi'xue'zhe 是时学者
'shi'si'wei'yi'qie'wan'wu 十四为一切万物
'shi'si'zhe'gong'yan 十四者功言
'shi'si'zhe'qi'de'ru'da'jiang 十四者其德如大江
'shi'si'zhe'si'qi'tiao'he 十四者四气调和
'shi'tian'bei'yuan'xuan'dou'zhong'shu'ye 是天北元玄斗中书也
'shi'tian'yin'yu'jin'ge 视天音于金格
'shi'wei'shen'xing 侍卫身形
'shi'wei'shi'jian 十为世间
'shi'wei'wu'di'shen'guan 侍卫五帝神官
'shi'wei'zuo'you 侍卫左右
'shi'wu'zhe'du'shi'bi'chi 十五者毒螫闭齿
'shi'xiang'wang'hou 世享王侯
'shi'yi'nian'zhi'yuan'rong'hua 十一念志远荣华
'shi'yi'shi'er'nian 施一十二念
'shi'yi'shi'si'fu 施一十四福
'shi'yi'suo'yu 适意所欲
'shi'yi'wei'tian 十一为天
'shi'yi'xuan'ke 使依玄科
'shi'yi'ying'tian'zhi'qi 使以应天之炁
'shi'yi'yue 十一月
'shi'yi'zhe'gan'lu'zi'sheng 十一者甘露自生
'shi'yi'zhe'qi'de'ru'feng 十一者其德如风
'shi'yi'zhe'shi'shi'xuan'xia'qi'bao'shen'qi 十一者是时悬下七宝神奇
'shi'yi'zhe'shou'gu'ri'sheng 十一者寿骨日生
'shi'yi'zhe'wei 十一者为
'shi'yi'zhe'xian'du'zhi'hou 十一者仙度之后
'shi'you'qing'yao'yu'nv 室有青腰玉女
'shi'you'tai'dan'yu'nv 室有太丹玉女
'shi'you'tai'shang'su'nv 室有太上素女
'shi'you'ye'guang'yu'nv 室有夜光玉女
'shi'zhe'he'shui'ting'liu 十者河水停流
'shi'zhe'qi'de'ru'yun'yu 十者其德如云雨
'shi'zhe'wu'zhen'an'li 十者五镇安立
'shi'zhe'zhan'xie'po'di 十者斩邪破敌
'shi'zhe'zhi'wu'bu'ke 十者志无不克
'shi'zhe'zu'dei'shang'xian 十者卒得上仙
'shi'zhen'wu'di'shen'guan'wu'yi'wan'ren 侍真五帝神官五亿万人
'shi'zhen'wu'yue 施镇五岳
'shi'zi 狮子
'shi'zi'fu'wu 狮子俯呜
'shou'fu'bei'yuan 受符北元
'shou'fu'yang'zhi'ge 受俯仰之格
'shou'gan'jin'yu'she'tou 收甘津于舌头
'shou'qi'sheng'cheng 受其生成
'shou'she'xie'jian 收摄邪奸
'shou'sheng'hu'xuan'yun'zhi'bao 受生乎玄孕之胞
'shou'tong'tian'di 寿同天地
'shou'xian'nan'gong 受仙南宫
'shou'zhen'ren'er'wei'you 收真人而为友
'shu'dong'sang'si'ling'zhi'guan 书东桑司灵之馆
'shu'jiu'tian'dong'bei'yu'que'dan'tai 书九天东北玉阙丹台
'shu'jiu'tian'dong'yang'zhi'guan 书九天洞阳之馆
'shu'jiu'tian'su'ling'gong'bei'xuan'zhi'shang 书九天素灵宫北轩之上
'shu'jiu'tian'yuan'tai 书九天元台
'shu'ming'xian'bu 书名仙簿
'shu'ming'yu'li 书名玉历
'shu'mo'song'gui 束魔送鬼
'shu'san'qi'dan'tai 书三炁丹台
'shu'shen'jin'yu'yuan'shou 漱神津于元首
'shu'song'mo'zong 束送魔宗
'shu'tai'xuan'yu'bao'xuan'tai 书太玄玉宝玄台
'shu'wen'pei'shen 书文佩身
'shu'wen'zhi'dong'fang 书文置东方
'shu'yuan'yang'shu'wan'zhong'dao'qi'jun 数元鞅数万重道气君
'shu'zi'wei'gong'dong'hua'dian 书紫微宫东华殿
'shuang'huang'tai'wei 双皇太微
'shui'fu'kai'dao 水府开道
'shui'mo'dong'kai 水陌洞开
'shui'yong'he'jue 水涌河决
'shui'zai'lian'tian 水灾连天
'shui'zhi'ying'suo 水之盈缩
'si'bu'ci'jian 四部刺奸
'si'cha'ren'shen'gong'guo'shen'qian 司察人神功过深浅
'si'cha'shan'e'gong'guo'qing'zhong 司察善恶功过轻重
'si'cha'tian'ren'shan'e 司察天人善恶
'si'cha'zhao'min'gong'guo'qing'zhong 司察兆民功过轻重
'si'di'gong'dian'wei'yu'shang'gong 四帝共典卫于上宫
'si'fang'an'ping 四方安平
'si'fang'he'mu 四方和睦
'si'gong'zhi'zhong 斯功至重
'si'hai'shui'di 四海水帝
'si'ji'zhen'ren 四极真人
'si'jing'hui'xuan 四景回旋
'si'jing'lang'qing 四景朗清
'si'kao'suo'jiu 司考所糺
'si'ling'nian'zhen 思灵念真
'si'lu 司录
'si'mian'ba'fang 四面八方
'si'ming 司命
'si'nian'yuan'qiu'shen'xian 四念愿求神仙
'si'qi'qu'chu 四炁驱除
'si'qi'rou'he 四气柔和
'si'quan'zhi'shui 四泉之水
'si'ren'gong'guo 司人功过
'si'sha'shan'e'gong'guo 司杀善恶功过
'si'wan'jie'liu'tian'qi'xiao 四万劫六天气消
'si'wan'jie'yi'chu 四万劫一出
'si'wan'jie'yi'kai 四万劫一开
'si'wei'ju'shan 四为居山
'si'wen'yin'mi 斯文隐秘
'si'wu'zhi'nian 巳午之年
'si'xian'nian'dao 思仙念道
'si'xin'shi'yu'shi'yun'yin'ba'xia 私心实欲使云荫八遐
'si'yi'shi'si'de 斯一十四德
'si'yun'qi'chen 四运齐晨
'si'zhe'bai'hu'tu'jin 四者白虎吐金
'si'zhe'de'hui'chang'xin 四者德慧长新
'si'zhe'qi'de'ru'tian 四者其德如天
'si'zhe'shi'jian'wan'xing'jing'feng 四者世间万姓敬奉
'si'zhe'shi'shi'shang'sheng'da'shen 四者是时上圣大神
'si'zhe'wu'yi 死者无遗
'si'zhe'zhao'cai'zhi'lu 四者招财致禄
'song'jing'xing'dao 诵经行道
'song'yong'dong'zhang 诵咏洞章
'sou'ze'zhong'ren 搜择种人
'su'jian'yu'wen 宿简玉文
'su'kao'jie'san 宿考解散
'suan'hui'bu'lu 算会簿录
'suan'xiao'wu'yue'si'du'he'hai'shui'di 筭校五岳四渎河海水帝
'suan'xiao'yu'zha'jin'ming 筭校玉札金名
'sui'ding'wei'er'bu'shu 虽鼎味而不殊
'sui'er 虽尔
'sui'xing'fu'gan 岁星辅肝
'sui'yun'chen'fu 随运沉浮
'suo'xiang'suo'qiu 所向所求
'suo'yi'cai'zhi'zhe'wu'zhong 所以采之者无终
'suo'yi'cun'zhi'zhe'ruo'sui 所以存之者若遂
'suo'yi'er'zhe 所以尔者
'suo'yi'wei'zhi'zhe'chang'cun 所以为之者长存
