'ai'gan 嗌干
'qing'yan'qi'zhi 请言其制
'qing'yan'shen 请言神
'qing'yan'shen'xing'zhi'ying'jiu'ye'ye 请言身形之应九野也
'qing'yan'xing 请言形
'qing'yan'zhen'ai 请言振埃
'qing'yan'zhen'yao 请言真要
'qing'yan'zhong'shi 请言终始
'qing'yang'fa'cou'li 清阳发腠理
'qing'yang'shang'tian 清阳上天
'qing'yang'shi'si'zhi 清阳实四肢
'qing'yi'zhi'guo 倾移之过
'qing'yu'ru'cang'bi'zhi'ze 青欲如苍璧之泽
'qing'zai'gan 青在肝
'qing'zao'xing'sha 清燥行杀
'qing'ze'bu'zhi 清则补之
'qing'zhe'qi'qi'hua 清者其气滑
'qing'zhe'shang'zhu'yu'fei 清者上注于肺
'qing'zhe'wen'zhi 清者温之
'qing'zhe'you'zhuo 清者有浊
'qing'zhe'zhi'yu'ban 请着之玉版
'qing'zhe'zhu'yin 清者注阴
'qing'zheng'qi'dao 请正其道
'qing'zhi 清之
'qing'zhong'bu'de 轻重不得
'qing'zhong'he'ru 轻重何如
'qing'zhuo'bie'zhi'nai'he 清浊别之奈何
'qing'zhuo'bu'tong 清浊不同
'qing'zhuo'bu'xiang'gan 清浊不相干
'qing'zhuo'xiang'gan 清浊相干
'qing'zhuo'xiang'gan'zhe 清浊相干者
'qing'zu'yan'zhi 请卒言之
'qiong'gu'zhe 穷骨者
'qiong'gui'yi'ti'ye 穷归一体也
'qiu'bi'bing'nue 秋必病疟
'qiu'bi'jie'nue 秋必痎疟
'qiu'bing'nue 秋病疟
'qiu'bing'zai'yang 秋病在阳
'qiu'bu'bing'feng'nue 秋不病风疟
'qiu'bu'shu 秋不数
'qiu'bu'si 秋不死
'qiu'bu'yu 秋不愈
'qiu'cheng'feng'nue 秋成风疟
'qiu'ci'chun'fen 秋刺春分
'qiu'ci'dong'fen 秋刺冬分
'qiu'ci'he 秋刺合
'qiu'ci'jin'gu 秋刺筋骨
'qiu'ci'jing'mai 秋刺经脉
'qiu'ci'luo'mai 秋刺络脉
'qiu'ci'pi'fu'xun'li 秋刺皮肤循理
'qiu'ci'xia'fen 秋刺夏分
'qiu'de'xia'mai 秋得夏脉
'qiu'de'xin'mai 秋得心脉
'qiu'dong'cun'kou'wei'da 秋冬寸口微大
'qiu'dong'er'mai'fu'da 秋冬而脉浮大
'qiu'dong'gan'er'bing'sheng 秋冬感而病生
'qiu'dong'sheng'ye 秋冬生也
'qiu'dong'wei'ni 秋冬为逆
'qiu'dong'xian'zhi'qi'ben 秋冬先治其本
'qiu'dong'yang'yin 秋冬养阴
'qiu'gu'xia'ge'yi 鼽骨下各一
'qiu'hao'zai'mu 秋毫在目
'qiu'ji'zhi'liu'fu 秋极治六腑
'qiu'liang'feng 秋凉风
'qiu'mai'ru'fu 秋脉如浮
'qiu'mai'tai'guo'yu'bu'ji 秋脉太过与不及
'qiu'mai'zhe 秋脉者
'qiu'nv 鼽衄
'qiu'qi'dong'xing 秋气东行
'qiu'qi'jin'qie 秋气劲切
'qiu'qi'shi'yu'shang 秋气始于上
'qiu'qi'shi'yu'you 秋气始于右
'qiu'qi'zai'fen'rou 秋气在分肉
'qiu'qi'zai'pi'fu 秋气在皮肤
'qiu'qi'zhe 秋气者
'qiu'qi'zhi'ye 求其至也
'qiu'qu'jing'yu 秋取经俞
'qiu'qu'jing'yu'he'ye 秋取经俞何也
'qiu'qu'qi'kou 秋取气口
'qiu'qu'zhu'he 秋取诸合
'qiu'ri'xia'fu 秋日下肤
'qiu'san'yue 秋三月
'qiu'san'yue'zhi'bing 秋三月之病
'qiu'shan'bing'feng'nue 秋善病风疟
'qiu'shang'yu'feng 秋伤于风
'qiu'shang'yu'shi 秋伤于湿
'qiu'sheng'chun 秋胜春
'qiu'sheng'nue 秋生疟
'qiu'shou 秋收
'qiu'ti 鼽嚏
'qiu'ti'mu'chi 鼽嚏目赤
'qiu'wei'jie'nue 秋为痎疟
'qiu'wei'wei'mao'yue'ping 秋胃微毛曰平
'qiu'wu'jian'xue 秋无见血
'qiu'xu 丘墟
'qiu'yang'bu'de 求阳不得
'qiu'yi'wei'qi'wei'ben 秋以胃气为本
'qiu'yin'bu'shen 求阴不审
'qiu'ying'zhong'heng 秋应中衡
'qiu'zhe'jin'shi'zhi 秋者金始治
'qiu'zhe'tian'qi'shi'shou 秋者天气始收
'qiu'zhi'bu'de 求之不得
'qiu'zhi'nai'he 求之奈何
'qiu'zhi'shang'xia 求之上下
'qiu'zhi'yi'yi'ye 求之亦异也
'qu'ben'jie'zhi'hou'yi'cun 去本节之后一寸
'qu'bi'er'de'zhi 屈臂而得之
'qu'bu'neng'qian 呿不能欠
'qu'bu'neng'shen 屈不能伸
'qu'ci'zhe 取此者
'qu'di'yi'chi'suo 去地一尺所
'qu'du'bi 取犊鼻
'qu'duan'ban'cun 去端半寸
'qu'duan'ru'jiu'ye 去端如韭叶
'qu'er'bu'qu'yue'bing 去而不去曰病
'qu'er'de'zhi 屈而得之
'qu'er'guo'zhi 曲而过之
'qu'er'jian'qing'mai 取耳间青脉
'qu'er'qian'dong'mai 取耳前动脉
'qu'er'qu'zhi 屈而取之
'qu'er'su'lai 去而速来
'qu'er'zhong 取耳中
'qu'fa'yu'feng'zhen 取法于锋针
'qu'fa'yu'jian'feng 取法于剑锋
'qu'fa'yu'jin'zhen 取法于巾针
'qu'fa'yu'li'zhen 取法于厘针
'qu'fa'yu'qi'zhen 取法于綦针
'qu'fa'yu'shu'su'zhi'rui 取法于黍粟之锐
'qu'fa'yu'xu'zhen 取法于絮针
'qu'fen'jian'jue'pi'fu 取分间绝皮肤
'qu'fen'rou'jian 取分肉间
'qu'fen'shi'lei 区分事类
'qu'fu'bing 去腑病
'qu'fu'bing'ye 去腑病也
'qu'fu'tu'yu'she'ben'chu'xie 取扶突与舌本出血
'qu'gu'jiu'xin 去故就新
'qu'han'jiu'wen 去寒就温
'qu'he'yi'xu'yang'xie 取合以虚阳邪
'qu'huai'ba'cun 去踝八寸
'qu'huai'qi'cun 去踝七寸
'qu'huai'wu'cun 去踝五寸
'qu'ju'er'wei'fang 去矩而为方
'qu'ju'xu'shang'lian 取巨虚上廉
'qu'ju'xu'xia'lian'yi'qu'zhi 取巨虚下廉以去之
'qu'jue'yin'yi'xia'zhi 取厥阴以下之
'qu'jue'yu'dan 取决于胆
'qu'jue'yu'dan'ye 取决于胆也
'qu'lian'quan'zhe 取廉泉者
'qu'mai 瞿麦
'qu'mo'cun'ban 去末寸半
'qu'nei'huai'shang'heng'mai'yi'zhi'zhi 取内踝上横脉以止之
'qu'nei'huai'wu'cun 去内踝五寸
'qu'nei'huai'yi'cun 去内踝一寸
'qu'pi'fu'zhi'xue'zhe 取皮肤之血者
'qu'qi'han're 去其寒热
'qu'qi'hei'zhe 去其黑者
'qu'qi'ji'ye 取其疾也
'qu'qi'jing 取其经
'qu'qi'jing'jue'yin'yu'shao'yang 取其经厥阴与少阳
'qu'qi'jing'shao'yin'tai'yang'xue'zhe 取其经少阴太阳血者
'qu'qi'jing'tai'yin 取其经太阴
'qu'qi'qing'wu'sheng 取其清五升
'qu'qi'shao'yin'yu'yin'gu'zhi'luo 取其少阴于阴股之络
'qu'qi'xiang 去其乡
'qu'qi'xiao'fu'qi'xia'san'jie'jiao 取其小腹脐下三结交
'qu'qi'xue'mai 去其血脉
'qu'qi'yu'wei 取气于卫
'qu'qi'yun'zhi'hua'yuan 取其运之化源
'qu'qi'zhong'du'ye 取其中度也
'qu'qi'zi 去其滓
'qu'qian 去欠
'qu'qu'quan 取曲泉
'qu'quan'fu'gu'zhi'xia 曲泉辅骨之下
'qu'ran'gu 取然谷
'qu'ru'xian'jue 去如弦绝
'qu'san'li 取三里
'qu'san'li'yi'xia 取三里以下
'qu'san'mai'zhe'kuang 取三脉者恇
'qu'san'yang'yu'xia 取三阳于下
'qu'san'yang'zhi'luo 取三阳之络
'qu'san'yang'zhi'mai'zhe 取三阳之脉者
'qu'san'yin'zhi'jing 取三阴之经
'qu'shen'bu'bian 屈伸不便
'qu'shen'bu'li 屈伸不利
'qu'shen'bu'neng 屈伸不能
'qu'shen'chu'ru 屈伸出入
'qu'shen'er'suo'zhi 屈伸而索之
'qu'shi'li'su 去世离俗
'qu'shi'zhi'shi 趋世之士
'qu'shou'shao'yang 取手少阳
'qu'shou'tai'biao'li 取手太表里
'qu'shou'tai'yang 取手太阳
'qu'shou'tai'yang'jing'luo'zhe 取手太阳经络者
'qu'shou'tai'yin 取手太阴
'qu'shou'xiao'zhi'ci'zhi'zhao'jia'xia 取手小指次指爪甲下
'qu'shou'yang'ming 取手阳明
'qu'sui'bing'shen'shao'yang'yi'zuo'you'jian 去岁丙申少阳以作右间
'qu'sui'ren'xu'tai'yang'yi'tui'wei'zuo'you'jian 去岁壬戌太阳以退位作右间
'qu'sui'shao'yang'yi'zuo'you'jian 去岁少阳以作右间
'qu'sui'shao'yin'yi'zuo'you'jian 去岁少阴以作右间
'qu'sui'tai'yang'yi'zuo'you'jian 去岁太阳以作右间
'qu'tian'fu 取天府
'qu'tian'rong'zhe 取天容者
'qu'tian'you 取天牖
'qu'tian'zhu 取天柱
'qu'tou'mian'zuo'you'dong'mai 取头面左右动脉
'qu'wan'chen'cuo 去宛陈莝
'qu'wan'er'cun 去腕二寸
'qu'wan'san'cun 去腕三寸
'qu'wan'yi'cun'ban 去腕一寸半
'qu'wei'wai'gui'yang'ming'ye 去胃外归阳明也
'qu'wei'yang 取委阳
'qu'wei'zhong'yang 取委中央
'qu'wu'mai'zhe'si 取五脉者死
'qu'wu'ri'yi 取五日已
'qu'xi 屈膝
'qu'xi'er'de'zhi 屈膝而得之
'qu'xi'shang'wai'zhe 取膝上外者
'qu'xiang'bu'neng 趋翔不能
'qu'xie'bu'ke'fan'ce 胠胁不可反侧
'qu'xie'qi'bing 胠胁气并
'qu'xie'tong 胠胁痛
'qu'xie'yang'qi 去泻阳气
'qu'xing'yi'shi'yang'qi 取荥以实阳气
'qu'xue'luo'ye 去血络也
'qu'xue'mai'ye 去血脉也
'qu'xue'mai'yi'san'e'xue 取血脉以散恶血
'qu'xue'yu'ying 取血于营
'qu'xue'zhe 取血者
'qu'ya'er'xue 曲牙二穴
'qu'yang'bing 去阳病
'qu'yang'er'han'chu'shen'zhe 取阳而汗出甚者
'qu'yang'ling'quan 取阳陵泉
'qu'ye'shang'gu'xue'ge'yi 曲掖上骨穴各一
'qu'ye'yu'ying 取腋与膺
'qu'yi'chan'zhen'yu'bing'suo 取以镵针于病所
'qu'yi'chang'zhen 取以长针
'qu'yi'chi'zhen'yu'jing'xing'fen'yu 取以鍉针于井荥分俞
'qu'yi'da'zhen 取以大针
'qu'yi'di'si'zhen 取以第四针
'qu'yi'feng'zhen 取以锋针
'qu'yi'hao'zhen 取以毫针
'qu'yi'pi'zhen 取以铍针
'qu'yi'si'shi 取以四时
'qu'yi'yuan'li'zhen 取以圆利针
'qu'yi'yuan'zhen'yu'bing'suo 取以圆针于病所
'qu'yin'yang'zhi'luo 取阴阳之络
'qu'yin'zhi'wei 呿吟至微
'qu'ze 曲泽
'qu'ze'xu 去则虚
'qu'zhao'jia'ru'xie'ye 去爪甲如薤叶
'qu'zhao'xie'shui 去爪泻水
'qu'zhao'zhe 去爪者
'qu'zhe'wei'yin 去者为阴
'qu'zhi 去之
'qu'zhi 取之
'qu'zhi'bi 取之臂
'qu'zhi'bian'hua'er'chi 取汁变化而赤
'qu'zhi'da'dou 取之大都
'qu'zhi'fu'rou 取之肤肉
'qu'zhi'gu 取之骨
'qu'zhi'hang'jian 取之行间
'qu'zhi'he 取之合
'qu'zhi'he'ru 取之何如
'qu'zhi'jin'jian 取之筋间
'qu'zhi'jing 取之井
'qu'zhi'jing 取之经
'qu'zhi'ju'xu'xia'lian 取之巨虚下廉
'qu'zhi'lian'quan 取之廉泉
'qu'zhi'liang'jin'jian'ye 取之两筋间也
'qu'zhi'mai 取之脉
'qu'zhi'nai'he 去之奈何
'qu'zhi'nai'he 取之奈何
'qu'zhi'pi 取之皮
'qu'zhi'qi'jing 取之其经
'qu'zhi'qi'shu'xie'zhi 取之其输泻之
'qu'zhi'qu'wan'cun'ban 取之去腕寸半
'qu'zhi'que'pen'zhong'yi'yue'zhi 取之缺盆中以越之
'qu'zhi'ran'gu 取之然谷
'qu'zhi'ren'ying 取之人迎
'qu'zhi'san'li 取之三里
'qu'zhi'san'li'ye 取之三里也
'qu'zhi'san'li'zhe 取之三里者
'qu'zhi'shang 取之上
'qu'zhi'shao'yang 取之少阳
'qu'zhi'shao'yin 取之少阴
'qu'zhi'shi'bu 去之十步
'qu'zhi'shou'shao'yin'xin'zhu'zhi'yu 取之手少阴心主之俞
'qu'zhi'shou'tai'yin'xing 取之手太阴荥
'qu'zhi'shu 取之输
'qu'zhi'suo'bie'ye 取之所别也
'qu'zhi'suo'bie'zhe'ye 取之所别者也
'qu'zhi'tai'yang 取之太阳
'qu'zhi'tai'yin 取之太阴
'qu'zhi'tian'rong 取之天容
'qu'zhi'tian'tu 取之天突
'qu'zhi'tian'zhu'da'zhu 取之天柱大杼
'qu'zhi'xia 取之下
'qu'zhi'xia'ling'san'li 取之下陵三里
'qu'zhi'xia'xiong'er'xie 取之下胸二胁
'qu'zhi'xia'yu 取之下俞
'qu'zhi'xian'qu'xue'mai 取之先去血脉
'qu'zhi'xing 取之荥
'qu'zhi'yang 取之阳
'qu'zhi'yang'ming 取之阳明
'qu'zhi'yang'ming'he'ye 取之阳明合也
'qu'zhi'yang'zhi'ling'quan'ye 取之阳之陵泉也
'qu'zhi'yi'di'san'zhen 取之以第三针
'qu'zhi'yi'di'si'zhen 取之以第四针
'qu'zhi'yi'shi 取之以时
'qu'zhi'yin 取之阴
'qu'zhi'yin'jue 取之阴蹻
'qu'zhi'yin'jue'ji'san'mao'shang'ji'xue'luo'chu'xie 取之阴蹻及三毛上及血络出血
'qu'zhi'yin'zhi'ling'quan 取之阴之陵泉
'qu'zhi'ying'zhong'wai'yu 取之膺中外喻
'qu'zhi'yong'quan 取之涌泉
'qu'zhi'yong'quan'yu'yin'ling'quan 取之涌泉与阴陵泉
'qu'zhi'you'shu'hu 取之有数乎
'qu'zhi'yu'he 取之于合
'qu'zhi'yu'ji 取之鱼际
'qu'zhi'yu'qi'tian'fu'da'zhu'san'hen 取之于其天府大杼三痕
'qu'zhi'zai'bi'yu'qiu'qian 取之在鼻与頄前
'qu'zhi'zai'xiang'zhong'liang'jin'jian 取之在项中两筋间
'qu'zhi'ze'fu 去之则复
'qu'zhi'zhang'hou'yi'cun 取之掌后一寸
'qu'zhi'zhu'yang 取之诸阳
'qu'zhi'zu'tai'yin'yang'ming 取之足太阴阳明
'qu'zhi'zu'yang'ming'tai'yin 取之足阳明太阴
'qu'zhou'er'de'zhi 屈肘而得之
'qu'zhu'wai'jing'zhe 取诸外经者
'qu'zhu'yu'hao'mao 取注于毫毛
'qu'zu'jue'yin 取足厥阴
'qu'zu'shao'yang 取足少阳
'qu'zu'shao'yin 取足少阴
'qu'zu'shao'yin'guo'zhong'xue'luo 取足少阴腘中血络
'qu'zu'tai'yang 取足太阳
'qu'zu'tai'yang'guo'zhong'xue'luo 取足太阳腘中血络
'qu'zu'tai'yang'xing'yu 取足太阳荥俞
'qu'zu'tai'yang'yang'ming 取足太阳阳明
'qu'zu'tai'yin 取足太阴
'qu'zu'tai'yin'da'zhi'zhi'duan 取足太阴大趾之端
'qu'zu'tai'yin'jue'yin 取足太阴厥阴
'qu'zu'xin'zhe 取足心者
'qu'zu'yang'ming 取足阳明
'quan'chi 颧赤
'quan'da'ze'gu'da 颧大则骨大
'quan'gu'zhe 颧骨者
'quan'heng'yi'ping 权衡以平
'quan'hou'wei'xie'tong 颧后为胁痛
'quan'hou'zhe 颧后者
'quan'rou 犬肉
'quan'suan 犬酸
'quan'suo'nie'zhi'chu'jiu'zhi 犬所啮之处灸之
'quan'xiao'ze'gu'xiao 颧小则骨小
'quan'yong'he'yan 泉涌河衍
'quan'yu'yan'hei 颧与颜黑
'quan'zhe 颧者
'quan'zhen'dao'qi 全真导气
'que'er'zi 阙二字
'que'ju'he'yi'zheng'qi'li 却具合以正其理
'que'lou'ming'mu'zhe 阙漏名目者
'que'nian'shang'xia'jing 却念上下经
'que'pen 缺盆
'que'pen'ge'yi 缺盆各一
'que'pen'gu'shang'qie'zhi'jian'tong'ru'jin'zhe'jiu'zhi 缺盆骨上切之坚痛如筋者灸之
'que'pen'wai'gu'kong'ge'yi 缺盆外骨空各一
'que'pen'wei'zhi'dao 缺盆为之道
'que'pen'yi'xia'zhi 缺盆以下至
'que'pen'zhi'zhong 缺盆之中
'que'pen'zhong'tong 缺盆中痛
'que'pen'zhong'zhong'tong 缺盆中肿痛
'que'ru'er'zhong 却入耳中
'que'shang'zhe 阙上者
'que'tiao'qi'xu'shi 却调其虚实
'que'ting'bi'zhang 阙庭必张
'que'ting'bu'zhang 阙庭不张
'que'xun'yi'hou'xia'lian 却循颐后下廉
'que'yi'zi 阙一字
'que'yu'huo'bu'ji'zhi'sui 却遇火不及之岁
'que'yu'shui'bu'ji'zhi'nian 却遇水不及之年
'que'yu'tu'bu'ji'zhi'nian 却遇土不及之年
'que'ze'shang'jiao'bi 却则上焦闭
'que'zhe 阙者
'que'zhong'zhe 阙中者
'qun'xia'tong'shi 群下通使
'qun'yi'bing'shi 群疑冰释
'ran'bi'cong'qi'jing'qi 然必从其经气
'ran'bi'yin'qi'kai'ye 然必因其开也
'ran'bu'dong'li 然不冻栗
'ran'bu'mian'yu'bing'zhe 然不免于病者
'ran'bu'neng'xian 然不能陷
'ran'bu'qu'yi 然不去矣
'ran'bu'zhi'si 然不致死
'ran'chi'zhong'shi'yi'xiao'jian 然尺中时一小见
'ran'cong'ke'de'zhi 然从客得之
'ran'dong'ze'yin'qi'sheng'er'yang'qi'shuai 然冬则阴气盛而阳气衰
'ran'er'bu'xing'jian'yu'wai 然而不形见于外
'ran'er'bu'xing'yu'wai 然而不形于外
'ran'er'pi'shan'e'ke'de'jian'zhi'hu 然而脾善恶可得见之乎
'ran'er'qi'mian'bu'yi 然而其面不衣
'ran'er'qi'wen'jian 然而其文简
'ran'er'wu'wei'suo'zi 然而五味所资
'ran'er'zhong'zi'ai'qi'bu'zhong 然而众子哀其不终
'ran'fei'yu'zhi'suo'wen'ye 然非余之所问也
'ran'fei'zhang'zhi'she'ye 然非胀之舍也
'ran'fu'zi'shu'yan'xing'yu'shen 然夫子数言形与神
'ran'gu 然谷
'ran'gu'zhi'qian 然骨之前
'ran'gu'zhi'xia'zhe'ye 然骨之下者也
'ran'he'yi'ming'qi'ying'hu 然何以明其应乎
'ran'hou'bi'bo'zhe 然后臂薄者
'ran'hou'chang'yi'ping'dan'wei'ji 然后常以平旦为纪
'ran'hou'jue'qi'zai'xia 然后厥气在下
'ran'hou'ke'ru'yu'yi'shi 然后可入于疫室
'ran'hou'nai'ke'yi'yan'si'sheng'zhi'ni'shun 然后乃可以言死生之逆顺
'ran'hou'reng'ke'ming'ni'shun'zhi'xing'ye 然后仍可明逆顺之行也
'ran'hou'shi'qi'bing 然后视其病
'ran'hou'tiao'zhi 然后调之
'ran'hou'xie'you'yu 然后泻有余
'ran'hou'zhi'bing'mai 然后知病脉
'ran'ji'shen'shou'er'sui'bu'qu 然即神守而虽不去
'ran'jiang'pu 然僵仆
'ran'ke'yi'yan'jing 然刻意研精
'ran'liu'qi'wang'fu 然六气往复
'ran'pi'mai'du'he'zhu 然脾脉独何主
'ran'pi'you'bu 然皮有部
'ran'qi'fen'bie'yin'yang 然其分别阴阳
'ran'qi'xu'bu'qu 然其须不去
'ran'qi'xu'bu'sheng'qi'gu'he'ye 然其须不生其故何也
'ran'qi'yao'yi'ye 然其要一也
'ran'qi'zu'fa'zhe 然其卒发者
'ran'shang'feng'song'fu'zhi 然尚讽诵弗置
'ran'suo'he 然所合
'ran'tian'di'zhe 然天地者
'ran'tiao'qi'qi 然调其气
'ran'wei'de'qi'yao'dao'ye 然未得其要道也
'ran'wu'gu'yu'wei'wei'da'hai'ye 然五谷与胃为大海也
'ran'you'bu'mian'yu'bing 然犹不免于病
'ran'you'qi'du'jin'tian'shou 然有其独尽天寿
'ran'you'zu'bing'zhe 然有卒病者
'ran'yu'min'wei'bing 然与民为病
'ran'yu'yuan'wen'fu'zi'yi'zhi'jin'yan'qi'chu 然余愿闻夫子溢志尽言其处
'ran'yu'yuan'za'zhi'hao'mao 然余愿杂之毫毛
'ran'yuan'wen'qi'dao 然愿闻其道
'ran'ze'zhong'wei'yin 然则中为阴
'ran'zhen'xie'yi'he 然真邪以合
'ran'zhi'you'feng'qi'ye 然致有风气也
'rao'bi'ru'mao'ji 绕髀入毛际
'rao'cuan'hou 绕篡后
'rao'er'da'luan 扰而大乱
'rao'jian'jia 绕肩胛
'rao'jian'jia'yin'jing'er'tong 绕肩胛引颈而痛
'rao'mao'ji 绕毛际
'rao'yin'yang'zhi'ji'ye 扰阴阳之纪也
're'bing 热病
're'bing'bu'ke'ci'zhe'you'jiu 热病不可刺者有九
're'bing'bu'zhi'suo'tong 热病不知所痛
're'bing'cong'bu'suo'qi'zhe 热病从部所起者
're'bing'di'er'shi'san 热病第二十三
're'bing'ke'yu 热病可愈
're'bing'mai'jing 热病脉静
're'bing'mian'qing 热病面青
're'bing'qi'ri'ba'ri 热病七日八日
're'bing'qi'xue 热病气穴
're'bing'san'ri 热病三日
're'bing'shen'zhong'gu'tong 热病身重骨痛
're'bing'sheng'yu'shang 热病生于上
're'bing'shi'shou'bi'bing'zhe 热病始手臂病者
're'bing'shi'yu'tou'shou'zhe 热病始于头首者
're'bing'shu'jing 热病数惊
're'bing'tou'tong 热病头痛
're'bing'xian'fu'tong 热病先肤痛
're'bing'xian'shen'se'yi'er're 热病先身涩倚而热
're'bing'xian'shen'zhong'gu'tong 热病先身重骨痛
're'bing'xian'xiong'xie'tong 热病先胸胁痛
're'bing'xian'xuan'mao'er're 热病先眩冒而热
're'bing'xie'qi'ji'tong 热病挟脐急痛
're'bing'xing'yu'xia 热病行于下
're'bing'ye 热病也
're'bing'yi'de'han'chu 热病已得汗出
're'bing'yi'de'han'er'mai'shang'zao'sheng 热病已得汗而脉尚躁盛
're'bing'yi'gan'duo'yin 热病溢干多饮
're'bing'zhe 热病者
're'bu'neng'huan 热不能还
're'bu'shen 热不甚
're'bu'yi'zhe'si 热不已者死
're'du'bu'sheng 热毒不生
're'duo'han'chu'shen 热多汗出甚
're'duo'han'shao 热多寒少
're'duo'ze'jin'chi'gu'xiao 热多则筋弛骨消
're'duo'ze'nao'ze 热多则淖泽
're'er'jing'zhe'si 热而痉者死
're'er'tong 热而痛
're'er'xing'zhi 热而行之
're'fan'shang'xing 热反上行
're'fan'sheng'zhi 热反胜之
're'ge 热格
're'han 热寒
're'han'sheng'fu'tong 热寒胜复同
're'hou'er'bao 热后而暴
're'hua'er 热化二
're'hua'han'hua'sheng'fu'tong 热化寒化胜复同
're'hua'han'hua'sheng'fu'tong 热化寒化胜负同
're'hua'nai'bu 热化乃布
're'hua'qi 热化七
're'hua'yu'tian 热化于天
're'ji'sheng'han 热极生寒
're'jia'zao 热加燥
're'jian'qi'ri'si 热见七日死
're'jian'shan'jing 热间善惊
're'jue'he'ru'er'ran'ye 热厥何如而然也
're'jue'qu'zu'tai'yin 热厥取足太阴
're'jue'zhi'wei're'ye 热厥之为热也
're'ke'yu'wei 热客于胃
're'li'xia'zhong'zhe'bai'tou'weng'tang'zhu'zhi 热利下重者白头翁汤主之
're'lun 热论
're'lun'pian'di'san'shi'yi 热论篇第三十一
're'qi'chun'sheng 热气淳盛
're'qi'da'lai 热气大来
're'qi'da'xing 热气大行
're'qi'liu'yu'wei 热气留于胃
're'qi'liu'yu'xiao'chang 热气留于小肠
're'qi'sheng 热气盛
're'qi'sheng'qing 热气生清
're'qi'wang'xing 热气妄行
're'qi'xia'lin 热气下临
're'qi'xun'xiong'zhong 热气熏胸中
're'qi'yin'yu'zhen 热气因于针
're'qi'zai'zhong 热气在中
're'qi'zhi'ze'tong'shang'yi 热气至则痛上矣
're'qi'zhi'zhi 热气治之
're'qi'zhu'zhi 热气主之
're'qu'han'chu 热去汗出
're'qu'han'xi 热去汗稀
're'qu'nai'zhi 热去乃止
're'shang'pi'fu'tong 热上皮肤痛
're'shang'pi'mao 热伤皮毛
're'shang'qi 热伤气
're'shen'er'qiang'shi'zhi 热甚而强食之
're'shen'sheng'fan 热甚生烦
're'shen'ze'e'huo 热甚则恶火
're'shen'ze'han 热甚则寒
're'sheng 热胜
're'sheng'han 热生寒
're'sheng'huo 热生火
're'sheng'qi'han 热胜其寒
're'sheng'yu'nei 热生于内
're'sheng'yu'shen 热盛于身
're'sheng'yu'zhong 热盛于中
're'sheng'ze'fu'rou 热胜则腐肉
're'sheng'ze'zhong 热胜则肿
're'shi 热食
're'si'yu'di 热司于地
're'sui'shen'bu'si 热虽甚不死
're'wu'fan're 热无犯热
're'wu'zhuo'zhuo 热无灼灼
're'xing'nai'zhi 热行乃止
're'xing'yu'shang 热行于上
're'xun'fen'cou 热熏分腠
're'xun'hun'huo'xia'hua'tong 热曛昏火夏化同
're'ye 热也
're'yin'han'yong 热因寒用
're'yin'suo'sheng 热淫所胜
're'yin'tong 热淫同
're'yin'yu'nei 热淫于内
're'you'zhi'zhi 热犹治之
're'yu 热郁
're'yu'huai'tan 热于怀炭
're'yu'wu'shi'jiu'xue 热俞五十九穴
're'yu'zai'qi'xue 热俞在气穴
're'zai'sui 热在髓
're'ze'chang'zhong'ming 热则肠中鸣
're'ze'ji'zhi 热则疾之
're'ze'jin'chi'zong'bu'shou 热则筋弛纵不收
're'ze'jin'zong 热则筋纵
're'ze'jin'zong'bu'shou 热则筋纵不收
're'ze'nei'zhe'yu'zhen 热则内着于针
're'ze'tong'jie 热则痛解
're'ze'xiao'ji'fu 热则消肌肤
're'ze'zi'yu'er'zai'shang 热则滋雨而在上
're'zhe'han'zhi 热者寒之
're'zhe'nai'han 热者耐寒
're'zheng'ze'chuan'ke 热争则喘咳
're'zheng'ze'kuang'yan'ji'jing 热争则狂言及惊
're'zheng'ze'xiang'tong'er'qiang 热争则项痛而强
're'zheng'ze'yao'tong 热争则腰痛
're'zheng'ze'zu'xin'tong 热争则卒心痛
're'zhi'er'han'zhe 热之而寒者
're'zhi'han'chu 热止汗出
're'zhi'ze'shen're 热至则身热
're'zhong'ji're'bing'zhe'yi'ri'zhong'si 热中及热病者以日中死
're'zhuang 热壮
'ren'bing 人病
'ren'bing'wei'wan'yong'zhe 人病胃脘痈者
'ren'bing'wu'chang 人禀五常
'ren'bing'wu'chang'yi'you'wu'zang 人禀五常以有五藏
'ren'bing'xin'xu 人病心虚
'ren'bing'zi'ju 人病自具
'ren'bu'bing'zu'si 人不病卒死
'ren'chen 壬辰
'ren'chi'mian'mu'ying'xing 人齿面目应星
'ren'chu'ru'qi'ying'feng 人出入气应风
'ren'du'gui'si 壬笃癸死
'ren'duo'si'wang 人多死亡
'ren'duo'si'yi 人多死矣
'ren'fa'chi'er'mu'wu'sheng 人发齿耳目五声
'ren'fan'wu'shen'yi'wei 人犯五神易位
'ren'fei'bing 人肺病
'ren'gan'mu'ying'zhi'jiu 人肝目应之九
'ren'gui'bu'si 壬癸不死
'ren'gui'bu'yu 壬癸不愈
'ren'gui'da'han 壬癸大汗
'ren'gui'ri'zi'cheng 壬癸日自乘
'ren'gui'shen 壬癸甚
'ren'huo'hui'nu 人或恚怒
'ren'jiang'shi'zhi'ye 人将失之耶
'ren'jin'ying'shi 人筋应时
'ren'jing'bu'tong 人经不同
'ren'jing'mai'shang'xia'zuo'you'qian'hou'er'shi'ba'mai 人经脉上下左右前后二十八脉
