'an'hao'xin'xue 暗耗心血
'shang'xing'chi'gu 上行尺骨
'shang'xing'dao'gao'wan'bu 上行到睾丸部
'shang'xing'dao'xiang 上行到项
'shang'xing'gui'shu'pang'guang 上行归属膀胱
'shang'xing'guo'nei'zhuan'de'qian'yuan 上行过内赚的前缘
'shang'xing'guo'xi'nei'ce 上行过膝内侧
'shang'xing'jin'ru'fa'ji 上行进入发际
'shang'xing'jin'ru'ji'xie'zhi'jian 上行进入季胁之间
'shang'xing'jing'guo'fei 上行经过肺
'shang'xing'jing'zhou'bu 上行经肘部
'shang'xing'lian'jie'mu'xi 上行连接目系
'shang'xing'ru'nao 上行入脑
'shang'xing'yan'jing'wai'ce'yuan 上行沿胫外侧缘
'shang'xing'yu'du'mai'hui'yu'tou'ding'bu 上行与督脉会于头顶部
'shang'xing'zhi'fu'bu 上行至腹部
'shang'xing'zhi'mao'ji 上行至毛际
'shang'xing'zhi'tou'ding 上行至头顶
'shang'xing'zhi'xia'ling'bu 上行至下领部
'shang'xing'zhi'xia'ling'jiao 上行至下领角
'shang'xing'zhi'yan'hou 上行至咽喉
'shang'xun'nao'wai'hou'lian 上循臑外后廉
'shang'xun'zu'yong'shang'lian 上循足用上廉
'shang'yan'jing'gu 上沿胫骨
'shang'yan'nei'lian 上胭内廉
'shang'yan'qian'bi 上沿前臂
'shang'yang'xue 商阳穴
'shang'yu 上鱼
'shang'yu'feng'zhe 伤于风者
'shang'yu'shi'zhe 伤于湿者
'shang'yu'shu 伤于暑
'shang'yu'wai'shi 伤于外湿
'shang'zhi'nei'ce'qian'yuan 上肢内侧前缘
'shang'zhi'nei'ce'zhong'xian 上肢内侧中线
'shang'zhi'shen 上至肾
'shang'zhi'shen'ce'qian'yuan 上肢伸侧前缘
'shang'zhi'tou'jiao 上至头角
'shang'zhi'wai'ce'hou'yuan 上肢外侧后缘
'shang'zhi'yu'tou 上至于头
'shang'zhu'fei 上注肺
'shang'zhu'xi'gu 上注溪谷
'shang'zhu'yu'fei'mai 上注于肺脉
'shang'zou'da'tui'wai'ce 上走大腿外侧
'shang'zou'ye'qian'yuan 上走腋前缘
'shao'chong'xue 少冲穴
'shao'fu 少府
'shao'shang'xue 少商穴
'shao'shou'ci'ji 稍受刺激
'shao'yan'er'chen'jing'zhe 少言而沉静者
'shao'yang'jing 少阳经
'shao'yang'jing'xing'yu'ce'mian 少阳经行于侧面
'shao'yang'jing'xing'yu'tou'ce'bu 少阳经行于头侧部
'shao'yang'yu'jue'yin'wei'biao'li 少阳与厥阴为表里
'shao'yang'yu'xin'zhu'wei'biao'li 少阳与心主为表里
'shao'yin'tai'yang'zai'hou'yuan 少阴太阳在后缘
'shao'ze'xue 少泽穴
'she'dan'mai'chi 舌淡脉迟
'she'de'wei'jue'gong'neng 舌的味觉功能
'she'gan'zhi'qing'yang'bu'sheng 设肝之清阳不升
'she'gen'liang'pang 舌根两旁
'she'jiang'yu'rui 舌强语睿
'she'juan'she'qiang 舌卷舌强
'she'mian'wu'biao'pi'fu'gai 舌面无表皮覆盖
'she'na'wu'quan 摄纳无权
'she'neng'ming'che'yin'yang 设能明彻阴阳
'she'neng'yan'yi'er'zi 舌能言一二字
'she'sheng 摄生
'she'shui'lin'yu 涉水淋雨
'she'ti'hong'huo'rong'run 舌体红活荣润
'she'wei'xin'zhi'miao 舌为心之苗
'she'wei'xin'zhi'wai'hou 舌为心之外候
'she'zhe'yin'sheng'zhi'ji'ye 舌者音声之机也
'she'zhi'dan'bai'pang'nen 舌质淡白胖嫩
'she'zhi'de'se'ze 舌质的色泽
'she'zhi'hong'er'shao'jin 舌质红而少津
'she'zhi'hong'jiang'shou'bie 舌质红绛瘦瘪
'shen'ben'shen'yin'yang'shi'tiao 肾本身阴阳失调
'shen'bing'ji'gan 肾病及肝
'shen'bu'zhu'shui 肾不主水
'shen'bu'zu'ze'bei 神不足则悲
'shen'cang'jing'yi'zi'yang'gan'de'yin'xue 肾藏精以滋养肝的阴血
'shen'cang'zhi 肾藏志
'shen'cang'zhi'zhu'kong 肾藏志主恐
'shen'de'bi'cang'zuo'yong 肾的闭藏作用
'shen'de'feng'cang'shi'si'shi 肾的封藏失司时
'shen'de'na'qi'gong'neng'jian'tui 肾的纳气功能减退
'shen'de'qi'hua'shi'si 肾的气化失司
'shen'de'zheng'teng'qi'hua 肾的蒸腾气化
'shen'duan'chang 审短长
'shen'er'bu'jian 深而不见
'shen'guan'san'yin'san'yang 渗灌三阴三阳
'shen'he'pang'guang 肾和膀胱
'shen'he'ze'er'neng'wen'wu'yin'yi 肾和则耳能闻五音矣
'shen'jian'dong'qi 肾间动气
'shen'jian'dong'qi'zhi'suo'zai 肾间动气之所在
'shen'jing'chu'luo'xin 肾经出络心
'shen'jing'guan'gan 肾经贯肝
'shen'jing'he'xue 肾经合穴
'shen'jing'ren'fei 肾经人肺
'shen'liang'zhe 肾两者
'shen'mai'xue 申脉穴
'shen'mu'nan 沈目南
'shen'nai'zi'sheng 神乃自生
'shen'pi'ti'juan 神疲体倦
'shen'qi'bu'zu 肾气不足
'shen'qi'chong'sheng 肾气充盛
'shen'qi'chong'zu 肾气充足
'shen'qi'ping'jun 肾气平均
'shen'qi'sheng 肾气盛
'shen'qi'shi 肾气实
'shen'qi'shuai 肾气衰
'shen'qi'shuai'ruo 肾气衰弱
'shen'qi'tong'yu'er 肾气通于耳
'shen'qiu'duo'zao'bing 深秋多燥病
'shen'qu'ze'si'yi 神去则死矣
'shen'ru'mai'nei'zhi'jin'ye'bu'zu 渗入脉内之津液不足
'shen'ru'pang'guang'de'niao'ye 渗入膀胱的尿液
'shen'ru'ti'qiang 深入体腔
'shen'ru'yu'xue'mai'de'jin'ye 渗入于血脉的津液
'shen'san'yin 渗三阴
'shen'shang'ze'xin'qie'er'kong 神伤则心怯而恐
'shen'sheng'gan'shui'sheng'mu 肾生肝水生木
'shen'shu'shui 肾属水
'shen'shu'shui'er'zhi'yu'pi'tu 肾属水而制于脾土
'shen'shui'bi'xu'shang'ji'yu'xin 肾水必须上济于心
'shen'shui'bu'neng'shang'ji'yu'xin'er'ning'ju 肾水不能上济于心而凝聚
'shen'shui'bu'zu 肾水不足
'shen'shui'sheng'gan'mu 肾水生肝木
'shen'suo'pai'sheng 神所派生
'shen'ti'duan'lian 身体锻炼
'shen'ti'sheng'zhuang 身体盛壮
'shen'wei'gan'mu 肾为肝母
'shen'wei'mu'zang 肾为母脏
'shen'wei'qi'zhi'gen 肾为气之根
'shen'wei'shui'huo'zhi'zang 肾为水火之脏
'shen'wei'wu'zang'zhi'ben 肾为五脏之本
'shen'wei'yu'yao'bu 肾位于腰部
'shen'wei'zhu'shui'zhi'zang 肾为主水之脏
'shen'wu'ci 肾无此
'shen'xie'zhong'man'zhi'zheng 渗泄中满之症
'shen'xu'shui'fan'ke'ling'xin'she'fei 肾虚水泛可凌心射肺
'shen'yang'shi'wei 肾阳式微
'shen'yang'xu 肾阳虚
'shen'yin'kui'sun'er'gan'yin'bu'zu 肾阴亏损而肝阴不足
'shen'yin'wei'yi'shen'yin'ye'zhi'gen'ben 肾阴为一身阴液之根本
'shen'yin'wei'zhu'yin'zhi'ben 肾阴为诸阴之本
'shen'yin'xu'yi'bu'neng'shang'zi'fei'yin 肾阴虚亦不能上滋肺阴
'shen'yin'xu'zheng'hou 肾阴虚证候
'shen'you'cang'jing'zhu'shui 肾有藏精主水
'shen'you'er'mei 肾有二枚
'shen'you'liang'mei 肾有两枚
'shen'you'she'na'fei'suo'xi'ru'de'qing'qi 肾有摄纳肺所吸入的清气
'shen'you'shen'yin'shen'yang 肾有肾阴肾阳
'shen'you'suo'cang 肾有所藏
'shen'you'yu'ze'xiao'bu'xiu 神有余则笑不休
'shen'yu'ming'men'xiang'tong 肾与命门相通
'shen'yu'pang'guang 肾与膀胱
'shen'yu'pang'guang'xiang'wei'biao'li 肾与膀胱相为表里
'shen'yu'xue 肾俞穴
'shen'zai'wu'xing'shu'shui 肾在五行属水
'shen'zang'shuai 肾脏衰
'shen'ze'bian'xing'cui'lie 甚则变形脆裂
'shen'ze'chuo'lie 甚则辍裂
'shen'ze'dao'zhi'si'wang 甚则导致死亡
'shen'ze'du'men'ao'nong 甚则督闷懊侬
'shen'ze'ou'xue'xiang'xie 甚则呕血飨泄
'shen'ze'shang'wei'chuan'hu 甚则上为喘呼
'shen'ze'shui'bi'fu'zhong 甚则水闭附肿
'shen'ze'xia'xue'beng'lou'deng 甚则下血崩漏等
'shen'ze'yu'jiu'deng 甚则瘀疚等
'shen'zhe'shui'zang 肾者水脏
'shen'zhe'zhu'shui 肾者主水
'shen'zhe'zhu'zhe 肾者主蛰
'shen'zhi'bian'ye 神之变也
'shen'zhi'biao 肾之标
'shen'zhi'ce'bu 身之侧部
'shen'zhi'huang'hu 神志恍惚
'shen'zhi'qing'xi 神志清晰
'shen'zhi'sheng'chuang 甚至生疮
'shen'zhi'yi'niao 甚至遗尿
'shen'zhong'jing'qi'bu'zu 肾中精气不足
'shen'zhong'jing'qi'chong'pei 肾中精气充沛
'shen'zhong'jing'qi'chong'ying 肾中精气充盈
'shen'zhong'jing'qi'de'zheng'teng'qi'hua 肾中精气的蒸腾气化
'shen'zhong'jing'qi'de'zheng'teng'qi'hua'shi'chang 肾中精气的蒸腾气化失常
'shen'zhong'jing'qi'duo'jian'shuai'tui 肾中精气多见衰退
'shen'zhong'jing'qi'wei'sheng 肾中精气未盛
'shen'zhong'jing'qi'zhu'gu'sheng'sui 肾中精气主骨生髓
'shen'zhu'gu'sheng'sui 肾主骨生髓
'shen'zhu'shen'zhi'gu'sui 肾主身之骨髓
'shen'zhu'shui'er'gui'shu'yu'shui 肾主水而归属于水
'shen'zhu'yang 渗诸阳
'shen'zhu'yu'mai'zhong 渗注于脉中
'shen'zhu'yu'xue'mai 渗注于血脉
'shen'zu'shao'yin'zhi'mai 肾足少阴之脉
'sheng'cheng'he'dai'xie 生成和代谢
'sheng'cheng'niao'ye'er'pai'chu'ti'wai 生成尿液而排出体外
'sheng'chuan'shu'jue'zhe 盛喘数绝者
'sheng'fu'zhe'wei'yang 升浮者为阳
'sheng'gao'qi'cu 声高气粗
'sheng'he'jiang 升和降
'sheng'hua'bu'xi 生化不息
'sheng'hua'cheng'zai 生化承载
'sheng'hua'xi'yi 生化息矣
'sheng'hua'yu'pi 生化于脾
'sheng'hua'zhi'yu 生化之宇
'sheng'huo'gong'zuo'huan'jing 生活工作环境
'sheng'ji'zong'lu 圣济总录
'sheng'jiang'chu'ru'yi'chang'er'ni'luan 升降出入异常而逆乱
'sheng'jiang'zhi'shu 升降之枢
'sheng'ke'guan'xi 生克关系
'sheng'ke'he'zhi'hua'xiang'sheng 生克和制化相生
'sheng'ke'zhi'hua'yi'chang 生克制化异常
'sheng'li'gong'neng'jiao'ruo 生理功能较弱
'sheng'ming'zhi'yuan 生命之源
'sheng'qing'he'jiang'zhuo 升清和降浊
'sheng'se'zhi'mai'wei'shun 生色之脉为顺
'sheng'sheng'bu'xi 生生不息
'sheng'sheng'zhi'ji 生生之机
'sheng'shi'shang'sheng 升是上升
'sheng'shou'shi'wu 盛受食物
'sheng'shuai'bian'hua 盛衰变化
'sheng'wo 生我
'sheng'wo'zhe'wei'mu 生我者为木
'sheng'wo'zhe'wei'mu 生我者为母
'sheng'wu 生物
'sheng'xi'de'yin'yang 声息的阴阳
'sheng'xi'nu'si'you'kong 生喜怒思忧恐
'sheng'xue'you'yuan 生血有源
'sheng'yang'fa'biao 升阳发表
'sheng'yi'er'jiang 升已而降
'sheng'yin'neng'zhang 声音能彰
'sheng'zhang'fa'yu'bu'liang 生长发育不良
'sheng'zhang'sheng'fa 生长升发
'sheng'zhe'wei'di 升者为地
'sheng'zhe'wei'di 升者谓地
'sheng'zhi'ben'ye 生之本也
'sheng'zhi'ji'neng'di'xia 生殖机能低下
'sheng'zhi'lai'wei'zhi'jing 生之来谓之精
'sheng'zhi'neng'li 生殖能力
'sheng'zhi'zhi'jing 生殖之精
'sheng'zhong'you'zhi 生中有制
'shi'bing'lun 时病论
'shi'bing'zheng'zhuang'duo'nian'zhi'er'bu'shuang 湿病症状多粘滞而不爽
'shi'chang 失常
'shi'chu'tu'ran'er'shou'jing 事出突然而受惊
'shi'dao 食道
'shi'dao'liang'pang 食道两旁
'shi'dao'shang'xing 食道上行
'shi'du'zeng'jia 湿度增加
'shi'er'bu'man 实而不满
'shi'er'bu'neng'man'ye'xi'shou 实而不能满也吸收
'shi'er'jing'mai'de'qi'xue 十二经脉的气血
'shi'er'jing'mai'de'zou'xiang'he'jiao'jie 十二经脉的走向和交接
'shi'er'jing'mai'ji'qi'fen'zhi 十二经脉及其分支
'shi'er'jing'mai'ji'qi'suo'shu'luo'mai 十二经脉及其所属络脉
'shi'er'jing'mai'zhi'gen 十二经脉之根
'shi'er'jing'mai'zhi'qi'de'san'bu 十二经脉之气的散布
'shi'er'jing'zhe 十二经者
'shi'er'zheng'jing'de'yin'yang'biao'li'xiang'jie 十二正经的阴阳表里相接
'shi'guan'he'qi'guan'de'xiang'hui'chu 食管和气管的相会处
'shi'han'zheng 实寒证
'shi'hu'xi'dao'bao'chi'jie'jing 使呼吸道保持洁净
'shi'ji 食积
'shi'ji'bu'hua 食积不化
'shi'ji'gui'zhong'yu'shen'wei'yan 是极贵重于肾为言
'shi'jing'qi'wu'gu'liu'shi 使精气无故流失
'shi'jue 视觉
'shi'jue'qi'guan 视觉器官
'shi'jue'ting'jue 视觉听觉
'shi'liu'bie'luo 十六别络
'shi'ming'men'zong'hu'liang'shen 是命门总乎两肾
'shi'nai'guo'xin'zhi'bao'mo'ye 实乃裹心之包膜也
'shi'qi'pi'qi 实其脾气
'shi'qi'ren'wei 食气人胃
'shi'qi'ru'wei 食气入胃
'shi'qi'wai 视其外
'shi'qi'xu'shi 视其虚实
'shi'qi'zui'sheng'de'ji'jie 湿气最盛的季节
'shi'qu'yi'fu 失去依附
'shi'que'wen'xu 失却温煦
'shi're 湿热
'shi're'jian'yin'kui'zheng 实热兼阴亏证
'shi're'xie'xie 湿热泄泻
'shi're'zheng'zhuan'hua'wei'xu're'zheng 实热证转化为虚热证
'shi'ren'xi'xiao'bu'zhi 使人喜笑不止
'shi'ren'yi'bei 使人易悲
'shi'ren'zhi'bing 使人致病
'shi'ru'ren'bi 食入人鼻
'shi'se'wei'ke 时色为客
'shi'shao 食少
'shi'shen'nai'xin'zang'sheng'hua'zhi'zhu 是肾乃心脏生化之主
'shi'shen'zhe'wang 失神者亡
'shi'shen'zhi'liang'zhe 是肾之两者
'shi'ting'de'gan'jue'neng'li 视听的感觉能力
'shi'wei'chang'xia'zhu'qi 湿为长夏主气
'shi'wei'jin 是谓津
'shi'wei'qi 是谓气
'shi'wei'ren'yong 是为人用
'shi'wei'shou'zhi'yin'yang'ye 是为手之阴阳也
'shi'wei'xue 是谓血
'shi'wei'ye 是谓液
'shi'wei'zu'yin'yang'ye 是为足阴阳也
'shi'wen'bing 湿温病
'shi'wu'bu'qing'huo'ye'mang 视物不清或夜盲
'shi'wu'can'zha 食物残渣
'shi'wu'ru'kou 食物入口
'shi'wu'wu'ran 食物污染
'shi'wu'xia'da'shi'guan 食物下达食管
'shi'xia 食下
'shi'xian'ti'nei'wai'qi'ti'de'jiao'huan 实现体内外气体的交换
'shi'xie'jie'ju 实邪结聚
'shi'xie'kun'pi 湿邪困脾
'shi'xie'liu'zhi'jing'luo'guan'jie 湿邪留滞经络关节
'shi'xie'qin'ji'ren'ti 湿邪侵及人体
'shi'xie'qin'xi'ren'ti 湿邪侵袭人体
'shi'xie'wai'gan 湿邪外感
'shi'xie'wai'xi'ji'biao 湿邪外袭肌表
'shi'xie'wei'bing 湿邪为病
'shi'xie'xia'zhu 湿邪下注
'shi'xing'hui'zhuo 湿性秽浊
'shi'xing'nian'zhi 湿性粘滞
'shi'xing'qu'xia 湿性趋下
'shi'xue'ye'yun'xing'de'ji'ben'dong'li 是血液运行的基本动力
'shi'yi'sheng'jiang'chu'ru 是以升降出入
'shi'yu'jian'tui 食欲减退
'shi'ze'bu'chuan 实则不传
'shi'zhen 湿疹
'shi'zhen'jin'yin'liu'shui 湿疹浸淫流水
'shi'zhi'wei'wan 食滞胃脘
'shi'zhi'xing'zang'qi 实质性脏器
'shi'zu'zheng'zhuang 湿阻症状
'shou'bei 手背
'shou'huo'nong'zuo'wu 收获农作物
'shou'jing'xing'yu'shang'zhi 手经行于上肢
'shou'jue'yin'jing'bie 手厥阴经别
'shou'jue'yin'jing'jin 手厥阴经筋
'shou'na 受纳
'shou'na'yu'fu'shu'shui'gu 受纳与腐熟水谷
'shou'ru'guo 首如裹
'shou'san'yang'ji 手三阳级
'shou'san'yang'jing'xing'yu'jian'jia'bu 手三阳经行于肩胛部
'shou'san'yang'jing'yu'zu'san'yang 手三阳经与足三阳
'shou'san'yang'jing'zhi'yu'tou'bu 手三阳经止于头部
'shou'san'yin'jing 手三阴经
'shou'shao'yang'jing 手少阳经
'shou'shao'yang'jing'bie'cong 手少阳经别从
'shou'shao'yang'jing'mai'de 手少阳经脉的
'shou'shao'yang'yu'shou'jue'yin'jing'bie 手少阳与手厥阴经别
'shou'shao'yin'jing'mai 手少阴经脉
'shou'shao'yin'xin'jing'shu'xin 手少阴心经属心
'shou'shao'yin'zhi'bie 手少阴之别
'shou'sheng'he'chuan'hua'shui'gu 受盛和传化水谷
'shou'sheng'wei'zhong'shui'gu'er'fen'qing'zhuo 受盛胃中水谷而分清浊
'shou'suo'qian'yin'zhi'yi 收缩牵引之意
'shou'tai'yang'jing'bie 手太阳经别
'shou'tai'yang'jing'mai 手太阳经脉
'shou'tai'yang'yu'shao'yin'wei'biao'li 手太阳与少阴为表里
'shou'tai'yang'zhi'bie'luo'cong'zhi'zheng'xue'chu'fen'chu 手太阳之别络从支正穴处分出
'shou'tai'yin'jing'mai 手太阴经脉
'shou'wan 手腕
'shou'wan'bei'mian 手腕背面
'shou'wei'xiang'guan 首尾相贯
'shou'wo'zhi'qi'zhe 受我之气者
'shou'wu'zang'liu'fu'zhi'jing'er'cang'zhi 受五脏六腑之精而藏之
'shou'xie 受邪
'shou'yang'ming'jing'bie 手阳明经别
'shou'yang'ming'jing'mai 手阳明经脉
'shou'yang'ming'yu'shou'tai'yin'jing'bie 手阳明与手太阴经别
'shou'yao'gang'rou 寿夭刚柔
'shou'zhi'san'yang 手之三阳
'shou'zhi'san'yin 手之三阴
'shou'zu'san'yin'san'yang 手足三阴三阳
'shou'zu'shi'er'jing 手足十二经
'shou'zu'tai'yang'yang'ming 手足太阳阳明
'shou'zu'wu'cuo 手足无措
'shou'zu'zhen'chan 手足振颤
'shu'bian 数变
'shu'bu'pai'xie'yi'chang 输布排泄异常
'shu'bu'yu'quan'shen 输布于全身
'shu'bu'yu'wai'zhou 输布于外周
'shu'da'chang 属大肠
'shu'dan 属胆
'shu'gan 属肝
'shu'gan'jian'pi'fa 疏肝健脾法
'shu'gan'luo'dan 属肝络胆
'shu'gan'ping'gan 疏肝平肝
'shu'jing'yu'pi'mao 输精于皮毛
'shu'jing'yu'pi'mao'deng'sheng'li'gong'neng 输精于皮毛等生理功能
'shu'mu'de'sheng'zhang'xing'tai 树木的生长形态
'shu'nei'sheng'zhe 属内生者
'shu'pang'guang 属膀胱
'shu'pi 属脾
'shu're 暑热
'shu're'zheng'zhuang 暑热症状
'shu're'zhi'xie 暑热之邪
'shu'shao'yang'jing 属少阳经
'shu'shen 属肾
'shu'shi'yue'jiu'ke'yi'hua'zao'shang'yin 暑湿月久可以化燥伤阴
'shu'song'dao'quan'shen 输送到全身
'shu'song'jing'wei 输送精微
'shu'tai'yang'jing 属太阳经
'shu'tong 疏通
'shu'tong'chang'da'sheng'fa 疏通畅达升发
'shu'tong'shui'dao 疏通水道
'shu'tong'zhi'yi 疏通之意
'shu'wai'gan'zhe 属外感者
'shu'wei 属胃
'shu'wei'xia'ji'de'zhu'qi 暑为夏季的主气
'shu'wei'xia'ji'huo're'zhi'qi'suo'hua 暑为夏季火热之气所化
'shu'wei'yang'xie 暑为阳邪
'shu'xiao'chang 属小肠
'shu'xie'bu'li 疏泄不利
'shu'xie'chun'shu'wai'xie 暑邪纯属外邪
'shu'xie'qin'fan'ren'ti 暑邪侵犯人体
'shu'xie'shang'ren 暑邪伤人
'shu'xie'wei'bing 暑邪为病
'shu'xu're'zheng 属虚热证
'shu'xue 俞穴
'shu'yang'ming'jing 属阳明经
'shu'yu'liang'xing'de'ci'ji 属于良性的刺激
'shuai'jie 衰竭
'shui'bu'ke'huo 水不克火
'shui'bu'zhi'huo 水不制火
'shui'dao'bu'xing 水道不行
'shui'dao'chu'yan 水道出焉
'shui'fan'ke'tu 水反克土
'shui'fan'wei'zhong 水泛为肿
'shui'gu'chuan'hua'de'dao'lu 水谷传化的道路
'shui'gu'ji'qi'zao'po'cai'de'yi'xia'xing 水谷及其糟粕才得以下行
'shui'gu'jing'qi 水谷精气
'shui'gu'qi'xue'zhi'hai'ye 水谷气血之海也
'shui'gu'ren'kou 水谷人口
'shui'gu'wei'shi 水谷为实
'shui'gu'zhi'jing'qi'ye 水谷之精气也
'shui'gu'zhi'jing'wei'de'yi'shu'bu 水谷之精微得以输布
'shui'huo'bu'ji 水火不济
'shui'huo'de'sheng'jiang 水火的升降
'shui'huo'shi'ji 水火失济
'shui'huo'yin'yang 水火阴阳
'shui'ke'huo 水克火
'shui'lai'ke'huo 水来克火
'shui'neng'ke'huo 水能克火
'shui'neng'run'jin'zhi'miao 水能润金之妙
'shui'neng'sheng'mu 水能生木
'shui'qi 水气
'shui'qi'shang'teng 水气上腾
'shui'sheng'mu 水生木
'shui'shi'bu'hua 水湿不化
'shui'shi'fan'lan 水湿泛滥
'shui'shi'ting'ju 水湿停聚
'shui'shu'bei'fang 水属北方
'shui'ting 水停
'shui'ting'qi'zhi 水停气滞
'shui'xing'run'xia 水性润下
'shui'xue 水穴
'shui'ye'liang'duo'gua 水液量多寡
'shui'ye'sheng'jiang'chu'ru'de'tong'lu 水液升降出入的通路
'shui'ye'ting'ju'er'sheng'tan'cheng'yin 水液停聚而生痰成饮
'shui'ye'ting'zhi'ji'ju 水液停滞积聚
'shui'ye'you'ci'er'shen'ru'qian 水液由此而渗入前
'shui'ye'yun'xing'he'pai'xie 水液运行和排泄
'shui'you'neng'zhi'huo 水又能制火
'shui'zhong'duo'yi'xia'zhi'jiao'wei'ming'xian 水肿多以下肢较为明显
'shui'zhong'zhang'man'zhi'zheng 水肿胀满之证
'si'ba 四八
'si'chu'yu'xin 思出于心
'si'dong'yu'xin'ze'pi'ying 思动于心则脾应
'si'guo'ban'yi 思过半矣
'si'he 四合
'si'ji'jie'you'feng 四季皆有风
'si'kai'he'zhe'ye 司开合者也
'si'kao 思考
'si'kao'min'jie 思考敏捷
'si'lv 思虑
'si'qi 四七
'si'qi 四气
'si'sheng'kong 思胜恐
'si'shi'ba'feng'lu'he 四时八风六合
'si'shi'ci'ni'cong'lun 四时刺逆从论
'si'shi'sheng'zhang'shou'cang 四时生长收藏
'si'shi'zhi'bian 四时之变
'si'wei'pi'zhi'shu'tu 思为脾志属土
'si'yan'jian'zhi'kai'he 司眼睑之开合
'si'zhe'zhi'you 四者之有
'si'zhen'xin'fa 四诊心法
'si'zhi'bai'hai'zhi'gong 四肢百骸之功
'si'zhi'bu 四肢部
'si'zhi'bu'de'qin'shui'gu'qi 四肢不得亲水谷气
'si'zhi'bu'wen 四肢不温
'si'zhi'jie'cha'qi'yu'wei'er'bu'de'zhi'jing 四肢皆察气于胃而不得至经
'si'zhi'kun'juan 四肢困倦
'si'zhi'mo'duan 四肢末端
'si'zhi'mo'duan'de'xue'wei 四肢末端的穴位
'si'zhi'nei'ce'wei'yin 四肢内侧为阴
'si'zhi'nei'wai'liang'ge'ce'mian 四肢内外两个侧面
'si'zhi'suan'hui'chen'zhong 四肢酸徽沉重
'si'zhi'wai'ce'wei'yang 四肢外侧为阳
'si'zhi'ying'yang'bu'zu 四肢营养不足
'si'zhi'yu'qu'gan 四肢与躯干
'si'zhi'zhou'xi 四肢肘膝
'si'zhi'zhuan'wen 四肢转温
'si'zhong'yao'xing 四种药性
'su'e'ying'qi 塑遏营气
'su'fei'qi'yi'yi'zhi'gan'mu 肃肺气以抑制肝木
'su'jiang'shi'jiang 肃降是降
'su'qing'fei 肃清肺
'su'ti'xu'ruo 素体虚弱
'su'wen'ci'jin'lun 素问刺禁论
'su'wen'ji'zhu 素问集注
'suan'ku'xian'shu'yin 酸苦咸属阴
'suan'ku'yong'xie'wei'yin 酸苦涌泄为阴
'suan'sheng'gan 酸生肝
'suan'wei 酸味
'sui'hai'bu'zu 髓海不足
'sui'hai'de'yang 髓海得养
'sui'hai'shi'yang 髓海失养
'sui'hai'you'yu 髓海有余
'sui'jin'er'yi'tui 虽进而易退
'sui'ju'er'cheng'nao 髓聚而成脑
'sui'shen'wang'lai'zhe 随神往来者
'sui'wei'fei'suo'zhu 虽为肺所主
'sui'wei'shui'zang 虽为水脏
'sui'wu'zang'ge'you'suo'shu 虽五脏各有所属
'sui'zhe'qi'de'sheng'jiang 随着气的升降
'sui'zhi'er'jian'shao 随之而减少
'sun'hao'shen'zhong'jing'qi 损耗肾中精气
'sun'hao'zheng'qi 损耗正气
'sun'ji'shen'zang'yin'yang 损及肾脏阴阳
'sun'shang'ren'ti'de'yang'qi 损伤人体的阳气
'sun'shang'ren'ti'de'yin'ye 损伤人体的阴液
'sun'shang'ren'ti'zheng'qi 损伤人体正气
'sun'shang'xin'shen 损伤心神
'sun'yi'kui 孙一奎
'suo'bu'sheng 所不胜
'suo'chou'xi'ji 缩踌细急
'suo'chou'ze'mai'xi'ji 缩踌则脉细急
'suo'gu'shang'wo 锁骨上窝
'suo'jian'zhi'wu'gui'nao 所见之物归脑
'suo'sheng 所胜
'suo'sheng'wo'ke'ye 所胜我克也
'suo'si'bu'sui 所思不遂
'suo'ting'zhi'sheng'gui'nao 所听之声归脑
'suo'wei'wu'zang'zhe 所谓五藏者
'suo'wen'xiang'chou'gui'yu'nao 所闻香臭归于脑
'suo'yi'hua'shui'gu'er'xing'jin'ye'zhe'ye 所以化水谷而行津液者也
'suo'yi'ran'zhe 所以然者
'suo'yi'shi'wan'wu 所以视万物
'suo'yi'wen'fen'rou 所以温分肉
'suo'yi'xing'xue'qi'er'ying'yin'yang 所以行血气而营阴阳
'suo'yi'xing'yin'yang'zhi'qi'ye 所以行阴阳之气也
'ta'yao'de'xiang'dao 他药的向导
'ta'zang'zhi'bing 他脏之病
'tai'cang'xia'kou'wei'you'men 太仓下口为幽门
'tai'chong'mai'sheng 太冲脉盛
'tai'chong'mai'shuai'shao 太冲脉衰少
'tai'guo'he'jin'yin'zhi'yi 太过和浸淫之意
'tai'guo'huo'bu'ji 太过或不及
'tai'guo'zhe'xie'zhi 太过者泻之
'tai'yang'jing'xing'yu'bei'mian 太阳经行于背面
'tai'yang'jing'xing'yu'mian'jia 太阳经行于面颊
'tai'yang'jing'you'guan 太阳经有关
'tai'yin'shi'tu'de'yang'shi'yun 太阴湿土得阳始运
'tai'yin'yang'ming'zai'qian'yuan 太阴阳明在前缘
'tan'lun 痰论
'tan'xian'kui'sheng 痰涎奎盛
'tan'ye'jiao'zhan'nan'ge 痰液胶粘难咯
'tan'yin'he'yu'xue 痰饮和瘀血
'tan'zu'jing'luo 痰阻经络
'tang'rong'chuan 唐容川
'tang'zong'hai 唐宗海
'tao'hong'jing 陶弘景
'teng'tong'zheng'zhuang 疼痛症状
'ti'biao 体表
'ti'biao'de'pi'fu 体表的皮肤
'ti'biao'shu'yang 体表属阳
'ti'huang'zhuo 涕黄浊
'ti'juan 体倦
'ti'lei 涕泪
