'a'mu'bai'mei'ren 阿母白媒人
'ri'guang'xie'zhao'ji'ling'tai 日光斜照集灵台
'ri'guo'wu'yi'hun 日过午已昏
'ri'jiu'jian'ren'xin 日久见人心
'ri'mu'cang'bo'qi 日暮沧波起
'ri'mu'cang'shan'yuan 日暮苍山远
'ri'mu'fu'he'zhi 日暮复何之
'ri'mu'han'gong'chuan'la'zhu 日暮汉宫传蜡烛
'ri'mu'ke'chou'xin 日暮客愁新
'ri'mu'liao'wei'liang'fu'yin 日暮聊为梁父吟
'ri'mu'xiang'guan'he'chu'shi 日暮乡关何处是
'ri'mu'yan'chai'fei 日暮掩柴扉
'ri'mu'yi'xiu'zhu 日暮倚修竹
'ri'qun'xing'gai'qu'yu'shi 日群行丐取于市
'ri'ri'hong'cheng'zhen 日日红成阵
'ri'ri'hua'lan'du'ping 日日画阑独凭
'ri'ri'hua'qian'chang'bing'jiu 日日花前常病酒
'ri'ri'huan'chou'sheng 日日唤愁生
'ri'ri'qing'lou'xia 日日青楼下
'ri'ri'shuang'mei'dou'hua'chang 日日双眉斗画长
'ri'ri'si'jun'bu'jian'jun 日日思君不见君
'ri'ri'zui'hu'bian 日日醉湖边
'ri'se'cai'lin'xian'zhang'dong 日色才临仙掌动
'ri'se'leng'qing'song 日色冷青松
'ri'se'yi'jin'hua'han'yan 日色已尽花含烟
'ri'shang'hua'shao 日上花梢
'ri'shang'lian'gou 日上帘钩
'ri'shi'ri'di'zi'yun'zhe 日师日弟子云者
'ri'xi'huai'kong'yi 日夕怀空意
'ri'xi'liang'feng'zhi 日夕凉风至
'ri'xi'wang'jun'bao'qin'zhi 日夕望君抱琴至
'ri'xia'chang'qiu 日下长秋
'ri'xiao'yue'shuo'jiu'mai'mo 日销月铄就埋没
'ri'xie'shen'xiang'wu'ren'ji 日斜深巷无人迹
'ri'yan'shan'shen'wen'di 日晏山深闻笛
'ri'yan'you'de'mian 日晏犹得眠
'ri'ye'jiang'sheng'liu'qu 日夜江声流去
'ri'ye'jing'guo'zhao'li'jia 日夜经过赵李家
'ri'ye'wang'jiang'jun'zhi 日夜望将军至
'ri'ye'wu'jiang 日夜无降
'ri'ye'wu'xi 日夜无隙
'ri'ye'xiang'dai'hu'qian 日夜相代乎前
'ri'ye'xiang'dai'hu'qian'er'mo'zhi'qi'suo'meng 日夜相代乎前而莫知其所萌
'ri'yi'bu'zu'yi 日亦不足矣
'ri'yi'jiao'gu 日益骄固
'ri'yi'xin'dou 日以心斗
'ri'ying'fan'zhao 日影反照
'ri'you'suo'wei'er'mo'jian'qi'gong 日有所为而莫见其功
'ri'yu'wu'hua'zhe 日与物化者
'ri'yue'bu'de'bu'xing 日月不得不行
'ri'yue'chu'yi 日月出矣
'ri'yue'de'zhi 日月得之
'ri'yue'gu'you'ming'yi 日月固有明矣
'ri'yue'hu'qi'bu'yan'xi 日月忽其不淹兮
'ri'yue'qi'zheng'yu'suo'hu 日月其争于所乎
'ri'yue'shi'yi 日月逝矣
'ri'yue'xing'chen'xing'qi'ji 日月星辰行其纪
'ri'yue'zhao'er'si'shi'xing 日月照而四时行
'ri'yue'zhao'yao'jin'yin'tai 日月照耀金银台
'ri'yue'zhi'guang'yi'yi'huang'yi 日月之光益以荒矣
'ri'yue'zhi'xing 日月之行
'ri'yue'zhi'zi'ming 日月之自明
'ri'zao'yi'qiao 日凿一窍
'ri'zhao'xiang'lu'sheng'zi'yan 日照香炉生紫烟
'ri'zhi'qi'suo'wang 日知其所亡
'ri'zhong'shi'he'yi'yu'nv 日中始何以语女
'rong'cheng'shi'yue 容成氏曰
'rong'dong'se'li'qi'yi'liu'zhe 容动色理气意六者
'rong'he'tian'qi 融和天气
'rong'jiang'xing'zhi 容将形之
'rong'ku'zi'you'shi 荣枯自有时
'rong'kui'ning'xiao'qiang'dong 戎葵凝笑墙东
'rong'ma'guan'shan'bei 戎马关山北
'rong'ma'sheng'yu'jiao 戎马生于郊
'rong'qing'jin'jing 容清金镜
'rong'rong'jian'lu'bing'pan 溶溶涧渌冰泮
'rong'rong'ye'ye 溶溶曳曳
'rong'ru'li'ran'hou'du'suo'bing 荣辱立然后睹所病
'rong'wo'zui'shi'mian 容我醉时眠
'rong'yi'yu'di'xiang'jin 容易语低香近
'rong'zhi'shun'qi'you 容止顺其猷
'rou'cong'zhan'xue 柔葱蘸雪
'rou'qing'bie'xu 柔情别绪
'rou'qing'si'shui 柔情似水
'rou'ruo'sheng'gang'qiang 柔弱胜刚强
'rou'shi'zhi'ran'ye 輮使之然也
'rou'xiang'xi'you'su 柔香系幽素
'rou'yi'wei'lun 輮以为轮
'ru'an'ze'wei'zhi 汝安则为之
'ru'bei'yu'jian'kong'zi 孺悲欲见孔子
'ru'bi'gong'fu'ren'yi'er'ming'yan'shi'fei 汝必躬服仁义而明言是非
'ru'bi'ren'ye 汝鄙人也
'ru'bi'zi'wei'er'hou'yong'zhi 如必自为而後用之
'ru'bu'bi'yi'wu'lv'bei 汝不必以无侣悲
'ru'bu'dai'qi'zhao'er'wang 如不待其招而往
'ru'bu'de'yi 如不得已
'ru'bu'ke'qiu 如不可求
'ru'bu'neng'she'wu 汝不能舍吾
'ru'bu'shan'er'mo'zhi'wei'ye 如不善而莫之违也
'ru'bu'zhi'fu'tang'lang'hu 汝不知夫螳螂乎
'ru'bu'zhi'fu'yang'hu'zhe'hu 汝不知夫养虎者乎
'ru'cai'fu'zei'xian'tai'miao 入蔡缚贼献太庙
'ru'cheng'ren'ye 汝诚人耶
'ru'chu'er'wu'jian'qi'xing 入出而无见其形
'ru'chu'wen'yan'er'nu 汝初闻言而怒
'ru'chun'deng'tai 如春登台
'ru'ci'chun'lai'you'chun'qu 如此春来又春去
'ru'ci'ze'ke'yi'wei'zhai'hu 如此则可以为斋乎
'ru'ci'ze'wei'zhi'fu'yi 如此则为之服矣
'ru'ci'ze'yu'qin'shou'xi'ze'zai 如此则与禽兽奚择哉
'ru'ci'zhi'bao'cun'qi'duo 如此至宝存岂多
'ru'cong'shi'yu'yi'wei'ci 汝从事愈宜为辞
'ru'dai'qi'ran'zai 汝殆其然哉
'ru'de'qi'qing 如得其情
'ru'de'quan'er'xing'qu 汝得全而形躯
'ru'de'ren'yan'er'hu 汝得人焉尔乎
'ru'dui'wen'zhang'tai'shi'gong 如对文章太史公
'ru'fang'jiang'wang'ru'shen'qi 汝方将忘汝神气
'ru'fu'er'li'hu'gong'men 儒服而立乎公门
'ru'fu'neng'jiu'yu 汝弗能救与
'ru'fu'zhong'zhi'wu 汝腹中之物
'ru'gu'ju'ye 汝故惧也
'ru'guan'duo'wu'shen 儒冠多误身
'ru'guan'que'wen'meng'xiang'guo'hu'qian'ye 如观雀蚊虻相过乎前也
'ru'guo'yu'xue'shi 汝果欲学诗
'ru'he'dei'you'fu'dao 汝何得有夫道
'ru'he'guo'de'jin'xiao'qu 如何过得今宵去
'ru'he'lei'yu'liu 如何泪欲流
'ru'he'meng'ye'dou'wu 如何梦也都无
'ru'he'qing'ye'yong 如何清夜永
'ru'he'si'ke'wei'yang'yi 如何斯可谓养矣
'ru'he'wei'zhi'yuan'yang 如何未织鸳鸯
'ru'he'zu'yi'shi'zhi 汝何足以识之
'ru'hu'yuan'quan'er'bu'ru 入乎渊泉而不濡
'ru'hua'si'ye 如花似叶
'ru'huo'bu're 入火不热
'ru'huo'yi're 如火益热
'ru'huo'zhi'er 如或知尔
'ru'jian'gu'jiao 乳间股脚
'ru'jiang'gu'jing'xie 汝将固惊邪
'ru'jiang'he'shi 汝将何始
'ru'jiang'he'yi'shi'tian'di 汝将何以视天地
'ru'jie'shuo'zhi'hu 汝皆说之乎
'ru'jie'zhi'zai 汝戒之哉
'ru'jin'an'zai 如今安在
'ru'jin'bie'hou 如今别后
'ru'jin'chu'chu'sheng'fang'cao 如今处处生芳草
'ru'jin'dan'mu'yu 如今但暮雨
'ru'jin'dan'you 如今但有
'ru'jin'feng'yu'xi'lou'ye 如今风雨西楼夜
'ru'jin'pan'bin 如今潘鬓
'ru'jin'qiao'cui 如今憔悴
'ru'jin'qiao'cui'fu'zhao'hun 如今憔悴赋招魂
'ru'jin'ren'fang'wei'dao'zu 如今人方为刀俎
'ru'jin'shui'yuan'shan'chang 如今水远山长
'ru'jin'wu'zui'guo 汝今无罪过
'ru'jin'ye'dao'ou'bian 如今也到鸥边
'ru'jin'yi'shi'chou'wu'shu 如今已是愁无数
'ru'jin'you'shui'kan'zhai 如今有谁堪摘
'ru'jin'zhi'shang'yin'he'qu 如今直上银河去
'ru'jun'bu'bei 入军不被
'ru'kan'ci'shu'shi 汝看此书时
'ru'ke'qu'ying'zhi 汝可去应之
'ru'ke'yi'mo'ni'de'zhi 汝可以模拟得之
'ru'ku'qi'mu 如哭其母
'ru'ku'qi'zi 如哭其子
'ru'lin'shen'yuan 如临深渊
'ru'lv'bo'bing 如履薄冰
'ru'men'chuan'lang 入门穿廊
'ru'men'shang'jia'tang 入门上家堂
'ru'mo'jie'qi 儒墨皆起
'ru'niao'bu'luan'xing 入鸟不乱行
'ru'po'wu'yao'hong'luan'xuan 入破舞腰红乱旋
'ru'qi'de'zi'you 汝岂得自由
'ru'qi'gao'wo 汝泣告我
'ru'qi'li'yue 如其礼乐
'ru'qi'ru'su 如泣如诉
'ru'qi'shan'er'mo'zhi'wei'ye 如其善而莫之违也
'ru'qi'shan'fu'zhi'shi'zhi'xiao'wo 汝其善抚之使之肖我
'ru'qi'shi'zi'zhi'fu'kong'zi'ye 如七十子之服孔子也
'ru'qi'wu'bei 汝其勿悲
'ru'qi'yu'yu'zhi 汝其于予治
'ru'qie'ru'cuo 如切如磋
'ru'qiong'ren'wu'suo'gui 如穷人无所归
'ru'qiu'de'qi'qing'yu'bu'de 如求得其情与不得
'ru'ran'da'bi'he'lin'li 濡染大笔何淋漓
'ru'ri'yue'zhi'shi 如日月之食
'ru'ri'yue'zhi'shi'yan 如日月之食焉
'ru'san'qiu'xi 如三秋兮
'ru'sha'ren'zhi'zui 如杀人之罪
'ru'sha'wu'dao 如杀无道
'ru'shen'fei'ru'you'ye 汝身非汝有也
'ru'shi'bu'zhi 如是不止
'ru'shi'da'jia'zi 汝是大家子
'ru'shi'er'yi 如是而已
'ru'shi'jie'you'wei'chen'qie'hu 如是皆有为臣妾乎
'ru'shi'yu'jiang 如时雨降
'ru'shi'yu'yu'fu 如使予欲富
'ru'shi'ze'zhi'you'suo'kun 如是则知有所困
'ru'shou'bu'luan'qun 入兽不乱群
'ru'shui'bu'ru 入水不濡
'ru'shui'yi'shen 如水益深
'ru'shun'er'yi'yi 如舜而已矣
'ru'shuo'xing'wang'xie'yang'li 如说兴亡斜阳里
'ru'si'er'yi'hu 如斯而已乎
'ru'tai'wei'qing 如太尉请
'ru'ti'wu'ci'xin 汝体吾此心
'ru'ting'wan'he'song 如听万壑松
'ru'ting'xian'yue'er'zan'ming 如听仙乐耳暂明
'ru'tong'yan'ru'xin'sheng'zhi'du'er'wu'qiu'qi'gu 汝瞳焉如新生之犊而无求其故
'ru'tu'chu'wu'wei 汝徒处无为
'ru'tu'wei'di 如土委地
'ru'wang'dao'er'cong'bi 如枉道而从彼
'ru'wei'jun'zi'ru 汝为君子儒
'ru'wei'mo'bi 汝唯莫必
'ru'wei'zhou'nan'zhao'nan'yi'hu 汝为周南召南矣乎
'ru'wen'liu'yan'liu'bi'yi'hu 汝闻六言六蔽矣乎
'ru'wu'liu'shi 如五六十
'ru'wu'qiong'zhi'men 入无穷之门
'ru'xi'bu'yue 汝奚不曰
'ru'xi'wu'si 汝奚恶死
'ru'xiang'tai'lao 如享太牢
'ru'xing'er'ou'wo 汝幸而偶我
'ru'xiu'hu'que 入休乎缺
'ru'yan'chuan'ting'hu 乳燕穿庭户
'ru'yan'fei'hua'wu 乳燕飞华屋
'ru'yan'ping'sheng'ji'ceng'you 入眼平生几曾有
'ru'ye'zhong'men'jing 入夜重门静
'ru'yi'chao'yi'chao'guan 如以朝衣朝冠
'ru'yi'chao'yi'chao'guan'zuo'yu'tu'tan'ye 如以朝衣朝冠坐於涂炭也
'ru'yi'ci'er'yi'yi 如以辞而已矣
'ru'yi'jian'xun'zhi'qi'xing'qian'li'zhi'di'zhe 如以兼旬之期行千里之地者
'ru'yi'jin'zhui'kong'qi'yi 儒以金椎控其颐
'ru'yi'shi'qi'fu'xiong 入以事其父兄
'ru'yi'yu'wei'duo'xue'er'shi'zhi'zhe'yu 如以予为多学而识之者与
'ru'yi'yu'zi'gong 入揖於子贡
'ru'yin'jian'xiang'ying 如银践相映
'ru'ying'er'zhi'wei'hai 如婴儿之未孩
'ru'you'bo'shi'yu'min 如有博施于民
'ru'you'bu'shi'sha'ren'zhe 如有不嗜杀人者
'ru'you'fu'wo'zhe 如有复我者
'ru'you'he'bo'yi'zhi'tian'xia'gan'yu'zhi'xin'wei 汝又何帛以治天下感予之心为
'ru'you'qu'bu'chi 汝又取不耻
'ru'you'suo'li'zhuo'er 如有所立卓尔
'ru'you'suo'yu'zhe 如有所誉者
'ru'you'wang'zhe 如有王者
'ru'you'xin'yu'dan 汝游心于淡
'ru'you'yi'zhao'zhi'huan 如有一朝之患
'ru'you'yong'wo'zhe 如有用我者
'ru'you'zhou'gong'zhi'cai'zhi'mei 如有周公之才之美
'ru'yu'bi'kou'yi 入于鼻口矣
'ru'yu'fan'ru'qing'xing'er'wu'you'ru 汝欲反汝情性而无由入
'ru'yu'hui'ye'shu'yu 汝与回也孰愈
'ru'yu'ping'zhi'tian'xia 如欲平治天下
'ru'yu'quan'jia 入于权家
'ru'yu'ting'zhi'er'wu'jie'yan 汝欲听之而无接焉
'ru'yu'wu'ci 入于无疵
'ru'yuan'ru'mu 如怨如慕
'ru'yuan'ze'ru 入元则入
'ru'yun'shen'chu'yi'zhan'yi 入云深处亦沾衣
'ru'zai'zuo'ri 如在昨日
'ru'ze'shi'fu'xiong 入则事父兄
'ru'ze'wu'fa'jia'bi'shi 入则无法家拂士
'ru'zhe'guan'huan'guan'zhe'zhi'tian'shi 儒者冠圜冠者知天时
'ru'zhe'zhi'dao 儒者之道
'ru'zheng'ren'he 如正人何
'ru'zhi'he'bu'diao 如之何不吊
'ru'zhi'he'qi'che'ye 如之何其彻也
'ru'zhi'he'qi'fei'zhi 如之何其废之
'ru'zhi'he'qi'ju'ren'ye 如之何其拒人也
'ru'zhi'he'qi'ke'ji'ye 如之何其可及也
'ru'zhi'he'qi'shi'si'min'er'si'ye 如之何其使斯民而死也
'ru'zhi'he'qi'shou'zhi 如之何其受之
'ru'zhi'he'wen'si'xing'zhi 如之何闻斯行之
'ru'zhi'he'ze'ke 如之何则可
'ru'zhi'he'ze'ke'ye 如之何则可也
'ru'zhi'qi'fei'yi 如知其非义
'ru'zhi'qi'ke'ye 如之其可也
'ru'zhi'shen'han 入之甚寒
'ru'zhi'wei'jun'zhi'nan'ye 如知为君之难也
'ru'zhi'yu'shen 入之愈深
'ru'zhi'zhe'ruo'yu'zhi'xing'shui'ye 如智者若禹之行水也
'ru'zhi'zhe'yi'xing'qi'suo'wu'shi 如智者亦行其所无事
'ru'zhi'zhi'hu 汝知之乎
'ru'zhong'ye'qi'bu'zhong 如中也弃不中
'ru'zhu'wan'gan'xie 入竹万竿斜
'ru'zhuo'ru'mo 如琢如磨
'ru'zi'sa'zhuo 汝自洒濯
'ru'zi'zai'wu'huai 汝姊在吾怀
'ruan'feng'chui'guo'chuang'sha 软风吹过窗纱
'ruan'ta'lian'gou'shuo 软踏帘钩说
'rui'nao'xiao'jin'shou 瑞脑消金兽
'run'bi'qin'si 润逼琴丝
'run'wu'xi'wu'sheng 润物细无声
'run'yu'long'xiao 润玉笼绡
'ruo'bai'ju'zhi'guo'xi 若白驹之过隙
'ruo'bi'you'yi'ye 若必有以也
'ruo'bi'zhi'zhi 若彼知之
'ruo'bu'de'zhe 若不得者
'ruo'bu'shi'ran'he'zai 若不释然何哉
'ruo'bu'wen'zhi 若不闻之
'ruo'bu'wu'sheng 若不吾胜
'ruo'bu'zhi'zhi 若不知之
'ruo'bu'zu'er'bu'cheng 若不足而不承
'ruo'cheng'ri'zhi'che'er'you'yu'xiang'cheng'zhi'ye 若乘日之车而游于襄城之野
'ruo'cheng'ruo'bu'cheng'er'hou'wu'huan'zhe 若成若不成而后无患者
'ruo'chu'qi'li 若出其里
'ruo'chu'qi'zhong 若出其中
'ruo'ci'he'fu 若刺褐夫
'ruo'ci'san'nian 若此三年
'ruo'ci'zhi'shi 若此之时
'ruo'cun'ruo'wang 若存若亡
'ruo'cun'ruo'wang'hu 若存若亡乎
'ruo'da'han'zhi'wang'yun'ni'ye 若大旱之望云霓也
'ruo'da'zao'zhi'wang'yu'ye 若大早之望雨也
'ruo'dai'de'jun'lai'xiang'ci 若待得君来向此
'ruo'dai'shang'lin'hua'si'jin 若待上林花似锦
'ruo'dai'wang'er'xing'er 若殆往而刑耳
'ruo'dai'wei'ren'zai'fu 若殆为人灾夫
'ruo'dai'yi'bu'xin'hou'yan 若殆以不信厚言
'ruo'dao'dou'qi'wu'yang 若道都齐无恙
'ruo'dao'song'jiang'hu'xiao'du 若到松江呼小渡
'ruo'de'shan'hua'cha'man'tou 若得山花插满头
'ruo'dui'huang'hua'gu'fu'jiu 若对黄花孤负酒
'ruo'fei'jin'chai'che 若非巾柴车
'ruo'fu'bu'ke'yi'er'gao 若夫不刻意而高
'ruo'fu'cang'tian'xia'yu'tian'xia'er'bu'de'suo'xun 若夫藏天下于天下而不得所循
'ruo'fu'cheng'dao'de'er'fu'you'ze'bu'ran 若夫乘道德而浮游则不然
'ruo'fu'cheng'gong 若夫成功
'ruo'fu'cheng'tian'di'zhi'zheng 若夫乘天地之正
'ruo'fu'jun'zi'suo'huan 若夫君子所患
'ruo'fu'ping'sheng'zhi 若负平生志
'ruo'fu'ren'zhe 若夫人者
'ruo'fu'run'ze'zhi 若夫润泽之
'ruo'fu'wan'wu'zhi'qing 若夫万物之情
'ruo'fu'yi'niao'yang'yang'niao'zhe 若夫以鸟养养鸟者
'ruo'fu'yi'zhi'er'bu'jia'yi 若夫益之而不加益
'ruo'fu'zi'zhi'yan 若夫子之言
'ruo'gao'mu'zhi'zhi 若槁木之枝
'ruo'gu'bu'ke'yi'di 弱固不可以敌
'ruo'gua'ren'zhe 若寡人者
'ruo'gui'gui'ran'ruo'sang'fu'mu 若规规然若丧父母
'ruo'guo'ru'chao 弱国入朝
'ruo'guo'shi'ye 若果是也
'ruo'guo'yang'hu 若果养乎
'ruo'he'fu'jie 若合符节
'ruo'hu'bu'xie 若狐不偕
'ruo'hua'wei'wu 若化为物
'ruo'huo'zhi'shi'ran 若火之始然
'ruo'ji'gu'er'qiu'wang'zi'yan 若击鼓而求亡子焉
'ruo'ji'shi'ze'wu'bu'neng 若季氏则吾不能
'ruo'ji'tui'er'nei'zhi'gou'zhong 若己推而内之沟中
'ruo'jiang'bi'yu'yu'wen'mu'xie 若将比予于文木邪
'ruo'jiang'fu'gui'bi'pin'zhe 若将富贵比贫者
'ruo'jiang'mei'yan 若将浼焉
'ruo'jiang'pin'jian'bi'che'ma 若将贫贱比车马
'ruo'jiao'wang'xie'zhu'lang'zai 若教王谢诸郎在
'ruo'jiao'yan'di'wu'li'hen 若教眼底无离恨
'ruo'jin'rou'er'wo'gu 弱筋柔而握固
'ruo'jin'shui'chen'yan 爇尽水沉烟
'ruo'jiu'niu'wang'yi'mao 若九牛亡一毛
'ruo'jue'zhu'ju 若蹶株拘
'ruo'ke'ji'tian'xia 若可寄天下
'ruo'ke'tuo'tian'xia 若可托天下
'ruo'kong'zi'zhu'yong'ju'yu'shi'ren'ji'huan 若孔子主痈疽与侍人瘠环
'ruo'liu'qian'si'lv 弱柳千丝缕
'ruo'mu'yang'ran 若牧羊然
'ruo'nai'fu'mei'ren 若乃夫没人
'ruo'neng'ru'you'qi'fan'er'wu'gan'qi'ming 若能入游其樊而无感其名
'ruo'neng'she'hu 若能射乎
'ruo'peng'xiao'xian 若烹小鲜
'ruo'qi'bu'xiang'dai 若其不相待
'ruo'qi'can'sheng'sun'xing 若其残生损性
'ruo'ren'zhi'xing'zhe 若人之形者
'ruo'rong'xiang'fang'yin'niu'jin 若容相访饮牛津
'ruo'ru'mo'zhe'shi 若儒墨者师
'ruo'ru'qian'wei'shou 若入前为寿
'ruo'sang'qi'yi 若丧其一
'ruo'sha'qi'fu'xiong 若杀其父兄
'ruo'sheng'yu'ren 若圣与仁
'ruo'shi'ban'hu 若是班乎
'ruo'shi'er'bu'ke'wei'cheng'hu 若是而不可谓成乎
'ruo'shi'er'ke'wei'cheng'hu 若是而可谓成乎
'ruo'shi'er'wan'e'zhi'zhe 若是而万恶至者
'ruo'shi'lao'zhe'zhi'wu'ye 若是劳者之务也
'ruo'shi'qi'da'hu 若是其大乎
'ruo'shi'qi'mang'ran'bu'yi'tu'ye 若是其莽然不一途也
'ruo'shi'qi'shen'yu 若是其甚与
'ruo'shi'qi'yuan'ye 若是其远也
'ruo'shi'yu'jiang 若时雨降
'ruo'shi'ze'ke'hu 若是则可乎
'ruo'shi'ze'ke'wei'sheng'ren'hu 若是则可谓圣人乎
'ruo'shi'zhen'jin'bu'du'jin 若是真金不镀金
'ruo'shu'jie'qie'wei'suo'lu 若属皆且为所虏
'ruo'si'sheng'wei'tu 若死生为徒
'ruo'si'yue'lun'zhong'jiao'jie 若似月轮终皎洁
'ruo'ta'zhi'yu'shi'chao 若挞之於市朝
'ruo'tian'zhi'zi'gao 若天之自高
'ruo'wang'pu'bu'xiang'shi 若望仆不相师
'ruo'wang'qi'yi 若亡其一
'ruo'wei'wu'zhao 若唯无诏
'ruo'wo'er'bu'mai'zhi 若我而不卖之
'ruo'wo'er'bu'you'zhi 若我而不有之
'ruo'wu'suo'gui 若无所归
'ruo'wu'xian'shi'gua'xin'tou 若无闲事挂心头
'ruo'wu'yu'le'shi'guo'ye 若无与乐是国也
'ruo'wu'zhi'nei 若物之内
'ruo'wu'zhi'wai 若物之外
'ruo'wu'zui'er'jiu'si'di 若无罪而就死地
'ruo'xiang'ye'fu'er'jin'ye'yang 若向也俯而今也仰
'ruo'xing'zhi'yu'ying 若形之于影
'ruo'xing'zhi'zi'wei 若性之自为
'ruo'yan'qin'shang'you'qin'sheng 若言琴上有琴声
'ruo'yan'sheng'zai'zhi'tou'shang 若言声在指头上
'ruo'yao'beng'bu'cong'yao'zhi'zi'er'cong'shun'ye 若尧崩不从尧之子而从舜也
'ruo'yao'bu'ming'xuan 若药不暝眩
'ruo'yao'ren'bu'zhi 若要人不知
'ruo'yi'wei'shan'yi 若以为善矣
'ruo'you'bu'ji'shi'zhe 若有不即是者
'ruo'you'neng'zhi 若有能知
'ruo'you'zhen'zai 若有真宰
'ruo'you'zhi'yin'jian'cai 若有知音见采
'ruo'yu'fu'zi'zhi'suo'yan'yi 若于夫子之所言矣
'ruo'yu'ruo'hun 若愚若昏
'ruo'zang'wu'zhong'zhi'zhi 若臧武仲之知
'ruo'zhe'dao'zhi'yong 弱者道之用
'ruo'zheng'ru'xing 若正汝形
'ruo'zhi'da'wei'zhi'suo'cun'hu 若知大隗之所存乎
'ruo'zhi'he'qi'wu'gui'xie 若之何其无鬼邪
'ruo'zhi'he'qi'wu'ming'ye 若之何其无命也
'ruo'zhi'he'qi'you'gui'xie 若之何其有鬼邪
'ruo'zhi'he'qi'you'ming'ye 若之何其有命也
'ruo'zhi'ju'ci'zhi'shan'hu 若知具茨之山乎
'ruo'zhong'zi'zhe 若仲子者
'ruo'zhou'ruo'chi 若骤若驰
'ruo'zhou'ye'zhi'you'jing 若昼夜之有经
'sa'sa'dong'feng'xi'yu'lai 飒飒东风细雨来
'sa'xiang'ye'tian'huang'die 洒向野田黄蝶
'sa'xiang'zhi'shang'hua 洒向枝上花
'sa'xin'qu'yu 洒心去欲
'sai'gu'kuang'zhi'er 塞瞽旷之耳
'sai'guan'qing'chui'xin'a'lan 塞管轻吹新阿滥
'sai'hong'nan'wen 塞鸿难问
'sai'shang'chang'cheng'kong'zi'xu 塞上长城空自许
'sai'shang'feng'yun'jie'di'yin 塞上风云接地阴
'sai'shang'yan'zhi'ning'ye'zi 塞上燕脂凝夜紫
'sai'weng'shi'ma 塞翁失马
'sai'xia'qiu'lai'feng'jing'yi 塞下秋来风景异
'sai'xia'qu'si'shou'zhi'er 塞下曲四首之二
'sai'xia'qu'si'shou'zhi'san 塞下曲四首之三
'sai'xia'qu'si'shou'zhi'si 塞下曲四首之四
'sai'xia'qu'si'shou'zhi'yi 塞下曲四首之一
'sai'yan'gao'fei'ren'wei'huan 塞雁高飞人未还
'sai'yan'yin'shu'shao 塞雁音书少
'sai'yuan'er'yu'liu'chang'ye 塞源而欲流长也
'san'bai'zhong'zhi'duo 三百种之多
'san'bei'liang'zhan'dan'jiu 三杯两盏淡酒
'san'bian'shu'se'dong'wei'jing 三边曙色动危旌
'san'bu'xiao'ye 三不孝也
'san'bu'yong'liang'tian 散步咏凉天
'san'can'er'fan 三餐而反
'san'chun'bai'xue'gui'qing'zhong 三春白雪归青冢
'san'dai'gong'zhi 三代共之
'san'dai'shu'ji 三代殊继
'san'dai'zhi'de'tian'xia'ye'yi'ren 三代之得天下也以仁
'san'dai'zhi'suo'yi'zhi'dao'er'xing'ye 三代之所以直道而行也
'san'er'bu'fan 散而不反
'san'er'cheng'zhang 散而成章
'san'fa'cheng'ye'liang 散发乘夜凉
'san'fan'liao'shi'cai 三饭缭适蔡
'san'fen'ge'ju'yu'chou'ce 三分割据纡筹策
'san'fen'jia'chu 三分佳处
'san'fen'tian'xia'you'qi'er 三分天下有其二
'san'fu'er'xin'le 三釜而心乐
'san'gu'pin'fan'tian'xia'ji 三顾频烦天下计
'san'guo'qi'men'er'bu'ru 三过其门而不入
'san'guo'zhou'lang'chi'bi 三国周郎赤壁
'san'hao'er'chu 三号而出
'san'hong'guang'cheng'qi 散红光成绮
'san'huan'mo'zhi 三患莫至
'san'huang'wu'di'zhi'zhi'tian'xia 三皇五帝之治天下
'san'huang'zhi'zhi 三皇之知
'san'jia'zhe'yi'yong'che 三家者以雍彻
'san'jin'yun'shan'jie'bei'xiang 三晋云山皆北向
'san'jing'chu'cheng 三径初成
'san'jing'ku'wu'zi 三径苦无资
'san'jun'da'hu'yin'shan'dong 三军大呼阴山动
'san'jun'ke'duo'shuai'ye 三军可夺帅也
'san'jun'wu'bing'zhi'yun 三军五兵之运
'san'li'zhi'cheng 三里之城
'san'nian'bu'chu 三年不出
'san'nian'bu'wei'le 三年不为乐
'san'nian'bu'yan 三年不言
'san'nian'bu'zhi 三年不治
'san'nian'er'guo'ren'cheng'zhi 三年而国人称之
'san'nian'er'hua'wei'bi 三年而化为碧
'san'nian'er'tong 三年而通
'san'nian'tao'qi'jun 三年讨其君
'san'nian'wu'gai'yu'fu'zhi'dao 三年无改于父之道
'san'nian'you'cheng 三年有成
'san'nian'zhe'huan'ci'qi'chi 三年谪宦此栖迟
'san'nian'zhen'shang'wu'zhong'lu 三年枕上吴中路
'san'nian'zhi'hou 三年之后
'san'nian'zhi'sang 三年之丧
'san'nian'zhi'sang'bi 三年之丧毕
'san'nian'zhi'wai 三年之外
'san'nong'luo'qiao'men 三弄落谯门
'san'qian'chong'ai'zai'yi'shen 三千宠爱在一身
'san'qian'le'zhi 三千乐指
'san'qian'li'di'shan'he 三千里地山河
'san'qian'nian'shi'can'ya'wai 三千年事残鸦外
'san'qian'qi'yu'kuai'ji 三千栖于会稽
'san'qian'zhong'er'bu'ji 三千锺而不洎
'san'qu'dao'zhong 三衢道中
'san'qu'zhi'er'wu'you'se 三去之而无忧色
'san'ren'xiang'shi'er'xiao 三人相视而笑
'san'ren'xing'er'yi'ren'huo 三人行而一人惑
'san'ri'bu'chao 三日不朝
