'an'jian'bu'men 安监部门
'jiao'yu'he'du'cu'cong'ye'ren'yuan'yan'ge'zhi'xing'ben'dan'wei'de'an'quan'sheng'chan'gui'zhang'zhi'du'he'an'quan'cao'zuo'gui'cheng 教育和督促从业人员严格执行本单位的安全生产规章制度和安全操作规程
'jiao'yu'he'pei'xun 教育和培训
'jiao'yu'pei'xun 教育培训
'jie'chu'lao'dong'he'tong 解除劳动合同
'jie'chu'yu'qi'ding'li'de'lao'dong'he'tong 解除与其订立的劳动合同
'jie'dao'bao'gao 接到报告
'jie'dao'bao'gao'de'ren'yuan'ying'dang'ji'shi'yu'yi'chu'li 接到报告的人员应当及时予以处理
'jie'dao'ju'bao'de'bu'men'ying'dang'yi'fa'ji'shi'chu'li 接到举报的部门应当依法及时处理
'jie'dao'ju'bao'hou'bu'yu'qu'di 接到举报后不予取缔
'jie'dao'shi'gu'bao'gao 接到事故报告
'jie'dao'zhong'da'sheng'chan'an'quan'shi'gu'bao'gao'hou 接到重大生产安全事故报告后
'jie'ji'da'ji'bao'fu 借机打击报复
'jie'shou'an'quan'sheng'chan'jiao'yu'he'pei'xun'zhang'wo'ben'zhi'gong'zuo'suo'xu'de'an'quan'sheng'chan'zhi'shi 接受安全生产教育和培训掌握本职工作所需的安全生产知识
'jie'shou'an'quan'sheng'chan'jiao'yu'pei'xun 接受安全生产教育培训
'jie'shou'gong'hui'he'zhi'gong'de'jian'du 接受工会和职工的监督
'jie'shou'shen'cha'yan'shou 接受审查验收
'jie'shou'yi'song 接受移送
'jie'shou'yi'song'de'bu'men'ying'dang'ji'shi'jin'xing'chu'li 接受移送的部门应当及时进行处理
'jie'shou'you'guan'zhu'guan'bu'men'yi'fa'shi'shi'de'jian'du'guan'li 接受有关主管部门依法实施的监督管理
'jin'ji'qing'kuang 紧急情况
'jin'ji'qing'kuang'xia 紧急情况下
'jin'ru'sheng'chan'jing'ying'dan'wei 进入生产经营单位
'jin'ru'sheng'chan'jing'ying'dan'wei'jin'xing'jian'cha'diao'yue'you'guan'zi'liao'xiang'you'guan'dan'wei'he'ren'yuan'liao'jie'qing'kuang 进入生产经营单位进行检查调阅有关资料向有关单位和人员了解情况
'jin'xing'bao'po'diao'zhuang'deng'wei'xian'zuo'ye 进行爆破吊装等危险作业
'jin'xing'bao'po'diao'zhuang'deng'wei'xian'zuo'ye'wei'an'pai'zhuan'men'guan'li'ren'yuan'jin'xing'xian'chang'an'quan'guan'li'de 进行爆破吊装等危险作业未安排专门管理人员进行现场安全管理的
'jin'xing'chu'fen 进行处分
'jin'xing'diao'cha 进行调查
'jin'xing'ji'shu'jian'ding 进行技术鉴定
'jin'xing'jian'cha 进行检查
'jin'xing'jian'du 进行监督
'jin'xing'jian'du'jian'cha 进行监督检查
'jin'xing'jing'chang'xing'jian'cha 进行经常性检查
'jin'xing'ping'gu'jian'kong 进行评估监控
'jin'xing'shen'cha'yan'shou 进行审查验收
'jin'xing'shen'cha'yan'shou'bu'de'shou'qu'fei'yong 进行审查验收不得收取费用
'jin'xing'xian'chang'an'quan'guan'li 进行现场安全管理
'jin'xing'xing'zheng'chu'fa 进行行政处罚
'jin'xing'yan'ge'jian'cha 进行严格检查
'jin'xing'yu'lun'jian'du 进行舆论监督
'jin'zhi'feng'bi'du'se'sheng'chan'jing'ying'chang'suo'huo'zhe'yuan'gong'su'she'de'chu'kou 禁止封闭堵塞生产经营场所或者员工宿舍的出口
'jin'zhi'shi'yong 禁止使用
'jing'chang'xing'wei'hu'bao'yang 经常性维护保养
'jing'diao'cha'he'shi'hou 经调查核实后
'jing'diao'cha'que'ding'wei'ze'ren'shi'gu'de 经调查确定为责任事故的
'jing'fu'ze'shi'gu'diao'cha'de'ren'min'zheng'fu'pi'zhun 经负责事故调查的人民政府批准
'jing'jian 精简
'jing'pi'fu'de'chu'li'yi'jian 经批复的处理意见
'jing'ren'min'fa'yuan'yi'fa'cai'qu'zhi'xing'cuo'shi'hou 经人民法院依法采取执行措施后
'jing'shen'cha'tong'yi 经审查同意
'jing'ting'chan'ting'ye'zheng'dun'reng'bu'ju'bei'an'quan'sheng'chan'tiao'jian'de'yu'yi'guan'bi 经停产停业整顿仍不具备安全生产条件的予以关闭
'jing'zhuan'men'de'an'quan'zuo'ye'pei'xun 经专门的安全作业培训
'jiu'yuan'qing'kuang 救援情况
'ju'bao 举报
'ju'bao'an'quan'sheng'chan'wei'fa'xing'wei 举报安全生产违法行为
'ju'bao'dian'hua 举报电话
'ju'bao'dian'zi'you'jian'di'zhi 举报电子邮件地址
'ju'bao'xin'xiang 举报信箱
'ju'bao'zhi'du 举报制度
'ju'bei'guo'jia'gui'ding'de'zi'zhi'tiao'jian 具备国家规定的资质条件
'ju'bu'cheng'dan 拒不承担
'ju'bu'cheng'dan'huo'zhe'qi'fu'ze'ren'tao'ni'de'you'ren'min'fa'yuan'yi'fa'qiang'zhi'zhi'xing 拒不承担或者其负责人逃匿的由人民法院依法强制执行
'ju'jue'jie'shou'diao'cha 拒绝接受调查
'ju'jue'jie'shou'diao'cha'huo'zhe'ju'jue'ti'gong'you'guan'qing'kuang'he'zi'liao'de 拒绝接受调查或者拒绝提供有关情况和资料的
'ju'jue'luo'shi 拒绝落实
'ju'jue'qian'zi 拒绝签字
'ju'jue'ti'gong'you'guan'qing'kuang'he'zi'liao 拒绝提供有关情况和资料
'ju'jue'wei'zhang'zhi'hui'qiang'ling'mao'xian'zuo'ye'er'jiang'di'qi'gong'zi'fu'li'deng'dai'yu'huo'zhe'jie'chu'yu'qi'ding'li'de'lao'dong'he'tong 拒绝违章指挥强令冒险作业而降低其工资福利等待遇或者解除与其订立的劳动合同
'ju'liu 拘留
'ju'min'wei'yuan'hui 居民委员会
'ju'ti'ban'fa 具体办法
'ju'ti'jiang'li'ban'fa'you'guo'wu'yuan'fu'ze'an'quan'sheng'chan'jian'du'guan'li'de'bu'men'hui'tong'guo'wu'yuan'cai'zheng'bu'men'zhi'ding 具体奖励办法由国务院负责安全生产监督管理的部门会同国务院财政部门制定
'ju'ti'qing'kuang 具体情况
'ju'you'guo'jia'gui'ding'zi'zhi'de'dan'wei 具有国家规定资质的单位
'jue'ce'ji'gou 决策机构
'jue'ding'ji'guan 决定机关
'jun'gong'tou'ru'sheng'chan 竣工投入生产
'jun'you'quan'xiang'fu'you'an'quan'sheng'chan'jian'du'guan'li'zhi'ze'de'bu'men'bao'gao'huo'zhe'ju'bao 均有权向负有安全生产监督管理职责的部门报告或者举报
'kao'he'he'ge 考核合格
'ke'jin'zhi'shou 恪尽职守
'ke'neng'wei'ji'dui'fang'an'quan'sheng'chan 可能危及对方安全生产
'ke'neng'wei'ji'dui'fang'sheng'chan'an'quan'de 可能危及对方生产安全的
'ke'yi'bing'chu 可以并处
'ke'yi'bing'chu'er'wan'yuan'yi'shang'shi'wan'yuan'yi'xia'de'fa'kuan 可以并处二万元以上十万元以下的罚款
'ke'yi'bing'chu'er'wan'yuan'yi'xia'de'fa'kuan 可以并处二万元以下的罚款
'ke'yi'bing'chu'wu'wan'yuan'yi'xia'de'fa'kuan 可以并处五万元以下的罚款
'ke'yi'bu'jian'li'ying'ji'jiu'yuan'zu'zhi'de'ying'dang'zhi'ding'jian'zhi'de'ying'ji'jiu'yuan'ren'yuan 可以不建立应急救援组织的应当指定兼职的应急救援人员
'ke'yi'hui'tong 可以会同
'ke'yi'shi'dang'yan'chang 可以适当延长
'ke'yi'zhi'jie'zu'zhi'shi'gu'diao'cha'zu'jin'xing'diao'cha 可以直接组织事故调查组进行调查
'kou'ya 扣押
'kuang'shan'he'jian'zhu'shi'gong'dan'wei 矿山和建筑施工单位
'kuang'shan'jian'she'xiang'mu 矿山建设项目
'kuang'shan'jian'she'xiang'mu'huo'zhe'yong'yu'sheng'chan'chu'cun'wei'xian'wu'pin'de'jian'she'xiang'mu 矿山建设项目或者用于生产储存危险物品的建设项目
'kuang'shan'jian'she'xiang'mu'huo'zhe'yong'yu'sheng'chan'chu'cun'wei'xian'wu'pin'de'jian'she'xiang'mu'de'shi'gong'dan'wei 矿山建设项目或者用于生产储存危险物品的建设项目的施工单位
'kuang'shan'jian'she'xiang'mu'huo'zhe'yong'yu'sheng'chan'chu'cun'wei'xian'wu'pin'de'jian'she'xiang'mu'jun'gong'tou'ru'sheng'chan'huo'zhe'shi'yong'qian 矿山建设项目或者用于生产储存危险物品的建设项目竣工投入生产或者使用前
'kuang'shan'jian'zhu'shi'gong'dan'wei 矿山建筑施工单位
'lao'dong'an'quan 劳动安全
'lao'dong'bao'zhang'xing'zheng'bu'men 劳动保障行政部门
'lao'dong'fang'hu'yong'pin 劳动防护用品
'lao'dong'he'tong 劳动合同
'li'an'zhen'cha 立案侦查
'li'ji'chu'li 立即处理
'li'ji'gan'dao'shi'gu'xian'chang 立即赶到事故现场
'li'ji'gan'fu'shi'gu'xian'chang 立即赶赴事故现场
'li'ji'ru'shi'bao'gao 立即如实报告
'li'ji'zu'zhi'qiang'jiu 立即组织抢救
'li'ji'zuo'chu'chu'li 立即作出处理
'lian'dai'pei'chang'ze'ren 连带赔偿责任
'lian'he'jian'cha 联合检查
'liang'ge'yi'shang'sheng'chan'jing'ying'dan'wei 两个以上生产经营单位
'liang'ge'yi'shang'sheng'chan'jing'ying'dan'wei'zai'tong'yi'zuo'ye'qu'yu'nei'jin'xing'sheng'chan'jing'ying'huo'dong 两个以上生产经营单位在同一作业区域内进行生产经营活动
'liao'jie'qing'kuang 了解情况
'ling'xing'zu'zhi 另行组织
'ling'you'gui'ding 另有规定
'lou'bao 漏报
'luo'shi'fang'fan'cuo'shi 落实防范措施
'luo'shi'fang'fan'he'zheng'gai'cuo'shi 落实防范和整改措施
'luo'shi'qing'kuang 落实情况
'luo'shi'sheng'chan'an'quan'shi'gu'ze'ren'zhui'jiu'zhi'du 落实生产安全事故责任追究制度
'luo'shi'zheng'gai'cuo'shi 落实整改措施
'lv'xing'an'quan'sheng'chan'jian'du'guan'li'zhi'ze 履行安全生产监督管理职责
'man'bao 瞒报
'mao'xian'zuo'ye 冒险作业
'mei'ji'shang'bao'de'shi'jian'bu'de'chao'guo'er'xiao'shi 每级上报的时间不得超过二小时
'mei'you'an'quan'she'shi'she'ji'huo'zhe'an'quan'she'shi'she'ji'wei'an'zhao'gui'ding'bao'jing'you'guan'bu'men'shen'cha'tong'yi'de 没有安全设施设计或者安全设施设计未按照规定报经有关部门审查同意的
'mei'you'wei'fa'suo'de'huo'zhe'wei'fa'suo'de'bu'zu'shi'wan'yuan'de 没有违法所得或者违法所得不足十万元的
'mei'you'wei'fa'suo'de'huo'zhe'wei'fa'suo'de'bu'zu'wu'qian'yuan'de 没有违法所得或者违法所得不足五千元的
'mei'you'zao'cheng'ren'yuan'shang'wang 没有造成人员伤亡
'mian'chu'huo'zhe'jian'qing 免除或者减轻
'mian'chu'huo'zhe'jian'qing'qi'dui'cong'ye'ren'yuan'yin'sheng'chan'an'quan'shi'gu'shang'wang'yi'fa'ying'cheng'dan'de'ze'ren 免除或者减轻其对从业人员因生产安全事故伤亡依法应承担的责任
'mian'chu'huo'zhe'jian'qing'qi'dui'cong'ye'ren'yuan'yin'sheng'chan'an'quan'shi'gu'shang'wang'yi'fa'ying'cheng'dan'de'ze'ren'de'gai'xie'yi'wu'xiao 免除或者减轻其对从业人员因生产安全事故伤亡依法应承担的责任的该协议无效
'mian'chu'jian'qing 免除减轻
'min'yong'hang'kong'an'quan 民用航空安全
'ming'que'ge'zi'de'an'quan'sheng'chan'guan'li'zhi'ze 明确各自的安全生产管理职责
'ming'que'ge'zi'de'an'quan'sheng'chan'guan'li'zhi'ze'he'ying'dang'cai'qu'de'an'quan'cuo'shi 明确各自的安全生产管理职责和应当采取的安全措施
'mo'shou'wei'fa'suo'de 没收违法所得
'na'ru'jian'she'xiang'mu'gai'suan 纳入建设项目概算
'neng'gou'wei'ji'ren'shen'an'quan 能够危及人身安全
'neng'gou'wei'ji'ren'shen'an'quan'he'cai'chan'an'quan'de'wu'pin 能够危及人身安全和财产安全的物品
'nian'shou'ru 年收入
'pai'chu'guo'cheng'zhong 排除过程中
'pai'chu'qian 排除前
'pai'ren'zu'cheng 派人组成
'pei'bei'zhuan'zhi'an'quan'sheng'chan'guan'li'ren'yuan 配备专职安全生产管理人员
'pei'chang'yao'qiu 赔偿要求
'pei'chang'yi'wu 赔偿义务
'pei'chang'ze'ren 赔偿责任
'pei'dai'shi'yong 佩戴使用
'pi'fu'shi'jian 批复时间
'pi'ping'jiao'yu 批评教育
'pi'zhun 批准
'pi'zhun'hou'zhi'xing 批准后执行
'pin'qing'zhuan'jia 聘请专家
'ping'gu'jian'kong 评估监控
'ping'jia 评价
'qi'cai 器材
'qi'fu'ze'ren'ying'dang'li'ji'gan'fu'shi'gu'xian'chang 其负责人应当立即赶赴事故现场
'qi'ta'bu'an'quan'yin'su 其他不安全因素
'qi'ta'cai'chan 其他财产
'qi'ta'chan'pin 其他产品
'qi'ta'ying'dang'bao'gao'de'qing'kuang 其他应当报告的情况
'qi'ta'you'guan'fa'lv'xing'zheng'fa'gui'de'gui'ding 其他有关法律行政法规的规定
'qi'ta'zhi'jie'ze'ren'ren'yuan 其他直接责任人员
'qian'ding'zhuan'men'de'an'quan'sheng'chan'guan'li'xie'yi 签订专门的安全生产管理协议
'qian'ming 签名
'qiang'jiu'ren'yuan 抢救人员
'qiang'ling'mao'xian'zuo'ye 强令冒险作业
'qiang'xian'jiu'hu 抢险救护
'qiang'zhi'cuo'shi 强制措施
'qiang'zhi'zhi'xing 强制执行
'qie'wei'xian'wu'pin'de'shu'liang'deng'yu'huo'zhe'chao'guo'lin'jie'liang'de'dan'yuan 且危险物品的数量等于或者超过临界量的单元
'qin'fan'cong'ye'ren'yuan'he'fa'quan'yi'xing'wei 侵犯从业人员合法权益行为
'qing'jie'yan'zhong 情节严重
'qing'jie'yan'zhong'de'dui'zhi'jie'fu'ze'de'zhu'guan'ren'yuan'he'qi'ta'zhi'jie'ze'ren'ren'yuan'yi'fa'gei'yu'xing'zheng'chu'fen 情节严重的对直接负责的主管人员和其他直接责任人员依法给予行政处分
'qing'kuang'jin'ji 情况紧急
'qing'kuang'jin'ji'shi 情况紧急时
'qu'de'an'quan'shi'yong'zheng'huo'zhe'an'quan'biao'zhi 取得安全使用证或者安全标志
'qu'de'an'quan'shi'yong'zheng'huo'zhe'an'quan'biao'zhi'tou'ru'shi'yong'de 取得安全使用证或者安全标志投入使用的
'qu'de'te'zhong'zuo'ye'cao'zuo'zi'ge'zheng'shu'shang'gang'zuo'ye'de 取得特种作业操作资格证书上岗作业的
'qu'de'xian'zhu'cheng'ji 取得显著成绩
'quan'li'he'yi'wu 权利和义务
'quan'xian 权限
'que'bao'an'quan'sheng'chan 确保安全生产
'que'bao'cao'zuo'gui'cheng'de'zun'shou 确保操作规程的遵守
'que'xu'fen'bie'jin'xing'jian'cha'de'ying'dang'hu'tong'qing'kuang 确需分别进行检查的应当互通情况
'ren'ding'shi'gu'de'xing'zhi'he'shi'gu'ze'ren 认定事故的性质和事故责任
'ren'ding'shi'gu'ze'ren 认定事故责任
'ren'he'dan'wei'he'ge'ren'bu'de'po'huai'shi'gu'xian'chang'hui'mie'xiang'guan'zheng'ju 任何单位和个人不得破坏事故现场毁灭相关证据
'ren'he'dan'wei'he'ge'ren'bu'de'zu'nao'he'gan'she'dui'shi'gu'de'bao'gao'he'yi'fa'diao'cha'chu'li 任何单位和个人不得阻挠和干涉对事故的报告和依法调查处理
'ren'he'dan'wei'he'ge'ren'bu'de'zu'nao'he'gan'she'dui'shi'gu'de'yi'fa'diao'cha'chu'li 任何单位和个人不得阻挠和干涉对事故的依法调查处理
'ren'he'dan'wei'he'ge'ren'dou'ying'dang'zhi'chi'pei'he'shi'gu'qiang'jiu'bing'ti'gong'yi'qie'bian'li'tiao'jian 任何单位和个人都应当支持配合事故抢救并提供一切便利条件
'ren'he'dan'wei'he'ge'ren'dui'shi'gu'bu'de'chi'bao'lou'bao'huang'bao'huo'zhe'man'bao 任何单位和个人对事故不得迟报漏报谎报或者瞒报
'ren'he'dan'wei'he'ge'ren'you'quan'xiang'an'jian'bu'men'jian'cha'ji'guan'huo'zhe'qi'ta'you'guan'bu'men'ju'bao 任何单位和个人有权向安监部门监察机关或者其他有关部门举报
'ren'he'dan'wei'huo'zhe'ge'ren'dui'shi'gu'yin'huan'huo'zhe'an'quan'sheng'chan'wei'fa'xing'wei 任何单位或者个人对事故隐患或者安全生产违法行为
'ren'he'xing'shi 任何形式
'ren'min'fa'yuan 人民法院
'ren'min'jian'cha'yuan 人民检察院
'ren'min'tuan'ti 人民团体
'ren'min'zheng'fu 人民政府
'ren'wei'bi'yao'shi 认为必要时
'ren'yuan'shang'wang 人员伤亡
'ren'zhen'xi'qu 认真吸取
'ren'zheng 认证
'reng'bu'ju'bei'an'quan'sheng'chan'tiao'jian 仍不具备安全生产条件
'reng'bu'neng'dui'shou'hai'ren'gei'yu'zu'e'pei'chang'de'ying'dang'ji'xu'lv'xing'pei'chang'yi'wu 仍不能对受害人给予足额赔偿的应当继续履行赔偿义务
'rong'yi'fa'sheng'zhong'da'sheng'chan'an'quan'shi'gu 容易发生重大生产安全事故
'ru'shi'gao'zhi 如实告知
'ru'shi'ti'gong 如实提供
'ru'shi'ti'gong'you'guan'qing'kuang 如实提供有关情况
'san'tong'shi 三同时
'shan'li'zhi'shou 擅离职守
'shan'zi'cong'shi 擅自从事
'shan'zi'cong'shi'you'guan'huo'dong 擅自从事有关活动
'shan'zi'cong'shi'you'guan'huo'dong'huo'zhe'jie'dao'ju'bao'hou'bu'yu'qu'di'huo'zhe'bu'yi'fa'yu'yi'chu'li'de 擅自从事有关活动或者接到举报后不予取缔或者不依法予以处理的
'shan'zi'sheng'chan'jing'ying'chu'cun'wei'xian'wu'pin 擅自生产经营储存危险物品
'shang'bao'shi'gu'qing'kuang 上报事故情况
'shang'bu'gou'xing'shi'chu'fa 尚不够刑事处罚
'shang'bu'gou'xing'shi'chu'fa'de 尚不够刑事处罚的
'shang'bu'gou'xing'shi'chu'fa'de'gei'yu'che'zhi'chu'fen'huo'zhe'chu'er'wan'yuan'yi'shang'er'shi'wan'yuan'yi'xia'de'fa'kuan 尚不够刑事处罚的给予撤职处分或者处二万元以上二十万元以下的罚款
'shang'bu'gou'xing'shi'chu'fa'de'mo'shou'wei'fa'suo'de 尚不够刑事处罚的没收违法所得
'shang'gang'zuo'ye 上岗作业
'shang'ji'ji'guan 上级机关
'shang'ji'ren'min'zheng'fu'ke'yi'ling'xing'zu'zhi'shi'gu'diao'cha'zu'jin'xing'diao'cha 上级人民政府可以另行组织事故调查组进行调查
'shang'ji'ren'min'zheng'fu'ren'wei'bi'yao'shi'ke'yi'diao'cha'you'xia'ji'ren'min'zheng'fu'fu'ze'diao'cha'de'shi'gu 上级人民政府认为必要时可以调查由下级人民政府负责调查的事故
'shang'wang'ren'shu 伤亡人数
'shang'yi'nian'nian'shou'ru'bai'fen'zhi'si'shi'zhi'bai'fen'zhi'ba'shi'de'fa'kuan 上一年年收入百分之四十至百分之八十的罚款
'shang'you'huo'de'pei'chang'de'quan'li 尚有获得赔偿的权利
'she'bei 设备
'she'bei'fa'bao'chu'zu 设备发包出租
'she'bei'fa'bao'huo'zhe'chu'zu'gei'bu'ju'bei'an'quan'sheng'chan'tiao'jian 设备发包或者出租给不具备安全生产条件
'she'hui'ying'xiang'e'lie 社会影响恶劣
'she'ji'an'quan'sheng'chan'de'shi'xiang 涉及安全生产的事项
'she'ji'bei'jian'cha'dan'wei'de'ji'shu'mi'mi'ye'wu'mi'mi 涉及被检查单位的技术秘密业务秘密
'she'ji'dan'wei 设计单位
'she'ji'ren 设计人
'she'ji'sheng'ming'an'quan'wei'xian'xing'jiao'da'de'te'zhong'she'bei 涉及生命安全危险性较大的特种设备
'she'qu'de'shi'ji'ren'min'zheng'fu 设区的市级人民政府
'she'shi 设施
'she'shi'she'bei'qi'cai'yu'yi'cha'feng'huo'zhe'kou'ya 设施设备器材予以查封或者扣押
'she'xian'fan'zui 涉嫌犯罪
'she'you'fu'he'jin'ji'shu'san'xu'yao 设有符合紧急疏散需要
'she'zhi'ming'xian 设置明显
'shen'cha 审查
'shen'cha'tong'yi 审查同意
'shen'cha'yan'shou 审查验收
'shen'cha'yan'shou'zhong'shou'qu'fei'yong 审查验收中收取费用
'sheng'chan'an'quan'shi'gu 生产安全事故
'sheng'chan'an'quan'shi'gu'bao'gao'he'diao'cha'chu'li'tiao'li 生产安全事故报告和调查处理条例
'sheng'chan'an'quan'shi'gu'de'bao'gao'he'diao'cha'chu'li'shi'yong'ben'tiao'li 生产安全事故的报告和调查处理适用本条例
'sheng'chan'an'quan'shi'gu'de'ying'ji'jiu'yuan 生产安全事故的应急救援
'sheng'chan'an'quan'shi'gu'de'ying'ji'jiu'yuan'yu'diao'cha'chu'li 生产安全事故的应急救援与调查处理
'sheng'chan'an'quan'shi'gu'de'ze'ren'ren 生产安全事故的责任人
'sheng'chan'an'quan'shi'gu'de'ze'ren'ren'wei'yi'fa'cheng'dan'pei'chang'ze'ren 生产安全事故的责任人未依法承担赔偿责任
'sheng'chan'an'quan'shi'gu'shang'wang 生产安全事故伤亡
'sheng'chan'an'quan'shi'gu'ying'ji'jiu'yuan 生产安全事故应急救援
'sheng'chan'an'quan'shi'gu'ying'ji'jiu'yuan'yu'an 生产安全事故应急救援预案
'sheng'chan'an'quan'shi'gu'ying'ji'jiu'yuan'yu'diao'cha'chu'li 生产安全事故应急救援与调查处理
'sheng'chan'an'quan'shi'gu'ze'ren'zhui'jiu'zhi'du 生产安全事故责任追究制度
'sheng'chan'chu'cun'wei'xian'wu'pin 生产储存危险物品
'sheng'chan'jing'ying 生产经营
'sheng'chan'jing'ying'chang'suo 生产经营场所
'sheng'chan'jing'ying'chang'suo'chu'kou 生产经营场所出口
'sheng'chan'jing'ying'chang'suo'he'yuan'gong'su'she'wei'she'you'fu'he'jin'ji'shu'san'xu'yao'biao'zhi'ming'xian'bao'chi'chang'tong'de'chu'kou 生产经营场所和员工宿舍未设有符合紧急疏散需要标志明显保持畅通的出口
'sheng'chan'jing'ying'chu'cun'dan'wei 生产经营储存单位
'sheng'chan'jing'ying'chu'cun'shi'yong'wei'xian'wu'pin 生产经营储存使用危险物品
'sheng'chan'jing'ying'chu'cun'shi'yong'wei'xian'wu'pin'de'che'jian'shang'dian'cang'ku'bu'de'yu'yuan'gong'su'she'zai'tong'yi'zuo'jian'zhu'wu'nei 生产经营储存使用危险物品的车间商店仓库不得与员工宿舍在同一座建筑物内
'sheng'chan'jing'ying'chu'cun'shi'yong'wei'xian'wu'pin'de'che'jian'shang'dian'cang'ku'yu'yuan'gong'su'she'zai'tong'yi'zuo'jian'zhu'nei 生产经营储存使用危险物品的车间商店仓库与员工宿舍在同一座建筑内
'sheng'chan'jing'ying'dan'wei 生产经营单位
'sheng'chan'jing'ying'dan'wei'bi'xu'dui'an'quan'she'bei'jin'xing'jing'chang'xing'wei'hu'bao'yang'bing'ding'qi'jian'ce'bao'zheng'zheng'chang'yun'zhuan 生产经营单位必须对安全设备进行经常性维护保养并定期检测保证正常运转
'sheng'chan'jing'ying'dan'wei'bi'xu'li'ji'zuo'chu'chu'li 生产经营单位必须立即作出处理
'sheng'chan'jing'ying'dan'wei'bi'xu'zhi'xing'yi'fa'zhi'ding'de'bao'zhang'an'quan'sheng'chan'de'guo'jia'biao'zhun'huo'zhe'hang'ye'biao'zhun 生产经营单位必须执行依法制定的保障安全生产的国家标准或者行业标准
'sheng'chan'jing'ying'dan'wei'bu'de'shi'yong'guo'jia'ming'ling'tao'tai'jin'zhi'shi'yong'de'wei'ji'sheng'chan'an'quan'de'gong'yi'she'bei 生产经营单位不得使用国家明令淘汰禁止使用的危及生产安全的工艺设备
'sheng'chan'jing'ying'dan'wei'bu'ju'bei'ben'fa'he'qi'ta'you'guan'fa'lv'xing'zheng'fa'gui 生产经营单位不具备本法和其他有关法律行政法规
'sheng'chan'jing'ying'dan'wei'de'cong'ye'ren'yuan'bu'fu'cong'guan'li 生产经营单位的从业人员不服从管理
'sheng'chan'jing'ying'dan'wei'de'cong'ye'ren'yuan'you'yi'fa'huo'de'an'quan'sheng'chan'bao'zhang'de'quan'li 生产经营单位的从业人员有依法获得安全生产保障的权利
'sheng'chan'jing'ying'dan'wei'de'jue'ce'ji'gou 生产经营单位的决策机构
'sheng'chan'jing'ying'dan'wei'de'zhu'yao'fu'ze'ren'dui'ben'dan'wei'de'an'quan'sheng'chan'gong'zuo'quan'mian'fu'ze 生产经营单位的主要负责人对本单位的安全生产工作全面负责
'sheng'chan'jing'ying'dan'wei'de'zhu'yao'fu'ze'ren'wei'lv'xing'ben'fa'gui'ding'de'an'quan'sheng'chan'guan'li'zhi'ze'de 生产经营单位的主要负责人未履行本法规定的安全生产管理职责的
'sheng'chan'jing'ying'dan'wei'de'zhu'yao'fu'ze'ren'yi'zhao'qian'kuan'gui'ding'shou'xing'shi'chu'fa'huo'zhe'che'zhi'chu'fen'de 生产经营单位的主要负责人依照前款规定受刑事处罚或者撤职处分的
'sheng'chan'jing'ying'dan'wei'de'zhu'yao'fu'ze'ren'you'qian'kuan'wei'fa'xing'wei 生产经营单位的主要负责人有前款违法行为
'sheng'chan'jing'ying'dan'wei'dui'cheng'bao'dan'wei'cheng'zu'dan'wei'de'an'quan'sheng'chan'gong'zuo'tong'yi'xie'tiao'guan'li 生产经营单位对承包单位承租单位的安全生产工作统一协调管理
'sheng'chan'jing'ying'dan'wei'dui'fu'you'an'quan'sheng'chan'jian'du'guan'li'zhi'ze'de'bu'men'de'jian'du'jian'cha'ren'yuan 生产经营单位对负有安全生产监督管理职责的部门的监督检查人员
'sheng'chan'jing'ying'dan'wei'fa'sheng'sheng'chan'an'quan'shi'gu 生产经营单位发生生产安全事故
'sheng'chan'jing'ying'dan'wei'fa'sheng'sheng'chan'an'quan'shi'gu'hou 生产经营单位发生生产安全事故后
'sheng'chan'jing'ying'dan'wei'fa'sheng'sheng'chan'an'quan'shi'gu'zao'cheng'ren'yuan'shang'wang 生产经营单位发生生产安全事故造成人员伤亡
'sheng'chan'jing'ying'dan'wei'jiang'sheng'chan'jing'ying'xiang'mu'chang'suo 生产经营单位将生产经营项目场所
'sheng'chan'jing'ying'dan'wei'wei'yu'cheng'bao'dan'wei'cheng'zu'dan'wei 生产经营单位未与承包单位承租单位
'sheng'chan'jing'ying'dan'wei'ying'dang'ji'shi'yan'jiu'da'fu 生产经营单位应当及时研究答复
'sheng'chan'jing'ying'dan'wei'ying'dang'zai'you'jiao'da'wei'xian'yin'su'de'sheng'chan'jing'ying'chang'suo'he'you'guan'she'shi'she'bei'shang'she'zhi'ming'xian'de'an'quan'jing'shi'biao'zhi 生产经营单位应当在有较大危险因素的生产经营场所和有关设施设备上设置明显的安全警示标志
'sheng'chan'jing'ying'dan'wei'you'xia'lie'xing'wei'zhi'yi'de'ze'ling'xian'qi'gai'zheng 生产经营单位有下列行为之一的责令限期改正
'sheng'chan'jing'ying'dan'wei'you'xia'lie'xing'wei'zhi'yi'de'ze'ling'xian'qi'gai'zheng'yu'qi'wei'gai'zheng'de'ze'ling'ting'chan'ting'ye'zheng'dun 生产经营单位有下列行为之一的责令限期改正逾期未改正的责令停产停业整顿
'sheng'chan'jing'ying'dan'wei'yu'cong'ye'ren'yuan'ding'li'de'lao'dong'he'tong 生产经营单位与从业人员订立的劳动合同
'sheng'chan'jing'ying'dan'wei'yu'cong'ye'ren'yuan'ding'li'xie'yi 生产经营单位与从业人员订立协议
'sheng'chan'jing'ying'dan'wei'zhu'yao'fu'ze'ren 生产经营单位主要负责人
