'a'za 腌臜
'sui'shi 岁事
'sui'shi 岁时
'sui'shi 岁试
'sui'shi 绥视
'sui'shi 遂事
'sui'shi 遂士
'sui'shi 遂师
'sui'shi 随侍
'sui'shi 随时
'sui'shi'dong 穗石洞
'sui'shi'guang'ji 岁时广记
'sui'shou 岁首
'sui'shou 碎首
'sui'shou 随手
'sui'shu 隋书
'sui'shui 睢水
'sui'si 随兕
'sui'sui 睢睢
'sui'sui 穟穟
'sui'sui 绥绥
'sui'sui 遂遂
'sui'sui'xu'xu 睢睢盱盱
'sui'tang'tai'jian 随堂太监
'sui'wei 繐帷
'sui'wen'di 隋文帝
'sui'wu 碎务
'sui'xi 岁夕
'sui'xi 遂溪
'sui'xi 随喜
'sui'xia 岁下
'sui'xian 随县
'sui'xiang 燧象
'sui'xiang'ru'xiang 随乡入乡
'sui'xin 遂心
'sui'xin 隋衅
'sui'xing 岁星
'sui'xu 岁序
'sui'xu 睢盱
'sui'yang 岁阳
'sui'yang 睢阳
'sui'yang 绥阳
'sui'yang'di 隋炀帝
'sui'yang'qu 睢阳曲
'sui'yang'wu'lao'hui 睢阳五老会
'sui'yang'yan 随阳雁
'sui'yang'yan 随阳鴈
'sui'yao 岁钥
'sui'ye 岁夜
'sui'ye 碎叶
'sui'yi 岁遗
'sui'yi 碎义
'sui'yi 碎蚁
'sui'yi 随意
'sui'yin 岁阴
'sui'yin 遂隐
'sui'yin'man'lu 随隐漫录
'sui'you 绥宥
'sui'yu 谇语
'sui'yu'er'an 随遇而安
'sui'yuan 睢园
'sui'yuan 睢苑
'sui'yuan 穗垣
'sui'yuan 绥远
'sui'yuan 隋苑
'sui'yuan 随园
'sui'yuan 随缘
'sui'yue 岁月
'sui'zhang 繐帐
'sui'zhang 绥章
'sui'zheng 隧正
'sui'zhi 碎职
'sui'zhong 岁中
'sui'zhong 随踵
'sui'zhou 睢州
'sui'zhou 绥州
'sui'zhu 岁猪
'sui'zhu 隋珠
'sui'zhu 随珠
'sui'zhu'tan'que 随珠弹雀
'sui'zhuang 碎妆
'sui'zuo 随坐
'sun'bian 笋鞭
'sun'bin 孙膑
'sun'bu'er 孙不二
'sun'ce 孙策
'sun'che 损彻
'sun'cheng'ze 孙承泽
'sun'cheng'zong 孙承宗
'sun'chu 孙楚
'sun'chu'lou 孙楚楼
'sun'chuan'ting 孙传庭
'sun'chuo 孙绰
'sun'ci 孙辞
'sun'deng 孙登
'sun'ding 孙丁
'sun'en 孙恩
'sun'fu 孙复
'sun'fu 孙妇
'sun'fu'jia 孙伏伽
'sun'fu'ren'bei 孙夫人碑
'sun'gong'feng 孙供奉
'sun'gong'tan'pu 孙公谈圃
'sun'guang'xian 孙光宪
'sun'guo'ting 孙过庭
'sun'hao 孙晧
'sun'hao 损耗
'sun'hui 损惠
'sun'ji 隼击
'sun'jia'gan 孙嘉淦
'sun'jian 孙坚
'sun'jiang 笋江
'sun'ju 笋虡
'sun'jue 孙觉
'sun'kang'ying'xue 孙康映雪
'sun'ku 笋枯
'sun'lang 孙郎
'sun'liu 孙刘
'sun'luo 孙络
'sun'mou 孙谋
'sun'nian 损年
'sun'pi'yang 孙丕扬
'sun'pu 笋谱
'sun'qi'feng 孙奇逢
'sun'qing 孙卿
'sun'quan 孙权
'sun'ren'yi'ji 损人益己
'sun'shan 孙山
'sun'shen'xing 孙慎行
'sun'shi 损失
'sun'shou 孙寿
'sun'shu 损书
'sun'shu'ao 孙叔敖
'sun'shui 孙水
'sun'si'miao 孙思邈
'sun'tai 孙泰
'sun'wei 孙位
'sun'wei 孙威
'sun'wei'bo 隼尾波
'sun'wu 孙吴
'sun'wu 孙武
'sun'xi 孙息
'sun'xi 笋席
'sun'xie 笋鞋
'sun'xin 孙心
'sun'xing'yan 孙星衍
'sun'xu 孙壻
'sun'xu 孙婿
'sun'xu 孙许
'sun'yan 孙炎
'sun'yang 孙阳
'sun'ye 孙业
'sun'ye 笋业
'sun'yi 损挹
'sun'yi 损益
'sun'yi'rang 孙诒让
'sun'you 损友
'sun'you'yue 孙游岳
'sun'yu 笋舆
'sun'yu 隼旟
'sun'zhi 孙枝
'sun'zhi 隼质
'sun'zhi'wei 孙知微
'sun'zhi'you'sun 损之又损
'sun'zhu 孙竹
'sun'zi 孙子
'sun'zi'suan'jing 孙子算经
'suo'bi 缩鼻
'suo'bi'shu 锁鼻术
'suo'bu 梭布
'suo'cai 琐材
'suo'cao 莎草
'suo'chuan'wen'shi 所传闻世
'suo'chuang 琐窗
'suo'chuang'han 琐窗寒
'suo'cuan 缩窜
'suo'di 缩地
'suo'di'bu'tian 缩地补天
'suo'dou'ji 索斗鸡
'suo'du 琐黩
'suo'e 傞俄
'suo'e 缩頞
'suo'fen 索粉
'suo'fu 梭福
'suo'fu 琐伏
'suo'ga 缩朒
'suo'guan 锁管
'suo'he 索合
'suo'he 索诃
'suo'hua'long 梭化龙
'suo'huan 所欢
'suo'hui 琐慧
'suo'ji 缩祭
'suo'jia 琐甲
'suo'jian 锁谏
'suo'jian'shi 所见世
'suo'jing 索靖
'suo'jiu 缩酒
'suo'ju 索居
'suo'lang 索郎
'suo'li 缩栗
'suo'lian 琐连
'suo'lu 索卢
'suo'lu 索虏
'suo'lun 索伦
'suo'luo 桫椤
'suo'luo'hua 娑罗花
'suo'luo'mian 娑罗绵
'suo'luo'shu 娑罗树
'suo'mo 索寞
'suo'mo 索漠
'suo'mo 索莫
'suo'na 唢呐
'suo'na 锁呐
'suo'nang 缩囊
'suo'ne 唢吶
'suo'ne 锁吶
'suo'nv 缩恧
'suo'po'he 娑婆诃
'suo'po'shi'jie 娑婆世界
'suo'qi 琐器
'suo'qi 缩气
'suo'qiang 索强
'suo'qiao 索桥
'suo'qin 所钦
'suo'ran 索然
'suo'sheng 所生
'suo'shi 唆使
'suo'shi 索氏
'suo'shou 缩手
'suo'shui 索水
'suo'si 所司
'suo'si 所思
'suo'sui 琐碎
'suo'suo 傞傞
'suo'suo 娑娑
'suo'suo 所所
'suo'suo 琐琐
'suo'suo 索索
'suo'suo 缩缩
'suo'suo 蓑蓑
'suo'suo 髿髿
'suo'ta 琐闼
'suo'tian 所天
'suo'ting 锁厅
'suo'tou 索头
'suo'tou'hu 缩头湖
'suo'tui 缩退
'suo'wei 琐闱
'suo'wei 索苇
'suo'wei'liu'li 琐尾流离
'suo'wei'luo 梭尾螺
'suo'wen'shi 所闻世
'suo'wu'cheng'zhen 缩屋称贞
'suo'xi 琐细
'suo'xi'cheng 索西城
'suo'xiang 索飨
'suo'xiang 缩项
'suo'xiang'bian 缩项鳊
'suo'xiang'wu'di 所向无敌
'suo'xiao 索笑
'suo'xie 琐屑
'suo'xing 索性
'suo'xu 锁须
'suo'xue 锁穴
'suo'xun 梭巡
'suo'yan 琐言
'suo'yang 锁阳
'suo'yi'jie'shi 缩衣节食
'suo'yi'zhang'ren 蓑衣丈人
'suo'yin 索隐
'suo'you 所由
'suo'you'guan 所由官
'suo'yu 梭鱼
'suo'yu 琐语
'suo'yuan 锁院
'suo'yuan'li 索元礼
'suo'yue 锁钥
'suo'zai 所在
'suo'zi 所子
'suo'zi'gu 锁子骨
'suo'zi'jia 锁子甲
'suo'zi'ou 锁子藕
'suo'zi'zhang 锁子帐
'ta'an 傝儑
'ta'bai 踏白
'ta'bai'cao 蹋百草
'ta'ben 拓本
'ta'ben 搨本
'ta'bi 蹋壁
'ta'bo 濌伯
'ta'bu 榻布
'ta'bu'nang 塔布囊
'ta'can 踏餐
'ta'cang 搨藏
'ta'chao'ge 踏潮歌
'ta'cheng 塔城
'ta'chi 塌翅
'ta'chi 蹋鸱
'ta'chuang 踏床
'ta'chun 踏春
'ta'deng 榻登
'ta'di 蹋地
'ta'di'qian 搨地钱
'ta'di'song 踏地菘
'ta'duan 他端
'ta'dui 踏碓
'ta'dun 蹋顿
'ta'duo 阘堕
'ta'fa 挞伐
'ta'fa 挞罚
'ta'fang 他方
'ta'fang 塌房
'ta'fei 阘非
'ta'fu 獭妇
'ta'fu 踏伏
'ta'ge 踏歌
'ta'ge 蹋歌
'ta'ge'ci 踏歌词
'ta'geng 嚃羹
'ta'gu 他故
'ta'gu 蹋鼓
'ta'he 獭褐
'ta'hu'che 蹋虎车
'ta'hua 搨画
'ta'ji 闟戟
'ta'ji'che 阘戟车
'ta'ji'yu 獭祭鱼
'ta'ju 塌橘
'ta'ju 蹋鞠
'ta'ju 蹹鞠
'ta'ju 阘鞠
'ta'kan 踏勘
'ta'la'gu 荅腊鼓
'ta'lu'he 他鲁河
'ta'lu'he 挞鲁河
'ta'mei 他每
'ta'miao 塔庙
'ta'mo 挞末
'ta'nian 他年
'ta'nong 他侬
'ta'pi'guan 獭皮冠
'ta'po 塔婆
'ta'po'tie'xie'wu'mi'chu'de'lai'quan'bu'fei'gong'fu 踏破铁鞋无觅处得来全不费功夫
'ta'qiao 踏跷
'ta'qing 踏青
'ta'ri 他日
'ta'rong 闟茸
'ta'rong 阘冗
'ta'rong 阘茸
'ta'sa 塌飒
'ta'sa 荅飒
'ta'sa 阘靸
'ta'san 獭伞
'ta'sha'xing 踏莎行
'ta'shan 塔山
'ta'sheng 他生
'ta'shi 挞市
'ta'shi 踏实
'ta'shu'shou 搨书手
'ta'shui 他谁
'ta'sui 獭髓
'ta'ta 他他
'ta'ta 荅沓
'ta'ta 誻誻
'ta'ta 踏趿
'ta'ta'er 塔塔儿
'ta'ta'ji'ji 它它藉藉
'ta'wei 挞尾
'ta'wu 塔屋
'ta'wu'hua 踏五花
'ta'xiang 塌香
'ta'xin'tong 他心通
'ta'yan 荅焉
'ta'yao'niang 踏謡娘
'ta'yao'niang 踏谣娘
'ta'yi 塌翼
'ta'yi 搨翼
'ta'yue 踏月
'ta'zhi 他志
'ta'zhu 踏逐
'ta'zhu'che 闟猪车
'tai'an 太安
'tai'an 泰安
'tai'an'gong 太安宫
'tai'bai 太白
'tai'bai'yin'jing 太白阴经
'tai'ban 太半
'tai'ban 泰半
'tai'bao 太保
'tai'bei 台背
'tai'bei 鲐背
'tai'bi 台壁
'tai'bo 太伯
'tai'bo 泰伯
'tai'bo'cheng 泰伯城
'tai'bu 太卜
'tai'cai 苔菜
'tai'can 台参
'tai'cang 太仓
'tai'cang'ku 太仓库
'tai'cang'ling 太仓令
'tai'cang'ti'mi 太仓稊米
'tai'cen 苔岑
'tai'chang 太常
'tai'chang 太昌
'tai'chang 泰常
'tai'chang 泰昌
'tai'chang'bo'shi 太常博士
'tai'chang'qi 太常妻
'tai'chang'si 太常寺
'tai'chang'ya'yue 太常雅乐
'tai'chang'yin 太常引
'tai'chen 台臣
'tai'chen 态臣
'tai'chen 泰辰
'tai'cheng 台城
'tai'cheng 太城
'tai'chi 泰侈
'tai'chong 太冲
'tai'chou 泰畤
'tai'chu 太初
'tai'chu 泰初
'tai'chu'li 太初历
'tai'chu'yuan'jiang 太初元将
'tai'cu 太簇
'tai'dai 台骀
'tai'di 太弟
'tai'di 泰帝
'tai'dian 泰颠
'tai'ding 台鼎
'tai'ding 泰定
'tai'ding'di 泰定帝
'tai'dou 泰斗
'tai'dou 泰豆
'tai'du 态度
'tai'duan 台端
'tai'e 太阿
'tai'e 泰阿
'tai'fa 胎发
'tai'fei 太妃
'tai'feng 泰风
'tai'fu 台府
'tai'fu 台辅
'tai'fu 太傅
'tai'fu 太府
'tai'fu'ren 太夫人
'tai'fu'si 太府寺
'tai'ge 台格
'tai'ge 台阁
'tai'ge'sheng'feng 台阁生风
'tai'ge'ti 台阁体
'tai'geng 太羹
'tai'gong 太公
'tai'gong'diao'yu'yuan'zhe'shang'gou 太公钓鱼愿者上钩
'tai'gong'jia'jiao 太公家教
'tai'gong'quan 太公泉
'tai'gong'wang 太公望
'tai'gu 太古
'tai'gu 太谷
'tai'gu 抬估
'tai'gu 泰古
'tai'gu'pai 太谷派
'tai'guan 台官
'tai'guan 台观
'tai'guan 太官
'tai'gun 台衮
'tai'hai 胎孩
'tai'han'sheng 太憨生
'tai'hang 太行
'tai'hang'ba'xing 太行八陉
'tai'hao 太昊
'tai'hao 太皓
'tai'hao 太皞
'tai'he 太和
'tai'he 泰和
'tai'he'dian 太和殿
'tai'he'gong 太和宫
'tai'he'ling 太和岭
'tai'he'men 太和门
'tai'he'shan 太和山
'tai'he'tang 太和汤
'tai'he'zheng'yin'pu 太和正音谱
'tai'heng 台衡
'tai'hou 太后
'tai'hu 太湖
'tai'hu'shi 太湖石
'tai'hua 太华
'tai'huai 台槐
'tai'huang 太皇
'tai'huang 泰皇
'tai'huang'tai'hou 太皇太后
'tai'ji 台吉
'tai'ji 太姬
'tai'ji 太极
'tai'ji 跆籍
'tai'ji'gong 太极宫
'tai'ji'shan 太极山
'tai'ji'tu 太极图
'tai'jia 太甲
'tai'jia 胎甲
'tai'jian 台谏
'tai'jian 太建
'tai'jian 太监
'tai'jian 苔笺
'tai'jiang 太姜
'tai'jiao 胎教
'tai'jie 台阶
'tai'jie 泰阶
'tai'jie 薹芥
'tai'ju 抬举
'tai'jun 太君
'tai'kang 太康
'tai'kang'ti 太康体
'tai'ke 抬颏
'tai'kong 太空
'tai'lang 台郎
'tai'lao 太牢
'tai'lao'shi 太老师
'tai'le 太乐
'tai'le'ling 太乐令
'tai'le'shu 太乐署
'tai'li 台笠
'tai'li 泰厉
'tai'ling 泰灵
'tai'ling 泰陵
'tai'mang'sheng 太忙生
'tai'mei 苔梅
'tai'men 台门
'tai'meng 太蒙
'tai'miao 太庙
'tai'miao'ling 太庙令
'tai'miao'shu 太庙署
'tai'miao'wei 太庙尉
'tai'ming 太冥
'tai'mu 太母
'tai'ni 儓儗
'tai'ni 儓拟
'tai'niang'ge 泰娘歌
'tai'ning 太宁
'tai'ning 泰宁
'tai'ping 太平
'tai'ping 泰平
'tai'ping'bai'qian 太平百钱
'tai'ping'bu 太平部
'tai'ping'ce 太平策
'tai'ping'che 太平车
'tai'ping'dao 太平道
'tai'ping'ge'ci 太平歌词
'tai'ping'gong'zhu 太平公主
'tai'ping'gu 太平鼓
'tai'ping'guan 太平管
'tai'ping'guang'ji 太平广记
'tai'ping'hua 太平花
'tai'ping'huan'yu'ji 太平寰宇记
'tai'ping'jing 太平经
'tai'ping'niao 太平鸟
'tai'ping'qing'ling'shu 太平清领书
'tai'ping'sheng'hui'fang 太平圣惠方
'tai'ping'tian'guo 太平天国
'tai'ping'wu'xiang 太平无象
'tai'ping'xing'guo 太平兴国
'tai'ping'xing'guo'si 太平兴国寺
'tai'ping'yin 太平引
'tai'ping'yu'lan 太平御览
'tai'ping'yue'fu 太平乐府
'tai'ping'zhen'jun 太平真君
'tai'po 太婆
'tai'pu 太仆
'tai'pu'si 太仆寺
'tai'qian 苔钱
'tai'qin 胎禽
'tai'qing 太清
'tai'qing 泰清
'tai'qing'bu 太清部
'tai'qing'chang 太清氅
'tai'qing'gong 太清宫
'tai'qing'lou 太清楼
'tai'qing'lou'tie 太清楼帖
'tai'qing'shen'jian 太清神鉴
'tai'qiu 太丘
'tai'qiu 泰丘
'tai'qiu'dao'guang 太丘道广
'tai'ran 泰然
'tai'ren 太任
'tai'ri 泰日
'tai'rong 太容
'tai'rong 泰容
'tai'sang 台桑
'tai'shan 太山
'tai'shan 泰山
'tai'shan'bei'dou 泰山北斗
'tai'shan'fu'jun 泰山府君
'tai'shan'hong'mao 泰山鸿毛
'tai'shan'ke'shi 泰山刻石
'tai'shan'niang'niang 泰山娘娘
'tai'shan'tui 泰山颓
'tai'shan'xue'an 泰山学案
'tai'shan'ya'luan 泰山压卵
'tai'shan'yin 泰山吟
'tai'shang 太上
'tai'shang'gan'ying'pian 太上感应篇
'tai'shang'huang 太上皇
'tai'shang'lao'jun 太上老君
'tai'shang'qing'gong 太上清宫
'tai'shang'shi'san'jing 太上十三经
'tai'she 泰社
'tai'sheng 台省
'tai'sheng 胎生
'tai'shi 台使
'tai'shi 太史
'tai'shi 太始
'tai'shi 太室
'tai'shi 太师
'tai'shi 泰始
'tai'shi 泰筮
'tai'shi 泰誓
'tai'shi 泰适
'tai'shi 胎食
'tai'shi'chuang 太师窗
'tai'shi'gong 太史公
'tai'shi'jiao 太师轿
'tai'shi'li 泰始历
'tai'shi'liao 太史寮
'tai'shi'ling 太史令
'tai'shi'qing 太师青
'tai'shi'shi'que'ming 太室石阙铭
'tai'shi'yi 太师椅
'tai'shi'yuan 太史院
'tai'shou 太守
'tai'shou'sheng 太瘦生
'tai'shu 太叔
'tai'shui 泰水
'tai'shun 泰顺
'tai'si 台司
'tai'si 太姒
'tai'su 太素
'tai'sui 太岁
'tai'sui'tou'shang'dong'tu 太岁头上动土
'tai'sun 太孙
'tai'tai 太太
'tai'tan 泰坛
'tai'tou 抬头
'tai'wan 台湾
'tai'wang 太王
'tai'wang 泰王
'tai'wei 太尉
'tai'wei 太微
'tai'wei'yuan 太微垣
'tai'weng 太翁
'tai'wu 太戊
'tai'xi 台席
'tai'xi 太息
'tai'xi 太溪
'tai'xi 太熙
'tai'xi 泰西
'tai'xi 胎息
'tai'xi'shui'fa 泰西水法
'tai'xia 胎鰕
'tai'xian 台宪
'tai'xian 台衔
'tai'xian 胎仙
'tai'xian 苔藓
'tai'xian'sheng 太先生
'tai'xiang 台相
'tai'xie 台榭
'tai'xie 抬写
'tai'xing 太兴
'tai'xing 泰兴
'tai'xiu 炱朽
'tai'xu 太虚
'tai'xuan 台选
'tai'xuan 台铉
'tai'xuan'bu 太玄部
'tai'xuan'jing 太玄经
'tai'xue 太学
'tai'xue'ti 太学体
'tai'yan 太延
'tai'yang 太阳
'tai'yang'gu 胎养谷
'tai'yang'shou 太阳守
'tai'ye 泰液
'tai'ye'chi 太液池
'tai'yi 太一
'tai'yi 太乙
'tai'yi 太仪
'tai'yi 太医
'tai'yi 太易
'tai'yi 泰一
'tai'yi 苔衣
'tai'yi'jiao 太一教
'tai'yi'lian'zhou 太一莲舟
'tai'yi'shu 太一数
'tai'yin 太阴
'tai'yu 台狱
'tai'yu 泰豫
'tai'yu'zhong'da'fu 太驭中大夫
'tai'yuan 台院
'tai'yuan 太元
'tai'yuan 太原
'tai'yuan 太渊
'tai'yuan 泰元
'tai'yuan 泰远
'tai'yue 台岳
'tai'yue 太岳
'tai'yun 泰运
'tai'zai 台宰
'tai'zai 太宰
'tai'zai'pi 太宰嚭
'tai'zao'ji 太早计
'tai'zhan 台琖
'tai'zhan 台盏
'tai'zhan 台站
'tai'zhang 太章
'tai'zhao 太昭
'tai'zhe 泰折
'tai'zhen 太真
'tai'zhi 台职
'tai'zhi 苔纸
'tai'zhi 鲐稚
'tai'zhong'da'fu 太中大夫
'tai'zhou 台州
'tai'zhou 泰州
'tai'zhou'qing 太舟卿
'tai'zhou'xue'an 泰州学案
'tai'zhu 台主
'tai'zhu 太主
'tai'zhu 太祝
'tai'zi 太子
'tai'zi 胎字
'tai'zi'bin'ke 太子宾客
'tai'zi'dan 太子丹
'tai'zi'he 太子河
'tai'zi'jia'ling 太子家令
'tai'zi'ling 太子陵
'tai'zi'shen 太子申
'tai'zi'wen'xue 太子文学
'tai'zi'xi'ma 太子洗马
'tai'zi'zhan'shi 太子詹事
'tai'zi'zhong'she'ren 太子中舍人
'tai'zong 太宗
'tai'zu 太祖
'tai'zun 太尊
'tan'an'ci 坦庵词
'tan'ao 潭奥
'tan'bai'nian'qu 叹百年曲
'tan'ban 檀板
'tan'bing 谈柄
'tan'bu 坦步
'tan'bu 毯布
'tan'cao 檀槽
'tan'chan 坛墠
'tan'chang 坛场
'tan'chang 炭场
'tan'che 檀车
'tan'cheng 郯城
'tan'chou 探筹
'tan'chu'duan 谭处端
'tan'chuan 滩船
'tan'chuan 痰喘
'tan'chun 探春
'tan'ci 探刺
'tan'cong 谈丛
'tan'cui 醰粹
'tan'dang 坦荡
'tan'dao 贪叨
'tan'dao'ji 檀道济
'tan'dao'shan 坛道山
'tan'dian 坛坫
'tan'ding'ru'di 摊丁入地
'tan'du 炭渎
'tan'duo'wu'de 贪多务得
'tan'fan 摊饭
'tan'fen 惔焚
'tan'feng 叹凤
'tan'feng 谈锋
'tan'fu 叹伏
'tan'fu 坦腹
'tan'fu 潭府
'tan'fu 袒缚
'tan'gan'ying'cao 探竿影草
'tan'ge 滩哥
'tan'ge 袒割
'tan'gong 檀弓
'tan'gou 探钩
'tan'guan'jian 探官茧
'tan'hai 醓醢
'tan'he'rong'yi 谈何容易
'tan'hu'se'bian 谈虎色变
'tan'hua 探花
'tan'hua 昙华
'tan'hua 谈话
'tan'hua'hong 探花红
'tan'hua'lang 探花郎
'tan'hua'shi 探花使
'tan'hua'yi'xian 昙花一现
'tan'huai 坦怀
'tan'huan 啴缓
'tan'huan 摊缓
'tan'huan 瘫痪
'tan'huang 摊黄
'tan'huang 滩簧
'tan'ji 探急
'tan'ji 炭墼
'tan'jian 谈笺
'tan'jiang 坍江
'tan'jing 坛经
'tan'jing 炭敬
'tan'jiu 探阄
'tan'juan 坛卷
'tan'ke 谈客
'tan'kong'shuo'you 谈空说有
'tan'kou 檀口
'tan'kui 叹喟
'tan'lai'ge 檀来歌
'tan'lan 贪婪
'tan'lang 檀郎
'tan'lang 贪狼
'tan'lang'feng 贪狼风
'tan'li'de'zhu 探骊得珠
'tan'lin 檀林
'tan'lin 贪惏
'tan'long 昙笼
'tan'long'lu 谈龙录
'tan'luan 昙鸾
'tan'luan 檀栾
'tan'lun 谭纶
'tan'ma'chi'jun 探马赤军
'tan'man 坛曼
'tan'man 坦谩
'tan'man 湠漫
'tan'man 譠谩
'tan'mao 贪冒
'tan'mei 贪昧
'tan'mian 袒免
'tan'miao 坛庙
'tan'mo 昙摩
'tan'mo 贪墨
'tan'mo'luo 昙摩罗
'tan'na 檀那
'tan'nang 探囊
'tan'nang'qu'wu 探囊取物
'tan'pa 惔怕
'tan'po 摊破
'tan'pu 摊蒱
'tan'pu 炭浦
'tan'qi 探骑
'tan'qian 倓钱
'tan'qian 摊钱
'tan'qian 昙迁
'tan'qiao 谭峭
'tan'qing 贪情
'tan'qu 探取
'tan'quan 贪泉
'tan'ran 坦然
'tan'rong'niang 谈容娘
'tan'shan 炭山
'tan'shan'ke'shi 坛山刻石
'tan'shang 叹赏
'tan'sheng 昙晟
'tan'shi 檀施
'tan'shi 袒饰
'tan'shuai 坦率
'tan'shuo 燂烁
'tan'sou 谈薮
'tan'ta 坍塌
'tan'tai 檀台
'tan'tan 啴啴
'tan'tan 坦坦
'tan'tan 憛憛
'tan'tan 昙昙
'tan'tan 潭潭
'tan'tan 舑舕
'tan'tan 醰醰
'tan'tang 探汤
'tan'tao 探讨
'tan'tao 贪饕
'tan'te 忐忑
'tan'ti 探题
'tan'tian 谈天
'tan'tian'gong 贪天功
'tan'tie 潭帖
'tan'tu 坦涂
'tan'tu 坦途
'tan'tu 谈吐
'tan'tuo 潭沲
'tan'wan 叹惋
'tan'wan 探丸
'tan'wei 坛壝
'tan'wu 贪污
'tan'xi 叹息
'tan'xi 坛席
'tan'xi 摊戏
'tan'xi 檀溪
'tan'xi 袒裼
'tan'xi 襢裼
'tan'xi'luo'cheng 袒裼裸裎
'tan'xian 叹羡
'tan'xiang 檀乡
'tan'xiang 檀香
'tan'xiang'mei 檀香梅
'tan'xiao'feng'hou 谈笑封侯
'tan'xiao'shi'da 贪小失大
'tan'xie 谈屑
'tan'xin 檀心
'tan'xuan 啴咺
'tan'xuan 谈玄
'tan'yan 啴唌
'tan'yan'wei'zhong 谈言微中
'tan'yi 坦夷
'tan'yi 袒衣
'tan'yi 襢衣
'tan'yin 痰饮
'tan'you 袒右
'tan'yu 坛域
'tan'yu 坛宇
'tan'yu 憛悇
'tan'yuan 探源
'tan'yuan 谈苑
'tan'yuan'chun 谭元春
'tan'yuan'ti'hu 谭苑醍醐
'tan'yue 檀越
'tan'yue 潭瀹
'tan'yun 檀晕
'tan'ze'suo'yin 探赜索隐
'tan'zhan 坛琖
'tan'zhan 坛盏
'tan'zhao 坛兆
'tan'zhe'si 潭柘寺
'tan'zhou 潭州
'tan'zhu 谈助
'tan'zhu 谈麈
'tan'zi 滩子
'tan'zi 郯子
'tan'zong 谈宗
'tang'ai 搪挨
'tang'an 堂案
'tang'ao 堂坳
'tang'ao 堂奥
'tang'ao 塘坳
'tang'ao 汤媪
'tang'ba 镋钯
'tang'bai'jia'shi'xuan 唐百家诗选
'tang'bang 堂榜
'tang'bao 塘报
'tang'bao'du 汤包肚
'tang'bei 唐碑
'tang'bei'juan 堂备卷
'tang'bi 唐碧
'tang'bi 堂陛
'tang'bi'dang'che 螳臂当车
'tang'bin 汤斌
'tang'bing 汤饼
'tang'bing'hui 汤饼会
'tang'cai'zi'chuan 唐才子传
'tang'can 堂飱
'tang'cang 帑藏
'tang'chan 糖缠
'tang'chan 餹缠
'tang'chang'guan 唐昌观
'tang'cheng 搪撑
'tang'chi 汤池
'tang'chu 唐菆
'tang'chu 堂除
'tang'dai'cong'shu 唐代丛书
'tang'dai'zong 唐代宗
'tang'dang 傥荡
'tang'di 唐棣
'tang'di 棠棣
'tang'die 堂牒
'tang'ding 塘丁
'tang'ding 汤鼎
'tang'dui 溏瀩
'tang'feng 唐风
'tang'feng 堂封
'tang'feng'ji 唐风集
'tang'fu 堂阜
'tang'fu 棠芾
'tang'fu 螳斧
'tang'gao 汤诰
'tang'gao'lian'yuan 堂高廉远
'tang'gao'zong 唐高宗
'tang'gao'zu 唐高祖
'tang'gong 唐弓
'tang'gong 唐贡
'tang'gou 堂构
'tang'gu 傥谷
'tang'gu 汤谷
'tang'gu'te'guan 唐古特官
'tang'gu'tei 唐古忒
'tang'guan 堂官
'tang'guan 汤官
'tang'guo'shi'bu 唐国史补
'tang'he 唐河
'tang'he 汤和
'tang'he 闛阖
'tang'heng 唐衡
'tang'hou'guan 堂候官
'tang'hua 唐花
'tang'hua 堂花
'tang'huang 唐皇
'tang'huang 堂皇
'tang'huang 戃慌
'tang'hui'yao 唐会要
'tang'huo 汤火
'tang'huo 汤镬
'tang'ji 汤剂
'tang'jia 溏浃
'tang'jian 唐鉴
'tang'jin 唐巾
'tang'jing 汤井
'tang'jiu 堂舅
'tang'ju 唐举
'tang'juan 唐捐
'tang'ke 堂客
'tang'kuai 帑廥
'tang'lai'wu 傥来物
'tang'lang 傥朗
'tang'lang 曭朗
'tang'lang 爣阆
'tang'lang 螗蜋
'tang'lang 螗螂
'tang'lang 螳蜋
'tang'lang 螳螂
'tang'lang'chuan 螳螂川
'tang'lao 堂老
'tang'lei'han 唐类函
'tang'li 堂吏
'tang'li 棠梨
'tang'li 棠棃
'tang'lian 堂廉
'tang'lin 唐临
'tang'lin'jin'tie 唐临晋帖
'tang'liu'dian 唐六典
'tang'long 唐隆
'tang'lu 帑僇
'tang'luo 铴锣
'tang'luo'gu 傥骆谷
'tang'lv'shu'yi 唐律疏议
'tang'mang 傥莽
'tang'mang 曭莽
'tang'mei 唐昧
'tang'meng 唐蒙
'tang'mian 矘眄
'tang'ming 堂名
'tang'mo 帑抹
'tang'mu 汤沐
'tang'mu'yi 汤沐邑
'tang'pa 唐帕
'tang'pan 汤盘
'tang'peng 汤鹏
'tang'po 汤婆
'tang'pu 唐圃
'tang'qian 堂前
'tang'qiu'zi 棠梂子
'tang'qu 唐衢
'tang'quan 汤泉
'tang'ren 唐人
'tang'ren'shuo'hui 唐人说荟
'tang'ren'wan'shou'jue'ju'xuan 唐人万首絶句选
'tang'ren'wan'shou'jue'ju'xuan 唐人万首绝句选
'tang'ruo'wang 汤若望
'tang'sai'er 唐赛儿
'tang'san'zang 唐三藏
'tang'se 搪塞
'tang'seng'qu'jing 唐僧取经
'tang'shan 唐山
'tang'shan 汤山
'tang'shang 堂上
'tang'shang'xing 塘上行
'tang'shi 汤誓
'tang'shi 糖食
