'ai'ai'duo'shi 蔼蔼多士
'ran'fan'ci'sui'ji 然繁辞虽积
'ran'fan'lun'xian'xi 然泛论纤悉
'ran'fei'ci'zhi'nan 然非辞之难
'ran'feng'yi'quan'bai 然讽一劝百
'ran'gao'hou'zhi'shi 然高厚之诗
'ran'geng'duan'zhe'xian'ke 然绠短者衔渴
'ran'gu'zhi'mi'mi 然骨制靡密
'ran'han'ren'yu'quan 然函人欲全
'ran'he'qu'jing'yi 然核取精意
'ran'hou'biao'yi'xian'yi 然后标以显义
'ran'hou'jie'wen'zi'hui 然后节文自会
'ran'hou'neng'fu'jia'xin'yi 然后能孚甲新意
'ran'hou'neng'jing'wei'qu'yu 然后能经纬区宇
'ran'hou'neng'ping'li'ruo'heng 然后能平理若衡
'ran'hou'pin'zao'xuan'huang 然后品藻玄黄
'ran'hou'quan'ping'zhao'zheng 然后诠评昭整
'ran'hou'shi'yuan'jie'zhi'zai 然后使元解之宰
'ran'hou'shu'hua'bu'shi 然后舒华布实
'ran'hou'tuo'qu'lu 然后拓衢路
'ran'hou'yu'yuan'zhe'zhe'gong 然后逾垣者折肱
'ran'ji'zhuan'wei'shi 然纪传为式
'ran'jiang'xiang'yi'wei'long'te'da 然将相以位隆特达
'ran'jin'fu'er'yuan'shu'yi 然近附而远疏矣
'ran'jin'sui'bu'wen 然晋虽不文
'ran'kang'ci'shu'xin 然抗辞书衅
'ran'ken'ce'zhe'ci'wei'xin'shi 然恳恻者辞为心使
'ran'liang'yun'zhe'yi 然两韵辄易
'ran'lu'chen'yi'lin'wei'jun 然鲁臣以麟为麏
'ran'lv'tu'gui'men 然履突鬼门
'ran'mi'hui'zhe'yi'yi'xin'de'qiao 然密会者以意新得巧
'ran'miu'yu'yan'qiu 然谬于研求
'ran'qi'ji'zhe'ru'qiao 然契机者入巧
'ran'qi'wen'ci'li'ya 然其文辞丽雅
'ran'qia'wen'zhi'shi 然洽闻之士
'ran'que'er'bu'zuan'zhe 然阙而不纂者
'ran'rui'zhi'you'yin 然睿旨幽隐
'ran'shi'qiong'qi'yao 然饰穷其要
'ran'shi'yan'zhi'dao'gai'que 然矢言之道盖阙
'ran'shi'you'heng'cai 然诗有恒裁
'ran'shi'yuan'zhe'tai'qing 然世远者太轻
'ran'shi'zhi'wei'ren 然史之为任
'ran'shu'er'neng'zhuang 然疏而能壮
'ran'shu'pian'zhi'gao'zhe'ye 然属篇之高者也
'ran'su'jie'ai'qi 然俗皆爱奇
'ran'su'ting'fei'chi 然俗听飞驰
'ran'tong'zhi'zhe'gai'gua 然通制者盖寡
'ran'tui'qi'ji'zong 然推其机综
'ran'wang'ming'qing'bian 然王命清辩
'ran'wen'ci'zhi'you'xie'yin 然文辞之有谐讔
'ran'wen'shu'duo'men 然文术多门
'ran'wen'zhi'ren'shi 然文之任势
'ran'wu'you'heng'zi 然物有恒姿
'ran'yan'ai'tian'cheng 然烟霭天成
'ran'yi'cun'ze'ke'zhong 然义存则克终
'ran'yi'qi'mei'yi 然亦其美矣
'ran'ying'fu'jia'shi 然影附贾氏
'ran'yuan'hu'wen'zhe 然渊乎文者
'ran'ze'bo'jian'wei'kui'pin'zhi'liang 然则博见为馈贫之粮
'ran'ze'ce'ben'shu'zeng 然则策本书赠
'ran'ze'fu'ye'zhe 然则赋也者
'ran'ze'fu'zou'yi'yan 然则敷奏以言
'ran'ze'hu'ruan'jia'qi'qing 然则胡阮嘉其清
'ran'ze'ming'li'yin'hu'cheng'ci 然则明理引乎成辞
'ran'ze'qu'ping'suo'yi'neng'dong'jian'feng'sao'zhi'qing'zhe 然则屈平所以能洞监风骚之情者
'ran'ze'sheng'bu'jia'yi 然则声不假翼
'ran'ze'sheng'wen'zhi'ya'li 然则圣文之雅丽
'ran'ze'xi'jian'dong'die 然则西鹣东鲽
'ran'ze'yu'wei'wen'you 然则鬻惟文友
'ran'ze'zhi'zu'er'yan'wen 然则志足而言文
'ran'zhang'ju'zai'pian 然章句在篇
'ran'zhen'qi'da'gang 然振其大纲
'ran'zhi'you'zhe 然滞有者
'ran'zhong'xing'zhi'hou 然中兴之后
'ran'zhong'yuan'bo'gu 然仲瑗博古
'ran'zhu'mo'zhi'chou 然逐末之俦
'ran'zi'jian'si'jie'er'cai'jun 然子建思捷而才俊
'ran'zi'qing'yuan'yi'qian 然自卿渊已前
'ran'zi'xia'wu'kui'yu'ming'ru 然子夏无亏于名儒
'ran'zong'yao'yi'yue'wen 然总要以约文
'rang'jue'xie'en 让爵谢恩
'rao'chao'zeng'shi'hui'yi'ce 绕朝赠士会以策
'ren'bing'qi'qing 人禀七情
'ren'cai'shi'sheng 人才实盛
'ren'li'geng'nou 任力耕耨
'ren'mo'yuan'gai 人莫圆该
'ren'shi'qu'xiang'er'yi'lan 人始区详而易览
'ren'shui'huo'an 人谁获安
'ren'shui'qu'nan 人谁取难
'ren'wei'jin'cai 人未尽才
'ren'wen'zhi'yuan 人文之元
'ren'zhi'bing'cai 人之禀才
'ri'chu'dong'zhao 日出东沼
'ri'xin'qi'ye 日新其业
'ri'yong'er'bu'kui 日用而不匮
'ri'yong'hu'bi 日用乎比
'ri'yue'die'bi 日月叠璧
'ri'yue'wang'lai 日月往来
'ri'yue'yu'shi'hu'chu'ru 日月于是乎出入
'rong'cai'di'san'shi'er 熔裁第三十二
'rong'fan'suo'ni 熔范所拟
'rong'gao'shen'ming'wei'zhi'song 容告神明谓之颂
'rong'he'wen'luo 荣河温洛
'rong'hua'ge'ding 容华格定
'rong'jun'liu'jing 熔钧六经
'rong'shi'bi'lian'yu'bing 戎事必练于兵
'rong'shi'er'ai'zhong 荣始而哀终
'rong'shi'jing'gao 熔式经诰
'rong'ti'di'song 容体底颂
'rong'ye 容也
'rong'ze'gang'ling'zhao'chang 熔则纲领昭畅
'ru'bi'heng'pei 如彼珩珮
'ru'bo'sai'zhi'yao'yu 如博塞之邀遇
'ru'bo'ya'zhi'qiao 入博雅之巧
'ru'bu'huo'mian 如不获免
'ru'cai'ming'yi 缛采名矣
'ru'chuan'zhi'dan 如川之澹
'ru'ci'fu'zhi'chu'zi'ye 如慈父之畜子也
'ru'dao'jian'zhi'zhi'shu 入道见志之书
'ru'hu'xi'bei 入乎西陂
'ru'huo'ke'zao 如或可造
'ru'ji'fa'shi'zhi 如机发矢直
'ru'jian'zhi'chou'xu 如茧之抽绪
'ru'jiang'zhi'zhi'qi'ye 如匠之制器也
'ru'jiao'zhi'zhan'mu 如胶之粘木
'ru'ju'shi'zhi'shao'zhen 如巨室之少珍
'ru'ke'yan'hu 如可言乎
'ru'le'zhi'he 如乐之和
'ru'li'er'qing'qing 缛丽而轻清
'ru'li'you'yu 缛理有馀
'ru'long'ru'qiu 如龙如虬
'ru'ming'zhi'yu 入铭之域
'ru'shen'zhi'yong 入神致用
'ru'si'er'yi 如斯而已
'ru'song'hua'wu'ye 如宋画吴冶
'ru'ti'zhi'shu'hai 如体之树骸
'ru'xing'ru'shuo'yi'fan'ci 儒行缛说以繁辞
'ru'ya'bin'bin 儒雅彬彬
'ru'ya'ji'zhong 儒雅继踵
'ru'yang'zhu'wang 汝阳主亡
'ru'ye'zai'zhi 如叶在枝
'ru'yin'pei'yi'hui'bian 如引辔以挥鞭
'ru'yin'zhi'yin'ni 如印之印泥
'ru'yu'bian'xiu 如欲辨秀
'ru'yu'yu'dai 缛于虞代
'ru'zi'cang'lang 孺子沧浪
'ru'zi'cheng'wei 孺子诚微
'ru'zu'zhi'zhi'pin'zhu'zi 如组织之品朱紫
'ru'zuo'you'jian'gu 如左右肩股
'ruan'ji'shi'qi'yi'ming'shi 阮籍使气以命诗
'ruan'yu'ju'an'er'zhi'shu 阮禹据案而制书
'ruan'zhi'yao'shen 阮旨遥深
'rui'jing'xi'qiao 锐精细巧
'rui'liang'fu'zhi'shi'yun 芮良夫之诗云
'rui'si'yu'ji'shen'zhi'qu 锐思于几神之区
'rui'zhe'wei'zai 睿哲惟宰
'run'se'hong'ye 润色鸿业
'run'se'qu'mei 润色取美
'ruo'ai'dian'er'e'hua 若爱典而恶华
'ruo'bai'jie'er'se'ju 若百诘而色沮
'ruo'ban'gu'yan'ran'zhi'le 若班固燕然之勒
'ruo'bi'wei'yan'wen 若笔为言文
'ruo'bing'jing'yi'zhi'shi 若禀经以制式
'ruo'bu'da'zheng'ti 若不达政体
'ruo'bu'sheng'wu 弱不胜务
'ruo'chang'feng'zhi'guo'lai 若长风之过籁
'ruo'chen'ai'zhi'jian'bai'yun 若尘埃之间白云
'ruo'ci'shi'qi'peng 若辞失其朋
'ruo'ci'wen'ren 若此文人
'ruo'er'zi'zhe 若二子者
'ruo'fei'tai'yue 若非台岳
'ruo'feng'gu'fa'cai 若风骨乏采
'ruo'feng'zao'ke'shan 若丰藻克赡
'ruo'fu'ba'ti'lv'qian 若夫八体屡迁
'ruo'fu'chu'ci'zhao'hun 若夫楚辞招魂
'ruo'fu'fu'xian'jing'zhi 若夫傅咸劲直
'ruo'fu'gong'shang'da'he 若夫宫商大和
'ruo'fu'gui'zhang'ting'qi'hui'xin 若夫珪璋挺其惠心
'ruo'fu'jia'yi'zhi'wu'nong 若夫贾谊之务农
'ruo'fu'jue'bi'duan'zhang 若夫绝笔断章
'ruo'fu'jun'fa'zhi'shi 若夫骏发之士
'ruo'fu'jun'zi'ni'ren 若夫君子拟人
'ruo'fu'li'wen'zhi'dao 若夫立文之道
'ruo'fu'lu'jia'xin'yu 若夫陆贾新语
'ruo'fu'qi'fen'you'xian 若夫器分有限
'ruo'fu'qu'jia'zhi'zhong'zhen 若夫屈贾之忠贞
'ruo'fu'rong'zhu'jing'dian'zhi'fan 若夫熔铸经典之范
'ruo'fu'shan'yi'zhi'wen 若夫善弈之文
'ruo'fu'shi'huo'gu'li 若夫事或孤立
'ruo'fu'si'yan'zheng'ti 若夫四言正体
'ruo'fu'yan'ge'wan'luan 若夫艳歌婉娈
'ruo'fu'yi'xun'gu'jin 若夫义训古今
'ruo'fu'yin'chen'yong'tang 若夫殷臣咏汤
'ruo'fu'zang'hong'sha'ci 若夫臧洪歃辞
'ruo'fu'zhang'ju'wu'chang 若夫章句无常
'ruo'fu'zhu'jie'wei'shu 若夫注解为书
'ruo'fu'zhu'shi'wei'ci 若夫注释为词
'ruo'fu'zhui'shu'yuan'dai 若夫追述远代
'ruo'fu'zi'yun'zhi'biao'chong'guo 若夫子云之表充国
'ruo'fu'zun'gui'cha'xu 若夫尊贵差序
'ruo'gao'tang'tian'wen 若高堂天文
'ruo'gu'cai'wei'yuan 若骨采未圆
'ruo'hui'zhi'ze'you'yu 若挥之则有馀
'ruo'ji'yi'fei'ci 若瘠义肥辞
'ruo'jia'yi'zhi'bian'dai'zhu'sheng 若贾谊之遍代诸生
'ruo'ke'hu'lei'wu 若刻鹄类鹜
'ruo'li'sao'zhe 若离骚者
'ruo'liang'yan'xiang'pei 若两言相配
'ruo'liang'zi'ju'yao 若两字俱要
'ruo'lue'ming'qu'shi 若略名取实
'ruo'lue'ren'mei'ci 若掠人美辞
'ruo'mao'gong'zhi'xun'shi 若毛公之训诗
'ruo'miao'shi'suo'nan 若妙识所难
'ruo'nai'an'he'zhi'zou 若乃按劾之奏
'ruo'nai'fei'lian'you'shi'guan'zhi'xi 若乃飞廉有石棺之锡
'ruo'nai'gai'yun'cong'tiao 若乃改韵从调
'ruo'nai'he'tu'yun'ba'gua 若乃河图孕八卦
'ruo'nai'li'zhi'ji'zhu 若乃礼之祭祝
'ruo'nai'lun'wen'xu'bi 若乃论文叙笔
'ruo'nai'shan'lin'gao'rang 若乃山林皋壤
'ruo'nai'tang'zhi'wen'ji 若乃汤之问棘
'ruo'nai'wo'chuo'yu'pian'jie 若乃龌龊于偏解
'ruo'nai'xi'nong'xuan'hao'zhi'yuan 若乃羲农轩皞之源
'ruo'nai'ying'qu'bai'yi 若乃应璩百一
'ruo'nai'zhang'min'zhi'duan'qing'wu 若乃张敏之断轻侮
'ruo'nai'zong'shu'xing'ling 若乃综述性灵
'ruo'nai'zun'xian'yin'hui 若乃尊贤隐讳
'ruo'neng'pi'li'men'yi'xuan'gui 若能辟礼门以悬规
'ruo'neng'ping'shi'yi'yi'ya'song 若能凭轼以倚雅颂
'ruo'neng'que'hu'zheng'shi 若能确乎正式
'ruo'neng'yin'kuo'yu'yi'zhao 若能隐括于一朝
'ruo'neng'zhuo'shi'shu'zhi'kuang'zhi 若能酌诗书之旷旨
'ruo'niao'ming'si'yu 若鸟鸣似语
'ruo'pi'ge'wei'kui 若譬葛为葵
'ruo'pian'zhong'fa'yin 若篇中乏隐
'ruo'qi'wu'qi'lei 若气无奇类
'ruo'qin'yan'jun'zhi'zhu'yao'dian 若秦延君之注尧典
'ruo'qing'huang'lv'chu 若青黄屡出
'ruo'qing'shu'gui'za 若情数诡杂
'ruo'qing'zhou'er'bu'fan 若情周而不繁
'ruo'qu'qu'mi'qiao 若曲趣密巧
'ruo'ren'qing'shi'zheng 若任情失正
'ruo'shou'chang'rong'hua 若首唱荣华
'ruo'shu'bu'su'ding 若术不素定
'ruo'si'chong'chu 若斯重出
'ruo'si'ma'biao'zhi'xiang'shi 若司马彪之详实
'ruo'si'zhi'ke 若斯之科
'ruo'si'zhi'lei 若斯之类
'ruo'tian'xia'zhi'you'feng'yi 若天下之有风矣
'ruo'tong'xu'shi'zong 若统绪失宗
'ruo'wei'bi'sheng'wei 若谓庇胜卫
'ruo'wen'fu'yu'li 若文浮于理
'ruo'xiao'er'bu'yi 若效而不已
'ruo'xiao'shuo'jing'dan 若销铄精胆
'ruo'xue'qian'er'kong'chi 若学浅而空迟
'ruo'ya'zheng'er'gong'pian 若雅郑而共篇
'ruo'yi'yi'qi'qi 若依义弃奇
'ruo'you'qu'you 若有区囿
'ruo'yuan'shan'zhi'fu'yan'ai 若远山之浮烟霭
'ruo'zai'wen'shi 若在文世
'ruo'ze'yuan'yu'jing'wei'zhi'liu 若择源于泾渭之流
'ruo'zhen'zhi'tong'jie'yi 若针之通结矣
'ruo'zheng'sheng'li'yan 若征圣立言
'ruo'zhi'er'mo'wu 若值而莫悟
'ruo'zhu'ge'kong'ming'zhi'xiang'yue 若诸葛孔明之详约
'ruo'zhu'shi'zhi'xu'ji'gou 若筑室之须基构
'ruo'zong'qi'gui'tu 若总其归途
'sa'bi'yi'cheng'han'ge 洒笔以成酣歌
'sa'han'yi'fa'xing 洒翰以伐性
'san'bai'yu'pian 三百馀篇
'san'bai'zhi'bi 三百之蔽
'san'cai'yi'biao'wai 散采以彪外
'san'ci'cong'ming 三辞从命
'san'cun'zhi'she 三寸之舌
'san'dai'chun'qiu 三代春秋
'san'dai'suo'xing 三代所兴
'san'dai'yu'rui 三代玉瑞
'san'dai'zheng'xia 三代政暇
'san'dan'hui 氵单噅
'san'guan'tong'bian 三观通变
'san'ji'yi'xun 三极彝训
'san'jie'zhi'wai 三接之外
'san'nian'wen'sang 三年问丧
'san'qu'chi'wang 三驱弛网
'san'quan'zhong'chu 三权重出
'san'ren'fu'shi 三人弗识
'san'shi'du'he 三豕渡河
'san'shi'wan'yan 三十万言
'san'wang'shi'shi 三王誓师
'san'wang'xian'zhi 三望咸秩
'san'xie'yi'zi 三写易字
'san'yan'xing'yu'yu'shi 三言兴于虞时
'san'yue'biao 三曰表
'san'yue'jing'yue 三曰精约
'san'yue'qing'wen 三曰情文
'san'yue'zhao'shu 三曰诏书
'san'ze'shi'xin'er'bu'dan 三则事信而不诞
'sang'fu'ju'qing'yi'bao'zhong 丧服举轻以包重
'sang'yan'bu'wen 丧言不文
'sang'yan'yi'bu'ji'wen 丧言亦不及文
'sao'shu'qiu'lan 骚述秋兰
'se'rou'er'quan'ma'shu'xing 色糅而犬马殊形
'se'sui'rou'er'you'ben 色虽糅而有本
'se'zhu'zhi'he'ye 瑟柱之和也
'se'zi'yi'zhu 瑟资移柱
'sha'lu'cuo'qi'yao 沙麓撮其要
'sha'qing'suo'bian 杀青所编
'shan'chuan'huan'qi 山川焕绮
'shan'chuan'wu'ji 山川无极
'shan'du'zhong'lv'zhi'yao 山渎锺律之要
'shan'e'xie'zong 善恶偕总
'shan'fan'jian'hui 芟繁剪秽
'shan'fu'zhe'ci'shu'er'yi'xian 善敷者辞殊而义显
'shan'ru'shi'ti 善入史体
'shan'shan'zhe'zi'qu'er'yi'liu 善删者字去而意留
'shan'ta'shui'za 山沓水匝
'shan'yi'jue'gui 芟夷谲诡
'shan'yu'ai'wen 善于哀文
'shan'yu'shi'yao 善于适要
'shan'zhuo'zi'zhe 善酌字者
'shang'chan'hou'ji'zhi'lie 上阐后稷之烈
'shang'gu'chun'zhi 上古纯质
'shang'gu'di'wang 上古帝王
'shang'ji'bian 上急变
'shang'pian'yi'shang 上篇以上
'shang'ren'yi'qian'wang'zhui'lu 商人以前王追录
'shang'ruo'zi 伤弱子
'shang'shi'er'bu'qu'yue'ze 尚势而不取悦泽
'shang'shu'cheng'zou 上书称奏
'shang'shu'da'zhuan'you'bie'feng'huai'yu 尚书大传有别风淮雨
'shang'shu'ze'lan'wen'ru'gui 尚书则览文如诡
'shang'si'wen'zhi'zhui 伤斯文之坠
'shang'xia'bei'yu'gao'shi 商夏被于诰誓
'shang'xing'yu'xia 上行于下
'shang'yang'bian'fa 商鞅变法
'shang'yi'jiao'zhi'dian'yun 伤羿浇之颠陨
'shang'zhou'li'er'ya 商周丽而雅
'shang'zhou'pian'shi 商周篇什
'shang'zhou'yi'qian 商周以前
'shang'zhou'zhi'shi 商周之世
'shang'zi'er'yi'xia 上字而抑下
'shao'guang'yin'le 稍广淫乐
'shao'ji'wu'yi'xiang'jie 少既无以相接
'shao'ru'qing'qi 稍入轻绮
'shao'wu'wen'li 稍务文丽
'shao'xiang'nan'zhui 韶响难追
'shao'you'ming'pin 稍有名品
'shao'zhu'xiang'reng 少主相仍
'she'ce'zhe 射策者
'she'ce'zhe'yi'jia'ke'ru'shi 射策者以甲科入仕
'she'de'qi'li 设得其理
'she'duan'zhi'wen 舌端之文
'she'er'wu'dian 奢而无玷
'she'huang'long'zhi'zu 设黄龙之诅
'she'ti'wei'ci 奢体为辞
'she'zhe'yi'hao'er'shi'qiang 射者仪毫而失墙
'shen'bao'zang'yong 神宝藏用
'shen'chen'qi'zhi'zhe 深沉其旨者
'shen'cuo'ping'hu'dao'sheng 身挫凭乎道胜
'shen'dao'nan'mo 神道难摹
'shen'dao'xi'mi'li'zhi'qiao 慎到析密理之巧
'shen'er'fan'xian 深而繁鲜
'shen'fei'qian'shou 深废浅售
'shen'gui'jian'er'hong'fan'yao 神龟见而洪范耀
'shen'hu'feng'zhe 深乎风者
'shen'huai'tu'chen 深怀图谶
'shen'ji'gu'sui 深极骨髓
'shen'ji'mi'ye 慎机密也
'shen'jiao'ye 神教也
'shen'jiao'yi'yue 神教宜约
'shen'ju'xiong'yi 神居胸臆
'shen'li'geng'fan 神理更繁
'shen'li'gong'qi 神理共契
'shen'li'she'jiao 神理设教
'shen'li'wei'yong 神理为用
'shen'li'zhi'shu'ye 神理之数也
'shen'ming'shu'ji 神明枢机
'shen'qian'er'ge'qi 深浅而各奇
'shen'ren'shi 审人事
'shen'shang'dao'ju'yi'zhi'li 申商刀锯以制理
'shen'shi'yi'ye 审事宜也
'shen'si'di'er'shi'liu 神思第二十六
'shen'si'zhi'wei'ye 神思之谓也
'shen'xian'shu'bing 申宪述兵
'shen'ye 慎也
'shen'yi'jiu'qiu 申以九丘
'shen'yin'pu'ci 沈吟铺辞
'shen'yong'gui'hu'shen'de 审用贵乎慎德
'shen'yong'xiang'tong 神用象通
'shen'yu'rui'fang 甚于枘方
'shen'yu'shi'chuan 身与时舛
'shen'yu'wu'you 神与物游
'shen'zhi'fang'hun 神之方昏
'shen'zhi'lai'ge 神之来格
'shen'zhi'wai'shang 神志外伤
'shen'zhi'yong'ye 神之用也
'shen'zhu'fu'yi'ding'shi 申主父以鼎食
'sheng'bu'shi'xu 声不失序
'sheng'cai'mi'zhui 声采靡追
'sheng'chu'yu'ji 升储御极
'sheng'de'yan'mei 声得盐梅
'sheng'dong'jian'wai 声动简外
'sheng'fa'ze'wen'sheng'yi 声发则文生矣
'sheng'fei'xue'qi'zhe'ye 声非学器者也
'sheng'he'gong'shang 声合宫商
'sheng'hua'xing 声画形
'sheng'hua'zhao'jing 声画昭精
'sheng'jie'ai'ji 声节哀急
'sheng'jing'ri'ji 圣敬日跻
'sheng'lai'bei'ci 声来被辞
'sheng'li'he'yi'duan 生理合异端
'sheng'lv'di'san'shi'san 声律第三十三
'sheng'mao'ji'ji'qi'jiang'dong'yi 声貌岌岌其将动矣
'sheng'meng'wo'xin 声萌我心
'sheng'mo'suo'xi 圣谟所析
'sheng'mo'yi'wai 绳墨以外
'sheng'mo'zhuo'jue 圣谟卓绝
'sheng'qi'xiao'hu 声其销乎
'sheng'qian'jiu'miu 绳愆纠谬
'sheng'ren'suo'nan 圣人所难
'sheng'ren'suo'shen 圣人所慎
'sheng'ren'ze'zhi 圣人则之
'sheng'ren'zhi'miao'si'ye 圣人之妙思也
'sheng'ren'zhi'nan'jian'zai 圣人之难见哉
'sheng'ren'zhi'wen'zhang 圣人之文章
'sheng'si'yu'lai 声似竽籁
'sheng'wei'le'ti 声为乐体
'sheng'xian'bing'shi 圣贤并世
'sheng'xian'shu'ci 圣贤书辞
'sheng'xiang'qu'shan 盛相驱扇
'sheng'xiang'ye 圣相也
'sheng'xun'ye 圣训也
'sheng'xun'yi'guang 圣训宜广
'sheng'ye'you'ya 生也有涯
'sheng'yi'yong 声依永
'sheng'yin'wen'yi'ming'dao 圣因文以明道
'sheng'ying'ke'biao 声英克彪
'sheng'yu'hao'gui 生于好诡
'sheng'yu'san'dai 盛于三代
'sheng'yu'xin'fen 声与心纷
'sheng'zai'si'she 眚灾肆赦
'sheng'zhao'chu'nan 声昭楚南
'sheng'zhe'yi'xun'yue'jing 圣哲彝训曰经
'sheng'zhi'yi'ye 生之役也
'shi'bai'chi'zhi'chong 使百尺之冲
'shi'bi'qing'zhong 势必轻重
'shi'bi'shen'qiao 势必深峭
'shi'bi'sheng'ren 事必胜任
'shi'bi'yi'guang 事必宜广
'shi'bi'zhu'xia'zhi'zhi'gui 诗必柱下之旨归
'shi'bian'qian'shi 始变前式
'shi'bian'yi'li'wei'lun 适辨一理为论
'shi'biao'yi'pu'nian'jue 十表以谱年爵
'shi'bing'xi'yi 时并习易
'shi'bu'gu'li 事不孤立
'shi'bu'wen'zhi'diao'hu'zhi'ren'ye 是不闻执雕虎之人也
'shi'bu'yu'ma 视布于麻
'shi'bu'zi'fan 势不自反
'shi'can'bing'zha 实参兵诈
'shi'cen'zhi'shu'xi'hou 史岑之述熹后
'shi'cheng'wei'xi 始称为檄
'shi'chi'yu'xing 实侈于形
'shi'chu'ren'yu'mao'yu'dun 是楚人鬻矛誉楯
'shi'chuan'di'shi'liu 史传第十六
'shi'ci'chan'ren 诗刺谗人
'shi'ci'dao'sang 诗刺道丧
'shi'de'wei'yan 实得微言
'shi'dui'suo'xian 事对所先
'shi'dui'suo'yi'wei'nan'ye 事对所以为难也
'shi'dui'wei'nan 事对为难
'shi'dui'zhe 事对者
'shi'er'bu'wu 饰而不诬
'shi'fan'qu'song 师范屈宋
'shi'fan'song'ji 师范宋集
'shi'fan'yu'zhen 始范虞箴
'shi'fei'juan'shi 事非镌石
'shi'fen'suo'hao 适分所好
'shi'feng'qi'wei 事丰奇伟
'shi'feng'zhuang'cai 时逢壮采
'shi'guai'qi'ci 事乖其次
'shi'guai'xian'zhang 实乖宪章
'shi'guan'cai'yan 诗官采言
'shi'guang'sheng'mao 始广声貌
'shi'gui'cheng'bai 蓍龟成败
'shi'gui'shen'wu 蓍龟神物
'shi'hao'ci'zhi 时好辞制
'shi'he'er'yan'lian 事核而言练
'shi'he'li'ju 事核理举
'shi'heng'chen'mi 士衡沉密
'shi'heng'jin'zhong 士衡矜重
'shi'heng'zhi'shu'fang 士衡之疏放
'shi'heng'zi'an 士衡子安
'shi'hu'sheng 师乎圣
'shi'huan'er'wen'fan 事缓而文繁
'shi'huang'zhong'zhi'zheng'xiang'ye 失黄钟之正响也
'shi'hun'mi'ye 使昏迷也
'shi'huo'pian'lan 时或偏滥
'shi'ji'bao'zhuang 事讥鲍庄
'shi'ji'hu'zhong'gong 使疾呼中宫
'shi'ji'li'ai 事极理哀
'shi'ji'ping'di'zhi'ti 实继平帝之体
'shi'ji'ru'sheng 矢激如绳
'shi'ji'shan'er'zhu'tong 是即山而铸铜
'shi'ji'wu'ji 实继武绩
'shi'ji'xiao'hui 施及孝惠
'shi'ji'yu'shi 始及于士
'shi'ji'zai'zuo'can 是骥在左骖
'shi'ji'ze'qi'qi'yi'shu 事积则起讫易疏
'shi'jian'bian'zheng 事兼变正
'shi'jian'gao'shi 事兼诰誓
'shi'jian'wen'wu 事兼文武
'shi'jiao'jian'zong'yu'za'shu 尸佼兼总于杂术
'shi'jiao'wei'liao 尸佼尉缭
'shi'jin'er'yu'yuan 事近而喻远
'shi'jin'yi'ming 世近易明
'shi'jing'dian'zhi'tiao 实经典枝条
'shi'jing'er'bu'she 使敬而不慑
'shi'jing'ze'chun'qiu'ye 事经则春秋也
'shi'jing'ze'yu'chuan'zhu'can'ti 释经则与传注参体
'shi'jiu'zhen'yi 尸鸠贞一
'shi'ju'ren'cun 事举人存
'shi'ju'xian'liang 始举贤良
'shi'jun'yao'wang 事均夭枉
'shi'kua'er'you'jie 使夸而有节
'shi'kui'zhi'yi'zu 是夔之一足
'shi'lei'di'san'shi'ba 事类第三十八
'shi'lei'zhe 事类者
'shi'li'bo'yi 始立驳议
'shi'li'er'biao'yi 诗丽而表逸
'shi'li'er'han 世历二汉
'shi'li'ming'ye 事理明也
'shi'li'ru'mo 诗礼儒墨
'shi'li'si'bian 世历斯编
'shi'li'tai'shen 失理太甚
'shi'li'tiao'li 始立条例
'shi'li'yi'xuan'yan 是立义选言
'shi'li'yue'fu 始立乐府
'shi'liang'shi'zhi'zhi'bi 实良史之直笔
'shi'lie'si'shi 诗列四始
'shi'ling'fa'hao 施令发号
'shi'liu'bu'fan 势流不反
'shi'long'lang'lian 士龙朗练
'shi'long'si'lie 士龙思劣
'shi'lue'er'yi'wu 事略而意诬
'shi'lun'xu'zhu 史论序注
'shi'mai'yi'pian 时迈一篇
'shi'mei'er'zhi'yu'dao'bi 事美而制于刀笔
'shi'min'cong'ye 使民从也
'shi'ming'yi'zhang'yi 释名以章义
'shi'mo'juan'hua 石墨镌华
'shi'mo'xiang'cheng 始末相承
'shi'nv'za'zuo 士女杂坐
'shi'qi'ci'yi'jin'er'shi'you'yu 使其辞已尽而势有馀
'shi'qie'er'qing'ju 事切而情举
'shi'qun'yan'zhi'ao'qu 实群言之奥区
'shi'ren'bi'xing 诗人比兴
'shi'ren'fa'ru'xin 使刃发如新
'shi'ren'feng'ci 诗人讽刺
'shi'ren'ti'er 诗人提耳
'shi'ren'yu'shang 矢人欲伤
'shi'ruo'zhuan'huan 势若转圜
'shi'sa'wen'you 时洒文囿
'shi'sao'shi'hui 诗骚适会
'shi'shao'xia'zhi'zheng'qu'ye 实韶夏之郑曲也
'shi'shen'bai'gui 实深白圭
'shi'sheng'ju'zheng 诗声俱郑
'shi'sheng'ru'chong'feng'suo'ji 使声如冲风所击
'shi'sheng'shu'ji 是生黍稷
'shi'sheng'wen'zhi'yu'he 实圣文之羽翮
'shi'sheng'xuan'lun 始盛玄论
'shi'sheng'yue'ge 诗声曰歌
'shi'shi'shen'yu'zheng'shu 使事深于政术
'shi'shi'xu'ze 势实须泽
'shi'shi'yin'li 实始淫丽
'shi'shi'yun'dang 事实允当
'shi'shu'kuo'lue 识疏阔略
'shi'shu'suo'yin'zhe'ye 诗书所引者也
