'ai'shi'wan'yuan'zhi'gen 爱是万缘之根
'mao'xie'song'gong'shou 貌偕松共瘦
'mei'mu'cai'wu'ke'zeng 眉目才无可憎
'mei'nie'zhi'huo 媒孽之祸
'mei'yu'ci'zhong'dei'da'ji'qu 每于此中得大机趣
'mei'yue'qu'rong 媚悦取容
'meng'li'xuan'jin'pei'yu 梦里悬金佩玉
'meng'shou'yi'fu 猛兽易伏
'mi'de'yi'xie'xiao'xi 觅得一些消息
'mi'lu'xing'yi 麋鹿性逸
'mi'tian'de'zui'guo 弥天的罪过
'mi'wu'fei'liang'xin 迷悟非两心
'mi'ze'shen'qi'ju'bi 密则神气拘逼
'mi'ze'yue'jing'cheng'ku'hai 迷则乐境成苦海
'mian'qian'de'tian'di'yao'fang'de'kuan 面前的田地要放得宽
'mian'qian'kong'you'zhao'dan'zhi'jing 面前恐有照胆之镜
'mian'shang'sao'kai'shi'ceng'jia 面上扫开十层甲
'miao'tang'zhi'shi 庙堂之士
'mie'que'xin'yan'zhi'qing 灭却欣厌之情
'ming'bu'shang'cha 明不伤察
'ming'hong'ying'ming 明洪应明
'ming'li'yi'gan 名利饴甘
'ming'mei'cong'an'sheng'ye 明每从暗生也
'ming'ming'zhi'de 明明知得
'ming'wei'zhi'nian'zhong 名位之念重
'ming'ze'ren'qi'xie'er'zhi'zhi 明则人起携贰之志
'ming'zhong'you 明中有
'mo'cong'shi'lu'an'tou'zhu 莫从世路暗投珠
'mo'lu'bu'dai'huang 末路不怠荒
'mo'shao'ting'yi'zhao 莫少停一棹
'mo'shi'li'dang'ru'bai'lian'zhi'jin 磨石厉当如百炼之金
'mo'wei'huo'sheng'wu'ben 莫谓祸生无本
'mo'zhang'zhong'zai 魔障终在
'mu'chuang'shi'zhen'leng'jia'feng 木床石枕冷家风
'mu'fa'er'ji'sheng'yi'ku 木伐而寄生亦枯
'nai'he'zhe'zi'fei'chi'zai 奈何辄自废弛哉
'nai'shi'zao'hua'zhi'huan'jing 乃是造花之幻境
'nai'wu'ren'qu'e'qian'shan 乃吾人去恶迁善
'nai'xiang'tan'tu'shang'zi'she'yi'ke'kan 乃向坦途上自设一坷坎
'nan'ci'chu'hou'zhi'xiu 难辞处后之羞
'nan'gai'yi'shi'zhi'qian 难盖一事之愆
'nan'he'yi'nan'fen 难合亦难分
'nan'tao 难逃
'nan'tao'qing'ye'zhi'gui'bao 难逃清夜之鬼报
'nao'chang'neng'xue'dao 闹场能学道
'nei'bian'wan'ran'jian'wan'gu'sheng'xian'zhi'xin 内便宛然见万古圣贤之心
'neng'cha'neng'bu'cha'zhi'wei'ming 能察能不察之谓明
'neng'chong'ming'yi 能重名义
'neng'kong'jing'jie'zi'sheng'ming 能空境界自生明
'neng'qing'fu'gui 能轻富贵
'neng'sheng'neng'bu'sheng'zhi'wei'yong 能胜能不胜之谓勇
'neng'shou'qi'duan'lian'zhe 能受其煅炼者
'neng'xiu'chen'jing'wei'zhen'jing 能休尘境为真境
'neng'zhe'lao'er'fu'yuan 能者劳而俯怨
'neng'zhi'mo 能之末
'nian'ci'ling'ren'xin'hui 念此令人心灰
'nian'dao'ci 念到此
'nian'lv'zhi'cha'hao'mo 念虑只差毫末
'nian'nian'yao'cong'xu'chu'li'ji 念念要从虚处立基
'nian'qing'ming 念清明
'nian'tou'an'mei 念头暗昧
'nian'tou'chi'jin'shi 念头吃紧时
'nian'tou'dan'zhe'zi'dai'bao 念头淡者自待薄
'nian'tou'hun'san'chu 念头昏散处
'nian'tou'ji'ke'cun'de 念头忌克寸的
'nian'tou'kuan'hou'de 念头宽厚的
'nian'tou'nong'zhe'zi'dai'hou 念头浓者自待厚
'nian'tou'qi'chu 念头起处
'nian'tou'shao'yi 念头稍异
'niao'jing'xin'hua'jian'lei 鸟惊心花溅泪
'niao'qie'zhuan'ji'ju'hao'yin 鸟且啭几句好音
'niao'yu'chong'sheng 鸟语虫声
'ning'shou'hun'e'er'chu'cong'ming 宁守浑噩而黜聪明
'ning'shou'ren'zhi'qi 宁受人之欺
'ning'shou'yi'shi'zhi'ji'mo 宁受一时之寂寞
'ning'xie'fen'hua'er'gan'dan'bo 宁谢纷华而甘淡泊
'ning'you'qiu'quan'zhi'hui 宁有求全之毁
'ning'you'wu'wang'zhi'zai 宁有无妄之灾
'nong'bu'xin 浓不欣
'nong'yan'de'zi'wei'duan 浓艳的滋味短
'nuan'hou'geng'jue'han'wei 暖后更觉寒威
'nuan'ze'sheng 暖则生
'ou'fu'gong'yu 鸥凫共浴
'ou'mian'chun'feng'nuan'ri 鸥眠春风暖日
'pao'feng'peng'long 炮凤烹龙
'pen'chi'quan'shi'jian 盆池拳石间
'peng'lai'hai'yu 朋来海宇
'peng'mao'xia'song'shi'du'shu 蓬茅下诵诗读书
'pian'ku 偏枯
'pian'lai'pi'chu'mei'you'ren 偏来僻处媚幽人
'pian'yan'zhi'yu 片言只语
'pian'zhi'qi'neng'ji'yuan'rong 偏执岂能及圆融
'pin'de'zhe'shen'fu'er'xin'pin 贫得者身富而心贫
'pin'jia'jing'sao'di 贫家净扫地
'pin'jian'de'yi'shi'qing'ku 贫贱得一世清苦
'pin'jian'jiao'ren 贫贱骄人
'pin'jian'shi'nai'jiu'zhi'jiao 贫贱是耐久之交
'pin'jian'suo'nan 贫贱所难
'pin'nv'jing'shu'tou 贫女净梳头
'pin'shi'ken'ji'ren 贫士肯济人
'ping'min'ken'zhong'de'shi'hui 平民肯种德施惠
'ping'yi 评议
'po'xiang'yi'fei'zhen 破相亦非真
'qi'bian'wen 器便稳
'qi'bing'ru'he'bu'bai 其病如何不败
'qi'chi'peng'hu 栖迟蓬户
'qi'dao'zhi'zai'yi'ren'zi 其道只在一忍字
'qi'dao'zhi'zai'yi'shu'zi 其道只在一恕字
'qi'du'zi'shi'feng'ya 气度自是风雅
'qi'fu'shi'jiu 其福始久
'qi'fu'yi'hou 其福亦厚
'qi'gen'bu'zhi 其根不植
'qi'gu'qing'ru'qiu'shui 气骨清如秋水
'qi'hun'ran 气浑然
'qi'huo'yan'bu 其火焰不
'qi'ji'he'chang'yi'hao'ning'zhi 气机何尝一毫凝滞
'qi'liang'wan'gu 凄凉万古
'qi'ping'ze'wai'heng'bu'qin 气平则外横不侵
'qi'po 其魄
'qi'ren'hao'shang'yong'xia'shi'sun 乞人号上雍下食飧
'qi'ren'zhe 欺人者
'qi'shou'dao'de'zhe 栖守道德者
'qi'si'hui'sheng'zhi'lu'ye 起死回生之路也
'qi'si'tao'li'zhi'zhuo'zhuo'er'zheng'yan 岂似桃李之灼灼而争妍
'qi'tian'shou'yi'zhi'wei 栖恬守逸之味
'qi'wei'dong 气未动
'qi'wei'he'xu'ren'ye 其为何许人也
'qi'wei'ke'li'er'dai'yi 其萎可立而待矣
'qi'xi'di'you'yi 其洗涤犹易
'qi'xi'di'zui'nan 其洗涤最难
'qi'xiang'bu'kuan'ping 气象不宽平
'qi'xiang'yao'gao'kuang 气象要高旷
'qi'xin'yu'dan'bo'er'gan'ku'ju'wang 栖心于淡泊而甘苦俱忘
'qi'xing'ru'he'neng'xiang 其行如何能享
'qi'ze'yi'chang 其泽亦长
'qi'zhi'miao 齐之妙
'qi'zhi'shi'zhen 其知始真
'qi'zi'de'wei'geng'duo'ye 其自得为更多也
'qia'si'wei'sheng'yi'ri 恰似未生一日
'qian'kun'shui'shang'ping 乾坤水上萍
'qian'long'wu'shi'jiu'nian'er'yue'er'ri 乾隆五十九年二月二日
'qian'ren'yun 前人云
'qian'zai'qi'feng 千载奇逢
'qiang'ruo'an'zai 强弱安在
'qie'dong'zhan'zheng'zhi'xin 且动战争之心
'qie'li'zhe'ru'chong'ying'chong'ding'dao'ren 窃利者如虫营虫丁盗人
'qie'mo'dang'mian'cuo'guo 切莫当面错过
'qie'mo'shou'qu'xi'nong 切莫受渠戏弄
'qie'mo'shu'xin 且莫输心
'qie'yi'ji'si 窃以济私
'qie'yu'shi'shu'wu'guan'she'yu 且于是书无关涉语
'qin'niao'qi'qi 禽鸟戚戚
'qin'shu'shi'hua 琴书诗画
'qin'zhe'min'yu'de'yi 勤者敏于德义
'qing'ban'piao'zhi'su 倾半瓢之粟
'qing'biao'ao'gu 清标傲骨
'qing'dan'yi'fen'zi'you'chang'yi'fen 清淡一分自悠长一分
'qing'fa'zhe'wu'hong'gong 轻发者无宏功
'qing'kong'kan'niao'fei 晴空看鸟飞
'qing'kong'lang'yue 晴空朗月
'qing'neng'you'rong 清能有容
'qing'quan'lv'zhu 清泉绿竹
'qing'tian'bai'ri'de'jie'yi 青天白日的节义
'qing'wei'meng 情未萌
'qing'xi'ye 清戏也
'qing'yu'yi'shi 情欲意识
'qing'yu'yi'shi'wei'nei'zei 情欲意识为内贼
'qing'zhi'tong'chu'ji'wei'xing'she'qing'ze'xing'bu'ke'jian 情之同处即为性舍情则性不可见
'qiu'chong'chun'niao'gong'chang'tian'ji 秋虫春鸟共畅天机
'qu'bei'zhe'bu'ke'yu'tan'gao 趣卑者不可与谈高
'qu'liu'wu'yi 去留无意
'qu'liu'yi'wu'suo'xi 去留一无所系
'qu'lu'dou'sai'jin 去路都塞尽
'qu'po'ji'ban'chen'qing'shi'tai 觑破几般尘情世态
'qu'qiao'de'wo'yao'kan'de'po 躯壳的我要看得破
'qu'sha'ji'yi'wei'yuan'huo'zhi'fang 去杀机以为远祸之方
'qu'wei 趣味
'qu'wei'yao'chong'dan 趣味要冲淡
'qu'yan'fu'shi'zhi'huo 趋炎附势之祸
'qu'yan'sui'nuan 趋炎虽暖
'qu'yi'er'shi'ren'xi 曲意而使人喜
'quan'gui'long'xiang 权贵龙骧
'quan'hao'zi'gan'qi'gai 权豪自甘乞丐
'quan'mei'ban'dian'zhen'xin 全没半点真心
'quan'men'si'dou'bu'ke'zhu'jiao 权门私窦不可著脚
'que'you'cheng'qi'hou 雀又乘其后
'qun'xin'bu'yi'bi'yi'ci'ye 群信不以彼易此也
'ran'jie'wei'wu 染洁为污
'ran'jin'er'guan'yu'da'hai'zhi'peng 然进而观于大海之鹏
'ran'yu 然于
'ran'zhe 染者
'rang'ren'shi 让人嗜
'rang'suo'yi'jie'zheng 让所以戒争
'rang'yi'xing'ye 让懿行也
'ren'chang'zuo'shi'guan 人常作是观
'ren'cheng'xiang 人诚想
'ren'de'zhen 认得真
'ren'ding'sheng'tian 人定胜天
'ren'e'ying'er'ji'zou 人恶影而疾走
'ren'ge'fa'shen'bu'zhen'er 认个法身不真耳
'ren'hu 人胡
'ren'jie'du'you'zi'shu 人解读有字书
'ren'lun'zhong'wan'qing 人伦中万情
'ren'neng'cheng'xin'he'qi'yu'se'wan'yan 人能诚心和气愉色婉言
'ren'neng'kan'de'po 人能看得破
'ren'neng'shan'duan 仁能善断
'ren'neng'yi'ci'xiong'jin'yan'jie 人能以此胸襟眼界
'ren'pin'qie'pan'xing'yuan'yi 人品且判星渊矣
'ren'pin'xing'yuan'ye 人品星渊也
'ren'pin'zuo'dao'ji'chu 人品做到极处
'ren'qing 人情
'ren'qing'fan'fu 人情反覆
'ren'qing'shi'tai 人情世态
'ren'ren'dao'hao 人人道好
'ren'ren'xin'di'kuan'shu 仁人心地宽舒
'ren'ren'you'ge'da'ci'bei 人人有个大慈悲
'ren'sheng'huo'qu'fu'jing 人生祸区福境
'ren'sheng'qie'zi'shu'mei 人生且自舒眉
'ren'sheng'ruo'wu'ci'nian'tou 人生若无此念头
'ren'sheng'si'wa'pen 人生似瓦盆
'ren'sheng'yuan'shi'kui'lei 人生原是傀儡
'ren'sheng'zhi'bai'nian 人生只百年
'ren'sheng'zhi'wei'yu'zi'suo'lei 人生只为欲字所累
'ren'si'er'chong'ying'chong'ding'yi'mie 人死而虫营虫丁亦灭
'ren'wu'bian'chi 任物鞭笞
'ren'wu'de'gen'zong 人物的根宗
'ren'xin'bu'ke'yi'ri'wu'xi'shen 人心不可一日无喜神
'ren'xin'nan'jiang 人心难降
'ren'xin'nan'man 人心难满
'ren'xin'yi'pian 人心一偏
'ren'xin'yi'zhen 人心一真
'ren'xin'you'bu'zhen'wen'zhang 人心有部真文章
'ren'xin'you'zhen'jing 人心有真境
'ren'xin'zhi 人心之
'ren'xin'zhi'sheng'si'yi'yu'ci'pan'ye 人心之生死亦於此判也
'ren'you'en'yu'wo'bu'ke'wang 人有恩于我不可忘
'ren'you'qie'zhi'bu'cong'zhe 人有切之不从者
'ren'you'wan'de 人有顽的
'ren'yu'lu'shang'shen'zhai 人欲路上甚窄
'ren'zhi'duan'chu 人之短处
'ren'zhi'guo'wu'yi'shu 人之过误宜恕
'ren'zhi'ji'han'wei'you 人知饥寒为忧
'ren'zhi'ming'wei'wei'le 人知名位为乐
'ren'zhi'qing'yu'bu'ke'fu 人之情欲不可拂
'ren'zhi'xin'ti'yi'dang'ru'shi 人之心体亦当如是
'ren'zhi'yi'nian'tan'si 人只一念贪私
'ren'zhi'you'sheng'ye 人之有生也
'ren'zhi'zhi'qiao'he'yi 人之智巧何益
'ri'dan'er'sheng 日啖二升
'ri'ri'yu'sheng'xian'wu'yu 日日与圣贤晤语
'ri'yong'you'zhong'zhen'dao 日用有种真道
'ri'yue'long'zhong'niao 日月笼中鸟
'ri'yue'qie'you'ying'kui 日月且有盈亏
'rong'chong'pang'bian'ru'deng'dai 荣宠旁边辱等待
'rong'de'xing'qing'shang'pian'si 容得性情上偏私
'rong'ru'de'shi 荣辱得失
'rong'yu'ru'gong'di 荣与辱共蒂
'ru'bao'er'yang'zhi 如暴而扬之
'ru'chen'li'zhen'yi'ni'zhong'zhuo'zu 如尘里振衣泥中濯足
'ru'chun'feng'xu'yu 如春风煦育
'ru'chun'feng'zhi'gu'chang'shu'lei 如春风之鼓畅庶类
'ru'chun'feng'zhi'jie'dong'he'qi'zhi'xiao'bing 如春风之解冻和气之消冰
'ru'ci 如此
'ru'fei'er'e'tou'zhu'di'yang'chu'fan 如飞而蛾投烛羝羊触藩
'ru'fen'er'ji'zhi 如忿而嫉之
'ru'fu'zhong'dan 如负重担
'ru'han'xin'yi'yong'bei'zhen'zhu'bei'qin 如韩信以勇备震主被擒
'ru'he'an'le 如何安乐
'ru'he'bu'le 如何不乐
'ru'he'chao'da 如何超达
'ru'he'dao'de'ren'wo'yi'kong'dong'jing'liang'wang'de'jing'jie 如何到得人我一空动静两忘的境界
'ru'he'kan'ta'bu'po'er'huai'tan'sheng'zhi'lv 如何看他不破而怀贪生之虑
'ru'he'kan'ta'bu'zhong'er'yi 如何看他不重而贻
'ru'he'ling'qu'de'leng'feng'yue 如何领取得冷风月
'ru'kou 如口
'ru'pen'kan'zhong 如盆槛中
'ru'qian'qian'yong 如铅椠佣
'ru'qing'xian'zhi'ren'qing'kan 如倾险之人情坎
'ru'shan'gui 如山鬼
'ru'shan'jian'zhi'kong'cui 如山间之空翠
'ru'shan'lin'zhong'hua 如山林中花
'ru'sheng'shi'zhi'wei'shi 如省事之为适
'ru'shi'fu 如是夫
'ru'shi'hai'zhi'yi'bo 如逝海之一波
'ru'shi'zhe'ren'de 如施者任德
'ru'shi'zhong'jia 如释重枷
'ru'shui'ning'wei'bing 如水凝为冰
'ru'shuo'xue'yin'ning 如朔雪阴凝
'ru'tai'cang'zhi'li'mi 如太仓之粒米
'ru'tang'xiao'xue 如汤消雪
'ru'wan'shang'tan'zhi'zhou 如挽上滩之舟
'ru'xing'wu'ming 辱行污名
'ru'xiu'de'er'liu'yi'yu'shi'gong'ming'yu 如修德而留意于事功名誉
'ru'xuan'ya'zhi'xiu'mu 如悬崖之朽木
'ru'yan'qian'hua 如眼前花
'ru'ye'hua'jin 如冶化金
'ru'yi'guan'dao 如衣冠盗
'ru'ying'ju'shan'ru'yi'jing'xue 如蝇聚膻如蚁兢血
'ru'yu'lin'ya'zhi'ma 如驭临崖之马
'ru'zhuo'mu'zhi'dian'guang 如灼目之电光
'ruo'bi'zhao'zhi'tu'qing'lian 若碧沼之吐青莲
'ruo'bu'dai'xie'qing'leng'qi'wei 若不带些清冷气味
'ruo'bu'de'yi'nai'zi'cheng'chi'guo'qu 若不得一耐字撑持过去
'ruo'bu'yi'de'xing'tao'jin'rong'zhi 若不以德性陶钅容之
'ruo'guo'yi 若果一
'ruo'he'feng'zhi'xiao'ku'shu 若和风之消酷暑
'ruo'man'yue 若满月
'ruo'shao'ji'gong'xiao 若稍计功效
'ruo'shao'mu'sheng'wen 若少慕声闻
'ruo'shi'zhi'yi'wu'suo'rong 若使之一无所容
'ruo'wei'wang'zhi'ren 若伪妄之人
'ruo'yan'yan'yue'er 若言言悦耳
'ruo'ye'bi'qiu'man 若业必求满
'ruo'yi'jie'jin'fei'ren 若一接近匪人
'ruo'yi'quan'li'de'zhe 若以权力得者
'ruo'yi'wei'lian'shu'qing'ku 若一味敛束清苦
'ruo'yi'you'tan'zhu'bian'duo'wei'ji 若一有贪著便堕危机
'ruo'yi'you'xin'xian'bian'qu'yu'jing 若一有欣羡便趋欲境
'ruo'you'ruo'wu 若有若无
'sai'de'wu'yu'zhi'lu 塞得物欲之路
'sai'zhi'wei'hun 塞智为昏
'san'zhe'ke'yi'wei'tian'di'li'xin 三者可以为天地立心
'san'zhe'ke'yi'yang'de 三者可以养德
'sao'di'bai'yun'lai 扫地白云来
'se'hou'si'yin 色后思淫
'se'sui'yan'li 色虽艳丽
'se'yu'huo'chi 色欲火炽
'shan'chu'ji'shi'e'gen 善处即是恶根
'shan'chuan'yun'wu 山川云物
'shan'ge'duan 山隔断
'shan'he'da'di'yi'shu'wei'chen 山河大地已属微尘
'shan'hui'ze'ying'rui'cong'zuo 膻秽则蝇蚋丛嘬
'shan'ji'yang 善忌阳
'shan'lin'shi'sheng'di 山林是胜地
'shan'qi'di'ren'xin'zhe 善启迪人心者
'shan'ren'wei'neng'ji'qin 善人未能急亲
'shan'xie'cheng'zhi 缮写成帙
'shan'xie'zhao'shui 山写照水
'shan'yi'feng'hua'zhe 善移风化者
'shan'yong'zhe'sheng'ji 善用者生机
'shan'zhi'xian'zhe'gong'xiao 善之显者功小
'shang'chi'sheng'sha'zhi'bing 尚持生杀之柄
'shang'jue'peng'cheng'zhi'zhai'xiao 尚觉鹏程之窄小
'shang'qi'jie'bu'ru'jin 尚奇节不如谨
'shang'shang'zhi 上上智
'shang'xi'huang'jin 尚惜黄金
'shang'xia'qian'gu 上下千古
'shang'zai'li'ri 赏在丽日
'shao'bian'qi'cao'lv 少变其操履
'shao'nian'de'ren 少年的人
'shao'qian'jiu'ze'shi'cong 少迁就则失从
'shao'you'xin'xiong'zhong 稍游心胸中
'shao'zhuang'zhe 少壮者
'she'cun'chang'jian'chi'wang 舌存常见齿亡
'she'shi'wu'yi'duan'yuan'huo'de'ji'qu 涉世无一段圆活的机趣
'she'shi'zhe 涉世者
'she'sui'zhu'er'tan'fei'qin'ye 舍隋珠而弹飞禽也
'she'yu'ze'li'bu'ke'ming 舍欲则理不可明
'she'zhe'fu'er'bu'zu 奢者富而不足
'shen'bu'yi'mang 身不宜忙
'shen'can'yi'shen'su 甚惨亦甚速
'shen'chou'chang'zi'ai'zhong'lai 深仇常自爱中来
'shen'hou'de'hui'ze'yao'liu'de'chang 身后的惠泽要流得长
'shen'qi'zhuo'yi'fei'zhi'ren 神奇卓异非至人
'shen'shou'bing'ze'er'bu'neng'ting 肾受病则耳不能听
'shen'shu'bei'mang'zhi'hu'tu 身属北邙之狐兔
'shen'wu'tan'huang'que'er'zhui'shen'jing 慎毋贪黄雀而坠深井
'shen'xin'xing'ming'zhi'xue 身心性命之学
'shen'yi 神逸
'sheng'hua'zhi'xi'sheng 声华之习胜
'sheng'ji'wan'jing'cong'liang 声妓晚景从良
'sheng'shuai'he'chang 盛衰何常
'sheng'si'zhi'yu'zhi'gong 胜私制欲之功
'sheng'xiang'bu'duan'shu'jiao'hua 生香不断树交花
'sheng'yu'si'tong'gen 生与死同根
'sheng'zhang'fu'gui'cong'zhong'de 生长富贵丛中的
'shi'cai'de'yi'you'yan'qi'zhong 释才得以游衍其中
'shi'cheng'tian'cheng'di'zhi'zhu'shi 是撑天撑地之柱石
'shi'chong'si'yu'cai'fu'di'guo 石崇死于财赋敌国
'shi'ci'xin'bu'jian'ke'yu'er'bu'luan 使此心不见可欲而不乱
'shi'ci'xin'jian'ke'yu'er'yi'bu'luan 使此心见可欲而亦不乱
'shi'cong'ming'er'yu'meng 是聪明而愚懵
'shi'da'fu'you'guo'wei'min 士大夫忧国为民
'shi'dang'nian'qi'ji'lei'zhi'nan 是当念其积累之难
'shi'dang'xuan'za 时当喧杂
'shi'duan'lian'hao'jie'de'yi'fu'lu'chui 是煅炼豪杰的一副炉锤
'shi'en'bu'ru'bao'de'zhi'wei'hou 市恩不如报德之为厚
'shi'en'er'yu'yao'ming'jie'hao 施恩而欲要名结好
'shi'en'wu 施恩务
'shi'fei'feng'qi 是非蜂起
'shi'fei'li'hai 是非利害
'shi'fu'gui'er'pin'jian 是富贵而贫贱
'shi'fu'mu'xiong'di'jian'xing 使父母兄弟间形
'shi'fu'tu'tan'quan'shi'chong 仕夫徒贪权市宠
'shi'guang'tu'fang'shou 时光图放手
'shi'hao'chou'liang'dei'qi'ping 使好丑两得其平
'shi'hao'sui'qing 嗜好虽清
'shi'hou'mao'yi'qi'ren 饰厚貌以欺人
'shi'huo'guang'zhong 石火光中
'shi'jie'zhong'wan'shi 世界中万事
'shi'jue'guang'da'hong'lang 使觉广大宏朗
'shi'jun'zi'bu'neng'ji'wu'zhe 士君子不能济物者
'shi'jun'zi'chu'quan'men'yao'lu 士君子处权门要路
'shi'jun'zi'dang'qiong'chou'liao'luo 士君子当穷愁寥落
'shi'jun'zi'ji'ren'li'wu 士君子济人利物
'shi'jun'zi'xing'lie'tou'jiao 士君子幸列头角
'shi'jun'zi'xu'shi'nei'jing'ming'er'wai'hun'hou 士君子须是内精明而外浑厚
'shi'jun'zi'zhi'she'shi 士君子之涉世
'shi'lai'ru'ou'sheng'da'hai 事来如沤生大海
'shi'li'yin'ren'yan'er'wu'zhe 事理因人言而悟者
'shi'li'zhi'wei 势利之为
'shi'lu'qi'qu 世路崎岖
'shi'mo'da'yu'yi 事莫大于揖
'shi'mou'jiu'cheng'wei'bi'gui'gong 十谋九成未必归功
'shi'qing'jing'tian'zhong'xia'yi'bu 是清净田中下一不
'shi'qiong'shi'cu'zhi'ren 事穷势蹙之人
'shi'qu'er'xin'sui'kong 事去而心随空
'shi'qu'ru'ying'mie'chang'kong 事去如影灭长空
'shi'ren'er'bu'hao'ming 使人而不好名
'shi'ren'mi'zhen'zhu'wang 世人迷真逐妄
'shi'ren'wu'bu'ping'zhi'tan 使人无不平之叹
'shi'ren'you'bai'zhe'bu'hui'zhi'zhen'xin 士人有百折不回之真心
'shi'ren'you'bu'kui 使人有不匮
'shi'ren'you'mian'qian'zhi'yu 使人有面前之誉
'shi'ren'you'zha'jiao'zhi'huan 使人有乍交之欢
'shi'shang'zhi'yuan'ren'de'wo'zi'tai'zhen 世上只缘认得我字太真
'shi'shao'fu'ni 事稍拂逆
'shi'sheng'min'sheng'wu'zhi'gen'ya 是生民生物之根芽
'shi'shi 事事
'shi'shi'bi'zhen 事事逼真
'shi'shi'cheng'ge'kuan'shu'qi'xiang 事事成个宽舒气象
'shi'shi'cheng'ge'po'cu'gui'mo 事事成个迫促规模
'shi'shi'dang'yong'yi'er'yi'fan'qing 事事当用意而意反轻
'shi'shi'gong 时时共
'shi'shi'he'xu'e'wan 世事何须扼腕
'shi'shi'jian'dian 时时检点
'shi'shi'jie'xu 事事皆虚
'shi'shi'jing 是事境
'shi'shi'kuai'xin 事事快心
'shi'shi'ru'qi'ju 世事如棋局
'shi'shi'shu'kuang'zhi'zu'gui 始识疏狂之足贵
'shi'shi'yao'cong'shi'di'zhe'jiao 事事要从实地着脚
'shi'shi'yao'liu'ge'you'yu'bu'jin'de'yi'si 事事要留个有余不尽的意思
'shi'shi'yi'wang'qing'er'qing'fan'zhong 事事宜忘情而情反重
'shi'shi'you'gong 事事有功
'shi'shi'zhong'yu'zhi'ben 识是众欲之本
'shi'si'en'bu'ru'fu'gong'yi 市私恩不如扶公议
'shi'si'wei'sheng'zhi'qian'you'he'xiang'mao 试思未生之前有何象貌
'shi'tai'you'yan'liang 世态有炎凉
'shi'tu'sui'fen'hua 世途虽纷华
'shi'tu'sui'he'yi 仕途虽赫奕
'shi'wei'mi'jian'bu'tian'hai'wei'bu'xian 是谓蜜饯不甜海味不咸
'shi'wei'sui'gong'yi'si 事为虽公亦私
'shi'wei'you'nong'dan 世味有浓淡
'shi'wo'ji'xin'dun'xi 使我机心顿息
'shi'wu'yi'dian'sheng'sheng'zhi'ji 是吾一点生生之机
'shi'wu'zhen'mian'mu 识吾真面目
'shi'xian 始现
'shi'xue'yu'bei'zhong 失血于杯中
'shi'yao'si'qi'qing'fu'zhi'yi 是要思其倾覆之易
'shi'ye'wen'zhang'sui'shen'xiao'hui 事业文章随身销毁
'shi'yi'bian'si'you'yuan'wang'qing'huai'fou 失意便思有怨望情怀否
'shi'yi'duan'gong'duan 是以短攻短
'shi'yi'jun'zi'ning'yi'gang'fang'jian'dan 是以君子宁以刚方见惮
'shi'yi'shi'li'hai'ren 始以势利害人
'shi'yi'wan'ji'wan 是以顽济顽
'shi'yi'zhi'bei 失意之悲
'shi'you'ji'kou'bing'er'ji'dao'liang'yi 是又藉寇兵而赍盗粮矣
'shi'you'ji'zhi'bu'bai'zhe 事有急之不白者
'shi'you'qiu'sha'wu 是有秋杀无
'shi'you'yin'yin'xiang'fa'ming'zhe 实有隐隐相发明者
'shi'yu'bu'bao'zhi'ren 施于不报之人
'shi'yu'jiu'zhong'wei'bi'cheng'qi 十语九中未必称奇
'shi'yu'ru'meng'huo'quan'shi'si'lie'yan 嗜欲如猛火权势似烈焰
'shi'yu'zhou'huo'po'zhi'ji 识宇宙活泼之机
'shi'ze'wu'yu'bu'ru 实则物欲不入
'shi'zhe'neng'gan 食蔗能甘
'shi'zhi'wang'qiong'er'zhen'du'lu 始知妄穷而真独露
'shi'zui'li'zhi'feng'liu 士醉里之风流
'shou'shi'lai'wu'fei'shi'liao 收拾来无非诗料
'shou'xiang'wu'yu'fen'wai 受享毋逾分外
'shou'xiang'yi'liang'bao 受享亦凉薄
'shou'yong 受用
'shou'zhe'huai'en 受者怀恩
'shou'zhong'wu'sheng'sha'zhi'ji 手中悟生杀之机
'shu'bian'wei'xun'lei'zhen'dian 倏变为迅雷震电
'shu'de'shu'shi 孰得孰失
'shu'du'wu'che 书读五车
'shu'hu'wan'duan 倏忽万端
'shu'hua'shi'ya'shi 书画是雅事
'shu'huan'shu'zhen 孰幻孰真
'shu'kuang'zhi'shi'du'ren'xing'zhen 疏狂之士独任性真
'shu'mian'chu'fan'zhi'huo 庶免触藩之祸
'shu'ruo 孰若
'shu'ruo'qi'shu'chuan'zhi'mao 孰若葺数椽之茅
'shu'wei'fei'chan 孰谓非禅
'shu'ze'tian'zhen'lan'man 疏则天真烂漫
'shu'zhuan'wei'lang'yue'qing'kong 倏转为朗月晴空
'shuai'lao'zhe 衰老者
'shuai'shi'zui'nie'dou'shi'sheng'shi'zuo'de 衰时罪孽都是盛时作得
'shuang'kou'zhi'wei 爽口之味
'shuang'tian'wen'he'li 霜天闻鹤唳
'shui'dao'qu'cheng 水到渠成
'shui'di'shi'chuan 水滴石穿
'shui'neng'chai'qian'wo 谁能差遣我
'shui'neng'man'mei'wo 谁能瞒昧我
'shui'nuan'shui'han'yu'zi'zhi 水暖水寒鱼自知
'shui'qu'sui'zhen'jue'hou'jia 睡去虽真觉后假
'shui'ren'neng'jie'long'zhong'lun'guo'hua 谁人能解笼中囵囗化
'shui'shang'zhi'lian'yi 水上之涟漪
'shui'yun'pin'shi'bing 谁云贫是病
