'ai'zhi'si'zhi 爱之思之
'wei'shen'me'yue'liang'pian'xuan'fen'bie'de'shi'hou'yuan'da'jiao'jie'ne'ren'sheng'you'hen'duo'bei'huan'li'he'de'gu'shi 为甚么月亮偏选分别的时候圆大皎洁呢人生有很多悲欢离合的故事
'wei'shui'an 为谁安
'wei'tang'song'ba'da'jia'zhi'yi 为唐宋八大家之一
'wei'wen'dong'feng'yu'ru'xu'chun'zong'zai 为问东风余如许春纵在
'wei'wo'zhan'yi 为我沾衣
'wei'wu'yan'tiao 为五言调
'wei'xiao 微笑
'wei'xin'you'yu'er'li'bu'dai'de'shi'qing'zi'ze'ne 为心有余而力不逮的事情自责呢
'wei'yin'ba 微吟罢
'wei'you'lei'qian'hang 惟有泪千行
'wei'you'yi'jiang'ming'yue'bi'liu'li 惟有一江明月碧琉璃
'wei'yu'guo 微雨过
'wei'yu'hao'tan 为余浩叹
'wei'zhi'bu'jin 味之不尽
'wen'gong'shi'hua 温公诗话
'wen'jie'du'bu'yi'shi 文皆独步一时
'wen'qian'tang'jiang'shang 问钱塘江上
'wen'yan'dou'ye'ji'shi'huang 问言豆叶几时黄
'wo'bu'ying'gai'zai'you'fan'nao'le 我不应该再有烦恼了
'wo'wei'jian'wai'si'gui'ke 我为剑外思归客
'wo'xiang'jia'zhe'feng'hui'dao'tian'shang'qu'yi'zhe'xian'ren'zi'ju 我想驾着风回到天上去以谪仙人自居
'wo'ye'jiu'huo'de'an'wei'le 我也就获得安慰了
'wo'yu'cheng'feng'gui'qu 我欲乘风归去
'wo'yu'zui'mian'fang'cao 我欲醉眠芳草
'wu'chu'hua'qi'liang 无处话凄凉
'wu'chu'wen 无处问
'wu'chuan'lu 吴船录
'wu'meng'chuang'ming'yue'jiang'nan'hao 吴梦窗名曰江南好
'wu'qian 吴潜
'wu'qing'song'chao'gui 无情送潮归
'wu'qing'you'si 无情有思
'wu'shi'bu'ke'yan 无事不可言
'wu'shou 五首
'wu'xian'shi 无限事
'wu'xu'shang'gan 无须伤感
'wu'xu'zai'wei'jie'shuo 无须再为解说
'wu'yi'bu'ke'ru 无意不可入
'wu'yuan'xiang'wu'sai'shen'cun 乌鸢翔舞赛神村
'xi 析
'xi'bei'wang 西北望
'xi'jiang'yue 西江月
'xi'kan'lai 细看来
'xi'ning'san'nian 熙宁三年
'xi'shui'xi'liu 溪水西流
'xi'xia'da'ju'jin'gong'huan 西夏大举进攻环
'xi'xing'pu'kou 西兴浦口
'xi'zhou'lu 西州路
'xia'jing 夏景
'xia'ju'dui'tian'you'qi'yi'wen 下句对天又起疑问
'xia'pian'huai'ren 下片怀人
'xia'pian'huai'zhou'yu 下片怀周瑜
'xia'pian'qing'zhan 下片请战
'xia'pian'shan'chu'ren'sheng 下片善处人生
'xia'pian'shi'zai'ru'ci'ming'li'de'huan'jing'zhong'yi'ge'duo'qing'que'bei'wu'qing'nao'de'xiao'xiao'cha'qu 下片是在如此明丽的环境中一个多情却被无情恼的小小插曲
'xia'pian'yong'yue'se 下片咏月色
'xia'ri'xun'wei 暇日寻味
'xian'fu'ning'zhu'cheng 陷抚宁诸城
'xian'wu'yi'ye'bai'tou'weng 掀舞一叶白头翁
'xian'yu'xiang'yuan'ru'ci 贤愚相远如此
'xiang'ai'ta'po'qian'luo'qun 相挨踏破茜罗裙
'xiang'bi'zhi'xia 相比之下
'xiang'chuan'feng'jing'tu'han'hua 湘川风静吐寒花
'xiang'chuan'yue'liang'shang'you'zhe'yang'mei'li'jian'zhu 相传月亮上有这样美丽建筑
'xiang'gu'wu'yan 相顾无言
'xiang'kan'huang'ru'zuo 相看恍如昨
'xiang'wang'hu'lou 向望湖楼
'xiao'chi'tu'shan'ye 小赤土山也
'xiao'he'fan 小荷翻
'xiao'jian'bu'wen'sheng'jian'qiao 笑渐不闻声渐悄
'xiao'lai'yu'guo 晓来雨过
'xiao'qiao'chu'jia'kan'si'xian'bi 小乔初嫁看似闲笔
'xiao'qiao'chu'jia'le 小乔初嫁了
'xiao'qiao'wei'qiao'xuan'ci'nv 小乔为乔玄次女
'xiao'shan'qing 晓山青
'xiao'shi'you'dai'ling'mei'xiang 笑时犹带岭梅香
'xiao'xiao'mu'yu'zi'gui'ti 萧萧暮雨子规啼
'xiao'xiao'wan'yu'tuo'wu'qiu 萧萧晚雨脱梧楸
'xiao'xuan'chuang 小轩窗
'xiao'ying'wo'duo'qing'zao'sheng'hua'fa'de'dao'zhuang 笑应我多情早生华发的倒装
'xiao'zheng'xiang'yun'lv 笑整香云缕
'xiao'zhou'cong'ci'shi 小舟从此逝
'xie'shou'jia'ren 携手佳人
'xie'shou'jiang'cun 携手江村
'xie'zhan'zheng'yi'dian'bu'xuan'ran'shi'ma'jin'gu'de'zhan'zheng'qi'fen 写战争一点不渲染士马金鼓的战争气氛
'xin'qing'shi'fen'cang'lao 心情十分苍老
'xin'yue'yu'chou'yan 新月与愁烟
'xin'zuo'chuang'hu'shi'qing'hong 新作窗户湿青红
'xing'cang'zai'wo 行藏在我
'xing'ren'yu'jia'ren'de'zao'yu'gu'shu'ou'ran 行人与佳人的遭遇固属偶然
'xing'xiang'hen'mei 形象很美
'xing'xiang'zi 行香子
'xing'zhu 姓朱
'xiong'zhong'wan'juan 胸中万卷
'xiong'zi'ying'fa 雄姿英发
'xiu'hu 绣户
'xiu'jiang'bai'fa'chang'huang'ji 休将白发唱黄鸡
'xiu'lian'kai 绣帘开
'xiu'luo'shan 绣罗衫
'xiu'shou'he'fang'xian'chu'kan 袖手何妨闲处看
'xiu'xiu 休休
'xu'duo'fan'nao'you'shi'er'qi 许多烦恼由是而起
'xu'duo'nian'yue 许多年月
'xu'hao 徐浩
'xu'lao'yan'ling 虚老严陵
'xu'men'shi'tan'xie'yu'dao'shang'zuo 徐门石潭谢雨道上作
'xu'xu 徐徐
'xu'yao'tong'pi'pa 需要铜琵琶
'xu'zhou 徐州
'xuan 选
'xuan'mo'hong'zhuang'kan'shi'jun 旋抹红妆看使君
'xuan'ran'chu'gu'zhan'chang'de'qi'fen'he'sheng'shi 渲染出古战场的气氛和声势
'xue'fei'yan'hai'bian'qing'liang 雪飞炎海变清凉
'xue'wen 学问
'xue'wen'tong 学文同
'xun'chang'xing'chu 寻常行处
'xun'feng'chu'ru'xian 熏风初入弦
'xun'lang'qu'chu 寻郎去处
'ya'zhi'mo'xiang'wei 雅志莫相违
'yan 焉
'yan'lian'yun'shou 烟敛云收
'yan'shuang'wan 掩霜纨
'yan'zhen'qing 颜真卿
'yan'zi'fei'shi 燕子飞时
'yan'zi'lou'kong 燕子楼空
'yan'zi'shuang'fei'lai'you'qu 燕子双飞来又去
'yang'hua'si'xue 杨花似雪
'yang'ning'shi 杨凝式
'yao'dang'xiang'lao'guang'yu'wu 摇荡香醪光欲舞
'yao'xiang'gong'jin'dang'nian 遥想公谨当年
'yao'xiang'gong'jin'dang'nian 遥想公瑾当年
'ye'cuan'mei'qian'du'liu'yong'de'ai'qing'nong'lie'de'ci'ju 也攒眉千度柳永的爱情浓烈的词句
'ye'dian'ji'hao 野店鸡号
'ye'gui'lin'gao 夜归临皋
'ye'hen'te'bie 也很特别
'ye'jia'shen'le'ta'de'nei'xin'ku'men'he'si'xiang'mao'dun 也加深了他的内心苦闷和思想矛盾
'ye'ke'yi'yi'qi'xin'shang'zhe'ge'mei'li'de'yue'liang 也可以一起欣赏这个美丽的月亮
'ye'lai'you'meng'hu'huan'xiang 夜来幽梦忽还乡
'ye'lan'feng'jing'gu'wen'ping 夜阑风静谷纹平
'ye'lan'feng'jing'yu'gui'shi 夜阑风静欲归时
'ye'mang'mang 夜茫茫
'ye'shi'xiang'gu'wu'yan 也是相顾无言
'ye'wu'feng'yu'ye'wu'qing 也无风雨也无晴
'ye'wu'ren'xi'cong'jiao'zhui 也无人惜从教坠
'ye'xi'zuo'ku'mu'guai'shi 也喜作枯木怪石
'ye'xu 也许
'ye'yin'dong'po'xing'fu'zui 夜饮东坡醒复醉
'yi'bai'zi 一百字
'yi'bo'san'zhe'zhi'bi 一波三折之笔
'yi'chi'ping'sui 一池萍碎
'yi'chu 一出
'yi'ci'shi'su'shi'zai'mi'zhou'ren'zhi'shi'suo'xie'de 一词是苏轼在密州任职时所写的
'yi'cong'shang'jue'wu 亦从上觉悟
'yi'dian'hao'ran'qi 一点浩然气
'yi'dian'ming'yue'kui'ren'ren'wei'qin 一点明月窥人人未寝
'yi'duo'fu'rong 一朵芙蓉
'yi'er'sui'qing 已而遂晴
'yi'fang'duo'qing 一方多情
'yi'fei'ren'shi'ye 疑非人世也
'yi'fen'liu'shui 一分流水
'yi'ju'zhong 一句中
'yi'li'sha'bai'zhong'xue 伊利沙白中学
'yi'mao'xi'ning'ba'nian 乙卯熙宁八年
'yi'mao'zheng'yue'er'shi'ri'ye'ji'meng 乙卯正月二十日夜记梦
'yi'ming'chi'bi'ji 一名赤鼻矶
'yi'pian'guang'ming 一片光明
'yi'pian'shen'xing 一片神行
'yi'qian'qing 一千顷
'yi'qu'yang'guan'qing'ji'xu 一曲阳关情几许
'yi'ri 一日
'yi'shang'jiu'hen'yu'ku'lei 衣上旧痕余苦泪
'yi'shang'zhu'shi'fan'yi'jie'xuan'zi'zhou'yi'jin'tang'shi'song'ci'xin'shang 以上注释翻译节选自周益津唐诗宋词欣赏
'yi'sheng'li'jin'shi'tu'kan'ke'shen'zong'nian'jian 一生历尽仕途坎坷神宗年间
'yi'shi'dui 异时对
'yi'shi'duo'shao'hao'jie 一时多少豪杰
'yi'shi'qi'bi 已是奇笔
'yi'shi'yi'shou'zai'wen'xue'shi'shang'po'fu'sheng'ming'de'zhong'qiu'ci 亦是一首在文学史上颇负盛名的中秋词
'yi'si'qu'yuan 一似屈原
'yi'wan'gu'xin'xiong'yin'chu'huai'gu'si'xu 以万古心胸引出怀古思绪
'yi'wang'mi'qian'li 一望弥千里
'yi'ye'zhou'qing 一叶舟轻
'yi'yue'shi'xiang'ling 依约是湘灵
'yi'yun'chi'bi 亦云赤壁
'yi'zhang'ting'jiang'sheng 倚杖听江声
'yi'zhen'chai'heng'bin'luan 倚枕钗横鬓乱
'yi'zhen'chu'han'meng'bu'cheng 一枕初寒梦不成
'yi'zhen'qing'feng'zhou'shui'yu 一枕清风昼睡余
'yi'zhi'xin'xin'shi'zu'di'yao'qiu'qian'fu'xi'bei'jiang'chang'wan'gong'sha'di'le 以至信心十足地要求前赴西北疆场弯弓杀敌了
'yi'zhi'yao'qiu'da'yong'yu'shi 一直要求大用于世
'yi'zi'shi'yi'jia 亦自是一家
'yi'zong'he'zai 遗踪何在
'yi'zun'hai'lei'jiang'yue 一尊还酹江月
'yi'zun'hai'lei'jiang'yue 一樽还酹江月
'yi'zun'jiu 一尊酒
'yi'zuo'shi'shan'bang'chao'ting'zui'bian'zhi'huang'zhou'zhe'zong'nian'jian 以作诗讪谤朝廷罪贬置黄州哲宗年间
'yin'ci'cai'neng'sheng'si'bu'yu 因此才能生死不渝
'yin'ci'jiu'bai'nian'lai'chuan'song'bu'shuai 因此九百年来传诵不衰
'yin'ci'zhe'shou 因此这首
'yin'er'qi'cheng'feng'gui'qu'zhi'xiang 因而起乘风归去之想
'yin'fan'dui'wang'an'shi'xin'fa'er'qiu'wai'zhi 因反对王安石新法而求外职
'yin'jie'liao'liang 音节嘹亮
'yin'qin'shuo 殷勤说
'yin'qin'zuo'ye'san'geng'yu 殷勤昨夜三更雨
'yin'su'zhe'zai'ji'nan'zhang'shu'ji 因苏辙在济南掌书记
'yin'wei'su'shi'jie'ci'biao'da'le'mou'zhong'ren'sheng'zhe'li 因为苏轼借此表达了某种人生哲理
'yin'zuo'ci'ci 因作此词
'ying'hu'qi 莺呼起
'ying'ke'xi'lai'song'ke'xing 迎客西来送客行
'ying'qi'bo'bo 英气勃勃
'ying'sun'rou'chang 萦损柔肠
'ying'xiong'ye'ji 英雄业绩
'ying'ying 荧荧
'ying'zhan'bo'ping 影湛波平
'ying'zhou 颖州
'ying'zhou'deng 颖州等
'yong'bi'feng'yu'die'dang 用笔丰腴跌宕
'yong'jin'men 涌金门
'yong'she'you'shi 用舍由时
'yong'yi'jing'yue 用以敬月
'yong'yu'le 永遇乐
'you 又
'you'bi'tou'qian'zi 有笔头千字
'you'bu'dao'liu'nian'an'zhong'tou'huan 又不道流年暗中偷换
'you'bu'fu'lao'yu'fu'bian'de'liang'wu'yi'si 有不服老与赴边的两屋意思
'you'bu'jian'huan'jia 犹不见还家
'you'de'fu'sheng'yi'ri'liang 又得浮生一日凉
'you'gen'tian'shang'you'shen'me'fen'bie'ne 又跟天上有什么分别呢
'you'hai'bei 又还被
'you'he'fang 又何妨
'you'hen'wu'ren'sheng 有恨无人省
'you'hu'zhong'yue 有湖中月
'you'kong'bei 又恐被
'you'kong'qiong'lou'yu'yu 又恐琼楼玉宇
'you'mei'tang'zeng'shu'gu 有美堂赠述古
'you'ming 又名
'you'qi'shui'qing'quan'si 游蕲水清泉寺
'you'qing'cang 右擎苍
'you'qing'feng 有情风
'you'que'shi 又却是
'you'ru'jie'li'wei'jiu'de'shao'fu 犹如结缡未久的少妇
'you'tian'zhen'lan'man'zhi'qu 有天真烂漫之趣
'you'wei'chang'bu'ke'ne 又未尝不可呢
'you'yi'shi'ru'ci 又以诗入词
'you'yi'wei'wen'ji'chi'chao'ting'zui'yuan'zhe'hui'zhou 又以为文讥斥朝廷罪远谪惠州
'you'yu'bu'liao'jie'wu'zi'wu'qing'er'ren'zi'duo'qing 由于不了解物自无情而人自多情
'you'zi'dai 犹自带
'yu 语
'yu'bao'qing'cheng'sui'tai'shou 欲报倾城随太守
'yu'cai'xiang 与蔡襄
'yu'chuan'tong'de'hua'jian'ci'feng'wai'bie'li'yi'zong 于传统的花间词风外别立一宗
'yu'ci'jin'fei 余词尽废
'yu'dai'qu'zhong'xun'wen'qu 欲待曲终寻问取
'yu'du'bu'jue 余独不觉
'yu'fan'zao'jian 鱼翻藻鉴
'yu'fu'hong'chen 与拂红尘
'yu'fu'xun'di'zhe 与父洵弟辙
'yu'hang'men'wai 余杭门外
'yu'ji'xiang'si'qian'dian'lei 欲寄相思千点泪
'yu'jia'ao 渔家傲
'yu'ju'xian'qu 雨具先去
'yu'kai'huan'bi 欲开还闭
'yu'mei'ren 虞美人
'yu'pen'qian'shou'nong'qing'quan 玉盆纤手弄清泉
'yu'pian'shou'feng'liu'ren'wu'xiang'ying 与篇首风流人物相应
'yu'qi'sui'shi'jian'mei'shan'lao'ni 余七岁时见眉山老尼
'yu'qu'you'hai'bu'qu 欲去又还不去
'yu'qu'yu'shen 愈曲愈深
'yu'shan'guan'jin 羽扇纶巾
'yu'shan'guan'jin'san'ju'xie'zhou'yu'de'zhan'gong 羽扇纶巾三句写周瑜的战功
'yu'sheng'di'zhuan 玉绳低转
'yu'shi'gen'zhe'yue'er'xia'de'ying'zi 于是跟着月儿下的影子
'yu'shui'tong 与谁同
'yu'yi 寓意
'yu'zhao'xiao'zhou'xun'jiu'shi 欲棹小舟寻旧事
'yu'zhuang'yu'xie 寓庄于谐
'yuan 圆
'yuan'he'xie'lu 圆荷泻露
'yuan'lin'wu'san'shang'ti'ya 远林屋散尚啼鸦
'yuan'nao'wen'gu'bu'xu'hu 猿猱闻鼓不须呼
'yuan'shi'jun 愿使君
'yuan'xie'gong 愿谢公
'yuan'zai'chi'bi'zhi'zhan'qian'shi'nian 远在赤壁之战前十年
'yue'er'ye'you'yin'qing'yuan'que'de'shi'hou 月儿也有阴晴圆缺的时候
'yue'guang'zhuan'guo'hong'lou 月光转过红楼
'yue'liang'ye'you'yin 月亮也有阴
'yue'ming'qian'li'zhao'ping'sha 月明千里照平沙
'yue'shi'bin 月是宾
'yue'ta'nian 约他年
'yue'xi'ming 月溪明
'yue'xia'qi'wu 月下起舞
'yue'you'yin'qing'yuan'que 月有阴晴圆缺
'yun'shan'chi'jin 云山摛锦
'yun'shan'luan 云山乱
'zai'kong'jian'shang'yu'shi'jian'shang'dou'de'dao'ji'du'tuo'zhan 在空间上与时间上都得到极度拓展
'zai'lai'du'su'shi'ci'ci 再来读苏轼此词
'zai'lue'biao'chou'chang'yu'chao'feng'zhi'yu 在略表惆怅与嘲讽之余
'zai'ren'yu'wu 在人与物
'zai'su'shi'zhi'qian'cong'wei'cheng'gong'de'chu'xian'guo 在苏轼之前从未成功地出现过
'zai'yi'shu'biao'xian'fang'mian'du'ju'feng'ge 在艺术表现方面独具风格
'zai'yue'guang'xia'qi'wu 在月光下起舞
'zai'zhang'xing'qi'kong'shi'zeng'fu'shi'yu'zhi'chang'duan'chu 载张姓妻孔氏赠夫诗欲知肠断处
'zai'zheng'zhi'shang'shu'yu'jiu'dang 在政治上属于旧党
'zao'sheng'hua'fa 早生华发
'zao'xing 早行
'ze'yun 仄韵
'zen'me'ye'nan'yi'xiao'chu 怎么也难以消除
'zha'ru'nong'sang'she 乍入农桑社
'zhang'di'chui'sheng'xiang'tu'she 帐底吹笙香吐麝
'zhang'li'xu'bu'zhuan'xie'yang 杖藜徐步转斜阳
'zhang'ni'wei'jie'yu'cong'jiao 障泥未解玉骢骄
'zhang'xiang'bie'li'zhong 长向别离中
'zhao'jian'ren'ru'hua 照见人如画
'zhao'jun'yuan 昭君怨
'zhao'lu'tuan'tuan 朝露漙漙
'zhao'ri'shen'hong'nuan'jian'yu 照日深红暖见鱼
'zhao'shui'hong'qu'xi'xi'xiang 照水红蕖细细香
'zhao'wo'wu'fa'an'shui 照我无法安睡
'zhao'wu'mian 照无眠
'zhao'wu'mian'zhao'zhe'you'xin'shi'shui'bu'zhao'ren 照无眠照着有心事睡不着人
'zhao'ye'mi'mi'qian'lang 照野弥弥浅浪
'zhao'zhe'shi'mian'de'ren'er 照着失眠的人儿
'zhe'gu'ran'yin'wei'ta'tian'fen'gao 这固然因为他天份高
'zhe'gu'tian 鹧鸪天
'zhe'li'ji'yi'zi'zhi 这里藉以自指
'zhe'li'yi'feng'tang'zi'bi 这里以冯唐自比
'zhe'li'yi'tian'lang'yu'xi'xia 这里以天狼喻西夏
'zhe'li'yu'xia'ju'qian'qi'jun'zhi'su'shi'de'sui'cong 这里与下句千骑均指苏轼的随从
'zhe'shou'ci'biao'da'de'gan'qing'jiu'shi'ru'ci 这首词表达的感情就是如此
'zhe'shou'ci'shang'pian'chu'lie 这首词上片出猎
'zhe'shou'ci'shang'pian'zhi'zhuo'ren'sheng 这首词上片执着人生
'zhe'shou'ci'shi'su'shi'zai'mi'zhou'yi'ci'meng'jian'wang'fu'hou'xie'de 这首词是苏轼在密州一次梦见王弗后写的
'zhe'shou'ci'shi'yuan'feng'wu'nian'qi'yue'su'shi'zhe'ju'huang'zhou'shi'zuo 这首词是元丰五年七月苏轼谪居黄州时作
'zhe'shou'ci'xie'chu'xia'shi'jie'fa'sheng'yu'yi'qiang'zhi'ge'de'yi'ci'ji'wei'ping'chang'de'zao'yu 这首词写初夏时节发生于一墙之隔的一次极为平常的遭遇
'zhe'shou'ci'xie'jing 这首词写景
'zhe'shou'huai'gu'ci'jian'you'gan'fen'he'gan'shang'liang'chong'se'cai 这首怀古词兼有感奋和感伤两重色彩
'zhe'xie'shi'qing'cong'gu'jiu'mei'you'liang'quan'qi'mei'le 这些事情从古就没有两全其美了
'zhe'xie'shi'zi'gu'yi'lai'jiu'nan'yi'liang'quan 这些事自古以来就难以两全
'zhe'yang'xie'fa'geng'neng'tu'chu'ta'de'feng'cai'he'cai'neng 这样写法更能突出他的风采和才能
'zhe'zhong'gan'qing'shen'shen'de'mai'zai'xin'di 这种感情深深地埋在心底
'zhe'zong'shi'ren'han'lin'xue'shi 哲宗时任翰林学士
'zhen'kan'xi 真堪惜
'zheng'bao'han'ke'kan'yu'rui 争抱寒柯看玉蕤
'zheng'mu'shan'hao'chu 正暮山好处
'zheng'shu'zhuang 正梳妆
'zhi'chi'tian'bu'xiang'jian 咫尺天不相见
'zhi'hui'ruo'ding 指挥若定
'zhi'jun'wei'wo 知君为我
'zhi'jun'yao'shun 致君尧舜
'zhi'jun'yu'xiang'qin'chuan'qu 知君欲向秦川去
'zhi'mi'zhou 知密州
'zhi'pa'na'gao'chu'tian'shang'de'qiong'lou'yu'yu'li'bu'sheng'qing'han 只怕那高处天上的琼楼玉宇里不胜清寒
'zhi'shang'liu'mian'chui'you'shao 枝上柳绵吹又少
'zhi'shi'he'ren 知是何人
'zhi'shou'wu'ren'bang'wu'tou 炙手无人傍屋头
'zhi'xi'wang'ren'zhi'zi'you'neng'gou'chang'shou'ping'an 只希望人指子由能够长寿平安
'zhi'yu'ge'tou'nai'shi'di'yi'zhang'zhi'yi 至于歌头乃是第一张之意
'zhi'yu'li'ren'zhao'duan'chang 只与离人照断肠
'zhi'yuan'sheng'ming'neng'gou'chang'jiu 只愿生命能够长久
'zhi'yue'zhong'de'gong'dian 指月中的宫殿
'zhi'ze'tong'zhi'zhe'de'she'chi'jiao'zong 指责统治者的奢侈骄纵
'zhi'zhuo'bi'yu'zhou'yu'de'cong'rong'xiao'sa 只着笔于周瑜的从容潇洒
'zhong'qiu'ci'zi'dong'po 中秋词自东坡
'zhong'san 中三
'zhong'shi'xiang'deng'lin'cha'kan 终是想登临察看
'zhong'xun'wu'chu 重寻无处
'zhong'yu'yi'li'qian'qing 终于以理遣情
'zhong'zai'dao 中载道
'zhou'qin'xing'ji 周秦行纪
'zhou'yu'er'shi'si'sui'wei'dong'wu'zhong'lang'jiang 周瑜二十四岁为东吴中郎将
'zhou'yu'po'cao'cao'de'chi'bi'zai'jin'hu'bei'pu'qi'xian 周瑜破曹操的赤壁在今湖北浦圻县
'zhou'yu'shen'wei'zhu'jiang'que'bing'fei'bing'rong'xiang'jian 周瑜身为主将却并非兵戎相见
'zhu'ge'zhu'hong'se'de'lou'ge 朱阁朱红色的楼阁
'zhu'guan'yu'ke'guan'de'liang'zhe'guan'xi'zhong'shi'jing'chang'fa'sheng'de 主观与客观的两者关系中是经常发生的
'zhu'ju'neng'ji'zhi 朱具能记之
'zhu'shi 注释
'zhu'shi'tu 竹石图
'zhu'yi'si'jiu'yi 朱已死久矣
'zhu'zhang'mang'xie'qing'sheng'ma 竹杖芒鞋轻胜马
'zhuan'you'wei'han 转又畏寒
'zhuan'zhu'ge 转朱阁
'zhuang'li'jiang'shan 壮丽江山
'zhui'huang'he 追黄鹤
'zi 子
'zi'hang'zhou'lai'zhi'zhe'bei'fang'bian'jun'de 自杭州来至这北方边郡的
'zi'ji'de'ying'zi'ye'fan'dong'bu'yi 自己的影子也翻动不已
'zi'ju'ya'liang'gao'zhi 自具雅量高致
'zi'jue'gong'ming'lan'geng'shu 自觉功名懒更疏
'zi'nan'wang 自难忘
'zi'nan'wang'liang'ju 自难忘两句
'zi'nan'wang'ze'si'sheng'qi'kuo'er'bu'chang'yi'ri'qu'huai 自难亡则死生契阔而不尝一日去怀
'zi'qing'liang'wu'han 自清凉无汗
'zi'shu 自述
'zi'tan'ren'jian'ru'meng 自叹人间如梦
'zi'yan'chang'sui'qi'shi'ru'shu'zhu'meng'chang'gong'zhong 自言尝随其师入蜀主孟昶宫中
'zi'zi'zhan 字子瞻
'zong'bu'neng'bi'mian 总不能避免
'zong'shi'shao'nian'xing'le'chu 总是少年行乐处
'zong'shi'xiang'feng'ying'bu'shi 纵使相逢应不识
'zu 足
'zu'shi'wen'zhong 卒谥文忠
'zui 醉
'zui'hou 最后
'zui'hou'yi'zi'shen'gan'kai'zuo'jie 最后以自身感慨作结
'zui'luo'po 醉落魄
'zui'wo'shao'xiu 醉卧少休
'zuo'ci'pian 作此篇
'zuo'ke'wu'zhan'zui'bu'zhi 座客无毡醉不知
'zuo'qian'huang 左牵黄
'zuo'shi'yi'que 作是一阕
'zuo'yi'ci 作一词
'zuo'zhe 作者
'zuo'zhe'dui'di'di'ji'yu'yao'yao'de'zhu'fu 作者对弟弟寄予遥遥的祝福
'zuo'zhe'kai'tou'yi'ju'ming'yue'ji'shi'you 作者开头一句明月几时有
'zuo'zhe'shi'zai'si'shi'yi'sui'ren'mi'zhou'shan'dong'gao'mi'tai'shou'shi'xie'zhe'shou'ci'de 作者是在四十一岁任密州山东高密太守时写这首词的
'zuo'zhe'you'huan'xiang'zhe'zi'ji'shi'tian'shang'you'xian'de'jing'xiang 作者又幻想着自己是天上游仙的景象
'zuo'zhe'you'zai'qi'wu'nong'qing'ying 作者又在起舞弄清影
'zuo'zhe'zai'zhe'li'lang'man'de'ren'wei'zi'ji'shi'xia'fan'de'shen'xian 作者在这里浪漫地认为自己是下凡的神仙
