'ai'feng'ren'zhi'zi'ye 艾封人之子也
'shan'xing'yu'su'xue 缮性于俗学
'shan'yan'fa'qi'zhe 善言伐齐者
'shan'yan'wu'fa'zhe 善言勿伐者
'shan'yang'sheng'zhe 善养生者
'shan'yao'shan'lao 善妖善老
'shan'you'kui 山有夔
'shan'you'zhe'shu'neng 善游者数能
'shan'zai 善哉
'shan'zai'ru'wen 善哉汝问
'shan'zai'wen'hu 善哉问乎
'shang'ao 上敖
'shang'bei'ri'yue'zhi'ming 上悖日月之明
'shang'bi'wu'wei'er'yong'xia 上必无为而用下
'shang'cheng'hao'zhi'er'wu'dao 上诚好知而无道
'shang'da'zai'dang'wen'ren'yu'zhuang'zi 商大宰荡问仁于庄子
'shang'er'bu'xia 上而不下
'shang'fa'li'hai 赏罚利害
'shang'fa'yi'ming'er'yu'zhi'chu'yi 赏罚已明而愚知处宜
'shang'fa'yuan'tian 上法圆天
'shang'gu'wu'shi'jing'zhi'shi'ze'bu'bi 商贾无市井之事则不比
'shang'gu'you'da'chun'zhe 上古有大椿者
'shang'ji'you'yu 上及有虞
'shang'ji'yu'tian 上际于天
'shang'jian'guang'er'xia'wei'tu 上见光而下为土
'shang'jue'fu'yun 上决浮云
'shang'kui'qing'tian 上窥青天
'shang'lou'xia'shi 上漏下湿
'shang'mou'er'xia'hang'huo 上谋而下行货
'shang'qie'gou'hu'jun 上且钩乎君
'shang'ru'biao'zhi 上如标枝
'shang'shen'cheng'guang 上神乘光
'shang'wang'er'xia'pan 上忘而下畔
'shang'wei'huang'er'xia'wei'wang 上为皇而下为王
'shang'wu'wei'ye 上无为也
'shang'wu'yi'wei'shen 上无以为身
'shang'xia'qiu'sha 上下囚杀
'shang'yi'you'wei'ye 上亦有为也
'shang'yi'zhong'yu'shi'zhu 上以忠于世主
'shang'you'ceng 上有曾
'shang'you'da'yi 上有大役
'shang'you'wu'guan 上有五管
'shang'yu'bing'zhe'su 上与病者粟
'shang'yu'xia'tong'dao'ze'bu'zhu 上与下同道则不主
'shang'zhan'jing'ling 上斩颈领
'shang'zheng'wu'shi 上征武士
'shang'zhi'ren'zhe 上治人者
'shang'zhi'zhi 上之质
'shao'chang'gui'jian'jian'er'jie'shuo'zhi 少长贵贱见而皆说之
'shao'jun'zhi'fei 少君之费
'shao'si'er'gua'yu 少私而寡欲
'shao'wei'xian'sheng'fang'zhe 少为先生方者
'shao'yan 少焉
'shao'yan'jian 少焉见
'shao'zhe'ku'zhi 少者哭之
'shao'zhi 烧之
'shao'zhi'wen'yu'da'gong'tiao'yue 少知问于大公调曰
'shao'zhi'yue 少知曰
'she'cai'se 设采色
'she'er'ji'zhi'hu 社而稷之乎
'she'fu'zhong'zhong'zhi'ji'er'yue'fu'yi'yi'zhi'ning 舍夫种种之机而悦夫役役之佞
'she'ji'cun'yan'er 社稷存焉尔
'she'ju'er'bu'xia 舌举而不下
'she'lian'feng 蛇怜风
'she'ru'zhi 摄汝知
'she'tui'ye 蛇蜕也
'she'wei'feng'yue 蛇谓风曰
'she'wen'zhi 奢闻之
'she'yu'gu'ren'zhi'jia 舍于故人之家
'she'yu'lu 舍于鲁
'she'yu'yi'qiu'zhi'jiang 舍于蚁丘之浆
'she'yue 蛇曰
'she'yue 奢曰
'she'zhe'bi'xi 舍者避席
'she'zhe'fei'qian'qi'er'zhong'wei'zhi'shan'she 射者非前期而中谓之善射
'she'zhe'ying'jiang'qi'jia 舍者迎将其家
'she'zhe'yu'zhi'zheng'xi'yi 舍者与之争席矣
'she'zhi'ze'bei 舍之则悲
'she'zhi'ze'yang 舍之则仰
'shen'an'hou'wei'mei'fu'hao'se'yin'sheng'ye 身安厚味美服好色音声也
'shen'bi'you'yang 身必有殃
'shen'bu'de'an'yi 身不得安逸
'shen'chang'ba'chi'er'cun 身长八尺二寸
'shen'chang'wu'yang 身常无殃
'shen'dong'er'tian'sui 神动而天随
'shen'er'bu'ke'bu'wei'zhe 神而不可不为者
'shen'gui'neng'jian'meng'yu'yuan'jun 神龟能见梦于元君
'shen'gui'shen'di 神鬼神帝
'shen'hu'wu'jia'er'bu'yu'li'qian 审乎无假而不与利迁
'shen'hu'wu'jia'er'bu'yu'wu'qian 审乎无假而不与物迁
'shen'jiang'lai'she 神将来舍
'shen'ming'zhi'wei'ye 神明之位也
'shen'nong'shi 神农氏
'shen'nong'yin'ji 神农隐几
'shen'nong'yin'ji'yong'zhang'er'qi 神农隐几拥杖而起
'shen'nong'zhi'shi 神农之世
'shen'nong'zhi'yan 神农之言
'shen'nv'nei 慎女内
'shen'qi'bu'bian 神气不变
'shen'qi'fu'hua'wei'chou'fu 神奇复化为臭腐
'shen'qi'geng'er'shu 深其耕而熟
'shen'quan'zhe 神全者
'shen'ren'wei'chang'guo'er'wen'yan 神人未尝过而问焉
'shen'ren'wu'gong 神人无功
'shen'ren'yi'ci'bu'cai 神人以此不材
'shen'ruo'gao'mu'zhi'zhi'er'xin'ruo'si'hui 身若槁木之枝而心若死灰
'shen'shan 甚善
'shen'sheng'bu'ding'zhe 神生不定者
'shen'shou'nv'shen 慎守女身
'shen'si 身死
'shen'sui'wang 神虽王
'shen'tu'di 申徒狄
'shen'tu'di'jian'er'bu'ting 申徒狄谏而不听
'shen'tu'di'yin'yi 申徒狄因以
'shen'tu'jia 申徒嘉
'shen'tu'jia'yue 申徒嘉曰
'shen'tun 沈屯
'shen'wei'xing'lu 身为刑戮
'shen'wu'e'hu 神无恶乎
'shen'xing'ren'yi 身行仁义
'shen'yi 甚矣
'shen'yi'zai 甚矣哉
'shen'yi'zhong'yu'liang'bi 身亦重于两臂
'shen'you'lv 沈有履
'shen'you'suo'bu'ji'ye 神有所不及也
'shen'zai'jiang'hai'zhi'shang 身在江海之上
'shen'zhe'xian'shou'zhi 神者先受之
'shen'zhi 慎之
'shen'zhi'mo'ye 神之末也
'shen'zhi'you'shen'er'neng'jing'yan 神之又神而能精焉
'shen'zi'bu'zi'li 申子不自理
'shen'zi'de'zhe 审自得者
'shen'zu'yi'xiu'shi 身足以休食
'shen'zu'yu'wei'dong'men'zhi'shang 身菹于卫东门之上
'sheng'bu'bu'shi 生不布施
'sheng'dao'yun'er'wu'suo'ji 圣道运而无所积
'sheng'de'ruo'bu'zu 盛德若不足
'sheng'e'er'si 生俄而死
'sheng'er'mei'zhe 生而美者
'sheng'er'wu'yi'zhi'wei'ye 生而无以知为也
'sheng'er'zhang'da 生而长大
'sheng'fei'de'bu'ming 生非德不明
'sheng'fei'ru'you 生非汝有
'sheng'huo'shen'duo 生火甚多
'sheng'jie'er'rang'wo 胜桀而让我
'sheng'man'tian'di 声满天地
'sheng'mo'sha'yan 绳墨杀焉
'sheng'mou'gui'shen 声侔鬼神
'sheng'ren 圣人
'sheng'ren'bing'bao'tian'di 圣人并包天地
'sheng'ren'bu'chu 圣人不出
'sheng'ren'bu'cong'shi'yu'wu 圣人不从事于务
'sheng'ren'bu'mou 圣人不谋
'sheng'ren'bu'si 圣人不死
'sheng'ren'bu'yin 圣人不隐
'sheng'ren'bu'zu'yi'dang'zhi 圣人不足以当之
'sheng'ren'cang'hu'shi 圣人藏乎是
'sheng'ren'cang'yu'tian 圣人藏于天
'sheng'ren'cheng'yan 圣人成焉
'sheng'ren'chou'chu'yi'xing'shi 圣人踌躇以兴事
'sheng'ren'chu'wu'bu'shang'wu 圣人处物不伤物
'sheng'ren'cun'er'bu'lun 圣人存而不论
'sheng'ren'da'chou'mou 圣人达绸缪
'sheng'ren'gong'hu'tian'er'zhuo'hu'ren 圣人工乎天而拙乎人
'sheng'ren'gu'gui'yi 圣人故贵一
'sheng'ren'gui'jing 圣人贵精
'sheng'ren'huai'zhi 圣人怀之
'sheng'ren'lun'er'bu'yi 圣人论而不议
'sheng'ren'sheng'er'da'dao'qi 圣人生而大盗起
'sheng'ren'sheng'yan 圣人生焉
'sheng'ren'wei'chang'guo'er'wen'yan 圣人未尝过而问焉
'sheng'ren'wu'ming 圣人无名
'sheng'ren'xiu'xiu'yan'ze'ping'yi'yi 圣人休休焉则平易矣
'sheng'ren'xiu'zhi 圣人羞之
'sheng'ren'yan'ran'ti'shi'er'zhong'yi 圣人晏然体逝而终矣
'sheng'ren'ye 圣人也
'sheng'ren'yi'duan'zhi'yi 圣人以断之矣
'sheng'ren'yi'er'bu'bian 圣人议而不辩
'sheng'ren'yi'si 圣人已死
'sheng'ren'yu'dun 圣人愚钝
'sheng'ren'zai'hu 圣人在乎
'sheng'ren'zao'zhi'er'bu'wei 圣人遭之而不违
'sheng'ren'ze'yi'shen'xun'tian'xia 圣人则以身殉天下
'sheng'ren'zhe 圣人者
'sheng'ren'zhi'ai'ren'ye 圣人之爱人也
'sheng'ren'zhi'ai'ren'ye'zhong'wu'yi'zhe 圣人之爱人也终无已者
'sheng'ren'zhi'dao 圣人之道
'sheng'ren'zhi'dao'ye 圣人之道也
'sheng'ren'zhi'de'ye 圣人之德也
'sheng'ren'zhi'guo'ye 圣人之过也
'sheng'ren'zhi'jing'ye 圣人之静也
'sheng'ren'zhi'sheng'ye'tian'hang 圣人之生也天行
'sheng'ren'zhi'suo'bao'ye 圣人之所保也
'sheng'ren'zhi'suo'bu'neng'sheng'ye 圣人之所不能胜也
'sheng'ren'zhi'suo'tu'ye 圣人之所图也
'sheng'ren'zhi'suo'yi'hai'tian'xia 圣人之所以骇天下
'sheng'ren'zhi'xin'jing'hu 圣人之心静乎
'sheng'ren'zhi'xin'yi'chu'tian'xia'ye 圣人之心以畜天下也
'sheng'ren'zhi'yan'ye 圣人之言也
'sheng'ren'zhi'yong'ye 圣人之勇也
'sheng'ren'zhi'yu'shi'ye 圣人之余事也
'sheng'ru'ru'hu 声如乳虎
'sheng'sha'ba'zhe 生杀八者
'sheng'sheng'zhe'bu'sheng 生生者不生
'sheng'shu'bu'jin'yu'qian 生熟不尽于前
'sheng'shuai'zhi'sha 盛衰之杀
'sheng'tian'sheng'de 生天生地
'sheng'wu'ai'zhi 生物哀之
'sheng'wu'zhi'yi'xi'xiang'chui'ye 生物之以息相吹也
'sheng'ye 圣也
'sheng'ye'si'zhi'tu 生也死之徒
'sheng'ye'zhe 圣也者
'sheng'yi'qie'yan 盛以箧衍
'sheng'you'suo'hu'meng 生有所乎萌
'sheng'you'wei 生有为
'sheng'yu'ao 生于奥
'sheng'yu'ling'bei 生于陵陂
'sheng'yu'ling'tun'ze'wei'ling'xi 生于陵屯则为陵舄
'sheng'yu'zao'xia 生于灶下
'sheng'zhe 生者
'sheng'zhi'e'hu'zai 胜之恶乎在
'sheng'zhi'hu 圣治乎
'sheng'zhi'lai'bu'neng'que 生之来不能却
'sheng'zhi'yu'xiang 声之于响
'sheng'zhi'zhi'ye 生之质也
'shi'bai'li'zhe 适百里者
'shi'bei'yu'li'ye 是悖于理也
'shi'bi'cai'quan'er'de'bu'xing'zhe'ye 是必才全而德不形者也
'shi'bi'da'ni 事必大逆
'shi'bi'he'mo 舐笔和墨
'shi'bi'xiao'zhi 世必笑之
'shi'bi'you'yi'hu'ren'zhe'ye 是必有异乎人者也
'shi'bi'you'yi'zhen'wo'ye 是必有以振我也
'shi'bu'cai'zhi'mu'ye 是不材之木也
'shi'bu'gan'xian'chang 食不敢先尝
'shi'bu'ju 实不聚
'shi'bu'ke'zhi 时不可止
'shi'bu'shi 是不是
'shi'bu'tian'ye 是不恬也
'shi'bu'yu'ye 是不愉也
'shi'bu'zhi'suo'wei 食不知所味
'shi'chen'shang'shuo'da'wang 使臣上说大王
'shi'chen'shang'shuo'da'wang'er'ni'wang'yi 使臣上说大王而逆王意
'shi'chen'zhi'jie'niu'zhi'shi 始臣之解牛之时
'shi'cheng'er'yao'qi'su 时骋而要其宿
'shi'cheng'gui'ye 士诚贵也
'shi'cheng'qi'jian'lao'zi'er'wen'yue 士成绮见老子而问曰
'shi'cheng'qi'ming'ri'fu'jian 士成绮明日复见
'shi'cheng'qi'yan'hang'bi'ying 士成绮雁行避影
'shi'cheng'wei'feng 石城为锋
'shi'chu'huan 食刍豢
'shi'chu'ze'cun 是出则存
'shi'chun'qi'zhi'shou'ye 是纯气之守也
'shi'dai'jian'wu'du'de'ji'ye 是殆见吾杜德机也
'shi'dai'jian'wu'heng'qi'ji'ye 是殆见吾衡气机也
'shi'dai'jian'wu'shan'zhe'ji'ye 是殆见吾善者机也
'shi'dan'mu'yu'zhi'ye 是旦暮遇之也
'shi'dang'qu'gong'zhi'jie 适当渠公之街
'shi'dao'er'hou'de 失道而后德
'shi'dao'er'ke'jin 使道而可进
'shi'dao'er'ke'xian 使道而可献
'shi'dao'er'ke'yi'gao'ren 使道而可以告人
'shi'dao'er'ke'yi'yu'ren 使道而可以与人
'shi'de'er'hou'ren 失德而后仁
'shi'de'er'ji'yi 适得而几矣
'shi'de'ren'zhi'de'er'bu'zi'de'qi'de'zhe'ye 是得人之得而不自得其得者也
'shi'di'zi'bing'liu'er'zheng'zhi 使弟子并流而拯之
'shi'dun'tian'bei'qing 是遁天倍情
'shi'e'zhi'li'yi 是恶知礼意
'shi'er'bu'cong 使耳不聪
'shi'er'bu'you 失而不忧
'shi'er'bu'zhi'yi'wei'zhong 实而不知以为忠
'shi'er'gui 实而归
'shi'er'jing'yi'shuo 十二经以说
'shi'er'shi'you'qi'guo 十二世有齐国
'shi'er'wu'chuan 事而无传
'shi'fei 是非
'shi'fei'qi'meng'xie 是非其梦邪
'shi'fei'qi'mi'xie 是非其眯邪
'shi'fei'wu'suo'wei'qing'ye 是非吾所谓情也
'shi'fei'xian'ye 是非先也
'shi'fei'yi'ming'er'shang'fa'ci'zhi 是非已明而赏罚次之
'shi'fei'yi'ren'yi'yi'qi'xing'yu 是非以仁义易其性与
'shi'fei'zhi'fen'ye 是非之分也
'shi'fei'zhi'tu 是非之涂
'shi'fei'zhi'zhang'ye 是非之彰也
'shi'feng'jian'yu'dian'xia 使奉剑于殿下
'shi'fu'tian'dan'wu'wei'er'yue'fu 释夫恬淡无为而悦夫
'shi'gu 是故
'shi'gu'an'er'bu'shun 是故安而不顺
'shi'gu'da'ren'zhi'xing 是故大人之行
'shi'gu'da'zhi'guan'yu'yuan'jin 是故大知观于远近
'shi'gu'fei'yi'qi'suo'hao'long'zhi'er'ke'de'zhe 是故非以其所好笼之而可得者
'shi'gu'fu'jing'sui'duan 是故凫胫虽短
'shi'gu'gao'yan'bu'zhi'yu'zhong'ren'zhi'xin 是故高言不止于众人之心
'shi'gu'gu'zhi'ming'da'dao'zhe 是故古之明大道者
'shi'gu'gui'shen'shou'qi'you 是故鬼神守其幽
'shi'gu'hua'yi'zhi'yao 是故滑疑之耀
'shi'gu'mi'luan'er'bu'neng'zi'de'ye 是故迷乱而不能自得也
'shi'gu'pian'yu'ming'zhe 是故骈于明者
'shi'gu'pian'yu'zu'zhe 是故骈于足者
'shi'gu'qi'hang'lie'bu'chi 是故其行列不斥
'shi'gu'qin'shou'ke'xi'ji'er'you 是故禽兽可系羁而游
'shi'gu'qiu'shan'ji'bei'er'wei'gao 是故丘山积卑而为高
'shi'gu'sheng'wu'jue 是故生无爵
'shi'gu'shun'er'bu'yi 是故顺而不一
'shi'gu'tang'yi'bao'ren'long'yi'yin 是故汤以胞人笼伊尹
'shi'gu'tian'di'zhe 是故天地者
'shi'gu'wu'ze'yu'ren 是故无责于人
'shi'gu'xing'er'wu'ji 是故行而无迹
'shi'gu'you'zhi'yue 诗固有之曰
'shi'gu'zhi'ren'wu'wei 是故至人无为
'shi'guo'ma'ye 是国马也
'shi'hao'ming'zhe'ye 是好名者也
'shi'he'ren'ye 是何人也
'shi'he'ren'zhe'ye 是何人者也
'shi'he'yan'ye 是何言也
'shi'he'ye 是何也
'shi'he'zui'zhi'you'zai 是何罪之有哉
'shi'heng'wu'zhi'da'qing'ye 是恒物之大情也
'shi'hu'liang 始乎谅
'shi'hu'ming'ming 视乎冥冥
'shi'hu'shi'er'wei'chang'bu'shi'zhe 始乎适而未尝不适者
'shi'hu'yang 始乎阳
'shi'hu'zhi 始乎治
'shi'hu'zhi'nong'yue 石户之农曰
'shi'huang'di'zhi'suo'ting'ying'ye 是皇帝之所听荧也
'shi'hui'zhi'shi'ye 事会之适也
'shi'ji'si'zhi'zhai 是祭祀之斋
'shi'jia'ren'wang'qi'pin 使家人忘其贫
'shi'jian'tun'zi'shi'yu'qi'si'mu'zhe 适见豚子食于其死母者
'shi'jian'yu'yi 事兼于义
'shi'jiang'ren 使匠人
'shi'jie'er'sheng'shi'yu'xin'zhe'ye 是接而生时于心者也
'shi'jie'qiu'ming'shi'zhe'ye 是皆求名实者也
'shi'jie'xiu'qi'shen'yi'xia'yu'fu'ren'zhi'min 是皆修其身以下伛拊人之民
'shi'jin'ri'shi'yue'er'xi'zhi'ye 是今日适越而昔至也
'shi'jin'yue 师金曰
'shi'ju'er'long'jian 尸居而龙见
'shi'ju'huan'du'zhi'shi 尸居环堵之室
'shi'jun'bu'yu'shi 事君不遇世
'shi'kou'li'shuang 使口厉爽
'shi'kuang 师旷
'shi'kuang'zhi'zhi'ce'ye 师旷之枝策也
'shi'lai 适来
'shi'lai'qian 使来前
'shi'li'de'ye 是狸德也
'shi'li'yue 饰礼乐
'shi'li'zhu'suo'zhi'er'bu'de 使离朱索之而不得
'shi'liang'ye 是两也
'shi'ling'ye 豕零也
'shi'lu'chen'zhe'ye 是陆沉者也
'shi'luan'yu'de'ye 是乱于德也
'shi'mang'cang'zhe 适莽苍者
'shi'min'an'qu'bu'wei 士民安取不伪
'shi'min'xin'bian 使民心变
'shi'min'xin'jing 使民心竞
'shi'min'xin'qin 使民心亲
'shi'min'xin'yi 使民心一
'shi'ming'da'miu'ye 时命大谬也
'shi'mu'bu'ming 使目不明
'shi'nai'sheng'ren'zhi'guo'ye 是乃圣人之过也
'shi'nai'suo'wei'bing'jie'dong'shi'zhe 是乃所谓冰解冻释者
'shi'nan'yi'liao'jian'lu'hou 市南宜僚见鲁侯
'shi'nan'yi'liao'nong'wan'er'liang'jia'zhi'nan'jie 市南宜僚弄丸而两家之难解
'shi'nan'yi'liao'shou'jiu'er'ji 市南宜僚受酒而祭
'shi'nan'zi'yue 市南子曰
'shi'nian'bu'zhi'yi 十年不制衣
'shi'nian'jiu'liao 十年九潦
'shi'niao'ye 是鸟也
'shi'qi 试齐
'shi'qi'bian'yi'ao'yu 恃其便以敖予
'shi'qi'cai'zhi'mei'zhe'ye 是其才之美者也
'shi'qi'chen'gou 是其尘垢
'shi'qi'de'ye 是欺德也
'shi'qi'hou'zhe'er'bian'zhi 视其后者而鞭之
'shi'qi'hu'luan 世蕲乎乱
'shi'qi'ji'bao 时其饥饱
'shi'qi'jun'nei're'fa'yu'bei 使其君内热发于背
'shi'qi'shi'nan'yi'liao'xie 是其市南宜僚邪
'shi'qi'shi'si'ye 是其始死也
'shi'qi'suo'bu 恃其所不
'shi'qi'suo'bu'zhi'er'hou'zhi'tian'zhi'suo'wei'ye 恃其所不知而后知天之所谓也
'shi'qi'suo'mei'zhe'wei'shen'qi 是其所美者为神奇
'shi'qi'suo'wei 失其所谓
'shi'qi'suo'yi'wei'ling'gong'ye 是其所以为灵公也
'shi'qi'yan'ye 是其言也
'shi'qi'ye 舐其叶
'shi'qi'yi 识其一
'shi'qi'yu'bian'ye 是其于辩也
'shi'qian'li'zhe 适千里者
'shi'qin'mu'gong'wang'qi'jian 使秦穆公忘其贱
'shi'qin'qi'de'zhe'ye 是侵其德者也
'shi'qin'wang'wo'nan 使亲忘我难
'shi'qin'wang'wo'yi 使亲忘我易
'shi'qiu'feng'yu'er'jin'suo 史鳅奉御而进所
'shi'qiu'ke 事求可
'shi'qiu'ma'yu'tang'si'ye 是求马于唐肆也
'shi'qiu'ye 是丘也
'shi'qiu'zhi'de'ye 是丘之得也
'shi'qu 适去
'shi'ren'er'hou'yi 失仁而后义
'shi'ren'nai'yi'xin'fu'er'bu'gan 使人乃以心服而不敢
'shi'ren'shou'ji'guo 使人授己国
'shi'ren'xi'nu'shi'wei 使人喜怒失位
'shi'ren'ye'you'qing'jian 是人也又请见
'shi'ren'yi'bi'xian'yan 使人以币先焉
'shi'ren'yi'wei'ji'jie 使人以为己节
'shi'ren'yi'xing'se'ming'sheng'wei'zu'yi'de'bi'zhi'qing 世人以形色名声为足以得彼之情
'shi'ren'zhan'zhi 使人占之
'shi'ren'zhi'shi 适人之适
'shi'ren'zhi'shi'er'bu'zi'shi'qi'shi'zhe'ye 适人之适而不自适其适者也
'shi'ren'zhi'suo'tong'zhi'ye 是人之所同知也
'shi'ren'zhi'suo'zhi 是人之所知
'shi'ren'zhi'wei'wu'ni'lv'er 世人直为物逆旅耳
'shi'ren'zhi'yi'ye'xiao 使人之意也消
'shi'ren'zhi'zu 市人之足
'shi'ri'er'wen 十日而问
'shi'ri'jie 十日戒
'shi'ri'ye'wu'xi 使日夜无隙
'shi'ri'you'wen 十日又问
'shi'ri'zi'chou 十日自愁
'shi'ru'ze'wang 是入则亡
'shi'ruo'bu'cheng 事若不成
'shi'ruo'cheng 事若成
'shi'ruo'guo'shi'ye 是若果是也
'shi'ruo'ying'si'hai 视若营四海
'shi'san'zhe 是三者
'shi'san'zhe'sui'yi 是三者虽异
'shi'sang'dao'yi 世丧道矣
'shi'sang'qi'zu'you'yi'tu'ye 视丧其足犹遗土也
'shi'sang'ye 实丧也
'shi'sang'yi'yi'wei 实丧易以危
'shi'se'er'yi 是色而已
'shi'sha'yi'ren 十杀一人
'shi'shang'da'bu'huo 是尚大不惑
'shi'shang'yu'xia'tong'dao 是上与下同道
'shi'she'zhi'she 是射之射
'shi'sheng'ren'duo'nan'zi 使圣人多男子
'shi'sheng'ren'fu 使圣人富
'shi'sheng'ren'pu'ye 是圣人仆也
'shi'sheng'ren'shou 使圣人寿
'shi'shi'fu'ta 适矢复沓
'shi'shi'ran'jing 适适然惊
'shi'shi'ru'shi'ren 食豕如食人
'shi'shi'shi'ran 时势适然
'shi'shi'shi'ye 豕虱是也
'shi'shi'suo'shi 始时所是
'shi'shi'wei'di'zhe'ye 是时为帝者也
'shi'shi'yi 世世以
'shi'shi'yi 史是已
'shi'shi'zhi'bian 是事之变
'shi'shu'dan'wang'jian'zhi 使叔旦往见之
'shi'shu'ze'bo 实熟则剥
'shi'si'jin'jing'er'bu'qi'xi 时祀尽敬而不祈喜
'shi'si'ruo'sheng'zhe 视死若生者
'shi'su'zhi'ren 世俗之人
'shi'su'zhi'suo'wei'ran'er'ran'zhi 世俗之所谓然而然之
'shi'su'zhi'suo'wei'zhi'zhe 世俗之所谓知者
'shi'su'zhi'suo'wei'zhi'zhi'zhe 世俗之所谓至知者
'shi'sui'gui'zhi 世虽贵之
'shi'suo'yi'yu'da'yi'zhi'fang 是所以语大义之方
'shi'tai'zi'xian 使太子先
'shi'tian'di'zhi'wei'he'ye 是天地之委和也
'shi'tian'di'zhi'wei'shun'ye 是天地之委顺也
'shi'tian'di'zhi'wei'tui'ye 是天地之委蜕也
'shi'tian'di'zhi'wei'xing'ye 是天地之委形也
'shi'tian'xia'cui'cui'yan'ren'ku'qi'xing 使天下瘁瘁焉人苦其性
'shi'tian'xia'huang'gu'yi'feng'bu'ji'zhi'fa'fei'hu 使天下簧鼓以奉不及之法非乎
'shi'tian'xia'huo'ye 使天下惑也
'shi'tian'xia'jian'wang'wo'nan 使天下兼忘我难
'shi'tian'xia'xin'xin'yan'ren'le'qi'xing 使天下欣欣焉人乐其性
'shi'tian'xia'xue'shi'bu'fan'qi'ben 使天下学士不反其本
'shi'tian'zhi'lu'min'ye 是天之戮民也
'shi'tiao'yu'xue'jiu'tong'yu'tong'ye 是蜩与学鸠同于同也
'shi'tong'hu'ruo'zhe'zheng'zhi 使同乎若者正之
'shi'tong'hu'wo'yu'ruo'zhe'zheng'zhi 使同乎我与若者正之
'shi'tong'hu'wo'zhe'zheng'zhi 使同乎我者正之
'shi'tong'wei'yin'pi'ye 是同为淫僻也
'shi'tui'luan'yi'yi'bao'ye 是推乱以易暴也
'shi'wan'wu'zhi'hua'ye 是万物之化也
'shi'wang'gong'wang'jue'lu'er'hua'bei 使王公忘爵禄而化卑
'shi'wang'guan'yan 试往观焉
'shi'wei'de'si 是谓得死
'shi'wei'du'you 是谓独有
'shi'wei'fan'qi'zhen 是谓反其真
'shi'wei'fan'yan 是谓反衍
'shi'wei'jiang'jun'zao'da'cheng'shu'bai'li 使为将军造大城数百里
'shi'wei'ming'tian'di'zhi'li 是未明天地之理
'shi'wei'neng'yi 是谓能移
'shi'wei'qi'ai 是为耆艾
'shi'wei'quan'de'zhi'ren'zai 是谓全德之人哉
'shi'wei'ren 是谓人
'shi'wei'sheng'zhi'jing'yi 是卫生之经已
'shi'wei'su'pu 是谓素朴
'shi'wei'tian 是谓天
'shi'wei'tian'jun 是谓天均
'shi'wei'tian'men 是谓天门
'shi'wei'tian'zi 势为天子
'shi'wei'tong'de 是谓同德
'shi'wei'wei'er'bu'shi 是谓为而不恃
'shi'wei'wei'sheng'zhi'jing'yi 是谓卫生之经已
'shi'wei'wu'fang 是谓无方
'shi'wei'wu'zuo 是唯无作
'shi'wei'xie'shi 是谓谢施
'shi'wei'xuan'de 是谓玄德
'shi'wei'zhao'kuang 是谓照旷
'shi'wei'zhi 视为止
'shi'wei'zhong'chen'ye 世谓忠臣也
'shi'wen'qiong'ye 是问穷也
'shi'wo'cheng'cheng'yi'sui'xian'sheng'xie 使我乘成以随先生邪
'shi'wo'xin'xin'ran'er'le'yu 使我欣欣然而乐与
'shi'wu'bu'ci'li'er'nian'gu'shu 使物不疵疠而年谷熟
'shi'wu'dao'zhe 失吾道者
'shi'wu'fu'xin 始吾弗信
'shi'wu'jun'shuo'ruo'ci'hu 使吾君说若此乎
'shi'wu'kong'xu 室无空虚
'shi'wu'nei'ye 是无内也
'shi'wu'xiu'shi 使无休时
'shi'wu'yi'fu'zi'zhi'dao'wei'zhi'yi 始吾以夫子之道为至矣
'shi'wu'yi'sheng'zhi'zhi'yan 始吾以圣知之言
'shi'wu'yi'wei'tian'xia'yi'ren'er 始吾以为天下一人耳
'shi'wu'yi'xing'hu'dao 世无以兴乎道
'shi'wu'zhi 时无止
'shi'wu'zhi'ju 是物之居
'shi'wu'zhi'tu'le'bian 势物之徒乐变
'shi'wu'zi'xi 使物自喜
'shi'xi'zu'yi'qi'er'sheng'xi'zu'yi 事奚足遗弃而生奚足遗
'shi'xia'yu'shang'tong'de 是下与上同德
'shi'xiang'yu'ci'ye 是相于疵也
'shi'xiang'yu'ji'ye 是相于技也
'shi'xiang'yu'wei'chun'qiu'dong'xia'si'shi'xing'ye 是相与为春秋冬夏四时行也
'shi'xiang'yu'yi'ye 是相于艺也
'shi'xiang'yu'yin'ye 是相于淫也
'shi'xiang'yu'zheng'di'er'zhan 时相与争地而战
'shi'xiao'shuo'yi'gan'xian'ling 饰小说以干县令
'shi'xin'qing'hu 是信情乎
'shi'xing'fei'yang 使性飞扬
'shi'xing'yu'su'zhe 失性于俗者
'shi'xu'yi'ji'xi 是胥易技系
'shi'xue'qi'xing'zhe'ye 是削其性者也
'shi'yan'bu'jie'ren 事焉不借人
'shi'yan'zhe 失焉者
'shi'ye 事也
'shi'ye 时也
'shi'ye'bu'tong 事业不同
'shi'ye'wo'yi'nv'wei'sheng'ren'xie 始也我以女为圣人邪
'shi'ye'wu'yi'nan'mian'er'jun'tian'xia 始也吾以南面而君天下
'shi'ye'wu'yi'wei'qi'ren'ye 始也吾以为其人也
'shi'yi'bi'ye 是亦彼也
'shi'yi'bu'gan 是以不敢
'shi'yi'bu'guo'hu'kun'lun 是以不过乎昆仑
'shi'yi'da'luan 是以大乱
'shi'yi'dao'bu'yu 是以道不渝
'shi'yi'er'hou'li 失义而后礼
'shi'yi'fen'yi 是以分已
