'a'ba'duo'na'duo 阿巴多纳多
'kan'pan'tai'si 坎潘泰斯
'kan'pei'er 坎佩尔
'kan'po 坎珀
'kan'pu'bo'lei 坎普伯雷
'kan'qie'er'si'ji 坎切尔斯基
'kan'ta'lei'er 坎塔雷尔
'kan'ta'lu'pi 坎塔卢皮
'kan'te'er'bo'ge 坎特尔伯格
'kan'tong'na 坎通纳
'kan'yu'sai'er 坎于塞尔
'kang'sai'pu'xi'weng 康塞普西翁
'kang'si'bei 康斯贝
'kang'si'tan'ding'ni'di'si 康斯坦丁尼迪斯
'kang'si'wen'ge 康斯文格
'kang'suo'li'ni 康索利尼
'kang'xi'di'ni 康西迪尼
'kao'ai'da'xi'er'wa 考埃达席尔瓦
'kao'bo'shen'bao 考波什堡
'kao'deng'bi'si 考登比斯
'kao'er'si'jia'de 考尔斯加德
'kao'fu 考夫
'kao'wen'chui 考文垂
'ke'ai'li'ao 科埃利奥
'ke'ai'lue 科埃略
'ke'bi'lei'luo'ya 科比雷罗亚
'ke'bi'li'ke 科比利克
'ke'bi'li'sa'er 科比里萨尔
'ke'bi'ya'shi'wei'li 科比亚什维利
'ke'bi'ya'shi'wei'li 科比亚施维利
'ke'bo'la 科波拉
'ke'bu'lun'ci 科布伦茨
'ke'chang 客场
'ke'da 科达
'ke'da'sai'ne'ke 科达塞讷克
'ke'de'lei'ya 科德雷亚
'ke'di'ai 科迪埃
'ke'di'li'pei'si'ke 科蒂里培斯科
'ke'di'na 科迪纳
'ke'en'de'si 科恩德斯
'ke'er'da'luo 科尔达罗
'ke'er'da'zi 科尔达兹
'ke'er'de 科尔德
'ke'er'duo 科尔多
'ke'er'duo'ba 科尔多巴
'ke'er'duo'ba'wo'lan'wa 科尔多巴沃兰瓦
'ke'er'ji'nie'ci 科尔济涅茨
'ke'er'ji'nuo'wei'ke 克尔基诺维克
'ke'er'kan'sai'li'kai 科尔坎塞利凯
'ke'er'ke'lan 克尔克兰
'ke'er'ke'lan 科尔科兰
'ke'er'ke'lei'si 科尔科雷斯
'ke'er'lei'en 科尔雷恩
'ke'er'lu'ka 科尔卢卡
'ke'er'nei'li'sai 科尔内里塞
'ke'er'nei'li'si 科尔内利斯
'ke'er'nie'ci'ji 科尔涅茨基
'ke'er'pa'er'te 科尔帕尔特
'ke'er'sa 科尔萨
'ke'er'si'di'en'si 科尔斯蒂恩斯
'ke'er'si'ta'ji'qi 科尔斯塔季奇
'ke'er'si'ta'yi'qi 克尔斯塔伊奇
'ke'er'te'si 科尔特斯
'ke'er'tuo'er'di 科尔托尔蒂
'ke'er'tuo'yi'si 科尔托伊斯
'ke'er'wei'ya 科尔维亚
'ke'er'zha'ke'fu 克尔扎科夫
'ke'er'zha'ke'fu 科尔扎科夫
'ke'ji'nie'ci 科济涅茨
'ke'ji'si'jia'de 科吉斯加德
'ke'ke 科科
'ke'ke'cheng 科克城
'ke'ke'lan 科克兰
'ke'ke'she'tao 科克舍套
'ke'ke'wei'qi 可可维奇
'ke'ku 科库
'ke'kui'mu'bo 科奎姆波
'ke'la'bi'er'si 克拉比尔斯
'ke'la'ci 克拉茨
'ke'la'di 科拉迪
'ke'la'di'ni 科拉迪尼
'ke'la'duo'ke 克拉多克
'ke'la'duo'ke'long'bo 科拉多科隆博
'ke'la'fu'te 克拉夫特
'ke'la'ke'sen 克拉克森
'ke'la'lai'si 科拉莱斯
'ke'la'lei'si 科拉雷斯
'ke'la'lei'zhen 克拉雷镇
'ke'la'li'fu 克拉利夫
'ke'la'luo'fu 科拉罗夫
'ke'la'mo 克拉默
'ke'la'ni 克拉尼
'ke'la'ni'cha'er 克拉尼察尔
'ke'la'pa'er'te 克拉帕尔特
'ke'la'shi'ni'qi 克拉什尼奇
'ke'la'tuo'shen'wei'er 克拉托什维尔
'ke'la'yi'a'fu'xi 科拉伊阿夫希
'ke'la'yue'wa'luo'da'xue 克拉约瓦罗大学
'ke'lai'ao'zi'tu'er'ke 科莱奥兹图尔克
'ke'lai'bo'ao'li'wei'la 克莱伯奥利维拉
'ke'lai'bo'sang'ta'na 克莱伯桑塔纳
'ke'lai'bo'sen 克莱伯森
'ke'lai'dun'ze'wei'er 克莱顿泽维尔
'ke'lai'er'si'hai'mu 克赖尔斯海姆
'ke'lai'ge 克莱格
'ke'lai'ge'bi'di 克莱格比蒂
'ke'lai'man'ning 科莱曼宁
'ke'lai'men'te 克莱门特
'ke'lai'meng'te 克莱蒙特
'ke'lai'sen'si 克莱森斯
'ke'lai'wei 克莱维
'ke'lai'wei'er 克莱韦尔
'ke'lai'yi'teng 科莱伊滕
'ke'lan'tu'ao'nuo 科兰图奥诺
'ke'lao'de'dai'wei'si 克劳德戴维斯
'ke'lao'de'mi'er 克劳德米尔
'ke'lao'di'ao 克劳迪奥
'ke'lao'di'ao'ai'lei'la 克劳迪奥埃雷拉
'ke'lao'di'ao'bei'lu'qi 克劳迪奥贝卢奇
'ke'lao'di'ao'bu'la'wo 克劳迪奥布拉沃
'ke'lao'di'ao'fei'la'lei'si 克劳迪奥费拉雷斯
'ke'lao'di'ao'lei'na 克劳迪奥雷纳
'ke'lao'di'ao'pi'te'bu'er 克劳迪奥皮特布尔
'ke'lao'di'nuo'luo'pei'si 克劳迪诺洛佩斯
'ke'lao'qi 克劳奇
'ke'lao'si 克劳斯
'ke'lao'si'ao'gen'ta'le 克劳斯奥根塔勒
'ke'lao'si'bo'la'er'sen 克劳斯博拉尔森
'ke'lao'si'fa'er'lun'ding 克劳斯法尔伦丁
'ke'lao'si'fu'lan'de'sen 克劳斯弗兰德森
'ke'lao'si'mo'te'sen 克劳斯莫特森
'ke'lao'si'ni'er'sen 克劳斯尼尔森
'ke'lao'si'tang'mu'sen 克劳斯汤姆森
'ke'lao'si'yue'han'sen 克劳斯约翰森
'ke'lao'ze 克劳泽
'ke'le'er 科勒尔
'ke'le'ke 克勒克
'ke'le'ni'ka'er'ben 科勒尼卡尔本
'ke'le'wei'er 克勒韦尔
'ke'le'wei'er 克勒维尔
'ke'lei'bu 克雷布
'ke'lei'bu'si 克雷布斯
'ke'lei'di'en 克雷蒂恩
'ke'lei'ge'jia'de'na 克雷格加德纳
'ke'lei'ge'mu'er 克雷格穆尔
'ke'lei'meng'ni'si 克雷蒙尼斯
'ke'lei'mu'sai'la'si 科雷姆塞拉斯
'ke'lei'si'bo 克雷斯波
'ke'lei'tai'yi 克雷泰伊
'ke'li 科利
'ke'li'ba'li 克里巴里
'ke'li'ci'pei'la 克利茨佩拉
'ke'li'di'ba 科里迪巴
'ke'li'fu'ba'si 克利夫巴斯
'ke'li'fu'deng'cheng 克利夫登城
'ke'li'ke'ya 克里克亚
'ke'li'ma 科利马
'ke'li'mo'wei'ci 克里莫维茨
'ke'li'mo'wei'ci 克利莫维茨
'ke'li'mo'wei'qi 克利莫维奇
'ke'li'na 克里纳
'ke'li'ni 科里尼
'ke'li'qi 克利奇
'ke'li'sang'tu'si 克里桑图斯
'ke'li'si 克里斯
'ke'li'si'an'tu'si 克里斯安图斯
'ke'li'si'bai'er'de 克里斯拜尔德
'ke'li'si'bo'te 克里斯波特
'ke'li'si'bu'ke 克里斯布克
'ke'li'si'di'an 克里斯蒂安
'ke'li'si'di'an'a'er'wa'lei'si 克里斯蒂安阿尔瓦雷斯
'ke'li'si'di'an'a'mo'lu'suo 克里斯蒂安阿莫鲁索
'ke'li'si'di'an'ha'mo'er 克里斯蒂安哈默尔
'ke'li'si'di'an'ji'an 克里斯蒂安吉安
'ke'li'si'di'an'ke'le 克里斯蒂安科勒
'ke'li'si'di'an'lai'de'si'ma 克里斯蒂安莱德斯马
'ke'li'si'di'an'lai'er 克里斯蒂安莱尔
'ke'li'si'di'an'lei'wa 克里斯蒂安雷瓦
'ke'li'si'di'an'mu'le 克里斯蒂安穆勒
'ke'li'si'di'an'sen 克里斯蒂安森
'ke'li'si'di'an'tai'li'ji 克里斯蒂安泰利济
'ke'li'si'di'an'wei'bo 克里斯蒂安韦伯
'ke'li'si'di'an'wei'hai'er'mu'sen 克里斯蒂安维海尔姆森
'ke'li'si'di'an'yang'sen 克里斯蒂安扬森
'ke'li'si'di'an'zan'pa'ta 克里斯蒂安赞帕塔
'ke'li'si'di'ya'nuo 克里斯蒂亚诺
'ke'li'si'di'ya'nuo'lu'ka'lei'li 克里斯蒂亚诺卢卡雷利
'ke'li'si'di'ya'nuo'luo'na'er'duo 克里斯蒂亚诺罗纳尔多
'ke'li'si'ke'la'ke 克里斯克拉克
'ke'li'si'qi 克里斯奇
'ke'li'si'sa'dun 克里斯萨顿
'ke'li'si'shi'mi'si 克里斯史密斯
'ke'li'si'tan 克里斯坦
'ke'li'si'tan'luo'de'li'ge'zi 克里斯坦罗德里格兹
'ke'li'si'tan'te 克里斯坦特
'ke'li'si'tan'wa'er 克里斯坦瓦尔
'ke'li'si'te 克里斯特
'ke'li'si'te'luo 克里斯特洛
'ke'li'si'tuo'fo 克里斯托佛
'ke'li'si'tuo'fu 克里斯托弗
'ke'li'si'tuo'fu'dao'mu 克里斯托弗道姆
'ke'li'si'tuo'fu'er'sen 克里斯托夫尔森
'ke'li'si'tuo'fu'gang 克里斯托弗冈
'ke'li'si'tuo'fu'ge'lei'gao'li 克里斯托弗格雷高里
'ke'li'si'tuo'fu'ma'ding 克里斯托弗马丁
'ke'li'si'tuo'fu'mei'ce'er'de 克里斯托夫梅策尔德
'ke'li'si'tuo'fu'wei'bo 克里斯托夫韦伯
'ke'li'wei'qi 克里维奇
'ke'li'xi 克利希
'ke'li'xi'tuo 克里西托
'ke'li'xi'tuo 克里希托
'ke'lin 克林
'ke'lin'bei'er 克林贝尔
'ke'lin'ge 克林格
'ke'lin'te'pu'li'ci'ya 克林特普里茨亚
'ke'lin'xi'an 克林西安
'ke'long 科隆
'ke'long'bo 科隆博
'ke'long'de'li 克隆德利
'ke'long'huo'er'mu 克隆霍尔姆
'ke'long'huo'er'mu 克龙霍尔姆
'ke'long'kan'pu 克隆坎普
'ke'lu'bo'wei'sa 克鲁波维萨
'ke'lu'cha'jia 克鲁查加
'ke'lu'er 克鲁尔
'ke'lu'er'si 克鲁尔斯
'ke'lu'ge 克卢格
'ke'lu'ke'fu'si'ji 克卢科夫斯基
'ke'lu'sai'luo 克鲁塞罗
'ke'lu'si'ka 克鲁斯卡
'ke'lu'yi'fu 克鲁伊夫
'ke'lu'yi'si 克鲁伊斯
'ke'lu'yi'si'wei'ke 克鲁伊斯维克
'ke'lu'yi'wei'te 克鲁伊维特
'ke'lu'zi 克鲁兹
'ke'lu'zi'jing'cha 克鲁兹警察
'ke'luo'de'lu'pu 克罗德鲁普
'ke'luo'di'li'si 克罗蒂里斯
'ke'luo'di'ya'di'na'mo 克罗地亚迪纳摩
'ke'luo'di'ya'lian'sai 克罗地亚联赛
'ke'luo'er 克罗尔
'ke'luo'er'de'lu'pu 克罗尔德鲁普
'ke'luo'ge'na 克洛格纳
'ke'luo'kan'pu 克罗坎普
'ke'luo'ke'luo 科洛科洛
'ke'luo'la'duo'ji'liu 科罗拉多急流
'ke'luo'mu'kong 科洛姆孔
'ke'luo'na 科罗纳
'ke'luo'peng'bao 克洛蓬堡
'ke'luo'peng'bao 克洛彭堡
'ke'luo'pu 克洛普
'ke'luo'qi'ni 科洛齐尼
'ke'luo'qi'ni 科洛奇尼
'ke'luo'sa'si 科罗萨斯
'ke'luo'si 克洛斯
'ke'luo'si 克罗斯
'ke'luo'tu'lei 科洛图雷
'ke'luo'tuo'nei 克罗托内
'ke'luo'yi'er'si 克罗伊尔斯
'ke'luo'ze 克洛泽
'ke'ma'er'ao'ke'ya'yi 科马尔奥克亚伊
'ke'ma'er'yi'er'di'li'mu 科马尔伊尔迪里姆
'ke'ma'la'pu'ming 克马拉普明
'ke'mei 科梅
'ke'mi'suo 科米索
'ke'mo 科莫
'ke'mo'er'ni'ci'ji'bo'di'ya 科莫尔尼茨基波蒂亚
'ke'mo'ke'ka'ma'la 科莫科卡马拉
'ke'mo'tuo 科莫托
'ke'na'de'ai'li'ke'fei'si'ke'er 科纳德埃里克费斯科尔
'ke'na'de'sen 科纳德森
'ke'nan 科南
'ke'nan'kui'yi 科南奎伊
'ke'nei 科内
'ke'nei'ci'ji 科内茨基
'ke'nei'ze'wei'qi 克内泽维奇
'ke'nei'ze'wei'qi 科内泽维奇
'ke'ni'ya'ti'yu 科尼亚体育
'ke'nu'ke'yi'si'mai'er 科努克伊斯迈尔
'ke'pei'er 科佩尔
'ke'pi'ya'bo 科皮亚波
'ke'pu'li'wei'qi 科普里维奇
'ke'pu'te'fu 科普特夫
'ke'qi'ni'ci 科齐尼茨
'ke'qie'si'te'lian 科切斯特联
'ke'ri'nuo'wei'ke 克日诺韦克
'ke'ri'nuo'wei'ke 克日诺维克
'ke'sa'na'wei'xiu'si 克萨纳维修斯
'ke'sen'di'nuo 科森蒂诺
'ke'si'di'er 科斯蒂尔
'ke'si'di'ni'ya 科斯蒂尼亚
'ke'si'mi 科斯米
'ke'si'mo'pa'lun'bo 科斯莫帕伦博
'ke'si'ta 科斯塔
'ke'si'ta'di'nuo'fu 科斯塔迪诺夫
'ke'si'ta'ji'qi 科斯塔基奇
'ke'si'tan'di'ni 科斯坦蒂尼
'ke'su 科苏
'ke'ta'du'er 科塔杜尔
'ke'te'bu'si 科特布斯
'ke'te'lai'ke'zu'qiu'ju'le'bu 科特赖克足球俱乐部
'ke'te'li'er 科特里尔
'ke'te'luo 科特洛
'ke'te'si 科特斯
'ke'te'xi'er 科特希尔
'ke'wa'lian'ke 科瓦连科
'ke'wa'qi 科瓦奇
'ke'wei'er 科威尔
'ke'wei'man'si 科维曼斯
'ke'wei'ni'ao 科维尼奥
'ke'wo'er'ning 克沃尔宁
'ke'xi'sa'ka 科希萨卡
'ke'yi'ji'li 科伊基利
'ke'zha 科扎
'ke'zi'le'kai'sa 克孜勒凯撒
'ke'zi'ni'ci 科兹尼茨
'ke'zuo'li'nuo 科佐里诺
'ken'ni'di 肯尼迪
'ken'ni'ke'nuo'li 肯尼科诺利
'ken'ni'shi'mi'te 肯尼施密特
'ken'ni'tang'pu'xun 肯尼汤普逊
'ken'pei'ni'er 肯佩尼尔
'ken'te'bo'ge'lun'de 肯特博格伦德
'ken'wei'ni 肯维尼
'ken'wei'ni'qiong'si 肯维尼琼斯
'kong'cha 孔查
'kong'di 孔蒂
'kong'di'ni 孔蒂尼
'kong'di'qi'wo 孔蒂奇沃
'kong'pa'ni 孔帕尼
'kong'qie'si'ji 孔切斯基
'kong'qiu'dong'zuo'fei'chang'you'ya 控球动作非常优雅
'kong'qiu'dong'zuo'zuo'de'hen'hao 控球动作做得很好
'kong'qiu'hou'shi'tu'zhuan'shen 控球后试图转身
'kong'qiu'ji'shu 控球技术
'kong'qiu'shi'wu 控球失误
'kong'te'la 孔特拉
'kong'te'lei'la'si 孔特雷拉斯
'kong'zhi'qiu 控制球
'kong'zhi'yi'xia'bi'sai'jie'zou 控制一下比赛节奏
'kong'zhi'zhong'chang 控制中场
'kong'zhi'zhu'qiu 控制住球
'kong'zhong'bai'du 空中摆渡
'kong'zhong'zheng'ding 空中争顶
'ku'ao'ka'pi'nuo 库奥卡皮诺
'ku'ao'pi'ao 库奥皮奥
'ku'ba 库巴
'ku'bi'li'er 库比利尔
'ku'ci'zha'ke 库茨扎克
'ku'di'qi'ni 库迪奇尼
'ku'er'bei'luo 库尔贝罗
'ku'er'di'si'dai'wei'si 库尔蒂斯戴维斯
'ku'er'ding'jing'ji 库尔丁竞技
'ku'er'duo'fu 库尔多夫
'ku'er'sa'te'du'yi'mu'si 库尔萨特杜伊穆斯
'ku'er'si'ji'si 库尔斯基斯
'ku'er'te'ya'la 库尔特亚拉
'ku'er'tu'wa 库尔图瓦
'ku'er'wei'ke 库尔维克
'ku'fei'er'su'mu 库菲尔苏姆
'ku'fu'er 库福尔
'ku'fu'lei 库弗雷
'ku'han'yan'jiu'suo 库汉研究所
'ku'ji'er'ka 库基尔卡
'ku'kai'er'ka 库凯尔卡
'ku'ku'ta'jing'ji 库库塔竞技
'ku'la'xia'ji'du'ke 库拉夏积杜克
'ku'lan'te 库兰特
'ku'lan'yi 库兰伊
'ku'li'ba'li 库利巴利
'ku'li'na 库利纳
'ku'li'ya'kan'jian'yu 库利亚坎剑鱼
'ku'lie'sa'lei 库列萨雷
'ku'luo'tuo'lei'si 库罗托雷斯
'ku'mu'hu'er'bo'zha'xi 库姆胡尔博扎西
'ku'na'te 库纳特
'ku'nei'er'te 库内尔特
'ku'pei 库佩
'ku'pei'lu'si 库佩鲁斯
'ku'pei'te 库佩特
'ku'qie'la 库切拉
'ku'sai'la 库塞拉
'ku'shen'qia'ke 库什恰克
'ku'si'bei'te 库思贝特
'ku'si'tuo'wei'qi 库斯托维奇
'ku'tuo 库托
'ku'ya'te 库亚特
'ku'yi'lei'te 库伊雷特
'ku'yi'te 库伊特
'ku'yue'wei'qi 库约维奇
'ku'zi'man'nuo'wei'qi 库兹曼诺维奇
'ku'zi'zha'ke 库兹扎克
'kua'de'la'duo 夸德拉多
'kua'er'te'luo 夸尔特罗
'kua'lei'si'ma 夸雷斯马
'kua'li'ya'lei'la 夸利亚雷拉
'kuai'su'cha'shang 快速插上
'kuai'su'fan'ji 快速反击
'kuai'su'pao'dong'jie'zhu'pi'qiu 快速跑动接住皮球
'kuai'su'yun'qiu 快速运球
'kuang'shi'lian 矿石联
'kui'de'lu 奎德鲁
'kui'er'xi'ya 奎尔西亚
'kui'la'er 奎拉尔
'kui'li'ya'er 奎利亚尔
'kui'luo'jia 奎罗加
'kui'luo'si 奎罗斯
'kui'mu 奎姆
'kui'wei'er 奎维尔
'kun'bu'lan'cheng 昆布兰城
'kun'shi'bai'liu'lang 昆士柏流浪
'kun'shi'lan'shi'hou 昆士兰狮吼
'kun'shi'lan'ti'yu'xue'hui 昆士兰体育学会
'la'bi'ao'la 拉比奥拉
'la'bi'wu'yi'bu'la'xin 拉比乌易卜拉欣
'la'bo'ci'ji 拉博茨基
'la'bo'te'ni'qi'ke 拉博特尼奇科
'la'cha'mu'bu'lei 拉查姆布雷
'la'da'nuo'wei'qi 拉达诺维奇
'la'de'ke'li'fu'zi'zhi'qu 拉德克利夫自治区
'la'de'li'qi 拉德利奇
'la'de'ni'ke 拉德尼克
'la'di'ni'ao 拉蒂尼奥
'la'du 拉杜
'la'duo'wa'nuo'wei'qi 拉多瓦诺维奇
'la'en 拉恩
'la'er'fu'lan'ni'ke 拉尔夫兰尼克
'la'er'fu'shi'mi'te 拉尔夫施米特
'la'er'sen 拉尔森
'la'er'si'bi'de'he'er'man'sen 拉尔斯彼得赫尔曼森
'la'er'si'bo'er'sen 拉尔斯波尔森
'la'er'si'bo'lun'bi'yue'ge'han'sen 拉尔斯伯伦比约格汉森
'la'er'si'ha'er'si'ke'fu 拉尔斯哈尔斯科夫
'la'er'si'huo'jie'ni'er'sen 拉尔斯霍杰尼尔森
'la'er'si'jie'na'er 拉尔斯杰纳尔
'la'er'si'ke'li'si'tuo'fu'er'sen 拉尔斯克里斯托夫尔森
'la'er'si'lao'si'te'sen 拉尔斯劳斯特森
'la'er'si'mu'you'si'man 拉尔斯穆尤斯曼
'la'er'si'nuo'de'lun'de 拉尔斯诺德伦德
'la'er'si'suo'lun'sen 拉尔斯索伦森
'la'fa'ai'er 拉法埃尔
'la'fa'ai'er'ma'ke'si 拉法埃尔马克斯
'la'fa'ai'er'wei'ji 拉法埃尔维基
'la'fei'er 拉斐尔
'la'fei'er'ba'si'tuo'si 拉斐尔巴斯托斯
'la'fei'er'bu'la'ka'li 拉斐尔布拉卡利
'la'fei'er'de'ma'er'di'nuo 拉斐尔德马尔蒂诺
'la'fei'er'fa'wa 拉斐尔法瓦
'la'fei'er'mo'la 拉斐尔莫拉
'la'fei'er'pa'la'di'nuo 拉菲尔帕拉迪诺
'la'fei'er'wo'er'fu 拉斐尔沃尔夫
'la'fei'er'xi'er'wa 拉斐尔席尔瓦
'la'fei'la'jing'ji 拉斐腊竞技
'la'fei'ni'ya 拉菲尼亚
'la'fu'en'te 拉富恩特
'la'fu'li'qi 拉夫里奇
'la'gu'ai'de 拉古埃德
'la'he'di 拉赫蒂
'la'he'man'lei'zha'yi 拉赫曼雷扎伊
'la'ji'ao'jia'li'ba'er'di 拉吉奥加里巴尔迪
'la'ji'di'qi 拉基蒂奇
'la'ji'qi 拉基奇
'la'ka'ze'te 拉卡泽特
'la'kai'de'zu'qiu'zhan'shu 拉开的足球战术
'la'ke'er 拉科尔
'la'ke'lu'ni'ya 拉科鲁尼亚
'la'ke'lu'zi 拉克鲁兹
'la'ke'luo'si 拉克罗斯
'la'kua'yi'te 拉夸伊特
'la'kui'jing'ji 拉奎竞技
'la'lan'ye'luo 拉兰耶罗
'la'li'wei 拉里维
'la'ma 拉马
'la'ma'si'lian 拉马斯联
'la'ma'zan'ku'er'su'en'lu 拉马赞库尔苏恩鲁
'la'mai 拉迈
'la'man'di'ya 拉曼蒂亚
'la'mei 拉梅
'la'mei'luo 拉梅洛
'la'mei'zi'ya 拉梅兹亚
'la'mi'lao 拉米劳
'la'mi'lei'si 拉米雷斯
'la'mi'nei'di'ya'ta 拉米内迪亚塔
'la'mi'nei'te'lao'lei 拉米内特劳雷
'la'ming'si'ke'tu'xing 拉明斯克土星
'la'mo'si 拉莫斯
'la'mu 拉姆
'la'mu'lin'gen 拉姆林根
'la'mu'pa'qing'nian 拉姆帕青年
'la'mu'sa 拉姆萨
'la'mu'si'gai'te 拉姆斯盖特
'la'nei'ge'luo'jing'ji 拉内格罗竞技
'la'nie'li 拉捏利
'la'nu'nie'si 拉努涅斯
'la'pu'la'ta'da'xue'sheng 拉普拉塔大学生
'la'pu'la'ta'ti'cao 拉普拉塔体操
'la'pu'ni'ke 拉普尼克
'la'qi'ao 拉齐奥
'la'sa'na'di'ya'la 拉萨纳迪亚拉
'la'sai'ke'li'si'di'an'sen 拉塞克里斯蒂安森
'la'sai'lei'na 拉塞雷纳
'la'shi'tu'fu'ka 拉什图夫卡
'la'si 拉斯
'la'si'lang'de 拉斯朗德
'la'si'li 拉斯利
'la'si'mu'sen 拉斯穆森
'la'si'mu'zi 拉斯穆兹
'la'si'mu'zi'han'sen 拉斯穆兹汉森
'la'si'pa'er'ma'si 拉斯帕尔马斯
'la'si'pa'er'ma'si'lian 拉斯帕尔马斯联
'la'si'tu'fu'ka 拉斯图夫卡
'la'te'ge'bei 拉特格贝
'la'te'ge'bu 拉特格布
'la'te'na'mu 拉特纳姆
'la'wa'ge'na 拉瓦格纳
'la'wa'nei'li 拉瓦内利
'la'wei'xi'ya 拉维希亚
'la'xi'mu'ou'de'la'ge 拉希姆欧德拉戈
'la'xi'ya'ke 拉西亚克
'la'yi'ke'wei'qi 拉伊科维奇
'la'ze'di'qi 拉泽蒂奇
'la'zha'li 拉扎里
'la'zha'luo'ni 拉扎罗尼
'la'zuo'wei'qi 拉佐维奇
'lai'ang 莱昂
'lai'ang'ao'si'man 莱昂奥斯曼
'lai'ang'de'luo 莱昂德罗
'lai'ang'de'luo'ba'li'ao'si 莱昂德罗巴里奥斯
'lai'ang'de'luo'cha'wei'si 莱昂德罗查韦斯
'lai'ang'de'luo'li'ma 莱昂德罗利马
'lai'ang'de'luo'li'nuo'duo 莱昂德罗里诺多
'lai'ang'de'luo'ma'ding'nei'si 莱昂德罗马丁内斯
'lai'ang'de'luo'pi'men'ta 莱昂德罗皮门塔
'lai'ang'na'duo 莱昂纳多
'lai'ang'na'duo'ke'lu'qi 莱昂纳多科卢奇
'lai'ao 莱奥
'lai'ao'bang'fei'mu 莱奥邦菲姆
'lai'ao'fo'lang'ge 莱奥佛朗哥
'lai'ao'nei'er 莱奥内尔
'lai'ao'ni 莱奥尼
'lai'ao'wei'luo'suo 莱奥维罗索
'lai'bao'rui'ni 莱堡瑞尼
'lai'de'li'jin 莱德利金
'lai'de'si'ma 莱德斯马
'lai'di'qi 莱蒂齐
'lai'dun 莱顿
'lai'er 莱尔
'lai'er'xi'er 莱尔希尔
'lai'fu'bi'de'sen 赖弗彼德森
'lai'ge'ni'cha 莱格尼察
'lai'ke 莱科
'lai'ke'dun'en 莱克顿恩
'lai'ke'zi'na 莱克兹纳
'lai'li'ya'jing'ji 莱里亚竞技
'lai'luo'ta'lie 莱罗塔列
'lai'man 莱曼
'lai'mu'bo'ke 莱姆博克
'lai'qi'ya 莱齐亚
'lai'qie 莱切
'lai'qie'si'te'cheng 莱切斯特城
'lai'shen'liu'lang'zhe 莱什流浪者
'lai'si'jia'de 莱斯加德
'lai'si'kao'te 莱斯考特
'lai'si'ke'te 莱斯科特
'lai'te'fei'li'pu'si 赖特菲利普斯
'lai'wa'di'ya 莱瓦迪亚
'lai'wa'ka'bei'xi 莱瓦卡贝西
'lai'wan'te 莱万特
'lai'yin'ha'de 赖因哈德
'lai'yin'ha'ke 赖因哈克
'lai'yin'ha'te 莱茵哈特
'lai'yin'ha'te 赖因哈特
'lai'zi'ding'si 莱兹丁斯
'lan'dao'er 兰道尔
'lan'de'er'zi 兰德尔兹
'lan'du'tu'bi 兰杜图比
'lan'gai'luo'fu 兰盖洛夫
'lan'ge'er 兰格尔
'lan'ge'fei'er'de 兰格菲尔德
'lan'ge'luo'fu 兰格洛夫
'lan'jia'ge'jia'de 兰加格加德
'lan'kai'si'te'cheng 兰开斯特城
'lan'kan'pu 兰坎普
'lan'ke'wei'qi 兰科维奇
'lan'mo'qiu'mi'ju'le'bu 蓝魔球迷俱乐部
'lan'pa'de 兰帕德
'lan'pei'tan'po 兰佩坦珀
'lan'pu'lei'xi'te 兰普雷希特
'lan'se'shen'hai 蓝色申海
'lan'si'bu'li 兰斯布里
'lan'xi'an'nu 兰西安奴
'lan'zha'lei'di'gu'si'ta'wo 兰扎雷蒂古斯塔沃
'lan'zha'lu'te 蓝扎卢特
'lan'zha'luo 兰扎罗
'lan'zha'te 兰扎特
'lang'de'luo 朗德罗
'lang'dui 狼队
'lang'kan'pu 朗坎普
'lang'si 朗斯
'lang'si'bo'li 朗斯伯利
'lao'de'lu'pu 劳德鲁普
'lao'er 劳尔
'lao'er'a'er'bi'ao'er 劳尔阿尔比奥尔
'lao'er'bu'la'wo 劳尔布拉沃
'lao'er'ge'ni 劳尔戈尼
'lao'er'jia'xi'ya 劳尔加西亚
'lao'er'mei'lei'le'si 劳尔梅雷勒斯
'lao'er'sen 劳尔森
'lao'huo'ji'ni'bo'er 老伙计尼泊尔
'lao'li'tuo 劳里托
'lao'lun 劳伦
'lao'lun'di 劳伦蒂
'lao'mo'la'di 老莫拉蒂
'lao'si'te'sen 劳斯特森
'lao'te 劳特
'lao'wo'xin'wen'lian'he'hui 老挝新闻联合会
'le'bei'si 乐倍思
'le'bo'si'tuo'lei'qi 勒波斯托雷奇
'le'er'he'er 勒尔赫尔
'le'fu'qin'ke 勒夫琴科
'le'ke'luo'mu 勒克罗姆
'le'luo'ji'qi 勒罗济奇
'le'mai'te'lei 勒麦特雷
'le'mang 勒芒
'le'pi'le'er 勒皮勒尔
'le'si'ku'lei 勒斯库雷
'le'ta'lei'qi 勒塔雷奇
'le'wen'ke'lan'si 勒文克兰斯
'le'wen'te'na'lin'xi 勒文特纳林希
'le'wo'ku'sen 勒沃库森
'le'wo'ku'sen'er'dui 勒沃库森二队
'lei'ao'ke'ke'er 雷奥科克尔
'lei'ao'ta 雷奥塔
'lei'deng'ge'san'nuo 雷登哥散诺
'lei'di'en'di'ya'ye 雷蒂恩迪亚耶
'lei'di'qi'lian 雷迪奇联
'lei'ding 雷丁
'lei'en 雷恩
'lei'en'fu'lang'mu 雷恩弗郎姆
'lei'en'heng'li'ke'sen 雷恩亨里克森
'lei'en'ke'li'si'teng'sen 雷恩克里斯滕森
