'ai'ci'qiong'du 哀此茕独
'jing'jiu'bai'mu 井九百亩
'jing'ren 敬人
'jing'shang'you'li 井上有李
'jing'shi'ling'tai 经始灵台
'jing'shi'wu'ji 经始勿亟
'jing'zhi'ying'zhi 经之营之
'jing'zi'yue 景子曰
'jiu'min'yu'shui'huo'zhi'zhong 救民於水火之中
'jiu'you'fei'ma 厩有肥马
'jiu'yu'qi 久於齐
'jiu'ze'nan'bian'ye 久则难变也
'jiu'zhi 救之
'jiu'zhi'er'bu'jian'suo'wei'yan 就之而不见所畏焉
'ju'bei'hai'zhi'bin 居北海之滨
'ju'da'xiao'tong 屦大小同
'ju'dong'hai'zhi'bin 居东海之滨
'ju'ji'shou'cu'er'xiang'gao'yue 举疾首蹙而相告曰
'ju'jian'shi'wu 句践事吴
'ju'ju'xiao'ju'tong'jia 巨屦小屦同贾
'ju'shi'zhi'suo'mu 巨室之所慕
'ju'shun'er'fu'zhi'yan 举舜而敷治焉
'ju'tian'xia'zhi'guang'ju 居天下之广居
'ju'xia'wei'er'bu'huo'yu'shang 居下位而不获於上
'ju'xin'xin'ran'you'xi'se'er'xiang'gao'yue 举欣欣然有喜色而相告曰
'ju'xing 距行
'ju'xiu 居休
'ju'yang 距杨
'ju'yu'ling 居於陵
'ju'yu'lou'xiang 居於陋巷
'ju'zhi'an 居之安
'juan'jie 捐阶
'jue'ji'bu'chou 厥疾不瘳
'jue'ru 决汝
'jue'yi 爵一
'jun'bu'xing'ren'zheng'er'fu'zhi 君不行仁政而富之
'jun'chen'you'yi 君臣有义
'jun'chen'zhu'jing 君臣主敬
'jun'hong 君薨
'jun'jie'zai'wei 俊杰在位
'jun'ming'zhao'bu'yi'jia 君命召不矣驾
'jun'qing'ze'yu'si'er'zhe 君请择於斯二者
'jun'ren'mo'bu'ren 君仁莫不仁
'jun'ru'bi'he'zai 君如彼何哉
'jun'shei'yu'shou 君谁与守
'jun'shi'ye 君事也
'jun'shi'yi'bu'guo'lai'ye 君是以不果来也
'jun'wei'lai'jian'ye 君为来见也
'jun'wu'jian'yan 君无见焉
'jun'wu'you'yan 君无尤焉
'jun'xi'wei'bu'jian'meng'ke'ye 君奚为不见孟轲也
'jun'xing'ren'zheng 君行仁政
'jun'yi'mo'bu'yi 君义莫不义
'jun'zai'shun'ye 君哉舜也
'jun'zheng'mo'bu'zheng 君正莫不正
'jun'zhi'min 君之民
'jun'zhi'shi'chen'ru'quan'ma 君之视臣如犬马
'jun'zhi'shi'chen'ru'shou'zu 君之视臣如手足
'jun'zhi'shi'chen'ru'tu'jie 君之视臣如土芥
'jun'zi'bi'zi'fan'ye 君子必自反也
'jun'zi'bu'yi'qi'suo'yi'yang'ren'zhe'hai'ren 君子不以其所以养人者害人
'jun'zi'bu'yi'tian'xia'jian'qi'qin 君子不以天下俭其亲
'jun'zi'bu'you'ye 君子不由也
'jun'zi'bu'yuan'tian 君子不怨天
'jun'zi'chi'zhi 君子耻之
'jun'zi'chuan'zhi 君子传之
'jun'zi'chuang'ye'chui'tong 君子创业垂统
'jun'zi'fan'yi 君子犯义
'jun'zi'ping'qi'zheng 君子平其政
'jun'zi'shen'zao'zhi'yi'dao 君子深造之以道
'jun'zi'suo'yi'yi'yu'ren'zhe 君子所以异於人者
'jun'zi'yi'ren'cun'xin 君子以仁存心
'jun'zi'yi'wei'you'gao'ye 君子以为犹告也
'jun'zi'you'zhong'shen'zhi'you 君子有终身之忧
'jun'zi'yue 君子曰
'jun'zi'zhi'bu'jiao'zi 君子之不教子
'jun'zi'zhi'de'feng'ye 君子之德风也
'jun'zi'zhi'nan'shi 君子之难仕
'jun'zi'zhi'wei'dao'ye 君子之为道也
'jun'zi'zhi'yu'qin'shou'ye 君子之於禽兽也
'jun'zi'zhi'ze 君子之泽
'ke 可
'ke'bu'shen'yu 可不慎与
'ke'bu'yue'yue 客不悦曰
'ke'de'wen'hu 可得闻乎
'ke'de'wen'yu 可得闻与
'ke'fu'xu'hu 可复许乎
'ke'gao'yu'jun 克告於君
'ke'li'er'dai'ye 可立而待也
'ke'shi'er'shi'zhi'yi 可食而食之矣
'ke'shi'zhi'ting'yi'ta'qin'chu'zhi'jian'jia'li'bing'yi 可使制梃以挞秦楚之坚甲利兵矣
'ke'wei'xiao'yi 可谓孝矣
'ke'wei'yue'zhi 可谓曰知
'ke'wei'zhi'hu 可谓智乎
'ke'ye 可也
'ke'yi'bao'min'hu'zai 可以保民乎哉
'ke'yi'jie'you 可以解忧
'ke'yi'jiu'ze'jiu 可以久则久
'ke'yi'qu 可以取
'ke'yi'shi'ze'shi 可以仕则仕
'ke'yi'si 可以死
'ke'yi'su'ze'su 可以速则速
'ke'yi'wu'qu 可以无取
'ke'yi'wu'si 可以无死
'ke'yi'wu'yu 可以无与
'ke'yi'yu 可以与
'ke'yi'zhi'ze'zhi 可以止则止
'ke'yi'zhuo'wo'ying 可以濯我缨
'ke'yi'zhuo'wo'zu 可以濯我足
'ke'you'zui 克有罪
'ke'zhe'yi'wei'yin 渴者易为饮
'ke'zhi'yi 可知已
'ke'zhi'yi'yi 可之已矣
'ke'zuo'er'ding'ye 可坐而定也
'ke'zuo'er'zhi'ye 可坐而致也
'kong'qi'bu'neng'jin'yu'da'shi 恐其不能尽於大事
'kong'zi'bu'ju 孔子不居
'kong'zi'cheng'chun'qiu 孔子成春秋
'kong'zi'jian'zhi 孔子兼之
'kong'zi'ju 孔子惧
'kong'zi'san'yue'wu'jun'ze'huang'huang'ru'ye 孔子三月无君则皇皇如也
'kong'zi'xi'qu'yan 孔子奚取焉
'kong'zi'xian'zhi 孔子贤之
'kong'zi'ye 孔子也
'kong'zi'yi'qi'wang'ye 孔子亦其亡也
'kong'zi'yue 孔子曰
'kong'zi'zhi'dao'bu'zhu 孔子之道不著
'kou'chou'he'fu'zhi'you 寇雠何服之有
'kou'tui 寇退
'kou'tui'ze'fan 寇退则反
'kou'zhi 寇至
'kou'zhi'ze'xian'qu'yi'wei'min'wang 寇至则先去以为民望
'ku'qi'zhi'ai 哭泣之哀
'kuang'an'zhai'er'fu'ju 旷安宅而弗居
'kuang'yu'wei'zhi'qiang'zhan 况於为之强战
'kuang'zhang 匡章
'kuang'zhang'yue 匡章曰
'kuang'zhi'zhi'zhi 匡之直之
'kun'ju'zhi'xi'yi'wei'shi 捆屦织席以为食
'lai'chao'zou'ma 来朝走马
'lan'yu'tian'xia 滥於天下
'lan'yu'zhong'guo 滥於中国
'lao'er'bu'yuan 劳而不怨
'lao'er'wu'fu'yue'gua 老而无夫曰寡
'lao'er'wu'qi'yue'guan 老而无妻曰鳏
'lao'er'wu'zi'yue'du 老而无子曰独
'lao'lei'zhuan'yu'gou'he 老羸转於沟壑
'lao'li'zhe'zhi'yu'ren 劳力者治於人
'lao'ruo'kui'shi 老弱馈食
'lao'ruo'zhuan'hu'gou'he 老弱转乎沟壑
'lao'wu'lao 老吾老
'lao'xin'zhe'zhi'ren 劳心者治人
'lao'zhe'fu'xi 劳者弗息
'lao'zhe'yi'bo'shi'rou 老者衣帛食肉
'lao'zhi'lai'zhi 劳之来之
'le'jiu'wu'yan 乐酒无厌
'le'min'zhi'le'zhe 乐民之乐者
'le'qi'suo'yi'wang'zhe 乐其所以亡者
'le'qi'you'mi'lu'yu 乐其有麋鹿鱼
'le'qu'yu'ren'yi'wei'shan 乐取於人以为善
'le'si'er'zhe 乐斯二者
'le'sui'li'mi'lang'li 乐岁粒米狼戾
'le'sui'zhong'shen'bao 乐岁终身饱
'le'sui'zhong'shen'ku 乐岁终身苦
'le'tian'zhe'bao'tian'xia 乐天者保天下
'le'tian'zhe'ye 乐天者也
'le'yi'tian'xia 乐以天下
'le'ze'sheng'yi 乐则生矣
'lei'ye 类也
'li 礼
'li'bu'shan'ye 力不赡也
'li'lou'shang 离娄上
'li'lou'xia 离娄下
'li'lou'zhi'ming 离娄之明
'li'min'bu'bu'han 黎民不不寒
'li'min'bu'ji'bu'han 黎民不饥不寒
'li'ren'bu'da'fan'qi'jing 礼人不答反其敬
'li'ren'wei'mei 里仁为美
'li'tian'xia'zhi'zheng'wei 立天下之正位
'li'wei'jiu'jun'you'fu 礼为旧君有腹
'li'xia 礼下
'li'xian'wu'fang 立贤无方
'li'ye 礼也
'li'yi'you'xian'zhe'chu 礼义由贤者出
'li'yu 礼与
'li'yu'e'ren'zhi'chao 立於恶人之朝
'li'yue 礼曰
'li'ze'bu'xiang'mo'da'yan 离则不祥莫大焉
'li'zhi'duan'ye 礼之端也
'li'zhi'shi 礼之实
'lian'zhu'hou'zhe'ci'zhi 连诸侯者次之
'liang'bu'ke 良不可
'liang'di'er'hou'jin 量敌而後进
'liang'hui'wang'yue 梁惠王曰
'liang'hui'wang'zhang'ju'shang 梁惠王章句上
'liang'hui'wang'zhang'ju'xia 梁惠王章句下
'liang'ren'chu 良人出
'liang'ren'zhe 良人者
'liang'yue 良曰
'lin'guo'zhi'min'bu'jia'shao 邻国之民不加少
'liu'feng'shan'zheng 流风善政
'liu'lian'huang'wang 流连荒亡
'liu'xia'hui'bu'gong 柳下惠不恭
'liu'xia'hui'bu'xiu'wu'jun 柳下惠不羞污君
'long'zi'yue 龙子曰
'lu'ping'gong'jiang'chu 鲁平公将出
'lu'song'yue 鲁颂曰
'lu'you'fu 鹿攸伏
'lu'zhi'chun'qiu 鲁之春秋
'lu'zhuo'zhuo 鹿濯濯
'luan'yi'jin 乱亦进
'luan'ze'tui 乱则退
'luo 漯
'lv'qi'zi'di 率其子弟
'lv'sheng'er'hou'hui 虑胜而後会
'lv'xi'shui'hu 率西水浒
'ma'lv'si'xu'qing'zhong'tong 麻缕丝絮轻重同
'mang'mang'ran'gui 芒芒然归
'mei'ren'er'yue'zhi 每人而悦之
'mei'shuo'zhi'yan 媒妁之言
'men'ren'zhi'ren'jiang'gui 门人治任将归
'meng'shi'she'si'ceng'zi 孟施舍似曾子
'meng'shi'she'zhi'shou'qi 孟施舍之守气
'meng'shi'she'zhi'suo'yang'yong'ye 孟施舍之所养勇也
'meng'zhong'zi'dui'yue 孟仲子对曰
'meng'zi'bu'yu'you'shi'yan 孟子不与右师言
'meng'zi'dao'xing'shan 孟子道性善
'meng'zi'du'bu'yu'yan 孟子独不与言
'meng'zi'dui'yue 孟子对曰
'meng'zi'gao'qi'xuan'wang'yue 孟子告齐宣王曰
'meng'zi'jian'liang'hui'wang 孟子见梁惠王
'meng'zi'jian'liang'xiang'wang 孟子见梁襄王
'meng'zi'jian'qi'xuan'wang'yue 孟子见齐宣王曰
'meng'zi'jiang'chao'wang 孟子将朝王
'meng'zi'qing'yu'qi 孟子卿於齐
'meng'zi'qu'qi 孟子去齐
'meng'zi'wei'dai'bu'sheng'yue 孟子谓戴不胜曰
'meng'zi'wei'qi'xuan'wang'yue 孟子谓齐宣王曰
'meng'zi'wei'yue 孟子谓曰
'meng'zi'wei'yue'zheng'zi'yue 孟子谓乐正子曰
'meng'zi'wen'zhi 孟子闻之
'meng'zi'yue 孟子曰
'meng'zi'zhi'hou'sang'yu'qian'sang 孟子之後丧逾前丧
'meng'zi'zhi'ping'lu 孟子之平陆
'meng'zi'zhi'wei'chen'er'gui 孟子致为臣而归
'meng'zi'zi'qi'zang'yu'lu 孟子自齐葬於鲁
'mi'su'fei'bu'duo'ye 米粟非不多也
'miao'ze'gao'yi 苗则槁矣
'mie'guo'zhe'wu'shi 灭国者五十
'min'bu'gai'ju'yi 民不改聚矣
'min'bu'ke'de'er'zhi'ye 民不可得而治也
'min'da'yue 民大悦
'min'gui'zhi 民归之
'min'jie'jian'zhi 民皆见之
'min'jie'yang'zhi 民皆仰之
'min'nai'zuo'te 民乃作慝
'min'shi'bu'ke'huan'ye 民事不可缓也
'min'wang'zhi 民望之
'min'wei'bing'she'ye 民未病涉也
'min'wei'kong'wang'zhi'bu'hao'yong'ye 民惟恐王之不好勇也
'min'wu'suo'an'xi 民无所安息
'min'wu'suo'ding 民无所定
'min'yi'le'qi'le 民亦乐其乐
'min'yi'wei'da 民以为大
'min'yi'wei'jiang'zheng'ji'yu'shui'huo'zhi'zhong'ye 民以为将拯己於水火之中也
'min'yi'wei'xiao 民以为小
'min'yi'you'qi'you 民亦忧其忧
'min'you'ji'se 民有饥色
'min'you'yi'wei'da 民犹以为大
'min'you'yi'wei'xiao'ye 民犹以为小也
'min'yu'yu'zhi'xie'wang 民欲与之偕亡
'min'zhi'gui'ren'ye 民之归仁也
'min'zhi'qiao'cui'yu'nue'zheng 民之憔悴於虐政
'min'zhi'wang'zhi 民之望之
'min'zhi'wei'dao'ye 民之为道也
'min'zhi'yue'zhi 民之悦之
'min'zi 闵子
'ming'jun'zhi'min'zhi'chan 明君制民之产
'ming'qi'zheng'xing 明其政刑
'ming'ri 明日
'ming'yi'jiao'wo 明以教我
'ming'zhi'yi 命之矣
'ming'zhi'yue 名之曰
'ming'zu'yi'cha'qiu'hao'zhi'mo 明足以察秋毫之末
'mo 墨
'mo'bu'shan'yu'gong 莫不善於贡
'mo'di'zhi'yan'ying'tian'xia 墨翟之言盈天下
'mo'gai'dou'jun 谟盖都君
'mo'gan'bu'ai 莫敢不哀
'mo'liang'yu'mou'zi 莫良於眸子
'mo'neng'xiang'shang 莫能相尚
'mo'ru'gui'de'er'zun'shi 莫如贵德而尊士
'mo'ru'wei'ren 莫如为仁
'mo'ruo'shi'wen'wang 莫若师文王
'mo'shi'jian'ai 墨氏兼爱
'mo'zhe 墨者
'mo'zhe'yi'zhi 墨者夷之
'mo'zhi'dao'bu'xi 墨之道不息
'mo'zhi'neng'wei'ye 莫之能违也
'mo'zhi'neng'yu'ye 莫之能御也
'mo'zhi'yu'er'bu'ren 莫之御而不仁
'mo'zhi'zhi'sang'ye 墨之治丧也
'mou'yu'yan'zhong 谋於燕众
'mou'zi'bu'neng'yan'qi'e 眸子不能掩其恶
'mu'gong'wen'yue 穆公问曰
'mu'ming'zhi 母命之
'mu'ruo'yi'mei'ran 木若以美然
'mu'wu'jian'ye 目无见也
'mu'you'jian 目有见
'nai'guo'liang 乃裹粮
'nai'ji'nai'shi 乃积乃食
'nai'ruo'suo'you'ze'you'zhi 乃若所忧则有之
'nai'shu'qi'qi'lao'er'gao'zhi'yue 乃属其耆老而告之曰
'nai'suo'yuan 乃所愿
'nan'mian'er'zheng 南面而征
'nan'mian'er'zheng'bei'di'yuan 南面而征北狄怨
'nan'nv'ju'shi 男女居室
'nan'nv'shou'shou'bu'qin 男女授受不亲
'nan'ru'yu'chu 南辱於楚
'nan'yan'ye 难言也
'nei'wu'yuan'nv 内无怨女
'nei'yi 馁矣
'nei'ze'fu'zi 内则父子
'neng'chong'zhi 能充之
'neng'wu'ju'er'yi'yi 能无惧而已矣
'neng'yan'ju'yang 能言距杨
'neng'zhe'zai'zhi 能者在职
'neng'zhi'qi'guo'jia 能治其国家
'ni'er'bu'shi 睨而不视
'ni'tian'zhe'wang 逆天者亡
'niao'shou'zhi'hai'ren'zhe'xiao 鸟兽之害人者消
'niu'ke'zhi 牛可之
'niu'ni 忸怩
'niu'yang'fu'mu 牛羊父母
'nong'fu'qi'wei'chu'jiang'she'qi'lei'si'zai 农夫岂为出疆舍其耒耜哉
'nong'fu'ye 农夫也
'nuo 诺
'nv'you'yu'bu 女有馀布
'nv'zi'sheng'er'yuan'wei'zhi'you'jia 女子生而愿为之有家
'nv'zi'zhi'jia'ye 女子之嫁也
'pai'huai 排淮
'pan'le'dai'ao 般乐怠敖
'pao'you'fei'rou 庖有肥肉
'pei'ran'shui'neng'yu'zhi 沛然谁能御之
'pei'ran'xia'yu 沛然下雨
'pei'yi'yu'dao 配义与道
'pei'ze'duo'er'qin'shou'zhi 沛泽多而禽兽至
'peng'geng'wen'yue 彭更问曰
'peng'you'you'xin 朋友有信
'peng'you'zhi'dao'ye 朋友之道也
'pi'cao'lai'ren'tu'di'zhe'ci'zhi 辟草莱任土地者次之
'pi'cheng'zai'wu'wang'lie 丕承哉武王烈
'pi'fa'ying'guan'er'wang'jiu'zhi 被发缨冠而往救之
'pi'xian'zai'wen'wang'mo 丕显哉文王谟
'pi'xiong'li'mu 辟兄离母
'pian'bi'bu'zu'shi'ling'yu'qian'yu 便嬖不足使令於前与
'pin'fu'bu'tong'ye 贫富不同也
'pin'jian'bu'neng'yi 贫贱不能移
'po 迫
'pu'chu'zhi'fu 普楚之富
'pu'fu'wang'jiang'shi'zhi 匍匐往将食之
'pu'guo 普国
'qi 齐
'qi 气
'qi'ba'yue'zhi'jian'han 七八月之间旱
'qi'ba'yue'zhi'jian'yu'ji 七八月之间雨集
'qi'bai'you'yu'sui'yi 七百有馀岁矣
'qi'bu'cheng'da'zhang'fu'zai 岂不诚大丈夫哉
'qi'bu'cheng'lian'shi'zai 岂不诚廉士哉
'qi'bu'chuo'chuo'ran'you'yu'yu'zai 岂不绰绰然有馀裕哉
'qi'bu'yu'you'fu'qi'zi'mu'zhi'shu'zai 岂不欲有夫妻子母之属哉
'qi'ci'yan 气次焉
'qi'dai'wo'yi'heng'ni'ze'jun'zi'bi'zi'fan'ye 其待我以横逆则君子必自反也
'qi'de'bu'jian 岂得不见
'qi'di'zhi'er'nv 妻帝之二女
'qi'gu'jia'yi'su 其故家遗俗
'qi'guan'bu'zheng 其冠不正
'qi'guo'sui'bian'xiao 齐国虽褊小
'qi'guo'ye 其过也
'qi'hao'bian'zai 岂好辩哉
'qi'he'neng'shu 其何能淑
'qi'heng'ni'you'shi'ye 其横逆由是也
'qi'huan'pu'wen'zhi'shi 齐桓普文之事
'qi'ji'you'qi'yi 齐集有其一
'qi'jia'ye'bing'er'zou 弃甲曳兵而走
'qi'jian'bi'you'ming'shi'zhe 其间必有名世者
'qi'jian'bu'neng'yi'cun 其间不能以寸
'qi'jie'mu'yu 齐戒沐浴
'qi'jing'gong'yue 齐景公曰
'qi'jun'zi'shi'xuan'huang'yu'fei'yi'ying'qi'jun'zi 其君子实玄黄於匪以迎其君子
'qi'kui'yi'ye 其揆一也
'qi'li'bu'yi 其丽不亿
'qi'li'zhi'guo 七里之郭
'qi'liang'ren'chu 其良人出
'qi'lin'zhi'yu'zou'shou 麒麟之於走兽
'qi'ming'wei'xin 其命维新
'qi'mu'sha'shi'e'ye 其母杀是鹅也
'qi'neng'du'le'zai 岂能独乐哉
'qi'nian'zhi'nei 七年之内
'qi'pi 妻辟
'qi'pu'yue 其仆曰
'qi'qi'gao'qi'qie'yue 其妻告其妾曰
'qi'qi'gui 其妻归
'qi'qi'qie'bu'xiu'ye'er'bu'xiang'qi'zhe 其妻妾不羞也而不相泣者
'qi'qi'wen'suo'yu'yin'shi'zhe 其妻问所与饮食者
'qi'qi'yu 乞其馀
'qi'qin'si 其亲死
'qi'qing'zhi'wei 齐卿之位
'qi'qu'you'bi'duan'yi 其取友必端矣
'qi'ren'fa'yan 齐人伐燕
'qi'ren'jiang'xue 齐人将薛
'qi'ren'wu'yi'ren'yi'yu'wang'yan'zhe 齐人无以仁义与王言者
'qi'ren'you'yan'yue 齐人有言曰
'qi'ren'you'yi'qi'yi'qie'er'chu'shi'zhe 齐人有一妻一妾而处室者
'qi'ren'yue 齐人曰
'qi'ru'shi 其如是
'qi'ruo'shi 其若是
'qi'sang'you 其颡有
'qi'she'wang'zai 岂舍王哉
'qi'she'xin 其设心
'qi'shen'zheng 其身正
'qi'shi'bo'bai'gu 其始播百谷
'qi'shi'jie'shi'yi'ye 其实皆什一也
'qi'shi'tian'xia'ye'yi'bu'ren 其失天下也以不仁
'qi'shi'yi'er'shou 七十镒而受
'qi'shi'yue 其诗曰
'qi'shi'ze'qi'huan 其事则齐桓
'qi'shi'zhe'ke'yi'shi'rou'yi 七十者可以食肉矣
'qi'shi'zhe'yi'bo'shi'rou 七十者衣帛食肉
'qi'shu'zhi'fu 齐疏之服
'qi'teng'zhi'lu 齐滕之路
'qi'tian'yi'wei'yuan'you 弃田以为园囿
'qi'tu'shu'shi'ren 其徒数十人
'qi'tu'shun'zhi 岂徒顺之
'qi'wei'li'nong'fu'zai 岂为厉农夫哉
'qi'wei'min'zai 岂惟民哉
'qi'wei'qi'ye 其为气也
'qi'wei'shi'yu 岂谓是与
'qi'wen'ze'shi 其文则史
'qi'wu'hou'hu 其无後乎
'qi'wu'suo'yong'qi'xin'zai 岂无所用其心哉
'qi'xiao'ren'dan'si'hu'jiang'yi'ying'qi'xiao'ren 其小人箪食壶浆以迎其小人
'qi'xin'yue 其心曰
'qi'xiong'zi'wai'zhi 其兄自外至
'qi'xuan'wang'jian'meng'zi'yu'xue'gong 齐宣王见孟子於雪宫
'qi'xuan'wang'wen'yue 齐宣王问曰
'qi'xue 器血
'qi'yi'ren'yi'wei'bu'mei'ye 岂以仁义为不美也
'qi'yi'wei'fei'shi'er'bu'gui'ye 岂以为非是而不贵也
'qi'yi'ze'dong'zhi'ye 气壹则动志也
'qi'yi'ze'qiu'qie'qu'zhi'yi 其义则丘窃取之矣
'qi'you'bu'he'zhe 其有不合者
'qi'you'gong'yu'zi 其有功於子
'qi'you'ta'zai 岂有他哉
'qi'yu'suo'yu'zai 岂予所欲哉
'qi'zhi 弃之
'qi'zhi'dao'hu 其知道乎
'qi'zhi'jiang'yi'qiu'shi'ye 其志将以求食也
'qi'zhi'shi'jia'ye 齐之世家也
'qi'zhi'shuai'ye 气之帅也
'qi'zhi'yi'jiang'yi'qiu'shi'yu 其志亦将以求食与
'qi'zhong'wei'gong'tian 其中为公田
'qi'zhu'shang'di 其助上帝
'qi'zi'fan'er'ren'yi 其自反而仁矣
'qi'zi'qu'er'wang'shi'zhi 其子趋而往视之
'qi'zi'yan'wang 其子焉往
'qi'zun'de'le'dao 其尊德乐道
'qian'li'er'jian'wang 千里而见王
'qian'qi'zhong'qi 迁其重器
'qian'qu'bai'yan 千取百焉
'qian'ri'bu'zhi'yu'zhi'bu'xiao 前日不知虞之不肖
'qian'ri'yu'qi 前日於齐
'qian'ri'yu'wen'zhu'fu'zi'yue 前日虞闻诸夫子曰
'qian'ri'yuan'jian'er'bu'ke'de 前日愿见而不可得
'qian'ri'zhi'bu'shou'shi 前日之不受是
'qian'sheng'zhi'guo 千乘之国
'qian'sui'zhi'ri'zhi 千岁之日至
'qian'yi'san'ding 前以三鼎
'qian'yi'shi 前以士
'qian'you'yu'li 千有馀里
'qian'you'yu'sui 千有馀岁
'qian'yu'fu'xia 迁於负夏
'qian'yu'qiao'mu'zhe 迁于乔木者
'qie'bi'hua'zhe 且比化者
'qie'fu'wang'chi'er'zhi'xun'zhe 且夫枉尺而直寻者
'qie'fu'zhi'dao'ye 妾妇之道也
'qie'gu'zhi'jun'zi 且古之君子
'qie'ren'e'zhi 且人恶之
'qie'tian'zhi'sheng'wu'ye 且天之生物也
'qie'wang'zhe'zhi'bu'zuo 且王者之不作
'qie'xu'zi'he'bu'wei'tao'ye 且许子何不为陶冶
'qie'yi'ren'zhi'shen 且一人之身
'qie'yi'wen'wang'zhi'de 且以文王之德
'qie'zhi'yue 且志曰
'qie'zi'guo'yi 且子过矣
'qie'zi'shi'zhi'hu 且子食志乎
'qin'qi'pan'zhi 亲戚畔之
'qin'sang 亲丧
'qin'shou'bi'ren 禽兽逼人
'qin'shou'fan'zhi 禽兽繁殖
'qin'shou'tao'ni 禽兽逃匿
'qin'yu'zhi'jiang 侵于之疆
'qin'zhen 琴朕
'qing'bi'wu'gui'er'zao'yu'chao 请必无归而造於朝
'qing'bu'zu'yu'li'yu 轻不足於礼与
'qing'chang'shi'zhi 请尝试之
'qing'ci 请辞
'qing'da'fu'bu'ren 卿大夫不仁
'qing'fu'zhi 请复之
'qing'nan'yu'jun'wei'zhi'gong 青难於君谓之恭
'qing'qing'zhi 请轻之
'qing'shan 青善
'qing'shan'ze'li 青善则离
'qing'si'zhuo'ying 清斯濯缨
'qing'sun'zhi 请损之
'qing'wu'fu'gan'jian'yi 请勿复敢见矣
'qing'ye'jiu'yi'er'zhu 请野九一而助
'qing'yi'xia 卿以下
'qing'yi'zhan'yu 请以战喻
'qiong'er'bu'min 穷而不悯
'qiu 求
'qiu'mu'yu'chu'er'bu'de 求牧与刍而不得
'qiu'qi'gu 求其故
'qiu'ruo'suo'yu 求若所欲
'qiu'sheng'er'zhu'bu'gei 秋省而助不给
'qiu'yang'yi'bao'zhi 秋阳以暴之
'qiu'ye'wei'li'shi'zai 求也为李氏宰
'qu 去
'qu'fei'lian'yu'hai'yu'er'lu'zhi 驱飞廉於海隅而戮之
'qu'fei'qi'zhao'bu'wang'ye 取非其招不往也
'qu'guan'shi'zhi'zheng 去关市之征
'qu'hu'bao'xi'xiang'er'yuan'zhi 区虎豹犀象而远之
'qu'meng'shou 驱猛兽
'qu'qi'can'er'yi'yi 取其残而已矣
'qu'qi'jin 去其金
'qu'qi'ru'zhi'he 娶妻如之何
'qu'san'nian'bu'fan 去三年不反
'qu'shang'lian 取伤廉
'qu'she'long'er'fang'zhi'zu 驱蛇龙而放之菹
'qu'yu'min'you'zhi 取於民有制
'qu'zao'yu'chao 趋造於朝
'qu'ze'qiong'ri'zhi'li'er'hou'su'zai 去则穷日之力而後宿哉
'qu'zhi 取之
'qu'zhi'er'yan'min'bu'yue 取之而燕民不悦
'qu'zhi'er'yan'min'yue 取之而燕民悦
'qu'zhi'he'ru 取之何如
'qu'zhi'qi'shan'zhi'xia'ju'yan 去之岐山之下居焉
'qu'zhi'ri 去之日
'qu'zhu'ren'yi'wei'shan 取诸人以为善
'quan 权
'quan'qi'fa'yan 劝其伐燕
'quan'ye 权也
'quan'zhi'shi'da 泉之始达
'ran 然
'ran'er'bu'sheng'zhe 然而不胜者
'ran'er'bu'wang'zhe 然而不王者
'ran'er'meng'shi'she'shou'yue'ye 然而孟施舍守约也
'ran'er'wen'wang'you'fang'bai'li'qi 然而文王犹方百里起
'ran'er'yi'zi'zang'qi'qin'hou 然而夷子葬其亲厚
'ran'hou'cha'zhi 然後察之
'ran'hou'chun'qiu'zuo 然後春秋作
'ran'hou'cong'er'xing'zhi 然後从而刑之
'ran'hou'da'xing 然後大行
'ran'hou'er'you'wen 然後耳有闻
'ran'hou'gan'ru 然後敢入
'ran'hou'gan'zhi'si'shi 然後敢治私事
'ran'hou'gui 然後归
'ran'hou'jin'yu'ren'xin 然後尽於人心
'ran'hou'ke'yi'wei'min'fu'mu 然後可以为民父母
'ran'hou'ke'yi'yuan'fang'qi'xing 然後可以爰方启行
'ran'hou'kuai'yu'xin'yu 然後快於心与
'ran'hou'neng'fu'tian'xia 然後能服天下
'ran'hou'qiu'jian'zhang'zhe'hu 然後求见长者乎
'ran'hou'qu'er'zhi'shan 然後驱而之善
'ran'hou'qu'zhi 然後去之
'ran'hou'ren'de'ping'tu'er'ju'zhi 然後人得平土而居之
'ran'hou'ren'wu'zhi 然後人侮之
'ran'hou'sha'zhi 然後杀之
'ran'hou'shou'qi'tian'li 然後收其田里
'ran'hou'xing'shi 然後行事
'ran'hou'yong'zhi 然後用之
'ran'hou'zhi'chang'duan 然後知长短
'ran'hou'zhi'qing'zhong 然後知轻重
'ran'hou'zhong'guo'ke'de'er'shi'ye 然後中国可得而食也
'ran'niu 冉牛
'ran'qie'zhi 然且至
'ran'you'fan'ming 然友反命
'ran'you'fu'zhi'zou 然友复之邹
'ran'you'zhi'zou 然友之邹
'ran'ze'fei'zhong'yu 然则废钟与
'ran'ze'fu'zi'ji'sheng'yi'hu 然则夫子既圣矣乎
'ran'ze'sheng'ren'qie'you'guo'yu 然则圣人且有过与
'ran'ze'shun'xi'zhe'yu 然则舜喜者与
'ran'ze'shun'yuan'hu 然则舜怨乎
'ran'ze'wang'zhi'suo'da'yu 然则王之所大欲
'ran'ze'wu'zi'yu'guan'zhong'shu'xian 然则吾子与管仲孰贤
