'a'ben'da'zuo'jiao'nang 阿苯达唑胶囊
'qu'tong'pian 去痛片
'qu'xi'pi'te'pian 曲昔匹特片
'qu'yang'yun'xi'que'ci'chun'pian 去氧孕烯炔雌醇片
'qu'yi'xian'mao'hua'gan'zhu'she'ye 去乙酰毛花苷注射液
'qu'yu'san'jie'jiao'nang 祛瘀散结胶囊
'qu'yu'yi'wei'jiao'nang 祛瘀益胃胶囊
'quan'chong 全虫
'quan'lu'wan 全鹿丸
'quan'tian'ma'jiao'nang 全天麻胶囊
'quan'tian'ma'pian 全天麻片
'quan'xie 全蝎
'ran'shao'dan'shou'shen'jiao'nang 燃烧弹瘦身胶囊
'ran'zhi'li'ren 燃脂丽人
're'du'ping'ke'li 热毒平颗粒
're'du'ping'ke'li'le'da'fei 热毒平颗粒乐达非
're'du'qing'pian 热毒清片
're'ke'tie 热可贴
're'lin'qing'jiao'nang 热淋清胶囊
're'lin'qing'ke'li 热淋清颗粒
're'lin'qing'ke'li'han'tang 热淋清颗粒含糖
're'lin'qing'ke'li'wu'tang 热淋清颗粒无糖
're'lin'qing'pian 热淋清片
're'yan'ning'jiao'nang 热炎宁胶囊
're'yan'ning'ke'li 热炎宁颗粒
'ren'chu'you 人初油
'ren'dan 仁丹
'ren'dong'teng 忍冬藤
'ren'gong'niu'huang'jia'xiao'zuo'jiao'nang 人工牛黄甲硝唑胶囊
'ren'mian'yi'qiu'dan'bai 人免疫球蛋白
'ren'shen'duo'tang'zhu'she'ye 人参多糖注射液
'ren'shen'feng'wang'jiang 人参蜂王浆
'ren'shen'feng'wang'jiang'kou'fu'ye 人参蜂王浆口服液
'ren'shen'gui'pi'wan 人参归脾丸
'ren'shen'jian'pi'pian 人参健脾片
'ren'shen'jian'pi'wan 人参健脾丸
'ren'shen'kou'fu'ye 人参口服液
'ren'shen'shou'wu'jiao'nang 人参首乌胶囊
'ren'shen'wu'wei'zi'ke'li 人参五味子颗粒
'ren'shen'yang'rong'wan 人参养荣丸
'ren'shen'zai'zao'wan 人参再造丸
'ren'tai'pan'pian 人胎盘片
'ren'tai'pan'zu'zhi'ye 人胎盘组织液
'ren'xue'bai'dan'bai 人血白蛋白
'ren'xue'bai'dan'bai'bai'si'ming 人血白蛋白拜斯明
'ren'yi'xing'gan'yan'mian'yi'qiu'dan'bai 人乙型肝炎免役球蛋白
'ren'yi'xing'gan'yan'mian'yi'qiu'dan'bai 人乙型肝炎免疫球蛋白
'ren'yi'xing'gan'yan'mian'yi'qiu'dan'bai'jia'ma 人乙型肝炎免疫球蛋白加码
'ren'zhi'jiang'tang'jiao'nang 人知降糖胶囊
'ri'li'da 日理达
'ri'shu'an'xi'ye 日舒安洗液
'rong'gui'bu'shen'kou'fu'ye 茸桂补肾口服液
'rong'jun'mei'chang'rong'pian 溶菌酶肠溶片
'rong'jun'mei'han'pian 溶菌酶含片
'rou'cong'rong 肉苁蓉
'rou'dou'kou 肉豆蔻
'rou'gui 肉桂
'rou'kou 肉蔻
'rou'kou'si'shen'wan 肉蔻四神丸
'rou'suan'dan'bai'jiao'mu'san 鞣酸蛋白酵母散
'rou'suan'dan'bai'pian 鞣酸蛋白片
'rou'suan'dan'bai'san 鞣酸蛋白散
'rou'suan'ku'shen'jian'pian 鞣酸苦参碱片
'rou'suan'ku'shen'jian'pian'chang'dao'bang'ke 鞣酸苦参碱片肠道邦克
'rou'suan'ku'shen'jian'pian'shao'er'chang'dao'bang'ke 鞣酸苦参碱片少儿场道邦克
'ru'an'pian 乳安片
'ru'guo'tang'kou'fu'rong'ye 乳果糖口服溶液
'ru'he'nei'xiao'jiao'nang 乳核内消胶囊
'ru'he'nei'xiao'ke'li 乳核内消颗粒
'ru'he'nei'xiao'ye 乳核内消液
'ru'he'san'jie'pian 乳核散结片
'ru'jie'kang'wan 乳结康丸
'ru'kang'ke'li 乳康颗粒
'ru'kang'pian 乳康片
'ru'kang'wan 乳康丸
'ru'kuai'xiao'ke'li 乳块消颗粒
'ru'kuai'xiao'kou'fu'ye 乳块消口服液
'ru'kuai'xiao'pian 乳块消片
'ru'kuai'xiao'tang'jiang 乳块消糖浆
'ru'mei'sheng'pian 乳酶生片
'ru'ning'jiao'nang 乳宁胶囊
'ru'ning'ke'li 乳宁颗粒
'ru'ning'pian 乳宁片
'ru'ning'wan 乳宁丸
'ru'pi'kang'jiao'nang 乳癖康胶囊
'ru'pi'san'jie'jiao'nang 乳癖散结胶囊
'ru'pi'xiao'jiao'nang 乳癖消胶囊
'ru'pi'xiao'ke'li 乳癖消颗粒
'ru'pi'xiao'pian 乳癖消片
'ru'suan'gai'ju'jue'pian 乳酸钙咀嚼片
'ru'suan'huan'bing'sha'xing'di'yan'ye 乳酸环丙沙星滴眼液
'ru'suan'huan'bing'sha'xing'lv'hua'na'zhu'she'ye 乳酸环丙沙星氯化钠注射液
'ru'suan'huan'bing'sha'xing'zhu'she'ye 乳酸环丙沙星注射液
'ru'suan'jia'ti'sha'xing'lv'hua'na'zhu'she'ye 乳酸加替沙星氯化钠注射液
'ru'suan'jun'su'ju'jue'pian 乳酸菌素咀嚼片
'ru'suan'jun'su'ke'li 乳酸菌素颗粒
'ru'suan'jun'su'ke'li'ji 乳酸菌素颗粒剂
'ru'suan'jun'su'pian 乳酸菌素片
'ru'suan'jun'su'pian'xiao'er'xing 乳酸菌素片小儿型
'ru'suan'jun'yin'dao'jiao'nang 乳酸菌阴道胶囊
'ru'suan'mi'li'nong'zhu'she'ye 乳酸米力农注射液
'ru'suan'na'lin'ge'zhu'she'ye 乳酸钠林格注射液
'ru'suan'yi'sha'a'ding'zhu'she'ye 乳酸依沙吖啶注射液
'ru'suan'zuo'yang'fu'sha'xing'lv'hua'na'zhu'she'ye 乳酸左氧氟沙星氯化纳注射液
'ru'suan'zuo'yang'fu'sha'xing'lv'hua'na'zhu'she'ye 乳酸左氧氟沙星氯化钠注射夜
'ru'suan'zuo'yang'fu'sha'xing'lv'hua'na'zhu'she'ye 乳酸左氧氟沙星氯化钠注射液
'ru'suan'zuo'yang'fu'sha'xing'pian 乳酸左氧氟沙星片
'ru'suan'zuo'yang'fu'sha'xing'zhu'she'ye 乳酸左氧氟沙星注射液
'ru'suan'zuo'yang'fu'sha'xing'zhu'she'ye'zuo'ke 乳酸左氧氟沙星注射液佐科
'ru'tai'jiao'nang 乳泰胶囊
'ru'tang'suan'a'qi'mei'su'zhu'she'ye 乳糖酸阿奇霉素注射液
'ru'xiang 乳香
'ru'yi'ding'chuan'pian 如意定喘片
'ru'yi'ding'chuan'wan 如意定喘丸
'ru'yi'zhen'bao'wan 如意珍宝丸
'ruan'jian 软件
'ruan'shi'shang'qing'wan 阮氏上清丸
'ruan'zao 软皂
'rui'bei'ke'liu'suan'qing'da'mei'su'huan'shi'pian 瑞贝克硫酸庆大霉素缓释片
'rui'fu'xin'tou'bao'fu'xin'zhi'pian 瑞呋欣头孢呋辛酯片
'rui'ge'lie'nai'pian 瑞格列奈片
'rui'ke'sha'yan'suan'zuo'yang'fu'sha'xing'pian 瑞科沙盐酸左氧氟沙星片
'rui'ke'sha'yan'suan'zuo'yang'fu'sha'xing'zhu'she'ye 瑞科沙盐酸左氧氟沙星注射液
'rui'ke'sheng'xue'ning'pian 瑞克生血宁片
'rui'nian'gao'gai'pian'er'tong 瑞年高钙片儿童
'rui'nian'gao'gai'pian'zhong'lao'nian 瑞年高钙片中老年
'rui'qi'ju'yuan'suan'mo'sha'bi'li'pian 瑞琪枸橼酸莫沙必利片
'rui'qi'zhu'she'yong'a'qi'mei'su 瑞奇注射用阿奇霉素
'rui'shu'fa'ta'ding'gai'pian 瑞舒伐他丁钙片
'rui'shu'fa'ta'ding'gai'pian 瑞舒伐他定钙片
'run'chang'jiao'nang 润肠胶囊
'run'chang'tong'bian'cha 润肠通便茶
'run'chang'tong'mi'cha 润肠通秘茶
'run'chang'wan 润肠丸
'run'chang'wan'nong'suo'wan 润肠丸浓缩丸
'run'er'le'liu'suan'ruan'gu'su'di'yan'ye 润尔乐硫酸软骨素滴眼液
'run'fei'gao 润肺膏
'run'fei'zhi'ke'jiao'nang 润肺止咳胶囊
'run'hua'chuan'shu'pian 润华喘舒片
'run'jie'fu'fang'liu'suan'ruan'gu'su'di'yan'ye 润洁复方硫酸软骨素滴眼液
'run'jie'hong'nai'pu'wei'di'yan'ye 润洁红萘扑维滴眼液
'run'jie'yan'bu'qing'jie'ye 润洁眼部清洁液
'run'shu'lv'mei'su'di'yan'ye 润舒氯霉素滴眼液
'run'shu'yang'fu'sha'xing'di'yan'ye 润舒氧氟沙星滴眼液
'run'zao'zhi'yang'jiao'nang 润燥止痒胶囊
'sai'ge'en'yan'suan'tuo'wan'si'qiong'zhu'she'ye 赛格恩盐酸托烷司琼注射液
'sai'geng'ding'ru'gao 赛庚啶乳膏
'sai'geng'ding'shuang 赛庚啶霜
'sai'ke'xiao'zuo'jiao'nang 塞克硝唑胶囊
'sai'ke'xiao'zuo'jiao'nang'ke'ni 塞克硝唑胶囊可尼
'sai'lai'xi'bu'jiao'nang 塞来昔布胶囊
'sai'le'yi'jun'ye 赛乐抑菌液
'sai'ma'xin'an'di'yan'ye 噻吗心安滴眼液
'sai'ma'xin'an'yan'yao'shui'jian'zhuang 噻吗心安眼药水简装
'sai'ruo'jin'gan'rao'su 赛若金干扰素
'sai'tuo'xiu'an'fen'wu'ji 噻托溴铵粉雾剂
'sai'xue'feng'shi'jiao'nang 塞雪风湿胶囊
'san'ba'fu'le'sheng'tai'dian 三八妇乐生态垫
'san'bao'jiao'nang 三宝胶囊
'san'feng'huo'xue'gao 散风活血膏
'san'gao'le'gao'gai'pian'yi'ke 三高乐高钙片亿客
'san'han'gan'mao'jiao'nang 散寒感冒胶囊
'san'han'huo'luo'wan 散寒活络丸
'san'he'gai'ju'jue'pian 三合钙咀嚼片
'san'he'gai'ju'jue'pian'cheng'ren 三合钙咀嚼片成人
'san'he'gai'ju'jue'pian'xiao'er 三合钙咀嚼片小儿
'san'he'ji'su'zhu'she'ye 三合激素注射液
'san'huang'pian 三黄片
'san'jie'ru'pi'gao 散结乳癖膏
'san'jie'zhen'tong'jiao'nang 散结镇痛胶囊
'san'jin'pian 三金片
'san'jing'shuang'huang'lian'kou'fu'ye 三精双黄连口服液
'san'jing'si'le'ping'la'xi'di'ping'pian 三精司乐平拉西地平片
'san'jiu'gan'mao'ling'jiao'nang 三九感冒灵胶囊
'san'jiu'gan'mao'ling'ke'li 三九感冒灵颗粒
'san'jiu'wei'kang'ke'li 三九胃康颗粒
'san'jiu'wei'tai'jiao'nang 三九胃泰胶囊
'san'jiu'wei'tai'ke'li 三九胃泰颗粒
'san'le'xi'hui'la'xi'tan'jiao'nang 三乐喜茴拉西坦胶囊
'san'leng 三棱
'san'lin'suan'bao'gan'er'na'zhu'she'ye 三磷酸胞苷二钠注射液
'san'lin'suan'xian'gan'er'na'lv'hua'mei'zhu'she'ye 三磷酸腺苷二钠氯化镁注射液
'san'lin'suan'xian'gan'er'na'pian 三磷酸腺苷二钠片
'san'lin'suan'xian'gan'er'na'zhu'she'ye 三磷酸腺苷二钠注射液
'san'qi 三七
'san'qi'fen 三七粉
'san'qi'hua'zhi'wan 三七化痔丸
'san'qi'jiao'nang 三七胶囊
'san'qi'pian 三七片
'san'qi'pian'tao'he 三七片套盒
'san'qi'shang'yao'jiao'nang 三七伤药胶囊
'san'qi'shang'yao'pian 三七伤药片
'san'qi'xue'shang'ning'jiao'nang 三七血伤宁胶囊
'san'qi'zhi'xue'jiao'nang 三七止血胶囊
'san'qi'zhi'xue'pian 三七止血片
'san'qi'zong'dai'pian 三七总甙片
'san'she'dan'chuan'bei'tang'jiang 三蛇胆川贝糖浆
'san'shen'wan 三肾丸
'san'shen'wan'shui'mi'wan 三肾丸水蜜丸
'san'tong'shu'fen'san'pian 散痛舒分散片
'san'wei'gai'pian 三维钙片
'san'wei'pu'lin'gai'ju'jue'pian 三维葡磷钙咀嚼片
'san'wei'yu'gan'you'ru 三维鱼肝油乳
'san'wei'yu'gan'you'ru'cheng'zhi'xing 三维鱼肝油乳橙汁型
'san'wei'zhi'mei'su'shuan 三维制霉素栓
'san'ye'jian'fei'cha 三叶减肥茶
'sang'bai'pi 桑白皮
'sang'hai'jin'wei'duo'wei'yuan'su'pian 桑海金维多维元素片
'sang'hai'jin'wei'duo'wei'yuan'su'pian'er'tong'xing 桑海金维多维元素片儿童型
'sang'ji'sheng 桑寄生
'sang'jiang'gan'mao'pian 桑姜感冒片
'sang'jiang'gan'mao'zhu'she'ye'sao'ma 桑姜感冒注射液扫码
'sang'ju'gan'mao'he'ji 桑菊感冒合剂
'sang'ju'gan'mao'ke'li 桑菊感冒颗粒
'sang'ju'gan'mao'pian 桑菊感冒片
'sang'piao'xiao 桑螵蛸
'sang'shen 桑椹
'sang'shen'ke'li 桑椹颗粒
'sang'ye 桑叶
'sang'zhi 桑枝
'sao'ri'lao'qing'fei'zhi'ke'jiao'nang 扫日劳清肺止咳胶囊
'sao'yang'ling 瘙痒灵
'se'gan'suan'na'di'yan'ye 色甘酸钠滴眼液
'sha'ding'an'chun'qi'wu'ji 沙丁胺醇气雾剂
'sha'gan'chun'pian 鲨肝醇片
'sha'ji'gan'ru'ji 沙棘干乳剂
'sha'li'du'an'pian 沙利度胺片
'sha'mei'te'luo'ti'ka'song'fen'xi'ru'ji 沙美特罗替卡松粉吸入剂
'sha'mei'te'luo'ti'ka'song'fen'xi'ru'ji'shu'li'die 沙美特罗替卡松粉吸入剂舒利迭
'sha'ren 砂仁
'sha'yuan'zi 沙苑子
'shan'bai'xiao'shi'he'ji 山白消食合剂
'shan'ci'gu 山茨菇
'shan'ci'ru 山慈茹
'shan'cun'duo'wei'yuan'su'pian 善存多维元素片
'shan'dou'gen 山豆根
'shan'he'kou'fu'ye 山荷口服液
'shan'hu'xuan'jing 珊瑚癣净
'shan'ju'jiang'ya'ke'li 山菊降压颗粒
'shan'la'mei'ye'ke'li 山腊梅叶颗粒
'shan'liang'nai'min'wei'di'yan'ye 闪亮萘敏维滴眼液
'shan'mai'dong 山麦冬
'shan'mai'jian'pi'kou'fu'ye 山麦健脾口服液
'shan'mei'jiao'nang 山玫胶囊
'shan'mei'jiao'nang'he'xin'tai 山玫胶囊合欣泰
'shan'mei'pian 山玫片
'shan'nai 山奈
'shan'qi'dai 疝气带
'shan'shu'an'ka'huang'min'jiao'nang 善舒氨咖黄敏胶囊
'shan'xiang'yuan'han'pian 山香圆含片
'shan'xiang'yuan'ke'li 山香圆颗粒
'shan'xiang'yuan'pian 山香圆片
'shan'yao 山药
'shan'yao'wan 山药丸
'shan'yu'rou 山萸肉
'shan'zha 山楂
'shan'zha'nei'xiao'wan 山楂内消丸
'shan'zhu'yu 山茱萸
'shang'feng'gan'mao'chong'ji 伤风感冒冲剂
'shang'feng'ting'jiao'nang 伤风停胶囊
'shang'feng'ting'pian 伤风停片
'shang'ke'die'da'jiao'nang 伤科跌打胶囊
'shang'ke'die'da'pian 伤科跌打片
'shang'ke'die'da'wan 伤科跌打丸
'shang'ke'huo'xue'ding 伤科活血酊
'shang'ke'jie'gu'pian 伤科接骨片
'shang'ke'qi'wei'pian 伤科七味片
'shang'qing'wan 上清丸
'shang'shi'jie'tong'gao 伤湿解痛膏
'shang'shi'qu'tong'gao 伤湿祛痛膏
'shang'shi'zhen'tong'gao 伤湿镇痛膏
'shang'shi'zhi'tong'gao 伤湿止痛膏
'shang'tong'ding 伤痛酊
'shang'tong'ning'jiao'nang 伤痛宁胶囊
'shang'tong'ning'pian 伤痛宁片
'shao'fu'zhu'yu'jiao'nang 少腹逐瘀胶囊
'shao'fu'zhu'yu'ke'li 少腹逐瘀颗粒
'shao'lin'die'da'zhi'tong'gao 少林跌打止痛膏
'shao'lin'feng'shi'die'da'gao 少林风湿跌打膏
'shao'shang'pen'wu'ji 烧伤喷雾剂
'shao'shang'yao'gao'shao'shang'zhi'tong'gao 烧伤药膏烧伤止痛膏
'shao'shang'zheng'xing'ke'shou'shu'qi'xie 烧伤整形科手术器械
'shao'tang'shang'gao 烧烫伤膏
'she'chuang'zi 蛇床子
'she'dan'chen'pi'jiao'nang 蛇胆陈皮胶囊
'she'dan'chen'pi'kou'fu'ye 蛇胆陈皮口服液
'she'dan'chen'pi'san 蛇胆陈皮散
'she'dan'chuan'bei'jiao'nang 蛇胆川贝胶囊
'she'dan'chuan'bei'pi'pa'gao 蛇胆川贝枇杷膏
'she'dan'chuan'bei'ye 蛇胆川贝液
'she'du'xue'ning'mei'zhu'she'ye 蛇毒血凝酶注射液
'she'gan 射干
'she'gan'kang'bing'du'zhu'she'ye 射干抗病毒注射液
'she'gan'kang'bing'du'zhu'she'ye'sao'ma 射干抗病毒注射液扫码
'she'ni'tong'pu'shi'tai'pian 舍尼通普适太片
'she'xiang'bao'xin'wan 麝香保心丸
'she'xiang'die'da'feng'shi'gao 麝香跌打风湿膏
'she'xiang'feng'shi'jiao'nang 麝香风湿胶囊
'she'xiang'gou'pi'gao 麝香狗皮膏
'she'xiang'guan'jie'zhi'tong'gao 麝香关节止痛膏
'she'xiang'jie'gu'jiao'nang 麝香接骨胶囊
'she'xiang'kang'shuan'jiao'nang 麝香抗栓胶囊
'she'xiang'qu'feng'shi'gao 麝香祛风湿膏
'she'xiang'qu'feng'shi'you 麝香祛风湿油
'she'xiang'qu'tong'cha'ji 麝香祛痛搽剂
'she'xiang'shu'huo'jing 麝香舒活精
'she'xiang'xin'nao'le'jiao'nang 麝香心脑乐胶囊
'she'xiang'xin'nao'le'pian 麝香心脑乐片
'she'xiang'xin'nao'tong'jiao'nang 麝香心脑通胶囊
'she'xiang'zhen'tong'gao 麝香镇痛膏
'she'xiang'zheng'gu'ding 麝香正骨酊
'she'xiang'zhi'tong'tie'gao 麝香止痛贴膏
'she'xiang'zhuang'gu'gao 麝香壮骨膏
'she'xiang'zhui'feng'gao 麝香追风膏
'she'you'dong'chuang'gao 蛇油冻疮膏
'she'you'zhi'lie'dong'chuang'gao'jin'da'ning 蛇油止裂冻疮膏金达宁
'shen'bao'he'ji 肾宝合剂
'shen'bao'pian 肾宝片
'shen'bao'tang'jiang 肾宝糖浆
'shen'fu'kang'jiao'nang 肾复康胶囊
'shen'fu'kang'pian 肾复康片
'shen'gu'jiao'nang 肾骨胶囊
'shen'gu'pian 肾骨片
'shen'hai'xue'yu'you'ruan'jiao'nang 深海鳕鱼油软胶囊
'shen'hai'yu'you'ruan'jiao'nang 深海鱼油软胶囊
'shen'huang'na'lv'jiao'nang 神黄钠铝胶囊
'shen'jin'cao 伸筋草
'shen'jin'dan'jiao'nang 伸筋丹胶囊
'shen'jing'wai'ke'shou'shu'qi'xie 神经外科手术器械
'shen'kang'ning'pian 肾康宁片
'shen'ling'bai'zhu'ke'li 参苓白术颗粒
'shen'ling'bai'zhu'san 参苓白术散
'shen'ling'jian'pi'wei'ke'li 参苓健脾胃颗粒
'shen'mai'ke'li 参麦颗粒
'shen'mai'zhu'she'ye 参麦注射液
'shen'mai'zhu'she'ye'sao'ma 参麦注射液扫码
'shen'mu'an'shen'jiao'nang 神牡安神胶囊
'shen'pi'shuang'bu'kou'fu'ye 肾脾双补口服液
'shen'qi'e'jiao'jiao'nang 参芪阿胶胶囊
'shen'qi'e'jiao'ke'li 参芪阿胶颗粒
'shen'qi'gan'kang'jiao'nang 参芪肝康胶囊
'shen'qi'jian'wei'ke'li 参芪健胃颗粒
'shen'qi'jiang'tang'ke'li 参芪降糖颗粒
'shen'qi'jiang'tang'pian 参芪降糖片
'shen'qi'ke'li 参芪颗粒
'shen'qi'pi'pa'zhi'ke'ke'li 神奇枇杷止咳颗粒
'shen'qi'shi'yi'wei'ke'li 参芪十一味颗粒
'shen'qi'shou'wu'bu'zhi 参芪首乌补汁
'shen'qi'wu'wei'zi'pian 参芪五味子片
'shen'qi'zu'kang'ling'pen'ji 神奇足康灵喷剂
'shen'qu'wei'tong'jiao'nang 神曲胃痛胶囊
'shen'rong'an'shen'wan 参茸安神丸
'shen'rong'gu'ben'hai'shao'wan 参茸固本还少丸
'shen'rong'gu'ben'pian 参茸固本片
'shen'rong'san'qi'jiu 参茸三七酒
'shen'rong'wan 参茸丸
'shen'rong'yan'ling'pian 参茸延龄片
'shen'sha 神砂
'shen'shang'xian'se'zong'pian 肾上腺色腙片
'shen'shang'xian'se'zong'zhu'she'ye 肾上腺色腙注射液
'shen'shi'tong'chong'ji 肾石通冲剂
'shen'shi'tong'ke'li 肾石通颗粒
'shen'shuai'kang'jiao'nang 神衰康胶囊
'shen'shuai'ning'pian 肾衰宁片
'shen'su'wan 参苏丸
'shen'xu 参须
'shen'yan'pian 肾炎片
'shen'yan'shu'pian 肾炎舒片
'shen'yan'si'wei'pian'tang'yi'pian 肾炎四味片糖衣片
'shen'you 神油
'sheng'bai'an'pian 升白安片
'sheng'bai'shao 生白芍
'sheng'bai'zhu 生白术
'sheng'ce'bai'ye 生侧柏叶
'sheng'di'huang 生地黄
'sheng'di'yu 生地榆
'sheng'du'zhong 生杜仲
'sheng'fa'wan 生发丸
'sheng'hong'qing're'jiao'nang 胜红清热胶囊
'sheng'hong'qing're'pian 胜红清热片
'sheng'hua'wan 生化丸
'sheng'huai'hua 生槐花
'sheng'huai'jiao 生槐角
'sheng'li'pian 生力片
'sheng'long'gu 生龙骨
'sheng'ma 升麻
'sheng'mai'jiao'nang 生脉胶囊
'sheng'mai'ke'li 生脉颗粒
'sheng'mai'ya 生麦芽
'sheng'mai'yin 生脉饮
'sheng'mai'yin'dang'shen'fang 生脉饮党参方
'sheng'mai'yin'dang'shen'fang'sao'ma 生脉饮党参方扫码
'sheng'mai'yin'dang'shen'fang'wu'tang'xing 生脉饮党参方无糖型
'sheng'mai'yin'ren'shen'fang 生脉饮人参方
'sheng'mai'yin'ren'sheng'fang 生脉饮人生方
'sheng'mai'zhu'she'ye 生脉注射液
'sheng'mai'zhu'she'ye'sao'ma 生脉注射液扫码
'sheng'min'yan'suan'luo'ge'lie'tong'pian 圣敏盐酸罗格列酮片
'sheng'ming'yi'hao 生命壹号
'sheng'mu'li 生牡蛎
'sheng'ou'jie 生藕节
'sheng'pu'huang 生蒲黄
'sheng'qian'cao 生茜草
'sheng'ru'ling 生乳灵
'sheng'shai'shen 生晒参
'sheng'shan'yao 生山药
'sheng'shan'zha 生山楂
'sheng'shou'wu 生首乌
'sheng'wu'wei'zi 生五味子
'sheng'xue'ning'pian 生血宁片
'sheng'xue'tiao'yuan'tang 升血调元汤
'sheng'yi'mi 生薏米
'sheng'yu'ci'tie'die'da'sun'shang 圣域磁贴跌打损伤
'sheng'yu'ci'tie'feng'shi'guan'jie'tong 圣域磁贴风湿关节痛
'sheng'yu'ci'tie'jian'zhou'yan 圣域磁贴肩周炎
'sheng'yu'ci'tie'jing'zhui'tong 圣域磁贴颈椎痛
'sheng'yu'ci'tie'yao'ji'lao'sun 圣域磁贴腰肌劳损
'sheng'yu'ci'tie'yao'jian'pan'tu'chu 圣域磁贴腰间盘突出
'sheng'yu'ci'tie'yao'tui'tong 圣域磁贴腰腿痛
'sheng'yu'ci'tie'zuo'gu'shen'jing 圣域磁贴坐骨神经
'sheng'zhi'zi 生栀子
'shi'chang'pu 石菖蒲
'shi'di 柿蒂
'shi'di'shui 十滴水
'shi'die 诗蝶
'shi'du'qing'jiao'nang 湿毒清胶囊
'shi'du'qing'pian 湿毒清片
'shi'du'qing'ruan'gao 湿毒清软膏
'shi'du'qing'sao'yang'gao'xin'da'ning 湿毒清瘙痒膏新达宁
'shi'er'jing'yao 十二精药
'shi'er'wu'ji'bai'feng'wan 十二乌鸡白凤丸
'shi'fu'su'tou'bao'ke'wo'jiao'nang 世福素头孢克肟胶囊
'shi'fu'su'tou'bao'ke'wo'ke'li 世福素头孢克肟颗粒
'shi'gao 石膏
'shi'guo'gong'yao'jiu 史国公药酒
'shi'hu 石斛
'shi'hu'ye'guang'wan 石斛夜光丸
'shi'jue'ming 石决明
'shi'jun'qing'chan'su'zhu'she'ye'sao'ma 史君轻蟾酥注射液扫码
'shi'jun'zi 使君子
'shi'kang'run'qing'hu'yan'ye 视康润清护眼液
'shi'li'an'ke'la'mei'su'pian 使力安克拉霉素片
'shi'li'kang'a'qi'mei'su'jiao'nang 使力康阿奇霉素胶囊
'shi'lin'tong'jiao'nang 石淋通胶囊
'shi'lin'tong'ke'li 石淋通颗粒
'shi'lin'tong'pian 石淋通片
'shi'liu'jian'wei'pian 石榴健胃片
'shi'liu'pi 石榴皮
'shi'liu'wei'ma'lin'zi'wan 十六味马蔺子丸
'shi'liu'wei'xiao'ke'jiao'nang 十六味消渴胶囊
'shi'long'qing'xue'ke'li 石龙清血颗粒
'shi'luo'te'nai'pu'sheng'huan'shi'jiao'nang 适洛特萘普生缓释胶囊
'shi'mu'sheng'pian 食母生片
'shi'pu'shan'nao'dan'bai'shui'jie'wu'zhu'she'ye 施普善脑蛋白水解物注射液
'shi'quan'da'bu'gao 十全大补膏
'shi'quan'da'bu'wan 十全大补丸
'shi'quan'da'bu'wan'nong'suo'wan 十全大补丸浓缩丸
'shi'san'wei'hong'hua'wan 十三味红花丸
'shi'san'wei'xi'mi'wan 十三味菥蓂丸
'shi'san'wei'xin'yi'di'bi'ji 十三味辛夷滴鼻剂
'shi'wei 石苇
'shi'wei 石韦
'shi'wei'hei'bing'pian'wan 十味黑冰片丸
'shi'wei'long'dan'hua'ke'li 十味龙胆花颗粒
'shi'wei'tie'ju'jue'pian 十维铁咀嚼片
'shi'wu'wei'long'dan'hua'wan 十五味龙胆花丸
'shi'xiang'nuan'qi'gao 十香暖脐膏
'shi'yang'xi'ye 湿痒洗液
'shi'yi'suan'gao'tong'ruan'jiao'nang 十一酸睾酮软胶囊
'shou'bi'shan'yin'da'pa'an 寿比山吲达帕胺
'shou'bi'shan'yin'da'pa'an'pian 寿比山吲达帕胺片
'shou'shen'ka'fei 瘦身咖啡
'shou'shu'fang'zhan'lian'ye 手术防粘连液
'shou'shu'shi'ji'jiu'shi'zhen'liao'shi'she'bei'ji'qi'ju 手术室急救室诊疗室设备及器具
'shou'wu'teng 首乌藤
'shou'wu'wan 首乌丸
'shou'wu'yan'shou'pian 首乌延寿片
'shou'zu'tuo'pi 手足脱皮
'shou'zu'tuo'pi'ruan'gao 手足脱皮软膏
'shou'zu'yu'lie'gao 手足愈裂膏
'shu'an'wei'sheng'shuan 舒安卫生栓
'shu'bi'li'pian 舒必利片
'shu'chang'ning'xiao'er'ru'suan'jun'su'pian 舒畅宁小儿乳酸菌素片
'shu'dan'jiao'nang 舒胆胶囊
'shu'dan'tong'pian 舒胆通片
'shu'dan'yan'suan'ang'dan'si'qiong'zhu'she'ye 枢丹盐酸昂丹司琼注射液
'shu'di 熟地
'shu'di'huang 熟地黄
'shu'di'zhu'she'yong'an'bian'xi'lin'na'shu'ba'tan'na 舒敌注射用氨苄西林钠舒巴坦钠
'shu'du'qing'pian 属毒清片
'shu'er'xin'zhu'she'yong'tou'bao'ta'ding 舒而欣注射用头孢他啶
'shu'fei'tang'jiang 舒肺糖浆
'shu'feng'ding'tong'wan 疏风定痛丸
'shu'feng'jie'du'jiao'nang 疏风解毒胶囊
'shu'feng'san're'jiao'nang 疏风散热胶囊
'shu'gan'he'wei'wan 舒肝和胃丸
'shu'gan'jian'wei'wan 舒肝健胃丸
'shu'gan'kang'jiao'nang 舒肝康胶囊
'shu'gan'ke'li 舒肝颗粒
'shu'gan'li'qi'wan 舒肝理气丸
'shu'gan'ping'wei'wan 舒肝平胃丸
'shu'gan'wan 舒肝丸
'shu'gan'yi'pi'ke'li 舒肝益脾颗粒
'shu'guan'ke'li 舒冠颗粒
'shu'hu'chang'cha'jian'huan'shi'pian 舒呼常茶碱缓释片
