'a'gai'gou'yan'yang 啊该狗岩养
'qu'jun'yun'la 区钧郧喇
'qu'ling'hu'qu'tao 驱铃蝴取绦
'qu'sha'hui'hong'diao 曲厦秽红凋
'qu'tian'qiao'che'ya 渠添乔掣鸦
'qu'wen'jiao'lei'hong 娶紊饺儡哄
'quan'qin'fang 券擒访
'quan'su'xiong'fa'qiang 拳俗凶乏腔
'quan'zhen'shan'yan'jiao 醛阵擅燕浇
'quan'zhu'zhao'ning'xie 全蛀罩凝斜
'que'cai'zhang'bao'ge 雀采章刨阁
'que'chang'tong'qian'chao 缺肠同扦炒
'que'ji'man 炔辑满
'que'xian'qiu'zeng'zha'bang 瘸献秋赠扎梆
'qun'dun'shi'bi 群顿屎必
'ran'fei'mei'yong'li 冉非玫踊丽
'rao'qi 绕祈
're'jie'yong 热睫佣
're'jie'yong'yong 热睫佣臃
're'zao'zao'zao'zao 热早澡蚤躁
'ren'duo'jiu'luo'duo'jiu 壬跺救落舵舅
'ren'ren'ren'reng'hu'hu'hu'dan 妊妊纫扔护互沪丹
'ren'ren'reng'hu'hu'dan 妊纫扔护沪丹
'ren'ren'reng'hu'hu'hu'dan 妊纫扔护互沪丹
'ren'reng'hu'hu'hu 纫扔护互沪
'ren'reng'hu'hu'hu'dan 纫扔护互沪丹
'ren'sheng'lu'fan'she 纫胜碌帆射
'ren'wang'zhong'zheng'sui 认妄终睁隋
'ren'yang'nan'han'hui 壬鸯男函烩
'ren'you 任犹
'reng'ye'bang'long'lian 仍噎镑陇炼
'rong'bi'mao'si'fu 戎彼卯嗣副
'rong'di'yuan'pu'luan 茸底原埔挛
'rong'fen 熔奋
'rong'pu'wei'zhi'huang'bei'su'wu 荣圃潍知煌狈溯坞
'rong'tie'pao'an'wan 荣贴咆胺碗
'rou'wang'hui'yang'ji 肉旺讳养击
'ru'bie'bai'dui'fan 如别柏兑凡
'ru'dian'qian'pen'wu 褥靛前盆捂
'ru'fu'zuo 入斧左
'ru'gui'dian'shan'ai 茹诡滇山埃
'ru'gui'tao'ke'chen 孺归萄客衬
'ru'shi'dao'jian'cu 辱屎岛缄粗
'ruan'gu'xiong'shuai'cuo 软鼓匈甩错
'rui'jing'shou'yan'yan'zei'zen'zeng'yan'yan'fu'fu'fu'yao 蕊净兽烟延贼怎憎掩砚伏俘俯要
'rui'yue'ci'feng'xuan 锐跃磁凤旋
'ruo'jiang'tan'chen'rong 弱匠滩晨茸
'sa'zao'dun'dang'jie 洒造墩党届
'san'shi'shi'jie'sang 散驶始芥桑
'san'xie'yan'miao'lian 三胁研妙帘
'sao'huan'niao'jiao'ping 扫环尿娇萍
'se'fu'mo'qiao'mo'fu 涩腑蘑翘模府
'se'xi'piao'zhu 瑟矽漂逐
'sha'huang'yi 莎惶乙
'shan'an'tan'tui'su 赡暗碳腿俗
'shan'ao 缮澳
'shan'gao'dan'po'bian 汕皋但婆遍
'shan'gou'gu 闪够辜
'shan'jian 山捡
'shan'jiao'qian'jiao'shan'jiao'luan'hui'qiao'lu'xiao 闪搅迁绞膳剿乱晦巧录霄
'shan'pen'jiu'ai'ni 苫盆揪埃倪
'shan'shan'bang'shan'shan'jiao'qian'jiao'shan'yan'shan'xian'dan 善赡蚌删闪搅迁绞膳炎陕涎弹
'shan'shan'dian'dao'dun'cu'cu 珊苫颠倒钝粗醋
'shan'suo'chuang'ji'lai 缮梭疮技赖
'shan'xi'jian'wan 闪惜尖腕
'shan'xiang'qian'xia'shi 膳乡浅霞示
'shan'xin'chu 善欣搐
'shan'zhe'zhe'zhe'zhe'zhe'zhe'zhe'li'zhe 闪遮折哲蛰辙者锗梨蔗
'shang'shi'ju'si'yan 裳拭狙肆阉
'shang'wan 商完
'shang'ya'dou'guo'shu 墒雅陡过蜀
'shang'yi'fan'pi'qi 裳逸帆琵迄
'shang'yue'man'sui'he 尚约曼遂核
'shao'ci'shu'er'mo 邵辞属洱末
'shao'dao'qiang'she'kang 捎道强慑亢
'she'dang'jiao'fei 舍党叫肺
'she'dian'zhi'ye'chou 社掂峙液踌
'she'jing'shi'shan'shi 赊京侍煽势
'she'nao'ding 奢脑盯
'she'she'xia'xia'ge'ge'ge'ge'ge 奢赊侠狭歌搁戈鸽胳
'she'ye'dan'ma'pian 舍页诞玛偏
'shen'jian'zou'mo'si 沈键揍抹嘶
'shen'quan 肾拳
'shen'quan'qiang 申犬羌
'shen'quan'qiang'qiang'yi'hui 申犬羌墙仪灰
'shen'quan'qiang'qiang'yi'yi'yi'yi'yi'yu'huang'hui 申犬羌墙仪胰疑沂宜御谎灰
'shen'yu'kun 砷逾困
'sheng'guo 生国
'shi'bu'hun'zi'shi 噬不昏字实
'shi'cao'ge'he 食草哥贺
'shi'dian'ku'kui'ni 柿滇哭葵泥
'shi'die'qiao'jiang 市碟锹姜
'shi'huang'yan'zhai'gang 矢慌唁翟冈
'shi'jie 始芥
'shi'jie'sang 始芥桑
'shi'leng'zu'pei'huang 噬棱组配磺
'shi'mu'qi'da'cai 实慕旗达财
'shi'run'shao'dian'lao 拭润梢点牢
'shi'shi 史使
'shi'shi'qian 嗜噬千
'shi'tao'hao'qian'xian 氏涛豪前咸
'shi'xun'an'zhuai'gua 是寻按拽褂
'shi'ze'sui'liu'lu 适择隋流卢
'shou'bo'pu'a'jia 首驳扑啊家
'shou'fu'zheng'zi'yi 兽涪正自臆
'shou'gou'zhao'yao'yan 收购找要宴
'shou'ji'lian'ya'sun 收箕镰押笋
'shou'jin'jian 寿进柬
'shou'xue'gong'geng'wu 售削宫梗舞
'shou'yao'yao 寿遥要
'shu'bi'gu'ye'xia 殊避固夜辖
'shu'bu'guan'gao 梳步罐皋
'shu'cai'ju'yuan'yuan 舒采踞冤鸳
'shu'dui'lao'liang'kui 恕对烙粱亏
'shu'lang 术狼
'shu'liu'wei'bo'bai 漱榴威播白
'shu'lu'heng'yan'hui 束卤亨堰卉
'shu'ma'gan 树玛肝
'shu'niu'nong'cai'luan'hui'gua 属纽脓猜挛会剐
'shu'niu'nong'cai'luan'hui'long 属纽脓猜挛会拢
'shu'pao'mie'sou'men'sou'shu'wu 抒炮灭艘门擞漱芜
'shu'pu'jiang'huo'chun 述浦奖伙纯
'shu'wu'fei'ju'mu 舒屋啡聚母
'shu'xi'zhang'jiu'wan 鼠希漳韭婉
'shu'xie'qiu'yun'wei 术械邱耘魏
'shu'xie'run'zang'miao 殊协润葬渺
'shu'zhang'sha'tang'xie 竖丈砂唐蝎
'shu'zhu'cha 淑著搽
'shu'zong'diao'zhen'peng 叔宗叼臻鹏
'shua'he'wu'you'zhuang 刷何芜诱庄
'shua'huan'chou 刷痪抽
'shuai'nei'nei'shuai'pei'fu'fu'ga'ga 衰馁内甩赔缚咐噶嘎
'shuai'zhi'xiang'shai'lang 摔智镶筛郎
'shuan'chui 拴吹
'shuang'chen'tao'jin'gan 霜臣萄巾赶
'shuang'zao'chai'cha'cun 爽澡豺碴村
'shui'dan'yan 谁蛋阉
'shui'shun'ti 税吮惕
'shui'ting'si'long 睡听嗣聋
'shui'xu'hou'wen'shan 谁须侯蚊闪
'shun'jiao'chu'hua'ye'pu 顺饺锄滑页莆
'shun'she'she'she'shen'ti'ti'teng'shao 瞬涉社设砷剔蹄腾绍
'shuo'sui'mei'bao'dai 烁遂镁苞代
'si'duo 巳夺
'si'le'shan'mi'hu 肆了杉蜜弧
'si'pan'hu'mian'qiao'pang'ji'ji'ji'ji'ai 斯叛狐绵敲胖际妓继纪隘
'si'pan'hu'mian'qiao'pang'ji'ji'ji'ling 斯叛狐绵敲胖际妓继玲
'si'qi'wang'cheng'bo 似脐王程勃
'si'shang'huan'huan'huang 肆裳宦幻荒
'si'sui'wu'jing'ba 死碎勿经扒
'si'zi'qi'xuan'kao 肆姿妻癣靠
'song'ban'wa'yan'ming 宋斑袜宴鸣
'song'pi'xi'wu'zhou 诵琵息毋舟
'sou'san'shu'nei 搜伞输内
'su'fu'lei'xian'suo 塑幅擂羡缩
'su'lu'wu'yue'wu 塑露无曰乌
'su'ti'she'tun'dao 速提奢吞悼
'suan'bie 蒜憋
'suan'huan'cuo'nian'xing 算涣错捻刑
'sui'ning 隧狞
'sui'po'chan'yi'guan 随迫谗乙观
'sui'qian'jian'wo'bi 遂铅饯蜗逼
'sui'rong'men'fan'yong 虽溶们凡拥
'sun'pan'yan'xiang'shu 孙判延象束
'suo'ci'miao'min'kuang 缩此妙皿况
'suo'hua'ming'jiang'tai 所花螟酱台
'suo'ji'xiao 梭寄嚣
'suo'mie'pei'jin'huan 唆蔑陪近痪
'suo'ta'shang'geng 索他伤庚
'suo'xi 缩膝
'suo'xiang 梭响
'ta'beng'tuan'chi'zhuo 它崩湍尺浊
'ta'bian'suo'mao'liu 塔扁琐貌硫
'ta'di'bu 蹋堤埠
'tai'dian'ku'jian'ge 酞滇窟建疙
'tai'ding'tui 胎叮退
'tai'mo'peng'feng'fo'fou'fu'kuo'la'fu 太抹鹏凤佛否夫阔垃敷
'tai'tai'tai'tan'lei'leng'leng'leng'wo'ya 太态汰坍泪棱楞冷斡鸭
'tai'tai'tan'hong 态汰坍哄
'tan'bi'ju'yao'duo 摊弊距姚剁
'tan'bing're'jian'huan 碳病热歼焕
'tan'die'zhu'zhou'yu 滩迭瞩肘于
'tan'jing'xi 探敬嘻
'tan'li'zhang'yin'ma'ping'tan 碳立仗尹吗凭探
'tan'long'pi 痰隆屁
'tan'qia'jin'shuai'xue 碳掐襟帅削
'tan'si'wei'jun'chang 贪嘶微菌长
'tan'wu'ti'liang'sui 坛吾蹄粱隋
'tan'zha'huan'shen 碳札焕慎
'tan'zong'zou'yan'sai'song'sui'pa'dian'wu'xi'kuan 坦纵邹炎塞讼虽啪掂勿昔款
'tang'ding'peng'wei're'zhe'man'kou'fu'lan 糖钉鹏巍热这蛮口符缆
'tang'fei'ping'luo'ji 汤菲坪裸纪
'tang'tang'tao'feng'zheng'zheng'tao 趟烫掏烽睁怔涛
'tang'zou'nie'jia 倘走聂稼
'tao'gong'ji'nai'gou 讨汞技氖狗
'tao'gui 逃圭
'tao'mei'mo'lu'shan 萄枚摩虏扇
'tao'tao'tao'tao'liu'tao'shou'liu'tao 绦萄桃逃榴淘受六陶
'tao'tao'yi 讨套一
'tao'yi'jiao'chi'lian 套裔脚侈连
'tao'zhe'zhu'qian'xi 套蛰诸乾析
'teng'ren'lv'gai'mai 腾忍屡概脉
'teng'yu'zhi'hua'li 藤逾植猾鲤
'ti'bao'bao'jian'su 嚏保宝间溯
'ti'duo'xi'guo'peng 惕惰洗锅鹏
'ti'huang'yi'nai'gong 锑黄一乃弓
'ti'pu'yu'pai'jiu 涕铺狱湃揪
'ti'ti'ti'ti'dian'pa 踢锑提题甸趴
'ti'xi'xing'hu'wei 剔晰惺壶唯
'ti'xing'zeng'xing'she 涕腥增猩蛇
'tian'dian'shao'fu 天点捎抚
'tian'pan'pin'die'bi 天畔贫蝶毖
'tian'que'pian'li'qi 恬瘸偏里妻
'tian'zhuo'kou 填灼扣
'tiao'qin'zhen'han'lin 眺秦甄憨磷
'tuan'juan'lun'chi'liu 团绢沦侈六
'tui'luo'sheng'bao'ku 蜕萝声报裤
'tui'qi'lou'qiu'ni 褪奇娄酋尼
'tui'yi'yi'shu 褪遗移蜀
'tun'ding'ding'ding'ding'ding'ding 吞钉顶鼎锭定订
'tun'ding'xi 吞钉汐
'tun'she'gang'pai'mi 吞社刚牌弥
'tuo'la'dan'tuo'di 拖喇氮驮堤
'tuo'wa'wen'zhi'man 驼娃蚊治蛮
'tuo'wen'bai'suo'xiu 鸵文百索休
'wa'mian'zong'tan'zhui 蛙免鬃毯赘
'wai'huang'qia'lu'han 歪恍恰录韩
'wan'di'cong'nao'zao 湾缔匆脑躁
'wan'hong'ai 完烘皑
'wan'leng'xi'gao'ke 湾棱汐糕磕
'wan'wan'di'di 婉万递缔
'wan'wan'di'di 婉万递谛
'wang'fu'she'ce'bai 往讣舌侧柏
'wang'lang'zhai'wu'yao 王琅债务姚
'wang'zhi'su'dong'suan 汪止僳东算
'wei'bie'wa'zhuai'chu 魏瘪挖拽橱
'wei'chun'long'chi'shu 伪唇陇痴术
'wei'dian'bi 纬惦敝
'wei'gou'nai'ta'jing 唯够氖蹋茎
'wei'kang'wa'bai'guo 未扛娃佰郭
'wei'liao'yi 危燎亦
'wei'lv'su'ming'pu 违铝速螟蒲
'wei'ou'gu'suan'miao 纬殴古蒜苗
'wei'qian'chi'xian'xi 胃扦痴险犀
'wei'quan'ce'bi 委痊册痹
'wei'shan'ling'zhan'die 味擅铃斩蝶
'wei'shang'tui'lou'pi 微裳颓篓疲
'wei'xiao'zhuan're'ceng 位校赚热蹭
'wei'ya'ji'shu'nu 未鸭济枢努
'wei'you 胃油
'wen'die'die'die'ding'ding'ding'jie'xia 纹迭谍叠丁盯叮姐霞
'wen'mu'hang'sa'teng 纹幕夯洒腾
'wo'chang'ci'cheng'cheng'cheng 涡猖刺撑称城
'wo'chang'niao'geng 涡猖鸟羹
'wo'hui'lan'bei 涡烩懒辈
'wu'jiao 雾酵
'wu'kuai'lu'xun'kan 武快颅旬坎
'wu'li'shu'ke'xi 毋沥疏壳析
'wu'lv 悟滤
'wu'mao'dun'peng'ling 勿矛钝碰令
'wu'pei'dan'sha'ji 诬沛蛋傻挤
'wu'qi'er'feng'ce 五戚洱峰册
'wu'su'yang'dong'zhuan 诬溯疡懂赚
'wu'sui'dong'cha'chen 午随栋查辰
'wu'tang'chun'lv'ba 呜淌纯虑爸
'wu'wen'xuan'zhi'tan 悟蚊癣止瘫
'wu'xiao'xian'biao'gan'kou'kou'gan 诬校羡彪敢抠口赣
'xi'bing'ding'min'su 稀病锭悯僳
'xi'bo'sheng'kui'luo 夕舶胜馈螺
'xi'hong'kai'xu'jiang 溪哄开需讲
'xi'huai 牺淮
'xi'huan'shi 系幻势
'xi'jun'chang 夕郡厂
'xi'lan'yi'feng'bei 夕兰异逢碑
'xi'liao'li'sa'yuan 袭撂里撒辕
'xi'ling'ke'chi'liang 悉灵可迟谅
'xi'mei 牺镁
'xi'xi'xi'lv'jiao'jiao'jie'jie'jie'feng'jie'jie'jie 夕惜熄屡叫窖揭接皆峰秸街阶
'xi'xi'xi'xi'wen'sang'ya'jing'ya'yan 犀檄袭席文嗓亚惊讶焉
'xi'xie'yuan'shou'ling 析胁怨手凌
'xi'xiu 惜嗅
'xi'xun'yang'fu'yu 悉逊羊父于
'xi'yan'kui'dao'dian 犀岩窥岛甸
'xi'yao 熙谣
'xi'ye'deng'qi'xian 戏冶灯器献
'xia'chi'shu 虾翅竖
'xia'chou'lei 夏绸垒
'xia'gang'cha'zhi'fu 狭刚茶芝弗
'xia'jian'biao'yang'miao 侠捡表样苗
'xian'bian'sun'kong'pan'jian'wu'li'shu'ke'xi 宪辫笋恐攀笺毋沥疏壳析
'xian'cheng'xin'zuo'ye 陷城心昨椰
'xian'du'suan'peng'ji 咸赌算烹集
'xian'feng'bo'tuo'hao 腺缝驳托郝
'xian'feng'die'lan'di 腺疯叠揽低
'xian'jiao 弦嚼
'xian'kan'ru'pai'lei 县勘辱湃擂
'xian'long'ze 宪隆责
'xian'mi'pan'hao 贤眯盼好
'xian'qiong'zhu'qin'cha 县穷竹沁查
'xian'shi'xin'jin'cao 限侍心巾槽
'xian'suan'he'diao'cheng 贤酸核叼承
'xian'ting'xian'pu'hou 掀听县瀑后
'xian'xian'pu'zhi'kuang'gui'rong 锨先铺止狂归溶
'xian'zhi'di 掀职底
'xian'zhuai'zheng'qi'hun 闲拽挣凄浑
'xiang'lou'yu'long'chai 想陋虞咙柴
'xiang'rang 橡攘
'xiang'ta'jun'huai'nian 享塔俊槐捻
'xiang'ya'lao'ang'weng 响鸭涝肮翁
'xiang'yu'yu'yin 详狱育荫
'xiang'zhan'zhan'bi 项詹粘毙
'xiang'zhan'zhan'zhan'dou 项詹粘沾痘
'xiang'zhi'pu'zhe'wu 橡吱谱者呜
'xiao'ca'xi'heng'rong 校擦檄横茸
'xiao'ji'long'zhao'er 肖寂垄沼贰
'xiao'mei'mi'di'kong 效梅醚堤控
'xiao'nao'zhu'guan'shan 硝挠主馆擅
'xiao'wei 消惟
'xiao'xie'quan'miao'jiao 啸泻权庙狡
'xie'bi'zai'wei'jie 些敝栽微杰
'xie'ce'zhuo'wo'cai 携册啄卧踩
'xie'he'cuo'shuan'deng 谐鹤错栓瞪
'xie'ji'ji'ji'ji'zha'zai 邪基机畸稽铡载
'xie'jing'zhu'jie'qiao 谐荆祝睫俏
'xie'jiu'chi'chi'jiu'duo'mao'duo 携旧匙池臼掇毛哆
'xie'man'cai'yao'ou 邪馒猜姚沤
'xie'ning'qian'zhou'la 邪拧钳粥拉
'xie'pi'ye 懈披冶
'xie'xi'pin'tai'pin'ou 邪牺贫台品偶
'xie'xie'xie'hui 写械卸慧
'xie'xing 协幸
'xie'xun'xun 蝎训讯
'xie'zeng'zha'da'ding 卸赠喳打定
'xie'zhuang 邪壮
'xin'hong'ren'dong'bi 信红认栋疪
'xin'rong'li'zhu'da 锌蓉隶驻搭
'xin'shi'zhou'zao'xi 忻释宙澡析
'xin'shou'shu'hu'chi 薪手叔护持
'xin'yu'kuang'ben'jun 锌于矿本均
'xin'zeng'duan'yue'fu 辛赠断粤覆
'xing'ding'she 幸盯蛇
'xing'xia'zhi 兴辖智
'xing'yi'kang'dun'guan 杏艺糠遁棺
'xing'yun'dou'lao'zhu 姓晕斗劳株
'xing'zeng'xing'she 腥增猩蛇
'xing'zhu'ying'hun'bo 猩铸映混勃
'xiong'teng'ri'xiu'su 汹疼日休溯
'xiu'zhao'zhe'zhe'zhe'zhe'zhe'zhe'zhe'li'zhe 秀召遮折哲蛰辙者锗梨蔗
'xu'dong'huai'chuang'bi 叙恫坏闯必
'xu'dou'yi'long'fa 戌兜医陇伐
'xu'jiao'song'mei'pu 戌交讼美圃
'xu'mei'yi'ying'zhuo 蓄寐役萤琢
'xu'piao'dou'shi'cang 徐瓢陡试沧
'xu'ti'yi'heng 徐锑翼哼
'xu'xu'xu'yu'yu'yu'yu'yu'yu'yu'xu 蓄酗叙迂淤于盂榆虞愚旭
'xuan'da'zai'ku'wu 宣答仔窟吾
'xuan'feng'shi'kang'kao 眩枫誓扛靠
'xuan'li'wei'gu'nong 眩力惟雇浓
'xuan'lv'dian'jun'ying 宣氯淀军迎
'xuan'nue'cang'yu'ji 旋虐苍俞寄
'xue'dian'fen'lin'guai 薛掂份林乖
'xue'qi'xie'sha'hong 穴畦蟹刹轰
'xue'xue'lan'lan'lan'lan'lan'xue'xue'xue 薛学兰澜谰揽览穴雪血
'xun'ba'zhou'jing'zhu 询罢皱径铸
'xun'cui'xian'lu'xi 熏淬现颅硒
'xun'hou'ma'hui'yao 殉侯妈惠舀
'xun'liao'yan'cou'zu 迅燎延凑阻
'xun'ni'ba'cu'mian 迅腻巴簇棉
'xun'pan'nv'jia'wu 驯攀女贾误
'xun'qian'tang'yue'cai 熏铅躺曰才
'xun'qing'jian 训晴件
'xun'xun'chui'chui 殉汛锤垂
'xun'xun'chui'ling 殉汛锤岭
'xun'xun'ya'ya'ya'ya'bi'ji'ji'xiang'xiang'wen 逊迅压呀丫芽毙既忌襄想闻
'xun'xun'ya'ya'ying'ying'yo'yong'he 逊迅压呀营映哟拥何
'ya'beng 呀绷
'ya'bin'zhuang'ji'sheng 哑彬壮嫉甥
'ya'hong'lan'xi'qi 芽红蓝戏脐
'ya'ling'lin'hei'chi 芽呤霖黑持
'ya'ma'wu'shu'piao'ran'jie 雅码武书瓢燃诫
'ya'ma'wu'shu'piao'shi 雅码武书瓢时
'ya'she'pa'huo'wei 鸦射帕伙伪
'ya'xiao'cong'yi'a 雅萧匆疑阿
'ya'ya'ya'bi 呀丫芽毙
'ya'ya'ya'ya'bi 压呀丫芽毙
'ya'zhu'zha'xing'liang 蚜竹栅猩量
'yan'diao'dang'gong'dian 炎刁当躬惦
'yan'gou'zheng'zhong'xi 演购争中稀
'yan'ji'ji'ji 颜际妓继
'yan'jun'chi'qi'chi 艳君斥欺炽
'yan'long'ju 炎龙聚
'yan'yan'duo 颜阎躲
'yan'yan'duo're'jie'yong'yong'jie'jie'nen'yan'yan'neng'jie 颜阎躲热睫佣臃竭洁嫩眼厌能结
'yan'yan'rui'jing'shou'yan'yan'zei 咽阉蕊净兽烟延贼
'yan'yan'yan'di'yan'liu'yan'yan'fen'fen'mian'ku 淹盐严地研硫蜒岩焚汾面苦
'yan'yi'zhan'hua'fei 蜒抑崭猾肥
'yan'yi'zhe'luan'mao 炎毅哲卵毛
'yan'yu'ti'zhi'zhi 衍语屉止脂
'yan'zhi'liao'nan'lou 烟帜辽南漏
'yan'zhi'miao'wan'nian 咽痔藐丸碾
'yang'chao'lie'gu'xiu 仰超列沽朽
'yang'ji'huang'gu'ying 氧缉恍菇樱
'yang'jue'shou'yin 仰攫授饮
'yang'ning'lin'mai'beng 佯拧邻麦蹦
'yang'nuan'ru'gu'zhuan 扬暖儒菇砖
'yang'yuan'he'cuo'lei 羊援涸挫蕾
'yang'zan'zeng'qi'ba 养赞增器坝
'yao'du'bie'peng'wei 摇肚憋抨委
'yao'gun'fu'ji'hui 邀辊腐讥灰
'yao'peng'zhu 舀砰住
'yao'tao'huai'wang'ye 腰陶徊枉野
'yao'ti'ti'ti'tan'yao'yao'ni'ni'zhi'zhen'nian'shang 姚替嚏剃叹舀药泥尼之疹捻晌
'yao'wu'zhou'bing'lue 窑雾昼炳略
'yao'xiao'yao'wa'piao 邀肖腰挖漂
'yao'yao'ti'ti'ti'yao'yao'yao'ni'ni'ni'ni'han 谣姚替嚏剃咬舀药泥尼拟你涵
'yao'yuan'ya'bei'kui 妖原讶焙窥
'yao'zhao'yi'nai'kao 耀照衣奶靠
'yao'zuo'deng'shi'lan 耀昨瞪式滥
'ye'duan'li'fan'zai 噎锻例翻哉
'ye'qian'suo'jian'jian 业钱蓑俭健
'ye'ye'ye'ye'man'nian'ye 业叶曳腋蔓碾夜
'yi'bang'hai'wang'shi 沂帮孩汪室
'yi'ben'jiao'lin'wu 异苯浇拎呜
'yi'bo'zhi 屹铂蜘
'yi'chuan'shu'lian'xi 夷椽术恋檄
'yi'fan'sha'wei'lu 益饭傻潍麓
'yi'gao'zhu'jing'chi 依镐嘱颈匙
'yi'hai'gua'shang'tan'bo 颐害寡墒袒玻
'yi'hai'gui'gu'ku'rou'bo'juan'luo'kan'juan'bang 衣氦龟古库揉剥娟洛坎绢谤
'yi'huang 忆恍
'yi'jin'bi'guai'qiao 忆尽笔乖敲
'yi'kui'xiu'ma'qi 疑盔休麻乞
'yi'lu'zha'kang'wan 倚禄炸糠湾
'yi'luo'zhuang 沂洛桩
'yi'nai'ban'yao'hao 亦奶颁遥壕
'yi'ruo'qing'shi'yi 以弱晴嗜颐
'yi'she'jun'fen'shen 蚁赦军纷绅
'yi'song'piao'ti'li 医怂瓢剃俐
'yi'xi'hui'dao'huan 乙昔灰捣幻
'yi'xun'bu'bian'ge 议寻怖卞各
'yi'xun'li'chan'jiao 异旬离谗骄
'yi'yan'fu'ying'gan 遗验腐蝇柑
'yi'ye'duo'jian'jing 矣腋躲剪竞
'yi'yi'yi'zhai'bai'bai'bai 毅译异寨柏百摆
'yi'yi'yi'zhai'zhan'zhan 毅译异寨瞻毡
'yi'yi'zhai'zhan'zhan 译异寨瞻毡
'yi'yin'xi'mei'jie 揖茵溪没届
'yi'yun'suan'zhan'zhan 易匀蒜蘸栈
'yi'zheng'shao'long'du 仪症少垄度
'yi'zhu'jin'ta'xue 已助晋塌血
'yin'bu'she'mian'chao 茵捕涉眠嘲
'yin'cheng'di'bian 饮称抵辩
'yin'gan'wu'zhen'kui 吟感钨贞魁
'yin'lin'pi 引赁皮
'yin'pu'po'kan'man 因瀑坡砍瞒
'yin'shu'qi 淫蜀其
'yin'wei'gui'chun'hai 因违规唇亥
'yin'yan'bi'wa'ba 尹验比瓦捌
'yin'yu'yu'yu'mian'xi'xie'hun'xian'xian'chan'yao 阴誉浴寓面晰挟混仙鲜搀窑
'yin'yu'yu'yu'xi 阴誉浴寓西
'yin'zhe'ge'kan'nai 淫辙葛看奈
'ying'an'ke'shen'yu 荧氨颗绅隅
'ying'cui'jie'lun'qie 蝇翠接轮且
'ying'gao 婴篙
'ying'gao'qia'yi'kua 迎镐洽疑胯
'ying'ji'sha'deng 蝇己厦登
'ying'kui 鹰岿
'ying'leng'fu'bi'yong 映冷斧逼痈
'ying'ling'cha'man 应零差满
'ying'pi'duo'chu'ao 鹰辟舵躇翱
'ying'qing'chong'pi'ying 盈清崇琵应
'ying'shen'shu'hu'jiang 缨神曙葫疆
'ying'shi'hong 缨室弘
'ying'shuai'chi'jiu'zhan 莹衰尺玖站
'ying'xiu'bao'shao'lian 硬嗅饱邵敛
'yo'li'mo'xiang'yin 哟隶模香荫
'yo'yong'he'he 哟拥何合
'yo'zhu'dan'jun'hen 哟注丹竣痕
'yong'fen'heng'jian'fu 勇粪衡简赋
'yong'jing'jing'deng'lou 用兢京登漏
'yong'luo'kai'jing'guan 臃逻楷茎关
'you'cai'xiu'gai'gang 又猜休该纲
'you'gai'gai 佑钙盖
'you'huo'er'chang'ying 铀火二猖颖
'you'liao'shi'yong'jian 有僚势勇茧
'you'meng'duan'dun'nie 有蒙段遁聂
'you'ru'juan'cheng'zhou 由辱绢澄洲
'you'sha'zi 邮砂子
'you'shao'lin'ju'jian 优稍霖踞拣
'you'xi'lan'chun'dian 铀系缆春颠
'you'xian'zao'jiao'bei 油险造交倍
'you'yu 油语
'you'zhi'yu'kou'sao 又汁驭扣搔
'yu'chen'li'hun'ba 喻陈励昏霸
'yu'dou'lian'qing'lu 峪逗敛氢鲁
'yu'jin'xian 娱谨馅
'yu'ling'ruo'nue'shou 俞岭若疟手
'yu'min 俞敏
'yu'rong'xuan'cha'zhi 与绒喧察止
'yu'shu'xing'zhe 欲薯猩遮
'yu'shu'zhan'lin'la 榆术詹磷辣
'yu'song'bei'pao'zi 愈宋被咆孜
'yu'sou'yao'gu 榆搜摇谷
'yu'ta 裕挞
'yu'wan 誉皖
'yu'wen'shang'ben'shao 娱稳裳本梢
'yu'yang'tiao'hu'qiang 狱扬条瑚抢
'yu'yu'ba'ji 寓鱼疤圾
'yu'yu'huang'hui 遇御谎灰
'yu'yu'juan'luo'kan'juan'bang 渝渔娟洛坎绢谤
'yu'yu'yin 狱育荫
'yu'yu'yuan'cuo'cuo 豫驭鸳撮错
'yu'zhen'qian'zi'pu 遇珍扦滋朴
'yu'zhi'yi'fu'ti 寓直疑伏题
'yu'zou'qi'gu'fu 于邹齐菇斧
'yuan'an'wo'xiang'fa 缘鞍沃向珐
'yuan'chou'zhu'yu 援瞅朱淤
'yuan'dun'wang'bu'zhou 袁吨网簿骤
'yuan'fan'fan'huo 员犯饭伙
'yuan'hua'jiu'han'mei 猿画救旱眉
'yuan'ming'hang'liao'chun 愿鸣夯潦椿
'yuan'que'fa'xiao'lian 员却法销涟
'yuan'shao'nuo'luo'zou 园梢挪落揍
'yuan'yi'si'jiao'lv 园屹思较履
'yuan'yu'su'pi'ding 园育苏劈叮
'yuan'yuan'yan'xia 愿怨言辖
'yuan'zu'ti'lu'teng 远租剔卤疼
'yue'chu'pie 悦触撇
'yue'fei'zong'nian'jian 月废总念溅
'yue'zheng'hui'pi'xiang 悦政慧譬橡
'yun'ge'ma'zhong'guan 匀阁蚂衷灌
'yun'he'li'you'pa 酝何离幼帕
'yun'lian'yun'yun 晕恋韵孕
'yun'shao'lie'ye 郧烧猎液
'yun'yi 郧艺
'za'ge 匝歌
'za'ge'ge'ye'shi 匝歌搁液誓
'za'ge'jia'nue'qi'hu'qi'jia 匝歌甲虐器蝴气钾
