'a'lun'fang'cha 阿伦方差
'li'zi'yuan 离子源
'li'zi'zhen'dang 离子振荡
'li'zi'zhu'ru 离子注入
'li'zi'zhu'ru'ji 离子注入机
'lian'he'tu'pian'zhuan'jia'zu 联合图片专家组
'lian'huan'ma 连环码
'lian'ji 联机
'lian'jia'ci'pan'rong'yu'zhen'lie 廉价磁盘冗余阵列
'lian'jie 连接
'lian'jie'li'ju 连接力矩
'lian'jie'ma 链接码
'lian'jie'pan 连接盘
'lian'jie'qi 连接器
'lian'jie'zong'he'fa 链接综合法
'lian'lu 链路
'lian'ma 链码
'lian'xu'bo'ci'kong'guan 连续波磁控管
'lian'xu'bo'fa'she'ji 连续波发射机
'lian'xu'bo'lei'da 连续波雷达
'lian'xu'bo'tiao'zhi 连续波调制
'lian'xu'du'zhuan'dian'liu 连续堵转电流
'lian'xu'fen'bu 连续分布
'lian'xu'zhi'ling 连续指令
'liang'cheng 量程
'liang'du 亮度
'liang'du'wen'du 亮度温度
'liang'du'xin'hao 亮度信号
'liang'shi'yin'xian 梁式引线
'liang'xing'za'zhi 两性杂质
'liang'zi'dian'zi'xue 量子电子学
'liang'zi'jing'yi'zhi'jie'ji'guang'qi 量子阱异质结激光器
'lie'biao'ma 列表码
'lie'yi'ma'qi 列译码器
'lin'guang 磷光
'lin'gui'bo'li 磷硅玻璃
'lin'jie'bo'chang 临界波长
'lin'jie'gong'lv 临界功率
'lin'jie'pin'lv 临界频率
'lin'jie'zu'ni 临界阻尼
'lin'suan'er'dao'jia 磷酸二氘钾
'lin'suan'er'qing'an 磷酸二氢铵
'lin'suan'er'qing'jia 磷酸二氢钾
'lin'suan'ran'liao'dian'chi 磷酸燃料电池
'ling'cha'jian'ce 零差检测
'ling'dai'xi'ban'dao'ti 零带隙半导体
'ling'dao'yu 零道阈
'ling'dian 零点
'ling'dian'wei 零电位
'ling'dian'xing'ce'xiang 零点型测向
'ling'dian'yi'wei'fa 零点移位法
'ling'ji'dian'xiang'xiao 零极点相消
'ling'ji'yi'xin'dao 零记忆信道
'ling'ji'yi'xin'yuan 零记忆信源
'ling'jia'she 零假设
'ling'jiao'cha'jian'ce'qi 零交叉检测器
'ling'jie'bao'chi'qi 零阶保持器
'ling'min'dian'liu'ji 灵敏电流计
'ling'min'du 灵敏度
'ling'min'du'shi'jian'kong'zhi 灵敏度时间控制
'ling'qiao'min'gan'qi 灵巧敏感器
'ling'ren'ou 零任偶
'ling'san 零散
'ling'tan'ce'gai'lv 零探测概率
'ling'wei'dian'ya 零位电压
'ling'wei'wu'cha 零位误差
'ling'wen'du'xi'shu'dian 零温度系数点
'ling'wen'tai'wu'cha'xi'tong 零稳态误差系统
'ling'wu'cha'xi'tong 零误差系统
'ling'zi 零子
'liu'dao 流导
'liu'dao'fa 流导法
'liu'dong'shi 流动式
'liu'guang'shi 流光室
'liu'hua'ge'tai'yang'dian'chi 硫化镉太阳电池
'liu'hua'ti'shi'xiang'guan 硫化锑视象管
'liu'jiao'jing'xi'tie'yang'ti 六角晶系铁氧体
'liu'liang 流量
'liu'liang'kong'zhi 流量控制
'liu'lv 流率
'liu'mi'ma 流密码
'liu'suan'san'gan'tai 硫酸三甘肽
'liu'xing'yu'ji'tong'xin 流星余迹通信
'liu'zu 流阻
'long'xing'tian'xian 笼形天线
'lou'bo'tian'xian 漏波天线
'lou'gan 漏感
'lou'guo'gong'lv 漏过功率
'lou'ji'dian'dao 漏极电导
'lou'jing'gai'lv 漏警概率
'lou'lv 漏率
'lou'shi 漏失
'lou'tong'bu 漏同步
'lou'xie'tong'zhou'dian'lan 漏泄同轴电缆
'lou'zhi'ling 漏指令
'lu'bang'xing 鲁棒性
'lu'dian'shi'yan 露点试验
'lu'jing 路径
'lu'qu'biao'zhi 录取标志
'lu'qu'xian'shi'qi 录取显示器
'lu'su'ji'shu'qi 卤素计数器
'lu'su'jian'lou'yi 卤素检漏仪
'lu'xiang'dai 录象带
'lu'xiang'ji 录象机
'lu'xiang'tou 录象头
'lu'yin'ji 录音机
'lu'you 路由
'lu'you'kong'zhi'zhong'xin 路由控制中心
'lu'you'qi 路由器
'lu'zhi 录制
'luan'jing 孪晶
'luan'jing'jian'jie 孪晶间界
'luo'ci'zhen'kong'beng 罗茨真空泵
'luo'dao'xian 裸导线
'luo'er'te 罗尔特
'luo'gui 裸规
'luo'he'wu 络合物
'luo'ji'bai'fu 逻辑摆幅
'luo'ji'dian'lu 逻辑电路
'luo'ji'fen'xi'yi 逻辑分析仪
'luo'ji'gu'zhang'ce'shi'qi 逻辑故障测试器
'luo'ji'mo'ni 逻辑模拟
'luo'ji'te'zheng'fen'xi'yi 逻辑特征分析仪
'luo'ji'zhuang'tai'fen'xi'yi 逻辑状态分析仪
'luo'lan 罗兰
'luo'lan'tong'xin 罗兰通信
'luo'lan'zhuan'fa 罗兰转发
'luo'tan'xi'tong 罗坦系统
'luo'xie'er'yan 罗谢尔盐
'luo'xing'wei'cuo 螺形位错
'luo'xuan'dian'wei'qi 螺旋电位器
'luo'xuan'man'bo'xian 螺旋慢波线
'luo'xuan'tou'jing 螺旋透镜
'luo'xuan'xian'ou'he'ye'pian'xian'lu 螺旋线耦合叶片线路
'luo'xuan'xiang'wei'tian'xian 螺旋相位天线
'lv'bo'dian'rong'qi 滤波电容器
'lv'bo'qi 滤波器
'lv'dian'jie'dian'rong'qi 铝电解电容器
'lv'hua'xin'xing'gan'dian'chi 氯化锌型干电池
'lv'kong'qi'dian'chi 铝空气电池
'lv'nie'gu'yong'ci'ti 铝镍钴永磁体
'lv'shi'zhen'han'shu 率失真函数
'lv'shi'zhen'li'lun 率失真理论
'lv'suan'yi'ji'guang'qi 铝酸钇激光器
'ma'ben 码本
'ma'chang 码长
'ma'fen'duo'zhi 码分多址
'ma'fen'fu'yong 码分复用
'ma'jian'gan'rao 码间干扰
'ma'lan'ge'ni'shu 马兰戈尼数
'ma'lv 码率
'ma'sheng'cheng'qi 码生成器
'ma'shu 码树
'ma'yuan'tong'bu 码元同步
'ma'zi 码字
'ma'zi'tong'bu 码字同步
'ma'zu 码组
'ma'zui'shen'du'jian'hu'yi 麻醉深度监护仪
'mai'bo'miao'ji'shu 脉搏描记术
'mai'ceng 埋层
'mai'chong 脉冲
'mai'chong'bian'ya'qi 脉冲变压器
'mai'chong'chong'dian 脉冲充电
'mai'chong'chong'fu'pin'lv 脉冲重复频率
'mai'chong'chuan 脉冲串
'mai'chong'ci'kong'guan 脉冲磁控管
'mai'chong'dian'rong'qi 脉冲电容器
'mai'chong'duo'pu'le'lei'da 脉冲多普勒雷达
'mai'chong'fa'she'ji 脉冲发射机
'mai'chong'fa'sheng'qi 脉冲发生器
'mai'chong'fang'da'qi 脉冲放大器
'mai'chong'fen'pei'fang'da'qi 脉冲分配放大器
'mai'chong'fu'du 脉冲幅度
'mai'chong'fu'du'tiao'zhi 脉冲幅度调制
'mai'chong'gong'lv 脉冲功率
'mai'chong'hou'yan 脉冲后沿
'mai'chong'jian'bo 脉冲检波
'mai'chong'jian'feng 脉冲尖峰
'mai'chong'kuan'du 脉冲宽度
'mai'chong'lei'da 脉冲雷达
'mai'chong'pin'lv'tiao'zhi 脉冲频率调制
'mai'chong'qi'dong'ji'guang'qi 脉冲气动激光器
'mai'chong'qian'yan 脉冲前沿
'mai'chong'tiao'zhi 脉冲调制
'mai'chong'xing'zhuang'jian'bie'qi 脉冲形状鉴别器
'mai'chong'ya'suo'lei'da 脉冲压缩雷达
'mai'chong'yin'dao'dian'lu 脉冲引导电路
'mai'dong'chang'ci'kong'guan 脉动场磁控管
'mai'fu'tiao'zhi 脉幅调制
'mai'kuan 脉宽
'mai'kuan'tiao'zhi 脉宽调制
'mai'ma'tiao'zhi 脉码调制
'mai'ma'tiao'zhi'yao'ce 脉码调制遥测
'mai'shi'tiao'zhi 脉时调制
'mai'wei'tiao'zhi 脉位调制
'mai'xiang'xi'tong 脉相系统
'mai'ya'jie'shou'ji 脉压接收机
'mai'ze 脉泽
'man'bo'bi 慢波比
'man'bo'jie'gou 慢波结构
'man'bo'xian 慢波线
'mang'jun'heng 盲均衡
'mang'su 盲速
'mang'xiang 盲相
'mao'xi'cheng'xing'ji'shu 毛细成形技术
'mei'dian'ji 酶电极
'mei'gan'lan'shi'ci 镁橄榄石瓷
'mei'guo'biao'zhun 美国标准
'mei'guo'guo'jia'dian'shi'xi'tong'zhun'shi'pin'dian'bo 美国国家电视系统准视频点播
'mei'guo'guo'jia'xin'xi'ji'chu'she'shi 美国国家信息基础设施
'mei'guo'quan'guo'guang'bo'gong'si 美国全国广播公司
'mei'guo'quan'guo'guang'bo'gong'zuo'zhe'xie'hui 美国全国广播工作者协会
'mei'guo'shi'pin'dian'zi'biao'zhun'xie'hui 美国视频电子标准协会
'mei'guo'wei'xing'guang'bo'gong'si 美国卫星广播公司
'mei'jun'shi'yan 霉菌试验
'mei'min'gan'qi 酶敏感器
'mei'ti'kong'zhi'jie'kou 媒体控制接口
'mei'zhi 媒质
'men'chuan'shu'yan'chi 门传输延迟
'men'hai 门海
'men'kong'ji'fen'qi 门控积分器
'men'zhen'lie 门阵列
'men'zhen'lie'fa 门阵列法
'mi'du 密度
'mi'du'di'jian'zhen'tian'xian 密度递减阵天线
'mi'er'si'jiao'cha'tian'xian 米尔斯交叉天线
'mi'feng'xing'shi'yan 密封性试验
'mi'ji'duo'lu'tong'xin 密集多路通信
'mi'le'ji'fen'dian'lu 米勒积分电路
'mi'le'qu 米勒区
'mi'ma 密码
'mi'ma'fen'xi 密码分析
'mi'ma'ti'zhi 密码体制
'mi'ma'xi'tong 密码系统
'mi'ma'xue 密码学
'mi'mi'mi'yao 秘密密钥
'mi'shi'san'she'ji'guang'lei'da 米氏散射激光雷达
'mi'wen 密文
'mi'wen'chang'pian 密纹唱片
'mi'yao 密钥
'mi'yao'fen'ji'jie'gou 密钥分级结构
'mian'beng'pu 面泵浦
'mian'jie'chu'er'ji'guan 面接触二极管
'mian'lei'tan'ce'qi 面垒探测器
'mian'que'xian 面缺陷
'mian'tian'xian 面天线
'mian'xiang'dui'xiang 面向对象
'mian'xiang'dui'xiang'bian'cheng 面向对象编程
'mian'yi'min'gan'qi 免疫敏感器
'mian'zhen 面阵
'miao'shu'han'shu 描述函数
'miao'zhun'gan'rao 瞄准干扰
'min'gan'qi 敏感器
'min'gan'yuan 敏感元
'min'gan'yuan'jian 敏感元件
'ming'shi'jue 明视觉
'mo'bian 磨边
'mo'dian'zu 膜电阻
'mo'duan'dian'chi 末端电池
'mo'duan'she'bei 末端设备
'mo'er'mo'xing 莫尔模型
'mo'guo'lv 膜过滤
'mo'hu 模糊
'mo'hu'du 模糊度
'mo'hu'han'shu 模糊函数
'mo'hu'tu 模糊图
'mo'hu'xin'xi 模糊信息
'mo'huan'lv'bo'qi 膜环滤波器
'mo'jian'se'san 模间色散
'mo'jiao'ran'se'fa 磨角染色法
'mo'lai'shi'ci 莫来石瓷
'mo'nei'se'san 模内色散
'mo'ni'cheng'fa'qi 模拟乘法器
'mo'ni'fen'liang'lu'xiang'ji 模拟分量录象机
'mo'ni'ji'cheng'dian'lu 模拟集成电路
'mo'ni'jiao'huan 模拟交换
'mo'ni'neng'li 模拟能力
'mo'ni'qi 模拟器
'mo'ni'shi'bo'qi 模拟示波器
'mo'ni'tong'xin 模拟通信
'mo'ni'xin'hao 模拟信号
'mo'ni'yi'qi 模拟仪器
'mo'qiu'mian 磨球面
'mo'shi'bian'huan'qi 模式变换器
'mo'shi'ji'yuan 模式基元
'mo'shi'lv'bo'qi 模式滤波器
'mo'shi'pi'pei 模式匹配
'mo'shi'shi'bie 模式识别
'mo'shi'zao'sheng 模式噪声
'mo'shu'zhuan'huan'qi 模数转换器
'mo'ti'ji 模体积
'mo'xing'can'shu'ti'qu 模型参数提取
'mo'yuan 磨圆
'mo'zhuan'huan'gan'rao 模转换干扰
'mu'ban 母版
'mu'biao'bu'huo 目标捕获
'mu'biao'dian'ci'te'zheng 目标电磁特征
'mu'biao'han'shu 目标函数
'mu'biao'qi'fu 目标起伏
'mu'biao'rong'liang 目标容量
'mu'biao'san'she'ju'zhen 目标散射矩阵
'mu'biao'shan'shuo 目标闪烁
'mu'biao'shi'bie 目标识别
'mu'biao'zao'sheng 目标噪声
'mu'biao'zhao'she'lei'da 目标照射雷达
'mu'pian 母片
'mu'shan'gong'yi 钼栅工艺
'mu'shi'fei'xing'gui'ze 目视飞行规则
'nai'er'dian 奈耳点
'nai'er'wen'du 奈耳温度
'nai'jiu'xing 耐久性
'nai'jiu'xing'shi'yan 耐久性试验
'nai'kui'si'te'pan'ju 奈奎斯特判据
'nai'kui'si'te'su'lv 奈奎斯特速率
'nai'kui'si'te'tu 奈奎斯特图
'nan'rong'jin'shu'gui'hua'wu 难熔金属硅化物
'nao'ci'miao'ji'shu 脑磁描记术
'nao'dian'fen'bu'tu'ce'liang 脑电分布图测量
'nao'dian'miao'ji'shu 脑电描记术
'nao'gong'neng'yi 脑功能仪
'nei'biao'zhun'hua 内标准化
'nei'bu'zong'xian 内部总线
'nei'guang'dian'xiao'ying 内光电效应
'nei'jian'shi 内建势
'nei'jian'zhen'duan'dian'lu 内建诊断电路
'nei'ju'xing 内聚性
'nei'liang'zi'xiao'lv 内量子效率
'nei'qi'ti'tan'ce'qi 内气体探测器
'nei'qiang'shi'qi'ti'ji'guang'qi 内腔式气体激光器
'nei'yin'xian'han'jie 内引线焊接
'nei'zu 内阻
'neng'gong'zuo'shi'jian 能工作时间
'neng'liang'ke'du 能量刻度
'ni'bian'qi 逆变器
'ni'cheng'lv 逆程率
'ni'he'cheng'kong'jing'lei'da 逆合成孔径雷达
'ni'lv'bo'qi 逆滤波器
'ni'shi'ta'kang 逆式塔康
'ni'suan'bei'na 铌酸钡钠
'ni'suan'bei'si 铌酸钡锶
'ni'suan'jia 铌酸钾
'ni'suan'li 铌酸锂
'ni'suan'yan'xi'tao'ci 铌酸盐系陶瓷
'ni'tan'suan'jia 铌钽酸钾
'ni'xin'dao 逆信道
'ni'zeng'yi'gan'rao 逆增益干扰
'nian'fu'gai'lv 粘附概率
'nian'jie'ci'ti 粘结磁体
'nian'zhi'liu 粘滞流
'nian'zhi'zhen'kong'ji 粘滞真空计
'nie'he'li 啮合力
'nie'lian 捏练
'niu'bo'dao 扭波导
'niu'qu 扭曲
'niu'qu'xiang'lie'mo'shi 扭曲向列模式
'niu'zhe 扭折
'niu'zi'kai'guan 钮子开关
'nong'du 浓度
'nv'bo'li'ji'guang'qi 钕玻璃激光器
'nv'jing'ti'ji'guang'qi 钕晶体激光器
'ou'he'dian'rong'qi 耦合电容器
'ou'he'du 耦合度
'ou'he'huan 耦合环
'ou'he'kong 耦合孔
'ou'he'qiang'ji'shu 耦合腔技术
'ou'he'qiang'man'bo'xian 耦合腔慢波线
'ou'he'tan'zhen 耦合探针
'ou'he'zu'kang 耦合阻抗
'ou'ji'zi 偶极子
'ou'ji'zi'tian'xian 偶极子天线
'ou'mu'biao 欧姆表
'ou'mu'ding'lv 欧姆定律
'ou'mu'jia're 欧姆加热
'ou'mu'jie'chu 欧姆接触
'ou'ran'shi'xiao'qi 偶然失效期
'ou'zhou'guo'ji'guang'bo'hui'yi 欧洲国际广播会议
'pa'xing'qu'xian 帕邢曲线
'pai'pin'zhen'dang'qi 拍频振荡器
'pai'qi 排气
'pan'bie'han'shu 判别函数
'pan'jue 判决
'pan'ni'guan 潘尼管
'pan'ning'zhen'kong'ji 潘宁真空计
'pan'xing'ji'guang'qi 盘形激光器
'pan'zhui'tian'xian 盘锥天线
'pang'ban 旁瓣
'pang'ban'dui'xiao 旁瓣对消
'pang'ban'xiao'yin 旁瓣消隐
'pang'guang'dian'miao'ji'shu 膀胱电描记术
'pang'jia'lai'qiu 庞加莱球
'pang'lian'xi'tong 旁联系统
'pang'lu'dian'rong'qi 旁路电容器
'pang'tong'fa 旁通阀
'pao'bing'zhen'cha'xiao'she'lei'da 炮兵侦察校射雷达
'pao'dao'shi'ju 跑道视距
'pao'guang 抛光
'pao'jing 泡径
'pao'ke'er'si'he 泡克耳斯盒
'pao'qian'yi'lv 泡迁移率
'pao'wei'zhen'cha'lei'da 炮位侦察雷达
'pao'wu'huan'mian'tian'xian 抛物环面天线
'pao'wu'mian'fan'she'qi 抛物面反射器
'pao'wu'mian'tian'xian 抛物面天线
'pei'ji'shou 陪集首
'pen'she'zhen'kong'beng 喷射真空泵
'pen'wu'gan'zao 喷雾干燥
'pen'zui 喷嘴
'peng'lin'gui'bo'li 硼磷硅玻璃
'peng'zhuang'zhan'kuan 碰撞展宽
'pi'ceng'dian'miao'ji'shu 皮层电描记术
'pi'fu'dian'zu'miao'ji'shu 皮肤电阻描记术
'pi'la'ni'zhen'kong'gui 皮拉尼真空规
'pi'liang 批量
'pi'pei 匹配
'pi'pei'duan 匹配段
'pi'pei'lv'bo'qi 匹配滤波器
'pi'pei'mu'ban 匹配模板
'pi'pei'zhong'duan 匹配终端
'pi'rong'xu'bu'he'ge'lv 批容许不合格率
'pi'shi'ji 皮氏计
'pi'xing'zhong'duan 劈形终端
'pian'ci 偏磁
'pian'li'zhi'shi'qi 偏离指示器
'pian'shi'dian'gan'qi 片式电感器
'pian'shi'dian'rong'qi 片式电容器
'pian'shi'dian'zu'qi 片式电阻器
'pian'shi'yuan'jian 片式元件
'pian'ya 偏压
'pian'zhen 偏振
'pian'zhen'fen'ji 偏振分集
'pian'zhuan 偏转
'pian'zhuan'dian'ji 偏转电极
'pian'zhuan'hou'jia'su 偏转后加速
'pian'zhuan'ji'bian 偏转畸变
'pian'zhuan'xi'shu 偏转系数
'piao'yi 漂移
'piao'yi'kong'jian 漂移空间
'piao'yi'qian'yi'lv 漂移迁移率
'piao'yi'qu 漂移区
'piao'yi'shi 漂移室
'piao'yi'su'diao'guan 漂移速调管
'pin'dai'cen'ci 频带参差
'pin'dai'dao'zhi 频带倒置
'pin'fen'duo'zhi 频分多址
'pin'fen'fu'yong 频分复用
'pin'fen'yao'ce 频分遥测
'pin'fen'zhi'ling 频分指令
'pin'lv 频率
'pin'lv'bian'huan 频率变换
'pin'lv'cun'chu 频率存储
'pin'lv'dou'dong 频率抖动
'pin'lv'fen'ji 频率分集
'pin'lv'fen'ji'lei'da 频率分集雷达
'pin'lv'he'cheng'qi 频率合成器
'pin'lv'ji 频率计
'pin'lv'jie'bian 频率捷变
'pin'lv'jie'bian'lei'da 频率捷变雷达
'pin'lv'jie'yue 频率阶跃
'pin'lv'qian'yin 频率牵引
'pin'lv'qu'xiang'guan 频率去相关
'pin'lv'shang'zhuan'huan 频率上转换
'pin'lv'te'xing 频率特性
'pin'lv'tiao'bian 频率跳变
'pin'lv'wen'ding'du 频率稳定度
'pin'lv'xiang'ying 频率响应
'pin'pian 频偏
'pin'pian'biao 频偏表
'pin'pu 频谱
'pin'pu'chun'du 频谱纯度
'pin'pu'fen'xi'yi 频谱分析仪
'pin'sao'lei'da 频扫雷达
'pin'shuo'zhi'fang'tu 频数直方图
'pin'yi'jian'kong 频移键控
'pin'yu'ce'liang 频域测量
'pin'yu'jun'heng'qi 频域均衡器
'pin'yu'zi'dong'wang'luo'fen'xi'yi 频域自动网络分析仪
'pin'zhi'yin'shu 品质因数
'ping'ban'dian'shi 平板电视
'ping'ban'xian'shi 平板显示
'ping'bi'xi'shu 屏蔽系数
'ping'dai'dian'ya 平带电压
'ping'ding'jiang'luo 平顶降落
'ping'ding'tian'xian 平顶天线
'ping'fang'lv'jian'bo 平方律检波
'ping'fang'yu'ge'tian'xian 平方余割天线
'ping'heng'bu'ping'heng'bian'huan'qi 平衡不平衡变换器
'ping'heng'dian 平衡点
'ping'heng'hun'pin'qi 平衡混频器
'ping'heng'jian'bo'qi 平衡检波器
'ping'heng'zai'liu'zi 平衡载流子
'ping'jie'guan'jie 平接关节
'ping'jun'gong'lv 平均功率
'ping'jun'gong'lv'ji 平均功率计
'ping'jun'gu'zhang'jian'ge'shi'jian 平均故障间隔时间
'ping'jun'jian'chu'zhi'liang 平均检出质量
'ping'jun'wu'gu'zhang'gong'zuo'shi'jian 平均无故障工作时间
'ping'jun'wu'gu'zhang'shi'jian 平均无故障时间
'ping'liu'ceng'chuan'bo 平流层传播
'ping'mian'bo 平面波
'ping'mian'er'ji'guan 平面二极管
'ping'mian'gong'yi 平面工艺
'ping'mian'ji'hua 平面极化
'ping'mian'jing'ti'guan 平面晶体管
'ping'mian'wang'luo 平面网络
'ping'mian'wei'zhi'xian'shi'qi 平面位置显示器
'ping'mian'xing'tie'yang'ti 平面型铁氧体
'ping'mian'zhen 平面阵
'ping'qian'tian'xian 平嵌天线
'ping'shan'ji 屏栅极
'ping'shi'xian'shi'qi 平视显示器
'ping'wen'xin'dao 平稳信道
'ping'xie 坪斜
'ping'xing'ji'hua 平行极化
'po'luo'xie'zhen'qiang 珀罗谐振腔
'po'sai'er'xiao'ying 珀塞尔效应
'po'yi'shi'jian 破译时间
'pou'mian 剖面
'pu'en'mo'xing 普恩模型
'pu'gu'ji 谱估计
'pu'yi'fang'da'qi 谱仪放大器
'pu'zhi'shu 谱指数
'pu'zhuang'jing'ti 蹼状晶体
'qi'dian 奇点
'qi'dong'guan'pin'te'xing 起动惯频特性
'qi'dong'ji'guang'qi 气动激光器
'qi'dong'ju'pin'te'xing 起动矩频特性
'qi'dong'xi'feng 起动隙缝
'qi'fa'shi'bu'xian 启发式布线
'qi'fu'gan'rao 起伏干扰
'qi'fu'wu'cha 起伏误差
'qi'liu'tan'ce'qi 气流探测器
'qi'na'er'ji'guan 齐纳二极管
'qi'na'ji'chuan 齐纳击穿
'qi'pao'shi 气泡室
'qi'pian'xing'gan'rao 欺骗性干扰
'qi'shi'fu 起始符
'qi'ta'qi'jian 其他器件
'qi'tai'yuan'kuo'san 气态源扩散
'qi'ti'dian'li 气体电离
'qi'ti'dian'li'dian'wei 气体电离电位
'qi'ti'fang'da 气体放大
'qi'ti'fang'dian 气体放电
'qi'ti'fang'dian'fu'she'ji'shu'guan 气体放电辐射计数管
'qi'ti'fang'dian'guan 气体放电管
'qi'ti'ji'guang'qi 气体激光器
'qi'xian 鳍线
'qi'xiang'chuan'yue 气象穿越
'qi'xiang'chuan'zhi'xi'shu 气相传质系数
'qi'xiang'hui'bi 气象回避
'qi'xiang'lei'da 气象雷达
'qi'xiang'wai'yan 汽相外延
'qi'xiang'zhi'liang'zhuan'yi'xi'shu 气相质量转移系数
'qi'ya'ji 气压计
'qi'zhen'zhen'kong'beng 气镇真空泵
'qian'dao 前导
'qian'dao'ma 前导码
'qian'duan'zong'xian 前端总线
'qian'hui'ju 欠会聚
'qian'ji'guan'lu 前级管路
'qian'ji'ya'li 前级压力
'qian'jie'gong'yi 浅结工艺
'qian'kui'kong'zhi 前馈控制
'qian'neng'ji 浅能级
'qian're'fa'she 欠热发射
'qian'wang'jing'tian'xian 潜望镜天线
'qian'wei 箝位
'qian'wei'er'ji'guan 箝位二极管
'qian'wei'qi 箝位器
'qian'xi 迁徙
'qian'xiang'bo 前向波
'qian'xiang'jiu'cuo 前向纠错
'qian'xu'dian'chi 铅蓄电池
'qian'yi'lv 迁移率
'qian'yin'fen'zi'beng 牵引分子泵
'qian'zhi'bao'hu'fang'dian'guan 前置保护放电管
'qian'zhi'fang'da'qi 前置放大器
'qian'zhui'ma 前缀码
'qian'zu'ni'xiang'ying 欠阻尼响应
'qiang'dao'kong 腔倒空
'qiang'fan'xing 强反型
'qiang'liu'dian'zi'guang'xue 强流电子光学
'qiang'po'zhen'dang 强迫振荡
'qiao'qu 翘曲
'qiao'ti'tai'yang'dian'chi'zhen 壳体太阳电池阵
'qie'bi'xue'fu'fen'bu 切比雪夫分布
'qie'bi'xue'fu'lv'bo'qi 切比雪夫滤波器
'qie'lian'ke'fu'fu'she 切连科夫辐射
'qie'lian'ke'fu'tan'ce'qi 切连科夫探测器
'qie'pian 切片
'qie'ting 窃听
'qing'chan'za'lou'ji'ji'shu 轻掺杂漏极技术
'qing'jie'zhen'kong 清洁真空
'qing'xi 清洗
'qing'xi'du 清晰度
'qing'zha'liu'guan 氢闸流管
'qiu'cha 球差
'qiu'han 球焊
'qiu'ke'la'si'ji'fa 丘克拉斯基法
'qiu'mian'bo 球面波
'qiu'mian'zhen 球面阵
'qu'dong'li 驱动力
'qu'fu'xiao'ying 趋肤效应
'qu'ji'hua 去极化
'qu'jia'zhong'wang'luo 去加重网络
'qu'jiao 去胶
'qu'la 去蜡
'qu'li'zi'shui 去离子水
'qu'ou'lv'bo'qi 去耦滤波器
'qu'xiao'zhi'ling 取消指令
'qu'yang 取样
'qu'yang'kong'zhi 取样控制
'qu'yang'qi 取样器
'qu'yang'shi'bo'qi 取样示波器
'qu'yang'shu'ju'xi'tong 取样数据系统
'qu'yu'miao'hui 区域描绘
'qu'yu'rong'lian 区域熔炼
'qu'zhe'lv'bo'qi 曲折滤波器
'qu'zhe'xian'man'bo'xian 曲折线慢波线
'quan'fan'zhuan 全反转
'quan'hao'jin'ban'dao'ti'tan'ce'qi 全耗尽半导体探测器
'quan'jing'jie'shou'ji 全景接收机
'quan'jing'pin'pu'fen'xi'yi 全景频谱分析仪
'quan'jing'xian'shi'qi 全景显示器
'quan'qiu'ding'wei'wei'xing 全球定位卫星
'quan'qiu'ding'wei'xi'tong 全球定位系统
'quan'qiu'yi'dong'tong'xin'xi'tong 全球移动通信系统
'quan'se'xian'shi 全色显示
'quan'shen'fu'she'ji 全身辐射计
'quan'shu'zi'jie'ru 全数字接入
'quan'tian'hou'zi'dong'zhuo'lu 全天候自动着陆
'quan'tong'wang'luo 全通网络
'quan'xi'shu 全息术
'quan'xi'tu 全息图
'quan'xi'xian'shi 全息显示
'quan'xi'xin'xi'cun'chu 全息信息存储
'quan'xi'yan'mo'ji'shu 全息掩模技术
'quan'xiang'chuan'sheng'qi 全向传声器
'quan'xiang'tian'xian 全向天线
'quan'xiang'xin'biao 全向信标
'que'ren 确认
'que'xian 缺陷
'qun'ju'kong'jian 群聚空间
'qun'kong 群控
'qun'lu'xin'ling 群路信令
'qun'shi'yan 群时延
'qun'su 群速
'qun'tong'bu 群同步
'ran'liao 染料
'ran'liao'chi 染料池
'ran'liao'dian'chi 燃料电池
'ran'liao'ji'guang'qi 染料激光器
'ran'se 染色
'rao'gan'shi'tian'xian 绕杆式天线
'rao'jie'jie'chu'jian 绕接接触件
'rao'ma'qi 扰码器
're'bi'fan'ying'qi 热壁反应器
're'bu'chang'he'jin 热补偿合金
're'chao'sheng'han 热超声焊
're'chong'ji'shi'yan 热冲击试验
're'chuan'dao'zhen'kong'ji 热传导真空计
're'ci'xie'ru 热磁写入
're'dian'qi'jian 热电器件
're'dian'que'xian 热点缺陷
're'dian'xiao'ying 热电效应
're'dian'zi 热电子
're'dian'zi'jing'ti'guan 热电子晶体管
're'dui'liu 热对流
're'fen'jie'dian'ji 热分解淀积
're'fen'zi'zhen'kong'ji 热分子真空计
're'guang'fu'qi'jian 热光伏器件
're'ji'chuan 热击穿
're'ji'dian'qi 热继电器
're'ji'huo'dian'chi 热激活电池
're'ji'ya 热挤压
're'jie'wai'yan 热解外延
're'li'zi'fa'dian'qi 热离子发电器
're'li'zi'yin'ji 热离子阴极
're'liang'shu'yun 热量输运
're'liu'yi 热流逸
're'min'cheng'xiang'fa 热敏成象法
're'min'dian'zu 热敏电阻
're'min'tie'yang'ti 热敏铁氧体
're'ou'zhen'kong'ji 热偶真空计
're'pi'lao 热疲劳
're'ping'yin'ji 热屏阴极
're'she'ji 热设计
're'tan'zhen'fa 热探针法
're'tou'jing'bu'chang 热透镜补偿
're'xiang'tu'cheng'xiang 热象图成象
're'xiang'yi 热象仪
're'ya 热压
're'ya'han 热压焊
're'ya'zhu 热压铸
