'bai'bing 白病
'shao'yin'shang'jin'dong'xue'zheng 少阴伤津动血证
'shao'yin'yan'tong'zheng 少阴咽痛证
'shao'yin'zheng 少阴证
'she'chuan'chuang'bing 蛇串疮病
'she'du'nei'gong'zheng 蛇毒内攻证
'she'du'shang'gong'zheng 蛇毒上攻证
'she'fu'ding'bing 蛇腹疔病
'she'ling'chuang'bing 摄领疮病
'she'tou'ding'bing 蛇头疔病
'she'yan'ding'bing 蛇眼疔病
'shen'ai'fan'hua'bing 肾癌翻花病
'shen'bu'na'qi'zheng 肾不纳气证
'shen'hun'bing 神昏病
'shen'jing'bu'zu'zheng 肾精不足证
'shen'jing'kui'hao'zheng 肾精亏耗证
'shen'jing'kui'sun'zheng 肾精亏损证
'shen'jing'kui'xu'zheng 肾精亏虚证
'shen'ming'shi'zhi'zheng 神明失职证
'shen'nang'feng'bing 肾囊风病
'shen'qi'bu'chong'zheng 肾气不充证
'shen'qi'bu'gu'zheng 肾气不固证
'shen'qi'bu'she'zheng 肾气不摄证
'shen'qi'bu'zu'zheng 肾气不足证
'shen'qi'kui'xu'yang'xu'zheng 肾气亏虚阳虚证
'shen'qi'kui'xu'yin'xu'zheng 肾气亏虚阴虚证
'shen'qi'kui'xu'zheng 肾气亏虚证
'shen'qi'shuai'wei'zheng 肾气衰微证
'shen'shuai'bing 肾衰病
'shen'shui'jiang'ku'bing 神水将枯病
'shen'xu'bu'gu'yang'xu'zheng 肾虚不固阳虚证
'shen'xu'bu'gu'yin'xu'zheng 肾虚不固阴虚证
'shen'xu'bu'gu'zheng 肾虚不固证
'shen'xu'gan'kang'zheng 肾虚肝亢证
'shen'xu'gu'ruo'zheng 肾虚骨弱证
'shen'xu'han'ning'zheng 肾虚寒凝证
'shen'xu'han'shi'zheng 肾虚寒湿证
'shen'xu'han'tan'zheng 肾虚寒痰证
'shen'xu'hua'tuo'jing'guan'bu'gu'zheng 肾虚滑脱精关不固证
'shen'xu'hua'tuo'zheng 肾虚滑脱证
'shen'xu'huo'wang'zheng 肾虚火旺证
'shen'xu'jing'kui'zheng 肾虚精亏证
'shen'xu'nei're'zheng 肾虚内热证
'shen'xu'shi're'zheng 肾虚湿热证
'shen'xu'shi'yue'zheng 肾虚失约证
'shen'xu'shui'fan'zheng 肾虚水泛证
'shen'xu'sui'jian'zheng 肾虚髓减证
'shen'xu'sui'kui'zheng 肾虚髓亏证
'shen'xu'sui're'zheng 肾虚髓热证
'shen'xu'zheng 肾虚证
'shen'yang'bu'zu'qi'hua'wu'quan'zheng 肾阳不足气化无权证
'shen'yang'bu'zu'zheng 肾阳不足证
'shen'yang'kui'xu'zheng 肾阳亏虚证
'shen'yang'shuai'bei'zheng 肾阳衰惫证
'shen'yang'shuai'wei'zheng 肾阳衰微证
'shen'yang'xu'shuai'zheng 肾阳虚衰证
'shen'yang'xu'sun'zheng 肾阳虚损证
'shen'yin'bu'zu'shui'ye'bu'li'zheng 肾阴不足水液不利证
'shen'yin'bu'zu'zheng 肾阴不足证
'shen'yin'hao'sun'zheng 肾阴耗损证
'shen'yin'kui'xu'zheng 肾阴亏虚证
'shen'yin'xu'sun'zheng 肾阴虚损证
'shen'yuan'bu'zu'nei'feng'an'shan'zheng 肾元不足内风暗煽证
'shen'yuan'bu'zu'zheng 肾元不足证
'shen'yuan'kui'xu'xie'du'ting'ju'zheng 肾元亏虚邪毒停聚证
'shen'yuan'kui'xu'zheng 肾元亏虚证
'shi'chuang'bing 湿疮病
'shi'du'jin'yin'zheng 湿毒浸淫证
'shi'du'yun'fu'zheng 湿毒蕴肤证
'shi'du'yun'jie'zheng 湿毒蕴结证
'shi'du'zheng 湿毒证
'shi'du'zhong'zu'zheng 湿毒中阻证
'shi'fu'bing 时复病
'shi'huo'chi'sheng'zheng 湿火炽盛证
'shi'jie'bing 石疖病
'shi'jue'bing 食厥病
'shi'kun'pi'wei'zheng 湿困脾胃证
'shi'kun'zhong'jiao'zheng 湿困中焦证
'shi'lin'bing 石淋病
'shi're'bing'zhong'zheng 湿热并重证
'shi're'chong'xin'zheng 湿热冲心证
'shi're'dong'xue'zheng 湿热动血证
'shi're'du'jie'zheng 湿热毒结证
'shi're'du'ju'zheng 湿热毒聚证
'shi're'du'sheng'zheng 湿热毒盛证
'shi're'du'yun'zheng 湿热毒蕴证
'shi're'hua'huo'zheng 湿热化火证
'shi're'hua'zao'zheng 湿热化燥证
'shi're'huo'du'yun'jie'zheng 湿热火毒蕴结证
'shi're'huo'du'yun'sheng'zheng 湿热火毒蕴盛证
'shi're'jin'yin'qi'xue'bu'yun'zheng 湿热浸淫气血不运证
'shi're'meng'xin'zheng 湿热蒙心证
'shi're'nei'qin'zheng 湿热内侵证
'shi're'nei'yun'zheng 湿热内蕴证
'shi're'niang'tan'zheng 湿热酿痰证
'shi're'shang'wei'zheng 湿热伤胃证
'shi're'shang'yin'zheng 湿热伤阴证
'shi're'shang'zheng'zheng 湿热上蒸证
'shi're'xia'zhu'gan'dan'shi're'zheng 湿热下注肝胆湿热证
'shi're'xia'zhu'pang'guang'zhi'se'zheng 湿热下注膀胱滞涩证
'shi're'xia'zhu'zheng 湿热下注证
'shi're'xue'yu'zheng 湿热血瘀证
'shi're'xun'zheng'zheng 湿热薰蒸证
'shi're'yi'du'zheng 湿热疫毒证
'shi're'yong'jie'zheng 湿热壅结证
'shi're'yong'sheng'zheng 湿热壅盛证
'shi're'yong'zhi'zheng 湿热壅滞证
'shi're'yong'zu'zheng 湿热壅阻证
'shi're'yu'zhi'zheng 湿热瘀滞证
'shi're'yu'zu'zheng 湿热瘀阻证
'shi're'yun'du'zheng 湿热蕴毒证
'shi're'yun'fu'zheng 湿热蕴伏证
'shi're'yun'jie'zheng 湿热蕴结证
'shi're'yun'zheng'zheng 湿热蕴蒸证
'shi're'yun'zu'zheng 湿热蕴阻证
'shi're'zheng 实热证
'shi're'zheng 湿热证
'shi're'zhong'zu'zheng 湿热中阻证
'shi're'zhou'chang'zheng 湿热荮肠证
'shi're'zu'luo'zheng 湿热阻络证
'shi'rong'bing 失荣病
'shi'wen'bing 湿温病
'shi'xie'jin'zi'zheng 湿邪浸渍证
'shi'xie'kun'pi'zheng 湿邪困脾证
'shi'xie'pian'sheng'zheng 湿邪偏盛证
'shi'xie're'du'zheng 湿邪热毒证
'shi'xie'wai'gan'zheng 湿邪外感证
'shi'xie'yun'ji'zheng 湿邪蕴积证
'shi'xie'zu'luo'zheng 湿邪阻络证
'shi'xing'gan'mao'bing 时行感冒病
'shi'yin'bing 失音病
'shi'ying'bing 石瘿病
'shi'yu'hua'huo'zheng 湿郁化火证
'shi'yu'hua're'zheng 湿郁化热证
'shi'yu'san'jiao'zheng 湿郁三焦证
'shi'yu'wei'qi'zheng 湿郁卫气证
'shi'zhan'hun'miao'bing 视瞻昏渺病
'shi'zheng 湿证
'shi'zhi'ru'qu'bing 视直如曲病
'shi'zhi'tan'zu'zheng 食滞痰阻证
'shi'zhi'wei'chang'zheng 食滞胃肠证
'shi'zhi'zheng 食滞证
'shi'zhong'yu're'zheng 湿重于热证
'shi'zhuo'chong'xin'zheng 湿浊冲心证
'shi'zhuo'meng'shang'mi'bie'shi'zhi'zheng 湿浊蒙上泌别失职证
'shi'zhuo'meng'shang'zheng 湿浊蒙上证
'shi'zhuo'nei'bi'zheng 湿浊内闭证
'shi'zhuo'nei'yun'zheng 湿浊内蕴证
'shi'zhuo'shang'fan'pi'xu'shi'kun'zheng 湿浊上泛脾虚湿困证
'shi'zhuo'shang'fan'shi're'yun'zheng'zheng 湿浊上泛湿热蕴蒸证
'shi'zhuo'shang'fan'zheng 湿浊上泛证
'shi'zhuo'xia'zhu'zheng 湿浊下注证
'shi'zhuo'yong'bi'zheng 湿浊壅闭证
'shi'zhuo'yong'zhi'zheng 湿浊壅滞证
'shi'zhuo'zhong'zu'zheng 湿浊中阻证
'shi'zhuo'zu'zhi'zheng 食浊阻滞证
'shi'zhuo'zu'zhi'zheng 湿浊阻滞证
'shi'zu'bing 湿阻病
'shi'zu'chang'dao'chuan'dao'shi'si'zheng 湿阻肠道传导失司证
'shi'zu'chang'dao'zheng 湿阻肠道证
'shi'zu'jin'luo'zheng 湿阻筋络证
'shi'zu'pi'wei'zheng 湿阻脾胃证
'shou'fa'bei'bing 手发背病
'shou'kou'qi 收口期
'shou'mo'qi 收没期
'shou'zu'ding'chuang'bing 手足疔疮病
'shu'dong'gan'feng'zheng 暑动肝风证
'shu'fan'fei'wei'zheng 暑犯肺卫证
'shu'feng'zheng 暑风证
'shu'hui'bing 暑秽病
'shu'jie'bing 暑疖病
'shu'jue'zheng 暑厥证
'shu're'chi'sheng'zheng 暑热炽盛证
'shu're'dong'feng'zheng 暑热动风证
'shu're'jin'yin'zheng 暑热浸淫证
'shu're'meng'xin'zheng 暑热蒙心证
'shu're'nei'yu'zheng 暑热内郁证
'shu're'rao'xin'zheng 暑热扰心证
'shu're'zheng 暑热证
'shu'ru'bing 鼠乳病
'shu'ru'xin'shen'zheng 暑入心肾证
'shu'ru'xin'ying'zheng 暑入心营证
'shu'ru'xue'fen'zheng 暑入血分证
'shu'ru'yang'ming'zheng 暑入阳明证
'shu'ru'ying'xue'zheng 暑入营血证
'shu'shang'fei'luo'zheng 暑伤肺络证
'shu'shang'fei'wei'zheng 暑伤肺胃证
'shu'shang'jin'qi'zheng 暑伤津气证
'shu'shang'xin'shen'zheng 暑伤心肾证
'shu'shang'xue'luo'zheng 暑伤血络证
'shu'shi'jiao'zu'zheng 暑湿交阻证
'shu'shi'kun'shang'xin'pi'zheng 暑湿困伤心脾证
'shu'shi'kun'zu'zhong'jiao'zheng 暑湿困阻中焦证
'shu'shi'lei 暑湿类
'shu'shi'mi'man'san'jiao'zheng 暑湿弥漫三焦证
'shu'shi'nei'yun'han'xie'shu'biao'zheng 暑湿内蕴寒邪束表证
'shu'shi'nei'yun'zheng 暑湿内蕴证
'shu'shi're'yun'zheng 暑湿热蕴证
'shu'shi'shang'pi'zheng 暑湿伤脾证
'shu'shi'xi'biao'zheng 暑湿袭表证
'shu'shi'yun'jie'zheng 暑湿蕴结证
'shu'shi'zai'biao'zheng 暑湿在表证
'shu'wen'bing 暑温病
'shu'wen'kun'pi'zheng 暑温困脾证
'shu'zheng 暑证
'shui'du'ling'xin'fan'fei'zheng 水毒凌心犯肺证
'shui'du'nei'bi'zheng 水毒内闭证
'shui'du'nei'yu'zheng 水毒内郁证
'shui'du'shang'rao'zheng 水毒上扰证
'shui'gu'bing 水臌病
'shui'qi'ling'xin'fan'fei'zheng 水气凌心犯肺证
'shui'qi'ling'xin'zheng 水气凌心证
'shui'qi'shang'ling'zheng 水气上凌证
'shui'shan'bing 水疝病
'shui'shi'jin'zi'zheng 水湿浸渍证
'shui'shi'nei'ting'zheng 水湿内停证
'shui'shi'nei'yun'zheng 水湿内蕴证
'shui'yin'liu'chang'zheng 水饮留肠证
'shui'yin'nei'rao'zheng 水饮内扰证
'shui'yin'nei'ting'zheng 水饮内停证
'shui'zhong'bing 水肿病
'si'lv'shang'pi'zheng 思虑伤脾证
'si'wan'feng'bing 四弯风病
'su'chuang'bing 粟疮病
'su'shi'shang'pi'zheng 宿食伤脾证
'su'ti'bu'zu'lao'xin'guo'du'zheng 素体不足劳心过度证
'su'yi'bing 宿翳病
'sui'hai'bu'zu'zheng 髓海不足证
'sun'shang'chu'xue'bing 损伤出血病
'sun'shang'chuan'ke'bing 损伤喘咳病
'sun'shang'hun'jue'bing 损伤昏厥病
'sun'shang'teng'tong'bing 损伤疼痛病
'sun'shang'wei'ruan'ma'mu'bing 损伤痿软麻木病
'sun'shang'xuan'yun'bing 损伤眩晕病
'suo'gang'zhi'bing 锁肛痔病
'suo'hou'yong'bing 锁喉痈病
'tai'dong'bu'an'bing 胎动不安病
'tai'du'yun're'zheng 胎毒蕴热证
'tai'huan'nei'zhang'bing 胎患内障病
'tai'huang'bing 胎黄病
'tai'huo'yun'du'zheng 胎火蕴毒证
'tai'lou'bing 胎漏病
'tai'si'bu'xia'bing 胎死不下病
'tai'wei'bu'chang'bing 胎萎不长病
'tai'yang'biao'yu'qing'zheng 太阳表郁轻证
'tai'yang'bing 太阳病
'tai'yang'han're'cuo'za'pi'zheng 太阳寒热错杂痞证
'tai'yang'han'shi'jie'xiong'zheng 太阳寒实结胸证
'tai'yang'han'zheng 太阳寒证
'tai'yang'huo'ni'zheng 太阳火逆证
'tai'yang'jie'xiong'zheng 太阳结胸证
'tai'yang'pi'zheng 太阳痞证
'tai'yang're'pi'zheng 太阳热痞证
'tai'yang're'shi'jie'xiong'zheng 太阳热实结胸证
'tai'yang're'zheng 太阳热证
'tai'yang'shang'han'biao'shi'zheng 太阳伤寒表实证
'tai'yang'shang're'xia'han'zheng 太阳上热下寒证
'tai'yang'shui'pi'zheng 太阳水痞证
'tai'yang'tan'qi'pi'zheng 太阳痰气痞证
'tai'yang'xia'jiao'hua'tuo'pi'zheng 太阳下焦滑脱痞证
'tai'yang'xu'han'pi'xu'zheng 太阳虚寒脾虚证
'tai'yang'xu'han'shen'yang'xu'zheng 太阳虚寒肾阳虚证
'tai'yang'xu'han'xin'yang'xu'zheng 太阳虚寒心阳虚证
'tai'yang'xu'han'yang'xu'jian'shui'qi'zheng 太阳虚寒阳虚兼水气证
'tai'yang'xu'han'zheng 太阳虚寒证
'tai'yang'xu'shui'zheng 太阳蓄水证
'tai'yang'xu'xue'zheng 太阳蓄血证
'tai'yang'yin'yang'liang'xu'zheng 太阳阴阳两虚证
'tai'yang'zang'jie'zheng 太阳脏结证
'tai'yang'zheng 太阳证
'tai'yang'zhong'feng'biao'xu'zheng 太阳中风表虚证
'tai'yin'bing 太阴病
'tai'yin'fu'tong'zheng 太阴腹痛证
'tai'yin'jian'biao'zheng 太阴兼表证
'tai'yin'zheng 太阴证
'tan'bi'zheng 痰闭证
'tan'du'bing 痰毒病
'tan'he'liu'jie'zheng 痰核留结证
'tan'huo'bi'qiao'zheng 痰火闭窍证
'tan'huo'dong'feng'shang'rao'qing'qiao'zheng 痰火动风上扰清窍证
'tan'huo'dong'feng'shang'zu'qing'qiao'zheng 痰火动风上阻清窍证
'tan'huo'dong'feng'zheng 痰火动风证
'tan'huo'fan'fei'zheng 痰火犯肺证
'tan'huo'ji'zhi'zheng 痰火积滞证
'tan'huo'nei'bi'zheng 痰火内闭证
'tan'huo'nei'sheng'zheng 痰火内盛证
'tan'huo'nei'yun'zheng 痰火内蕴证
'tan'huo'rao'shen'zheng 痰火扰神证
'tan'huo'rao'xin'zheng 痰火扰心证
'tan'huo'shang'rao'zheng 痰火上扰证
'tan'huo'sheng'rao'zheng 痰火升扰证
'tan'huo'yong'jie'zheng 痰火壅结证
'tan'huo'yu'jie'zheng 痰火郁结证
'tan'huo'zheng 痰火证
'tan'jie'du'zhi'zheng 痰结毒滞证
'tan'jie'xue'yu'zheng 痰结血瘀证
'tan'jue'bing 痰厥病
'tan'meng'qing'qiao'zheng 痰蒙清窍证
'tan'meng'shen'qiao'zheng 痰蒙神窍证
'tan'qi'hu'jie'zheng 痰气互结证
'tan'qi'jiao'zu'zheng 痰气交阻证
'tan'qi'ning'jie'zheng 痰气凝结证
'tan'qi'yong'shi'zheng 痰气壅实证
'tan'qi'yu'jie'zheng 痰气郁结证
'tan'qi'zu'ge'zheng 痰气阻膈证
'tan're'bi'fei'zheng 痰热闭肺证
'tan're'bi'qiao'zheng 痰热蔽窍证
'tan're'bi'qiao'zheng 痰热闭窍证
'tan're'bo'jie'zheng 痰热搏结证
'tan're'dong'feng'zheng 痰热动风证
'tan're'fu'shi'feng'tan'shang'rao'zheng 痰热腑实风痰上扰证
'tan're'fu'shi'zheng 痰热腑实证
'tan're'jie'xiong'zheng 痰热结胸证
'tan're'nei'bi'qing'qiao'zheng 痰热内闭清窍证
'tan're'nei'bi'xin'qiao'zheng 痰热内闭心窍证
'tan're'nei'bi'zheng 痰热内闭证
'tan're'nei'rao'zheng 痰热内扰证
'tan're'shang'meng'zheng 痰热上蒙证
'tan're'shang'yong'zheng 痰热上壅证
'tan're'yong'fei'zheng 痰热壅肺证
'tan're'yu'fei'zheng 痰热郁肺证
'tan're'yu'fei'zheng 痰热瘀肺证
'tan're'yun'jie'zheng 痰热蕴结证
'tan're'zheng 痰热证
'tan're'zu'fei'fu'you're'jie'zheng 痰热阻肺腑有热结证
'tan're'zu'fei'zheng 痰热阻肺证
'tan're'zu'jie'zheng 痰热阻结证
'tan'shi'bi'zu'zheng 痰湿痹阻证
'tan'shi'hu'jie'zheng 痰食互结证
'tan'shi'jie'ju'zheng 痰湿结聚证
'tan'shi'jie'zhi'zheng 痰湿结滞证
'tan'shi'meng'bi'xin'shen'zheng 痰湿蒙蔽心神证
'tan'shi'meng'bi'zheng 痰湿蒙蔽证
'tan'shi'meng'qiao'zheng 痰湿蒙窍证
'tan'shi'meng'sai'qing'qiao'zheng 痰湿蒙塞清窍证
'tan'shi'nei'zu'zheng 痰湿内阻证
'tan'shi'ning'jie'zheng 痰湿凝结证
'tan'shi'qin'fei'zheng 痰湿侵肺证
'tan'shi'shang'zu'zheng 痰湿上阻证
'tan'shi'yong'fei'zheng 痰湿壅肺证
'tan'shi'yong'jie'zheng 痰食壅结证
'tan'shi'yu'zhi'zheng 痰湿瘀滞证
'tan'shi'yun'fei'zheng 痰湿蕴肺证
'tan'shi'yun'jie'zheng 痰湿蕴结证
'tan'shi'yun'pi'zheng 痰湿蕴脾证
'tan'shi'zheng 痰湿证
'tan'shi'zhong'zu'zheng 痰湿中阻证
'tan'shi'zu'bao'zheng 痰湿阻胞证
'tan'shi'zu'jie'zheng 痰湿阻结证
'tan'shi'zu'luo'zheng 痰湿阻络证
'tan'shi'zu'zhi'zheng 痰湿阻滞证
'tan'xian'yong'sheng'zheng 痰涎壅盛证
'tan'xue'yu'zhi'zheng 痰血瘀滞证
'tan'yin'bing 痰饮病
'tan'yin'liu'fu'zheng 痰饮留腹证
'tan'yin'liu'ge'zheng 痰饮留膈证
'tan'yin'nei'sheng'zheng 痰饮内盛证
'tan'yin'nei'ting'zheng 痰饮内停证
'tan'yin'nei'zu'zheng 痰饮内阻证
'tan'yin'shang'ni'zheng 痰饮上逆证
'tan'yin'ting'wei'zheng 痰饮停胃证
'tan'yong'shen'qiao'zheng 痰壅神窍证
'tan'yu'bi'zu'zheng 痰瘀痹阻证
'tan'yu'bo'jie'zheng 痰瘀搏结证
'tan'yu'hu'jie'zheng 痰瘀互结证
'tan'yu'hua'huo'zheng 痰瘀化火证
'tan'yu'zhi'luo'zheng 痰瘀滞络证
'tan'zhuo'bi'se'zheng 痰浊闭塞证
'tan'zhuo'bi'zu'zheng 痰浊闭阻证
'tan'zhuo'hua'huo'zheng 痰浊化火证
'tan'zhuo'hua're'zheng 痰浊化热证
'tan'zhuo'ji'ju'zheng 痰浊积聚证
'tan'zhuo'jie'ju'zheng 痰浊结聚证
'tan'zhuo'meng'qiao'zheng 痰浊蒙窍证
'tan'zhuo'nei'yun'zheng 痰浊内蕴证
'tan'zhuo'nei'zu'zheng 痰浊内阻证
'tan'zhuo'ning'ju'zheng 痰浊凝聚证
'tan'zhuo'shang'meng'zheng 痰浊上蒙证
'tan'zhuo'shang'rao'zheng 痰浊上扰证
'tan'zhuo'yin'zhi'zheng 痰浊阴滞证
'tan'zhuo'yong'fei'zheng 痰浊壅肺证
'tan'zhuo'yong'se'zheng 痰浊壅塞证
'tan'zhuo'yu'zu'zheng 痰浊瘀阻证
'tan'zhuo'yun'fei'zheng 痰浊蕴肺证
'tan'zhuo'zheng 痰浊证
'tan'zhuo'zhong'zu'zheng 痰浊中阻证
'tan'zhuo'zu'fei'zheng 痰浊阻肺证
'tan'zhuo'zu'wei'zheng 痰浊阻胃证
'ti'xu'du'lian'zheng 体虚毒恋证
'tian'hang'chi'yan'bao'yi'bing 天行赤眼暴翳病
'tian'hang'chi'yan'bing 天行赤眼病
'tian'pao'chuang'bing 天疱疮病
'tong'feng'bing 痛风病
'tong'shen'gan'que'bing 瞳神干缺病
'tong'shen'jin'xiao'bing 瞳神紧小病
'tou'bu'nei'shang'bing 头部内伤病
'tou'feng'bing 头风病
'tou'tong'bing 头痛病
'tu'feng'chuang'bing 土风疮病
'tu'qi'jing'gao'bing 突起睛高病
'tu'xie'bing 吐血病
'tui'xing'qi 退行期
'tun'yong'bing 臀痈病
'tuo'bing 脱病
'tuo'gang'bing 脱肛病
'tuo'ju'bing 脱疽病
'tuo'nang'bing 脱囊病
'tuo'pan'ding'bing 托盘疔病
'tuo'wei'bing 脱位病
'tuo'xie'xing 脱屑型
'tuo'zheng 脱证
'wai'gan'gao're'bing 外感高热病
'wai'gan'ke'sou'bing 外感咳嗽病
'wai'gan're'bing'huo'luan'bing 外感热病霍乱病
'wai'gan're'bing'li'ji'bing 外感热病痢疾病
'wai'gan're'bing'nue'ji'bing 外感热病疟疾病
'wai'han'nei're'zheng 外寒内热证
'wai'ke'qi'ta'bing'dong'chuang'bing 外科其他病冻疮病
'wai'ke'qi'ta'bing'du'she'yao'shang'bing 外科其他病毒蛇咬伤病
'wai'ke'qi'ta'bing'du'zhong'yao'shang'bing 外科其他病毒中咬伤病
'wai'ke'qi'ta'bing'feng'shi'shang'bing 外科其他病蜂螫伤病
'wai'ke'qi'ta'bing'gou'yao'shang'bing 外科其他病狗咬伤病
'wai'ke'qi'ta'bing'po'shang'feng'bing 外科其他病破伤风病
'wai'ke'qi'ta'bing'shui'huo'tang'shang'bing 外科其他病水火烫伤病
'wai'ke'qi'ta'bing'wu'gong'shi'shang'bing 外科其他病蜈蚣螫伤病
'wai'ke'qi'ta'bing'xie'shi'shang'bing 外科其他病蝎螫伤病
'wai'shang'mu'luo'zheng 外伤目络证
'wai'shang'sun'luo'zheng 外伤损络证
'wai'shang'xue'yu'zheng 外伤血瘀证
'wai'shang'yan'bing'dian'guang'shang'mu'bing 外伤眼病电光伤目病
'wai'shang'yan'bing're'tang'shang'mu'bing 外伤眼病热烫伤目病
'wai'shang'yan'bing'suan'jian'shang'mu'bing 外伤眼病酸碱伤目病
'wai'shang'yu'zhi'zheng 外伤瘀滞证
'wai'shang'zheng 外伤证
'wai'xie'fan'wei'zheng 外邪犯胃证
'wai'xie'qin'ru're'du'chi'sheng'zheng 外邪侵入热毒炽盛证
'wai'xie'qin'ru'zheng 外邪侵入证
'wan'qi 晚期
'wan'shi'ju'jie'bing 顽湿聚结病
'wang'xue'zheng 亡血证
'wang'yang'zheng 亡阳证
'wang'yin'zheng 亡阴证
'wei'bing 痿病
'wei'chang'ji're'zheng 胃肠积热证
'wei'chang'shi're'zheng 胃肠湿热证
'wei'chang'xu're'zheng 胃肠虚热证
'wei'fen'zheng 卫分证
'wei'fu'bu'he'zheng 胃腑不和证
'wei'han'zheng 胃寒证
'wei'huang'bing 萎黄病
'wei'huo'chi'sheng'zheng 胃火炽盛证
'wei'huo'shang'ni'zheng 胃火上逆证
'wei'pi'bing 胃痞病
'wei'po'sun'qi 未破损期
'wei'qi'bu'he'zheng 胃气不和证
'wei'qi'shi'he'zheng 胃气失和证
'wei'qi'tong'bing'tan're'yun'fei'zheng 卫气同病痰热蕴肺证
'wei'qi'tong'bing'zheng 卫气同病证
'wei'qi'xu'bai'zheng 胃气虚败证
'wei're'chi'sheng'zheng 胃热炽盛证
'wei're'jin'kui'zheng 胃热津亏证
'wei're'xun'zheng'zheng 胃热薰蒸证
'wei're'yin'xu'zheng 胃热阴虚证
'wei're'yong'sheng'zheng 胃热壅盛证
'wei're'zheng 胃热证
'wei're'zhi'pi'zheng 胃热滞脾证
'wei're'zhuo'yin'zheng 胃热灼阴证
'wei'wai'shi'gu'feng'xie'zhong'luo'zheng 卫外失固风邪中络证
'wei'yin'bu'zu'zheng 胃阴不足证
'wei'yin'kui'xu'zheng 胃阴亏虚证
'wei'ying'tong'bing'zheng 卫营同病证
'wei'zao'jin'shang'zheng 胃燥津伤证
'wei'zao'xue'xu'zheng 胃燥血虚证
'wei'zhong'han'leng'zheng 胃中寒冷证
'wei'zhong'ji're'zheng 胃中积热证
'wei'zhong'yun're'zheng 胃中蕴热证
'wen'du'xi'biao'zheng 温毒袭表证
'wen'du'xia'zhu'zheng 瘟毒下注证
'wen'du'zai'biao'zheng 温毒在表证
'wen're'jin'yin'zheng 温热浸淫证
'wen're'niang'tan'meng'bi'xin'bao'zheng 温热酿痰蒙蔽心包证
'wen're'xia'zhu'rao'dong'jing'shi'zheng 温热下注扰动精室证
'wen'xie'nei'xian'zheng 温邪内陷证
'wen'zao'bing 温燥病
'wo'chuang'bing 窝疮病
'wo'yong'bing 窝痈病
'wu'chi'wu'ruan'bing 五迟五软病
'wu'shi'leng'lei'bing 无时冷泪病
'wu'sun'zhen'jing'bing 物损真睛病
'wu'tou'ju'bing 无头疽病
'wu'ying'bing 五硬病
'xi'rou'zhi'bing 息肉痔病
'xia'ji're'bing 夏季热病
'xia'jiao're'sheng'zheng 下焦热盛证
'xia'jiao'shi're'zheng 下焦湿热证
'xia'jiao'xu'leng'zheng 下焦虚冷证
'xia'jiao'xu'xue'yu'yin'pang'guang'zheng 下焦蓄血瘀阴膀胱证
'xia'jiao'xu'xue'zheng 下焦蓄血证
'xia'jiao'yu'zhi'zheng 下焦瘀滞证
'xia'yuan'xu'han'shen'qi'bu'zu'zheng 下元虚寒肾气不足证
'xia'yuan'xu'han'zheng 下元虚寒证
'xian'bing 痫病
'xian'tian'bu'zu'zheng 先天不足证
'xian'tian'yi'du'zheng 先天遗毒证
'xiang'huo'chi'sheng'zheng 相火炽盛证
'xiang'huo'shang'yan'zheng 相火上炎证
'xiao'bing 哮病
'xiao'chan'bing 小产病
'xiao'chuan'bing 哮喘病
'xiao'er'fu'tong'bing 小儿腹痛病
'xiao'er'gan'mao'bing 小儿感冒病
'xiao'er'han'bing 小儿汗病
'xiao'er'ke'sou'bing 小儿咳嗽病
'xiao'er'kou'chuang'bing 小儿口疮病
'xiao'er'ou'tu'bing 小儿呕吐病
'xiao'er'ru'e'bing 小儿乳蛾病
'xiao'er'shui'zhong'bing 小儿水肿病
'xiao'er'tuo'gang'bing 小儿脱肛病
'xiao'er'wei'bing 小儿痿病
'xiao'er'xian'bing 小儿痫病
'xiao'er'xie'xie'bing 小儿泄泻病
'xiao'er'yi'du'li'bing 小儿疫毒痢病
'xiao'er'yi'niao'bing 小儿遗尿病
'xiao'er'zi'dian'bing 小儿紫癜病
'xiao'ke'bing 消渴病
'xie'cuan'gan'jing'zheng 邪窜肝经证
'xie'cuan'jing'luo'zheng 邪窜经络证
'xie'du'chuan'li'fei'wei're'sheng'zheng 邪毒传里肺胃热盛证
'xie'du'jiu'liu'qi'zhi'xue'yu'zheng 邪毒久留气滞血瘀证
'xie'du'jiu'liu'zheng 邪毒久留证
'xie'du'nei'rao'zheng 邪毒内扰证
'xie'du'nei'xian'xin'gan'zheng 邪毒内陷心肝证
'xie'du'nei'xian'zheng 邪毒内陷证
'xie'du're'zheng 邪毒热证
'xie'du'ru'ying'zheng 邪毒入营证
'xie'du'yin'gao'cuan'fu'zheng 邪毒引睾窜腹证
'xie'du'yong'se'zheng 邪毒壅塞证
'xie'du'zai'biao'zheng 邪毒在表证
'xie'du'zhi'liu'qi'xue'yu'zu'zheng 邪毒滞留气血瘀阻证
'xie'e'wei'qi'zheng 邪遏卫气证
'xie'fan'fei'wei'zheng 邪犯肺胃证
'xie'fan'gan'pi'zheng 邪犯肝脾证
'xie'fan'jue'yin'zheng 邪犯厥阴证
'xie'fan'xin'gan'zheng 邪犯心肝证
'xie'fan'xiong'fei'zheng 邪犯胸肺证
'xie'fan'zang'fu'zheng 邪犯脏腑证
'xie'fu'mo'yuan'zheng 邪伏膜原证
