'ai'qi 嗳气
'xin'ban'mo'zhi'huan'shu 心瓣膜置换术
'xin'bao'ji'xue 心包积血
'xin'bao'ji'ye 心包积液
'xin'bao'yan 心包炎
'xin'dian'tu'yi'chang 心电图异常
'xin'dong'guo'huan 心动过缓
'xin'dong'guo'su 心动过速
'xin'dong'xu'huan 心动徐缓
'xin'gong'neng'bu'quan 心功能不全
'xin'ji 心悸
'xin'ji'bing 心肌病
'xin'ji'geng'si 心肌梗死
'xin'ji'mei'sheng'gao 心肌酶升高
'xin'ji'que'xue 心肌缺血
'xin'ji'xian'wei'hua 心肌纤维化
'xin'ji'yan 心肌炎
'xin'jiao'tong 心绞痛
'xin'jiao'tong'jia'zhong 心绞痛加重
'xin'kuai'gan 欣快感
'xin'li'que'xian 心理缺陷
'xin'li'shuai'jie 心力衰竭
'xin'lv'shi'chang 心律失常
'xin'lv'shi'chang'wei'te'zhi 心律失常未特指
'xin'mei'zeng'jia 心酶增加
'xin'nei'mo'xian'wei'hua 心内膜纤维化
'xin'nei'mo'yan 心内膜炎
'xin'qian'qu'tong 心前区痛
'xin'que'fa 锌缺乏
'xin'sheng'er'bai'xi'bao'jian'shao 新生儿白细胞减少
'xin'sheng'er'bai'xue'bing 新生儿白血病
'xin'sheng'er'bing 新生儿病
'xin'sheng'er'che'yao'xing'zong'he'zheng 新生儿撤药性综合征
'xin'sheng'er'di'xue'tang 新生儿低血糖
'xin'sheng'er'fa're 新生儿发热
'xin'sheng'er'fei'peng'zhang'bu'quan 新生儿肺膨胀不全
'xin'sheng'er'fei'te'yi'xing'chu'xie 新生儿非特异性出血
'xin'sheng'er'fu'xie 新生儿腹泻
'xin'sheng'er'gan'pi'da 新生儿肝脾大
'xin'sheng'er'gan'xi'bao'sun'hai 新生儿肝细胞损害
'xin'sheng'er'gan'yan 新生儿肝炎
'xin'sheng'er'hu'xi'dao'chu'xie 新生儿呼吸道出血
'xin'sheng'er'hu'xi'jiong'po'zong'he'zheng 新生儿呼吸窘迫综合征
'xin'sheng'er'hu'xi'xi'tong'ji'bing 新生儿呼吸系统疾病
'xin'sheng'er'hu'xi'yi'zhi 新生儿呼吸抑制
'xin'sheng'er'huai'ju 新生儿坏疽
'xin'sheng'er'huang'dan 新生儿黄疸
'xin'sheng'er'ji'zhang'li'jian'tui 新生儿肌张力减退
'xin'sheng'er'jiao'lv'bu'an 新生儿焦虑不安
'xin'sheng'er'jin'shi'bing 新生儿进食病
'xin'sheng'er'jing'jue 新生儿惊厥
'xin'sheng'er'ma'bi'xing'chang'geng'zu 新生儿麻痹性肠梗阻
'xin'sheng'er'nao'bing 新生儿脑病
'xin'sheng'er'nao'chu'xue 新生儿脑出血
'xin'sheng'er'niao'dao'gan'ran 新生儿尿道感染
'xin'sheng'er'ning'xue'zhang'ai 新生儿凝血障碍
'xin'sheng'er'nong'du'bing 新生儿脓毒病
'xin'sheng'er'ou'tu 新生儿呕吐
'xin'sheng'er'pin'xue 新生儿贫血
'xin'sheng'er'shi'jue'yi'chang 新生儿视觉异常
'xin'sheng'er'shi'shui 新生儿嗜睡
'xin'sheng'er'si'wang 新生儿死亡
'xin'sheng'er'ti'zhong'jian'shao 新生儿体重减少
'xin'sheng'er'xin'lv'bu'qi 新生儿心律不齐
'xin'sheng'er'xin'zang'ting'bo 新生儿心脏停搏
'xin'sheng'er'xue'shuan'xing'jing'mai'yan 新生儿血栓性静脉炎
'xin'sheng'er'xue'xiao'ban'jian'shao 新生儿血小板减少
'xin'sheng'er'xun'huan'shuai'jie 新生儿循环衰竭
'xin'sheng'er'yan'shi 新生儿厌食
'xin'sheng'er'yun'dong'guo'du 新生儿运动过度
'xin'sheng'er'yun'dong'jian'shao 新生儿运动减少
'xin'sheng'er'yun'dong'zhang'ai 新生儿运动障碍
'xin'sheng'er'zhen 新生儿疹
'xin'sheng'er'zhen'chan 新生儿震颤
'xin'sheng'er'zhi'xi 新生儿窒息
'xin'sheng'er'zi'dian 新生儿紫癜
'xin'sheng'er'zi'gan 新生儿紫绀
'xin'shi'chan'dong 心室颤动
'xin'tiao'zhou'ting 心跳骤停
'xin'zang'bing 心脏病
'xin'zang'chuan'dao'zu'zhi 心脏传导阻滞
'xin'zang'du'xing'wei'te'zhi 心脏毒性未特指
'xin'zang'fei'da 心脏肥大
'xin'zang'ji'xing 心脏畸形
'xin'zang'qi'bo'qi 心脏起搏器
'xin'zang'ting'bo 心脏停搏
'xin'zang'xian'chan 心脏纤颤
'xing'ran'se'ti'bing 性染色体病
'xing'yu'gao'chao'yi'chang 性欲高潮异常
'xing'yu'jian'tui 性欲减退
'xing'yu'zeng'jia 性欲增加
'xiong'gu'xia'tong 胸骨下痛
'xiong'lin'ba'jie'bing 胸淋巴结病
'xiong'mo'jian'pi'liu 胸膜间皮瘤
'xiong'mo'tong 胸膜痛
'xiong'mo'xian'wei'hua 胸膜纤维化
'xiong'mo'yan 胸膜炎
'xiong'qiang'ji'ye 胸腔积液
'xiong'tong 胸痛
'xiong'tou'yi'chang 胸透异常
'xiong'xian'fei'da 胸腺肥大
'xiong'xing'ji'su'que'fa 雄性激素缺乏
'xiu'jue'dao'cuo 嗅觉倒错
'xiu'zhen 溴疹
'xiu'zhong'du 溴中毒
'xuan'yun 眩晕
'xue'chen'jia'kuai 血沉加快
'xue'guan'bing 血管病
'xue'guan'cheng'xing'shu 血管成形术
'xue'guan'jing'luan 血管痉挛
'xue'guan'kuo'zhang 血管扩张
'xue'guan'shen'jing'xing'shui'zhong 血管神经性水肿
'xue'guan'shu'zhang 血管舒张
'xue'guan'yi'chang 血管异常
'xue'hong'dan'bai'guo'duo 血红蛋白过多
'xue'jiang'shen'tou'ya'sheng'gao 血浆渗透压升高
'xue'jiang'tong'lan'dan'bai'zeng'jia 血浆酮蓝蛋白增加
'xue'jiang'xian'wei'dan'bai'yuan'jian'shao 血浆纤维蛋白原减少
'xue'jiang'xian'wei'dan'bai'yuan'zeng'jia 血浆纤维蛋白原增加
'xue'niao 血尿
'xue'niao'su'dan'zeng'gao 血尿素氮增高
'xue'niao'su'dan'zeng'jia 血尿素氮增加
'xue'qing'bing 血清病
'xue'qing'dan'bai'jie'he'dian'jian'shao 血清蛋白结合碘减少
'xue'qing'dan'bai'jie'he'dian'zeng'jia 血清蛋白结合碘增加
'xue'qing'rou'du'jian'zeng'jia 血清肉毒碱增加
'xue'qing'tie'jian'shao 血清铁减少
'xue'qing'tie'zeng'jia 血清铁增加
'xue'qing'ye'suan'shi'yan'yi'chang 血清叶酸试验异常
'xue'qing'ye'suan'yan'shi'yan'yi'chang 血清叶酸盐试验异常
'xue'rong'liang'zeng'jia 血容量增加
'xue'se'su'chen'zhuo 血色素沉着
'xue'se'su'zheng'chang'xing'pin'xue 血色素正常性贫血
'xue'shuan'shuan'se 血栓栓塞
'xue'shuan'xing'cheng 血栓形成
'xue'shuan'xing'jing'mai'yan 血栓性静脉炎
'xue'xiao'ban'jian'shao 血小板减少
'xue'xiao'ban'jian'shao'xing'zi'dian 血小板减少性紫癜
'xue'xiao'ban'jian'shao'xue'shuan'xing'cheng'xing'zi'dian 血小板减少血栓形成性紫癜
'xue'xiao'ban'nian'xing'jiang'di 血小板粘性降低
'xue'xiao'ban'nian'xing'sheng'gao 血小板粘性升高
'xue'xiao'ban'yi'chang 血小板异常
'xue'xiao'ban'zeng'duo 血小板增多
'xue'xing'fu'xie 血性腹泻
'xue'xiong 血胸
'xue'yao'nong'du'jiang'di 血药浓度降低
'xue'yao'nong'du'zeng'gao 血药浓度增高
'xue'zhi'bu'tiao 血质不调
'xue'zhong 血肿
'xun'huan'jing'shen'bing'yang'fan'ying 循环精神病样反应
'xun'huan'shuai'jie 循环衰竭
'xun'ma'zhen 荨麻疹
'ya'bian'se 牙变色
'ya'bing 牙病
'ya'fa'yu'bu'liang 牙发育不良
'ya'ji'xing 牙畸形
'ya'tong 牙痛
'ya'yin'bian'se 牙龈变色
'ya'yin'chu'xue 牙龈出血
'ya'yin'tui'suo 牙龈退缩
'ya'yin'wei'suo 牙龈萎缩
'ya'yin'yan 牙龈炎
'ya'yin'zeng'sheng 牙龈增生
'ya'zhou'bing 牙周病
'yan'chu'xie 眼出血
'yan'ji'ma'bi 眼肌麻痹
'yan'ji'xing 眼畸形
'yan'jian'hui'suo 眼睑回缩
'yan'jian'jing'luan 眼睑痉挛
'yan'jian'xia'chui 眼睑下垂
'yan'jian'yan 眼睑炎
'yan'pao'zhen 眼疱疹
'yan'qiu'tu'chu 眼球突出
'yan'qiu'zhen'chan 眼球震颤
'yan'shi 厌食
'yan'shui'zhong 咽水肿
'yan'sui'ma'bi 延髓麻痹
'yan'sui'shen'jing'yan 延髓神经炎
'yan'tong 眼痛
'yan'xia'kun'nan 咽下困难
'yan'ya'zeng'gao 眼压增高
'yan'yan 咽炎
'yan'yi'chang 眼异常
'yang'mo'qiang'chuan'ci'shu'yi'chang 羊膜腔穿刺术异常
'yang'shui'guo'duo 羊水过多
'yang'shui'guo'shao 羊水过少
'yang'wei 阳痿
'yao'bei'tong 腰背痛
'yao'wu'lan'yong 药物滥用
'yao'wu'te'yi'xing'kang'ti 药物特异性抗体
'yao'wu'wu'xiao 药物无效
'yao'wu'yi'lai'xing 药物依赖性
'ye'mang 夜盲
'ye'niao'zheng 夜尿症
'ye'suan'que'fa'xing'pin'xue 叶酸缺乏性贫血
'ye'ti'guo'sheng 液体过剩
'ye'ti'zhu'liu 液体潴留
'yi'bing 癔病
'yi'chang'chu'xie 异常出血
'yi'chang'ju'he'xi'bao'zheng 异常巨核细胞症
'yi'chang'se'su'chen'zhuo 异常色素沉着
'yi'chun'bu'nai'shou 乙醇不耐受
'yi'jing 遗精
'yi'lai'xing'shui'zhong 依赖性水肿
'yi'shi'mo'hu 意识模糊
'yi'wai'liao'xiao 意外疗效
'yi'wai'ren'shen 意外妊娠
'yi'wei'ren'shen 异位妊娠
'yi'wu'chuang'shang 异物创伤
'yi'wu'xi'ru 异物吸入
'yi'xian'bing 胰腺病
'yi'xian'nang'zhong 胰腺囊肿
'yi'xian'yan 胰腺炎
'yi'yu 抑郁
'yi'yu'jia'zhong 抑郁加重
'yi'zha'yin 咿扎音
'yin'dao'bi'suo 阴道闭锁
'yin'dao'chu'xue 阴道出血
'yin'dao'e'xing'liu 阴道恶性瘤
'yin'dao'ji'bing 阴道疾病
'yin'dao'liang'xing'liu 阴道良性瘤
'yin'dao'yan 阴道炎
'yin'gao'bing 隐睾病
'yin'hu'bing 阴户病
'yin'jing'bing 阴茎病
'yin'jing'yi'chang'bo'qi 阴茎异常勃起
'yin'xie'bing 银屑病
'yin'xie'bing'jia'zhong 银屑病加重
'yin'xie'bing'yang'zhen 银屑病样疹
'yin'zhi'chen'zhuo'bing 银质沉着病
'ying'er'cu'si'zong'he'zheng 婴儿猝死综合征
'ying'er'gu'pi'zheng 婴儿孤僻症
'ying'hua'xing'fu'mo'yan 硬化性腹膜炎
'ying'jie 硬结
'ying'jie'xing'hong'ban 硬结性红斑
'ying'pi'bing 硬皮病
'ying'yang'bu'liang 营养不良
'yong'yao'bu'wei'chu'xie 用药部位出血
'yong'yao'bu'wei'ma'mu 用药部位麻木
'yong'yao'bu'wei'shui'zhong 用药部位水肿
'yong'yao'bu'wei'teng'tong 用药部位疼痛
'you'guan'fu'chan'ke'de'teng'tong 有关妇产科的疼痛
'you'men'xia'zhai 幽门狭窄
'you'xin'shuai'jie 右心衰竭
'yu'yan'zhang'ai 语言障碍
'yue'jing'guo'duo 月经过多
'yue'jing'jian'qi'chu'xie 月经间期出血
'yue'jing'tong 月经痛
'yue'jing'wen'luan 月经紊乱
'yun'dong'jian'shao 运动减少
'yun'dong'shen'jing'yan 运动神经炎
'yun'dong'zhang'ai 运动障碍
'yun'jue 晕厥
'zai'sheng'bu'liang'xing'pin'xue 再生不良性贫血
'zai'sheng'zhang'ai'xing'pin'xue 再生障碍性贫血
'zan'shi'xing'shi'ming 暂时性失明
'zao'chan 早产
'zao'kuang 躁狂
'zao'kuang'fan'ying 躁狂反应
'zao'xie 早泄
'zhan'wang 谵妄
'zhang'li'jian'tui 张力减退
'zhang'li'kang'jin 张力亢进
'zhang'li'zhang'ai 张力障碍
'zhen'chan 震颤
'zhen'dang 震荡
'zhen'jing 镇静
'zhen'jun'gan'ran 真菌感染
'zheng'chang'hong'xi'bao'xing'pin'xue 正常红细胞性贫血
'zheng'tie'xue'hong'dan'bai'niao 正铁血红蛋白尿
'zheng'tie'xue'hong'dan'bai'xue 正铁血红蛋白血
'zhi'ai'zhi'tu'bian'zhi'ji'de'yao'wu 致癌致突变致畸的药物
'zhi'chang'ai 直肠癌
'zhi'chang'bing 直肠病
'zhi'chang'chu'xie 直肠出血
'zhi'chang'yan 直肠炎
'zhi'chen'ji 脂沉积
'zhi'chuang 痔疮
'zhi'chuang'shuan'se 痔疮栓塞
'zhi'fang'bing 脂肪病
'zhi'fang'gan 脂肪肝
'zhi'fang'liu 脂肪瘤
'zhi'fang'wei'suo 脂肪萎缩
'zhi'fang'xie 脂肪泻
'zhi'fang'zai'fen'bu 脂肪再分布
'zhi'ji'xing 肢畸形
'zhi'mo'yan 脂膜炎
'zhi'qi'guan'jing'luan 支气管痉挛
'zhi'qi'guan'jing'luan'jia'zhong 支气管痉挛加重
'zhi'qi'guan'kuo'zhang 支气管扩张
'zhi'qi'guan'liu 支气管瘤
'zhi'qi'guan'xia'zhai 支气管狭窄
'zhi'qi'guan'yan 支气管炎
'zhi'ru'bing'fa'zheng 植入并发症
'zhi'ti'shuan'se 肢体栓塞
'zhi'xi 窒息
'zhi'ying'yang'bu'liang 脂营养不良
'zhong'dou'bing'fa'zheng 种痘并发症
'zhong'du'xing'biao'pi'huai'si'zheng 中毒性表皮坏死症
'zhong'er'yan 中耳炎
'zhong'shu'shen'jing'xi'tong'yi'zhi 中枢神经系统抑制
'zhong'zheng'ji'wu'li'yang'zong'he'zheng 重症肌无力样综合征
'zhu'dong'mai'suo'zhai 主动脉缩窄
'zhu'dong'mai'xia'zhai 主动脉狭窄
'zhu'ru'zheng 侏儒症
'zhu'she'bu'wei'fan'ying 注射部位反应
'zhu'she'bu'wei'gan'ran 注射部位感染
'zhu'she'bu'wei'huai'si 注射部位坏死
'zhu'she'bu'wei'kui'yang'xing'cheng 注射部位溃疡形成
'zhu'she'bu'wei'ma'mu 注射部位麻木
'zhu'she'bu'wei'nong'zhong 注射部位脓肿
'zhu'she'bu'wei'pi'zhen 注射部位皮疹
'zhu'she'bu'wei'sao'yang 注射部位骚痒
'zhu'she'bu'wei'teng'tong 注射部位疼痛
'zhu'she'bu'wei'wei'suo 注射部位萎缩
'zhu'she'bu'wei'xian'wei'hua 注射部位纤维化
'zhu'she'bu'wei'yan'zheng 注射部位炎症
'zhu'she'bu'wei'ying'jie 注射部位硬结
'zhu'wang'mo'xia'chu'xie 蛛网膜下出血
'zhu'wang'mo'yan 蛛网膜炎
'zhu'yi'li'bu'ji'zhong 注意力不集中
'zhu'yi'li'sun'shang 注意力损伤
'zhuang'kuang'e'hua 状况恶化
'zhui'jian'pan'bing 椎间盘病
'zhui'ti'wai'xi'bing 锥体外系病
'zhui'ti'wai'xi'fan'ying 锥体外系反应
'zi'dian 紫癜
'zi'dian'xing'zhen 紫癜性疹
'zi'dong'zheng 自动症
'zi'fa'xing'xue'xiao'ban'jian'shao'xing'zi'dian 自发性血小板减少性紫癜
'zi'gan 紫绀
'zi'gong'ai 子宫癌
'zi'gong'chu'xie 子宫出血
'zi'gong'chuan'kong 子宫穿孔
'zi'gong'ji'ceng'zeng'hou 子宫肌层增厚
'zi'gong'ji'liu 子宫肌瘤
'zi'gong'jing'luan 子宫痉挛
'zi'gong'nei'mo'ai 子宫内膜癌
'zi'gong'nei'mo'bing 子宫内膜病
'zi'gong'nei'mo'fa'yu'bu'quan 子宫内膜发育不全
'zi'gong'nei'mo'yan 子宫内膜炎
'zi'gong'nei'mo'yi'wei'zheng 子宫内膜异位症
'zi'gong'nei'mo'zeng'sheng 子宫内膜增生
'zi'gong'nei'mo'zeng'zhang 子宫内膜增长
'zi'gong'qie'chu'shu 子宫切除术
'zi'gong'shou'suo 子宫收缩
'zi'gong'zhang'li'que'fa 子宫张力缺乏
'zi'gong'zhong'liu 子宫肿瘤
'zi'sha'qi'tu 自杀企图
'zi'ti'kang'ti'fan'ying 自体抗体反应
'zi'xian 子痫
'zong'ge'xian'wei'hua 纵膈纤维化
'zong'ge'zhong'liu 纵隔肿瘤
'zong'he'zheng 综合征
'zu'zhi'xi'bao'zeng'duo'zheng 组织细胞增多症
'zuo'meng'yi'chang 做梦异常
'zuo'xin'shuai'jie 左心衰竭
