'a'weng'san'ri'bu'gong'mi 阿翁三日不供糜
'qi'gong'pi'shi 启功癖嗜
'qi'gong'ta'sha'xing 启功踏莎行
'qi'gong'xi'jiang'yue 启功西江月
'qi'gong'ye'zhi'kan'yan 岂功业之堪言
'qi'gong'yong'shi 启功咏史
'qi'gong'zhe'gu'tian 启功鹧鸪天
'qi'guo'you'si'dai 齐国有四殆
'qi'guo'you'tian'beng 杞国忧天崩
'qi'hun'bu'xiu'si'bu'jue 其魂不朽祀不绝
'qi'jie'jing'zhui'sheng'ci 七节颈椎生刺
'qi'lai'guai'mu'shi'dong'ming 起来怪目视东溟
'qi'pei'zhang'ju'qing'xi'pan 齐陪杖屦清溪畔
'qi'sha'ren'yun'qu'tong'zhong'sheng'ye'cha 气煞人运去铜钟声也差
'qi'shi'jing'ren 奇事惊人
'qi'shou'xi'dong'huang 稽首兮东皇
'qi'shou'zai'bai'ye'di'ting 稽首再拜谒帝庭
'qi'ta'gua'fu'yu'gu'er 欺他寡妇与孤儿
'qi'wo'e'guan 欹我峨冠
'qi'xia'yu'yu'pan'dun'huang 其下郁郁盘敦煌
'qi'xiang'chun'pu'zhen'yu'ru 气象淳朴真迂儒
'qi'xue'mai'zhi'suo'liu'ru 弃血脉之所流濡
'qi'yi'cui'fu'zhi'chen'jiang 弃以摧腐之陈缰
'qi'yi'wu'yan'xing 齐以无盐兴
'qi'yu'yuan'zhi'qian'long 起虞渊之潜龙
'qi'ze'bu'yuan'xi 其则不远兮
'qi'zhen'geng'zai'liu'yun'chu 栖真更在留云处
'qi'zheng'qun'hui'zhi'yi 岂争群卉之衣
'qi'zhi'chou'fu'jia'tian'jia 岂知丑妇嫁田家
'qi'zhong'gu'er'lu'tu 迄终古而露突
'qian'bai'yun'er'du'chang'feng'xi 牵白云而度长风兮
'qian'dong'xian'ming'chu'feng'cheng 前冬衔命出凤城
'qian'guan'bai'pi'yao'xiang'wang 千官百辟遥相望
'qian'jin'wei'zhong'gu'rou'qing 千金为重骨肉轻
'qian'jin'zhi'zi'bu'si'shi 千金之子不死市
'qian'kou'di'zi'zhi 箝口秪自知
'qian'li'hui'yang'tu'zhi'ge 黔黎灰扬土炙割
'qian'ling'gui'he'ban'chang'song 千龄龟鹤伴长松
'qian'nian'gu'zhe'chou'gan'chang 千年孤蛰愁肝肠
'qian'nian'sheng'xiang'chao'qun'cai 千年声响超群材
'qian'qian'wan'wan'shu'zhong'ji 千千万万书中记
'qian'qiu'wan'sui'le'qie'dan 千秋万岁乐且耽
'qian'ren'yi'yi'jin'ren'ai 前人已矣今人哀
'qian'ri'gao'zhen'zui'hou'wo 前日藁砧醉后卧
'qian'shan'wan'shan'ru'hui'huan 千山万山如回环
'qian'sheng'zuo'zhi'hou'sheng'shu 前圣作之后圣述
'qian'wan'gu 千万古
'qian'you'ya'yu'shou 前有猰貐守
'qian'zai'qin'zhong'jiang'er'su 前在衾中将儿宿
'qiao'ran'lei'xia'cheng'shan'quan 悄然泪下成山泉
'qiao'shou'san'feng'lie'shang'fang 翘首三峰列上方
'qiao'zhong'chang'ren'tiao'yu'li 鞘中长刃跳欲立
'qie'lai'ji'shan'xia 朅来鸡山下
'qie'shi'jia'shen'he'chu'mi 妾失家身何处觅
'qin'ai'de 亲爱的
'qin'qi'lie'mie 嵚崎裂灭
'qing'jia'nai'chu'er'xiong'si 倾家乃出而兄死
'qing'jun'bao'ci'guo 请君宝此国
'qing'qing'zhe'yu'liao'wu'ji 青青者榆疗吾饥
'qing'qun'lao'yu'cha'xian'yu 青裙老妪诧鲜鱼
'qing'shan'ke'wang'bu'ke'pan 青山可望不可攀
'qing'yan'gao'ge'wang'wu'zi 青眼高歌望吾子
'qing'ying'zhang'ju'deng'hong'ming 轻盈杖屦等鸿冥
'qiu'he'beng'cui'xi 丘壑崩摧兮
'qiu'ju'zhi'ao'xi 秋菊之傲兮
'qiu'lan'nan'zhu'se 秋蓝难著色
'qiu'ran'ru'cha'ji 虬髯如插戟
'qu'ban'zhu'xi'yi'ren'zhi'gu 觑版筑兮以人之骨
'qu'da'jun'bei'you'cao 屈大均悲幽操
'qu'wu'lu'xi'lai'bu'qi 去无路兮来不期
'qu'yi'wei'zu'lei'yi'xu 曲亦未卒泪已续
'qu'zhe'shu'wei'xi 曲折殊未息
'quan'a'qi'shi'yan'ping'lu 泉阿岂识延平路
'quan'bu'guan'xing'xia'chun'feng'you'qiu'yu 全不管行下春风有秋雨
'quan'bu'nian'yi'mu'tong'bao'xiong'di'sa 全不念一母同胞兄弟仨
'quan'dang'zuo'ying'tou'xi'zi'pi'qing'shi 权当作蝇头细字批青史
'quan'liu'jue'tu'yue'er'qi 泉流蹶突跃而起
'quan'nu'li'jing'xin'zhi'yi'fan 劝努力精心治一番
'quan'shi'ying'hui'yun'mu'shen 泉石萦回云木深
'quan'wo'zhi 劝我止
'que'de'jia'ren'qing'guan'mi 却得家人请官米
'que'shi'qian'ji'fu'zhu'lv 却使乾机付诸吕
'que'si'meng'shi'wei'shen'yu 却思猛士卫神宇
'que'wu'guan'chong'yu'wan'hao 却无关虫鱼玩好
'qun'xian'geng'ju'man'ting'zhong 群仙更聚幔亭中
'ran'chai'kai'dang'xun'chao'mi 燃柴开铛寻朝米
'ran'luo'yi 染罗衣
'rang'tian'xia'yi'cong'lao'po'kou 让天下依从老婆口
'rao'chang'di'liang'hang'chui'liu'shu 绕长堤两行垂柳疏
'rao'gu'song'er'du'qi 绕孤松而独栖
'rao'shu'bai'za'tian'ru'qi 绕树百匝天如漆
'ren'cong'xiao'yan'shi'ren'kou 任从笑掩侍人口
'ren'de'jue'xing'zhi'zhe'shui 人的觉醒知者谁
'ren'jie'ru'ci'wo'qi'yi 人皆如此我岂异
'ren'ju'qu'xi'xiang'yang 忍遽去兮相羊
'ren'jun'tang'shang'bu'zi'sui 人君倘尚不恣睢
'ren'ren'du'yi'jing 人人读医经
'ren'rou'yan'yan'si'kai'zhang 人肉筵宴四开张
'ren'shi'fei'huang'ban'tian'hei 任使飞蝗半天黑
'ren'sui'qu'xi'gu'wu'cun 人虽去兮故物存
'ren'xian'cang'hai'bian'geng'sang 人閒沧海变耕桑
'ren'xin'ci'yi'wei'xin'xi 人心此以为心兮
'ren'xin'zhi'cun'cun'xi 人心之存存兮
'ren'yi'shou'de'wei'sha'mu 仁义首德为纱幕
'ren'yu'xiong'xiong'jin'yi'xi 人语汹汹尽已息
'ri'guang'mo'dang'you'shu'le'zhao'jia 日光摩荡又属了赵家
'ri'ri'bei'feng'ji 日日北风急
'ri'sao'chun'can'xiao'zhi'bu 日扫春蚕宵织布
'ri'xin'you'xin'chang'xing'xing 日新又新常惺惺
'ri'xue'geng'yun'ye'xue'ma 日学耕耘夜学麻
'ri'zhang'shen'yuan'ji'sheng'dong 日长深院机声动
'ri'zhao'shuang'xi'hong'ru'duo 日照双喜红如朵
'rou'chang'jiu'qu'xi'yu'si 柔肠九曲细于丝
'ru'hu'ying'men'ju'huan'ke 入户盈门俱欢客
'ru'lao'bu'si'ding'wei'zei 如老不死定为贼
'ru'nv'luo'tu'si'zhi'gu'chan 如女萝菟丝之固缠
'ru'ren'mu'zhi'ru'zi 如人母之乳子
'ru'shi'shi'zhi'shen'fan'fan 入世始知身泛泛
'ru'si'da'meng'shui'xian'jue 如斯大梦谁先觉
'ru'wu'ren'jing'po'ming'huang 如无人境破冥荒
'ruo'gan'juan 若干卷
'ruo'ji'mu'zhi'hu'chu 若鸡母之护雏
'ruo'jiang'you'xi'wu'zhi'chu 若将游兮物之初
'sa'dou'la'bei'feng'ge 萨都剌北风歌
'sa'dou'la'deng'ge'feng'tai 萨都剌登歌风台
'sa'dou'la'guo'huai'he 萨都剌过淮河
'sa'dou'la'wei'wu'qu 萨都剌威武曲
'sa'dou'la'xuan'zheng'tong'zhi 萨都剌宣政同知
'sa'dou'la'yong'lu'ye'zhuo 萨都剌拥炉夜酌
'sa'dou'la'zeng'yan'meng'chu 萨都剌赠燕孟初
'sa'dou'la'zhi'nv'tu 萨都剌织女图
'sa'piao'ran'zhi'qian'xiu 洒飘然之茜袖
'sa'yu'ti'xi'qi'huo'jiang'wei'gan'lu 洒予涕兮其或将为甘露
'sa'zai'zhi'zhi'you'you'qin 卅载至治由忧勤
'san'bai'liu'shi'gu'jing'lu 三百六十古精庐
'san'bu'jiu'hou'zhong'jian'you'tai'ji 三部九候中间有太极
'san'fen'ge'ju'zhou'le'hua'jia 三分割据周了花甲
'san'ge'yue 三歌曰
'san'jin'qi'zhi'ju 散金绮之裾
'san'nian'zai'mi'de'yi'bo 三年再觅得一跛
'san'ri'bu'chu'hu 三日不出户
'san'shi'nian'de'sha'yun'tei'ku'nao 三十年的杀运忒苦恼
'san'zhao'san'mu'xing'yi'lao 三朝三暮行已老
'sang'mu'ban'ding'zai'nao'gai'zi'shang 桑木板顶在脑盖子上
'sang'yin'yin 桑阴阴
'sha'ren'fang'huo'xiang'rong'hua 杀人放火享荣华
'sha'sha'sha'sha'sha'sha'sha 杀杀杀杀杀杀杀
'sha'tuo'jiang'you'zuo'le'tang'huang'di 沙陀将又做了唐皇帝
'shan'guang'shui'se'mei'qing'han 山光水色媚清酣
'shan'li'er'yuan'liang'xi 山立而渊靓兮
'shan'min'ji 剡民饥
'shan'pan'pan 山盘盘
'shan'qian'shan'hou'xun'jue'qi 山前山后寻蕨萁
'shan'qian'shu 山前树
'shan'seng'ni'bi'xiao'wen'wu 山僧睨壁笑问吾
'shan'seng'quan'wo'ge 山僧劝我歌
'shan'shan'xiang'er'xi'wan'suan'ni 扇扇象耳兮玩狻猊
'shan'shang'zhi'jin'you'ban'wu 山上至今犹板屋
'shan'tou'dai'tian'shu'ci'bei 山头代天树此碑
'shan'xi'de'qin'jia'de'le'feng'shui 陕西的秦家得了风水
'shan'xiang'ru'ci'shu'yi'qiong 善相如此术亦穷
'shan'yi'qun'xiong'ru'ti'cao 芟刈群雄如薙草
'shan'zhong'zhi'le'ru'cang'sheng 山中之乐如苍生
'shang'ban'san'hui'zui'jian'xin 上班散会最艰辛
'shang'huo'yu'ting 尚或予听
'shang'ju'zhong'wai'gao'gui'shen'sheng'ke 上倨中外高贵神圣客
'shang'jun'bu'xiao'you'shi'chen'zuo'le'zhu 商均不肖又是臣作了主
'shang'nai'yu'gao'yun'xiang'hang'xie 上乃与高云相颃颉
'shang'song'weng'po'lao 上送翁婆老
'shang'xia'lv'jing'er'jiao'ru 上下绿净而交如
'shang'you'da'ling'guan'jun'zi 上有大令冠军字
'shang'you'lang'lang'zhi'qing'tian 上有朗朗之青天
'shang'you'shu'xi'shu'ren'zhi'xue 上有书兮书人之血
'shang'yu'tian'you'yi'huo'zai 上与天游意豁哉
'shao'nian'jiang'jun'mian'ru'yu 少年将军面如玉
'shao'nian'tong'ji'ru'jun'men 少年通籍入君门
'shao'shao'sheng'ping'wang'xian'zu 稍稍升平忘险阻
'shao'yu'yi'ban 少于一半
'shei'yu'xiang'cong'qia'qing'su 谁与相从洽情愫
'shei'yu'you'qi'bang'chi'xia 谁与幽栖傍赤霞
'shen'nv'zhi'feng'dian 神女之峰巅
'shen'qiao'xiao'yi'han'fang 矧巧笑以含芳
'shen'sheng'gong'qiao'mo'xiang'wai'bian'qiu 神圣工巧莫向外边求
'shen'shi'zhen'long'fei'hua'zhe 身是真龙非画者
'shen'wo'yi'mo 申我以谟
'sheng'bai'hong'xi'dou'zhi'xu 升白虹兮斗之虚
'sheng'bi'ge'you'zhu'tao'sheng'zuo'tou'tuo 生逼个幼主逃生作头陀
'sheng'huang'sui'sui'wan'ji'xia 圣皇岁岁万几暇
'sheng'jiao'ren'rou'bu'pa'sai'ya 生嚼人肉不怕塞牙
'sheng'qian'feng'hou'si'miao'shi 生前封侯死庙食
'sheng'ren'you'dao'guan'men'kai 圣人有道关门开
'sheng'si'ke'qi 生死可弃
'sheng'si'na'qin'huang'han'wu'jin'he'zai 盛似那秦皇汉武今何在
'sheng'xia'dou'cong'mang'li'lao 生下都从忙里老
'sheng'you'chou'feng'you'qi'qi 剩有畴风犹泣泣
'sheng'ze'tong'qin'si'tong'guo 生则同衾死同椁
'sheng'zhe'ke'sha'si'ke'sheng 生者可杀死可生
'shi'cheng'heng'shuo'ren'cheng'hao 诗成横槊人称豪
'shi'chong'tuo'sheng'mei'ge'ban'zha 石崇脱生没个板渣
'shi'ci'jiang'fu'he'ru 视此将复何如
'shi'er'dao'jin'pai'hai'le'yue'wu'mu 十二道金牌害了岳武穆
'shi'er'er'ren'shen'yuan 室迩而人甚远
'shi'er'jin'chai'bo'ming'niang 十二金钗薄命娘
'shi'ge'hong'lun'zhi'sheng'le'yi'ge'yuan 十个红轮只剩了一个圆
'shi'hu'tu'yi'ta 是糊涂一榻
'shi'ji'ran'ran'yi'yan'shi'xi 时既冉冉以淹逝兮
'shi'jian'shi'feng'li'gu'deng'cao'tou'lu 世间事风里孤灯草头露
'shi'jian'xuan'zhuan'kong'xing'ying 世间眩转空形影
'shi'jiang'bi'ming'yi'song'qiu 逝将毕命依松楸
'shi'jing'tang'duo'le'ta'zhang'ren'de'wan 石敬瑭夺了他丈人的碗
'shi'kan'na'han'ling'tang'qin'mai'huang'cao 试看那汉陵唐寝埋荒草
'shi'ke'shi'hua'tuo'yong'an 诗可使画脱庸暗
'shi'ke'xiu'zuo'wu'bing'yin 诗客休作无病吟
'shi'kun'lun'xi'ni'wan 视昆仑兮泥丸
'shi'lai'shi'wang'you'ren'ju 时来时往幽人居
'shi'men'hua'duan'yi'feng'kai 石门划断一峰开
'shi'men'huai 释闷怀
'shi'men'xu'che'ba'jin'guang 石门虚彻把金光
'shi'pian'pian'yi'chu 始翩翩以出
'shi'ping'shang'zhi'guan'jun'shou 时平尚置官军守
'shi'ren'jiu'jue'lan'shi'juan 诗人久觉兰室倦
'shi'ren'yi'lai'ji'ren'dao 诗人以来几人到
'shi'ru'hu 势如虎
'shi'ruo'xing 石若星
'shi'shan'beng'ji 石扇崩齑
'shi'shi'xia'ou'zhan'fa'wei 施食狎鸥沾法味
'shi'sui'shi'xi'bei'you'yu 事虽逝兮悲犹馀
'shi'wen'qi'yu'na'li'qu 试问其余哪里去
'shi'wo'chang'xi'nei're 使我肠兮内热
'shi'wo'ru'jing'zhong 视我如井中
'shi'wo'shen'xi'yuan'ru'cui 使我神兮渊如粹
'shi'wo'suo'cun 使我所存
'shi'wo'tu'er'bai 使我秃而白
'shi'wo'yi'xi'er'lao'mao 使我一夕而老耄
'shi'wo'zi'xin'huan'ming'ying'che 使我自心圜明莹彻
'shi'xin'cong'jun'gu'yun'le 始信从军古云乐
'shi'xue'ru'ru 使血如濡
'shi'yi'shun'er'ku'gao 使一瞬而枯槁
'shi'yu'yu 石圉圉
'shi'zhi'wang'zheng'li'qian'kun'mian'feng'bo 实指望整理乾坤免风波
'shi'zi'jie'fang 十字街坊
'shou'cai'wei'jue'cang'shan'wan 手采薇蕨苍山晚
'shou'du'yi'yuan 首都医院
'shou'fu'tian'zi'deng'long'chuang 手扶天子登龙床
'shou'gou'le'na'tie'suo'he'tong'jia 受够了那铁锁和铜枷
'shou'gui'pi'hei'shen'cang'huang 手龟皮黑神仓皇
'shou'pin'shen 手频伸
'shou'xiao'hu'ni'shan'xi'he'qi'mu 首肖乎尼山兮河其目
'shou'zhi'gang'bian'jiang'ni'da 手执钢鞭将你打
'shu'bu'jia'guo'xi'quan'qi'zhong 孰不家国兮蜷其中
'shu'chu'shu'mie'tu'mang'ran 倏出倏灭徒茫然
'shu'dao'zhi'nan 蜀道之难
'shu'hu'bian'hua'na'neng'sheng 倏忽变化那能省
'shu'liu'quan'xi'yin'gao'mu 漱流泉兮荫高木
'shu'sheng'ru'yu'du'shu'ce 书生如鱼蠹书册
'shu'xia'wen'lang'lang'bu'yu 树下问郎郎不语
'shu'yu'xiu'xi'bo'hui'lan'zhi'feng 舒予袖兮播蕙兰之风
'shu'zheng'ru'shui'wu'yuan'min 庶政如水无冤民
'shu'zhi'qi'jiang'wang'xi 孰知其将往兮
'shu'zhong'ren'wu'qian'qian'wan 书中人物千千万
'shuang'jiang'ci'ci 双桨刺刺
'shui'can'tou 谁参透
'shui'dao'heng'zai'sheng'bian'tu 谁道横灾生变突
'shui'dao'xiang'feng'fei'meng'jing 谁道相逢非梦境
'shui'han'tian'ying'qing'mang'mang 水涵天影青茫茫
'shui'kai'qing'bi'yi'wan'zhang 谁开青壁一万丈
'shui'ke'yu'tong'xue'mu'chan 谁可与同学慕禅
'shui'ke'yu'tong'yuan'he'qing 谁可与同猿鹤情
'shui'qi'juan'shi'sao'mei'tai 谁其镌石扫莓苔
'shui'qi'xing'le'yi'wei'yang 谁其行乐意未央
'shui'qi'zhu'zhi'xi'shang'weng 谁其主之溪上翁
'shui'shi'hui'chang'jing'ji'bo 谁识回肠经几簸
'shui'shi'shui'fei'ye'shuo'bu'fen'ming 谁是谁非也说不分明
'shui'wei'ping'yang'you'yan'shi 谁为平阳有燕氏
'shui'xian'wei'zhi'bu'ken'qu 水咸为之不肯去
'shui'xin'dang'nian'yi'zi'ru'hua'hao 谁信当年亦自如花好
'shui'xin'jing'qi'yuan'yang'fei 水心惊起鸳鸯飞
'shui'xing'xi'shan'yi'xi'yang 睡醒西山已夕阳
'shui'zhi'dao'zhang'yi'men'kai'da'shi'qu 谁知道彰义门开大事去
'shuo'bu'jin'da'song'wu'cun'gan'jing'tu 说不尽大宋无寸干净土
'shuo'bu'jin'na'xie'li'si'yu'zhang'san 说不尽那些李四与张三
'shuo'feng'ri'ye'xiang'teng'cu 朔风日夜相腾蹙
'shuo'shen'me'xiao'yao'kuai'le'shen'xian'jie 说什么逍遥快乐神仙界
'si'bai'nian'you'dao'le'shang'jia'shou 四百年又到了商家手
'si'er'man'xi'yun'meng'ze 肆而漫兮云梦泽
'si'ge'yue 四歌曰
'si'jia'wu'ge'xi'ge'you'you 思家五歌兮歌悠悠
'si'jing'luo'zhi'jiu 似净罗置酒
'si'jun'yi'ge'xi'ge'zheng'chang 思君一歌兮歌正长
'si'jun'zi'xi'gao'tang 思君子兮高堂
'si'ming 司命
'si'qian'shei'hui'ba'xin'kuan 死前谁会把心宽
'si'qin'er'ge'xi'ge'yi'sheng 思亲二歌兮歌一声
'si'shi'sui'ren'gai'sha'tou 四十岁人该杀头
'si'teng'chuo'er'fen'dao'xi 肆腾踔而奋蹈兮
'si'wo'suo'si'xi'xin'wu'duan 思我所思兮心无端
'si'xiong'san'ge'xi'ge'wan'mian 思兄三歌兮歌婉娩
'si'yi'wang'xi'wu'ya'ji 肆一往兮无涯际
'si'yue'jiu'guan'ju'da'shun 四岳九官举大舜
'si'zi'si'ge'xi'ge'yu'yu 思子四歌兮歌郁纡
'song'feng'yu'you'he 松风语幽壑
'su'chang'jiang'zhi'wu'qiong 溯长江之无穷
'su'fu'wo'rou 速腐我肉
'su'kun'lun'zhi'yi'wu'xi 宿昆仑之椅梧兮
'su'shi'rang'yu'he'guan'wu'si'ge 苏世让玉河馆五思歌
'su'yu'du'jiang'zhan'yi 粟裕渡江战役
'suan'lai'ming'li'bu'ru'xian 算来名利不如闲
'suan'lai'you'guo'que'wu'jia 算来有国却无家
'suan'wu'shi'yu'nian'di'yi'chang 算五十余年第一场
'sui'bu'qing'song'qia'qia 虽不轻松恰恰
'sui'feng'zhu'lang'yong'he'shang 随风逐浪庸何伤
'sui'yao'cheng'ju'du 虽药称剧毒
'suo'guo'er'fu'yu 所过而敷腴
'suo'na'xiao'jiao'pi'hong'lv 唢呐小轿披红绿
'suo'ying'chuan'hua'fei'xiao'feng 梭影穿花飞小凤
'ta'die'niang'shou'zui'quan'bu'guan 他爹娘受罪全不管
'ta'gan'jiu'yao'tou'bai'wei'ru'yan'xia 他敢就摇头摆尾入烟霞
'ta'long'xing'hu'bu'sheng'cheng'de'gui 他龙行虎步生成的贵
'ta'na'can'shi'fang'fa'qi'de'xin'gao 他那蚕食方法起的心高
'ta'nian'de'zang'fu'jia'fen 他年得葬夫家坟
'ta'nian'qi'he'gui'peng'lai 他年骑鹤归蓬莱
'ta'ren'xin'shi'zhi'he'ru 他人心事知何如
'ta'shan'hai'you'ci'ke'wu 他山还有此客无
'ta'sheng'xia'le'er'zi'yi'bai'ge 他生下了儿子一百个
'ta'zai'na'wo'nan'he'shang'fa'le'zha 他在那斡难河上发了渣
'tai'cheng'gao'xue'jin 台成膏血尽
'tai'hang'jian'ji'you'ru'xu 太行剑戟犹如许
'tai'qian'lao'ren'lei'ru'yu 台前老人泪如雨
'tai'yin'xi'zi'sui'tai'yang 太阴兮自随太阳
'tai'zhui'bi'xi'ji'mao'sheng 苔缀壁兮脊茅生
'tang'ruo'dang'chu 倘若当初
'tang'zhen'de'yi'liao'ru'si 倘真得意料如斯
'teng'chuo'die'xue'guan 腾踔喋血惯
'ti'bi'zhi'xu 薙彼之须
'ti'shi'he'dao'li'xian'jia 题诗合到李仙家
'ti'sui'fei'zheng'cha'yi'ke 体虽非正差亦可
'ti'tian'jue'ding'jie'shen'wei 梯天绝顶接神威
'tian'feng'chui'xue'xia'ping'tian 天风吹雪下平田
'tian'feng'chui'yi'mao'gu'leng 天风吹衣毛骨冷
'tian'fu'shui'zhong'shi'jiao'hao 田夫睡中时叫号
'tian'hu'ri'yue'jing'pian'chang 天壶日月景偏长
'tian'ming'long'mu'jian'lang'ji 天明垄亩见狼藉
'tian'qie'wei'shu'ren'ji'ji 天且未曙人寂寂
'tian'ru'ruo'you'qing 天汝若有情
'tian'sheng'wan'wu'yi'yang'min 天生万物以养民
'tian'wai'huo'you'ren'jian'cheng'huan'yu 天外或有人间逞欢豫
'tian'xia'e'shi'qi'shao'zai 天下恶诗岂少哉
'tian'xia'wu'yue'song'zhong'yang 天下五岳嵩中央
'tian'xiang'ci'yi'wei'xiang'xi 天象此以为象兮
'tian'xing'zhi'ying'ying'xi 天星之荧荧兮
'tian'you'da'de'bu'xia'xu 天有大德不下许
'tian'you'da'yan'bu'ken'yu 天有大言不肯语
'tian'yu'mi'xi'yu'bin'fen 天宇幂兮雨缤纷
'tian'zhu'qing'tian'bu'qing 天柱倾天不晴
'tiao'suo'zhe'zhou'wang'hun'jun'ba'ta'na 挑唆着纣王昏君把他拿
'tie'da'che'xiang'rou'zuo'shen 铁打车箱肉做身
'tie'tong'shi'de'qian'kun'ban'bian'ta 铁桶似的乾坤半边塌
'tie'xuan'si'shou'ji'nan'fu 铁铉死守济南府
'tie'zuo'xu'lie'yu'zuo'lin 铁作须鬣玉作鳞
'tong'que'tai'huang'yi'wang'kong 铜雀台荒一望空
'tong'xin'xiang'chou 同心相仇
'tong'zi'yu'xue'xi'qu'yi'qu 童子玉雪兮趋亦趋
'tou'hu'feng'han 透户风寒
'tou'lv'dong 头屡动
'tou'shang'ji'gen'huo'tao 头上几根活套
'tu'zou'wu'fei'cui'duan'jing 兔走乌飞催短景
'tuan'yuan'yi'xi'miao'zong 抟远翼兮渺踪
'tui'men'po'fu'han'wei'qi 推门婆夫鼾未起
'tui'xiu'bu'zhu'wu'tu'qiu 退休卜筑吾菟裘
'tun'lei'jing'he'yi 吞泪竟何益
'tuo'yi'gu'fei'zhi'ying'guang 唾以孤飞之萤光
'wa'xi'wa'xi'ju'jing'di 蛙兮蛙兮居井底
'wa'xi'wa'xi'mo'wo'chao 蛙兮蛙兮莫我嘲
'wa'yue'wa'yue'xiu'pin'ma 蛙月蛙月休频骂
'wa'zao'yue'zhuo'ge'ru'ma 蛙噪月灼各如骂
'wan'dui'qun'feng'kua'le'ju 晚对群峰誇乐聚
'wan'feng'hui'he'chu 万峰回合处
'wan'gu'nie'hai'you'guan'chang 万古孽海又官场
'wan'he'du'jin'song'sheng'han 万壑度尽松声寒
'wan'li'tong'hang'you'qing'zhuo 万里同行有清浊
'wan'lv'chun'chou'zheng'ru'zhi 万缕春愁正如织
'wan'wu'dian'dao'sui'yun'lei 万物颠倒随云雷
'wan'yan'lu'wu'chi'feng'luan 蜿蜒硉矹驰峰峦
'wan'yi'jian'huang'jin'yue'fu'zhe'le'ren 万一间黄金钺斧折了刃
'wang'hai'si'qian'lie'zhuang'gai 望海寺前列幢盖
'wang'ji'dong'qian'jian'jian'xiao 王迹东迁渐渐消
'wang'jian'qiang'yu 望见墙宇
'wang'mu'yi'yi'huan'yi'wei 王母夷羿环以卫
'wang'yi'gong'sui'ran'mei'ceng'de'hao'si 望夷宫虽然没曾得好死
'wei'bai'he'yu'xiang'jiu 唯白鹤与相就
'wei'bi'zhong'cang'bu'fei'qu 未必终藏不飞去
'wei'bian'xi'zai'shou 韦编兮在手
'wei'de'ren'xi'yan'gui 微德人兮焉归
'wei'feng'guo'se 未逢国色
'wei'feng'zuo'xi'nai'yang'yang'er'juan'shu 微风作兮乃洋洋而卷舒
'wei'he'shan'xi'xin'mei 维河山兮信美
'wei'ji'ju'ji'ru'jiao'yuan 危岌跼蹐如焦原
'wei'ji'zhi'an 维集之安
'wei'jue'hai'yu'tian'feng'bi'ren'ji 唯觉海雨天风逼人急
'wei'jun'zhi'li'xi'shi'yu'bu'guo 唯君之力兮使予不果
'wei'lv'wei'ma'gu'qi'fen 为驴为马固其份
'wei'qiu'yi'zhi'xie'bin'ce 唯求一枝斜鬓侧
'wei'shen'me'da'han'qi'nian'bu'xia'yu 为什么大旱七年不下雨
'wei'shi'li'zhi'zhu'jian 维实理之著见
'wei'shui'da'lie'zuo'le'hao'meng 渭水打猎作了好梦
'wei'wei'xi'bei'kun'lun'gang 巍巍西北昆仑冈
'wei'wo'xian'shang'bin'feng'tu 为我献上豳风图
'wei'wu'he'ke'liang 威武何可量
'wei'wu'tian'xia'yi 威武天下一
'wei'yan'bu'te'han'gao'zu 为言不特汉高祖
'wei'yi'ding'ai'zeng 未易定爱憎
'wei'yi'shu'qian'li 逶迤数千里
'wei'yun'qu'lai'deng'wang'huan 微云去来等妄幻
'wei'zhang'yu'xu'cha'ke'tong 惟张与徐差可同
'wei'zi'zhi'suo'shi 惟子之所使
'wei'zuo'tai'qiong'ke 为作台邛客
'wen'bei'di'zhi'min'xiong'kuang'xi 闻北地之民雄旷兮
'wen'cang'tian 问苍天
'wen'dong'hai'zhi'san'shan'tan'yi'mei 闻东海之三山坍以没
'wen'er'bu'da'xin'yu'kou 问而不答心语口
'wen'qi'duan'xi'zhai'huang'tang'zhi'tu'ci 闻其端兮宅黄唐之土茨
'wen'ta'shui'jia'fu'shui'zhen 问他谁假复谁真
'wen'tian'xiang'jiao'bu'zhao'di'quan'mei'yong 文天祥脚不着地全没用
'wen'wen'qi'he 温温其和
'wen'yi'fu'xing'chong'lai'ci'qi'shi 文艺复兴重来此其时
'wen'zhang'sheng'jia'kui'nan'tong 文章声价愧难同
'wen'zheng'hong'zi'zi'gui'he'chu 问征鸿字字归何处
'wen'zhi'ru'yin'ya 问之如喑哑
'weng'po'chi'zhou'sao'chu'men 翁婆持帚扫出门
'weng'po'leng'lian'hui'chun'wen 翁婆冷脸回春温
'wo'bei'yi'nang'xin'jiu'juan 我背一囊心久倦
'wo'bu'chi 我不齿
'wo'bu'wo'you 我不我友
'wo'dao'xian'sheng'zhong'huai'ji 我道先生中怀疾
'wo'ge'tu'zi'shang 我歌徒自伤
'wo'gou'kong'hua 我构孔华
'wo'gu'ru'ci 我固如此
'wo'hun'piao'piao 我魂飘飘
'wo'ji'kuang'hu'tian'ruo'si 我亟狂呼天若死
'wo'jin'san'shi'shi'yi'jian 我今三十始一见
'wo'ju'wo'chu 我居我处
'wo'kan'zhe'quan'dou'ke'ai 我看着全都可爱
'wo'lai'xi'gui'zhi'yang 我来兮桂之阳
'wo'lai'zheng'zhi'tai'ping'shi 我来正值太平时
'wo'long'yi'mei'cao'man'jiu'mie 卧龙已没曹瞒就灭
