'a'na'zha'wang 阿那吒王
'ju'shen'zi'pu 举身自扑
'ju'shi 居士
'ju'shou'miao'le 具受妙乐
'ju'tong'sheng'qi 俱同生讫
'ju'wen'qing'jing'lian'hua'mu'ru'lai'er'gao'zhi'yue 具闻清净莲华目如来而告之曰
'ju'xin'dong'nian 举心动念
'ju'ya'di'yu 锯牙地狱
'ju'ye'shou'sheng 据业受生
'ju'yi'ben'xin 具以本心
'ju'yi'dao'li 俱诣忉利
'ju'yi'qie'zhi 具一切智
'ju'you'shi'ba 具有十八
'ju'zhi'dong'nian 举止动念
'ju'zhu'ju'zhu 俱住俱住
'ju'zu'zhang'fu'xiang 具足丈夫相
'juan'shu'fen'san 眷属分散
'juan'shu'gu'rou 眷属骨肉
'juan'shu'huan'le 眷属欢乐
'juan'shu'sheng'jie 眷属生界
'juan'shu'xiao'da 眷属小大
'jue'ding'bao'lian'sheng 决定宝莲生
'jue'hua'du'mi'jin 觉华度迷津
'jue'hua'zi'zai'wang 觉华自在王
'jue'lai'bian'de'li'gen'er 觉来便得利根耳
'jue'liang'san'ri 绝粮三日
'jue'lin'pu'sa'ji 觉林菩萨偈
'jue'zhi'su'ye 觉知宿业
'kai'jing'ji 开经偈
'ke'man'wan'bian 可满万遍
'ke'yin'tie'zhi 渴饮铁汁
'kong'shen 空神
'kou'ya'ru'jian 口牙如剑
'kou'ya'wai'chu 口牙外出
'ku'chu'xiang'lian 苦楚相连
'ku'du'wu'liang 苦毒无量
'ku'hai'zuo'zhou'hang 苦海作舟航
'kuan'wo'you'lv 宽我忧虑
'lai'dao'fo'suo 来到佛所
'lai'gong'yang'fo 来供养佛
'lang'ya'gui'wang 狼牙鬼王
'lao'si'pu'sa 劳斯菩萨
'lao'you'gui'jian 老幼贵贱
'le'bu'ke'de 了不可得
'le'fo'zhen'shi'xing 了佛真实性
'lei'duo'da'di'yu 累堕大地狱
'lei'jie'zhong'shi 累劫重誓
'li'bai'di'zang'xiang 礼拜地藏像
'li'di'zang'xing 礼地藏形
'li'fa'da'yuan'wang 立发大愿王
'li'he'yuan 立何愿
'li'hong'shi'yuan 立弘誓愿
'li'ji'yu'ren 利及于人
'li'jie'xiu'wan'hang 历劫修万行
'li'lin'zhong'ren'er'gen 历临终人耳根
'li'nian'di'zang'wang 礼念地藏王
'li'ren'ru'jian 利刃如剑
'li'shui'huo'zai 离水火灾
'li'si'da'yuan 立斯大愿
'li'yi'cun'wang'pin'di'qi 利益存亡品第七
'li'yi'deng'shi 利益等事
'li'yi'juan'shu 利益眷属
'li'yi'ren'tian'wu'liang'shi 利益人天无量事
'li'yi'ren'tian'yin'guo'deng'shi 利益人天因果等事
'li'yi'wang'ren 利益亡人
'li'yi'wu'liang 利益无量
'li'yi'zhong'sheng 利益众生
'li'yu'er'gen 历于耳根
'li'yu'zun 离欲尊
'li'zhu'e'dao 离诸恶道
'lian'min'zhong'sheng'ji'tian'long'ba'bu 怜愍众生及天龙八部
'lian'min'zui'ku'zhong'sheng 怜愍罪苦众生
'lian'mu'ru'zhe 恋慕汝者
'lian'mu'zhe 恋慕者
'liang'jiu'fang'su 良久方苏
'liang'she'e'kou'zhe 两舌恶口者
'liang'zu'zun 两足尊
'liao'bu'de'chu 了不得出
'liao'bu'de'li 了不得力
'lin'bie'zhi'shi 临别之时
'lin'duo'qu'zhong 临堕趣中
'lin'ming'zhong'ri 临命终日
'lin'ming'zhong'shi 临命终时
'lin'ru'kou'shi 临入口时
'lin'zhong'zhi'ri 临终之日
'ling'de'an'le 令得安乐
'ling'dui'zhu'fo'pu'sa'xiang'qian 令对诸佛菩萨像前
'ling'gui'jing'san'bao 令归敬三宝
'ling'hou'shi'mo'fa'yi'qie'e'xing'zhong'sheng 令后世末法一切恶行众生
'ling'li'di'yu'e'qu 令离地狱恶趣
'ling'luo'e'dao 令落恶道
'ling'sheng'zheng'jian 令生正见
'ling'shi'an'le 令是安乐
'ling'shi'wu'yu 令使无余
'ling'shou'miao'le 令受妙乐
'ling'suo'po'shi'jie 令娑婆世界
'ling'suo'po'shi'jie'zhong'sheng 令娑婆世界众生
'ling'tian'long'ba'bu 令天龙八部
'ling'wei'hu'ru 令卫护汝
'ling'wu'tuo'mian 令吾脱免
'ling'xin'tiao'fu 令心调伏
'ling'yi'qie'zhong'sheng 令一切众生
'liu'bu'shi'jing 流布是经
'liu'dao'shou'ku 六道受苦
'liu'dao'zhong'sheng 六道众生
'liu'fen'gong'de 六分功德
'liu'lang'sheng'si 流浪生死
'liu'tong'bian'shi'fang 流通遍十方
'liu'zhe 六者
'long'can'yin'ya'shi'qian'sheng 癃残喑哑是前生
'long'chi'wu'mu 聋痴无目
'long'zhong 龙众
'lue'er'shuo'zhi 略而说之
'lue'shuo'di'yu'ming'hao 略说地狱名号
'lue'shuo'di'yu'zui'bao'zhi'shi 略说地狱罪报之事
'lue'shuo'ru'shi 略说如是
'lue'shuo'shi'shi 略说是事
'lun'zhuan'wu'dao 轮转五道
'luo'han 罗汉
'luo'han'min'zhi 罗汉愍之
'luo'han'wen'guang'mu'yan 罗汉问光目言
'luo'han'wen'zhi 罗汉问之
'luo'zai'e'qu 落在恶趣
'lv'hao'xiang'guang 绿毫相光
'man'yu'wan'bian 满于万遍
'man'yue'fo 满月佛
'mao'fa'sha'chen'deng'xu 毛发沙尘等许
'mei'yi'shen 每一身
'mei'yi'shi'jie 每一世界
'mei'zhuan'yi'bian 每转一遍
'meng'fo'jie'yin 蒙佛接引
'meng'jian'fo'shen 梦见佛身
'meng'ru'fu'li 蒙汝福力
'mi'gan'cai'ye 米泔菜叶
'mi'huo'zhang'nan 迷惑障难
'mi'huo'zhong'sheng 迷惑众生
'mi'shi'ben'jia 迷失本家
'mian'zhong'jiao'ku 眠中叫苦
'mian'zhu'e'du 免诸恶毒
'miao'jia'shen 苗稼神
'miao'sheng'fo 妙声佛
'mie'wu'liang'zui 灭无量罪
'mie'zui'sheng'tian'tang 灭罪生天堂
'ming'da'a'bi 名大阿鼻
'ming'ding'zi'zai'wang 名定自在王
'ming'guan'shi'yin 名观世音
'ming'hao'ge'bie 名号各别
'ming'ming'you'shen 冥冥游神
'ming'qing'jing'lian'hua'mu'ru'lai 名清净莲华目如来
'ming'xing'zu 明行足
'ming'xu'kong'cang 名虚空藏
'ming'yue'bao'zhu 名曰抱柱
'ming'yue'cuo'shou 名曰锉首
'ming'yue'da'bian 名曰大辩
'ming'yue'dan'yan 名曰啖眼
'ming'yue'duo'chen 名曰多瞋
'ming'yue'fei'dao 名曰飞刀
'ming'yue'geng'she 名曰耕舌
'ming'yue'huo'jian 名曰火箭
'ming'yue'jia'shan 名曰夹山
'ming'yue'liu'huo 名曰流火
'ming'yue'pu'guang 名曰普广
'ming'yue'qian'ren 名曰千刃
'ming'yue'shao'jiao 名曰烧脚
'ming'yue'si'jiao 名曰四角
'ming'yue'tie'che 名曰铁车
'ming'yue'tie'chuang 名曰铁床
'ming'yue'tie'fu 名曰铁鈇
'ming'yue'tie'lv 名曰铁驴
'ming'yue'tie'niu 名曰铁牛
'ming'yue'tie'wan 名曰铁丸
'ming'yue'tie'yi 名曰铁衣
'ming'yue'tong'qiang 名曰通枪
'ming'yue'wu'du 名曰无毒
'ming'yue'wu'jian 名曰无间
'ming'yue'yang'tong 名曰烊铜
'ming'yue'zheng'lun 名曰诤论
'ming'yue'zhu'ming 名曰主命
'ming'zhong'zhi'hou 命终之后
'ming'zi'yi'bie 名字亦别
'mo'bai'qian'wan'yi'bu'ke'si 摩百千万亿不可思
'mo'ding'shou'ji 摩顶授记
'mo'luo'mo'luo 摩啰摩啰
'mo'qing'xiao'e 莫轻小恶
'mo'tui'chu'xin 莫退初心
'mo'xi'shou'luo'tian 摩醯首罗天
'mo'ye'fu'ren 摩耶夫人
'mo'ye'fu'ren'wen'yi 摩耶夫人闻已
'mo'ye'fu'ren'zhong'bai'di'zang'pu'sa'yan 摩耶夫人重白地藏菩萨言
'mo'ye'fu'ren'zhong'bai'pu'sa 摩耶夫人重白菩萨
'mu'bu'zan'she 目不暂舍
'mu'hao'yue'di'li 母号悦帝利
'na'mo'ben'shi'shi'jia'mou'ni'fo 南无本师释迦牟尼佛
'na'mo'ben'shi'shi'jia'mou'ni'fo'san'cheng 南无本师释迦牟尼佛三称
'na'mo'chang'zhu'shi'fang'fa 南无常住十方法
'na'mo'chang'zhu'shi'fang'fo 南无常住十方佛
'na'mo'chang'zhu'shi'fang'seng 南无常住十方僧
'na'mo'da'bei'guan'shi'yin'pu'sa 南无大悲观世音菩萨
'na'mo'da'yuan'di'zang'wang'pu'sa 南无大愿地藏王菩萨
'na'mo'da'yuan'di'zang'wang'pu'sa'san'cheng 南无大愿地藏王菩萨三称
'na'mo'e'mi'tuo'fo 南无阿弥陀佛
'na'mo'he'luo'da'na 南无喝啰怛那
'na'mo'hu'fa'zhu'tian'pu'sa 南无护法诸天菩萨
'na'mo'xiang'yun'gai'pu'sa'mo'he'sa'san'cheng 南无香云盖菩萨摩诃萨三称
'nai'ji'da'shui 乃及大水
'nai'ji'guo'tu 乃及国土
'nai'ji'jia'qin 乃及家亲
'nai'ji'wang'fei 乃及王妃
'nai'ji'wang'shi'xiong'di'zi'mei 乃及亡失兄弟姊妹
'nai'ji'ye'cha'zhu'e'du'deng 乃及夜叉诸恶毒等
'nai'ji'yi'qie'tian'long 乃及一切天龙
'nai'ji'zhu'ren 乃及诸人
'nai'ji'zhu'xing 乃及诸形
'nai'neng'fa'xin'xiu'bu 乃能发心修补
'nai'zhi'bai'ji 乃至拜祭
'nai'zhi'bai'qian 乃至百千
'nai'zhi'bai'qian'ren'deng 乃至百千人等
'nai'zhi'bai'qian'sheng'zhong 乃至百千生中
'nai'zhi'bu'ru'yi'shi 乃至不如意事
'nai'zhi'bu'xin'yin'guo'zhe 乃至不信因果者
'nai'zhi'cai'hua'ke'lou'su'qi'xing'xiang 乃至彩画刻镂塑漆形像
'nai'zhi'cao'mu'sha'shi 乃至草木沙石
'nai'zhi'chu'li'san'jie'ku 乃至出离三界苦
'nai'zhi'du'song 乃至读诵
'nai'zhi'fei'xiang'fei'fei'xiang'chu'tian 乃至非想非非想处天
'nai'zhi'feng'yu'hu'lang'shi'zi 乃至逢于虎狼狮子
'nai'zhi'heng'shi'bu'ru'qi'men 乃至横事不入其门
'nai'zhi'jian'xiang'zhan'li'zhe 乃至见像瞻礼者
'nai'zhi'jiao'ren'su'hua 乃至教人塑画
'nai'zhi'jin'yin'tong'tie 乃至金银铜铁
'nai'zhi'liu'dao'zui'ku'zhong'sheng 乃至六道罪苦众生
'nai'zhi'long'can'yin'ya 乃至癃残喑哑
'nai'zhi'meng'mei'zhi'zhong 乃至梦寐之中
'nai'zhi'nian'fo'pu'sa 乃至念佛菩萨
'nai'zhi'nv'ren'zhi'shen'yong'jie'bu'shou'zhe 乃至女人之身永劫不受者
'nai'zhi'pu'sa'sheng'wen'pi'zhi'fo'xiang 乃至菩萨声闻辟支佛像
'nai'zhi'quan'yu'yi'ren'duo'ren 乃至劝于一人多人
'nai'zhi'san'shi'ri 乃至三十日
'nai'zhi'shan'shi 乃至善事
'nai'zhi'she'zhai 乃至设斋
'nai'zhi'sheng'wen 乃至声闻
'nai'zhi'shui'huo'dao'zei 乃至水火盗贼
'nai'zhi'wen'ming 乃至闻名
'nai'zhi'wen'shi'jing'san'zi'wu'zi 乃至闻是经三字五字
'nai'zhi'xuan'yi'fan'yi'gai 乃至悬一幡一盖
'nai'zhi'yan'er 乃至眼耳
'nai'zhi'yi'mao'yi'chen 乃至一毛一尘
'nai'zhi'yi'nian'sheng'ji'hui'zhe 乃至一念生讥毁者
'nai'zhi'yi'nian'zan'tan'shi'jing 乃至一念赞叹是经
'nai'zhi'yi'qi'ri'zhong 乃至一七日中
'nai'zhi'yi'ren 乃至一人
'nai'zhi'yi'ri'er'ri'san'ri'si'ri 乃至一日二日三日四日
'nai'zhi'yi'wu'bu'yu'qu'zhe 乃至一物不与取者
'nai'zhi'yu'shui'meng'zhong 乃至于睡梦中
'nai'zhi'zhu'bu'zi'you'zhi'ren 乃至诸不自由之人
'nai'zhi'zhu'juan'shu 乃至诸眷属
'nai'zhi'zhu'shi 乃至诸食
'nan'fang'shi'jie'yong'xiang'yun'xiang'yu'hua'yun'ji'hua'yu 南方世界涌香云香雨花云及花雨
'nan'hua'gang'qiang'zui'ku'zhong'sheng 难化刚强罪苦众生
'nan'nv'di'mei 男女弟妹
'nan'nv'su'yan 男女俗眼
'nan'tiao'nan'fu 难调难伏
'nan'yan'fu'ti 南阎浮提
'nan'yan'fu'ti'zhong'sheng 南阎浮提众生
'neng'di'xu'mi 能敌须弥
'neng'dui'pu'sa'xiang'qian 能对菩萨像前
'neng'fa'ru'shi'da'yuan 能发如是大愿
'neng'hua'zhu'shi'jian 能画诸世间
'neng'ling'wang'zhe 能令亡者
'neng'ling'zi'mu 能令子母
'neng'ru'shi'yong'hu'shan'nan'nv'deng 能如是拥护善男女等
'neng'shen'ju'hai 能深巨海
'neng'shi'shi'zhu'zhong'sheng 能使是诸众生
'neng'shi'si'ren'huo'ci'hui 能使斯人获此慧
'neng'yi'su'ming'yin'guo'ben'mo 能忆宿命因果本末
'neng'yu'shi'shi'zhai'ri 能于是十斋日
'neng'yu'shi'zhai'ri 能于十斋日
'neng'yu'wu'zhuo'e'shi 能于五浊恶世
'neng'zhang'sheng'dao 能障圣道
'neng'zhi'zhu'du 能制诸毒
'neng'zuo'ru'shi'bu'shi 能作如是布施
'nian'fo'pu'sa'ming'hao 念佛菩萨名号
'nian'man'wan'bian 念满万遍
'nian'nian'xiu'xing 念念修行
'nian'nian'yong'hu'yan'fu'zhong'sheng 念念拥护阎浮众生
'nian'nian'zeng'yi 念念增益
'nian'nian'zeng'zhang 念念增长
'nian'nian'zhi'jian 念念之间
'nian'pu'sa'ming 念菩萨名
'nian'qi'ming'zi 念其名字
'nv'zhuan'nan'shen 女转男身
'pan'jiao'tie'she 盘缴铁蛇
'pao'kong'fan'jie 抛空翻接
'pi'li'ye'bo'luo'mi'yin 毗离耶波罗蜜音
'pi'ru'gong'hua'shi 譬如工画师
'pi'ru'san'qian'da'qian'shi'jie 譬如三千大千世界
'pi'ru'you'ren 譬如有人
'pi'ru'you'ren'cong'yuan'di'lai 譬如有人从远地来
'pi'zhi'fo 辟支佛
'pi'zhi'fo'xing'xiang 辟支佛形像
'pin'qiong'xia'jian 贫穷下贱
'pin'qiong'zhong'sheng'ji'ji'bing 贫穷众生及疾病
'po'luo'men 婆罗门
'po'luo'men'nv 婆罗门女
'po'luo'men'nv'jiu'ci'qin 婆罗门女救慈亲
'po'luo'men'nv'wen'ci'sheng'yi 婆罗门女闻此声已
'po'luo'men'nv'zhe 婆罗门女者
'po'mo'na 泼抹拏
'po'yong'chang'zhu 破用常住
'pu'gao'da'zhong 普告大众
'pu'gao'heng'sha'zhu'guo'tu 普告恒沙诸国土
'pu'gao'zhu'fo'shi'jie 普告诸佛世界
'pu'gong'yang'zhen'yan 普供养真言
'pu'guang 普广
'pu'guang'bai'yan 普广白言
'pu'guang'pu'sa'wen'fo'ru'lai 普广菩萨闻佛如来
'pu'guang'wen'ru'lai 普广问如来
'pu'guang'wen'yi 普广闻已
'pu'quan'zhong'sheng 普劝众生
'pu'sa'dang'xian'wu'bian'ti 菩萨当现无边体
'pu'sa'deng'shen 菩萨等身
'pu'sa'xian'da'shen'li 菩萨现大神力
'pu'sa'xing'xiang 菩萨形像
'pu'sa'yi'fang'bian'li 菩萨以方便力
'pu'sa'zhi'mu 菩萨之母
'pu'ti'bu'tui 菩提不退
'pu'xian'da'yan 普贤答言
'pu'xian'pu'sa'mo'he'sa'bai'di'zang'pu'sa'yan 普贤菩萨摩诃萨白地藏菩萨言
'pu'xian'qi'wen 普贤启问
'pu'zao'zhu'shi'jian 普造诸世间
'qi'cheng'chun'tie 其城纯铁
'qi'chu'shi'ye 其处是也
'qi'da'di'yu 其大地狱
'qi'fen'huo'yi 七分获一
'qi'fen'zhi'zhong 七分之中
'qi'fo'shou'ming 其佛寿命
'qi'fo'shou'ming'liu'wan'jie 其佛寿命六万劫
'qi'fo'shou'ming'si'shi'jie 其佛寿命四十劫
'qi'fu'bu'ke'wei'yu 其福不可为喻
'qi'hou'jia'nei 其后家内
'qi'ku'bei'ci 其苦倍此
'qi'ku'fu'bei 其苦复倍
'qi'kuang'bai'yi 欺诳白衣
'qi'li'cha'wang 祁利叉王
'qi'li'shi'wang 祁利失王
'qi'lin'guo'nei 其邻国内
'qi'lu'ge'bie 歧路各别
'qi'mu'xin'xie 其母信邪
'qi'pu'sa'yue 启菩萨曰
'qi'qi'ri'nei 七七日内
'qi'ren'huo'fu 其人获福
'qi'ren'meng'jue 其人梦觉
'qi'ri'zhi'zhong 七日之中
'qi'shan'hei'sui 其山黑邃
'qi'shi'ru'shi 其事如是
'qi'shi'yun'he 其事云何
'qi'shou'bei'qi 稽首悲泣
'qi'shou'ben'ran'jing'xin'di'wu'jin'fo'cang'da'ci'zun 稽首本然净心地无尽佛藏大慈尊
'qi'shou'di'zang'wang 稽首地藏王
'qi'shou'lai'ying 稽首来迎
'qi'shu'bai'qian 其数百千
'qi'shu'san'bian'huo'qi'bian 其数三遍或七遍
'qi'shu'wu'liang 其数无量
'qi'shu'wu'xian 其数无限
'qi'shui'yong'fei 其水涌沸
'qi'xian'dao'zhong 其险道中
'qi'xing'gang'qiang 其性刚强
'qi'xing'ge'yi 其形各异
'qi'xing'wan'lei 其形万类
'qi'xing'xiang'zai'yi'si'zhong 其形像在一寺中
'qi'you'wei'tiao'fu'zhe 其有未调伏者
'qi'yu'cheng'zhong 其狱城中
'qi'yu'cheng'zhou'za'ba'wan'yu'li 其狱城周匝八万余里
'qi'yu'zhou'za'wan'ba'qian'li 其狱周匝万八千里
'qi'yuan'shang'you'bi'jing 其愿尚有毕竟
'qi'zhe 七者
'qi'zhe'sheng'nv 泣者圣女
'qi'zhi'yu'jin 迄至于今
'qi'zhong'ge'ge'fu'you'zhu'xiao'di'yu 其中各各复有诸小地狱
'qi'zhong'ming'hao 其中名号
'qian'bai'ye'cha'ji'yi'e'gui 千百夜叉及以恶鬼
'qian'bao'wu'deng'gong'yang 钱宝物等供养
'qian'bei'duo'yu'shang'yu 千倍多于上喻
'qian'fu'zhuang'yan 千福庄严
'qian'jie'ce'du 千劫测度
'qian'jie'wan'jie 千劫万劫
'qian'ling'du'tuo 遣令度脱
'qian'ling'sheng'tian 遣令生天
'qian'ling'wen'zhi 遣令闻知
'qian'lun'hao'guang 千轮毫光
'qian'shi'juan'shu 遣是眷属
'qian'song'di'cang'ming 虔诵地藏名
'qian'song'di'zang'jing 虔诵地藏经
'qian'wan'chou'ku 千万愁苦
'qian'wan'fu'bei 千万复倍
'qian'wan'jie'zhong'bu'neng'de'jin 千万劫中不能得尽
'qian'wan'ren'shou'zui 千万人受罪
'qian'wan'sheng'zhong 千万生中
'qian'wan'sheng'zhong'yong'bu'wang 千万生中永不忘
'qian'wan'shi'jie 千万世界
'qian'wan'yi'jie 千万亿劫
'qian'yan'gui'wang 千眼鬼王
'qian'zao'di'zang'xiang 虔造地藏像
'qiang'guo'bai'jin 强过百斤
'qiang'hu'yi'di 羌胡夷狄
'qie'dao 窃盗
'qie'yuan'wen'yu'yan'fu'zui'bao'suo'gan'e'qu 且愿闻于阎浮罪报所感恶趣
'qin'ling'shi'ren 亲领是人
'qin'quan'cheng'jiu 勤劝成就
'qin'shou'bian'bu'shi 亲手遍布施
'qin'sun'chang'zhu 侵损常住
'qin'xin'mo'tui 勤心莫退
'qing'hao'xiang'guang 青毫相光
'qing'wen'di'zang'yin 请问地藏因
'qing'yun'hao'xiang'guang 庆云毫相光
'qiong'jie'bu'jin 穷劫不尽
'qiu'chu'ci'lu 求出此路
'qiu'chu'wu'qi 求出无期
'qiu'sheng'qiu'si 求生求死
'qiu'shuo'bu'jin 求说不尽
'qiu'yi'nian'jian'zan'zhu'bu'de 求一念间暂住不得
'qiu'zan'ting'ku'yi'nian'bu'de 求暂停苦一念不得
'qiu'zhe'guai'wei'wu'cheng'sui 求者乖违无称遂
'qiu'zhe'guai'yuan 求者乖愿
'qiu'zhu'wang'liang 求诸魍魉
'qu'chu'jin'tong 去处尽通
'qu'luo'qu'luo 佉啰佉啰
'qu'zhu'tie'gou 驱逐铁狗
'qu'zhu'xian'wei 取诸鲜味
'qu'zhu'zui'ren 驱诸罪人
'qu'zui'ren'she 取罪人舌
'qu'zui'ren'xin 取罪人心
'quan'guang'mu'yan 劝光目言
'quan'ling'lao'jiao 劝令牢脚
'quan'ling'yi'tan'zhi'jian 劝令一弹指间
'quan'shi'deng'ren 劝是等人
'quan'you'qi'mu 劝诱其母
'quan'yu'yan'fu'ti'zhong'sheng 劝于阎浮提众生
'que'hou'bai'qian'wan'yi'jie'zhong 却后百千万亿劫中
'que'hou'guo'yi'bai'qi'shi'jie 却后过一百七十劫
'ran'bu'li'yu'xin 然不离于心
'ran'hou'he'zhang'qing'fu 然后合掌请服
'ran'shi'ye'bao 然是业报
'ran'zhu'zhong'sheng 然诸众生
'rao'ci'min'xin 饶慈愍心
'rao'yi'zhong'sheng 饶益众生
're'tie'chan'shen 热铁缠身
're'tie'jiao'shen 热铁浇身
'ren'fei'ren'deng 人非人等
'ren'jian'qin'jing 人见钦敬
'ren'zhe 仁者
'ri'lun'hao'guang 日轮毫光
'ri'ye'shou'zui 日夜受罪
'ri'ye'wei'hu 日夜卫护
'ri'yue'sui'shen 日月岁深
'rong'mao'xi'duan'zhuang 容貌悉端庄
'ru'bu'shi'bai'heng'he'sha'fo'gong'de'zhi'li 如布施百恒河沙佛功德之利
'ru'bu'yan'nv'shen 如不厌女身
'ru'chi'ru'long 如痴如聋
'ru'da'ci'gu 汝大慈故
'ru'da'ci'min 汝大慈愍
'ru'da'shen'li 汝大神力
'ru'dan'hui'xiang'zi'jia'juan'shu 如但回向自家眷属
'ru'dang'di'ting 汝当谛听
'ru'dang'yi'nian 汝当忆念
'ru'deng'ji'yu'yan'luo 汝等及与阎罗
'ru'deng'zhu'pu'sa 汝等诸菩萨
'ru'deng'zhu'pu'sa'da'shi 汝等诸菩萨大士
'ru'duo'e'qu 如堕恶趣
'ru'fo'zhong'sheng'ran 如佛众生然
'ru'gong'yang'bi 汝供养毕
'ru'guan'shi'yi'qie'zhu'fo'pu'sa 汝观是一切诸佛菩萨
'ru'guan'wu'lei'jie'qin'ku 汝观吾累劫勤苦
'ru'guo'qu'xian'zai'wei'lai'zhu'fo 如过去现在未来诸佛
'ru'he'ai'jiu 如何哀救
'ru'ji'bi'shi'wang'yuan 汝既毕是往愿
'ru'jin'ju'da'ci'bei 汝今具大慈悲
'ru'jin'yu'xing'ci'bei 汝今欲兴慈悲
'ru'jing'qin'hu'jing 如精勤护净
'ru'ke'zhi'cheng'nian'qing'jing'lian'hua'mu'ru'lai 汝可志诚念清净莲华目如来
'ru'lai'ci'min 如来慈愍
'ru'lai'han'xiao 如来含笑
'ru'lai'zan'tan'pin'di'liu 如来赞叹品第六
'ru'lv'ni'tu 如履泥途
'ru'mi'lu'ren 如迷路人
'ru'mo'tui'shi'yuan 汝莫退是愿
'ru'mu'bu'jiu 汝母不久
'ru'mu'zai'sheng 汝母在生
'ru'neng'cheng'jiu'jiu'yuan'jie'lai'fa'hong'shi'yuan 汝能成就久远劫来发弘誓愿
'ru'qian'bai'yi'heng'he'sha 如千百亿恒河沙
'ru'shan'lin'zhong 入山林中
'ru'shi'ci'min 如是慈愍
'ru'shi'deng'bao 如是等报
'ru'shi'deng'bei 如是等辈
'ru'shi'deng'bei'zhong'sheng 如是等辈众生
'ru'shi'deng'da'gui'wang 如是等大鬼王
'ru'shi'deng'di'yu 如是等地狱
'ru'shi'deng'gui'wang 如是等鬼王
'ru'shi'deng'ren 如是等人
'ru'shi'deng'shen 如是等神
'ru'shi'deng'yan'fu'ti'zhong'sheng 如是等阎浮提众生
'ru'shi'di'zang'pu'sa 如是地藏菩萨
'ru'shi'e'dao'juan'shu 如是恶道眷属
'ru'shi'feng'shi'zhe 如是奉事者
'ru'shi'fu'li 如是福利
'ru'shi'guo'wang 如是国王
'ru'shi'jin'lai'ji'hui'dao'dao'li'tian'zhe 如是今来集会到忉利天者
'ru'shi'li'yi 如是利益
'ru'shi'mi'ren 如是迷人
'ru'shi'pu'sa 如是菩萨
'ru'shi'ren'deng 如是人等
'ru'shi'ri'ri'bu'tui 如是日日不退
'ru'shi'san'bai'bing'ren 如是三白病人
'ru'shi'san'bai'fo'yan 如是三白佛言
'ru'shi'shan'lin'da'hai'zhong 如是山林大海中
'ru'shi'shan'shi 如是善事
'ru'shi'shan'yuan 如是善缘
'ru'shi'suo'yuan'suo'qiu 如是所愿所求
'ru'shi'ta'ren 如是他人
'ru'shi'tian'ren 如是天人
'ru'shi'wo'wen 如是我闻
'ru'shi'yan'fu'ti'nan'zi'nv'ren 如是阎浮提男子女人
'ru'shi'zhi'guo 如是之果
'ru'shi'zhi'ren 如是之人
'ru'shi'zhong'zhong'bu'wan'ju'zhe 如是种种不完具者
'ru'shi'zhong'zui 如是众罪
'ru'shi'zhu'ye'zhong'sheng 如是诸业众生
'ru'shi'zui'bao'deng'ren 如是罪报等人
'ru'shi'zui'ye'zhong'sheng 如是罪业众生
'ru'wen'shu'pu'xian 如文殊普贤
'ru'xin'fo'yi'er 如心佛亦尔
'ru'xu'bai'qian'fang'bian 汝须百千方便
'ru'xu'mi'shan 如须弥山
'ru'yi'ben'shen'li'er'yong'hu'zhi 汝以本神力而拥护之
'ru'yi'dao'li 汝以道力
'ru'yi'shen'li 汝以神力
'ru'you'fu'li 如有福力
'ru'you'he'ji 汝有何计
'ru'you'wei'shi'ji'bu'jing'qin 如有违食及不精勤
'ru'yu'suo'po'shi'jie 汝于娑婆世界
'ru'yu'you'wang 如鱼游网
'ru'zhi'bian'cai'bu'ke'si'yi 汝之辩才不可思议
'ru'zhi'ci'bei'bu'ke'si'yi 汝之慈悲不可思议
'ru'zhi'gong'de 汝之功德
'ru'zhi'shen'li'bu'ke'si'yi 汝之神力不可思议
'ru'zhi'shu'fou 汝知数否
'ru'zhi'zhi'hui'bu'ke'si'yi 汝之智慧不可思议
'ruan'yan'wei'yu 软言慰谕
'rui'hao'xiang'guang 瑞毫相光
'ruo'bu'xian'du'zui'ku 若不先度罪苦
'ruo'chang'ruo'you 若长若幼
'ruo'da'ping'di 若达平地
'ruo'de'wen'yi'fo'ming 若得闻一佛名
'ruo'de'wo'mu'yong'li'san'tu'ji'si'xia'jian 若得我母永离三途及斯下贱
'ruo'de'yu'zhi'shi 若得遇知识
'ruo'duo'ci'yu 若堕此狱
'ruo'duo'e'qu 若堕恶趣
'ruo'fei'meng'fu 若非蒙福
'ruo'fei'ru'lai'da'ci'li'gu 若非如来大慈力故
'ruo'fei'wei'shen 若非威神
'ruo'guang'jie'shuo 若广解说
'ruo'guang'shuo'di'yu'zui'bao'deng'shi 若广说地狱罪报等事
'ruo'guang'shuo'di'yu'zui'qi'deng'ming 若广说地狱罪器等名
'ruo'jian'qin'zhi'ji'zhu'lu'ren 若见亲知及诸路人
'ruo'jian'you'ren'du'song'shi'jing 若见有人读诵是经
'ruo'nan'ruo'nv 若男若女
'ruo'nan'ruo'nv'ruo'long'shen 若男若女若龙神
'ruo'neng'bu'tui'shi'chu'xin 若能不退是初心
'ruo'neng'geng'wei'shen'si'zhi'hou 若能更为身死之后
'ruo'neng'hui'xiang'fa'jie 若能回向法界
'ruo'neng'ju'da'ci'bei 若能具大慈悲
'ruo'neng'nian'de'yi'fo'ming 若能念得一佛名
'ruo'neng'wei'qi'fu'mu'nai'zhi'juan'shu 若能为其父母乃至眷属
