'a'duo'nuo 阿多诺
'quan'xing'bao'zhen 全性保真
'quan'zeng'gu 全增嘏
'quan'zu'wang 全祖望
'qun'ji 群己
'qun'you'yi'zhi'xu'wei'zong 群有以至虚为宗
'qun'zhong'guan'dian 群众观点
'qun'zhong'lu'xian 群众路线
'ran'qiu 冉求
'ran'yong 冉雍
'ran'you 冉有
'rang'sheng'yu'you'yu 让生于有余
'rao'lu 饶鲁
'ren'dao 人道
'ren'dao'you'wei 人道有为
'ren'dao'zhi'zhi 人道之知
'ren'de 任德
'ren'ding'sheng'tian 人定胜天
'ren'er'mu'er'ding'qing'shi 任耳目而定情实
'ren'fei'li'bu'sheng 人非利不生
'ren'fu'tian'shu 人副天数
'ren'ji 人极
'ren'ji'yu 任继愈
'ren'jie'ke'yi'wei'yao'shun 人皆可以为尧舜
'ren'jue 人爵
'ren'kou'yin'su 人口因素
'ren'lei'gan'guan 人类感官
'ren'lei'hu'zhu'yuan'ze 人类互助原则
'ren'lei'jin'hua'zhi'shi'qi 人类进化之时期
'ren'lei'sheng'ming 人类生命
'ren'li 人理
'ren'li'zhi'yu 刃利之喻
'ren'lun 人伦
'ren'ma'zhi'yu 人马之喻
'ren'mou 人谋
'ren'neng 人能
'ren'neng'hong'dao 人能弘道
'ren'neng'sheng'hu'tian 人能胜乎天
'ren'qing'ji'xing 任情极性
'ren'shen'guan'xi 人神关系
'ren'sheng 仁声
'ren'sheng'guan'lun'zhan 人生观论战
'ren'shi'de'duo'yuan'lun 认识的多元论
'ren'shi'lun 认识论
'ren'shi'wei'ben 人事为本
'ren'shu 任曙
'ren'wei'tian'di'wan'wu'zhi'dao'shuo 人为天地万物之盗说
'ren'wei'tian'di'wan'wu'zhi'yuan 仁为天地万物之源
'ren'wei'wan'wu'zhi'ling 人为万物之灵
'ren'wen 人文
'ren'wu'pin'zao 人物品藻
'ren'xin 人心
'ren'xing 人性
'ren'xing'shou'xing'tong'shi'fa'zhan 人性兽性同时发展
'ren'yan 人演
'ren'yi 人义
'ren'yi 仁义
'ren'yi'li'zhi 仁义礼智
'ren'yi'tong'wei'di'yi'yi 仁以通为第一义
'ren'yu 人欲
'ren'yu'heng'liu'shuo 人欲横流说
'ren'zhe'ai'ren 仁者爱人
'ren'zheng 仁政
'ren'zhuo'xuan 任卓宣
'ren'zi'ji 人自己
'ren'zi'shen 人自身
'ri'xin 日新
'ri'xin'zhi'hua 日新之化
'rong'hong 容闳
'rong'ru 荣辱
'rong'ru'zhi'fen 荣辱之分
'rong'zhao'zu 容肇祖
'rou'jie 柔节
'rou'yu'sheng'gang'qiang 柔羽胜刚强
'ru'de'ning'dao 入德凝道
'ru'jing 入静
'ru'lai'zang 如来藏
'ru'nan'yue'dan 汝南月旦
'ruan'de'ru 阮德如
'ruan'ji 阮籍
'ruan'si'zong 阮嗣宗
'ruan'xian 阮咸
'ruan'xiu 阮修
'ruan'yuan 阮元
'ruan'zhan 阮瞻
'ruo'zhe'dao'zhi'yong 弱者道之用
'sa'ka'si 萨卡斯
'sa'te 萨特
'sai'nei'ka 塞内卡
'sai'weng'shi'ma 塞翁失马
'sai'xian'sheng 赛先生
'san'bao 三宝
'san'biao 三表
'san'bu'xiu 三不朽
'san'cai 三才
'san'cai 三材
'san'cheng 三乘
'san'cong'si'de 三从四德
'san'da'de 三达德
'san'da'zhe'xue'jia 三大哲学家
'san'dao 三盗
'san'de 三德
'san'di'ji 三谛偈
'san'di'yuan'rong 三谛圆融
'san'fa 三法
'san'fa'yin 三法印
'san'gang 三纲
'san'gang'ling'ba'tiao'mu 三纲领八条目
'san'gang'liu'ji 三纲六纪
'san'gang'wu'chang 三纲五常
'san'ge'jie'duan 三个阶段
'san'ge'jie'ji 三个阶级
'san'gui'yi 三皈依
'san'huo 三惑
'san'ji 三极
'san'ji'yi 三即一
'san'jie 三界
'san'jie'wei'xin 三界唯心
'san'ke 三科
'san'li 三理
'san'mei 三昧
'san'min'zhu'yi 三民主义
'san'ming 三名
'san'ming 散名
'san'neng'bian 三能变
'san'nian'bu'kui'yuan 三年不窥园
'san'qian'shi'jian 三千世间
'san'qing 三清
'san'sheng 三生
'san'shi 三世
'san'shi 三事
'san'shi 三尸
'san'shi'liu'bie 三世六别
'san'shi'yi'shi 三世一时
'san'tong 三统
'san'wei 三畏
'san'wu 三物
'san'wu'xing 三无性
'san'xing 三性
'san'xing'yi'ji 三性一际
'san'xiong 三凶
'san'xuan 三玄
'san'xue 三学
'san'yan 三言
'san'yi 三一
'san'yu'chuan 三语椽
'san'yuan 三元
'san'zheng 三正
'san'zhi'san'hang 三知三行
'san'zhi'zuo'fa 三支作法
'san'zi'xing 三自性
'sang'hong'yang 桑弘羊
'sang'hu 桑户
'se'fa 色法
'se'ji'shi'kong 色即是空
'se'kong 色空
'se'nuo'fen 色诺芬
'se'nuo'fen'ni 色诺芬尼
'seng'lang 僧朗
'seng'quan 僧诠
'seng'rui 僧叡
'seng'you 僧祐
'seng'zhao 僧肇
'sha'dao'fei'sha'ren 杀盗非杀人
'sha'fu 沙夫
'sha'shen'cheng'ren 杀身成仁
'shan'chu'kou 山出口
'shan'dao 善导
'shan'dong'hua'wu 善动化物
'shan'duan 善端
'shan'e 善恶
'shan'ju'yuan 山巨源
'shan'tao 山涛
'shan'wu'wei 善无畏
'shan'yu'ze'ping 山与泽平
'shang'ceng'jian'zhu 上层建筑
'shang'de 上德
'shang'di 上帝
'shang'jun 商君
'shang'qing'wu'wo 尚情无我
'shang'tong 尚同
'shang'xian 尚贤
'shang'yang 商鞅
'shang'zhi 尚志
'shang'zhi'xia'yu 上智下愚
'shao'bo'wen 邵伯温
'shao'kang'jie 邵康节
'shao'si'gua'yu 少私寡欲
'shao'yong 邵雍
'shao'zheng'mao 少正卯
'she'hui'ge'ming 社会革命
'she'hui'han'bian'shuo 社会函变说
'she'hui'hu'zhu'lun 社会互助论
'she'hui'huan'jing 社会环境
'she'hui'sheng'huo 社会生活
'she'hui'wu'zhi'sheng'huo'tiao'jian 社会物质生活条件
'she'hui'xin'li 社会心理
'she'hui'xing'tai 社会形态
'she'hui'yi'shi'xing'shi 社会意识形式
'she'ji'wu'chang'feng 社稷无常奉
'she'sheng'qu'yi 舍生取义
'she'ying'xiong'wu'li'shi 舍英雄无历史
'she'yong'gui'ti 摄用归体
'she'zhun 设准
'shen'bu'hai 申不害
'shen'cha'ming'hao 深察名号
'shen'dao 慎到
'shen'dao'she'jiao 神道设教
'shen'du 慎独
'shen'er'xian'zhi 神而先知
'shen'gu'wei'ling 深谷为陵
'shen'guo'mo 沈国模
'shen'han 申韩
'shen'hua 神化
'shen'huan 沈焕
'shen'hui 神会
'shen'kuo 沈括
'shen'mi'zhu'yi 神秘主义
'shen'mi'zhu'yi'se'cai 神秘主义色彩
'shen'miao'wan'wu 神妙万物
'shen'ming 神明
'shen'ming'cha'xing 审名察形
'shen'ming'ding'fen 审名定分
'shen'ming'zhao'wu 神明照物
'shen'qi 神器
'shen'qi 神气
'shen'ren 神人
'shen'shan'deng 沈善登
'shen'shi 审时
'shen'shi 神识
'shen'si 慎思
'shen'si 神似
'shen'si 神思
'shen'wai'zhi'wu 身外之物
'shen'wu 神悟
'shen'wu'fang'yi'wu'ti 神无方易无体
'shen'xiao 神嚣
'shen'xiu 神秀
'shen'xu'xing'yi'cun 神须形以存
'shen'xue'si'kao 神学思考
'shen'you'ding 沈有鼎
'shen'yu'wu'you 神与物游
'shen'yue 沈约
'shen'yun'shuo 神韵说
'shen'zhe'sheng'zhi'ben 神者生之本
'shen'zhi'yuan 沈志远
'shen'zi 慎子
'shen'zi 申子
'sheng'chan'fang'shi 生产方式
'sheng'chan'guan'xi 生产关系
'sheng'chan'li 生产力
'sheng'chan'shi'jian 生产实践
'sheng'er'zhi'zhi 生而知之
'sheng'fei'chuang'you 生非创有
'sheng'hua 生化
'sheng'huo'ling'yu 生活领域
'sheng'huo'tai'du 生活态度
'sheng'neng 胜能
'sheng'ren'bu'si 圣人不死
'sheng'ren'chuang'zhi'li'fa 圣人创制立法
'sheng'ren'ti'wu 圣人体无
'sheng'ren'wu'qing 圣人无情
'sheng'ren'you'qing'wu'lei 圣人有情无累
'sheng'ren'you'qing'yu'wu'qing 圣人有情与无情
'sheng'ren'zhi'bian 圣人之辩
'sheng'ren'zhi'yi 生人之意
'sheng'sheng 生生
'sheng'si'lun'hui 生死轮回
'sheng'wu'ai'yue 声无哀乐
'sheng'wu'zhi'ben 生物之本
'sheng'wu'zhi'ju 生物之具
'sheng'xi'men 圣西门
'sheng'xian 圣贤
'sheng'you'ya'er'zhi'wu'ya 生有涯而知无涯
'sheng'yu'jia'zhi 剩余价值
'sheng'yuan 生元
'sheng'yuan'you'zhi'lun 生元有知论
'sheng'zhi 生知
'shi'ao 史囂
'shi'ben'jin'mo 事本禁末
'shi'bi'you'ge 世必有革
'shi'bo 史伯
'shi'bu'ke'li 时不可力
'shi'cha'nan'tuo 实叉难陀
'shi'cheng 实诚
'shi'cheng'guan'xi 师承关系
'shi'chou 施雠
'shi'cu'lai 石徂徕
'shi'cun'tong 施存统
'shi'dao'shi'hai 释道十害
'shi'di 十地
'shi'di'na 施蒂纳
'shi'er'bu'ran 是而不然
'shi'er'ran 是而然
'shi'er'yin'yuan 十二因缘
'shi'fei'mo'bian 是非莫辩
'shi'fei'wu'ding'zhi 是非无定质
'shi'fei'zhi'lv 是非之虑
'shi'fei'zhi'xin 是非之心
'shi'ge'shun'yu'ming 事各顺于名
'shi'ji 始基
'shi'ji 实际
'shi'jian 世间
'shi'jian'de'ke'xue 实践的科学
'shi'jian'wu 施肩吾
'shi'jian'xing 实践性
'shi'jiao 尸佼
'shi'jie 十戒
'shi'jie 尸解
'shi'jie 石介
'shi'jie'ben'yuan 世界本原
'shi'jie'jin'hua'san'shi'qi 世界进化三时期
'shi'jie'tu'shi 世界图式
'shi'jie'wan'wu 世界万物
'shi'jie'wu'zhi 世界物质
'shi'jue 始觉
'shi'jun 石峻
'shi'jun'zi'zhi'bian 士君子之辩
'shi'li 实历
'shi'liu'zi'xin'chuan 十六字心传
'shi'lun 实论
'shi'mo 史墨
'shi'ou'zhi'shu 适偶之数
'shi'ou'zi'ran 适偶自然
'shi'rong 势荣
'shi'ru 势辱
'shi'ru'shi 十如是
'shi'san'xu'wu 十三虚无
'shi'shi 实事
'shi'shi'nan'xing 实事难形
'shi'shi'shi'gong 实事实功
'shi'shi'wu'ai 事事无碍
'shi'shuo 世硕
'shi'su'yi'shu 世俗艺术
'shi'tai'xu 释太虚
'shi'tao 石涛
'shi'te'lao'si 施特劳斯
'shi'ti 实体
'shi'ti'ji'ben'xin 实体即本心
'shi'wei 施为
'shi'wu 师物
'shi'xiang 实相
'shi'xin 师心
'shi'xin'zi'yong 师心自用
'shi'xuan'men 十玄门
'shi'xuan'yuan'qi 十玄缘起
'shi'xue 诗学
'shi'yan'de'fang'fa 实验的方法
'shi'yan'zhi 诗言志
'shi'yi 十义
'shi'yi'ze'shi'yi 世异则事异
'shi'yi'zhi'chang'ji'yi'zhi'yi 师夷之长技以制夷
'shi'yong 势用
'shi'you 实有
'shi'you'chang'bian 事有常变
'shi'zai 实在
'shi'zai'jie 实在界
'shi'zhi 识知
'shi'zhi 适志
'shi'zhi 实知
'shi'zhong 时中
'shi'zi 尸子
'shou'du 守度
'shou'shi'jing'shen 收拾精神
'shou'xin'li'jing 收心离境
'shou'xing'zhu'yi 兽性主义
'shou'yi 守一
'shou'yi'cun'zhen 守一存真
'shu'cun'shi'sheng 数存势生
'shu'lei 殊类
'shu'lin 舒璘
'shu'qi'xiang'ge 殊气相革
'shu'shi'huan'jing 舒适环境
'shu'shu 数术
'shu'shu 术数
'shu'sun'tong 叔孙通
'shu'xi'guan 数息观
'shu'xing 叔兴
'shu'yi 书意
'shuai'xing 率性
'shuang'fang'bing'zhong'zhi'zhi 双方并重之旨
'shui'huo 水火
'shui'ze'fu'zhou 水则覆舟
'shui'ze'zai'zhou 水则载舟
'shuo'ming'zi'ran 说明自然
'shuo'zhi 说知
'si'bin'zhu 四宾主
'si'cheng 思诚
'si'da 四大
'si'da'lin 斯大林
'si'da'xue'pai 四大学派
'si'de 四德
'si'de 私德
'si'di 四谛
'si'du 四度
'si'duan 四端
'si'duo'ga'xue'pai 斯多噶学派
'si'duo'ge'zhu'yi 斯多葛主义
'si'duo'ya'pai 斯多亚派
'si'duo'ya'xue'pai 斯多亚学派
'si'er'bu'xue'ze'dai 思而不学则殆
'si'fa'jie 四法界
'si'fei'xiao'mie 死非消灭
'si'fen 四分
'si'jie 四界
'si'ju'jiao 四句教
'si'kong'tu 司空图
'si'liao'jian 四料简
'si'ma'biao 司马彪
'si'ma'cheng'zhen 司马承祯
'si'ma'guang 司马光
'si'ma'qian 司马迁
'si'ma'tan 司马谈
'si'ming 俟命
'si'ming 私名
'si'sheng'wu'ming 死生无命
'si'sheng'you'ming 死生有命
'si'tong 四通
'si'wei 四维
'si'wei'fang'shi 思维方式
'si'wei'neng'li 思维能力
'si'wu 四毋
'si'wu'shuo 四无说
'si'wu'xie 思无邪
'si'xiang 四象
'si'xiang'dou'zheng 思想斗争
'si'xiang'zhe'shi'shi'zhi'mu 思想者事实之母
'si'xiang'zheng'zhi 思想政治
'si'xin 四心
'si'xiu'jiao'jin 思修交尽
'si'you'zhi 私有制
'si'zhao'yong 四照用
'song'jian 宋钘
'song'rong 宋荣
'song'rong'zi 宋荣子
'song'xiang'feng 宋翔凤
'song'ying'xing 宋应星
'sou'ji'cai'liao 搜集材料
'su'di 俗谛
'su'dong'po 苏东坡
'su'ge'la'di 苏格拉底
'su'ge'la'di'shi'qi 苏格拉底时期
'su'qin 苏秦
'su'shi 苏轼
'su'xun 苏洵
'su'yu 苏舆
'su'zhe 苏辙
'sui'chu'ti'ren'tian'li 随处体认天理
'sui'min'tong 随泯统
'sun'bin 孙膑
'sun'bu'er 孙不二
'sun'chuo 孙绰
'sun'fu 孙复
'sun'ji'fan'yi 损迹返一
'sun'jian'zhi 损减执
'sun'qi'feng 孙奇逢
'sun'qing 孙卿
'sun'sheng 孙盛
'sun'shu'ping 孙叔平
'sun'wen 孙文
'sun'wu 孙武
'sun'xia'feng 孙夏峰
'sun'xing'yan 孙星衍
'sun'yi 损益
'sun'yi'rang 孙诒让
'sun'yi'xian 孙逸仙
'sun'you'yu'er'bu'bu'zu 损有余而补不足
'sun'zhong'shan 孙中山
'sun'zi 孙子
'suo'wei 所谓
'suo'wei'you'ming 所为有名
'suo'yi'fa'neng 所以发能
'suo'yi'ji 所以迹
'suo'yi'li'tian'di'zhe'shui'ye 所以立天地者水也
'suo'yi'ran 所以然
'suo'yi'wei 所以谓
'suo'yi'zhi 所以知
'suo'you'zhi 所有制
'suo'yuan'yi'tong'yi 所缘以同异
'suo'zhi 所知
'tai'a'tai'de'pian 泰阿泰德篇
'tai'chong 太冲
'tai'chu 太初
'tai'he 太和
'tai'ji 太极
'tai'le'si 泰勒斯
'tai'shi 太始
'tai'shi'dan 太史儋
'tai'su 太素
'tai'xi 胎息
'tai'xu 太虚
'tai'xu'ben'dong 太虚本动
'tai'xu'ji'qi 太虚即气
'tai'xu'yi'shi 太虚一实
'tai'yi 太一
'tai'yi 太易
'tan'chu'duan 谭处端
'tan'jie'fu 谭戒甫
'tan'qiao 谭峭
'tan'si'tong 谭嗣同
'tan'tai'mie'ming 澹台灭明
'tan'tian'yan 谈天衍
'tan'xuan 谈玄
'tan'yi'suo'yin 探颐索隐
'tang'bin 汤斌
'tang'cai'chang 唐才常
'tang'he'zheng 唐鹤征
'tang'jian 唐鉴
'tang'jun'yi 唐君毅
'tang'seng 唐僧
'tang'yi'jie 汤一介
'tang'yong'tong 汤用彤
'tang'zhen 唐甄
'tang'zhong'you 唐仲友
'tao'hong'jing 陶弘景
'tao'qian 陶潜
'tao'si 陶斯
'tao'wang'ling 陶望龄
'tao'xi'sheng 陶希圣
'tao'xing'zhi 陶行知
'tao'yuan'ming 陶渊明
'te'shu'gong'neng 特殊功能
'te'shu'xian'liang 特殊现量
'ti'chang'jing 体常静
'ti'chong'he'yi'tong'yuan 体冲和以通元
'ti'jian 体见
'ti'ren 体认
'ti'tong 体同
'ti'xing 体性
'ti'yong 体用
'ti'yong'bu'er 体用不二
'ti'yong'shu'jue 体用殊绝
'ti'yong'xu'you 体用胥有
'tian'ba 田巴
'tian'bi'cong'zhi 天必从之
'tian'bu'bian'dao'yi'bu'bian 天不变道亦不变
'tian'chang 天常
'tian'cong 天聪
'tian'dang 天当
'tian'dao 天道
'tian'dao'huan'zhou 天道环周
'tian'dao'shang'bian 天道尚变
'tian'dao'wei'mo 天道为末
'tian'dao'wu'qin 天道无亲
'tian'dao'zi'ran'lun 天道自然论
'tian'dao'zi'ran'wu'wei 天道自然无为
'tian'de 天德
'tian'de'liang'zhi 天德良知
'tian'di'jie'ti 天地皆体
'tian'di'wan'wu'zi'ran'yi'ti 天地万物自然一体
'tian'di'wo'li 天地我立
'tian'di'yi'ti'ye 天地一体也
'tian'di'yi'zhi 天地一指
'tian'di'yu'wo'bing'sheng 天地与我并生
'tian'di'zhi'shu 天地之数
'tian'di'zhi'xing 天地之性
'tian'di'zhi'xing'ren'wei'gui 天地之性人为贵
'tian'fang 天放
'tian'fu 天府
'tian'gong 天功
'tian'guan 天官
'tian'guan'yi'wu 天官意物
'tian'he 田何
'tian'ji 天极
'tian'ji'huan'zhou 天稽环周
'tian'jing'di'yi 天经地义
'tian'jiu 田鸠
'tian'jue 天爵
'tian'jun 天钧
'tian'jun 天君
'tian'jun 天均
'tian'lai'zi'wu 天籁自呜
'tian'le 天乐
'tian'li 天理
'tian'li'zi'ran 天理自然
'tian'men 天门
'tian'ming 天命
'tian'ming 天明
'tian'ming'mi'chang 天命靡常
'tian'ming'zhi'xing 天命之性
'tian'neng 天能
'tian'ni 天倪
'tian'pian 田骈
'tian'qing 天情
'tian'qiu'zi 田俅子
'tian'qu 天趣
'tian'quan'zheng'dao 天泉证道
'tian'ren 天人
'tian'ren'bu'xiang'sheng 天人不相胜
'tian'ren'bu'xiang'yu 天人不相预
'tian'ren'gan'ying 天人感应
'tian'ren'he'yi 天人合一
'tian'ren'san'ce 天人三策
'tian'ren'tong'lei 天人同类
'tian'ren'xiang'can 天人相参
'tian'ren'xiang'yu'zhi'ji 天人相与之际
'tian'ren'yi'li 天人一理
'tian'ren'zhi'bian 天人之辨
'tian'ren'zhi'fen 天人之分
'tian'sheng'ren'cheng 天生人成
'tian'sheng'zhi'zhi 天生之智
'tian'shu 天属
'tian'ti'fei'qi 天体非气
'tian'wang 天网
'tian'wen 天文
'tian'xia'wei'gong 天下为公
'tian'xia'wei'qi 天下惟器
'tian'xiang'zi 田襄子
'tian'xing 天行
'tian'xing 天刑
'tian'xing'you'chang 天行有常
'tian'xing'zhi'zhi 天性之知
'tian'yan 天演
'tian'yang 天养
'tian'yi 天意
'tian'you'chang'dao 天有常道
'tian'yu'di'bei 天与地卑
'tian'yu'ren'jiao'xiang'sheng'hai'xiang'yong 天与人交相胜还相用
'tian'yuan 天元
'tian'zheng 天政
'tian'zhi 天职
'tian'zhi 天志
'tian'zhi 天智
'tian'zhong 田仲
'tiao'li 条理
'ting'qi'yan'er'guan'qi'xing 听其言而观其行
'tong'da 通达
'tong'dai 统待
'tong'er'bu'he 同而不和
'tong'gui'shu'tu 同归殊途
'tong'guo'zhi'jue 通过直觉
'tong'ji 通几
'tong'jing'zhi'yong 通经致用
'tong'lei'xiang'dong 同类相动
'tong'qi'xiang'ying 同气相应
'tong'tian'jiao'zhu 通天教主
'tong'tian'ren 同天人
'tong'xin'shuo 童心说
'tong'yang'zhi'zhi 痛痒之知
'tong'yi 同异
'tong'yi'jiao'de 同异交得
'tong'yi'xing 同一性
'tong'ze'bu'ji 同则不继
'tong'ze'tong'zhi 同则同之
'tu'jia 突驾
'tu'na 吐纳
'tu'nan'yu'yi 图难于易
'tu'zhi'ren'ke'yi'wei'yu 涂之人可以为禹
'tui'gu'zhi'xin 推故致新
'tui'lun 推论
'tui'zhi 推知
'tuo'gu'gai'zhi 托古改制
'wa'si'yi'da'kuai 瓦斯一大块
'wai'bu'huan'jing 外部环境
'wai'dan 外丹
'wai'hua'er'nei'bu'hua 外化而内不化
'wai'jie'shi'wu 外界事物
'wai'jie'tiao'li 外界条理
'wai'lai'ci 外来词
'wai'sheng 外生
'wai'zhou 外籀
'wan'fa'wei'shi 万法唯识
'wan'hua'jie'jian'er'wu'dun 万化皆渐而无顿
'wan'hua'wo'chu 万化我出
'wan'shi'bu'gong 玩世不恭
'wan'wu'jie'bei'yu'wo 万物皆备于我
'wan'wu'yi'ma 万物一马
'wan'wu'yi'qi 万物一齐
'wan'wu'yu'wo'wei'yi 万物与我为一
'wan'wu'zhi'shu'kuo'yu'san 万物之数括于三
'wan'zhang 万章
'wang'an'shi 王安石
'wang'ba'bing'yong 王霸并用
'wang'bai 王柏
'wang'bi 王弼
'wang'chong 王充
'wang'chong'yang 王重阳
'wang'chu'yi 王处一
'wang'chuan'shan 王船山
'wang'dao 王道
'wang'dao 王导
'wang'dian'ji 汪奠基
'wang'dong 王栋
'wang'fu 王浮
'wang'fu 王符
'wang'fu'si 王辅嗣
'wang'fu'zhi 王夫之
'wang'gen 王艮
'wang'guo'wei 王国维
'wang'ji 王畿
'wang'jing'gong 王荆公
'wang'lin'chuan 王临川
'wang'men'si'ju'jiao 王门四句教
'wang'men'si'ju'jue 王门四句诀
'wang'ming 王明
'wang'pang 王雱
'wang'qing'ren 王清任
'wang'rong 王戎
'wang'rong'fu 汪容甫
'wang'ruo'shui 王若水
'wang'shi'yuan 王士元
'wang'shou'ren 王守仁
'wang'su 王肃
'wang'tao 王韬
'wang'ting'xiang 王廷相
'wang'tong 王通
'wang'wen'gong 王文公
'wang'xian'jun 王宪钧
'wang'xian'qian 王先谦
'wang'xin'zhai 王心斋
'wang'xing'gong 王星拱
'wang'xuan'lan 王玄览
'wang'yan 王衍
'wang'yang'ming 王阳明
'wang'ying'chen 汪应辰
'wang'ying'lin 王应麟
'wang'yuan 王源
'wang'zhi'meng'qiu'ming 罔直蒙酋冥
'wang'zhong 汪中
'wang'zi'song 汪子嵩
'wei'bo'yang 魏伯阳
'wei'da'yu'xi 为大于细
'wei'dao'ri'sun 为道日损
'wei'fa 未发
'wei'guo'zhe 卫国者
'wei'hua'cun 魏华存
'wei'ji 未济
'wei'jie 卫玠
'wei'le'weng 魏了翁
'wei'li'lun 唯理论
'wei'li'wei'shi 惟理为实
'wei'liang'bi 魏良弼
'wei'liao'zi 尉缭子
'wei'ming 微明
'wei'ming'lun 唯名论
'wei'mo'shen 魏默深
'wei'mou 魏牟
'wei'ren'you'ji 为仁由己
'wei'ren'zhe'tian 为人者天
'wei'shang'zhi'yu'xia'yu'bu'yi 唯上智与下愚不移
'wei'sheng'mie 微生灭
'wei'shi'lun 唯实论
'wei'shi'wu'jing 唯识无境
'wei'shi'wu'wei 唯识五位
'wei'shu 纬书
'wei'te'lin 魏特林
'wei'wei'jing'yi 危微精一
'wei'wo 为我
'wei'wo'du'zun 唯我独尊
'wei'wu'bian'zheng'fa 唯物辩证法
'wei'wu'bian'zheng'fa'lun'zhan 唯物辩证法论战
'wei'wu'shi'guan 唯物史观
'wei'wu'zhu'yi 唯物主义
'wei'wu'zhu'yi'shi'jie'guan 唯物主义世界观
'wei'wu'zhu'yi'zhe'xue'jia 唯物主义哲学家
'wei'xian'chan'you 微显阐幽
'wei'xian'zhi'yu 韦弦之喻
'wei'xin 维新
'wei'xin'bian'zheng'fa 唯心辩证法
'wei'xin'shi'guan 唯心史观
'wei'xin'zhu'yi 唯心主义
'wei'xin'zhu'yi'qing'xiang 唯心主义倾向
'wei'xin'zhu'yi'zhe 唯心主义者
'wei'xin'zhu'yi'zhe'xue 唯心主义哲学
'wei'xue'ri'yi 为学日益
'wei'yan'da'yi 微言大义
'wei'yang 卫鞅
'wei'yi'wu'lu'zhi 惟以五路知
'wei'yi'xin'shi'shi 唯一心是实
'wei'yi'zhe 唯一者
'wei'yuan 魏源
'wen'bian'shi'dao 文便是道
'wen'da'fang'fa 问答方法
'wen'gong'yi 温公颐
'wen'gu'zhi'xin 温故知新
'wen'hua'sheng'huo 文化生活
'wen'hua'zheng'zhi'xue 文化政治学
'wen'jian'zhi'zhi 闻见之知
'wen'liang'gong'jian'rang 温良恭俭让
'wen'luan'fa 文乱法
'wen'ming 文明
'wen'qi'shuo 文气说
'wen'rou'dun'hou 温柔敦厚
'wen'ti'yu'zhu'yi'lun'zhan 问题与主义论战
'wen'tian'xiang 文天祥
'wen'wu'bing'xing 文武并行
'wen'wu'zhi'dao'yi'ye 文武之道一也
'wen'yan 文偃
'wen'yi 文益
'wen'yi'fu'xing 文艺复兴
'wen'zhi 闻知
'wen'zhi 文质
'wen'zhi'bin'bin 文质彬彬
'wen'zhi'jiao'ti 文质交替
'wo'gu 握固
'wo'man'xin 我慢心
'wo'yi'zhi'duo 握一知多
'wo'zhi 我执
'wo'zhi'tian'xia'zhi'zhong'yang 我知天下之中央
'wu'ba'shang 无跋尚
'wu'bai'nian'bi'you'wang'zhe'xing 五百年必有王者兴
'wu'bi'you'he 物必有合
'wu'bu'qian 物不迁
'wu'cai 五材
'wu'chan'jie'ji'zhuan'zheng 无产阶级专政
'wu'chang 五常
'wu'chang 无常
'wu'cheng 吴澄
'wu'dai 无待
'wu'de 五德
'wu'de'zhong'shi 五德终始
'wu'de'zhuan'yi 五德转移
'wu'du'bi'you'dui 无独必有对
'wu'dui 无对
'wu'dui'dai'zai'dui'dai'zhong 无对待在对待中
'wu'ge'zi'sheng 物各自生
'wu'gu'cong'you'gu 无故从有故
'wu'gui'nao'zhong'hua 五鬼闹中华
'wu'he'you'zhi'xiang 无何有之乡
'wu'hou'bu'ke'ji'ye 无厚不可积也
'wu'hua 物化
'wu'hui'yun'shi 无会运世
'wu'ji 无迹
'wu'ji 无己
'wu'ji 无极
'wu'ji'bi'fan 物极必反
'wu'ji'er'tai'ji 无极而太极
'wu'jie 五戒
'wu'jin'yuan'qi 无尽缘起
'wu'jing'tian'ze 物竞天择
'wu'ju'lun'mei 伍举论美
'wu'jun 吴筠
'wu'li'ke'zhi 物理可知
'wu'liang'ping 吴亮平
'wu'liang'shi 无量世
'wu'lou 无漏
'wu'lu 五路
'wu'lun 五伦
'wu'ming 无名
'wu'ming 无明
'wu'mo'fei'zhi 物莫非指
'wu'ni 五逆
'wu'nian 无念
'wu'nian'wei'zong 无念为宗
'wu'ping'bu'bei 无平不陂
'wu'qi 吴起
'wu'qi'bi 五其比
'wu'qi'qi'ze'wu'qi'dao 无其器则无其道
'wu'qi'zhi'li 物气之理
'wu'qing 无情
'wu'qing'you'xing 无情有性
'wu'qiong 无穷
'wu'ran 无染
'wu'ri'san'xing'wu'shen 吾日三省吾身
'wu'shen'jiao 无神教
'wu'sheng 无生
'wu'sheng'you'liang 物生有两
'wu'shi 五事
'wu'shi'qi'hou 五时七候
'wu'shi'yu'ren 勿施于人
'wu'shu'er'shi 五殊二实
'wu'si'xin'wen'hua'yun'dong 五四新文化运动
'wu'si'ze'wu'xin 无私则无心
'wu'ting'han 吴廷翰
'wu'tuo'bang 乌托邦
'wu'wang'bu'fu 无往不复
'wu'wei 无为
'wu'wei'bai'fa 五位百法
'wu'wei'er'wu'bu'wei 无为而无不为
'wu'wei'er'zhi 无为而治
'wu'wei'fa 无为法
'wu'wei'jun'chen 五位君臣
'wu'wo 无我
'wu'wo'zhi'jing 无我之境
'wu'wu 五无
'wu'wu 无无
'wu'wu'gu'li'zhi'li 物无孤立之理
'wu'wu'zhe'fei'wu 物物者非物
'wu'xian'xing 无限性
'wu'xin 无心
