'a'gui'yang'xue'jiao'nang 阿归养血胶囊
'qiang'li'nao'xin'kang'pian 强力脑心康片
'qiang'li'ning'jiao'nang 强力宁胶囊
'qiang'li'ning'pian 强力宁片
'qiang'li'pi'pa'gao'mi'lian 强力枇杷膏蜜炼
'qiang'li'pi'pa'jiao'nang 强力枇杷胶囊
'qiang'li'pi'pa'ke'li 强力枇杷颗粒
'qiang'li'pi'pa'lu 强力枇杷露
'qiang'li'pi'pa'ruan'jiao'nang 强力枇杷软胶囊
'qiang'li'tian'ma'du'zhong'jiao'nang 强力天麻杜仲胶囊
'qiang'li'tian'ma'du'zhong'wan 强力天麻杜仲丸
'qiang'li'zhi'ke'ning'jiao'nang 强力止咳宁胶囊
'qiang'li'zhi'ke'ning'pian 强力止咳宁片
'qiang'long'yi'shen'jiao'nang 强龙益肾胶囊
'qiang'long'yi'shen'pian 强龙益肾片
'qiang'shen'jian'nao'jiao'nang 强身健脑胶囊
'qiang'shen'jian'nao'pian 强身健脑片
'qiang'shen'jiao'nang 强身胶囊
'qiang'shen'jiu 强身酒
'qiang'shen'ke'li 强肾颗粒
'qiang'shen'ke'li 强身颗粒
'qiang'shen'kou'fu'ye 强身口服液
'qiang'shen'luo'bo'fu'sai'he'li'mi'gao 强身萝菠甫赛河里蜜膏
'qiang'shen'pian 强肾片
'qiang'shen'yang'xin'jiao'nang 强肾养心胶囊
'qiang'shen'zhen'tong'wan 强肾镇痛丸
'qiang'shen'zhui'feng'jiu 强身追风酒
'qiang'xin'wan 强心丸
'qiang'yang'bao'shen'wan 强阳保肾丸
'qiang'yao'zhuang'gu'gao 强腰壮骨膏
'qiang'yue'ru'gao 羌月乳膏
'qiao'rui'su'jiao'nang 鞘蕊苏胶囊
'qiao'rui'su'kou'fu'ye 鞘蕊苏口服液
'qiao'zhi'ya'tong'ke'li 翘栀牙痛颗粒
'qin'bao'hong'zhi'ke'fen'san'pian 芩暴红止咳分散片
'qin'bao'hong'zhi'ke'he'ji 芩暴红止咳合剂
'qin'bao'hong'zhi'ke'jiao'nang 芩暴红止咳胶囊
'qin'bao'hong'zhi'ke'ke'li 芩暴红止咳颗粒
'qin'bao'hong'zhi'ke'kou'fu'ye 芩暴红止咳口服液
'qin'bao'hong'zhi'ke'pian 芩暴红止咳片
'qin'bao'hong'zhi'ke'tang'jiang 芩暴红止咳糖浆
'qin'cao'zhi'li'pian 芩草止痢片
'qin'chuan'tong'bi'jiao'nang 秦川通痹胶囊
'qin'chuan'tong'bi'pian 秦川通痹片
'qin'dan'zhi'ke'pian 芩胆止咳片
'qin'gui'huo'luo'kou'fu'ye 秦归活络口服液
'qin'hua'shang'qing'pian 噙化上清片
'qin'hua'shang'qing'wan 噙化上清丸
'qin'huang'hou'zheng'jiao'nang 芩黄喉症胶囊
'qin'lian'jiao'nang 芩连胶囊
'qin'lian'ke'li 芩连颗粒
'qin'lian'pian 芩连片
'qin'lian'wan 芩连丸
'qin'ling'zi'yin'dao'guan'zhu'ye 芩苓子阴道灌注液
'qin'pi'jie'gu'jiao'nang 秦皮接骨胶囊
'qin'pi'jie'gu'pian 秦皮接骨片
'qin'qiao'kou'fu'ye 芩翘口服液
'qin'sang'jin'hai'ke'li 芩桑金海颗粒
'qin'shi'li'yan'kou'fu'ye 芩石利咽口服液
'qin'xiang'qing'jie'kou'fu'ye 芩香清解口服液
'qin'xuan'jie'du'kou'fu'ye 芩玄解毒口服液
'qin'zhi'bi'yan'tang'jiang 芩芷鼻炎糖浆
'qing'ai'tiao 清艾条
'qing'an'chuan'ding'pian 情安喘定片
'qing'bai'jie'shen'xi'ye 青柏洁身洗液
'qing'bi'tong'luo'yao'jiu 清痹通络药酒
'qing'bian'wan 清便丸
'qing'chang'tong'bian'jiao'nang 清肠通便胶囊
'qing'da'jiang'wan 青大将丸
'qing'dai'san 青黛散
'qing'e'wan 青娥丸
'qing'fei'hua'tan'wan 清肺化痰丸
'qing'fei'ning'sou'wan 清肺宁嗽丸
'qing'fei'san'jie'wan 清肺散结丸
'qing'fei'shi'ba'wei'wan 清肺十八味丸
'qing'fei'shi'san'wei'san 清肺十三味散
'qing'fei'xiao'yan'wan 清肺消炎丸
'qing'fei'yi'huo'gao 清肺抑火膏
'qing'fei'yi'huo'jiao'nang 清肺抑火胶囊
'qing'fei'yi'huo'pian 清肺抑火片
'qing'fei'yi'huo'wan 清肺抑火丸
'qing'fei'zhi'ke'wan 清肺止咳丸
'qing'feng'you 清风油
'qing'fu'zhi'yang'ding 清肤止痒酊
'qing'gan'bai'du'wan 清肝败毒丸
'qing'gan'chuan'xin'lian'jiao'nang 清感穿心莲胶囊
'qing'gan'chuan'xin'lian'pian 清感穿心莲片
'qing'gan'du'jiao'nang 清肝毒胶囊
'qing'gan'er'shi'qi'wei'wan 清肝二十七味丸
'qing'gan'fu'zheng'jiao'nang 清肝扶正胶囊
'qing'gan'jian'pi'ke'li 清肝健脾颗粒
'qing'gan'jian'pi'kou'fu'ye 清肝健脾口服液
'qing'gan'jiang'ya'jiao'nang 清肝降压胶囊
'qing'gan'jiao'nang 清肝胶囊
'qing'gan'jie'du'pian 清肝解毒片
'qing'gan'jiu'wei'san 清肝九味散
'qing'gan'jiu'wei'wan 清感九味丸
'qing'gan'ke'li 清肝颗粒
'qing'gan'li'dan'jiao'nang 清肝利胆胶囊
'qing'gan'li'dan'ke'li 清肝利胆颗粒
'qing'gan'li'dan'kou'fu'ye 清肝利胆口服液
'qing'gan'pian 清肝片
'qing'gan'qi'wei'san 清肝七味散
'qing'gan'qu'huang'jiao'nang 清肝祛黄胶囊
'qing'gan'wan 清感丸
'qing'gan'zhu'she'ye 清肝注射液
'qing'ge'wan 清膈丸
'qing'gong'chang'chun'jiao'nang 清宫长春胶囊
'qing'gong'chang'chun'pian 清宫长春片
'qing'gong'shou'tao'wan 清宫寿桃丸
'qing'guo'ke'li 青果颗粒
'qing'guo'pian 青果片
'qing'guo'wan 青果丸
'qing'guo'zhi'sou'wan 青果止嗽丸
'qing'ha'san 青蛤散
'qing'hao'bie'jia'pian 青蒿鳖甲片
'qing'hao'you'ruan'jiao'nang 青蒿油软胶囊
'qing'hou'li'yan'ke'li 清喉利咽颗粒
'qing'hou'san 清喉散
'qing'hou'yan'he'ji 清喉咽合剂
'qing'hou'yan'ke'li 清喉咽颗粒
'qing'huo'jiao'nang 清火胶囊
'qing'huo'kou'jiao 清火口胶
'qing'huo'pian 清火片
'qing'huo'shuang'kou'ke'li 清火爽口颗粒
'qing'huo'yang'yuan'jiao'nang 清火养元胶囊
'qing'huo'yang'yuan'pian 清火养元片
'qing'huo'zhi'mai'jiao'nang 清火栀麦胶囊
'qing'huo'zhi'mai'pian 清火栀麦片
'qing'huo'zhi'mai'wan 清火栀麦丸
'qing'jiang'pian 清降片
'qing'jiang'wan 清降丸
'qing'jie'ke'li 清解颗粒
'qing'jie'pian 清解片
'qing'jie'tui're'ke'li 清解退热颗粒
'qing'jin'li'sou'wan 清金理嗽丸
'qing'jin'ning'fei'wan 清金宁肺丸
'qing'jin'tang'jiang 清金糖浆
'qing'jin'zhi'sou'hua'tan'wan 清金止嗽化痰丸
'qing'jin'zhi'sou'xi'gua'gao 清金止嗽西瓜膏
'qing'jing'jiao'nang 清经胶囊
'qing'kai'ling'di'wan 清开灵滴丸
'qing'kai'ling'fen'san'pian 清开灵分散片
'qing'kai'ling'jiao'nang 清开灵胶囊
'qing'kai'ling'ke'li 清开灵颗粒
'qing'kai'ling'kou'fu'ye 清开灵口服液
'qing'kai'ling'pao'teng'pian 清开灵泡腾片
'qing'kai'ling'pian 清开灵片
'qing'kai'ling'ruan'jiao'nang 清开灵软胶囊
'qing'kai'ling'zhu'she'ye 清开灵注射液
'qing'ke'ping'chuan'ke'li 清咳平喘颗粒
'qing'ke'san 清咳散
'qing'lan'jin'gao'pian 青兰浸膏片
'qing'liang'bi'shu'xi'ru'ji 清凉鼻舒吸入剂
'qing'liang'fang'shu'ke'li 清凉防暑颗粒
'qing'liang'gao'yao 清凉膏药
'qing'liang'han'pian 清凉含片
'qing'liang'hou'pian 清凉喉片
'qing'liang'you 清凉油
'qing'liang'zhi'yang'cha'ji 清凉止痒搽剂
'qing'lin'jiao'nang 清淋胶囊
'qing'lin'ke'li 清淋颗粒
'qing'lin'pian 清淋片
'qing'liu'san 青六散
'qing'long'she'yao'pian 青龙蛇药片
'qing'mei'gan'mao'ke'li 青梅感冒颗粒
'qing'nao'an'shen'wan 清脑安神丸
'qing'nao'fu'shen'ye 清脑复神液
'qing'nao'jiang'ya'jiao'nang 清脑降压胶囊
'qing'nao'jiang'ya'ke'li 清脑降压颗粒
'qing'nao'jiang'ya'pian 清脑降压片
'qing'nao'zhi'tong'jiao'nang 清脑止痛胶囊
'qing'ning'wan 清宁丸
'qing'peng'gao'ji 青鹏膏剂
'qing'peng'ruan'gao 青鹏软膏
'qing'ping'ke'li 清平颗粒
'qing'qi'hua'tan'wan 清气化痰丸
'qing're'an'chuang'jiao'nang 清热暗疮胶囊
'qing're'an'chuang'pian 清热暗疮片
'qing're'an'chuang'wan 清热暗疮丸
'qing're'an'gong'wan 清热安宫丸
'qing're'ba'wei'jiao'nang 清热八味胶囊
'qing're'ba'wei'san 清热八味散
'qing're'ba'wei'wan 清热八味丸
'qing're'chu'shi'zhi'xie'he'ji 清热除湿止泻合剂
'qing're'chu'shi'zhi'xie'ke'li 清热除湿止泻颗粒
'qing're'dao'zhi'san 清热导滞散
'qing're'di'huang'wan 清热地黄丸
'qing're'ding'jing'san 清热定惊散
'qing're'er'shi'san'wei'san 清热二十三味散
'qing're'er'shi'wu'wei'wan 清热二十五味丸
'qing're'gan'mao'ke'li 清热感冒颗粒
'qing're'hua'du'wan 清热化毒丸
'qing're'hua'shi'kou'fu'ye 清热化湿口服液
'qing're'hua'zhi'ke'li 清热化滞颗粒
'qing're'jie'du'he'ji 清热解毒合剂
'qing're'jie'du'jiao'nang 清热解毒胶囊
'qing're'jie'du'ke'li 清热解毒颗粒
'qing're'jie'du'kou'fu'ye 清热解毒口服液
'qing're'jie'du'pao'teng'pian 清热解毒泡腾片
'qing're'jie'du'pian 清热解毒片
'qing're'jie'du'ruan'jiao'nang 清热解毒软胶囊
'qing're'jie'du'tang'jiang 清热解毒糖浆
'qing're'jie'du'zhu'she'ye 清热解毒注射液
'qing're'ka'sen'jiao'nang 清热卡森胶囊
'qing're'ka'sen'ke'li 清热卡森颗粒
'qing're'li'dan'ke'li 清热利胆颗粒
'qing're'li'yan'cha 清热利咽茶
'qing're'liang'cha 清热凉茶
'qing're'liang'xue'gao 清热凉血膏
'qing're'liang'xue'wan 清热凉血丸
'qing're'ling'ke'li 清热灵颗粒
'qing're'ming'mu'cha 清热明目茶
'qing're'qu'shi'jiao'nang 清热去湿胶囊
'qing're'qu'shi'ke'li 清热祛湿颗粒
'qing're'qu'shi'pian 清热去湿片
'qing're'san'jie'jiao'nang 清热散结胶囊
'qing're'san'jie'pian 清热散结片
'qing're'shen'xiong'wan 清热神芎丸
'qing're'shu'gan'kou'fu'ye 清热疏肝口服液
'qing're'tong'lin'jiao'nang 清热通淋胶囊
'qing're'tong'lin'pian 清热通淋片
'qing're'tong'lin'wan 清热通淋丸
'qing're'wan 清热丸
'qing're'xiao'yan'ning'jiao'nang 清热消炎宁胶囊
'qing're'xiao'yan'ning'pian 清热消炎宁片
'qing're'xiao'yan'ning'ruan'jiao'nang 清热消炎宁软胶囊
'qing're'xing'nao'ling'pian 清热醒脑灵片
'qing're'xing'nao'ling'wan 清热醒脑灵丸
'qing're'yang'yin'wan 清热养阴丸
'qing're'yin'hua'tang'jiang 清热银花糖浆
'qing're'zhen'jing'san 清热镇惊散
'qing're'zhen'ke'tang'jiang 清热镇咳糖浆
'qing're'zhi'ke'ke'li 清热止咳颗粒
'qing're'zhi'li'wan 清热治痢丸
'qing're'zhi'tong'san'wei'tang'san 清热止痛三味汤散
'qing're'zhi'yang'xi'ji 清热止痒洗剂
'qing'ru'xiao'ke'li 青乳消颗粒
'qing'run'wan 清润丸
'qing'shen'jian'fei'jiao'nang 轻身减肥胶囊
'qing'shen'jian'fei'pian 轻身减肥片
'qing'shen'xiao'pang'wan 轻身消胖丸
'qing'shen'yin'ke'li 清身饮颗粒
'qing'shi'ke'li 青石颗粒
'qing'shu'jie'du'ke'li 清暑解毒颗粒
'qing'shu'ke'li 轻舒颗粒
'qing'shu'yi'qi'wan 清暑益气丸
'qing'shu'you'ruan'gao 清舒油软膏
'qing'teng'feng'shi'jiu 青藤风湿酒
'qing'wei'bao'an'wan 清胃保安丸
'qing'wei'he'zhong'wan 清胃和中丸
'qing'wei'huang'lian'pian 清胃黄连片
'qing'wei'huang'lian'wan 清胃黄连丸
'qing'wei'wan 清胃丸
'qing'wei'xiao'ke'jiao'nang 清胃消渴胶囊
'qing'wei'zhi'tong'wei'wan 清胃止痛微丸
'qing'wen'jie'du'pian 清瘟解毒片
'qing'wen'jie'du'wan 清瘟解毒丸
'qing'wen'xiao'zhong'jiu'wei'wan 清瘟消肿九味丸
'qing'wen'zhi'tong'shi'yi'wei'wan 清瘟止痛十一味丸
'qing'xian'kuai'ge'wan 清涎快膈丸
'qing'xie'wan 清泻丸
'qing'xin'an'shen'kou'fu'ye 清心安神口服液
'qing'xin'chen'xiang'ba'wei'san 清心沉香八味散
'qing'xin'chen'xiang'ba'wei'wan 清心沉香八味丸
'qing'xin'gun'tan'wan 清心滚痰丸
'qing'xin'ming'mu'shang'qing'wan 清心明目上清丸
'qing'xin'niu'huang'pian 清心牛黄片
'qing'xin'wan 清心丸
'qing'xuan'jiang'ya'pian 清眩降压片
'qing'xuan'kou'fu'ye 清宣口服液
'qing'xuan'pian 清眩片
'qing'xuan'ruan'jiao'nang 清眩软胶囊
'qing'xuan'wan 清眩丸
'qing'xuan'zhi'ke'ke'li 清宣止咳颗粒
'qing'xuan'zhi'tan'wan 清眩治瘫丸
'qing'xue'ba'wei'jiao'nang 清血八味胶囊
'qing'xue'ba'wei'pian 清血八味片
'qing'xue'nei'xiao'wan 清血内消丸
'qing'yan'di'wan 清咽滴丸
'qing'yan'li'ge'wan 清咽利膈丸
'qing'yan'li'hou'cha 清咽利喉茶
'qing'yan'liu'wei'san 清咽六味散
'qing'yan'pian 清咽片
'qing'yan'run'hou'wan 清咽润喉丸
'qing'yan'shu'cha 清咽舒茶
'qing'yan'wan 清咽丸
'qing'yan'yi'huo'wan 清咽抑火丸
'qing'yang'can'pian 青阳参片
'qing'ye'dan'jiao'nang 青叶胆胶囊
'qing'ye'dan'pian 青叶胆片
'qing'yi'li'dan'ke'li 清胰利胆颗粒
'qing'yi'li'dan'pian 清胰利胆片
'qing'yi'li'dan'wan 清胰利胆丸
'qing'yin'wan 清音丸
'qing'yu'pi'wen'dan 庆余辟瘟丹
'qing'zao'run'fei'he'ji 清燥润肺合剂
'qing'zhi'jiao'nang 清脂胶囊
'qing'zhuo'qu'du'wan 清浊祛毒丸
'qing'zhuo'yi'shen'jiao'nang 清浊益肾胶囊
'qiong'yu'gao 琼玉膏
'qiu'li'run'fei'gao 秋梨润肺膏
'qiu'shui'jian'pi'san 秋水健脾散
'qiu'xie'ling'he'ji 秋泻灵合剂
'qiu'xie'ling'ke'li 秋泻灵颗粒
'qiu'zao'gan'mao'ke'li 秋燥感冒颗粒
'qu'bai'ba'bu'qi'pian 驱白巴布期片
'qu'bai'ding 祛白酊
'qu'bai'ma'ri'bai're'si'wan 驱白马日白热斯丸
'qu'bi'shu'jian'wan 祛痹舒肩丸
'qu'chi'ning'han'pian 龋齿宁含片
'qu'chong'ban'jiu'ju'zhu'she'ye 驱虫斑鸠菊注射液
'qu'chong'xiao'shi'pian 驱虫消食片
'qu'du'yang'yan'kou'fu'ye 驱毒养颜口服液
'qu'feng'bao'ji'you 驱风保济油
'qu'feng'chu'shi'yao'jiu 祛风除湿药酒
'qu'feng'gu'tong'ba'bu'gao 祛风骨痛巴布膏
'qu'feng'hua'tan'wan 祛风化痰丸
'qu'feng'she'jiu 驱风蛇酒
'qu'feng'shi'gao 祛风湿膏
'qu'feng'shi'yao'jiu 祛风湿药酒
'qu'feng'shi'zhi'tong'san 祛风湿止痛散
'qu'feng'shu'jin'wan 祛风舒筋丸
'qu'feng'su'he'wan 驱风苏合丸
'qu'feng'tong'luo'jiu 祛风通络酒
'qu'feng'tong'luo'yao'jiu 驱风通络药酒
'qu'feng'tong'pian 驱风痛片
'qu'feng'xi'tong'wan 祛风息痛丸
'qu'feng'yao'jiu 驱风药酒
'qu'feng'ye 驱风液
'qu'feng'you 驱风油
'qu'feng'zhi'tong'jiao'nang 祛风止痛胶囊
'qu'feng'zhi'tong'pian 祛风止痛片
'qu'feng'zhi'tong'wan 祛风止痛丸
'qu'feng'zhi'yang'kou'fu'ye 祛风止痒口服液
'qu'fu'er'xiang'shuan 祛腐二香栓
'qu'gan're'kou'fu'ye 去感热口服液
'qu'gan're'zhu'she'ye 去感热注射液
'qu'han'chu'shi'san 祛寒除湿散
'qu'mai'zhi'shu'wan 曲麦枳术丸
'qu'shang'xiao'zhong'ding 祛伤消肿酊
'qu'shi'ke'li 祛湿颗粒
'qu'shu'lu 祛暑露
'qu'shu'pian 祛暑片
'qu'shu'wan 祛暑丸
'qu'tan'ling'kou'fu'ye 祛痰灵口服液
'qu'tan'ping'chuan'pian 祛痰平喘片
'qu'tan'zhi'ke'jiao'nang 祛痰止咳胶囊
'qu'tan'zhi'ke'ke'li 祛痰止咳颗粒
'qu'tong'jian'shen'gao 祛痛健身膏
'qu'tong'xiang'jiao'gao 祛痛橡胶膏
'qu'yu'jian'pi'cha 祛瘀健脾茶
'qu'yu'san'jie'jiao'nang 祛瘀散结胶囊
'qu'yu'san'jie'pian 祛瘀散结片
'qu'yu'yi'wei'jiao'nang 祛瘀益胃胶囊
'qu'yu'yi'wei'pian 祛瘀益胃片
'qu'zhuo'cha 祛浊茶
'qu'zhuo'jiao'nang 祛浊胶囊
'quan'du'zhong'jiao'nang 全杜仲胶囊
'quan'gui'jiao'nang 全龟胶囊
'quan'ji'ba'du'gao 全鸡拔毒膏
'quan'jia'yu'jiao'nang 全甲鱼胶囊
'quan'lu'da'bu'wan 全鹿大补丸
'quan'lu'pian 全鹿片
'quan'lu'wan 全鹿丸
'quan'tian'ma'jiao'nang 全天麻胶囊
'quan'tian'ma'ju'jue'pian 全天麻咀嚼片
'quan'tian'ma'pian 全天麻片
'quan'zhou'bai'cao'qu 泉州百草曲
'quan'zhou'cha'bing 泉州茶饼
'ran'jiang'duo'ji'jiao'nang 然降多吉胶囊
're'du'ning'zhu'she'ye 热毒宁注射液
're'du'ping'jiao'nang 热毒平胶囊
're'du'ping'ke'li 热毒平颗粒
're'du'qing'ding 热毒清锭
're'du'qing'pian 热毒清片
're'fei'cha'ji 热痱搽剂
're'fu'dai 热敷袋
're'gan'qing'pen'wu'ji 热感清喷雾剂
're'gan'sai'bi'si'tan'ke'li 热感赛比斯坦颗粒
're'ke'ping'zhu'she'ye 热可平注射液
're'lin'qing'jiao'nang 热淋清胶囊
're'lin'qing'ju'jue'pian 热淋清咀嚼片
're'lin'qing'ke'li 热淋清颗粒
're'lin'qing'pian 热淋清片
're'lin'qing'ruan'jiao'nang 热淋清软胶囊
're'lin'qing'tang'jiang 热淋清糖浆
're'yan'ning'he'ji 热炎宁合剂
're'yan'ning'jiao'nang 热炎宁胶囊
're'yan'ning'ke'li 热炎宁颗粒
're'yan'ning'pian 热炎宁片
'ren'can'bao'fei'wan 人参保肺丸
'ren'dan 人丹
'ren'dan 仁丹
'ren'dong'gan'mao'ke'li 忍冬感冒颗粒
'ren'gong'niu'huang'pian 人工牛黄片
'ren'qing'chang'jue 仁青常觉
'ren'qing'mang'jue 仁青芒觉
'ren'qing'mang'jue'jiao'nang 仁青芒觉胶囊
'ren'shen'bai'du'jiao'nang 人参败毒胶囊
'ren'shen'bei'qi'jiao'nang 人参北芪胶囊
'ren'shen'bei'qi'pian 人参北芪片
'ren'shen'bie'jia'jian'wan 人参鳖甲煎丸
'ren'shen'bu'gao 人参补膏
'ren'shen'bu'qi'jiao'nang 人参补气胶囊
'ren'shen'bu'wan 人参补丸
'ren'shen'dai'pao'cha 人参袋泡茶
'ren'shen'duo'tang'zhu'she'ye 人参多糖注射液
'ren'shen'feng'wang'jiang'jiao'nang 人参蜂王浆胶囊
'ren'shen'feng'wang'jiang'ju'jue'pian 人参蜂王浆咀嚼片
'ren'shen'gu'ben'kou'fu'ye 人参固本口服液
'ren'shen'gu'ben'wan 人参固本丸
'ren'shen'gui'pi'wan 人参归脾丸
'ren'shen'jian'pi'pian 人参健脾片
'ren'shen'jian'pi'wan 人参健脾丸
'ren'shen'jing'ye'zao'gan'jiao'nang 人参茎叶皂苷胶囊
'ren'shen'jing'ye'zao'gan'pian 人参茎叶皂苷片
'ren'shen'jing'ye'zong'zao'gan'jiao'nang 人参茎叶总皂苷胶囊
'ren'shen'jing'ye'zong'zao'gan'pian 人参茎叶总皂苷片
'ren'shen'kou'fu'ye 人参口服液
'ren'shen'ling'zhi'jiao'nang 人参灵芝胶囊
'ren'shen'lu'rong'wan 人参鹿茸丸
'ren'shen'nv'jin'wan 人参女金丸
'ren'shen'pian 人参片
'ren'shen'shou'wu'jiao'nang 人参首乌胶囊
'ren'shen'shou'wu'jing 人参首乌精
'ren'shen'shou'wu'pian 人参首乌片
'ren'shen'tang'tai'zhu'she'ye 人参糖肽注射液
'ren'shen'tian'ma'yao'jiu 人参天麻药酒
'ren'shen'wei'sheng'wan 人参卫生丸
'ren'shen'wu'wei'zi'ke'li 人参五味子颗粒
'ren'shen'wu'wei'zi'tang'jiang 人参五味子糖浆
'ren'shen'yang'rong'gao 人参养荣膏
'ren'shen'yang'rong'wan 人参养荣丸
'ren'shen'yao'jiu 人参药酒
'ren'shen'yi'mu'wan 人参益母丸
'ren'shen'zai'zao'wan 人参再造丸
'ren'shen'zhen'zhu'kou'fu'ye 人参珍珠口服液
'ren'zhi'jiang'tang'jiao'nang 人知降糖胶囊
'ri'shai'fang'zhi'gao 日晒防治膏
'ri'shu'an'shi'jin 日舒安湿巾
'ri'shu'an'xi'ye 日舒安洗液
'rong'can'bu'shen'jiao'nang 茸参补肾胶囊
'rong'can'yi'shen'jiao'nang 茸参益肾胶囊
'rong'dan'kou'fu'ye 蓉丹口服液
'rong'di'yi'shen'jiao'nang 茸地益肾胶囊
'rong'di'yi'shen'kou'fu'ye 茸地益肾口服液
'rong'e'yi'shen'kou'fu'ye 蓉蛾益肾口服液
'rong'fa'jiao'nang 荣发胶囊
'rong'ge'yi'shen'he'ji 茸蛤益肾合剂
'rong'gui'bu'shen'kou'fu'ye 茸桂补肾口服液
'rong'kun'wan 茸坤丸
'rong'qi'bu'shen'jian'pi'cha 茸杞补肾健脾茶
'rong'qi'can'jiao'nang 蓉杞参胶囊
'rong'qi'yi'shen'kou'fu'ye 茸芪益肾口服液
'rong'rong'bu'shen'kou'fu'ye 茸蓉补肾口服液
'rong'shu'kou'fu'ye 茸术口服液
'rong'shuan'jiao'nang 溶栓胶囊
'rong'shuan'nao'tong'jiao'nang 溶栓脑通胶囊
'rong'shuan'pian 溶栓片
'rong'xian'kou'fu'ye 蓉仙口服液
'rong'xin'wan 荣心丸
'rong'xue'an'shen'wan 茸血安神丸
'rong'xue'bu'nao'ye 茸血补脑液
'rong'xue'bu'xin'wan 茸血补心丸
'rong'yu'bu'shen'kou'fu'ye 茸萸补肾口服液
'rou'gan'jian'pi'kou'fu'ye 柔肝健脾口服液
'rou'gan'jie'du'kou'fu'ye 柔肝解毒口服液
'rou'gan'jie'du'pian 柔肝解毒片
'rou'gan'shun'qi'wan 柔肝顺气丸
'rou'gui'you 肉桂油
'rou'kou'si'shen'wan 肉蔻四神丸
'rou'kou'wu'wei'wan 肉蔻五味丸
'ru'an'jiao'nang 乳安胶囊
'ru'an'pian 乳安片
'ru'an'wan 乳安丸
'ru'chuang'wan 乳疮丸
'ru'he'nei'xiao'jiao'nang 乳核内消胶囊
'ru'he'nei'xiao'ke'li 乳核内消颗粒
'ru'he'nei'xiao'pian 乳核内消片
'ru'he'nei'xiao'wan 乳核内消丸
'ru'he'nei'xiao'ye 乳核内消液
'ru'he'san'jie'jiao'nang 乳核散结胶囊
'ru'he'san'jie'pian 乳核散结片
'ru'ji'ling'jiao'nang 乳疾灵胶囊
'ru'ji'ling'ke'li 乳疾灵颗粒
'ru'jie'kang'wan 乳结康丸
'ru'jie'tai'jiao'nang 乳结泰胶囊
'ru'kang'jiao'nang 乳康胶囊
'ru'kang'ke'li 乳康颗粒
'ru'kang'pian 乳康片
'ru'kang'ruan'jiao'nang 乳康软胶囊
'ru'kang'shu'jiao'nang 乳康舒胶囊
'ru'kang'wan 乳康丸
'ru'kuai'xiao'jiao'nang 乳块消胶囊
'ru'kuai'xiao'ke'li 乳块消颗粒
'ru'kuai'xiao'kou'fu'ye 乳块消口服液
'ru'kuai'xiao'nong'suo'wan 乳块消浓缩丸
'ru'kuai'xiao'pian 乳块消片
'ru'kuai'xiao'ruan'jiao'nang 乳块消软胶囊
'ru'kuai'xiao'tang'jiang 乳块消糖浆
'ru'kuai'xiao'tie'gao 乳块消贴膏
'ru'kuai'xiao'wan 乳块消丸
'ru'lu'gao 乳鹿膏
'ru'ning'jiao'nang 乳宁胶囊
'ru'ning'ke'li 乳宁颗粒
'ru'ning'pian 乳宁片
'ru'ning'wan 乳宁丸
'ru'pi'kang'jiao'nang 乳癖康胶囊
'ru'pi'kang'pian 乳癖康片
'ru'pi'qing'jiao'nang 乳癖清胶囊
'ru'pi'qing'pian 乳癖清片
'ru'pi'san'jie'jiao'nang 乳癖散结胶囊
'ru'pi'san'jie'ke'li 乳癖散结颗粒
'ru'pi'san'jie'pian 乳癖散结片
'ru'pi'shu'jiao'nang 乳癖舒胶囊
'ru'pi'shu'pian 乳癖舒片
'ru'pi'xiao'jiao'nang 乳癖消胶囊
'ru'pi'xiao'ke'li 乳癖消颗粒
'ru'pi'xiao'pian 乳癖消片
'ru'pi'xiao'tie'gao 乳癖消贴膏
'ru'pi'xiao'wan 乳癖消丸
'ru'quan'ke'li 乳泉颗粒
'ru'tai'jiao'nang 乳泰胶囊
'ru'xian'kang'zhu'she'ye 乳腺康注射液
'ru'xian'zeng'sheng'kou'fu'ye 乳腺增生口服液
'ru'xiang'feng'shi'qi'wu'ji 乳香风湿气雾剂
'ru'yi'ding'chuan'pian 如意定喘片
'ru'yi'ding'chuan'wan 如意定喘丸
'ru'yi'jin'huang'san 如意金黄散
'ru'yi'you 如意油
'ru'yi'zhen'bao'jiao'nang 如意珍宝胶囊
'ru'yi'zhen'bao'pian 如意珍宝片
'ru'yi'zhen'bao'wan 如意珍宝丸
'ru'zeng'ning'jiao'nang 乳增宁胶囊
'ru'zeng'ning'pian 乳增宁片
'ruan'jian'kou'fu'ye 软坚口服液
'ruan'jian'yao'shui 软坚药水
'ruan'mai'ling'kou'fu'ye 软脉灵口服液
'ruan'shi'shang'qing'wan 阮氏上清丸
'rui'cao'you 瑞草油
'rui'hua'you 瑞花油
'run'chang'jiao'nang 润畅胶囊
'run'chang'jiao'nang 润肠胶囊
'run'chang'ning'shen'gao 润肠宁神膏
'run'chang'ruan'jiao'nang 润肠软胶囊
'run'chang'tong'bian'cha 润肠通便茶
'run'chang'tong'mi'cha 润肠通秘茶
'run'chang'wan 润肠丸
'run'fei'gao 润肺膏
'run'fei'hua'he'gao 润肺化核膏
'run'fei'hua'tan'wan 润肺化痰丸
'run'fei'zhi'ke'jiao'nang 润肺止咳胶囊
'run'fei'zhi'sou'wan 润肺止嗽丸
'run'hou'wan 润喉丸
'run'hou'yao'cha 润喉药茶
