'an'ding'qing'jing 安定清静
'ji'yin'wei'di 积阴为地
'ji'zao'yi'nu 急躁易怒
'ji'ze'zhi'qi'biao 急则治其标
'ji'zhi'he'da'ni'qi'xue'xiang'bo 积滞和大旎气血相搏
'jia'han'zhi'xiang 假寒之象
'jia'ju'qi'ji'de'zu'zhi 加剧气机的阻滞
'jia're 假热
'jia're'zhi'xiang 假热之象
'jia'su'xue'hang 加速血行
'jian'ao'xue'ye 煎熬血液
'jian'bei'jing'xiang'tong 肩背颈项痛
'jian'gan'zhi'bing 见肝之病
'jian'gu'fu'zheng 兼顾扶正
'jian'gu'qi'bu'zu 兼顾其不足
'jian'jian 兼见
'jian'pi'he'wei 健脾和胃
'jian'pi'yi'fu'zheng 健脾以扶正
'jian'pi'yi'qi'zhi'zhi 健脾益气治之
'jian'pi'zao'shi 健脾燥湿
'jian're'tui're 见热退热
'jian'shao'ji'bing 减少疾病
'jian'shen'yun'dong 健身运动
'jian'tan'zhi'tan 见痰治痰
'jian'wang 健忘
'jian'xing'han'zhi'leng 见形寒肢冷
'jian'xue'zhi'xue 见血治血
'jian'yan'bian'zheng'lun'zhi'de'zheng'que'yu'fou 检验辨证论治的正确与否
'jian'yi'gong'xie 兼以攻邪
'jian'yun'wu'quan 健运无权
'jian'zhuo'jin'ye 煎灼津液
'jiang'he'sheng 降和升
'jiang'jiu'wei'sheng 讲究卫生
'jiang'nan'duo'shi're 江南多湿热
'jiang'qi'he'xue 降气和血
'jiao'chang'shi'qi'de'guo'du'yong'li'er'ji'lao'cheng'ji 较长时期的过度用力而积劳成疾
'jiao'chou'zhuo'de'cheng'wei'tan 较稠浊的称为痰
'jiao'gong'fan'zhang'deng 角弓反张等
'jiao'huang'huo 焦黄或
'jiao'jie'gui'lv 交接规律
'jiao'tong'yi'jiao 脚痛医脚
'jiao'yi'wai'gan 较易外感
'jiao'zang 娇脏
'jiao'zu'zhong'jiao 交阻中焦
'jie'biao'gong'li 解表攻里
'jie'biao'shi'zhi'biao 解表是治标
'jie'bu'sheng'du'ye 皆不胜毒也
'jie'dai 结代
'jie'duan'xing 阶段性
'jie'hao'yin'ye 劫耗阴液
'jie'mu'suo'jue'xi 皆目蓑绝系
'jie'pou 解剖
'jie'shi'le'ji'bing'de'ben'zhi 揭示了疾病的本质
'jie'shu'hua'shi 解暑化湿
'jie'shu'yu'fei 皆属于肺
'jie'shu'yu'feng 皆属于风
'jie'shu'yu'gan 皆属于肝
'jie'shu'yu'han 皆属于寒
'jie'shu'yu'huo 皆属于火
'jie'shu'yu'pi 皆属于脾
'jie'shu'yu'shen 皆属于肾
'jie'shu'yu'shi 皆属于湿
'jie'shu'yu'xin 皆属于心
'jie'shu'yu'zao 皆属于燥
'jie'xiang'ran'yi 皆相染易
'jie'yi'si 皆疫死
'jie'yin'yang'er'tiao'gang'rou 节阴阳而调刚柔
'jie'yu'he'ye 皆愈何也
'jin'bian'yao'lue'xin'dian 金匾要略心典
'jin'bian'zhen'yan'lun 金匾真言论
'jin'cha'yin'yang'suo'zai'er'tiao'zhi 谨察阴阳所在而调之
'jin'gu'jing'mai'zhe 筋骨经脉者
'jin'jiao'qing'xi 津较清稀
'jin'ku'xue'shao 津枯血少
'jin'ku'xue'zao 津枯血燥
'jin'kui'xue'pi 津亏血疲
'jin'kui'xue'yu 津亏血瘀
'jin'kui'yao'lue 金匮要略
'jin'luan'ju'ji 筋挛拘急
'jin'luan'ju'ji'chou'chu 筋挛拘急抽搐
'jin'luan'rou'xiang 筋挛肉响
'jin'luan'rou'xiang'huan'jiu 筋挛肉响痪疚
'jin'mai'heng'jie 筋脉横解
'jin'mai'ju'chi 筋脉沮弛
'jin'mai'ju'luan 筋脉拘挛
'jin'mai'shi'qi'ru'yang 筋脉失其濡养
'jin'mai'shi'qi'zi'yang'ru'run 筋脉失其滋养濡润
'jin'mai'shi'yang 筋脉失养
'jin'mai'yu'zhi 筋脉郁滞
'jin'neng'zai'qi 津能载气
'jin'po'bu'ming 金破不鸣
'jin'qi'shuai'tuo 津气衰脱
'jin'ren 金刃
'jin'ren'shang 金刃伤
'jin'rou'tiao'dong 筋肉跳动
'jin'shang'gu'zhe 筋伤骨折
'jin'shang'hua'zao 津伤化燥
'jin'shang'nai'shang'yin'tuo'ye'zhi'jian 津伤乃伤阴脱液之渐
'jin'shang'ye'hao 津伤液耗
'jin'shi'bu'jie 进食不洁
'jin'shi'bu'ming 金实不鸣
'jin'shi'fu'bai'bian'zhi'you'du'shi'wu 进食腐败变质有毒食物
'jin'shui'xiang'sheng'fa 金水相生法
'jin'sui'yang'xie 津随阳泄
'jin'ti 筋惕
'jin'ti'rou'run 筋惕肉润
'jin'ting'qi'zu 津停气阻
'jin'wei'gang 筋为刚
'jin'ye 津液
'jin'ye'bu'hua 津液不化
'jin'ye'bu'neng'hua'qi 津液不能化气
'jin'ye'bu'zu 津液不足
'jin'ye'da'liang'kui'hao 津液大量亏耗
'jin'ye'dai'xie'shi'chang 津液代谢失常
'jin'ye'dai'xie'zhang'ai 津液代谢障碍
'jin'ye'de'chong'zu 津液的充足
'jin'ye'de'gong'neng 津液的功能
'jin'ye'de'pai'xie'zhang'ai 津液的排泄障碍
'jin'ye'de'sheng'cheng'shu'bu'he'pai'xie 津液的生成输布和排泄
'jin'ye'de'shu'bu'he'pai'xie 津液的输布和排泄
'jin'ye'de'shu'bu'zhang'ai 津液的输布障碍
'jin'ye'de'ying'kui 津液的盈亏
'jin'ye'diu'shi'tai'guo 津液丢失太过
'jin'ye'hao'sun'dao'zhi'xue'hang'yu'zhi'bu'chang 津液耗损导致血行郁滞不畅
'jin'ye'hua'wei'han'ye 津液化为汗液
'jin'ye'hua'wei'niao'ye 津液化为尿液
'jin'ye'huan'liu'chi'huan 津液环流迟缓
'jin'ye'ku'he 津液枯涸
'jin'ye'kui'fa 津液亏乏
'jin'ye'kui'fa'ku'jie 津液亏乏枯竭
'jin'ye'kui'shao 津液亏少
'jin'ye'shu'bu'zhang'ai 津液输布障碍
'jin'ye'shui'ye 津液水也
'jin'ye'ting'ju 津液停聚
'jin'ye'wai'xie 津液外泄
'jin'ye'wei'huo'zhuo'jie 津液为火灼竭
'jin'ye'yu'qi'xue 津液与气血
'jin'ye'zai'shu'liang'shang'de'kui'shao 津液在数量上的亏少
'jin'ye'zhuan'hua'wei'han'ye'he'niao'ye 津液转化为汗液和尿液
'jin'yong 禁用
'jin'yuan'shi'qi 金元时期
'jin'yuan'si'da'jia 金元四大家
'jin'yue'cong'ge 金曰从革
'jing'bu'sheng'sui 精不生髓
'jing'cheng'er'nao'sui'sheng 精成而脑髓生
'jing'dai'tai'chan 经带胎产
'jing'fang 荆防
'jing'guan'bu'gu 精关不固
'jing'he'dong 静和动
'jing'huang'shi'cuo 惊慌失措
'jing'jin 经筋
'jing'jue 痉厥
'jing'kong 惊恐
'jing'kong'wan'zhuang 惊恐万状
'jing'ku 胫枯
'jing'kui'xue'shao 精亏血少
'jing'leng'bu'yu 精冷不育
'jing'luo'bing'ji 经络病机
'jing'luo'de'qi'xue'ni'luan 经络的气血逆乱
'jing'luo'de'qi'xue'pian'sheng 经络的气血偏盛
'jing'luo'de'qi'xue'pian'sheng'pian'shuai 经络的气血偏盛偏衰
'jing'luo'de'qi'xue'shuai'jie 经络的气血衰竭
'jing'luo'de'qi'xue'yun'xing'bu'chang 经络的气血运行不畅
'jing'luo'de'qi'xue'yun'xing'ni'luan 经络的气血运行逆乱
'jing'luo'de'qi'xue'yun'xing'zu'zhi 经络的气血运行阻滞
'jing'luo'qi'xue'shuai'jie 经络气血衰竭
'jing'luo'shou'xie 经络受邪
'jing'luo'xi'tong 经络系统
'jing'luo'xue'shuo 经络学说
'jing'mai 经脉
'jing'mai'jin'rou 经脉筋肉
'jing'mai'luan'ji 经脉挛急
'jing'mai'qi'xue'shi'yu'he'diao 经脉气血失于和调
'jing'mai'yu'se'bu'tong 经脉淤塞不通
'jing'mai'zu'zhi 经脉阻滞
'jing'ming'zhi'fu 精明之府
'jing'qi 精气
'jing'qi 经气
'jing'qi'bu'chang 经气不畅
'jing'qi'bu'chong 精气不充
'jing'qi'bu'li 经气不利
'jing'qi'bu'san 精气不散
'jing'qi'de'shuai'bai'er'zhi'zhong'jue 经气的衰败而至终绝
'jing'qi'duo'ze'xu 精气夺则虚
'jing'qi'huo'xu'huo'shi 经气或虚或实
'jing'qi'nai'jue 精气乃绝
'jing'qi'ni'luan 经气逆乱
'jing'qi'ni'shang'ze'xia'xu 经气逆上则下虚
'jing'qi'xu'shi 经气虚实
'jing'qi'zhi'bu'chong 精气之不充
'jing'se'zi'an'cheng'kuai 经色紫黯成块
'jing'shen'bu'ji'zhong 精神不集中
'jing'shen'bu'zhen 精神不振
'jing'shen'chong'pei 精神充沛
'jing'shen'ci'ji 精神刺激
'jing'shen'de'tiao'she 精神的调摄
'jing'shen'huo'dong 精神活动
'jing'shen'nai'yang 精神乃央
'jing'shen'nei'shou 精神内守
'jing'shen'pi'fa'wei'dun 精神疲乏萎顿
'jing'shen'qing'zhi'de'ci'ji 精神情志的刺激
'jing'shen'qing'zhi'gai'bian 精神情志改变
'jing'shen'qing'zhi'huo'dong'yi'chang 精神情志活动异常
'jing'shen'qing'zhi'shi'tiao 精神情志失调
'jing'shen'wei'dun 精神萎顿
'jing'shen'wei'mi 精神萎靡
'jing'shen'yi'shi 精神意识
'jing'shen'yi'shi'he'si'wei'huo'dong'jian'ruo 精神意识和思维活动减弱
'jing'shen'yi'shi'si'wei'huo'dong 精神意识思维活动
'jing'shen'yu'kuai 精神愉快
'jing'shu'yu'yin 精属于阴
'jing'xiang'qiang'zhi 颈项强直
'jing'xing'tu'nv 经行吐衄
'jing'xing'xue'liang'guo'shao 经行血量过少
'jing'xue'bu'zu 精血不足
'jing'xue'tong'yuan 精血同源
'jing'yan'shi'dong'zhe 经言是动者
'jing'yang 痉痒
'jing'ye'bu'jiao'zi'liu 精液不交自流
'jing'ze'qi'luan 惊则气乱
'jing'zhe'wei'yin 静者为阴
'jing'zhi'he'bu'bian 静止和不变
'jing'zhi'qi'ye 静之期也
'jing'zhi'shi'xiang'dui'de 静止是相对的
'jiu'bing'bu'fu 久病不复
'jiu'bing'hao'shang 久病耗伤
'jiu'bing'hao'shang'ying'xue 久病耗伤营血
'jiu'bing'hao'sun 久病耗损
'jiu'bing'hao'xue 久病耗血
'jiu'bing'jing'xue'bu'zu'de'bian'bi 久病精血不足的便闭
'jiu'bing'qi'xu 久病气虚
'jiu'bing'shang'yin 久病伤阴
'jiu'bing'shang'yin'hao'ye 久病伤阴耗液
'jiu'bing'shen'xu 久病肾虚
'jiu'bing'shi'yang 久病失养
'jiu'bing'sun'hao 久病损耗
'jiu'bing'xiao'hao 久病消耗
'jiu'bing'yuan'fa'bing'shi'ben 旧病原发病是本
'jiu'bing'yuan'qi'bu'fu 久病元气不复
'jiu'han 久旱
'jiu'ju'bu'san 久聚不散
'jiu'ke'hao'shang'fei'yin 久咳耗伤肺阴
'jiu'li'shang'gu 久立伤骨
'jiu'li'tuo'gang 久痢脱肛
'jiu'qi'shi'zhi 究其实质
'jiu'qiao 九窍
'jiu'wo'shang'qi 久卧伤气
'jiu'xie 久泄
'jiu'xie'tuo'gang 久泄脱肛
'jiu'xing'shang'jin 久行伤筋
'jiu'yan'bu'fu 久延不复
'jiu'yu'ke'jian'mian'se'xun'hei 久瘀可见面色熏黑
'jiu'zhen'shi'er'yuan 九针十二原
'jiu'zhi'ze'qi'shao'li'shuai 久之则气少力衰
'ju'an 拒按
'ju'bu'dong'shang 局部冻伤
'ju'bu'dui'zheng'liao'fa 局部对症疗法
'ju'bu'teng'tong 局部疼痛
'ju'bu'yu'zheng'ti 局部与整体
'ju'bu'zheng'zhuang 局部症状
'ju'bu'zhong'tong'qing'zi 局部肿痛青紫
'ju'er'cheng'shi 聚而成湿
'ju'er'cheng'tan 聚而成痰
'ju'lie'de'qing'zhi'bo'dong 剧烈的情志波动
'ju'lie'fu'tong 剧烈腹痛
'ju'lie'teng'tong 剧烈疼痛
'ju'lie'yun'dong 剧烈运动
'ju'lie'yun'dong'zhe'de'shi'wu'shu'yang 剧烈运动着的事物属阳
'ju'she'yi'fen'xu'shi 据舌以分虚实
'ju'she'yi'fen'yin'yang 据舌以分阴阳
'ju'she'yi'fen'zang'fu 据舌以分脏腑
'ju'shi'er'sheng'tan'yin 聚湿而生痰饮
'ju'shi'sheng'tan 聚湿生痰
'ju'tan'cheng'yin 聚痰成饮
'ju'ti'fen'xi 具体分析
'ju'ti'wen'ti 具体问题
'ju'tong 剧痛
'ju'tong'lun 举痛论
'ju'yang'zhi'jue 巨阳之厥
'ju'yu'ju'bu 聚于局部
'juan'dai 倦怠
'jue'ding'zhe'ji'bing'de'jin'tui 决定着疾病的进退
'jue'ding'zhi'liao'de'qian'ti'he'yi'ju 决定治疗的前提和依据
'jue'dui'de'jing'zhi'de'ping'heng'zhuang'tai 绝对的静止的平衡状态
'jue'dui'de'ping'heng 绝对的平衡
'jue'dui'yun'dong'zhi'zhong'bao'han'zhe'xiang'dui'de'jing'zhi 绝对运动之中包含着相对的静止
'jue'han'nai'chu 绝汗乃出
'jue'ni 厥逆
'jue'xi'yi'ri'ban'si 绝系一日半死
'jue'yin 厥阴
'jue'yin'zhong'zhe 厥阴终者
'jun'chao'hui'yu'fei 均朝会于肺
'jun'xia 峻下
'jun'zhu'zhi'guan 君主之官
'ka'tan 咯痰
'ka'xie 咯血
'ka'xie'tu'xie'nv'xue 咯血吐血衄血
'kai'xie'tai'guo 开泄太过
'kan'dao'bu'tong'de'bing'zai'qi'fa'zhan'guo'cheng'zhong 看到不同的病在其发展过程中
'kang'bing'kang'fu'neng'li 抗病康复能力
'kang'bing'neng'li'xia'jiang 抗病能力下降
'kang'er'hua'feng 亢而化风
'kang'xie'wu'li 抗邪无力
'kang'yu'wai'xie'neng'li'di'xia 抗御外邪能力低下
'kang'ze'hai 亢则害
'kao'shou'zu'yin'yang 考手足阴阳
'ke'chuan 咳喘
'ke'dao'zhi'ling'yi'fang'de'bu'zu 可导致另一方的不足
'ke'dong'jian'bei 咳动肩背
'ke'ni'qi'chuan 咳逆气喘
'ke'ni'shang'qi 咳逆上气
'ke'sou 咳嗽
'ke'tuo'yin'tong 咳唾引痛
'ke'xue 咳血
'ke'yi'chu'xian'tong'yi'zhong'zheng 可以出现同一种证
'ke'zhong'you'sheng 克中有生
'kong'feng'deng'zheng 恐风等症
'kong'ju'bu'jie'ze'shang'jing 恐惧不解则伤精
'kong'ju'guo'du 恐惧过度
'kong'qi 空气
'kong'qi'chuan'ran 空气传染
'kong'shang'shen 恐伤肾
'kong'shui 恐水
'kong'ze'qi'xia 恐则气下
'kou'bi 口鼻
'kou'bi'gan'zao 口鼻干燥
'kou'chun'zhi'jia'qing'zi 口唇指甲青紫
'kou'dan'wu'wei 口淡无味
'kou'gan'chun'zao 口干唇燥
'kou'gan'ke 口干渴
'kou'ke'er'xi'leng'yin 口渴而喜冷饮
'kou'ke'xi'yin 口渴喜饮
'kou'ke'yin'yin 口渴引饮
'kou'ku 口苦
'kou'mi 口糜
'kou'mu'dong'zuo 口目动作
'kou'ni'huo'kou'tian 口腻或口甜
'kou'she'gan'zao 口舌干燥
'kou'she'mi'lan 口舌糜烂
'kou'wen 口问
'kou'yan'gan'zao 口咽干燥
'kou'yan'wo'xie 口眼蜗斜
'kou'zao'yan'gan'chun'jiao 口燥咽干唇焦
'ku're 酷热
'ku'xian'ren'xin 苦先人心
'kuang'yan'hun'luan 狂言昏乱
'kuang'zao'wang'dong 狂躁妄动
'kui'e'qing'qiao'er'zhi'hun'jue 奎遏清窍而致昏厥
'kui'po 溃破
'la'bai 蜡白
'lan'hou'dan'pi 烂喉丹痞
'lao'dong'he'xiu'xi 劳动和休息
'lao'juan'gan'han 劳倦感寒
'lao'juan'guo'du 劳倦过度
'lao'juan'nei'shang 劳倦内伤
'lao'li'guo'du'ze'shang'qi 劳力过度则伤气
'lao'nian'jing'kui 老年精亏
'lao'nian'ren 老年人
'lao'nian'shen'de'jing'qi'shuai'tui 老年肾的精气衰退
'lao'shang'guo'du'hao'sun'fei'qi 劳伤过度耗损肺气
'lao'shang'xin'pi'er'yan 劳伤心脾而言
'lao'shao'qiang'ruo 老少强弱
'lao'shao'yi'zhi'lun 老少异治论
'lao'xin'guo'du 劳心过度
'lao'yi 劳逸
'lao'yi'sun'shang 劳逸损伤
'lao'ze'chuan'xi'han'chu 劳则喘息汗出
'lao'ze'qi'hao 劳则气耗
'lao'zi 老子
'lei'ji'suo'luo'shu'zhi'zang'fu 累及所络属之脏腑
'lei'ji'yin'ye'sheng'hua'bu'zu 累及阴液生化不足
'lei'ji'yu'xin 累及于心
'lei'jing 类经
'lei'jing'fu'yi 类经附翼
'leng'ma 冷麻
'li'fa 立法
'li'gao 李杲
'li'han'wai're 里寒外热
'li'he'chu'ru 离合出入
'li'ji 痢疾
'li'jing'zhi'xue'ji'cun'ti'nei 离经之血积存体内
'li'liang'dui'bi 力量对比
'li'lun 立论
'li'qi'huo'xue'hua'pi 理气活血化癖
'li're'sheng'ji 里热盛极
'li'shui'zhu'shui'fa 利水逐水法
'li'yu'zheng'qi'de'bao'cun'he'hui'fu 利于正气的保存和恢复
'li'zheng'you'xian 里证又现
'lian'luo'zang'fu'zu'zhi'qi'guan 联络脏腑组织器官
'liang'jing'xiang'bo'wei'zhi'shen 两精相搏谓之神
'liang'mai'xu'xi'er'shu 两脉虚细而数
'liang'mu'gan'se 两目干涩
'liang'qi'li're 凉其里热
'liang'ru'zhang'tong'huo'jie'kuai 两乳胀痛或结块
'liang'shen'ju'cheng'ming'men'shuo 两肾俱称命门说
'liang'shen'zhi'jian'wei'ming'men'shuo 两肾之间为命门说
'liang'xie 两胁
'liang'xie'tong 两胁痛
'liang'xie'zhang'man 两胁胀满
'liang'xie'zhang'tong 两胁胀痛
'liang'xu'xiang'de 两虚相得
'liang'zao 凉燥
'liang'zu'ji'ruo 两足疾弱
'lie'xing'chuan'ran'bing 烈性传染病
'lin'chuang'bian'zheng 临床辨证
'lin'chuang'guan'cha 临床观察
'lin'chuang'jing'yan 临床经验
'lin'zheng'yan'she'fa 临证验舌法
'lin'zheng'zhi'nan 临证指南
'ling'lan'mi'dian'lun 灵兰秘典论
'ling'shu 灵枢
'liu'chu'zi'si 六畜自死
'liu'dong'xing'jiao'da 流动性较大
'liu'dong'xing'jiao'xiao 流动性较小
'liu'er'bu'qu 留而不去
'liu'er'wei'yin 留而为饮
'liu'fu 六腑
'liu'fu'de'gong'neng'shi'tiao 六腑的功能失调
'liu'fu'zhe 六腑者
'liu'he'jian 刘河间
'liu'jie'fen'er'wan'wu'hua'sheng'yi 六节分而万物化生矣
'liu'jing 六经
'liu'jing'bian'zheng'lun'zhi 六经辨证论治
'liu'qi'jie'cong'huo'hua 六气皆从火化
'liu'shui'bu'fu 流水不腐
'liu'wei'zhi'da'lun 六微旨大论
'liu'xia'mou'xie'hou'yi'zheng 留下某些后遗症
'liu'xie 六邪
'liu'xing'bu'zhi 流行不止
'liu'yin 六淫
'liu'yin'qin'xi'ren'ti 六淫侵袭人体
'liu'yin'wai'xie'zhi'bing 六淫外邪致病
'liu'yuan'zheng'ji'da'lun 六元正纪大论
'liu'zhu'ci'xu 流注次序
'lu'he 六合
'luan'yi'cheng'er'hou'zhi'zhi 乱已成而后治之
'lun'tong 论痛
'lun'zhi 论治
'luo'bie 螺瘪
'luo'mai 络脉
'luo'mai'xue'qi'bu'he 络脉血气不和
'luo'shu'de'zang'fu'zu'zhi'qi'guan 络属的脏腑组织器官
'lv'wu'suo'ding 虑无所定
'ma'chi'qian 马齿芡
'ma'gui 麻桂
'ma'zhen 麻疹
'mai'chen 脉沉
'mai'chen'ruo 脉沉弱
'mai'chi'xi 脉迟细
'mai'da 脉大
'mai'dao'bu'li 脉道不利
'mai'dao'bu'tong 脉道不通
'mai'dao'yi'tong'li'wei'shun 脉道以通利为顺
'mai'de'gong'neng'shi'tiao 脉的功能失调
'mai'fu'bu'chu 脉伏不出
'mai'hong'shu 脉洪数
'mai'hua'huo'xian 脉滑或弦
'mai'jian'chi'huo'se 脉见迟或涩
'mai'jie'dai'xi'shu 脉结代细数
'mai'luo'bu'tong 脉络不通
'mai'qi'lai'qu'bu'yun 脉气来去不匀
'mai'ruo'wu'li 脉弱无力
'mai'se'wu'li 脉涩无力
'mai'she'shen 脉舍神
'mai'shi'ru'yang 脉失濡养
'mai'shu 脉数
'mai'wei'xue'zhi'fu 脉为血之府
'mai'wei'ying 脉为营
'mai'wei'yu'jue 脉微欲绝
'mai'xi'shu 脉细数
'mai'xi'wu'li 脉细无力
'mai'xian'er'dai'shu 脉弦而带数
'mai'xiang'chen'fu 脉象沉伏
'mai'xiang'san'da'shu'ji 脉象散大数疾
'mai'xu'da'wu'li 脉虚大无力
'mai'xu'wu'li 脉虚无力
'mai'xu'xi'er'shu 脉虚细而数
'man'xing'bing 慢性病
'man'xing'bing'chi'jiu'bu'yu 慢性病持久不愈
'man'xing'ji'bing 慢性疾病
'man'xing'su'ji 慢性宿疾
'man'xing'xiao'hao 慢性消耗
'mao'dun'yun'dong 矛盾运动
'mei'you'dui'li'ye'jiu'mei'you'tong'yi 没有对立也就没有统一
'mei'you'xiang'fan'ye'jiu'mei'you'xiang'cheng 没有相反也就没有相成
'mei'you'yang'yi'wu'yi'yan'yin 没有阳亦无以言阴
'mei'you'yin'ye'jiu'wu'yi'yan'yang 没有阴也就无以言阳
'meng'shou 猛兽
'mi'bie'qing'zhuo 泌别清浊
'mi'bie'qing'zhuo'de'gong'neng'shi'si 泌别清浊的功能失司
'mi'meng'duo'shui 迷蒙多睡
'mian'chun'zhao'jia'zi'an 面唇爪甲紫暗
'mian'hei'chi'chang'er'gou 面黑齿长而垢
'mian'hong 面红
'mian'hong'mu'chi 面红目赤
'mian'hong'sheng'huo 面红升火
'mian'huang'ji'shou 面黄肌瘦
'mian'jia 面颊
'mian'li'bo'dong 勉力搏动
'mian'mu'dai'hei 面目黛黑
'mian'mu'ju'huang 面目俱黄
'mian'se'bu'hua 面色不华
'mian'se'cang'bai 面色苍白
'mian'se'cang'bai'wu'hua 面色苍白无华
'mian'se'dan'bai'huo'wei'huang 面色淡白或萎黄
'mian'se'jiu'bai'huo'hui'zhi'qing'zi 面色就白或晦滞青紫
'mian'se'yu'bai 面色毓白
'mian'se'zhao'jia'zi'an 面色爪甲紫暗
'ming'huo'bu'zu 命火不足
'ming'liang'de 明亮的
'ming'men 命门
'ming'men'huo'shuai 命门火衰
'ming'men'wei'shen'jian'dong'qi'shuo 命门为肾间动气说
'ming'men'xue'shuo 命门学说
'ming'men'zhi'huo 命门之火
'ming'men'zhi'shui 命门之水
'ming'yu'an 明与暗
'ming'zhi'yue'ren 命之曰人
'mo'fang'hu'lu'xiong'yuan'niao'wu'zhong'dong'wu 模仿虎鹿熊猿鸟五种动物
'mo'gui'yu'ren 莫贵于人
'mo'li'shu'song 膜理疏松
'mu'bing'ji'zi 母病及子
'mu'chi'mu'hu 目赤目糊
'mu'hua 目花
'mu'huo'tu'jin'shui 木火土金水
'mu'jing'shang'diao 目睛上吊
'mu'jing'shang'shi 目睛上视
'mu'xian 目陷
'mu'yue'qu'zhi 木曰曲直
'mu'zi'guan'xi 母子关系
'na'dai 纳呆
'na'hua'dai'zhi 纳化呆滞
'na'shi'bu'hua 纳食不化
'nai'cheng'wei'ren 乃成为人
'nai'ke'qi'xing 乃客其形
'nai'si'yi 乃死矣
'nai'tian'di'jian'bie'you'yi'zhong'yi'qi'suo'cheng 乃天地间别有一种异气所成
'nai'zhi'mie'men 乃至灭门
'nan'fang'zhe 南方者
'nan'jing 难经
'nang'zhong'teng'tong 囊肿疼痛
'nao'de'bing'bian 脑的病变
'nao'de'gong'neng'shi'tiao 脑的功能失调
'nao'de'sheng'li'gong'neng 脑的生理功能
'nao'li'lao'dong 脑力劳动
'nao'shi'you'sui'hui'ji'er'cheng 脑是由髓汇集而成
'nao'sui 脑髓
'nao'sui'kong'xu 脑髓空虚
'nao'wei'sui'hai 脑为髓海
'nao'wei'sui'zhi'hai 脑为髓之海
'nao'wei'yu'ren'zhi'shou 脑位于人之首
'nao'zhuan'er'ming 脑转耳鸣
'nei'bo'yu'gu 内搏于骨
'nei'er'zang'fu 内而脏腑
'nei'feng 内风
'nei'feng'nai'shen'zhong'yang'qi'zhi'bian'dong 内风乃身中阳气之变动
'nei'gai'zang'fu 内溉脏腑
'nei'han 内寒
'nei'huan'jing'yu'fa'bing 内环境与发病
'nei'huo 内火
'nei'jie'yue 内皆越
'nei're 内热
'nei'rou 馁肉
'nei'shang'pi'wei 内伤脾胃
'nei'shang'qi'qing 内伤七情
'nei'shang'tou'tong 内伤头痛
'nei'shang'za'bing 内伤杂病
'nei'sheng'shi'zhuo 内生湿浊
'nei'sheng'shui'shi 内生水湿
'nei'sheng'shui'shi'tan'yin 内生水湿痰饮
'nei'sheng'wu'xie 内生五邪
'nei'sheng'zhi'shi'duo'yin'pi'xu 内生之湿多因脾虚
'nei'shi 内湿
'nei'shi'su'sheng'zhi'ti 内湿素盛之体
'nei'shou'de 内守的
'nei'shu'yu'fu'zang 内属于腑脏
'nei'wai 内外
'nei'wai'he'xie 内外合邪
'nei'wai'shang 内外伤
'nei'xian'xia'tuo 内陷下脱
'nei'yu'zhen'yin'zhen'yang 内寓真阴真阳
'nei'zang'de'xia'chui 内脏的下垂
'nei'zang'gong'neng'zheng'chang 内脏功能正常
'nei'zang'qi'guan 内脏器官
'nei'zang'xia'chui 内脏下垂
'nei'zao 内燥
'nei'zao'bing'bian 内燥病变
'nei'ze'chong'ying'xue'mai 内则充盈血脉
'nei'ze'zang'fu 内则脏腑
'neng'dong'di'shi'ying'zi'ran 能动地适应自然
'neng'dong'zuo'yong 能动作用
'neng'du'zhe'yi'hou'yao 能毒者以厚药
'ni'qi'zheng'hou'xing'zhi'er'zhi 逆其证候性质而治
'ni'se'huang 溺色黄
'ni'yu'sheng'le 逆于生乐
'ni'ze'huo'luan 逆则霍乱
'ni'ze'mian'chi 逆则面赤
'ni'zhe'zheng'zhi 逆者正治
'ni'zhi 逆治
'nian'fu'yi'nian 年复一年
'nian'lao'jing'kui'xue'shao 年老精亏血少
'nian'ling 年龄
'nian'shao'fu'bo'zhe 年少赋薄者
'niang'cheng'chuang'ji 酿成疮积
'niang'cheng'zhi'chuang'bing'zheng 酿成痔疮病症
'niang'tan'cheng'yin 酿痰成饮
'niao'bi 尿闭
'niao'bi'bu'tong 尿闭不通
'niao'ji 尿急
'niao'pin 尿频
'niao'pin'qing'chang 尿频清长
'niao'shao 尿少
'niao'tong 尿痛
'niao'ye'hun'zhuo 尿液浑浊
'niao'you'yu'li 尿有余沥
'ning'ju 凝聚
'ning'ju'er'zu'e'xin'mai 凝聚而阻遏心脉
'niu'yang'ru'zhi 牛羊乳汁
'nu'shang'gan 怒伤肝
'nu'ze'qi'ni 怒则气逆
'nu'ze'qi'shang 怒则气上
'nuan'fu'fan'suan 暖腐泛酸
'nuan'qi 暖气
'nuan'qi'e'ni 暖气呃逆
'nuan'qi'e'xin 暖气恶心
'nuan'qi'tun'suan 暖气吞酸
'nv'xue 衄血
'nv'zi'bao 女子胞
'nv'zi'bao'de'gong'neng'shi'tiao 女子胞的功能失调
'nv'zi'bao'de'sheng'li'gong'neng'shi'tiao 女子胞的生理功能失调
'nv'zi'tong'jing 女子痛经
'nv'zi'yi'xue'wei'ben 女子以血为本
'ou'ni 呕逆
'ou'tu 呕吐
'ou'tu'ou'ni 呕吐呕逆
'ou'tu'suan'ku'huang'shui 呕吐酸苦黄水
'ou'xue 呕血
'ou'ze'ni 呕则逆
