'an'cha'xiao 暗插销
'jian'zhu'zhao'ming 建筑照明
'jian'zhu'zhuan'ye 建筑专业
'jian'zhu'zhuang'shi 建筑装饰
'jiang'tai 讲台
'jiang'wen 降温
'jiang'ya 降压
'jiang'ya'bian'dian'zhan 降压变电站
'jiang'ya'bian'ya'qi 降压变压器
'jiang'yan'ting 讲演厅
'jiao'bu 胶布
'jiao'che 绞车
'jiao'gang 角钢
'jiao'guang 脚光
'jiao'guang'ju'guang'deng 脚光聚光灯
'jiao'huan'ji 交换机
'jiao'liu'dian 交流电
'jiao'liu'dian'dong'ji 交流电动机
'jiao'liu'dian'han'ji 交流电焊机
'jiao'liu'dian'hu'ji 交流电弧机
'jiao'liu'dian'lu 交流电路
'jiao'liu'dian'ya 交流电压
'jiao'liu'dian'yuan 交流电源
'jiao'liu'dian'zheng'liu'qi 交流电整流器
'jiao'liu'fa'dian'ji 交流发电机
'jiao'liu'pei'dian 交流配电
'jiao'mu 胶木
'jiao'rou'ji 绞肉机
'jiao'shi 教室
'jiao'shou'jia 脚手架
'jiao'shui 胶水
'jiao'ta'kai'guan 脚踏开关
'jiao'tan'zha'hun'ning'tu 焦炭渣混凝土
'jiao'tie 角铁
'jiao'tie'zhi'cheng 角铁支撑
'jiao'tong'gan'xian 交通干线
'jiao'xing'yi'yuan 矫形医院
'jiao'xue'dian'shi 教学电视
'jiao'xue'lou 教学楼
'jiao'yan'shi 教研室
'jiao'yuan'xiu'xi'shi 教员休息室
'jiao'zha 焦渣
'jiao'zha'di'mian 焦渣地面
'jiao'zha'dian'ceng 焦渣垫层
'jiao'zha'hun'ning'tu 焦渣混凝土
'jiao'zha'kong'xin'zhuan 焦渣空心砖
'jiao'zha'wu'mian 焦渣屋面
'jiao'zha'zhuan'ge'duan'qiang 焦渣砖隔断墙
'jiao'zhan'ji 胶粘剂
'jiao'zhi'liu'liang'yong'dian'dong'ji 交直流两用电动机
'jiao'zhu 浇注
'jiao'zhu'hun'ning'tu 浇筑混凝土
'jie'chu'bu'liang 接触不良
'jie'chu'dian 接触点
'jie'chu'gu'zhang 接触故障
'jie'chu'mian'ji 接触面积
'jie'chu'mian'ya'li 接触面压力
'jie'chu'nian'jie'ji 接触粘结剂
'jie'chu'qi 接触器
'jie'dai'shi 接待室
'jie'dao'zhao'ming 街道照明
'jie'dao'zhao'ming'dan'yuan 街道照明单元
'jie'dao'zhao'ming'she'bei 街道照明设备
'jie'dao'zhao'ming'xi'tong 街道照明系统
'jie'di 接地
'jie'di'ban 接地板
'jie'di'bang 接地棒
'jie'di'bao'hu 接地保护
'jie'di'bao'hu'zhuang'zhi 接地保护装置
'jie'di'dian'ji 接地电极
'jie'di'dian'lu 接地电路
'jie'di'gu'zhang 接地故障
'jie'di'kai'guan 接地开关
'jie'di'mu'xian 接地母线
'jie'di'shi'cha'tou 接地式插头
'jie'di'xi'tong 接地系统
'jie'di'xian 接地线
'jie'gou 结构
'jie'gou'gong'cheng'shi 结构工程师
'jie'gou'gong'cheng'xue 结构工程学
'jie'gou'she'ji 结构设计
'jie'gou'she'ji'gui'fan 结构设计规范
'jie'gou'she'ji'tu 结构设计图
'jie'gou'she'ji'yu'yan 结构设计语言
'jie'he'bing'liao'yang'yuan 结核病疗养院
'jie'he'bing'yuan 结核病院
'jie'he'ceng 结合层
'jie'jing'qu 洁净区
'jie'jing'shi 洁净室
'jie'jing'zou'lang 洁净走廊
'jie'mian 截面
'jie'mian'mian'ji 截面面积
'jie'mian'tu 截面图
'jie'mian'xian 截面线
'jie'neng 节能
'jie'pou'shi 解剖室
'jie'pou'tai 解剖台
'jie'shou'tian'xian 接收天线
'jie'shu'chu 借书处
'jie'ti'jiao'shi 阶梯教室
'jie'tou 接头
'jie'xian 接线
'jie'xian'ban 接线板
'jie'xian'he 接线盒
'jie'xian'tu 接线图
'jie'xian'xiang 接线箱
'jin'feng'kou 进风口
'jin'feng'she'bei 进风设备
'jin'gong'che'jian 金工车间
'jin'gu'luo'mu 紧固螺母
'jin'gu'luo'shuan 紧固螺栓
'jin'gu'luo'si 紧固螺丝
'jin'gu'zhuang'zhi 紧固装置
'jin'ji'chu'kou 紧急出口
'jin'ji'chu'kou'zhao'ming 紧急出口照明
'jin'ji'gong'dian 紧急供电
'jin'ji'kai'guan 紧急开关
'jin'ji'zhao'ming 紧急照明
'jin'kou 进口
'jin'ku 金库
'jin'liao'kou 进料口
'jin'ren 进人
'jin'ren'guan'dao 进人管道
'jin'ren'guan'gou 进人管沟
'jin'rong'zhong'xin 金融中心
'jin'shu 金属
'jin'shu'bai'ye 金属百叶
'jin'shu'bao'pi 金属包皮
'jin'shu'cai'liao 金属材料
'jin'shu'chuang 金属窗
'jin'shu'gou'jian 金属构件
'jin'shu'guan 金属管
'jin'shu'nuan'qi'zhao 金属暖气罩
'jin'shu'ping'bi 金属屏蔽
'jin'shu'suan'zi 金属算子
'jin'shu'xi'yin'ban'diao'ding 金属吸引板吊顶
'jin'shu'xian'cao 金属线槽
'jing'bao 警报
'jing'bao'deng 警报灯
'jing'bao'feng'ming'qi 警报蜂鸣器
'jing'bao'qi 警报器
'jing'bao'xi'tong 警报系统
'jing'bao'xin'hao 警报信号
'jing'bao'xin'hao'qi 警报信号器
'jing'bao'zhuang'zhi 警报装置
'jing'dian 静电
'jing'dian'gan'rao 静电干扰
'jing'dian'gan'ying 静电感应
'jing'gao 净高
'jing'gao'biao'zhi 警告标志
'jing'gao'deng 警告灯
'jing'gao'xi'tong 警告系统
'jing'gao'xin'hao 警告信号
'jing'hua'che'jian 净化车间
'jing'hua'qu 净化区
'jing'hua'shi 净化室
'jing'lao'yuan 敬老院
'jing'li'shi 经理室
'jing'shui'chi 净水池
'jing'wei'shi 警卫室
'jiu'ba 酒吧
'jiu'ba'gui'tai 酒吧柜台
'jiu'ba'jian 酒吧间
'jiu'hu'suo 救护所
'jiu'hu'zhan 救护站
'ju'bu'fang'da'tu 局部放大图
'ju'bu'li'mian 局部立面
'ju'bu'ping'mian 局部平面
'ju'bu'pou'mian 局部剖面
'ju'bu'yi'ban'zhao'ming 局部一般照明
'ju'chang 剧场
'ju'chang'shi'xian 剧场视线
'ju'chang'xiu'xi'shi 剧场休息室
'ju'chang'zheng'ting 剧场正厅
'ju'chang'zuo'wei 剧场座位
'ju'guang'deng'shi 聚光灯室
'ju'guang'zhao'ming 聚光照明
'ju'le'bu 俱乐部
'ju'lv'ding'xi 聚氯丁烯
'ju'lv'yi'xi 聚氯乙烯
'ju'lv'yi'xi'ban 聚氯乙烯板
'ju'lv'yi'xi'guan 聚氯乙烯管
'ju'lv'yi'xi'jue'yuan'dian'lan 聚氯乙烯绝缘电缆
'ju'min'wei'yuan'hui 居民委员会
'ju'shi 居室
'ju'yi'xi'guan 聚乙烯管
'ju'yuan 剧院
'ju'yuan'guan'zhong'xi'zou'lang 剧院观众席走廊
'ju'zhu'jian'zhu 居住建筑
'ju'zhu'jian'zhu'mian'ji 居住建筑面积
'ju'zhu'jian'zhu'wu 居住建筑物
'ju'zhu'qu 居住区
'ju'zhu'xiao'qu 居住小区
'juan'lian 卷帘
'juan'lian'chuang 卷帘窗
'juan'lian'ge'duan 卷帘隔断
'juan'lian'men 卷帘门
'juan'lian'mu 卷帘幕
'juan'men 卷门
'juan'mu 卷幕
'jue'dui'biao'gao 绝对标高
'jue'suan 决算
'jue'yuan 绝缘
'jue'yuan'ban 绝缘板
'jue'yuan'cai'liao 绝缘材料
'jue'yuan'ceng 绝缘层
'jue'yuan'dian'lan 绝缘电缆
'jue'yuan'dian'zu 绝缘电阻
'jue'yuan'guan 绝缘管
'jue'yuan'hou'du 绝缘厚度
'jue'yuan'jiao'bu 绝缘胶布
'jue'yuan'jiao'dai 绝缘胶带
'jue'yuan'ruan'xian 绝缘软线
'jue'yuan'shi'yan 绝缘试验
'jue'yuan'tao'guan 绝缘套管
'jue'yuan'xian 绝缘线
'jue'yuan'xian'wei'ban 绝缘纤维板
'jun'gong 竣工
'jun'gong'ri'qi 竣工日期
'jun'gong'tu 竣工图
'jun'gong'xiang'mu 竣工项目
'jun'gong'yan'shou 竣工验收
'jun'yun'fen'bu 均匀分布
'ka'fei'guan 咖啡馆
'ka'fei'shi 咖啡室
'ka'kou'deng'pao 卡口灯泡
'ka'kou'deng'zuo 卡口灯座
'kai'chang'shi 开敞式
'kai'chuang'qi 开窗器
'kai'fa'qu 开发区
'kai'gong'ri'qi 开工日期
'kai'guan 开关
'kai'guan'chang 开关厂
'kai'guan'gui 开关柜
'kai'guan'she'bei 开关设备
'kai'guan'xiang 开关箱
'kai'guan'zhan 开关站
'kai'jiao'luo'shuan 开脚螺栓
'kai'men'qi 开门器
'kai'shui'jian 开水间
'kai'zhuang'dian'lan 铠装电缆
'kai'zhuang'qian'bao'dian'lan 铠装铅包电缆
'kan'tai 看台
'kang'fu'zhong'xin 康复中心
'kang'gan'rao'zhuang'zhi 抗干扰装置
'kang'jing'dian 抗静电
'kang'jing'dian'zhuang'zhi 抗静电装置
'kang'zhen 抗震
'kang'zhen'gui'fan 抗震规范
'kang'zhen'jia'gu 抗震加固
'kang'zhen'jian'li'qiang 抗震剪力墙
'kang'zhen'jian'zhu 抗震建筑
'kang'zhen'jie'gou 抗震结构
'kang'zhen'qiang 抗震墙
'kang'zhen'she'ji 抗震设计
'kao'qiang'fu'shou 靠墙扶手
'kao'qiang'fu'shou'tuo'jia 靠墙扶手托架
'kao'qiang'guan'zi'fu'shou 靠墙管子扶手
'kao'qiang'lou'ti 靠墙楼梯
'ke'fang'fu'wu 客房服务
'ke'fang'fu'wu'bu 客房服务部
'ke'ran'qi'ti 可燃气体
'ke'ran'wu 可燃物
'ke'shi'dian'hua 可视电话
'ke'tang 课堂
'ke'ti 客梯
'ke'tiao'luo'shuan 可调螺栓
'ke'ting 客厅
'ke'ting'jian'qi'ju'shi 客厅兼起居室
'ke'xue'gong'zuo'zhe 科学工作者
'ke'xue'ji'shu'wei'yuan'hui 科学技术委员会
'ke'xue'shi'yan 科学实验
'keng'dao'kou 坑道口
'kong'fu'gang'chuang 空腹钢窗
'kong'fu'gang'liang 空腹钢梁
'kong'fu'gang'long'gu 空腹钢龙骨
'kong'fu'gong 空腹拱
'kong'fu'heng'jia 空腹桁架
'kong'fu'jin'shu'chuang 空腹金属窗
'kong'fu'jin'shu'fang'huo'men 空腹金属防火门
'kong'qi'duan'lu'qi 空气断路器
'kong'qi'jia're'qi 空气加热器
'kong'qi'jia're'xi'tong 空气加热系统
'kong'qi'jia'shi'qi 空气加湿器
'kong'qi'jia'shi'she'bei 空气加湿设备
'kong'qi'jing'hua 空气净化
'kong'qi'jing'hua'qi 空气净化器
'kong'qi'leng'ning'qi 空气冷凝器
'kong'qi'leng'que'ji'zu 空气冷却机组
'kong'qi'leng'que'leng'ning'qi 空气冷却冷凝器
'kong'qi'leng'que'pan'guan 空气冷却盘管
'kong'qi'leng'que'qi 空气冷却器
'kong'qi'leng'que'xi'tong 空气冷却系统
'kong'qi'tiao'ji 空气调剂
'kong'tiao 空调
'kong'tiao'guan'dao 空调管道
'kong'tiao'ji'fang 空调机房
'kong'tiao'ji'pai'feng'zhuang'zhi 空调及排风装置
'kong'tiao'ji'zu 空调机组
'kong'tiao'qi 空调器
'kong'tiao'she'bei 空调设备
'kong'tiao'she'ji 空调设计
'kong'tiao'shi 空调室
'kong'tiao'song'feng'suan'zi 空调送风算子
'kong'tiao'xi'tong 空调系统
'kong'tiao'zhao'ming'xi'tong 空调照明系统
'kong'xin'ban 空心板
'kong'xin'de'ban 空心地板
'kong'xin'ge'qiang 空心隔墙
'kong'xin'qiang 空心墙
'kong'xin'zhuan'ge'qiang 空心砖隔墙
'kong'zhi 控制
'kong'zhi'shi 控制室
'kong'zhi'ta 控制塔
'kong'zhi'tai 控制台
'kong'zhi'xi'tong 控制系统
'kou'qiang'ke 口腔科
'kou'qiang'yi'yuan 口腔医院
'ku'fang 库房
'kuai'su'dian'ti 快速电梯
'kuai'zhuang'guo'lu 快装锅炉
'kuan'yin'mu 宽银幕
'kuan'yin'mu'dian'ying'yuan 宽银幕电影院
'kuang'jia'gong'cheng 框架工程
'kuang'jia'jian'zhu 框架建筑
'kuang'jia'jie'gou 框架结构
'kuang'jia'qiang'ban'jian'zhu 框架墙板建筑
'kuang'tong 框筒
'kuang'tong'jie'gou 框筒结构
'kuang'tong'jie'gou'ti'xi 框筒结构体系
'kuang'zha'hun'ning'tu 矿渣混凝土
'kuang'zha'hun'ning'tu'dian'ceng 矿渣混凝土垫层
'kui'dian 馈电
'kui'dian'dian'lan 馈电电缆
'kui'xian 馈线
'kuo'da'chu'bu'she'ji 扩大初步设计
'kuo'da'qi 扩大器
'kuo'jian 扩建
'kuo'jian'gong'cheng 扩建工程
'kuo'san'guang 扩散光
'kuo'yin'ji 扩音机
'kuo'yin'qi 扩音器
'kuo'yin'xi'tong 扩音系统
'la'ba 喇叭
'la'gan'tian'xian 拉杆天线
'la'ji'fen'hua'jian 垃圾焚化间
'la'ji'fen'hua'lu 垃圾焚化炉
'la'ji'fen'hua'zhan 垃圾焚化站
'la'ji'jian 垃圾间
'la'ji'keng 垃圾坑
'la'ji'shou'ji 垃圾收集
'la'ji'xiang 垃圾箱
'la'li 拉力
'la'li'shi'yan 拉力试验
'la'xian'he 拉线盒
'la'xian'kai'guan 拉线开关
'lan'che 缆车
'lan'che'tie'dao 缆车铁道
'lan'dao 缆道
'lan'se 蓝色
'lan'suo 缆索
'lao'hua'shi'yan'shi 老化实验室
'lao'ren'gong'yu 老人公寓
'lao'ren'yi'yuan 老人医院
'lao'ren'zhu'fang 老人住房
'lao'ren'zhu'zhai 老人住宅
'le'ke'si 勒克司
'le'ke'si'ji 勒克斯计
'lei'bie 类别
'lei'da 雷达
'lei'da'zhan 雷达站
'lei'xing 类型
'leng'cang 冷藏
'leng'cang'jian 冷藏间
'leng'cang'ku 冷藏库
'leng'cang'xiang 冷藏箱
'leng'dong 冷冻
'leng'dong'ji 冷冻机
'leng'dong'ji'fang 冷冻机房
'leng'ku 冷库
'leng'que'guan'dao'xi'tong 冷却管道系统
'leng'que'she'bei'xi'tong 冷却设备系统
'leng'que'shui'chi 冷却水池
'leng'que'ta 冷却塔
'leng're'shui'xi'tong 冷热水系统
'leng'shui'guan 冷水管
'leng'ya'gang'ban 冷压钢板
'li'fa'guan 理发馆
'li'fang'hao'mi 立方毫米
'li'fang'li'mi 立方厘米
'li'fang'mi 立方米
'li'gan 立杆
'li'guan'guan'jia 立管管夹
'li'mian'tu 立面图
'li'pou'mian 立剖面
'li'qing'fang'chao'ceng 沥青防潮层
'li'qing'fang'shui'ceng 沥青防水层
'li'qing'feng 沥青缝
'li'qing'guan'jiang 沥青灌浆
'li'qing'lu 沥青路
'li'qing'lu'mian 沥青路面
'li'shi'beng 立式泵
'li'shi'xiao'bian'qi 立式小便器
'li'tang 礼堂
'li'xin'shi'feng'shan 离心式风扇
'li'xin'shi'gu'feng'ji 离心式鼓风机
'li'yong'lv 利用率
'li'yong'xi'shu 利用系数
'li'zhu 立柱
'lian'dong'kai'guan 联动开关
'lian'jie'ban 连接板
'lian'jie'fa 连接法
'lian'jie'gan 连接杆
'lian'jie'kai'guan 连接开关
'lian'jie'luo'shuan 连接螺栓
'lian'jie'qi 连接器
'lian'jie'tao'guan 连接套管
'lian'pen 脸盆
'lian'xu'he'zai 连续荷载
'lian'xu'liang 连续梁
'lian'xu'tong'feng 连续通风
'lian'xu'zhao'ming 连续照明
'liang'ban'gou'zao 梁板构造
'liang'dian 粮店
'liang'du 亮度
'liang'gao 梁高
'liang'tai 凉台
'liang'ting 凉亭
'liang'xiang'san'xian'zhi 两相三线制
'liang'xiang'si'xian'zhi 两相四线制
'liang'xiang'xi'tong 两相系统
'liang'xiang'yun'xing 两相运行
'liang'xiang'zhi 两相制
'liao'yang'yuan 疗养院
'lie'du 烈度
'lin'chuang'hua'yan'shi 临床化验室
'lin'shi'gong'dian 临时供电
'lin'shi'xing'jian'zhu 临时性建筑
'lin'shi'zhao'ming 临时照明
'lin'yu'shi 淋浴室
'ling'du 零度
'ling'jian 零件
'ling'min'du 灵敏度
'ling'xia'wen'du 零下温度
'liu'ming 流明
'lou'ban 楼板
'lou'ban'gou'zao 楼板构造
'lou'ban'shen'suo'feng 楼板伸缩缝
'lou'ceng 楼层
'lou'ceng'mian'ji 楼层面积
'lou'ceng'ping'mian'tu 楼层平面图
'lou'ceng'shu 楼层数
'lou'dian 漏电
'lou'mian'zhi'ding'peng'gao'du 楼面置顶棚高度
'lou'mian'zhi'lou'mian'chi'cun 楼面至楼面尺寸
'lou'mian'zhi'lou'mian'gao'du 楼面至楼面高度
'lou'ti 楼梯
'lou'ti'fu'shou 楼梯扶手
'lou'ti'jian 楼梯间
'lou'ti'jing 楼梯井
'lou'ti'lan'gan 楼梯栏杆
'lou'ti'ping'tai 楼梯平台
'lou'ti'po'du 楼梯坡度
'lou'ti'ta'bu 楼梯踏步
'lou'ti'ting 楼梯厅
'lou'xia 楼下
'lou'xie'dian'liu 漏泄电流
'lu'biao 路标
'lu'deng 路灯
'lu'deng'zhu 路灯柱
'lu'hua'wu'deng 卤化物灯
'lu'kou 路口
'lu'mian 路面
'lu'ming'guan'dao 露明管道
'lu'ming'jin'shu'jie'gou 露明金属结构
'lu'pai 路牌
'lu'su'dian'chi 卤素电池
'lu'tian'ju'chang 露天剧场
'lu'tian'kan'tai 露天看台
'lu'tian'ping'tai 露天平台
'lu'tian'ting'che'chang 露天停车场
'lu'wu'deng 卤钨灯
'lu'yin 录音
'lu'yin'shi 录音室
'lu'yun 陆运
'lun'kuo'cao'tu 轮廓草图
'lun'kuo'chi'cun 轮廓尺寸
'luo'di'xian 落地线
'luo'mao 螺帽
'luo'mu 螺母
'luo'mu'xian 裸母线
'luo'shuan 螺栓
'luo'shuan'gan 螺栓杆
'luo'shuan'gu'ding 螺栓固定
'luo'si'gu'ding 螺丝固定
'luo'xian 裸线
'luo'xuan'kou 螺旋口
'luo'xuan'lou'ti 螺旋楼梯
'lv'ban'wang 铝板网
'lv'bao'dian'lan 铝包电缆
'lv'ding'xiang'jiao 氯丁橡胶
'lv'guan 旅馆
'lv'guan'jian'zhu 旅馆建筑
'lv'he'jin'chuang 铝合金窗
'lv'he'jin'long'gu 铝合金龙骨
'lv'he'jin'men 铝合金门
'lv'he'jin'xing'cai 铝合金型材
'lv'hua'she'ji 绿化设计
'lv'ke'da'ting 旅客大厅
'lv'ke'ren'kou 旅客人口
'lv'ke'xiu'xi'ting 旅客休息厅
'lv'mu'xian 铝母线
'lv'se 绿色
'lv'xing'ting'che'chang 旅行停车场
'lv'you'jian'zhu 旅游建筑
'lv'you'lv'guan 旅游旅馆
'ma'li 马力
'ma'li'xiao'shi 马力小时
'ma'lu 马路
'ma'lu'wan'deng 马路弯灯
'ma'ti'xing'luo'shuan 马蹄形螺栓
'ma'tong 马桶
'ma'zui'shi 麻醉室
'mai'chong'shi'yan 脉冲试验
'mai'chong'xin'hao 脉冲信号
'mai'ru'chang'du 埋入长度
'mai'shen 埋深
'mai'tou'luo'shuan 埋头螺栓
'man'she'deng 漫射灯
'man'she'zhao'ming 漫射照明
'mang'gou 盲沟
'mao'gu 锚固
'mao'gu'an'zhuang 锚固安装
'mao'gu'luo'shuan 锚固螺栓
'mei'chang 煤场
'mei'guo'gong'cheng'shi'ji'jian'zhu'shi'xue'hui 美国工程师及建筑师学会
'mei'guo'jian'zhu'shi'xie'hui 美国建筑师协会
'mei'guo'tu'mu'gong'cheng'shi'xue'hui 美国土木工程师学会
'mei'li'fang'mi'zao'jia 每立方米造价
'mei'qi'gan'guan 煤气干管
'mei'qi'guan 煤气管
'mei'qi'guan'xian 煤气管线
'mei'qi'tiao'ya'zhan 煤气调压站
'mei'qi'zao 煤气灶
'mei'ren 每人
'mei'shu'shui'mo'shi 美术水磨石
'mei'shu'shui'mo'shi'di'mian 美术水磨石地面
'men'chuang'biao 门窗表
'men'chuang'yi'lan'biao 门窗一览表
'men'deng 门灯
'men'dong 门洞
'men'guo'liang 门过梁
'men'ling 门铃
'men'pai 门牌
'men'pai'hao 门牌号
'men'shi'bu 门市部
'men'suo 门锁
'men'ting'men'zhen'bu 门厅门诊部
'mi'feng'dian'juan 密封垫圈
'mi'feng'guan'jiang 密封灌浆
'mi'niao'hua'yan'shi 泌尿化验室
'mi'niao'ke 泌尿科
'mi'shu'shi 秘书室
'mi'zhu'guang 米烛光
'mian'ban 面板
'mian'ceng 面层
'mian'ceng'cai'liao 面层材料
'mian'fen'chang 面粉厂
'miao'tu 描图
'mie'huo'ji 灭火剂
'mie'huo'she'bei 灭火设备
'mie'huo'xi'tong 灭火系统
'min'yong'ji'chang 民用机场
'min'yong'jian'zhu 民用建筑
'min'zu'xing'shi 民族形式
'ming'an'dui'bi 明暗对比
'ming'guan 明管
'ming'lou'ti 明楼梯
'ming'xian 明线
'ming'xian'bu'xian 明线布线
'ming'xian'xian'lu 明线线路
'ming'zhuang'ban'ba'kai'guan 明装搬把开关
'ming'zhuang'cha'xiao 名状插销
'ming'zhuang'ying'guang'deng 明装荧光灯
'ming'zhuang'ying'guang'deng'dai 明装荧光灯带
'ming'zhuang'zhao'ming'she'bei 明装照明设备
'mo'duan 末端
'mo'hui 抹灰
'mo'hui'ding'peng 抹灰顶棚
'mo'hui'hou'du 抹灰厚度
'mo'ni'shi'yan 模拟试验
'mo'sha'bo'li 磨砂玻璃
'mo'sha'deng'pao 磨砂灯泡
'mo'shi 磨石
'mo'xian'tu 墨线图
'mo'xing 模型
'mu'ban 木板
'mu'ban'qiang 木板墙
'mu'ban'tiao'diao'ding 木板条吊顶
'mu'cai'chang 木材厂
'mu'chuang 木窗
'mu'di'ban 木地板
'mu'ge'duan 木隔断
'mu'ge'zha'lou'ban 木搁栅楼板
'mu'gong'chang 木工厂
'mu'gong'chang 木工场
'mu'gong'che'jian 木工车间
'mu'gou'jian 木构件
'mu'gou'zao 木构造
'mu'heng'jia 木桁架
'mu'hu'qiang 木护墙
'mu'jia'zhuan'qiang'fang'wu 木架砖墙房屋
'mu'jie'gou 木结构
'mu'jie'gou'ti'xi 木结构体系
'mu'long'gu 木龙骨
'mu'long'gu'lou'ban 木龙骨楼板
'mu'lou'ban 木楼板
'mu'luo'ding 木螺钉
'mu'luo'si 木螺丝
'mu'men 木门
'mu'men'kuang 木门框
'mu'qiang 幕墙
'mu'ti'jiao'ban 木踢脚板
'mu'tiao'di'ban 木条地板
'mu'wang'ban 木望板
'mu'wu'ding 木屋顶
'mu'wu'jia 木屋架
'mu'xian 母线
'mu'xian'guan'dao 母线管道
'mu'xian'lian'jie 母线连接
'mu'yu'geng'yi'shi 沐浴更衣室
'mu'zhuang'xiu 木装修
'na'deng'guang 钠灯光
'na'guang 钠光
'nai'deng 氖灯
'nai'gao'wen'cai'liao 耐高温材料
'nai'huo'cai'liao 耐火材料
'nai'huo'deng'ji 耐火等级
'nai'huo'diao'ding 耐火吊顶
'nai'huo'ding'peng 耐火顶棚
'nai'huo'hun'ning'tu 耐火混凝土
'nai'huo'jie'gou 耐火结构
'nai'huo'lou'ti 耐火楼梯
'nai'huo'shi'xian 耐火时限
'nai'huo'shi'yan 耐火试验
'nai'huo'su'liao 耐火塑料
'nai'huo'tian'liao 耐火填料
'nai'huo'tu'ceng 耐火涂层
'nai'huo'tu'liao 耐火涂料
'nai'huo'zhi'pin 耐火制品
'nai'huo'zhuan 耐火砖
'nai'jiu'shi'yan 耐久试验
'nai'jiu'shou'ming 耐久寿命
'nai'jiu'xi'shu 耐久系数
'nai're'bo'li 耐热玻璃
'nai're'cai'liao 耐热材料
'nai'shi'qi 耐湿期
'nai'shui'nian'he'ji 耐水粘合剂
'nai'suan'gang'wa'qi 耐酸缸瓦器
'nai'suan'hun'ning'tu 耐酸混凝土
'nai'suan'mian'ban 耐酸面板
'nai'suan'shui'ni 耐酸水泥
'nai'suan'shui'ni'sha'jiang 耐酸水泥砂浆
'nai'suan'tao'ci 耐酸陶瓷
'nai'suan'tao'ci'zhi'pin 耐酸陶瓷制品
'nan'ce'suo 男厕所
'nan'li'mian 南立面
'nan'ran'cai'liao 难燃材料
'nan'wei'sheng'jian 男卫生间
'nei'jing 内径
'nei'luo'wen 内螺纹
'nei'men 内门
'nei'pai'shui 内排水
'nei'yan'dao 内烟道
'nei'zhuang'xiu'gong'cheng 内装修工程
'neng'yuan 能源
'ni'dian'liu 逆电流
'ni'hong'deng 霓虹灯
'ni'liu'ji'dian'qi 逆流继电器
'ni'long'guan 尼龙管
'ni'zhi'fa 逆止阀
'nian'jie 粘结
'nian'jie'chu'li 粘结处理
'nian'kou 捻口
'niao'kan'tou'shi'tu 鸟瞰透视图
'niao'kan'tu 鸟瞰图
'nie'ge 镍铬
'nie'ge'he'jin 镍铬合金
'nie'ge'xu'dian'chi 镍镉蓄电池
'ning'jie'shui'xiang 凝结水箱
'nuan'qi 暖气
'nuan'qi'guan 暖气管
'nuan'qi'guan'gou 暖气管沟
'nuan'qi'guan'pan 暖气管盘
'nuan'qi'pian 暖气片
'nuan'qi'she'bei 暖气设备
'nuan'qi'xi'tong 暖气系统
'nuan'qi'zong'guan 暖气总管
'nuan'tong'gong'cheng'shi 暖通工程师
'nuan'tong'zhuan'ye 暖通专业
'nv'ce'suo 女厕所
'nv'er'qiang 女儿墙
'nv'wei'sheng'jian 女卫生间
'ou'he'dian'lu 耦合电路
'ou'mu'ou'he'bian'ya'qi 欧姆耦合变压器
'pao'ma'chang 跑马场
'pei'dian 配电
'pei'dian'bian'dian'zhan 配电变电站
'pei'dian'bian'ya'qi 配电变压器
'pei'dian'dian'lan 配电电缆
'pei'dian'gan'xian 配电干线
'pei'dian'pan 配电盘
'pei'dian'shi 配电室
'pei'dian'wang 配电网
'pei'dian'xi'tong 配电系统
'pei'dian'xian'lu 配电线路
'pei'dian'xiang 配电箱
'pei'dian'zhan 配电站
'pei'dian'zhong'xin 配电中心
'pei'tao'qi'cai 配套器材
'pei'tao'xiang'mu 配套项目
'pei'xian 配线
'pen'qi 喷漆
'pen'qi'che'jian 喷漆车间
'pen'quan 喷泉
'pen'shui 喷水
'pen'shui'chi 喷水池
'pen'shui'guan 喷水管
'pen'shui'kou 喷水口
'pen'shui'mie'huo'xi'tong 喷水灭火系统
'pen'shui'xi'tong 喷水系统
'pen'tu 喷涂
'pen'tu'su'liao'shi'mian 喷涂塑料饰面
'pen'wu'qi 喷雾器
'pen'wu'shi 喷雾室
'peng'zhang'feng 膨胀缝
'peng'zhang'luo'shuan 膨胀螺栓
'peng'zhang'shui'xiang 膨胀水箱
'pi'dai'chuan'song 皮带传送
'pi'dai'shu'song'ji 皮带输送机
'pi'fu'ke 皮肤科
'pi'jiu'chang 啤酒厂
'pi'lao'shi'yan 疲劳试验
'pi'pei'bian'ya'qi 匹配变压器
'pi'pei'dian'lu 匹配电路
'pin'dai 频带
'pin'dao 频道
'pin'hua'di'ban 拼花地板
'pin'hua'di'ban'kuai 拼花地板块
'pin'hua'di'mian 拼花地面
'ping'ban 平板
'ping'ban'bo'li 平板玻璃
'ping'bi 屏蔽
'ping'bi'dian'lan 屏蔽电缆
'ping'bi'men 屏蔽门
'ping'bi'qiang 屏蔽墙
'ping'bi'shi 屏蔽室
'ping'bi'tian'xian 屏蔽天线
'ping'bi'zuo'yong 屏蔽作用
'ping'dian'quan 平垫圈
'ping'fang'gong'fen 平方公分
'ping'fang'hao'mi 平方毫米
'ping'fang'li'mi 平方厘米
'ping'fang'mi 平方米
'ping'fang'mi'yu'suan'jia 平方米预算价
'ping'fang'ying'chi 平方英尺
'ping'fang'ying'cun 平方英寸
'ping'jun'fu'he 平均负荷
'ping'jun'gong'lv 平均功率
