'a'bo'ding'an'na'bo'li'si'yi'chang 阿伯丁安纳波利斯异常
'qi'ta'te'zhi'si'zhi'xian'tian'xing'ji'xing 其他特指四肢先天性畸形
'qi'ta'te'zhi'ting'jue'sang'shi 其他特指听觉丧失
'qi'ta'te'zhi'wai'bu'wu'zhi'yin'qi'de'hu'xi'xing'qing'kuang 其他特指外部物质引起的呼吸性情况
'qi'ta'te'zhi'wei'tai'er'wen'ti'ji'yu'de'yun'chan'fu'yi'liao 其他特指为胎儿问题给予的孕产妇医疗
'qi'ta'te'zhi'xian'tian'xing'chuan'ran'bing'he'ji'sheng'chong'bing 其他特指先天性传染病和寄生虫病
'qi'ta'te'zhi'xian'tian'xing'ji'xing 其他特指先天性畸形　
'qi'ta'te'zhi'xian'tian'xing'xiao'hua'dao'ji'xing 其他特指先天性消化道畸形
'qi'ta'te'zhi'xin'sheng'er'da'nao'zhang'ai 其他特指新生儿大脑障碍
'qi'ta'te'zhi'xin'sheng'er'duan'zan'xing'nei'fen'mi'ji'huan 其他特指新生儿短暂性内分泌疾患
'qi'ta'te'zhi'xing'ran'se'ti'yi'chang'nan'xing'biao'xing 其他特指性染色体异常男性表型
'qi'ta'te'zhi'xing'ran'se'ti'yi'chang'nv'xing'biao'xing 其他特指性染色体异常女性表型
'qi'ta'te'zhi'xing'shi'ma'feng 其他特指形式麻风
'qi'ta'te'zhi'xue'jiang'dan'bai'yi'chang 其他特指血浆蛋白异常
'qi'ta'te'zhi'xun'huan'xi'tong'xian'tian'xing'ji'xing 其他特指循环系统先天性畸形
'qi'ta'te'zhi'yan'xian'tian'xing'ji'xing 其他特指眼先天性畸形
'qi'ta'te'zhi'yi'liao'zhao'gu 其他特指医疗照顾
'qi'ta'te'zhi'yuan'yin'yin'qi'de'nao'mo'yan 其他特指原因引起的脑膜炎
'qi'ta'te'zhi'yuan'yin'yin'qi'de'xin'sheng'er'huang'dan 其他特指原因引起的新生儿黄疸
'qi'ta'tong'nian'she'hui'gong'neng'zhang'ai 其他童年社会功能障碍
'qi'ta'wai'bu'jia'ti'zhuang'zhi'de'an'zhuang'he'tiao'zheng 其他外部假体装置的安装和调整
'qi'ta'wai'bu'yin'su'yin'qi'de'pa'jin'sen'shi'zong'he'zheng 其他外部因素引起的帕金森氏综合征
'qi'ta'wai'fen'mi'han'xian'ji'huan 其他外分泌汗腺疾患
'qi'ta'wei'chang'dao'ren'gong'zao'kou'shu'hou'zhuang'tai 其它胃肠道人工造口术后状态
'qi'ta'wei'jian'cha'he'zhi'liao'er'chu'yu'deng'dai'qi'xian'de'ren'de'wen'ti 其他为检查和治疗而处于等待期限的人的问题
'qi'ta'wei'sheng'su'que'fa'xing'pin'xue 其他维生素缺乏性贫血
'qi'ta'wei'tai'er'xian'lu'yi'chang'ji'yu'de'yun'chan'fu'yi'liao 其他为胎儿先露异常给予的孕产妇医疗
'qi'ta'wei'tai'er'yi'chang'he'sun'hai'ji'yu'de'yun'chan'fu'yi'liao 其他为胎儿异常和损害给予的孕产妇医疗
'qi'ta'wei'te'zhi'bu'wei'de'bing'du'gan'ran 其他未特指部位的病毒感染
'qi'ta'wen'mei'jie'de'bing'du'xing'nao'yan 其他蚊媒介的病毒性脑炎
'qi'ta'wu'zhi'de'ban'zhen're 其他物指的斑疹热
'qi'ta'wu'zhi'lan'yong'jia'zu'shi 其他物质滥用家族史
'qi'ta'wu'zhi'yin'qi'de'bian'ying'xing'jie'chu'xing'pi'yan 其他物质引起的变应性接触性皮炎
'qi'ta'wu'zhi'yin'qi'de'wei'te'zhi'de'jie'chu'xing'pi'yan 其他物质引起的未特指的接触性皮炎
'qi'ta'xi'jun'xing'ji'bing'de'te'shu'shai'xuan'jian'cha 其他细菌性疾病的特殊筛选检查
'qi'ta'xi'jun'yin'qi'de'xin'sheng'er'nong'du'zheng 其他细菌引起的新生儿脓毒症
'qi'ta'xia'mi'niao'dao'jie'shi 其他下泌尿道结石
'qi'ta'xian'tian'xing'jing'zhuang'ti'ji'xing 其他先天性晶状体畸形
'qi'ta'xian'tian'xing'ma'wei'shen'jing'ji'xing 其他先天性马尾神经畸形
'qi'ta'xian'tian'xing'nao'ji'shui 其他先天性脑积水
'qi'ta'xian'tian'xing'nue'ji'ying'er'nue'ji 其他先天性疟疾婴儿疟疾
'qi'ta'xian'tian'xing'yu'lin'bing 其他先天性鱼鳞病
'qi'ta'xiao'hua'qi'guan'jiao'jie'e'xing'zhong'liu 其他消化器官交界恶性肿瘤
'qi'ta'xin'ji'bing 其他心肌病
'qi'ta'xin'sheng'er'di'wen'zheng 其他新生儿低温症
'qi'ta'xin'sheng'er'duan'zan'xing'dai'xie'wen'luan 其他新生儿短暂性代谢紊乱
'qi'ta'xin'sheng'er'duan'zan'xing'di'gai'he'di'mei'xue'zheng 其他新生儿短暂性低钙和低镁血症
'qi'ta'xin'sheng'er'duan'zan'xing'dian'jie'zhi'wen'luan 其他新生儿短暂性电解质紊乱
'qi'ta'xin'sheng'er'duan'zan'xing'ning'xue'ji'huan 其他新生儿短暂性凝血疾患
'qi'ta'xin'sheng'er'ji'zhang'li'ji'huan 其他新生儿肌张力疾患
'qi'ta'xin'sheng'er'wei'yang'wen'ti 其他新生儿喂养问题
'qi'ta'xin'sheng'er'xi'ru'zong'he'zheng 其他新生儿吸入综合征
'qi'ta'xin'zang'ban'mo'zhi'huan 其他心脏瓣膜置换
'qi'ta'xin'zang'he'xue'guan'zhi'ru'wu'he'yi'zhi'wu 其他心脏和血管植入物和移植物
'qi'ta'xin'zang'he'xue'guan'zhuang'zhi'zhi'ru'wu'he'yi'zhi'wu'yin'qi'de'gan'ran'he'yan'zheng'xing'fan'ying 其他心脏和血管装置植入物和移植物引起的感染和炎症性反应
'qi'ta'xing'pian'ting'pian'xin'hao'duo'xiang'zhang'ai 其他性偏听偏信好多相障碍
'qi'ta'xing'shen'fen'zhang'ai 其他性身份障碍
'qi'ta'xing'shi'bao'zi'si'jun'bing 其他形式孢子丝菌病
'qi'ta'xing'shi'de'ba'er'tong'ti'bing 其他形式的巴尔通体病
'qi'ta'xing'shi'de'tu'la'jun'bing 其他形式的土拉菌病
'qi'ta'xing'shi'de'ya'sheng'jun'bing 其他形式的芽生菌病
'qi'ta'xing'shi'de'yin'qiu'jun'bing 其他形式的隐球菌病
'qi'ta'xing'shi'de'zhuo'se'zhen'jun'bing 其他形式的着色真菌病
'qi'ta'xing'shi'lei'dan'du 其他形式类丹毒
'qi'ta'xing'shi'lei'qiu'bao'zi'jun'bing 其他形式类球孢子菌病
'qi'ta'xing'shi'nuo'ka 其他形式诺卡
'qi'ta'xing'xin'li'fa'yu'zhang'ai 其他性心理发育障碍
'qi'ta'xiong'ji'su'xing'tuo'fa 其他雄激素性脱发
'qi'ta'xue'guan'xing'chi'dai 其他血管性痴呆
'qi'ta'xue'guan'yi'zhi'wu'de'ji'xie'xing'bing'fa'zheng 其他血管移植物的机械性并发症
'qi'ta'ya'mian'ji'xing 其他牙面畸形
'qi'ta'yan'hou'duan'xian'tian'xing'ji'xing 其他眼后段先天性畸形
'qi'ta'yan'xing'duo'shen'jing'bing 其他炎性多神经病
'qi'ta'yan'zhong'ying'ji'fan'ying 其他严重应激反应
'qi'ta'yao'wu'sheng'wu'zhi'pin'yin'qi'de'shen'bing'bian 其他药物生物制品引起的肾病变
'qi'ta'yao'wu'xing'ji'fa'xing'pa'jin'sen'shi'zong'he'zheng 其他药物性继发性帕金森氏综合征
'qi'ta'yao'wu'yao'ji'he'sheng'wu'zhi'pin'guo'min'ge'ren'shi 其他药物药剂和生物制品过敏个人史
'qi'ta'yao'wu'yi'wai'zhong'du 其他药物意外中毒
'qi'ta'ye'suan'yan'que'fa'xing'pin'xue 其他叶酸盐缺乏性贫血
'qi'ta'yi'ban'xing'jian'cha 其他一般性检查
'qi'ta'yi'chuan'xing'gong'ji'shi'tiao 其他遗传性共济失调
'qi'ta'yi'liao'ge'ren'shi 其他医疗个人史
'qi'ta'yin'chan'shi'bai 其他引产失败
'qi'ta'ying'er'da'nao'xing'ma'bi 其他婴儿大脑性麻痹
'qi'ta'ying'xiang'wei'chang'xi'tong'de'yao'wu'zhong'du 其他影响胃肠系统的药物中毒
'qi'ta'ying'yang'que'fa'hou'yi'zheng 其他营养缺乏后遗症
'qi'ta'you'hai'shi'wu'fan'ying 其他有害食物反应
'qi'ta'you'hai'xiao'ying 其他有害效应
'qi'ta'you'ji'rong'ji'de'du'xing'xiao'ying 其他有机溶剂的毒性效应
'qi'ta'you'nian'xing'guan'jie'yan 其他幼年型关节炎
'qi'ta'yu'fang'xing'shou'shu 其他预防性手术
'qi'ta'yun'chan'fu'chan'qian'shai'xuan'jian'cha'de'yi'chang 其他孕产妇产前筛选检查的异常
'qi'ta'zao'qi'ren'shen'chu'xie 其他早期妊娠出血
'qi'ta'zhan'wang'hun'he'qi'yin'de'zhan'wang 其他谵妄混合起因的谵妄
'qi'ta'zheng'chang'ren'shen'de'jian'du 其他正常妊娠的监督
'qi'ta'zhi'he'jun'li'ji 其他志贺菌痢疾
'qi'ta'zhi'liao'hou'hui'fu'qi 其他治疗后恢复期
'qi'ta'zhi'ru'wu'zhuang'zhi'de'tiao'zheng'he'guan'li 其他植入物装置的调整和管理
'qi'ta'zhi'yi'xing'pi'yan 其他脂溢性皮炎
'qi'ta'zhong'yao'qi'guan'de'wai'ke'shou'shu'ge'ren'shi 其它重要器官的外科手术个人史
'qi'ta'zhong'yu'tai'ling'er 其他重于胎龄儿
'qi'ta'zhu'chan'de'dan'tai'fen'mian 其他助产的单胎分娩
'qi'ta'zhu'dong'mai'ban'xian'tian'xing'ji'xing 其他主动脉瓣先天性畸形
'qi'ta'zhu'yao'quan'shen'xing'he'xue'ye'xue'zhi'ji'zhong'du 其他主要全身性和血液学制剂中毒
'qi'ta'zu'se'xing'niao'lu'bing 其他阻塞性尿路病
'qi'tang'niao'bing 槭糖尿病
'qi'ti'yan'wu'he'zheng'qi'de'du'xing'xiao'ying 气体烟雾和蒸气的毒性效应
'qi'tu'liu'chan'shi'bai 企图流产失败
'qi'wai'shou'suo'guo'zao'bo'dong 期外收缩过早搏动
'qi'wai'shou'suo'xing'xin'lv'bu'qi 期外收缩性心律不齐
'qi'xie'xing'ren'gong'liu'chan'shi'bai 器械性人工流产失败
'qi'xing'huai'ju 气性坏疽
'qi'xiong 气胸
'qi'ya'chuang'shang'xing'bi'yan 气压创伤性鼻炎
'qi'ya'chuang'shang'xing'zhong'er'yan 气压创伤性中耳炎
'qi'ya'he'shui'ya'de'xiao'ying 气压和水压的效应
'qi'ya'shang 气压伤
'qi'ying'de'jian'kang'jian'du'he'zhao'liao 弃婴的健康监督和照料
'qi'you'de'du'xing'xiao'ying 汽油的毒性效应
'qi'yu'tong'nian'he'qing'shao'nian'qi'de'wei'te'zhi'de'xing'wei'he'qing'xu'zhang'ai 起于童年和青少年期的未特指的行为和情绪障碍
'qi'yuan'yu'wei'sheng'qi'de'da'liang'fei'chu'xue 起源于围生期的大量肺出血
'qi'yuan'yu'wei'sheng'qi'de'jian'zhi'fei'qi'zhong 起源于围生期的间质肺气肿
'qi'yuan'yu'wei'sheng'qi'de'mou'xie'qing'kuang'ge'ren'shi 起源于围生期的某些情况个人史
'qi'yuan'yu'wei'sheng'qi'de'qi'guan'zhi'qi'guan'chu'xie 起源于围生期的气管支气管出血
'qi'yuan'yu'wei'sheng'qi'de'qi'ta'fei'chu'xue 起源于围生期的其他肺出血
'qi'yuan'yu'wei'sheng'qi'de'qing'kuang 起源于围生期的情况
'qi'yuan'yu'wei'sheng'qi'de'wei'te'zhi'de'man'xing'hu'xi'xing'ji'bing 起源于围生期的未特指的慢性呼吸性疾病
'qi'yuan'yu'wei'sheng'qi'de'xin'bao'ji'qi 起源于围生期的心包积气
'qi'yuan'yu'wei'sheng'qi'de'xin'xue'guan'ji'huan 起源于围生期的心血管疾患
'qi'yuan'yu'wei'sheng'qi'de'zhi'qi'guan'fei'fa'yu'bu'liang 起源于围生期的支气管肺发育不良
'qi'yuan'yu'wei'sheng'qi'de'zong'ge'qi'zhong 起源于围生期的纵隔气肿
'qi'zhang'tong 气胀痛
'qi'zhi'xing'chi'dai 器质性痴呆
'qi'zhi'xing'fen'li'xing'zhang'ai 器质性分离性障碍
'qi'zhi'xing'huan'jue'zheng 器质性幻觉症
'qi'zhi'xing'jiao'lv'zhang'ai 器质性焦虑障碍
'qi'zhi'xing'jin'zhang'xing'zhang'ai 器质性紧张性障碍
'qi'zhi'xing'jing'shen'bing 器质性精神病
'qi'zhi'xing'jing'shen'zhang'ai 器质性精神障碍
'qi'zhi'xing'jing'shen'zong'he'zheng 器质性精神综合征
'qi'zhi'xing'nao'sun'hai 器质性脑损害
'qi'zhi'xing'nao'zong'he'zheng 器质性脑综合征
'qi'zhi'xing'qing'xu'bu'wen'ding 器质性情绪不稳定
'qi'zhi'xing'wang'xiang'xing 器质性妄想性
'qi'zhi'xing'xin'jing 器质性心境
'qi'zhi'xing'you'yu'nei'fen'mi'huo'dai'xie'xing'bing'jing'shen'bing 器质性由于内分泌或代谢性病精神病
'qi'zhong'kuai 脐肿块
'qia'ao'jie'he'xing'nong'zhong'qia'yao'ji 髂凹结核性脓肿髂腰肌
'qia'dong'jing'mai'sun'shang 髂动静脉损伤
'qia'dong'mai'bi'se 髂动脉闭塞
'qia'dong'mai'liu 髂动脉瘤
'qia'dong'mai'xia'zhai 髂动脉狭窄
'qia'dong'mai'yu'qu 髂动脉纡曲
'qia'gu'e'xing'zhong'liu 髂骨恶性肿瘤
'qia'gu'gu'zhe 髂骨骨折
'qia'gu'ji'gu'ci 髂骨嵴骨刺
'qia'gu'jing'mai'xue'shuan'xing'cheng 髂股静脉血栓形成
'qia'gu'liang'xing'zhong'liu 髂骨良性肿瘤
'qia'ji'gu'ruan'gu'bing 髂嵴骨软骨病
'qia'jing'dai'zong'he'zheng 髂胫带综合征
'qia'jing'mai'shuan'se 髂静脉栓塞
'qia'jing'mai'xue'shuan'xing'cheng 髂静脉血栓形成
'qia'jing'shu'luan'suo 髂胫束挛缩
'qia'lin'ba'jie'ji'fa'e'xing'zhong'liu 髂淋巴结继发恶性肿瘤
'qia'nei'jing'mai'shuan'se 髂内静脉栓塞
'qia'wai'jing'mai'shuan'se 髂外静脉栓塞
'qia'wo'e'xing'zhong'liu 髂窝恶性肿瘤
'qia'wo'jie'he 髂窝结核
'qia'wo'liang'xing'zhong'liu 髂窝良性肿瘤
'qia'wo'nong'zhong 髂窝脓肿
'qia'wo'qu'nong'zhong 髂窝区脓肿
'qia'wo'xue'zhong 髂窝血肿
'qia'xue'guan'ji'fa'e'xing'zhong'liu 髂血管继发恶性肿瘤
'qia'yao'ji'jie'di'zu'zhi'liang'xing'zhong'liu 髂腰肌结缔组织良性肿瘤
'qia'zong'dong'mai'dong'mai'liu 髂总动脉动脉瘤
'qia'zong'dong'mai'shuan'sai 髂总动脉栓塞
'qia'zong'dong'mai'xue'shuan'xing'cheng 髂总动脉血栓形成
'qia'zong'jing'mai'xia'zhai 髂总静脉狭窄
'qian'ben'xing'dian'xian 前奔性癫痫
'qian'bi'bai'hou 前鼻白喉
'qian'bi'cuo'shang 前臂挫伤
'qian'bi'de'qi'ta'qian'biao'sun'shang 前臂的其他浅表损伤
'qian'bi'de'sui'hou'xing'xin'ji'geng'si 前壁的随后性心肌梗死
'qian'bi'duo'chu'kai'fang'xing'shang'kou 前臂多处开放性伤口
'qian'bi'duo'chu'qian'biao'sun'shang 前臂多处浅表损伤
'qian'bi'duo'chu'sun'shang 前臂多处损伤
'qian'bi'duo'fa'xing'gu'zhe 前臂多发性骨折
'qian'bi'gu'zhe 前臂骨折
'qian'bi'ji'jian'sun'shang 前臂肌腱损伤
'qian'bi'ji'ya'shang 前臂挤压伤
'qian'bi'jian'bu'de'sui'hou'xing'xin'ji'geng'si 前壁尖部的随后性心肌梗死
'qian'bi'jian'bu'ji'xing'tou'bi'xin'ji'geng'si 前壁尖部急性透壁心肌梗死
'qian'bi'kai'fang'xing'shang'kou 前臂开放性伤口
'qian'bi'kai'fang'xing'shang'kou'ban'bing'fa'zheng 前臂开放性伤口伴并发症
'qian'bi'kai'fang'xing'wai'shang'ban'yi'wu 前臂开放性外伤伴异物
'qian'bi'kai'fang'xing'wai'shang'lei'ji'ji'jian 前臂开放性外伤累及肌腱
'qian'bi'lie'shang 前臂裂伤
'qian'bi'lie'shang'ban'gan'ran 前臂裂伤伴感染
'qian'bi'qi'ta'bu'wei'de'ji'ya'shang 前臂其他部位的挤压伤
'qian'bi'qi'ta'bu'wei'de'kai'fang'xing'shang'kou 前臂其他部位的开放性伤口
'qian'bi'qi'ta'te'zhi'sun'shang 前臂其他特指损伤
'qian'bi'shui'ping'de'duo'chu'xue'guan'sun'shang 前臂水平的多处血管损伤
'qian'bi'shui'ping'de'duo'shen'jing'sun'shang 前臂水平的多神经损伤
'qian'bi'shui'ping'de'jing'mai'sun'shang 前臂水平的静脉损伤
'qian'bi'shui'ping'de'mu'zhi'qu'ji'he'ji'jian'sun'shang 前臂水平的拇指屈肌和肌腱损伤
'qian'bi'shui'ping'de'mu'zhi'shen'ji'huo'qu'ji'he'ji'jian'sun'shang 前臂水平的拇指伸肌或屈肌和肌腱损伤
'qian'bi'shui'ping'de'pi'gan'jue'shen'jing'sun'shang 前臂水平的皮感觉神经损伤
'qian'bi'shui'ping'de'qi'ta'qu'ji'he'ji'jian'sun'shang 前臂水平的其他屈肌和肌腱损伤
'qian'bi'shui'ping'de'qi'ta'shen'ji'he'ji'jian'sun'shang 前臂水平的其他伸肌和肌腱损伤
'qian'bi'shui'ping'de'qi'ta'shen'jing'sun'shang 前臂水平的其他神经损伤
'qian'bi'shui'ping'de'qi'ta'shou'zhi'qu'ji'he'ji'jian'sun'shang 前臂水平的其他手指屈肌和肌腱损伤
'qian'bi'shui'ping'de'qi'ta'shou'zhi'shen'ji'he'ji'jian'sun'shang 前臂水平的其他手指伸肌和肌腱损伤
'qian'bi'shui'ping'de'qi'ta'xue'guan'sun'shang 前臂水平的其他血管损伤
'qian'bi'shui'ping'de'rao'dong'mai'sun'shang 前臂水平的桡动脉损伤
'qian'bi'shui'ping'duo'chu'ji'rou'he'ji'jian'sun'shang 前臂水平多处肌肉和肌腱损伤
'qian'bi'shui'ping'qi'ta'he'wei'te'zhi'ji'rou'he'ji'jian'sun'shang 前臂水平其他和未特指肌肉和肌腱损伤
'qian'bi'shui'ping'wei'te'de'shen'jing'sun'shang 前臂水平未特的神经损伤
'qian'bi'sun'shang 前臂损伤
'qian'bi'xing'niu'pi'xuan 钱币形牛皮癣
'qian'bi'xing'sun'hai 钱币形损害
'qian'bi'xue'zhong 前臂血肿
'qian'bi'zheng'zhong'shen'jing'sun'shang 前臂正中神经损伤
'qian'bi'zhuang'shi'zhen'pi'yan 钱币状湿疹皮炎
'qian'biao'xing'nao'nei'chu'xue 浅表性脑内出血
'qian'ce'bi'de'sui'hou'xing'xin'ji'geng'si 前侧壁的随后性心肌梗死
'qian'ceng'dian'zhuang'jiao'mo'yan 浅层点状角膜炎
'qian'chuang'tu'nao'mo'liu 前床突脑膜瘤
'qian'de'du'xing'xiao'ying 铅的毒性效应
'qian'dun'xing'fu'gu'gou'shan'ban'geng'zu'dan'ce 嵌顿性腹股沟疝伴梗阻单侧
'qian'dun'xing'fu'gu'gou'shan'dan'ce 嵌顿性腹股沟疝单侧
'qian'dun'xing'gu'shan 嵌顿性股疝
'qian'fang'hou'tui 前房后退
'qian'fang'ji'nong 前房积脓
'qian'fang'ji'nong'xing'hong'mo'jie'zhuang'ti'yan 前房积脓性虹膜睫状体炎
'qian'fang'ji'nong'xing'jiao'mo'kui'yang 前房积脓性角膜溃疡
'qian'fang'jiao'po'lie 前房角破裂
'qian'fang'jiao'zhan'lian 前房角粘连
'qian'fang'nang'zhong'yan'shen'chu'xing'zhi'ru'xing'ji'sheng'chong 前房囊肿眼渗出性植入性寄生虫
'qian'fu'qi'mei'du 潜伏期梅毒
'qian'fu'xing'jing'shen'fen'lie'zheng 潜伏性精神分裂症
'qian'fu'xing'ru'tu'yan 潜伏性乳突炎
'qian'fu'xing'tang'niao'bing 潜伏性糖尿病
'qian'fu'xing'ya'si'bing 潜伏性雅司病
'qian'fu'xing'zao'qi'mei'du 潜伏性早期梅毒
'qian'fu'xing'zao'qi'xian'tian'xing'mei'du'chu'sheng'hou'er'nian'nei'wu'lin'chuang'biao'xian 潜伏性早期先天性梅毒出生后二年内无临床表现
'qian'gu'dong'mai'sun'shang 浅股动脉损伤
'qian'han'bing 潜函病
'qian'han'ling'er'bing 潜函灵耳病
'qian'ji'bai'nei'zhang 前极白内障
'qian'jia 嵌甲
'qian'jian'bi'de'sui'hou'xing'xin'ji'geng'si 前间壁的随后性心肌梗死
'qian'jiao'tong'dong'mai'de'zhu'wang'mo'xia'chu'xie 前交通动脉的蛛网膜下出血
'qian'jiao'tong'dong'mai'liu 前交通动脉瘤
'qian'la'xing'shi'wang'mo'tuo'li 牵拉性视网膜脱离
'qian'lie'xian'chong'xue'he'chu'xie 前列腺充血和出血
'qian'lie'xian'di'chong'bing 前列腺滴虫病
'qian'lie'xian'dong'tai'xing'zhi'wei'ding'de'zhong'liu 前列腺动态性质未定的肿瘤
'qian'lie'xian'e'xing'zhong'liu 前列腺恶性肿瘤
'qian'lie'xian'fei'da'zeng'sheng 前列腺肥大增生
'qian'lie'xian'geng'zu 前列腺梗阻
'qian'lie'xian'ji'huan 前列腺疾患
'qian'lie'xian'ji'liu 前列腺肌瘤
'qian'lie'xian'jie'he 前列腺结核
'qian'lie'xian'jie'shi 前列腺结石
'qian'lie'xian'jing'nang'yan 前列腺精囊炎
'qian'lie'xian'liang'xing'zhong'liu 前列腺良性肿瘤
'qian'lie'xian'nang'zhong 前列腺囊肿
'qian'lie'xian'nong'zhong 前列腺脓肿
'qian'lie'xian'pang'guang'yan 前列腺膀胱炎
'qian'lie'xian'qiu'bao'zi'jun'bing 前列腺球孢子菌病
'qian'lie'xian'que'ru 前列腺缺如
'qian'lie'xian'shu'hou'zhuang'tai 前列腺术后状态
'qian'lie'xian'su'ren'gong'liu'chan'shi'bai 前列腺素人工流产失败
'qian'lie'xian'sun'shang 前列腺损伤
'qian'lie'xian'wei'suo 前列腺萎缩
'qian'lie'xian'xian'liu 前列腺腺瘤
'qian'lie'xian'xian'wei'hua 前列腺纤维化
'qian'lie'xian'xian'wei'liu 前列腺纤维瘤
'qian'lie'xian'yan 前列腺炎
'qian'lie'xian'yuan'wei'ai 前列腺原位癌
'qian'lie'xian'zhong'liu'de'te'shu'shai'xuan'jian'cha 前列腺肿瘤的特殊筛选检查
'qian'mo'ya'yu'jian'ya'lian'jie'chu'yi'qian'e'xing'zhong'liu 前磨牙与尖牙连接处以前恶性肿瘤
'qian'nao'wu'lie'ji'xing 前脑无裂畸形
'qian'shui'hei'shi 浅水黑视
'qian'ting'da'xian 前庭大腺
'qian'ting'da'xian'fei'da 前庭大腺肥大
'qian'ting'da'xian'ji'fa'xing'e'xing'zhong'liu 前庭大腺继发性恶性肿瘤
'qian'ting'da'xian'ji'huan 前庭大腺疾患
'qian'ting'da'xian'nang'zhong 前庭大腺囊肿
'qian'ting'da'xian'nong'zhong 前庭大腺脓肿
'qian'ting'da'xian'yan'hua'nong'xing 前庭大腺炎化脓性
'qian'ting'gong'neng'di'xia 前庭功能低下
'qian'ting'gong'neng'zhang'ai 前庭功能障碍
'qian'ting'shen'gong'neng'ji'huan 前庭神功能疾患
'qian'ting'shen'jing'yuan'yan 前庭神经原炎
'qian'ting'wai'ce'he'zong'he'zheng 前庭外侧核综合征
'qian'ting'xi'tong'bing'bian 前庭系统病变
'qian'ting'xing'gong'ji'shi'tiao 前庭性共济失调
'qian'ting'xing'xuan'yun 前庭性眩晕
'qian'tu'he 前突颌
'qian'tu'ya 前突牙
'qian'xing'tong'feng 铅性痛风
'qian'xiong'bi'tong 前胸壁痛
'qian'xuan 钱癣
'qian'ya'fan'yao'he 前牙反咬合
'qian'ya'kai 前牙开
'qian'yan'xing'fei'shi'suan'li'xi'bao'jin'run'zheng 迁延性肺嗜酸粒细胞浸润症
'qian'yan'xing'fei'yan 迁延性肺炎
'qian'zao'bing 潜蚤病
'qian'zhi'tai'pan 前置胎盘
'qian'zhi'tai'pan'ban'chu'xie 前置胎盘伴出血
'qian'zhong'du 铅中毒
'qian'zhong'du'shi 铅中毒史
'qian'zhong'du'xing'nao'bing 铅中毒性脑病
'qian'zong'ge'e'xing'zhong'liu 前纵隔恶性肿瘤
'qian'zong'ge'liang'xing'zhong'liu 前纵隔良性肿瘤
'qiang'di'song'zhong'du 强的松中毒
'qiang'hua'mei'que'xian 羟化酶缺陷
'qiang'jing'mai'shuan'se 腔静脉栓塞
'qiang'jing'mai'zu'se'zong'he'zheng 腔静脉阻塞综合征
'qiang'lai'an'suan'xue'zheng 羟赖氨酸血症
'qiang'lin'hui'shi'chen'zhuo'bing 羟磷灰石沉着病
'qiang'po'guan'nian 强迫观念
'qiang'po'xing'ren'ge'zhang'ai 强迫型人格障碍
'qiang'po'xing'shen'jing'zheng 强迫性神经症
'qiang'po'xing'xing'wei'ji'huan 强迫型行为疾患
'qiang'po'yi'shi 强迫仪式
'qiang'xi'xing'nao'geng'se 腔隙性脑梗塞
'qiang'xi'zong'he'zheng 腔隙综合征
'qiang'zhi'xing'chu'nv'mo 强直性处女膜
'qiang'zhi'xing'dian'xian 强直性癫痫
'qiang'zhi'xing'gu'fei'hou 强直性骨肥厚
'qiang'zhi'xing'ji'ying'yang'bu'liang 强直性肌营养不良
'qiang'zhi'xing'ji'zhu'yan 强直性脊柱炎
'qiang'zhi'xing'po'shang'feng 强直性破伤风
'qiang'zhi'xing'zhen'luan'xing'dian'xian'chi'xu'zhuang'tai 强直性阵挛性癫痫持续状态
'qiang'zhi'zhen'luan'xing'dian'xian 强直阵挛性癫痫
'qiao'ben'jia'zhuang'xian'du'zheng'duan'zan'xing 桥本甲状腺毒症短暂性
'qiao'ben'shi'bing 桥本氏病
'qiao'ben'shi'jia'zhuang'xian'yan 桥本氏甲状腺炎
'qiao'mo'e'xing'zhong'liu 鞘膜恶性肿瘤
'qiao'mo'ji'ye 鞘膜积液
'qiao'mo'liang'xing'zhong'liu 鞘膜良性肿瘤
'qiao'mo'nang'zhong 鞘膜囊肿
'qiao'mo'nong'zhong 鞘膜脓肿
'qiao'mo'yan 鞘膜炎
'qiao'nao'liang'xing'zhong'liu 桥脑良性肿瘤
'qiao'nao'nao'mo'liu 桥脑脑膜瘤
'qiao'zhi'lei'dai'xie'zhang'ai 鞘脂类代谢障碍
'qie'di'a'ke'dong'shi'tai'yin'bu'lin'ke'yi'chang 切迪阿克东施泰因布林克异常
'qie'en'si'tuo'ke'si'hu'xi 切恩斯托克斯呼吸
'qin'ru'xing'fei'qu'mei'bing 侵入性肺曲霉病
'qin'shi'xing'gu'guan'jie'bing 侵蚀性骨关节病
'qin'xi'xing'da'chang'ai'xi'shi'jun'chang'yan 侵袭性大肠埃希氏菌肠炎
'qin'xi'xing'pu'tao'tai 侵袭性葡萄胎
'qin'xi'xing'xian'wei'xing'jia'zhuang'xian'yan 侵袭性纤维性甲状腺炎
'qing'ban'mai'guan'yan 青斑脉管炎
'qing'chun'fa'yu'qi'de'jian'cha 青春发育期的检查
'qing'chun'qi'chu'xie'qing'chun'qi'yue'jing'guo'duo 青春期出血青春期月经过多
'qing'chun'qi'fa'yu'yan'chi 青春期发育延迟
'qing'chun'qi'ji'huan 青春期疾患
'qing'chun'qi'jia'zhuang'xian'zhong 青春期甲状腺肿
'qing'chun'qi'wei'lai'yue'jing 青春期未来月经
'qing'chun'qi'zao'shu 青春期早熟
