'ai'gan'huang'tian'xi'cheng'wei'hui 哀感皇天兮城为隳
'qi'ren'neng'zuo'xi'nan'yi'ge 其人能作西南夷歌
'qi'ren'song 齐人颂
'qi'ren'yan 齐人谚
'qi'ren'yao 齐人谣
'qi'san 其三
'qi'se'cang'cang 其色苍苍
'qi'se'cang'ran'wu'bie 其色苍然无别
'qi'shan'cao 岐山操
'qi'shang'jiu'pin 启上九嫔
'qi'shao'er'cun'duo 弃少而存多
'qi'shen'wei'li 漆身为疠
'qi'sheng'ruo'xiao 其声若箫
'qi'shi'hai'shi 其实还是
'qi'shi'jian 其时间
'qi'shi'nan'fu 其实难副
'qi'shi'yue 其始曰
'qi'shi'zheng'shi'yin'wei'hou'shi 其实正是因为后世
'qi'shu'ke'xin'du'jiao'di 其书可信度较低
'qi'song'yue 其颂曰
'qi'suo'huai 其所坏
'qi'suo'wei'yue 其所谓越
'qi'ta'shi'ge'zong'ji 其它诗歌总集
'qi'tai'ge 齐台歌
'qi'wang'gui'tian'cheng'zi'hu 其往归田成子乎
'qi'wei 其为
'qi'wei'chun'shen'jun'zuo'hu 其为春申君作乎
'qi'wen'lue'tong 其文略同
'qi'wen'yun 其文云
'qi'wu'ren'hu 讫无人乎
'qi'wu'zi'hu 讫无子乎
'qi'xi'yin 祁奚引
'qi'xia'shu'hang 泣下数行
'qi'xian'ren'shan'ge 其县人善歌
'qi'xiang'ren'huo'zhi'zhi 其乡人或知之
'qi'xing'zhi 骑行炙
'qi'xing'zhi'bi'jiao'jie'jin'le 其性质比较接近了
'qi'yan 齐谚
'qi'yan'ming'qie'qing 其言明且清
'qi'yan'shi 七言诗
'qi'yao'ci 其繇辞
'qi'yao'yue 其繇曰
'qi'yi'ruo'gan 其翼若干
'qi'yi'zhe'ge 齐役者歌
'qi'ying'er'yao 齐婴儿谣
'qi'ying'er'yao'yue 齐婴儿谣曰
'qi'you'hu'yuan 齐有狐援
'qi'you'ji'hu 岂有既乎
'qi'you'shen'da 其忧甚大
'qi'yu 齐语
'qi'yu'cao'mang 弃于草莽
'qi'yu'er'yao'xi 泣喻而妖兮
'qi'yu'jian'tai'gong'bing'fa 其余见太公兵法
'qi'yu'qin 迄于秦
'qi'yu'yin'yin 其雨淫淫
'qi'yuan'shen'zhe'qi'yu'mei 其渊深者其鱼美
'qi'zhao 祈招
'qi'zhao'shi 祈招诗
'qi'zhao'zhi'yin'yin 祈招之愔愔
'qi'zhi'zhi'hu 其知之乎
'qi'zhu'xian'zhe'qi'chen'hui 其主贤者其臣惠
'qi'zhuang'gong'ge 齐庄公歌
'qi'zi'fu'ke'fu'he 其子弗克负荷
'qian'bu'ke'yu'ce'shen 浅不可与测深
'qian'che'fu 前车覆
'qian'chen'hou'yang 前沉后扬
'qian'da'xin 钱大昕
'qian'gu'qi'ju 千古奇句
'qian'hou'ming'ci'cha'yi'jiao'da 前后名词差异较大
'qian'hou'wen'wu'biao'zhi 前后文无标志
'qian'ji'shi 前集十
'qian'jin'bu'si 千金不死
'qian'jin'zhi'zi 千金之子
'qian'jin'zhi'zi'bu'chui'tang 千金之子不垂堂
'qian'kun'shou'ling 乾坤受灵
'qian'li 愆礼
'qian'li'bu'fan'di 千里不贩籴
'qian'nian'qian'nian 前年前年
'qian'niu'jing'ren'tian 牵牛径人田
'qian'niu'yi'xi'ren'zhi'tian 牵牛以蹊人之田
'qian'niu'yi'xi'zhe 牵牛以蹊者
'qian'nu'si 迁怒肆
'qian'qian'zhi'de 嗛嗛之德
'qian'qian'zhi'shi 嗛嗛之食
'qian'que'lei'shu 潜确类书
'qian'ren'chang 千人唱
'qian'ren'suo'zhi 千人所指
'qian'ren'yi'chang 千人一唱
'qian'ren'zhi'nuo'nuo 千人之诺诺
'qian'shang'qu'zhi 褰裳去之
'qian'shen'lun 钱神论
'qian'sheng'san'qu 千乘三去
'qian'shi'duo'zhou'bi'ge'xu 牵石柁舟必歌嘘
'qian'shu'bu'zai 前书不载
'qian'wu'er 钱无耳
'qian'yang'zhi'pi 千羊之皮
'qian'yi'fan'fan 汧殹泛泛
'qian'yin 前引
'qian'you 前有
'qian'yu'san'guo 迁于三国
'qian'yu'xian'shan 迁于贤善
'qian'zhe'xu'yan'wei 前者序言为
'qian'zhi'qian'de 嗛之嗛德
'qian'zhou'zhong'liu 搴洲中流
'qiang'nu'zhi'ji'shi 强弩之极矢
'qiang'nu'zhi'mo 强弩之末
'qiang'shi'er'shi 强食尔食
'qiang'yin'qiang'shi 强饮强食
'qiang'you'er 墙有耳
'qiang'you'er'zhe 墙有耳者
'qiang'zhe'shan 强者善
'qiao'qiao'che'cheng 翘翘车乘
'qiao'shi 峤诗
'qiao'si'yu'zhong'ye 桥死于中野
'qiao'xiao'qian'xi 巧笑倩兮
'qiao'zhou'chou'guo'lun 谯周仇国论
'qiao'zhou'chuan 谯周传
'qiao'zhou'yin'yan 谯周引谚
'qie'chi'ji'xi'cao'qi'wei 妾持檝兮操其维
'qie'lai'gui'geng 朅来归耕
'qie'lai'gui'geng'li'shan'pan'xi 朅来归耕历山盘兮
'qie'ping'zhi'zhi 挈瓶之知
'qie'shi'shu'ren 妾是庶人
'qie'xi'xian'dan 挈橀先殚
'qin'bao 秦暴
'qin'bao'jin'wu'yun'shi'zhui 秦暴金误陨石坠
'qin'ben'ji'zheng'yi 秦本纪正义
'qin'bo'fu'jiu'fei 秦伯赋鸠飞
'qin'cao 琴操
'qin'cao'xi'yong'zhi 琴操袭用之
'qin'cao'yi'wei'shun'zuo 琴操以为舜作
'qin'ce'si 秦策四
'qin'ce'yi 秦策一
'qin'cheng'zu'ming 钦承祖命
'qin'chuan'ji'yue 秦川记曰
'qin'chuan'ru'dai 秦川如带
'qin'fu'hu'kou 秦赋户口
'qin'ge 琴歌
'qin'hui'yi'mei'nv'yi'shu'wang 秦惠以美女遗蜀王
'qin'ji'zuo'cai'wei'cao 琴集作采薇操
'qin'kun'fu'che 禽困覆车
'qin'mu'gong 秦穆公
'qin'nv'ge 琴女歌
'qin'qing'yin 琴清音
'qin'qing'ying 琴清英
'qin'qu 琴曲
'qin'ren'yao 秦人谣
'qin'ruo'hao'ming 钦若昊命
'qin'ruo'hao'tian 钦若昊天
'qin'shi 秦时
'qin'shi'huang'ge 秦始皇歌
'qin'shi'huang'he'qiang'liang 秦始皇何强梁
'qin'shi'huang'shi'min'ge 秦始皇时民歌
'qin'shi'huang'shi'min'yao 秦始皇时民谣
'qin'shi'huo 秦食货
'qin'shi'yao 秦世谣
'qin'shi'yu'si'fang 勤施于四方
'qin'wei'xiao 秦为笑
'qin'xian'er'shi'neng 亲贤而使能
'qin'yan 秦喭
'qin'ye 亲也
'qin'yi'sui'shan'chu 秦医虽善除
'qin'yin 琴引
'qin'yuan'yao'lu 琴苑要录
'qin'yue'sui'shan'yi 秦越虽善医
'qin'ze'bu'kui 勤则不匮
'qin'zheng'guo'qu'yu 秦郑国渠与
'qin'zhi'zai 钦之哉
'qin'zhou'ji 秦州记
'qing'bu'yi 情不怡
'qing'chao'fan'niu'zhi'ye'ban 清朝饭牛至夜半
'qing'chen'gui'shi 请陈佹诗
'qing'cheng'ma 卿乘马
'qing'cheng'xiang'shi'zhi'yang 请成相世之殃
'qing'ci'xiu'men'bu'ru'yi'shi'men 卿刺绣门不如倚市门
'qing'dai 清代
'qing'feng'liu'shui'zhi'shi 轻风流水之诗
'qing'gai'er'gu 倾盖而故
'qing'gai'ru'gu 倾盖如故
'qing'ge'liu'chang'le'nan'ji 清歌流畅乐难极
'qing'jiao 清角
'qing'jue'yi 倾绝矣
'qing'ke'yi'zhuo'wu'ying'hu 清可以濯吾缨乎
'qing'lie'ming 蜻蛚鸣
'qing'ling'ge 青陵歌
'qing'ling'ming 蜻蛉鸣
'qing'ling'tai'ge 青陵台歌
'qing'miao'mu'xi'cheng'yu'zong 清庙穆兮承予宗
'qing'qing'zhi'mai 青青之麦
'qing'shang'qu'ci 清商曲辞
'qing'shi'qi'suo 顷失其所
'qing'sui'cheng'che'wo'dai'li 卿虽乘车我戴笠
'qing'xiang'zhi'wei 卿相之位
'qing'yu'shi'ban 情欲失半
'qing'yun'ge 卿云歌
'qing'yun'lan'xi 卿云烂兮
'qiong'er'bu'rao 穷而不扰
'qiong'gui'ge 琼瑰歌
'qiong'gui'ying'wu'huai'hu 琼瑰盈吾怀乎
'qiong'jie'qu 穷劫曲
'qiong'jie'zhi'qu 穷劫之曲
'qiong'qiong'yu'zai'jiu 茕茕余在疚
'qiu'bo'zhi'yue'wu 秋伯之乐舞
'qiu'dan'zhi'niao 求旦之鸟
'qiu'feng'zhi'xi'dan'ling'luo 秋风至兮殚零落
'qiu'gong'ling'ge 丘公陵歌
'qiu'hu'you'hu 湫乎攸乎
'qiu'hu'zi'wei'yue 秋胡子谓曰
'qiu'jia'zi'yu 秋甲子雨
'qiu'ling'ge 丘陵歌
'qiu'suo'bu'dang'qiu'zhe 求所不当求者
'qiu'you 秋有
'qiu'zhi'bu'ji 邱之不济
'qiu'zhi'bu'ji'ci 丘之不济此
'qiu'zhi'ruo'yuan 求之若远
'qiu'zhi'shui'xi'feng'yang'bo 秋之水兮风扬波
'qiu'zhi'wu'yuan 求之无远
'qu'bi'wu'ting 去彼吴庭
'qu'bo'yu 蘧伯玉
'qu'bu'shan'er'cong'shan 去不善而从善
'qu'chao'zong'yu'hai'zhi'yi'ye 取朝宗于海之义也
'qu'ci'nai'zhi'yi 去此乃治矣
'qu'da'jun 屈大均
'qu'gong'jiu'zhuo 屈躬就浊
'qu'guan'man'man 取官漫漫
'qu'guang'zhu'ying'qiong'shui'yu 驱光逐影穷水域
'qu'gui'yu'bo 趣归于薄
'qu'jiang'an'suo 去将安所
'qu'jie'er'jian 趋阶而谏
'qu'lu'ge 去鲁歌
'qu'ming 曲名
'qu'qi'wu'nian 娶妻五年
'qu'qian'sheng'zhi'jia'guo 去千乘之家国
'qu'qu'yu'yu 鸲鸲鹆鹆
'qu'shen'zhi'yi 屈申之义
'qu'shi'you'chang 取事有常
'qu'tang'bu'ke'chu 瞿唐不可触
'qu'tang'bu'ke'liu 瞿唐不可流
'qu'tang'bu'ke'liu 瞿塘不可流
'qu'tang'bu'ke'shang 瞿唐不可上
'qu'tang'bu'ke'xia 瞿唐不可下
'qu'tang'bu'ke'xia 瞿塘不可下
'qu'tian'san'bai 去天三百
'qu'tian'yi'wo 去天一握
'qu'wang'you'zhi 去王幼志
'qu'wang'you'zhi'fu 去王幼志服
'qu'wo'tian'chou'er'wu'zhi 取我田畴而伍之
'qu'wo'yi'guan'er'chu'zhi 取我衣冠而褚之
'qu'wo'zhe'bi'hu 去我者鄙乎
'qu'yan 去雁
'qu'yi'ren'zhi'xia 屈一人之下
'qu'yu'bu'yi 取与不疑
'qu'yu'lai'chao 鸜鹆来巢
'qu'yu'qu'yu 鸜鹆鸜鹆
'qu'yu'ru'chu'gong 鸜鹆入处公
'qu'yu'wu'du 取欲无度
'qu'yu'yao 鸜鹆谣
'qu'yu'zhi'chao 鸜鹆之巢
'qu'yu'zhi'chao 鸲鹆之巢
'qu'yu'zhi'yu 鸜鹆之羽
'qu'yu'zhu'zhu 鸜鹆跦跦
'qu'yu'zhu'zhu 鸲鹆株株
'qu'zhi'ming 趣织鸣
'qu'zhi'yu'zhi 鸜之鹆之
'qu'zhi'yu'zhi 鸲之鹆之
'quan'shou'ci 全收此
'quan'tang'wen'er'bai'qi'shi'qi 全唐文二百七十七
'quan'wu'wei'he'zhi'gan 全无违和之感
'quan'xue 劝学
'quan'xun 权勋
'quan'yin'gu'jin'yan 全引古今谚
'que'bu'jian 却不见
'que'bu'zhi'he'cha 却不知核查
'que'he'xia'mian'suo'yin 却和下面所引
'que'yu'yu 鹊浴雨
'qun'chen'bai'wu'tian'yan'shu 群臣拜舞天颜舒
'qun'chen'jie'xiang'chi'er'ge 群臣皆相持而歌
'qun'jing'bu'yi 群经补义
'qun'qing'zhe'zhou 群轻折轴
'qun'xie'du'sai 群邪杜塞
'ran'fei'yan'ye 然非谚也
'ran'hou'lai'xun'yi'si 然后来寻意思
'ran'jie'wu'ge'ci 然皆无歌辞
'ran'nai'zuo'da'tang'zhi'ge 然乃作大唐之歌
'ran'qi'ci'yi'ji'lie 然其辞亦激烈
'ran'wu'ge'ci 然无歌辞
'ran'yi'ge'shi'shuo 然以歌饰说
'ran'ze'qi'wei'zhi'fan'ye 然则其为之反也
'ran'zuo'shi'jin'wei 然左氏仅谓
'rang'gong'zhi'yu 攘公之羭
'rang'rang'man'jia 穰穰满家
'rang'tian'ci 禳田辞
'rao'zu'yi'ni'zhi 扰阻以泥之
'ren'bu'hun'huan 人不婚宦
'ren'bu'qing'jue 仁不轻绝
'ren'bu'yi'shi 人不衣食
'ren'chi'yi 忍耻矣
'ren'dao'zai'er 仁道在迩
'ren'dao'zai'jin 仁道在近
'ren'er'wu'heng 人而无恒
'ren'hu'neng'jue 人胡能觉
'ren'jian'shi 人间世
'ren'jie'ji'yu'yuan 人皆集于苑
'ren'mao'rong'ming 人貌荣名
'ren'ming 人名
'ren'mo'zhi'qi'zi'zhi'e 人莫知其子之恶
'ren'mo'zhi'yu'shan 人莫踬于山
'ren'mo'zhi'yu'shan'er'dao'yu'die 人莫踬于山而蹈于垤
'ren'shang'e'zhi 人尚恶之
'ren'shou'ji'he 人寿几何
'ren'suo'ge'wu 人所歌舞
'ren'suo'ju'jue 人所咀嚼
'ren'wen'chang'an'le 人闻长安乐
'ren'wu'ru 忍无辱
'ren'yi'yan'zhuang'wei'mao'zhe 人以颜状为貌者
'ren'you'yan'yue 人有言曰
'ren'yu 人与
'ren'zhe'bi'you'yong 仁者必有勇
'ren'zhe'bu'wei'qu'yi'yao'ming 仁者不危躯以要名
'ren'zhe'bu'wei'ren'yi'yao'ming'ye 仁者不危人以要名也
'ren'zhi'cha'ze'wu'tu 人至察则无徒
'ren'zhi'xiang'qu 人之相去
'ren'zhi'xu'yu 忍之须臾
'ri'chu'er'zuo 日出而作
'ri'jiang'zhi'xi'xia'huang'quan 日将至兮下黄泉
'ri'jin'yi'ri 日谨一日
'ri'ju'le 日举乐
'ri'ri'xin 日日新
'ri'ru'er'xi 日入而息
'ri'shen'yi'ri 日慎一日
'ri'si'xi'xi'yu'xin'you'bei 日巳夕兮予心忧悲
'ri'yue'guang'hua 日月光华
'ri'yue'ming'ming 日月明明
'ri'yue'you'chang 日月有常
'ri'yue'yun'zhao 日月运照
'ri'yue'zhao'zhao'hu'qin'yi'chi 日月昭昭乎寖已驰
'ri'zai'yu'luo 日在雨落
'ri'zhao'zhao'qin'yi'shi 日昭昭侵以施
'ri'zhong'bi'hui 日中必彗
'ri'zhong'bu'hui 日中不彗
'ri'zhong'bu'jian'jiu 日中不煎韭
'rou'mi'gong'shun 柔密恭顺
'rou'qu'cong'su 柔屈从俗
'rou'qu'mu'zhe'bu'lei'ri 揉曲木者不累日
'ru'bu'zhi'zu'ze'shi'suo'yu 如不知足则失所欲
'ru'guo'ci'tiao'ke'yi 如果此条可以
'ru'guo'shi'qian'zhe 如果是前者
'ru'guo'shi'yi'shi'de'hua 如果是逸诗的话
'ru'he'xiang'ji 如何相及
'ru'hu'chi 入湖池
'ru'jiu'niu'wei 如九牛尾
'ru'quan'jue'hu 乳犬攫虎
'ru'ri'yue'zhi'guang'ming 如日月之光明
'ru'shan'fa'mu 入山伐木
'ru'shuang'xue'zhi'jiang'jiang 如霜雪之将将
'ru'wen'xian'ke'kao 如文献可靠
'ru'wu'zi'yu 汝无自誉
'ru'xiao'pian 儒效篇
'ru'yu'kui'wei 如鱼窥尾
'ru'ze'fa'nou'miao 如泽发耨苗
'ru'zi'ge 孺子歌
'ruo'feng'jiang'zhi 若风将至
'ruo'ge'ruo'ku 若歌若哭
'ruo'he'ge 若何歌
'ruo'kai'ruo'he'zhi'miao 若开若合之妙
'ruo'qian'zhe'ke'shi'wei'ge 若前者可视为歌
'ruo'qiang'qu'chu'sang'guo'lu 若强取出丧国庐
'ruo'wei'mao'die 若为茅绖
'ruo'xiang'yu'wei'yan 若相予位焉
'ruo'yu'luo'xi'qing'fei'fei 弱于罗兮轻霏霏
'ruo'zhai'gong'zi 若翟公子
'ruo'zhe'bu'neng'zi'shou 弱者不能自守
'sai'qi'dong'liu 塞其东流
'san'bai 三败
'san'bai'jiu'shi 三百九十
'san'duan'bu'jiang 三断不僵
'san'duan'bu'jue 三断不蹶
'san'guan'xue'shi'fang'san 三馆学士放散
'san'guo'wu'men'bu'ru 三过吾门不入
'san'hu'yao 三户谣
'san'jun'zhi'shi'hu'bu'yu'mou 三军之士乎不与谋
'san'ming'er'fu 三命而俯
'san'mu'xiang'si 三木相似
'san'mu'yi'xiang'si 三木亦相似
'san'nian'bu'cheng 三年不成
'san'nian'gan'shang 三年感伤
'san'qi'lue'ji 三齐略记
'san'qin'ji 三秦记
'san'qin'ji'ji'zhu 三秦记辑注
'san'qin'ji'min'yao 三秦记民谣
'san'qin'ji'ye 三秦记页
'san'qu'ge'chun 三曲歌春
'san'qu'ge'dong 三曲歌冬
'san'qu'zhi'yu 三去之余
'san'she'cong'zhi 三蛇从之
'san'wang'shi'jia 三王世家
'san'wu'li'ji 三五历纪
'san'yi'jing 三一经
'san'yu'ci'tong 三于此同
'san'yue'hun 三月昏
'san'zhe'jie'ge'qu'ming 三者皆歌曲名
'san'zhong 三终
'san'zi'wei'yan 三字为谚
'sang'can'ku'nv'gong'nan 桑蚕苦女工难
'sang'lin'dao'ci 桑林祷辞
'sang'tian'bu'cheng 丧田不惩
'sang'ye'bai 桑叶白
'se'lian'san'guang 色连三光
'se'yu'shi 啬于时
'se'yu'shi 色于市
'sha'lao'niu'mo'zhi'gan'shi 杀老牛莫之敢尸
'sha'zhi 杀之
'shan'beng'shui'kui'na'xiao'ren 山崩水溃纳小人
'shan'chuan'er'neng'yu 山川而能语
'shan'chuan'jian'zhi 山川间之
'shan'chuan'li'qi 山川丽崎
'shan'chuan'you'yuan'xi 山川悠远兮
'shan'dong'ren'xing'yi 山东人行役
'shan'e'bing'xi 善恶并兮
'shan'hai'jing 山海经
'shan'jing 山经
'shan'ju'geng'tian'ku 山居耕田苦
'shan'mou'pian 善谋篇
'shan'qu 删去
'shan'qu'san'ju'mo'wei 删去三句末尾
'shan'ren'zai'huan 善人在患
'shan'shang'zhuo'tan 山上斫檀
'shan'shui'xian'zu 山水险阻
'shan'shuo 善说
'shan'shuo'pian 善说篇
'shan'tang'si'kao 山堂肆考
'shan'yan'gu'jin'zi'er 剡豔古今字耳
'shan'you'mu'gong'ze'du'zhi 山有木工则度之
'shan'zao'xin'qu 善造新曲
'shan'zhe'pei'ji'yi'fang'xian 剡者配姬以放贤
'shan'zhe'zhi'yan'qi'ye 剡者指豔妻也
'shan'zhong'zi'you'ku 山中自有楛
'shan'zi'chu 山自出
'shang'biao 商飚
'shang'dang'tiao'wen'fu'ren 上党调问妇人
'shang'di'yu'zi 上帝愈咨
'shang'dou'ming 觞豆铭
'shang'feng 商风
'shang'gao'huang'tian'xi'ke'yi'xing'hu 上告皇天兮可以行乎
'shang'huo'bu'luo 上火不落
'shang'jiu'er'sheng 觞酒二升
'shang'jun'lie'zhuan 商君列传
'shang'jun'shu 商君书
'shang'ke'chong 尚可舂
'shang'ke'feng 尚可缝
'shang'lin'fu 上林赋
'shang'ling'mu'zi 商陵牧子
'shang'ming 商铭
'shang'ming 觞铭
'shang'neng'fu'lai 尚能复来
'shang'qiu'cai 上求材
'shang'qiu'yu 上求鱼
'shang'shan'zhuo'tan 上山斫檀
'shang'shi'ruo'wu 商师若乌
'shang'shu'da'zhuan 尚书大传
'shang'shu'zhai'luo'jie 尚书摘洛戒
'shang'shu'zheng'yi 尚书正义
'shang'shu'zhong'hou 尚书中候
'shang'tang'zai'sang'lin 商汤在桑林
'shang'tian'cang'cang 上天苍苍
'shang'tian'fu'xu 上天弗恤
'shang'wei'dong'jing'luo 上为东井络
'shang'wei'tian'jing 上为天井
'shang'wu 商务
'shang'wu'suo'lin 赏无所恡
'shang'xia'tiao'xu 上下调序
'shang'yang'gu'wu 商羊鼔儛
'shang'yin'cao 伤殷操
'shang'yin'shi'ke 尚饮十榼
'shang'yong'shao 商用少
'shang'you'huan'zhi 尚犹患之
'shang'you'song'bai'qing 上有松柏青
'shang'yue'ci'e 商岳嵳峩
'shang'zhen 商箴
'shang'zhi'shuai'ye 商之衰也
'shang'zhi'zhan 商之占
'shang'zi 商子
'shao'ge 少歌
'shao'jian'fu'ren 少间弗忍
'shao'le'zui'hou'liang'ju 少了最后两句
'shao'suo'jian 少所见
'shao'xing'fu'ke 绍兴府刻
'shao'zhe'zhi'shi 少者之事
'she'bi'da'jiang 涉佊大江
'she'chan'gong'zhong 舍谗攻忠
'she'de'bai 射的白
'she'de'xuan 射的玄
'she'du'ni'chu 蛇独泥处
'she'du'yi'cui 蛇独抑摧
'she'fu'ming'she 射夫命射
'she'ge'fei'gu 蛇割腓股
'she'he 涉河
'she'ji'bu'shi 社稷不食
'she'ji'wei'wei 社稷为危
'she'jiang 涉江
'she'jiang 渉江
'she'pan'wu'long 蛇盘乌栊
'she'qi'jiu'er'xin'shi'mou 舍其旧而新是谋
'she'qi'yuan'wang 射其元王
'she'shu'bu'ke'xun 社鼠不可熏
'she'shu'bu'ke'xun'qu 社鼠不可熏去
'she'xi'bu'guan 社鼷不灌
'she'xing'shu'die 射幸数跌
'she'yang'shu'die 射羊数跌
'she'zhe'zhi'sheng 射者之声
'she'zhi'jin'gan 蛇脂尽干
'shen'bao'xu'ge 申包胥歌
'shen'bi'xiong'zhi 神必凶之
'shen'bu'jue'juan'quan 深不绝涓泉
'shen'da'er'quan'qing'zhe 身大而权轻者
'shen'da'pian 慎大篇
'shen'feng'cao 神凤操
'shen'gu'wei'yi 深谷逶迤
'shen'jiao'ze'tao 慎憍则逃
'shen'jie'bi'gong 慎戒必恭
'shen'ling 沈灵
'shen'nong'jiao'min'shi'gu 神农教民食谷
'shen'nong'shi'feng'nian'yong 神农氏丰年咏
'shen'nong'yu'xia 神农虞夏
'shen'qi'yu'ji 身其余几
'shen'ren'chang 神人畅
'shen'ru'pu'la 身如脯腊
'shen'shu'shi'qi'jing 申叔视其井
'shen'shu'shi'yin 申叔时引
'shen'shu'shi'yin'yan 申叔时引谚
'shen'shu'yi'qi'liang'ge 申叔仪乞粮歌
'shen'si'er'jia'mie 身死而家灭
'shen'si'er'qian'mou 深思而浅谋
'shen'si'jia'shi'fu 身死家室富
'shen'tan'bi'zhe'yu'cai 身贪鄙者余财
'shen'ting'yue'sheng 深听乐声
'shen'wan'ren'zhi'shang 申万人之上
'shen'wei'pian 慎微篇
'shen'xian'de'zhe'mao'chu'cheng 神仙得者茅初成
'shen'xian'zhuan 神仙传
'shen'yi'jian'fu 神以建福
'shen'yuan'xin'jin 身远心近
'shen'zhi'fu'yi 神只辅翼
'shen'zhi'lao'lao'ze'fu 慎之劳劳则富
'shen'zhi'ni'tu 沈滞泥土
'shen'zi 慎子
'shen'zi'yue 慎子曰
'sheng'bi'he'xi'er'guan'qing 升彼河兮而观清
'sheng'bi'xiao'yao 声比小谣
'sheng'bi'zhong'yao 声比中谣
'sheng'bu'bu'shi 生不布施
'sheng'bu'feng'yao'yu'shun'chan 生不逢尧与舜禅
'sheng'bu'yin'mou 生不隐谋
'sheng'chuan'hai'nei'wei'yuan'bang 声传海内威远邦
'sheng'ci'er'gu'zhan'zhe'mo 升此而顾瞻者莫
'sheng'gan'ji 生感迹
'sheng'kai 生开
'sheng'ming'zhi'xia 盛名之下
'sheng'nan'ru'lang 生男如狼
'sheng'nan'shen'wu'ju 生男慎勿举
'sheng'nan'wu'xi 生男无喜
'sheng'nv'ru'shu 生女如鼠
'sheng'nv'wu'nu 生女无怒
'sheng'qi'feng 生契封
'sheng'qi'zhi'shi 生启之事
'sheng'ren'cheng'yan 圣人成焉
'sheng'ren'gui'jing 圣人贵精
'sheng'ren'sheng'yan 圣人生焉
'sheng'ren'yong'bing 圣人用兵
'sheng'xiang'lian'si'xiang'juan 生相怜死相捐
'sheng'yu'dao'zhou 生于道周
'sheng'yu'ling'bei 生於陵陂
'sheng'zhe'bu'kui 生者不愧
'sheng'zhi'qi'hu 生之杞乎
'sheng'zhuan'wei'ju 盛馔未具
'shi'ba 十八
'shi'bu'ke'tong 实不可通
'shi'bu'yu'xi'yao'shun'zhu 时不遇兮尧舜主
'shi'chen'zhi'ji 失晨之鸡
'shi'chu'qi'yan 始出七言
'shi'chun'yin'gu'yu 师春引古语
'shi'ci 筮辞
'shi'ci'kong'xu 使此空虚
'shi'da'ru'ou'tu'wu 石大如塸土屋
'shi'da'ru'zao 实大如枣
'shi'dai 时代
'shi'dai'wen'yi 时代文艺
'shi'dang'ya 石荡崖
'shi'di'shang'sheng'mao 视地上生毛
'shi'di'zhi'shang'sheng'mao 视地之上生毛
'shi'diao'zhi 使吊之
'shi'er'bu'lei 失而不累
'shi'er'cao'jiong 十二曹冏
'shi'er'nian 十二年
'shi'er'suo'dai 视尔所代
'shi'fan'li'shu 诗泛历枢
'shi'fou'shi'yi'shi 是否是一诗
'shi'gu'shi 石鼓诗
'shi'guan'ci 士冠辞
'shi'gui 诗归
'shi'guo 十过
'shi'guo'mao'qian'suo'jian'qin'cao 是郭茂倩所见琴操
'shi'guo'ming 石椁铭
'shi'han'shen'wu 诗含神雾
'shi'he'li'de 是合理的
'shi'hu'shi'hu 师乎师乎
'shi'huan'bu'zhi'che'sheng'er 仕宦不止车生耳
'shi'huo'wo'suo 实获我所
'shi'ji 史记
'shi'ji 诗纪
'shi'ji'chu'yu'shuo'yuan 实际出于说苑
'shi'ji'guo'ku 史记国库
'shi'ji'ji 实际即
'shi'ji'jie 史记解
'shi'ji'jin'shi'jia 史记晋世家
'shi'ji'qian'ji 诗纪前集
'shi'ji'wei 诗纪谓
'shi'ji'wu 诗纪无
'shi'ji'wu'tian'kou'pian'san'zi 史记无天口骈三字
'shi'ji'yin'wen'cha'yi'jiao'da 史记引文差异较大
'shi'ji'yin'yan 史记引谚
'shi'ji'yue 史记曰
'shi'ji'yue'fu'ge'shi 诗纪乐府歌诗
'shi'ji'yun 史记云
'shi'ji'zhao'shi'jia 史记赵世家
'shi'ji'zhao'shi'jia'san'tiao 史记赵世家三条
'shi'ji'zuo'tong'nv'yao 史记作童女谣
'shi'ji'zuo'yu'tang'kai'yuan 实际作于唐开元
'shi'jia'yuan'fu 始加元服
'shi'jia'zhai'yang'xin'lu 十驾斋养新录
'shi'jian 时间
'shi'jing 诗经
'shi'jiu'yin 十九引
'shi'juan 十卷
'shi'juan'chu'yu'wei'ling'gong'zhi'shi 师涓出于卫灵公之世
'shi'juan'hui'qi'guai'yu 师涓悔其乖于
'shi'juan'wei'di'xin'zao 师涓为帝辛造
'shi'jun'xing'zhi 使君行之
'shi'kao 诗考
'shi'ke'du'shi 始可读诗
'shi'kou'ru 使口如
'shi'kou'ru'bi 使口如鼻
'shi'kuang'ge 师旷歌
'shi'kuang'zuo 师旷作
'shi'kui'yang 士刲羊
'shi'lai'gao'ji 使来告急
'shi'lei'fu'suo'yin 事类赋所引
'shi'li'zhi'qi 失利之期
'shi'liu 十六
'shi'min'ji'yu 使民疾与
'shi'min'zhi'zi 世民之子
'shi'mo'xiang'zhe'er'hei 石墨相着而黑
'shi'mu'ke'san'qian'yu'ren 使木客三千余人
'shi'nian'shang'you'you'chou 十年尚犹有臭
'shi'nv'shou'lu'yu'tian 使女受禄于天
'shi'pian'ming 诗篇名
'shi'qi'qu'mi'gao 是其曲弥高
'shi'qi'yin 十七引
'shi'ren'wei'jiang'ke 时人谓姜恪
'shi'ren'wei'yan'li'ben 时人谓阎立本
'shi'ren'zhe'beng 失人者崩
