'ai'e'xiang'gong'er'ji'xiong'sheng 爱恶相攻而吉凶生
'jun'zi'cang'qi'yu'shen 君子藏器於身
'jun'zi'dao'xiao'ye 君子道消也
'jun'zi'dao'zhang 君子道长
'jun'zi'de'yu 君子得舆
'jun'zi'hao'dun 君子好遯
'jun'zi'huang'zhong'tong'li 君子黄中通理
'jun'zi'ji'bu'ru'she 君子几不如舍
'jun'zi'jin'de'xiu'ye 君子进德修业
'jun'zi'jing'yi'zhi'nei 君子敬以直内
'jun'zi'ju'qi'shi 君子居其室
'jun'zi'ju'ze'guan'qi'xiang 君子居则观其象
'jun'zi'jue'jue 君子夬夬
'jun'zi'lin 君子吝
'jun'zi'shang'xiao'xi'ying'xu 君子尚消息盈虚
'jun'zi'she'zhi 君子舍之
'jun'zi'suo'ju'er'an'zhe 君子所居而安者
'jun'zi'ti'ren 君子体仁
'jun'zi'wang'ye 君子罔也
'jun'zi'wei'you'jie 君子维有解
'jun'zi'wu'jiu 君子无咎
'jun'zi'xing'ci'si'zhe 君子行此四者
'jun'zi'xiu'ci'san'zhe 君子修此三者
'jun'zi'xue'yi'ju'zhi 君子学以聚之
'jun'zi'yi'bian'shang'xia 君子以辨上下
'jun'zi'yi'chang'de'xing 君子以常德行
'jun'zi'yi'cheng'de'wei'xing 君子以成德为行
'jun'zi'yi'cheng'fen'zhi'yu 君子以惩忿窒欲
'jun'zi'yi'chu'rong'qi 君子以除戎器
'jun'zi'yi'du'li'bu'ju 君子以独立不惧
'jun'zi'yi'duo'shi'qian'yan'wang'xing 君子以多识前言往行
'jun'zi'yi'fan'shen'xiu'de 君子以反身修德
'jun'zi'yi'fei'li'wu'lv 君子以非礼勿履
'jun'zi'yi'guo'xing'yu'de 君子以果行育德
'jun'zi'yi'hang'guo'hu'gong 君子以行过乎恭
'jun'zi'yi'hou'de'zai'wu 君子以厚德载物
'jun'zi'yi'hui'ru'yan'xi 君子以晦入宴息
'jun'zi'yi'jian'de'pi'nan 君子以俭德辟难
'jun'zi'yi'jian'shan'ze'qian 君子以见善则迁
'jun'zi'yi'jiao'si'wu'qiong 君子以教思无穷
'jun'zi'yi'jie'e'yang'shan 君子以竭恶扬善
'jun'zi'yi'jing'lun 君子以经纶
'jun'zi'yi'ju'xian'de 君子以居贤德
'jun'zi'yi'kong'ju'xiu'shen 君子以恐惧修身
'jun'zi'yi'lao'min'quan'xiang 君子以劳民劝相
'jun'zi'yi'lei'zu'bian'wu 君子以类族辨物
'jun'zi'yi'li'bu'yi'fang 君子以立不易方
'jun'zi'yi'li'zhong 君子以莅众
'jun'zi'yi'ming'shen'yong'xing 君子以明慎用刑
'jun'zi'yi'ming'shu'zheng 君子以明庶政
'jun'zi'yi'peng'you'jiang'xi 君子以朋友讲习
'jun'zi'yi'pou'duo'yi'gua 君子以裒多益寡
'jun'zi'yi'rong'min'chu'zhong 君子以容民畜众
'jun'zi'yi'she'guo'you'zui 君子以赦过宥罪
'jun'zi'yi'shen'bian'wu'ju'fang 君子以慎辨物居方
'jun'zi'yi'shen'ming'xing'shi 君子以申命行事
'jun'zi'yi'shen'yan'yu 君子以慎言语
'jun'zi'yi'shi'lu'ji'xia 君子以施禄及下
'jun'zi'yi'shun'de 君子以顺德
'jun'zi'yi'si'bu'chu'qi'wei 君子以思不出其位
'jun'zi'yi'si'huan'er'yu'fang'zhi 君子以思患而预防之
'jun'zi'yi'tong'er'yi 君子以同而异
'jun'zi'yi'xu'shou'ren 君子以虚受人
'jun'zi'yi'yan'you'wu 君子以言有物
'jun'zi'yi'yi'wen'de 君子以懿文德
'jun'zi'yi'yi'yu'huan'si 君子以议狱缓死
'jun'zi'yi'yin'shi'yan'le 君子以饮食宴乐
'jun'zi'yi'yong'zhong'zhi'bi 君子以永终知敝
'jun'zi'yi'yuan'xiao'ren 君子以远小人
'jun'zi'yi'zhe'yu'zhi'xing 君子以折狱致刑
'jun'zi'yi'zhen'min'yu'de 君子以振民育德
'jun'zi'yi'zheng'wei'ning'ming 君子以正位凝命
'jun'zi'yi'zhi'li'ming'shi 君子以治历明时
'jun'zi'yi'zhi'ming'sui'zhi 君子以致命遂志
'jun'zi'yi'zhi'shu'du 君子以制数度
'jun'zi'yi'zi'qiang'bu'xi 君子以自强不息
'jun'zi'yi'zi'zhao'ming'de 君子以自昭明德
'jun'zi'yi'zuo'shi'mou'shi 君子以作事谋始
'jun'zi'yong'wang 君子用罔
'jun'zi'you'jie 君子有解
'jun'zi'you'xing 君子攸行
'jun'zi'you'you'wang 君子有攸往
'jun'zi'you'zhong 君子有终
'jun'zi'yu'xing 君子于行
'jun'zi'zheng'xiong 君子征凶
'jun'zi'zheng'ye 君子正也
'jun'zi'zhi'dao 君子之道
'jun'zi'zhi'dao'ye 君子之道也
'jun'zi'zhi'guang 君子之光
'jun'zi'zhi'suo'yi'dong'tian'di'ye 君子之所以动天地也
'jun'zi'zhi'zhong'ye 君子之终也
'jun'zi'zhong'ri'qian'qian 君子终日乾乾
'kai'er'dang'ming 开而当名
'kai'guo'cheng'jia 开国承家
'kan'bu'ying 坎不盈
'kan'gua'zhong 坎卦终
'kan'shang'dui'xia 坎上兑下
'kan'shang'gen'xia 坎上艮下
'kan'shang'kan'xia 坎上坎下
'kan'shang'li'xia 坎上离下
'kan'shang'qian'xia 坎上乾下
'kan'shang'xia'kun 坎上下坤
'kan'shang'xun'xia 坎上巽下
'kan'shang'zhen'xia 坎上震下
'kan'wei'er 坎为耳
'kan'wei'shi 坎为豕
'kan'wei'shui 坎为水
'kan'you'xian 坎有险
'kan'zai'suo'er'nan 坎再索而男
'kan'zhe'shui'ye 坎者水也
'kan'zhe'xian'ye 坎者陷也
'kan'zhi'shi'yong'da'yi'zai 坎之时用大矣哉
'kang'hou'yong'xi'ma'fan'shu 康侯用锡马蕃庶
'kang'long'you'hui 亢龙有悔
'kang'zhi'wei'yan'ye 亢之为言也
'kao'wu'jiu 考无咎
'ke'bu'shen'hu 可不慎乎
'ke'da'ze'xian'ren'zhi'ye 可大则贤人之业
'ke'gu'huo'ba 可鼓或罢
'ke'guan'er'hou'you'suo'he 可观而后有所合
'ke'jiu'ze'xian'ren'zhi'de 可久则贤人之德
'ke'xiao'shi 可小事
'ke'yi'wang'yi 可以王矣
'ke'yi'zheng'bang'ye 可以正邦也
'ke'yong'ji 可用汲
'ke'yong'xing'shi 可用行师
'ke'yu'cun'yi'ye 可与存义也
'ke'yu'ji'ye 可与几也
'ke'yu'you'shen'yi 可与佑神矣
'ke'zhe'he'ye 嗑者合也
'ke'zhen 可贞
'ke'zhen'wu'jiu 可贞无咎
'kong'zhi'fu'ye 恐致福也
'ku'jie 苦节
'ku'jie'bu'ke'zhen 苦节不可贞
'ku'jie'zhen'xiong 苦节贞凶
'ku'mu'wei'zhou 刳木为舟
'ku'yang'sheng'hua 枯杨生华
'ku'yang'sheng'ti 枯杨生稊
'kuan'yi'ju'zhi 宽以居之
'kuang'qi'er'hu'yan'chu'hu'shen 况其迩乎言出乎身
'kuang'qi'er'zhe'hu'ju'qi'shi 况其迩者乎居其室
'kuang'yu'gui'shen'hu 况於鬼神乎
'kui'gu 睽孤
'kui'gua'zhong 睽卦终
'kui'guan 窥观
'kui'guan'nv'zhen 窥观女贞
'kui'qi'hu 窥其户
'kui'ran'shi'ren'jian'yi 聩然示人简矣
'kui'wai'ye 睽外也
'kui'zhe'guai'ye 睽者乖也
'kui'zhi'shi'yong'da'yi'zai 睽之时用大矣哉
'kun'dao'cheng'nv 坤道成女
'kun'di'ye 坤地也
'kun'er'bu'shi'qi'suo 困而不失其所
'kun'gua'zhong 困卦终
'kun'gua'zhong 坤卦终
'kun'hou'zai'wu 坤厚载物
'kun'hu'shang'zhe 困乎上者
'kun'meng 困蒙
'kun'meng'zhi'lin 困蒙之吝
'kun'qi'dao'shun'hu 坤其道顺乎
'kun'rou 坤柔
'kun'shang'dui'xia 坤上兑下
'kun'shang'gen'xia 坤上艮下
'kun'shang'kan'xia 坤上坎下
'kun'shang'kun'xia 坤上坤下
'kun'shang'li'xia 坤上离下
'kun'shang'qian'xia 坤上乾下
'kun'shang'xun'xia 坤上巽下
'kun'shang'zhen'xia 坤上震下
'kun'wei'di 坤为地
'kun'wei'fu 坤为腹
'kun'wei'niu 坤为牛
'kun'ye'zhe'di'ye 坤也者地也
'kun'yi'cang'zhi 坤以藏之
'kun'yi'jian'neng 坤以简能
'kun'yin'wu'ye 坤阴物也
'kun'yu'chi'fu 困于赤绂
'kun'yu'ge'lei 困于葛藟
'kun'yu'jin'che 困于金车
'kun'yu'jiu'shi 困于酒食
'kun'yu'shi 困于石
'kun'zhi'ce 坤之策
'kun'zhi'rou 坤至柔
'kun'zuo'cheng'wu 坤作成物
'kuo'nang 括囊
'kuo'nang'wu'jiu 括囊无咎
'lai'dui 来兑
'lai'dui'zhi'xiong 来兑之凶
'lai'xu'xu 来徐徐
'lai'yu 来誉
'lai'zhang 来章
'lai'zhe'xin'ye 来者信也
'lai'zhi'kan'kan 来之坎坎
'lao'er'bu'fa 劳而不伐
'lao'fu'de'qi'nv'qi 老夫得其女妻
'lao'fu'de'shi'fu 老妇得士夫
'lao'fu'nv'qi 老夫女妻
'lao'fu'shi'fu 老妇士夫
'lao'gua'ye 劳卦也
'lao'hu'kan 劳乎坎
'lao'qian'jun'zi 劳谦君子
'le'tian'zhi'ming 乐天知命
'le'ze'xing'zhi 乐则行之
'lei'chu'di'fen 雷出地奋
'lei'di'yu 雷地豫
'lei'dian'he'er'zhang 雷电合而章
'lei'dian'jie'zhi 雷电皆至
'lei'dian'shi'ke 雷电噬嗑
'lei'feng 雷风
'lei'feng'bu'xiang'bei 雷风不相悖
'lei'feng'heng 雷风恒
'lei'feng'xiang'bo 雷风相薄
'lei'feng'xiang'yu 雷风相与
'lei'huo'feng 雷火丰
'lei'nou'zhi'li 耒耨之利
'lei'qi'jiao 羸其角
'lei'qi'ping 羸其瓶
'lei'shan'xiao'guo 雷山小过
'lei'shi'chi'zhu 羸豕踟躅
'lei'shui'jie 雷水解
'lei'tian'da'zhuang 雷天大壮
'lei'yi'dong'zhi 雷以动之
'lei'yu'zhi'dong'man'ying 雷雨之动满盈
'lei'yu'zuo 雷雨作
'lei'zai'di'zhong 雷在地中
'lei'zai'tian'shang 雷在天上
'lei'ze'gui'mei 雷泽归妹
'li'cai'zheng'ci 理财正辞
'li'cheng'qi'yi'wei'tian'xia'li 立成器以为天下利
'li'chu'fou 利出否
'li'di'zhi'dao 立地之道
'li'gua'zhong 离卦终
'li'ji 厉吉
'li'ji'wu'jiu 厉吉无咎
'li'jian'da'ren 利见大人
'li'jian'da'ren'heng 利见大人亨
'li'jian'hou 利建侯
'li'jian'hou'xing'shi 利建侯行师
'li'jian'zhen 利艰贞
'li'jian'zhen'ji 利艰贞吉
'li'ju'zhen 利居贞
'li'jun'zi'zhen 利君子贞
'li'nv'zhen 利女贞
'li'pin'ma'zhi'zhen 利牝马之贞
'li'qun'chou'ye 离群丑也
'li'ren'zhi'dao 立人之道
'li'shang 离上
'li'shang'dui'xia 离上兑下
'li'shang'gen'xia 离上艮下
'li'shang'kan'xia 离上坎下
'li'shang'kun'xia 离上坤下
'li'shang'li'xia 离上离下
'li'shang'qian'xia 离上乾下
'li'shang'xun'xia 离上巽下
'li'shang'zhen'xia 离上震下
'li'she'da'chuan 利涉大川
'li'wang'gong'ye 离王公也
'li'wei'huo 离为火
'li'wei'mu 离为目
'li'wei'zhi 离为雉
'li'wu 利物
'li'wu'jiu 厉无咎
'li'wu'ren'zhi'zhen 利武人之贞
'li'xi'nan 利西南
'li'xi'nan'de'peng 利西南得朋
'li'xin'wu'heng 立心勿恒
'li'xun'xin 厉薰心
'li'yan'gong 礼言恭
'li'ye 丽也
'li'ye'zhe 离也者
'li'yong'an'shen 利用安身
'li'yong'bin'yu'wang 利用宾于王
'li'yong'chu'ru 利用出入
'li'yong'heng 利用恒
'li'yong'heng'si 利用亨祀
'li'yong'ji'si 利用祭祀
'li'yong'qin'fa 利用侵伐
'li'yong'wei'da'zuo 利用为大作
'li'yong'wei'yi'qian'guo 利用为依迁国
'li'yong'xing'ren 利用刑人
'li'yong'xing'shi 利用行师
'li'yong'yu 利用狱
'li'yong'yu'kou 利用御寇
'li'yong'yu'ye 利用狱也
'li'yong'zhen 利永贞
'li'you'ren'zhi'zhen 利幽人之贞
'li'you'wang 利攸往
'li'you'you'wang 利有攸往
'li'yu'bu'xi'zhi'zhen 利于不息之贞
'li'yu'kou 利御寇
'li'zai'suo'er'de'nv 离再索而得女
'li'ze 丽泽
'li'zhe 利者
'li'zhe'li'ye 离者丽也
'li'zhen 利贞
'li'zhen'zhe 利贞者
'li'zhi'yan 利执言
'li'zhong'ji 厉终吉
'liang'ma'zhu 良马逐
'liang'yi'sheng'si'xiang 两仪生四象
'lie'gui'jian'zhe 列贵贱者
'lie'qi'yin 列其夤
'lin'dao'ye 吝道也
'lin'gua'zhong 临卦终
'lin'zhe'da'ye 临者大也
'liu'er 六二
'liu'er'zheng'xiong 六二征凶
'liu'er'zhi'dong 六二之动
'liu'er'zhi'ji 六二之吉
'liu'er'zhi'nan 六二之难
'liu'san 六三
'liu'si 六四
'liu'si'yuan'ji 六四元吉
'liu'wei'shi'cheng 六位时成
'liu'wu 六五
'liu'wu'yuan'ji 六五元吉
'liu'wu'zhen'ji 六五贞疾
'liu'wu'zhi'ji 六五之吉
'liu'yao'fa'hui 六爻发挥
'liu'yao'xiang'za 六爻相杂
'liu'yao'zhi'dong 六爻之动
'liu'yao'zhi'yi 六爻之义
'liu'zhe'fei'ta'ye 六者非它也
'long'de'er'yin'zhe'ye 龙德而隐者也
'long'de'er'zheng'zhong'zhe'ye 龙德而正中者也
'long'she'zhi'zhe 龙蛇之蛰
'luan'zhe 乱者
'luan'zhi'suo'sheng'ye 乱之所生也
'luo'chu'shu 洛出书
'lv'bu'chu'ye 履不处也
'lv'cuo'ran 履错然
'lv'cuo'zhi'jing 履错之敬
'lv'dao'tan'tan 履道坦坦
'lv'di'wei'er'bu'jiu 履帝位而不疚
'lv'er'tai 履而泰
'lv'er'wu'suo'rong 旅而无所容
'lv'fen'qi'ci 旅焚其次
'lv'gua'zhong 履卦终
'lv'gua'zhong 旅卦终
'lv'hu'wei 履虎尾
'lv'ji'ci 旅即次
'lv'qian 屡迁
'lv'ren'xian'xiao'hou'hao'tao 旅人先笑后号啕
'lv'shuang 履霜
'lv'shuang'jian'bing 履霜坚冰
'lv'shuang'jian'bing'zhi 履霜坚冰至
'lv'suo'suo 旅琐琐
'lv'xiao'mie'er 履校灭耳
'lv'xiao'mie'zhi 履校灭趾
'lv'xin'si'hu'shun 履信思乎顺
'lv'yu'chu 旅于处
'lv'zhen'ji 旅贞吉
'lv'zhen'ji'ye 旅贞吉也
'lv'zhi'shi'yi'da'yi'zai 旅之时义大矣哉
'ma'pi'wang 马匹亡
'man'cang'hui'dao 慢藏诲盗
'mao'tian'xia'zhi'dao 冒天下之道
'mei'zai'qi'zhong 美在其中
'mei'zhi'zhi'ye 美之至也
'meng'gua'zhong 蒙卦终
'meng'heng 蒙亨
'meng'yi'yang'zheng 蒙以养正
'meng'za'er'zhu 蒙杂而著
'meng'zhe'meng'ye 蒙者蒙也
'mi'fu 迷复
'mi'fu'zhi'xiong 迷复之凶
'mi'yun'bu'yu 密云不雨
'miao'neng'shi 眇能视
'miao'wan'wu'er'wei'yan'zhe'ye 妙万物而为言者也
'mie'zhen'xiong 蔑贞凶
'min'quan'yi'zai 民劝矣哉
'min'shuo'wu'jiang 民说无疆
'min'suo'zai'ye 民所载也
'min'wang'qi'lao 民忘其劳
'min'wang'qi'si 民忘其死
'min'xian'yong'zhi 民咸用之
'ming'bi'ru 名必辱
'ming'bian'xi'ye 明辨晰也
'ming'bu'ke'xi'ye 明不可息也
'ming'chu'di'shang 明出地上
'ming'gong'ye 明功也
'ming'he'zai'yin 鸣鹤在阴
'ming'liang'zuo'li 明两作离
'ming'qian 鸣谦
'ming'qian'zhen'ji 鸣谦贞吉
'ming'ru'di'zhong 明入地中
'ming'sheng 冥升
'ming'sheng'zai'shang 冥升在上
'ming'ye 明也
'ming'yi 明夷
'ming'yi'dong 明以动
'ming'yi'gua'zhong 明夷卦终
'ming'yi'yu'fei 明夷于飞
'ming'yi'yu'nan'shou 明夷于南狩
'ming'yi'zhu'ye 明夷诛也
'ming'yu 冥豫
'ming'yu 鸣豫
'ming'yu'tian'zhi'dao 明於天之道
'ming'yu'zai'shang 冥豫在上
'mo'da'hu'sheng'ren 莫大乎圣人
'mo'da'hu'shi'gui 莫大乎蓍龟
'mo'er'cheng'zhi 默而成之
'mo'han'hu'huo 莫熯乎火
'mo'ji'hu'feng 莫疾乎风
'mo'ji'hu'lei 莫疾乎雷
'mo'run'hu'shui 莫润乎水
'mo'sheng'hu'gen 莫盛乎艮
'mo'shuo'hu'ze 莫说乎泽
'mo'ye'you'rong 莫夜有戎
'mo'yi'zhi 莫益之
'mo'zhi'sheng'shuo 莫之胜说
'mo'zhi'yu 莫之与
'mu'dao'nai'xing 木道乃行
'mu'shang'you'huo 木上有火
'mu'shang'you'shui 木上有水
'na'fu'ji 纳妇吉
'na'yue'zi'you 纳约自牖
'nai'cong'wei'zhi 乃从维之
'nai'da'de'ye 乃大得也
'nai'de'zhong'ye 乃得中也
'nai'heng 乃亨
'nai'hua'bang'ye 乃化邦也
'nai'hua'cheng'tian'xia 乃化成天下
'nai'jian'tian'ze 乃见天则
'nai'li'zhen 乃利贞
'nai'luan'nai'cui 乃乱乃萃
'nai'shun'cheng'tian 乃顺承天
'nai'tong'tian 乃统天
'nai'wei'hu'tian'de 乃位乎天德
'nai'xu'you'shuo 乃徐有说
'nai'yi'gang'zhong'ye 乃以刚中也
'nai'ying'hu'tian'ye 乃应乎天也
'nai'yu'lei'xing 乃与类行
'nai'zhong'you'qing 乃终有庆
'nan'fang'zhi'gua'ye 南方之卦也
'nan'nv'gou'jing 男女构精
'nan'nv'kui 男女睽
'nan'nv'zheng 男女正
'nan'shou'zhi'zhi 南狩之志
'nan'xia'nv 男下女
'nan'ye 难也
'nan'zheng'ji 南征吉
'nan'zheng'wei'hu'wai 男正位乎外
'nei'jian'er'wai'shun 内健而外顺
'nei'jun'zi'er'wai'xiao'ren 内君子而外小人
'nei'nan'er'neng'zheng'qi'zhi 内难而能正其志
'nei'rou'er'wai'gang 内柔而外刚
'nei'wen'ming'er'wai'rou'shun 内文明而外柔顺
'nei'xi'zhi'ye 内喜之也
'nei'xiao'ren'er'wai'jun'zi 内小人而外君子
'nei'yang'er'wai'yin 内阳而外阴
'nei'yin'er'wai'yang 内阴而外阳
'neng'jiu'zhong'ye 能久中也
'neng'shuo'zhu'xin 能说诸心
'neng'yan'zhu'hou'zhi'lv 能研诸侯之虑
'neng'yi'zhong'zheng 能以众正
'neng'zhi'jian 能止健
'ni'yi'yi'cheng'qi'bian'hua 拟议以成其变化
'ni'zhi'er'hou'yan 拟之而后言
'niao'fen'qi'chao 鸟焚其巢
'nv'cheng'kuang'wu'shi 女承筐无实
'nv'gui'ji 女归吉
'nv'gui'ji'ye 女归吉也
'nv'zheng'wei'hu'nei 女正位乎内
'nv'zhuang 女壮
'nv'zi'zhen'bu'zi 女子贞不字
'pan'huan 磐桓
'pang'tong'qing'ye 旁通情也
'pang'xing'er'bu'liu 旁行而不流
'peng'cong'er'si 朋从尔思
'peng'he'zan 朋盍簪
'peng'lai'wu'jiu 朋来无咎
'peng'wang 朋亡
'peng'zhi'si'fu 朋至斯孚
'pi'hu'wei'zhi'qian 辟户谓之乾
'pi'tai'fan'qi'lei'ye 否泰反其类也
'pian'ci'ye 偏辞也
'pian'pian'bu'fu 翩翩不富
'pin'fu 频复
'pin'fu'zhi'li 频复之厉
'pin'ma'di'lei 牝马地类
'pin'wu'liu'xing 品物流形
'pin'wu'xian'heng 品物咸亨
'pin'wu'xian'zhang'ye 品物咸章也
'pin'xun 频巽
'pin'xun'zhi'lin 频巽之吝
'qi'bian'ming'ye 其辩明也
'qi'bu'ke'jian'hu 其不可见乎
'qi'cheng'ming'ye 其称名也
'qi'cheng'ming'ye'xiao 其称名也小
'qi'chou'ru'lan 其臭如兰
'qi'chu'nan'zhi 其初难知
'qi'chu'ru'yi'du 其出入以度
'qi'ci'can 其辞慙
'qi'ci'wen 其辞文
'qi'dang'yin'zhi'mo'shi 其当殷之末世
'qi'dao'da'guang 其道大光
'qi'dao'guang'ming 其道光明
'qi'dao'qiong'ye 其道穷也
'qi'dao'shang'xing 其道上行
'qi'dao'shen'da 其道甚大
'qi'dao'ye 妻道也
'qi'de'gang'jian'er'wen'ming 其德刚健而文明
'qi'de'xing'he'ye 其德行何也
'qi'dong'ye'pi 其动也辟
'qi'dong'ye'zhi 其动也直
'qi'fei'zheng'you'sheng 其匪正有眚
'qi'fu'qiong'ye 其孚穷也
'qi'gang'sheng'xie 其刚胜邪
'qi'gu'he'ye 其故何也
'qi'hu'xun 齐乎巽
'qi'hui'ji'ye 其晖吉也
'qi'hui'nai'wang 其悔乃亡
'qi'ji 其吉
'qi'jie'ruo 戚嗟若
'qi'jing'ye'xi 其静也翕
'qi'jing'ye'zhuan 其静也专
'qi'jiu'wei'jian 其究为健
'qi'jiu'wei'zao'gua 其究为躁卦
'qi'jun'zhi'mei 其君之袂
'qi'lai'fu'ji 其来复吉
'qi'li'duan'jin 其利断金
'qi'ming'luan'ye 其命乱也
'qi'niu'che 其牛掣
'qi'qi'ke'de'jian'xie 妻其可得见邪
'qi'qu'lei'ye'da 其取类也大
'qi'ren'tian'qie'yi 其人天且劓
'qi'ri'de 七日得
'qi'ri'lai'fu 七日来复
'qi'rou'wei 其柔危
'qi'ru 弃如
'qi'shan'bu'tong 其善不同
'qi'shang'yi'zhi 其上易知
'qi'shi'si'er'yin 其事肆而隐
'qi'shi'zai'zhong 其事在中
'qi'shou'ming'ye'ru'xiang 其受命也如向
'qi'shu'neng'yu'yu'ci 其孰能与於此
'qi'shu'neng'yu'yu'ci'zai 其孰能与於此哉
'qi'shuai'shi'zhi'yi'xie 其衰世之意邪
'qi'suo'you'lai'zhe'jian'yi 其所由来者渐矣
'qi'wang'qi'wang 其亡其亡
'qi'wei'gang 其位刚
'qi'wei'jun'zi'hu 其唯君子乎
'qi'wei'nai'guang'ye 其危乃光也
'qi'wei'sheng'ren'hu 其为圣人乎
'qi'wei'sheng'ren'hu 其唯圣人乎
'qi'wei'zai'zhong 其位在中
'qi'wen'bing'ye 其文炳也
'qi'wen'wei'ye 其文蔚也
'qi'wu'suo'shi'yi 其无所失矣
'qi'xiao'da'zhe 齐小大者
'qi'xin'bu'kuai 其心不快
'qi'xing'ci'qie 其行次且
'qi'xing'sai 其行塞
'qi'xing'wo 其形渥
'qi'xiong 起凶
'qi'xuan'yuan'ji 其旋元吉
'qi'xue'lian'ru 泣血涟如
'qi'xue'xuan'huang 其血玄黄
'qi'yan'qu'er'zhong 其言曲而中
'qi'yao'wu'jiu 其要无咎
'qi'ye'zhe 齐也者
'qi'yi'bu'kun'qiong'yi 其义不困穷矣
'qi'yi'fen'ye 其义焚也
'qi'yi'ji'ye 其义吉也
'qi'yi'ren'san'bai'hu 其邑人三百户
'qi'yi'sang'ye 其义丧也
'qi'yi'wu'fang 其益无方
'qi'yi'xiong'ye 其义凶也
'qi'yong'rou'zhong'ye 其用柔中也
'qi'yong'si'shi'you'jiu 其用四十有九
'qi'you'you'huan'hu 其有忧患乎
'qi'yu'di'ye 其於地也
'qi'yu'di'ye'wei'hei 其於地也为黑
'qi'yu'jia'ye 其於稼也
'qi'yu'ke'yong'wei'yi 其羽可用为仪
'qi'yu'ma'ye 其於马也
'qi'yu'mu'ye 其於木也
'qi'yu'ren'ye 其於人也
'qi'yu'yu'ye 其於舆也
'qi'yu'zhong'gu'hu 其於中古乎
'qi'yu'zhu'zhu 其欲逐逐
'qi'zhi 汔至
'qi'zhi'bu'tong'hang 其志不同行
'qi'zhi'bu'xiang'de 其志不相得
'qi'zhi'luan'ye 其志乱也
'qi'zhi'shen'zhi'suo'wei'hu 其知神之所为乎
'qi'zhi'yi'wei'jue'jing 汔至亦未繘井
'qi'zhi'yuan 其旨远
'qi'zi'he'zhi 其子和之
'qian'dao'bian'hua 乾道变化
'qian'dao'cheng'nan 乾道成男
'qian'dao'nai'ge 乾道乃革
'qian'fu 牵复
'qian'fu'zai'zhong 牵复在中
'qian'gang 乾刚
'qian'gua'zhong 乾卦终
'qian'gua'zhong 谦卦终
'qian'kun'cheng'lie 乾坤成列
'qian'kun'ding'yi 乾坤定矣
'qian'kun'hui 乾坤毁
'qian'kun'qi'yi'zhi'men'xie 乾坤其易之门邪
'qian'kun'qi'yi'zhi'yun'xie 乾坤其易之緼邪
'qian'long 潜龙
'qian'long'wu'yong 乾龙勿用
'qian'long'wu'yong 潜龙勿用
'qian'long'ye 乾龙也
'qian'qi'zhi'zhi 愆期之志
'qian'qian'jun'zi 谦谦君子
'qian'qian'wei'tian 乾乾为天
'qian'qing 谦轻
'qian'shang'dui'xia 乾上兑下
'qian'shang'gen'xia 乾上艮下
'qian'shang'kan'xia 乾上坎下
'qian'shang'kun'xia 乾上坤下
'qian'shang'li'xia 乾上离下
'qian'shang'qian'xia 乾上乾下
'qian'shang'xun'xia 乾上巽下
'qian'shang'zhen'xia 乾上震下
'qian'shi'neng'yi'mei'li'li'tian'xia 乾始能以美利利天下
'qian'tian'ye 乾天也
'qian'wei'ma 乾为马
'qian'wei'shou 乾为首
'qian'wei'tian 乾为天
'qian'xi'bei'zhi'gua'ye 乾西北之卦也
'qian'xing'ye 乾行也
'qian'yang'hui'wang 牵羊悔亡
'qian'yang'wu'ye 乾阳物也
'qian'ye'zhe 谦也者
'qian'yi'jun'zhi 乾以君之
'qian'yi'yi'zhi 乾以易知
'qian'yuan'yong'jiu 乾元用九
'qian'yuan'zhe 乾元者
'qian'zhi'ce 乾之策
'qian'zhi'da'shi 乾知大始
'qian'zhi'wei'yan'ye 潜之为言也
'qian'zun'er'guang 谦尊而光
'qie'jin'zai'ye 切近灾也
'qin'gua'lv'ye 亲寡旅也
'qin'zhu'hou 亲诸侯
'qing'fou 倾否
'qing'wei'xiang'gan'er'li'hai'sheng 情伪相感而利害生
'qiong'da'zhe'bi'shi'qi'ju 穷大者必失其居
'qiong'er'tong 穷而通
'qiong'li'jin'xing 穷理尽性
'qiong'shen'zhi'hua 穷神知化
'qiong'zhi'zai'ye 穷之灾也
'qiu'er'wang 求而往
'qiu'hun'gou 求婚媾
'qiu'wang'ming 求王明
'qiu'xiao'de 求小得
'qu'cheng'wan'wu'er'bu'yi 曲成万物而不遗
'qu'nv'ji 取女吉
'qu'nv'ji'ye 取女吉也
'qu'qi'wu'ren 阒其无人
'qu'ti'chu 去逖出
'qu'xin'xiang'gan'er'li'sheng'yan 屈信相感而利生焉
'que'hu'qi'bu'ke'ba 确乎其不可拔
'que'ran'shi'ren'yi'yi 确然示人易矣
'qun'yi'wang'ye 群疑亡也
'ran'hou'an 然后安
'ran'hou'li'yi'you'suo'cuo 然后礼仪有所错
'ran'hou'neng'bian'hua 然后能变化
'ran'hou'wan'wu'sheng'yan 然后万物生焉
'ran'hou'you'fu'fu 然后有夫妇
'ran'hou'you'fu'zi 然后有父子
'ran'hou'you'nan'nv 然后有男女
'ran'hou'you'shang'xia 然后有上下
'ran'hou'you'wan'wu 然后有万物
'ran'ze'sheng'ren'zhi'yi 然则圣人之意
'rao'wan'wu'zhe 桡万物者
'ren'dao'e'ying'er'hao'qian 人道恶盈而好谦
'ren'mou'gui'mou 人谋鬼谋
'ren'wen'ye 人文也
'ren'yi'xing'zhi 仁以行之
'ren'zhe'jian'zhi'wei'zhi'ren 仁者见之谓之仁
