'a'duo'na'er 阿多纳尔
'ma'ku'si'wei'lian'mu'si 马库斯威廉姆斯
'ma'ku'si'wen'ni'xi'si 马库斯文尼西斯
'ma'kui'si'dan'ni'er'si 马奎斯丹尼尔斯
'ma'li'ang 马里昂
'ma'li'ao'wei'si'te 马里奥韦斯特
'ma'li'ke'a'lun 马里克阿伦
'ma'li'ke'luo'si 马里克罗斯
'ma'nu'ji'nuo'bi'li 马努吉诺比利
'ma'shao'er 马绍尔
'ma'te'ba'en'si 马特巴恩斯
'ma'te'ba'nei'si 马特巴内斯
'ma'te'bang'na 马特邦纳
'ma'te'bo'na'er 马特博纳尔
'ma'te'er'wei'bo'si'te 马特尔韦伯斯特
'ma'te'ha'pu'lin 马特哈普林
'ma'te'ha'pu'ling 马特哈普灵
'ma'te'ka'luo 马特卡洛
'ma'te'ka'luo'er 马特卡罗尔
'ma'wen'wei'lian'mu'si 马文威廉姆斯
'ma'xi'ao'ba'si'dun 马西奥巴斯顿
'ma'xi'ye'lan'pei 马西耶兰佩
'mai'a'mi're 迈阿密热
'mai'a'mi're'huo 迈阿密热火
'mai'di 麦蒂
'mai'di'xun'guang'chang 麦迪逊广场
'mai'di'xun'guang'chang'hua'yuan 麦迪逊广场花园
'mai'er'si 迈尔斯
'mai'ge'lei'di 麦格雷迪
'mai'ge'rui'di 麦葛瑞迪
'mai'jin'ni'si 麦金尼斯
'mai'ka'bu'lan'di 麦卡布兰迪
'mai'ka'di 迈卡蒂
'mai'ke'bi'bi 迈克毕比
'mai'ke'bi'bi 麦克毕比
'mai'ke'dai'si 麦克戴斯
'mai'ke'deng'li'wei 迈克邓利维
'mai'ke'deng'li'wei 麦克邓利维
'mai'ke'er'ao'luo'wo'kan'di 迈克尔奥洛沃坎迪
'mai'ke'er'bi'si'li 迈克尔比斯利
'mai'ke'er'duo'lie'ya'ke 迈克尔多列亚克
'mai'ke'er'fen'li 迈克尔芬利
'mai'ke'er'ji'la'ba'le 迈克尔吉拉巴勒
'mai'ke'er'li'de 迈克尔里德
'mai'ke'er'pi'te'lu'si 迈克尔皮特鲁斯
'mai'ke'er'qiao'dan 迈克尔乔丹
'mai'ke'er'si'wei'te'ni 迈克尔斯维特尼
'mai'ke'ge'lei'di 麦克格雷迪
'mai'ke'ha'li'si 迈克哈里斯
'mai'ke'hai'er 麦克海尔
'mai'ke'kang'li 迈克康利
'mai'ke'kang'li 麦克康利
'mai'ke'kui'er 麦克奎尔
'mai'ke'li'ao'de 迈克里奥德
'mai'ke'lu'fen 迈克鲁芬
'mai'ke'luo'bo'ci 麦克罗伯茨
'mai'ke'mi'le 迈克米勒
'mai'ke'mi'le 麦克米勒
'mai'ke'tai'le 迈克泰勒
'mai'ke'tu'ke 麦克图科
'mai'ke'wei'er'jin'si 迈克威尔金斯
'mai'ke'wei'er'ke'si 麦克维尔克斯
'mai'ke'zhan'mu'si 迈克詹姆斯
'mai'ke'zhan'mu'si 麦克詹姆斯
'mai'ken'ci 麦肯茨
'man'lei'sha 曼雷沙
'man'nu'ji'nuo'bi'li 曼努吉诺比利
'mei'ao 梅奥
'mei'dao'de 没道德
'mei'er'wen'ai'li 梅尔文埃里
'mei'er'wen'ai'li 梅尔文埃利
'mei'gui'hua'yuan'qiu'guan 玫瑰花园球馆
'mei'guo'da'lu'lan'qiu'xie'hui 美国大陆篮球协会
'mei'guo'da'xue'sheng'yun'dong'xie'hui 美国大学生运动协会
'mei'guo'da'xue'yun'dong'xie'hui 美国大学运动协会
'mei'guo'gao'zhong'lan'qiu'lian'sai 美国高中篮球联赛
'mei'guo'guo'jia'lan'qiu'lian'meng 美国国家篮球联盟
'mei'guo'guo'jia'lan'qiu'xie'hui 美国国家篮球协会
'mei'guo'hang'kong'zhong'xin 美国航空中心
'mei'guo'hang'kong'zhong'xin'qiu'chang 美国航空中心球场
'mei'guo'lan'qiu'xie'hui 美国篮球协会
'mei'guo'ye'yu'lan'qiu'lian'meng 美国业余篮球联盟
'mei'guo'zhi'lan'lian'meng 美国职篮联盟
'mei'guo'zhi'ye'lan'qiu'lian'meng 美国职业篮球联盟
'mei'hang'qiu'guan 美航球馆
'mei'mi'te 梅米特
'mei'mi'te'ao'ku 梅米特奥库
'mei'nuo'ka 梅诺卡
'mei'sen 梅森
'mei'xi'qiu'guan 美西球馆
'mei'zhou'lan'qiu'lian'he'hui 美洲篮球联合会
'mei'zhou'lian'meng'bei 美洲联盟杯
'mei'zhou'lian'sai 美洲联赛
'mei'zhou'nan'lan'jin'biao'sai 美洲男篮锦标赛
'men'wei 门维
'meng'da 孟达
'meng'duo 孟铎
'meng'fei'si'hui'xiong 孟菲斯灰熊
'meng'fei'si'hui'xiong'dui 孟菲斯灰熊队
'meng'long 猛龙
'meng'ta'ai'li'si 蒙塔埃利斯
'meng'ta'yi'li'si 孟塔伊利斯
'meng'te'ge'la'na'luo 蒙特格拉纳罗
'mi'er'sa'pu 米尔萨普
'mi'er'te'pa'le'xi'ao 米尔特帕勒西奥
'mi'er'wo'ji'xiong'lu 密尔沃基雄鹿
'mi'ji 米基
'mi'ji'mo'er 米基莫尔
'mi'lan'a'ma'ni 米兰阿玛尼
'mi'le 米勒
'mi'li'xi'qi 米里西奇
'mi'li'xi'qi 米利西奇
'mi'mu 米姆
'ming'ni'su'da'hu'ren 明尼苏达湖人
'ming'ni'su'da'sen'lin'lang 明尼苏达森林狼
'ming'ni'su'da'sen'lin'lang'dui 明尼苏达森林狼队
'ming'ren'tang 名人堂
'ming'zhong'lv 命中率
'miu'shou'shou 缪寿守
'mo'bu'li 莫布里
'mo'ke 莫科
'mo'li'sen 莫里森
'mo'li'si'a'er'meng'de 莫里斯阿尔蒙德
'mo'li'si'ai'ge'er 莫里斯艾格尔
'mo'li'si'ai'wen'si 莫里斯艾文斯
'mo'li'si'ai'wen'si 莫里斯埃文斯
'mo'li'si'pi'te'sen 莫里斯皮特森
'mo'li'si'tai'le 莫里斯泰勒
'mo'li'si'wei'lian'mu'si 莫里斯威廉姆斯
'mo'nei'te 莫内特
'mo'ning 莫宁
'mo'rui'si'wei'lian'mu'si 莫瑞斯威廉姆斯
'mo'shu 魔术
'mo'shu'shi'yue'han'xun 魔术师约翰逊
'mo'xi'ma'long 摩西马龙
'mu'ben'jia 姆本加
'mu'en 穆恩
'mu'er'xi'ya 穆尔西亚
'mu'la'ti'a'di'li'jiang 木拉提阿地里江
'mu'lei 穆雷
'mu'lu 牡鹿
'mu'peng'jia 姆鹏加
'mu'si'ta'fa'sha'ku'er 穆斯塔法沙库尔
'mu'tie'zhu 穆铁柱
'mu'tuo'mu'bo 穆托姆博
'na'bu'le'si'ka'pi'sa 那不勒斯卡皮萨
'na'hu'la 纳胡拉
'na'ke'ba 纳克巴
'na'shi 纳什
'na'wa'luo 纳瓦罗
'na'zi'er'mo'han'mo'de 纳兹尔莫罕默德
'nan'gang 南钢
'nan'lan'shi'jin'sai 男篮世锦赛
'nei'nei 内内
'nei'si'te'luo'wei'qi 内斯特洛维奇
'nei'te 内特
'nei'te'luo'bin'xun 内特罗宾逊
'nei'wai'jie'he 内外结合
'nei'xian 内线
'ni'er'sen 尼尔森
'ni'gu'la'si'ba'tu'mu 尼古拉斯巴图姆
'ni'ke'fan'ai'ke'sai'er 尼克范埃克塞尔
'ni'ke'fei'zi'ka'si 尼克费兹卡斯
'ni'ke'ke'li'sen 尼克科里森
'ni'ke'si 尼克斯
'ni'ke'yang 尼克扬
'ni'mu'bo'ke 尼姆波克
'nie'dun 涅顿
'niu'bei'er 纽贝尔
'niu'yue'ni'ke'si 纽约尼克斯
'nuo'a 诺阿
'nuo'er'fa'li'ke'si 诺尔法利克斯
'nuo'wei'ci'ji 诺维茨基
'nuo'xi'ao'ni 诺西奥尼
'nv'lan'shi'jin'sai 女篮世锦赛
'ou'wen'si 欧文斯
'ou'zhou'lan'qiu'lian'he'hui 欧洲篮球联合会
'ou'zhou'lian'sai 欧洲联赛
'ou'zhou'nan'lan'jin'biao'sai 欧洲男篮锦标赛
'pa'chu'li'ya 帕楚里亚
'pa'chu'li'ya 帕楚利亚
'pa'de'bo'en 帕德博恩
'pa'fu'luo'wei'qi 帕夫洛维奇
'pa'jin'si 帕金斯
'pa'ke 帕克
'pa'le'xi'ao 帕勒西奥
'pa'te'bo'ke 帕特伯克
'pa'te'jia'li'di 帕特加里蒂
'pa'te'li'ke'ao'bu'lai'en'te 帕特里克奥布莱恩特
'pa'te'li'ke'ao'bu'lai'en'te 帕特里克奥布赖恩特
'pa'te'li'ke'you'yin 帕特里克尤因
'pa'te'sen 帕特森
'pan'jiang 潘江
'pan'nei'li'ni'ao'si 潘内利尼奥斯
'pan'ni'ao'ni'ao'si 潘尼奥尼奥斯
'pan'ni'zhe'dui 叛逆者队
'pan'pan 盼盼
'pan'pan'dui 盼盼队
'pao'hong 跑轰
'pao'hong'xuan'feng 炮轰旋风
'pei'dun 佩顿
'pei'jia'si'tuo'jia'ke'wei'qi 佩贾斯托贾科维奇
'pei'luo'wei'qi 佩洛维奇
'pei'luo'wei'qi 佩罗维奇
'pei'pu'suo'wu 佩普索乌
'pei'qie'luo'fu 佩切洛夫
'pei'te'luo 佩特罗
'peng'fei 彭飞
'pi'er'si 皮尔斯
'pi'peng 皮蓬
'pi'te 皮特
'pi'te'lu'si 皮特鲁斯
'pi'te'sen 皮特森
'pi'ya'kao'si'ji 皮亚考斯基
'pi'zi'bao'tie'ren 匹兹保铁人
'pi'zi'bao'tie'ren'dui 匹兹保铁人队
'pu'lai'si 普莱斯
'pu'lei'si'te 普雷斯特
'pu'li'ci'bi'la 普里茨比拉
'pu'li'mo'zi 普里莫兹
'pu'li'mo'zi'bu'lei'ze'ke 普里莫兹布雷泽克
'pu'lin'si 普林斯
'pu'lin'si'dun'da'fa 普林斯顿打发
'pu'lin'si'dun'ti'xi 普林斯顿体系
'pu'lu'yi'te 普鲁伊特
'pu'luo'wei'deng'si'zheng'qi 普罗维登斯蒸气
'pu'luo'wei'deng'si'zheng'qi'dui 普罗维登斯蒸气队
'pu'tao'ya'ao'wa'lun'si'hang'kong 葡萄牙奥瓦伦斯航空
'pu'zi'bi'la 普兹比拉
'qi'cai 奇才
'qi'ke'sa'mu'bu 奇克萨姆布
'qi'liu'ren 七六人
'qi'liu'ren'dui 七六人队
'qi'shi 骑士
'qi'shi'liu'ren 七十六人
'qi'shi'liu'ren'dui 七十六人队
'qian'chang 前场
'qian'cheng'hai 钱澄海
'qian'de'le 钱德勒
'qian'ning'fu'lai 钱宁弗莱
'qiang'duan 抢断
'qiang'duan'wang 抢断王
'qiang'li'guan'lan 强力灌篮
'qiang'li'zhong'feng 强力中锋
'qiao'an'dong'ni 乔安东尼
'qiao'dan 乔丹
'qiao'dan'fa'ma'er 乔丹法玛尔
'qiao'er'an'dong'ni 乔尔安东尼
'qiao'er'pu'li'ci'bi'la 乔尔普里茨比拉
'qiao'jin 乔金
'qiao'jin'nuo'a 乔金诺阿
'qiao'ke'lao'fu'de 乔克劳福德
'qiao'shen'chai'de'li'si 乔什柴德里斯
'qiao'shen'huo'hua'de 乔什霍华德
'qiao'shen'mai'ke'luo'bo'ci 乔什麦克罗伯茨
'qiao'shen'shi'mi'si 乔什史密斯
'qiao'shi'mi'si 乔史密斯
'qiao'si'ba'rui'er 乔斯巴瑞尔
'qiao'ya'li'shan'da 乔亚历山大
'qiao'yi'duo'xi 乔伊多西
'qiao'yi'ge'la'han'mu 乔伊格拉汉姆
'qiao'yi'nuo 乔伊诺
'qiao'yue'han'xun 乔约翰逊
'qiao'zhi 乔治
'qiao'zhi'ge'wen 乔治格温
'qiao'zhi'jia'ba'you'sa 乔治贾巴尤萨
'qiao'zhi'mai'ken 乔治迈肯
'qiao'zhi'xi'er 乔治希尔
'qie'ru 切入
'qin'peng 秦鹏
'qing'dao'shuang'xing 青岛双星
'qiong'si 琼斯
'qiu'bi'xu'chu'ji'lan'kuang 球必须触及篮框
'qiu'biao 邱彪
'qiu'chu'jie 球出界
'qiu'chu'jie'xian 球出界线
'qiu'dui'fan'gui 球队犯规
'qiu'dui'ji'xiang'wu 球队吉祥物
'qiu'dui'jing'li 球队经理
'qiu'dui'qiu'yuan 球队球员
'qiu'dui'xun'lian'yuan 球队训练员
'qu'shao'bin 曲绍斌
'qu'yu'fang'shou 区域防守
'qu'yu'lian'fang 区域联防
'qu'zhu'chu'chang 驱逐出场
'quan'chang'bi'sai 全场比赛
'quan'chang'jin'bi 全场紧逼
'quan'mei'di'yi'dui 全美第一队
'quan'mei'lan'xie'hui 全美篮协会
'quan'ming'xing'sai 全明星赛
'quan'shi'zan'ting 全时暂停
'quan'ti'hou'bei'qiu'yuan 全体后备球员
'quan'ti'ti'huan'qiu'yuan 全体替换球员
'quan'ti'xian'fa'qiu'yuan 全体先发球员
'quan'ti'zhi'chi'qiu'yuan 全体支持球员
're'huo 热火
'ren'ding'ren'fang'shou 人盯人防守
'rong'gang 荣钢
'rui'an'bo'wen 瑞安勃文
'rui'le'ma'shao'er 瑞乐马绍尔
'rui'shi'ao'lin'bei'na'tong 瑞士奥林贝纳通
'sa'bo'sai'fu'luo'sa 萨博塞福罗萨
'sa'er'meng'si 萨尔蒙斯
'sa'ge'le'bu'xi'bo'na 萨格勒布希波纳
'sa'ke'la'men'tuo'guo'wang 萨克拉门托国王
'sa'ke'la'men'tuo'guo'wang'dui 萨克拉门托国王队
'sa'ma'ji 萨马基
'sa'miu'er'dai'le'mu'bo'te 萨缪尔戴勒姆波特
'sa'mu'bu 萨姆布
'sa'mu'ka'sai'er 萨姆卡塞尔
'sa'mu'qiong'si 萨姆琼斯
'sa'sha'wu'jia'ji'ci 萨沙乌贾基茨
'sai'ba'si'di'an'te'er'fei'er 塞巴斯蒂安特尔费尔
'sai'cheng 赛程
'sai'de'li'ke'xi'meng'si 塞德里克西蒙斯
'sai'er'ji'ao'luo'de'li'ge'si 塞尔吉奥罗德里格斯
'sai'er'ti'ke 塞尔提克
'sai'er'wei'ya'hai'mo'fa'er'mu 塞尔维亚海默法尔姆
'sai'er'wei'ya'ze'lei'qi'ni'ke 塞尔维亚泽雷齐尼克
'sai'er'xi'ni 塞尔希尼
'sai'fu'luo'sa 塞福罗萨
'sai'nei 塞内
'sai'sa'luo'ni'ka'a'li'si 塞萨洛尼卡阿里斯
'sai'shen'si 塞申斯
'san'bu'shang'lan 三步上篮
'san'bu'zhan 三不沾
'san'fen'da'sai 三分大赛
'san'fen'qiu 三分球
'san'fen'qiu'ming'zhong'lv 三分球命中率
'san'fen'she'shou 三分射手
'san'fen'xian 三分线
'san'hao'wei'zhi'qiu'yuan 三号位置球员
'san'jiao'jin'gong 三角进攻
'san'jiao'zhan'shu 三角战术
'san'miao'qu 三秒区
'san'miao'wei'li 三秒违例
'san'ren'bao'jia 三人包夹
'san'shuang 三双
'sang'jia'la 桑贾拉
'sang'pu'sen 桑普森
'sen'lin'lang 森林狼
'sen'shi'mi'si 森史密斯
'sha'en'ba'di'er 沙恩巴蒂尔
'sha'fu'li'ke'lan'duo'fu 沙福里克兰多夫
'sha'kui'er 沙奎尔
'sha'kui'er'ao'ni'er 沙奎尔奥尼尔
'sha'li'mu 沙里姆
'sha'li'mu'si'ta'de'mai'er 沙里姆斯塔德迈尔
'shan'dong'huang'jin 山东黄金
'shan'dun'an'de'sen 山顿安德森
'shan'mao 山猫
'shan'xi'dong'sheng 陕西东盛
'shan'xi'han'si 陕西汉斯
'shan'xi'han'si'dui 陕西汉斯队
'shan'xi'qi'lin 陕西麒麟
'shan'xi'qi'lin'dui 陕西麒麟队
'shan'xi'ya'lv'lian'meng 陕西亚旅联盟
'shan'xi'zhong'yu 山西中宇
'shan'xi'zhong'yu'dui 山西中宇队
'shang'ban'chang 上半场
'shang'hai'da'sha'yu 上海大鲨鱼
'shang'hai'dong'fang 上海东方
'shang'hai'hui'zhong'dui 上海汇中队
'shang'hai'xi'yang 上海西洋
'shang'lan 上篮
'shao'lai 绍莱
'shao'tian'gang 邵天罡
'sheng'an'dong'ni'ao'ma'ci 圣安东尼奥马刺
'sheng'an'dong'ni'ao'ma'ci'dui 圣安东尼奥马刺队
'sheng'chang'chang'shu 胜场场数
'sheng'lu'yi'si'hong'zha'ji 圣路易斯轰炸机
'sheng'lu'yi'si'hong'zha'ji'dui 圣路易斯轰炸机队
'shi'bing'bing 施冰兵
'shi'di'fen'bu'lei'ke 史蒂芬布雷克
'shi'di'fen'jie'ke'xun 史蒂芬杰克逊
'shi'di'fu'bu'lai'ke 史蒂夫布莱克
'shi'di'fu'fu'lang'xi'si 史蒂夫弗朗西斯
'shi'di'fu'heng'te 史蒂夫亨特
'shi'di'fu'na'shi 史蒂夫纳什
'shi'di'fu'nuo'wa'ke 史蒂夫诺瓦克
'shi'di'wen'heng'te 史蒂文亨特
'shi'di'wen'sen 史蒂文森
'shi'jian'zhi'sheng'xia 时间只剩下
'shi'jian'zhong'liao 时间终了
'shi'mi'si 史密斯
'shi'wu 失误
'shi'xian'zhong 时限钟
'shou'gang 首钢
'shou'lun'bi'sai 首轮比赛
'shuang'fang'jun'chi'qiu'bu'fang 双方均持球不放
'shuang'fang'zheng'duo'lan'ban'qiu 双方争夺篮板球
'shuang'lu'dian'chi 双鹿电池
'shuang'lu'dian'chi'dui 双鹿电池队
'shuang'xing 双星
'shui'wu'zhong'xin 水屋中心
'shui'wu'zhong'xin'ti'yu'guan 水屋中心体育馆
'shun'wei 顺位
'si'ban'se 斯班瑟
'si'ban'se'hao'ye'si 斯班瑟豪耶斯
'si'bin'sai'huo'yi'si 斯宾塞霍伊斯
'si'di'fa'ni'la'si'mu 斯蒂法尼拉斯姆
'si'di'fen'ge'la'han'mu 斯蒂芬格拉汉姆
'si'di'fen'jie'ke'xun 斯蒂芬杰克逊
'si'di'fen'ma'bu'li 斯蒂芬马布里
'si'di'fu'nuo'wa'ke 斯蒂夫诺瓦克
'si'hao'wei'zhi'qiu'yuan 四号位置球员
'si'ji'na 斯基纳
'si'ka'fa'di 斯卡法蒂
'si'ka'la'bu'lai'en 斯卡拉布赖恩
'si'ka'wo'li'ni 斯卡沃里尼
'si'ke'la 斯科拉
'si'ke'te'bo'la'de 斯科特波拉德
'si'la'si'ke 斯拉斯克
'si'ma'shen 斯马什
'si'ma'shen'pa'ke 斯马什帕克
'si'mi'en 斯弥恩
'si'nai'de 斯奈德
'si'nuo 斯诺
'si'pi'di 斯皮蒂
'si'pi'di'ke'la'ke'si'dun 斯皮蒂克拉克斯顿
'si'qiu 死球
'si'shuang 四双
'si'ta'de'mai'er 斯塔德迈尔
'si'ta'ji 斯塔基
'si'ta'ke'hao'si 斯塔克豪斯
'si'tai'pu'si 斯台普斯
'si'tai'pu'si'qiu'guan 斯台普斯球馆
'si'tan'de'mai'er 斯坦德迈尔
'si'te'lei 斯特雷
'si'te'luo'bei'li 斯特罗贝里
'si'te'luo'mai'er 斯特罗迈尔
'si'te'luo'mai'er'si'wei'fu'te 斯特罗迈尔斯威夫特
'si'tuo'jia'ke'wei'qi 斯托贾科维奇
'si'tuo'ke'dun 斯托克顿
'si'wei'fu'te 斯威夫特
'si'wei'fu'te 斯威福特
'si'wei'te'ni 斯维特尼
'si'ze'bi'ya'ke 斯泽比亚克
'song'kang'ming 宋康明
'song'tao 宋涛
'su'wei 苏伟
'sui'jian'guo 隋建国
'sui'ran 睢冉
'sui'xiao'long 隋晓龙
'sun'chun'lei 孙春磊
'sun'feng'wu 孙凤武
'sun'jie 孙杰
'sun'tian'nong 孙天农
'sun'yue 孙悦
'sun'zhong'cheng 孙忠诚
'suo'dun 索顿
'suo'en'he'pan'sha'long 索恩河畔沙隆
'suo'luo'men'qiong'si 所罗门琼斯
'suo'luo'meng'qiong'si 索洛蒙琼斯
'suo'meng'si 索蒙斯
'ta'du'si 塔杜斯
'ta'du'si'yang 塔杜斯扬
'ta'ke 塔克
'ta'shi'mi'si 塔史密斯
'tai'la'mo'na'wei'ge 泰拉莫纳维格
'tai'le 泰勒
'tai'long'lu 泰龙鲁
'tai'ping'yang'qu 太平洋区
'tai'rui'si 泰瑞斯
'tai'rui'si'tuo'ma'si 泰瑞斯托马斯
'tai'sen'qian'de'le 泰森钱德勒
'tai'xia'an 泰夏安
'tai'xia'an'pu'lin'si 泰夏安普林斯
'tai'yang 太阳
'tan'hua'xiu 探花秀
'tang'hai 唐海
'tang'mi'shi'mi'si 汤米史密斯
'tang'ni'er 唐尼尔
'tang'ni'er'ma'shao'er 唐尼尔马绍尔
'tang'ye'er'ma'shao'er 唐耶尔马绍尔
'tang'zheng'dong 唐正东
'tao'rui'en 陶瑞恩
'tao'rui'en'ge'lin 陶瑞恩格林
'tao'tao 陶涛
'te'er'fei'er 特尔费尔
'te'ke'ge'lu 特克格鲁
'te'ke'ge'lu 特科格鲁
'te'la'wei'si 特拉维斯
'te'la'wei'si'ao'te'lao 特拉维斯奥特劳
'te'la'wei'si'di'an'na 特拉维斯迪安纳
'te'lan'dun 特兰顿
'te'lan'dun'ha'sai'er 特兰顿哈塞尔
'te'lei'wei'suo'bei'na'tong 特雷维索贝纳通
'te'lei'wo 特雷沃
'te'lei'wo'a'li'zha 特雷沃阿里扎
'te'lei'xi'mai'ge'lei'di 特雷西麦格雷迪
'te'lei'xi'mai'ke'ge'lei'di 特雷西麦克格雷迪
'te'li 特里
'te'li'er'huo'er'zuo'ge'dian'xin 特里尔霍尔佐格电信
'te'lun'dun'ha'sai'er 特伦顿哈塞尔
'te'lun'si'ken'sai 特伦斯肯塞
'te'luo'yi'ha'de'sen 特罗伊哈德森
'te'luo'yi'mo'fei 特罗伊墨菲
'ti'bu'qiu'yuan 替补球员
'ti'huan'qiu'yuan 替换球员
'ti'neng'jiao'lian 体能教练
'tian'chao 田超
'tian'gou 天沟
'tian'jin'rong'gang 天津荣钢
'tiao'qiu 跳球
'tiao'tou 跳投
'ting'sai 停赛
'ting'si'li 汀斯利
'ting'zhi'chu'sai 停止出赛
'tong'gang 通钢
'tong'gang'dui 通钢队
'tou'lan'de'fen 投篮得分
'tou'lan'wai'kong'xin'qiu 投篮外空心球
'tou'qiu'ming'zhong 投球命中
'tou'qiu'ming'zhong'lv 投球命中率
'tou'shou 投手
'tu'er'qi'bei'xi'ke'ta'si 土耳其贝西克塔斯
'tu'er'qi'dian'xin 土耳其电信
'tu'fen 突分
'tu'li'ya'fu 图里亚夫
'tu'luo'fu 图罗夫
'tu'po 突破
'tui'yi'qiu'yuan 退役球员
'tuo'ma'si 托马斯
'tuo'ma'si'jia'de'na 托马斯加德纳
'tuo'mi'qi 托米奇
'tuo'ni'a'lun 托尼阿伦
'tuo'ni'ba'di 托尼巴蒂
'tuo'ni'de'er'ke 托尼德尔克
'tuo'ni'pa'ke 托尼帕克
'tuo'qiu'ru'lan 托球入篮
'tuo'qiu'shang'lan 托球上篮
'wa'fu 瓦夫
'wa'lai'qiao 瓦莱乔
'wa'lei'ze 瓦雷泽
'wa'li'ke 瓦里克
'wa'lun'xi'ya'pa'mei'sa 瓦伦西亚帕梅萨
'wa'si'li'si 瓦斯里斯
'wa'si'li'si'si'pan'nuo'li'si 瓦斯里斯斯潘诺里斯
'wai'xian 外线
'wan'ma 万马
'wan'ma'dian'lan'dui 万马电缆队
'wang'bin 王斌
'wang'bo 王博
'wang'da'yong 王大勇
'wang'fei 王飞
'wang'hao 王浩
'wang'lei 王磊
'wang'li'bin 王立彬
'wang'li'gang 王立刚
'wang'shi'long 王世龙
'wang'shi'peng 王仕鹏
'wang'xin'kai 王信凯
'wang'yi'hang 汪义航
'wang'yong 王勇
'wang'zheng 王征
'wang'zhi'zhi 王治郅
'wang'zhong'guang 王中光
'wei'bo 韦伯
'wei'bo'si'te 韦伯斯特
'wei'de 韦德
'wei'duo'li'ya'tao 维多利亚陶
'wei'er'bai'mu 维尔拜姆
'wei'er'bai'na'mu 威尔拜纳姆
'wei'er'fu'rui'si'bei 威尔弗瑞斯贝
'wei'er'jin'si 威尔金斯
'wei'er'kao'ke'si 韦尔考克斯
'wei'er'kao'ke'si 威尔考克斯
'wei'er'sen'qian'de'le 威尔森钱德勒
'wei'er'si 威尔斯
'wei'er'te'zhang'bo'lun 威尔特张伯伦
'wei'er'xun'qian'de'le 威尔逊钱德勒
'wei'guang 伟光
'wei'ke'dun'wa'fu 维克顿瓦夫
'wei'ke'duo'ka'ya'pa 维克多卡亚帕
'wei'la'niu'wa 维拉纽瓦
'wei'lan'niu'wa 维兰纽瓦
'wei'li 违例
'wei'li'ge'lin 威利格林
'wei'li'si'li'de 威利斯里德
'wei'lian'mu'si 威廉姆斯
'wei'ming'liang 魏明亮
'wei'ni'si'mi'en 维尼斯弥恩
'wei'si'li 韦斯利
'wei'si'te 韦斯特
'wei'ta'li'bo'ta'pan'ke 维塔利波塔潘科
'wen'bei'ke 文贝克
'wen'ni'xi'si 文尼西斯
'wen'si'bi'er'si 文斯比尔斯
'wen'si'ka'te 文斯卡特
'wo'dun 沃顿
'wo'en 沃恩
'wo'er'te'fu'lei'ze 沃尔特弗雷泽
'wo'er'te'he'er'man 沃尔特赫尔曼
'wo'er'te'mai'ka'di 沃尔特迈卡蒂
'wo'fu'er 沃弗尔
'wo'ke 沃克
'wo'li'si'ze'bi'ya'ke 沃利斯泽比亚克
'wo'shi'lai'na'de 沃什莱纳德
'wo'si'ku'er 沃斯库尔
'wo'te'jin'si 沃特金斯
'wo'te'sen 沃特森
'wo'xi 沃西
'wu'di'nei'si'nai'de'luo 乌迪内斯奈德罗
'wu'du'ka 乌度卡
'wu'du'ni'si 乌杜尼斯
'wu'du'ni'si'ha'si'le'mu 乌杜尼斯哈斯勒姆
'wu'er'mu'yi'ba'si'liu 乌尔姆一八四六
'wu'hao'wei'zhi'qiu'yuan 五号位置球员
'wu'ji'qi 乌基奇
'wu'jia'qie'qi 武贾切奇
'wu'ke 吴轲
'wu'ke'lan'a'zuo'ma'shen 乌克兰阿佐马什
'wu'li'yi 吴理义
'wu'long 吴龙
'wu'nai'qun 吴乃群
'wu'nan 吴楠
'wu'qian 吴谦
'wu'qiu'fan'gui 无球犯规
'wu'qiu'pao'dong 无球跑动
'wu'song'wei 吴颂伟
'wu'yang 吴洋
'wu'zi 伍兹
'xi'ao'li'ai 希奥利埃
'xi'ban'ya'ba'sai'luo'na 西班牙巴塞罗纳
'xi'ban'ya'bi'er'ba'e 西班牙毕尔巴厄
'xi'ban'ya'fei'er'nan'duo 西班牙费尔南多
'xi'ban'ya'fu'en'la'bu'la'da 西班牙弗恩拉布拉达
'xi'ban'ya'ge'la'na'da 西班牙格拉纳达
'xi'ban'ya'huang'jia'ma'de'li 西班牙皇家马德里
'xi'ban'ya'ka'na'li'ya 西班牙卡那里亚
'xi'ban'ya'ma'la'jia 西班牙马拉加
'xi'ban'ya'man'lei'sha 西班牙曼雷沙
'xi'ban'ya'mei'nuo'ka 西班牙梅诺卡
'xi'ban'ya'mu'er'xi'ya 西班牙穆尔西亚
'xi'ban'ya'wa'la'duo'li'de 西班牙瓦拉多利德
'xi'ban'ya'wei'duo'li'ya'tao 西班牙维多利亚陶
'xi'ban'ya'you'wen'tu'te 西班牙尤文图特
'xi'bei'sai'qu 西北赛区
'xi'bu'lian'meng 西部联盟
'xi'da'ye'te 希达耶特
'xi'da'ye'te'te'ke'ge'lu 希达耶特特科格鲁
'xi'en'ma'ke'si 西恩马克斯
'xi'en'ma'ke'si 希恩马克思
'xi'en'wei'lian'mu'si 西恩威廉姆斯
'xi'en'wei'lian'mu'si 希恩威廉姆斯
'xi'er 希尔
'xi'er'dun'a'mu'si'te'lang 希尔顿阿姆斯特朗
'xi'ke'sen 希克森
'xi'la'pan'nei'li'ni'ao'si 希腊潘内利尼奥斯
