'a'ba'du'lu'zhe'na 阿跋度路柘那
'pu'xian'pu'sa'tuo'luo'ni'jing 普贤菩萨陀罗尼经
'pu'xian'pu'sa'xing'yuan'zan 普贤菩萨行愿赞
'pu'xian'ru'lai 普现如来
'pu'xian'ru'lai 普贤如来
'pu'xian'san'mei 普现三昧
'pu'xian'san'mei 普贤三昧
'pu'xian'san'mei'ye 普贤三昧耶
'pu'xian'san'mei'ye'yin 普贤三昧耶印
'pu'xian'san'mei'ye'yin'ming 普贤三昧耶印明
'pu'xian'san'mei'ye'yin'zhen'yan 普贤三昧耶印真言
'pu'xian'se'shen 普现色身
'pu'xian'se'shen'san'mei 普现色身三昧
'pu'xian'shi'xian'zhi'suo 普贤示现之所
'pu'xian'shi'yuan 普贤十愿
'pu'xian'suo'shuo'jing 普贤所说经
'pu'xian'xing'yuan'pin 普贤行愿品
'pu'xian'xing'zhe 普贤行者
'pu'xian'yan'ming 普贤延命
'pu'xian'yuan'hai 普贤愿海
'pu'xiang'guan 普想观
'pu'yan 普眼
'pu'yan'san'mei'men 普眼三昧门
'pu'yang 濮阳
'pu'yao'jing 普曜经
'pu'yi'jing 普义经
'pu'yin 普印
'pu'yu'fa'yu 普雨法雨
'pu'zhi'tian'ren'zun 普知天人尊
'pu'zhi'zun 普知尊
'pu'zhuang'yan'tong'zi 普庄严童子
'qi'ba'xing 七八行
'qi'bai 启白
'qi'bai'jie'ji 七百结集
'qi'bai'ri 启白日
'qi'bai'xian'sheng 七百贤圣
'qi'bao 七宝
'qi'bao'hua 七宝华
'qi'bao'jing 七宝经
'qi'bao'shu'lin 七宝树林
'qi'bao'ta 七宝塔
'qi'bao'yu 七宝狱
'qi'bi'gou 七笔勾
'qi'bian 七辩
'qi'bu'she 七步蛇
'qi'cai 七财
'qi'chang'zhu'guo 七常住果
'qi'chen 七尘
'qi'chong'hang'shu 七重行树
'qi'chou'e'gui 奇臭饿鬼
'qi'chu'ba'hui 七处八会
'qi'chu'jiu'hui 七处九会
'qi'chu'ping'man'xiang 七处平满相
'qi'chu'shan 七处善
'qi'ci 契此
'qi'da 七大
'qi'dan 起单
'qi'dao 祈祷
'qi'deng'jue'zhi 七等觉支
'qi'di'shen'kong'nan 七地沈空难
'qi'dian'dao 七颠倒
'qi'duo'luo'shu 七多罗树
'qi'duo'mi 祇多蜜
'qi'duo'pan'lin 祇哆盘林
'qi'duo'pan'na 祇哆盘那
'qi'fa'bu'ke'bi 七法不可避
'qi'fa'cai 七法财
'qi'fan 契范
'qi'fan'sheng 七返生
'qi'fan'zhen'yan 七番真言
'qi'fang'bian 七方便
'qi'fang'bian'ren 七方便人
'qi'fen'quan'de 七分全得
'qi'fo 七佛
'qi'fo'ba'pu'sa 七佛八菩萨
'qi'fo'fu'mu'xing'zi'jing 七佛父母姓字经
'qi'fo'jing 七佛经
'qi'fo'ming'hao'gong'de'jing 七佛名号功德经
'qi'fo'shuo'ji 七佛说偈
'qi'fo'suo'shuo'shen'zhou'jing 七佛所说神咒经
'qi'fo'tong'jie'ji 七佛通戒偈
'qi'fo'yao'shi 七佛药师
'qi'fo'yao'shi'fa 七佛药师法
'qi'fo'yao'shi'jing 七佛药师经
'qi'fo'yao'shi'wu'tan'xiu'fa 七佛药师五坛修法
'qi'fo'zan'bei'jia'tuo 七佛赞呗伽陀
'qi'gai 乞丐
'qi'gong'yi'wang 七躬医王
'qi'gou 七垢
'qi'gu 起骨
'qi'guan'yin 七观音
'qi'guang 栖光
'qi'guang'ru'lai 奇光如来
'qi'hai 七海
'qi'hua 七华
'qi'hua'ba'lie 七华八裂
'qi'huan'jing'she 祇洹精舍
'qi'hui 契会
'qi'jia 憩伽
'qi'jia'hang 七加行
'qi'jian 七见
'qi'jian'er'yi'er'wu'ming 七见二疑二无明
'qi'jie 器界
'qi'jie'jing 七戒经
'qi'jie'mo 七羯磨
'qi'jie'shuo 器界说
'qi'jin 起尽
'qi'jin'shan 七金山
'qi'jing 七经
'qi'jing 契经
'qi'jing'hua 七净华
'qi'jing'lian'hua 七茎莲华
'qi'jing'san'le 七境三乐
'qi'ju 七聚
'qi'ju'jie 七聚戒
'qi'ju'zhi 七俱胝
'qi'ju'zhi'fo'mu'zun 七俱胝佛母尊
'qi'juan'zhang 七卷章
'qi'jue 七觉
'qi'jue'fen 七觉分
'qi'jue'zhi 七觉支
'qi'kan 起龛
'qi'ke'dao'pin 七科道品
'qi'kong 七空
'qi'la 耆腊
'qi'lao'guo 弃老国
'qi'li'duo 讫利多
'qi'li'duo'wang 讫利多王
'qi'li'ji 讫哩吉
'qi'li'ke 耆利柯
'qi'li'zhi 讫栗枳
'qi'li'zhi'wang'shi'meng 讫栗枳王十梦
'qi'liang 器量
'qi'lin 祇林
'qi'ling 齐领
'qi'liu 七流
'qi'long'wang 七龙王
'qi'lv'mi'lv 骑驴觅驴
'qi'ma'ming 七马鸣
'qi'man 七慢
'qi'meng 七梦
'qi'meng'jing 七梦经
'qi'miao 奇妙
'qi'mie 起灭
'qi'mie'zheng 七灭诤
'qi'mo'da'li 七摩怛里
'qi'mu'tian 七母天
'qi'na 耆那
'qi'na'jiao 耆那教
'qi'nan 七难
'qi'ni 七逆
'qi'ni'zui 七逆罪
'qi'nian 祈念
'qi'niu'gui'jia 骑牛归家
'qi'niu'qiu'niu 骑牛求牛
'qi'nv'jing 七女经
'qi'pi'ni 七毘尼
'qi'pian 七篇
'qi'po 耆婆
'qi'po'cao 耆婆草
'qi'po'dao'a'she'shi'yi'fo'suo 耆婆导阿阇世诣佛所
'qi'po'jian'zhi'a'she'shi'ni'hai 耆婆谏止阿阇世逆害
'qi'po'kou'du'lou'zhi'sheng'chu 耆婆叩髑髅知生处
'qi'po'lin 耆婆林
'qi'po'niao 耆婆鸟
'qi'po'qi'po 耆婆耆婆
'qi'po'tian 耆婆天
'qi'po'wei'yi'wang'yin'yuan 耆婆为医王因缘
'qi'po'zhi'bing 耆婆治病
'qi'pu'lun 器朴论
'qi'pu'ti'bao 七菩提宝
'qi'pu'ti'fen 七菩提分
'qi'qi 七七
'qi'qi'ji 七七忌
'qi'qi'zhai 七七斋
'qi'qian'ba'bai'wen 七千八百问
'qi'qian'ye'cha 七千夜叉
'qi'qing 七情
'qi'qing 祈请
'qi'qing 起请
'qi'qing'wen 起请文
'qi'qu 七趣
'qi'ri'yao 七日药
'qi'ri'zuo'tan'fa 七日作坛法
'qi'sa 乞洒
'qi'seng 七僧
'qi'seng'fa'hui 七僧法会
'qi'seng'zhai 七僧斋
'qi'sha'ji 七莎髻
'qi'shan 七善
'qi'shan 耆山
'qi'shan'shi'qu 七善士趣
'qi'she 耆阇
'qi'she'jue 耆阇崛
'qi'she'jue'duo 耆阇崛多
'qi'shen 栖神
'qi'shen 栖身
'qi'shen'xin 七深信
'qi'sheng 七圣
'qi'sheng 七声
'qi'sheng 七生
'qi'sheng'cai 七圣财
'qi'sheng'jue 七声觉
'qi'sheng'shi 七胜事
'qi'shi 七使
'qi'shi 七识
'qi'shi 乞士
'qi'shi 乞食
'qi'shi 祈誓
'qi'shi'duan'mie'zong 七事断灭宗
'qi'shi'er'sui 七十二岁
'qi'shi'er'tian 七十二天
'qi'shi'er'wei'yi 七十二威仪
'qi'shi'er'zi 七十二字
'qi'shi'fu'qu 七士夫趣
'qi'shi'gui 起尸鬼
'qi'shi'jian 器世间
'qi'shi'jie 器世界
'qi'shi'jing 起世经
'qi'shi'qi'zhi 七十七智
'qi'shi'san'zun 七十三尊
'qi'shi'shi'li 乞食十利
'qi'shi'shi'ming 七识十名
'qi'shi'shi'wei 乞食十为
'qi'shi'si'fen 乞食四分
'qi'shi'sui'shen 七事随身
'qi'shi'wu'fa 七十五法
'qi'shi'yin'ben'jing 起世因本经
'qi'shi'zhen'shi'lun 七十真实论
'qi'shi'zhu 七识住
'qi'shou 稽首
'qi'shou'tian 器手天
'qi'shou'tian'hou 器手天后
'qi'shu 契书
'qi'shu 祇树
'qi'shu'gei'gu'du'yuan 祇树给孤独园
'qi'shu'hua'lin'ku 祇树花林窟
'qi'shu'yuan 祇树园
'qi'shuo'qi'wen 齐说齐闻
'qi'si'ren'zhou 起死人咒
'qi'song 契嵩
'qi'sui'mian 七随眠
'qi'tan 七昙
'qi'tan'yan'mo'tian'tian'gong 七坛炎魔天天供
'qi'te 奇特
'qi'te'jing 奇特经
'qi'tiao 七条
'qi'tiao'jia'sha 七条袈裟
'qi'tiao'yi 七条衣
'qi'tong 漆桶
'qi'tong'shi'yi'yi 七同十一异
'qi'tuo 祇陀
'qi'tuo'lin 祇陀林
'qi'tuo'luo'ni 七陀罗尼
'qi'tuo'yin'jiu 祇陀饮酒
'qi'tuo'yuan 祇陀园
'qi'wei 七微
'qi'wu'san 七五三
'qi'wu'shang'dao 七无上道
'qi'xian 七贤
'qi'xian 契线
'qi'xian'qi'sheng 七贤七圣
'qi'xin'er'men 起信二门
'qi'xin'jie 七心界
'qi'xin'lun 起信论
'qi'xin'lun'ke'zhu 起信论科注
'qi'xin'lun'lie'wang'shu 起信论裂网疏
'qi'xin'lun'san'shu 起信论三疏
'qi'xin'lun'shu'bi'xue'ji 起信论疏笔削记
'qi'xin'lun'shu'hui'yue 起信论疏会阅
'qi'xin'lun'yi'ji 起信论义记
'qi'xin'lun'zhi'jie 起信论直解
'qi'xin'zhu'shu 起信注疏
'qi'xing 七星
'qi'xing 起行
'qi'xing'ru'yi'lun'guan'yin 七星如意轮观音
'qi'xing'ru'yi'lun'mi'mi'yao'jing 七星如意轮秘密要经
'qi'yan'po'luo'men 乞眼婆罗门
'qi'yao 七曜
'qi'yao'gong 七曜供
'qi'ye 祇夜
'qi'ye'jia'tuo 祇夜伽陀
'qi'ye'shen 齐业身
'qi'ye'xiang 起业相
'qi'ye'yan 七叶岩
'qi'yi 奇异
'qi'you 七有
'qi'you'yi'fu'ye 七有依福业
'qi'yu 七喻
'qi'yu 祈雨
'qi'yu 绮语
'qi'yu 耆域
'qi'yu'fa 祈雨法
'qi'yu'yin'yuan'jing 耆域因缘经
'qi'yuan 祇园
'qi'yuan 祈愿
'qi'yuan'jing'she 祇园精舍
'qi'yuan'jing'she'po'li'zhong 祇园精舍颇梨钟
'qi'yuan'jing'she'wu'chang'yuan 祇园精舍无常院
'qi'yuan'jing'she'xing'fei 祇园精舍兴废
'qi'yuan'jing'she'zhong 祇园精舍钟
'qi'yuan'shen 齐缘身
'qi'yuan'si'yi 祇园寺蚁
'qi'yuan'tu'jing 祇园图经
'qi'zai'nan 七灾难
'qi'zha 契咤
'qi'zhang'fu 七丈夫
'qi'zhang'yin 器仗印
'qi'zhe 起者
'qi'zhe'ren'bu'ai 乞者人不爱
'qi'zhe'zui 七遮罪
'qi'zhen'ru 七真如
'qi'zhen'wan'bao 七珍万宝
'qi'zheng 七证
'qi'zheng'shi 七证师
'qi'zhi 七支
'qi'zhi 七治
'qi'zhi 七知
'qi'zhi 祇支
'qi'zhi'chu 起止处
'qi'zhi'jing 七知经
'qi'zhi'nian'song'fa 七支念诵法
'qi'zhi'nian'song'sui'xing'fa 七支念诵随行法
'qi'zhi'ye 七支业
'qi'zhong 七众
'qi'zhong'a'luo'han 七种阿罗汉
'qi'zhong'ban 七种般
'qi'zhong'bian 七种辩
'qi'zhong'bu'hai 七种不还
'qi'zhong'bu'jing 七种不净
'qi'zhong'bu'shi 七种布施
'qi'zhong'chan'hui'xin 七种忏悔心
'qi'zhong'er'di 七种二谛
'qi'zhong'li'fo 七种礼佛
'qi'zhong'li'ti 七种立题
'qi'zhong'luo'han 七种罗汉
'qi'zhong'man 七种慢
'qi'zhong'na'han 七种那含
'qi'zhong'ni'shui 七众溺水
'qi'zhong'ren 七种人
'qi'zhong'she 七种舍
'qi'zhong'sheng 七种圣
'qi'zhong'sheng'si 七种生死
'qi'zhong'shi 七种食
'qi'zhong'wu'chang 七种无常
'qi'zhong'wu'shang 七种无上
'qi'zhong'yi 七种衣
'qi'zhong'yu 七种语
'qi'zhong'zi'xing 七种自性
'qi'zhou'hang'ci 七周行慈
'qi'zhou'jian'yuan 七周减缘
'qi'zhuan'di'ba'hu'wei'yin'guo 七转第八互为因果
'qi'zhuan'jiu'li 七转九例
'qi'zhuan'shi 七转识
'qi'zi 七子
'qi'zi'wen'shu 七字文殊
'qi'zong 七宗
'qi'zu 七祖
'qi'zu'sheng'jiao 七祖圣教
'qi'zu'si'shi 七祖四师
'qi'zu'xiang'cheng 七祖相承
'qi'zui'sheng 七最胜
'qian'an'ju 前安居
'qian'bai'yi'hua'shen 千百亿化身
'qian'ban 前板
'qian'bu'lun'shi 千部论师
'qian'chen 前尘
'qian'chui 钳锤
'qian'dao'ba'dao'heng'cheng 牵道八道行城
'qian'du'chu'fan'bu'she'li'yin'ming 千度触犯不舍离印明
'qian'er'bai'er'gong'de 千二百耳功德
'qian'er'bai'luo'han 千二百罗汉
'qian'er'bai'she'gong'de 千二百舌功德
'qian'er'bai'wu'shi'ren 千二百五十人
'qian'er'bai'yi'gong'de 千二百意功德
'qian'fa'ming'men 千法明门
'qian'fa'qi'bao 悭法七报
'qian'fo 前佛
'qian'fo 千佛
'qian'fo'chu'xing'yi'shuo 千佛出兴异说
'qian'fo'hou'fo 前佛后佛
'qian'fo'ming'jing 千佛名经
'qian'fo'yin'yuan'jing 千佛因缘经
'qian'fu'lun'xiang 千辐轮相
'qian'hou'ji'duan 前后际断
'qian'hua 千化
'qian'hua 迁化
'qian'huan 遣唤
'qian'huang 遣蝗
'qian'jie 悭结
'qian'la 浅腊
'qian'li'ju 千里驹
'qian'lian 牵连
'qian'lue 浅略
'qian'lue'shi 浅略释
'qian'nian 前念
'qian'nv'li'hun 倩女离魂
'qian'qi'bai'ze 千七百则
'qian'ru 千如
'qian'ru'shi 千如是
'qian'san'san 前三三
'qian'seng'zhai 千僧斋
'qian'shen 前身
'qian'sheng 前生
'qian'shi 前世
'qian'shi 千是
'qian'shi'san'zhuan'jing 前世三转经
'qian'shi'zhi'jie 前世之戒
'qian'shou 千手
'qian'shou'er'shi'ba'bu 千手二十八部
'qian'shou'guan'yin 千手观音
'qian'shou'guan'yin'er'shi'ba'bu'zhong 千手观音二十八部众
'qian'shou'guan'yin'man'tu'luo 千手观音曼荼罗
'qian'shou'guan'yin'xiao'zhou'yin'yan 千手观音小咒印言
'qian'shou'gui 千手轨
'qian'shou'jing 千手经
'qian'shou'qian'yan 千手千眼
'qian'shou'qian'yan'guan'yin 千手千眼观音
'qian'shou'qian'yan'yi'gui'jing 千手千眼仪轨经
'qian'shou'shen'zhou 千手神咒
'qian'shou'tuo'luo'ni 千手陀罗尼
'qian'shou'zhen'yan 千手真言
'qian'tan 悭贪
'qian'tan'a'mi'tuo'gong'yang'fa 千坛阿弥陀供养法
'qian'tang 前堂
'qian'tang'shou'zuo 前堂首座
'qian'wei 搴帷
'qian'wei 褰帷
'qian'wu'yi'shi 千无一失
'qian'xi'jia'hui'jie 悭惜加毁戒
'qian'xiang'zheng'xing'shi 遣相证性识
'qian'xin 悭心
'qian'xin'de 遣信得
'qian'xiu 前修
'qian'xu'cun'shi'shi 遣虚存实识
'qian'yan'qian'bi'guan'shi'yin 千眼千臂观世音
'qian'yan'tian 千眼天
'qian'ye 前业
'qian'ye'tai 千叶台
'qian'yin'yin 牵引因
'qian'zheng'jue'shan 前正觉山
'qian'zhi'hu'bi'le'han 签之呼毕勒罕
'qian'zhong'wu'yi 千中无一
'qian'zhuan'guan'shi'yin'zhou'jing 千转观世音咒经
'qian'zhuan'jing 千转经
'qian'zhuo 前卓
'qian'zi 前资
'qiang'du 强毒
'qiang'jie'li 羌揭梨
'qiang'yuan 强缘
'qiao'an'zhi'guan 巧安止观
'qiao'da'mi 乔答弥
'qiao'da'mo 乔答摩
'qiao'di'jia 乔底迦
'qiao'du 巧度
'qiao'jia'da'suo 敲枷打锁
'qiao'liang 桥梁
'qiao'miao'zhi 巧妙智
'qiao'zheng 敲钲
'qiao'zhi'hui 巧智慧
'qie'da'luo 朅达罗
'qie'di'luo'jia 朅地洛迦
'qie'jia 朅伽
'qie'jia'pi'sha'na 朅伽毘沙拏
'qie'lan 伽蓝
'qie'lan'jing 伽蓝经
'qie'lan'niao 伽蓝鸟
'qie'lan'po 朅蓝婆
'qie'lan'shen 伽蓝神
'qie'lan'tang 伽蓝堂
'qie'pan'tuo 朅盘陀
'qie'xi 且喜
'qin'ce 勤策
'qin'ce'lv'yi 勤策律仪
'qin'gen 勤根
'qin'guang'wang 秦广王
'qin'jiao 亲教
'qin'jiao'shi 亲教师
'qin'jiu 勤旧
'qin'ku 勤苦
'qin'li'jue 亲里觉
'qin'luan 亲鸾
'qin'mi'huo 亲迷惑
'qin'po'luo 钦婆罗
'qin'qiu 勤求
'qin'sheng 亲胜
'qin'tang 寝堂
'qin'xi 勤息
'qin'xing 勤行
'qin'you 亲友
'qin'you'qi'fa 亲友七法
'qin'yuan 亲缘
'qing'an 轻安
'qing'an'jue'zhi 轻安觉支
'qing'bai 清白
'qing'bian 清辩
'qing'bin'tou'lu 请宾头卢
'qing'bin'tou'lu'fa 请宾头卢法
'qing'chan 庆忏
'qing'che'lu'yin 请车辂印
'qing'chen 情尘
'qing'chu 轻触
'qing'dao'shi 庆导师
'qing'duo 清堕
'qing'fan 清梵
'qing'fen 情分
'qing'fo'zhu'shi 请佛住世
'qing'gou'zui 轻垢罪
'qing'guan'yin'fa 请观音法
'qing'guan'yin'jing 请观音经
'qing'guan'yin'jing'shu 请观音经疏
'qing'gui 清规
'qing'gui 青鬼
'qing'jia 请假
'qing'jia 青甲
'qing'jian 情见
'qing'jiao 请教
'qing'jie 轻捷
'qing'jing 清净
'qing'jing'ben'ran 清净本然
'qing'jing'chi'jie'yin 清净持戒印
'qing'jing'da'bei'xin'tuo'luo'ni 青颈大悲心陀罗尼
'qing'jing'fa'jie 清净法界
'qing'jing'fa'yan 清净法眼
'qing'jing'guan'yin 青颈观音
'qing'jing'guan'zi'zai'fa 青颈观自在法
'qing'jing'guan'zi'zai'pu'sa 青颈观自在菩萨
'qing'jing'guang'fo 清净光佛
'qing'jing'guang'ming'shen 清净光明身
'qing'jing'jie'tuo'san'mei 清净解脱三昧
'qing'jing'jue'hai 清净觉海
'qing'jing'jue'xiang 清净觉相
'qing'jing'nie'pan 清净涅盘
'qing'jing'pi'ni'fang'guang'jing 清净毘尼方广经
'qing'jing'qiao'fang'bian 清净巧方便
'qing'jing'ren 清净人
'qing'jing'san'mei 清净三昧
'qing'jing'shen 清净身
'qing'jing'shi 清净施
'qing'jing'shi 清净识
'qing'jing'tu 清净土
'qing'jing'xin 清净心
'qing'jing'xun 清净勋
'qing'jing'ye'chu 清净业处
'qing'jing'yuan 清净园
'qing'jing'zhen'ru 清净真如
'qing'jing'zhi 清净智
'qing'ke 清课
'qing'ke 謦咳
'qing'ke'shi'zhe 请客侍者
'qing'ke'tou 请客头
'qing'lai 请来
'qing'lian 青莲
'qing'lian'di'yi 青莲第一
'qing'lian'hua 青莲华
'qing'lian'hua'ni 青莲华尼
'qing'lian'hua'ni'heng'zan'chu'jia'fa 青莲华尼恒赞出家法
'qing'lian'hua'yan 青莲华眼
'qing'liang 清凉
'qing'liang'chi 清凉池
'qing'liang'guo'shi 清凉国师
'qing'liang'san'mei 清凉三昧
'qing'liang'shan 清凉山
'qing'liang'shi'jie 清凉世界
'qing'liang'si 清凉寺
'qing'liang'yue 清凉月
'qing'long'shu 青龙疏
'qing'long'si'yi'gui 青龙寺仪轨
'qing'man 轻慢
'qing'mao 轻毛
'qing'mian'jin'gang 青面金刚
'qing'ming 清明
'qing'na 青衲
'qing'seng 请僧
'qing'ti'nv 青提女
'qing'tou'guan'yin 青头观音
'qing'wu'jue 轻侮觉
'qing'xi 庆喜
'qing'xin 青心
'qing'xin'nan 清信男
'qing'xin'nv 清信女
'qing'xin'shi 清信士
'qing'xing 青行
'qing'yang 清扬
'qing'yi'pai 青衣派
'qing'you 情有
'qing'you'li'wu 情有理无
'qing'you'zun'zhe 庆友尊者
'qing'yu 情欲
'qing'yu'fa 请雨法
'qing'yu'jing 请雨经
'qing'yuan 情猿
'qing'yuan 清源
'qing'yuan 青原
'qing'yuan'mi'jia 青原米价
'qing'zan 庆赞
'qing'zhai 清斋
'qing'zhao 庆昭
'qing'zhe 请折
'qing'zhong'yi 轻重仪
'qing'zhuan'fa'lun 请转法轮
'qing'zi'jing'guan 清字经馆
'qiong'bi'ni 穷鼻尼
'qiong'lu 穷露
'qiong'sheng'si'yun 穷生死蕴
'qiong'zi 穷子
'qiu'bu'de'ku 求不得苦
'qiu'che 求车
'qiu'ci 丘慈
'qiu'ci 龟兹
'qiu'fa 求法
'qiu'fa'gao'seng'zhuan 求法高僧传
'qiu'fo'ben'ye'jing 求佛本业经
'qiu'gong 虬宫
'qiu'ji 求寂
'qiu'jin'gang 秋金刚
'qiu'jing 丘井
'qiu'lu'zi 鹙鹭子
'qiu'luo 求罗
'qiu'ming'pu'sa 求名菩萨
'qiu'na 求那
'qiu'na'ba'mo 求那跋摩
'qiu'na'ba'tuo'luo 求那跋陀罗
'qiu'na'mo'di'sui'xiang'lun 求那摩帝随相论
'qiu'na'pi'di 求那毘地
'qiu'qiu'luo 求求罗
'qiu'sheng 求生
'qiu'wen'chi 求闻持
'qiu'wen'chi'fa 求闻持法
'qiu'yu'jing 求欲经
'qiu'zhu 求珠
'qiu'zi 鹙子
'qiu'zi'ren'tai'fa 求子妊胎法
'qu'bo 瞿波
'qu'bo'li'jia 瞿波理迦
'qu'bo'luo 瞿波罗
'qu'bo'luo'jia 瞿波洛迦
'qu'chi 曲齿
'qu'chi'luo 瞿翅罗
'qu'ci'bu'yuan 去此不远
'qu'ci'yu 取次语
'qu'da'mo 瞿答摩
'qu'fa'men 曲法门
'qu'guo 取果
'qu'guo'wu'jian 趣果无间
'qu'ji 趣寂
'qu'jia'li 瞿伽离
'qu'jia'li 瞿迦离
'qu'jia'li'bang'er'sheng'duo'di'yu 瞿伽离谤二圣堕地狱
'qu'jia'ni 瞿伽尼
'qu'jie 取结
'qu'la'po 瞿拉坡
'qu'lai'jin 去来今
'qu'lai'shi'you'zong 去来实有宗
'qu'lang'na 屈浪拏
'qu'li 佉梨
'qu'long 驱龙
'qu'lou 佉楼
'qu'lou'da'mo 瞿娄达磨
'qu'lou'shu 佉楼书
'qu'lu 佉卢
'qu'lu 曲彔
'qu'lu'duo 屈露多
'qu'lu'se'zha 佉路瑟咤
'qu'lu'shi'zha 佉卢虱咤
'qu'lu'zhan'na 鸲路战娜
'qu'lu'zhe'na 瞿卢折娜
'qu'lu'zhe'na 瞿嚧者那
'qu'luo 佉罗
'qu'luo'di 佉罗帝
'qu'luo'di'ye 佉罗帝耶
'qu'man'luo'he'zhang 屈满啰合掌
'qu'mo 瞿摩
'qu'mo 瞿默
'qu'mo'da'luo 瞿摸怛罗
'qu'mo'di 瞿摩帝
'qu'mo'di'he 瞿摩帝河
'qu'mo'di'qie'lan 瞿摩帝伽蓝
'qu'mo'luo 屈摩罗
'qu'mo'mu'jian'lian 瞿默目犍连
'qu'mo'mu'jian'lian'jing 瞿默目犍连经
'qu'mo'yi 瞿摩夷
'qu'mu 曲木
'qu'na'bo'la'po 瞿拏钵剌婆
'qu'nv'cheng 曲女城
'qu'pi'shuang'na 瞿毘霜那
'qu'pi'ye 瞿毘耶
'qu'pin 劬嫔
'qu'pin'tuo 劬嫔陀
'qu'po 瞿婆
'qu'qing 屈请
'qu'qu'zha'a'lan'mo 屈屈咤阿滥摩
'qu'qu'zha'bo'tuo 屈屈咤播陀
'qu'sa'dan'na 瞿萨旦那
'qu'sha 佉沙
'qu'sha 瞿沙
'qu'sha'jing 瞿沙经
'qu'she'ni 佉阇尼
'qu'shi 瞿师
'qu'shi'luo 瞿师罗
'qu'shi'luo'yuan 瞿师罗园
'qu'shun 屈眴
'qu'si'duo 瞿私多
'qu'tan 瞿昙
'qu'tan'bo're'liu'zhi 瞿昙般若流支
'qu'tan'fa'zhi 瞿昙法智
'qu'tan'liu'zhi 瞿昙留支
'qu'tan'mi 瞿昙弥
'qu'tan'mi'ji'guo'jing 瞿昙弥记果经
'qu'tan'mi'jing 瞿昙弥经
'qu'tan'seng'ga 瞿昙僧伽
'qu'tan'seng'ga'ti'po 瞿昙僧伽提婆
'qu'tan'xian 瞿昙仙
'qu'ti'luo'jia 佉提罗迦
'qu'tuo 呿陀
'qu'tuo'jia'a'han 屈陀迦阿含
'qu'tuo'ni 佉陀尼
'qu'tuo'ni 瞿陀尼
'qu'tuo'shi 佉陀食
'qu'wu 驱乌
'qu'wu'sha'mi 驱乌沙弥
'qu'xian 瞿酰
'qu'xian'jing 瞿酰经
'qu'xian'tan'duo'luo'jing 瞿酰檀哆罗经
'qu'xiang 取相
'qu'xiang'chan 取相忏
'qu'xing 去行
'qu'xiu'luo 瞿修罗
'qu'ye'ni 瞿耶尼
'qu'yi 瞿夷
'qu'yi'ben'sheng 瞿夷本生
'qu'yin'jia'she'lun 取因假设论
'qu'yu 取与
'qu'yun 取蕴
'qu'zha'a'lan'mo 屈咤阿滥摩
'qu'zha'jia 佉咤迦
'qu'zhe 取着
'qu'zhe'luo 瞿折罗
'qu'zhi 取支
'qu'zhi 屈支
'qu'zhi'luo 瞿枳罗
'qu'zhi'luo'jing 瞿枳罗经
'qu'zhou'luo 佉啁罗
'quan'bei 权悲
'quan'bian 诠辩
'quan'cha 劝茶
'quan'cheng'shi'guo 权乘实果
'quan'chi'pin 劝持品
'quan'da'cheng 权大乘
'quan'dao'di'yi 劝导第一
'quan'fa 劝发
'quan'fa'pin 劝发品
'quan'fa'zhu'wang'yao'ji 劝发诸王要偈
'quan'fang'bian 权方便
'quan'fen'jie 全分戒
'quan'fen'shou 全分受
'quan'guan 权关
'quan'hua 劝化
'quan'hua 权化
'quan'hua'zhang 劝化帐
'quan'ji 权机
'quan'ji 权迹
'quan'jia 全加
'quan'jia'fu 全跏趺
'quan'jia'fu'zuo 全跏趺坐
'quan'jiao 权教
'quan'jie 劝诫
'quan'jie'wang'song 劝诫王颂
'quan'jin 劝进
'quan'jin'xue'dao'jing 劝进学道经
'quan'li 权理
'quan'men 劝门
'quan'men 权门
'quan'mou 权谋
'quan'qiao 权巧
'quan'qing 劝请
'quan'qing'shen'fen 劝请神分
'quan'shen'ru'ta 全身入塔
'quan'shen'she'li 全身舍利
'quan'shi 权实
'quan'shi'bu'er'men 权实不二门
'quan'shi'er'jiao 权实二教
'quan'shi'er'zhi 权实二智
'quan'tang 劝汤
'quan'ti 全提
'quan'wei 全威
'quan'xian 权现
'quan'ying'shen 权应身
'quan'yu 筌鱼
'quan'yuan 劝缘
'quan'zhe 权者
'quan'zhi 权智
'quan'zhi 诠旨
'quan'zhi'shi'zhi'zhi'yi'xin'san'guan 权智实智之一心三观
'quan'zhu'kuai 犬逐块
'quan'zhuan 劝转
'que'chao'he'shang 鹊巢和尚
'que'guo 阙过
'que'lai 却来
'que'lai'shou'zuo 却来首座
'que'lou 缺漏
'que'mo 悫摩
'que'ru'sheng'si 却入生死
'que'wen'shen'zhou'jing 却温神咒经
'que'yuan 鹊园
'qun'ji 群机
'qun'lei 群类
'qun'meng 群萌
'qun'mi 群迷
'qun'niu'pi'jing 群牛譬经
'qun'sheng 群生
'qun'sheng'hai 群生海
'qun'yi'lun 群疑论
'qun'you 群有
'qun'zi 裙子
'ran'ai 染爱
'ran'ai'wang 染爱王
'ran'deng 然灯
'ran'deng'fo 然灯佛
'ran'deng'fo 燃灯佛
'ran'deng'jing 然灯经
'ran'fa 染法
'ran'hai 染海
'ran'hui'chi 染恚痴
'ran'jie 染界
'ran'jing 染净
'ran'jing'bu'er'men 染净不二门
'ran'jing'yi 染净衣
'ran'se 染色
