'a'bo'rui'si'an'ying'gong 阿伯瑞斯暗影弓
'qi'ri'feng'ye'yu'chang'jian 七日锋夜语长剑
'qi'ta'fu'de'zhi'jiao'xiao'xing'xing'tuan'zhu'bao 奇塔弗的指教小型星团珠宝
'qi'ta'fu'zhi'ke'wang're'zhan'zhi'kui 奇塔弗之渴望热战之盔
'qi'ta'fu'zhi'sheng'yan'xu'ying'ju'fu 奇塔弗之盛宴虚影巨斧
'qi'ya'la'de'jue'xin'zhen'yin'yao'ji 奇亚拉的决心真银药剂
'qi'yi'bai'jin'duan'zhang 奇异白金短杖
'qi'yuan'he'xie'gu'lan'zhu'bao 起源和谐钴蓝珠宝
'qi'yuan'li'liang'chi'hong'zhu'bao 起源力量赤红珠宝
'qi'yuan'li'liang'fang'pin'chi'hong'zhu'bao 起源力量仿品赤红珠宝
'qi'yuan'zhuo'yue'cui'lv'zhu'bao 起源卓越翠绿珠宝
'qi'yue'da'nuo'de'fu'mie'hai'jun'qi'yue 契约达诺的覆灭海军契约
'qi'yue'fan'nu'zhi'wang'yi'jing'qi'yue 契约贩奴之王义警契约
'qi'yue'lao'bu'ke'po'yu'fang'qi'yue 契约牢不可破预防契约
'qi'yue'mo'xing'fa'zhang 泣月魔性法杖
'qi'yue'rong'yu'zhi'xin'jia'zu'qi'yue 契约荣誉之心家族契约
'qi'yue'zui'e'shuang'sheng'fu'chou'qi'yue 契约罪恶双生复仇契约
'qi'zha'liao'ya'long'lin'zhan'jia 欺诈獠牙龙鳞战甲
'qian'chi'wa'er'qing'dun 千齿瓦尔轻盾
'qian'duan'jian'yi'zhi'pao 千缎简易之袍
'qian'li'ju'di'zui'zhe'zhi'mao 千里狙敌罪者之帽
'qian'li'qi'zhen'shi'yuan'sui'pian 潜力奇珍始源碎片
'qian'neng'fang'hu'gu'lan'zhu'bao 潜能防护钴蓝珠宝
'qian'neng'mo'bang'zhen'yan'fa'zhang 潜能魔棒箴言法杖
'qian'xian'xiao'xing'xing'tuan'zhu'bao 前线小型星团珠宝
'qiang'jian'fou'jue'zhe'ling'neng'zhi'long 强健否决者灵能之笼
'qiang'xi'zhe'cu'ge'duan'xue 强袭者粗革短靴
'qiang'xi'zhe'fang'pin'cu'ge'duan'xue 强袭者仿品粗革短靴
'qiao'he'hei'gang'chen'gang'zhong'chui 乔赫黑钢沉钢重锤
'qiao'zha'xiao'yan'qing'shi'hu'kui 敲诈笑颜清视护盔
'qie'te'si'de'wei'quan'cao'ling'zhe'zhi'guan 切特斯的威权操灵者之冠
'qie'zui'san'xiang'jie'zhi 窃罪三相戒指
'qing'ying'meng'jing'cui'lv'zhu'bao 青影梦境翠绿珠宝
'qing'ying'meng'yan'cui'lv'zhu'bao 青影梦魇翠绿珠宝
'qiu'shen'chu'tie'duan'chang'zhang 囚神杵铁锻长杖
'qiu'zhi'de're'qing'chi'hong'zhu'bao 求知的热情赤红珠宝
'qiu'zhi'wa'er'zhi'xiang 求知瓦尔之相
'qu'fu'yin'ji'qian'neng'zhi'jie 屈服印记潜能之戒
'que'jiao'di'guan'zhen'yan'zhan'guan 缺角帝冠箴言战冠
'qun'mo'dian'cui'yu'hu'shen'fu 群魔殿翠玉护身符
'qun'xing'zhi'hui'hei'yao'hu'shen'fu 群星之灰黑曜护身符
'ran'yan'lan'yu'jie'zhi 燃焰蓝玉戒指
're'cheng'zhi'shou'kuang're'zhe'shou'tao 热诚之手狂热者手套
'ren'de'yao'dai'shi'bu'yao'dai 仁德腰带饰布腰带
'ren'ge'fen'lie'chi'hong'zhu'bao 人格分裂赤红珠宝
'ren'mu'qu'ren'yong'heng'zhi'jian 韧木曲刃永恒之剑
'ri'yan'shi'bu'yao'dai 日炎饰布腰带
'ri'yao'huan'dai'chang'xue 日耀环带长靴
'ri'yao'zhi'ying'xian'zhe'fa'zhang 日耀之影贤者法杖
'rou'ti'yu'hun'ling'tie'ying'shou'tao 肉体与魂灵铁影手套
'ru'lian'shi'jin'li'hu'shou 入殓师禁礼护手
'rui'fo'de'fen'zhan'chang'jian'gao'shan'zhong'ren 瑞佛的奋战长剑高山重刃
'rui'fo'tong'shuai'ye'yu'chang'jian 瑞佛统帅夜语长剑
'rui'fo'zhi'guan'shuang'yu'jie'zhi 瑞佛之冠双玉戒指
'rui'fo'zhi'yu'shuang'feng'jian'dai 瑞佛之羽双锋箭袋
'rui'fo'zu'zhou'wang'zhao'mo'fu 瑞佛诅咒亡爪魔符
'rui'si'la'sa'de'xian'quan'kou'ding'yao'dai 瑞斯拉萨的线圈扣钉腰带
'sa'fei'er'de'zhi'hui'sheng'ji'yuan'dun 萨费尔的智慧圣记鸢盾
'sai'er'bu'lei'de'lang'xue'di'di'zhi'he 塞尔布雷德狼穴地底之河
'san'long'zhan'ji'huang'jin'zhi'mian 三龙战纪黄金之面
'san'tou'wei'yi'qian'neng'zhi'jie 三头威仪潜能之戒
'san'zhong'kou'wang'yan'shou'tao 三重扣网眼手套
'sang'zhong'jin'mian'hu'kui 丧钟金面护盔
'se'lei'de'jie'zuo'huan'xiang'zhi'chui 瑟蕾的杰作幻象之锤
'sen'lin'zhi'hou'ming'yun'pi'jia 森林之后命运皮甲
'sha'chen'zhi'ying'huan'dai'hu'shou 沙尘之影环带护手
'shan'te'li'de'hui'ying'tong'duan'mo'dun 山特立的回应铜锻魔盾
'shan'yao'jing'hua'hong'yu'yao'ji 闪耀精华红玉药剂
'shang'gu'zhi'lu'huan'gu'tou'kui 上古之颅唤骨头盔
'shang'neng'hui'mie'an'ying'hu'shou 熵能毁灭暗影护手
'shang'wei'jiu'shui'yin'yao'ji 伤胃酒水银药剂
'she'ji'de'shou'bing'qiang'hua'chang'zhang 舍吉的手柄强化长杖
'she'xue'lan'yu'jie'zhi 蛇穴蓝玉戒指
'shen'cang'de'qian'neng'cui'lv'zhu'bao 深藏的潜能翠绿珠宝
'shen'ci'bao'zuan'jie'zhi 神赐宝钻戒指
'shen'hai'mo'jia'jin'yao'zhi'kai 深海魔甲金耀之铠
'shen'hai'mo'jiao'xing'zheng'zhe'zhan'guan 深海魔角行政者战冠
'shen'hai'mo'qian'ju'ren'hu'shou 深海魔钳巨人护手
'shen'hai'mo'zu'ju'ling'jing'jia 深海魔足巨灵胫甲
'shen'shen'ji'hua'cui'lv'zhu'bao 审慎计划翠绿珠宝
'shen'sheng'ai'dao'fang'pin'liu'huang'yao'ji 神圣哀悼仿品硫磺药剂
'shen'sheng'ai'dao'liu'huang'yao'ji 神圣哀悼硫磺药剂
'shen'sheng'zhi'ke'xiang'lu'yi'wu 神圣之刻香炉遗物
'shen'xing'po'sui'dun'shi'jian'dai 神性破碎钝矢箭袋
'shen'xing'xue'sheng'pi'duan'xue 神行靴生皮短靴
'shen'xun'xiao'xing'xing'tuan'zhu'bao 审讯小型星团珠宝
'shen'yuan'jue'bi'mao'ding'yuan'dun 深渊绝壁铆钉圆盾
'shen'yuan'zhi'huan'ai'zi'mai'jian'kui 深渊之唤艾兹麦坚盔
'shen'yuan'zhi'huan'fang'pin'ai'zi'mai'jian'kui 深渊之唤仿品艾兹麦坚盔
'shen'zhu'zhi'shou'sheng'zhan'shou'tao 神主之手圣战手套
'sheng'e'zhi'yu'di'guo'chang'zhang 圣恶之喻帝国长杖
'sheng'hua'zhi'feng'yuan'gu'hu'shou 升华之风远古护手
'sheng'hua'zhi'hun'cui'lv'zhu'bao 升华之魂翠绿珠宝
'sheng'hua'zhi'qu'chi'hong'zhu'bao 升华之躯赤红珠宝
'sheng'hua'zhi'xin'gu'lan'zhu'bao 升华之心钴蓝珠宝
'sheng'ji'zhi'ji'xiu'mu'fa'zhang 生机之记朽木法杖
'sheng'ling'shan'hu'hu'shen'fu 圣令珊瑚护身符
'sheng'ti'zhi'sheng'pi'ge'yao'dai 圣体之绳皮革腰带
'sheng'tu'jing'gu'shi'dian'chang'zhang 圣徒胫骨史典长杖
'sheng'yan'zhi'jie'su'bu'yao'dai 盛宴之结素布腰带
'shi'cong'quan'gui'yuan'dun 侍从权贵圆盾
'shi'guang'lang'chao'xian'feng'yao'dai 时光浪潮先锋腰带
'shi'guang'zhi'wo'yue'guang'shi'jie'zhi 时光之握月光石戒指
'shi'han'zhi'guan'chou'duan'zhi'dou 嗜寒之冠绸缎之兜
'shi'heng'wei'shi'zhong'ge'yao'dai 失衡卫士重革腰带
'shi'hou'jing'hua'jian'yan'yao'ji 狮吼精华坚岩药剂
'shi'hun'shi'bu'yao'dai 嗜魂饰布腰带
'shi'hun'zhi'ya'kong'ju'zhi'zhao 噬魂之牙恐惧之爪
'shi'huo'zhi'guan'ai'zi'mai'jian'kui 嗜火之冠艾兹麦坚盔
'shi'jiang'jin'li'hu'shou 尸僵禁礼护手
'shi'kong'niu'qu'qing'yu'hu'shen'fu 时空扭曲青玉护身符
'shi'kong'zhi'chui'wei'quan'ju'chui 逝空之锤威权巨锤
'shi'lei'zhi'guan'ri'yao'zhi'guan 嗜雷之冠日耀之冠
'shi'mie'qi'zhen'shi'yuan'sui'pian 噬灭奇珍始源碎片
'shi'ren'zhi'bi'cu'wen'fa'zhang 诗人之笔粗纹法杖
'shi'ri'hong'yu'yao'ji 逝日红玉药剂
'shi'xin'tao'tie'zhu'mian'tou'kui 噬心饕餮猪面头盔
'shi'xue'hei'zi'ma'na'wa'er'ju'fu 嗜血黑兹玛娜瓦尔巨斧
'shi'xue'zhi'zhao'mo'zhao'ren 嗜血之爪魔爪刃
'shi'ya'dou'shi'chang'jian 食蚜斗士长剑
'shi'yan'de'dou'zhi'fang'pin'tong'ying'chang'xue 狮眼的斗志仿品铜影长靴
'shi'yan'de'dou'zhi'tong'ying'chang'xue 狮眼的斗志铜影长靴
'shi'yan'de'rong'yao'zhi'dun'jian'yi'ta'dun 狮眼的荣耀之盾坚毅塔盾
'shi'yan'de'shi'xian'zheng'zhan'zhong'kai 狮眼的视线征战重铠
'shi'yan'de'yun'luo'cui'lv'zhu'bao 狮眼的陨落翠绿珠宝
'shi'yan'de'zhan'gong'di'guo'zhi'gong 狮眼的战弓帝国之弓
'shi'yue'shen'pan'chang'zhang 誓约审判长杖
'shou'fu'lian'shen'long'lin'zhan'jia 兽腹连身龙鳞战甲
'shou'ge'zhe'fang'pin'ling'yu'ju'fu 收割者仿品灵玉巨斧
'shou'ge'zhe'ling'yu'ju'fu 收割者灵玉巨斧
'shou'mao'pi'jian'wa'er'fa'yi 兽毛披肩瓦尔法衣
'shou'wang'zhi'yan'san'xiang'zhu'bao 守望之眼三相珠宝
'shou'wei'zhi'ming'duan'tie'jie'zhi 守卫之铭锻铁戒指
'shu'chao'xiong'shou'pi'kui 鼠巢熊首皮盔
'shu'guang'zhou'xian'leng'gang'zhi'guan 曙光骤现冷钢之冠
'shu'yi'zhi'yuan'an'ying'zhe'chang'xue 鼠疫之源暗影者长靴
'shuang'xi'fang'pin'hua'li'zhi'chui 霜息仿品华丽之锤
'shuang'xi'hua'li'zhi'chui 霜息华丽之锤
'shui'huo'bu'rong'fu'ji'hu'shou 水火不容伏击护手
'si'dong'zhi'shou'di'guo'zhan'zhao 思动之手帝国战爪
'si'ji'zhi'qin'hong'cai'ding'ji 四季之侵虹彩酊剂
'si'shen'de'qu'hun'qi'you'ying'ju'fu 死神的取魂器幽影巨斧
'si'shen'zhi'shou'ka'lu'duan'zhang 死神之手卡鲁短杖
'si'ta'kong'jia'zhi'shou'chou'duan'zhi'dou 斯塔空加之首绸缎之兜
'si'wa'lin'zheng'zhan'ta'dun 斯瓦林征战塔盾
'si'wang'da'men'sheng'zhan'chang'xue 死亡大门圣战长靴
'si'wang'qing'suan'gu'lan'zhu'bao 死亡清算钴蓝珠宝
'si'wang'qu'fu'di'guo'chang'zhang 死亡屈服帝国长杖
'si'xiang'ben'liu'jun'tuan'chang'jian 思想奔流军团长剑
'si'yu'de'guang'hui'shi'bing'zhi'kui 私欲的光辉士兵之盔
'su'du'zhi'li'kuang'nue'zhe'shu'yi 速度之力狂虐者束衣
'su'jie'zhe'zhi'zi'ma'nao'hu'shen'fu 塑界者之籽玛瑙护身符
'su'jie'zhi'chu'sheng'zhan'shou'tao 塑界之触圣战手套
'su'jie'zhi'yin'dan'bai'shi'jie'zhi 塑界之印蛋白石戒指
'su'ming'tao'wang'zhi'xue 宿命逃亡之靴
'su'ni'zhe'po'yan'chui 塑泥者破岩锤
'su'xing'zhe'yu'yan'zhong'jian 塑星者狱炎重剑
'su'xue'ju'jiang'cao'ling'zhe'bei'xin 塑血巨匠操灵者背心
'sui'zu'yu'chi'hong'zhu'bao 碎镞雨赤红珠宝
'suo'fu'de'ai'fu'cheng'sai'zhan'gong 索伏的爱抚城塞战弓
'suo'fu'de'shi'yuan'cheng'sai'zhan'gong 索伏的始源城塞战弓
'suo'fu'zhi'xin'hu'po'hu'shen'fu 索伏之心琥珀护身符
'suo'fu'zhi'xue'hu'po'hu'shen'fu 索伏之血琥珀护身符
'ta'he'ya'di'kan'fa'sao'dang'zhe 塔赫亚的砍伐扫荡者
'ta'lin'de'chan'li'zhi'yu'feng'bao'chang'zhang 塔林的颤栗之语风暴长杖
'ta'sa'li'ao'zhi'yin'fang'pin'lan'yu'jie'zhi 塔萨里奥之印仿品蓝玉戒指
'ta'sa'li'ao'zhi'yin'lan'yu'jie'zhi 塔萨里奥之印蓝玉戒指
'ta'wen'de'pi'feng'zhi'zhe'zhi'pao 塔温的披风智者之袍
'tai'ping'cui'yu'hu'shen'fu 太平翠玉护身符
'tan'lan'zhi'chao'cheng'sai'zhan'gong 贪婪之潮城塞战弓
'tan'lan'zhi'yong'jin'yao'zhi'kai 贪婪之拥金耀之铠
'tan'yu'zhi'ji'jin'guang'jie'zhi 贪欲之记金光戒指
'tao'ha'nu'ku'zhi'shi'jian'yue'guang'shi'jie'zhi 陶哈努库之时间月光石戒指
'te'ke'luo'de'ning'shi'xiong'can'zhi'ning'zhu'bao 特克罗的凝视凶残之凝珠宝
'ti'du'de'ao'man'gu'gang'hu'shou 提督的傲慢古钢护手
'ti'tu'ku'si'de'jian'dun'qiang'hua'ta'dun 提图库斯的坚盾强化塔盾
'tian'jie'yong'huai'ju'ling'hu'shou 天界拥怀巨灵护手
'tian'shen'zhi'yin'da'xing'xing'tuan'zhu'bao 天神之音大型星团珠宝
'tong'hua'qi'zhen'shi'yuan'sui'pian 同化奇珍始源碎片
'tong'ku'zhi'chu'di'guo'zhan'zhao 痛苦之触帝国战爪
'tu'ke'ha'ma'bao'lei'fang'pin'wu'mu'ta'dun 图克哈玛堡垒仿品乌木塔盾
'tu'ke'ha'ma'bao'lei'wu'mu'ta'dun 图克哈玛堡垒乌木塔盾
'tu'lu'zhi'xin'hei'yao'hu'shen'fu 屠戮之心黑曜护身符
'tu'shou'kong'quan'xiao'xing'xing'tuan'zhu'bao 徒手空拳小型星团珠宝
'tu'wei'zhe'fang'pin'zhong'ge'yao'dai 突围者仿品重革腰带
'tu'wei'zhe'zhong'ge'yao'dai 突围者重革腰带
'tun'mie'zhi'qing're'zhan'zhi'kui 吞灭之情热战之盔
'tun'shi'zhe'wang'guan'cao'ling'zhe'zhi'guan 吞噬者王冠操灵者之冠
'tuo'fu'zhi'suo'kou'lian'yao'dai 脱缚之锁扣链腰带
'tuo'wo'beng'ling'shi'fa'zhang 托沃崩灵石法杖
'tuo'wo'wo'fang'pin'ling'shi'fa'zhang 托沃卧仿品灵石法杖
'tuo'wo'wo'ling'shi'fa'zhang 托沃卧灵石法杖
'wa'er'chuan'shuo'bao'shi'zhi'jian 瓦尔传说宝石之剑
'wa'er'de'ling'shou'tong'ying'shou'tao 瓦尔的灵手铜影手套
'wa'er'ke'la'si'zhi'xing'xue'se'hu'shen'fu 瓦尔克拉斯之星血色护身符
'wa'er'ming'yun'bao'shi'zhi'jian 瓦尔命运宝石之剑
'wa'er'zhan'ren'wa'er'jun'ren 瓦尔战刃瓦尔军刃
'wa'la'ku'zhi'yin'huang'yu'jie'zhi 瓦拉库之印黄玉戒指
'wan'mei'zi'tai'fang'pin'xing'chen'pi'jia 完美姿态仿品星辰皮甲
'wan'mei'zi'tai'xing'chen'pi'jia 完美姿态星辰皮甲
'wang'xiang'zheng'zhong'xing'xing'tuan'zhu'bao 妄想症中型星团珠宝
'wang'zhe'hu'huan'zi'jing'jie'zhi 亡者呼唤紫晶戒指
'wang'zhe'zhi'cai'mo'ying'mu'chang 亡者之财魔影墓场
'wang'zhe'zhi'ren'ba'zhu'ju'fu 王者之刃霸主巨斧
'wei'da'jiu'shen'zhi'chu'shou'man'pi'shou'tao 伟大旧神之触手鳗皮手套
'wei'dao'zhi'pao'qi'cai'shu'yi 卫道之袍漆彩束衣
'wei'duo'li'ao'de'fei'sheng'yang'pi'duan'xue 维多里奥的飞升羊皮短靴
'wei'duo'li'ao'de'gong'xian'fang'pin'he'ban'yuan'dun 维多里奥的贡献仿品合板鸢盾
'wei'duo'li'ao'de'gong'xian'he'ban'yuan'dun 维多里奥的贡献合板鸢盾
'wei'duo'li'ao'de'jie'si'qing'yu'hu'shen'fu 维多里奥的捷思青玉护身符
'wei'duo'li'ao'zhi'jue'xiang'qi'cai'shu'yi 维多里奥之绝响漆彩束衣
'wei'er'ma'de'bao'chang'ri'yao'zhi'guan 威尔玛的报偿日耀之冠
'wei'gong'xiao'xing'xing'tuan'zhu'bao 围攻小型星团珠宝
'wei'ke'ta'guang'chang'qi'shu'zhi'ting 维克塔广场奇术之庭
'wei'ke'ta'xue'qi'huang'yu'yao'ji 维克塔血器黄玉药剂
'wei'li'di'de'mian'sha'ling'zhu'zhan'guan 维里迪的面纱领主战冠
'wei'lu'suo'de'zhuang'huai'fu'zu'chang'xue 维鲁索的壮怀缚足长靴
'wei'xue'zhi'nu'tie'mu'ding'ji 威血之怒铁木酊剂
'wei'yan'zhi'ren'ming'gui'ju'jian 威严之刃名贵巨剑
'wen'rou'zhi'li'chi'hong'zhu'bao 温柔之力赤红珠宝
'wo'la'na'de'zheng'tu'fu'wen'zhan'xue 沃拉娜的征途符文战靴
'wo'la'na'de'zhun'bei'jian'tie'yao'ji 沃拉娜的准备坚铁药剂
'wu'chang'fa'pao'zhi'zhe'zhi'pao 无常法袍智者之袍
'wu'er'ni'duo'de'yong'bao'wa'er'ju'fu 乌尔尼多的拥抱瓦尔巨斧
'wu'er'ni'duo'zhi'shi'qian'neng'xiang'lian 乌尔尼多之誓潜能项链
'wu'er'ni'duo'zhi'wen'wa'er'ju'fu 乌尔尼多之吻瓦尔巨斧
'wu'hui'zhi'ai'xian'zhe'zhi'pao 无悔之爱贤者之袍
'wu'ji'can'bao'ju'jian 无击残暴巨剑
'wu'jin'fen'nu'fu'gui'zhi'fu 无尽愤怒富贵之斧
'wu'jin'ke'wang'gu'lan'zhu'bao 无尽渴望钴蓝珠宝
'wu'jin'sheng'yan'kou'ding'shou'tao 无尽盛宴扣钉手套
'wu'jin'zhi'ju'ju'ren'jing'jia 无尽之距巨人胫甲
'wu'jin'zhi'wei'fang'pin'jin'li'zhi'jia 无尽之卫仿品禁礼之甲
'wu'jin'zhi'wei'jin'li'zhi'jia 无尽之卫禁礼之甲
'wu'li'fang'pin'gu'lan'zhu'bao 无力仿品钴蓝珠宝
'wu'li'gu'lan'zhu'bao 无力钴蓝珠宝
'wu'mang'ping'zhang'wu'mu'ta'dun 五芒屏障乌木塔盾
'wu'ming'cao'ling'zhe'bei'xin 兀鸣操灵者背心
'wu'mu'song'mu'ta'dun 巫木松木塔盾
'wu'niang'zhi'shui'fang'pin'mi'wu'yao'ji 巫酿之水仿品迷雾药剂
'wu'niang'zhi'shui'mi'wu'yao'ji 巫酿之水迷雾药剂
'wu'shang'zhen'yan'shui'jing'duan'zhang 无上箴言水晶短杖
'wu'suo'dun'xing'cui'lv'zhu'bao 无所遁形翠绿珠宝
'wu'xing'huo'ju'huang'shi'jian'kui 无形火炬皇室坚盔
'wu'xing'lian'yu'huang'shi'jian'kui 无形炼狱皇室坚盔
'wu'zha'sa'de'cao'yuan'lan'yu'jie'zhi 乌扎萨的草原蓝玉戒指
'wu'zha'sa'de'gao'shan'lan'yu'jie'zhi 乌扎萨的高山蓝玉戒指
'wu'zha'sa'de'shan'gu'lan'yu'jie'zhi 乌扎萨的山谷蓝玉戒指
'wu'zui'zhi'yan'huang'jing'hu'shen'fu 无罪之眼黄晶护身符
'xi'bi'er'de'bing'zhao'si'lie'jian'zhao 希比尔的冰爪撕裂尖爪
'xi'bi'er'zhi'tan'shan'hu'jie'zhi 希比尔之叹珊瑚戒指
'xi'bo'de'ba'quan'ling'zhu'zhi'huan 希伯的霸权灵主之环
'xi'fang'lei'ting'sheng'zhang'di'guo'chang'zhang 西方雷霆圣杖帝国长杖
'xi'li'de'shi'xue'zhi'shi'sha'chi'jian'dai 西里的嗜血之矢鲨齿箭袋
'xi'li'de'zhan'yi'fang'pin'xing'chen'pi'jia 西里的战衣仿品星辰皮甲
'xi'li'de'zhan'yi'xing'chen'pi'jia 西里的战衣星辰皮甲
'xi'li'de'zhen'xiang'cui'yu'hu'shen'fu 西里的真相翠玉护身符
'xi'li'de'zhen'xiang'fang'pin'cui'yu'hu'shen'fu 西里的真相仿品翠玉护身符
'xi'wang'zhi'xian'chi'hong'zhu'bao 希望之线赤红珠宝
'xia'wan'zhi'xing'fang'pin'xian'zhe'fa'zhang 峡湾之星仿品贤者法杖
'xia'wan'zhi'xing'xian'zhe'fa'zhang 峡湾之星贤者法杖
'xia'wu'la'zhi'yin'hei'yao'hu'shen'fu 夏乌拉之印黑曜护身符
'xian'ji'wu'xie'jin'li'zhi'xue 献祭舞鞋禁礼之靴
'xian'ji'zhi'xin'ju'ren'mo'dun 献祭之心巨人魔盾
'xian'qu'de'wen'zhang'huang'yu'jie'zhi 先驱的纹章黄玉戒指
'xian'xue'zhi'pei'da'li'shi'hu'shen'fu 鲜血支配大理石护身符
'xian'zu'de'yuan'shi'cui'lv'zhu'bao 先祖的远视翠绿珠宝
'xiang'chou'zhi'huan'zi'jing'jie'zhi 乡愁之环紫晶戒指
'xiang'fu'ai'zi'mai'ta'dun 降伏艾兹麦塔盾
'xiang'sheng'xiang'ke'duan'bu'shou'tao 相生相克缎布手套
'xiang'sheng'xiang'ke'fang'pin'duan'bu'shou'tao 相生相克仿品缎布手套
'xiang'ya'zhi'ta'sheng'zhe'lian'jia 象牙之塔圣者链甲
'xiao'hui'zhan'shuang'feng'jian'dai 小会战双锋箭袋
'xiao'xiao'fang'pin'feng'bao'chang'zhang 宵晓仿品风暴长杖
'xiao'xiao'feng'bao'chang'zhang 宵晓风暴长杖
'xie'du'zhe'zhi'wo'an'ying'hu'shou 亵渎者之握暗影护手
'xie'shen'bi'hu'bo'wen'qing'dun 邪神庇护波纹轻盾
'xie'yan'zhi'guan'ling'zhu'zhi'huan 邪眼之冠灵主之环
'xie'yue'de'yi'wu'xian'zhe'fa'zhang 协约的遗物贤者法杖
'xin'ge'la'de'ning'shi'fang'pin'hei'yao'hu'shen'fu 辛格拉的凝视仿品黑曜护身符
'xin'ge'la'de'ning'shi'hei'yao'hu'shen'fu 辛格拉的凝视黑曜护身符
'xin'ling'chou'qu'ma'nao'hu'shen'fu 心灵抽取玛瑙护身符
'xin'ling'de'xi'mie'wu'ming'jie'zhi 心灵的息灭无名戒指
'xin'mu'yao'dao'yong'heng'zhi'jian 芯木腰刀永恒之剑
'xin'nian'zhi'zhen'hu'po'hu'shen'fu 信念之砧琥珀护身符
'xin'sheng'zhi'hui'xiu'mu'yuan'dun 新生之徽朽木鸢盾
'xin'yang'shou'wei'fu'wen'tou'kui 信仰守卫符文头盔
'xing'cun'zhe'de'kui'jiu'zhong'ge'yao'dai 幸存者的愧疚重革腰带
'xing'guang'sheng'bei'jian'tie'yao'ji 星光圣杯坚铁药剂
'xing'jie'tou'ying'huang'yu'jie'zhi 星界投影黄玉戒指
'xing'xing'zhi'ren'hu'ya'ju'jian 行刑之刃虎牙巨剑
'xiong'di'hui'hui'zhang'fang'pin'qing'yu'hu'shen'fu 兄弟会徽章仿品青玉护身符
'xiong'di'hui'hui'zhang'qing'yu'hu'shen'fu 兄弟会徽章青玉护身符
'xiong'xin'lun'huan'san'xiang'jie'zhi 雄心轮环三相戒指
'xiong'xin'wa'er'zhi'xiang 雄心瓦尔之相
'xiong'zhi'shu'yao'pi'ge'yao'dai 熊之束腰皮革腰带
'xu'kong'hui'yan'fang'pin'qian'neng'zhi'jie 虚空慧眼仿品潜能之戒
'xu'kong'hui'yan'qian'neng'zhi'jie 虚空慧眼潜能之戒
'xu'kong'jun'tuan'shou'tao 虚空军团手套
'xu'kong'xing'zhe'an'ying'zhe'chang'xue 虚空行者暗影者长靴
'xu'kong'xing'zhe'fang'pin'an'ying'zhe'chang'xue 虚空行者仿品暗影者长靴
'xu'kong'zhao'huan'lan'yu'jie'zhi 虚空召唤蓝玉戒指
'xu'kong'zhi'jian'zhe'yuan'shi'jian'dai 虚空制箭者原矢箭袋
'xu'kong'zhi'li'zhou'zhe'shou'tao 虚空之力咒者手套
'xu'wu'zhi'qing'you'xia'gong 虚无之倾游侠弓
'xuan'nian'ai'zi'mai'ta'dun 悬念艾兹麦塔盾
'xue'hen'chi'hong'zhu'bao 血痕赤红珠宝
'xue'ji'fang'pin'xiu'mu'zhi'gan 血棘仿品朽木之干
'xue'ji'xiu'mu'zhi'gan 血棘朽木之干
'xue'lang'de'hu'shen'chang'pao'mi'shu'chang'yi 薛朗的护身长袍秘术长衣
'xue'lang'de'mi'shu'chang'xue'xue'zhe'chang'xue 薛朗的秘术长靴学者长靴
'xue'lang'de'qi'shi'zhi'huan'yue'guang'shi'jie'zhi 薛朗的启示之环月光石戒指
'xue'lie'dun'ding'mu'bang 血裂钝钉木棒
'xue'lu'bin'de'e'zuo'ju'sheng'li'kui'jia 薛鲁宾的恶作剧胜利盔甲
'xue'mai'xiang'lian'gu'zhi'zhan'jia 血脉相连骨制战甲
'xue'mang'en'hui'xing'chen'pi'jia 雪盲恩惠星辰皮甲
'xue'rou'fen'beng'chi'hong'zhu'bao 血肉分崩赤红珠宝
'xue'rou'rong'he'gu'lan'zhu'bao 血肉融合钴蓝珠宝
'xue'rou'zhi'shi'meng'jing'zhi'chui 血肉之嗜梦境之锤
'xue'shi'fang'pin'zhu'si'zhi'pao 血誓仿品蛛丝之袍
'xue'shi'zhu'si'zhi'pao 血誓蛛丝之袍
'xue'wu'le'man'de'ning'shi'rui'li'zhi'ning'zhu'bao 薛乌勒曼的凝视锐利之凝珠宝
'xue'xue'fang'pin'rui'li'ci'bi 血谑仿品锐利刺匕
'xue'xue'rui'li'ci'bi 血谑锐利刺匕
'xue'ying'sha'pi'duan'xue 血影鲨皮短靴
'xue'you'bing'she'lin'shou'tao 血友病蛇鳞手套
'xue'zao'bo'pi'dao 血凿剥皮刀
'xue'zhai'lue'duo'zhe'zhi'kui 血债掠夺者之盔
'xun'bao'zhe'de'xin'yan'hei'yao'hu'shen'fu 寻宝者的心眼黑曜护身符
'ya'feng'feng'yin'qian'neng'zhi'jie 哑风封印潜能之戒
'ya'feng'jian'qi'you'cai'qing'dun 哑风尖旗釉彩轻盾
'ya'feng'qing'bu'she'lin'chang'xue 哑风轻步蛇鳞长靴
'ya'po'zhe'quan'gui'yuan'dun 压迫者权贵圆盾
'yan'shi'zhe'shi'shou'pi'kui 厌食者狮首皮盔
'yan'tou'ju'chi'jian'dai 岩头锯齿箭袋
'yao'ma'ke'de'xie'ding'wa'er'duan'zhang 夭马克的协定瓦尔短杖
'yao'ri'wei'neng'yuan'dun 耀日威能鸢盾
'yao'sai'shi'yue'gu'lan'zhu'bao 要塞誓约钴蓝珠宝
'ye'huo'ren'pi'jin'pi'ding'ji 野火韧皮烬皮酊剂
