'a'di'xia'hong'guang'xing'pai 阿底峡弘广行派
'shui'sheng'han'sheng'hua 水生旱生花
'shui'zhong'yi'ji'qing'cao'shang 水中以及青草上
'shuo'jian'xun'xiang'long 说见寻香龙
'shuo'shi'shi'qian'gui'ji'you 说施时前归己有
'shuo'wu'bi'yao'ling'wei'yue 说无必要令违越
'si'ci'er'jin'can 思此而进餐
'si'ci'gan'shang'lei'ying'ying 思此感伤泪盈盈
'si'dao'qiang'an'zhong 思盗强暗中
'si'gen'ben'jie'si'zhi'fen 四根本戒四支分
'si'gen'ben'zui'xing'xue'chu 四根本罪行学处
'si'gong'yang'ji'ban'yi'jia 思供养己办衣价
'si'mian'zhi'zuo'cheng'fu'ju 丝棉制作成敷具
'si'shi'bi'ding'wang'sheng'qing'jing'sha 死时必定往生清净刹
'si'shi'kong'ju'zheng'ning'yu'zu'shuo 死时恐惧狰狞狱卒说
'si'shi'yong'shi'kong'hang'zuo'ying'jie 死时勇士空行作迎接
'si'si'er'bu'wei 思死而不为
'si'wu'zui'gou'yi'ci'shan 思无罪垢以此善
'si'zhong'suo'duan'ji'chu'shang 四种所断基础上
'song'bu'shi'er'ji 诵布施二偈
'song'jing'yi'shi'ji'zi'ru 诵经依师及自入
'su'guo'ye'shi'yu'shou'bo 宿过夜食与受钵
'su'jia'ni'pai'wei'zhe'shi 俗家尼派未遮食
'su'ren'da'pen'ti 俗人打喷嚏
'sui'bu'ke'liang'ran'yu'ci 虽不可量然于此
'sui'de'ge'guo'shang'you'zeng 虽得各果尚有增
'sui'di'miao'chuang'ta 虽低妙床榻
'sui'huo'xia'man'nan'de'zhen'bao'shen 虽获暇满难得珍宝身
'sui'lei'yu'jia'ji'mu'xu 随类瑜伽即母续
'sui'li'yin'fa'pu'ti'xin 随力引发菩提心
'sui'ran'chu'jin'yin 虽然触金银
'sui'wu'chu'li'fa'xin'suo'she'jie 虽无出离发心所摄戒
'sui'wu'shuo'you'shang'ren'fa 虽无说有上人法
'sui'wu'yi'fen'wen'si'xiu'gong'de 虽无一分闻思修功德
'sui'yi'cheng'nuo'yi'shu'liang 随意承诺依数量
'sui'yu'mei'nv'zhao'xi'gong'xiang'chu 虽与美女朝夕共相处
'sui'yu'yuan'rong'cheng'ming'xiang 虽欲圆融成名相
'sun'huai'zhong'zi'yu'xian'hui 损坏种子与嫌毁
'suo'duan'wu'zhong'gen'ben'jie 所断五种根本戒
'suo'pei'liang'shi'jiu 所配粮食酒
'suo'sheng'san'men'suo'zhi'gou 所生三门所知垢
'suo'wei'dan'duo'jiu'shi'zheng 所谓单堕九十整
'suo'wei'fu'zang'mi'bu'yan 所谓覆藏密不言
'suo'wei'san'zhong'feng'xing'ju 所谓三种奉行聚
'suo'wei'tan'wei'zhang 所谓贪为障
'suo'wei'yin'chun'yin 所谓银纯银
'suo'yao'fa'yi'zhi'bu'liao 索要法衣之布料
'suo'you'yi'qie'shi 所有一切事
'suo'zhe'fan'nao'xu'bu'fu 所遮烦恼需不缚
'ta'da'bu'hai'da 他打不还打
'ta'ma'bu'huan'ma 他骂不还骂
'ta'nu'bu'hai'nu 他怒不还怒
'ta'ren'chan'hui'bu'jie'shou 他人忏悔不接受
'ta'zhi'wei'wang'yan 他知为妄言
'tan'chen'chi'man'ji'du'wu 贪嗔痴慢嫉妒五
'tan'zhi'zi'jing'shuang'yun'yi'guang'ming 贪执自净双运义光明
'tan'zhu'e'lie'nv'ren'yu'chi'pu 贪著恶劣女人愚痴仆
'tang'ruo'reng'yan'shuo 倘若仍言说
'te'shu'sha'sheng'jin'gang'bu 特殊杀生金刚部
'ti'xing'yi'zhi'jia'zhi'liang 提醒衣质价值量
'tian'jia'dan'she'nie'ban'shi 填颊弹舌啮半食
'tian'liang'qian'song'jing 天亮前诵经
'tian'zhuang'jia'di'ji 田庄稼地基
'tiao'qi'su'yuan'he'yi'fen 挑起宿怨合亦分
'ting'bi'sheng'jiao'tan 听彼声交谈
'ting'wen'mei'niao'shan'shuo'yue'er'ge 听闻美鸟善说悦耳歌
'ting'zhe'li'wo'ji'di'zuo 听者立卧己低坐
'tong'chuan'shun'xing'huo'ni'xing 同船顺行或逆行
'tong'da'jie'gui'zhe 通达戒轨者
'tong'ku'wu'yu'lun'bi'chu 痛苦无与伦比处
'tong'zhu'cuo'hun'yan'ban'guo 同住撮婚掩伴过
'tou'ren'cai'bao'deng 偷人财宝等
'tui'bi'bu'de'bi'zhi'guo 退彼不得彼之果
'tui'fo'guo'fa'xiao'cheng'xin 退佛果发小乘心
'tuo'ye'yong'ya'mu 唾液用牙木
'wai'biao'sui'xian'shan'miao'yi'xi'you 外表虽现善妙亦希忧
'wai'biao'zhuang'zuo'guang'xing'wen'si'xiu 外表装作广行闻思修
'wan'zheng'wu'wu'dao'fo'shuo 完整无误道佛说
'wang'ji'zhi'yan'jie'yi'ren 妄基知言解意人
'wang'sheng'ji'le'sha'tu'zeng'an'le 往生极乐刹土增安乐
'wang'xi'shou'chi'ru'hai'yuan'man'jie 往昔受持如海圆满戒
'wang'yu'qi'yu'wu'ying'xing 妄语绮语五应行
'wei'ceng'yi'xiu'deng'er'xing 未曾依修等而行
'wei'cha'shuo'fa'cha'zhi'mu 未差说法差至暮
'wei'chu'pin'kun'san'bu'shi 为除贫困三布施
'wei'da'she'xiao'zui'xing'xiang 为大舍小罪形象
'wei'hou'shi'shou'shan'yuan'jie 为后世受善愿戒
'wei'hu'yan'san'yi'bu'zheng 未护眼散衣不整
'wei'jia'chi'bo'guo'shi'ri 未加持钵过十日
'wei'ju'shen'fa'wu'zhe'qian 畏惧深法五者前
'wei'lian'hua'bu'zhi'shi'yan 为莲花部之誓言
'wei'liang'zhe'xu'zhi'zhe'xu 违量遮需智者许
'wei'ling'fan'zui'quan'geng'shi 为令犯罪劝更食
'wei'man'er'shi'shou'hou'zhi 未满二十受后知
'wei'man'er'shi'shou'jin'yuan 未满二十授近圆
'wei'ming'yi'xu'shou'di'wu'duo'zui 为命亦须守第五堕罪
'wei'nao'yan'jiao'fan'duo'zui 违恼言教犯堕罪
'wei'neng'ru'li'qu'she'fan'jie'zhe 未能如理取舍犯戒者
'wei'neng'yin'dao'bi'deng'zhong 为能引导彼等众
'wei'nv'shuo'fa'ji'shuo'zui 为女说法及说罪
'wei'qian'ji'bing'shi 为遣饥病食
'wei'qian'qie'nuo'lue'shuo'shi 为遣怯懦略说十
'wei'qing'wei'cha'zong'shen'meng 未请未察纵身猛
'wei'qiu'li'yang'xuan'yao'ji 为求利养炫耀己
'wei'ru'fa'shou'guo'man'bo 未如法受过满钵
'wei'ru'liang'shi'xian'zhang'kou 未如量食先张口
'wei'ru'yi'cheng'zen'de'guo 未入一乘怎得果
'wei'shen'yu'yi'san'jin'gang 为身语意三金刚
'wei'shi'chi'jie'xin 未失持戒心
'wei'shi'hui'gong'er'chou'bu 违誓会供而酬补
'wei'shi'shuo'fa'zuo'ni'yi 为食说法做尼衣
'wei'shi'zui'jiu'shi'liu'shi 未失最久十六世
'wei'shou'ling'sheng'huan'xi'zhi'jing'jie 未守令圣欢喜之净戒
'wei'shou'shi'yan'zhi'gu'quan'wo'shuo 为守誓言之故劝我说
'wei'si'li'yi'guo'qi'ri 畏寺离衣过七日
'wei'tan'cheng'deng'zuo 为坛城等做
'wei'wu'shang'mi'zhi'fen'zhi 为无上密之分支
'wei'xu'jie'nei'ling'ju'shi 未许界内另聚食
'wei'xu'sun'zhong'shi'xu'wu 未许损种食蓄物
'wei'xun'ji'huo'shao'xu'bu'shou'fu 未寻即获少许不受缚
'wei'ye'suo'xian'e'lie'luo'cha'shi 为业所现恶劣罗刹食
'wei'yi'da'mi'neng'cheng'shu 未依大密能成熟
'wei'yu'er'shi'yan'si'yao 未与而食咽四药
'wei'yuan'man'yu'shi'hui'zhe 未圆满与失毁者
'wei'ze'fan'e'zuo 为则犯恶作
'wei'zeng'bu'shi'de 为增布施德
'wei'zhu'da'cheng'zhong'xing'zhe 为诸大乘种性者
'wei'zi'guo'liang'da'xiao'wu 为自过量大小屋
'wen'dao'ru'ci'bu'sheng'geng'you'chou 闻到如此怖声更忧愁
'wen'gu'ding'jie'fan'hui'li 稳固定解返回力
'wen'gu'zhu'jie'lv 稳固诸戒律
'wen'shu'jie'ji'long'meng'shi 文殊结集龙猛释
'wen'zhe'jin'gang'shou'jie'ji 问者金刚手结集
'wo'yi'qing'jing'zhi'xin'sui'yi'xie 我以清净之心随意写
'wo'yi'wang'bi'qian 我亦往彼前
'wu'bu'gong'tong'wu'shi'yan 五部共同五誓言
'wu'deng'man'deng'gao'guang'chuang 舞等鬘等高广床
'wu'fa'tou'sheng'gan'shou'si'wang'ku 无法投生感受死亡苦
'wu'gen'bang'yu'nv'tong'hang 无根谤与女同行
'wu'gou'lv'cang'zhi'bie'jie'tuo'jie 无垢律藏之别解脱戒
'wu'gu'fei'bang'jia'gu'bang 无故诽谤假故谤
'wu'hu'duo'shu'ru'wo'sui'mo'zhuan 呜呼多数如我随魔转
'wu'hu'fo'fa'zhen'bao'shan'ju'ben 呜呼佛法珍宝善聚本
'wu'hu'po'jie'shao're'da'di'shang 呜呼破戒烧热大地上
'wu'hu'wo'yu'ru'wo'zhuo'shi'zhong 呜呼我与如我浊世众
'wu'jia'bin'chu'er'fei'bang 污家摈除而诽谤
'wu'jin'dan'zeng'nuo'wu'zun'zhe 邬金丹增诺吾尊者
'wu'jin'dan'zeng'nuo'wu'zun'zhe'zhu 邬金丹增诺吾尊者著
'wu'kou'dang'shen'zhong 捂口当慎重
'wu'li'piao'bo'lun'hui'e'qu'chu 无利漂泊轮回恶趣处
'wu'li'qin'xing'wu'zui'xiang 无力勤行无罪相
'wu'lun'he'ren'shou'chi'qing'jing'jie 无论何人受持清净戒
'wu'lun'zhi'feng'ming'dian'zi'zai'shi 五轮之风明点自在时
'wu'neng'li'shou'wu'zui'ye 无能力守无罪业
'wu'neng'wei'li'jie'wu'zui 无能为力皆无罪
'wu'qi'ma'pi'deng 勿骑马匹等
'wu'qin'huo'de'shi'jian'zhu'zhong'zan 无勤获得世间诸众赞
'wu'qin'zhi'zhong'huo'de'san'xue'de 无勤之中获得三学德
'wu'qin'zhi'zhong'zi'ran'er'ju'ji 无勤之中自然而聚集
'wu'se'tian'zun'wu'ying'zhi 五色天尊五应知
'wu'shang'fu'xu'da'yu'jia 无上父续大瑜伽
'wu'shang'zhi'zong'nian'wu'jie 无上之宗廿五戒
'wu'shi'wan'xu'zhi'jiao'zheng 五十万续之教证
'wu'shi'yi'en'yang'yu'zhu'you'qing 无始以恩养育诸有情
'wu'shuo'li'jian'yu 勿说离间语
'wu'sui'wu'you'zheng'wu'ding'cheng'zhi 吾虽无有证悟顶乘智
'wu'sun'san'men'zhong 无损三门中
'wu'tan'bu'bian'fa'xing'da'le'yuan 无贪不变法性大乐源
'wu'tan'jue'kong'wu'bie'fo'mi'yi 无贪觉空无别佛密意
'wu'wu'er'xing'wu'hui'xin 无误而行无悔心
'wu'wu'qu'she'yin'guo'chi'jie'shi 无误取舍因果持戒士
'wu'wu'ta'ren'chu 无误他人处
'wu'xiang'he'zhe'yi'nian'jie 无相合者意念戒
'wu'xu'bie'jie'tuo'jie'lv 无需别解脱戒律
'wu'ya'ying'jiu'kun'chong'shi'nao'sui 乌鸦鹰鹫昆虫食脑髓
'wu'yin'guo'jian'duan'gen'zhong 无因果见断根重
'wu'you'bu'she'yu'ci'chu 无有不摄于此处
'wu'yuan'xiu'chi'shou'si'guan 无缘修持受四灌
'wu'yun'wu'da'wu'jing'gen 五蕴五大五境根
'wu'zheng'nian'wu'zuo 无正念勿坐
'wu'zhu'cheng'xu'shou'yuan'xin 无著承许受愿心
'wu'zhu'guan'dian'yuan'xue'chu 无著观点愿学处
'wu'zhu'shi'qin'zuo'quan'shi 无著世亲作诠释
'wu'zhu'ze'shuo'bi'suo'yi 无著则说彼所依
'wu'zu'zhi'han'sheng 无足之含生
'wu'zui'bu'gao'er'li'qu 无罪不告而离去
'xi'gu'wei'shuo'yue'xue'ji 细故未说阅学集
'xi'lian'shua'ya'hou 洗脸刷牙后
'xi'qiu'shan'dao'you'yuan'zhu'tong'zi 希求善道有缘诸童子
'xi'shou'hou'ru'li 洗手后如理
'xi'shou'qing'jing'hou 洗手清净后
'xi'wei'e'zuo'si'shi'liu 细微恶作四十六
'xi'wei'ming'dian'yu'jia'jing 细微明点瑜伽净
'xia'deng'zhe'yu'yi'ren'qian 下等者于一人前
'xia'ye'shi'qi'chuang 下夜时起床
'xian'an'dou'po'ceng'ji'xi 险岸陡坡层级洗
'xian'an'dou'po'lu'di'zhi 险岸陡坡露地置
'xian'duo'shi'quan'e'xing'ju 现堕时劝恶性拒
'xian'jie'zhong'sheng'dao'shi'fo 贤劫众生导师佛
'xian'mi'zhu'dao'wei'zhong'sheng 显密诸道为众生
'xian'xing'gui'li'wu'ze'ding 现行轨离五择定
'xian'zong'ruo'you'ru'shi'shuo 显宗若有如是说
'xiang'bi'hui'zui'you'shi'yi 向彼悔罪有十一
'xiang'bi'hui'zui'you'si'zhong 向彼悔罪有四种
'xiang'fan'si'bai'fa'jie'xing 相反四白法皆行
'xiang'hu'yan'tao'fo'fa'zhen'huan'xi 相互研讨佛法真欢喜
'xiang'shou'yuan'man'wu'yu'sheng'ji'xi 享受圆满五欲生极喜
'xiang'wang'du'zi'xi'chu'chang'xiu'xing 向往独自喜处常修行
'xiang'wo'bu'ke'na 想我不可纳
'xiang'ya'deng'shi'chuang 象牙等饰床
'xiang'yong'fo'fa'wu'lou'gan'lu'wei 享用佛法无漏甘露味
'xiang'yong'you'han'sheng'zhi'shui 享用有含生之水
'xie'jian'guo'wang'wu'ding'zui 邪见国王五定罪
'xie'lou'jiao'yan'yin'gu'bu'yu'shuo 泄露教言因故不欲说
'xie'lou'mi'mi'di'qi'tiao 泄露秘密第七条
'xin'feng'ru'hai'fo'zi'xing 信奉如海佛子行
'xin'shi'ti'wen'shuo'ta'fa 信士提问说他法
'xin'xiang'zhong'sheng'li'zhu'le 心想众生离诸乐
'xing'shan'wu'qi'yuan'qi'zhi'te'fa 行善无欺缘起之特法
'xing'shan'zeng'shang'shu'sheng'zhu'ru'lai 行善增上殊胜诸如来
'xing'shen'wen'si'xiu'zhi'hui 行深闻思修智慧
'xing'shi'jing'chu'xing'mi'zong 行时静处行密宗
'xing'si'hei'fa'she'zhong'sheng 行四黑法舍众生
'xing'xin'xue'chu'xing'liu'du 行心学处行六度
'xing'xin'ze'wei'shi'xing'chi 行心则为实行持
'xing'zhi'deng'she'jie'duo'zui 行止等舍皆堕罪
'xing'zhu'zuo'wo'wei'yi'zhong 行住坐卧威仪中
'xiong'e'nv'ren'yong'bao'shao'nei'zang 凶恶女人拥抱烧内脏
'xiu'de'san'shen'ju'neng'li 修得三身具能力
'xiu'shi'chu'shi'zhi'jing'lv 修世出世之静虑
'xiu'zhe'shou'yong'shi'song'zhe 修者受用施诵者
'xiu'zhi'san'xiang'zun'sheng'ci 修知三相尊生次
'xu'duan'xin'xu'yu'zhong'zi 许断心续与种子
'xu'dui'ji'xu'yi'kai'xu 蓄对积蓄亦开许
'xu'jie'he'shi'shi'lun'shuo 需结合时时轮说
'xu'ju'bie'jie'tuo'jie'zhe 需具别解脱戒者
'xu'ruo'ju'jie'fan'ta'sheng 许若具戒犯他胜
'xuan'shuo'san'shi'she'duo'zui 宣说三十舍堕罪
'xuan'shuo'shi'si'gen'ben'jie 宣说十四根本戒
'xuan'shuo'wu'bian'guang'san'zang 宣说无边广三藏
'xuan'shuo'xu'bu'zong'shi'yan 宣说续部总誓言
'xue'chu'bu'gong'san'gui'yi 学处不共三皈依
'xue'yu'bi'deng'zhi'yi'fang 雪域彼等执一方
'xue'yu'zhu'cheng'jiu'zhe'sheng'ding'shi 雪域诸成就者胜顶饰
'xue'yuan'xing'xin'san'lv'yi 学愿行心三律仪
'xue'zhu'tong'pin'duan'wei'pin 学诸同品断违品
'xun'guo'bu'huan'bao 寻过不还报
'xun'mi'ke'shou'zhe 寻觅可受者
'xun'qing'yi'ji'qing'xue'chu 徇情以及轻学处
'xun'si'heng'liang'shi'yi'tiao 寻思衡量十一条
'xun'wen'xu'zuo'shi 询问需做事
'ya'mu'chu'gou'ji 牙木除垢剂
'yan'er'bi'she'shen'wu'gen 眼耳鼻舌身五根
'yan'jin'e'xing'she'shan'fa 严禁恶行摄善法
'yan'shi'zhong'zhong'zhu'bao'zhen'huan'xi 严饰种种珠宝真欢喜
'yan'shuo'jian'ben'zun 言说见本尊
'yan'xiang'he'yu'qie'fa'yuan 言相合语且发愿
'yao'deng'shi'yu'bie'lun'zhi 药等事于别论知
'yao'guo'qi'ri'er'ji'xu 药过七日而积蓄
'yao'shen'diao'bi'shou'cha'yao 摇身掉臂手叉腰
'yao'tou'bi'jian'xie'shou'xing 摇头比肩携手行
'ye'cha'shi'rou'gui 夜叉食肉鬼
'ye'su'guo'wang'wang'fei'gong 夜宿国王王妃宫
'yi'ai'yu'yin'ling'qi'xin 以爱语引令起信
'yi'bai'ling'yi'zhong'jie'mo 一百零一种羯磨
'yi'chen'hen'xin'sun'ta'zhong 以嗔恨心损他众
'yi'cheng'jiu'zhe'zhi'shan'shuo 依成就者之善说
'yi'cheng'san'zui'ye 亦成三罪业
'yi'chi'gao'mu'chuang 一尺高木床
'yi'ci'suo'shuo'xing 依此所说行
'yi'ci'wei'yuan'yi'fu'ran 以此为缘亦复然
'yi'ci'xi'yue'shi'wei'de 以此喜悦视为德
'yi'ci'xing'shou'zi'ta'xi 一次性受自他喜
'yi'di'jie'fen'shi'di'jian 以地界分十地间
'yi'du'zan'zi'er'hui'ta 以妒赞自而毁他
'yi'duan'xin'chi'san'jie'lv 以断心持三戒律
'yi'fa'tiao'fu'zi'xu'chi'lv'shi 以法调伏自续持律士
'yi'fan'fu'geng'wei'guan'bo 以饭覆羹未观钵
'yi'fei'gong'de'suo'yi'gu 亦非功德所依故
'yi'ge'qing'cao'jun'duan'chu 刈割青草均断除
'yi'huan'xi'xin'yin'chu'miao'gong'de 以欢喜心引出妙功德
'yi'hui'zhai'cun'xiang'zhen'cheng 亦毁宅村乡镇城
'yi'huo'zheng'lun'er'huo'de 抑或争论而获得
'yi'ji'ba'zhong'zi'zai'de 以及八种自在德
'yi'ji'bian'zhi'he'xing'wei 以及遍知何行为
'yi'ji'cong'bi'shou'yi'liao 以及从彼受衣料
'yi'ji'cu'e'yu 以及粗恶语
'yi'ji'du'song'san'ju'jing 以及读诵三聚经
'yi'ji'fa'wei'huang'se'deng 以及发为黄色等
'yi'ji'pu'sa'fen'bie'you 以及菩萨分别有
'yi'ji'rao'yi'you'qing'jie 以及饶益有情戒
'yi'ji'wei'li'ta'zhong'sheng 以及为利他众生
'yi'ji'xin'pai'zhi'zong'gui 以及新派之宗轨
'yi'jie'er'jie'duo'yuan'jie 一戒二戒多圆戒
'yi'jin'li'ge'cheng'suo'duan 亦仅离各乘所断
'yi'jing'qu'ru'dao 已经趋入道
'yi'kao'san'xiang'er'xing'yin 依靠三想而行淫
'yi'kao'zhong'zhong'fa 依靠种种法
'yi'le'cha'bie'ru'mi'zong 意乐差别入密宗
'yi'le'sha'xin'zhi'suo'sha 意乐杀心知所杀
'yi'le'wei'zi'de'sheng'cun 意乐为自得生存
'yi'le'wu'can'wei'tan'xin 意乐无惭畏贪心
'yi'le'zhuan'xiang'sheng'shuo'xin 意乐转想生说心
'yi'lei'kong'xing'da'bei'cang 一类空性大悲藏
'yi'li'fo'ta'deng 已礼佛塔等
'yi'li'jian'yu'fen'kai'you 以离间语分开友
'yi'liao'ji'xu'guo'yi'yue 衣料积蓄过一月
'yi'mo'tuo'yi'zhuang 亦莫脱衣装
'yi'neng'sheng'jie'long'meng'zong 亦能生戒龙猛宗
'yi'qie'he'cheng'ju'sheng'zhi'xiang'qi 一切合成俱生之香气
'yi'qie'sheng'zhe'hu'fa'yi'yuan'li 一切圣者护法亦远离
'yi'qie'xi'you'zeng'shang'ding'sheng'yin 一切稀有增上定胜因
'yi'qie'xing'wei'jun'ying'duan 一切行为均应断
'yi'qie'you'bu'sha'mi'wu'shi'song 一切有部沙弥五十颂
'yi'qie'zui'zhong'zui'yan'zhong 一切罪中最严重
'yi'ru'hai'xu'ci'xuan'shuo 依如海续此宣说
'yi'shi'pi'ge'she'zhai'shi 衣事皮革舍宅事
'yi'shi'zhi'bu 译师智部
'yi'shuo'zui'ti'er'chan'hui 以说罪体而忏悔
'yi'tan'chu'nv'shen'bu'wei 以贪触女身部位
'yi'tan'fei'shi'gu'chu'jing 以贪非时故出精
'yi'tan'nan'gen'ru 以贪男根入
'yi'tan'piao'bo'da'di'ru'e'gou 以贪漂泊大地如饿狗
'yi'tan'shi'hui'shen'jing'yi'ming'dian 以贪失毁身精一明点
'yi'wei'yin'dao'di'jiu'tiao 疑为引导第九条
'yi'wu'pian'xin'gong'shi'lun'nie'ke 以无偏心供施轮涅客
'yi'wu'tan'zuo'gong'shi'zhen'xiang'wang 以无贪作供施真想望
'yi'wu'zhu'zui'ye 亦无诸罪业
'yi'xin'wu'shang'pu'ti'guo 亦信无上菩提果
'yi'xin'xiu'chi'wu'shi'huan'hua'yi 一心修持无实幻化义
'yi'xing'yuan'man'zhen'bao'pu'ti'xin 意行圆满珍宝菩提心
'yi'yao'mi'ming'zhou 以药密明咒
'yi'yu'jing'zhong'you'ming'shuo 亦于经中有明说
'yi'yu'le'nan'gen 以欲乐男根
'yi'yu'se'da'la'rong'wu'ming'fo'xue'yuan 译于色达喇荣五明佛学院
'yi'yuan'xing'ge'yi'gui'shou 以愿行各仪轨受
'yi'zhang'huo'fo'guo 亦障获佛果
'yi'zhi'ming'fei'hui'gong'shi 依止明妃会供时
'yi'zhi'xiang'xia'duo 依之向下堕
'yi'zi'zhi'li'qu'gan'lu 以自之力取甘露
'yi'zuo'chuan'lou'you'chong'shui 以座穿漏有虫水
'yi'zuo'zhi'shi'sheng'hui'xin 已做之事生悔心
'yin'cang'zhi'zhe'zuo'quan'shi 印藏智者作诠释
'yin'du'kan'bu 印度堪布
'yin'ru'cao'zhong'zhong'zao'fang 引入草中重造房
'yin'ru'yi'dao'zhi'jie'ti 引入一道之阶梯
'yin'yong'nan'ren'fei'teng'tong'shui'ye 饮用难忍沸腾铜水液
'ying'dang'wu'han'sheng 应当无含生
'ying'dang'xiang'cha'yong 应当详察用
'ying'dang'zhu'chang'shou 应当祝长寿
'ying'shi'bu'yi'shi'san'tiao 应时不依十三条
'ying'shi'dang'yong'can 应时当用餐
'ying'shi'zhu'xing'yao'bu'wei 应时主行要不违
'ying'shou'xue'chu'yuan'xiu'fa 应守学处圆修法
'yong'can'tong'shi'yin 用餐同时饮
'you'han'sheng'guo'lv 有含生过滤
'you'kai'xu'shi'shi'wei'shan 有开许时实为善
'you'qi'qian'yi'da'yuan'man 尤其前译大圆满
'you'qiao'jue'zuo'chan 有窍诀坐禅
'you'ru'en'zha'bu'de'wang 犹如恩札布德王
'you'ru'yu'xing'yu'zheng'hang 犹如欲行与正行
'you'shuo'yuan'wu'bing 幼说愿无病
'you'wei'po'yi'jun'shi'hui 有谓破一均失毁
'you'xiang'wu'xiang'yuan'ci'di 有相无相圆次第
'you'ying'liang'ju'yi'chong'zhi 有应量具亦重制
'you'zhi'zhi'shi'wei'he'bu'ying'ling 有智之士为何不应令
'yu'bi'qiu'yi'fu'duo'hui 予比丘衣复夺回
'yu'cheng'hua'yuan'ni'shi'xiang 于城化缘尼食享
'yu'chi'e'jian'seng'tong'su 与持恶见僧同宿
'yu'chi'e'jian'zhe'chang'tan 与持恶见者畅谈
'yu'ci'shang'zhong'xia'gen'zhong 于此上中下根中
'yu'fei'qi'shuo'ba'cu'duo 于非器说八粗堕
'yu'fei'qin'shu'zai'jia'ren 于非亲属在家人
'yu'fei'xing'chu'chu'jing'ye 于非行处出精液
'yu'ji'dao'guo'qing'jing'xing 于基道果清净性
'yu'jia'zong'mu'yu'hui'jing 瑜伽总沐浴悔净
'yu'ju'er'jie'fo'zhi'zhe 于具二戒佛制者
'yu'ju'huo'po'jie 于具或破戒
'yu'jun'shi'xing'fo'suo'shuo 余均实行佛所说
'yu'liu'bu'shan'tong'fen'duan 余六不善同分断
'yu'liu'deng'si'guo 预流等四果
'yu'qiu'huo'de'pu'ti'gu 欲求获得菩提故
'yu'seng'qian'chan'shi'jie'jing 于僧前忏视戒净
'yu'shan'zhi'ren'he'bu'qin'chi'jie 欲善之人何不勤持戒
'yu'shang'xia'ye'shi 于上下夜时
'yu'sheng'ming'nan'ze'wu'zui 遇生命难则无罪
'yu'shi'qian'ding'li 于师前顶礼
'yu'shi'qu'she'ru'lai'jiao 于示取舍如来教
'yu'shi'zhu'chu'men 于师住处门
'yu'shou'jie'zhi'zhe 欲守戒智者
'yu'song'jing'deng'yan'fang'zhi 于诵经等言方知
'yu'ta'qi'shang'shen'bo'shou 于他器上伸钵受
'yu'wei'jin'yuan'guo'liang'xiu 与未近圆过两宿
'yu'wei'jin'yuan'zhe'tong'song 与未近圆者同诵
'yu'wei'xiu'zhe'shuo'kong'xing 于未修者说空性
'yu'wei'xuan'shuo'zhi'ming'fei 于未宣说之明妃
'yu'wu'yun'ji'wu'fo'tuo 于五蕴即五佛陀
'yu'xin'wai'fa'shi'shen'yin 于信外法示身印
'yu'xin'wei'fa'er'xuan'shuo 愚信伪法而宣说
'yu'yi'fa'yi'chao'yue'liang 雨衣法衣超越量
'yu'yi'jie'zhi'guo'ban'yue 雨衣解制过半月
'yu'ying'jiu'shan'deng'sheng'di 于鹰鹫山等圣地
'yu'zei'tong'hang'dao'yi'tong 与贼同行盗亦同
'yu'zhu'fo'zi'yong'shi'zhong'hui'zhong 于诸佛子勇士众会中
'yu'zong'yuan'jin'mi'dao'you 于总远近密道友
'yu'zui'zhou'ye'song'san'bian 余罪昼夜诵三遍
'yuan'cheng'ru'xin'wen'si'xiu'zhu'yuan 愿成汝心闻思修助缘
'yuan'li'kai'xu'jun'duan'chu 远离开许均断除
'yuan'man'jing'jie'da'sheng'zhi'xing'wei 圆满净戒大圣之行为
'yuan'qi'ji'yu'lu'ye'yuan 缘起即于鹿野苑
'yuan'shi'chan'tou'yu'liao'yi 远视缠头与撩衣
'yuan'su'jiu'tuo'fei'li'zuo'yi'tu 愿速救脱非理作意途
'yuan'xin'xue'chu'si'wu'liang 愿心学处四无量
'yuan'yu'shi'fang'san'shi'cheng'wei 愿于十方三时成为
'yuan'zhong'su'de'pu'xian'guo 愿众速得普贤果
'yue'shi'shi'hui'li'ming'shi 越时失毁黎明时
'yue'shi'zi'qi'zhu'bao'deng 越誓子妻珠宝等
'yue'yi'ri'yue'yi'er'nian 越一日月一二年
'zai'shi'pan'guo'gao'ren'shu 再食攀过高人树
'zan'jie'lun 赞戒论
'zan'qian'wei'yuan'jiu'wei'jie 暂遣违缘救畏戒
'zan'zi'hui'ta'tan'ming'li 赞自毁他贪名利
'zao'wu'jian'zui'bei'ju'zhou 造无间罪北俱洲
'zao'wu'wu'jian'deng'yi'qie 造五无间等一切
'ze'dang'jiang'fo'fa 则当讲佛法
'ze'ding'huan'xi'wen'si'fo'jiao'yi 则定欢喜闻思佛教义
'ze'hui'zhong'duo'shen'jie'kong'hang'cheng 则毁众多身界空行城
'ze'ji'wan'yi'mi'shi'yan 则集万亿密誓言
'ze'ke'hui'fu'hou'jian'zhong 则可恢复后渐重
'ze'neng'sheng'qi'pu'sa'jie 则能生起菩萨戒
'ze'ru'ju'cai'yi'qian'zhai 则如具财亦欠债
'ze'she'bi'qiu'zhi'jie'lv 则舍比丘之戒律
'ze'she'zheng'xue'nv'jie'lv 则舍正学女戒律
'ze'sheng'zheng'xiang'de'ya'bu'kun'nan 则生证相德芽不困难
