'a'ba'shi'fan'xue'yuan 阿坝师范学院
'ha'er'bin'ying'yong'zhi'ye'ji'shu'xue'yuan 哈尔滨应用职业技术学院
'ha'er'bin'you'er'shi'fan'gao'deng'zhuan'ke'xue'xiao 哈尔滨幼儿师范高等专科学校
'ha'er'bin'yuan'dong'li'gong'xue'yuan 哈尔滨远东理工学院
'ha'er'bin'zhi'ye'ji'shu'xue'yuan 哈尔滨职业技术学院
'ha'mi'zhi'ye'ji'shu'xue'yuan 哈密职业技术学院
'hai'kou'jing'ji'xue'yuan 海口经济学院
'hai'nan'da'xue 海南大学
'hai'nan'gong'shang'zhi'ye'xue'yuan 海南工商职业学院
'hai'nan'jian'kang'guan'li'zhi'ye'ji'shu'xue'yuan 海南健康管理职业技术学院
'hai'nan'jing'mao'zhi'ye'ji'shu'xue'yuan 海南经贸职业技术学院
'hai'nan'ke'ji'zhi'ye'da'xue 海南科技职业大学
'hai'nan're'dai'hai'yang'xue'yuan 海南热带海洋学院
'hai'nan'ruan'jian'zhi'ye'ji'shu'xue'yuan 海南软件职业技术学院
'hai'nan'shi'fan'da'xue 海南师范大学
'hai'nan'ti'yu'zhi'ye'ji'shu'xue'yuan 海南体育职业技术学院
'hai'nan'wai'guo'yu'zhi'ye'xue'yuan 海南外国语职业学院
'hai'nan'wei'sheng'jian'kang'zhi'ye'xue'yuan 海南卫生健康职业学院
'hai'nan'yi'xue'yuan 海南医学院
'hai'nan'zheng'fa'zhi'ye'xue'yuan 海南政法职业学院
'hai'nan'zhi'ye'ji'shu'xue'yuan 海南职业技术学院
'han'dan'ke'ji'zhi'ye'xue'yuan 邯郸科技职业学院
'han'dan'xue'yuan 邯郸学院
'han'dan'you'er'shi'fan'gao'deng'zhuan'ke'xue'xiao 邯郸幼儿师范高等专科学校
'han'dan'zhi'ye'ji'shu'xue'yuan 邯郸职业技术学院
'han'jiang'shi'fan'xue'yuan 汉江师范学院
'han'kou'xue'yuan 汉口学院
'han'shan'shi'fan'xue'yuan 韩山师范学院
'han'zhong'zhi'ye'ji'shu'xue'yuan 汉中职业技术学院
'hang'zhou'dian'zi'ke'ji'da'xue 杭州电子科技大学
'hang'zhou'dian'zi'ke'ji'da'xue'xin'xi'gong'cheng'xue'yuan 杭州电子科技大学信息工程学院
'hang'zhou'ke'ji'zhi'ye'ji'shu'xue'yuan 杭州科技职业技术学院
'hang'zhou'shi'fan'da'xue 杭州师范大学
'hang'zhou'shi'fan'da'xue'qian'jiang'xue'yuan 杭州师范大学钱江学院
'hang'zhou'wan'xiang'zhi'ye'ji'shu'xue'yuan 杭州万向职业技术学院
'hang'zhou'yi'xue'yuan 杭州医学院
'hang'zhou'zhi'ye'ji'shu'xue'yuan 杭州职业技术学院
'he'bei'bei'fang'xue'yuan 河北北方学院
'he'bei'chuan'mei'xue'yuan 河北传媒学院
'he'bei'da'xue 河北大学
'he'bei'da'xue'gong'shang'xue'yuan 河北大学工商学院
'he'bei'di'zhi'da'xue 河北地质大学
'he'bei'di'zhi'da'xue'hua'xin'xue'yuan 河北地质大学华信学院
'he'bei'dong'fang'xue'yuan 河北东方学院
'he'bei'dui'wai'jing'mao'zhi'ye'xue'yuan 河北对外经贸职业学院
'he'bei'gong'an'jing'cha'zhi'ye'xue'yuan 河北公安警察职业学院
'he'bei'gong'cheng'da'xue 河北工程大学
'he'bei'gong'cheng'da'xue'ke'xin'xue'yuan 河北工程大学科信学院
'he'bei'gong'cheng'ji'shu'xue'yuan 河北工程技术学院
'he'bei'gong'ye'da'xue 河北工业大学
'he'bei'gong'ye'zhi'ye'ji'shu'da'xue 河北工业职业技术大学
'he'bei'gong'yi'mei'shu'zhi'ye'xue'yuan 河北工艺美术职业学院
'he'bei'gui'dao'yun'shu'zhi'ye'ji'shu'xue'yuan 河北轨道运输职业技术学院
'he'bei'hua'gong'yi'yao'zhi'ye'ji'shu'xue'yuan 河北化工医药职业技术学院
'he'bei'huan'jing'gong'cheng'xue'yuan 河北环境工程学院
'he'bei'ji'dian'zhi'ye'ji'shu'xue'yuan 河北机电职业技术学院
'he'bei'jian'cai'zhi'ye'ji'shu'xue'yuan 河北建材职业技术学院
'he'bei'jian'zhu'gong'cheng'xue'yuan 河北建筑工程学院
'he'bei'jiao'tong'zhi'ye'ji'shu'xue'yuan 河北交通职业技术学院
'he'bei'jin'rong'xue'yuan 河北金融学院
'he'bei'jing'mao'da'xue 河北经贸大学
'he'bei'jing'mao'da'xue'jing'ji'guan'li'xue'yuan 河北经贸大学经济管理学院
'he'bei'ke'ji'da'xue 河北科技大学
'he'bei'ke'ji'gong'cheng'zhi'ye'ji'shu'da'xue 河北科技工程职业技术大学
'he'bei'ke'ji'shi'fan'xue'yuan 河北科技师范学院
'he'bei'ke'ji'xue'yuan 河北科技学院
'he'bei'lao'dong'guan'xi'zhi'ye'xue'yuan 河北劳动关系职业学院
'he'bei'lv'you'zhi'ye'xue'yuan 河北旅游职业学院
'he'bei'mei'shu'xue'yuan 河北美术学院
'he'bei'min'zu'shi'fan'xue'yuan 河北民族师范学院
'he'bei'neng'yuan'zhi'ye'ji'shu'xue'yuan 河北能源职业技术学院
'he'bei'nong'ye'da'xue 河北农业大学
'he'bei'nong'ye'da'xue'xian'dai'ke'ji'xue'yuan 河北农业大学现代科技学院
'he'bei'nv'zi'zhi'ye'ji'shu'xue'yuan 河北女子职业技术学院
'he'bei'ruan'jian'zhi'ye'ji'shu'xue'yuan 河北软件职业技术学院
'he'bei'shi'fan'da'xue 河北师范大学
'he'bei'shi'fan'da'xue'hui'hua'xue'yuan 河北师范大学汇华学院
'he'bei'shi'you'zhi'ye'ji'shu'da'xue 河北石油职业技术大学
'he'bei'shi'you'zhi'ye'ji'shu'xue'yuan 河北石油职业技术学院
'he'bei'shui'li'dian'li'xue'yuan 河北水利电力学院
'he'bei'si'fa'jing'guan'zhi'ye'xue'yuan 河北司法警官职业学院
'he'bei'ti'yu'xue'yuan 河北体育学院
'he'bei'wai'guo'yu'xue'yuan 河北外国语学院
'he'bei'yi'ke'da'xue 河北医科大学
'he'bei'yi'ke'da'xue'lin'chuang'xue'yuan 河北医科大学临床学院
'he'bei'yi'shu'zhi'ye'xue'yuan 河北艺术职业学院
'he'bei'zheng'ding'shi'fan'gao'deng'zhuan'ke'xue'xiao 河北正定师范高等专科学校
'he'bei'zheng'fa'zhi'ye'xue'yuan 河北政法职业学院
'he'bei'zhong'yi'xue'yuan 河北中医学院
'he'bi'neng'yuan'hua'gong'zhi'ye'xue'yuan 鹤壁能源化工职业学院
'he'bi'qi'che'gong'cheng'zhi'ye'xue'yuan 鹤壁汽车工程职业学院
'he'bi'zhi'ye'ji'shu'xue'yuan 鹤壁职业技术学院
'he'chi'xue'yuan 河池学院
'he'fei'cheng'shi'xue'yuan 合肥城市学院
'he'fei'gong'da'zhi'ye'ji'shu'xue'yuan 合肥共达职业技术学院
'he'fei'gong'ye'da'xue 合肥工业大学
'he'fei'jing'ji'xue'yuan 合肥经济学院
'he'fei'ke'ji'zhi'ye'xue'yuan 合肥科技职业学院
'he'fei'shi'fan'xue'yuan 合肥师范学院
'he'fei'tong'yong'zhi'ye'ji'shu'xue'yuan 合肥通用职业技术学院
'he'fei'xin'xi'ji'shu'zhi'ye'xue'yuan 合肥信息技术职业学院
'he'fei'xue'yuan 合肥学院
'he'fei'you'er'shi'fan'gao'deng'zhuan'ke'xue'xiao 合肥幼儿师范高等专科学校
'he'fei'zhi'ye'ji'shu'xue'yuan 合肥职业技术学院
'he'gang'shi'fan'gao'deng'zhuan'ke'xue'xiao 鹤岗师范高等专科学校
'he'hai'da'xue 河海大学
'he'jun'zhi'ye'xue'yuan 和君职业学院
'he'nan'cai'jing'zheng'fa'da'xue 河南财经政法大学
'he'nan'cai'zheng'jin'rong'xue'yuan 河南财政金融学院
'he'nan'ce'hui'zhi'ye'xue'yuan 河南测绘职业学院
'he'nan'cheng'jian'xue'yuan 河南城建学院
'he'nan'da'xue 河南大学
'he'nan'di'kuang'zhi'ye'xue'yuan 河南地矿职业学院
'he'nan'dui'wai'jing'ji'mao'yi'zhi'ye'xue'yuan 河南对外经济贸易职业学院
'he'nan'gong'cheng'xue'yuan 河南工程学院
'he'nan'gong'xue'yuan 河南工学院
'he'nan'gong'ye'da'xue 河南工业大学
'he'nan'gong'ye'he'xin'xi'hua'zhi'ye'xue'yuan 河南工业和信息化职业学院
'he'nan'gong'ye'mao'yi'zhi'ye'xue'yuan 河南工业贸易职业学院
'he'nan'gong'ye'zhi'ye'ji'shu'xue'yuan 河南工业职业技术学院
'he'nan'hu'li'zhi'ye'xue'yuan 河南护理职业学院
'he'nan'ji'dian'zhi'ye'xue'yuan 河南机电职业学院
'he'nan'jian'cha'zhi'ye'xue'yuan 河南检察职业学院
'he'nan'jian'zhu'zhi'ye'ji'shu'xue'yuan 河南建筑职业技术学院
'he'nan'jiao'tong'zhi'ye'ji'shu'xue'yuan 河南交通职业技术学院
'he'nan'jing'cha'xue'yuan 河南警察学院
'he'nan'jing'mao'zhi'ye'xue'yuan 河南经贸职业学院
'he'nan'kai'feng'ke'ji'chuan'mei'xue'yuan 河南开封科技传媒学院
'he'nan'ke'ji'da'xue 河南科技大学
'he'nan'ke'ji'xue'yuan 河南科技学院
'he'nan'ke'ji'zhi'ye'da'xue 河南科技职业大学
'he'nan'li'gong'da'xue 河南理工大学
'he'nan'lin'ye'zhi'ye'xue'yuan 河南林业职业学院
'he'nan'mu'ye'jing'ji'xue'yuan 河南牧业经济学院
'he'nan'nong'ye'da'xue 河南农业大学
'he'nan'nong'ye'zhi'ye'xue'yuan 河南农业职业学院
'he'nan'nv'zi'zhi'ye'xue'yuan 河南女子职业学院
'he'nan'qing'gong'zhi'ye'xue'yuan 河南轻工职业学院
'he'nan'shi'fan'da'xue 河南师范大学
'he'nan'shui'li'yu'huan'jing'zhi'ye'xue'yuan 河南水利与环境职业学院
'he'nan'si'fa'jing'guan'zhi'ye'xue'yuan 河南司法警官职业学院
'he'nan'tui'na'zhi'ye'xue'yuan 河南推拿职业学院
'he'nan'wu'liu'zhi'ye'xue'yuan 河南物流职业学院
'he'nan'xin'xi'tong'ji'zhi'ye'xue'yuan 河南信息统计职业学院
'he'nan'yi'shu'zhi'ye'xue'yuan 河南艺术职业学院
'he'nan'yi'xue'gao'deng'zhuan'ke'xue'xiao 河南医学高等专科学校
'he'nan'ying'yong'ji'shu'zhi'ye'xue'yuan 河南应用技术职业学院
'he'nan'zhi'liang'gong'cheng'zhi'ye'xue'yuan 河南质量工程职业学院
'he'nan'zhi'ye'ji'shu'xue'yuan 河南职业技术学院
'he'nan'zhong'yi'yao'da'xue 河南中医药大学
'he'tao'xue'yuan 河套学院
'he'tian'shi'fan'zhuan'ke'xue'xiao 和田师范专科学校
'he'tian'zhi'ye'ji'shu'xue'yuan 和田职业技术学院
'he'xi'xue'yuan 河西学院
'he'yuan'zhi'ye'ji'shu'xue'yuan 河源职业技术学院
'he'ze'jia'zheng'zhi'ye'xue'yuan 菏泽家政职业学院
'he'ze'xue'yuan 菏泽学院
'he'ze'yi'xue'zhuan'ke'xue'xiao 菏泽医学专科学校
'he'ze'zhi'ye'xue'yuan 菏泽职业学院
'he'zhou'xue'yuan 贺州学院
'hei'he'xue'yuan 黑河学院
'hei'long'jiang'ba'yi'nong'ken'da'xue 黑龙江八一农垦大学
'hei'long'jiang'bing'xue'ti'yu'zhi'ye'xue'yuan 黑龙江冰雪体育职业学院
'hei'long'jiang'cai'jing'xue'yuan 黑龙江财经学院
'hei'long'jiang'da'xue 黑龙江大学
'hei'long'jiang'dong'fang'xue'yuan 黑龙江东方学院
'hei'long'jiang'gong'an'jing'guan'zhi'ye'xue'yuan 黑龙江公安警官职业学院
'hei'long'jiang'gong'cheng'xue'yuan 黑龙江工程学院
'hei'long'jiang'gong'cheng'xue'yuan'kun'lun'lv'you'xue'yuan 黑龙江工程学院昆仑旅游学院
'hei'long'jiang'gong'shang'xue'yuan 黑龙江工商学院
'hei'long'jiang'gong'ye'xue'yuan 黑龙江工业学院
'hei'long'jiang'hu'li'gao'deng'zhuan'ke'xue'xiao 黑龙江护理高等专科学校
'hei'long'jiang'jian'zhu'zhi'ye'ji'shu'xue'yuan 黑龙江建筑职业技术学院
'hei'long'jiang'jiao'tong'zhi'ye'ji'shu'xue'yuan 黑龙江交通职业技术学院
'hei'long'jiang'ke'ji'da'xue 黑龙江科技大学
'hei'long'jiang'lin'ye'zhi'ye'ji'shu'xue'yuan 黑龙江林业职业技术学院
'hei'long'jiang'lv'you'zhi'ye'ji'shu'xue'yuan 黑龙江旅游职业技术学院
'hei'long'jiang'min'zu'zhi'ye'xue'yuan 黑龙江民族职业学院
'hei'long'jiang'neng'yuan'zhi'ye'xue'yuan 黑龙江能源职业学院
'hei'long'jiang'nong'ken'ke'ji'zhi'ye'xue'yuan 黑龙江农垦科技职业学院
'hei'long'jiang'nong'ken'zhi'ye'xue'yuan 黑龙江农垦职业学院
'hei'long'jiang'nong'ye'gong'cheng'zhi'ye'xue'yuan 黑龙江农业工程职业学院
'hei'long'jiang'nong'ye'jing'ji'zhi'ye'xue'yuan 黑龙江农业经济职业学院
'hei'long'jiang'nong'ye'zhi'ye'ji'shu'xue'yuan 黑龙江农业职业技术学院
'hei'long'jiang'san'jiang'mei'shu'zhi'ye'xue'yuan 黑龙江三江美术职业学院
'hei'long'jiang'shang'ye'zhi'ye'xue'yuan 黑龙江商业职业学院
'hei'long'jiang'sheng'tai'gong'cheng'zhi'ye'xue'yuan 黑龙江生态工程职业学院
'hei'long'jiang'sheng'wu'ke'ji'zhi'ye'xue'yuan 黑龙江生物科技职业学院
'hei'long'jiang'si'fa'jing'guan'zhi'ye'xue'yuan 黑龙江司法警官职业学院
'hei'long'jiang'wai'guo'yu'xue'yuan 黑龙江外国语学院
'hei'long'jiang'yi'shu'zhi'ye'xue'yuan 黑龙江艺术职业学院
'hei'long'jiang'you'er'shi'fan'gao'deng'zhuan'ke'xue'xiao 黑龙江幼儿师范高等专科学校
'hei'long'jiang'zhi'ye'xue'yuan 黑龙江职业学院
'hei'long'jiang'zhong'yi'yao'da'xue 黑龙江中医药大学
'heng'shui'xue'yuan 衡水学院
'heng'shui'zhi'ye'ji'shu'xue'yuan 衡水职业技术学院
'heng'yang'shi'fan'xue'yuan 衡阳师范学院
'heng'yang'shi'fan'xue'yuan'nan'yue'xue'yuan 衡阳师范学院南岳学院
'heng'yang'you'er'shi'fan'gao'deng'zhuan'ke'xue'xiao 衡阳幼儿师范高等专科学校
'hong'he'wei'sheng'zhi'ye'xue'yuan 红河卫生职业学院
'hong'he'xue'yuan 红河学院
'hong'he'zhi'ye'ji'shu'xue'yuan 红河职业技术学院
'hu'bei'cai'shui'zhi'ye'xue'yuan 湖北财税职业学院
'hu'bei'cheng'shi'jian'she'zhi'ye'ji'shu'xue'yuan 湖北城市建设职业技术学院
'hu'bei'da'xue 湖北大学
'hu'bei'da'xue'zhi'xing'xue'yuan 湖北大学知行学院
'hu'bei'di'er'shi'fan'xue'yuan 湖北第二师范学院
'hu'bei'en'shi'xue'yuan 湖北恩施学院
'hu'bei'gong'cheng'xue'yuan 湖北工程学院
'hu'bei'gong'cheng'xue'yuan'xin'ji'shu'xue'yuan 湖北工程学院新技术学院
'hu'bei'gong'cheng'zhi'ye'xue'yuan 湖北工程职业学院
'hu'bei'gong'ye'da'xue 湖北工业大学
'hu'bei'gong'ye'da'xue'gong'cheng'ji'shu'xue'yuan 湖北工业大学工程技术学院
'hu'bei'gong'ye'zhi'ye'ji'shu'xue'yuan 湖北工业职业技术学院
'hu'bei'guo'tu'zi'yuan'zhi'ye'xue'yuan 湖北国土资源职业学院
'hu'bei'huang'gang'ying'ji'guan'li'zhi'ye'ji'shu'xue'yuan 湖北黄冈应急管理职业技术学院
'hu'bei'jian'kang'zhi'ye'xue'yuan 湖北健康职业学院
'hu'bei'jiao'tong'zhi'ye'ji'shu'xue'yuan 湖北交通职业技术学院
'hu'bei'jing'guan'xue'yuan 湖北警官学院
'hu'bei'jing'ji'xue'yuan 湖北经济学院
'hu'bei'jing'ji'xue'yuan'fa'shang'xue'yuan 湖北经济学院法商学院
'hu'bei'kai'fang'zhi'ye'xue'yuan 湖北开放职业学院
'hu'bei'ke'ji'xue'yuan 湖北科技学院
'hu'bei'ke'ji'zhi'ye'xue'yuan 湖北科技职业学院
'hu'bei'li'gong'xue'yuan 湖北理工学院
'hu'bei'mei'shu'xue'yuan 湖北美术学院
'hu'bei'min'zu'da'xue 湖北民族大学
'hu'bei'qi'che'gong'ye'xue'yuan 湖北汽车工业学院
'hu'bei'qi'che'gong'ye'xue'yuan'ke'ji'xue'yuan 湖北汽车工业学院科技学院
'hu'bei'qing'gong'zhi'ye'ji'shu'xue'yuan 湖北轻工职业技术学院
'hu'bei'qing'nian'zhi'ye'xue'yuan 湖北青年职业学院
'hu'bei'san'xia'zhi'ye'ji'shu'xue'yuan 湖北三峡职业技术学院
'hu'bei'shang'mao'xue'yuan 湖北商贸学院
'hu'bei'sheng'tai'gong'cheng'zhi'ye'ji'shu'xue'yuan 湖北生态工程职业技术学院
'hu'bei'sheng'wu'ke'ji'zhi'ye'xue'yuan 湖北生物科技职业学院
'hu'bei'shi'fan'da'xue 湖北师范大学
'hu'bei'shi'fan'da'xue'wen'li'xue'yuan 湖北师范大学文理学院
'hu'bei'shui'li'shui'dian'zhi'ye'ji'shu'xue'yuan 湖北水利水电职业技术学院
'hu'bei'ti'yu'zhi'ye'xue'yuan 湖北体育职业学院
'hu'bei'tie'dao'yun'shu'zhi'ye'xue'yuan 湖北铁道运输职业学院
'hu'bei'wen'li'xue'yuan 湖北文理学院
'hu'bei'wen'li'xue'yuan'li'gong'xue'yuan 湖北文理学院理工学院
'hu'bei'xiao'gan'mei'jia'zhi'ye'xue'yuan 湖北孝感美珈职业学院
'hu'bei'yi'shu'zhi'ye'xue'yuan 湖北艺术职业学院
'hu'bei'yi'yao'xue'yuan 湖北医药学院
'hu'bei'yi'yao'xue'yuan'yao'hu'xue'yuan 湖北医药学院药护学院
'hu'bei'you'er'shi'fan'gao'deng'zhuan'ke'xue'xiao 湖北幼儿师范高等专科学校
'hu'bei'zhi'ye'ji'shu'xue'yuan 湖北职业技术学院
'hu'bei'zhong'yi'yao'da'xue 湖北中医药大学
'hu'bei'zhong'yi'yao'gao'deng'zhuan'ke'xue'xiao 湖北中医药高等专科学校
'hu'he'hao'te'min'zu'xue'yuan 呼和浩特民族学院
'hu'he'hao'te'zhi'ye'xue'yuan 呼和浩特职业学院
'hu'lun'bei'er'xue'yuan 呼伦贝尔学院
'hu'lun'bei'er'zhi'ye'ji'shu'xue'yuan 呼伦贝尔职业技术学院
'hu'nan'an'quan'ji'shu'zhi'ye'xue'yuan 湖南安全技术职业学院
'hu'nan'cai'jing'gong'ye'zhi'ye'ji'shu'xue'yuan 湖南财经工业职业技术学院
'hu'nan'cai'zheng'jing'ji'xue'yuan 湖南财政经济学院
'hu'nan'cheng'jian'zhi'ye'ji'shu'xue'yuan 湖南城建职业技术学院
'hu'nan'cheng'shi'xue'yuan 湖南城市学院
'hu'nan'da'xue 湖南大学
'hu'nan'da'zhong'chuan'mei'zhi'ye'ji'shu'xue'yuan 湖南大众传媒职业技术学院
'hu'nan'di'yi'shi'fan'xue'yuan 湖南第一师范学院
'hu'nan'dian'qi'zhi'ye'ji'shu'xue'yuan 湖南电气职业技术学院
'hu'nan'dian'zi'ke'ji'zhi'ye'xue'yuan 湖南电子科技职业学院
'hu'nan'du'shi'zhi'ye'xue'yuan 湖南都市职业学院
'hu'nan'gao'er'fu'lv'you'zhi'ye'xue'yuan 湖南高尔夫旅游职业学院
'hu'nan'gao'su'tie'lu'zhi'ye'ji'shu'xue'yuan 湖南高速铁路职业技术学院
'hu'nan'gong'cheng'xue'yuan 湖南工程学院
'hu'nan'gong'cheng'xue'yuan'ying'yong'ji'shu'xue'yuan 湖南工程学院应用技术学院
'hu'nan'gong'cheng'zhi'ye'ji'shu'xue'yuan 湖南工程职业技术学院
'hu'nan'gong'shang'da'xue 湖南工商大学
'hu'nan'gong'shang'zhi'ye'xue'yuan 湖南工商职业学院
'hu'nan'gong'xue'yuan 湖南工学院
'hu'nan'gong'ye'da'xue 湖南工业大学
'hu'nan'gong'ye'da'xue'ke'ji'xue'yuan 湖南工业大学科技学院
'hu'nan'gong'ye'zhi'ye'ji'shu'xue'yuan 湖南工业职业技术学院
'hu'nan'gong'yi'mei'shu'zhi'ye'xue'yuan 湖南工艺美术职业学院
'hu'nan'guo'fang'gong'ye'zhi'ye'ji'shu'xue'yuan 湖南国防工业职业技术学院
'hu'nan'hua'gong'zhi'ye'ji'shu'xue'yuan 湖南化工职业技术学院
'hu'nan'huan'jing'sheng'wu'zhi'ye'ji'shu'xue'yuan 湖南环境生物职业技术学院
'hu'nan'ji'dian'zhi'ye'ji'shu'xue'yuan 湖南机电职业技术学院
'hu'nan'ji'li'qi'che'zhi'ye'ji'shu'xue'yuan 湖南吉利汽车职业技术学院
'hu'nan'jiao'tong'gong'cheng'xue'yuan 湖南交通工程学院
'hu'nan'jiao'tong'zhi'ye'ji'shu'xue'yuan 湖南交通职业技术学院
'hu'nan'jing'cha'xue'yuan 湖南警察学院
'hu'nan'jiu'yi'zhi'ye'ji'shu'xue'yuan 湖南九嶷职业技术学院
'hu'nan'ke'ji'da'xue 湖南科技大学
'hu'nan'ke'ji'da'xue'xiao'xiang'xue'yuan 湖南科技大学潇湘学院
'hu'nan'ke'ji'xue'yuan 湖南科技学院
'hu'nan'ke'ji'zhi'ye'xue'yuan 湖南科技职业学院
'hu'nan'lao'dong'ren'shi'zhi'ye'xue'yuan 湖南劳动人事职业学院
'hu'nan'li'gong'xue'yuan 湖南理工学院
'hu'nan'li'gong'xue'yuan'nan'hu'xue'yuan 湖南理工学院南湖学院
'hu'nan'li'gong'zhi'ye'ji'shu'xue'yuan 湖南理工职业技术学院
'hu'nan'min'zu'zhi'ye'xue'yuan 湖南民族职业学院
'hu'nan'nong'ye'da'xue 湖南农业大学
'hu'nan'nong'ye'da'xue'dong'fang'ke'ji'xue'yuan 湖南农业大学东方科技学院
'hu'nan'nv'zi'xue'yuan 湖南女子学院
'hu'nan'qi'che'gong'cheng'zhi'ye'xue'yuan 湖南汽车工程职业学院
'hu'nan'ren'wen'ke'ji'xue'yuan 湖南人文科技学院
'hu'nan'ruan'jian'zhi'ye'ji'shu'da'xue 湖南软件职业技术大学
'hu'nan'san'yi'gong'ye'zhi'ye'ji'shu'xue'yuan 湖南三一工业职业技术学院
'hu'nan'shang'wu'zhi'ye'ji'shu'xue'yuan 湖南商务职业技术学院
'hu'nan'she'wai'jing'ji'xue'yuan 湖南涉外经济学院
'hu'nan'sheng'wu'ji'dian'zhi'ye'ji'shu'xue'yuan 湖南生物机电职业技术学院
'hu'nan'shi'fan'da'xue 湖南师范大学
'hu'nan'shi'fan'da'xue'shu'da'xue'yuan 湖南师范大学树达学院
'hu'nan'shi'pin'yao'pin'zhi'ye'xue'yuan 湖南食品药品职业学院
'hu'nan'shi'you'hua'gong'zhi'ye'ji'shu'xue'yuan 湖南石油化工职业技术学院
'hu'nan'shui'li'shui'dian'zhi'ye'ji'shu'xue'yuan 湖南水利水电职业技术学院
'hu'nan'shui'wu'gao'deng'zhuan'ke'xue'xiao 湖南税务高等专科学校
'hu'nan'si'fa'jing'guan'zhi'ye'xue'yuan 湖南司法警官职业学院
'hu'nan'ti'yu'zhi'ye'xue'yuan 湖南体育职业学院
'hu'nan'tie'dao'zhi'ye'ji'shu'xue'yuan 湖南铁道职业技术学院
'hu'nan'tie'lu'ke'ji'zhi'ye'ji'shu'xue'yuan 湖南铁路科技职业技术学院
'hu'nan'wai'guo'yu'zhi'ye'xue'yuan 湖南外国语职业学院
'hu'nan'wai'mao'zhi'ye'xue'yuan 湖南外贸职业学院
'hu'nan'wang'luo'gong'cheng'zhi'ye'xue'yuan 湖南网络工程职业学院
'hu'nan'wen'li'xue'yuan 湖南文理学院
'hu'nan'wen'li'xue'yuan'fu'rong'xue'yuan 湖南文理学院芙蓉学院
'hu'nan'xian'dai'wu'liu'zhi'ye'ji'shu'xue'yuan 湖南现代物流职业技术学院
'hu'nan'xin'xi'xue'yuan 湖南信息学院
'hu'nan'xin'xi'zhi'ye'ji'shu'xue'yuan 湖南信息职业技术学院
'hu'nan'ye'jin'zhi'ye'ji'shu'xue'yuan 湖南冶金职业技术学院
'hu'nan'yi'shu'zhi'ye'xue'yuan 湖南艺术职业学院
'hu'nan'yi'yao'xue'yuan 湖南医药学院
'hu'nan'ying'yong'ji'shu'xue'yuan 湖南应用技术学院
'hu'nan'you'dian'zhi'ye'ji'shu'xue'yuan 湖南邮电职业技术学院
'hu'nan'you'er'shi'fan'gao'deng'zhuan'ke'xue'xiao 湖南幼儿师范高等专科学校
'hu'nan'you'se'jin'shu'zhi'ye'ji'shu'xue'yuan 湖南有色金属职业技术学院
'hu'nan'zhong'yi'yao'da'xue 湖南中医药大学
'hu'nan'zhong'yi'yao'da'xue'xiang'xing'xue'yuan 湖南中医药大学湘杏学院
'hu'nan'zhong'yi'yao'gao'deng'zhuan'ke'xue'xiao 湖南中医药高等专科学校
'hu'zhou'shi'fan'xue'yuan 湖州师范学院
'hu'zhou'xue'yuan 湖州学院
'hu'zhou'zhi'ye'ji'shu'xue'yuan 湖州职业技术学院
'hua'bei'dian'li'da'xue 华北电力大学
'hua'bei'ke'ji'xue'yuan 华北科技学院
'hua'bei'li'gong'da'xue 华北理工大学
'hua'bei'li'gong'da'xue'ji'tang'xue'yuan 华北理工大学冀唐学院
'hua'bei'li'gong'da'xue'qing'gong'xue'yuan 华北理工大学轻工学院
'hua'bei'shui'li'shui'dian'da'xue 华北水利水电大学
'hua'dong'jiao'tong'da'xue 华东交通大学
'hua'dong'li'gong'da'xue 华东理工大学
'hua'dong'shi'fan'da'xue 华东师范大学
'hua'dong'zheng'fa'da'xue 华东政法大学
'hua'nan'li'gong'da'xue 华南理工大学
'hua'nan'nong'ye'da'xue 华南农业大学
'hua'nan'nong'ye'da'xue'zhu'jiang'xue'yuan 华南农业大学珠江学院
'hua'nan'shi'fan'da'xue 华南师范大学
'hua'qiao'da'xue 华侨大学
'hua'zhong'ke'ji'da'xue 华中科技大学
'hua'zhong'nong'ye'da'xue 华中农业大学
'hua'zhong'shi'fan'da'xue 华中师范大学
'huai'bei'li'gong'xue'yuan 淮北理工学院
'huai'bei'shi'fan'da'xue 淮北师范大学
'huai'bei'zhi'ye'ji'shu'xue'yuan 淮北职业技术学院
'huai'hua'shi'fan'gao'deng'zhuan'ke'xue'xiao 怀化师范高等专科学校
'huai'hua'xue'yuan 怀化学院
'huai'hua'zhi'ye'ji'shu'xue'yuan 怀化职业技术学院
'huai'nan'lian'he'da'xue 淮南联合大学
'huai'nan'shi'fan'xue'yuan 淮南师范学院
'huai'nan'zhi'ye'ji'shu'xue'yuan 淮南职业技术学院
'huai'yin'gong'xue'yuan 淮阴工学院
'huai'yin'shi'fan'xue'yuan 淮阴师范学院
'huang'gang'ke'ji'zhi'ye'xue'yuan 黄冈科技职业学院
'huang'gang'shi'fan'xue'yuan 黄冈师范学院
'huang'gang'zhi'ye'ji'shu'xue'yuan 黄冈职业技术学院
'huang'he'jiao'tong'xue'yuan 黄河交通学院
'huang'he'ke'ji'xue'yuan 黄河科技学院
'huang'he'shui'li'zhi'ye'ji'shu'xue'yuan 黄河水利职业技术学院
'huang'huai'xue'yuan 黄淮学院
'huang'shan'jian'kang'zhi'ye'xue'yuan 黄山健康职业学院
'huang'shan'xue'yuan 黄山学院
'huang'shan'zhi'ye'ji'shu'xue'yuan 黄山职业技术学院
