'ai'bing 癌病
'yi'fen'hua'de'cheng'shi'wang'mo'mu'xi'bao'liu 已分化的成视网膜母细胞瘤
'yi'hang'xi'bao'ai 移行细胞癌
'yi'hang'xi'bao'ru'tou'zhuang'liu 移行细胞乳头状瘤
'yi'hang'xi'bao'xing'nao'ji'mo'liu 移行细胞性脑脊膜瘤
'yi'hang'xi'bao'yuan'wei'ai 移行细胞原位癌
'yi'pei'xi'bao'liu 胰胚细胞瘤
'yi'xian'liu 胰腺瘤
'yi'xing'ai 异型癌
'yin'jie'xi'bao'ai 印戒细胞癌
'ying'ban'xing'ji'di'xi'bao'ai 硬斑性基底细胞癌
'ying'er'xing'xian'wei'rou'liu 婴儿性纤维肉瘤
'ying'hua'xing'jian'zhi'liu 硬化性间质瘤
'ying'hua'xing'xue'guan'liu 硬化性血管瘤
'ying'xian'ai 硬腺癌
'you'lin'ba'xi'bao'bai'xue'bing 幼淋巴细胞白血病
'you'nian'xing'luan'pao'xi'bao'liu 幼年型卵泡细胞瘤
'you'nian'xing'xian'wei'xian'liu 幼年性纤维腺瘤
'you'xing'jiao'hua'xing'xue'guan'liu 疣性角化性血管瘤
'you'yin'rou'liu'huo'you'yin'liu 尤因肉瘤或尤因瘤
'you'zhuang'ai 疣状癌
'you'zhuang'ru'tou'zhuang'liu 疣状乳头状瘤
'yuan'jiang'xing'xing'xing'xi'bao'liu 原浆性星形细胞瘤
'yuan'lin'ba'xi'bao'xing'e'xing'lin'ba'liu 原淋巴细胞性恶性淋巴瘤
'yuan'shi'ji'xing'cheng'jiao'zhi'mu'xi'bao'liu 原始极性成胶质母细胞瘤
'yuan'shi'xing'shen'jing'wai'pei'liu 原始性神经外胚瘤
'yuan'wei'ai 原位癌
'yuan'wei'hei'se'su'liu 原位黑色素瘤
'yuan'wei'xian'ai 原位腺癌
'yuan'xi'bao'zhi'fang'rou'liu 圆细胞脂肪肉瘤
'yun'yang'zhi 晕样痣
'zeng'sheng'xing'bu'lun'na'liu 增生性布伦纳瘤
'zhan'dan'bai'xian'ai'ye 粘蛋白腺癌液
'zhan'dan'bai'xian'liu 粘蛋白腺瘤
'zhe'fu'zhi'fang'liu 蛰伏脂肪瘤
'zhen'xing'hong'xi'bao'zeng'duo'zheng 真性红细胞增多症
'zhen'xing'zu'zhi'xi'bao'lin'ba'liu 真性组织细胞淋巴瘤
'zhi'fang'liu 脂肪瘤
'zhi'fang'rou'liu 脂肪肉瘤
'zhi'fang'xian'liu 脂肪腺瘤
'zhi'mi'xi'bao'shen'shang'xian'pi'zhi'xian'liu 致密细胞肾上腺皮质腺瘤
'zhi'qi'guan'xian'liu 支气管腺瘤
'zhi'zhi'xi'bao'luan'pao'liu'nan'xing'nv'xing 脂质细胞卵泡瘤男性女性
'zhong'fen'hua'de'e'xing'ji'tai'liu 中分化的恶性畸胎瘤
'zhong'jian'xi'bao'xing'xiao'xi'bao'ai 中间细胞型小细胞癌
'zhong'lian'bing 重链病
'zhong'pei'ceng'hun'he'liu 中胚层混合瘤
'zhong'pei'ceng'xing'shen'liu 中胚层性肾瘤
'zhong'shen'xing'zhong'liu 中肾性肿瘤
'zhong'shen'yang'xing'tou'ming'xi'bao'ai 中肾样型透明细胞癌
'zhong'xin'mu'xi'bao'xing'lv'pao'xing'e'xing'lin'ba'liu 中心母细胞性滤泡性恶性淋巴瘤
'zhong'xin'mu'xi'bao'xing'mi'man'xing'e'xing'lin'ba'liu 中心母细胞性弥漫性恶性淋巴瘤
'zhong'xin'xi'bao'xing'e'xing'lin'ba'liu 中心细胞性恶性淋巴瘤
'zhong'xin'ya'chi'yuan'xing'xian'wei'liu 中心牙齿源性纤维瘤
'zhou'wei'xing'shen'jing'wai'pei'liu 周围性神经外胚瘤
'zhou'wei'ya'chi'yuan'xing'xian'wei'liu 周围牙齿源性纤维瘤
'zhu'dong'mai'ti'liu 主动脉体瘤
'zhu'xi'bao'xian'liu 主细胞腺瘤
'zhuan'yi'xing'ai 转移性癌
'zhuan'yi'xing'dao'guan'ai 转移性导管癌
'zhuan'yi'xing'lin'zhuang'xi'bao'ai 转移性鳞状细胞癌
'zhuan'yi'xing'nian'ye'xian'ai 转移性粘液腺癌
'zhuan'yi'xing'ping'hua'ji'rou'liu 转移性平滑肌肉瘤
'zhuan'yi'xing'rong'mao'mo'shang'pi'ai 转移性绒毛膜上皮癌
'zhuan'yi'xing'ru'tou'zhuang'ai 转移性乳头状癌
'zhuan'yi'xing'ru'tou'zhuang'jiang'ye'xing'xian'ai 转移性乳头状浆液性腺癌
'zhuan'yi'xing'ru'tou'zhuang'xian'ai 转移性乳头状腺癌
'zhuan'yi'xing'shen'jing'mu'xi'bao'liu 转移性神经母细胞瘤
'zhuan'yi'xing'xian'ai 转移性腺癌
'zhuan'yi'xing'xiong'xian'liu 转移性胸腺瘤
'zhuan'yi'xing'yin'jie'xi'bao'ai 转移性印戒细胞癌
'zhuan'yi'xing'zhi'fang'rou'liu 转移性脂肪肉瘤
'zhuan'yi'xing'zhong'liu 转移性肿瘤
'zi'gong'nei'mo'jian'zhi'jie'jie 子宫内膜间质结节
'zi'gong'nei'mo'jian'zhi'rou'liu 子宫内膜间质肉瘤
'zi'gong'nei'mo'yang'xian'ai 子宫内膜样腺癌
'zi'gong'nei'mo'yang'xian'liu 子宫内膜样腺瘤
'zi'gong'nei'mo'yang'xian'xian'wei'liu 子宫内膜样腺纤维瘤
'zi'yang'ceng'de'e'xing'ji'tai'liu 滋养层的恶性畸胎瘤
'zu'zhi'xi'bao'yang'xue'guan'liu 组织细胞样血管瘤
