'a'xiu'luo 阿修罗
'wan'mei'de'qian'kun'jia 完美的乾坤甲
'wan'mei'de'qing'si'pao 完美的青丝袍
'wan'mei'de'tai'ji'pao 完美的太极袍
'wan'mei'de'tian'shi'pao 完美的天师袍
'wan'mei'de'wu'dou'yi 完美的武斗衣
'wan'mei'de'wu'xing'pao 完美的五行袍
'wan'mei'de'ye'xing'yi 完美的夜行衣
'wan'mei'qing'si'guan 完美青丝冠
'wan'mei'qing'si'hu'jian 完美青丝护肩
'wan'mei'qing'si'hu'shou 完美青丝护手
'wan'mei'qing'si'lv 完美青丝履
'wan'mei'wu'dou'hu'jian 完美武斗护肩
'wan'mei'wu'dou'hu'shou 完美武斗护手
'wan'mei'wu'dou'mao 完美武斗帽
'wan'mei'wu'dou'xue 完美武斗靴
'wan'mei'wu'xing'guan 完美五行冠
'wan'mei'wu'xing'hu'jian 完美五行护肩
'wan'mei'wu'xing'hu'shou 完美五行护手
'wan'mei'wu'xing'lv 完美五行履
'wang'liang 魍魉
'wang'ming'tao'fan 亡命逃犯
'wang'yun 王允
'wang'zhou 望周
'wang'zhou'chuan'chang 望周船厂
'wang'zhou'guo 望周国
'wei'li'shu'bian'nu 威力戍边弩
'wu'bu'yao'xie 五步妖蝎
'wu'chang'yu 武昌鱼
'wu'dao 悟道
'wu'dou'hu'jian 武斗护肩
'wu'dou'hu'shou 武斗护手
'wu'dou'mao 武斗帽
'wu'dou'xue 武斗靴
'wu'dou'yi 武斗衣
'wu'gang'kuang 钨钢矿
'wu'gou'yao'zhi 污垢妖蛭
'wu'gu'shi 巫蛊师
'wu'hai'liang 吴海量
'wu'ji'guan 无极冠
'wu'ji'hu'fu 无极护符
'wu'ji'hu'jian 无极护肩
'wu'ji'hu'shou 无极护手
'wu'ji'jia 无极甲
'wu'ji'lv 无极履
'wu'ji'pao 无极袍
'wu'ji'qian'kun'san 无极乾坤散
'wu'ji'tao'zhuang 无极套装
'wu'ming'si'zhe 无名死者
'wu'qiu 悟秋
'wu'shi 武士
'wu'shuang 武霜
'wu'shuang'ci'jian 无双雌剑
'wu'shuang'kai 无双铠
'wu'shuang'xiong'jian 无双雄剑
'wu'ta'jin 乌铊金
'wu'xiang'cun 五相村
'wu'xiang'gu 五相谷
'wu'xing'guan 五行冠
'wu'xing'hu'jian 五行护肩
'wu'xing'hu'shou 五行护手
'wu'xing'ju'li'san 五行聚力散
'wu'xing'lv 五行履
'wu'xing'pao 五行袍
'wu'xing'xue'zhe 五行学者
'wu'xing'xue'zhe'wang'yun 五行学者王允
'wu'yuan'shi 五原石
'wu'zhe'tou'mu 武者头目
'xi'jing'mo'chong 吸精魔虫
'xi'qin'duan'bi 昔秦短匕
'xi'qin'fa'zhang 昔秦法杖
'xi'qin'jian 昔秦剑
'xi'sheng'hu 西盛虎
'xi'sheng'hu'wang 西盛虎王
'xi'xing'da'fa 吸星大法
'xia'guang'guan 霞光冠
'xia'guang'hu'fu 霞光护符
'xia'guang'hu'jian 霞光护肩
'xia'guang'hu'shou 霞光护手
'xia'guang'lv 霞光履
'xia'guang'pao 霞光袍
'xia'guang'tao'zhuang 霞光套装
'xia'ke 侠客
'xia'ke'han'xin 侠客韩信
'xia'ke'nan'gong'tian 侠客南宫天
'xian'ji 献祭
'xian'ya'chui 纤雅锤
'xian'ya'fu 纤雅斧
'xian'ya'jian 纤雅剑
'xian'ya'jing 纤雅井
'xiang'jian'shu'shi 相剑术士
'xiang'jian'shu'shi'zhu'yong'zi 相剑术士烛庸子
'xiao'jing'ling'wu'qi 小精灵武器
'xiao'ma'ju 小马驹
'xiao'tian 肖天
'xiao'wei'xiao'chuan 校尉肖川
'xiao'yue'hu'fu 晓月护符
'xiao'yue'hu'jian 晓月护肩
'xiao'yue'hu'shou 晓月护手
'xiao'yue'jia'yi 晓月甲衣
'xiao'yue'mao 晓月帽
'xiao'yue'tao'zhuang 晓月套装
'xiao'yue'xue 晓月靴
'xiao'zei'chui 小贼锤
'xiao'zei'gong 小贼弓
'xie'jian'ba'huang 邪剑霸皇
'xie'jian'zhi'mo 邪剑之魔
'xie'lin'kai 蟹鳞铠
'xie'ling 邪灵
'xin'dong'zhi'hui'tian'chu 心动之回天杵
'xin'dong'zhi'huo'hun'zhang 心动之火魂杖
'xin'dong'zhi'jiang'mo'chu 心动之降魔杵
'xin'dong'zhi'shou'zhang 心动之手杖
'xin'dong'zhi'song'ling'zhang 心动之松灵杖
'xin'dong'zhi'tian'xin'zhang 心动之天心杖
'xin'dong'zhi'xin'luan'zhang 心动之心孪杖
'xin'lei'zhang 心泪杖
'xin'ling'hu'fu 心灵护符
'xin'luan'zhang 心孪杖
'xin'mo 心魔
'xin'nian'zhi'gu'hun'dun 信念之骨魂盾
'xin'nian'zhi'gui'wen'dun 信念之鬼纹盾
'xin'nian'zhi'qing'lin'dun 信念之青鳞盾
'xin'nian'zhi'zhong'jin'dun 信念之重金盾
'xing'chen'san'qing'san 星辰三清散
'xing'chen'zhui'luo 星辰坠落
'xing'guang'shi 星光石
'xing'hen'hu'jian 星痕护肩
'xing'hen'hu'shou 星痕护手
'xing'hen'jia 星痕甲
'xing'hen'mao 星痕帽
'xing'hen'tao'zhuang 星痕套装
'xing'hen'xue 星痕靴
'xing'jun 星君
'xing'jun'zhou 行军咒
'xing'shuang'zhen'lie 星霜阵列
'xing'xiu'guan 星宿冠
'xing'xiu'hu'fu 星宿护符
'xing'xiu'hu'jian 星宿护肩
'xing'xiu'hu'shou 星宿护手
'xing'xiu'lv 星宿履
'xing'xiu'pao 星宿袍
'xing'xiu'tao'zhuang 星宿套装
'xing'yue'hu 星月湖
'xing'zhe 行者
'xing'zhe'yu'rang 行者豫让
'xiong'de'li'liang 熊的力量
'xiong'shi 雄狮
'xiong'xia'zi 熊瞎子
'xiu'hua'bao 绣花包
'xiu'li'shi 修理师
'xiu'li'shi'ren'tian 修理师任天
'xiu'luo 修罗
'xiu'luo'zhi'zhang 修罗之杖
'xiu'shui'jian 绣水剑
'xiu'xing 修性
'xuan'hua'fu 宣花斧
'xuan'tie'kuang 玄铁矿
'xuan'tie'zhong'qiang 玄铁重枪
'xuan'wu'zhi'shen 玄武之神
'xue'bi 血匕
'xue'can'hu'jian 雪蚕护肩
'xue'can'hu'shou 雪蚕护手
'xue'can'kai 雪蚕铠
'xue'can'kui 雪蚕盔
'xue'can'tao'zhuang 雪蚕套装
'xue'can'xue 雪蚕靴
'xue'guai'wu'qi 雪怪武器
'xue'liu 雪硫
'xue'liu'guo 雪硫国
'xue'liu'guo'fu'bing 雪硫国斧兵
'xue'liu'guo'gong'bing 雪硫国弓兵
'xue'liu'guo'jian'shi 雪硫国剑士
'xue'liu'guo'xun'luo'dui 雪硫国巡逻队
'xue'liu'guo'yin'yang'shi 雪硫国阴阳师
'xue'mi'le 雪弥勒
'xue'ming'hu'jian 血冥护肩
'xue'ming'hu'shou 血冥护手
'xue'ming'kai 血冥铠
'xue'ming'kui 血冥盔
'xue'ming'tao'zhuang 血冥套装
'xue'ming'xue 血冥靴
'xue'ren'zhi'jian 血刃之剑
'xue'shen'yu'chan'san 雪参玉蟾散
'xue'wen'zhu 雪纹蛛
'xue'yao'shi 雪妖石
'xue'yu'xing'zhe 雪域行者
'xue'yue'ling'hu 雪月灵狐
'xue'zhi'zhu 血蜘蛛
'xue'zi 靴子
'xun'meng'dian'jiang'mao 迅猛点将矛
'xun'meng'du'long'ci 迅猛毒龙刺
'xun'meng'han'guang'ci 迅猛寒光刺
'xun'meng'lie'gu'fu 迅猛裂骨斧
'xun'meng'po'sui'chui 迅猛破碎锤
'xun'meng'she'gou'dao 迅猛蛇钩刀
'xun'meng'sui'gu'chui 迅猛碎骨锤
'xun'meng'tun'yun'ci 迅猛吞云刺
'xun'meng'yue'ya'ji 迅猛月牙戟
'xun'meng'zi'jin'ba'gua'chui 迅猛紫金八卦锤
'xun'meng'zi'tong'ji 迅猛紫铜戟
'yan'ling'shi 炎凌石
'yan'long'shu 炎龙术
'yan'long'tan'bao 炎龙弹爆
'yan'yue'dao 偃月刀
'yang'bu'hui 杨不悔
'yang'sheng 养生
'yang'you'ji 养游基
'yao'jian'hua'hun 妖剑化魂
'yao'pin'shang 药品商
'yao'pin'shang'bian'que 药品商扁鹊
'yao'pin'shang'shi'zhen 药品商时珍
'ye'ge'guan 夜歌冠
'ye'ge'hu'jian 夜歌护肩
'ye'ge'hu'shou 夜歌护手
'ye'ge'lv 夜歌履
'ye'ge'pao 夜歌袍
'ye'ge'tao'zhuang 夜歌套装
'ye'luo'tuo 野骆驼
'ye'man'chong'zhuang 野蛮冲撞
'ye'qing 叶青
'ye'shen'hu 夜神虎
'ye'xing'hu'jian 夜行护肩
'ye'xing'hu'shou 夜行护手
'ye'xing'mao 夜行帽
'ye'xing'xue 夜行靴
'ye'xing'yi 夜行衣
'yi'dong'she'ji 移动射击
'yi'shan'guan 移山关
'yi'shen'jin 一身金
'yi'shen'lan 一身蓝
'yi'shen'lv 一身绿
'yi'shen'zi 一身紫
'yi'zu'feng'shui'shi 异族风水师
'yi'zu'zhao'huan'shi 异族召唤师
'yin'kuang 银矿
'yin'yang'wu'chang'san 阴阳无常散
'yin'zhi'da'mo'shi'tu'yang 银质打磨石图样
'ying'bu 英布
'ying'can 影参
'ying'dun 影遁
'ying'nu 硬弩
'ying'wu 影舞
'ying'ya 影牙
'yong'heng'zhi'gu'hun'dun 永恒之骨魂盾
'yong'heng'zhi'gui'wen'dun 永恒之鬼纹盾
'yong'heng'zhi'qing'lin'dun 永恒之青鳞盾
'yong'heng'zhi'zhong'jin'dun 永恒之重金盾
'yong'yu 鳙鱼
'you'dang'de'hun'po 游荡的魂魄
'yu'chong'shi 驭虫师
'yu'diao'bao 玉貂豹
'yu'jin'she 玉锦蛇
'yu'rang 豫让
'yu'shou'ren 驭兽人
'yu'shou'ren'tou'ling 驭兽人头领
'yu'shou'shi 驭兽师
'yu'shou'shi'zi'dian 驭兽师孜典
'yu'si'dai 玉丝袋
'yu'si'dai'tu'yang 玉丝袋图样
'yu'tong 余同
'yuan'lian'cheng 原莲城
'yuan'lian'ge'bi 原莲戈壁
'yuan'rong'nu 元戎弩
'yue'gui 月桂
'yue'lao'zhang 月老杖
'yue'long'men'shi'pu 跃龙门食谱
'yue'ya'ji 月牙戟
'yue'ying 月英
'yue'ying'dun 越影盾
'yun'tie'hu'jian 陨铁护肩
'yun'tie'hu'shou 陨铁护手
'yun'tie'kai 陨铁铠
'yun'tie'kui 陨铁盔
'yun'tie'xue 陨铁靴
'yun'xiao'cheng 云宵城
'zang'hong'hua 藏红花
'zhan'fo'seng 斩佛僧
'zhan'jin 湛金
'zhan'ma 战马
'zhan'ma'dao 斩马刀
'zhan'shen 战神
'zhang'lao 长老
'zhang'lao'tang'wan 长老唐宛
'zhang'lao'wu'shuang 长老武霜
'zhao'huan'da'shi 召唤大师
'zhao'huan'ling'yao 召唤灵妖
'zhao'huan'xie'shen 召唤邪神
'zhao'huan'xing'chong 召唤星虫
'zhen'dong'jiang'jun 镇东将军
'zhen'dong'jiang'jun'lian'po 镇东将军廉颇
'zhen'jun 真君
'zhen'jun'zhi'jian 真君之剑
'zhen'ling'jiao 镇灵角
'zhen'nan'tian 镇南天
'zhen'qi'jie'jie 真气结界
'zhen'san'chuan 镇三川
'zhen'wu'jian 真武剑
'zhen'wu'jian'wei 真武剑伪
'zhi'can 致残
'zhi'hui'zhi'bai'long'zhang 智慧之白龙杖
'zhi'hui'zhi'bi'xuan'pao 智慧之碧玄袍
'zhi'hui'zhi'huo'hun'zhang 智慧之火魂杖
'zhi'hui'zhi'jiang'mo'chu 智慧之降魔杵
'zhi'hui'zhi'jiu'qu'zhang 智慧之九曲杖
'zhi'hui'zhi'jiu'yi'pao 智慧之九逸袍
'zhi'hui'zhi'jue'ying'pao 智慧之绝影袍
'zhi'hui'zhi'pu'ti'zhang 智慧之菩提杖
'zhi'hui'zhi'shang'ren'pao 智慧之上人袍
'zhi'hui'zhi'tian'shi'pao 智慧之天师袍
'zhi'hui'zhi'tian'xin'zhang 智慧之天心杖
'zhi'liao'da'shi 治疗大师
'zhi'liao'jing'tong 治疗精通
'zhi'ye'tao'zhuang 职业套装
'zhi'zhu'wang 蜘蛛王
'zhong'chui 重锤
'zhong'fu 重斧
'zhong'gu'yao'shi 盅蛊妖尸
'zhong'jia'da'shi 重甲大师
'zhong'jia'jing'tong 重甲精通
'zhong'jie'ji'feng 终结技封
'zhong'jie'ji'lan 终结技岚
'zhong'jie'ji'mie 终结技灭
'zhong'jin'dun 重金盾
'zhong'li'di'qu 中立地区
'zhong'pi 重皮
'zhong'pi'hu'jia'pian'tu'yang 重皮护甲片图样
'zhong'xing'wu'qi'jing'tong 重型武器精通
'zhong'zhang 重杖
'zhou'gong'shi 周公石
'zhou'tai 周泰
'zhou'tian'zhi'qi 周天之气
'zhu'hong'shui'guai 朱红水怪
'zhu'hong'zhi'dun 朱红之盾
'zhu'jian'bei 铸剑碑
'zhu'jin'chui 铸金锤
'zhu'lin'huan'jing 竹林幻径
'zhu'que'shen'ju 朱雀神驹
'zhu'tie'jian 铸铁剑
'zhu'yong'zi 烛庸子
'zhuan'zhi 转职
'zhuan'zhu'da'shi 专注大师
'zhuan'zhu'zhi'bi'xuan'pao 专注之碧玄袍
'zhuang'shi 装饰
'zhui'xing'jian 锥形箭
'zhui'zong'da'shi 追踪大师
'zhuo'gui 捉鬼
'zi'dian 孜典
'zi'jin'ba'gua'chui 紫金八卦锤
'zi'jin'jian 紫金剑
'zi'jin'kuang 紫金矿
'zi'jing'yun'bao 紫荆云豹
'zi'tong'ji 紫铜戟
'zi'wu'jian 子午剑
'zi'yang'xiong'li'san 紫阳熊力散
'zi'yang'xiong'li'wan 紫阳熊力丸
'zi'yu'dao 紫玉刀
'zuo'quan 左权
