'a'ji'mi'de'luo'xian 阿基米德螺线
'jing'xiang'bian'xing 径向变形
'jing'xiang'dao'jiao'chi'cun 径向倒角尺寸
'jing'xiang'hua'dong'zhou'cheng 径向滑动轴承
'jing'xiang'jie'chu'gun'zi'zhou'cheng'nei 径向接触滚子轴承内
'jing'xiang'jie'chu'zhou'cheng 径向接触轴承
'jing'xiang'jie'ju 径向节距
'jing'xiang'shuang'duan'mian'ji'xie'mi'feng 径向双端面机械密封
'jing'xiang'tou'ying 镜象投影
'jing'xiang'wei'yi 径向位移
'jing'xiang'xiao'lian'jie 径向销联接
'jing'xiang'xie'bo'chi'lun'chuan'dong 径向谐波齿轮传动
'jing'xiang'ye'pian 径向叶片
'jing'xiang'zai'he 径向载荷
'jing'xiang'zai'he'xi'shu 径向载荷系数
'jing'xiang'zhi'tui'hua'dong'zhou'cheng 径向止推滑动轴承
'jing'ya'zhou'cheng 静压轴承
'jing'zai'he 静载荷
'jing'zai'hua'dong'zhou'cheng 静载滑动轴承
'jing'zhi'huan 静止环
'ju'bu'fang'da'tu 局部放大图
'ju'bu'fu'shi 局部腐蚀
'ju'bu'ling'min'du 局部灵敏度
'ju'bu'zhi'liang'pian'xin'ju 局部质量偏心距
'ju'bu'zi'you'du 局部自由度
'ju'xing'chong'ji'mai'chong 矩形冲击脉冲
'ju'xing'hua'jian 矩形花键
'ju'xing'huo'fang'xing'pou'mian 矩形或方形剖面
'ju'you'bu'tong'zhi'jing 具有不同直径
'ju'you'guo'ying 具有过盈
'ju'you'jian'xi 具有间隙
'ju'you'jun'bu'heng'xiang'chi'de 具有均布横向齿的
'ju'you'shi'yun'dong'bu'jian 具有使运动部件
'juan'zhi'zhou'tao 卷制轴套
'jue'dui'su'du'shun'xin 绝对速度瞬心
'jun'lie 龟裂
'jun'yun'fu'shi 均匀腐蚀
'jun'zai'ji'gou 均载机构
'ka'gu'luo'shuan 卡箍螺栓
'ka'huan 卡环
'kai'cao'ban'chen'tou'luo'ding 开槽半沉头螺钉
'kai'cao'ban'chen'tou'mu'luo'ding 开槽半沉头木螺钉
'kai'cao'chen'tou'luo'ding 开槽沉头螺钉
'kai'cao'chen'tou'mu'luo'ding 开槽沉头木螺钉
'kai'cao'chen'tou'qiang'gong'luo'ding 开槽沉头强攻螺钉
'kai'cao'pan'tou'luo'ding 开槽盘头螺钉
'kai'cao'pan'tou'zi'gong'luo'ding 开槽盘头自攻螺钉
'kai'cao'wu'tou'dao'jiao'duan'luo'ding 开槽无头倒角端螺钉
'kai'cao'yuan'luo'mu 开槽圆螺母
'kai'cao'yuan'tou'luo'ding 开槽圆头螺钉
'kai'cao'yuan'tou'mu'luo'ding 开槽圆头木螺钉
'kai'cao'yuan'zhu'tou'luo'ding 开槽圆柱头螺钉
'kai'cao'yuan'zhu'tou'zi'qie'luo'ding 开槽圆柱头自切螺钉
'kai'huan'kong'zhi'xi'tong 开环控制系统
'kai'kou'chuan'dong 开口传动
'kai'kou'dang'quan 开口挡圈
'kai'kou'xiao 开口销
'kai'qi'li 开启力
'kai'shi'yun'dong'lian 开式运动链
'kai'wei'yuan'zhui'xiao 开尾圆锥销
'kai'xing'zhou'cheng 开型轴承
'kang'pi'lao'xing 抗疲劳性
'kang'yao'xing 抗咬性
'ke'chai'lian 可拆链
'ke'chai'xiao'zhou 可拆销轴
'ke'dong'zhi'cheng 可动支承
'ke'hu'huan'fen'bu'jian 可互换分部件
'ke'kao'du'de'zhi'xin'du 可靠度的置信度
'ke'kao'shou'ming 可靠寿命
'ke'kao'xing 可靠性
'ke'kao'xing'can'shu 可靠性参数
'ke'kao'xing'fen'pei 可靠性分配
'ke'kao'xing'kuang'tu 可靠性框图
'ke'kao'xing'mo'xing 可靠性模型
'ke'kao'xing'she'ji 可靠性设计
'ke'kao'xing'yu'ji 可靠性预计
'ke'li'chi'cun 颗粒尺寸
'ke'ni'dian'qi'chuan'dong 可逆电气传动
'ke'qing'wa'kuai'zhou'cheng 可倾瓦块轴承
'ke'tiao'lian'gan'ji'gou 可调连杆机构
'ke'tiao'shi'ye'li'bian'ju'qi 可调式液力变矩器
'ke'yong'chi'kuo'you'yi'duan'yuan'hu 可用齿廓由一段圆弧
'ke'yong'chi'mian 可用齿面
'ke'yong'xing 可用性
'kong'bai'tu 空白图
'kong'cheng 空程
'kong'jian'ji'gou 空间机构
'kong'jian'lian'gan'ji'gou 空间连杆机构
'kong'jian'tu'lun'ji'gou 空间凸轮机构
'kong'jian'ye'pian 空间叶片
'kong'ju 孔距
'kong'qi'gan'zao'qi 空气干燥器
'kong'qi'tan'huang 空气弹簧
'kong'qi'tiao'jie'dan'yuan 空气调解单元
'kong'shi 孔蚀
'kong'shi 空蚀
'kong'shi'dian'wei 孔蚀电位
'kong'shi'xi'shu 孔蚀系数
'kong'xin'mao'ding 空心铆钉
'kong'xin'xiao'zhou 空心销轴
'kong'zhi'fa 控制阀
'kong'zhi'xi'tong 控制系统
'ku'lun'mo'ca 库伦摩擦
'kua'yue 跨越
'kua'yue'chong'ji 跨越冲击
'kuai'lian 块链
'kuai'shi'li'he'qi 块式离合器
'kuai'shi'zhi'dong'qi 块式制动器
'kuai'su'pai'qi'fa 快速排气阀
'kuai'xie'xiao 快卸销
'kuan'dai'sui'ji'zhen'dong 宽带随机振动
'kuan'du'xi'lie 宽度系列
'kuan'jing'bi 宽径比
'kuan'mian'fa'lan 宽面法兰
'kuang'tu 框图
'kuo'san'kong'zhi 扩散控制
'kuo'san'mo'sun 扩散磨损
'kuo'san'xiao'ying 扩散效应
'la'ye'lian 拉曳链
'lao'hua 老化
'lao'hua'gu'zhang 老化故障
'lao'hua'shi'xiao 老化失效
'lei'ji'gai'lv'fen'bu'han'shu 累积概率分布函数
'lei'nuo'fang'cheng 雷诺方程
'leng'dong'shi'gan'zao'qi 冷冻式干燥器
'leng'han 冷焊
'leng'que'liu'ti 冷却流体
'leng'zhu'bei 冷贮备
'li'bi 力臂
'li'ding'chu'li 立定处理
'li'du'fen'bu'qu'xian 粒度分布曲线
'li'duo'bian'xing 力多边形
'li'feng'bi'de'tu'lun'ji'gou 力封闭的凸轮机构
'li'gou 犁沟
'li'he'qi 离合器
'li'ju 力矩
'li'ju'qu'xian 力矩曲线
'li'ju'rong'liang 力矩容量
'li'lun'hao'qi'liang 理论耗气量
'li'lun'jie'chu'mian 理论接触面
'li'lun'neng'tou 理论能头
'li'lun'ying'li'ji'zhong'xi'shu 理论应力集中系数
'li'mian'tu 立面图
'li'ou 力偶
'li'ou'ju 力偶矩
'li'ping'heng 力平衡
'li'san'xi'tong 离散系统
'li'xiang'chong'ji'mai'chong 理想冲击脉冲
'li'xin'la'li 离心拉力
'li'xin'li 离心力
'li'xin'li'he'qi 离心离合器
'li'xin'tiao'su'qi 离心调速器
'li'xin'ye'lun 离心叶轮
'li'xin'zhi'dong'qi 离心制动器
'li'xuan'liang 力旋量
'li'zhou 犁皱
'lian'ban 链板
'lian'chuan'dong 链传动
'lian'gan 连杆
'lian'gan'ji'gou 连杆机构
'lian'jia'gan 连架杆
'lian'jie'lian'jie 联接链节
'lian'jie'xiao'zhou 联接销轴
'lian'lun 链轮
'lian'tiao 链条
'lian'tiao'lian'zhou'qi 链条联轴器
'lian'xin'xian 连心线
'lian'xu'chong'ji 连续冲击
'lian'xu'chong'ji'shi'yan 连续冲击试验
'lian'xu'run'hua 连续润滑
'lian'xu'xi'tong 连续系统
'lian'zhou'qi 联轴器
'liang'chi'lun'de'gong'zuo 两齿轮的工作
'liang'qi'mo 亮漆膜
'lie'wen'chi'cun 裂纹尺寸
'lie'wen'kuo'zhan'men'kan'zhi 裂纹扩展门槛值
'lie'wen'kuo'zhan'neng'liang'shi'fang'lv 裂纹扩展能量释放率
'lie'wen'kuo'zhan'shou'ming 裂纹扩展寿命
'lie'wen'kuo'zhan'yu'zhi 裂纹扩展阈值
'lie'wen'xing'cheng'shou'ming 裂纹形成寿命
'lie'wen'zhang'kai'wei'yi 裂纹张开位移
'lin'jie'bao'hu'dian'wei 临界保护电位
'lin'jie'dun'hua'dian'liu 临界钝化电流
'lin'jie'dun'hua'dian'wei 临界钝化电位
'lin'jie'lie'wen'chi'cun 临界裂纹尺寸
'lin'jie'qi'mo'hou'du 临界气膜厚度
'lin'jie'shi'du 临界湿度
'lin'jie'ya'li'bi 临界压力比
'lin'jie'you'mo'hou'du 临界油膜厚度
'lin'jie'zhuan'su 临界转速
'ling'chi'cha'shu'chu'ji'gou 零齿差输出机构
'ling'du'chi'zhui'chi'lun 零度齿锥齿轮
'ling'jian 零件
'ling'jian'tu 零件图
'ling'ju'gong'kuang 零矩工况
'ling'su'bian'ju'xi'shu 零速变矩系数
'ling'su'gong'kuang 零速工况
'ling'ti 领蹄
'ling'ti'zhi'dong'qi 领蹄制动器
'ling'xian 零线
'liu'bian'dong'li'run'hua 流变动力润滑
'liu'bian'xue 流变学
'liu'cheng'tu 流程图
'liu'dao 流道
'liu'dao'kuan'du 流道宽度
'liu'hua'run'hua'ji 硫化润滑剂
'liu'jiao'bo'luo'mu 六角薄螺母
'liu'jiao'dian'quan'mian'luo'mu 六角垫圈面螺母
'liu'jiao'fa'lan'mian'luo'mu 六角法兰面螺母
'liu'jiao'guan'zhuang'bo'luo'mu 六角冠状薄螺母
'liu'jiao'guan'zhuang'luo'mu 六角冠状螺母
'liu'jiao'kai'cao'luo'mu 六角开槽螺母
'liu'jiao'luo'mu 六角螺母
'liu'jiao'tou'fa'lan'mian'luo'shuan 六角头法兰面螺栓
'liu'jiao'tou'gai'xing'luo'shuan 六角头盖形螺栓
'liu'jiao'tou'luo'shuan 六角头螺栓
'liu'jiao'tou'mu'luo'ding 六角头木螺钉
'liu'jiao'tou'tu'yuan'luo'shuan 六角头凸缘螺栓
'liu'jiao'tou'zi'gong'luo'ding 六角头自攻螺钉
'liu'jiao'tou'zi'qie'luo'ding 六角头自切螺钉
'liu'jiao'tu'yuan'luo'mu 六角凸缘螺母
'liu'liang'fa 流量阀
'liu'liang'kong'zhi'fa 流量控制阀
'liu'lv'hua'run'hua'ji 硫氯化润滑剂
'liu'ti'dong'ya'shi'ji'xie'mi'feng 流体动压式机械密封
'liu'ti'jin'shi 流体浸蚀
'liu'ti'jing'ya'shi'ji'xie'mi'feng 流体静压式机械密封
'liu'ti'mo 流体膜
'liu'ti'mo'ca 流体摩擦
'lun'cao'jie'kuan 轮槽节宽
'lun'chi 轮齿
'lun'guan'ju 轮冠距
'lun'tai'shi'li'he'qi 轮胎式离合器
'lun'tai'shi'lian'zhou'qi 轮胎式联轴器
'luo'ding 螺钉
'luo'ding'suo'jin'dang'quan 螺钉锁紧挡圈
'luo'gan 螺杆
'luo'gan'beng 螺杆泵
'luo'guan'shi'zhi'dong'qi 罗管式制动器
'luo'ji'tu 逻辑图
'luo'ju 螺距
'luo'ju'lei'ji'wu'cha 螺距累积误差
'luo'ju'pian'cha 螺距偏差
'luo'mu 螺母
'luo'shuan 螺栓
'luo'wei 螺尾
'luo'wei'yuan'zhui'xiao 螺尾圆锥销
'luo'wen 螺纹
'luo'wen'cao'kuan 螺纹槽宽
'luo'wen'fa'lan 螺纹法兰
'luo'wen'fu 螺纹副
'luo'wen'jie'chu'gao'du 螺纹接触高度
'luo'wen'jing'du 螺纹精度
'luo'wen'lian'jie 螺纹联接
'luo'wen'sheng'jiao 螺纹升角
'luo'wen'xuan'he'chang'du 螺纹旋合长度
'luo'wen'ya'hou 螺纹牙厚
'luo'wen'ya'xing 螺纹牙型
'luo'wen'yuan'zhu'xiao 螺纹圆柱销
'luo'wen'zhou'xian 螺纹轴线
'luo'xuan'chuan'dong 螺旋传动
'luo'xuan'fu 螺旋副
'luo'xuan'ji'gou 螺旋机构
'luo'xuan'jiao 螺旋角
'luo'xuan'tan'huang 螺旋弹簧
'luo'xuan'wei'yi'ju'zhen 螺旋位移矩阵
'luo'xuan'xian 螺旋线
'luo'xuan'zhou 螺旋轴
'lv'hua'run'hua'ji 氯化润滑剂
'mai'chong'shang'sheng'shi'jian 脉冲上升时间
'mai'chong'xia'jiang'shi'jian 脉冲下降时间
'mai'dong'xun'huan 脉动循环
'man'zhuang'gun'dong'ti'zhou'cheng 满装滚动体轴承
'mao'ding 铆钉
'mao'ding'lian'jie 铆钉联接
'mao'jie 铆接
'mao'pi'tu 毛坯图
'mei'hua'xing'tan'xing'lian'zhou'qi 梅花形弹性联轴器
'mi'bi'xie'bo'chi'lun'chuan'dong 密闭谐波齿轮传动
'mi'feng 密封
'mi'feng'da'dao'shi'xiao'shi'de 密封达到失效时的
'mi'feng'duan'gai 密封端盖
'mi'feng'duan'mian 密封端面
'mi'feng'huan 密封环
'mi'feng'huan'dai 密封环带
'mi'feng'jie'mian 密封界面
'mi'feng'liu'ti 密封流体
'mi'feng'liu'ti'ya'li 密封流体压力
'mi'feng'qiang 密封腔
'mi'feng'qiang'ti 密封腔体
'mi'feng'quan 密封圈
'mi'feng'quan'zhou'cheng 密封圈轴承
'mi'quan'luo'xuan'tan'huang 密圈螺旋弹簧
'mi'zhi'zhou'cheng 米制轴承
'mian'ban'luo'ding 面板螺钉
'mian'dui'mian'pei'zhi 面对面配置
'mian'shi'tai 免蚀态
'mian'xing 面型
'mian'xing 面形
'mian'xing'jing'du 面形精度
'min'hua'chu'li 敏化处理
'ming'xi'lan 明细栏
'ming'yi'ying'bian 名义应变
'ming'yi'ying'li 名义应力
'ming'yi'zhong'xin'ju 名义中心距
'mo'ca 摩擦
'mo'ca'cai'liao 摩擦材料
'mo'ca'chen'pian 摩擦衬片
'mo'ca'fu'shu 摩擦副数
'mo'ca'gong 摩擦功
'mo'ca'gong'kuang 摩擦工况
'mo'ca'gong'lv 摩擦功率
'mo'ca'gu'bu'jian 摩擦鼓部件
'mo'ca'jiao 摩擦角
'mo'ca'kuai'li'he'qi 摩擦块离合器
'mo'ca'li 摩擦力
'mo'ca'li'ju 摩擦力矩
'mo'ca'lun'chuan'dong 摩擦轮传动
'mo'ca'mian 摩擦面
'mo'ca'mian'wen'du 摩擦面温度
'mo'ca'pian 摩擦片
'mo'ca'shi'li'he'qi 摩擦式离合器
'mo'ca'sun'shi 摩擦损失
'mo'ca'xi'shu 摩擦系数
'mo'ca'xiang'rong'xing 摩擦相容性
'mo'ca'xue 摩擦学
'mo'ca'yuan 摩擦圆
'mo'ca'zhi'dong'qi 摩擦制动器
'mo'ca'zhui 摩擦锥
'mo'he 磨合
'mo'he'mo'sun 磨合磨损
'mo'he'xing 磨合性
'mo'hu'kong'zhi 模糊控制
'mo'hu'kong'zhi'xi'tong 模糊控制系统
'mo'li 磨粒
'mo'liao'jin'shi 磨料浸蚀
'mo'liao'mo'sun 磨料磨损
'mo'ni'fu'shi'shi'yan 模拟腐蚀试验
'mo'pian'lian'zhou'qi 膜片联轴器
'mo'pian'shi'li'he'qi 膜片式离合器
'mo'pian'tan'huang 膜片弹簧
'mo'shu 模数
'mo'sun 磨损
'mo'sun'du 磨损度
'mo'sun'fu'shi 磨损腐蚀
'mo'sun'liang 磨损量
'mo'sun'lv 磨损率
'mo'sun'xi'shu 磨损系数
'mo'sun'zhuang'tai'zhuan'hua 磨损状态转化
'mo'tai'can'shu 模态参数
'mo'tai'shi'yan 模态试验
'mu'ju 模具
'mu'luo'ding 木螺钉
'mu'luo'ding'luo'wen 木螺钉螺纹
'na'wei'ye 纳维耶
'nai'hou'xing 耐候性
'nai'mo'xing 耐磨性
'nai'shi'xing 耐蚀性
'nai'zhen'shi'yan 耐振试验
'nao'xing'gou'jian 挠性构件
'nao'xing'zhuan'zi 挠性转子
'nao'xing'zhuan'zi'di'su'ping'heng 挠性转子低速平衡
'nao'xing'zhuan'zi'gao'su'ping'heng 挠性转子高速平衡
'nei'bai'xian 内摆线
'nei'bai'xian'de'deng'ju'qu'xian 内摆线的等距曲线
'nei'bo'fa'sheng'qi 内波发生器
'nei'chi'bai'xian'lun 内齿摆线轮
'nei'chi'gang'lun 内齿刚轮
'nei'chi'lun 内齿轮
'nei'chi'lun'fu 内齿轮副
'nei'chi'quan 内齿圈
'nei'chi'suo'jin'dian'quan 内齿锁紧垫圈
'nei'chi'zhen'chi'lun 内齿针齿轮
'nei'chuan'dong'jian 内传动件
'nei'huan 内环
'nei'ju'chi'suo'jin'dian'quan 内锯齿锁紧垫圈
'nei'lian'ban 内链板
'nei'lian'jie 内链节
'nei'liu'jiao'chen'tou'luo'ding 内六角沉头螺钉
'nei'liu'jiao'wu'tou'ao'duan'luo'ding 内六角无头凹端螺钉
'nei'liu'jiao'yuan'zhu'tou'luo'ding 内六角圆柱头螺钉
'nei'liu'shi'ji'xie'mi'feng 内流式机械密封
'nei'luo'wen 内螺纹
'nei'luo'wen'yuan'zhu'xiao 内螺纹圆柱销
'nei'luo'wen'yuan'zhui'xiao 内螺纹圆锥销
'nei'pian 内片
'nei'quan 内圈
'nei'she'zhi'dong'dian'quan 内舌止动垫圈
'nei'ya 内压
'nei'zhang'shi'zhi'dong'qi 内胀式制动器
'nei'zhi'xin'zhuan'zi 内质心转子
'nei'zhuang'shi'ji'xie'mi'feng 内装式机械密封
'nei'zhui'ju 内锥距
'nei'zhui'ti'bu'jian 内锥体部件
'neng'gou'cheng'kai 能够撑开
'neng'rong 能容
'neng'tou 能头
'ni'ping'xing'si'bian'xing'ji'gou 逆平行四边形机构
'ni'zha 泥渣
'nian'du 黏度
'nian'du'zhi'shu'gai'jin'ji 黏度指数改进剂
'nian'fu'mo'sun 黏附磨损
'nian'tan'xing 黏弹性
'nian'zhe 黏着
'nian'zhe'xi'shu 黏着系数
'nian'zhuo'li 黏着力
'nie'chu 啮出
'nie'chu'qu 啮出区
'nie'he 啮合
'nie'he'ce'xi 啮合侧隙
'nie'he'chi'shu 啮合齿数
'nie'he'gan'she 啮合干涉
'nie'he'jiao 啮合角
'nie'he'jie'dian 啮合节点
'nie'he'ping'mian 啮合平面
'nie'he'qu 啮合区
'nie'he'qu'mian 啮合曲面
'nie'he'qu'yu 啮合区域
'nie'he'qu'zhong'xin'jiao 啮合区中心角
'nie'he'xian 啮合线
'nie'he'xiang'wei'jiao 啮合相位角
'nie'ru 啮入
'nie'ru'qu 啮入区
'niu'dun'liu'ti 牛顿流体
'niu'gan'tan'huang 扭杆弹簧
'niu'huang 扭簧
'niu'huang'li'he'qi 扭簧离合器
'niu'ju 扭矩
'niu'zhuan'shi'xiang'jiao'tan'huang 扭转式橡胶弹簧
'niu'zhuan'zhen'dong 扭转振动
'nong'cha'fu'shi'dian'chi 浓差腐蚀电池
'ou'bu'ping'heng 偶不平衡
'ou'he'zhen'xing 耦合振型
'ou'ke'wei'ke'shu 欧克魏克数
'ou'la'jiao 欧拉角
'ou'la'xuan'zhuan'ju'zhen 欧拉旋转矩阵
'ou'mu'kong'zhi 欧姆控制
'pai'ji'xi'shu 排挤系数
'pai'qi'guan'lu 排气管路
'pai'qi'jie'liu'fa 排气节流阀
'pan'shi'li'he'qi 盘式离合器
'pan'shi'zhi'dong'qi 盘式制动器
'pan'xing'tu'lun 盘形凸轮
'pan'zhuang'lian'lun 盘状链轮
'pang'lian'xi'tong 旁联系统
'pei'dui'chi'lun 配对齿轮
'pei'he 配合
'pei'he'gong'chai 配合公差
'pei'he'gong'chai'dai 配合公差带
'pen'tu'mo'ca'pian 喷涂摩擦片
'peng'zhuang 碰撞
'peng'zhuang'li 碰撞力
'pi'ge'ping'dai 皮革平带
'pi'lao 疲劳
'pi'lao'ji'xian 疲劳极限
'pi'lao'ji'xian'xian'tu 疲劳极限线图
'pi'lao'lei'ji'sun'shang 疲劳累积损伤
'pi'lao'lie'wen'kuo'zhan'su'du 疲劳裂纹扩展速度
'pi'lao'qiang'du 疲劳强度
'pi'lao'qiang'du'she'ji 疲劳强度设计
'pi'lao'que'kou'xi'shu 疲劳缺口系数
'pi'lao'shi'yan 疲劳试验
'pi'lao'shi'yang 疲劳试样
'pi'lao'shou'ming 疲劳寿命
'pi'lao'sun'shang 疲劳损伤
'pi'pei'shi'yan'shai 匹配试验筛
'pian'shi'li'he'qi 片式离合器
'pian'tan'huang 片弹簧
'pian'wei'jiao 偏位角
'pian'xin'ju 偏心距
'pian'xin'lun'ji'gou 偏心轮机构
'pian'xin'lv 偏心率
'pian'xin'yuan'jian 偏心元件
'pian'zhi'ju 偏置距
'pian'zhi'qu'bing'hua'kuai'ji'gou 偏置曲柄滑块机构
'pian'zhi'zhi'dong'cong'dong'jian 偏置直动从动件
'piao'yi'shi'xiao 漂移失效
'pin'lv'xiang'ying'han'shu 频率响应函数
'ping'dai 平带
'ping'dai'chuan'dong 平带传动
'ping'dang'quan 平挡圈
'ping'dian'quan 平垫圈
'ping'ding'chi'lun 平顶齿轮
'ping'ding'lian 平顶链
'ping'han'fa'lan 平焊法兰
'ping'heng 平衡
'ping'heng'li'ju 平衡力矩
'ping'heng'shi'ji'xie'mi'feng 平衡式机械密封
'ping'heng'yun'cha 平衡允差
'ping'heng'zhi'jing 平衡直径
'ping'heng'zhi'liang 平衡质量
'ping'heng'zhuan'su 平衡转速
'ping'jian 平键
'ping'jun'dong'mo'ca'li 平均动摩擦力
'ping'jun'dong'mo'ca'xi'shu 平均动摩擦系数
'ping'jun'fu'shi'shen'du 平均腐蚀深度
'ping'jun'hui'fu'qian'shi'jian 平均恢复前时间
'ping'jun'mo'ca'ban'jing 平均摩擦半径
'ping'jun'shi'xiao'jian'ge'shi'jian 平均失效间隔时间
'ping'jun'shi'xiao'qian'shi'jian 平均失效前时间
'ping'jun'shou'ci'shi'xiao'qian'shi'jian 平均首次失效前时间
'ping'jun'shou'ming 平均寿命
'ping'jun'xiu'fu'shi'jian 平均修复时间
'ping'jun'ying'bian 平均应变
'ping'jun'ying'li 平均应力
'ping'jun'you'xiao'zai'he 平均有效载荷
'ping'jun'zhi'dong'jian'su'du 平均制动减速度
'ping'mian 平面
'ping'mian'bao'luo'huan'mian'wo'gan 平面包络环面蜗杆
'ping'mian'chan'xing'chi'lun 平面产形齿轮
'ping'mian'chi'lun 平面齿轮
'ping'mian'er'ci'bao'luo'wo'lun 平面二次包络蜗轮
'ping'mian'fu 平面副
'ping'mian'ji'gou 平面机构
'ping'mian'jiao'lian'si'gan'ji'gou 平面铰链四杆机构
'ping'mian'lian'gan'ji'gou 平面连杆机构
'ping'mian'tu 平面图
'ping'mian'tu'lun'ji'gou 平面凸轮机构
'ping'mian'wo'juan'tan'huang 平面涡卷弹簧
'ping'mian'wo'lun 平面蜗轮
'ping'mian'xuan'zhuan'ju'zhen 平面旋转矩阵
'ping'mian'yan'zhe'yi'ge'gu'ding'de 平面沿着一个固定的
'ping'mian'ye'pian 平面叶片
'ping'mian'zhuan'huan 平面转换
'ping'pian'tou'luo'ding 平片头螺钉
'ping'tou'gu'ding'luo'shuan 平头固定螺栓
'ping'tou'mao'ding 平头铆钉
'ping'xing'li'xi 平行力系
'ping'xing'si'bian'xing'ji'gou 平行四边形机构
'ping'xing'tou'ying'fa 平行投影法
'ping'xing'zhou'chi'lun'fu 平行轴齿轮副
'ping'zhui'tou'ban'kong'xin'mao'ding 平锥头半空心铆钉
'ping'zhui'tou'mao'ding 平锥头铆钉
'po'sun'an'quan'jie'gou 破损安全结构
'pou'fen'shi'hua'dong'zhou'cheng 剖分式滑动轴承
'pou'fen'zhou'cheng 剖分轴承
'pou'mian'tu 剖面图
'pou'shi'tu 剖视图
'pu'tong'ping'dai 普通平带
'pu'tong'ping'jian 普通平键
'pu'tong'xie'jian 普通楔键
'pu'tong'xing'ye'li'ou'he'qi 普通型液力偶合器
'pu'tong'yuan'zhu'xiao 普通圆柱销
'pu'tong'yuan'zhui'xiao 普通圆锥销
'qi'dong 起动
'qi'dong'chuan'gan'qi 气动传感器
'qi'dong'fang'da'qi 气动放大器
'qi'dong'fu'zhu'yuan'jian 气动辅助元件
'qi'dong'gong'kuang 起动工况
'qi'dong'guo'zai'xi'shu 起动过载系数
'qi'dong'hui'lu 气动回路
'qi'dong'ji'gou 气动机构
'qi'dong'ji'shu 气动技术
'qi'dong'kong'zhi 气动控制
'qi'dong'kong'zhi'yuan'jian 气动控制元件
'qi'dong'li'ju 启动力矩
'qi'dong'luo'ji'kong'zhi'yuan'jian 气动逻辑控制元件
'qi'dong'luo'ji'yuan'jian 气动逻辑元件
'qi'dong'qi'ye'zu'ni'gang 气动气液阻尼缸
'qi'dong'shi'bo'fa'sheng'qi 气动式波发生器
'qi'dong'xi'tong 气动系统
'qi'dong'xiao'sheng'qi 气动消声器
'qi'dong'zhen'kong'fa'sheng'yuan'jian 气动真空发生元件
'qi'dong'zhi'xing'yuan'jian 气动执行元件
'qi'dong'zhuan'ju 起动转矩
'qi'dong'zhuan'ju 启动转矩
'qi'fa 气阀
'qi'gang 气缸
'qi'ji 气击
'qi'kong'huan'xiang'fa 气控换向阀
'qi'ma'da 气马达
'qi'men 气门
'qi'mo 漆膜
'qi'mo'gang'du 气膜刚度
'qi'mo'zhen'dang 气膜振荡
'qi'shi 气蚀
'qi'shi'mo'sun 气蚀磨损
'qi'tai 气胎
'qi'tai'li'he'qi 气胎离合器
'qi'tai'zhi'dong'qi 气胎制动器
'qi'ti'dong'li'run'hua 气体动力润滑
'qi'ti'dong'ya'zhou'cheng 气体动压轴承
'qi'ti'fu'shi 气体腐蚀
'qi'ti'jin'shi 气体浸蚀
'qi'ti'jing'li'run'hua 气体静力润滑
'qi'ti'jing'ya'zhou'cheng 气体静压轴承
'qi'ti'run'hua 气体润滑
'qi'xue'xian'xiang 气穴现象
'qi'ya'chuan'dong 气压传动
'qi'ya'li'he'qi 气压离合器
'qi'ya'zhi'dong'qi 气压制动器
'qian'feng'ju'chi'chong'ji'mai'chong 前峰锯齿冲击脉冲
'qian'he'shi'li'he'qi 嵌合式离合器
'qian'qing'ye'pian 前倾叶片
'qian'ru'xing 嵌入性
'qian'yin'gong'kuang'xing'neng'shi'yan 牵引工况性能试验
'qian'zhui 前锥
'qiang'la'chu'li 强拉处理
'qiang'niu'chu'li 强扭处理
'qiang'ya'chu'li 强压处理
'qie'chi'gan'she 切齿干涉
'qie'xiang'bian'xing 切向变形
'qie'xiang'jian 切向键
'qie'xiang'wei'yi 切向位移
'qie'xiang'yuan 切向圆
'qin'zong'ji'gou 擒纵机构
'qing'cui 氢脆
'qing'gu'pao 氢鼓泡
'qing'wei'mo'sun 轻微磨损
'qing'xie'ye'pian 倾斜叶片
'qiu'cao'fu 球槽副
'qiu'jiao 球铰
'qiu'mian'fu 球面副
'qiu'mian'ji'gou 球面机构
'qiu'mian'jian'kai'luo'xuan'mian 球面渐开螺旋面
'qiu'mian'jian'kai'xian 球面渐开线
'qiu'mian'jiao'lian'si'gan'ji'gou 球面铰链四杆机构
'qiu'mian'tu'lun 球面凸轮
'qiu'tou'shou'bing 球头手柄
'qiu'xiao'fu 球销副
'qiu'zhi'jing 球直径
'qiu'zhou'cheng 球轴承
'qiu'zong'ti'nei'jing 球总体内径
'qiu'zong'ti'wai'jing 球总体外径
'qiu'zu'de'jie'yuan'zhi'jing 球组的节圆直径
'qiu'zu'nei'jing 球组内径
'qiu'zu'wai'jing 球组外径
'qu'bing 曲柄
'qu'bing'bai'dong'dao'gan'ji'gou 曲柄摆动导杆机构
'qu'bing'cun'zai'tiao'jian 曲柄存在条件
'qu'bing'hua'kuai'ji'gou 曲柄滑块机构
'qu'bing'yao'gan'ji'gou 曲柄摇杆机构
'qu'bing'yi'dong'dao'gan'ji'gou 曲柄移动导杆机构
'qu'bing'zhuan'dong'dao'gan'ji'gou 曲柄转动导杆机构
'qu'dong'dian'dao'na 驱动点导纳
'qu'dong'dian'zu'kang 驱动点阻抗
'qu'dong'li 驱动力
'qu'dong'li'ju 驱动力矩
'qu'du'xi'shu 曲度系数
