'ai'fu'tun'suan 嗳腐吞酸
'ru'an'gu'pi 如按鼓皮
'ru'an'qin'xian 如按琴弦
'ru'e 乳蛾
'ru'fang 乳房
'ru'ke'yu'jing 入客于经
'ru'ke'yu'zang'fu 入客于脏腑
'ru'mai 濡脉
'ru'nang'guo'shui 如囊裹水
'ru'run'da'chang 濡润大肠
'ru'ruo 濡弱
'ru'xun'dao'ren 如循刀刃
'ru'yang'ji'fu 濡养肌肤
'ru'zhu'zou'pan 如珠走盘
'run'hua'guan'jie 润滑关节
'run'ku 润枯
'ruo'mai 弱脉
'sai'e 塞遏
'sai'zhong 腮肿
'san'bu'mai'ju'an'jun'you'li 三部脉举按均有力
'san'bu'zhen'fa 三部诊法
'san'guan'bu'wei 三关部位
'san'jiao'bu'li 三焦不利
'san'jiao'ju'bing 三焦俱病
'san'jiao'yang'qi'shuai'shao 三焦阳气衰少
'san'mai 散脉
'san'zhi'chan 三指禅
'sang'shi'guo'duo 丧失过多
'se'bai'liang'duo 色白量多
'se'dan'bai 色淡白
'se'dan'hong'wu'kuai 色淡红无块
'se'er'you'li 涩而有力
'se'hong 色红
'se'mai 涩脉
'se'ru'tu'dan 色如涂丹
'se'shen'hong'you'kuai 色深红有块
'se'ze'qian'hong 色泽浅红
'se'zi'hei 色紫黑
'shan'hu'shen'zhi'wei'yi 善乎神之为义
'shan'xing'shu'bian 善行数变
'shang'cuan 上窜
'shang'gan'nao'xi 上干脑系
'shang'han'bing'hou'qi 伤寒病后期
'shang'han'guan'she'xin'fa 伤寒观舌心法
'shang'han'jin'jing'lu 伤寒金镜录
'shang'han'liu'qi'ri 伤寒六七日
'shang'han'she'jian 伤寒舌鉴
'shang'han'xia're 上寒下热
'shang'han'xu'xue 伤寒蓄血
'shang'ji'shen'yang 伤及肾阳
'shang'jiao 上焦
'shang'jiao'shi'xuan 上焦失宣
'shang'jin 伤津
'shang'jin 伤筋
'shang'jin'hao'qi 伤津耗气
'shang'jin'zhe'gu 伤筋折骨
'shang'jing 伤精
'shang'kou'bu'wei 伤口部位
'shang'kou'shen'qian 伤口深浅
'shang'meng'xin'qiao 上蒙心窍
'shang'qi 上气
'shang'qi'bi'gan 上气鼻干
'shang'rao'qing'qiao 上扰清窍
'shang're'xia'han 上热下寒
'shang'ren'wei'qi 伤人卫气
'shang'ren'yang'qi 伤人阳气
'shang'sheng'xia'xu 上盛下虚
'shang'shi 伤湿
'shang'shi 伤食
'shang'shi'xia'xu 上实下虚
'shang'shu 伤暑
'shang'xu'xia'shi 上虚下实
'shang'yin 伤阴
'shao'fu'leng'tong 少腹冷痛
'shao'fu'teng'tong 少腹疼痛
'shao'fu'zhang'men 少腹胀闷
'shao'gong'duo'bu 少攻多补
'shao'qi 少气
'shao'qi'lan'yan 少气懒言
'shao'qi'ta'yan 少气獭言
'shao'wo'bu'ji 少卧不饥
'shao'yang 少阳
'shao'yang'jing'tou'tong 少阳经头痛
'shao'yang'xiang'huo'shang'gong 少阳相火上攻
'shao'yin 少阴
'shao'yin'jing'qi'tuo'jue 少阴精气脱绝
'shao'yin'jing'tou'tong 少阴经头痛
'she'bai'er'gan 舌白而干
'she'bei 舌背
'she'bian'jian'hong 舌边尖红
'she'chuang 舌疮
'she'dan'er'nen 舌淡而嫩
'she'dan'mai'xu 舌淡脉虚
'she'dan'pang'nen 舌淡胖嫩
'she'dan'pang'tai'bai'hua 舌淡胖苔白滑
'she'dan'tai'bai 舌淡苔白
'she'di 舌底
'she'ding 舌疔
'she'duo'hong'jiang'er'gan 舌多红绛而干
'she'gan'shao'jin 舌干少津
'she'gan'tai'huang 舌干苔黄
'she'gen'hong'jian'hei'tai 舌根红尖黑苔
'she'hong'shao'jin 舌红少津
'she'hong'shao'tai 舌红少苔
'she'hong'tai'huang 舌红苔黄
'she'hong'tai'huang'zao 舌红苔黄燥
'she'jian 舌鉴
'she'jian'hong'jiang 舌尖红绛
'she'jian'hong'tai'bo'huang 舌尖红苔薄黄
'she'jiang 舌强
'she'jiang'mai'shu 舌绛脉数
'she'jiang'shao'tai 舌绛少苔
'she'juan'nang'suo 舌卷囊缩
'she'jun 舌菌
'she'ma'bi 舌麻痹
'she'mai'cong'zheng 舍脉从症
'she'mian 舌面
'she'nv 舌衄
'she'pian'wai 舌偏歪
'she'se 舌色
'she'se'dan'bai 舌色淡白
'she'se'zi'an 舌色紫暗
'she'shang 蛇伤
'she'shen 舌神
'she'tai 舌苔
'she'tai'bai'ni 舌苔白腻
'she'tai'bo'bai 舌苔薄白
'she'tai'hou'fu 舌苔厚腐
'she'tai'hou'ni 舌苔厚腻
'she'tai'tong'zhi 舌胎统志
'she'ti 舌体
'she'ti'jiang'ying 舌体僵硬
'she'ti'pang'nen 舌体胖嫩
'she'ti'shi'yang 舌体失养
'she'wei'xin'zhi'miao'qiao 舌为心之苗窍
'she'xia'luo'mai 舌下络脉
'she'xing 舌形
'she'yong 舌痈
'she'zhen 舌诊
'she'zheng'cong'mai 舍症从脉
'she'zhi 舌质
'she'zhi'cang'lao 舌质苍老
'she'zhi'gan'jiang 舌质干绛
'she'zhi'hong'jiang 舌质红绛
'she'zhi'zi'an 舌质紫暗
'she'zong 舌纵
'shen'bing'shi'xian 肾病嗜咸
'shen'bu'na'qi 肾不纳气
'shen'bu'shou'she 神不守舍
'shen'cang'yuan'yin'yuan'yang 肾藏元阴元阳
'shen'cha'nei'wai 审察内外
'shen'chou 身臭
'shen'chu'xia'jiao 肾处下焦
'shen'de'qi'hua 肾的气化
'shen'fan'zao'dong 神烦躁动
'shen'feng 肾风
'shen'han 肾寒
'shen'hong 深红
'shen'hun'bao'jue 神昏暴厥
'shen'hun'dian'kuang 神昏癫狂
'shen'hun'zhan'wang 神昏谵妄
'shen'huo'shang'luo 肾火伤络
'shen'jin'nu 沈金努
'shen'jing'bu'zu 肾精不足
'shen'jing'kui'hao 肾精亏耗
'shen'jing'ming 神精明
'shen'lao'sun'jing 肾劳损精
'shen'ming 神明
'shen'mu'fa'huang 身目发黄
'shen'nai'zi'sheng 神乃自生
'shen'neng'yu'jing 神能御精
'shen'neng'yu'qi 神能御气
'shen'pi 神疲
'shen'pi'fa'li 神疲乏力
'shen'pi'fa'li 身疲乏力
'shen'qi'bei'rao 神气被扰
'shen'qi'bu'gu 肾气不固
'shen'qi'bu'wang 神气不旺
'shen'qi'bu'zu 神气不足
'shen'qi'chong'zu 肾气充足
'shen'qi'kui 肾气亏
'shen'qi'kui'sun 肾气亏损
'shen'qi'wei'chong 肾气未充
'shen'qian 深浅
'shen're 身热
'shen're'bu'yang 身热不扬
'shen're'ye'shen 身热夜甚
'shen'shi'bu'qing 神识不清
'shen'shi'hun'meng 神识昏蒙
'shen'shi'suo'yang 神失所养
'shen'shui'kui'ji 肾水亏极
'shen'shui'kui'shao 肾水亏少
'shen'si'bu'luan 神思不乱
'shen'sui'qi'san 神随气散
'shen'tong 身痛
'shen'wei'shui'zang 肾为水脏
'shen'wei'xian'tian'zhi'ben 肾为先天之本
'shen'wu'suo'gui 神无所归
'shen'wu'suo'zhu 神无所主
'shen'xing 身形
'shen'xu 肾虚
'shen'xu'yao'tong 肾虚腰痛
'shen'yang'bu'zu 肾阳不足
'shen'yang'xu 肾阳虚
'shen'yang'xu'shuai 肾阳虚衰
'shen'yin'bu'zhi 呻吟不止
'shen'yin'jiang'jue 肾阴将绝
'shen'yin'jiu'hao 肾阴久耗
'shen'yin'ku'he 肾阴枯涸
'shen'yin'kui'sun 肾阴亏损
'shen'yin'kui'xu 肾阴亏虚
'shen'yin'xu 肾阴虚
'shen'zhi 神志
'shen'zhi'cuo'luan 神志错乱
'shen'zhi'hun'hu 神志昏糊
'shen'zhi'qing'chu 神志清楚
'shen'zhong 身重
'shen'zhong'kun'juan 身重困倦
'shen'zhu'sheng'zhi 肾主生殖
'sheng'cheng 生成
'sheng'cheng'bu'zu 生成不足
'sheng'di'lan'yan 声低懒言
'sheng'gao'you'li 声高有力
'sheng'hua'fa'yuan 生化乏源
'sheng'hua'yin'xue 生化阴血
'sheng'huo'shang'fu 盛火上浮
'sheng'jiang'shi'chang 升降失常
'sheng'jiang'shi'he 升降失和
'sheng'ju'wu'li 升举无力
'sheng'qi'zhi'yuan 生气之源
'sheng'si'shun'ni 生死顺逆
'sheng'yin 声音
'sheng'yin'si'ya 声音嘶哑
'sheng'zhang'fa'yu'zhi'gen 生长发育之根
'sheng'zhi'ji'neng'jian'tui 生殖机能减退
'sheng'zhi'lai'wei'zhi'jing 生之来谓之精
'sheng'zhi'qi 生殖器
'shi'bing 湿病
'shi'duan'shi'xu 时断时续
'shi'fa'shi'zhi 时发时止
'shi'fan'shang'jiao 湿泛上焦
'shi'han 实寒
'shi'ji'tan'zhuo 食积痰浊
'shi'jiu 嗜酒
'shi'ju 湿聚
'shi'ju'wei'tan 湿聚为痰
'shi'liang 食量
'shi'mai 实脉
'shi'man 实满
'shi'mian 失眠
'shi'mian'duo'meng 失眠多梦
'shi'mian'xin'fan 失眠心烦
'shi're 实热
'shi're 湿热
'shi're'dong'feng 湿热动风
'shi're'huo'du 湿热火毒
'shi're'nei'kun 湿热内困
'shi're'nei'qin 湿热内侵
'shi're'nei'zu 湿热内阻
'shi're'shang'jin 湿热伤津
'shi're'xia'zhu 湿热下注
'shi're'xun'zheng 湿热熏蒸
'shi're'yun'jie 湿热蕴结
'shi're'yun'jie'xia'jiao 湿热蕴结下焦
'shi're'yun'pi'zheng 湿热蕴脾证
'shi're'zheng 实热证
'shi're'zhong'zheng 湿热重蒸
'shi'ru'bu'yun 食入不运
'shi'shang'guan'jie 湿伤关节
'shi'shao'na'dai 食少纳呆
'shi'shen 失神
'shi'shen'shui'bu'han 使肾水不寒
'shi'shen'zhi'kuang 失神之狂
'shi'shi'xin'la 嗜食辛辣
'shi'shi'yu'xie 时时欲泻
'shi'shui 嗜睡
'shi'shui'shi'shui 嗜睡嗜睡
'shi'tan 湿痰
'shi'wen 湿温
'shi'wen'chao're 湿温潮热
'shi'wo 嗜卧
'shi'wu'bu'jie 食物不洁
'shi'wu'bu'qing 视物不清
'shi'xian'shi'yin 时现时隐
'shi'xie'nei'zu 湿邪内阻
'shi'xing'nian'zhi 湿性粘滞
'shi'xing'zhong'zhe 湿性重着
'shi'yi'de'xiao'fang 世医得效方
'shi'yin 失音
'shi'yin 湿淫
'shi'yu 食欲
'shi'yu'bu'jia 食欲不佳
'shi'yu'hua're 湿郁化热
'shi'yu'jian'tui 食欲减退
'shi'yun'zhong'jiao 湿蕴中焦
'shi'zhen 湿疹
'shi'zheng 实证
'shi'zheng'jia'xu 实证夹虚
'shi'zhi 湿滞
'shi'zhi 食滞
'shi'zhi'nei'ting 食滞内停
'shi'zhi'pi'wei 食滞脾胃
'shi'zhi'wei'yuan'zheng 食滞胃院证
'shi'zhong'jia'xu 实中夹虚
'shi'zhong'sheng're 湿中生热
'shi'zhong'yu're 湿重于热
'shi'zhuo'niang'tan 湿浊酿痰
'shou'bo'she 瘦薄舌
'shou'han 受寒
'shou'lei'yao'shang 兽类咬伤
'shou'ru'guo 首如裹
'shou'ru'suo'wu 手如索物
'shou'sa'yi'niao 手撒遗尿
'shou'shao'yin'xin'jing 手少阴心经
'shou'shao'yin'xin'jing'zhi'mai 手少阴心经之脉
'shou'tai'yin'zhi'mai 手太阴之脉
'shou'wei'bu'xu 首尾不续
'shou'wei'duan'zhi 首尾端直
'shou'wei'ju'duan 首尾俱短
'shou'yin 收引
'shou'zu 手足
'shou'zu'chou'chu 手足抽搐
'shou'zu'fa'ma 手足发麻
'shou'zu'ju'ji 手足拘急
'shou'zu'qing'leng 手足清冷
'shou'zu'ru'dong 手足蠕动
'shou'zu'xin'han 手足心汗
'shou'zu'xin're 手足心热
'shu'bu 输布
'shu'bu'jing'wei 输布精微
'shu'duo'xie'shi 暑多挟湿
'shu'hu'mai'xue 淑湖脉学
'shu'ji'bu'li 枢机不利
'shu'mai 数脉
'shu're'yan'zheng 暑热炎蒸
'shu'shui'bu'yu'yan 漱水不欲咽
'shu'wen 暑温
'shu'xie'shi'chang 疏泄失常
'shu'xie'shi'xie 暑挟湿邪
'shu'xie'shi'zhi 疏泄失职
'shu'xue 俞穴
'shu'yu'ji'biao 束于肌表
'shui'dou 水痘
'shui'fan'ji'fu 水泛肌肤
'shui'hou'yi'xing 睡后易醒
'shui'huo'hu'ji 水火互济
'shui'jin'bu'bu 水津不布
'shui'jin'shi'bu 水津失布
'shui'kui'huo'wang 水亏火旺
'shui'lun 水轮
'shui'mian'bu'jia 睡眠不佳
'shui'niu'zhi'she 水牛之舌
'shui'pao 水泡
'shui'qi 水气
'shui'qi'ling'xin 水气凌心
'shui'qi'tan'yin 水气痰饮
'shui'ru'ji'tu 水入即吐
'shui'shan 水疝
'shui'shi'bu'hua 水湿不化
'shui'shi'han'chu 睡时汗出
'shui'shi'jin'yin 水湿浸淫
'shui'shi'kun'pi 水湿困脾
'shui'shi'nei'ting 水湿内停
'shui'shi'qu'xia 水势趋下
'shui'shi'zhi'xie 水湿之邪
'shui'ting'chang'dao 水停肠道
'shui'wu'qu'lu 水无去路
'shui'ye'ning'jie 水液凝结
'shui'ye'ting'ju 水液停聚
'shui'ye'ting'zhi 水液停滞
'shui'yin 水饮
'shui'yin'bu'hua 水饮不化
'shui'yin'ling'xin 水饮凌心
'shui'yin'nei'ting 水饮内停
'shui'yin'ting'yu'xiong'fu 水饮停于胸腹
'shui'zhong 水肿
'si'ji'qi'hou 四季气候
'si'lv'guo'du 思虑过度
'si'lv'shang'xin 思虑伤心
'si'zhen 四诊
'si'zhen'fa 四诊法
'si'zhen'jue'wei 四诊抉微
'si'zhen'yun'yu 四诊韵语
'si'zhi 四肢
'si'zhi'bu'yong 四肢不用
'si'zhi'chou'chu 四肢抽搐
'si'zhi'jue'leng 四肢厥冷
'si'zhi'tong 四肢痛
'si'zhi'xie'dai 四肢懈怠
'si'zhi'you'wen 四肢犹温
'si'zhuang'ru'tou 丝状乳头
'su'shi 宿食
'su'shi'bu'hua 宿食不化
'su'shi'ting'zhi 宿食停滞
'su'ti'da'xu 素体大虚
'sun'shang'pi'wei 损伤脾胃
'sun'shang'zang'fu 损伤脏腑
'tai'bai'hua'ni 苔白滑腻
'tai'bo'bai 苔薄白
'tai'dong'bu'an 胎动不安
'tai'huang'hua'run 苔黄滑润
'tai'ni'mai'ru 苔腻脉濡
'tai'ni'xiong'men 苔腻胸闷
'tai'xi 太息
'tai'xi'yi'nu 太息易怒
'tai'yang'jing'tou'tong 太阳经头痛
'tai'yang'xu'shui'zheng 太阳蓄水证
'tai'yang'zhong'feng 太阳中风
'tai'yang'zhong'feng'zheng 太阳中风证
'tai'yin 太阴
'tai'yin'qi'sheng 太阴气盛
'tan'bai'er'qing'xi 痰白而清稀
'tan'duo'xiong'men 痰多胸闷
'tan'huang'nian'chou 痰黄粘稠
'tan'huo 痰火
'tan'huo'nei'yun 痰火内蕴
'tan'huo'rao'xin 痰火扰心
'tan'jie'pi'xia 痰结皮下
'tan'liang 痰量
'tan'liang'yin'leng 贪凉饮冷
'tan'mi'xin'qiao 痰迷心窍
'tan'mi'yu'xin 痰迷于心
'tan'ning 痰凝
'tan'qi'yu'jie 痰气郁结
'tan'qing'xi'bai 痰清稀白
'tan're 痰热
'tan're'nei'bi 痰热内闭
'tan're'nei'rao 痰热内扰
'tan're'qi'jie 痰热气结
'tan'shi 弹石
'tan'shi'kun'pi 痰湿困脾
'tan'shi'nei'kun 痰湿内困
'tan'shi'ning'ju 痰湿凝聚
'tan'shi'zu'fei'zheng 痰湿阻肺证
'tan'sui'feng'sheng 痰随风升
'tan'sui'qi'sheng 痰随气升
'tan'ting'jing'luo 痰停经络
'tan'wei'qi'ji 痰为气激
'tan'xian'ti'tuo 痰涎涕唾
'tan'ye'fa'huang 痰液发黄
'tan'ye'qing'xi 痰液清稀
'tan'yin 痰饮
'tan'yin'nei'ting 痰饮内停
'tan'yin'nei'ting'xiong'ge 痰饮内停胸隔
'tan'yin'shi'shi'ji'zhi 痰饮湿食积滞
'tan'yong'qi'sai 痰雍气塞
'tan'yu'huo'jie 痰与火结
'tan'yu'jiao'zu 痰瘀交阻
'tan'zheng 痰证
'tan'zhi'shi'ji 痰滞食积
'tan'zhi'yu'wei 痰滞于胃
'tan'zhong'dai'xue 痰中带血
'tan'zhuo'nei'zu 痰浊内阻
'tan'zhuo'ting'ju 痰浊停聚
'tan'zu'xin'mai 痰阻心脉
'tan'zu'yu'fei 痰阻于肺
'tang'jie'bu'tiao 溏结不调
'teng'tong'er'zhang 疼痛而胀
'teng'tong'geng'wei'ju'lie 疼痛更为剧烈
'teng'tong'hong'zhong 疼痛红肿
'ti'pang'tan'duo 体胖痰多
'ti'ruo'ze'shen'pi 体弱则神疲
'ti'tai'zi'ru 体态自如
'ti'ti'er'dong 惕惕而动
'ti'zhuang'shen'qiang 体壮身强
'tian'hua 天花
'tian'shi'ren'yi'wu'qi 天食人以五气
'tian'xing'chi'yan 天行赤眼
'tian'xing'shi'yi 天行时疫
'tian'yin'yin'yu 天阴淫雨
'tiao'chang'qi'ji 调畅气机
'tiao'da'qi'ji 条达气机
'tiao'da'shu'xie 条达疏泄
'tiao'jie'qing'zhi 调节情志
'tiao'xi'ning'xin 调息宁心
'ting'yin'sheng 听音声
'tong'bi 痛痹
'tong'ji 痛极
'tong'ru'zhen'ci 痛如针刺
'tong'she'wu'quan 统摄无权
'tong'tiao'shi'zhi 通调失职
'tong'tiao'shui'dao 通调水道
'tong'yin'jian'bei'nei'bi 痛引肩背内臂
'tong'you'ding'chu 痛有定处
'tou'bu'fa'chong 头部发重
'tou'du'dong'yao 头独动摇
'tou'guan'she'jia 透关射甲
'tou'han 头汗
'tou'han'ru'yu 头汗如雨
'tou'mian'duo'han 头面多汗
'tou'mian'fu'zhong 头面浮肿
'tou'mu'hun'chen 头目昏沉
'tou'shen'kun'zhong 头身困重
'tou'shen'tong 头身痛
'tou'tong 头痛
'tou'tong'bu'zhi 头痛不止
'tou'tong'ru'pi 头痛如劈
'tou'wei'zhu'yang'zhi'hui 头为诸阳之会
'tou'xiang'qiang'tong 头项强痛
'tou'yao 头摇
'tou'yun 头晕
'tou'yun'er'ming 头晕耳鸣
'tou'yun'mu'xuan 头晕目眩
'tou'yun'tou'zhang 头晕头胀
'tou'yun'yan'hei 头晕眼黑
'tou'yun'yan'hua 头晕眼花
'tou'zhang 头胀
'tou'zhang'er'tong 头胀而痛
'tu'nong'she 吐弄舌
'tu'ran'hun'dao 突然昏倒
'tu'ran'pu'di 突然仆地
'tu'xie 吐血
'tu'xie'jiao'zuo 吐泻交作
'tu'xie'shang'jin 吐泻伤津
'tu'zhi'bu'chu 吐之不出
'tui'jin'an'gu 推筋按骨
'tun'suan'xi'fu 吞酸吸腐
'tun'zhi'bu'xia 吞之不下
'tuo'gang 脱肛
'tuo'xue 脱血
'wai'da'ji'fu 外达肌肤
'wai'gan'feng'han 外感风寒
'wai'gan'feng're 外感风热
'wai'gan're'bing 外感热病
'wai'gan'shu're 外感暑热
'wai'gan'wen're'pian 外感温热篇
'wai'gan'zao're 外感燥热
'wai'he'pi'mao 外合皮毛
'wai'wei'bu'gu 外卫不固
'wai'xian'jia're 外显假热
'wai'xie 外邪
'wai'xie'bu'jie 外邪不解
'wai'xie'gan'rao 外邪干扰
'wai'xie'qin'xi 外邪侵袭
'wai'xie'she 歪斜舌
'wai'xie'suo'shang 外邪所伤
'wai'xie'yin'dong'xin'huo 外邪引动心火
'wai'xie'zhi'jie'qin'fan'zang'fu 外邪直接侵犯脏腑
'wai'yi'hou'fei 外以候肺
'wai'yi'hou'gan 外以候肝
'wai'yi'hou'wei 外以候胃
'wai'yi'hou'xin 外以候心
'wai'yin 外因
'wai'zhang 外障
'wai'zhi'ji'fu 外至肌肤
'wan'gu'bu'hua 完谷不化
'wan'men'na'dai 脘闷纳呆
'wan'pi'fu'zhang 脘痞腹胀
'wang'lai'liu'li 往来流利
'wang'meng'ying 王孟英
'wang'wen'xuan 王文选
'wang'xing'bu'xiu 妄行不休
'wang'yang 亡阳
'wang'yin 亡阴
'wang'zhen'zun'jing 望诊遵经
'wei'bing 胃病
'wei'chang'han 胃肠寒
'wei'chang'ji'zhi 胃肠积滞
'wei'chang're'sheng 胃肠热盛
'wei'e'feng'han 微恶风寒
'wei'fu'qi'zhi 胃腑气滞
'wei'guang 畏光
'wei'han 畏寒
'wei'han'zheng 胃寒证
'wei'han'zhi'leng 畏寒肢冷
'wei'huang 萎黄
'wei'huo'chi'sheng 胃火炽盛
'wei'huo'kang'sheng 胃火亢盛
'wei'mai 微脉
'wei'mo 伪膜
'wei'nei'ting'yin 胃内停饮
'wei'qi 胃气
'wei'qi'bei'yu 卫气被郁
'wei'qi'bu'gu 卫气不固
'wei'qi'bu'neng'xuan'fa 卫气不能宣发
'wei'qi'bu'xiang 胃气不降
'wei'qi'bu'zu 胃气不足
'wei'qi'da'shang 胃气大伤
'wei'qi'jian'fu 胃气渐复
'wei'qi'quan'wu 胃气全无
'wei'qi'shang'ni 胃气上逆
'wei'qi'shi'jiang 胃气失降
'wei'qi'wang'sheng 胃气旺盛
'wei'qi'ying'xue 卫气营血
'wei're 胃热
'wei're'chong'ji 胃热虫积
'wei're'shang'luo 胃热伤络
'wei're'shang'ni 胃热上逆
'wei're'zheng 胃热证
'wei'ruan'she 萎软舌
'wei'sheng 畏声
'wei'shi'he'jiang 胃失和降
'wei'shi'he'jiang'ze'ou'tu 胃失和降则呕吐
'wei'shi'suo'kun 为湿所困
'wei'shui'ni'zheng 为水逆症
'wei'suo'duo'yi 畏缩多衣
'wei'wei'shi'er'jing'zhi'hai 胃为十二经之海
'wei'xi'yu'jue 微细欲绝
'wei'yang'bu'zu 卫阳不足
'wei'yang'bu'zu 胃阳不足
'wei'yang'di'kang'wai'xie 卫阳抵抗外邪
'wei'yang'sun'shang 卫阳损伤
'wei'yang'xu 胃阳虚
'wei'yi'lin 危亦林
'wei'yin'ku'jie 胃阴枯竭
'wei'yin'xu 胃阴虚
'wei'yin'xu'zheng 胃阴虚证
'wei'yong 胃痈
'wei'you'ji're 胃有积热
'wei'you'tan'shi 胃有痰湿
'wei'yuan'leng'tong'ju'lie 胃院冷痛剧烈
'wei'zhong'ji're 胃中积热
'wei'zhong'you'han 胃中有寒
'wei'zhong'you're 胃中有热
'wei'zhong'you'zhen'shui'sheng 胃中有振水声
'wen'bing'hou'qi 温病后期
'wen'bing'huo'xie 温病火邪
'wen'bing'ji'qi 温病极期
'wen'bing're'ru'ying'xue 温病热入营血
'wen'bing'xie'ru'xin'bao 温病邪入心包
'wen'bing'xie'ru'ying'fen 温病邪入营分
'wen'du'ru'xue 温毒入血
'wen'gu'ji'biao 温固肌表
'wen'huang 瘟黄
'wen're'bing 温热病
'wen're'jing'wei 温热经纬
'wen'wei're'zhi'jian 温为热之渐
'wen'xu'pi'tu 温煦脾土
'wen'xu'si'zhi 温煦四肢
'wen'yang'tou'mu 温养头目
'wen'yi 瘟疫
'wen'yi'lun 瘟疫论
'wen'zao 温燥
'wu'chi'wu'lei 无眵无泪
'wu'geng'xie'xie 五更泄泻
'wu'li'wei'qi'sun 无力为气损
'wu'lou 屋漏
'wu'lou'mai 屋漏脉
'wu'qi'ru'bi 五气入鼻
'wu'shen 无神
'wu'shi'dong 五十动
'wu'xin'fan're 五心烦热
'wu'yi'chong'mai 无以充脉
'wu'zang'an'ding 五脏安定
'xi'fei 矽肺
'xi'mai 细脉
'xi'nuan'e'han 喜暖恶寒
'xi'nuan'pa'leng 喜暖怕冷
'xi're'yin 喜热饮
'xi'ruan'wu'li 细软无力
'xi'xiao'wu'li 细小无力
'xi'yu'pi'fu 袭于皮肤
'xi'zao'e'shi 喜燥恶湿
'xia'fan'yu'gan'shen 下犯于肝肾
'xia'hong 夏洪
'xia'jiao 下焦
'xia'jiao'shi'si 下焦失司
'xia'jiao'yin'xu 下焦阴虚
'xia'li'chi'bai'zhan'dong 下利赤白粘冻
'xia'li'wu'du 下利无度
'xia'luo'da'chang 下络大肠
'xia'luo'xiao'chang 下络小肠
'xia'xiao'zheng 下消证
'xia'you 虾游
'xia'you'mai 虾游脉
'xia'zhi'fu'zhong 下肢浮肿
'xian'gu'shang'nao 陷骨伤脑
'xian'hua'shu 弦滑数
'xian'mai 弦脉
'xian'ming'bao'lu 鲜明暴露
'xian'shu'mai 弦数脉
'xian'shu'you'li 弦数有力
'xian'tian'bu'zu 先天不足
'xian'xi'mai 弦细脉
'xian'zhi'yin'shi 限制饮食
'xian'zhu'zhi 现住址
'xiang'bei'qiang'zhi 项背强直
'xiang'hu'wei'yong 相互为用
'xiang'hu'yi'cun 相互依存
'xiang'hu'zi'sheng 相互资生
'xiang'huo'wang'dong 相火妄动
'xiang'qiang 项强
'xiang'qiang'zhi'chan 项强肢颤
'xiang'ruan 项软
'xiao'bian'duan'chi 小便短赤
'xiao'bian'duan'shao 小便短少
'xiao'bian'qing'chang 小便清长
'xiao'bian'se'tong 小便涩痛
'xiao'bian'zi'li 小便自利
'xiao'chan'xian'zhao 小产先兆
'xiao'chang'fen'qing'mi'zhuo 小肠分清泌浊
'xiao'chang'qi'tong 小肠气痛
'xiao'chang'shi're 小肠实热
'xiao'chang'xu'han 小肠虚寒
'xiao'chuan 哮喘
'xiao'du'chu'li 消毒处理
'xiao'er'jing'feng 小儿惊风
'xiao'er'pi'wei'xu'ruo 小儿脾胃虚弱
'xiao'er'shi'zhi'luo'mai 小儿食指络脉
'xiao'er'xia'ji 小儿夏季
'xiao'er'zhi'jian'leng 小儿指尖冷
'xiao'fu'ci'tong 小腹刺痛
'xiao'fu'ci'tong'ju'an 小腹刺痛拒按
'xiao'fu'zhang'tong 小腹胀痛
'xiao'ma'kuang'yan 笑骂狂言
'xiao'zheng 哮症
'xie'bi 邪闭
'xie'du'nei'xian 邪毒内陷
'xie'fei'mai 斜飞脉
'xie'lei'zhuo'tong 胁肋灼痛
'xie'li 泄痢
'xie'qi'guo'sheng 邪气过盛
'xie'qi'nei'fu 邪气内伏
'xie'qi'ru'jing 邪气入经
'xie'qi'ru'luo 邪气入络
'xie'qi'san'man 邪气散漫
'xie'qi'shen'ru'zang'fu 邪气深入脏腑
'xie'qi'sheng'ze'shi 邪气盛则实
'xie'qi'xing'zhi 邪气性质
'xie'qi'zhi'gan 邪气滞肝
'xie'qu'zheng'an 邪去正安
'xie're'fan'wei 邪热犯胃
'xie're'kang'sheng 邪热亢盛
'xie're'nei'jie 邪热内结
'xie're'rao'luan'shen'ming 邪热扰乱神明
'xie're'shang'jin 邪热伤津
'xie're'xia'li 协热下利
'xie'shi 挟食
'xie'tan 挟痰
'xie'xi'ji'cou 邪袭肌腠
'xie'xia'pi'kuai 胁下痞块
'xie'xian'xin'bao 邪陷心包
'xie'xie 泄泻
'xie'zhang'tong 胁胀痛
'xie'zheng'sheng'shuai 邪正盛衰
'xie'zheng'xiang'bo'yu'biao'li'zhi'jian 邪正相搏于表里之间
'xin'bing'shi'ku 心病嗜苦
'xin'fan'xi'ou 心烦喜呕
'xin'fei'qi'xu 心肺气虚
'xin'gan'shou'zhuo 心肝受灼
'xin'gan'xue'xu 心肝血虚
'xin'ge'jian'bing 心隔间病
'xin'hong'zhong'zhang 焮红肿胀
'xin'huo 心火
'xin'huo'bu'kang 心火不亢
'xin'huo'kang'sheng 心火亢盛
'xin'huo'xia'wen'shen'shui 心火下温肾水
'xin'ji 心悸
'xin'ji'duan'qi 心悸短气
'xin'ji'qi'duan 心悸气短
'xin'ji'shi'mian 心悸失眠
'xin'ji'zheng'zhong 心悸怔仲
'xin'jian'bo'dong'chu 心尖搏动处
'xin'jing'huo're 心经火热
'xin'ju'xiong'zhong 心居胸中
