'a'mu'zhong'tao'yun'hai'ji 阿母种桃云海际
'wei'wo'you'xian'gu 谓我有仙骨
'wei'wu'an'bao'ji 为吾安宝髻
'wei'wu'hui'yao 威武辉耀
'wei'xian'jue 唯先觉
'wei'yao'yu'wei'tai 未要玉为台
'wei'ying'wu'fang'shu 韦应物芳树
'wei'ying'wu'you'suo'si 韦应物有所思
'wei'you'yan'ling'ji'guang'wu 唯有严陵及光武
'wei'you'yin'zhe'liu'qi'ming 惟有饮者留其名
'wei'you'zhang'he'liu 唯有漳河柳
'wei'yue'zhi'xing 惟钺之兴
'wen'huang'nan'mian'zuo 文皇南面坐
'wen'shui'yao'lian'hu'yu'qiang 问谁腰镰胡与羌
'wen'ting'yun'chi'le'ge 温庭筠敕勒歌
'wen'ting'yun'han'dan'guo'gong'ci 温庭筠邯郸郭公辞
'wen'ting'yun'huang'tan'zi'ge 温庭筠黄昙子歌
'wen'ting'yun'su'xiao'xiao'ge 温庭筠苏小小歌
'wo'jian'lou'chuan'zhuang'xin'mu 我见楼船壮心目
'wo'ma'bai 我马白
'wo'si'xian'ren 我思仙人
'wo'yi'zhen'xun'yu'fei'ming 喔咿振迅欲飞鸣
'wu'er'chu'zhi'shang'shou'hong 误尔触之伤首红
'wu'fan'qi'bai'lu 无烦骑白鹿
'wu'feng'ling'tian'chu 舞凤凌天出
'wu'gong'nv'er'yao'si'shu 吴公女儿腰似束
'wu'gu'long'xiao'dai 雾毂笼绡带
'wu'guang'yi'tao'ming 务光亦逃名
'wu'hua'ma 五花马
'wu'jiao'long 舞蛟龙
'wu'nv'yao 巫女妖
'wu'qi'chun'cao'ya 吾其春草芽
'wu'se'zheng'ru'ci 物色正如此
'wu'shan'feng'shi'er 巫山峰十二
'wu'shan'gao 巫山高
'wu'shan'gao'bu'ji 巫山高不极
'wu'shan'ling'tai'qing 巫山凌太清
'wu'shan'shi'er'feng 巫山十二峰
'wu'shan'wang'bu'ji 巫山望不极
'wu'shan'xia'xi'yang 巫山下夕阳
'wu'si'bu'fu'cong 无思不服从
'wu'suo'yi'jian'zao'hua'zhi'quan 吾所以见造化之权
'wu'wu'jie'tong'xin 无物结同心
'wu'xia'jian'ba'dong 巫峡见巴东
'wu'xian'sui'jue'xing 物咸遂厥性
'wu'xin'an'suo'cong 吾心安所从
'wu'ying'tun'bei'di 五营屯北地
'wu'yuan'zhuo'ren'chang 乌鸢啄人肠
'wu'yun'han 吴云寒
'xi'bing'tiao'zhi'hai'shang'bo 洗兵条支海上波
'xi'bing'yu'hai'yun'ying'zhen 洗兵鱼海云迎阵
'xi'hai'ci'jin'mu 西海辞金母
'xi'he'xian'yao 羲和显耀
'xi'lai'qing'niao'dong'fei'qu 西来青鸟东飞去
'xi'lei'jiang'wang 系缧降王
'xi'ling'xia 西陵下
'xi'liu'kai'ying'yi'tian'zi 细柳开营揖天子
'xi'lu'lai'wang'du 系虏来王都
'xi'rui'man'zhu'feng 细蕊慢逐风
'xi'sai'shan'bian'bai'lu'fei 西塞山边白鹭飞
'xi'yao'wu 细腰舞
'xi'zhi'wei'yang'gong 西指未央宫
'xia'chu'zhao'yun'xia 峡出朝云下
'xia'chuang'zhu'dou'zhang 霞床珠斗帐
'xia'guan'jiang'yue'xiao 霞冠将月晓
'xia'jin'ye'cai'hong 霞巾曳彩虹
'xia'lu'chen'jian'an'jiang'mu 狭路尘间黯将暮
'xia'shi'di 下是地
'xia'shi'wang'xian'gong 下视望仙宫
'xia'yi'zheng'dun'cai 霞衣整顿裁
'xia'yi'zui'fen'fu 霞衣最芬馥
'xia'you'wang'lai'zhu 下有往来躅
'xian'cheng'tian'zi'shen 咸称天子神
'xian'fei'shang'gua'ku'shu'zhi 衔飞上挂枯树枝
'xian'ge'wan'zhuan'ting 仙歌宛转听
'xian'gong'zhi'bu'yuan 仙宫知不远
'xian'guan'shi'zhe'cui 仙官使者催
'xian'hao'tian'ke'han 献号天可汗
'xian'he'ren 献何人
'xian'jia'dao'lu'chang 仙家道路长
'xian'lai'cong 咸来从
'xian'mei'mo'wu'hua 衔枚默无哗
'xian'shan'lin'han'jiang 岘山临汉江
'xian'xiang'you'fu'ren 仙相有夫人
'xian'yang'shi'shang'tan'huang'quan 咸阳市上叹黄犬
'xian'yuan'tu'xing'rong 咸愿图形容
'xian'yun'zai'he'chu 仙云在何处
'xiang'gong'gui 相公归
'xiang'hua'hui'nv'zhen 香花会女真
'xiang'hua'san'dong'qi 香花三洞启
'xiang'jiang'liang'an'hua'mu'shen 湘江两岸花木深
'xiang'sao'tu 香扫途
'xiang'si'yi'ye'mei'hua'fa 相思一夜梅花发
'xiang'wan'shui'zhi'qie'huai'bao 向晚谁知妾怀抱
'xiang'wang'yun'yu'jin'an'zai 襄王云雨今安在
'xiang'xing'rong 象形容
'xiang'yang'xiao'er'qi'pai'shou 襄阳小儿齐拍手
'xiang'yang'xing'le'chu 襄阳行乐处
'xiang'yin'fu'rong're'diao'si 香引芙蓉惹钓丝
'xiang'yue'lou'zhong'chui'luo'mei 向月楼中吹落梅
'xiang'yun'qi'mu'yan 香云起暮烟
'xiang'zhi'zai'ji'nan 相知在急难
'xiao'cao'jiu'di'zhen'zhu'hong 小槽酒滴真珠红
'xiao'chu'huang'kou'wei'you'zhi 小雏黄口未有知
'xiao'feng'fei'yu'sheng'tai'qian 晓风飞雨生苔钱
'xiao'guan'feng'hou'duo 萧关烽候多
'xiao'jun'shan'shang'yu'chan'sheng 小君山上玉蟾生
'xiao'ri'yi'shao'dong'hai'se 晓日已烧东海色
'xiao'sha'shan'gong'zui'si'ni 笑杀山公醉似泥
'xiao'sha'xiang'yang'er 笑杀襄阳儿
'xiao'tiao'yong'zi'xu 萧条咏紫虚
'xiao'yin'shan'ren'shi'zhou'ke 小隐山人十洲客
'xiao'yue'lian'zheng'zhu 晓月怜筝柱
'xiao'zhe'he'yi'bu'tan'qiong 笑着荷衣不叹穷
'xiao'zhi'chai'men'dai'yue'hai 笑指柴门待月还
'xie'dui'gan'quan'lu 斜对甘泉路
'xie'se'wei'jun'fu 挟瑟为君抚
'xin'chuan'gui'qu'wo'kan'shu 信船归去卧看书
'xin'duan'jue 心断绝
'xin'ren'qian'li'qu 新人千里去
'xin'yi'bu'neng'wei'zhi'ai 心亦不能为之哀
'xing'bu'yu'ling'feng 星步欲凌风
'xing'chen'fu 星辰复
'xing'dou'li'li'ai'long'yi 星斗离离碍龙翼
'xing'fu'yun 腥浮云
'xing'xi'yue'mei'shang'wu'geng 星稀月没上五更
'xing'xing'xian'yu'ren'ting'jin 星星仙语人听尽
'xing'yun'fei'qu'ming'xing'xi 行云飞去明星稀
'xing'zhe'mi'bu'gui 行者靡不归
'xiong'chi'yi'wei'tu 熊螭以为徒
'xiong'di'shang'lu'ren 兄弟尚路人
'xiong'feng'sheng 雄风生
'xiong'hu'za'long'she 熊虎杂龙蛇
'xiong'nu'yi'sha'lu'wei'geng'zuo 匈奴以杀戮为耕作
'xiu'dang'ru 绣裆襦
'xiu'hu'pai'huai'qiu'yue'guang 绣户徘徊秋月光
'xiu'hu'wen'chuang'diao'qi'long 绣户文窗雕绮栊
'xu'yan'bo'fang'shu 徐彦伯芳树
'xuan'bu'ke'dang 翾不可当
'xuan'gui'yao'tiao'qiu'ye'chang 璇闺窈窕秋夜长
'xuan'gui'yu'zhang'hua'zhu'chen 璇闺羽帐华烛陈
'xuan'hong'hui 悬虹彗
'xuan'qiong'mi 玄穹弥
'xuan'tang'feng 宣唐风
'xuan'xiu'si'you'qing 玄修似有情
'xue'pian'da'ru'zhang 雪片大如掌
'xue'wei'han'gu'ge 薛维翰古歌
'xun'huan'fan'fu'wu'qiong'yi 循环反复无穷已
'yan'hong'ku 燕鸿苦
'yan'hong'shi'ru'wu'yun'fei 燕鸿始入吴云飞
'yan'hua'bu'kan'jian 烟花不堪翦
'yan'ji'cai'zhang'fu'rong'se 燕姬彩帐芙蓉色
'yan'lai'bu'de'shu 雁来不得书
'yan'liu'pan'gui'qing 淹留攀桂情
'yan'mi'mi 烟幂幂
'yan'nian'bu'yu'wang'san'xing 延年不语望三星
'yan'shi'han'dan'ji 言是邯郸伎
'yan'xia'fang'bi'ri 烟霞方蔽日
'yan'xiao'wu'san'chou'fang'shi 烟销雾散愁方士
'yan'yan'he'xiang'xie 妍眼和香屑
'yan'yu'pu'yan'shi 雁羽铺烟湿
'yan'zhi'zhu'fu'shang'zhu'mu 言之主父伤主母
'yang'bing'xi'zhan'zhang'hu'qi 扬兵习战张虎旗
'yang'kan'xing'dou'li'kong'xu 仰看星斗礼空虚
'yang'qi'qi 扬其旗
'yang'tai'bi'qiao'shi'er'feng 阳台碧峭十二峰
'yang'tai'gui'lu'zhi 阳台归路直
'yang'tian'fu'di'bu'ren'yan 仰天俯地不忍言
'yang'wei'jiang'bo'zhu'fu'qian 佯为僵踣主父前
'yang'yang'xi'hai'shui 洋洋西海水
'yang'ying'zhu'bo'shen 漾影逐波深
'yang'zhi'yu 炀之渝
'yang'zhou'tong'qi'duo 扬州铜器多
'yao'fei'xin'suo'qin 要非心所亲
'yao'ji'yi'qu'yi'qian'nian 瑶姬一去一千年
'yao'kan'han'shui'ya'tou'lv 遥看汉水鸭头绿
'yao'tai'qian'wan'li 瑶台千万里
'yao'tao'se'ruo'shou 夭桃色若绶
'yao'tiao'jiang'qi'huan'pei'shen 窈窕将期环佩身
'yao'xuan'qi'gou'he'cui'wei 瑶轩绮构何崔嵬
'yao'yan'yun'tang'man 摇艳云塘满
'ye'cheng'cang'cang'bai'lu'wei 邺城苍苍白露微
'ye'cheng'xia 邺城下
'ye'cheng'zhong 邺城中
'ye'han'qiu'si'dong'fang'kai 夜寒秋思洞房开
'ye'han'zhi'wei'qin 夜寒知未寝
'ye'qi'dan'ming'ren'bu'mi 夜栖旦鸣人不迷
'ye'wen'bai'tuo'ren'jin'qi 夜闻白鼍人尽起
'ye'wo'gao'qiu'meng'shen'nv 夜卧高丘梦神女
'ye'zhan'ge'dou'si 野战格斗死
'yi'dai'bu'jie'xin 一带不结心
'yi'di'qian'qun'qu 夷狄千群趋
'yi'fu'chang'ha'ma 已复长虾蟆
'yi'fu'wo'guo'dou 以覆我国都
'yi'fu'ze'bing 一夫则病
'yi'gui'fu'yi'jian 一贵复一贱
'yi'ju'yi'shan'xing 一举刈膻腥
'yi'ming'de'bao'ge 佚名得宝歌
'yi'ming'de'ti'ge 佚名得体歌
'yi'ming'huang'zhang'ge 佚名黄獐歌
'yi'ren'qiang'meng'you'ru'ci 伊人强猛犹如此
'yi'ri'xu'qing'san'bai'bei 一日须倾三百杯
'yi'sao'bu'fu'yu 一扫不复馀
'yi'shi'dang'shi'jue'shi'ren 亦是当时绝世人
'yi'shi'xin'pian'jing 一室心偏静
'yi'wa'jiu'yi'zhong 咿嗢九译重
'yi'wan'zhi'bi'hua'cong'li 一丸致毙花丛里
'yi'wang'bu'jian'xin'duan'jue 一望不见心断绝
'yi'wen'song'yu'yan 遗文宋玉言
'yi'yan'wo'yi'shi 已言我异世
'yi'yu'shen'sheng 勩于神圣
'yi'yu'sui 翼余隋
'yi'zhai'shi'gua'hao 一摘使瓜好
'yi'zhao'qi'bai'hu 一朝骑白虎
'yi'zhuang'wo'yuan'rong 以壮我元戎
'yi'zi'gao'tang'fu'cheng'hou 一自高唐赋成后
'yi'zi'tan'lang'zhu'bian'feng 一自檀郎逐便风
'yin'an'xiu'gu'sheng'fan'hua 银鞍绣毂盛繁华
'yin'hun'wei'wei'shen'suo'e 淫昏伪位神所恶
'yin'le'yi'he'ji 淫乐意何极
'yin'shan'wu'sui'hua 阴山无岁华
'ying'cang'xiang 盈仓箱
'ying'jian'jiu'zhen'jing 应检九真经
'ying'mu'bang'lin'yue'ku'han 营幕傍临月窟寒
'ying'qian'yue'zhao'sha 营前月照沙
'ying'qin'tan'mian'liu'chui'tao 影侵潭面柳垂绦
'ying'tao'mei'yan'xiang'qie'ze 樱桃美颜香且泽
'ying'weng'xi'chi'nuan 莺翁鸂鶒暖
'ying'wu'bei 鹦鹉杯
'ying'xu'jue'yan'nei 应须绝岩内
'ying'xu'zhu'bai'ri 应须驻白日
'ying'yuan'wu'yun'shi 应缘五云使
'ying'zhi'ru'meng'ren 应知入梦人
'yong'yong'chuan'wu'qiong 永永传无穷
'yong'zuo'yao'gui'xiang 永作妖鬼乡
'you'bi'che 油壁车
'you'chen'yong'zhi 有臣勇智
'you'dong'feng 有东风
'you'feng'jing'zan'ci 游蜂竞攒刺
'you'feng'yin'xiang'bian 游蜂饮香遍
'you'lan'lu 幽兰露
'you'niao'zhi'li 有鸟鸷立
'you'qi'er 有其二
'you'yan'ruo'gui'shen 幽岩若鬼神
'yu'chan'di'shui'ji'ren'chang 玉蟾滴水鸡人唱
'yu'dao'chu'wang'gong 雨到楚王宫
'yu'er'tong'xiao'wan'gu'chou 与尔同销万古愁
'yu'hua'zhen'dian'shang 玉花珍簟上
'yu'jia'zheng'pian'pian 羽驾正翩翩
'yu'jian'zhen'ren'jiang 玉简真人降
'yu'jie'fen'ming'shou 羽节分明授
'yu'jie'hu'pai'yan 羽节忽排烟
'yu'jie'yin'yin'tai'xian'se 玉阶阴阴苔藓色
'yu'jing'cang'tai'chun'yuan'shen 玉井苍苔春院深
'yu'jun'ge'yi'qu 与君歌一曲
'yu'lu'gui'ping'shi 雨露贵平施
'yu'mao'ru'jian'se'ru'ran 羽毛如翦色如染
'yu'pen'wu'shan'gao 于濆巫山高
'yu'qiu'qiao'xiao'ru'sheng'shi 欲求巧笑如生时
'yu'ren'she'wang'dang'yao'lu 虞人设网当要路
'yu'shan'zi'dao'fei'ren'tui 玉山自倒非人推
'yu'sheng'xia'qing'ming 玉笙下青冥
'yu'shu'za'jin'hua 玉树杂金花
'yu'si'jing'zhong'xuan 鱼似镜中悬
'yu'wei'mu'xi'yun'wei'chao 雨为暮兮云为朝
'yu'wei'yi'he'xian 羽卫一何鲜
'yu'xiu'hui'dan'feng 羽袖挥丹凤
'yu'yi'zhang 羽翼张
'yu'yin'lan'zhen'jue 予因览真诀
'yu'zuo'ji'shen'chen 玉座积深尘
'yuan'de'yi'rong'shen 愿得一容身
'yuan'fei'yu'xia'shuang'chi'lian 远飞欲下双翅敛
'yuan'ji'yi'shu'xie'ma'gu 愿寄一书谢麻姑
'yuan'jin'zhan'hong'yan 园槿绽红艳
'yuan'sheng'han'guo'shui 猿声寒过水
'yuan'sui'luan'he'qun 愿随鸾鹤群
'yuan'ti'san'sheng'lei'zhan'yi 猿啼三声泪沾衣
'yuan'yang'chi'shang'liang'liang'fei 鸳鸯池上两两飞
'yuan'zhen'fang'shu 元稹芳树
'yuan'zhen'qiang'jin'jiu 元稹将进酒
'yuan'zhu'hui'si'gui'zhu'mu 愿主回思归主母
'yue'luo'yuan'men'gu'jiao'ming 月落辕门鼓角鸣
'yue'mei'jiao'xing'ti 月没教星替
'yue'ming'san'xia'shu 月明三峡曙
'yue'wo'jiu'liang'shi 曰我旧梁氏
'yue'yao'dan'feng'xi 月邀丹凤舄
'yue'zhong'jiao'sheng'cui'shang'ma 月中角声催上马
'yun'cang'shen'nv'guan 云藏神女馆
'yun'che'jiang'he'chu 云车降何处
'yun'fei'bin'bu'qiu 云飞鬓不秋
'yun'hong'zui'zi'ran 云鸿最自然
'yun'jian'yue'se'ming'ru'su 云间月色明如素
'yun'jie'shen'gui'men 云结深闺门
'yun'mu'chuang'qian'yin'he'hui 云母窗前银河回
'yun'ping'lie'jin'xia 云屏列锦霞
'yun'qi'zi'cheng'che 云起自成车
'yun'rong'yi'miao'miao 云容衣眇眇
'yun'shen'miao'yuan'bu'ke'mi 云深庙远不可觅
'yun'xing'yi'dai'yu 云行疑带雨
'yun'yu'yi'sheng'feng 云雨已生风
'zai'kong'fang'sui'qi 再空芳岁期
'zai'ming'yin'jing'yan'tou'xia 再鸣引颈檐头下
'zai'zhai'ling'gua'xi 再摘令瓜稀
'ze'meng'wei'jia'xi'fu'dong 舴艋为家西复东
'zha'xi'wan'li'diao'yu'weng 霅溪湾里钓渔翁
'zha'xiang'cao'zhong'geng'jie'si 乍向草中耿介死
'zhai'jue'bao'man'gui 摘绝抱蔓归
'zhai'shi'you'xian'qing 斋室有仙卿
'zhan'ma'shi'jing'jue 战马时惊蹶
'zhan'shang'ji'ci'di 沾裳即此地
'zhan'wu'lao 战武牢
'zhang'hu'li'fu'ren'ge 张祜李夫人歌
'zhang'hu'su'xiao'xiao'ge 张祜苏小小歌
'zhang'ji'bai'tuo'ming 张籍白鼍鸣
'zhang'ji'wu'chu'ge 张籍吴楚歌
'zhang'ji'zhu'lu 张籍朱鹭
'zhang'wai'feng'piao'xue 帐外风飘雪
'zhang'xun'zhi'wu'shan'gao 张循之巫山高
'zhang'yi'zong'mo'sha 张翼纵漠沙
'zhang'zai'ye'chun'ping'bi'zhong 张在野春平碧中
'zhang'zhi'he'yu'fu'ge 张志和渔父歌
'zhao'jing'ou'fei'shui'jian'pao 棹警鸥飞水溅袍
'zhao'mu'quan'sheng'luo 朝暮泉声落
'zhao'ri'lian'hong'yan 朝日敛红烟
'zhao'ru'qing'si'mu'cheng'xue 朝如青丝暮成雪
'zhao'yao'yao'mang 招摇耀铓
'zhao'yue'qu'jing'jie 召岳驱旌节
'zhao'zhi'ke'yi'shi'ming'zhu 照之可以事明主
'zhen'di'yu'wei'ming 真帝玉为名
'zhen'fu'ci'ri'cui 真符此日催
'zhen'fu'qu'yu'lang 真符取玉郎
'zhen'he'wan'guo 震赫万国
'zhen'lv'fen'chuan'qu 振旅汾川曲
'zhen'wen'ji'shi'jiang 真文几时降
'zhen'yi'long'cheng'nan 阵翼龙城南
'zheng'jin'wo'wei'xian 征金我未贤
'zheng'nai'shi'jian'chou'chang'zai 争奈世间惆怅在
'zheng'ren'qian'ma'chu'men'li 征人牵马出门立
'zheng'shi'yi'wu'shan'gao 郑世翼巫山高
'zheng'shu'zheng'chao'ru'ying'si 争树争巢入营死
'zheng'zhan'wu'yi'shi 征战无已时
'zheng'zhu'chun'feng'chui'xiao'yue 筝柱春风吹晓月
'zhi'cheng'hua'ying'hong'guan'jin 织成花映红纶巾
'zhi'fu'gui'jue'ming 执缚归厥命
'zhi'jie'xian'tong'xiao 执节仙童小
'zhi'jin'qing'ming'li 至今青冥里
'zhi'jin'shui'shu'er'shi'gong 只今谁数贰师功
'zhi'jin'tai'wei'xing 只近太微星
'zhi'nei'chu'shao'yu'an'xiang 直内初烧玉案香
'zhi'shang'zi'wei'tian 直上紫微天
'zhi'ye'you'bing 枝叶攸病
'zhi'yong'fu'qiu'ju 智勇伏囚拘
'zhi'zai'yong'he'nian 知在永和年
'zhi'zhan'chang'jing'hai'shui'kai 直斩长鲸海水开
'zhi'zi'ban'zhi'zou'qu'cheng 雉子班之奏曲成
'zhong'bo'ting'qian'zao 中擘庭前枣
'zhong'cang'huo'ji'bu'ke'ce 中藏祸机不可测
'zhong'gu'zhuan'yu'bu'zu'gui 钟鼓馔玉不足贵
'zhong'gua'huang'tai'xia 种瓜黄台下
'zhong'ri'zui 终日醉
'zhong'shan'ru'zi'qie 中山孺子妾
'zhong'you'ting'ting'hun 中有亭亭魂
'zhou'gong'cheng'da'sheng 周公称大圣
'zhou'yu'an'feng'wen 骤雨暗峰文
'zhu'chou'kang'you'de 助仇抗有德
'zhu'fu'bu'zhi'jia'qie'bian 主父不知加妾鞭
'zhu'jiang'lei'xi'bian'tou'xue 主将泪洗鞭头血
'zhu'jin'dian'dao'an'zhi'qie 主今颠倒安置妾
'zhu'pei'yu'xing'lian 珠佩与星连
'zhu'pei'zi'xia'ying 珠佩紫霞缨
'zhu'ren'he'wei'yan'shao'qian 主人何为言少钱
'zhu'shu'cui'gai'bu'sheng'chun 朱输翠盖不胜春
'zhu'zuo'cai'xin'jin 烛坐裁新锦
'zhuan'kun'yu 专坤隅
'zhuan'tian'ji 专天机
'zhuang'fu'shi'qu'e 壮夫时屈厄
'zhuang'jing'wan'kui'hong 妆镜晚窥红
'zhuang'nan'jie'huang'que'xing 庄南杰黄雀行
'zhuang'shi'fen 壮士愤
'zhuang'shi'hu'sheng'dong'jiu'gai 壮士呼声动九垓
'zhuo'wen'li 斫文吏
'zhuo'xiao'ao 斫枭骜
'zi'can'bu'mi'fang'zi'bei 自惭不密方自悲
'zi'fu'liang 子复良
'zi'fu'yu'xuan'zhou 紫府与玄洲
'zi'ge'dan'lou'fen'zhao'yao 紫阁丹楼纷照曜
'zi'huang'gong'dian'chong'chong'kai 紫皇宫殿重重开
'zi'ran'ruo'ji'guan'cui'wei 紫髯若戟冠崔嵬
'zi'wang'qi'tu 自亡其徒
'zi'yan'fu'gui'bu'ke'liang 自言富贵不可量
'zi'zhong'wen'fu'ming 自重文赋名
'zong'ao'bu'wo'yu 纵傲不我虞
'zou'shan'mo'qi'hu 走山莫骑虎
'zui'su'yu'zhou'bu'jue'han 醉宿渔舟不觉寒
'zui'zuo'diao'an'ge'luo'mei 醉坐雕鞍歌落梅
'zuo'kan'chang'xia'wan 坐看长夏晚
'zuo'ye'jiang'jun'lian'xiao'zhan 昨夜将军连晓战
