'ai'ai'fu'mu 哀哀父母
'shan'jue'xin 單厥心
'shan'ren'zai'shi 善人载尸
'shan'wei'fa'fa 鳣鲔发发
'shan'xi'xue'xi 善戏谑兮
'shan'yan'chu'ti 潸焉出涕
'shan'you'bao'di 山有苞棣
'shan'you'bao'li 山有苞栎
'shan'you'fu'su 山有扶苏
'shan'you'jia'hui 山有嘉卉
'shan'you'jue'wei 山有蕨薇
'shan'you'kao 山有栲
'shan'you'qi 山有漆
'shan'you'qiao'song 山有乔松
'shan'you'shu 山有枢
'shan'you'zhen 山有榛
'shan'zhong'cui'beng 山冢崒崩
'shang'bu'kui'yu'wu'lou 尚不愧于屋漏
'shang'di'ban'ban 上帝板板
'shang'di'bu'lin 上帝不臨
'shang'di'bu'ning 上帝不寧
'shang'di'ji'ming 上帝既命
'shang'di'ju'xin 上帝居歆
'shang'di'lin'nv 上帝臨女
'shang'di'qi'zhi 上帝耆之
'shang'di'shen'dao 上帝甚蹈
'shang'di'shi'huang 上帝是皇
'shang'di'shi'yi 上帝是依
'shang'di'shi'zhi 上帝是祗
'shang'huo'jin'zhi 尚或墐之
'shang'huo'xian'zhi 尚或先之
'shang'jin'jiong'shang 裳锦褧裳
'shang'ke'mo'ye 尚可磨也
'shang'ke'zai'ye 尚可载也
'shang'mei'wu'cong 尚寐无聪
'shang'mei'wu'e 尚寐无吪
'shang'mei'wu'jue 尚寐无觉
'shang'qiu'qi'ci 尚求其雌
'shang'ru'zhi'gong'gong 上入执宫功
'shang'ru'zhi'he 伤如之何
'shang'shang'zhe'hua 裳裳者华
'shang'shen'zhan'zai 上慎旃哉
'shang'song 商頌
'shang'tian'tong'yun 上天同云
'shang'tian'zhi'zai 上天之载
'shang'wu'wei'wo'sheng'zhi'hou 尚无位我生之后
'shang'wu'yong 尚无庸
'shang'wu'zao 尚无造
'shang'xia'dian'yi 上下奠瘞
'shang'yi'yi'yi 商邑翼翼
'shang'you'dian'xing 尚有典刑
'shang'zhi'sun'zi 商之孙子
'shang'zhi'xian'hou 商之先後
'shang'zhi'yi'qiong'hua'hu'er 尚之以琼华乎而
'shang'zhi'yi'qiong'ying'hu'er 尚之以琼英乎而
'shang'zhi'yi'qiong'ying'hu'er 尚之以琼莹乎而
'shao'ting'shang'xia 紹庭上下
'shao'zhi'hua 苕之华
'she'ba'ze'huo 舍拔则获
'she'bi'you'zui 舍彼有罪
'she'ci'zhao'yi 设此旐矣
'she'dou'yu'yu'zhi'ji 設都于禹之績
'she'er'jie'di 舍尔介狄
'she'fu'ji'tong 射夫既同
'she'ming'bu'yu 舍命不渝
'she'qi'zuo'qian 舍其坐迁
'she'she'shuo'yan 蛇蛇硕言
'she'shi'ji'jun 舍矢既均
'she'shi'ru'po 舍矢如破
'she'wei'wei'luan 涉渭为亂
'she'ye'she'ju 設業設虡
'she'yi'wei'yi 攝以威儀
'she'ze'guan'xi 射则贯兮
'she'ze'zang'xi 射则臧兮
'she'zhan'she'zhan 舍旃舍旃
'shei'neng'zhi're 誰能執熱
'shei'sheng'li'jie 誰生厲階
'shei'su'zhi'er'mo'cheng 誰夙知而莫成
'shei'yu 谁与
'shen'bao 神保
'shen'bao'shi'ge 神保是格
'shen'bao'shi'xiang 神保是飨
'shen'bo'fan'fan 申伯番番
'shen'bo'huan'nan 申伯還南
'shen'bo'xin'mai 申伯信邁
'shen'bo'zhi'de 申伯之德
'shen'bo'zhi'gong 申伯之功
'shen'er'chu'hua 慎尔出話
'shen'er'yan'ye 慎尔言也
'shen'er'you'you 慎尔优游
'shen'gan'duo'you 矧敢多又
'shen'gu'wei'ling 深谷为陵
'shen'ju'zui'zhi 神具醉止
'shen'ke'she'si 矧可射思
'shen'ru'qi'zu 穼入其阻
'shen'shen'qi'lu 甡甡其鹿
'shen'shen'xi 诜诜兮
'shen'shen'zheng'fu 駪駪征夫
'shen'shi'yin'shi 神嗜饮食
'shen'suo'lao'yi 神所勞矣
'shen'wang'shi'dong 神罔时恫
'shen'wang'shi'yuan 神罔时怨
'shen'xi'wu'jiang 申錫无疆
'shen'yi'ren'yi 矧伊人矣
'shen'ze'li 深则厉
'shen'zhi'diao'yi 神之吊矣
'shen'zhi'ge'si 神之格思
'shen'zhi'ting'zhi 神之听之
'sheng'bi'da'fu 升彼大阜
'sheng'bi'xu'yi 升彼虚矣
'sheng'chu'yi'shu 生刍一束
'sheng'ci'wang'guo 生此王国
'sheng'ci'wen'wang 生此文王
'sheng'ci'xu'tu 省此徐土
'sheng'fu'ji'shen 生甫及申
'sheng'jing'ri'ji 聖敬日躋
'sheng'min 生民
'sheng'min'ru'he 生民如何
'sheng'min'zhi'shen 生民之什
'sheng'qi'zu'wu 繩其祖武
'sheng'qing'tong'yin 笙磬同音
'sheng'ren'mo'zhi 圣人莫之
'sheng'sheng'xi 绳绳兮
'sheng'wen'yu'tian 声闻于天
'sheng'wen'yu'wai 声闻于外
'sheng'wen'yu'ye 声闻于野
'sheng'wo'bai'gu 生我百谷
'sheng'wo'lao'cui 生我劳瘁
'sheng'wo'qu'lao 生我劬劳
'sheng'yin'e'liu 勝殷遏刘
'sheng'yu'dao'zhou 生于道周
'sheng'yu'dao'zuo 生于道左
'sheng'zhong'shan'fu 生仲山甫
'sheng'zi'fu'ren 生自婦人
'shi'bi'bai'quan 逝彼百泉
'shi'bi'jiao'ren 视彼骄人
'shi'bi'le'guo 适彼乐国
'shi'bi'le'jiao 适彼乐郊
'shi'bi'le'tu 适彼乐土
'shi'bo'shi'zu 是剥是菹
'shi'bu'gu'chu 逝不古处
'shi'bu'jia'si'fang 使不挾四方
'shi'bu'xiang'hao 逝不相好
'shi'bu'yi'zhuo 逝不以濯
'shi'chuan'qi'gui 式遄其归
'shi'chuan'qi'xing 式遄其行
'shi'chun'xi'yi 时純熙矣
'shi'de'zuo'qiu 世德作求
'shi'duan'shi'du 是断是度
'shi'duan'shi'qian 是断是遷
'shi'e'er'xin 式讹尔心
'shi'e'kou'nue 式遏寇虐
'shi'er'bu'zang 视尔不臧
'shi'er'meng'meng 視尔夢夢
'shi'er'qi'xing 士贰其行
'shi'er'ru'qiao 视尔如荍
'shi'er'you'jun'zi 視尔友君子
'shi'fa'shi'si 是伐是肆
'shi'fa'shi'xiu 实发实秀
'shi'fang'shi'bao 实方实苞
'shi'gan'zhi'shi 师干之试
'shi'ge'qie'wu 式歌且舞
'shi'gu'er'you 式固尔猶
'shi'gu'hun'hun 施罛濊濊
'shi'gu'shi'fu 是顧是复
'shi'gu'si'zhi 式穀似之
'shi'gu'yi'nv 式穀以女
'shi'han'si'huo 实函斯活
'shi'hao'shi'hu 式號式呼
'shi'hong'xiao'zi 实虹小子
'shi'huang 是皇
'shi'huo'shi'mu 是獲是畝
'shi'huo'wo'xin 实获我心
'shi'jia'bu'zu 室家不足
'shi'jia'jun'wang 室家君王
'shi'jia'qin'qin 室家溱溱
'shi'jia'zhi'kun 室家之壸
'shi'jian'shi'hao 实堅实好
'shi'jiang'qu'nv 逝将去女
'shi'jing'quan'ji 诗经全集
'shi'jing'yi'wo'bang 实靖夷我邦
'shi'jiu 鳲鸠
'shi'jiu'er'hou 式救尔後
'shi'jiu'shi'tu 是究是图
'shi'jiu'you'yan 酾酒有衍
'shi'jiu'you'yu 酾酒有藇
'shi'jiu'zai'sang 鳲鸠在桑
'shi'ju'lou'jiao 式居娄骄
'shi'jue'shi'hu 是絕是忽
'shi'jun 使君
'shi'ken'lai'you 噬肯来游
'shi'ken'shi'wo 噬肯适我
'shi'lao'wo'xin 实劳我心
'shi'lei'shi'ma 是類是祃
'shi'li'mo'qian 式礼莫愆
'shi'mai 时邁
'shi'mai'qi'bang 时邁其邦
'shi'mi'you'zheng 时靡有爭
'shi'min'bu'tiao 视民不恌
'shi'min'qi'zhai 士民其瘵
'shi'ming'bu'tong 实命不同
'shi'ming'bu'you 实命不犹
'shi'mu'shi'ji 实畝实籍
'shi'mu'zhi'jian 十亩之间
'shi'mu'zhi'jian'xi 十亩之间兮
'shi'mu'zhi'wai'xi 十亩之外兮
'shi'pi'si'fang 式辟四方
'shi'qi'wen'de 矢其文德
'shi'qian'wei'ou 十千维耦
'shi'qin'shi'xu 实覃实訏
'shi'ren'jiao'bian'cui'wo 室人交遍摧我
'shi'ren'jiao'bian'zhe'wo 室人交遍谪我
'shi'ren'ru'you 室人入又
'shi'ren'shi'fu 是任是負
'shi'ren'wang'ji 视人罔极
'shi'ru'gui'qi 士如归妻
'shi'sheng'hou'ji 是生后稷
'shi'shi'bai'pi 式是百辟
'shi'shi'bu'duo 矢詩不多
'shi'shi'jian'shang 实始翦商
'shi'shi'mei'mei 实实枚枚
'shi'shi'nan'bang 式是南邦
'shi'shi'qi'zhi 湜湜其沚
'shi'shi'shu'ji 式食庶几
'shi'tian'meng'meng 视天梦梦
'shi'wan'shi'yi 时万时亿
'shi'wei 式微
'shi'wei'a'heng 实维阿衡
'shi'wei'da'wang 实维大王
'shi'wei'er'gong 实维尔公
'shi'wei'fa'de 是谓伐德
'shi'wei'feng'nian 实维丰年
'shi'wei'fu'si 时维婦寺
'shi'wei'he'qi 实维何期
'shi'wei'hou'ji 时维后稷
'shi'wei'jiang'yuan 时维姜嫄
'shi'wei'wo'te 实维我特
'shi'wei'wo'yi 实维我仪
'shi'wei'yi'he 实维伊何
'shi'wei'ying'yang 时维鷹揚
'shi'wei'zai'shou 实维在首
'shi'wo'bu'neng'can'xi 使我不能餐兮
'shi'wo'bu'neng'xi'xi 使我不能息兮
'shi'wo'chang'huo 食我场藿
'shi'wo'chang'miao 食我场苗
'shi'wo'mai'mai 视我迈迈
'shi'wo'nong'fu 食我农夫
'shi'wo'nong'ren 食我农人
'shi'wo'sang'shen 食我桑黮
'shi'wo'xian'de'xing 示我显德行
'shi'wo'xin'jiu 使我心疚
'shi'wo'xin'mei 使我心痗
'shi'wo'yuan'xi 适我愿兮
'shi'wo'zhou'hang 示我周行
'shi'wu'bei'wu'ze 时无背无側
'shi'wu'cong'wei 式勿从谓
'shi'xiang'hao'yi 式相好矣
'shi'xiang'shi'yi 是饗是宜
'shi'xie'pan'ye 是绁袢也
'shi'xu'zai'wei 式序在位
'shi'xun'shi'chi 是尋是尺
'shi'yan'qie'xi 式燕且喜
'shi'yan'qie'yu 式燕且誉
'shi'ye'po'suo 市也婆娑
'shi'ye'wang'ji 士也罔极
'shi'ye'zhi'hao 食野之蒿
'shi'ye'zhi'ping 食野之苹
'shi'ye'zhi'qin 食野之芩
'shi'yi'shi'hu 是刈是濩
'shi'yi'shi'yi 式夷式已
'shi'yi'si'zhi 是以似之
'shi'yi'wei'ci 是以为刺
'shi'yi'yi'huo 时亦弋獲
'shi'yi'you'gun'yi'xi 是以有衮衣兮
'shi'yi'you'qing'yi 是以有庆矣
'shi'yi'you'wu 是以有侮
'shi'yi'you'yu'chu'xi 是以有誉处兮
'shi'yin'shu'ji 式饮庶几
'shi'ying'shi'li 实穎实栗
'shi'yong'bu'de'yu'dao 是用不得于道
'shi'yong'bu'ji 是用不集
'shi'yong'bu'kui'yu'cheng 是用不溃于成
'shi'yong'da'jian 是用大諫
'shi'yong'da'jie 是用大介
'shi'yong'shi'he 实墉实壑
'shi'yong'xiao'xiang 是用孝享
'shi'yong'zuo'ge 是用作歌
'shi'you'xu'you'zhou 实右序有周
'shi'you'zhe'wang 世有哲王
'shi'yu'mu'ye 矢于牧野
'shi'yu'nv 士与女
'shi'yu'song'bai 施于松柏
'shi'yu'song'shang 施于松上
'shi'yu'sun'zi 施于孙子
'shi'yu'tiao'mei 施于條枚
'shi'yu'zhong'gu 施于中谷
'shi'yu'zhong'kui 施于中逵
'shi'yu'zhong'lin 施于中林
'shi'yue'di'chang 十月涤场
'shi'yue'huo'dao 十月获稻
'shi'yue'ji'qie 士曰既且
'shi'yue'ji'zui 是曰既醉
'shi'yue'mei'dan 士曰昧旦
'shi'yue'na'he'jia 十月纳禾稼
'shi'yue'si'sheng 式月斯生
'shi'yue'xi'shuai 十月蟋蟀
'shi'yue'yun'tuo 十月陨萚
'shi'yue'zhi'jiao 十月之交
'shi'zhe'bu'ru'jin 始者不如今
'shi'zhe'qi'die 逝者其耋
'shi'zhe'qi'wang 逝者其亡
'shi'zheng'shi'xiang 是烝是享
'shi'zhi'bu'xian 世之不显
'shi'zhi'dan'xi 士之耽兮
'shi'zhi'qi'gong 世執其功
'shi'zhi'shi'fu 是致是附
'shi'zhi'sou'sou 釋之叟叟
'shi'zhi'yin'zhi 食之飲之
'shi'zhong'shi'you 实種实褎
'shi'zhou'zhi'ming 时周之命
'shi'zi'zhi'guan'xi 适子之馆兮
'shi'zuo'you'shang'wang 实左右商王
'shou'da'guo'shi'da 受大国是达
'shou'fu'bu'na 受福不那
'shou'fu'wu'jiang 受福无疆
'shou'ji'you'qi'yu 授几有緝御
'shou'jue'bu'rang 受爵不让
'shou'kao 寿考
'shou'kao'bu'wang 寿考不忘
'shou'kao'qie'ning 寿考且寧
'shou'kao'wan'nian 寿考万年
'shou'kao'wei'qi 寿考维祺
'shou'lu'wu'sang 受祿无喪
'shou'lu'yu'tian 受祿于天
'shou'ming'bu'dai 受命不殆
'shou'ming'ji'gu 受命既固
'shou'ru'fei'peng 首如飞蓬
'shou'ru'rou'ti 手如柔荑
'shou'tian'bai'lu 受天百禄
'shou'tian'zhi'hu 受天之祜
'shou'wu'bu'shao 受侮不少
'shou'xiao'gong'da'gong 受小共大共
'shou'xiao'guo'shi'da 受小国是达
'shou'xiao'qiu'da'qiu 受小球大球
'shou'xu'yu'shi 寿胥与試
'shou'yan'cang'zhi 受言藏之
'shou'yan'gao'zhi 受言櫜之
'shou'yan'zai'zhi 受言载之
'shou'yang'zhi'dian 首阳之巅
'shou'yang'zhi'dong 首阳之东
'shou'yang'zhi'xia 首阳之下
'shou'zhi'suo'tong 兽之所同
'shu'er'tuo'tuo'xi 舒而脱脱兮
'shu'fa'han'ji 叔发罕忌
'shu'fu 叔父
'shu'ji'dao'liang 黍稷稻粱
'shu'ji'fang'hua 黍稷方华
'shu'ji'mao'zhi 黍稷茂止
'shu'ji'ni'ni 黍稷薿薿
'shu'ji'shuo'yi 庶几说怿
'shu'ji'su'ye 庶幾夙夜
'shu'ji'you'zang 庶几有臧
'shu'ji'yu'yu 黍稷彧彧
'shu'ji'zhong'jiu 黍稷重穋
'shu'jian'su'bi'xi 庶见素韠兮
'shu'jian'su'guan'xi 庶见素冠兮
'shu'jian'su'yi'xi 庶见素衣兮
'shu'jiang'nie'nie 庶姜孽孽
'shu'li 黍离
'shu'ma'man'ji 叔马慢忌
'shu'miao 黍苗
'shu'min'cai'zhi 庶民采之
'shu'min'fu'xin 庶民弗信
'shu'min'gong'zhi 庶民攻之
'shu'min'xiao'zi 庶民小子
'shu'min'zi'lai 庶民子來
'shu'qi'sui'zhang 淑旗綏章
'shu'ren'jun'zi 淑人君子
'shu'ren'zhi'yu 庶人之愚
'shu'shan'she'ji 叔善射忌
'shu'shen'er'zhi 淑慎尔止
'shu'shen'qi'shen 淑慎其身
'shu'shi'qi'sou 束矢其搜
'shu'shi'ye 叔适野
'shu'shi'you'qie 庶士有朅
'shu'si'qi'xue 鼠思泣血
'shu'wen'ru'gao'yao 淑問如皋陶
'shu'wu'da'hui 庶无大悔
'shu'wu'zui'hui 庶无罪悔
'shu'xi'bo'xi 叔兮伯兮
'shu'yao'jiu'xi 舒窈纠兮
'shu'yao'shao'xi 舒夭绍兮
'shu'yi'hu'gong'lu 殊异乎公路
'shu'yi'hu'gong'xing 殊异乎公行
'shu'yi'hu'gong'zu 殊异乎公族
'shu'you'shou'xi 舒忧受兮
'shu'you'yi'yang 癙忧以痒
'shu'yu'shou 叔于狩
'shu'yu'tian 叔于田
'shu'yue'shi'zang 庶曰式臧
'shu'zai'sou 叔在薮
'shu'zhi'zhen'li 树之榛栗
'shuai'tu'zhi'bin 率土之滨
'shuai'you'jiu'zhang 率由旧章
'shuai'you'qun'pi 率由群匹
'shui'bing'guo'cheng 谁秉国成
'shui'cong'mu'gong 谁从穆公
'shui'cong'zuo'er'shi 谁从作尔室
'shui'gan'zhi'qi'jiu 谁敢执其咎
'shui'jiang'xi'gui 谁将西归
'shui'neng'heng'yu 谁能亨鱼
'shui'qi'shi'zhi 谁其尸之
'shui'shi'wei'rong 谁适为容
'shui'shi'yu'mou 谁适与谋
'shui'wei'ci'huo 谁为此祸
'shui'wei'er'wu'niu 谁谓尔无牛
'shui'wei'er'wu'yang 谁谓尔无羊
'shui'wei'he'guang 谁谓河广
'shui'wei'nv'wu'jia 谁谓女无家
'shui'wei'que'wu'jiao 谁谓雀无角
'shui'wei'shu'wu'ya 谁谓鼠无牙
'shui'wei'song'yuan 谁谓宋远
'shui'wei'tu'ku 谁谓荼苦
'shui'wu'fu'mu 谁无父母
'shui'xi'ran'yi 谁昔然矣
'shui'yin'shui'ji 谁因谁极
'shui'zhi'wu'zhi'ci'xiong 谁知乌之雌雄
'shui'zhi'yong'hao 谁之永号
'shui'zhou'yu'mei 谁侜予美
'shun'bi'chang'dao 順彼长道
'shun'de'zhi'xing 順德之行
'shun'di'zhi'ze 順帝之則
'shuo'da'qie'du 硕大且笃
'shuo'da'qie'juan 硕大且卷
'shuo'da'qie'yan 硕大且俨
'shuo'da'wu'peng 硕大无朋
'shuo'ren 硕人
'shuo'ren'ao'ao 硕人敖敖
'shuo'ren'qi'qi 硕人其颀
'shuo'ren'yu'yu 硕人俣俣
'shuo'ren'zhi'ke 硕人之薖
'shuo'ren'zhi'kuan 硕人之宽
'shuo'ren'zhi'zhou 硕人之轴
'shuo'shu 硕鼠
'shuo'shu'shuo'shu 硕鼠硕鼠
'shuo'yi'nv'mei 说怿女美
'shuo'yu'nong'jiao 说于农郊
'shuo'yu'sang'tian 说于桑田
'shuo'yu'zhu'ye 说于株野
'shuo'yue'xin'mao 朔月辛卯
'si'bu'tian'jue'yun 肆不殄厥慍
'si'cheng'ren'you'de 肆成人有德
'si'fa'da'shang 肆伐大商
'si'fang'ji'ping 四方既平
'si'fang'lai'he 四方來賀
'si'fang'qi'xun'zhi 四方其訓之
'si'fang'shi'wei 四方是维
'si'fang'wei'gang 四方为綱
'si'fang'wei'ze 四方为則
'si'fang'yi'wu'fu 四方以无拂
'si'fang'yi'wu'wu 四方以无侮
'si'fang'you'tong 四方攸同
'si'fang'you'xian 四方有羡
'si'fang'yu'xuan 四方于宣
'si'fang'yuan'fa 四方爰发
'si'fang'zhi'gang 四方之綱
'si'fang'zhi'ji 四方之極
'si'gan 斯干
'si'gong'qi'qiu 兕觥其觩
'si'guo'shi'huang 四国是皇
'si'guo'shi'qiu 四国是遒
'si'guo'shun'zhi 四国順之
'si'guo'wu'zheng 四国无政
'si'guo'you'wang 四国有王
'si'guo'yu'fan 四国于蕃
'si'hai'lai'jia 四海來假
'si'hou'ji'jun 四鍭既鈞
'si'hou'ru'shu 四鍭如樹
'si'huang'duo'hu 思皇多祜
'si'huang'duo'shi 思皇多士
'si'huang'ji'jia 四黄既驾
'si'huang'tian'fu'shang 肆皇天弗尚
'si'ji'yong'guang 思輯用光
'si'jie'biao'biao 驷介麃麃
'si'jie'pang'pang 驷介旁旁
'si'jie'tao'tao 驷介陶陶
'si'le'pan'shui 思乐泮水
'si'li'ji'ji 四骊济济
'si'luan'ji'nv'shi'xi 思娈季女逝兮
'si'ma'ji'xian 四马既闲
'si'ma'si'cai 思马斯才
'si'ma'si'cu 思马斯徂
'si'ma'si'zang 思马斯臧
'si'ma'si'zuo 思马斯作
'si'mei'qi'fu 思媚其婦
'si'mei'zhou'jiang 思媚周姜
'si'mu 四牡
'si'mu'fei'fei 四牡騑騑
'si'mu'guan'guan 四牡痯痯
'si'mu'ji'ji 四牡既佶
'si'mu'jue'jue 四牡蹻蹻
'si'mu'kong'fu 四牡孔阜
'si'mu'kui'kui 四牡騤騤
'si'mu'kui'kui 四牡骙骙
'si'mu'pang'pang 四牡庞庞
'si'mu'peng'peng 四牡彭彭
'si'mu'xiang'ling 四牡项领
'si'mu'xiu'guang 四牡修广
'si'mu'ye'ye 四牡业业
'si'mu'ye'ye 四牡業業
'si'mu'yi'yi 四牡奕奕
'si'mu'yi'yi 四牡翼翼
'si'mu'you'jiao 四牡有骄
'si'qi 思齐
'si'qi'da'ren 思齐大任
'si'qi'jing'zhi 肆其靖之
'si'qi'yi'yi 四骐翼翼
'si'ren'meng'zi 寺人孟子
'si'ren'zhi'ling 寺人之令
'si'ren'zhi'zi 私人之子
'si'rong'ji'bu'tian 肆戎疾不殄
'si'sang'wu'ri 死丧无日
'si'sang'zhi'wei 死丧之威
'si'sheng'qi'kuo 死生契阔
'si'shi'bu'zhi 斯逝不至
'si'shi'fan'xi 四矢反兮
'si'shi'kong'ming 祀事孔明
'si'tie 驷驖
'si'tie'kong'fu 驷驖孔阜
'si'wen 思文
'si'wen'hou'ji 思文后稷
'si'wo'hu'tang'xi 俟我乎堂兮
'si'wo'hu'xiang'xi 俟我乎巷兮
'si'wo'xiao'yuan 思我小怨
'si'wo'yu'cheng'yu 俟我于城隅
'si'wo'yu'tang'hu'er 俟我于堂乎而
'si'wo'yu'ting'hu'er 俟我于庭乎而
'si'wo'yu'zhu'hu'er 俟我于著乎而
'si'wu'jiang 思无疆
'si'wu'qi 思无期
'si'wu'shou'zhi 嗣武受之
'si'wu'xie 思无邪
'si'xian'gong'qiu'yi 似先公酋矣
'si'xu'bi'zu 似续妣祖
'si'xu'yu'cao 思须与漕
'si'yan'she'xi 肆筵設席
'si'yan'zhi'dian 斯言之玷
'si'yi 丝衣
'si'yi'qi'fou 丝衣其紑
'si'yu'shi'xia 肆于时夏
'si'yuan'peng'peng 駟騵彭彭
'si'yue 四月
'si'yue'wei'xia 四月维夏
'si'yue'xiu'yao 四月秀葽
'si'ze'tong'xue 死则同穴
'si'zhi'ri'ju'zhi 四之日举趾
'si'zhi'ri'qi'zao 四之日其蚤
'song'bai'si'rui 松柏斯兌
'song'bai'wan'wan 松柏丸丸
'song'gao 崧高
'song'gao'wei'yue 崧高维岳
'song'jue'you'xi 松桷有舄
'song'jue'you'yan 松桷有梴
'song'wo'hu'qi'zhi'shang'yi 送我乎淇之上矣
'song'yan'ru'zui 誦言如醉
'song'zi'she'qi 送子涉淇
'su'guan 素冠
'su'hui'cong'zhi 溯洄从之
'su'qi'guo'jian 溯其過澗
'su'si'pi'zhi 素丝纰之
'su'si'wu'tuo 素丝五紽
'su'si'wu'yu 素丝五緎
'su'si'wu'zong 素丝五总
'su'si'zhu'zhi 素丝祝之
'su'si'zu'zhi 素丝组之
'su'su'bao'xing 肃肃鸨行
'su'su'bao'yi 肃肃鸨翼
'su'su'bao'yu 肃肃鸨羽
'su'su'fang'you'gu 蔌蔌方有谷
'su'su'mian'ju 肃肃免罝
'su'su'qi'yu 肃肃其羽
'su'su'tu'ju 肃肃兔罝
'su'su'wang'ming 肅肅王命
'su'su'xiao'zheng 肃肃宵征
'su'su'xie'gong 肃肃谢功
'su'su'zai'miao 肅肅在庙
'su'xing'ye'mei 夙兴夜寐
'su'xing'ye'mei 夙興夜寐
'su'ye'bi'xie 夙夜必偕
'su'ye'fei'jie 夙夜匪解
'su'ye'ji'ming'you'mi 夙夜基命宥密
'su'ye'jing'zhi 夙夜敬止
'su'ye'wu'mei 夙夜无寐
'su'ye'wu'yi 夙夜无已
'su'ye'zai'gong 夙夜在公
'su'yi'zhu'bo 素衣朱襮
'su'yi'zhu'xiu 素衣朱绣
'su'yong'he'ming 肅雍和鳴
'su'yong'xian'xiang 肅雍显相
'su'you'cong'zhi 溯游从之
'sui'huang'da'dong 遂荒大東
'sui'huang'xu'zhai 遂荒徐宅
'sui'ji'bo'zi 遂及伯姊
'sui'ji'wo'si 遂及我私
'sui'qi'you 歲其有
'sui'qu'shi'qian 岁取十千
'sui'shi'ji'fa 遂視既发
'sui'shi'lai'pi 歲事來辟
'sui'su'wo'song 虽速我讼
'sui'su'wo'yu 虽速我狱
'sui'wan'bang 綏万邦
'sui'wo'mei'shou 綏我眉寿
'sui'wo'si'cheng 綏我思成
'sui'wu'de'yu'nv 虽无德与女
'sui'wu'hao'you 虽无好友
'sui'wu'jia'yao 虽无嘉肴
'sui'wu'lao'cheng'ren 虽无老成人
'sui'wu'yu'zhi 虽无予之
'sui'wu'zhi'jiu 虽无旨酒
'sui'yi'duo'fu 綏以多福
'sui'yi'mo'zhi 岁亦莫止
'sui'yi'yang'zhi 岁亦阳止
'sui'you'xiong'di 虽有兄弟
'sui'yu'qi'mu 岁聿其莫
'sui'yu'qi'shi 岁聿其逝
'sui'yu'xiao'zi 綏予孝子
'sui'yu'yun'mo 岁聿云莫
'sui'yue'fei'yu 虽曰匪予
'sui'ze'pei'xi 虽则佩觿
'sui'ze'pei'xie 虽则佩韘
'sui'ze'qi'xiang 虽则七襄
'sui'ze'qu'lao 虽则劬劳
'sui'ze'ru'hui 虽则如毁
'sui'ze'ru'tu 虽则如荼
'sui'ze'ru'yun 虽则如云
'suo'ban'yi'zai 縮版以载
'suo'ke'dao'ye 所可道也
'suo'ke'du'ye 所可读也
'suo'ke'xiang'ye 所可详也
'suo'suo'yin'ya 琐琐姻亚
'suo'wei'yi'ren 所谓伊人
'suo'xi'wei'xi 琐兮尾兮
'ta'bi'yin'wu 撻彼殷武
'ta'ren'ru'shi 他人入室
'ta'ren'shi'bao 他人是保
'ta'ren'shi'yu 他人是愉
'ta'ren'you'xin 他人有心
'ta'shan'zhi'shi 他山之石
'tai'li'zi'cuo 台笠缁撮
'tai'shan'yan'yan 泰山巖巖
'tan'che'chan'chan 檀车幝幝
'tan'gong'wei'si 谭公维私
'tan'hai'yi'jian 醓醢以薦
'tan'ju'huang'huang 檀車煌煌
'tan'ren'bai'lei 貪人敗類
'tan'tan'luo'ma 啴啴骆马
'tan'tan'tui'tui 啴啴焞焞
'tan'xi'bao'hu 袒裼暴虎
'tang'di'zhi'hua 唐棣之华
'tang'feng 唐风
'tang'jiang'bu'chi 汤降不迟
'tang'sun'zhi'jiang 汤孙之將
'tang'sun'zhi'xu 汤孙之緒
'tang'sun'zou'jia 汤孙奏假
'tao'fu'tao'xue 陶复陶穴
'tao'gu'yuan'yuan 鞉鼓淵淵
'tao'qing'zhu'yu 鞉磬柷圉
'tao'tao'bu'gui 慆慆不归
'tao'tao'jiang'han 滔滔江汉
'tao'yao 桃夭
'tao'zhi'yao'yao 桃之夭夭
'ti'bi'ji'ling 题彼脊令
'ti'ji'yun'zhi 涕既陨之
'ti'ling'ru'yu 涕零如雨
'ti'si'pang'tuo 涕泗滂沱
'ti'ti'zhu'gan 籊籊竹竿
'ti'wu'jiu'yan 体无咎言
'tian'bao 天保
'tian'bao'ding'er 天保定尔
'tian'bei'er'lu 天被尔祿
'tian'bu'jian'nan 天步艰难
'tian'bu'mian'er'yi'jiu 天不湎尔以酒
'tian'bu'wo'jiang 天不我將
'tian'che'ji'hao 田车既好
'tian'du'jiang'sang 天篤降喪
'tian'fang'jian'chai 天方荐瘥
'tian'fang'jian'nan 天方艱难
'tian'he'yi'ci 天何以刺
'tian'jian'you'zhou 天監有周
'tian'jian'zai'xia 天監在下
'tian'jiang'sang'luan 天降喪亂
'tian'jiang'tao'de 天降滔德
'tian'jiang'zui'gu 天降罪罟
'tian'jun'zhi'xi 田畯至喜
'tian'li'jue'pei 天立厥配
'tian'ming'bu'che 天命不彻
'tian'ming'bu'you 天命不又
'tian'ming'duo'pi 天命多辟
'tian'ming'fei'jie 天命匪解
'tian'ming'jiang'jian 天命降監
'tian'ming'mi'chang 天命靡常
'tian'ming'xuan'niao 天命玄鸟
'tian'mu'kong'fu 田牡孔阜
'tian'nan'chen'si 天难忱斯
'tian'sheng'zheng'min 天生烝民
'tian'shi'wei'zhi 天实为之
