'ai'qin'jing'chang 爱亲敬长
'xi'yuan'gui'ji'liang'shi 希渊归计良是
'xia'min'wu'zhi 下民无知
'xia'shou 下手
'xia'xi'shui'tu 下袭水土
'xia'xue'er'shang'da 下学而上达
'xia'yan'zhe 下焉者
'xian'hou 先后
'xian'jue 先觉
'xian'kao'de 先考德
'xian'sheng 先生
'xian'you'zhuo'ran'bu'bian'zhe 鲜有卓然不变者
'xian'zhang'wen'wu 宪章文武
'xiang'chang'wei'chun'fu'yan'zhi 向尝为纯甫言之
'xiang'gao'yi'ji'neng 相高以技能
'xiang'jin'yi'zhi 相矜以知
'xiang'qu'yi'sheng'yu 相取以声誉
'xiang'shan 象山
'xiang'shan'wen'ji'xu 象山文集序
'xiang'ya'yi'shi 相轧以势
'xiang'zai'er'shi 相在尔室
'xiang'zheng'yi'li 相争以利
'xiao'ci 孝慈
'xiao'de 晓得
'xiao'de'chuan'liu 小德川流
'xiao'ren 小人
'xiao'ren'le'qi'le 小人乐其乐
'xiao'ren'qie'zhi'yi'cheng'qi'e 小人窃之以成其恶
'xiao'ren'xian'ju 小人闲居
'xiao'ren'zhi'dao 小人之道
'xiao'zhe 孝者
'xiao'zi'zhi'you'shen'ai'zhe 孝子之有深爱者
'xie'shuo'heng 邪说横
'xie'wang'zhi'zhi 邪妄之知
'xin'bu'zai'yan 心不在焉
'xin'he'he'chang 欣合和畅
'xin'ji'li 心即理
'xin'ji'li'ye 心即理也
'xin'le 信乐
'xin'min 新民
'xin'shang 心上
'xin'ti'ming'ji'shi'dao'ming 心体明即是道明
'xin'ti'zhi'tong'ran 心体之同然
'xin'wai'zhi'li'hu 心外之理乎
'xin'wu'dong'jing 心无动静
'xin'xue 心学
'xin'xue'ye 心学也
'xin'zheng'ze'zhong 心正则中
'xing'cha 省察
'xing'er'min'mo'bu'shuo 行而民莫不说
'xing'er'shi'wei'tian'xia'fa 行而世为天下法
'xing'hu'fu'gui 行乎富贵
'xing'hu'huan'nan 行乎患难
'xing'hu'pin'jian 行乎贫贱
'xing'qun'chen'fen'fen'zhi'yi 兴群臣纷纷之议
'xing'shan 性善
'xing'shen'xing'shen 幸甚幸甚
'xing'tong'lun 行同伦
'xing'wei 行为
'xing'yu'wai 形于外
'xiong'di 兄弟
'xiong'di'yuan'zhi 兄弟怨之
'xiong'di'yue'zhi 兄弟悦之
'xiong'zhong 胸中
'xiu'dao 修道
'xiu'ji'an'bai'xing 修己安百姓
'xiu'shen 修身
'xiu'shen'qi'jia 修身齐家
'xiu'shen'yi'si 修身以俟
'xiu'shen'yi'si'ming 修身以俟命
'xiu'shen'zai'zheng'qi'xin 修身在正其心
'xiu'yang 修养
'xu'ai'lu 徐爱录
'xu'ai'yin'yan 徐爱引言
'xu'duo 许多
'xu'ling'hui'yang'hou'ji 须令晦养厚积
'xu'neng'jin'ren'zhi'xing 须能尽人之性
'xu'shi'you'ge'shen'ai'zuo'gen 须是有个深爱做根
'xu'zhen'gui'zhi'zhai'chu'shao 须箴规指摘处少
'xu'zhu'ren'zhi'yan'wu'yin'zhi'tiao 许诸人直言无隐之条
'xuan'kong 悬空
'xue'bu'jiang 学不讲
'xue'chu'hu'fu'gui 学处乎富贵
'xue'chu'hu'pin'jian'huan'nan 学处乎贫贱患难
'xue'dao'zhe 学道者
'xue'er'shi'xi 学而时习
'xue'gui'jing 学贵精
'xue'gui'zheng 学贵正
'xue'gui'zhuan 学贵专
'xue'jue'dao'sang 学绝道丧
'xue'kan'lu 薛侃录
'xue'li 学力
'xue'mo'xian'yu'li'zhi 学莫先于立志
'xue'shu'zhi'bu'ming 学术之不明
'xue'wen 学问
'xue'wen'si'bian 学问思辩
'xue'wen'zhi'gong 学问之功
'xue'wu'jing'gen 学无静根
'xue'wu'wu'qing 学务无情
'xue'xiao'zhi'zhong 学校之中
'xue'yao'bian'bi'jin'li'zhe'ji 学要鞭辟近里着己
'xue'yi'neng 学易能
'xue'zhe 学者
'xue'zhe'wei'huan'ci'xin'zhi'wei'neng'ming 学者惟患此心之未能明
'xue'zhi'kun'mian 学知困勉
'xun'fu 巡抚
'xun'li 循理
'xun'li'zhi'wei'jing 循理之谓静
'xun'xun'wei'zhi 循循为之
'xun'yi'xue 训以学
'yan'bei'er'chu 言悖而出
'yan'er'min'mo'bu'xin 言而民莫不信
'yan'er'shi'wei'tian'xia'ze 言而世为天下则
'yan'qi'bu'shan 掩其不善
'yan'qian'lu'jing'xu'fang'kai'kuo 眼前路径须放开阔
'yan'ran 厌然
'yan'wu 厌恶
'yan'yu 言语
'yan'zi 颜子
'yang'de'ci'xin'bu'dong 养得此心不动
'yang'huo'ji'yu'zi'sun 殃祸及于子孙
'yang'ming'xian'sheng 阳明先生
'yang'ming'xian'sheng'nian'pu 阳明先生年谱
'yang'sheng'yi'qing'xin 养生以清心
'yang'yang 洋洋
'yao'shou'bu'er 夭寿不贰
'yao'shun 尧舜
'yao'shun'yu 尧舜禹
'ye'qi 夜气
'yi'ban 一般
'yi'bao'qi'shen 以保其身
'yi'bei'er'chu 亦悖而出
'yi'bei'er'ru 亦悖而入
'yi'bian'shi'yong'li'chu 亦便是用力处
'yi'bu'ju'xiao'shan'zhi'xiang'hu 已卜居萧山之湘湖
'yi'bu'shi'ji'zhi'jie'yi 亦不失己之介矣
'yi'ci 以此
'yi'da'qi'suo'jiu'hu 以大其所就乎
'yi'dang'su'qi'wei'er'xue 亦当素其位而学
'yi'duan'zhi'xue 异端之学
'yi'er'fu'da'xi 已而复大喜
'yi'fei'ren'ren'zhong'shu'ce'da'zhi'xin 亦非仁人忠恕恻怛之心
'yi'fen 一分
'yi'fu'he'yan 亦复何言
'yi'fu'shu'ren 亦复数人
'yi'ge 一个
'yi'ge'gong'fu 一个工夫
'yi'gong'li'er 亦功利耳
'yi'gu'zhi'zhe 以沽直者
'yi'gui'yu'zheng'ye 以归于正也
'yi'hao 一毫
'yi'hao'zi'zhi'yi'wei'jing'qie'di'li'zhi'di 亦好资之以为警切砥砺之地
'yi'jian 一件
'yi'jie'bu'yue 意皆不悦
'yi'jin'fan'du 已近烦渎
'yi'jin'shang'jiong 衣锦尚絅
'yi'kai'zhong'dang'zhi'lu 以开忠谠之路
'yi'ke'yi'zhi'suo'li'zhi'yi 亦可以知所立志矣
'yi'kong'zhi'zhao 亦孔之昭
'yi'lai'shi'su'zhi'bang 以来世俗之谤
'yi'li'zhi'wei'jun'zi 已立志为君子
'yi'neng'yin'e'er'yang'shan 以能隐恶而扬善
'yi'nian 一念
'yi'nian'er'e 一念而恶
'yi'nian'er'shan 一念而善
'yi'nian'fa'dong'chu 一念发动处
'yi'qi'jia'ren 宜其家人
'yi'qi'jian'bi'you'chu'mao'ji'hui 意其间必有触冒忌讳
'yi'qi'zheng'dao'fa'yang'shi 意气正到发扬时
'yi'qi'zhong'chu 一齐众楚
'yi'qie 一切
'yi'qiong'zhi 益穷之
'yi'qiu 以求
'yi'qiu'zhi'hu'qi'ji 以求至乎其极
'yi'ri 一日
'yi'ri'bu'sao 一日不扫
'yi'ri'wu'zhong'you'han'yu'xin 异日吾终有憾于心
'yi'shen'bang'ye 以身谤也
'yi'shi 一事
'yi'shi 一时
'yi'shi'bu'chong 衣食不充
'yi'shi'shi'you'de'li'chu'ye 异时始有得力处也
'yi'si 意思
'yi'si'shi'xiang'gui 以四事相规
'yi'ti 一体
'yi'tian'xia'zhi'da'ben'ye 一天下之大本也
'yi'wei 以为
'yi'wen 译文
'yi'wu 一物
'yi'wu'ke'bi'zhi'di 已无可避之地
'yi'xi'yi'wei'zai 亦奚以为哉
'yi'xin 一心
'yi'xiong'yi'di 宜兄宜弟
'yi'xu 亦须
'yi'yan'wei'ze 以言为责
'yi'yan'yu'bang'ren 以言语谤人
'yi'yang 一样
'yi'yi'bao'rong'yin'fu 亦宜包容隐覆
'yi'yi'fang'wai 义以方外
'yi'yi'wu'xue'wei'cheng 亦以吾学未成
'yi'yong'zhong'yu 以永终誉
'yi'you 一友
'yi'you'bo'yu'xiao'you'zhi'dao 亦有薄于孝友之道
'yi'you'he'hao 亦有何好
'yi'you'mou'ji'zhi'xin 一有谋计之心
'yi'you'shao'zhi'qiu'dao'zhe 亦有稍知求道者
'yi'ze'cheng 一则诚
'yi'zhi'er'ke'gai 绎之而可改
'yi'zhi'shi'zhi'qian'zhen'qie 亦只是志欠真切
'yi'zhi'shi'zi'jia'bu'yuan 亦只是自家不怨
'yi'zhi'yi'cong 易知易从
'yi'zhi'zhi'ren'yu'bu'ken'qu 已知之人欲不肯去
'yi'zi'liang'wu'xiang'ai 亦自两无相碍
'yi'zi'wu'fang'sheng'xian'zhi'xue 亦自无妨圣贤之学
'yin'de'yi'ming'qi'shi 因得以明其是
'yin'de'yi'qu'qi'fei 因得以去其非
'yin'qi'yi'zhi'zhi'li 因其已知之理
'yin'shi'qi'wo 因事启沃
'yin'wei 隐微
'yong'bu'fu'qi 永不复起
'yong'gong 用功
'yong'li 用力
'yong'li'zhi'jiu 用力之久
'you'an'ken'xiang'yi'shi'ren 又安肯详以示人
'you'cai'ci'you'yong 有财此有用
'you'dao'zhi'shi 有道之士
'you'de 有得
'you'de 有德
'you'de'ci'you'ren 有德此有人
'you'de'zhe 有德者
'you'di'fang'zhi'ze 有地方之责
'you'fu'bi'jian'zhi'zhe'hu 有弗鄙贱之者乎
'you'fu'cheng'mu'zhi'zhe'hu 有弗称慕之者乎
'you'fu'ji'e'zhi'zhe'hu 有弗疾恶之者乎
'you'fu'jing'shang'zhi'zhe'hu 有弗敬尚之者乎
'you'fu'qie'xiao'zhi'zhe'hu 有弗窃笑之者乎
'you'he'qi'zhe 有和气者
'you'jiu 悠久
'you'ju'er'bie'qu 又遽尔别去
'you'mian'zu'shui 优免租税
'you'ren 有人
'you'ren'ci'you'tu 有人此有土
'you'shi 有事
'you'shi'er'wei'qu 有时而委曲
'you'shi'zai 有是哉
'you'song'cun'yan 有宋存焉
'you'suo 有所
'you'suo'gan'er'wu'suo'nu 有所感而无所怒
'you'suo'hao'le 有所好乐
'you'suo'kong'ju 有所恐惧
'you'suo'you'huan 有所忧患
'you'tu'ci'you'cai 有土此有财
'you'wang 有望
'you'wei 有位
'you'ye'jiang'quan'yi'duo 诱掖奖劝意多
'you'yi'hao'zai 有一毫在
'you'you'da'shi'zhi'se 犹有怛世之色
'you'yu'se'zhe 有愉色者
'you'zai'wu'zhi 尤在无志
'you'zu'gua'zhi'chi'ya'jian'zai 又足挂之齿牙间哉
'yu'chen'zhong'zhu'sheng'shu 与辰中诸生书
'yu'de'zhi'sheng 欲德之盛
'yu'er'hao'zi'yong 愚而好自用
'yu'er'qi'zi 与尔妻子
'yu'gu'dong'qiao'shu 与顾东桥书
'yu'guo'ren'jiao 与国人交
'yu'huai'ming'de 予怀明德
'yu'huang'cheng'fu'shu 与黄诚甫书
'yu'huang'mian'zhi'shu 与黄勉之书
'yu'huang'zong'xian 与黄宗贤
'yu'lu'shi'yi 语录拾遗
'yu'lu'yuan'jing'shu 与陆元静书
'yu'ma'zi'xin 与马子莘
'yu'qi'wei'shu'qing'wu'yuan'zhi'tang'shui 与其为数顷无源之塘水
'yu'shi 于是
'yu'tuo'shen'qian'tao'gu'nan 欲脱身潜逃固难
'yu'wang'chun'fu'shu 与王纯甫书
'yu'xin 于心
'yu'yang'shi'ming 与杨仕鸣
'yuan'quan'ru'yuan 渊泉如渊
'yuan'rong'dong'che 圆融洞澈
'yuan'shen'yuan'qi 元神元气
'yuan'shi 原是
'yuan'shi'ju'qiu 远事拘囚
'yuan'shou'ye 元首也
'yuan'wen 原文
'yuan'yuan'qi'yuan 渊渊其渊
'yuan'zhi 远之
'yue'li 约礼
'yue'ran'ru'you'suo'de'ye 跃然如有所得也
'yue'ren'you'jiang'yuan'bie 曰仁又将远别
'yue'ze'le'zhi'meng 悦则乐之萌
'yun'chun'fu'shi'dao'jia 云纯甫始到家
'yun'yun 云云
'yun'zhi'jue'zhong 允执厥中
'zai'bang'wu'yuan 在邦无怨
'zai'bi'dai'fu'shen 灾必逮夫身
'zai'bi'wu'e 在彼无恶
'zai'bi'xia'zhi'xin 在陛下之心
'zai'bian 灾变
'zai'ci'wu'yi 在此无射
'zai'guo'shu'nian 再过数年
'zai'ji'qi'shen 烖及其身
'zai'jia'wu'yuan 在家无怨
'zai'qi'li'xin'ze'yi 在其利心则一
'zai'yu 在于
'zao'qu'ru 遭屈辱
'zao'zhi'yu'yi'wu'qiong 造之愈益无穷
'ze'bi'you'qing'hu'man'yi'zhi'yi 则必有轻忽慢易之意
'ze'bu'de'qi'zheng 则不得其正
'ze'bu'neng'fa'san 则不能发散
'ze'de'guo 则得国
'ze'fei'wei'wu'bu'yu'guo'shi 则非惟无补于国事
'ze'ji'wan'yi 则既晚矣
'ze'ji'ze'hun 责己则昏
'ze'jiang'zhong'yu'wu'cheng 则将终于无成
'ze'mao'yi'shuai 则貌益衰
'ze'ren'ze'ming 责人则明
'ze'shan 责善
'ze'sheng'yi 则圣矣
'ze'sui'zheng'yi'ming'dao 则虽正谊明道
'ze'tian'ye'bei'er'deng'suo'qin'duo 则田业被尔等所侵夺
'ze'wu'yan'ku'zhi'huan 则无厌苦之患
'ze'wu'yi'jue'wang'er'yi 则吾亦绝望尔矣
'ze'xian'yi 则贤矣
'ze'yi'bu'de'wei'zhi'wu'bing'zhi'ren'yi 则亦不得谓之无病之人矣
'ze'zhong'e'xiang'yin'er'lai 则众恶相引而来
'zhang'liang 张良
'zhang'shan'zhe 彰善者
'zhang'sheng'de 章圣德
'zhe'ge 这个
'zhe'ju 谪居
'zhe'ju'liang'nian 谪居两年
'zhe'xie 这些
'zhei'li 这里
'zhei'li'yi'jiao 这里一觉
'zhen'cheng 真诚
'zhen'qie 真切
'zhen'shi 真是
'zhen'yin'zhi'jing 真阴之精
'zheng'min'shi'duo 争民施夺
'zheng'qi'bu'zheng 正其不正
'zheng'qi'yi'bu'mou'qi'li 正其谊不谋其利
'zheng'shi 正是
'zheng'shi'si'guo 正是四国
'zheng'wei'zhi'yin 郑卫之音
'zheng'xin 正心
'zheng'ye 正也
'zheng'zhu'shu'min 征诸庶民
'zheng'zhu'xian'jue 正诸先觉
'zhi'ben 知本
'zhi'bu'li 志不立
'zhi'bu'zhi'yu'fan 直不至于犯
'zhi'cheng 至诚
'zhi'chi'jin'hu'yong 知耻近乎勇
'zhi'cun'de'ci'xin'chang'jian'zai 只存得此心常见在
'zhi'dao'bu'ning 至道不凝
'zhi'de 执德
'zhi'de'zhi'jian 执德之坚
'zhi'feng'zhi'zi 知风之自
'zhi'guang'da 致广大
'zhi'guo 治国
'zhi'guo'bi'xian'qi'qi'jia 治国必先齐其家
'zhi'guo'ping'tian'xia 治国平天下
'zhi'jian 之间
'zhi'lei 之类
'zhi'liang'zhi 致良知
'zhi'liang'zhi'hua'tou 致良知话头
'zhi'qi'shen 制其什
'zhi'qi'suo'ai'jin 之其所哀矜
'zhi'qi'suo'ao'duo 之其所敖惰
'zhi'qi'suo'jian'e 之其所贱恶
'zhi'qi'suo'wei'jing 之其所畏敬
'zhi'qi'wan'qu 致其婉曲
'zhi'ren 之人
'zhi'ren'ye 知人也
'zhi'ru'qian'ri'suo'yue 只如前日所约
'zhi'shan 至善
'zhi'shi 之事
'zhi'shi 之时
'zhi'shi 只是
'zhi'shi 知识
'zhi'shi'yao'cun'tian'li'qu'ren'yu 只是要存天理去人欲
'zhi'shi'yao'zheng'ren'xin 只是要正人心
'zhi'shi'yi'ao'zi 只是一傲字
'zhi'shi'zhi'duo 知识之多
'zhi'suo'yi 之所以
'zhi'tian 知天
'zhi'tian'di'zhi'hua'yu 知天地之化育
'zhi'tian'ye 知天也
'zhi'wai 之外
'zhi'wei 只为
'zhi'wei'zhi'xian 知微之显
'zhi'wo'zhe'xi 知我者希
'zhi'xing 知行
'zhi'xing'bu'ke'fen 知行不可分
'zhi'xing'he'yi 知行合一
'zhi'xing'he'yi'zhi'xun 知行合一之训
'zhi'xing'yuan'shi 知行原是
'zhi'yan 之言
'zhi'yao 只要
'zhi'ye 枝叶
'zhi'ye'mao 枝叶茂
'zhi'yi 至矣
'zhi'you 只有
'zhi'yu 止于
'zhi'yu 至于
'zhi'yu'dao'de'zhe 志于道德者
'zhi'yu'gong'ming'zhe 志于功名者
'zhi'yu'xin 止于信
'zhi'yu'zhi'shan 止于至善
'zhi'yuan'zhi'jin 知远之近
'zhi'zhi 知止
'zhi'zhi 致知
'zhi'zhi'ding'jing 知止定静
'zhi'zhi'ge'wu 致知格物
'zhi'zhi'shan 止至善
'zhi'zhi'zai'ge'wu 致知在格物
'zhi'zhi'zhi 知之至
'zhi'zhong 之中
'zhi'zhu'gui'shen 质诸鬼神
'zhi'zhu'gui'shen'wu'yi 质诸鬼神无疑
'zhi'zi'yu'gui 之子于归
'zhong'he 中和
'zhong'he'wei'yu 中和位育
'zhong'neng'bu'wang 终能不忘
'zhong'ni'zu'shu'yao'shun 仲尼祖述尧舜
'zhong'ri 终日
'zhong'shen 终身
'zhong'shi 终始
'zhong'shu 仲舒
'zhong'shu 忠恕
'zhong'wu'zhi'biao'li'jing'cu 众物之表里精粗
'zhong'xin'le'yi 忠信乐易
'zhong'yi'he'suo'di'hu 终亦何所底乎
'zhong'yong 中庸
'zhong'you'suo'bu'ke'min 终有所不可泯
'zhou'che'suo'zhi 舟车所至
'zhou'cheng 周程
'zhou'gong 周公
'zhou'guo'jia'he 舟过嘉禾
'zhou'zi 周子
'zhu'jun 诸君
'zhu'qi'shan 著其善
'zhu'sheng 诸生
'zhu'sheng'dai'bu'zhi'yu'ci 诸生殆不至于此
'zhu'sheng'guan'ci 诸生观此
'zhu'sheng'nian'ci 诸生念此
'zhu'sheng'shi'nei'xing 诸生试内省
'zhu'sheng'xiang'cong'yu'ci 诸生相从于此
'zhu'sheng'ze'shan 诸生责善
'zhu'xian'zhi'bu'yi'wu'yan'wei'yu 诸贤侄不以吾言为迂
'zhu'you'ji'suo'ju 诸友即索居
'zhu'you'yi'xiang'di'li'jia'chi 诸友宜相砥砺夹持
'zhu'you'yi'yi'shi'wei'jian 诸友宜以是为鉴
'zhu'you'yi'yu'ci'chu'zhuo'li 诸友宜于此处着力
'zhu'zai 主宰
'zhuan'yu'dao'si'wei'zhi'zhuan 专于道斯谓之专
'zhui'you 赘疣
'zhun'zhun'qi'ren 肫肫其仁
'zhuo'shi 着实
'zi'da'xian'suo'bu'mian 自大贤所不免
'zi'dang'cong'shi'yu'xue 自当从事于学
'zi'dang'yi'ri'qian'li 自当一日千里
'zi'duo'an'he'dao'miao 自多暗合道妙
'zi'fei'hao'jie 自非豪杰
'zi'hua'wen'cai 字画文彩
'zi'hui'zhi'zhen 自悔之真
'zi'ji 自己
'zi'jia 自家
'zi'jian'wu'zhi'mao 子见吾之貌
'zi'jin'zi'shi 自矜自是
'zi'qi'you'jian'yu'wu'hu 子岂有见于吾乎
'zi'qian 自谦
'zi'ran 自然
'zi'ran'shan'ji'er'bu'ke'yan 自然善积而不可掩
'zi'shi 自是
'zi'ta'ren'shi'zhi 自他人视之
'zi'wei'yu'ci'po'you'fa'ming 自谓于此颇有发明
'zi'xin 自新
'zi'xin'xin'min 自新新民
'zi'yi'jia'na'shi'xing 自宜嘉纳施行
'zi'yi'jin'tui'chuo'ran 自宜进退绰然
'zi'you 自有
'zi'yue 子曰
'zi'zhi 自知
'zi'zhi'mei'jian'can'ran 子之眉间惨然
'zi'zu'yi'wei'tian'xia'chang 自足以为天下倡
'zong'xian'zhi'wai 宗贤之外
'zong'zu'xiang'dang'jian'e'zhi 宗族乡党贱恶之
'zong'zu'xiang'dang'jing'xin'zhi 宗族乡党敬信之
'zou'jia'wu'yan 奏假无言
'zu'shu'yao'shun 祖述尧舜
'zu'yi 足以
'zu'yi'rong 足以容
'zu'yi'wei'shan'chuan'zhi'xiu 足以为山川之羞
'zu'yi'xing 足以兴
'zu'zhi'shen'mie'jia'po 卒之身灭家破
'zui'yi'yao'duo 最易摇夺
'zun'de'xing 尊德性
'zun'weng'po'bu'xi 尊翁颇不喜
'zuo'dao 做到
'zuo'sheng'ren 做圣人
'zuo'shi'xi'ci'xin'ye 坐时习此心也
'zuo'yi'wei'zhi 作意为之
'zuo'zhi'rao'fu 坐致饶富
