'ai'er'bu'neng'ling 爱而不能令
'zhi'wu'zu'zhi'ke'yi'ji 知吾卒之可以击
'zhi'xin'ren'yong'yan'ye'fa 智信仁勇严也法
'zhi'xing 之性
'zhi'xing'zhe 之形者
'zhi'xing'zhe 支形者
'zhi'yi'hai 之以害
'zhi'yi'ji 之以计
'zhi'yi'wen 之以文
'zhi'yong 之用
'zhi'yong'bing'yi 知用兵矣
'zhi'yu'hui'zhe'zhe 至于毁折者
'zhi'yu'piao'shi'zhe 至于漂石者
'zhi'yu'wu'sheng 至于无声
'zhi'yu'wu'xing 至于无形
'zhi'yu'wu'xing'shen'hu'shen'hu 至于无形神乎神乎
'zhi'yu'xian 之于险
'zhi'zai 之灾
'zhi'zhan'zhi'ri 知战之日
'zhi'zhe'bu'neng'mou 智者不能谋
'zhi'zhi'zhe'sheng 知之者胜
'zhong'bu'neng'zhi 众不能知
'zhong'di'wu'jiang'ji'qi'shi 重地吾将继其食
'zhong'di'ye'ru'qian'zhe 重地也入浅者
'zhong'di'ze'lue 重地则掠
'zhong'er'fu'shi 终而复始
'zhong'gua'bu'xiang'shi 众寡不相恃
'zhou'feng'jiu 昼风久
'zhou'qi'duo 昼气惰
'zhou'zhan'duo'jing'qi 昼战多旌旗
'zhu'bu'ke'yi'nu'er'xing'shi 主不可以怒而兴师
'zhu'gui'zhi'yong'ye 诸刿之勇也
'zhu'hou'zhe'yi'hai 诸侯者以害
'zhu'hou'zi'zhan'qi'di'zhe 诸侯自战其地者
'zhu'ren'bu'ke 主人不克
'zhu'yue'bi 主曰必
'zhu'yue'wu'zhan 主曰无战
'zhun'zhun 谆谆
'zou'wei'shang 走为上
'zou'wei'shang'ji 走为上计
'zou'ze'jian'shi 走则减势
'zu'li'er'bu'ji 卒离而不集
'zu'shan'er'yang'zhi 卒善而养之
'zu'wei'qin'er'fa'zhi 卒未亲而罚之
'zu'yi'qin'fu'er'fa'bu'xing 卒已亲附而罚不行
'zuo'ci'wu'jiu 左次无咎
'zuo'zhan'di'er 作战第二
'zuo'zhan'pian 作战篇
