'an'jian'dang'shi'ren 案件当事人
'xiao'hui'huo'zhe'tui'hui'guo'cheng 销毁或者退回过程
'xie'tong'ji'zhi 协同机制
'xie'zhu'si'fa'xing'zheng'bu'men 协助司法行政部门
'xie'zhu'ta'ren'pian'qu'deng'ji 协助他人骗取登记
'xin'de'jian'ding'cai'liao'de 新的鉴定材料的
'xin'fang 信访
'xin'xi'fa'sheng'bian'hua'de 信息发生变化的
'xin'xi'hua'guan'li'ping'tai 信息化管理平台
'xin'xi'xi'tong'qian'fa 信息系统签发
'xing'shi'wei'tuo'de 形式委托的
'xing'wei'shi'shi'hang'ye'cheng'jie 行为实施行业惩戒
'xing'zheng'chu'fa'de 行政处罚的
'xing'zheng'fa'gui 行政法规
'xing'zheng'guan'li'zhong 行政管理中
'xing'zheng'su'song'jie'an 行政诉讼结案
'xing'zhuang 性状
'xu'jia'xuan'chuan 虚假宣传
'xu'yao'dui'ben'tiao'li 需要对本条例
'xu'yao'shi'yong'jian'ding'yi'jian'shu 需要使用鉴定意见书
'xu'yao'xuan'yong'zhuan'ye'ling'yu 需要选用专业领域
'xu'yao'yan'xu'de 需要延续的
'xuan'gao'jie'san 宣告解散
'xuan'ze'fu'he'tiao'jian'de 选择符合条件的
'xun'si'wu'bi 徇私舞弊
'yan'xu'you'xiao'qi 延续有效期
'yao'qiu 要求
'ye'ke'yi'cong'ben'ji'gou'zhong 也可以从本机构中
'ye'ke'yi'jie'shou 也可以接受
'ye'wu'fan'wei 业务范围
'yi'ban'ying'dang'zai 一般应当在
'yi'ci'shi'yong'guo'jia'biao'zhun 依次适用国家标准
'yi'fa'ban'li'zhu'xiao'deng'ji'shou'xu 依法办理注销登记手续
'yi'fa'cheng'dan'xiang'ying'fa'lv'ze'ren 依法承担相应法律责任
'yi'fa'deng'ji 依法登记
'yi'fa'diao'xiao'xu'ke'zheng'jian 依法吊销许可证件
'yi'fa'du'li'kai'zhan 依法独立开展
'yi'fa'dui'cong'shi 依法对从事
'yi'fa'ji'yu'chu'fen 依法给予处分
'yi'fa'jie'shou'jian'ding'wei'tuo 依法接受鉴定委托
'yi'fa'shou'li 依法受理
'yi'fa'shou'li'shen'qing'hou 依法受理申请后
'yi'fa'tong'guo'ji'liang'ren'zheng 依法通过计量认证
'yi'fa'yi'gui'shi'shi'jian'ding 依法依规实施鉴定
'yi'fa'ying'dang'hui'bi'de 依法应当回避的
'yi'fa'zhi'ding 依法制定
'yi'fa'zhui'jiu'xing'shi'ze'ren 依法追究刑事责任
'yi'ji'cheng'xin'zhuang'kuang'deng 以及诚信状况等
'yi'ji'dui'qi'jian'du'guan'li 以及对其监督管理
'yi'ji'dui'qi'zhi'ye'huo'dong'de 以及对其执业活动的
'yi'ji'jian'ding'wan'cheng'hou 以及鉴定完成后
'yi'ji'qi'ta'he'fa'quan'yi 以及其他合法权益
'yi'ji'qi'ta'kai'zhan 以及其他开展
'yi'ji'shou'qu'fang'shi 以及收取方式
'yi'ji'si'fa'jian'ding'biao'zhun 以及司法鉴定标准
'yi'ji'xiang'guan'zhu'guan'bu'men 以及相关主管部门
'yi'ji'yu'qi'you'li'hai'guan'xi'de 以及与其有利害关系的
'yi'ji'zeng'jia'ye'wu'fan'wei'de 以及增加业务范围的
'yi'jiao'qi'bao'guan 移交其保管
'yi'jing'yi'fa'deng'ji 已经依法登记
'yi'nan'huo'zhe 疑难或者
'yi'nian'yi'xia'de'ting'ye'chu'fa 一年以下的停业处罚
'yi'qi 仪器
'yi'qi'ming'yi'jie'shou'wei'tuo 以其名义接受委托
'yi'song'jian'ding'cai'liao'de 移送鉴定材料的
'yi'wan'yuan'yi'shang 一万元以上
'yi'xia'cheng'she'li'zu'zhi 以下称设立组织
'yi'xia'tong'cheng'ban'an'ji'guan 以下统称办案机关
'yi'zhao'fa'lv'gui'ding'ji'yu'chu'fa 依照法律规定给予处罚
'yi'zhao'guo'jia'xiang'guan'gui'ding'zhi'xing 依照国家相关规定执行
'yi'zhi'fu'hui'kou 以支付回扣
'yi'zhi'sun'hui 以致损毁
'yin'bu'ke'kang'li 因不可抗力
'yin'gu'yi'fan'zui 因故意犯罪
'yin'guo'shi'chu'ju'cuo'wu'de 因过失出具错误的
'yin'wei'tuo'shi'xiang'wu 因委托事项无
'yin'yan'zhong'bu'fu'ze'ren 因严重不负责任
'ying'dang'an'zhao'ge'zi'zhi'ze 应当按照各自职责
'ying'dang'an'zhao'guo'jia'gui'ding 应当按照国家规定
'ying'dang'an'zhao'you'guan'gui'ding 应当按照有关规定
'ying'dang'bao'sheng'si'fa'jian'ding'xie'hui 应当报省司法鉴定协会
'ying'dang'cai'qu'bi'yao'bu'jiu'cuo'shi 应当采取必要补救措施
'ying'dang'chu'ju'shu'mian'wei'tuo'cai'liao 应当出具书面委托材料
'ying'dang'chu'shi'gong'zuo'dan'wei'han'jian 应当出示工作单位函件
'ying'dang'fu'he'xiang'guan'gui'ding 应当符合相关规定
'ying'dang'he'dui'bing'ji'lu 应当核对并记录
'ying'dang'hui'bi 应当回避
'ying'dang'hui'tong'zhen'cha'ji'guan 应当会同侦查机关
'ying'dang'ji'shi'bao'gao'gong'an'ji'guan 应当及时报告公安机关
'ying'dang'ji'shi'li'juan'gui'dang'bao'cun 应当及时立卷归档保存
'ying'dang'ji'shi'tong'bao 应当及时通报
'ying'dang'ji'zai'qi'suo'zai'dan'wei 应当记载其所在单位
'ying'dang'jia'qiang'jian'ding'wei'tuo'de 应当加强鉴定委托的
'ying'dang'jing'ren'min'fa'yuan'tong'yi 应当经人民法院同意
'ying'dang'jing'suo'zai'dan'wei 应当经所在单位
'ying'dang'jiu'xia'lie'shi'xiang 应当就下列事项
'ying'dang'ju'bei'ben'tiao'li 应当具备本条例
'ying'dang'ju'bei'xia'lie'tiao'jian 应当具备下列条件
'ying'dang'lv'xing'xia'lie'zhi'ze 应当履行下列职责
'ying'dang'shu'mian'gao'zhi'wei'tuo'ren 应当书面告知委托人
'ying'dang'ti'gong'zhen'shi 应当提供真实
'ying'dang'xiang'ban'an'ji'guan'ti'chu 应当向办案机关提出
'ying'dang'xiang'wei'tuo'ren 应当向委托人
'ying'dang'yi'fa'ban'li 应当依法办理
'ying'dang'yi'fa'dui'jian'ding'guo'cheng 应当依法对鉴定过程
'ying'dang'yi'fa'wei'tuo 应当依法委托
'ying'dang'yi'fa'yu'yi'xie'zhu 应当依法予以协助
'ying'dang'yi'fa'zai'kai'ting'san'ri'qian 应当依法在开庭三日前
'ying'dang'you'ben'ji'gou 应当由本机构
'ying'dang'you'dang'shi'ren'cheng'dan'de 应当由当事人承担的
'ying'dang'you'yuan'si'fa'jian'ding'ren 应当由原司法鉴定人
'ying'dang'yu'wei'tuo'ren 应当与委托人
'ying'dang'zai'gui'ding'qi'xian'nei 应当在规定期限内
'ying'dang'zai'jian'ding'cai'liao 应当在鉴定材料
'ying'dang'zai'liu'ge'yue'nei'bu'zu 应当在六个月内补足
'ying'dang'zai'ming'xia'lie'shi'xiang 应当载明下列事项
'ying'dang'zai'wu'ge'gong'zuo'ri'nei 应当在五个工作日内
'ying'dang'zai'you'xiao'qi'jie'man 应当在有效期届满
'ying'dang'zheng'de'you'guan'ban'an'ji'guan 应当征得有关办案机关
'ying'dang'zhi'ding'ben'ji'gou 应当指定本机构
'ying'dang'zhong'zhi'jian'ding 应当终止鉴定
'ying'dang'zhu'dong'shu'mian'gao'zhi 应当主动书面告知
'ying'dang'zhu'ming 应当注明
'ying'dang'zi'shou'li'shen'qing'zhi'ri'qi 应当自受理申请之日起
'ying'dang'zu'zhi'zhuan'jia 应当组织专家
'ying'dang'zun'shou'fa'lv 应当遵守法律
'ying'ye'zhuang'tai 营业状态
'yong'hu'xian'fa 拥护宪法
'yong'tu 用途
'yong'yu'zheng'ming'ren'de'shen'fen 用于证明人的身份
'you'ban'an'ji'guan'yi'fa'jue'ding 由办案机关依法决定
'you'guan'de'wen'ti 有关的问题
'you'guan'fa'lv 有关法律
'you'guan'gui'ding'zhi'xing 有关规定执行
'you'guan'qing'kuang'he'cai'liao 有关情况和材料
'you'hang'ye'te'shu'gui'ding'de 有行业特殊规定的
'you'li'hai'guan'xi'de 有利害关系的
'you'ming'que'de 有明确的
'you'ni'zhi'ye'de 由拟执业的
'you'quan'zai'wu'ge'gong'zuo'ri'nei 有权在五个工作日内
'you'ren'min'fa'yuan'ti'qian'tong'zhi 由人民法院提前通知
'you'san'ming'yi'shang 有三名以上
'you'sheng'ren'min'zheng'fu 由省人民政府
'you'si'fa'jian'ding'ji'gou 由司法鉴定机构
'you'tiao'jian'de'hai'ying'dang 有条件的还应当
'you'wei'fa'suo'de'de 有违法所得的
'you'xia'lie'qing'xing'zhi'yi 有下列情形之一
'you'xiao'qi'jie'man 有效期届满
'you'yi'lou'de 有遗漏的
'you'yi'yi'de 有异议的
'you'zai'ye'wu'fan'wei'nei 有在业务范围内
'you'zhi'shao'yi'ming 由至少一名
'you'zi'ji'de'ming'cheng 有自己的名称
'yu'bei'qu'yang'ren'de'yi'zhi'xing 与被取样人的一致性
'yu'dang'shi'ren 与当事人
'yu'fa'lv'yuan'zhu'an'jian'xiang'guan'de 与法律援助案件相关的
'yu'jian'ding'yi'jian'shi'yong'qing'kuang 与鉴定意见使用情况
'yu'qi'wei'bu'zu'de 逾期未补足的
'yu'qi'wei'ti'chu'chen'shu'shen'bian 逾期未提出陈述申辩
'yu'qing 舆情
'yu'si'fa'jian'ding'ji'gou 与司法鉴定机构
'yu'wei'tuo'ren'qian'ding'de 与委托人签订的
'yu'wei'tuo'ren'xie'shang 与委托人协商
'yu'yi'ming'que 予以明确
'yu'zhi'zhi'jian'ding'yi'jian'shu 与纸质鉴定意见书
'yuan'jian'ding'yi'jian'shu'shang'jin'xing 原鉴定意见书上进行
'yuan'si'fa'jian'ding'ji'gou 原司法鉴定机构
'yuan'si'fa'jian'ding'ren 原司法鉴定人
'yuan'si'fa'jian'ding'ren'bei 原司法鉴定人被
'yuan'wei'tuo'jian'ding'de'zu'cheng'bu'fen 原委托鉴定的组成部分
'yuan'wei'tuo'jian'ding'shi'xiang 原委托鉴定事项
'yue'ding'jian'ding'shi'xian'de 约定鉴定时限的
'yue'ri 月日
'yue'ri'qi'shi'xing 月日起施行
'zai'ben'ji'gou'deng'ji'de 在本机构登记的
'zai'ben'sheng'xing'zheng'qu'yu'nei 在本省行政区域内
'zai'ben'sheng'xing'zheng'qu'yu'wai 在本省行政区域外
'zai'bu'zheng'chu'qian'ming 在补正处签名
'zai'jian'ding'guo'cheng'zhong 在鉴定过程中
'zai'jian'ding'yi'jian'shu'shang 在鉴定意见书上
'zai'qi'deng'ji'zhu'suo'de 在其登记住所的
'zai'si'fa'jian'ding'jian'du'guan'li 在司法鉴定监督管理
'zai'wei'tuo'jian'ding 在委托鉴定
'zai'yi'ge'si'fa'jian'ding'ji'gou 在一个司法鉴定机构
'zai'yue'ding'de'shi'xian'nei 在约定的时限内
'zao'cheng'zhong'da'sun'shi'de 造成重大损失的
'ze'ren'zhui'jiu'deng 责任追究等
'zhang'wo'jian'ding'fa'lv'fa'gui'zhi'shi 掌握鉴定法律法规知识
'zhao'lan'jian'ding'ye'wu 招揽鉴定业务
'zhao'yong'jian'ding'fu'zhu'ren'yuan 招用鉴定辅助人员
'zhen'cha'ji'guan'she'li'de 侦查机关设立的
'zhen'shi 真实
'zhen'shi'xing 真实性
'zheng'dang'li'you'bu'neng'chu'ting'zuo'zheng'de 正当理由不能出庭作证的
'zheng'ren 证人
'zhi'dao'he'jian'du'guan'li 指导和监督管理
'zhi'dao'hui'yuan 指导会员
'zhi'di'si'xiang'gui'ding'de'qing'xing 至第四项规定的情形
'zhi'ding 制定
'zhi'ding'ben'tiao'li 制定本条例
'zhi'ding'hang'ye'gui'fan 制定行业规范
'zhi'ding'he'zhi'xing 制定和执行
'zhi'fu'jian'ding'fei'yong'de'dang'shi'ren 支付鉴定费用的当事人
'zhi'pai'ben'ji'gou'xiang'ying'de 指派本机构相应的
'zhi'ri'qi'qi'ge'gong'zuo'ri'nei 之日起七个工作日内
'zhi'shi'jian'ding'wu'fa'ji'xu'jin'xing'de 致使鉴定无法继续进行的
'zhi'xi'de'guo'jia'mi'mi 知悉的国家秘密
'zhi'xing'jian'ding'shou'fei'guan'li 执行鉴定收费管理
'zhi'xing'wan'bi'zhi'ri'qi 执行完毕之日起
'zhi'ye'chang'suo'yi'wai 执业场所以外
'zhi'ye'huo'dong'de 执业活动的
'zhi'ye'neng'li'ce'shi'deng'gong'zuo 执业能力测试等工作
'zhi'ye'zi'ge'bei'zhu'xiao 执业资格被注销
'zhi'ye'zi'ge'de 执业资格的
'zhong'cai'ji'gou 仲裁机构
'zhong'lei 种类
'zhong'zhi'jian'ding 中止鉴定
'zhong'zhi'jian'ding 终止鉴定
'zhong'zhi'jian'ding'de 终止鉴定的
'zhong'zhi'jian'ding'de'qing'xing 中止鉴定的情形
'zhong'zhi'jian'ding'yuan'yin 中止鉴定原因
'zhu'su'fei 住宿费
'zhu'suo'he'fu'he 住所和符合
'zhu'xiao'deng'ji 注销登记
'zhu'xiao'deng'ji'shou'xu 注销登记手续
'zhu'xiao'yu'xian'gao'zhi'shu 注销预先告知书
'zhuan'fu'gei'si'fa'jian'ding'ji'gou 转付给司法鉴定机构
'zhuan'jiao'ta'ren'cheng'ban 转交他人承办
'zhuan'rang 转让
'zhuan'ye'ji'shu'tiao'jian 专业技术条件
'zhun'que 准确
'zhun'yu'deng'ji 准予登记
'zhuo'qing'jian'shou'huo'zhe'mian'shou 酌情减收或者免收
'zi'ban'fa'zhi'ri'qi 自颁发之日起
'zi'xing'huo'zhe'wei'tuo'di'san'fang 自行或者委托第三方
'zi'xing'zheng'chu'fa 自行政处罚
'zi'yuan'shen'qing'zhu'xiao'deng'ji 自愿申请注销登记
'zu'zhi'shi'shi'jian'ding 组织实施鉴定
'zu'zhi'wei'jing'deng'ji'de'ren'yuan 组织未经登记的人员
'zui'gao'ren'min'fa'yuan 最高人民法院
'zun'cong'ji'shu'cao'zuo'gui'fan 遵从技术操作规范
'zun'shou'fa'lv 遵守法律
'zun'shou'jian'ding'cheng'xu 遵守鉴定程序
'zun'shou'xiang'guan'fa'lv 遵守相关法律
'zun'shou'zhi'ye'dao'de 遵守职业道德
'zun'xun'du'li 遵循独立
'zuo'chu'chen'shu'shen'bian 作出陈述申辩
'zuo'chu'xu'jia'chen'shu'de 作出虚假陈述的
'zuo'hao'si'fa'jian'ding'guan'li 做好司法鉴定管理
'zuo'wei'ding'qi'kao'he'de 作为定期考核的
'zuo'wei'zheng'ming'cai'liao'de 作为证明材料的
'zuo'zheng'ti'gong'bian'li 作证提供便利
