'ai'jiu 艾灸
'niao'dao'lou'xiu'bu'shu 尿道瘘修补术
'niao'dao'nei'kou'qie'kai'shu 尿道内口切开术
'niao'dao'nei'yi'wu'qu'chu 尿道内异物去除
'niao'dao'pang'bing'sun'qie'chu'shu 尿道旁病损切除术
'niao'dao'pang'guang'lian'jie'chu'kuo'zhang'shu 尿道膀胱连接处扩张术
'niao'dao'pang'guang'lian'jie'chu'zhe'die'shu 尿道膀胱连接处折叠术
'niao'dao'pang'nong'zhong'qie'kai'yin'liu'shu 尿道旁脓肿切开引流术
'niao'dao'pang'xian'bing'sun'qie'chu'shu 尿道旁腺病损切除术
'niao'dao'pang'xuan'diao'shu 尿道旁悬吊术
'niao'dao'qie'chu'shu 尿道切除术
'niao'dao'qie'kai'qu'shi'shu 尿道切开取石术
'niao'dao'qie'kai'tan'cha'shu 尿道切开探查术
'niao'dao'qie'kai'yi'wu'qu'chu'shu 尿道切开异物取出术
'niao'dao'shang'lie'xiu'bu'shu 尿道上裂修补术
'niao'dao'wai'kou'qie'kai'shu 尿道外口切开术
'niao'dao'wen'he'shu 尿道吻合术
'niao'dao'xia'lie'xiu'bu'shu 尿道下裂修补术
'niao'dao'xia'zhai'qie'chu'shu 尿道狭窄切除术
'niao'dao'xia'zhai'song'jie'shu 尿道狭窄松解术
'niao'dao'xiu'bu'shu 尿道修补术
'niao'dao'yin'dao'lou'xiu'bu'shu 尿道阴道瘘修补术
'niao'dao'zai'wen'he'shu 尿道再吻合术
'niao'dao'zao'kou'bi'he'shu 尿道造口闭合术
'niao'dao'zhe'die'shu 尿道折叠术
'niao'dao'zhi'chang'lou'xiu'bu'shu 尿道直肠瘘修补术
'niao'dao'zhi'jia'qu'chu 尿道支架去除
'niao'dao'zhou'wei'zu'zhi'huo'zu'zhi'jian'cha 尿道周围组织活组织检查
'niao'hua'xue'jian'cha 尿化学检查
'niao'lu'ya'li'ce'ding 尿路压力测定
'niao'sheng'wu'ce'ding 尿生物测定
'niao'shi'jin'xiu'bu'shu 尿失禁修补术
'niao'su'hu'qi'shi'yan 尿素呼气试验
'nie'ji'tie'fu'shu 颞肌贴敷术
'nie'jin'mo'yi'zhi'shu 颞筋膜移植术
'nie'qian'dong'mai'da'nao'zhong'dong'mai'da'qiao'shu 颞浅动脉大脑中动脉搭桥术
'nie'qian'dong'mai'tie'fu'shu 颞浅动脉贴敷术
'nie'xia'he'guan'jie'bing'sun'qie'chu'shu 颞下颌关节病损切除术
'nie'xia'he'guan'jie'cheng'xing'shu 颞下颌关节成形术
'nie'xia'he'guan'jie'song'jie'shu 颞下颌关节松解术
'nie'xia'he'guan'jie'tuo'wei'bi'he'fu'wei'shu 颞下颌关节脱位闭合复位术
'nie'xia'he'guan'jie'tuo'wei'qie'kai'fu'wei'shu 颞下颌关节脱位切开复位术
'nie'xia'he'guan'jie'zao'ying 颞下颌关节造影
'nie'xia'he'guan'jie'zhi'liao'xing'wu'zhi'zhu'she 颞下颌关节治疗性物质注射
'nie'ye'qie'chu'shu 颞叶切除术
'ning'xue'yao'zhu'she 凝血药注射
'ning'xue'yin'zi'shu'ru 凝血因子输入
'nv'xing'hui'yin'bu'ban'hen'qie'chu'shu 女性会阴部瘢痕切除术
'nv'xing'pen'qiang'kuo'qing'shu 女性盆腔廓清术
'nv'xing'qu'shi'shu 女性去势术
'pang'guang'bing'sun'ji'guang'qie'chu'shu 膀胱病损激光切除术
'pang'guang'bing'sun'qie'chu'shu 膀胱病损切除术
'pang'guang'bu'fen'qie'chu'shu 膀胱部分切除术
'pang'guang'chuan'ci'chou'xi 膀胱穿刺抽吸
'pang'guang'gen'zhi'xing'qie'chu'shu 膀胱根治性切除术
'pang'guang'guan'zhu 膀胱灌注
'pang'guang'he'ci'gong'zhen'jian'cha 膀胱核磁共振检查
'pang'guang'hui'chang'lou'xiu'bu'shu 膀胱回肠瘘修补术
'pang'guang'jie'chang'wen'he'shu 膀胱结肠吻合术
'pang'guang'jing'cheng'xing'shu 膀胱颈成形术
'pang'guang'jing'jian'cha 膀胱镜检查
'pang'guang'jing'qie'chu'shu 膀胱颈切除术
'pang'guang'jing'xia'pang'guang'bing'sun'qie'chu'shu 膀胱镜下膀胱病损切除术
'pang'guang'jing'xia'shu'niao'guan'bing'sun'qie'chu'shu 膀胱镜下输尿管病损切除术
'pang'guang'jing'xia'shu'niao'guan'kou'kuo'zhang'shu 膀胱镜下输尿管口扩张术
'pang'guang'jing'xia'shu'niao'guan'kuo'zhang'shu 膀胱镜下输尿管扩张术
'pang'guang'kuo'da'shu 膀胱扩大术
'pang'guang'kuo'zhang 膀胱扩张
'pang'guang'lie'shang'feng'he'shu 膀胱裂伤缝合术
'pang'guang'lou'bi'he'shu 膀胱瘘闭合术
'pang'guang'nei'ya'tu 膀胱内压图
'pang'guang'niao'dao'ti'ji'xuan'diao'gu'ding'shu 膀胱尿道提肌悬吊固定术
'pang'guang'peng'chu'xiu'bu'shu 膀胱膨出修补术
'pang'guang'qi'shi'qie'chu'shu 膀胱憩室切除术
'pang'guang'qie'chu'ban'niao'dao'qie'chu'shu 膀胱切除伴尿道切除术
'pang'guang'qie'kai'qiang'nei'zhan'lian'song'jie'shu 膀胱切开腔内粘连松解术
'pang'guang'qie'kai'qu'shi'shu 膀胱切开取石术
'pang'guang'qie'kai'tan'cha'shu 膀胱切开探查术
'pang'guang'qie'kai'xie'kuai'qing'chu'shu 膀胱切开血块清除术
'pang'guang'qie'kai'yi'wu'qu'chu'shu 膀胱切开异物取出术
'pang'guang'quan'bu'qie'chu'shu 膀胱全部切除术
'pang'guang'san'jiao'qu'qie'chu'shu 膀胱三角区切除术
'pang'guang'shu'hou'chu'xie'zhi'xue'shu 膀胱术后出血止血术
'pang'guang'ti'wai'sui'shi 膀胱体外碎石
'pang'guang'wai'fan'xiu'bu'shu 膀胱外翻修补术
'pang'guang'xiu'bu'shu 膀胱修补术
'pang'guang'xiu'zhuang'qie'chu'shu 膀胱袖状切除术
'pang'guang'xuan'diao'shu 膀胱悬吊术
'pang'guang'yi'zhuang'jie'chang'lou'xiu'bu'shu 膀胱乙状结肠瘘修补术
'pang'guang'yin'dao'lou'xiu'bu'shu 膀胱阴道瘘修补术
'pang'guang'zao'kou'bi'he'shu 膀胱造口闭合术
'pang'guang'zao'kou'chong'xi 膀胱造口冲洗
'pang'guang'zao'kou'dao'guan'qu'chu 膀胱造口导管去除
'pang'guang'zao'kou'dao'guan'zhi'huan 膀胱造口导管置换
'pang'guang'zao'kou'shu 膀胱造口术
'pang'guang'zao'ying 膀胱造影
'pang'guang'zhi'jia'qu'chu 膀胱支架去除
'pang'guang'zhou'wei'huo'zu'zhi'jian'cha 膀胱周围活组织检查
'pang'guang'zhou'wei'zhan'lian'song'jie'shu 膀胱周围粘连松解术
'pang'guang'zhou'wei'zu'zhi'tan'cha'shu 膀胱周围组织探查术
'pang'guang'zi'gong'lou'xiu'bu'shu 膀胱子宫瘘修补术
'pao'zhuang'fu'jian'qie'chu'shu 泡状附件切除术
'pei'jing 配镜
'pei'jing'jian'cha 配镜检查
'pei'tai'yi'zhi'shu 胚胎移植术
'pen'di'chong'jian'shu 盆底重建术
'pen'gu'bing'sun'qie'chu'shu 盆骨病损切除术
'pen'gu'bu'fen'qie'chu'shu 盆骨部分切除术
'pen'gu'gang'ban'nei'gu'ding'shu 盆骨钢板内固定术
'pen'gu'gang'zhen'nei'gu'ding'shu 盆骨钢针内固定术
'pen'gu'huo'zu'zhi'jian'cha 盆骨活组织检查
'pen'gu'luo'ding'nei'gu'ding'shu 盆骨螺钉内固定术
'pen'gu'nei'gu'ding'wu'qu'chu'shu 盆骨内固定物取出术
'pen'gu'sui'nei'zhen'nei'gu'ding'shu 盆骨髓内针内固定术
'pen'gu'wai'gu'ding'jia'qu'chu'shu 盆骨外固定架去除术
'pen'gu'wai'gu'ding'shu 盆骨外固定术
'pen'gu'xie'xing'jie'gu'shu 盆骨楔形截骨术
'pen'qiang'bi'bing'sun'qie'chu'shu 盆腔壁病损切除术
'pen'qiang'bing'sun'chuan'ci'huo'zu'zhi'jian'cha 盆腔病损穿刺活组织检查
'pen'qiang'bing'sun'leng'dong'zhi'liao'shu 盆腔病损冷冻治疗术
'pen'qiang'bing'sun'qie'chu'shu 盆腔病损切除术
'pen'qiang'bu'pian'shu 盆腔补片术
'pen'qiang'chao'sheng'jian'cha 盆腔超声检查
'pen'qiang'chong'qi'zao'ying 盆腔充气造影
'pen'qiang'fu'mo'qie'chu'shu 盆腔腹膜切除术
'pen'qiang'fu'mo'zhan'lian'song'jie'shu 盆腔腹膜粘连松解术
'pen'qiang'hua'liao'beng'qu'chu 盆腔化疗泵去除
'pen'qiang'lin'ba'guan'zao'ying 盆腔淋巴管造影
'pen'qiang'lin'ba'jie'gen'zhi'xing'qie'chu'shu 盆腔淋巴结根治性切除术
'pen'qiang'tong'wei'su'sao'miao 盆腔同位素扫描
'pen'qiang'zao'ying 盆腔造影
'pen'qiang'zhan'lian'song'jie'shu 盆腔粘连松解术
'peng'zhang'xing'yin'jing'jia'ti'zhi'ru'shu 膨胀性阴茎假体置入术
'pi'ban'qing'chuang'shu 皮瓣清创术
'pi'ban'xiu'zheng'shu 皮瓣修整术
'pi'ban'yu'zhi'shu 皮瓣预制术
'pi'bing'sun'qie'chu'shu 脾病损切除术
'pi'bu'fen'qie'chu'shu 脾部分切除术
'pi'chuan'ci 脾穿刺
'pi'dong'mai'jie'za'shu 脾动脉结扎术
'pi'dong'mai'liu'qie'chu'shu 脾动脉瘤切除术
'pi'dong'mai'shuan'sai'shu 脾动脉栓塞术
'pi'dong'mai'zhi'jia'zhi'ru'shu 脾动脉支架置入术
'pi'fu'bing'sun'dian'zhuo'zhi'liao 皮肤病损电灼治疗
'pi'fu'bing'sun'gen'zhi'xing'qie'chu'shu 皮肤病损根治性切除术
'pi'fu'bing'sun'ji'guang'zhi'liao 皮肤病损激光治疗
'pi'fu'bing'sun'leng'dong'zhi'liao 皮肤病损冷冻治疗
'pi'fu'bing'sun'qie'chu'shu 皮肤病损切除术
'pi'fu'bing'sun'shao'zhuo'zhi'liao 皮肤病损烧灼治疗
'pi'fu'dian'jie'chu'mao'shu 皮肤电解除毛术
'pi'fu'feng'he'shu 皮肤缝合术
'pi'fu'fu'jian'jie'za'shu 皮肤附件结扎术
'pi'fu'he'pi'xia'huai'si'zu'zhi'qie'chu'qing'chuang'shu 皮肤和皮下坏死组织切除清创术
'pi'fu'he'pi'xia'zu'zhi'huo'zu'zhi'jian'cha 皮肤和皮下组织活组织检查
'pi'fu'he'pi'xia'zu'zhi'nong'zhong'chou'xi'shu 皮肤和皮下组织脓肿抽吸术
'pi'fu'he'pi'xia'zu'zhi'qie'kai'tan'cha'shu 皮肤和皮下组织切开探查术
'pi'fu'he'pi'xia'zu'zhi'qie'kai'yin'liu'shu 皮肤和皮下组织切开引流术
'pi'fu'he'pi'xia'zu'zhi'xue'zhong'chou'xi'shu 皮肤和皮下组织血肿抽吸术
'pi'fu'he'pi'xia'zu'zhi'yi'wu'qie'kai'qu'chu'shu 皮肤和皮下组织异物切开取出术
'pi'fu'ji'pi'xia'zu'zhi'qing'chuang'shu 皮肤及皮下组织清创术
'pi'fu'kuo'zhang'qi'tiao'zheng'shu 皮肤扩张器调整术
'pi'fu'kuo'zhang'qi'zhi'ru'shu 皮肤扩张器置入术
'pi'fu'pu'zhuang'song'jie'shu 皮肤蹼状松解术
'pi'fu'xuan'mo'shu 皮肤旋磨术
'pi'fu'zhuo'se 皮肤着色
'pi'guan'cheng'xing'shu 皮管成形术
'pi'jing'mai'shen'jing'mai'fen'liu'shu 脾静脉肾静脉分流术
'pi'jing'mai'xia'qiang'jing'mai'ren'gong'xue'guan'fen'liu'shu 脾静脉下腔静脉人工血管分流术
'pi'men'jing'mai'zao'ying 脾门静脉造影
'pi'nang'zhong'zao'dai'shu 脾囊肿造袋术
'pi'qian'yin 皮牵引
'pi'qie'chu'shu 脾切除术
'pi'qie'kai'tan'cha'shu 脾切开探查术
'pi'shen'jing'yan'chi'xiu'bu'shu 皮神经延迟修补术
'pi'tong'wei'su'sao'miao 脾同位素扫描
'pi'xia'dai'di'pi'ban'yi'zhi'shu 皮下带蒂皮瓣移植术
'pi'xia'lin'ba'chou'xi'shu 皮下淋巴抽吸术
'pi'xia'shen'jing'ci'ji'qi'qu'chu'shu 皮下神经刺激器去除术
'pi'xia'zhi'fang'zhu'she'tian'chong'shu 皮下脂肪注射填充术
'pi'xia'zu'zhi'bing'sun'qie'chu'shu 皮下组织病损切除术
'pi'xia'zu'zhi'kuo'zhang'qi'qu'chu'shu 皮下组织扩张器取出术
'pi'xiu'bu'shu 脾修补术
'pi'yi'zhi'shu 脾移植术
'pian'zhi'ti'bing'sun'qie'chu'shu 胼胝体病损切除术
'piao'fu'dao'guan'cha'ru 漂浮导管插入
'pin'lv'ying'da'dan'qiang'yong'jiu'qi'bo'qi'zhi'huan'shu 频率应答单腔永久起搏器置换术
'pin'lv'ying'da'dan'qiang'yong'jiu'qi'bo'qi'zhi'ru'shu 频率应答单腔永久起搏器置入术
'pou'fu'tan'cha'shu 剖腹探查术
'pu'bei'sheng'yin'chan 普贝生引产
'qi'bing'sun'qie'chu'shu 脐病损切除术
'qi'bo'qi'zhuang'zhi'jiao'zheng'shu 起搏器装置校正术
'qi'bo'qi'zhuang'zhi'qu'chu'shu 起搏器装置去除术
'qi'bo'qi'zhuang'zhi'xiu'fu'shu 起搏器装置修复术
'qi'bu'nong'zhong'qie'kai'yin'liu'shu 脐部脓肿切开引流术
'qi'dai'tuo'chui'fu'wei 脐带脱垂复位
'qi'dao'ji'fa'shi'yan 气道激发试验
'qi'guan'bing'sun'ji'guang'shao'zhuo'shu 气管病损激光烧灼术
'qi'guan'bing'sun'qie'chu'shu 气管病损切除术
'qi'guan'bu'fen'qie'chu'shu 气管部分切除术
'qi'guan'cha'guan 气管插管
'qi'guan'cha'guan'qu'chu 气管插管去除
'qi'guan'cheng'xing'ban'ren'gong'hou'chong'jian'shu 气管成形伴人工喉重建术
'qi'guan'cheng'xing'shu 气管成形术
'qi'guan'chong'jian'shu 气管重建术
'qi'guan'jing'jian'cha 气管镜检查
'qi'guan'jing'xia'qi'guan'bing'sun'qie'chu'shu 气管镜下气管病损切除术
'qi'guan'jing'xia'qi'guan'huo'zu'zhi'jian'cha 气管镜下气管活组织检查
'qi'guan'lie'shang'feng'he'shu 气管裂伤缝合术
'qi'guan'lou'bi'he'shu 气管瘘闭合术
'qi'guan'nei'yi'wu'qu'chu 气管内异物去除
'qi'guan'nei'zhu'she'zhi'liao'wu'zhi 气管内注射治疗物质
'qi'guan'qie'kai'bi'he'shu 气管切开闭合术
'qi'guan'qie'kai'yi'wu'qu'chu'shu 气管切开异物取出术
'qi'guan'ren'gong'jia'ti'zhi'ru'shu 气管人工假体置入术
'qi'guan'shi'guan'lou'bi'he'shu 气管食管瘘闭合术
'qi'guan'shi'guan'zao'kou'shu 气管食管造口术
'qi'guan'xia'zhai'song'jie'shu 气管狭窄松解术
'qi'guan'xuan'diao'shu 气管悬吊术
'qi'guan'zao'kou'xiu'zheng'shu 气管造口修正术
'qi'guan'zhi'jia'zhi'huan'shu 气管支架置换术
'qi'guan'zhi'jia'zhi'ru'shu 气管支架置入术
'qi'huo'zu'zhi'jian'cha 脐活组织检查
'qi'jing'mai'cha'guan'shu 脐静脉插管术
'qi'jing'mai'chuan'ci'shu 脐静脉穿刺术
'qi'jing'mai'feng'du'shu 奇静脉封堵术
'qi'jing'mai'jie'za'shu 奇静脉结扎术
'qi'niao'guan'bing'sun'qie'chu'shu 脐尿管病损切除术
'qi'qie'chu'shu 脐切除术
'qi'shan'wu'zhang'li'xiu'bu'shu 脐疝无张力修补术
'qi'shan'xiu'bu'shu 脐疝修补术
'qi'xing'huai'ju'kang'du'su'zhi'liao 气性坏疽抗毒素治疗
'qi'xue'gan'xi'bao'yi'zhi'shu 脐血干细胞移植术
'qi'zheng'xing'shu 脐整形术
'qia'dong'mai'cheng'xing'shu 髂动脉成形术
'qia'dong'mai'gu'dong'mai'ren'gong'xue'guan'da'qiao'shu 髂动脉股动脉人工血管搭桥术
'qia'dong'mai'guo'dong'mai'ren'gong'xue'guan'da'qiao'shu 髂动脉腘动脉人工血管搭桥术
'qia'dong'mai'jie'za'shu 髂动脉结扎术
'qia'dong'mai'liu'qie'chu'ban'ren'gong'xue'guan'zhi'huan'shu 髂动脉瘤切除伴人工血管置换术
'qia'dong'mai'nei'mo'bo'chu'shu 髂动脉内膜剥除术
'qia'dong'mai'qia'dong'mai'ren'gong'xue'guan'da'qiao'shu 髂动脉髂动脉人工血管搭桥术
'qia'dong'mai'qiu'nang'kuo'zhang'cheng'xing'shu 髂动脉球囊扩张成形术
'qia'dong'mai'shuan'sai'shu 髂动脉栓塞术
'qia'dong'mai'xue'shuan'qie'chu'shu 髂动脉血栓切除术
'qia'dong'mai'zao'ying 髂动脉造影
'qia'dong'mai'zhi'jia'zhi'ru'shu 髂动脉支架置入术
'qia'gu'bing'sun'qie'chu'shu 髂骨病损切除术
'qia'gu'bu'fen'qie'chu'shu 髂骨部分切除术
'qia'gu'gu'zhe'qie'kai'fu'wei'gang'ban'nei'gu'ding'shu 髂骨骨折切开复位钢板内固定术
'qia'gu'gu'zhe'qie'kai'fu'wei'gang'zhen'nei'gu'ding'shu 髂骨骨折切开复位钢针内固定术
'qia'gu'gu'zhe'qie'kai'fu'wei'luo'ding'nei'gu'ding'shu 髂骨骨折切开复位螺钉内固定术
'qia'gu'qu'gu'shu 髂骨取骨术
'qia'gu'zhi'gu'shu 髂骨植骨术
'qia'jing'mai'gu'jing'mai'da'yin'jing'mai'da'qiao'shu 髂静脉股静脉大隐静脉搭桥术
'qia'jing'mai'zhi'jia'zhi'ru'shu 髂静脉支架置入术
'qia'jing'shu'qie'duan'shu 髂胫束切断术
'qia'jing'shu'yi'wei'shu 髂胫束移位术
'qia'lin'ba'gan'heng'duan'jie'za'shu 髂淋巴干横断结扎术
'qia'lin'ba'gan'xiao'jing'mai'wen'he'shu 髂淋巴干小静脉吻合术
'qia'lin'ba'jie'gen'zhi'xing'qie'chu'shu 髂淋巴结根治性切除术
'qia'nei'dong'mai'cha'guan'shu 髂内动脉插管术
'qia'nei'dong'mai'jie'za'shu 髂内动脉结扎术
'qia'nei'dong'mai'shuan'sai'shu 髂内动脉栓塞术
'qia'wai'jing'mai'zao'ying 髂外静脉造影
'qia'wo'bing'sun'qie'chu'shu 髂窝病损切除术
'qia'wo'ji'ye'qing'chu'shu 髂窝积液清除术
'qia'wo'nong'zhong'qie'kai'yin'liu'shu 髂窝脓肿切开引流术
'qia'wo'xue'zhong'qie'kai'yin'liu'shu 髂窝血肿切开引流术
'qia'yao'ji'jian'qie'duan'shu 髂腰肌腱切断术
'qia'yao'ji'qie'duan'shu 髂腰肌切断术
'qia'zong'dong'mai'chang'xi'mo'shang'dong'mai'da'qiao'shu 髂总动脉肠系膜上动脉搭桥术
'qia'zong'dong'mai'qia'wai'dong'mai'da'qiao'shu 髂总动脉髂外动脉搭桥术
'qian'bi'ji'feng'he'shu 前臂肌缝合术
'qian'bi'ji'jian'feng'he'shu 前臂肌腱缝合术
'qian'bi'ji'jian'song'jie'shu 前臂肌腱松解术
'qian'bi'ji'jian'yi'wei'shu 前臂肌腱移位术
'qian'bi'jia'zhi'an'zhuang 前臂假肢安装
'qian'bi'jian'zhang'shu 前臂减张术
'qian'bi'jie'duan'shu 前臂截断术
'qian'bi'kong'cheng'xing'shu 前鼻孔成形术
'qian'bi'kong'tian'sai'zhi'xue 前鼻孔填塞止血
'qian'bi'shu'dai'song'jie'shu 前臂束带松解术
'qian'bi'zai'zhi'shu 前臂再植术
'qian'biao'lin'ba'jie'chao'sheng'jian'cha 浅表淋巴结超声检查
'qian'fang'cheng'xing'shu 前房成形术
'qian'fang'chong'xi'shu 前房冲洗术
'qian'fang'chou'xi'shu 前房抽吸术
'qian'fang'chuan'ci'shu 前房穿刺术
'qian'fang'dao'guan'qu'chu'shu 前房导管去除术
'qian'fang'dao'guan'xiu'zheng'shu 前房导管修正术
'qian'fang'gui'you'qu'chu'shu 前房硅油取出术
'qian'fang'jiao'cheng'xing'shu 前房角成形术
'qian'fang'jiao'chuan'ci'shu 前房角穿刺术
'qian'fang'jiao'qie'kai'shu 前房角切开术
'qian'fang'shang'pi'yan'sheng'wu'po'huai'shu 前房上皮衍生物破坏术
'qian'fang'shang'pi'yan'sheng'wu'qu'chu'shu 前房上皮衍生物去除术
'qian'fang'zhu'qi'shu 前房注气术
'qian'fang'zhu'ye'shu 前房注液术
'qian'hou'bi'kong'tian'sai'zhi'xue 前后鼻孔填塞止血
'qian'jia'shu 钳夹术
'qian'lie'xian'an'mo 前列腺按摩
'qian'lie'xian'bing'sun'qie'chu'shu 前列腺病损切除术
'qian'lie'xian'bu'fen'qie'chu'shu 前列腺部分切除术
'qian'lie'xian'chao'sheng'jian'cha 前列腺超声检查
'qian'lie'xian'gen'zhi'qie'chu'shu 前列腺根治切除术
'qian'lie'xian'he'ci'gong'zhen'jian'cha 前列腺核磁共振检查
'qian'lie'xian'jie'shi'qie'chu'shu 前列腺结石切除术
'qian'lie'xian'niao'dao'ji'yi'jin'shu'zhi'jia'zhi'ru'shu 前列腺尿道记忆金属支架置入术
'qian'lie'xian'nong'zhong'yin'liu'shu 前列腺脓肿引流术
'qian'lie'xian'qie'chu'shu 前列腺切除术
'qian'lie'xian'shu'hou'zhi'xue'shu 前列腺术后止血术
'qian'lie'xian'su'shuan'ji'cha'ru 前列腺素栓剂插入
'qian'lie'xian'su'zhu'she'liu'chan 前列腺素注射流产
'qian'lie'xian'wei'bo'zhi'liao 前列腺微波治疗
'qian'lie'xian'xiu'bu'shu 前列腺修补术
'qian'lie'xian'zao'ying 前列腺造影
'qian'lie'xian'zhen'ci'huo'zu'zhi'jian'cha 前列腺针刺活组织检查
'qian'lie'xian'zhi'jia'qu'chu 前列腺支架去除
'qian'lie'xian'zhou'wei'huo'zu'zhi'jian'cha 前列腺周围活组织检查
'qian'lie'xian'zhou'wei'nong'zhong'yin'liu'shu 前列腺周围脓肿引流术
'qian'lie'xian'zhou'wei'zu'zhi'bing'sun'qie'chu'shu 前列腺周围组织病损切除术
'qian'lie'xian'zhu'she'lian'jie'ce'shi 前列腺注射链接测试
'qian'ru'lu'bo'li'ti'qie'chu'shu 前入路玻璃体切除术
'qian'ru'lu'bo'li'ti'qie'ge'shu 前入路玻璃体切割术
'qian'ru'lu'huan'shu'zhui'rong'he'shu 前入路寰枢椎融合术
'qian'ru'lu'huan'shu'zhui'zai'rong'he'shu 前入路寰枢椎再融合术
'qian'ru'lu'jing'zhui'jian'pan'qie'chu'shu 前入路颈椎间盘切除术
'qian'ru'lu'jing'zhui'rong'he'shu 前入路颈椎融合术
'qian'ru'lu'jing'zhui'zai'rong'he'shu 前入路颈椎再融合术
'qian'ru'lu'xiong'yao'zhui'rong'he'shu 前入路胸腰椎融合术
'qian'ru'lu'xiong'yao'zhui'zai'rong'he'shu 前入路胸腰椎再融合术
'qian'ru'lu'xiong'zhui'rong'he'shu 前入路胸椎融合术
'qian'ru'lu'xiong'zhui'zai'rong'he'shu 前入路胸椎再融合术
'qian'ru'lu'xiong'zhui'zhui'ti'qie'chu'shu 前入路胸椎椎体切除术
'qian'ru'lu'yao'di'rong'he'shu 前入路腰骶融合术
'qian'ru'lu'yao'di'zai'rong'he'shu 前入路腰骶再融合术
'qian'ru'lu'yao'zhui'rong'he'shu 前入路腰椎融合术
'qian'ru'lu'yao'zhui'zai'rong'he'shu 前入路腰椎再融合术
'qian'ru'lu'zhen'jing'rong'he'shu 前入路枕颈融合术
'qian'ru'lu'zhen'jing'zai'rong'he'shu 前入路枕颈再融合术
'qian'shi'dan'nang'qu'shi'shu 浅式胆囊取石术
'qian'ting'da'xian'bing'sun'qie'chu'shu 前庭大腺病损切除术
'qian'ting'da'xian'lou'guan'qie'chu'shu 前庭大腺瘘管切除术
'qian'ting'da'xian'nang'zhong'chou'xi'shu 前庭大腺囊肿抽吸术
'qian'ting'da'xian'nang'zhong'qie'kai'shu 前庭大腺囊肿切开术
'qian'ting'da'xian'nong'zhong'qie'kai'yin'liu'shu 前庭大腺脓肿切开引流术
'qian'ting'da'xian'qie'chu'shu 前庭大腺切除术
'qian'ting'da'xian'zao'dai'shu 前庭大腺造袋术
'qian'ting'da'xian'zao'kou'shu 前庭大腺造口术
'qian'ting'kai'chuang'shu 前庭开窗术
'qian'ting'shen'jing'qie'duan'shu 前庭神经切断术
'qian'xi'pi'ban'yi'zhi'shu 前徙皮瓣移植术
'qian'xie'jiao'ji'qie'chu'shu 前斜角肌切除术
'qian'xie'jiao'ji'qie'duan'shu 前斜角肌切断术
'qian'xin'men'chuan'ci'shu 前囟门穿刺术
'qiang'jing'mai'fei'dong'mai'fen'liu'shu 腔静脉肺动脉分流术
'qiang'jing'mai'jie'za'shu 腔静脉结扎术
'qiang'jing'mai'zhe'die'shu 腔静脉折叠术
'qiang'jing'xia'dan'ce'fu'ru'qie'chu'shu 腔镜下单侧副乳切除术
'qiang'jing'xia'dan'ce'jia'zhuang'xian'qie'chu'shu 腔镜下单侧甲状腺切除术
'qiang'jing'xia'jia'zhuang'pang'xian'bing'sun'qie'chu'shu 腔镜下甲状旁腺病损切除术
'qiang'jing'xia'jia'zhuang'xian'bing'sun'qie'chu'shu 腔镜下甲状腺病损切除术
'qiang'jing'xia'jia'zhuang'xian'bu'fen'qie'chu'shu 腔镜下甲状腺部分切除术
'qiang'jing'xia'jia'zhuang'xian'ci'quan'qie'chu'shu 腔镜下甲状腺次全切除术
'qiang'jing'xia'jiao'gan'shen'jing'qie'duan'shu 腔镜下交感神经切断术
'qiang'jing'xia'pi'xia'zu'zhi'bing'sun'qie'chu'shu 腔镜下皮下组织病损切除术
'qiang'jing'xia'ru'fang'bing'sun'qie'chu'shu 腔镜下乳房病损切除术
'qiang'jing'xia'shuang'ce'fu'ru'qie'chu'shu 腔镜下双侧副乳切除术
'qiang'jing'xia'shuang'ce'ru'fang'qie'chu'shu 腔镜下双侧乳房切除术
'qiang'jing'xia'yao'jiao'gan'shen'jing'qie'chu'shu 腔镜下腰交感神经切除术
'qiang'jing'xia'ye'wo'lin'ba'jie'gen'zhi'xing'qie'chu'shu 腔镜下腋窝淋巴结根治性切除术
'qiao'mo'bu'fen'qie'chu'shu 鞘膜部分切除术
'qiao'mo'fan'zhuan'xiu'bu'shu 鞘膜翻转修补术
'qiao'mo'gao'wei'jie'za'shu 鞘膜高位结扎术
'qiao'mo'nang'zhong'qie'chu'shu 鞘膜囊肿切除术
'qiao'mo'qie'chu'shu 鞘膜切除术
'qiao'zhuang'tu'gao'wei'jie'za'shu 鞘状突高位结扎术
'qing'guang'yan'fa'qu'chu'shu 青光眼阀取出术
'qing'guang'yan'fa'xiu'fu'tiao'wei'shu 青光眼阀修复调位术
'qing'guang'yan'fa'zhi'ru'shu 青光眼阀置入术
'qing'guang'yan'jian'cha 青光眼检查
'qing'jie'qi'guan'zao'kou 清洁气管造口
'qing'jie'shang'kou 清洁伤口
'qiu'hou'zhu'she'wu'shui'yi'chun 球后注射无水乙醇
'qiu'nao'hua'xue'po'huai'shu 丘脑化学破坏术
'qiu'nao'qie'kai'shu 丘脑切开术
'qiu'nao'she'pin'hui'sun'shu 丘脑射频毁损术
'qu'chu'yan'hou'jie'shou'shu'zhi'ru'wu 去除眼后节手术植入物
'qu'chu'yong'yu'shen'tou'xi'de'dong'jing'mai'da'qiao'shu 去除用于肾透析的动静脉搭桥术
'qu'gan'ji'rou'bing'sun'qie'chu'shu 躯干肌肉病损切除术
