'a'er'tai'chai'hu 阿尔泰柴胡
'zhai'mo'ma'huang 窄膜麻黄
'zhai'ye'qing'jia'ye 窄叶青荚叶
'zhan'zhi'xiao'qing'yang 展枝小青杨
'zhang'ci'cong'mu 长刺葱木
'zhang'guo'qin 胀果芹
'zhang'guo'shu'can 胀果树参
'zhang'wu'chi'song 彰武赤松
'zhang'ye'fei'shu 长叶榧树
'zhang'ye'gao'shan'bai 长叶高山柏
'zhang'ye'hu'jiao 樟叶胡椒
'zhang'ye'lai'mu 樟叶梾木
'zhang'ye'liang'wang'cha 掌叶梁王茶
'zhang'ye'lu'dou'cao 长叶露兜草
'zhang'ye'shan'hu 长叶珊瑚
'zhang'ye'song 长叶松
'zhang'ye'yang 长叶杨
'zhang'ye'yun'shan 长叶云杉
'zhang'ye'zhu'bai 长叶竹柏
'zhang'zi'song 樟子松
'zhao'sheng'hei'san'leng 沼生黑三棱
'zhao'sheng'hui'qin 沼生茴芹
'zhao'sheng'liu'ye'cai 沼生柳叶菜
'zhao'ye'zhang'ye'shu 爪叶掌叶树
'zhe'jiang'qing'jia'ye 浙江青荚叶
'zhen'guo'qin 针果芹
'zhen'kang'luo'san 镇康罗伞
'zhen'ye'zao 针叶藻
'zhi'ye'xiang'bai 直叶香柏
'zhong'bo'hui'qin 重波茴芹
'zhong'chi'dang'gui 重齿当归
'zhong'dian'leng'shan 中甸冷杉
'zhong'hua'e'zhang'chai 中华鹅掌柴
'zhong'hua'hu'jiao 中华胡椒
'zhong'hua'liu'ye'cai 中华柳叶菜
'zhong'hua'qing'jia'ye 中华青荚叶
'zhong'hua'shui'qin 中华水芹
'zhong'hua'tian'hu'sui 中华天胡荽
'zhong'hua'wu'jia 中华五加
'zhong'ma'huang 中麻黄
'zhong'mian'tian'hu'sui 中缅天胡荽
'zhong'ya'ze'qin 中亚泽芹
'zhou'ban'qin 舟瓣芹
'zhou'guo'hu'jiao 皱果胡椒
'zhou'guo'leng'zi'qin 皱果棱子芹
'zhou'ye'bian'dou'cai 皱叶变豆菜
'zhu'bai 竹柏
'zhu'guan'luo'han'song 柱冠罗汉松
'zhu'guan'xi'feng'qin 柱冠西风芹
'zhu'jie'can 竹节参
'zhu'jie'qian'hu 竹节前胡
'zhu'ye'chai'hu 竹叶柴胡
'zhu'ye'hu'jiao 竹叶胡椒
'zhu'ye'ju 苎叶蒟
'zhu'ye'xi'feng'qin 竹叶西风芹
'zhu'ye'yan'zi'cai 竹叶眼子菜
'zhu'zi'can 珠子参
'zhui'ye'chai'hu 锥叶柴胡
'zhun'ga'er'a'wei 准噶尔阿魏
'zhun'ga'er'qian'hu 准噶尔前胡
'zi'guo'leng'shan 紫果冷杉
'zi'guo'yun'shan 紫果云杉
'zi'hua'da'ye'chai'hu 紫花大叶柴胡
'zi'hua'luo'jing'rong'guo'qin 紫花裸茎绒果芹
'zi'hua'qian'hu 紫花前胡
'zi'qiao'xi'feng'qin 紫鞘西风芹
'zi'ran'qin 孜然芹
'zi'san'qin 紫伞芹
'zi'se'leng'zi'qin 紫色棱子芹
'zi'yuan'leng'shan 资源冷杉
'zong'xu'wu'ye'can 总序五叶参
'zu'cao 菹草
