'ai'lian'shuo 爱莲说
'sha'zhi'yi'ying'chen'she 杀之以应陈涉
'shan'bi'cheng'qiu 苫蔽成丘
'shan'bu'zai'gao 山不在高
'shan'chuan'zhi'mei 山川之美
'shan'gao'yue'xiao 山高月小
'shan'jian'zhi'si'shi'ye 山间之四时也
'shan'jian'zhi'zhao'mu'ye 山间之朝暮也
'shan'luan'wei'qing'xue'suo'xi 山峦为晴雪所洗
'shan'shi 山市
'shan'shui'zhi'le 山水之乐
'shan'xing'liu'qi'li 山行六七里
'shan'yao'ye'su 山肴野蔌
'shan'you'xiao'kou 山有小口
'shan'yue'qian'xing 山岳潜形
'shan'zai 善哉
'shan'zhi'seng'zhi'xian'ye 山之僧智仙也
'shang'lv'bu'xing 商旅不行
'shang'shi'wai'jiang'bing 上使外将兵
'shang'shu'jian'gua'ren'zhe 上书谏寡人者
'shang'xia'tian'guang 上下天光
'shang'xia'yi'bai 上下一白
'shang'zhong'yong 伤仲永
'shao'qing 少顷
'shao'shao'bin'ke'qi'fu 稍稍宾客其父
'shao'shao'zheng'zuo 稍稍正坐
'shao'shi 少时
'she'jiu'sha'ji'zuo'shi 设酒杀鸡作食
'she'qi'jin'xiu 舍其锦绣
'she'qi'liang'rou 舍其粱肉
'she'qi'wen'xuan 舍其文轩
'she'sheng'er'qu'yi'zhe'ye 舍生而取义者也
'she'yi'tu'er'er'chong'jin'wei'suo'tun 舌一吐而二虫尽为所吞
'she'yu'er'qu'xiong'zhang'zhe'ye 舍鱼而取熊掌者也
'she'zhe'zhong 射者中
'shen'chang'ba'chi 身长八尺
'shen'ding 神定
'shen'fu 沈复
'shen'fu'fu'ye 神弗福也
'shen'qing'yu'su'huang'bu'shu 神情与苏黄不属
'shen'ru'bu'mao 深入不毛
'shen'shan 甚善
'shen'yi 甚矣
'shen'yi'ban'ru 身已半入
'shen'you'qi'zhong 神游其中
'shen'zhui'xian'di'yi'zhao 深追先帝遗诏
'sheng'ru'beng'shan 声如崩山
'sheng'yi'wo'suo'yu 生亦我所欲
'sheng'yu'you'huan 生于忧患
'shi'ba'chi'ping'zhang 施八尺屏障
'shi'bie'san'ri 士别三日
'shi'bu'bao 食不饱
'shi'bu'ke'yi'bu'hong'yi 士不可以不弘毅
'shi'chen 始龀
'shi'dao'gua'zhu 失道寡助
'shi'dao'zhe'gua'zhu 失道者寡助
'shi'di'li'bu'ru'ren'he'ye 是地利不如人和也
'shi'er'san'yi 十二三矣
'shi'gu'mou'bi'er'bu'xing 是故谋闭而不兴
'shi'gu'suo'yu'you'shen'yu'sheng'zhe 是故所欲有甚于生者
'shi'ji'xiong'hao 势极雄豪
'shi'jin'ling'ren 是金陵人
'shi'jin'yi'you 是进亦忧
'shi'lao'you'suo'zhong 使老有所终
'shi'li'geng 世隶耕
'shi'liu'nian'jiu'yue'shi'wu'ri 时六年九月十五日
'shi'ma'ye 是马也
'shi'ma'zhe'bu'zhi'qi'neng'qian'li'er'shi'ye 食马者不知其能千里而食也
'shi'nei'wai'yi'fa'ye 使内外异法也
'shi'nian'chun 十年春
'shi'qi 失期
'shi'qi'dang'zhan 失期当斩
'shi'qing'shen'zhi 石青糁之
'shi'ren'mo'zhi'xu'ye 时人莫之许也
'shi'ren'sheng'ai'mu'dan 世人盛爱牡丹
'shi'ren'zhi'suo'e'mo'shen'yu'si'zhe 使人之所恶莫甚于死者
'shi'ri'geng'ding'yi 是日更定矣
'shi'shi'er'jian'jin 时时而间进
'shi'shi'yu'jie'zhi'xian'du 实是欲界之仙都
'shi'shuo'xin'yu 世说新语
'shi'shuo'xin'yu'liang'ze 世说新语两则
'shi'shuo'xin'yu'liu'yi'qing 世说新语刘义庆
'shi'tian'shi'bu'ru'di'li'ye 是天时不如地利也
'shi'wei'da'tong 是谓大同
'shi'wu'da'xiao 事无大小
'shi'wu'wei'shan'shi 始悟为山市
'shi'xian'zhu'tun'xin'ye 时先主屯新野
'shi'yi'bu'ke'yi'yi'hu 是亦不可以已乎
'shi'yi'fan'yan 始一反焉
'shi'yi'xian'di'jian'ba'yi'yi'bi'xia 是以先帝简拔以遗陛下
'shi'yi'zhong'yi'ju'chong'wei'du 是以众议举宠为督
'shi'yong'yu'xi'ri 试用于昔日
'shi'you'bo'le 世有伯乐
'shi'yu'tai'qi 使与台齐
'shi'yu'zhi'le'ye 是鱼之乐也
'shi'zhi'bu'neng'jin'qi'cai 食之不能尽其材
'shi'zhi'chong'yan'er'fei'ming 使之冲烟而飞鸣
'shi'zhi'jiao'tian'zhi'wai'wei'shi'wu'chun 始知郊田之外未始无春
'shi'zhi'ye 是知也
'shi'zhong'shang'shu'zhang'shi'can'jun 侍中尚书长史参军
'shi'zhong'shi'lang'guo'you'zhi'fei'yi'dong'yun'deng 侍中侍郎郭攸之费祎董允等
'shi'zu'duo'wei'yong'zhe 士卒多为用者
'shou'cheng'si 守丞死
'shou'chi'shi'fu'da'cai'qi 手持十幅大彩旗
'shou'di'yu'xian'wang 受地于先王
'shou'er'gong'qi 收而攻蕲
'shou'ming'yi'lai 受命以来
'shou'ren'yu'bai'jun'zhi'ji 受任于败军之际
'shou'shang'shang 受上赏
'shou'xia'shang 受下赏
'shou'you'bai'zhi 手有百指
'shou'zhi'bu'ke'qu'shen 手指不可屈伸
'shou'zhi'tian'ye 受之天也
'shou'zhong'shang 受中赏
'shou'zi'bi'lu 手自笔录
'shou'zu'wei'yi 收族为意
'shu'er 述而
'shu'er'huang'yan'si'qi 倏尔黄烟四起
'shu'hu'ru'quan'ru'dou 倏忽如拳如豆
'shu'jie'nu'dun 庶竭驽钝
'shu'lin'yin'yi 树林阴翳
'shu'ri 数日
'shu'ruo'gu 孰若孤
'shu'shi'zhi 孰视之
'shu'tiao'jiao'ying 疏条交映
'shu'yin'qi'yi 属引凄异
'shu'you'gong 数有功
'shu'yu'zuo'wen'yi'ji'zhi 属予作文以记之
'shu'yue 庶曰
'shu'yue'zhi'hou 数月之后
'shu'zhi'ba'ceng 数至八层
'shui'bao'hong'zhen 水爆轰震
'shui'bo'bu'xing 水波不兴
'shui'bu'zai'shen 水不在深
'shui'jie'piao'bi 水皆缥碧
'shui'lu'cao'mu'zhi'hua 水陆草木之花
'shui'luo'er'shi'chu'zhe 水落而石出者
'shui'luo'shi'chu 水落石出
'shui'you'qing'lie 水尤清冽
'shui'zhong'zao'xing'jiao'heng 水中藻荇交横
'shun'fa'yu'quan'mu'zhi'zhong 舜发于畎亩之中
'shuo'ru'ci 说如此
'si'er'bu'xue'ze'dai 思而不学则殆
'si'er'hou'yi 死而后已
'si'guo'ke'hu 死国可乎
'si'ji'ju'da'ming'er 死即举大名耳
'si'jing'zhi'nei'mo'bu'you'qiu'yu'wang 四境之内莫不有求于王
'si'ma'qian 司马迁
'si'mian'zhu'shu'huan'he 四面竹树环合
'si'ni'zuo'qun'he'wu'yu'kong'zhong 私拟作群鹤舞于空中
'si'qi'xin'yue 俟其欣悦
'si'shi'ju'bei 四时俱备
'si'shi'lou'shi 斯是陋室
'si'shi'zhi'jing'bu'tong 四时之景不同
'si'wo'ye 私我也
'si'xian'ru'ke 思贤如渴
'si'yi'wo'suo'e 死亦我所恶
'si'yu'an'le 死于安乐
'si'yu'you'zhe'xiang'le 似与游者相乐
'si'zhe'shi'jiu 死者十九
'si'zhi'jiang'jin'bu'neng'dong 四支僵劲不能动
'song'dong'yang'ma'sheng'xu 送东阳马生序
'song'he'zui'zhi'you 宋何罪之有
'song'lian 宋濂
'song'mo'neng'shou 宋莫能守
'song'suo'wei'wu'zhi'tu'fu'yu'zhe'ye 宋所谓无雉兔鲋鱼者也
'song'wu'chang'mu 宋无长木
'song'wu'zui'er'gong'zhi 宋无罪而攻之
'song'you'fu'ren 宋有富人
'song'zhi'di'fang'wu'bai'li 宋之地方五百里
'sou'yu'guo'zhong'san'ri'san'ye 搜于国中三日三夜
'su'huang'gong'yue'yi'shou'juan 苏黄共阅一手卷
'su'shi 苏轼
'su'sui'bai'meng'mu 肃遂拜蒙母
'su'ye'you'tan 夙夜忧叹
'su'ying'er'shang 溯迎而上
'sui'bo'er'shi 随波而逝
'sui'bu'ke'jian 遂不可见
'sui'bu'neng'cha 虽不能察
'sui'cheng'ben'yu'feng 虽乘奔御风
'sui'han 岁寒
'sui'lv'zi'sun'he'dan'zhe'san'fu 遂率子孙荷担者三夫
'sui'mi 遂迷
'sui'qian'li'bu'gan'yi'ye 虽千里不敢易也
'sui'ran 虽然
'sui'ren'you'bai'shou 虽人有百手
'sui'sha'chen 虽杀臣
'sui'wo'zhi'si 虽我之死
'sui'xi'di'bu'rong'jian'ye 虽席地不容间也
'sui'xu'xian'di'yi'qu'chi 遂许先帝以驱驰
'sui'yong'chang'jue 遂用猖蹶
'sui'you'qian'li'zhi'neng 虽有千里之能
'sui'yu'wai'ren'jian'ge 遂与外人间隔
'sui'yu'yan 虽欲言
'sui'zhi'cheng'tian'si'xun'zhang'huai'min 遂至承天寺寻张怀民
'sui'zhu'qi'shi 遂逐齐师
'sun'gong'zi'yu'nian'yu'tong'ren'yin'lou'shang 孙公子禹年与同人饮楼上
'sun'quan'ju'you'jiang'dong 孙权据有江东
'sun'quan'quan'xue 孙权劝学
'sun'shu'ao'ju'yu'hai 孙叔敖举于海
'sun'you'sheng'zi 孙又生子
'suo'e'you'shen'yu'si'zhe 所恶有甚于死者
'suo'shi'qiong'fa'zhe'de'wo'yu 所识穷乏者得我与
'suo'yi'dong'xin'ren'xing 所以动心忍性
'suo'yu'you'shen'yu'sheng'zhe 所欲有甚于生者
'tai'bo 泰伯
'tai'hang 太行
'tai'hen'shang'jie'lv 苔痕上阶绿
'tai'qiu'she'qu 太丘舍去
'tai'shou'gui'er'bin'ke'cong'ye 太守归而宾客从也
'tai'shou'ji'qian'ren'sui'qi'wang 太守即遣人随其往
'tai'shou'wei'shui 太守谓谁
'tai'shou'yan'ye 太守宴也
'tai'shou'ye 太守也
'tai'shou'yu'ke'lai'yin'yu'ci 太守与客来饮于此
'tai'shou'zi'wei'ye 太守自谓也
'tai'shou'zui'ye 太守醉也
'tan'xi'nan'er'wang 潭西南而望
'tan'xiao'you'hong'ru 谈笑有鸿儒
'tan'xiong'lu'ru 袒胸露乳
'tan'you 袒右
'tan'zhong'yu'ke'bai'xu'tou 潭中鱼可百许头
'tang'ju'bu'ru'shi'ming 唐雎不辱使命
'tang'ju'dui'yue 唐雎对曰
'tang'ju'yue 唐雎曰
'tang'ruo'zhe 堂若者
'tao'hong'jing 陶弘景
'tao'hou'xian'you'wen 陶后鲜有闻
'tao'hua'yuan'ji 桃花源记
'tao'yuan'ming 陶渊明
'teng'shen'bai'bian 腾身百变
'teng'zi'jing'zhe'shou'ba'ling'jun 滕子京谪守巴陵郡
'tian'da'han 天大寒
'tian'fu'zhi'tu 天府之土
'tian'qi'ren'xu'qiu'ri 天启壬戌秋日
'tian'qing'xi'bei 天倾西北
'tian'shan'gong'se 天山共色
'tian'shi'bu'ru'di'li 天时不如地利
'tian'xia'du'jue 天下独绝
'tian'xia'gao'su 天下缟素
'tian'xia'ku'qin'jiu'yi 天下苦秦久矣
'tian'xia'shun'zhi 天下顺之
'tian'xia'wei'gong 天下为公
'tian'xia'wu'ma 天下无马
'tian'xia'you'bian 天下有变
'tian'xia'zhi'wei'guan'ye 天下之伟观也
'tian'yu'qiang'huai 天雨墙坏
'tian'yu'yun'yu'shan'yu'shui 天与云与山与水
'tian'zhu'zhe 天柱折
'tian'zi'zhi'nu 天子之怒
'tiao'wang'zhu'zhi 跳往助之
'ting'jian'er'qi 挺剑而起
'ting'shu'ri 停数日
'ting'ting'jing'zhi 亭亭净植
'ting'xia'ru'ji'shui'kong'ming 庭下如积水空明
'tong'ji'yi'zhou 通计一舟
'tong'qu 童趣
'tong'she'sheng'jie'bei'qi'xiu 同舍生皆被绮绣
'tong'you'zhe 同游者
'tong'yu'zhe'he'ren 同予者何人
'tou'yi'gu 投以骨
'tou'zhu'bo'hai'zhi'wei 投诸渤海之尾
'tu'bao'qi 屠暴起
'tu'da'jiong 屠大窘
'tu'di'ping'kuang 土地平旷
'tu'gao'wei'run 土膏微润
'tu'ju 屠惧
'tu'nai'ben'yi'qi'xia 屠乃奔倚其下
'tu'shu'jie'yue 徒属皆曰
'tu'yi'you'xian'sheng'ye 徒以有先生也
'tu'zhong'liang'lang 途中两狼
'tu'zi'hou'duan'qi'gu 屠自后断其股
'tui'ran'hu'qi'jian'zhe 颓然乎其间者
'tui'yi'you 退亦忧
'tun'chang'jiang 吞长江
'tun'tian'wo'ri 吞天沃日
'wai'jie'hao'sun'quan 外结好孙权
'wan'zhong'yu'wo'he'jia'yan 万钟于我何加焉
'wan'zhong'ze'bu'bian'li'yi'er'shou'zhi 万钟则不辩礼义而受之
'wang'an'shi 王安石
'wang'bu'yin'shi'xiang'xing 罔不因势象形
'wang'feng'xi'xin 望峰息心
'wang'hou'jiang'xiang'ning'you'zhong'hu 王侯将相宁有种乎
'wang'huai'de'shi 忘怀得失
'wang'lai'er'bu'jue'zhe 往来而不绝者
'wang'lai'wu'bai'ding 往来无白丁
'wang'lai'xi'hu 往来翕忽
'wang'lu'zhi'yuan'jin 忘路之远近
'wang'qi'qi'mi 望其旗靡
'wang'wu'er'shan 王屋二山
'wang'wu'he 王屋何
'wang'yue 王曰
'wang'zhi'bi'shen'yi 王之蔽甚矣
'wang'zhi'wei'ran'er'shen'xiu'zhe 望之蔚然而深秀者
'wang'zi'yue 王子曰
'wei'bai'bu'zhe'fan 未百步辄返
'wei'chang'bu'tan'xi'tong'hen'yu'huan'ling'ye 未尝不叹息痛恨于桓灵也
'wei'chang'di'yi'hen 惟长堤一痕
'wei'chang'shao'jiang'ci'se 未尝稍降辞色
'wei'chang'shi'shu'ju 未尝识书具
'wei'chuang'ba 为窗八
'wei'ci'guan'ye 惟此官也
'wei'di'wei'yu 为坻为屿
'wei'er'qu'zhi 委而去之
'wei'fu'you'neng'yu'qi'qi'zhe 未复有能与其奇者
'wei'gong'shi'qi'min'ren'wu 为宫室器皿人物
'wei'gong'shi'zhi'mei 为宫室之美
'wei'guo 未果
'wei'guo'chi'guang 尉果笞广
'wei'ji 未几
'wei'jian'ting 尉剑挺
'wei'ke 未可
'wei'ling'gong 卫灵公
'wei'mie'wang 魏灭亡
'wei'neng'yuan'mou 未能远谋
'wei'qi'qi'yue 谓其妻曰
'wei'ren'mou'er'bu'zhong'hu 为人谋而不忠乎
'wei'ren'wu 为人五
'wei'ruo'liu'xu'yin'feng'qi 未若柳絮因风起
'wei'si'ren 微斯人
'wei'tan'er'meng 为坛而盟
'wei'tang'ju'yue 谓唐雎曰
'wei'tian'xia'bu'yi'bing'ge'zhi'li 威天下不以兵革之利
'wei'tian'xia'chang 为天下唱
'wei'tun'zhang 为屯长
'wei'wei'lou'yi'zuo 惟危楼一座
'wei'wei'xin'ran 谓为信然
'wei'wen'you'shu'zuo'zuo'suo'suo 微闻有鼠作作索索
'wei'wo'ye 畏我也
'wei'wu'de'xin 惟吾德馨
'wei'xian'zhu'yue 谓先主曰
'wei'xue'yi 魏学洢
'wei'yu'ci'tong'lei 为与此同类
'wei'zhan'wei'yan 为嵁为岩
'wei'zheng 为政
'wei'zhi 未至
'wei'zhi'qi'si'ye 未知其死也
'wei'zhi'yi'ran'cheng'kuai 为之怡然称快
'wei'zi'gong'san'shi'you'si 为字共三十有四
'wei'zi'wang'qu 猥自枉屈
'wen'gu'er'zhi'xin 温故而知新
'wen'gua'ren'zhi'er'zhe 闻寡人之耳者
'wen'jin'shi'he'shi 问今是何世
'wen'qi'xing'shi 问其姓氏
'wen'shui'sheng 闻水声
'wen'suo'cong'lai 问所从来
'wen'yue 文曰
'wen'zhi 闻之
'wen'zhi'ke'yue 问之客曰
'wo'fei'zi 我非子
'wo'long'ye 卧龙也
'wo'shu'yu'cheng'bei'xu'gong'mei 我孰与城北徐公美
'wo'suo'yu'ye 我所欲也
'wo'ye'qian'li 沃野千里
'wo'you'xi 卧右膝
'wo'zhi'zhi'hao'shang'ye 我知之濠上也
'wu'an'du'zhi'lao'xing 无案牍之劳形
'wu'bu'yan 吾不言
'wu'cong'bei'fang'wen'zi'wei'ti 吾从北方闻子为梯
'wu'cong'zhi'shu'yi'guan 无从致书以观
'wu'er'shan'qiu'zhe'shu'bai 吴儿善泅者数百
'wu'gan'hua'zhe 无敢哗者
'wu'guang'su'ai'ren 吴广素爱人
'wu'guang'wei'du'wei 吴广为都尉
'wu'guang'yi'wei'ran 吴广以为然
'wu'guang'zhe 吴广者
'wu'he 无何
'wu'hu 呜呼
'wu'huai'shi'zhi'min'yu 无怀氏之民欤
'wu'ji'yi'yan'zhi'wang'yi 吾既已言之王矣
'wu'jun 吴均
'wu'ke'jin'zhe 无可进者
'wu'ling'ren'bu'yu'wei'ye 武陵人捕鱼为业
'wu'liu'xian'sheng'zhuan 五柳先生传
'wu'long'duan'yan 无陇断焉
'wu'lun'wei'jin 无论魏晋
'wu'qi'zhi'mei'wo'zhe 吾妻之美我者
'wu'qing'wu'gong'song'yi 吾请无攻宋矣
'wu'ri'san'xing'wu'shen 吾日三省吾身
'wu'se'jiao'hui 五色交辉
'wu'she'yan'ran 屋舍俨然
'wu'shi'qi'zhe'luan 吾视其辙乱
'wu'shi'yu'ren 勿施于人
'wu'shu'yu'xu'gong'mei 吾孰与徐公美
'wu'shui'yu'gui 吾谁与归
'wu'si'zhu'zhi'luan'er 无丝竹之乱耳
'wu'song'hang'dang 雾凇沆砀
'wu'suo'bu'you 无所不有
'wu'wen'er'shi'shao'zi'ye 吾闻二世少子也
'wu'wu'ling 吴武陵
'wu'xian'fei'zi'wei'zhi'xiang 无鲜肥滋味之享
'wu'xiang'wang 无相忘
'wu'yi'gu'bu'sha'ren 吾义固不杀人
'wu'yu'ru'bi'li'ping'xian 吾与汝毕力平险
'wu'yu'xu'gong'shu'mei 吾与徐公孰美
'wu'zhi'suo'yi'ju'zi'yi 吾知所以距子矣
'wu'zhi'zi'zhi'suo'yi'ju'wo 吾知子之所以距我
'xi'he'zhu'rong 西和诸戎
'xi'ri'yu'tui 夕日欲颓
'xi'ru'wai'ren 悉如外人
'xi'ruo'wen'zu 细若蚊足
'xi'shen'er'yu'fei 溪深而鱼肥
'xi'sheng'yu'bo 牺牲玉帛
'xi'shu'zi'yun'ting 西蜀子云亭
'xi'si'mi'lu'man'zhi 犀兕麋鹿满之
'xi'tong'ba'shu 西通巴蜀
'xi'yi'zi'zhi 悉以咨之
'xi'zhe 昔者
'xia'che'yin'zhi 下车引之
'xia'jian'xiao'tan 下见小潭
'xia'lang'zhi'lin 呷浪之鳞
'xia'shi'qi'zhe 下视其辙
'xia'wen'cheng'lei 夏蚊成雷
'xian'da'de'long'wang'zun 先达德隆望尊
'xian'di'bu'yi'chen'bei'bi 先帝不以臣卑鄙
'xian'di'cheng'zhi'yue'neng 先帝称之曰能
'xian'di'chuang'ye'wei'ban'er'zhong'dao'beng'cu 先帝创业未半而中道崩殂
'xian'di'zai'shi 先帝在时
'xian'di'zhi'chen'jin'shen 先帝知臣谨慎
'xian'jing'shao'yan 闲静少言
'xian'lai'wen'xun 咸来问讯
'xian'neng'wei'zhi'yong 贤能为之用
'xian'shang'fu'shi 衔觞赋诗
'xian'sheng'bu'zhi'he'xu'ren'ye 先生不知何许人也
'xian'sheng'zuo 先生坐
'xian'tian'xia'zhi'you'er'you 先天下之忧而忧
'xian'yan'ming'mei 鲜妍明媚
'xian'yu'cai'ren'yuan'yi 贤于材人远矣
'xian'yuan'shan 衔远山
'xian'zhe'neng'wu'sang'er 贤者能勿丧耳
'xian'zhu'jie'zhi'yue 先主解之曰
'xian'zhu'qi'zhi 先主器之
'xian'zhu'yue 先主曰
'xiang'gu'jing'yi 相顾惊疑
'xiang'wei'er'qu 相委而去
'xiang'wei'shen'si'er'bu'shou 乡为身死而不受
'xiang'wei'zhi'qiang 项为之强
'xiang'yan'wei'chu'jiang 项燕为楚将
'xiang'yu'bu'yu'zhong'ting 相与步于中庭
'xiang'yuan'yi'qing 香远益清
'xiao'chang'jun'shi 晓畅军事
'xiao'da'zhi'yu 小大之狱
'xiao'hui'wei'bian 小惠未徧
'xiao'ran'yu'shan'shi'cao'mu'zhi'jian'zhe 潇然于山石草木之间者
'xiao'shi'tan'ji 小石潭记
'xiao'wu'jiang'xie 晓雾将歇
'xiao'xin'wei'fu 小信未孚
'xie'shu'you'chu'dong'zhi 偕数友出东直
'xie'tai'fu'han'xue'ri'nei'ji 谢太傅寒雪日内集
'xie'tian'zi'er'ling'zhu'hou 挟天子而令诸侯
'xin'le'zhi 心乐之
'xin'ran'gui'wang 欣然规往
'xin'ran'qi'xing 欣然起行
'xin'yi'zhu'yu'si'hai 信义著于四海
'xin'zhi'suo'xiang 心之所向
'xing'dao'zhi'ren'fu'shou 行道之人弗受
'xing'fu'han'shi 兴复汉室
'xing'fu'luan'qi'suo'wei 行拂乱其所为
'xing'neng'shu'yi'wen'zhe 醒能述以文者
'xing'shi'jiu 性嗜酒
'xing'shi'ri'shi'ye'er'zhi'yu'ying 行十日十夜而至于郢
'xing'shou'bing 行收兵
'xing'xing'shu'jun 性行淑均
'xing'zhe'xiu'yu'shu 行者休于树
'xing'zheng'nong 兴正浓
'xiong'nv'yue 兄女曰
'xiong'zhang 熊掌
'xiong'zi'hu'er'yue 兄子胡儿曰
'xiu'jin'jiang'yu'tian 休祲降于天
'xu'gong'bu'ruo'jun'zhi'mei'ye 徐公不若君之美也
'xu'gong'he'neng'ji'jun'ye 徐公何能及君也
'xu'pen'yi'yan 徐喷以烟
'xu'shu'jian'xian'zhu 徐庶见先主
'xu'xu'bu'zhi 絮絮不止
'xuan'quan'pu'bu 悬泉瀑布
'xuan'xian'yu'neng 选贤与能
'xue'er 学而
'xue'er'bu'si'ze'wang 学而不思则罔
'xue'er'shi'xi'zhi 学而时习之
'xun'bing'zhong 寻病终
'xun'xiang'suo'zhi 寻向所志
'yan'bing'jian 砚冰坚
'yan'di'han 燕地寒
'yan'han'zhi'le 宴酣之乐
'yan'que'an'zhi'hong'hu'zhi'zhi'zai 燕雀安知鸿鹄之志哉
'yan'ru'ye 晏如也
'yan'su'zu'jue 沿溯阻绝
'yan'xiao'bo'jing 烟消波静
'yan'zhao'han'wei'wen'zhi 燕赵韩魏闻之
'yang'cheng'ren'ye 阳城人也
'yang'cheng'zhai'shi'yun 杨诚斋诗云
'yang'er'shi'zhi'yue 仰而视之曰
'yang'xia'ren'ye 阳夏人也
'yao'bai'yu'zhi'huan 腰白玉之环
'yao'li'zhi'ci'qing'ji'ye 要离之刺庆忌也
'yao'wen'shen'xiang'zhong'quan'fei 遥闻深巷中犬吠
'ye'fang'fa'er'you'xiang 野芳发而幽香
'ye'gou'huo 夜篝火
'ye'ran'ruo'shen'ren 烨然若神人
'ye'wu'xu'xu'sheng 曳屋许许声
'yi'ba'jing'zhi'yi'ye 邑八景之一也
'yi'bi'wan'qing 一碧万顷
'yi'bi'zhi 亦毙之
'yi'bu'sha'shao'er'sha'zhong 义不杀少而杀众
'yi'bu'xiang'qi'xing'zi 亦不详其姓字
'yi'can'nian'yu'li 以残年余力
'yi'chi'chen'shou'yu'zhi'qi 已持臣守圉之器
'yi'chong'yi'wei'shou 以虫蚁为兽
'yi'ci'kua'neng 以此夸能
'yi'ci'zi'zhong 以此自终
'yi'cong'cao'wei'lin 以丛草为林
'yi'cuo'shuo'dong 一厝朔东
'yi'cuo'yong'nan 一厝雍南
'yi'da'yi'xiao 以大易小
'yi'dan'shi 一箪食
'yi'dao'pi'lang'shou 以刀劈狼首
'yi'die'wei'xie 以牒为械
'yi'dou'geng 一豆羹
'yi'duo'ying'zhe 宜多应者
'yi'er'xi'yang'zai'shan 已而夕阳在山
'yi'fu'you'si'lun'qi'xing'shang 宜付有司论其刑赏
'yi'gao'xian'di'zhi'ling 以告先帝之灵
'yi'gu'zuo'qi 一鼓作气
'yi'guang'xian'di'yi'de 以光先帝遗德
'yi'hang'you'wu'dian'ming'chu 一行有五点明处
'yi'hu'zhong'yi 宜乎众矣
'yi'ji'nu'qi'zhong 以激怒其众
'yi'jiang'sui'ru'yi'gong'qi'hou'ye 意将隧入以攻其后也
'yi'jun'wei'zhang'zhe 以君为长者
'yi'jun'zhi'li 以君之力
'yi'lang'de'gu'zhi 一狼得骨止
'yi'lang'dong'qi'zhong 一狼洞其中
'yi'lang'jing'qu 一狼径去
'yi'lang'reng'cong 一狼仍从
'yi'le'qi'zhi 以乐其志
'yi'li'san'shi 已历三世
'yi'mian'guan'tu'xian 亦免冠徒跣
'yi'mu'sheng'xian'zhi'dao 益慕圣贤之道
'yi'qi'jing'guo'qing 以其境过清
'yi'qie'wu'you 一切乌有
'yi'qin'yong'fu 以衾拥覆
'yi'qu 已去
'yi'ran'bu'dong 佁然不动
'yi'ran'zi'de 怡然自得
'yi'ren'qi'zhi 邑人奇之
'yi'ren'yi'zhuo'yi'yi'yi'shan'yi'fu'chi'er'yi 一人一桌一椅一扇一抚尺而已
'yi'ri 一日
'yi'ruo'wei'qiang'zhe 以弱为强者
'yi'sai'zhong'jian'zhi'lu'ye 以塞忠谏之路也
'yi'shang'xian'di'zhi'ming 以伤先帝之明
'yi'shi'huo'jin'su'yi'dan 一食或尽粟一石
'yi'shi'qi'fa 一时齐发
'yi'shi'ren'duo'yi'shu'jia'yu 以是人多以书假余
'yi'shi'shi'you 亦时时有
'yi'shi'suo'an 衣食所安
'yi'tai'shou 诣太守
'yi'tian'xia'zhi'suo'shun 以天下之所顺
'yi'tong'zi'shao'jiu'lu'zheng'fei 一童子烧酒炉正沸
'yi'tou'qiang'di'er 以头抢地耳
'yi'tu'li'tu'zhe'wei'qiu 以土砾凸者为丘
'yi'tu'wan'gui 一屠晚归
'yi'wang'kong'kuo 一望空阔
'yi'wei'miao'jue 以为妙绝
'yi'wo'suo'yu'ye 亦我所欲也
'yi'xia'shen 意暇甚
'yi'yi'ren'mou'ye 抑亦人谋也
'yi'yi'wan'ji 以亿万计
'yi'zhang'qi'jiu 以彰其咎
'yi'zhao'bi'xia'ping'ming'zhi'li 以昭陛下平明之理
'yi'zhe'sheng 弈者胜
'yi'zhi'niao'shou'mu'shi 以至鸟兽木石
'yi'zhong'you'zu'le'zhe 以中有足乐者
'yi'zhou'pi'bi 益州疲弊
'yi'zhou'xian'sai 益州险塞
'yi'zhuo'yi'yi'yi'shan'yi'fu'chi'er'yi 一桌一椅一扇一抚尺而已
'yi'zi'zou'shan'dao 以咨诹善道
'yin'feng'nu'hao 阴风怒号
'yin'ping'ren'yue 因屏人曰
'yin'shao'zhe'zui 饮少辄醉
'yin'shi'bai'wu'jie'bei'qiong'chang'shi 饮食百物皆倍穹常时
'yin'tian'bi'ri 隐天蔽日
'yin'tu'zhi'bei 隐土之北
'yin'yi'wei'hao'yan 因以为号焉
'yin'yu'he'wei 饮于河渭
'yin'yu'shi'yi 引喻失义
'ying'bu'shi'shang 影布石上
'ying'ren'chi'tang'wo'guan 媵人持汤沃灌
'ying'ying'cheng'yun 嘤嘤成韵
'yong'cui'yi'lu'huo 拥毳衣炉火
'yong'qi'ye 勇气也
'yong'xue 咏雪
'yong'zhe'xiao'er'ying'yue 佣者笑而应曰
'you'bei'rong'xiu 右备容臭
'you'bu'shou'zhi'ren 又不受之人
'you'chan'wei'ji 忧谗畏讥
'you'ci'guan'zhi 由此观之
'you'fu'ru'yuan'shen 又弗如远甚
'you'gong 有功
'you'he'jian'yan 又何间焉
'you'huan'wu'shuo'shi'ming'ren'yu'you 又患无硕师名人与游
'you'jia'bai'qian'qiu'jiu'sheng 又夹百千求救声
'you'jian'ling'wu'guang'zhi'ci'suo'pang'cong'ci'zhong 又间令吴广之次所旁丛祠中
