'a'bai'xi'pu'yan'nei'zhu'she'rong'ye 阿柏西普眼内注射溶液
'li'fu'mei'su 利福霉素
'li'fu'pen'ding 利福喷丁
'li'fu'ping 利福平
'li'fu'ping'di'yan'ji 利福平滴眼剂
'li'fu'ping'kou'fu'chang'shi'ji'xing 利福平口服常释剂型
'li'fu'ping'zhu'she'ji 利福平注射剂
'li'fu'xi'ming'kou'fu'chang'shi'ji'xing 利福昔明口服常释剂型
'li'fu'xi'ming'kou'fu'ye'ti'ji 利福昔明口服液体剂
'li'ge'lie'ting 利格列汀
'li'ge'lie'ting'er'jia'shuang'gua 利格列汀二甲双胍
'li'ke'jun 利可君
'li'la'lu'tai'zhu'she'ye 利拉鲁肽注射液
'li'lu'zuo 利鲁唑
'li'na'luo'tai'jiao'nang 利那洛肽胶囊
'li'nai'zuo'an 利奈唑胺
'li'nai'zuo'an'pu'tao'tang 利奈唑胺葡萄糖
'li'pei'tong'kou'fu'chang'shi'ji'xing 利培酮口服常释剂型
'li'pei'tong'kou'fu'ye'ti'ji 利培酮口服液体剂
'li'pei'tong'kou'qiang'beng'jie'pian 利培酮口腔崩解片
'li'pi'wei'lin 利匹韦林
'li'sai'lin'suan 利塞膦酸
'li'si'de'ming 利斯的明
'li'si'na'tai'zhu'she'ye 利司那肽注射液
'li'tuo'jun'kou'fu'chang'shi'ji'xing 利托君口服常释剂型
'li'tuo'jun'zhu'she'ji 利托君注射剂
'li'tuo'xi'dan'kang 利妥昔单抗
'li'xue'ping 利血平
'li'zha'qu'pu'tan 利扎曲普坦
'lian'ben'bian'zuo'ruan'gao'ji 联苯苄唑软膏剂
'lian'ben'bian'zuo'wai'yong'ye'ti'ji 联苯苄唑外用液体剂
'lian'ben'shuang'zhi'di'wan'ji 联苯双酯滴丸剂
'lian'ben'shuang'zhi'kou'fu'chang'shi'ji'xing 联苯双酯口服常释剂型
'lian'huang'jia'yang'bian'ding 联磺甲氧苄啶
'lian'mei'su 链霉素
'liang'bing'rui'lin'huan'shi'wei'qiu'zhu'she'ji 亮丙瑞林缓释微球注射剂
'liang'bing'rui'lin'wei'qiu'zhu'she'ji 亮丙瑞林微球注射剂
'lin'jia'suan'na 膦甲酸钠
'lin'jia'suan'na'lv'hua'na 膦甲酸钠氯化钠
'lin'jia'suan'na'pu'tao'tang 膦甲酸钠葡萄糖
'lin'ke'mei'su'di'er'ji 林可霉素滴耳剂
'lin'ke'mei'su'di'yan'ji 林可霉素滴眼剂
'lin'ke'mei'su'kou'fu'chang'shi'ji'xing 林可霉素口服常释剂型
'lin'ke'mei'su'zhu'she'ji 林可霉素注射剂
'lin'mei'su'an'ding'san'chun'ke'li'ji 磷霉素氨丁三醇颗粒剂
'lin'mei'su'an'ding'san'chun'kou'fu'san'ji 磷霉素氨丁三醇口服散剂
'lin'mei'su'kou'fu'chang'shi'ji'xing 磷霉素口服常释剂型
'lin'mei'su'zhu'she'ji 磷霉素注射剂
'lin'suan'ao'si'ta'wei'gan'hun'xuan'ji 磷酸奥司他韦干混悬剂
'liu'bi'li'kou'fu'chang'shi'ji'xing 硫必利口服常释剂型
'liu'bi'li'zhu'she'ji 硫必利注射剂
'liu'dai'liu'suan'na 硫代硫酸钠
'liu'dan'huang'bi'ding'kou'fu'chang'shi'ji'xing 柳氮磺吡啶口服常释剂型
'liu'dan'huang'bi'ding'shuan'ji 柳氮磺吡啶栓剂
'liu'fu'hua'liu'wei'pao 六氟化硫微泡
'liu'jia'mi'an 六甲蜜胺
'liu'niao'piao'ling 硫鸟嘌呤
'liu'pu'luo'ning'kou'fu'chang'shi'ji'xing 硫普罗宁口服常释剂型
'liu'pu'luo'ning'zhu'she'ji 硫普罗宁注射剂
'liu'ruan'gao 硫软膏
'liu'suan'bei 硫酸钡
'liu'suan'bei'xing 硫酸钡型
'liu'suan'bei'xing'guan'chang'ji 硫酸钡型灌肠剂
'liu'suan'bei'xing'kou'fu'ye'ti'ji 硫酸钡型口服液体剂
'liu'suan'mei'kou'fu'san'ji 硫酸镁口服散剂
'liu'suan'mei'na'jia'kou'fu'yong'nong'rong'ye 硫酸镁钠钾口服用浓溶液
'liu'suan'mei'zhu'she'ji 硫酸镁注射剂
'liu'suan'nian'jun'su 硫酸黏菌素
'liu'suan'xin'kou'fu'chang'shi'ji'xing 硫酸锌口服常释剂型
'liu'suan'xin'kou'fu'rong'ye'ji 硫酸锌口服溶液剂
'liu'suan'ya'tie'huan'shi'kong'shi'ji'xing 硫酸亚铁缓释控释剂型
'liu'suan'ya'tie'kou'fu'chang'shi'ji'xing 硫酸亚铁口服常释剂型
'liu'tang'lv'hun'xuan'ning'jiao'ji 硫糖铝混悬凝胶剂
'liu'tang'lv'kou'fu'chang'shi'ji'xing 硫糖铝口服常释剂型
'liu'tang'lv'kou'fu'ye'ti'ji 硫糖铝口服液体剂
'liu'xin'suan 硫辛酸
'liu'zuo'piao'ling 硫唑嘌呤
'lu'gan'shi 炉甘石
'lu'mi'song 卤米松
'lu'mi'song'san'lv'sheng 卤米松三氯生
'luo'bei'lin 洛贝林
'luo'bo 洛铂
'luo'fa'ta'ting 洛伐他汀
'luo'fen'dai'yin'huan'shi'kong'shi'ji'xing 洛芬待因缓释控释剂型
'luo'fen'dai'yin'kou'fu'chang'shi'ji'xing 洛芬待因口服常释剂型
'luo'ge'lie'tong 罗格列酮
'luo'hong'mei'su'ke'li'ji 罗红霉素颗粒剂
'luo'hong'mei'su'kou'fu'chang'shi'ji'xing 罗红霉素口服常释剂型
'luo'ku'xiu'an 罗库溴铵
'luo'mei'sha'xing 洛美沙星
'luo'mo'si'ting 洛莫司汀
'luo'nei'zhi 螺内酯
'luo'pai'ding'an'ke'li'ji 洛哌丁胺颗粒剂
'luo'pai'ding'an'kou'fu'chang'shi'ji'xing 洛哌丁胺口服常释剂型
'luo'pai'ka'yin 罗哌卡因
'luo'pi'na'wei'li'tuo'na'wei 洛匹那韦利托那韦
'luo'pi'ni'luo'huan'shi'kong'shi'ji'xing 罗匹尼罗缓释控释剂型
'luo'pi'ni'luo'kou'fu'chang'shi'ji'xing 罗匹尼罗口服常释剂型
'luo'sha'si'ta'jiao'nang 罗沙司他胶囊
'luo'suo'luo'fen'kou'fu'chang'shi'ji'xing 洛索洛芬口服常释剂型
'luo'suo'luo'fen'tie'gao'ji 洛索洛芬贴膏剂
'luo'suo'luo'fen'tie'ji 洛索洛芬贴剂
'luo'tong'ding'kou'fu'chang'shi'ji'xing 罗通定口服常释剂型
'luo'tong'ding'zhu'she'ji 罗通定注射剂
'lv'an'tong 氯胺酮
'lv'bei'ta'suo 氯倍他索
'lv'ben'na'min'kou'fu'chang'shi'ji'xing 氯苯那敏口服常释剂型
'lv'ben'na'min'zhu'she'ji 氯苯那敏注射剂
'lv'bi'ge'lei 氯吡格雷
'lv'bi'ge'lei'a'si'pi'lin'pian 氯吡格雷阿司匹林片
'lv'bing'qin'kou'fu'chang'shi'ji'xing 氯丙嗪口服常释剂型
'lv'bing'qin'zhu'she'ji 氯丙嗪注射剂
'lv'dan'ping'kou'fu'chang'shi'ji'xing 氯氮平口服常释剂型
'lv'dan'ping'kou'qiang'beng'jie'pian 氯氮平口腔崩解片
'lv'fa'qi'ming 氯法齐明
'lv'hua'gai 氯化钙
'lv'hua'hu'po'dan'jian 氯化琥珀胆碱
'lv'hua'jia'huan'shi'kong'shi'ji'xing 氯化钾缓释控释剂型
'lv'hua'jia'ke'li'ji 氯化钾颗粒剂
'lv'hua'jia'kou'fu'chang'shi'ji'xing 氯化钾口服常释剂型
'lv'hua'jia'kou'fu'rong'ye 氯化钾口服溶液
'lv'hua'jia'zhu'she'ji 氯化钾注射剂
'lv'hua'na 氯化钠
'lv'ji'ding 氯己定
'lv'jie'lin'ding 氯解磷定
'lv'kui'kou'fu'chang'shi'ji'xing 氯喹口服常释剂型
'lv'kui'na'duo'pu'luo'ci'xi 氯喹那多普罗雌烯
'lv'kui'zhu'she'ji 氯喹注射剂
'lv'lei'ta'ding'kou'fu'chang'shi'ji'xing 氯雷他定口服常释剂型
'lv'lei'ta'ding'kou'fu'ye'ti'ji 氯雷他定口服液体剂
'lv'lin'suan'er'na'kou'fu'chang'shi'ji'xing 氯膦酸二钠口服常释剂型
'lv'lin'suan'er'na'zhu'she'ji 氯膦酸二钠注射剂
'lv'mei'dian'qie'pian 铝镁颠茄片
'lv'mei'pi'lin'pian 铝镁匹林片
'lv'mei'su 氯霉素
'lv'mei'su'di'yan'ji 氯霉素滴眼剂
'lv'mi'fen 氯米芬
'lv'mi'pa'ming'kou'fu'chang'shi'ji'xing 氯米帕明口服常释剂型
'lv'mi'pa'ming'zhu'she'ji 氯米帕明注射剂
'lv'nuo'xi'kang 氯诺昔康
'lv'pu'lu'ka'yin 氯普鲁卡因
'lv'pu'sai'dun'kou'fu'chang'shi'ji'xing 氯普噻吨口服常释剂型
'lv'pu'sai'dun'zhu'she'ji 氯普噻吨注射剂
'lv'sha'tan 氯沙坦
'lv'sha'tan'qing'lv'sai'qin 氯沙坦氢氯噻嗪
'lv'tan'suan'mei'ju'jue'pian 铝碳酸镁咀嚼片
'lv'tan'suan'mei'kou'fu'chang'shi'ji'xing 铝碳酸镁口服常释剂型
'lv'xiao'xi'pan'kou'fu'chang'shi'ji'xing 氯硝西泮口服常释剂型
'lv'xiao'xi'pan'zhu'she'ji 氯硝西泮注射剂
'lv'zuo'an'fen'fen'san'pian 氯唑氨酚分散片
'lv'zuo'xi'lin 氯唑西林
'ma'ba'luo'sha'wei'pian 玛巴洛沙韦片
'ma'fei'huan'shi'kong'shi'ji'xing 吗啡缓释控释剂型
'ma'fei'kou'fu'chang'shi'ji'xing 吗啡口服常释剂型
'ma'fei'kou'fu'ye'ti'ji 吗啡口服液体剂
'ma'fei'shuan'ji 吗啡栓剂
'ma'fei'zhu'she'ji 吗啡注射剂
'ma'huang'jian 麻黄碱
'ma'huang'jian'di'bi'ji 麻黄碱滴鼻剂
'ma'lai'suan'a'fa'qu'bo'pa'pian 马来酸阿伐曲泊帕片
'ma'lai'suan'nai'la'ti'ni'pian 马来酸奈拉替尼片
'ma'lin'xiao'zuo'lv'hua'na'zhu'she'ye 吗啉硝唑氯化钠注射液
'ma'po'shang'feng'mian'yi'qiu'dan'bai 马破伤风免疫球蛋白
'ma'pu'ti'lin 马普替林
'ma'ti'mai'kao'fen'zhi'kou'fu'chang'shi'ji'xing 吗替麦考酚酯口服常释剂型
'ma'ti'mai'kao'fen'zhi'kou'fu'ye'ti'ji 吗替麦考酚酯口服液体剂
'ma'xi'teng'tan'pian 马昔腾坦片
'mai'jiao'xin'jian 麦角新碱
'mai'kao'fen'na 麦考酚钠
'mao'guo'yun'xiang'jian'di'yan'ji 毛果芸香碱滴眼剂
'mao'guo'yun'xiang'jian'kou'fu'chang'shi'ji'xing 毛果芸香碱口服常释剂型
'mao'guo'yun'xiang'jian'yan'yong'ning'jiao'ji 毛果芸香碱眼用凝胶剂
'mao'guo'yun'xiang'jian'zhu'she'ji 毛果芸香碱注射剂
'mao'tou'fu'she'xue'ning'mei 矛头蝮蛇血凝酶
'mei'fa'lun 美法仑
'mei'fen'wei'ma'pian 美酚伪麻片
'mei'jin'gang'kou'fu'chang'shi'ji'xing 美金刚口服常释剂型
'mei'jin'gang'kou'fu'rong'ye'ji 美金刚口服溶液剂
'mei'luo'pei'nan 美罗培南
'mei'luo'xi'kang 美洛昔康
'mei'luo'xi'lin 美洛西林
'mei'min'wei'ma'kou'fu'ye 美敏伪麻口服液
'mei'sha'la'qin'mei'sha'la'qin'guan'chang'ji 美沙拉秦美沙拉嗪灌肠剂
'mei'sha'la'qin'mei'sha'la'qin'huan'kong'shi'ke'li'ji 美沙拉秦美沙拉嗪缓控释颗粒剂
'mei'sha'la'qin'mei'sha'la'qin'huan'shi'kong'shi'ji'xing 美沙拉秦美沙拉嗪缓释控释剂型
'mei'sha'la'qin'mei'sha'la'qin'kou'fu'chang'shi'ji'xing 美沙拉秦美沙拉嗪口服常释剂型
'mei'sha'la'qin'mei'sha'la'qin'shuan'ji 美沙拉秦美沙拉嗪栓剂
'mei'sha'tong'kou'fu'chang'shi'ji'xing 美沙酮口服常释剂型
'mei'sha'tong'kou'fu'ye'ti'ji 美沙酮口服液体剂
'mei'si'na'mei'si'na 美司钠美司那
'mei'tuo'luo'er 美托洛尔
'mei'tuo'luo'er'huan'shi'kong'shi'ji'xing 美托洛尔缓释控释剂型
'mei'tuo'luo'er'kou'fu'chang'shi'ji'xing 美托洛尔口服常释剂型
'mei'tuo'luo'er'zhu'she'ji 美托洛尔注射剂
'mei'xi'lv 美西律
'mei'yu'wei'ma'jiao'nang 美愈伪麻胶囊
'mei'yu'wei'ma'kou'fu'rong'ye 美愈伪麻口服溶液
'men'dong'an'suan'jia'mei'kou'fu'chang'shi'ji'xing 门冬氨酸钾镁口服常释剂型
'men'dong'an'suan'jia'mei'zhu'she'ji 门冬氨酸钾镁注射剂
'men'dong'an'suan'niao'an'suan 门冬氨酸鸟氨酸
'men'dong'xian'an'mei 门冬酰胺酶
'men'dong'yi'dao'su 门冬胰岛素
'meng'lu'si'te'ju'jue'pian 孟鲁司特咀嚼片
'meng'lu'si'te'ke'li'ji 孟鲁司特颗粒剂
'meng'lu'si'te'kou'fu'chang'shi'ji'xing 孟鲁司特口服常释剂型
'meng'tuo'shi'ke'li'ji 蒙脱石颗粒剂
'meng'tuo'shi'kou'fu'san'ji 蒙脱石口服散剂
'meng'tuo'shi'kou'fu'ye'ti'ji 蒙脱石口服液体剂
'mi'an'se'lin 米安色林
'mi'da'pu'li 咪达普利
'mi'da'zuo'lun'kou'fu'chang'shi'ji'xing 咪达唑仑口服常释剂型
'mi'da'zuo'lun'zhu'she'ji 咪达唑仑注射剂
'mi'dan'bai'mei 糜蛋白酶
'mi'dan'ping 米氮平
'mi'duo'jun 米多君
'mi'fei'si'tong 米非司酮
'mi'ge'lai'ning 米格来宁
'mi'ge'lie'chun 米格列醇
'mi'ge'lie'nai'gai 米格列奈钙
'mi'ka'fen'jing 米卡芬净
'mi'kang'zuo 咪康唑
'mi'kang'zuo'shuan'ji 咪康唑栓剂
'mi'kang'zuo'yin'dao'pao'teng'pian 咪康唑阴道泡腾片
'mi'kang'zuo'yin'dao'pian 咪康唑阴道片
'mi'kang'zuo'yin'dao'ruan'jiao'nang 咪康唑阴道软胶囊
'mi'ku'lv'an 米库氯铵
'mi'la'bei'long'huan'shi'pian 米拉贝隆缓释片
'mi'li'nong 米力农
'mi'li'nong'lv'hua'na 米力农氯化钠
'mi'li'nong'pu'tao'tang 米力农葡萄糖
'mi'na'pu'lun 米那普仑
'mi'nuo'huan'su 米诺环素
'mi'qu'jun'yi'mei 米曲菌胰酶
'mi'suo'qian'lie'chun 米索前列醇
'mi'tuo'en'kun 米托蒽醌
'mi'tuo'en'kun'lv'hua'na 米托蒽醌氯化钠
'mi'tuo'en'kun'pu'tao'tang 米托蒽醌葡萄糖
'mi'zuo'li'bin 咪唑立宾
'mi'zuo'si'ting 咪唑斯汀
'mie'jun'zhu'she'yong'shui 灭菌注射用水
'mo'lei'xi'qin 莫雷西嗪
'mo'pi'luo'xing 莫匹罗星
'mo'sha'bi'li 莫沙必利
'mo'xi'sha'xing'di'yan'ji 莫西沙星滴眼剂
'mo'xi'sha'xing'kou'fu'chang'shi'ji'xing 莫西沙星口服常释剂型
'mo'xi'sha'xing'lv'hua'na 莫西沙星氯化钠
'mo'xi'sha'xing'zhu'she'ji 莫西沙星注射剂
'na'bu'fei 纳布啡
'na'ge'lie'nai 那格列奈
'na'luo'tong 纳洛酮
'na'mei'fen 纳美芬
'na'qu'gan'su'na'qu'gan'su 那屈肝素那曲肝素
'na'qu'tong 纳曲酮
'na'ta'mei'su 那他霉素
'nai'da'bo 奈达铂
'nai'ding'mei'tong 萘丁美酮
'nai'pai'di'er 萘哌地尔
'nai'pu'sheng'huan'shi'kong'shi'ji'xing 萘普生缓释控释剂型
'nai'pu'sheng'kou'fu'chang'shi'ji'xing 萘普生口服常释剂型
'nai'ti'mi'xing 奈替米星
'nai'wei'la'ping'qi'duo'la'mi'shuang'fu'ding'pian 奈韦拉平齐多拉米双夫定片
'ni'er'ci'chun 尼尔雌醇
'ni'ka'di'ping'huan'shi'kong'shi'ji'xing 尼卡地平缓释控释剂型
'ni'ka'di'ping'kou'fu'chang'shi'ji'xing 尼卡地平口服常释剂型
'ni'ka'di'ping'zhu'she'ji 尼卡地平注射剂
'ni'ke'di'er 尼可地尔
'ni'ke'sha'mi 尼可刹米
'ni'luo'ti'ni'jiao'nang 尼洛替尼胶囊
'ni'mai'jiao'lin 尼麦角林
'ni'mei'shu'li 尼美舒利
'ni'mo'di'ping'kou'fu'chang'shi'ji'xing 尼莫地平口服常释剂型
'ni'mo'di'ping'zhu'she'ji 尼莫地平注射剂
'ni'mo'si'ting 尼莫司汀
'ni'qun'di'ping 尼群地平
'ni'qun'luo'er 尼群洛尔
'nian'jun'su 黏菌素
'niao'cu'xing'su 尿促性素
'niao'ji'mei 尿激酶
'niao'su 尿素
'ning'xue'mei'san'ji 凝血酶散剂
'ning'xue'mei'wai'yong'dong'gan'zhi'ji 凝血酶外用冻干制剂
'niu'fei'biao'mian'huo'xing'ji 牛肺表面活性剂
'nong'lv'hua'na 浓氯化钠
'nuo'fu'sha'xing'di'yan'ji 诺氟沙星滴眼剂
'nuo'fu'sha'xing'kou'fu'chang'shi'ji'xing 诺氟沙星口服常释剂型
'nuo'fu'sha'xing'ruan'gao'ji 诺氟沙星软膏剂
'pa'la'mi'wei'lv'hua'na 帕拉米韦氯化钠
'pa'li'gu'hua'chun 帕立骨化醇
'pa'li'pai'tong'huan'shi'kong'shi'ji'xing 帕利哌酮缓释控释剂型
'pa'li'pai'tong'zhu'she'ji 帕利哌酮注射剂
'pa'luo'nuo'si'qiong 帕洛诺司琼
'pa'luo'xi'ting'chang'rong'huan'shi'pian 帕罗西汀肠溶缓释片
'pa'luo'xi'ting'kou'fu'chang'shi'ji'xing 帕罗西汀口服常释剂型
'pa'mi'lin'suan'er'na 帕米膦酸二钠
'pa'mi'lin'suan'er'na'pu'tao'tang 帕米膦酸二钠葡萄糖
'pa'rui'xi'bu 帕瑞昔布
'pa'si'yan'jing'dui'an'ji'shui'yang'suan'yi'yan'jing 帕司烟肼对氨基水杨酸异烟肼
'pa'tuo'zhu'dan'kang'zhu'she'ye 帕妥珠单抗注射液
'pai'bai'xi'li'jiao'nang 哌柏西利胶囊
'pai'bo'sai'qin 哌泊塞嗪
'pai'jia'zhi'huan'shi'kong'shi'ji'xing 哌甲酯缓释控释剂型
'pai'jia'zhi'kou'fu'chang'shi'ji'xing 哌甲酯口服常释剂型
'pai'jia'zhi'zhu'she'ji 哌甲酯注射剂
'pai'ku'xiu'an 哌库溴铵
'pai'kui 哌喹
'pai'la'xi'lin 哌拉西林
'pai'la'xi'lin'shu'ba'tan 哌拉西林舒巴坦
'pai'la'xi'lin'ta'zuo'ba'tan 哌拉西林他唑巴坦
'pai'luo'pi'long 哌罗匹隆
'pai'qin'ding'ji 哌嗪锭剂
'pai'qin'kou'fu'chang'shi'ji'xing 哌嗪口服常释剂型
'pai'ti'ding 哌替啶
'pai'zuo'qin 哌唑嗪
'pan'tuo'la'zuo'kou'fu'chang'shi'ji'xing 泮托拉唑口服常释剂型
'pan'tuo'la'zuo'zhu'she'ji 泮托拉唑注射剂
'pei'duo'pu'li 培哚普利
'pei'duo'pu'li'an'lv'di'ping 培哚普利氨氯地平
'pei'duo'pu'li'yin'da'pa'an 培哚普利吲达帕胺
'pei'mei'qu'sai 培美曲塞
'pei'men'dong'mei'zhu'she'ye 培门冬酶注射液
'pei'zuo'pa'ni'pian 培唑帕尼片
'pen'tuo'wei'lin 喷托维林
'pen'tuo'wei'lin'lv'hua'an'pian 喷托维林氯化铵片
'pen'tuo'wei'lin'lv'hua'an'tang'jiang 喷托维林氯化铵糖浆
'pen'xi'luo'wei'ning'jiao'ji 喷昔洛韦凝胶剂
'pen'xi'luo'wei'ruan'gao'ji 喷昔洛韦软膏剂
'peng'suan'ruan'gao'ji 硼酸软膏剂
'peng'suan'wai'yong'ye'ti'ji 硼酸外用液体剂
'peng'ti'zuo'mi 硼替佐米
'pi'fa'ta'ting 匹伐他汀
'pi'wei'xiu'an 匹维溴铵
'ping'guo'suan'nai'nuo'sha'xing'jiao'nang 苹果酸奈诺沙星胶囊
'ping'yang'mei'su 平阳霉素
'po'ni'song 泼尼松
'po'ni'song'long 泼尼松龙
'po'ni'song'long'di'yan'ji 泼尼松龙滴眼剂
'po'ni'song'long'qing'hua'po'ni'song 泼尼松龙氢化泼尼松
'po'shang'feng'kang'du'su 破伤风抗毒素
'po'shang'feng'ren'mian'yi'qiu'dan'bai 破伤风人免疫球蛋白
'pu'er'wei'ma'pian 扑尔伪麻片
'pu'fa'ta'ting 普伐他汀
'pu'la'ke'suo'huan'shi'kong'shi'ji'xing 普拉克索缓释控释剂型
'pu'la'ke'suo'kou'fu'chang'shi'ji'xing 普拉克索口服常释剂型
'pu'la'luo'fen 普拉洛芬
'pu'lu'ka'bi'li 普芦卡必利
'pu'lu'ka'yin'qing'mei'su 普鲁卡因青霉素
'pu'luo'bu'kao 普罗布考
'pu'luo'ci'xi'ruan'gao'ji 普罗雌烯软膏剂
'pu'luo'ci'xi'yin'dao'jiao'nang 普罗雌烯阴道胶囊
'pu'luo'ci'xi'yin'dao'ruan'jiao'nang 普罗雌烯阴道软胶囊
'pu'luo'dian'an 普罗碘铵
'pu'luo'pa'tong'kou'fu'chang'shi'ji'xing 普罗帕酮口服常释剂型
'pu'luo'pa'tong'zhu'she'ji 普罗帕酮注射剂
'pu'mi'tong 扑米酮
'pu'nai'luo'er'huan'shi'kong'shi'ji'xing 普萘洛尔缓释控释剂型
'pu'nai'luo'er'kou'fu'chang'shi'ji'xing 普萘洛尔口服常释剂型
'pu'nai'luo'er'zhu'she'ji 普萘洛尔注射剂
'pu'quan'nei'zhi 葡醛内酯
'pu'rui'ba'lin 普瑞巴林
'pu'rui'ba'lin'kou'fu'rong'ye 普瑞巴林口服溶液
'pu'shi'tai 普适泰
'pu'tao'tang 葡萄糖
'pu'tao'tang'kou'fu'san'ji 葡萄糖口服散剂
'pu'tao'tang'lv'hua'na 葡萄糖氯化钠
'pu'tao'tang'suan'gai'ke'li'ji 葡萄糖酸钙颗粒剂
'pu'tao'tang'suan'gai'kou'fu'chang'shi'ji'xing 葡萄糖酸钙口服常释剂型
'pu'tao'tang'suan'gai'zhu'she'ji 葡萄糖酸钙注射剂
'pu'tao'tang'suan'ti'na 葡萄糖酸锑钠
'pu'tao'tang'suan'ya'tie 葡萄糖酸亚铁
'qi'duo'fu'ding'kou'fu'ye'ti'ji 齐多夫定口服液体剂
'qi'duo'fu'ding'zhu'she'ji 齐多夫定注射剂
'qi'duo'la'mi'shuang'fu'ding 齐多拉米双夫定
'qi'fu'wan'xi'ru'rong'ye'ji 七氟烷吸入溶液剂
'qi'fu'wan'xi'ru'yong'rong'ye'ji 七氟烷吸入用溶液剂
'qi'la'xi'tong'kou'fu'chang'shi'ji'xing 齐拉西酮口服常释剂型
'qi'la'xi'tong'zhu'she'ji 齐拉西酮注射剂
'qi'ye'zao'gan'kou'fu'chang'shi'ji'xing 七叶皂苷口服常释剂型
'qi'ye'zao'gan'zhu'she'ji 七叶皂苷注射剂
'qiang'ben'huang'suan 羟苯磺酸
'qiang'bian'zuo 羟苄唑
'qiang'ding'suan'na 羟丁酸钠
'qiang'ji'niao 羟基脲
'qiang'ji'xi'shu'jian'lv'hua'na 羟基喜树碱氯化钠
'qiang'jia'zuo'lin'di'bi'ji 羟甲唑啉滴鼻剂
'qiang'jia'zuo'lin'xi'ru'ji 羟甲唑啉吸入剂
'qiang'kao'tong'huan'shi'kong'shi'ji'xing 羟考酮缓释控释剂型
'qiang'kao'tong'kou'fu'chang'shi'ji'xing 羟考酮口服常释剂型
'qiang'kao'tong'zhu'she'ji 羟考酮注射剂
'qiang'lv'kui 羟氯喹
'qiang'qin 羟嗪
'qiang'xi'shu'jian 羟喜树碱
'qiang'yi'ji'dian'fen'dian'jie'zhi 羟乙基淀粉电解质
'qing'da'mei'su'di'yan'ji 庆大霉素滴眼剂
'qing'da'mei'su'fu'mi'long 庆大霉素氟米龙
'qing'da'mei'su'kou'fu'chang'shi'ji'xing 庆大霉素口服常释剂型
'qing'da'mei'su'zhu'she'ji 庆大霉素注射剂
'qing'hao'su'lei'yao'wu 青蒿素类药物
'qing'hua'ke'di'song'kou'fu'chang'shi'ji'xing 氢化可的松口服常释剂型
'qing'hua'ke'di'song'ruan'gao'ji 氢化可的松软膏剂
'qing'hua'ke'di'song'zhu'she'ji 氢化可的松注射剂
'qing'kun 氢醌
'qing'lv'sai'qin 氢氯噻嗪
'qing'ma'fei'tong 氢吗啡酮
'qing'mei'an 青霉胺
'qing'mei'su 青霉素
'qing'mei'su'pi'shi'ji 青霉素皮试剂
'qiu'piao'ling 巯嘌呤
'qiu'shui'xian'jian 秋水仙碱
'qu'an'jia'ya'su'kou'fu'chang'shi'ji'xing 去氨加压素口服常释剂型
'qu'an'jia'ya'su'kou'fu'rong'ye 去氨加压素口服溶液
'qu'an'jia'ya'su'zhu'she'ji 去氨加压素注射剂
'qu'an'nai'de 曲安奈德
'qu'an'nai'de'xi'ru'ji 曲安奈德吸入剂
'qu'an'nai'de'yi'kang'zuo 曲安奈德益康唑
'qu'an'nai'de'zhu'she'ji 曲安奈德注射剂
'qu'an'xi'long 曲安西龙
'qu'fu'qian'lie'su 曲伏前列素
'qu'jia'shen'shang'xian'su 去甲肾上腺素
'qu'jia'wan'gu'mei'su 去甲万古霉素
'qu'ke'lu'ding'kou'fu'chang'shi'ji'xing 曲克芦丁口服常释剂型
'qu'ke'lu'ding'zhu'she'ji 曲克芦丁注射剂
'qu'ma'duo 曲马多
'qu'ma'duo'huan'shi'kong'shi'ji'xing 曲马多缓释控释剂型
'qu'ma'duo'kou'fu'chang'shi'ji'xing 曲马多口服常释剂型
'qu'ma'duo'zhu'she'ji 曲马多注射剂
'qu'mei'bu'ting 曲美布汀
'qu'mei'ta'qin'huan'shi'kong'shi'ji'xing 曲美他嗪缓释控释剂型
'qu'mei'ta'qin'kou'fu'chang'shi'ji'xing 曲美他嗪口服常释剂型
'qu'pu'li'ding 曲普利啶
'qu'pu'rui'lin 曲普瑞林
'qu'qian'lie'ni'er'zhu'she'ye 曲前列尼尔注射液
'qu'tie'an 去铁胺
'qu'tong'pian 去痛片
'qu'tuo'zhu'dan'kang 曲妥珠单抗
'qu'xi'duo'ba 屈昔多巴
'qu'yang'fu'niao'gan 去氧氟尿苷
'qu'yang'shen'shang'xian'su 去氧肾上腺素
'qu'yi'xian'mao'hua'gan 去乙酰毛花苷
'qu'zuo'tong 曲唑酮
'que'ci'chun 炔雌醇
'que'ci'chun'huan'bing'yun'tong 炔雌醇环丙孕酮
'que'nuo'tong 炔诺酮
'ren'bai'jie'su'chong'zu'ren'bai'jie'su 人白介素重组人白介素
'ren'bai'jie'su'chong'zu'ren'bai'jie'su'jiao'mu 人白介素重组人白介素酵母
'ren'gao'xue'tang'su'sheng'wu'he'cheng'gao'xue'tang'su 人高血糖素生物合成高血糖素
'ren'kuang'quan'bing'mian'yi'qiu'dan'bai 人狂犬病免疫球蛋白
'ren'mian'yi'qiu'dan'bai 人免疫球蛋白
'ren'ning'xue'mei'yuan'fu'he'wu 人凝血酶原复合物
'ren'ning'xue'yin'zi 人凝血因子
'ren'sheng'zhang'ji'su'chong'zu'ren'sheng'zhang'ji'su 人生长激素重组人生长激素
'ren'xian'wei'dan'bai'yuan 人纤维蛋白原
'ren'xue'bai'dan'bai 人血白蛋白
