'ai'guo'zhi'min 爱国治民
'zhi'bu'zhi'shang 知不知上
'zhi'chang 知常
'zhi'chang'rong 知常容
'zhi'chang'yue 知常曰
'zhi'chang'yue'ming 知常曰明
'zhi'ci'liang'zhe'yi'ji'shi 知此两者亦稽式
'zhi'da'guo 治大国
'zhi'da'xiang 执大象
'zhi'er'bu'si 直而不肆
'zhi'gu'zhi'dao 执古之道
'zhi'he'yue 知和曰
'zhi'he'yue'chang 知和曰常
'zhi'hui'chu 智慧出
'zhi'qi'bai 知其白
'zhi'qi'xiong 知其雄
'zhi'ren'shi'tian 治人事天
'zhi'ren'zhe'zhi 知人者智
'zhi'san'gong 置三公
'zhi'shui'zhi'zi 知谁之子
'zhi'tian'xia 知天下
'zhi'wo'zhe'xi 知我者希
'zhi'wu'bing 执无兵
'zhi'xu'ji 致虚极
'zhi'ye 执也
'zhi'yu'wei'luan 之于未乱
'zhi'zhe'bu'bo 知者不博
'zhi'zhe'bu'yan 知者不言
'zhi'zhe'shi'zhi 执者失之
'zhi'zhen'ruo'yu 质真若渝
'zhi'zhi'bu'dai 知止不殆
'zhi'zhi'ke'yi'bu'dai 知止可以不殆
'zhi'zhi'ye 之至也
'zhi'zu'zhe'fu 知足者富
'zhong'hua'min'zu 中华民族
'zhong'hua'min'zu'de 中华民族的
'zhong'hua'min'zu'shang'xia'ji'qian 中华民族上下几千
'zhong'ji'de'ze'wu'bu'ke 重积德则无不克
'zhong'miao'zhi'men 众妙之门
'zhong'ren'jie'you'yi 众人皆有以
'zhong'ren'jie'you'yu 众人皆有馀
'zhong'ren'xi'xi 众人熙熙
'zhong'ri'hao'er'bu'a 终日号而不嗄
'zhong'shen'bu'jiu 终身不救
'zhong'shen'bu'qin 终身不勤
'zhong'shi'wen'dao 中士闻道
'zhong'wei'qing'gen 重为轻根
'zhong'xin'zhi'bo 忠信之薄
'zhou'hang'er'bu'dai 周行而不殆
'zhou'yu'bu'zhong'ri 骤雨不终日
'zhu'cheng'san'wei'yi'ti'de 铸成三位一体的
'zhu'yao'can'zhao'le 主要参照了
'zhu'yi'ji'ping'jie 注译及评介
'zhuan'qi'zhi'rou 专气致柔
'zi'ai'bu'zi'gui 自爱不自贵
'zi'fa'zhe'wu'gong 自伐者无功
'zi'jian'zhe'bu'ming 自见者不明
'zi'jin'ji'gu 自今及古
'zi'jin'zhe'bu'chang 自矜者不长
'zi'qi 滋起
'zi'ran 自然
'zi'ran'huo'da 自然豁达
'zi'sheng'zhe'qiang 自胜者强
'zi'shi'zhe'bu'zhang 自是者不彰
'zi'sun'yi'ji'si'bu'chuo 子孙以祭祀不辍
'zi'wei'da 自为大
'zi'yi'qi'jiu 自遗其咎
'zi'zheng 自正
'zi'zhi'zhe'ming 自知者明
'zou'xiang'shi'jie 走向世界
'zu'wen 足闻
'zuo'yu'xi 作于细
