'a'fei 阿斐
'sheng'ling'jiao'guan 圣灵浇灌
'sheng'ling'lun 圣灵论
'sheng'ling'qi'di'gan'hua'nei'xin 圣灵启迪感化内心
'sheng'ling'zai'wo'men'de'xin'jian 圣灵在我们的心间
'sheng'ling'zhi'yin 圣灵指引
'sheng'lu 圣路
'sheng'ming'ce 生命册
'sheng'ming'de'fu'yin 生命的福音
'sheng'ming'de'huo'shui 生命的活水
'sheng'ming'huo'hua'yang'zi'xin'di 生命火花扬自心底
'sheng'ming'ji'kan 生命季刊
'sheng'ming'jian'zheng 生命见证
'sheng'ming'jiao'gei'ni'zuo'wang 生命交给你作王
'sheng'ming'shu 生命树
'sheng'ming'yu'ling'xiu 生命与灵修
'sheng'san'yi 圣三一
'sheng'shan 圣山
'sheng'suo 圣所
'sheng'tian 升天
'sheng'tian'jie 升天节
'sheng'tu 圣徒
'sheng'tu'bei'ti 圣徒被提
'sheng'tu'de'zhui'qiu 圣徒的追求
'sheng'ying 圣婴
'sheng'yu'si 生与死
'sheng'yue'zhi'zi 圣约之子
'sheng'zai'san'yi 圣哉三一
'sheng'zai'san'yi'ge 圣哉三一歌
'sheng'zai'sheng'ling 圣哉圣灵
'sheng'zai'sheng'zai'sheng'zai 圣哉圣哉圣哉
'sheng'zai'tian'fu 圣哉天父
'sheng'zai'ye'su 圣哉耶稣
'sheng'zhan 圣战
'sheng'zhang'ru'li'ba'nen'de'xiang'bai'shu 生长如黎巴嫩的香柏树
'sheng'zhao 圣召
'sheng'zhi'kuai'le'huo'shui'yuan'quan'tou 生之快乐活水源泉头
'sheng'zi 圣子
'sheng'zi'ye'su'dao'cheng'rou'shen 圣子耶稣道成肉身
'shi'ba 示巴
'shi'ba'nv'wang 示巴女王
'shi'ba'ren 示巴人
'shi'ban'ya 士班雅
'shi'bo'lie 示播列
'shi'chang'ban'wo'dao'zhong'shen 时常伴我到终身
'shi'da'you'wei'yan'de'shen 是大有威严的神
'shi'di'fa'sheng'nen'cao 使地发生嫩草
'shi'di'shang'fa'ya'jie'shi 使地上发芽结实
'shi'ding'qing'zhen'si 石顶清真寺
'shi'en 施恩
'shi'en'yu'zhong'zi'min 施恩与众子民
'shi'en'zuo 施恩座
'shi'er'ge'zhi'pai 十二个支派
'shi'er'men'tu 十二门徒
'shi'er'shi'tu'ge'song'tong'sheng 十二使徒歌颂同声
'shi'fa 示法
'shi'fei'la 示非拉
'shi'feng 事奉
'shi'fu'la 施弗拉
'shi'ge 诗歌
'shi'ge'yi'qian'ling'wu'shou 诗歌一千零五首
'shi'ge'zai'hai 十个灾害
'shi'ge'zhi'hui'shu 诗歌智慧书
'shi'gong 事工
'shi'hou'shi'he'deng'de'duan'shao 时候是何等的短少
'shi'ji 市集
'shi'ji'wa 士基瓦
'shi'jia'ni'da'wei'jia'zhi'shou 示迦尼大卫家之首
'shi'jia'ni'ye'li'zhi'zi 示迦尼耶利之子
'shi'jian 示剑
'shi'jiao'ao'ren'shou'ying'de'de'bao'ying 使骄傲人受应得的报应
'shi'jie 世界
'shi'jie 十诫
'shi'jie'bu'neng'zu'dang'ta'de'ai 世界不能阻挡他的爱
'shi'jie'he'qi'zhong'suo'chong'man'de 世界和其中所充满的
'shi'jie'hun'luan'ren'xin'huang'huang 世界混乱人心惶惶
'shi'jie'jiu'jian'ding'bu'de'dong'yao 世界就坚定不得动摇
'shi'jie'ming'guang'qu'san'hei'an 世界明光驱散黑暗
'shi'jin'yue'han 施浸约翰
'shi'jing'xue 释经学
'shi'jiu'zhu 是救主
'shi'kan'e'ren'yin'jian'e'er'qu'lao 试看恶人因奸恶而劬劳
'shi'kong'bu'neng'ge'jue'ta'de'ai 时空不能隔绝他的爱
'shi'la 示拉
'shi'lian 试炼
'shi'liu'shi'ji'ge'ming 十六世纪革命
'shi'luo 示罗
'shi'luo'mi 示罗密
'shi'luo'ren 示罗人
'shi'luo'ren'xian'zhi'ya'xi'ya 示罗人先知亚希雅
'shi'ma 示玛
'shi'ma'ya'di'lai'ya'zhi'zi 示玛雅第来雅之子
'shi'ma'ya'shi'ba'ni'zhi'zi 示玛雅示巴尼之子
'shi'ma'ya'xian'zhi 示玛雅先知
'shi'mei 示每
'shi'mei'bian'ya'min'ren 示每便雅悯人
'shi'mei'ji'shi'zhi'zi 示每基士之子
'shi'mei'na 示每拿
'shi'mi'ya 示米亚
'shi'na 示拿
'shi'na 示纳
'shi'na'di 示拿地
'shi'na'sa 示拿萨
'shi'na'wang 示拿王
'shi'ni'bao'zuo'de'gen'ji 是你宝座的根基
'shi'ni'de'dao'lu'zai'wo'mian'qian'zheng'zhi 使你的道路在我面前正直
'shi'ni'er 示尼珥
'shi'ni'zuo'gong'shun'li 使你作工顺利
'shi'pian 诗篇
'shi'pian'di'ba'shi'ba'pian 诗篇第八十八篇
'shi'pian'di'ba'shi'jiu'pian 诗篇第八十九篇
'shi'pian'di'jiu'shi'jiu'pian 诗篇第九十九篇
'shi'pian'di'san'shi'san'pian 诗篇第三十三篇
'shi'pian'jiu'shi'ba'pian 诗篇九十八篇
'shi'pian'san'shi'er'pian 诗篇三十二篇
'shi'qi'keng 石漆坑
'shi'qiu'bao'luo 士求保罗
'shi'qu'de'yang 失去的羊
'shi'ren'dou'you'zui 世人都有罪
'shi'ren'gui'zheng 使人归正
'shi'ren'huan'song'zhu'sheng'ming 世人欢颂主圣名
'shi'sa 示撒
'shi'sha'ke 示沙克
'shi'shang'de'jun'wang'yi'qi'qi'lai 世上的君王一齐起来
'shi'shang'de'zhi'hui 世上的智慧
'shi'she 施舍
'shi'sheng'ming 是生命
'shi'shi 士师
'shi'shi'ji 士师记
'shi'shi'kan'gu 时时看顾
'shi'shui'liu'cheng'he 使水流成河
'shi'su'zhu'yi 世俗主义
'shi'ta'bao'zuo'de'gen'ji 是他宝座的根基
'shi'ta'de'bao'zhang'bian'wei'huang'chang 使他的保障变为荒场
'shi'ta'de'bao'zuo'ru'tian'zhi'jiu 使他的宝座如天之久
'shi'ta'de'hou'yi'cun'dao'yong'yuan 使他的后裔存到永远
'shi'tan 试探
'shi'tu 使徒
'shi'tu'xing'zhuan 使徒行传
'shi'wo'bu'hui'zai'tui'suo 使我不会再退缩
'shi'wo'bu'zhi'xiu'kui 使我不至羞愧
'shi'wo'chang'ye'bian'cheng'bai'zhou 使我长夜变成白昼
'shi'wo'de'an'ning'jie'jing'wo'xin'ling 使我得安宁洁净我心灵
'shi'wo'de'fu'fen'zhi'dao'yong'yuan 是我的福分直到永远
'shi'wo'de'rong'yao 是我的荣耀
'shi'wo'de'rong'yao'gui'yu'hui'chen 使我的荣耀归于灰尘
'shi'wo'de'shan'zhai'shi'wo'de'shen 是我的山寨是我的神
'shi'wo'de'yi'yong'gan'xiang'qian'xing 使我得以勇敢向前行
'shi'wo'hei'an'bian'cheng'guang'ming 使我黑暗变成光明
'shi'wo'jian'kang'wan'zheng 使我健康完整
'shi'wo'jie'bai'ru'xue 使我洁白如雪
'shi'wo'jin'sheng'song'yang'de 是我今生颂扬的
'shi'wo'men'de'sheng 使我们得生
'shi'wo'meng'zhu'hong'en 使我蒙主宏恩
'shi'wo'neng'cheng'wei 使我能成为
'shi'wo'neng'gou'zun'xing'ni'zhi'yi 使我能够遵行你旨意
'shi'wo'sheng'ming 使我生命
'shi'wo'suo'ren'shi'de'ren 使我所认识的人
'shi'wo'suo'yi'kao'de 是我所倚靠的
'shi'wo'wei'ta'men'suo'zeng'wu 使我为他们所憎恶
'shi'wu'chan'shen 世务缠身
'shi'xi'yue'han 施洗约翰
'shi'xi'yue'han'de'fu'qin 施洗约翰的父亲
'shi'xi'zai'jin'zai'yong'zai'de'shen 是昔在今在永在的神
'shi'xin'fu 是新妇
'shi'xing'gong'ping'he'gong'yi 施行公平和公义
'shi'xing'jiu'en 施行救恩
'shi'xing'qi'miao'li 施行奇妙力
'shi'ya'ya'shu 施亚雅述
'shi'yi'feng'xian 十一奉献
'shi'ying'dang'cheng'song'de 是应当称颂的
'shi'yu'zhong 始与终
'shi'zai 虱灾
'shi'zan'mei'zhi'quan 使赞美之泉
'shi'zheng'jiu'wo'de'pan'shi 是拯救我的磐石
'shi'zhong'min'de'si'nian'wu'you'gong'xiao 使众民的思念无有功效
'shi'zhu 是主
'shi'zhu'sheng'dao'zhen'xing 使主圣道振兴
'shi'zhu'tai'chu'chuang'zao'cheng'ji 是主太初创造成绩
'shi'zi 狮子
'shi'zi'jia 十字架
'shi'zi'jia'fu'yin'yu'xian'dai'ren 十字架福音与现代人
'shi'zi'jia'shang'guang'mang 十字架上光芒
'shou'cang'shen'yang'zai'ku'fang 收藏深洋在库房
'shou'ci'fu'huo 首次复活
'shou'gao 受膏
'shou'ge 收割
'shou'ge'li 受割礼
'shou'jie'xin'qing 手洁心清
'shou'jin 受浸
'shou'ku 受苦
'shou'nan'jie 受难节
'shou'nan'zhou 受难周
'shou'shi'can'gu 收拾残谷
'shou'shi'tan 受试探
'shou'shi'yan 受试验
'shou'wang'de'ren 守望的人
'shou'wang'zhi'shi'sheng'jie'tian'jun 守望之使圣洁天军
'shou'xi 受洗
'shou'zao'zhong'ren'you'shen'xing'xiang 受造众人有神形象
'shou'zhi'hui 受智慧
'shu'dian'bai'xing 数点百姓
'shu'er 书珥
'shu'er'de'kuang'ye 书珥的旷野
'shu'ge 疏割
'shu'ge'gu 疏割谷
'shu'han 书含
'shu'hu'xue'qi 属乎血气
'shu'hui'de'ming'zi 赎回的名字
'shu'ji 书记
'shu'jia 赎价
'shu'la'mi'nv 书拉密女
'shu'ling 属灵
'shu'ling'de 属灵的
'shu'nian 书念
'shu'nian'ren 书念人
'shu'qian'ji 赎愆祭
'shu'qin 竖琴
'shu'rou'ti 属肉体
'shu'shan 书珊
'shu'sheng'ming 赎生命
'shu'shi 术士
'shu'shuo'ni'de'ci'ai 述说你的慈爱
'shu'shuo'ni'de'ci'ai'ma 述说你的慈爱吗
'shu'shuo'ni'de'xin'shi 述说你的信实
'shu'shuo'ni'de'xin'shi'ma 述说你的信实吗
'shu'shuo'ta'de'zuo'wei 述说祂的作为
'shu'ya 书亚
'shu'yan'ji 赎衍祭
'shu'zhu'de'min 属主的民
'shu'zui 赎罪
'shu'zui'ji 赎罪祭
'shu'zui'ri 赎罪日
'shu'zui'yin 赎罪银
'shuang'sheng'zi 双生子
'shui'bian'xue'zhi'zai 水变血之灾
'shui'gu 水臌
'shui'ken'wei'wo'qi'lai 谁肯为我起来
'shui'ken'wei'wo'zhan'qi 谁肯为我站起
'shui'li 税吏
'shui'men 水门
'shui'neng'chang'huo'mian'si 谁能常活免死
'shui'neng'xiang'ni 谁能像你
'shui'neng'xiang'ni'bai'shang'ni'zi'ji 谁能像你摆上你自己
'shui'neng'xiang'ni'cheng'dan'wo'you'lv 谁能像你承担我忧虑
'shui'neng'xiang'ni'qin'ai'zhu'ye'su 谁能像你亲爱主耶稣
'shui'neng'xiang'ye'he'hua 谁能象耶和华
'shui'neng'xiang'ye'he'hua'ne 谁能象耶和华呢
'shui'neng'zhi'shi'wo'men'shen'me'hao'chu 谁能指示我们什么好处
'shui'shuo'ceng'jing'shou'shang'de'chi'bang 谁说曾经受伤的翅膀
'shui'shuo'chen'shui'yi'jiu'de'hua'lei 谁说沉睡已久的花蕾
'shui'shuo'han'dong'zhi'hou'de'da'di 谁说寒冬之后的大地
'shun'fu 顺服
'shuo'bi 朔比
'shuo'fa 朔法
'shuo'fang'yan 说方言
'shuo'you'jiu'you'ming'li'jiu'li 说有就有命立就立
'shuo'yu'yan 说预言
'si'bu'zhen 司布真
'si'de'xiang 死的象
'si'de'xing'fa 死的刑法
'si'duo'ge'zhu'yi 斯多葛主义
'si'duo'ya'pai 斯多亚派
'si'duo'ya'zhu'yi 斯多亚主义
'si'gao'yi'ben 思高译本
'si'ge'qi'ma'zhi'ren 四个骑马之人
'si'gu'da 斯古大
'si'hai 死海
'si'hai'gu'juan 死海古卷
'si'hu'shi'yi'sha'de'ren 似乎是已杀的人
'si'lan 汜滥
'si'li'fu'huo 死里复活
'si'lie 撕裂
'si'qin 司琴
'si'ren 死人
'si'shan 斯山
'si'shi 四十
'si'suo 思索
'si'ti'fan 司提反
'si'wang 死亡
'si'wang'yi'sheng'guo'ha'li'lu'ya 死亡已胜过哈利路亚
'si'xia'hai'tong'xian'xiao'rong 四下孩童现笑容
'si'xing 死刑
'si'xing'de'xing'shi 死刑的形式
'si'xun'zhai 四旬斋
'si'yin'you'gu'yi'lu'you 死阴幽谷一路有
'song'shang'jie 宋尚节
'song'sheng'huan'ru'dai 颂声环如带
'song'zan'rong'yao'rong'yao 颂赞荣耀荣耀
'song'zan'shang'di'gong'de'wu'bian 颂赞上帝功德无边
'song'zan'sheng'jie'sheng'jie 颂赞圣洁圣洁
'song'zhu'en'guang'ge 颂主恩光歌
'song'zhu'hua'gong'ge 颂主化功歌
'song'zhu'rong'guang'yong'shi'wu'jin 颂主荣光永世无尽
'song'zhu'wu'bian'ci'ai 颂主无边慈爱
'su'bu'jin'zui'shen'de'bei'ai 诉不尽最深的悲哀
'su'ji 素祭
'su'ji'ren 苏基人
'su'lie 苏列
'su'shuo'ni'wo'de'yue'ding 诉说你我的约定
'su'xi'ren 苏西人
'su'ying'zhi 苏颖智
'sui'cong'zhong'tian'jun 随从众天军
'sui'feng'yang'qi'bian'zhi'mei'li'de'meng 随风扬起编制美丽的梦
'sui'jing'li'shui'huo 虽经历水火
'sui'ran'ta'men'bu'fa'sheng'yin 虽然他们不发声音
'sui'ran'ta'men'qian'xu'gong'jing 虽然他们谦虚恭敬
'sui'ran'wo'de'rou'ti'he 虽然我的肉体和
'sui'ran'xiao'yu'sa'zai'ni'lian'shang 虽然小雨洒在你脸上
'sui'shi'de'bang'zhu 随时的帮助
'sui'you'cheng'wan'de'bai'xing'lai'zhou'wei'gong'ji'wo 虽有成万的百姓来周围攻击我
'sui'you'qian'ren'pu'dao'zai'ni'pang'bian 虽有千人仆倒在你旁边
'sui'yu'dao'feng'ju'tian 虽遇到风飓天
'sui'zhu'yin'ling'bu'lv'wen'dang 随主引领步履稳当
'suo'an 琐安
'suo'ba 琐巴
'suo'ba'ren 琐巴人
'suo'ba'ren'na'dan'de'er'zi'yi'jia 琐巴人拿单的儿子以甲
'suo'ba'te 所巴特
'suo'ba'wang 琐巴王
'suo'ba'wang'ha'da'di'xie 琐巴王哈大底谢
'suo'chong'man'de'peng'pai 所充满的澎湃
'suo'dang'de'de'rong'yao'gui'gei'ta 所当得的荣耀归给他
'suo'duo'ma 所多玛
'suo'er 琐珥
'suo'fa 琐法
'suo'fa'de'ci'ai 所发的慈爱
'suo'gao 所膏
'suo'ge 梭哥
'suo'ge'he'xi'fu'quan'di 梭哥和希弗全地
'suo'huai'de'shi'du'hai 所怀的是毒害
'suo'la 琐拉
'suo'lie'gu 梭烈谷
'suo'luo'ba'bo 所罗巴伯
'suo'luo'men 所罗门
'suo'luo'men'de'er'zi'luo'bo'an 所罗门的儿子罗波安
'suo'luo'men'de'nv'er'ba'shi'mo 所罗门的女儿巴实抹
'suo'luo'men'de'nv'er'ta'fa 所罗门的女儿他法
'suo'ping'de'xin'shi 所凭的信实
'suo'sheng'de'shi'xu'jia 所生的是虚假
'suo'ti'ni 所提尼
'suo'xi'ba'te 所西巴特
'suo'xi'lie 琐希列
'suo'xi'lie'pan'shi 琐希列磐石
'suo'xia 琐辖
'suo'you'de 所有的
'suo'you'de'dou'huan'le 所有的都欢乐
'ta'ai'lian'pu'shi 他爱怜普世
'ta'bao'hu'sheng'min'de'xing'ming 他保护圣民的性命
'ta'ben'wei'sheng 他本为圣
'ta'bi'dai'ling'xuan'min'huan'hu'xiang'qian 祂必带领选民欢呼向前
'ta'bi'jiu'ni'tuo'li 他必救你脱离
'ta'bi'le 他比勒
'ta'bi'xiang'ri'chu'de'chen'guang 他必象日出的晨光
'ta'bi'yao'kan'gu'ni 他必要看顾你
'ta'bie 他别
'ta'bo'he'hei'men 他泊和黑门
'ta'bo'li'men 他伯利们
'ta'bo'li'men'de'er'zi'bian'ha'da 他伯利们的儿子便哈达
'ta'bo'shan 他泊山
'ta'bu'man'guo'rao'zhe'wo 它不漫过绕着我
'ta'chao'hu'wan'min'zhi'shang 他超乎万民之上
'ta'cheng'wei'lin'bang'de'xiu'ru 他成为邻邦的羞辱
'ta'cong'shen'er'lai 他从神而来
'ta'cong'si'li'fu'huo 他从死里复活
'ta'da'er'ke'wei'de'ming 他大而可畏的名
'ta'dai'zhe'zhu'ai'de'li'liang 它带着主爱的力量
'ta'de'ai'qu'zou'you'chou'bei'ai 他的爱驱走忧愁悲哀
'ta'de'ai'sheng'guo'si'wang'yin'mai 他的爱胜过死亡阴霾
'ta'de'bai'xing 他的百姓
'ta'de'bao'zuo'zai'wo'mian'qian 他的宝座在我面前
'ta'de'cheng'shi'shi'da'xiao'de'dun'pai 他的诚实是大小的盾牌
'ta'de'ci'ai'cun'dao'yong'yuan 他的慈爱存到永远
'ta'de'hou'yi'yao'cun'dao'yong'yuan 他的后裔要存到永远
'ta'de'jiao'bi'bei'gao'ju 他的角必被高举
'ta'de'qiang'bao'bi'luo'dao'ta'zi'ji'de'nao'dai'shang 他的强暴必落到他自己的脑袋上
'ta'de'shan'dian'guang'zhao'shi'jie 他的闪电光照世界
'ta'de'sheng'ming 他的圣名
'ta'de'xin'shi'zhi'dao'wan'dai 他的信实直到万代
'ta'de'you'shou'he'sheng'bi 他的右手和圣臂
'ta'dei'bu'zhao'shen'de'bang'zhu 他得不着神的帮助
'ta'fa 他法
'ta'fa'guang'hui'zhao'bian'wan'lei 他发光辉照遍万类
'ta'ge'men'ren 他革扪人
'ta'ge'men'ren'yue'she'ba'she 他革扪人约设巴设
'ta'gei'wo'xin'you'ping'jing 他给我心有平静
'ta'ha 他哈
'ta'han 他罕
'ta'hui'ban'wo'tong'hang 他会伴我同行
'ta'hui'yu'wo'ning'di 他会与我泞地
'ta'jiang'lie'guo'de'di'ci'gei'wo'men 祂将列国的地赐给我们
'ta'jiu'cong'ta'de'sheng'shan'shang'ying'yun'wo 他就从他的圣山上应允我
'ta'jiu'ying'yun'ta'men 他就应允他们
'ta'ju'ji'hai'shui'ru'lei 他聚集海水如垒
'ta'kan'jian'yi'qie'de'shi'ren 他看见一切的世人
'ta'la 他拉
'ta'lai'yao'shen'pan'quan'di 他来要审判全地
'ta'le'mu 他勒目
'ta'li'ya 他利亚
'ta'lian'de 他连得
'ta'lian'de'yin'zi 他连得银子
'ta'ma 他玛
'ta'ma'tai 挞马太
'ta'mai 挞买
'ta'men'da'jia'ju'ji'gong'ji'yi'ren 他们大家聚集攻击义人
'ta'men'dang'cheng'zan 他们当称赞
'ta'men'de'zui'nie 他们的罪孽
'ta'men'nian'lao'de'shi'hou 他们年老的时候
'ta'men'qiang'ya'ni'de'bai'xing 他们强压你的百姓
'ta'men'qiu'gao'ye'he'hua 他们求告耶和华
'ta'men'sha'si'gua'fu'he'ji'ju'de 他们杀死寡妇和寄居的
'ta'men'shi'ni'bu'zai'ji'nian'de 他们是你不再记念的
'ta'men'shuo'ye'he'hua'bi'bu'kan'jian 他们说耶和华必不看见
'ta'men'yao'yong'shou'tuo'zhe'ni 他们要用手托着你
'ta'men'yin'ni'de'ming'zhong'ri'huan'le 他们因你的名终日欢乐
'ta'men'zai'yu'ye'he'hua'de'dian'zhong 他们栽于耶和华的殿中
'ta'men'zheng'zai'xing'e'zhi'zhong 他们正在行恶之中
'ta'men'zun'shou'ta'de'fa'du'he 他们遵守他的法度和
'ta'ming'ling'kuang'feng'zhi'xi 祂命令狂风止息
'ta'na 他纳
'ta'na'he'mi'ji'duo 他纳和米吉多
'ta'pu'ya 他普亚
'ta'pu'zhang'yun'cai'dang'zhe'gai 祂铺张云彩当遮盖
'ta'qi'bu'wei'wo'cheng'jiu'ma 他岂不为我成就吗
'ta'ren'de'shen'ji 他人的神迹
'ta'reng'shi'ke'xin'de 他仍是可信的
'ta'ruo'qiu'gao'wo'wo'jiu'ying'yun'ta 他若求告我我就应允他
'ta'she'zi'ji'zuo'wan'ren'de'shu'jia 他舍自己作万人的赎价
'ta'shi 他施
'ta'shi'na'zao'cheng'ta'men'zhong'ren'xin 他是那造成他们众人心
'ta'shi'pei'de'ge'song'yu'zan'mei 他是配得歌颂与赞美
'ta'shi'si 他施斯
'ta'shi'wo'de'bi'nan'suo 他是我的避难所
'ta'shi'wo'de'pan'shi 他是我的磐石
'ta'shi'wo'men'de'bang'zhu 他是我们的帮助
'ta'suo'ci'gei'ta'men'de'lv'li 他所赐给他们的律例
'ta'suo'jian'xuan'wei'zi'ji'chan'ye'de 他所拣选为自己产业的
'ta'suo'she'de'shi'huo'jian 他所射的是火箭
'ta'ti'su'shi 他提苏施
'ta'ting'he'shi 他停合示
'ta'wei'lan 他伟兰
'ta'wei'wo'bai'she'yan'xi 祂为我摆设筵席
'ta'xi'ai'ren'yi'gong'ping 他喜爱仁义公平
'ta'xia 他辖
'ta'xin'zhong'de'si'nian'wan'dai'chang'cun 他心中的思念万代常存
'ta'yao'an'gong'yi'shen'pan'shi'jie 他要按公义审判世界
'ta'yao'an'gong'zheng'shen'pan'zhong'min 他要按公正审判众民
'ta'yao'cheng'hu'wo'shuo 他要称呼我说
'ta'yao'jian'chu'ta'men 他要剪除他们
'ta'yao'wei'ni'fen'fu'ta'de'shi'zhe 他要为你吩咐他的使者
'ta'yao'xiang'yi'ke'shu'zai'zai'xi'shui'pang 他要像一棵树栽在溪水旁
'ta'ye'bi'bu'ren'wo'men 他也必不认我们
'ta'yi'cheng'gong'jiu'shu 他已成功救赎
'ta'yu'bei'le'ju'suo'zai'tian'shang 他预备了居所在天上
'ta'zai'gan'han'zhi'chu 祂在干旱之处
'ta'zai'ji'nan'zhong 他在急难中
'ta'zai'sheng'zhe'de'hui'zhong 他在圣者的会中
'ta'zai'wan'shen'zhi'shang 他在万神之上
'ta'zai'yun'zhu'zhong 他在云柱中
'ta'zao'ri'yue'bian'di'liang'guang 他造日月遍地亮光
'ta'zhang'kai'shuang'shou 祂张开双手
'ta'zheng'jiu'xin'li'zheng'zhi'de'ren 他拯救心里正直的人
'ta'zhou'wei'wu'shu'xing'chen 她周围无数星辰
'ta'zuo'zai'er'ji'lu'bo'shang 他坐在二基路伯上
'ta'zuo'zhen'yan'san'qian'ju 他作箴言三千句
'tai'luo'bo'en'gu 泰罗波恩谷
'tai'ni'si 泰尼斯
'tai'yang'song 太阳颂
'tai'yue'gui 抬约柜
'tan'ai 贪爱
'tan'cai'shi'wan'e'zhi'gen 贪财是万恶之根
'tan'de'qiao'miao'sheng'yin'hong'liang 弹得巧妙声音洪亮
'tan'lan 贪婪
'tan'lian 贪恋
'tan'qin'ge'chang'zan'mei'ni 弹琴歌唱赞美你
'tan'shi 贪食
'tan'xiang'mu 檀香木
'tan'zi 探子
'tang'chong'huai 唐崇怀
'tang'chong'rong 唐崇荣
'tang'hui 堂会
'tang'ruo'ta'de'zi'sun 倘若他的子孙
'tang'zai'fen'mu 躺在坟墓
'tao'cheng 逃城
'te'bi 特庇
'te'bie'qi'shi 特别启示
'te'ha'jia 特哈加
'te'la 特拉
'te'luo'fei'mo 特罗非摩
'te'luo'ya 特罗亚
'te'mi'la 特米拉
'te'tu'liang 特土良
'te'wa 特瓦
'te'wei'kai'dao'bing'zhao'liang 特为开导并照亮
'te'xi'ya 特西亚
'te'zheng 特征
'ti'a'fei'luo 提阿非罗
'ti'ba 提八
'ti'bei'si 提备斯
'ti'bi'li 提庇哩
'ti'bi'li'ya'cheng'shi 提庇哩亚城市
'ti'bi'li'ya'hai 提庇哩亚海
'ti'bi'liu'wang 提比留王
'ti'bi'ni 提比尼
'ti'da 提达
'ti'da'zuo'ge'yin'wang 提达作戈印王
'ti'duo 提多
'ti'duo'shu 提多书
'ti'duo'you'shi'dou 提多犹士都
'ti'fei'sa 提斐萨
'ti'fu'sa 提弗萨
'ti'fu'sa'zhi'dao'jia'sa 提弗萨直到迦萨
'ti'ge'la'pi'lie'se'san'shi 提革拉毗列色三世
'ti'ge'ya 提歌亚
'ti'ge'ya'ren 提哥亚人
'ti'hou 提后
'ti'la 提拉
'ti'ma 提玛
'ti'mo'tai 提摩太
'ti'mo'tai'hou'shu 提摩太后书
'ti'mo'tai'qian'shu 提摩太前书
'ti'qian 提前
'ti'si'bi'ren'yi'li'ya 提斯比人以利亚
'ti'si'li'yue 提斯利月
'ti'tie'wo'ruan'ruo 体贴我软弱
'ti'zhi'yu'gui'ding 体制与规定
'tian'di'fan'ying'zhu'guang'ming 天地反映主光明
'tian'fu'kan'gu'ge 天父看顾歌
'tian'guo 天国
'tian'hou 天后
'tian'jian'wu'gu'yuan'zhong'bai'hua 田间五谷园中百花
'tian'jun'xiang'ni'qu'xi 天军向你屈膝
'tian'kong'hui'yao'pu'zhao'shi'chen 天空辉耀普照世尘
'tian'lai'zhi'yin 天籁之音
'tian'lu'ke 天路客
'tian'lu'li'cheng 天路历程
'tian'ren'kou'bai'tong'xin 天人叩拜同心
'tian'shang'de 天上的
'tian'shang'de'gan'lu 天上的甘露
'tian'shang'de'guo'du'shi'wo'de'jia'xiang 天上的国度是我的家乡
'tian'shang'kuai'le'zhong'jun 天上快乐众军
'tian'shang'san'guang'pu'zhao'ren'jian 天上三光普照人间
'tian'shi 天使
'tian'shi'zai'tian'shang'ge'song'sheng'bu'xi 天使在天上歌颂声不息
'tian'shu'ni'di'ye'shu'ni 天属你地也属你
'tian'tang 天堂
'tian'tang'zai'wo'xin 天堂在我心
'tian'tian'chuan'yang'ta'de'jiu'en 天天传扬他的救恩
'tian'xia'sheng'ling'you'zhu'er'lai 天下生灵由主而来
'tian'zhen'liu'lu'yue'yin'zhong 天真流露乐音中
'tian'zhong'de'bai'lu'si 田中的白鹭丝
'tian'zhu'jiao 天主教
'tie'hou 帖后
'tie'jia 铁甲
'tie'qi 铁器
'tie'qian 帖前
'tie'sa'luo'ni'jia 帖撒罗尼迦
'tie'sa'luo'ni'jia'hou'shu 帖撒罗尼迦后书
'tie'sa'luo'ni'jia'hou'shu 贴撒罗尼迦后书
'tie'sa'luo'ni'jia'qian'shu 帖撒罗尼迦前书
'tie'tu'luo 帖土罗
'ting'cong'yu'shun'fu 听从与顺服
'ting'dao'shu'chan'zai'yin'shi 听到树蝉在吟诗
'ting'na 亭拿
'ting'na 亭纳
'ting'na'ting'na'tian'shi'wei'wo'huan'hu 听哪听哪天使为我欢呼
'ting'na'xi'la 亭拿西拉
'tong'da'de'dao'lu 通达的道路
'tong'fa'guang'ming'ping'tian'ye'se 同发光明平添夜色
'tong'hai 铜海
'tong'hun 通婚
'tong'ji'tan 铜祭坛
'tong'jiang'ya'li'shan'da 铜匠亚力山大
'tong'lai'cheng'yang'shang'zhu 同来称扬上主
'tong'mu'tian'fu'shen'en 同沐天父深恩
'tong'nv 童女
'tong'sheng'song'zhu'ming 同声颂主名
'tong'shi'huo'po'fu'tian'zhen 童时活泼富天真
'tong'shuan 铜闩
'tong'wo'xiang'zuo'ban 同我相作伴
'tong'xi'zhuo'pen 铜洗濯盆
'tong'xiang'shen'sheng'da'huan'xin 同享神圣大欢欣
'tong'xin'tong'yi'gan'xie'zhen'shen 同心同意感谢真神
'tong'yang'wan'quan'shen'sheng 同样完全神圣
'tong'zhi'shi'jian'wan'wu 统治世间万物
'tong'zhu 铜柱
'tou'kao'ye'he'hua 投靠耶和华
'tou'kao'zai'ta'de'chi'bang'di'xia 投靠在他的翅膀底下
'tou'sheng'de 头生的
'tu'ba 土巴
'tu'ba'gai'yin 土八该隐
'tu'er'qi 土耳其
'tu'fei'na 土非拿
'tu'fu'sa 土富撒
'tu'tan'ha'mu 屠坦哈穆
'tu'xi'la 土西拉
'tuan'qi 团契
