'a'er'ji'li'ya 阿尔及利亚
'ri'ban 日班
'ri'chang'jue'ce 日常决策
'ri'chang'wei'hu'zhi'dao'shu 日常维护指导书
'ri'cheng'an'pai 日程安排
'ri'ji'zhang 日记帐
'ri'ji'zhang'fen'lu 日记帐分录
'ri'ji'zhang'fen'lu'biao'ti 日记帐分录标题
'ri'ji'zhang'fen'lu'fen'lei 日记帐分录分类
'ri'ji'zhang'fen'lu'lai'yuan 日记帐分录来源
'ri'ji'zhang'fen'lu'lan'mu 日记帐分录栏目
'ri'ji'zhang'hui'zong 日记账汇总
'ri'ji'zhang'ming'xi'biao 日记帐明细表
'ri'ji'zhang'yin'ru 日记帐引入
'ri'jie 日结
'ri'jie'xian 日界线
'ri'li'shi'tu 日历视图
'ri'li'tian 日历天
'ri'liu'liang'yu'mang'shi'liu'liang'bi 日流量与忙时流量比
'ri'mo'yu'e 日末余额
'ri'qi'cha'bie 日期差别
'ri'qi'ge'shi 日期格式
'ri'qi'he'shi'jian 日期和时间
'ri'qi'shi'jian'zu 日期时间组
'ri'qing'ri'jie 日清日结
'ri'shi'jian 日时间
'ri'zhi 日志
'ri'zhi'fu'wu 日志服务
'ri'zhi'guan'li 日志管理
'ri'zhi'wen'jian 日志文件
'rong'cha'shui'ping 容差水平
'rong'cuo 容错
'rong'cuo'te'xing 容错特性
'rong'cuo'xing 容错性
'rong'duan'dian'zu'qi 熔断电阻器
'rong'duan'he 熔断盒
'rong'he'ji'fei 融合计费
'rong'he'ji'fei'dai'li 融合计费代理
'rong'he'ji'fei'dian 融合计费点
'rong'he'ji'fei'jie'jue'fang'an 融合计费解决方案
'rong'he'ji'fei'pei'zhi'dian 融合计费配置点
'rong'he'ji'fei'xi'tong 融合计费系统
'rong'he'ji'fei'yin'qing 融合计费引擎
'rong'he'yong'hu'shu'ju'zhong'xin 融合用户数据中心
'rong'he'zhi'neng'wang 融合智能网
'rong'ji 溶剂
'rong'ji'qing'xi 溶剂清洗
'rong'jie 熔接
'rong'jie'ji 熔接机
'rong'jie'jie'tou 熔接接头
'rong'liang'ji'hua 容量计划
'rong'qi 容器
'rong'rong'gui'shi 熔融硅石
'rong'rong'shi'ying 熔融石英
'rong'rong'shuang'zhui'ji'shu 熔融双锥技术
'rong'xian 容限
'rong'xian'bai'fen'bi 容限百分比
'rong'xu'dai'wai'gong'lv 容许带外功率
'rong'yu 冗余
'rong'yu'bao 冗余包
'rong'yu'bu 荣誉部
'rong'yu'du'jiang'di 冗余度降低
'rong'yu'guan'li'mo'kuai 冗余管理模块
'rong'yu'guang'xian 冗余光纤
'rong'yu'jiang'quan 荣誉奖券
'rong'yu'jiang'shen'bao 荣誉奖申报
'rong'yu'jiang'yu'suan 荣誉奖预算
'rong'yu'ma 冗余码
'rong'yu'shu'zi'xin'hao 冗余数字信号
'rong'yu'wang'kou 冗余网口
'rong'yu'xian'lu'ma 冗余线路码
'rong'yu'zhang'hao 冗余账号
'rong'zai 容灾
'rong'zai'can'yu'she'bei 容灾参与设备
'rong'zai'dai'li 容灾代理
'rong'zai'fu'wu'qi 容灾服务器
'rong'zai'guan'li'she'bei 容灾管理设备
'rong'zai'ji 容灾机
'rong'zai'ji'ce'de'ying'yong 容灾机侧的应用
'rong'zai'ji'qun 容灾集群
'rong'zai'jian'kong 容灾监控
'rong'zai'ming'ling'hang'jie'kou 容灾命令行接口
'rong'zai'qie'huan 容灾切换
'rong'zai'xi'tong 容灾系统
'rong'zai'yan'lian 容灾演练
'rong'zai'yu'qi'dong 容灾预启动
'rong'zi'chu 融资处
'rong'zi'tuo'zhan'bu 融资拓展部
'rong'zi'yu'hui'kuan 融资与回款
'rong'zi'yu'suan 融资预算
'rong'zi'zhu'guan 融资主管
'rou'xing'dao'guan 柔性导管
'rou'xing'dian'lan 柔性电缆
'rou'xing'zhi'zao'xi'tong 柔性制造系统
'ru'biao'qian'ying'she 入标签映射
'ru'chong 蠕虫
'ru'fang'xiang 入方向
'ru'feng'kou 入风口
'ru'huan'kou 入环口
'ru'jia'wen'hua 儒家文化
'ru'jie'dian 入节点
'ru'ju'dian'lu 入局电路
'ru'ju'shou'hua'hua'wu 入局受话话务
'ru'ku'cun'chu 入库存储
'ru'ku'dan 入库单
'ru'ku'su'du 入库速度
'ru'men'ji 入门级
'ru'men'yin'dao 入门引导
'ru'qin'fang'yu'xi'tong 入侵防御系统
'ru'qin'jian'ce 入侵检测
'ru'qin'jian'ce'xi'tong 入侵检测系统
'ru'qin'zhe'chang'shi'chong'she'zhi'jian'ge 入侵者尝试重设置间隔
'ru'qin'zhe'jian'ce'suo'ding 入侵者检测锁定
'ru'qin'zhe'xian'zhi 入侵者限制
'ru'she'bo 入射波
'ru'she'dian'liu 入射电流
'ru'she'jiao 入射角
'ru'she'ping'mian 入射平面
'ru'wang'fei 入网费
'ru'wang'fei'yong 入网费用
'ru'zhang'guan'xi 入帐关系
'ru'zhi'pei'xun 入职培训
'ru'zhi'shi'jian 入职时间
'ru'zhong'ji'qun 入中继群
'ru'zhong'ji'xian'hu 入中继限呼
'ruan'bo'dao 软波导
'ruan'gu'zhang 软故障
'ruan'han'ji 软焊剂
'ruan'he'bing 软合并
'ruan'huan'ye 软换页
'ruan'hui'che 软回车
'ruan'huo'bi 软货币
'ruan'jian 软件
'ruan'jian'an'zhuang'yuan 软件安装源
'ruan'jian'bai'ming'dan 软件白名单
'ruan'jian'bao 软件包
'ruan'jian'bu 软件部
'ruan'jian'bu'ding 软件补丁
'ruan'jian'ce'shi'gong'cheng'shi 软件测试工程师
'ruan'jian'ce'shi'jing'li 软件测试经理
'ruan'jian'fen'fa'gao'ji'ban'ben 软件分发高级版本
'ruan'jian'fu'wei 软件复位
'ruan'jian'gong'cheng'shi 软件工程师
'ruan'jian'gong'cheng'xie'hui 软件工程协会
'ruan'jian'gou 软件狗
'ruan'jian'gu'zhang'chan'sheng'de'qun'bi'se'jie'chu'xiao'xi 软件故障产生的群闭塞解除消息
'ruan'jian'gu'zhang'chan'sheng'de'qun'bi'se'xiao'xi 软件故障产生的群闭塞消息
'ruan'jian'gu'zhang'chan'sheng'de'qun'bi'se'zheng'shi'xiao'xi 软件故障产生的群闭塞证实消息
'ruan'jian'guan'li 软件管理
'ruan'jian'hei'ming'dan 软件黑名单
'ruan'jian'hui'fu 软件恢复
'ruan'jian'ji'cheng'dian'lu 软件集成电路
'ruan'jian'kai'fa'gong'cheng'shi 软件开发工程师
'ruan'jian'kai'fa'gong'ju'bao 软件开发工具包
'ruan'jian'kai'fa'jing'li 软件开发经理
'ruan'jian'kai'fa'zhe 软件开发者
'ruan'jian'pei'zhi'guan'li'yuan 软件配置管理员
'ruan'jian'she'ji'yuan 软件设计员
'ruan'jian'sheng'ji'dai'li 软件升级代理
'ruan'jian'sheng'ji'fu'wu'qi 软件升级服务器
'ruan'jian'tao'jian 软件套件
'ruan'jian'tiao'ce 软件调测
'ruan'jian'wu'xian'dian 软件无线电
'ruan'jian'xiang'mu 软件项目
'ruan'jian'xiu'fu'zhi'liang 软件修复质量
'ruan'jian'xu'ke'zheng 软件许可证
'ruan'jian'xu'ni'fu'wu'qi 软件虚拟服务器
'ruan'jian'xu'qiu'gui'ge 软件需求规格
'ruan'jian'yong'jiu'xu'tong'dao 软件永久虚通道
'ruan'jian'yong'jiu'xu'tong'lu 软件永久虚通路
'ruan'jian'zhu'zuo'quan'ren 软件著作权人
'ruan'jiao'huan 软交换
'ruan'lian'jie 软连接
'ruan'pan'kong'zhi'qi 软盘控制器
'ruan'qi'dong 软启动
'ruan'qian'han'liao 软钎焊料
'ruan'qie'huan 软切换
'ruan'shi'xiao 软失效
'ruan'tiao'kuan 软条款
'ruan'wen 软文
'ruan'xiang'jiao 软橡胶
'ruan'xie'bao 软携包
'ruan'xiu'bu 软修补
'ruan'yong'jiu'lian'jie 软永久连接
'ruan'yu'liu 软预留
'ruan'yue'shu 软约束
'ruan'zhong'duan 软终端
'ruan'zu'se 软阻塞
'rui'dian'yan'jiu'suo 瑞典研究所
'rui'du'tiao'jie 锐度调解
'rui'li'fen'bu'han'shu 瑞利分布函数
'rui'li'san'she 瑞利散射
'rui'li'shuai'luo 瑞利衰落
'rui'li'zhun'ze 瑞利准则
'run'miao 闰秒
'run'shi 润湿
'ruo'dao'guang'xian 弱导光纤
'ruo'dian'guan'li 弱点管理
'sa'ban'si'ao'ke'si'li'fa'an 萨班斯奥克斯利法案
'sa'ban'si'fa'an 萨班斯法案
'sai'pu'lu'si 塞浦路斯
'sai'sheng'dian'lu 塞绳电路
'sai'yang'xin'pian 赛扬芯片
'san'bu'tu 散布图
'san'ceng'xu'ni'zhuan'yong'wang 三层虚拟专用网
'san'dan'zao'sheng 散弹噪声
'san'dian'se'zu 三点色组
'san'duan'wan'yong'biao 三端万用表
'san'fa 散发
'san'fang'tong'hua 三方通话
'san'fang'tong'hua'ye'wu 三方通话业务
'san'fang'zhuan 三方转
'san'fen'bei'ou'he'qi 三分贝耦合器
'san'fen'ping 三分屏
'san'guo'ji'tuan 三国集团
'san'ji'bu'men 三级部门
'san'ji'fen'bu 三级分部
'san'ji'se 三基色
'san'ji'zi'wang 三级子网
'san'jian 散件
'san'jiao'jia 三角架
'san'jiao'yin'zi 散焦因子
'san'jiao'zao'sheng 三角噪声
'san'jie'gao'mi'du'shuang'ji'xing'ma 三阶高密度双极性码
'san'lei'chuan'zhen 三类传真
'san'lei'chuan'zhen'ji 三类传真机
'san'mian'jiao'xing'fan'she'qi 三面角形反射器
'san'pin'dian'hua 三频电话
'san'ping'fu'wu 三屏服务
'san'ping'zhi'zhen'hui'chang 三屏智真会场
'san're'guan 散热管
'san're'qi'jian 散热器件
'san'she'bo 散射波
'san'she'can'shu 散射参数
'san'she'ju'zhen 散射矩阵
'san'she'qu 散射区
'san'sheng'dao 三声道
'san'tai 三态
'san'tong 三通
'san'wa'leng'zhi'ban 三瓦楞纸板
'san'wang'he'yi'ye'wu 三网合一业务
'san'wei'cha'cuo 三位差错
'san'wei'dian'shi 三维电视
'san'wei'yu'ce 三维预测
'san'xiang'pi'pei 三向匹配
'san'xin'duan'lu'xian 三芯短路线
'san'xing'dian'zi 三星电子
'san'xing'fan'she'qi'tian'xian 伞形反射器天线
'san'xing'tian'xian 伞形天线
'san'yan'she'xiang'ji 三眼摄像机
'san'yi'ceng 散逸层
'san'yi'ceng'ding 散逸层顶
'san'yuan'zu 三元组
'san'zhou'wen'ding'wei'xing 三轴稳定卫星
'san'zhuang'shi'gong'liao'qi 散装式供料器
'sao'miao 扫描
'sao'miao'biao'mian 扫描表面
'sao'miao'chang 扫描场
'sao'miao'dian 扫描点
'sao'miao'kui'tan'gong'ji 扫描窥探攻击
'sao'miao'mi'du 扫描密度
'sao'miao'tian'xian 扫描天线
'sao'miao'xian 扫描线
'sao'miao'xian'pin 扫描线频
'sao'miao'xian'quan'chang 扫描线全长
'sao'miao'xian'you'xiao'chang'du 扫描线有效长度
'sao'miao'xian'zhou'qi 扫描线周期
'sao'miao'xin'hao 扫描信号
'sao'pin'jie'shou'ji 扫频接收机
'sao'rao'yi'zhi 骚扰抑制
'se'biao 色标
'se'cha 色差
'se'cha'xin'hao 色差信号
'se'chang 色场
'se'ci'ji 色刺激
'se'dai 色带
'se'diao'jie 色调阶
'se'diao'kong'zhi'kong 色调控制孔
'se'du 色度
'se'du'hu'chuan 色度互串
'se'du'ji 色度计
'se'du'tong'dao 色度通道
'se'du'xin'hao 色度信号
'se'du'xin'hao'de'fei'xian'xing'xiang'wei'ji'bian 色度信号的非线性相位畸变
'se'du'xin'hao'de'fei'xian'xing'zeng'yi'ji'bian 色度信号的非线性增益畸变
'se'du'yu'liang'du'yan'shi'cha 色度与亮度延时差
'se'du'zhou 色度轴
'se'huan'jiao'dai 色环胶带
'se'kong'jian 色空间
'se'pu 色谱
'se'san 色散
'se'san'bu'chang'guang'xian 色散补偿光纤
'se'san'bu'chang'mo'kuai 色散补偿模块
'se'san'bu'chang'qi 色散补偿器
'se'san'guan'li'zhuang'zhi 色散管理装置
'se'san'jun'heng 色散均衡
'se'san'ping'tan'guang'xian 色散平坦光纤
'se'san'xie'lv'jun'heng'qi 色散斜率均衡器
'se'san'yi'wei'dan'mo'guang'xian 色散移位单模光纤
'se'shen 色深
'se'yu 色域
'se'zao'sheng 色噪声
'se'zhong 铯钟
'sha'du'ruan'jian 杀毒软件
'sha'lun 砂轮
'sha'pan 沙盘
'shai'xuan 筛选
'shai'xuan'cheng'xu 筛选程序
'shai'xuan'guo'cheng 筛选过程
'shai'xuan'qiu'zhi'ren'yuan 筛选求职人员
'shan'chu 删除
'shan'chu'cheng'yuan 删除成员
'shan'chu'hui'chang 删除会场
'shan'chu'quan'xian 删除权限
'shan'chu'shi'ti 删除实体
'shan'chu'wang'luo'ceng'bao'hu'zi'wang 删除网络层保护子网
'shan'chu'wang'luo'ceng'chu'zi'wang'guang'kou 删除网络层出子网光口
'shan'chu'wang'yuan'ce'bao'hu'zi'wang 删除网元侧保护子网
'shan'chu'wang'yuan'ce'chu'zi'wang'guang'kou 删除网元侧出子网光口
'shan'chu'xian'lan 删除纤缆
'shan'chu'yue'shu 删除约束
'shan'chu'zhi'shi'bi'te 删除指示比特
'shan'chu'zi'shi'ti 删除子实体
'shan'chu'zu 删除组
'shan'cun 闪存
'shan'cun'ku 闪存库
'shan'dian'duan'xiao'xi 闪电短消息
'shan'duan 闪断
'shan'duan'gao'jing 闪断告警
'shan'duan'gao'jing'xiang'guan'xing'fen'xi 闪断告警相关性分析
'shan'guo'yun'ying'shang 单国运营商
'shan'qu 扇区
'shan'qu'can'shu'xiao'xi 扇区参数消息
'shan'shuo 闪烁
'shan'shuo'duan'xiao'xi 闪烁短消息
'shan'shuo'su'lv 闪烁速率
'shan'shuo'zao'sheng 闪烁噪声
'shan'tou'mu'biao 山头目标
'shan'xing'la'ba'tian'xian 扇形喇叭天线
'shan'xing'she'shu'tian'xian 扇形射束天线
'shan'yong'zi'yuan 善用资源
'shan'zhuang'fan'she'qi 栅状反射器
'shan'zu'xiao'ying 栅阻效应
'shang'ban'shi'jian 上班时间
'shang'bao'hu'jiao'shi'jian 上报呼叫事件
'shang'bian'dai 上边带
'shang'bian'pin'qi 上变频器
'shang'biao 上标
'shang'biao'huo'shang'hao'ming'cheng 商标或商号名称
'shang'ceng'yun'ying'shang'bian'yuan'she'bei 上层运营商边缘设备
'shang'ci'deng'lu'shi'jian 上次登录时间
'shang'dian 上电
'shang'dian'shen'ji 商店审计
'shang'dian'zi'jian 上电自检
'shang'fan'ping 上翻屏
'shang'feng'kou 上风口
'shang'gan'ling'zhan'yi 上甘岭战役
'shang'gang 上岗
'shang'guang'biao'jian 上光标键
'shang'guang'jiao 上光胶
'shang'gun 上滚
'shang'jia'dui'shang'jia'dui'ke'hu 商家对商家对客户
'shang'jian'bao'gao 商检报告
'shang'la'dian'zu 上拉电阻
'shang'liao'dan 上料单
'shang'men'guang'gao 上门广告
'shang'men'xian 上门限
'shang'sheng'shi'jian 上升时间
'shang'shi 上市
'shang'shi'gong'si 上市公司
'shang'shi'xin'xi 上市信息
'shang'shi'zheng'quan 上市证券
'shang'wang'kong'zhi 上网控制
'shang'wang'zhan'yong'hua'wu'liang 上网占用话务量
'shang'wei'jie'jue'de'wen'ti 尚未解决的问题
'shang'wei'kuang 上围框
'shang'wei'yue'du'de'duan'xin'xi 尚未阅读的短信息
'shang'wu'bu 商务部
'shang'wu'ce'suan 商务测算
'shang'wu'guan'li'ceng 商务管理层
'shang'wu'shen'pi 商务审批
'shang'wu'shou'quan 商务授权
'shang'wu'tan'pan 商务谈判
'shang'wu'xie'yi 商务协议
'shang'wu'zhi'neng 商务智能
'shang'wu'zhi'neng'xi'tong 商务智能系统
'shang'xia'bo'chang 上下波长
'shang'xia'bo'dai 上下波带
'shang'xia'wen 上下文
'shang'xia'wen'biao'zhi 上下文标识
'shang'xia'wen'cai'dan 上下文菜单
'shang'xia'wen'duan'zhi 上下文段值
'shang'xia'wen'fan'ying 上下文反应
'shang'xia'wen'guan'lian'de 上下文关联的
'shang'xia'wen'min'gan'duan 上下文敏感段
'shang'xia'wen'yu'ti'shi 上下文域提示
'shang'xia'wen'yu'zhi 上下文域值
'shang'xia'wen'zhuan'yong'lei 上下文专用类
'shang'xing 上行
'shang'xing'ban 上行板
'shang'xing'bi'huan'gong'kong 上行闭环功控
'shang'xing'gong'kong 上行功控
'shang'xing'gong'xiang'xin'dao 上行共享信道
'shang'xing'jie'kou'bao'hu'dui 上行接口保护对
'shang'xing'kai'huan'gong'kong 上行开环功控
'shang'xing'kou 上行口
'shang'xing'lian'lu 上行链路
'shang'xing'sui'dao 上行隧道
'shang'xing'tong'dao'miao'shu'fu 上行通道描述符
'shang'xing'xian'lu 上行线路
'shang'yan'suo 上研所
'shang'yan'suo'yu'yan'fen'bu 上研所预研分部
'shang'ye'bao'xian 商业保险
'shang'ye'ben'piao 商业本票
'shang'ye'cheng'dui'hui'piao 商业承兑汇票
'shang'ye'fa'piao 商业发票
'shang'ye'guan'li'dian 商业管理点
'shang'ye'guang'gao 商业广告
'shang'ye'he'zuo'she 商业合作社
'shang'ye'hui'piao 商业汇票
'shang'ye'kan'wu 商业刊物
'shang'ye'ruan'jian 商业软件
'shang'ye'wai'guan 商业外观
'shang'ye'xin'dai 商业信贷
'shang'ye'xing'wei'zhun'ze 商业行为准则
'shang'ye'yi'liao'bao'xian 商业医疗保险
'shang'ye'yin'te'wang'jiao'huan'ji 商业因特网交换机
'shang'ye'za'zhi 商业杂志
'shang'ye'zhi'neng 商业智能
'shang'ye'zhi'neng'he'xin'ping'tai 商业智能核心平台
'shang'ye'zhi'neng'kai'fang'shi'ping'tai 商业智能开放式平台
'shang'yong 商用
'shang'yong'xian'huo 商用现货
'shang'you'fen'xiao 上游分销
'shang'you'huo'ban'guan'xi 上游伙伴关系
'shang'you'jie'kou 上游接口
'shang'zai 上载
'shang'zi'jia 上子架
'shang'zou'xian 上走线
'shang'zuan 上钻
'shao'han 烧焊
'shao'han'gao 少焊膏
'shao'shu'jing'zheng'dui'shou'zhi'yi 少数竞争对手之一
'shao'shu'quan'yi 少数权益
'shao'shu'zi'yuan 少数资源
'she'bao'qi'fu'xian 社保起付线
'she'bao'zui'gao'zhi'fu'xian 社保最高支付线
'she'bei 设备
'she'bei'biao'zhi 设备标识
'she'bei'biao'zhi'ji'cun'qi 设备标识寄存器
'she'bei'cang 设备舱
'she'bei'cao'zuo'quan'ji 设备操作全集
'she'bei'dang'an'wen'jian 设备档案文件
'she'bei'dang'an'xin'xi 设备档案信息
'she'bei'dao'hang'shu 设备导航树
'she'bei'dui'jie 设备对接
'she'bei'fa'xian'ceng 设备发现层
'she'bei'fen'pei 设备分配
'she'bei'gao'jing'guan'li 设备告警管理
'she'bei'gong'ju'cai'gou'chu 设备工具采购处
'she'bei'guan'li 设备管理
'she'bei'ji 设备集
'she'bei'jie'kou'dan'yuan 设备接口单元
'she'bei'ke'kao'xing 设备可靠性
'she'bei'kong'zhi 设备控制
'she'bei'mian'ban 设备面板
'she'bei'miao'shu'xin'xi'ku 设备描述信息库
'she'bei'mo'xing'wen'jian 设备模型文件
'she'bei'pei'zhi 设备配置
'she'bei'pei'zhi'hou'tai 设备配置后台
'she'bei'qu'dong 设备驱动
'she'bei'quan'ji 设备全集
'she'bei'ri'zhi'cai'ji'qi 设备日志采集器
'she'bei'rong'liang 设备容量
'she'bei'shan'chu 设备扇出
'she'bei'sheng'ji 设备升级
'she'bei'shou'ce 设备手册
'she'bei'shu 设备树
'she'bei'tong'bu 设备同步
'she'bei'tong'bu'guan'li'gong'neng 设备同步管理功能
'she'bei'tuo'pu'hou'tai 设备拓扑后台
'she'bei'wei'hu 设备维护
'she'bei'wu'guan'xing 设备无关性
'she'bei'xian'zhi'ji'bie 设备限制级别
'she'bei'xiang'guan'xing 设备相关性
'she'bei'xu'lie'hao 设备序列号
'she'bei'yu 设备域
'she'bei'yun'xing'ri'zhi 设备运行日志
'she'bei'zheng'shu 设备证书
'she'bei'zhuang'tai'yan'shai'she'zhi 设备状态颜色设置
'she'bei'zu 设备组
'she'dian'tian'wen'tai 射电天文台
'she'dian'tian'wen'xue 射电天文学
'she'ding'qiang 射钉枪
'she'hui'bao'xian'shou'yi'ren 社会保险受益人
'she'hui'fu'li 社会福利
'she'hui'gong'cheng'xue 社会工程学
'she'hui'gong'min'ze'ren 社会公民责任
'she'hui'yi'liao'bao'xian 社会医疗保险
'she'hui'zhao'pin 社会招聘
'she'ji'dian 设计点
'she'ji'geng'gai'shen'qing 设计更改申请
'she'ji'gong'cheng'shi 设计工程师
'she'ji'gui'ze'jian'cha 设计规则检查
'she'ji'jian'shi 设计检视
'she'ji'kai'fa 设计开发
'she'ji'liu'cheng'fen'xi'tu'biao 设计流程分析图表
'she'ji'shi 设计师
'she'ji'zhou'qi 设计周期
'she'pin 射频
'she'pin'bao'hu'bi 射频保护比
'she'pin'fa'she'he'jie'shou 射频发射和接收
'she'pin'fu'she 射频辐射
'she'pin'gan'rao 射频干扰
'she'pin'gan'rao'xin'hao 射频干扰信号
'she'pin'ge'li'qi 射频隔离器
'she'pin'gong'fen'qi 射频功分器
'she'pin'gong'lv'he'cheng'qi 射频功率合成器
'she'pin'gu'ding'shuai'jian'qi 射频固定衰减器
'she'pin'huan'xing'qi 射频环行器
'she'pin'hun'pin'qi 射频混频器
'she'pin'ji'cheng'dian'lu'bu'jian 射频集成电路部件
'she'pin'jie'tiao'qi 射频解调器
'she'pin'kai'guan 射频开关
'she'pin'la'yuan'dan'yuan 射频拉远单元
'she'pin'neng'liang'xi'shou'bi'lv 射频能量吸收比率
'she'pin'ou'he'qi 射频耦合器
'she'pin'ping'bi 射频屏蔽
'she'pin'sao'rao 射频骚扰
'she'pin'shi'pin'xin'hao 射频视频信号
'she'pin'shou'fa'dan'yuan 射频收发单元
'she'pin'shu'zi'shuai'jian'qi 射频数字衰减器
'she'pin'suo'xiang'huan 射频锁相环
'she'pin'tiao'zhi'qi 射频调制器
'she'pin'tou 射频头
'she'pin'xin'dao 射频信道
'she'pin'xin'hao'gan'rao'bi 射频信号干扰比
'she'pin'ya'kong'shuai'jian'qi 射频压控衰减器
'she'pin'ya'kong'zhen'dang'qi 射频压控振荡器
'she'pin'yuan 射频源
'she'qu'jie'shou 社区接收
'she'ru 舍入
'she'ru'jin'e 舍入金额
'she'ru'mo'shi 舍入模式
'she'shu'bo'dao 射束波导
'she'shu'chuan'shu'xian 射束传输线
'she'shu'kuan'du 射束宽度
'she'xian'lu'jing 射线路径
'she'xian'lu'jing'chuan'shu'sun'hao 射线路径传输损耗
'she'xiang'chuan'gan'qi 摄像传感器
'she'xiang'dian'shi'dian'ying'ji 摄像电视电影机
'she'xiang'guan 摄像管
'she'xiang'guan'shu'chu'ban 摄像管输出板
'she'xiang'ji 摄像机
'she'xiang'ji'xin'dao 摄像机信道
'she'xiang'tou 摄像头
'she'ying'shi 摄影师
'she'zhi 设置
'she'zhi'cai'ling 设置彩铃
'she'zhi'chuan'tong'de'hui'ling'yin 设置传统的回铃音
'she'zhi'duo'hua'mian 设置多画面
'she'zhi'nao'zhong 设置闹钟
'she'zhi'shu'ju 设置数据
'she'zhi'xiang'ling 设置响铃
'shen'ceng'ci'wen'ti 深层次问题
'shen'du'bao'wen'jian'ce 深度报文检测
'shen'fen 身份
'shen'fen'ren'zheng 身份认证
'shen'fu'dan 申付单
'shen'gao'bi'te'lv'shu'zi'yong'hu'xian 甚高比特率数字用户线
'shen'gao'pin 甚高频
'shen'gao'pin'quan'xiang'wu'xian'dian'fan'wei 甚高频全向无线电范围
'shen'gao'su'shu'zi'yong'hu'xian 甚高速数字用户线
'shen'he'ji 审核集
'shen'he'tong'guo 审核通过
'shen'ji 审计
'shen'ji'bao'gao 审计报告
'shen'ji'bu 审计部
'shen'ji'cheng'xu 审计程序
'shen'ji'chu 审计处
'shen'ji'dan'yuan 审计单元
'shen'ji'diao'du'qi 审计调度器
'shen'ji'fa'xian 审计发现
'shen'ji'fa'xian'que'ren'biao 审计发现确认表
'shen'ji'fan'wei 审计范围
'shen'ji'fen'xi'qi 审计分析器
'shen'ji'feng'xian 审计风险
'shen'ji'fu'wu 审计服务
'shen'ji'gen'zong'jian'yan'qi 审计跟踪检验器
'shen'ji'gen'zong'shou'ji'qi 审计跟踪收集器
'shen'ji'ji'lu'fen'bu'can'shu 审计记录分布参数
'shen'ji'ji'lu'qi 审计记录器
'shen'ji'pei'zhi 审计配置
'shen'ji'ti'gong'qi 审计提供器
'shen'ji'wang'luo 审计网络
'shen'ji'xin'xi 审计信息
'shen'ji'ye'wu'pei'zhi 审计业务配置
'shen'ji'ye'wu'zhuang'tai 审计业务状态
'shen'ji'yu 审计域
'shen'ji'yuan'ji'lu 审计员记录
'shen'ji'yuan'shu'zhi'deng'lu 审计员树枝登录
'shen'ji'zong'ji 审计踪迹
'shen'mi'jian'ting 慎密监听
'shen'pi'yi'jian 审批意见
'shen'qing'fa'yan 申请发言
'shen'qing'fa'yan'lie'biao 申请发言列表
'shen'qing'ji'fei 申请计费
'shen'qing'ji'fei'bao'gao 申请计费报告
'shen'qing'ri'qi 申请日期
'shen'qing'yin'ru 申请引入
'shen'qing'zhu'xi 申请主席
'shen'shuai'luo 深衰落
'shen'suo'bi'cao'zong'zhe 伸缩臂操纵者
'shen'ti'li'xing 身体力行
'shen'tou 渗透
'shen'tou'ce'shi 渗透测试
'shen'xiao'kou'jing'zhong'duan 甚小口径终端
'shen'zhou'xing 神州行
'sheng'bo 声波
'sheng'chan'bao'fei 生产报废
'sheng'chan'cai'gou 生产采购
'sheng'chan'cai'wu'chu 生产财务处
'sheng'chan'cun'huo 生产存货
'sheng'chan'dan'wei'zhe'jiu'fang'fa 生产单位折旧方法
'sheng'chan'ji 生产机
'sheng'chan'ji'ke'hu'zhi'chi'de'zhun'bei 生产及客户支持的准备
'sheng'chan'jia'zai 生产加载
'sheng'chan'li 生产力
'sheng'chan'lian'lu 生产链路
'sheng'chan'she'bei'zhuan'jia'tuan 生产设备专家团
'sheng'chan'tiao'ce 生产调测
'sheng'chan'wen'dang'bao 生产文档包
'sheng'chan'xian'qi'shi'shi'jian 生产线起始时间
'sheng'chan'xian'sheng'chan'xiao'shi'shu 生产线生产小时数
'sheng'chan'xian'ti'qian'shi'jian 生产线提前时间
'sheng'chan'xian'ti'qian'shi'jian'ji'chu 生产线提前时间基础
'sheng'chan'xian'ting'zhi'shi'jian 生产线停止时间
'sheng'chan'xian'you'xian'ji 生产线优先级
'sheng'chan'zhe'jiu'fang'fa 生产折旧方法
'sheng'chan'zuo'ye'ji'hua 生产作业计划
'sheng'cheng'he'guan'li'xian'suo 生成和管理线索
'sheng'cheng'shu'xie'yi 生成树协议
'sheng'chong'ji 声冲击
'sheng'chong'ji'yi'zhi'qi 声冲击抑制器
'sheng'cun'shi'jian 生存时间
'sheng'dan'dao 圣诞岛
'sheng'dao 声道
'sheng'dian'mo'shi 省电模式
'sheng'fan'kui 声反馈
'sheng'fu'du'pu 声幅度谱
'sheng'gao'bo'dao 升高波导
'sheng'gong'lv 声功率
'sheng'gong'lv'pu 声功率谱
'sheng'guang'gao'jing 声光告警
'sheng'guang'xian'shi 声光显示
'sheng'guang'xiao'ying 声光效应
'sheng'huo'bang 生活帮
'sheng'huo'bo'song 生活播送
'sheng'huo'xing'tai 生活形态
'sheng'ji 升级
'sheng'ji'bu'duan'ye'wu 升级不断业务
'sheng'ji'can'shu 升级参数
'sheng'ji'ji 声级计
'sheng'ji'jin'cheng 升级进程
'sheng'ji'ping'gu 升级评估
'sheng'ji'xi'tong'guan'li 升级系统管理
'sheng'ji'xiao'shou 升级销售
