'ai'si'suo'qian'yin 爱思所牵引
'zhong'zi'de'zeng'zhang 种子得增长
'zhu'chang'fa'yi'po 诸常法已破
'zhu'da'wu'sheng'yi 诸大无生异
'zhu'gen'yi'yi'sun 诸根一一损
'zhu'gou'ke'chen'xing 诸垢客尘性
'zhu'guo'bu'neng'mie 诸过不能灭
'zhu'guo'zhi'gen'ben 诸过之根本
'zhu'guo'zong'you'bie 诸过纵有别
'zhu'ming'yu'he'zhe 诸名于何者
'zhu'sheng'jie'you'yi 诸生皆有依
'zhu'shi'chang'shi'sheng 诸识常时生
'zhu'shi'yi'cha'na 诸事一刹那
'zhu'tan'zhi'zhong'zi 诸贪之种子
'zhu'xing'fei'ru'shi 著性非如是
'zhu'xing'xing'cha'yi 住行形差异
'zhu'ye'zeng'shang'wu 诸业增上无
'zhu'yin'jie'wu'li 住因皆无力
'zhu'yin'qi'he'yong 住因起何用
'zhu'yin'ye'yu'zhe 住引业余者
'zhu'yin'yi'zuo'he 住因亦作何
'zhu'zhe'wai'fei'ta 住者外非他
'zhuan'bian'he'shi'bi 转变何事彼
'zhuan'yi'bi'ben'xing 转依彼本性
'zi'ji'hai'zi'xu 自己害自许
'zi'lei'shi'da'zhong 自类是大种
'zi'lei'zhi'neng'li 自类之能力
'zi'li'xian'qian'zhu 自力现前住
'zi'ran'de'jin'zhan 自然得进展
'zi'ta'zhong'zhi'chen 自他中执嗔
'zi'tan'yuan'nei'zhi 自贪缘内支
'zi'xiang 自相
'zi'xin'ping'he'chu 自心凭何除
'zi'xing'ci'ci'zhong 自性此此中
'zi'xing'fei'tong'bi 自性非同彼
'zi'xing'jin'bian'yi 自性尽变已
'zi'xing'shi'zhu'fa 自性是诸法
'zi'xing'wu'bie'gu 自性无别故
'zi'xing'wu'cha'yi 自性无差异
'zi'xing'wu'huai'mie 自性无坏灭
'zi'xu'tan'xin'deng 自许贪心等
'zi'zheng 自证
'zi'zheng'xian'liang 自证现量
'zong'bi'bu'cheng'li 纵彼不成立
'zong'bi'wu'ta'mie 纵彼无他灭
'zong'fa 宗法
'zong'ge'ju'neng'li 纵各具能力
'zong'qin'yi'de'fen 纵勤依德分
'zong'wei'ming'wu'miu 纵唯名无谬
'zong'wu'hui'he'deng 纵无会合等
'zong'wu'zeng'yi'qin 纵无增益勤
'zong'xiang 总相
'zong'yi'ran'duo'ming 纵一然多明
'zong'you'li'you'hai 纵有力有害
'zong'you'ti'wei'gu 纵有体微故
'zong'zhi'ju'gong'de 纵知具功德
'zuo'bu'zuo'tong'xing 作不作同性
'zuo'yong'bu'qi 作用不欺
'zuo'yong'li 作用理
'zuo'zhe'bu'qi 作者不欺
'zuo'zhe'yi'xiang'wei 作者亦相违
