'a'ha'li'mu'fu'you 阿哈利姆福佑
'shang'jie'zhong'chui 上界重锤
'shang'jin 赏金
'shang'jin'fu 赏金符
'shang'jin'lie'ren 赏金猎人
'shang'jin'shen'fu 赏金神符
'shang'lu 上路
'shang'lu'bu'jian'le 上路不见了
'shang'lu'fu 上路符
'shang'lu'mei'le 上路没了
'shang'lu'mei'ren'le 上路没人了
'shang'lu'ren'mei'le 上路人没了
'shang'lu'shi'zong 上路失踪
'shang'lu'ying'xiong'shi'zong 上路英雄失踪
'shang'wai'ta 上外塔
'shang'xia'qiu'suo 上下求索
'shao'shi 烧蚀
'she'bang 蛇棒
'she'fa'nv'yao 蛇发女妖
'she'shou'tian'fu 射手天赋
'shen'chu'mi'shu'tuan'huo 身处秘术团伙
'shen'fu 神符
'shen'fu'fu'zhi 神符复制
'shen'fu'guan'zhu 神符灌注
'shen'hai'chu'xu 深海触须
'shen'hai'hu'zhao 深海护罩
'shen'hai'zhong'ji 深海重击
'shen'jian 神箭
'shen'jing'dun 神镜盾
'shen'li'en'ze 神力恩泽
'shen'ling'wu'shi 神灵武士
'shen'long'bai'wei 神龙摆尾
'shen'long'zhi'xue 神龙之血
'shen'mi 神秘
'shen'mi'fa'zhang 神秘法杖
'shen'mi'shang'dian 神秘商店
'shen'mi'tiao'zhan 神秘挑战
'shen'mi'zhi'yao 神秘之耀
'shen'mie'zhan 神灭斩
'shen'niu 神牛
'shen'qiang'zai'shou 神枪在手
'shen'sheng'fa'zhang 神圣法杖
'shen'sheng'quan'hua 神圣劝化
'shen'sheng'wen'zhang 神圣纹章
'shen'sheng'yi'tiao 神圣一跳
'shen'sheng'zhi'nu 神圣之怒
'shen'sheng'zhi'xin'kun'bang'bao 神圣之心捆绑包
'shen'shui'chu'xu 深水触须
'shen'shui'wu'qi 深水武器
'shen'shui'yu'qun 深水鱼群
'shen'wang 神王
'shen'xin 身心
'shen'xing'bai'bian 神行百变
'shen'xing'bang 神行帮
'shen'xing'tai'bao 神行太保
'shen'yu'zhe 神谕者
'shen'yuan'da'jun 深渊大军
'shen'yuan'ling'zhu 深渊领主
'shen'yuan'zhi'ren 深渊之刃
'shen'zhang 神杖
'shen'zhang'er 神杖二
'shen'zhang'sheng'ji 神杖升级
'shen'zhi'bao'lie 神智爆裂
'shen'zhi'fen'nu 神之愤怒
'shen'zhi'gang'yi 神志刚毅
'shen'zhi'li'liang 神之力量
'shen'zhi'qian'jie 神之谴戒
'shen'zhi'ren'shan 神之仁善
'shen'zhi'sheng'di 神之圣地
'shen'zhi'yi'gou 神之一钩
'shen'zhi'zhi'shi 神智之蚀
'sheng'dian 圣殿
'sheng'dian'guang'huan 圣殿光环
'sheng'dian'zhi'huan 圣殿指环
'sheng'guang'xuan'yan'fang'yu'ta 圣光宣言防御塔
'sheng'guang'xuan'yan'tian'hui'fang'yu'ta 圣光宣言天辉防御塔
'sheng'guang'xuan'yan'ye'yan'fang'yu'ta 圣光宣言夜魇防御塔
'sheng'jian 圣剑
'sheng'jie'diao'zhui 圣洁吊坠
'sheng'kan 圣龛
'sheng'ming'hui'fu 生命恢复
'sheng'ming'ji'qu 生命汲取
'sheng'ming'shang'xian 生命上限
'sheng'ming'zhi 生命值
'sheng'qi'shi 圣骑士
'sheng'quan'zai'wo 胜券在握
'sheng'ren'yi'chou 胜人一筹
'sheng'shi'shan'guang 盛世闪光
'sheng'shui 圣水
'sheng'shui'fu 圣水符
'sheng'shui'shen'fu 圣水神符
'sheng'tan 圣坛
'sheng'tang 圣堂
'sheng'tang'ci'ke 圣堂刺客
'sheng'wu 圣物
'sheng'yan 盛宴
'sheng'zhe'yi'wu 圣者遗物
'shi'de'li'gu'er 史德利古尔
'shi'fang'an'ying'du 释放暗影毒
'shi'fang'chong'ji'bo 释放冲击波
'shi'guang'dao'liu 时光倒流
'shi'guang'zi'yang 时光滋养
'shi'gui'kuang'nu 尸鬼狂怒
'shi'hua'ning'shi 石化凝视
'shi'hun 噬魂
'shi'hun'gui 噬魂鬼
'shi'jian'jie'jie 时间结界
'shi'jian'man'you 时间漫游
'shi'jian'niu'qu'guang'huan 时间扭曲光环
'shi'jian'peng'zhang 时间膨胀
'shi'jian'shi'jie 事件视界
'shi'jian'suo'ding 时间锁定
'shi'lin'jian'shi 石鳞剑士
'shi'luo'qi'yi'shi'ji 失落奇艺侍祭
'shi'ming'xu'kong 失明虚空
'shi'mo'zhi'wang 噬魔之王
'shi'nao 蚀脑
'shi'nue'zhi'xin 施虐之心
'shi'ren'mo'bing'shuang'fa'shi 食人魔冰霜法师
'shi'ren'mo'hai'bao'tu'teng 食人魔海豹图腾
'shi'ren'mo'mo'fa'shi 食人魔魔法师
'shi'ren'mo'quan'shou 食人魔拳手
'shi'ren'mo'zhen'ying 食人魔阵营
'shi'ren'mo'zhi'fu 食人魔之斧
'shi'ren'mo'zhong'ji 食人魔重击
'shi'shi'gui 噬尸鬼
'shi'shi'gui 食尸鬼
'shi'tang'cheng 石堂城
'shi'tang'cheng'jia'zhou 石堂城甲胄
'shi'wai'zhi'zheng 世外之争
'shi'wang 尸王
'shi'xiang'gui 石像鬼
'shi'xiang'lie'xi 实相裂隙
'shi'xiao'li'chang 失效立场
'shi'xue'dong'wu 食血动物
'shi'xue'ke'wang 嗜血渴望
'shi'xue'kuang'mo 嗜血狂魔
'shi'xue'shu 嗜血术
'shi'ye'fan'wei 视野范围
'shi'ye'ju'li 视野距离
'shi'ye'xian'zhi 视野先知
'shi'yu'bian'jie'zhe 石鱼变节者
'shi'zhua'qing'dao'fu'fang'yu'ta 石爪清道夫防御塔
'shi'zhua'qing'dao'fu'tian'hui'fang'yu'ta 石爪清道夫天辉防御塔
'shi'zhua'qing'dao'fu'ye'yan'fang'yu'ta 石爪清道夫夜魇防御塔
'shou'gao 守高
'shou'gao'di 守高地
'shou'hu'tian'shi 守护天使
'shou'hu'zhi'huan 守护指环
'shou'nue'cheng'kuang 受虐成狂
'shou'ta 守塔
'shou'wang 兽王
'shou'wei'chong'ci 守卫冲刺
'shou'wei'jiang'lin 守卫降临
'shou'yi'di'jian 收益递减
'shou'yu'li'liang 授予力量
'shou'zhe'mo'de'ling'hun 受折磨的灵魂
'shu'fu'ji 束缚击
'shu'huan'zhi'miao 舒缓之苗
'shu'jian'qi'fa 数箭齐发
'shu'jing'wei'shi 树精卫士
'shu'miao 树苗
'shu'mu'lian'zhi 树木连掷
'shu'ren 树人
'shu'shi 术士
'shu'si'yi'bo 殊死一搏
'shu'xing 属性
'shu'xing'fu'jia 属性附加
'shu'zhi 树枝
'shu'zhi'ji'si 树之祭祀
'shu'zui 赎罪
'shua'dun'le 刷盾了
'shua'xin'qiu 刷新球
'shua'xin'qiu'sui'pian 刷新球碎片
'shuai'jiao'hang'jia 摔角行家
'shuai'lao 衰老
'shuai'tui'guang'huan 衰退光环
'shuang'bei 双倍
'shuang'bei'fu 双倍符
'shuang'bei'shen'fu 双倍神符
'shuang'dao 双刀
'shuang'dong'hu'jia 霜冻护甲
'shuang'dong'zhi'jian 霜冻之箭
'shuang'kun 双捆
'shuang'leng'shou'hu 霜冷守护
'shuang'long 霜龙
'shuang'ren'jian 双刃剑
'shuang'sheng'kong'bu 双生恐怖
'shuang'sheng'zhi'men 双生之门
'shuang'tou'long 双头龙
'shuang'zhi'ai'shang 霜之哀伤
'shui'dao 水刀
'shui'jing 水井
'shui'jing'jian 水晶剑
'shui'jing'qiu 水晶球
'shui'jing'shi'nv 水晶室女
'shui'pao'pao 水泡泡
'shui'ren 水人
'shuo'feng'zhan'dou'fa'shi 朔风战斗法师
'si'bu'en 斯布恩
'si'bu'en'de'cang'pin 斯布恩的藏品
'si'bu'lin 斯布林
'si'bu'lin'de'mi'mi'wu'qi 斯布林的秘密武器
'si'ji'ci'ge'er 斯吉茨格尔
'si'jia'di'zhi'yan 斯嘉蒂之眼
'si'kui 斯奎
'si'kui'de'miao'zhun'jing 斯奎的瞄准镜
'si'la'da 斯拉达
'si'la'ke 斯拉克
'si'lie'da'di 撕裂大地
'si'lie'shang'kou 撕裂伤口
'si'lie'zhi'bian 撕裂之鞭
'si'ling'fa 死灵法
'si'ling'fa'shi 死灵法师
'si'ling'fei'long 死灵飞龙
'si'ling'shu 死灵书
'si'luo'mu 斯洛姆
'si'luo'mu'zhan'gu 斯洛姆战鼓
'si'shen'lian'dao 死神镰刀
'si'wang 死亡
'si'wang'chan'rao 死亡缠绕
'si'wang'chong'neng 死亡充能
'si'wang'fen'lie 死亡分裂
'si'wang'mai'chong 死亡脉冲
'si'wang'qi'shi 死亡骑士
'si'wang'qi'yue 死亡契约
'si'wang'shou'wei 死亡守卫
'si'wang'shuang'wu 死亡霜雾
'si'wang'sou'xun 死亡搜寻
'si'wang'xian'zhi 死亡先知
'si'wang'xuan'feng 死亡旋风
'si'wang'zhi'quan 死亡之拳
'si'wang'zhi'zhi 死亡之指
'si'wen 斯温
'si'ye'ci'ke 司夜刺客
'si'yi'kuang'nu 肆意狂怒
'si'zhi'zhong'qi 丝质重器
'song'guo'chu'ji 松果出击
'su'du'guang'huan 速度光环
'su'du'zhi'xue 速度之靴
'suan'wu 酸雾
'suan'xing'pen'wu 酸性喷雾
'sui'gu'chui 碎骨锤
'sui'ji'zheng'zhao 随机征召
'sui'lie'bei'xin 碎裂背心
'sui'lie'chong'ji 碎裂冲击
'sui'lu'chui 碎颅锤
'sui'mu'ji 碎木机
'sui'tu'kui'lei 碎土傀儡
'sun'ying 隼影
'suo'bi 锁闭
'suo'di 缩地
'suo'xiao'she'xian 缩小射线
'suo'zi'jia 锁子甲
'ta'fang 塔防
'tai'fei'tang'wei'shi 太妃糖卫士
'tai'xu'feng'bao'xuan'yu 太虚风暴玄宇
'tai'xu'quan'fa 太虚拳法
'tai'xu'yin'ji 太虚印记
'tai'xu'zhi'jing 太虚之径
'tai'xu'zhi'ren 太虚之刃
'tai'yang'jin'hui 太阳金辉
'tai'yang'neng'chong'dian 太阳能充电
'tan'lan'xi'li 贪婪犀利
'tan'mo 贪魔
'tan'mo'de'tan'lan 贪魔的贪婪
'tan'she'fa'zhang 弹射法杖
'tan'ta'xue'qiu 坍塌雪裘
'tang'guo'chang 糖果厂
'tang'guo'jing 糖果井
'tang'ping'guo 糖苹果
'tao'jin'guang'huan 淘金光环
'tao'sheng 逃生
'tao'sheng'ji 逃生技
'tao'tai'zhi'ren 淘汰之刃
'te'bie'chu'bei 特别储备
'te'kuai'zhuan'di 特快专递
'te'lei'si'ting 特蕾斯汀
'te'zhi'xue'tiao 特制血条
'teng'yan'dou'peng 腾焰斗篷
'ti'dao 剃刀
'ti'huan'fu'zhi'pin 替换复制品
'ti'huan'fu'zhi'ti 替换复制体
'tian'beng 天崩
'tian'di'shan'chuang'zhe 天地擅闯者
'tian'gua'da'tu'sha 甜瓜大屠杀
'tian'guang'xian'shi 天光现世
'tian'guo'en'ci 天国恩赐
'tian'hui 天辉
'tian'hui'jian'zhu 天辉建筑
'tian'mi'shi'fang 甜蜜释放
'tian'ming'wu'chang'wu'qi 天命无常武器
'tian'ming'zhi'yu 天命之雨
'tian'nu'fa'shi 天怒法师
'tian'qiong'shou'wang'zhe 天穹守望者
'tian'shen'xia'fan 天神下凡
'tian'sheng'yi'dui 天生一对
'tian'sun'chong'ji 天隼冲击
'tian'tang'zhi'ji 天堂之戟
'tian'wai'fei'xing 天外飞星
'tian'ya'mo'ke 天涯墨客
'tian'yi'zhi'dun 天裔之盾
'tian'yi'zhi'zhang 天裔之杖
'tian'yin'zhi'chu 天隐之触
'tian'ying'jie 天鹰戒
'tian'ying'zhi'jie 天鹰之戒
'tian'you'yong'zhe 天佑勇者
'tiao'dao 跳刀
'tiao'jiu'shi 调酒师
'tiao'tan 跳弹
'tiao'yue 跳跃
'tiao'zhan'tou'jin 挑战头巾
'tie'shu'shu'ren 铁树树人
'tie'shu'zhi'gan 铁树枝干
'tie'shu'zhi'mu 铁树之木
'tie'yi'tou'kui 铁意头盔
'ting'zhi 停滞
'ting'zhi'gun'dong 停止滚动
'tong'ku 痛苦
'tong'ku'jian'jiao 痛苦尖叫
'tong'ku'mo'fang 痛苦魔方
'tong'ku'nv'wang 痛苦女王
'tong'ku'zhi'yuan 痛苦之源
'tong'ling'tou'dai 通灵头带
'tong'tian 通天
'tong'yu'tou'kui 统御头盔
'tou'bu'zhuang'ji 头部撞击
'tou'lang 头狼
'tou'qie'wu'qi 偷窃武器
'tou'shi 投石
'tou'zhi 投掷
'tou'zhi'fei'biao 投掷飞镖
'tou'zhi'ju'shi 投掷巨石
'tou'zhi'liu'dan 投掷榴弹
'tu'fu 屠夫
'tu'mao 土猫
'tu'xi 突袭
'tu'zi 兔子
'tuan'dui'gong'cheng'shi 团队工程师
'tui'bu'li'liang 腿部力量
'tui'hua'guang'huan 退化光环
'tui'jin 推进
'tui'tui 推推
'tui'tui'bang 推推棒
'tui'zhuang'zhi'hen 推撞之痕
'tun'gan 豚杆
'tun'ji'kuang'shu 囤积狂鼠
'tun'mie'zhi'bu 吞灭之步
'tun'shi 吞噬
'tun'shi'jing'hua 吞食精华
'tun'shi'ku'lou 吞噬骷髅
'tuo'na'lu'si 托纳鲁斯
'tuo'na'lu'si'xin'zhi 托纳鲁斯心智
'wa'jue 挖掘
'wai'ta 外塔
'wan'chu'feng'cai 玩出风采
'wan'ge'you'chang 挽歌犹唱
'wan'jie'bu'fu 万劫不复
'wan'ling'yao'shui 万灵药水
'wan'pi'ke'di 顽皮克敌
'wang'chen'mo'ji 望尘墨及
'wang'chong'tui 网虫腿
'wang'guan 王冠
'wang'hun'xiong'zhen 亡魂胸针
'wang'ling'fu'sheng 亡灵复生
'wang'ling'zhi'wu 亡灵之舞
'wang'yang'qian'shao 汪洋前哨
'wang'yuan'jing 望远镜
'wang'zhe'guang'huan 王者光环
'wang'zhe'zhi'jie 王者之戒
'wang'zhe'zhi'shu 王者之书
'wei'ci 尾刺
'wei'guang'pi'feng 微光披风
'wei'he 威吓
'wei'jing'tong'de'huo'yan'bao'hong 未精通的火焰爆轰
'wei'luo'la 维罗拉
'wei'mian'kong'dong 位面空洞
'wei'qi'er'zhi'yan 维奇尔之眼
'wei'sa'ji 维萨吉
'wei'shi'jing'jia 卫士胫甲
'wei'xiu'qi'ju 维修器具
'wei'zhuang'mi'cai 伪装迷彩
'wen'yi'fa'shi 瘟疫法师
'wen'yi'shou'wei 瘟疫守卫
'wen'zi'weng'weng'sheng 蚊子嗡嗡声
'wo'men'hai'mei'jie'shu 我们还没结束
'wu'bian 无边
'wu'di'zhan 无敌斩
'wu'du'bian'shen'shu 巫毒变身术
'wu'du'hui'fu'shu 巫毒回复术
'wu'du'liao'fa 巫毒疗法
'wu'du'zhou'fa 巫毒咒法
'wu'er'sa 乌尔萨
'wu'fa'yi'zhi 无法抑制
'wu'feng'chang'jian 五锋长剑
'wu'gu'zhou'shu 巫蛊咒术
'wu'guang'zhi'dun 无光之盾
'wu'li 无理
'wu'pin 物品
'wu'shi'zhi'ren 巫师之刃
'wu'shu 巫术
'wu'shu'jing'yan 巫术精研
'wu'shuang'gui'mei 无双鬼魅
'wu'tai'zhong'yang 舞台中央
'wu'wei 无畏
'wu'xuan 无玄
'wu'yao 巫妖
'wu'ye'diao'ling 午夜凋零
'wu'yi 巫医
'wu'ying'quan 无影拳
'wu'zhi'xiao'mao 无知小帽
'xi'hun'wu'shu 吸魂巫术
'xi'li 洗礼
'xi'ri'an'hei'qi'yi 昔日暗黑奇艺
'xi'sheng 牺牲
'xi'wa 希瓦
'xi'wa'de'shou'hu 希瓦的守护
'xi'xue'guang'huan 吸血光环
'xi'xue'gui 吸血鬼
'xi'xue'gui'liao'ya 吸血鬼獠牙
'xi'xue'mian'ju 吸血面具
'xi'xue'zhi'hun 吸血之魂
'xi'yi'jue'wen 蜥蜴绝吻
'xi'yi'shu'xi 蜥蜴束系
'xi'ze'er 西泽尔
'xia'di'yu'zai'shang'lai 下地狱再上来
'xia'er'ta 下二塔
'xia'gao'di'ta 下高地塔
'xia'lu 下路
'xia'lu'bu'jian'le 下路不见了
'xia'lu'fu 下路符
'xia'lu'mei'le 下路没了
'xia'lu'mei'ren'le 下路没人了
'xia'lu'shi'zong 下路失踪
'xia'lu'ying'xiong'shi'zong 下路英雄失踪
'xia'ren'zhan'shu 吓人战术
'xia'wai'ta 下外塔
'xian'de'er'sha 仙德尔莎
'xian'feng'dun 先锋盾
'xian'ling'fen'chen 仙灵粉尘
'xian'ling'huo 仙灵火
'xian'ling'liu'dan 仙灵榴弹
'xian'ling'shi'pin 仙灵饰品
'xian'ling'zhi'huo 仙灵之火
'xian'nv'long 仙女龙
'xian'shen 献身
'xian'shou 先手
'xian'tian'ji'neng 先天技能
'xian'ying'zhi'chen 显影之尘
'xian'zhe'mian'zhao 贤者面罩
'xian'zhe'shi 贤者石
'xian'zhe'zhi'shi 先哲之石
'xian'zhe'zhi'shi 贤者之石
'xian'zhi 先知
'xian'zu'zhi'hun 先祖之魂
'xiang'wei 相位
'xiang'wei'xie 相位鞋
'xiang'wei'yi'dong 相位移动
'xiang'wei'zhuan'yi 相位转移
'xiang'yi'wei'ming 相依为命
'xiang'ying'zhi'chai 翔影之钗
'xiao'an'mie 小暗灭
'xiao'bing'bing 小冰冰
'xiao'bu'tuan 小布团
'xiao'cang 小仓
'xiao'cui'niao'xiao'sheng 笑翠鸟笑声
'xiao'dian'chui 小电锤
'xiao'hao'pin 消耗品
'xiao'hei 小黑
'xiao'huo'ren 小火人
'xiao'ji'meng'ji 小鸡猛击
'xiao'jing'ling 小精灵
'xiao'ku'lou 小骷髅
'xiao'lei'chui 小雷锤
'xiao'lu 小鹿
'xiao'mi'tuan 小谜团
'xiao'na'jia 小娜迦
'xiao'niu 小牛
'xiao'qiang 小强
'xiao'ren'shu 小人书
'xiao'sheng'jian 小圣剑
'xiao'shi'zhi'guang 消逝之光
'xiao'shou 枭兽
'xiao'shou'si'lie'zhe 枭兽撕裂者
'xiao'shou'zhen'ying 枭兽阵营
'xiao'shu'ren 小树人
'xiao'tan'mo'tai'fei'tang 小贪魔太妃糖
'xiao'ti'qin'jian'sheng 小提琴尖声
'xiao'wai 小歪
'xiao'xian'rou 小鲜肉
'xiao'xiao 小小
'xiao'xiao'hang'kong 小小航空
'xiao'you'ling 小幽灵
'xiao'yu 小鱼
'xiao'yu'ren 小鱼人
'xiao'yun'chui 小晕锤
'xiao'zhu'chu'dong 小猪出动
'xie'du 亵渎
'xie'du'zhi'li 亵渎之力
'xie'e'guang'huan 邪恶光环
'xie'e'jing'hua 邪恶净化
'xie'e'lian'dao 邪恶镰刀
'xie'e'zhi'li 邪恶之力
'xie'hou'zhi'yi 邪喉之抑
'xie'neng 邪能
'xie'shu'zhao'huan 邪术召唤
'xie'tong 协同
'xie'ying'fang'ling 邪影芳灵
'xin'chen'tian'shi 心嗔天使
'xin'shi'qi'qiu 信使气球
'xin'shou'mo'shi 新手模式
'xin'yan 心炎
'xin'yuan'mo'jiao 心渊魔角
'xin'yue'zhi'hen 新月之痕
'xin'zhong'de'hei'an 心中的黑暗
'xing'po'tian'jing 星破天惊
'xing'ti'jin'gu 星体禁锢
'xing'ti'you'hun 星体游魂
'xing'wu'zhi'huo 行巫之祸
'xing'yun'miao'mi 幸运喵咪
'xing'yun'yi'ji 幸运一击
'xiong'de 熊德
'xiong'guai'zhen'ying 熊怪阵营
'xiong'ling'huo'ban 熊灵伙伴
'xiong'mao'jiu'xian 熊猫酒仙
'xiong'miao 凶喵
'xiong'xin'bao'dan 熊心豹胆
'xiong'xin'bo'bo 熊心勃勃
'xiong'yi'qiu'jing 熊亦求精
'xiong'zhan'shi 熊战士
'xiong'zi'ying'fa 熊姿英发
'xiu'bu'jiang 修补匠
'xiu'dou'mo'dao'shi 秀逗魔导士
'xu'kong 虚空
'xu'kong'jia'mian 虚空假面
'xu'kong'shi'zhe 虚空使者
'xu'ling'dao 虚灵刀
'xu'ling'ti 虚灵体
'xu'ling'zhi'ren 虚灵之刃
'xu'ruo 虚弱
'xu'ruo'guang'huan 虚弱光环
'xu'wang'zhi'nuo 虚妄之诺
'xu'wu 虚无
'xu'wu'bao'shi 虚无宝石
'xu'wu'shu'xue 虚无输血
'xu'wu'zhan'shi 虚无战士
'xu'wu'zhi'en 虚无之恩
'xu'wu'zhi'ling 虚无之灵
'xu'wu'zhu'yi 虚无主义
'xu'zhang'sheng'shi 虚张声势
'xuan'ao'shou'zhuo 玄奥手镯
'xuan'feng'fei'fu 旋风飞斧
'xuan'ming'dun'pai 玄冥盾牌
'xuan'shou'ka'bao 选手卡包
'xuan'wo 漩涡
'xue'ji 血棘
'xue'ji 血祭
'xue'jing 血精
'xue'jing'shi 血精石
'xue'liang 血量
'xue'mo 血魔
'xue'mo'fa 血魔法
'xue'nu 血怒
'xue'pen'da'kou 血盆大口
'xue'ping 血瓶
'xue'qiu 雪球
'xue'rou'kui'lei 血肉傀儡
'xue'rou'sheng'yan 血肉盛宴
'xue'se'chong'feng 血色冲锋
'xue'se'wai'yi 血色外衣
'xue'tiao'hu'dun 血条护盾
'xue'tu'zhi'li 学徒之礼
'xue'wu 血雾
'xue'xi 血洗
'xue'xing'liu'dan 血腥榴弹
'xue'xing'zhi'ren 血腥之刃
'xue'zhi'ji'si 血之祭祀
'xue'zhi'kuang'bao 血之狂暴
'xue'zhi'qi'yue 血之契约
'xue'zhong'song'bing 雪中送冰
'xun'dao 殉道
'xun'ji'shan'guang 迅疾闪光
'xun'jie'guang'huan 迅捷光环
'xun'shou'shu 驯兽术
'xun'su 迅速
'ya'ba'dun 亚巴顿
'ya'dao'xing'you'shi 压倒性优势
'ya'te'lan'feng'suo'jian'chuan'shuo 亚特兰封锁舰传说
'ya'zhi'zhi'ren 压制之刃
'yan'dong'tan'xian 岩洞探险
'yan'han'shao'zhuo 严寒烧灼
'yan'long'zhi'lin 炎龙之鳞
'yan'mie'fa'shi 湮灭法师
'yan'mie'zhi'yuan 湮灭之缘
'yan'mie'zhuan'jia 湮灭专家
'yan'mu 烟幕
'yan'ren 阎刃
'yan'shi 厌世
'yan'wa 炎洼
'yan'yang'suo 炎阳索
'yan'yang'wen'zhang 炎阳纹章
'yan'yang'zhi'fu 炎阳之缚
'yan'yang'zhi'guan 炎阳之冠
'yang'dao 羊刀
'yang'guang'meng'lie 阳光猛烈
'yang'yan'chong'ji 阳炎冲击
'yao'da'ge 要大哥
'yao'kong'zha'dan 遥控炸弹
'yao'she 腰射
'yao'shu 妖术
'yao'yao'le 摇摇乐
'ye'cha 夜叉
'ye'di'qi'xi 野地奇袭
'ye'dian 野点
'ye'man'pao'xiao 野蛮咆哮
'ye'mo 夜魔
'ye'qu 野区
'ye'tai'bing 液态冰
'ye'tai'huo 液态火
'ye'wan'zhong'de'shou'lie'zhe 夜晚中的狩猎者
'ye'xing'hu'huan 野性呼唤
'ye'xing'qu'shi 野性驱使
'ye'xing'zhi'fu 野性之斧
'ye'xing'zhi'xin 野性之心
'ye'yan 夜魇
'ye'yan'an'chao 夜魇暗潮
'ye'yan'an'chao'de'shen'sheng'bao'zang 夜魇暗潮的神圣宝藏
'ye'yan'an'chao'de'zhen'gui'yi'xiang 夜魇暗潮的珍贵衣箱
'ye'yan'jian'zhu 夜魇建筑
'ye'zhi'gan'zhi 夜之感知
'yi'dong'su'du 移动速度
'yi'hua 异化
'yi'jian'chuan'xin 一箭穿心
'yi'jie 一姐
'yi'ka'luo'si 伊卡洛斯
'yi'liao'qiang 医疗枪
'yi'lu'shun'feng 一路顺风
'yi'quan'chao'ren 一拳超人
'yi'ren'zhi'jun 一人之军
'yi'shen'ka'fei'er 依什卡菲尔
'yi'shi'san'niao 一石三鸟
'yi'shi'zhi'xiong 一世之熊
'yi'shi'zhi'xiu 一时之秀
'yi'su 移速
'yi'tai'jiao'dian 以太焦点
'yi'tai'tou'jing 以太透镜
'yi'tai'zhi'jing 以太之镜
'yi'wang'fa'shi 遗忘法师
'yi'xing'huan'wei 移形换位
'yi'yi'sheng'hui 熠熠生辉
'yi'zhe'zhen'ying'xiong 医者真英雄
'yi'zhi 抑制
'yin'ci 隐刺
'yin'dao 隐刀
'yin'ni 隐匿
'yin'ran 引燃
'yin'shan'hu'fu 银闪护符
'yin'shen 隐身
'yin'shen'fu 隐身符
'yin'shen'shen'fu 隐身神符
'yin'xie'ning'shi 阴邪凝视
'yin'xing'ci'ke 隐形刺客
'yin'ying'ni'zhao 阴影泥沼
'yin'ying'tian'chou 银影天仇
'yin'yue'zhi'jing 银月之晶
'yin'zang'zhe'de'zi 吟葬者德兹
'ying'ge'gong 鹰歌弓
'ying'jiao'gong 鹰角弓
'ying'jie'ji'xian 迎接极限
'ying'mo 影魔
'ying'pei'rui'ya'nv'wang 英佩瑞雅女王
'ying'ren 影刃
'ying'shen'nv'yao'feng'bao'wu'shi 鹰身女妖风暴巫师
'ying'shen'nv'yao'zhen'cha'zhe 鹰身女妖侦查者
'ying'shen'nv'yao'zhen'ying 鹰身女妖阵营
'ying'te'er'shi'jie'gong'kai'sai 英特尔世界公开赛
'ying'wu'chang'dao 影武长刀
'ying'xiong 英雄
'ying'xiong'hao'li 英熊好礼
'ying'xiong'shi'zong 英雄失踪
'ying'yong 英勇
'ying'zhi'ling'kan 影之灵龛
'yong'heng 永恒
'yong'heng'li'liang 永恒力量
'yong'heng'suo'lian 永恒锁链
'yong'heng'yi'bao 永恒异宝
'yong'heng'yi'wu 永恒遗物
'yong'heng'zhi'pan 永恒之盘
'yong'jiu'xian'ji 永久献祭
'yong'jiu'yin'shen 永久隐身
'yong'qi'xun'zhang 勇气勋章
'yong'qi'zhi'guang 勇气之光
'yong'qi'zhi'sha 勇气之霎
'yong'shi'fa'yi 永世法衣
'yong'shi'lian'sai 勇士联赛
'yong'shi'ling'zhuang'wen'zhang 勇士令状纹章
'yong'shi'shi'lian'chang 勇士试炼场
'yong'wu'lin'yuan 永雾林渊
'you'bu 诱捕
'you'da'dian'da 有大点大
'you'da'xue'da 有大学大
'you'di'qi'shu 诱敌奇术
'you'guang'zhi'hun 幽光之魂
'you'gui 幽鬼
'you'gui'zhi'ren 幽鬼之刃
'you'hun 幽魂
'you'hun'hu'zhao 幽魂护罩
'you'hun'quan'zhang 幽魂权杖
'you'hun'zhi'jian 幽魂之剑
'you'jun'fa'shu'fan'zhi 友军法术反制
'you'ling'chuan 幽灵船
'you'ling'lang 幽灵狼
'you'ling'man'bu 幽灵漫步
'you'mi'er 尤弥尔
'you'ming'bao'hong 幽冥爆轰
'you'ming'ju'du 幽冥剧毒
'you'ming'pi'jian 幽冥披肩
'you'ming'shou'wei 幽冥守卫
'you'ming'xing'zhe 幽冥行者
'you'ming'yi'ji 幽冥一击
'you'nie'ruo 尤涅若
'you'shi'lu 优势路
'you'tiao'bu'wen 有条不紊
'you'xi'gong'hui 游戏公会
'you'xi'mo'shi 游戏模式
'you'xi'sai'shi 游戏赛事
'you'you'zi'ruo 优游自若
'yu'cha 鱼叉
'yu'er 鱼饵
'yu'jin'jia'niang 余烬佳酿
'yu'mu'zhi'zhu 育母蜘蛛
'yu'mu'zhi'zhu'mao'yi 育母蜘蛛毛衣
'yu'ren'shou'wei 鱼人守卫
'yu'ren'sui'ji 鱼人碎击
'yu'ren'ye'xing'zhe 鱼人夜行者
'yu'yan'jia'liao'shang 预言家疗伤
'yu'yan'jia'zu'zhou 预言家诅咒
'yu'zhao'xiang'zheng 预兆象征
'yu'zhen 余震
'yuan'cheng 远程
'yuan'cheng'bing'ying 远程兵营
'yuan'cheng'dan'dao 远程弹道
'yuan'dun 圆盾
'yuan'gu'bing'hun 远古冰魂
'yuan'gu'chang'xu'wa 远古长须蛙
'yuan'gu'han'bing'sa'man 远古寒冰萨满
